context: You've noticed, have you?! response:	Butts?!
context: We thought that was big trouble, and tried to escape right away, but ended up here.\The only silver lining is they don't know what we overheard.\But! If they do find out what we heard, I bet we'll never get out of here!\We may never get out...\We'll see...\Hey! I thought evil doesn't give up!\Yeah, sure, but what are we gonna do when magic won't even work here?!\I'm breakin' outta here! response:	Whatever happens, I gotta save Lucy.
context: The only silver lining is they don't know what we overheard.\But! If they do find out what we heard, I bet we'll never get out of here!\We may never get out...\We'll see...\Hey! I thought evil doesn't give up!\Yeah, sure, but what are we gonna do when magic won't even work here?!\I'm breakin' outta here!\Whatever happens, I gotta save Lucy. response:	And besides, there's a guy whose ass I wanna kick!
context: But! If they do find out what we heard, I bet we'll never get out of here!\We may never get out...\We'll see...\Hey! I thought evil doesn't give up!\Yeah, sure, but what are we gonna do when magic won't even work here?!\I'm breakin' outta here!\Whatever happens, I gotta save Lucy.\And besides, there's a guy whose ass I wanna kick! response:	Break out?!
context: We may never get out...\We'll see...\Hey! I thought evil doesn't give up!\Yeah, sure, but what are we gonna do when magic won't even work here?!\I'm breakin' outta here!\Whatever happens, I gotta save Lucy.\And besides, there's a guy whose ass I wanna kick!\Break out?! response:	That sounds so evil!
context: We'll see...\Hey! I thought evil doesn't give up!\Yeah, sure, but what are we gonna do when magic won't even work here?!\I'm breakin' outta here!\Whatever happens, I gotta save Lucy.\And besides, there's a guy whose ass I wanna kick!\Break out?!\That sounds so evil! response:	That's a new evil milestone in the annals of Jiggle Butt Gang history!
context: Hey! I thought evil doesn't give up!\Yeah, sure, but what are we gonna do when magic won't even work here?!\I'm breakin' outta here!\Whatever happens, I gotta save Lucy.\And besides, there's a guy whose ass I wanna kick!\Break out?!\That sounds so evil!\That's a new evil milestone in the annals of Jiggle Butt Gang history! response:	That's right! If you guys wanna be saved too, you better cooperate with me!
context: Yeah, sure, but what are we gonna do when magic won't even work here?!\I'm breakin' outta here!\Whatever happens, I gotta save Lucy.\And besides, there's a guy whose ass I wanna kick!\Break out?!\That sounds so evil!\That's a new evil milestone in the annals of Jiggle Butt Gang history!\That's right! If you guys wanna be saved too, you better cooperate with me! response:	Alright! Leave the strategy to us!
context: I'm breakin' outta here!\Whatever happens, I gotta save Lucy.\And besides, there's a guy whose ass I wanna kick!\Break out?!\That sounds so evil!\That's a new evil milestone in the annals of Jiggle Butt Gang history!\That's right! If you guys wanna be saved too, you better cooperate with me!\Alright! Leave the strategy to us! response:	Lackeys, assemble!
context: Whatever happens, I gotta save Lucy.\And besides, there's a guy whose ass I wanna kick!\Break out?!\That sounds so evil!\That's a new evil milestone in the annals of Jiggle Butt Gang history!\That's right! If you guys wanna be saved too, you better cooperate with me!\Alright! Leave the strategy to us!\Lackeys, assemble! response:	Right!
context: And besides, there's a guy whose ass I wanna kick!\Break out?!\That sounds so evil!\That's a new evil milestone in the annals of Jiggle Butt Gang history!\That's right! If you guys wanna be saved too, you better cooperate with me!\Alright! Leave the strategy to us!\Lackeys, assemble!\Right! response:	What the hell is goin' on here?!
context: Break out?!\That sounds so evil!\That's a new evil milestone in the annals of Jiggle Butt Gang history!\That's right! If you guys wanna be saved too, you better cooperate with me!\Alright! Leave the strategy to us!\Lackeys, assemble!\Right!\What the hell is goin' on here?! response:	Then it's true that Michelle is the sixth member of Oracion Seis?
context: That sounds so evil!\That's a new evil milestone in the annals of Jiggle Butt Gang history!\That's right! If you guys wanna be saved too, you better cooperate with me!\Alright! Leave the strategy to us!\Lackeys, assemble!\Right!\What the hell is goin' on here?!\Then it's true that Michelle is the sixth member of Oracion Seis? response:	Yeah. She fooled us.
context: That's a new evil milestone in the annals of Jiggle Butt Gang history!\That's right! If you guys wanna be saved too, you better cooperate with me!\Alright! Leave the strategy to us!\Lackeys, assemble!\Right!\What the hell is goin' on here?!\Then it's true that Michelle is the sixth member of Oracion Seis?\Yeah. She fooled us. response:	I can't believe it...
context: That's right! If you guys wanna be saved too, you better cooperate with me!\Alright! Leave the strategy to us!\Lackeys, assemble!\Right!\What the hell is goin' on here?!\Then it's true that Michelle is the sixth member of Oracion Seis?\Yeah. She fooled us.\I can't believe it... response:	Natsu, Lucy, and the others have been captured.
context: Alright! Leave the strategy to us!\Lackeys, assemble!\Right!\What the hell is goin' on here?!\Then it's true that Michelle is the sixth member of Oracion Seis?\Yeah. She fooled us.\I can't believe it...\Natsu, Lucy, and the others have been captured. response:	Dammit!
context: Lackeys, assemble!\Right!\What the hell is goin' on here?!\Then it's true that Michelle is the sixth member of Oracion Seis?\Yeah. She fooled us.\I can't believe it...\Natsu, Lucy, and the others have been captured.\Dammit! response:	It was all I could do just to get away myself.
context: Right!\What the hell is goin' on here?!\Then it's true that Michelle is the sixth member of Oracion Seis?\Yeah. She fooled us.\I can't believe it...\Natsu, Lucy, and the others have been captured.\Dammit!\It was all I could do just to get away myself. response:	You can't blame yourself.
context: What the hell is goin' on here?!\Then it's true that Michelle is the sixth member of Oracion Seis?\Yeah. She fooled us.\I can't believe it...\Natsu, Lucy, and the others have been captured.\Dammit!\It was all I could do just to get away myself.\You can't blame yourself. response:	It's not all your fault.
context: Then it's true that Michelle is the sixth member of Oracion Seis?\Yeah. She fooled us.\I can't believe it...\Natsu, Lucy, and the others have been captured.\Dammit!\It was all I could do just to get away myself.\You can't blame yourself.\It's not all your fault. response:	Cana. What do you want to say?
context: Yeah. She fooled us.\I can't believe it...\Natsu, Lucy, and the others have been captured.\Dammit!\It was all I could do just to get away myself.\You can't blame yourself.\It's not all your fault.\Cana. What do you want to say? response:	My cards didn't foretell that Brain II would show up at Kardia Cathedral.
context: I can't believe it...\Natsu, Lucy, and the others have been captured.\Dammit!\It was all I could do just to get away myself.\You can't blame yourself.\It's not all your fault.\Cana. What do you want to say?\My cards didn't foretell that Brain II would show up at Kardia Cathedral. response:	And they didn't give me accurate pairings either for splitting into teams.
context: Natsu, Lucy, and the others have been captured.\Dammit!\It was all I could do just to get away myself.\You can't blame yourself.\It's not all your fault.\Cana. What do you want to say?\My cards didn't foretell that Brain II would show up at Kardia Cathedral.\And they didn't give me accurate pairings either for splitting into teams. response:	Everyone was out of step with each other, right?
context: Dammit!\It was all I could do just to get away myself.\You can't blame yourself.\It's not all your fault.\Cana. What do you want to say?\My cards didn't foretell that Brain II would show up at Kardia Cathedral.\And they didn't give me accurate pairings either for splitting into teams.\Everyone was out of step with each other, right? response:	Now that you mention it...
context: It was all I could do just to get away myself.\You can't blame yourself.\It's not all your fault.\Cana. What do you want to say?\My cards didn't foretell that Brain II would show up at Kardia Cathedral.\And they didn't give me accurate pairings either for splitting into teams.\Everyone was out of step with each other, right?\Now that you mention it... response:	We didn't mesh with each other.
context: You can't blame yourself.\It's not all your fault.\Cana. What do you want to say?\My cards didn't foretell that Brain II would show up at Kardia Cathedral.\And they didn't give me accurate pairings either for splitting into teams.\Everyone was out of step with each other, right?\Now that you mention it...\We didn't mesh with each other. response:	You mean someone or something was using your divinations?
context: It's not all your fault.\Cana. What do you want to say?\My cards didn't foretell that Brain II would show up at Kardia Cathedral.\And they didn't give me accurate pairings either for splitting into teams.\Everyone was out of step with each other, right?\Now that you mention it...\We didn't mesh with each other.\You mean someone or something was using your divinations? response:	Most likely.
context: Cana. What do you want to say?\My cards didn't foretell that Brain II would show up at Kardia Cathedral.\And they didn't give me accurate pairings either for splitting into teams.\Everyone was out of step with each other, right?\Now that you mention it...\We didn't mesh with each other.\You mean someone or something was using your divinations?\Most likely. response:	Jeez. This whole thing is frustrating.
context: My cards didn't foretell that Brain II would show up at Kardia Cathedral.\And they didn't give me accurate pairings either for splitting into teams.\Everyone was out of step with each other, right?\Now that you mention it...\We didn't mesh with each other.\You mean someone or something was using your divinations?\Most likely.\Jeez. This whole thing is frustrating. response:	Everyone, now isn't the time to review our mistakes!
context: And they didn't give me accurate pairings either for splitting into teams.\Everyone was out of step with each other, right?\Now that you mention it...\We didn't mesh with each other.\You mean someone or something was using your divinations?\Most likely.\Jeez. This whole thing is frustrating.\Everyone, now isn't the time to review our mistakes! response:	It's more important to save Natsu-san and Lucy-san, then do something about this situation!
context: Everyone was out of step with each other, right?\Now that you mention it...\We didn't mesh with each other.\You mean someone or something was using your divinations?\Most likely.\Jeez. This whole thing is frustrating.\Everyone, now isn't the time to review our mistakes!\It's more important to save Natsu-san and Lucy-san, then do something about this situation! response:	Yeah, Wendy's right!
context: Now that you mention it...\We didn't mesh with each other.\You mean someone or something was using your divinations?\Most likely.\Jeez. This whole thing is frustrating.\Everyone, now isn't the time to review our mistakes!\It's more important to save Natsu-san and Lucy-san, then do something about this situation!\Yeah, Wendy's right! response:	Excuse me, young lady...
context: We didn't mesh with each other.\You mean someone or something was using your divinations?\Most likely.\Jeez. This whole thing is frustrating.\Everyone, now isn't the time to review our mistakes!\It's more important to save Natsu-san and Lucy-san, then do something about this situation!\Yeah, Wendy's right!\Excuse me, young lady... response:	It's the Actually people!
context: You mean someone or something was using your divinations?\Most likely.\Jeez. This whole thing is frustrating.\Everyone, now isn't the time to review our mistakes!\It's more important to save Natsu-san and Lucy-san, then do something about this situation!\Yeah, Wendy's right!\Excuse me, young lady...\It's the Actually people! response:	Who might you folks be?
context: Most likely.\Jeez. This whole thing is frustrating.\Everyone, now isn't the time to review our mistakes!\It's more important to save Natsu-san and Lucy-san, then do something about this situation!\Yeah, Wendy's right!\Excuse me, young lady...\It's the Actually people!\Who might you folks be? response:	Actually, we belong to the Archaeological Society.
context: Jeez. This whole thing is frustrating.\Everyone, now isn't the time to review our mistakes!\It's more important to save Natsu-san and Lucy-san, then do something about this situation!\Yeah, Wendy's right!\Excuse me, young lady...\It's the Actually people!\Who might you folks be?\Actually, we belong to the Archaeological Society. response:	Actually, we would like to meet with Lucy Heartfilia-sama, actually.
context: Everyone, now isn't the time to review our mistakes!\It's more important to save Natsu-san and Lucy-san, then do something about this situation!\Yeah, Wendy's right!\Excuse me, young lady...\It's the Actually people!\Who might you folks be?\Actually, we belong to the Archaeological Society.\Actually, we would like to meet with Lucy Heartfilia-sama, actually. response:	What's going on? It's noisy out there...
context: It's more important to save Natsu-san and Lucy-san, then do something about this situation!\Yeah, Wendy's right!\Excuse me, young lady...\It's the Actually people!\Who might you folks be?\Actually, we belong to the Archaeological Society.\Actually, we would like to meet with Lucy Heartfilia-sama, actually.\What's going on? It's noisy out there... response:	What business do you have with Lucy?
context: Yeah, Wendy's right!\Excuse me, young lady...\It's the Actually people!\Who might you folks be?\Actually, we belong to the Archaeological Society.\Actually, we would like to meet with Lucy Heartfilia-sama, actually.\What's going on? It's noisy out there...\What business do you have with Lucy? response:	And who are you?
context: Excuse me, young lady...\It's the Actually people!\Who might you folks be?\Actually, we belong to the Archaeological Society.\Actually, we would like to meet with Lucy Heartfilia-sama, actually.\What's going on? It's noisy out there...\What business do you have with Lucy?\And who are you? response:	I'm the master here, Macao.
context: It's the Actually people!\Who might you folks be?\Actually, we belong to the Archaeological Society.\Actually, we would like to meet with Lucy Heartfilia-sama, actually.\What's going on? It's noisy out there...\What business do you have with Lucy?\And who are you?\I'm the master here, Macao. response:	I would know your purpose in coming here.
context: Who might you folks be?\Actually, we belong to the Archaeological Society.\Actually, we would like to meet with Lucy Heartfilia-sama, actually.\What's going on? It's noisy out there...\What business do you have with Lucy?\And who are you?\I'm the master here, Macao.\I would know your purpose in coming here. response:	Actually...
context: Actually, we belong to the Archaeological Society.\Actually, we would like to meet with Lucy Heartfilia-sama, actually.\What's going on? It's noisy out there...\What business do you have with Lucy?\And who are you?\I'm the master here, Macao.\I would know your purpose in coming here.\Actually... response:	We need to speak with Lucy-sama directly.
context: Actually, we would like to meet with Lucy Heartfilia-sama, actually.\What's going on? It's noisy out there...\What business do you have with Lucy?\And who are you?\I'm the master here, Macao.\I would know your purpose in coming here.\Actually...\We need to speak with Lucy-sama directly. response:	Quite so! It has to do with that sky.
context: What's going on? It's noisy out there...\What business do you have with Lucy?\And who are you?\I'm the master here, Macao.\I would know your purpose in coming here.\Actually...\We need to speak with Lucy-sama directly.\Quite so! It has to do with that sky. response:	Lucy and Natsu were both captured by Oracion Seis.
context: What business do you have with Lucy?\And who are you?\I'm the master here, Macao.\I would know your purpose in coming here.\Actually...\We need to speak with Lucy-sama directly.\Quite so! It has to do with that sky.\Lucy and Natsu were both captured by Oracion Seis. response:	What?!
