context: Oh, God, please save the soul of this girl with a broken heart! response:	Zoisite, committing evil deeds in a sacred place...
context: Please tell me!\What is the Silver Crystal? Who in the world are you?\The Silver Crystal...\Once you find the Silver Crystal, everything...\Once you find the Silver Crystal, everything...\That same dream again!\Who is that princess?\Am I Tuxedo Mask? response:	The Silver Crystal...
context: What is the Silver Crystal? Who in the world are you?\The Silver Crystal...\Once you find the Silver Crystal, everything...\Once you find the Silver Crystal, everything...\That same dream again!\Who is that princess?\Am I Tuxedo Mask?\The Silver Crystal... response:	If I can get my hands on it, will it answer all my questions?
context: The Silver Crystal...\Once you find the Silver Crystal, everything...\Once you find the Silver Crystal, everything...\That same dream again!\Who is that princess?\Am I Tuxedo Mask?\The Silver Crystal...\If I can get my hands on it, will it answer all my questions? response:	You have obtained one of the rainbow crystals already.
context: Once you find the Silver Crystal, everything...\Once you find the Silver Crystal, everything...\That same dream again!\Who is that princess?\Am I Tuxedo Mask?\The Silver Crystal...\If I can get my hands on it, will it answer all my questions?\You have obtained one of the rainbow crystals already. response:	But, Zoisite, what is your next plan?
context: Once you find the Silver Crystal, everything...\That same dream again!\Who is that princess?\Am I Tuxedo Mask?\The Silver Crystal...\If I can get my hands on it, will it answer all my questions?\You have obtained one of the rainbow crystals already.\But, Zoisite, what is your next plan? response:	Yes, my lady!
context: That same dream again!\Who is that princess?\Am I Tuxedo Mask?\The Silver Crystal...\If I can get my hands on it, will it answer all my questions?\You have obtained one of the rainbow crystals already.\But, Zoisite, what is your next plan?\Yes, my lady! response:	The Black Crystal already senses another rainbow crystal.
context: Who is that princess?\Am I Tuxedo Mask?\The Silver Crystal...\If I can get my hands on it, will it answer all my questions?\You have obtained one of the rainbow crystals already.\But, Zoisite, what is your next plan?\Yes, my lady!\The Black Crystal already senses another rainbow crystal. response:	The next rainbow crystal is inside this man's body.
context: Am I Tuxedo Mask?\The Silver Crystal...\If I can get my hands on it, will it answer all my questions?\You have obtained one of the rainbow crystals already.\But, Zoisite, what is your next plan?\Yes, my lady!\The Black Crystal already senses another rainbow crystal.\The next rainbow crystal is inside this man's body. response:	I shall leave it to you.
context: The Silver Crystal...\If I can get my hands on it, will it answer all my questions?\You have obtained one of the rainbow crystals already.\But, Zoisite, what is your next plan?\Yes, my lady!\The Black Crystal already senses another rainbow crystal.\The next rainbow crystal is inside this man's body.\I shall leave it to you. response:	Juban Municipal Junior High School
context: If I can get my hands on it, will it answer all my questions?\You have obtained one of the rainbow crystals already.\But, Zoisite, what is your next plan?\Yes, my lady!\The Black Crystal already senses another rainbow crystal.\The next rainbow crystal is inside this man's body.\I shall leave it to you.\Juban Municipal Junior High School response:	Naru's absent again.
context: You have obtained one of the rainbow crystals already.\But, Zoisite, what is your next plan?\Yes, my lady!\The Black Crystal already senses another rainbow crystal.\The next rainbow crystal is inside this man's body.\I shall leave it to you.\Juban Municipal Junior High School\Naru's absent again. response:	Mr. Nephrite...
context: But, Zoisite, what is your next plan?\Yes, my lady!\The Black Crystal already senses another rainbow crystal.\The next rainbow crystal is inside this man's body.\I shall leave it to you.\Juban Municipal Junior High School\Naru's absent again.\Mr. Nephrite... response:	I'm sorry.
context: Yes, my lady!\The Black Crystal already senses another rainbow crystal.\The next rainbow crystal is inside this man's body.\I shall leave it to you.\Juban Municipal Junior High School\Naru's absent again.\Mr. Nephrite...\I'm sorry. response:	I don't think we'll get to eat a chocolate parfait together.
context: The Black Crystal already senses another rainbow crystal.\The next rainbow crystal is inside this man's body.\I shall leave it to you.\Juban Municipal Junior High School\Naru's absent again.\Mr. Nephrite...\I'm sorry.\I don't think we'll get to eat a chocolate parfait together. response:	No...
context: The next rainbow crystal is inside this man's body.\I shall leave it to you.\Juban Municipal Junior High School\Naru's absent again.\Mr. Nephrite...\I'm sorry.\I don't think we'll get to eat a chocolate parfait together.\No... response:	No! You can't! You promised!
context: I shall leave it to you.\Juban Municipal Junior High School\Naru's absent again.\Mr. Nephrite...\I'm sorry.\I don't think we'll get to eat a chocolate parfait together.\No...\No! You can't! You promised! response:	You said we'd eat a chocolate parfait together!
context: Juban Municipal Junior High School\Naru's absent again.\Mr. Nephrite...\I'm sorry.\I don't think we'll get to eat a chocolate parfait together.\No...\No! You can't! You promised!\You said we'd eat a chocolate parfait together! response:	Mr. Nephrite!
context: Naru's absent again.\Mr. Nephrite...\I'm sorry.\I don't think we'll get to eat a chocolate parfait together.\No...\No! You can't! You promised!\You said we'd eat a chocolate parfait together!\Mr. Nephrite! response:	Naru...
context: Mr. Nephrite...\I'm sorry.\I don't think we'll get to eat a chocolate parfait together.\No...\No! You can't! You promised!\You said we'd eat a chocolate parfait together!\Mr. Nephrite!\Naru... response:	What?
context: I'm sorry.\I don't think we'll get to eat a chocolate parfait together.\No...\No! You can't! You promised!\You said we'd eat a chocolate parfait together!\Mr. Nephrite!\Naru...\What? response:	You're going to visit Naru?
context: I don't think we'll get to eat a chocolate parfait together.\No...\No! You can't! You promised!\You said we'd eat a chocolate parfait together!\Mr. Nephrite!\Naru...\What?\You're going to visit Naru? response:	Yes, I am. She hasn't shown up at school for a week now.
context: No...\No! You can't! You promised!\You said we'd eat a chocolate parfait together!\Mr. Nephrite!\Naru...\What?\You're going to visit Naru?\Yes, I am. She hasn't shown up at school for a week now. response:	I bet she still hasn't been able to recover.
context: No! You can't! You promised!\You said we'd eat a chocolate parfait together!\Mr. Nephrite!\Naru...\What?\You're going to visit Naru?\Yes, I am. She hasn't shown up at school for a week now.\I bet she still hasn't been able to recover. response:	What?
context: You said we'd eat a chocolate parfait together!\Mr. Nephrite!\Naru...\What?\You're going to visit Naru?\Yes, I am. She hasn't shown up at school for a week now.\I bet she still hasn't been able to recover.\What? response:	I thought Naru was out because of a cold.
context: Mr. Nephrite!\Naru...\What?\You're going to visit Naru?\Yes, I am. She hasn't shown up at school for a week now.\I bet she still hasn't been able to recover.\What?\I thought Naru was out because of a cold. response:	Honestly, you're just so dense!
context: Naru...\What?\You're going to visit Naru?\Yes, I am. She hasn't shown up at school for a week now.\I bet she still hasn't been able to recover.\What?\I thought Naru was out because of a cold.\Honestly, you're just so dense! response:	Anyway, once we get to Naru's house, make sure to cheer her up!
context: What?\You're going to visit Naru?\Yes, I am. She hasn't shown up at school for a week now.\I bet she still hasn't been able to recover.\What?\I thought Naru was out because of a cold.\Honestly, you're just so dense!\Anyway, once we get to Naru's house, make sure to cheer her up! response:	Of course, I will!
context: You're going to visit Naru?\Yes, I am. She hasn't shown up at school for a week now.\I bet she still hasn't been able to recover.\What?\I thought Naru was out because of a cold.\Honestly, you're just so dense!\Anyway, once we get to Naru's house, make sure to cheer her up!\Of course, I will! response:	If that's what you want, just leave it to me!
context: Yes, I am. She hasn't shown up at school for a week now.\I bet she still hasn't been able to recover.\What?\I thought Naru was out because of a cold.\Honestly, you're just so dense!\Anyway, once we get to Naru's house, make sure to cheer her up!\Of course, I will!\If that's what you want, just leave it to me! response:	Jewelry
context: I bet she still hasn't been able to recover.\What?\I thought Naru was out because of a cold.\Honestly, you're just so dense!\Anyway, once we get to Naru's house, make sure to cheer her up!\Of course, I will!\If that's what you want, just leave it to me!\Jewelry response:	Sorry for showing up without any warning.
context: What?\I thought Naru was out because of a cold.\Honestly, you're just so dense!\Anyway, once we get to Naru's house, make sure to cheer her up!\Of course, I will!\If that's what you want, just leave it to me!\Jewelry\Sorry for showing up without any warning. response:	We were just sort of wondering how you were doing.
context: I thought Naru was out because of a cold.\Honestly, you're just so dense!\Anyway, once we get to Naru's house, make sure to cheer her up!\Of course, I will!\If that's what you want, just leave it to me!\Jewelry\Sorry for showing up without any warning.\We were just sort of wondering how you were doing. response:	Well,
context: Honestly, you're just so dense!\Anyway, once we get to Naru's house, make sure to cheer her up!\Of course, I will!\If that's what you want, just leave it to me!\Jewelry\Sorry for showing up without any warning.\We were just sort of wondering how you were doing.\Well, response:	I was completely under the impression
context: Anyway, once we get to Naru's house, make sure to cheer her up!\Of course, I will!\If that's what you want, just leave it to me!\Jewelry\Sorry for showing up without any warning.\We were just sort of wondering how you were doing.\Well,\I was completely under the impression response:	that you were absent because of a cold,
context: Of course, I will!\If that's what you want, just leave it to me!\Jewelry\Sorry for showing up without any warning.\We were just sort of wondering how you were doing.\Well,\I was completely under the impression\that you were absent because of a cold, response:	but could it be your heart was broken or something?
context: If that's what you want, just leave it to me!\Jewelry\Sorry for showing up without any warning.\We were just sort of wondering how you were doing.\Well,\I was completely under the impression\that you were absent because of a cold,\but could it be your heart was broken or something? response:	You moron.
context: Jewelry\Sorry for showing up without any warning.\We were just sort of wondering how you were doing.\Well,\I was completely under the impression\that you were absent because of a cold,\but could it be your heart was broken or something?\You moron. response:	What was that all of a sudden?
context: Sorry for showing up without any warning.\We were just sort of wondering how you were doing.\Well,\I was completely under the impression\that you were absent because of a cold,\but could it be your heart was broken or something?\You moron.\What was that all of a sudden? response:	Don't you have anything else to say?!
context: We were just sort of wondering how you were doing.\Well,\I was completely under the impression\that you were absent because of a cold,\but could it be your heart was broken or something?\You moron.\What was that all of a sudden?\Don't you have anything else to say?! response:	What?
context: Well,\I was completely under the impression\that you were absent because of a cold,\but could it be your heart was broken or something?\You moron.\What was that all of a sudden?\Don't you have anything else to say?!\What? response:	Okay, then...
context: I was completely under the impression\that you were absent because of a cold,\but could it be your heart was broken or something?\You moron.\What was that all of a sudden?\Don't you have anything else to say?!\What?\Okay, then... response:	Then why don't we go somewhere and eat a chocolate parfait?
context: that you were absent because of a cold,\but could it be your heart was broken or something?\You moron.\What was that all of a sudden?\Don't you have anything else to say?!\What?\Okay, then...\Then why don't we go somewhere and eat a chocolate parfait? response:	Why you! You are just so...
context: but could it be your heart was broken or something?\You moron.\What was that all of a sudden?\Don't you have anything else to say?!\What?\Okay, then...\Then why don't we go somewhere and eat a chocolate parfait?\Why you! You are just so... response:	Ouch... Why you! You are just so...
context: You moron.\What was that all of a sudden?\Don't you have anything else to say?!\What?\Okay, then...\Then why don't we go somewhere and eat a chocolate parfait?\Why you! You are just so...\Ouch... Why you! You are just so... response:	Ouch... Usagi.
context: What was that all of a sudden?\Don't you have anything else to say?!\What?\Okay, then...\Then why don't we go somewhere and eat a chocolate parfait?\Why you! You are just so...\Ouch... Why you! You are just so...\Ouch... Usagi. response:	Usagi.
context: Don't you have anything else to say?!\What?\Okay, then...\Then why don't we go somewhere and eat a chocolate parfait?\Why you! You are just so...\Ouch... Why you! You are just so...\Ouch... Usagi.\Usagi. response:	You want to go out somewhere?
context: What?\Okay, then...\Then why don't we go somewhere and eat a chocolate parfait?\Why you! You are just so...\Ouch... Why you! You are just so...\Ouch... Usagi.\Usagi.\You want to go out somewhere? response:	What?
context: Okay, then...\Then why don't we go somewhere and eat a chocolate parfait?\Why you! You are just so...\Ouch... Why you! You are just so...\Ouch... Usagi.\Usagi.\You want to go out somewhere?\What? response:	And maybe have something good to eat?
context: Then why don't we go somewhere and eat a chocolate parfait?\Why you! You are just so...\Ouch... Why you! You are just so...\Ouch... Usagi.\Usagi.\You want to go out somewhere?\What?\And maybe have something good to eat? response:	Naru...
context: Why you! You are just so...\Ouch... Why you! You are just so...\Ouch... Usagi.\Usagi.\You want to go out somewhere?\What?\And maybe have something good to eat?\Naru... response:	Okay!
context: Ouch... Why you! You are just so...\Ouch... Usagi.\Usagi.\You want to go out somewhere?\What?\And maybe have something good to eat?\Naru...\Okay! response:	Yeah, yeah.
context: Ouch... Usagi.\Usagi.\You want to go out somewhere?\What?\And maybe have something good to eat?\Naru...\Okay!\Yeah, yeah. response:	Hikawa Shrine
context: Usagi.\You want to go out somewhere?\What?\And maybe have something good to eat?\Naru...\Okay!\Yeah, yeah.\Hikawa Shrine response:	The power that could even blow up a planet?
context: You want to go out somewhere?\What?\And maybe have something good to eat?\Naru...\Okay!\Yeah, yeah.\Hikawa Shrine\The power that could even blow up a planet? response:	That's right! In other words, apparently the Silver Crystal
context: What?\And maybe have something good to eat?\Naru...\Okay!\Yeah, yeah.\Hikawa Shrine\The power that could even blow up a planet?\That's right! In other words, apparently the Silver Crystal response:	has that much power, depending on how you use it.
context: And maybe have something good to eat?\Naru...\Okay!\Yeah, yeah.\Hikawa Shrine\The power that could even blow up a planet?\That's right! In other words, apparently the Silver Crystal\has that much power, depending on how you use it. response:	So, it has tremendous power.
context: Naru...\Okay!\Yeah, yeah.\Hikawa Shrine\The power that could even blow up a planet?\That's right! In other words, apparently the Silver Crystal\has that much power, depending on how you use it.\So, it has tremendous power. response:	So, where is this Silver Crystal?
context: Okay!\Yeah, yeah.\Hikawa Shrine\The power that could even blow up a planet?\That's right! In other words, apparently the Silver Crystal\has that much power, depending on how you use it.\So, it has tremendous power.\So, where is this Silver Crystal? response:	I still don't know that yet.
context: Yeah, yeah.\Hikawa Shrine\The power that could even blow up a planet?\That's right! In other words, apparently the Silver Crystal\has that much power, depending on how you use it.\So, it has tremendous power.\So, where is this Silver Crystal?\I still don't know that yet. response:	But I found out that there are these shards called rainbow crystals.
context: Hikawa Shrine\The power that could even blow up a planet?\That's right! In other words, apparently the Silver Crystal\has that much power, depending on how you use it.\So, it has tremendous power.\So, where is this Silver Crystal?\I still don't know that yet.\But I found out that there are these shards called rainbow crystals. response:	Shards?
context: The power that could even blow up a planet?\That's right! In other words, apparently the Silver Crystal\has that much power, depending on how you use it.\So, it has tremendous power.\So, where is this Silver Crystal?\I still don't know that yet.\But I found out that there are these shards called rainbow crystals.\Shards? response:	That's right, the rainbow crystals are pieces of the Silver Crystal.
context: That's right! In other words, apparently the Silver Crystal\has that much power, depending on how you use it.\So, it has tremendous power.\So, where is this Silver Crystal?\I still don't know that yet.\But I found out that there are these shards called rainbow crystals.\Shards?\That's right, the rainbow crystals are pieces of the Silver Crystal. response:	Of course, that is a story I heard a long time ago.
context: has that much power, depending on how you use it.\So, it has tremendous power.\So, where is this Silver Crystal?\I still don't know that yet.\But I found out that there are these shards called rainbow crystals.\Shards?\That's right, the rainbow crystals are pieces of the Silver Crystal.\Of course, that is a story I heard a long time ago. response:	There were these bad guys in the Dark Kingdom
context: So, it has tremendous power.\So, where is this Silver Crystal?\I still don't know that yet.\But I found out that there are these shards called rainbow crystals.\Shards?\That's right, the rainbow crystals are pieces of the Silver Crystal.\Of course, that is a story I heard a long time ago.\There were these bad guys in the Dark Kingdom response:	called the Seven Monsters.
context: So, where is this Silver Crystal?\I still don't know that yet.\But I found out that there are these shards called rainbow crystals.\Shards?\That's right, the rainbow crystals are pieces of the Silver Crystal.\Of course, that is a story I heard a long time ago.\There were these bad guys in the Dark Kingdom\called the Seven Monsters. response:	But apparently, someone trapped them inside
context: I still don't know that yet.\But I found out that there are these shards called rainbow crystals.\Shards?\That's right, the rainbow crystals are pieces of the Silver Crystal.\Of course, that is a story I heard a long time ago.\There were these bad guys in the Dark Kingdom\called the Seven Monsters.\But apparently, someone trapped them inside response:	the seven shards of the legendary Silver Crystal.
context: But I found out that there are these shards called rainbow crystals.\Shards?\That's right, the rainbow crystals are pieces of the Silver Crystal.\Of course, that is a story I heard a long time ago.\There were these bad guys in the Dark Kingdom\called the Seven Monsters.\But apparently, someone trapped them inside\the seven shards of the legendary Silver Crystal. response:	With the rainbow crystals dwelling inside of them,
context: Shards?\That's right, the rainbow crystals are pieces of the Silver Crystal.\Of course, that is a story I heard a long time ago.\There were these bad guys in the Dark Kingdom\called the Seven Monsters.\But apparently, someone trapped them inside\the seven shards of the legendary Silver Crystal.\With the rainbow crystals dwelling inside of them, response:	the demons became good-hearted humans
context: That's right, the rainbow crystals are pieces of the Silver Crystal.\Of course, that is a story I heard a long time ago.\There were these bad guys in the Dark Kingdom\called the Seven Monsters.\But apparently, someone trapped them inside\the seven shards of the legendary Silver Crystal.\With the rainbow crystals dwelling inside of them,\the demons became good-hearted humans response:	and came down to Earth.
context: Of course, that is a story I heard a long time ago.\There were these bad guys in the Dark Kingdom\called the Seven Monsters.\But apparently, someone trapped them inside\the seven shards of the legendary Silver Crystal.\With the rainbow crystals dwelling inside of them,\the demons became good-hearted humans\and came down to Earth. response:	And having become humans, they led peaceful lives.
context: There were these bad guys in the Dark Kingdom\called the Seven Monsters.\But apparently, someone trapped them inside\the seven shards of the legendary Silver Crystal.\With the rainbow crystals dwelling inside of them,\the demons became good-hearted humans\and came down to Earth.\And having become humans, they led peaceful lives. response:	But Zoisite is trying to take the rainbow crystals out of them.
context: called the Seven Monsters.\But apparently, someone trapped them inside\the seven shards of the legendary Silver Crystal.\With the rainbow crystals dwelling inside of them,\the demons became good-hearted humans\and came down to Earth.\And having become humans, they led peaceful lives.\But Zoisite is trying to take the rainbow crystals out of them. response:	If he can take the seven rainbow crystals,
context: But apparently, someone trapped them inside\the seven shards of the legendary Silver Crystal.\With the rainbow crystals dwelling inside of them,\the demons became good-hearted humans\and came down to Earth.\And having become humans, they led peaceful lives.\But Zoisite is trying to take the rainbow crystals out of them.\If he can take the seven rainbow crystals, response:	he can get a hold of the legendary Silver Crystal!
context: the seven shards of the legendary Silver Crystal.\With the rainbow crystals dwelling inside of them,\the demons became good-hearted humans\and came down to Earth.\And having become humans, they led peaceful lives.\But Zoisite is trying to take the rainbow crystals out of them.\If he can take the seven rainbow crystals,\he can get a hold of the legendary Silver Crystal! response:	On top of that, it also revives an evil monster,
context: With the rainbow crystals dwelling inside of them,\the demons became good-hearted humans\and came down to Earth.\And having become humans, they led peaceful lives.\But Zoisite is trying to take the rainbow crystals out of them.\If he can take the seven rainbow crystals,\he can get a hold of the legendary Silver Crystal!\On top of that, it also revives an evil monster, response:	so the enemy is killing two birds with one stone.
context: the demons became good-hearted humans\and came down to Earth.\And having become humans, they led peaceful lives.\But Zoisite is trying to take the rainbow crystals out of them.\If he can take the seven rainbow crystals,\he can get a hold of the legendary Silver Crystal!\On top of that, it also revives an evil monster,\so the enemy is killing two birds with one stone. response:	As long as I'm in this,
context: and came down to Earth.\And having become humans, they led peaceful lives.\But Zoisite is trying to take the rainbow crystals out of them.\If he can take the seven rainbow crystals,\he can get a hold of the legendary Silver Crystal!\On top of that, it also revives an evil monster,\so the enemy is killing two birds with one stone.\As long as I'm in this, response:	there's no way I'll let those villains get their way.
context: And having become humans, they led peaceful lives.\But Zoisite is trying to take the rainbow crystals out of them.\If he can take the seven rainbow crystals,\he can get a hold of the legendary Silver Crystal!\On top of that, it also revives an evil monster,\so the enemy is killing two birds with one stone.\As long as I'm in this,\there's no way I'll let those villains get their way. response:	That's what I was going to say.
context: But Zoisite is trying to take the rainbow crystals out of them.\If he can take the seven rainbow crystals,\he can get a hold of the legendary Silver Crystal!\On top of that, it also revives an evil monster,\so the enemy is killing two birds with one stone.\As long as I'm in this,\there's no way I'll let those villains get their way.\That's what I was going to say. response:	But how do we find the people who possess the rainbow crystals?
context: If he can take the seven rainbow crystals,\he can get a hold of the legendary Silver Crystal!\On top of that, it also revives an evil monster,\so the enemy is killing two birds with one stone.\As long as I'm in this,\there's no way I'll let those villains get their way.\That's what I was going to say.\But how do we find the people who possess the rainbow crystals? response:	The wand that I gave Usagi will respond to them!
