context: *grunt* response:	OH NO SHE DIDN'!
context: The price isn't going any lower.\I'm sorry, I didn't notice you there.\Looks like you're ready.\Yeah. We haven't run into any trouble.\But I've run into some.\I've got an idea to take care of it.\You in?\Tell me more about this idea. response:	This one is nice too.
context: I'm sorry, I didn't notice you there.\Looks like you're ready.\Yeah. We haven't run into any trouble.\But I've run into some.\I've got an idea to take care of it.\You in?\Tell me more about this idea.\This one is nice too. response:	So you're the fine shopkeeper. You selling these?
context: Looks like you're ready.\Yeah. We haven't run into any trouble.\But I've run into some.\I've got an idea to take care of it.\You in?\Tell me more about this idea.\This one is nice too.\So you're the fine shopkeeper. You selling these? response:	I hope you like our goods.
context: Yeah. We haven't run into any trouble.\But I've run into some.\I've got an idea to take care of it.\You in?\Tell me more about this idea.\This one is nice too.\So you're the fine shopkeeper. You selling these?\I hope you like our goods. response:	They're not bad.
context: But I've run into some.\I've got an idea to take care of it.\You in?\Tell me more about this idea.\This one is nice too.\So you're the fine shopkeeper. You selling these?\I hope you like our goods.\They're not bad. response:	But, there's just one fault.
context: I've got an idea to take care of it.\You in?\Tell me more about this idea.\This one is nice too.\So you're the fine shopkeeper. You selling these?\I hope you like our goods.\They're not bad.\But, there's just one fault. response:	Oh? What would that be?
context: You in?\Tell me more about this idea.\This one is nice too.\So you're the fine shopkeeper. You selling these?\I hope you like our goods.\They're not bad.\But, there's just one fault.\Oh? What would that be? response:	You've got this many. It would take some work and a few connections to sell them.
context: Tell me more about this idea.\This one is nice too.\So you're the fine shopkeeper. You selling these?\I hope you like our goods.\They're not bad.\But, there's just one fault.\Oh? What would that be?\You've got this many. It would take some work and a few connections to sell them. response:	And we don't have the resources for that, you get what I'm saying?
context: This one is nice too.\So you're the fine shopkeeper. You selling these?\I hope you like our goods.\They're not bad.\But, there's just one fault.\Oh? What would that be?\You've got this many. It would take some work and a few connections to sell them.\And we don't have the resources for that, you get what I'm saying? response:	So-
context: So you're the fine shopkeeper. You selling these?\I hope you like our goods.\They're not bad.\But, there's just one fault.\Oh? What would that be?\You've got this many. It would take some work and a few connections to sell them.\And we don't have the resources for that, you get what I'm saying?\So- response:	We have a no-discount policy here.
context: I hope you like our goods.\They're not bad.\But, there's just one fault.\Oh? What would that be?\You've got this many. It would take some work and a few connections to sell them.\And we don't have the resources for that, you get what I'm saying?\So-\We have a no-discount policy here. response:	The price is part of the taste.
context: They're not bad.\But, there's just one fault.\Oh? What would that be?\You've got this many. It would take some work and a few connections to sell them.\And we don't have the resources for that, you get what I'm saying?\So-\We have a no-discount policy here.\The price is part of the taste. response:	We won't ask you to lower the price.
context: But, there's just one fault.\Oh? What would that be?\You've got this many. It would take some work and a few connections to sell them.\And we don't have the resources for that, you get what I'm saying?\So-\We have a no-discount policy here.\The price is part of the taste.\We won't ask you to lower the price. response:	We'll just take them.
context: Oh? What would that be?\You've got this many. It would take some work and a few connections to sell them.\And we don't have the resources for that, you get what I'm saying?\So-\We have a no-discount policy here.\The price is part of the taste.\We won't ask you to lower the price.\We'll just take them. response:	Don't even think about it.
context: You've got this many. It would take some work and a few connections to sell them.\And we don't have the resources for that, you get what I'm saying?\So-\We have a no-discount policy here.\The price is part of the taste.\We won't ask you to lower the price.\We'll just take them.\Don't even think about it. response:	Go ahead and shoot. If you can.
context: And we don't have the resources for that, you get what I'm saying?\So-\We have a no-discount policy here.\The price is part of the taste.\We won't ask you to lower the price.\We'll just take them.\Don't even think about it.\Go ahead and shoot. If you can. response:	'Cause before you can,
context: So-\We have a no-discount policy here.\The price is part of the taste.\We won't ask you to lower the price.\We'll just take them.\Don't even think about it.\Go ahead and shoot. If you can.\'Cause before you can, response:	this gun in my hand would blow your head clean off, just like your hat.
context: We have a no-discount policy here.\The price is part of the taste.\We won't ask you to lower the price.\We'll just take them.\Don't even think about it.\Go ahead and shoot. If you can.\'Cause before you can,\this gun in my hand would blow your head clean off, just like your hat. response:	Then-
context: The price is part of the taste.\We won't ask you to lower the price.\We'll just take them.\Don't even think about it.\Go ahead and shoot. If you can.\'Cause before you can,\this gun in my hand would blow your head clean off, just like your hat.\Then- response:	Not very smart, are you?
context: We won't ask you to lower the price.\We'll just take them.\Don't even think about it.\Go ahead and shoot. If you can.\'Cause before you can,\this gun in my hand would blow your head clean off, just like your hat.\Then-\Not very smart, are you? response:	This is what you get for taking me lightly.
context: We'll just take them.\Don't even think about it.\Go ahead and shoot. If you can.\'Cause before you can,\this gun in my hand would blow your head clean off, just like your hat.\Then-\Not very smart, are you?\This is what you get for taking me lightly. response:	Good night, boys.
context: Don't even think about it.\Go ahead and shoot. If you can.\'Cause before you can,\this gun in my hand would blow your head clean off, just like your hat.\Then-\Not very smart, are you?\This is what you get for taking me lightly.\Good night, boys. response:	I warned you.
context: Go ahead and shoot. If you can.\'Cause before you can,\this gun in my hand would blow your head clean off, just like your hat.\Then-\Not very smart, are you?\This is what you get for taking me lightly.\Good night, boys.\I warned you. response:	Punk.
context: 'Cause before you can,\this gun in my hand would blow your head clean off, just like your hat.\Then-\Not very smart, are you?\This is what you get for taking me lightly.\Good night, boys.\I warned you.\Punk. response:	You one of their friends?
context: this gun in my hand would blow your head clean off, just like your hat.\Then-\Not very smart, are you?\This is what you get for taking me lightly.\Good night, boys.\I warned you.\Punk.\You one of their friends? response:	Mishio!
context: Then-\Not very smart, are you?\This is what you get for taking me lightly.\Good night, boys.\I warned you.\Punk.\You one of their friends?\Mishio! response:	The car!
context: Not very smart, are you?\This is what you get for taking me lightly.\Good night, boys.\I warned you.\Punk.\You one of their friends?\Mishio!\The car! response:	Boss!
context: This is what you get for taking me lightly.\Good night, boys.\I warned you.\Punk.\You one of their friends?\Mishio!\The car!\Boss! response:	We're out of here!
context: Good night, boys.\I warned you.\Punk.\You one of their friends?\Mishio!\The car!\Boss!\We're out of here! response:	But the souvenirs for the Don?
context: I warned you.\Punk.\You one of their friends?\Mishio!\The car!\Boss!\We're out of here!\But the souvenirs for the Don? response:	Worthless if we're dead!
context: Punk.\You one of their friends?\Mishio!\The car!\Boss!\We're out of here!\But the souvenirs for the Don?\Worthless if we're dead! response:	Boss!
context: You one of their friends?\Mishio!\The car!\Boss!\We're out of here!\But the souvenirs for the Don?\Worthless if we're dead!\Boss! response:	No one said anything about maniacs!
context: Mishio!\The car!\Boss!\We're out of here!\But the souvenirs for the Don?\Worthless if we're dead!\Boss!\No one said anything about maniacs! response:	We're never coming back again!
context: The car!\Boss!\We're out of here!\But the souvenirs for the Don?\Worthless if we're dead!\Boss!\No one said anything about maniacs!\We're never coming back again! response:	They're gone.
context: Boss!\We're out of here!\But the souvenirs for the Don?\Worthless if we're dead!\Boss!\No one said anything about maniacs!\We're never coming back again!\They're gone. response:	Good.
context: We're out of here!\But the souvenirs for the Don?\Worthless if we're dead!\Boss!\No one said anything about maniacs!\We're never coming back again!\They're gone.\Good. response:	You can get up now, everyone!
context: But the souvenirs for the Don?\Worthless if we're dead!\Boss!\No one said anything about maniacs!\We're never coming back again!\They're gone.\Good.\You can get up now, everyone! response:	Man, I was scared for a moment.
context: Worthless if we're dead!\Boss!\No one said anything about maniacs!\We're never coming back again!\They're gone.\Good.\You can get up now, everyone!\Man, I was scared for a moment. response:	But it looks like we fooled them.
context: Boss!\No one said anything about maniacs!\We're never coming back again!\They're gone.\Good.\You can get up now, everyone!\Man, I was scared for a moment.\But it looks like we fooled them. response:	Thank you for your cooperation.
context: No one said anything about maniacs!\We're never coming back again!\They're gone.\Good.\You can get up now, everyone!\Man, I was scared for a moment.\But it looks like we fooled them.\Thank you for your cooperation. response:	Not at all. If the mob got a foothold here, our business would go kaput.
context: We're never coming back again!\They're gone.\Good.\You can get up now, everyone!\Man, I was scared for a moment.\But it looks like we fooled them.\Thank you for your cooperation.\Not at all. If the mob got a foothold here, our business would go kaput. response:	Just a little give-and-take.
context: They're gone.\Good.\You can get up now, everyone!\Man, I was scared for a moment.\But it looks like we fooled them.\Thank you for your cooperation.\Not at all. If the mob got a foothold here, our business would go kaput.\Just a little give-and-take. response:	But...
context: Good.\You can get up now, everyone!\Man, I was scared for a moment.\But it looks like we fooled them.\Thank you for your cooperation.\Not at all. If the mob got a foothold here, our business would go kaput.\Just a little give-and-take.\But... response:	You will be giving us our fee for this little play.
context: You can get up now, everyone!\Man, I was scared for a moment.\But it looks like we fooled them.\Thank you for your cooperation.\Not at all. If the mob got a foothold here, our business would go kaput.\Just a little give-and-take.\But...\You will be giving us our fee for this little play. response:	Oh my. Mikhail, you do have a sense of humor.
context: Man, I was scared for a moment.\But it looks like we fooled them.\Thank you for your cooperation.\Not at all. If the mob got a foothold here, our business would go kaput.\Just a little give-and-take.\But...\You will be giving us our fee for this little play.\Oh my. Mikhail, you do have a sense of humor. response:	No, no, no, no.
context: But it looks like we fooled them.\Thank you for your cooperation.\Not at all. If the mob got a foothold here, our business would go kaput.\Just a little give-and-take.\But...\You will be giving us our fee for this little play.\Oh my. Mikhail, you do have a sense of humor.\No, no, no, no. response:	I'm not joking.
context: Thank you for your cooperation.\Not at all. If the mob got a foothold here, our business would go kaput.\Just a little give-and-take.\But...\You will be giving us our fee for this little play.\Oh my. Mikhail, you do have a sense of humor.\No, no, no, no.\I'm not joking. response:	Now we talk business.
context: Not at all. If the mob got a foothold here, our business would go kaput.\Just a little give-and-take.\But...\You will be giving us our fee for this little play.\Oh my. Mikhail, you do have a sense of humor.\No, no, no, no.\I'm not joking.\Now we talk business. response:	Why don't I take those?
context: Just a little give-and-take.\But...\You will be giving us our fee for this little play.\Oh my. Mikhail, you do have a sense of humor.\No, no, no, no.\I'm not joking.\Now we talk business.\Why don't I take those? response:	Did you bust their car there?
context: But...\You will be giving us our fee for this little play.\Oh my. Mikhail, you do have a sense of humor.\No, no, no, no.\I'm not joking.\Now we talk business.\Why don't I take those?\Did you bust their car there? response:	You didn't do it?
context: You will be giving us our fee for this little play.\Oh my. Mikhail, you do have a sense of humor.\No, no, no, no.\I'm not joking.\Now we talk business.\Why don't I take those?\Did you bust their car there?\You didn't do it? response:	What happened?
context: Oh my. Mikhail, you do have a sense of humor.\No, no, no, no.\I'm not joking.\Now we talk business.\Why don't I take those?\Did you bust their car there?\You didn't do it?\What happened? response:	I don't know.
context: No, no, no, no.\I'm not joking.\Now we talk business.\Why don't I take those?\Did you bust their car there?\You didn't do it?\What happened?\I don't know. response:	It looked like someone busted their car.
context: I'm not joking.\Now we talk business.\Why don't I take those?\Did you bust their car there?\You didn't do it?\What happened?\I don't know.\It looked like someone busted their car. response:	And there were some goods that they bought at the flea market.
context: Now we talk business.\Why don't I take those?\Did you bust their car there?\You didn't do it?\What happened?\I don't know.\It looked like someone busted their car.\And there were some goods that they bought at the flea market. response:	Why don't I say I bought those and we split the profits?
context: Why don't I take those?\Did you bust their car there?\You didn't do it?\What happened?\I don't know.\It looked like someone busted their car.\And there were some goods that they bought at the flea market.\Why don't I say I bought those and we split the profits? response:	It seems we've reached an agreement.
context: Did you bust their car there?\You didn't do it?\What happened?\I don't know.\It looked like someone busted their car.\And there were some goods that they bought at the flea market.\Why don't I say I bought those and we split the profits?\It seems we've reached an agreement. response:	Yes.
context: You didn't do it?\What happened?\I don't know.\It looked like someone busted their car.\And there were some goods that they bought at the flea market.\Why don't I say I bought those and we split the profits?\It seems we've reached an agreement.\Yes. response:	So the play's finally over.
context: What happened?\I don't know.\It looked like someone busted their car.\And there were some goods that they bought at the flea market.\Why don't I say I bought those and we split the profits?\It seems we've reached an agreement.\Yes.\So the play's finally over. response:	But that was quite a surprise.
context: I don't know.\It looked like someone busted their car.\And there were some goods that they bought at the flea market.\Why don't I say I bought those and we split the profits?\It seems we've reached an agreement.\Yes.\So the play's finally over.\But that was quite a surprise. response:	What was?
context: It looked like someone busted their car.\And there were some goods that they bought at the flea market.\Why don't I say I bought those and we split the profits?\It seems we've reached an agreement.\Yes.\So the play's finally over.\But that was quite a surprise.\What was? response:	You were completely in character, Rio.
context: And there were some goods that they bought at the flea market.\Why don't I say I bought those and we split the profits?\It seems we've reached an agreement.\Yes.\So the play's finally over.\But that was quite a surprise.\What was?\You were completely in character, Rio. response:	If anyone discovered that we're distilling this, we'd have more than a court-martial on our hands.
context: Why don't I say I bought those and we split the profits?\It seems we've reached an agreement.\Yes.\So the play's finally over.\But that was quite a surprise.\What was?\You were completely in character, Rio.\If anyone discovered that we're distilling this, we'd have more than a court-martial on our hands. response:	Direct violations of the anti-trust laws and tax laws.
context: It seems we've reached an agreement.\Yes.\So the play's finally over.\But that was quite a surprise.\What was?\You were completely in character, Rio.\If anyone discovered that we're distilling this, we'd have more than a court-martial on our hands.\Direct violations of the anti-trust laws and tax laws. response:	At worst, charges of treason.
context: Yes.\So the play's finally over.\But that was quite a surprise.\What was?\You were completely in character, Rio.\If anyone discovered that we're distilling this, we'd have more than a court-martial on our hands.\Direct violations of the anti-trust laws and tax laws.\At worst, charges of treason. response:	That's right. We picked up this business after the ones before us.
context: So the play's finally over.\But that was quite a surprise.\What was?\You were completely in character, Rio.\If anyone discovered that we're distilling this, we'd have more than a court-martial on our hands.\Direct violations of the anti-trust laws and tax laws.\At worst, charges of treason.\That's right. We picked up this business after the ones before us. response:	And Rio's never been against it.
context: But that was quite a surprise.\What was?\You were completely in character, Rio.\If anyone discovered that we're distilling this, we'd have more than a court-martial on our hands.\Direct violations of the anti-trust laws and tax laws.\At worst, charges of treason.\That's right. We picked up this business after the ones before us.\And Rio's never been against it. response:	I was a bit surprised too.
context: What was?\You were completely in character, Rio.\If anyone discovered that we're distilling this, we'd have more than a court-martial on our hands.\Direct violations of the anti-trust laws and tax laws.\At worst, charges of treason.\That's right. We picked up this business after the ones before us.\And Rio's never been against it.\I was a bit surprised too. response:	Well, I was surprised myself at first.
