context: Out! response:	Lucky!
context: Yeah, that's it! That's how to start!\Oh, I'm fine...\I was feeling stressed because I hadn't been put in the match.\That's not a valid reason!\Who the hell is that?\Why would Seijoh swap in a guy like that?\Aoba Johsai Karasuno\Ah, that guy from earlier is there. response:	He's starting this set.
context: Oh, I'm fine...\I was feeling stressed because I hadn't been put in the match.\That's not a valid reason!\Who the hell is that?\Why would Seijoh swap in a guy like that?\Aoba Johsai Karasuno\Ah, that guy from earlier is there.\He's starting this set. response:	Since he's replacing Kunimi, he might be pretty smart.
context: I was feeling stressed because I hadn't been put in the match.\That's not a valid reason!\Who the hell is that?\Why would Seijoh swap in a guy like that?\Aoba Johsai Karasuno\Ah, that guy from earlier is there.\He's starting this set.\Since he's replacing Kunimi, he might be pretty smart. response:	Be careful.
context: That's not a valid reason!\Who the hell is that?\Why would Seijoh swap in a guy like that?\Aoba Johsai Karasuno\Ah, that guy from earlier is there.\He's starting this set.\Since he's replacing Kunimi, he might be pretty smart.\Be careful. response:	You're more or less free to play how you want,
context: Who the hell is that?\Why would Seijoh swap in a guy like that?\Aoba Johsai Karasuno\Ah, that guy from earlier is there.\He's starting this set.\Since he's replacing Kunimi, he might be pretty smart.\Be careful.\You're more or less free to play how you want, response:	but if you interfere with us, you'll be back on the bench.
context: Why would Seijoh swap in a guy like that?\Aoba Johsai Karasuno\Ah, that guy from earlier is there.\He's starting this set.\Since he's replacing Kunimi, he might be pretty smart.\Be careful.\You're more or less free to play how you want,\but if you interfere with us, you'll be back on the bench. response:	Just don't do any unnecessarily dangerous plays.
context: Aoba Johsai Karasuno\Ah, that guy from earlier is there.\He's starting this set.\Since he's replacing Kunimi, he might be pretty smart.\Be careful.\You're more or less free to play how you want,\but if you interfere with us, you'll be back on the bench.\Just don't do any unnecessarily dangerous plays. response:	Right.
context: Ah, that guy from earlier is there.\He's starting this set.\Since he's replacing Kunimi, he might be pretty smart.\Be careful.\You're more or less free to play how you want,\but if you interfere with us, you'll be back on the bench.\Just don't do any unnecessarily dangerous plays.\Right. response:	Why did you only reply to Iwa-chan?!
context: He's starting this set.\Since he's replacing Kunimi, he might be pretty smart.\Be careful.\You're more or less free to play how you want,\but if you interfere with us, you'll be back on the bench.\Just don't do any unnecessarily dangerous plays.\Right.\Why did you only reply to Iwa-chan?! response:	He challenged Iwaizumi-san a whole bunch of times,
context: Since he's replacing Kunimi, he might be pretty smart.\Be careful.\You're more or less free to play how you want,\but if you interfere with us, you'll be back on the bench.\Just don't do any unnecessarily dangerous plays.\Right.\Why did you only reply to Iwa-chan?!\He challenged Iwaizumi-san a whole bunch of times, response:	and lost every single time, so he at least listens to Iwaizumi-san.
context: Be careful.\You're more or less free to play how you want,\but if you interfere with us, you'll be back on the bench.\Just don't do any unnecessarily dangerous plays.\Right.\Why did you only reply to Iwa-chan?!\He challenged Iwaizumi-san a whole bunch of times,\and lost every single time, so he at least listens to Iwaizumi-san. response:	Not happening!
context: You're more or less free to play how you want,\but if you interfere with us, you'll be back on the bench.\Just don't do any unnecessarily dangerous plays.\Right.\Why did you only reply to Iwa-chan?!\He challenged Iwaizumi-san a whole bunch of times,\and lost every single time, so he at least listens to Iwaizumi-san.\Not happening! response:	What are we, a wolf pack?
context: but if you interfere with us, you'll be back on the bench.\Just don't do any unnecessarily dangerous plays.\Right.\Why did you only reply to Iwa-chan?!\He challenged Iwaizumi-san a whole bunch of times,\and lost every single time, so he at least listens to Iwaizumi-san.\Not happening!\What are we, a wolf pack? response:	Well, the one who'll be using him is Oikawa-san.
context: Just don't do any unnecessarily dangerous plays.\Right.\Why did you only reply to Iwa-chan?!\He challenged Iwaizumi-san a whole bunch of times,\and lost every single time, so he at least listens to Iwaizumi-san.\Not happening!\What are we, a wolf pack?\Well, the one who'll be using him is Oikawa-san. response:	Right.
context: Right.\Why did you only reply to Iwa-chan?!\He challenged Iwaizumi-san a whole bunch of times,\and lost every single time, so he at least listens to Iwaizumi-san.\Not happening!\What are we, a wolf pack?\Well, the one who'll be using him is Oikawa-san.\Right. response:	We're gonna take this momentum and run with it!
context: Why did you only reply to Iwa-chan?!\He challenged Iwaizumi-san a whole bunch of times,\and lost every single time, so he at least listens to Iwaizumi-san.\Not happening!\What are we, a wolf pack?\Well, the one who'll be using him is Oikawa-san.\Right.\We're gonna take this momentum and run with it! response:	We're gonna win the second set, too!
context: He challenged Iwaizumi-san a whole bunch of times,\and lost every single time, so he at least listens to Iwaizumi-san.\Not happening!\What are we, a wolf pack?\Well, the one who'll be using him is Oikawa-san.\Right.\We're gonna take this momentum and run with it!\We're gonna win the second set, too! response:	Yeah!
context: and lost every single time, so he at least listens to Iwaizumi-san.\Not happening!\What are we, a wolf pack?\Well, the one who'll be using him is Oikawa-san.\Right.\We're gonna take this momentum and run with it!\We're gonna win the second set, too!\Yeah! response:	Haikyu!!
context: Not happening!\What are we, a wolf pack?\Well, the one who'll be using him is Oikawa-san.\Right.\We're gonna take this momentum and run with it!\We're gonna win the second set, too!\Yeah!\Haikyu!! response:	Episode 21: The Destroyer
context: What are we, a wolf pack?\Well, the one who'll be using him is Oikawa-san.\Right.\We're gonna take this momentum and run with it!\We're gonna win the second set, too!\Yeah!\Haikyu!!\Episode 21: The Destroyer response:	Asahi-san, get one! Nice serve!
context: Well, the one who'll be using him is Oikawa-san.\Right.\We're gonna take this momentum and run with it!\We're gonna win the second set, too!\Yeah!\Haikyu!!\Episode 21: The Destroyer\Asahi-san, get one! Nice serve! response:	Out!
context: Right.\We're gonna take this momentum and run with it!\We're gonna win the second set, too!\Yeah!\Haikyu!!\Episode 21: The Destroyer\Asahi-san, get one! Nice serve!\Out! response:	Damn it! Sorry!
context: We're gonna take this momentum and run with it!\We're gonna win the second set, too!\Yeah!\Haikyu!!\Episode 21: The Destroyer\Asahi-san, get one! Nice serve!\Out!\Damn it! Sorry! response:	So close! You'll get the next one!
context: We're gonna win the second set, too!\Yeah!\Haikyu!!\Episode 21: The Destroyer\Asahi-san, get one! Nice serve!\Out!\Damn it! Sorry!\So close! You'll get the next one! response:	Don't mind!
context: Yeah!\Haikyu!!\Episode 21: The Destroyer\Asahi-san, get one! Nice serve!\Out!\Damn it! Sorry!\So close! You'll get the next one!\Don't mind! response:	Your face is scary!
context: Haikyu!!\Episode 21: The Destroyer\Asahi-san, get one! Nice serve!\Out!\Damn it! Sorry!\So close! You'll get the next one!\Don't mind!\Your face is scary! response:	What'd you say?!
context: Episode 21: The Destroyer\Asahi-san, get one! Nice serve!\Out!\Damn it! Sorry!\So close! You'll get the next one!\Don't mind!\Your face is scary!\What'd you say?! response:	Oikawa, nice serve!
context: Asahi-san, get one! Nice serve!\Out!\Damn it! Sorry!\So close! You'll get the next one!\Don't mind!\Your face is scary!\What'd you say?!\Oikawa, nice serve! response:	Aoba Johsai Karasuno
context: Out!\Damn it! Sorry!\So close! You'll get the next one!\Don't mind!\Your face is scary!\What'd you say?!\Oikawa, nice serve!\Aoba Johsai Karasuno response:	Out, out!
context: Damn it! Sorry!\So close! You'll get the next one!\Don't mind!\Your face is scary!\What'd you say?!\Oikawa, nice serve!\Aoba Johsai Karasuno\Out, out! response:	Sorry!
context: So close! You'll get the next one!\Don't mind!\Your face is scary!\What'd you say?!\Oikawa, nice serve!\Aoba Johsai Karasuno\Out, out!\Sorry! response:	Don't mind. We'll get the next one.
context: Don't mind!\Your face is scary!\What'd you say?!\Oikawa, nice serve!\Aoba Johsai Karasuno\Out, out!\Sorry!\Don't mind. We'll get the next one. response:	I wonder what's wrong with Oikawa-kun.
context: Your face is scary!\What'd you say?!\Oikawa, nice serve!\Aoba Johsai Karasuno\Out, out!\Sorry!\Don't mind. We'll get the next one.\I wonder what's wrong with Oikawa-kun. response:	He messed up another serve.
context: What'd you say?!\Oikawa, nice serve!\Aoba Johsai Karasuno\Out, out!\Sorry!\Don't mind. We'll get the next one.\I wonder what's wrong with Oikawa-kun.\He messed up another serve. response:	But that speed is incredible.
context: Oikawa, nice serve!\Aoba Johsai Karasuno\Out, out!\Sorry!\Don't mind. We'll get the next one.\I wonder what's wrong with Oikawa-kun.\He messed up another serve.\But that speed is incredible. response:	Touching that would break off your arms.
context: Aoba Johsai Karasuno\Out, out!\Sorry!\Don't mind. We'll get the next one.\I wonder what's wrong with Oikawa-kun.\He messed up another serve.\But that speed is incredible.\Touching that would break off your arms. response:	I feel like we're getting more in sync.
context: Out, out!\Sorry!\Don't mind. We'll get the next one.\I wonder what's wrong with Oikawa-kun.\He messed up another serve.\But that speed is incredible.\Touching that would break off your arms.\I feel like we're getting more in sync. response:	Tsukishima, nice serve!
context: Sorry!\Don't mind. We'll get the next one.\I wonder what's wrong with Oikawa-kun.\He messed up another serve.\But that speed is incredible.\Touching that would break off your arms.\I feel like we're getting more in sync.\Tsukishima, nice serve! response:	Damn you!
context: Don't mind. We'll get the next one.\I wonder what's wrong with Oikawa-kun.\He messed up another serve.\But that speed is incredible.\Touching that would break off your arms.\I feel like we're getting more in sync.\Tsukishima, nice serve!\Damn you! response:	Nice cover, Iwa-chan!
context: I wonder what's wrong with Oikawa-kun.\He messed up another serve.\But that speed is incredible.\Touching that would break off your arms.\I feel like we're getting more in sync.\Tsukishima, nice serve!\Damn you!\Nice cover, Iwa-chan! response:	There are three attackers on the front line... Who's it going to be?
context: He messed up another serve.\But that speed is incredible.\Touching that would break off your arms.\I feel like we're getting more in sync.\Tsukishima, nice serve!\Damn you!\Nice cover, Iwa-chan!\There are three attackers on the front line... Who's it going to be? response:	Mad Dog-chan.
context: But that speed is incredible.\Touching that would break off your arms.\I feel like we're getting more in sync.\Tsukishima, nice serve!\Damn you!\Nice cover, Iwa-chan!\There are three attackers on the front line... Who's it going to be?\Mad Dog-chan. response:	Open from the right?!
context: Touching that would break off your arms.\I feel like we're getting more in sync.\Tsukishima, nice serve!\Damn you!\Nice cover, Iwa-chan!\There are three attackers on the front line... Who's it going to be?\Mad Dog-chan.\Open from the right?! response:	What the heck is Mad Dog?!
context: I feel like we're getting more in sync.\Tsukishima, nice serve!\Damn you!\Nice cover, Iwa-chan!\There are three attackers on the front line... Who's it going to be?\Mad Dog-chan.\Open from the right?!\What the heck is Mad Dog?! response:	Is it an alias? That's awesome!
context: Tsukishima, nice serve!\Damn you!\Nice cover, Iwa-chan!\There are three attackers on the front line... Who's it going to be?\Mad Dog-chan.\Open from the right?!\What the heck is Mad Dog?!\Is it an alias? That's awesome! response:	One blocker!
context: Damn you!\Nice cover, Iwa-chan!\There are three attackers on the front line... Who's it going to be?\Mad Dog-chan.\Open from the right?!\What the heck is Mad Dog?!\Is it an alias? That's awesome!\One blocker! response:	What?
context: Nice cover, Iwa-chan!\There are three attackers on the front line... Who's it going to be?\Mad Dog-chan.\Open from the right?!\What the heck is Mad Dog?!\Is it an alias? That's awesome!\One blocker!\What? response:	He's sprinting basically parallel to the net?
context: There are three attackers on the front line... Who's it going to be?\Mad Dog-chan.\Open from the right?!\What the heck is Mad Dog?!\Is it an alias? That's awesome!\One blocker!\What?\He's sprinting basically parallel to the net? response:	Three blockers!
context: Mad Dog-chan.\Open from the right?!\What the heck is Mad Dog?!\Is it an alias? That's awesome!\One blocker!\What?\He's sprinting basically parallel to the net?\Three blockers! response:	That cut shot was insane!
context: Open from the right?!\What the heck is Mad Dog?!\Is it an alias? That's awesome!\One blocker!\What?\He's sprinting basically parallel to the net?\Three blockers!\That cut shot was insane! response:	So that's why he was running like that.
context: What the heck is Mad Dog?!\Is it an alias? That's awesome!\One blocker!\What?\He's sprinting basically parallel to the net?\Three blockers!\That cut shot was insane!\So that's why he was running like that. response:	Hm?
context: Is it an alias? That's awesome!\One blocker!\What?\He's sprinting basically parallel to the net?\Three blockers!\That cut shot was insane!\So that's why he was running like that.\Hm? response:	When you're facing the block,
context: One blocker!\What?\He's sprinting basically parallel to the net?\Three blockers!\That cut shot was insane!\So that's why he was running like that.\Hm?\When you're facing the block, response:	there are choices you can make,
context: What?\He's sprinting basically parallel to the net?\Three blockers!\That cut shot was insane!\So that's why he was running like that.\Hm?\When you're facing the block,\there are choices you can make, response:	but chances are you'll get blocked.
context: He's sprinting basically parallel to the net?\Three blockers!\That cut shot was insane!\So that's why he was running like that.\Hm?\When you're facing the block,\there are choices you can make,\but chances are you'll get blocked. response:	Instead, he hit it to cut across the blockers.
context: Three blockers!\That cut shot was insane!\So that's why he was running like that.\Hm?\When you're facing the block,\there are choices you can make,\but chances are you'll get blocked.\Instead, he hit it to cut across the blockers. response:	He comes in from the right and hits with his right hand,
context: That cut shot was insane!\So that's why he was running like that.\Hm?\When you're facing the block,\there are choices you can make,\but chances are you'll get blocked.\Instead, he hit it to cut across the blockers.\He comes in from the right and hits with his right hand, response:	pulling off that incredible cut shot.
context: So that's why he was running like that.\Hm?\When you're facing the block,\there are choices you can make,\but chances are you'll get blocked.\Instead, he hit it to cut across the blockers.\He comes in from the right and hits with his right hand,\pulling off that incredible cut shot. response:	Mad Dog is amazing!
context: Hm?\When you're facing the block,\there are choices you can make,\but chances are you'll get blocked.\Instead, he hit it to cut across the blockers.\He comes in from the right and hits with his right hand,\pulling off that incredible cut shot.\Mad Dog is amazing! response:	Aoba Johsai Karasuno
context: When you're facing the block,\there are choices you can make,\but chances are you'll get blocked.\Instead, he hit it to cut across the blockers.\He comes in from the right and hits with his right hand,\pulling off that incredible cut shot.\Mad Dog is amazing!\Aoba Johsai Karasuno response:	Iwaizumi, nice serve!
context: there are choices you can make,\but chances are you'll get blocked.\Instead, he hit it to cut across the blockers.\He comes in from the right and hits with his right hand,\pulling off that incredible cut shot.\Mad Dog is amazing!\Aoba Johsai Karasuno\Iwaizumi, nice serve! response:	It's coming back! Chance ball!
context: but chances are you'll get blocked.\Instead, he hit it to cut across the blockers.\He comes in from the right and hits with his right hand,\pulling off that incredible cut shot.\Mad Dog is amazing!\Aoba Johsai Karasuno\Iwaizumi, nice serve!\It's coming back! Chance ball! response:	Damn it! Sorry!
context: Instead, he hit it to cut across the blockers.\He comes in from the right and hits with his right hand,\pulling off that incredible cut shot.\Mad Dog is amazing!\Aoba Johsai Karasuno\Iwaizumi, nice serve!\It's coming back! Chance ball!\Damn it! Sorry! response:	Oikawa and Iwaizumi can really pressure us if they make a lot of serves.
context: He comes in from the right and hits with his right hand,\pulling off that incredible cut shot.\Mad Dog is amazing!\Aoba Johsai Karasuno\Iwaizumi, nice serve!\It's coming back! Chance ball!\Damn it! Sorry!\Oikawa and Iwaizumi can really pressure us if they make a lot of serves. response:	Got it!
context: pulling off that incredible cut shot.\Mad Dog is amazing!\Aoba Johsai Karasuno\Iwaizumi, nice serve!\It's coming back! Chance ball!\Damn it! Sorry!\Oikawa and Iwaizumi can really pressure us if they make a lot of serves.\Got it! response:	And now, there's also the Mad Dog...
context: Mad Dog is amazing!\Aoba Johsai Karasuno\Iwaizumi, nice serve!\It's coming back! Chance ball!\Damn it! Sorry!\Oikawa and Iwaizumi can really pressure us if they make a lot of serves.\Got it!\And now, there's also the Mad Dog... response:	A double quick?!
context: Aoba Johsai Karasuno\Iwaizumi, nice serve!\It's coming back! Chance ball!\Damn it! Sorry!\Oikawa and Iwaizumi can really pressure us if they make a lot of serves.\Got it!\And now, there's also the Mad Dog...\A double quick?! response:	All right!
context: Iwaizumi, nice serve!\It's coming back! Chance ball!\Damn it! Sorry!\Oikawa and Iwaizumi can really pressure us if they make a lot of serves.\Got it!\And now, there's also the Mad Dog...\A double quick?!\All right! response:	Great, great, Kentaro! Push it, push it, Kentaro! One more time!
context: It's coming back! Chance ball!\Damn it! Sorry!\Oikawa and Iwaizumi can really pressure us if they make a lot of serves.\Got it!\And now, there's also the Mad Dog...\A double quick?!\All right!\Great, great, Kentaro! Push it, push it, Kentaro! One more time! response:	I know he's a mad dog, but he's not going to keep biting,
context: Damn it! Sorry!\Oikawa and Iwaizumi can really pressure us if they make a lot of serves.\Got it!\And now, there's also the Mad Dog...\A double quick?!\All right!\Great, great, Kentaro! Push it, push it, Kentaro! One more time!\I know he's a mad dog, but he's not going to keep biting, response:	so you can come in.
context: Oikawa and Iwaizumi can really pressure us if they make a lot of serves.\Got it!\And now, there's also the Mad Dog...\A double quick?!\All right!\Great, great, Kentaro! Push it, push it, Kentaro! One more time!\I know he's a mad dog, but he's not going to keep biting,\so you can come in. response:	The Shrimp knew you weren't going to hit it, Kindaichi.
context: Got it!\And now, there's also the Mad Dog...\A double quick?!\All right!\Great, great, Kentaro! Push it, push it, Kentaro! One more time!\I know he's a mad dog, but he's not going to keep biting,\so you can come in.\The Shrimp knew you weren't going to hit it, Kindaichi. response:	Sorry, I was a bit scared.
context: And now, there's also the Mad Dog...\A double quick?!\All right!\Great, great, Kentaro! Push it, push it, Kentaro! One more time!\I know he's a mad dog, but he's not going to keep biting,\so you can come in.\The Shrimp knew you weren't going to hit it, Kindaichi.\Sorry, I was a bit scared. response:	Iwa-chan, one more! Nice serve!
context: A double quick?!\All right!\Great, great, Kentaro! Push it, push it, Kentaro! One more time!\I know he's a mad dog, but he's not going to keep biting,\so you can come in.\The Shrimp knew you weren't going to hit it, Kindaichi.\Sorry, I was a bit scared.\Iwa-chan, one more! Nice serve! response:	Yeah!
context: All right!\Great, great, Kentaro! Push it, push it, Kentaro! One more time!\I know he's a mad dog, but he's not going to keep biting,\so you can come in.\The Shrimp knew you weren't going to hit it, Kindaichi.\Sorry, I was a bit scared.\Iwa-chan, one more! Nice serve!\Yeah! response:	Nice receive!
context: Great, great, Kentaro! Push it, push it, Kentaro! One more time!\I know he's a mad dog, but he's not going to keep biting,\so you can come in.\The Shrimp knew you weren't going to hit it, Kindaichi.\Sorry, I was a bit scared.\Iwa-chan, one more! Nice serve!\Yeah!\Nice receive! response:	C quick!
context: I know he's a mad dog, but he's not going to keep biting,\so you can come in.\The Shrimp knew you weren't going to hit it, Kindaichi.\Sorry, I was a bit scared.\Iwa-chan, one more! Nice serve!\Yeah!\Nice receive!\C quick! response:	Y-You okay?!
context: so you can come in.\The Shrimp knew you weren't going to hit it, Kindaichi.\Sorry, I was a bit scared.\Iwa-chan, one more! Nice serve!\Yeah!\Nice receive!\C quick!\Y-You okay?! response:	Y-Yeah, I'm fine. I'm fine.
context: The Shrimp knew you weren't going to hit it, Kindaichi.\Sorry, I was a bit scared.\Iwa-chan, one more! Nice serve!\Yeah!\Nice receive!\C quick!\Y-You okay?!\Y-Yeah, I'm fine. I'm fine. response:	It's that 16 again! Three points in a row!
context: Sorry, I was a bit scared.\Iwa-chan, one more! Nice serve!\Yeah!\Nice receive!\C quick!\Y-You okay?!\Y-Yeah, I'm fine. I'm fine.\It's that 16 again! Three points in a row! response:	Even though they're getting in, those attacks seem pretty violent.
context: Iwa-chan, one more! Nice serve!\Yeah!\Nice receive!\C quick!\Y-You okay?!\Y-Yeah, I'm fine. I'm fine.\It's that 16 again! Three points in a row!\Even though they're getting in, those attacks seem pretty violent. response:	Ever since that 16 came in, their attack rhythm has changed.
context: Yeah!\Nice receive!\C quick!\Y-You okay?!\Y-Yeah, I'm fine. I'm fine.\It's that 16 again! Three points in a row!\Even though they're getting in, those attacks seem pretty violent.\Ever since that 16 came in, their attack rhythm has changed. response:	Kyotani, nice kill!
context: Nice receive!\C quick!\Y-You okay?!\Y-Yeah, I'm fine. I'm fine.\It's that 16 again! Three points in a row!\Even though they're getting in, those attacks seem pretty violent.\Ever since that 16 came in, their attack rhythm has changed.\Kyotani, nice kill! response:	Iwaizumi, one more! Nice serve!
context: C quick!\Y-You okay?!\Y-Yeah, I'm fine. I'm fine.\It's that 16 again! Three points in a row!\Even though they're getting in, those attacks seem pretty violent.\Ever since that 16 came in, their attack rhythm has changed.\Kyotani, nice kill!\Iwaizumi, one more! Nice serve! response:	Aoba Johsai Karasuno
context: Y-You okay?!\Y-Yeah, I'm fine. I'm fine.\It's that 16 again! Three points in a row!\Even though they're getting in, those attacks seem pretty violent.\Ever since that 16 came in, their attack rhythm has changed.\Kyotani, nice kill!\Iwaizumi, one more! Nice serve!\Aoba Johsai Karasuno response:	Sorry!
context: Y-Yeah, I'm fine. I'm fine.\It's that 16 again! Three points in a row!\Even though they're getting in, those attacks seem pretty violent.\Ever since that 16 came in, their attack rhythm has changed.\Kyotani, nice kill!\Iwaizumi, one more! Nice serve!\Aoba Johsai Karasuno\Sorry! response:	All right!
context: It's that 16 again! Three points in a row!\Even though they're getting in, those attacks seem pretty violent.\Ever since that 16 came in, their attack rhythm has changed.\Kyotani, nice kill!\Iwaizumi, one more! Nice serve!\Aoba Johsai Karasuno\Sorry!\All right! response:	We finally get a point back.
context: Even though they're getting in, those attacks seem pretty violent.\Ever since that 16 came in, their attack rhythm has changed.\Kyotani, nice kill!\Iwaizumi, one more! Nice serve!\Aoba Johsai Karasuno\Sorry!\All right!\We finally get a point back. response:	Nice, Makki!
context: Ever since that 16 came in, their attack rhythm has changed.\Kyotani, nice kill!\Iwaizumi, one more! Nice serve!\Aoba Johsai Karasuno\Sorry!\All right!\We finally get a point back.\Nice, Makki! response:	Here it comes!
context: Kyotani, nice kill!\Iwaizumi, one more! Nice serve!\Aoba Johsai Karasuno\Sorry!\All right!\We finally get a point back.\Nice, Makki!\Here it comes! response:	Let's battle, Mad Dog!
context: Iwaizumi, one more! Nice serve!\Aoba Johsai Karasuno\Sorry!\All right!\We finally get a point back.\Nice, Makki!\Here it comes!\Let's battle, Mad Dog! response:	After letting 16 go all out on his attacks,
context: Aoba Johsai Karasuno\Sorry!\All right!\We finally get a point back.\Nice, Makki!\Here it comes!\Let's battle, Mad Dog!\After letting 16 go all out on his attacks, response:	now it's a slide hit from Kindaichi!
context: Sorry!\All right!\We finally get a point back.\Nice, Makki!\Here it comes!\Let's battle, Mad Dog!\After letting 16 go all out on his attacks,\now it's a slide hit from Kindaichi! response:	All right!
context: All right!\We finally get a point back.\Nice, Makki!\Here it comes!\Let's battle, Mad Dog!\After letting 16 go all out on his attacks,\now it's a slide hit from Kindaichi!\All right! response:	He's angry that he was used as a decoy.
context: We finally get a point back.\Nice, Makki!\Here it comes!\Let's battle, Mad Dog!\After letting 16 go all out on his attacks,\now it's a slide hit from Kindaichi!\All right!\He's angry that he was used as a decoy. response:	Though that itself makes him an even better decoy.
context: Nice, Makki!\Here it comes!\Let's battle, Mad Dog!\After letting 16 go all out on his attacks,\now it's a slide hit from Kindaichi!\All right!\He's angry that he was used as a decoy.\Though that itself makes him an even better decoy. response:	I'll make your fangs even sharper.
context: Here it comes!\Let's battle, Mad Dog!\After letting 16 go all out on his attacks,\now it's a slide hit from Kindaichi!\All right!\He's angry that he was used as a decoy.\Though that itself makes him an even better decoy.\I'll make your fangs even sharper. response:	Let's play carefully! That's a Seijoh we're not familiar with.
context: Let's battle, Mad Dog!\After letting 16 go all out on his attacks,\now it's a slide hit from Kindaichi!\All right!\He's angry that he was used as a decoy.\Though that itself makes him an even better decoy.\I'll make your fangs even sharper.\Let's play carefully! That's a Seijoh we're not familiar with. response:	Aoba Johsai Karasuno
context: After letting 16 go all out on his attacks,\now it's a slide hit from Kindaichi!\All right!\He's angry that he was used as a decoy.\Though that itself makes him an even better decoy.\I'll make your fangs even sharper.\Let's play carefully! That's a Seijoh we're not familiar with.\Aoba Johsai Karasuno response:	Kindaichi, nice serve!
context: now it's a slide hit from Kindaichi!\All right!\He's angry that he was used as a decoy.\Though that itself makes him an even better decoy.\I'll make your fangs even sharper.\Let's play carefully! That's a Seijoh we're not familiar with.\Aoba Johsai Karasuno\Kindaichi, nice serve! response:	Got it!
context: All right!\He's angry that he was used as a decoy.\Though that itself makes him an even better decoy.\I'll make your fangs even sharper.\Let's play carefully! That's a Seijoh we're not familiar with.\Aoba Johsai Karasuno\Kindaichi, nice serve!\Got it! response:	Left!
context: He's angry that he was used as a decoy.\Though that itself makes him an even better decoy.\I'll make your fangs even sharper.\Let's play carefully! That's a Seijoh we're not familiar with.\Aoba Johsai Karasuno\Kindaichi, nice serve!\Got it!\Left! response:	Center!
