context: Pai! Pai! response:	Are you all right, Pai?
context: N-n-n-n-no! Excuse me!\In any case, what you want me to do for this brat... I-I mean...\your son, is conduct a survey, correct?\Even these kinds of extra credit assignments can affect his grades.\The more the better, as far as this assignment is concerned.\Other children will probably collect ten replies at most.\So let's make it fifty... no, a hundred for my child.\Okay... response:	Obtain a hundred replies for this questionnaire.
context: In any case, what you want me to do for this brat... I-I mean...\your son, is conduct a survey, correct?\Even these kinds of extra credit assignments can affect his grades.\The more the better, as far as this assignment is concerned.\Other children will probably collect ten replies at most.\So let's make it fifty... no, a hundred for my child.\Okay...\Obtain a hundred replies for this questionnaire. response:	Well, about that...
context: your son, is conduct a survey, correct?\Even these kinds of extra credit assignments can affect his grades.\The more the better, as far as this assignment is concerned.\Other children will probably collect ten replies at most.\So let's make it fifty... no, a hundred for my child.\Okay...\Obtain a hundred replies for this questionnaire.\Well, about that... response:	I'll pay 100,000 yen.
context: Even these kinds of extra credit assignments can affect his grades.\The more the better, as far as this assignment is concerned.\Other children will probably collect ten replies at most.\So let's make it fifty... no, a hundred for my child.\Okay...\Obtain a hundred replies for this questionnaire.\Well, about that...\I'll pay 100,000 yen. response:	Just because it's a child's homework assignment doesn't mean it's acceptable for my Yoshihiro-chan to lose.
context: The more the better, as far as this assignment is concerned.\Other children will probably collect ten replies at most.\So let's make it fifty... no, a hundred for my child.\Okay...\Obtain a hundred replies for this questionnaire.\Well, about that...\I'll pay 100,000 yen.\Just because it's a child's homework assignment doesn't mean it's acceptable for my Yoshihiro-chan to lose. response:	Even so, homework should be done by yourse...
context: Other children will probably collect ten replies at most.\So let's make it fifty... no, a hundred for my child.\Okay...\Obtain a hundred replies for this questionnaire.\Well, about that...\I'll pay 100,000 yen.\Just because it's a child's homework assignment doesn't mean it's acceptable for my Yoshihiro-chan to lose.\Even so, homework should be done by yourse... response:	We'll get a hundred responses! Let us take care of this assignment!
context: So let's make it fifty... no, a hundred for my child.\Okay...\Obtain a hundred replies for this questionnaire.\Well, about that...\I'll pay 100,000 yen.\Just because it's a child's homework assignment doesn't mean it's acceptable for my Yoshihiro-chan to lose.\Even so, homework should be done by yourse...\We'll get a hundred responses! Let us take care of this assignment! response:	Leave it to the Kurasawa Detective Agency!
context: Okay...\Obtain a hundred replies for this questionnaire.\Well, about that...\I'll pay 100,000 yen.\Just because it's a child's homework assignment doesn't mean it's acceptable for my Yoshihiro-chan to lose.\Even so, homework should be done by yourse...\We'll get a hundred responses! Let us take care of this assignment!\Leave it to the Kurasawa Detective Agency! response:	I hope you didn't have a personal relationship with November 11.
context: Obtain a hundred replies for this questionnaire.\Well, about that...\I'll pay 100,000 yen.\Just because it's a child's homework assignment doesn't mean it's acceptable for my Yoshihiro-chan to lose.\Even so, homework should be done by yourse...\We'll get a hundred responses! Let us take care of this assignment!\Leave it to the Kurasawa Detective Agency!\I hope you didn't have a personal relationship with November 11. response:	Nothing aside from a professional one.
context: Well, about that...\I'll pay 100,000 yen.\Just because it's a child's homework assignment doesn't mean it's acceptable for my Yoshihiro-chan to lose.\Even so, homework should be done by yourse...\We'll get a hundred responses! Let us take care of this assignment!\Leave it to the Kurasawa Detective Agency!\I hope you didn't have a personal relationship with November 11.\Nothing aside from a professional one. response:	Decade had good reason to be concerned. There's little doubt November 11 was a member of the E.P.R.
context: I'll pay 100,000 yen.\Just because it's a child's homework assignment doesn't mean it's acceptable for my Yoshihiro-chan to lose.\Even so, homework should be done by yourse...\We'll get a hundred responses! Let us take care of this assignment!\Leave it to the Kurasawa Detective Agency!\I hope you didn't have a personal relationship with November 11.\Nothing aside from a professional one.\Decade had good reason to be concerned. There's little doubt November 11 was a member of the E.P.R. response:	Did the E.P.R. have any motive to kill Decade?
context: Just because it's a child's homework assignment doesn't mean it's acceptable for my Yoshihiro-chan to lose.\Even so, homework should be done by yourse...\We'll get a hundred responses! Let us take care of this assignment!\Leave it to the Kurasawa Detective Agency!\I hope you didn't have a personal relationship with November 11.\Nothing aside from a professional one.\Decade had good reason to be concerned. There's little doubt November 11 was a member of the E.P.R.\Did the E.P.R. have any motive to kill Decade? response:	This case is no longer within our jurisdiction.
context: Even so, homework should be done by yourse...\We'll get a hundred responses! Let us take care of this assignment!\Leave it to the Kurasawa Detective Agency!\I hope you didn't have a personal relationship with November 11.\Nothing aside from a professional one.\Decade had good reason to be concerned. There's little doubt November 11 was a member of the E.P.R.\Did the E.P.R. have any motive to kill Decade?\This case is no longer within our jurisdiction. response:	Don't probe into this matter any further.
context: We'll get a hundred responses! Let us take care of this assignment!\Leave it to the Kurasawa Detective Agency!\I hope you didn't have a personal relationship with November 11.\Nothing aside from a professional one.\Decade had good reason to be concerned. There's little doubt November 11 was a member of the E.P.R.\Did the E.P.R. have any motive to kill Decade?\This case is no longer within our jurisdiction.\Don't probe into this matter any further. response:	Actions taken by PANDORA were rather aggressive the other day,
context: Leave it to the Kurasawa Detective Agency!\I hope you didn't have a personal relationship with November 11.\Nothing aside from a professional one.\Decade had good reason to be concerned. There's little doubt November 11 was a member of the E.P.R.\Did the E.P.R. have any motive to kill Decade?\This case is no longer within our jurisdiction.\Don't probe into this matter any further.\Actions taken by PANDORA were rather aggressive the other day, response:	very uncharacteristic of a research facility.
context: I hope you didn't have a personal relationship with November 11.\Nothing aside from a professional one.\Decade had good reason to be concerned. There's little doubt November 11 was a member of the E.P.R.\Did the E.P.R. have any motive to kill Decade?\This case is no longer within our jurisdiction.\Don't probe into this matter any further.\Actions taken by PANDORA were rather aggressive the other day,\very uncharacteristic of a research facility. response:	Since when has PANDORA...
context: Nothing aside from a professional one.\Decade had good reason to be concerned. There's little doubt November 11 was a member of the E.P.R.\Did the E.P.R. have any motive to kill Decade?\This case is no longer within our jurisdiction.\Don't probe into this matter any further.\Actions taken by PANDORA were rather aggressive the other day,\very uncharacteristic of a research facility.\Since when has PANDORA... response:	Didn't you hear what I said, Kirihara?
context: Decade had good reason to be concerned. There's little doubt November 11 was a member of the E.P.R.\Did the E.P.R. have any motive to kill Decade?\This case is no longer within our jurisdiction.\Don't probe into this matter any further.\Actions taken by PANDORA were rather aggressive the other day,\very uncharacteristic of a research facility.\Since when has PANDORA...\Didn't you hear what I said, Kirihara? response:	This case is out of our jurisdiction.
context: Did the E.P.R. have any motive to kill Decade?\This case is no longer within our jurisdiction.\Don't probe into this matter any further.\Actions taken by PANDORA were rather aggressive the other day,\very uncharacteristic of a research facility.\Since when has PANDORA...\Didn't you hear what I said, Kirihara?\This case is out of our jurisdiction. response:	It was simply another case involving the death of a contractor.
context: This case is no longer within our jurisdiction.\Don't probe into this matter any further.\Actions taken by PANDORA were rather aggressive the other day,\very uncharacteristic of a research facility.\Since when has PANDORA...\Didn't you hear what I said, Kirihara?\This case is out of our jurisdiction.\It was simply another case involving the death of a contractor. response:	He was...
context: Don't probe into this matter any further.\Actions taken by PANDORA were rather aggressive the other day,\very uncharacteristic of a research facility.\Since when has PANDORA...\Didn't you hear what I said, Kirihara?\This case is out of our jurisdiction.\It was simply another case involving the death of a contractor.\He was... response:	He was someone who took pride in himself.
context: Actions taken by PANDORA were rather aggressive the other day,\very uncharacteristic of a research facility.\Since when has PANDORA...\Didn't you hear what I said, Kirihara?\This case is out of our jurisdiction.\It was simply another case involving the death of a contractor.\He was...\He was someone who took pride in himself. response:	Whether he was a contractor or not had nothing to do with it.
context: very uncharacteristic of a research facility.\Since when has PANDORA...\Didn't you hear what I said, Kirihara?\This case is out of our jurisdiction.\It was simply another case involving the death of a contractor.\He was...\He was someone who took pride in himself.\Whether he was a contractor or not had nothing to do with it. response:	His last words were...
context: Since when has PANDORA...\Didn't you hear what I said, Kirihara?\This case is out of our jurisdiction.\It was simply another case involving the death of a contractor.\He was...\He was someone who took pride in himself.\Whether he was a contractor or not had nothing to do with it.\His last words were... response:	Do what you believe is right.
context: Didn't you hear what I said, Kirihara?\This case is out of our jurisdiction.\It was simply another case involving the death of a contractor.\He was...\He was someone who took pride in himself.\Whether he was a contractor or not had nothing to do with it.\His last words were...\Do what you believe is right. response:	Excuse me.
context: This case is out of our jurisdiction.\It was simply another case involving the death of a contractor.\He was...\He was someone who took pride in himself.\Whether he was a contractor or not had nothing to do with it.\His last words were...\Do what you believe is right.\Excuse me. response:	Wait! Did he contact you?
context: It was simply another case involving the death of a contractor.\He was...\He was someone who took pride in himself.\Whether he was a contractor or not had nothing to do with it.\His last words were...\Do what you believe is right.\Excuse me.\Wait! Did he contact you? response:	That was just a joke.
context: He was...\He was someone who took pride in himself.\Whether he was a contractor or not had nothing to do with it.\His last words were...\Do what you believe is right.\Excuse me.\Wait! Did he contact you?\That was just a joke. response:	That area in South America has been off-limits ever since the incident occurred.
context: He was someone who took pride in himself.\Whether he was a contractor or not had nothing to do with it.\His last words were...\Do what you believe is right.\Excuse me.\Wait! Did he contact you?\That was just a joke.\That area in South America has been off-limits ever since the incident occurred. response:	The only thing we know for sure is that massive warfare broke out around it,
context: Whether he was a contractor or not had nothing to do with it.\His last words were...\Do what you believe is right.\Excuse me.\Wait! Did he contact you?\That was just a joke.\That area in South America has been off-limits ever since the incident occurred.\The only thing we know for sure is that massive warfare broke out around it, response:	which was on the scale of a world war.
context: His last words were...\Do what you believe is right.\Excuse me.\Wait! Did he contact you?\That was just a joke.\That area in South America has been off-limits ever since the incident occurred.\The only thing we know for sure is that massive warfare broke out around it,\which was on the scale of a world war. response:	During the conflict, myriads of contractors were deployed as weapons.
context: Do what you believe is right.\Excuse me.\Wait! Did he contact you?\That was just a joke.\That area in South America has been off-limits ever since the incident occurred.\The only thing we know for sure is that massive warfare broke out around it,\which was on the scale of a world war.\During the conflict, myriads of contractors were deployed as weapons. response:	Hei and Amber were among them.
context: Excuse me.\Wait! Did he contact you?\That was just a joke.\That area in South America has been off-limits ever since the incident occurred.\The only thing we know for sure is that massive warfare broke out around it,\which was on the scale of a world war.\During the conflict, myriads of contractors were deployed as weapons.\Hei and Amber were among them. response:	They were assigned by the same syndicate.
context: Wait! Did he contact you?\That was just a joke.\That area in South America has been off-limits ever since the incident occurred.\The only thing we know for sure is that massive warfare broke out around it,\which was on the scale of a world war.\During the conflict, myriads of contractors were deployed as weapons.\Hei and Amber were among them.\They were assigned by the same syndicate. response:	It was said that Hei wasn't a contractor when he earned his reputation as the Grim Reaper.
context: That was just a joke.\That area in South America has been off-limits ever since the incident occurred.\The only thing we know for sure is that massive warfare broke out around it,\which was on the scale of a world war.\During the conflict, myriads of contractors were deployed as weapons.\Hei and Amber were among them.\They were assigned by the same syndicate.\It was said that Hei wasn't a contractor when he earned his reputation as the Grim Reaper. response:	Is that true?
context: That area in South America has been off-limits ever since the incident occurred.\The only thing we know for sure is that massive warfare broke out around it,\which was on the scale of a world war.\During the conflict, myriads of contractors were deployed as weapons.\Hei and Amber were among them.\They were assigned by the same syndicate.\It was said that Hei wasn't a contractor when he earned his reputation as the Grim Reaper.\Is that true? response:	There was another contractor who was widely feared, though.
context: The only thing we know for sure is that massive warfare broke out around it,\which was on the scale of a world war.\During the conflict, myriads of contractors were deployed as weapons.\Hei and Amber were among them.\They were assigned by the same syndicate.\It was said that Hei wasn't a contractor when he earned his reputation as the Grim Reaper.\Is that true?\There was another contractor who was widely feared, though. response:	The one named Pai, Hei's sister.
context: which was on the scale of a world war.\During the conflict, myriads of contractors were deployed as weapons.\Hei and Amber were among them.\They were assigned by the same syndicate.\It was said that Hei wasn't a contractor when he earned his reputation as the Grim Reaper.\Is that true?\There was another contractor who was widely feared, though.\The one named Pai, Hei's sister. response:	Is she still in the middle of her remuneration?
context: During the conflict, myriads of contractors were deployed as weapons.\Hei and Amber were among them.\They were assigned by the same syndicate.\It was said that Hei wasn't a contractor when he earned his reputation as the Grim Reaper.\Is that true?\There was another contractor who was widely feared, though.\The one named Pai, Hei's sister.\Is she still in the middle of her remuneration? response:	You two are always together. You look like lovers.
context: Hei and Amber were among them.\They were assigned by the same syndicate.\It was said that Hei wasn't a contractor when he earned his reputation as the Grim Reaper.\Is that true?\There was another contractor who was widely feared, though.\The one named Pai, Hei's sister.\Is she still in the middle of her remuneration?\You two are always together. You look like lovers. response:	Are you gazing at the stars again?
context: They were assigned by the same syndicate.\It was said that Hei wasn't a contractor when he earned his reputation as the Grim Reaper.\Is that true?\There was another contractor who was widely feared, though.\The one named Pai, Hei's sister.\Is she still in the middle of her remuneration?\You two are always together. You look like lovers.\Are you gazing at the stars again? response:	Only because I don't have anything else to do.
context: It was said that Hei wasn't a contractor when he earned his reputation as the Grim Reaper.\Is that true?\There was another contractor who was widely feared, though.\The one named Pai, Hei's sister.\Is she still in the middle of her remuneration?\You two are always together. You look like lovers.\Are you gazing at the stars again?\Only because I don't have anything else to do. response:	No matter how long you stare at them, you won't be able to see the stars of the past.
context: Is that true?\There was another contractor who was widely feared, though.\The one named Pai, Hei's sister.\Is she still in the middle of her remuneration?\You two are always together. You look like lovers.\Are you gazing at the stars again?\Only because I don't have anything else to do.\No matter how long you stare at them, you won't be able to see the stars of the past. response:	Yes. According to Schroeder,
context: There was another contractor who was widely feared, though.\The one named Pai, Hei's sister.\Is she still in the middle of her remuneration?\You two are always together. You look like lovers.\Are you gazing at the stars again?\Only because I don't have anything else to do.\No matter how long you stare at them, you won't be able to see the stars of the past.\Yes. According to Schroeder, response:	Secret line
context: The one named Pai, Hei's sister.\Is she still in the middle of her remuneration?\You two are always together. You look like lovers.\Are you gazing at the stars again?\Only because I don't have anything else to do.\No matter how long you stare at them, you won't be able to see the stars of the past.\Yes. According to Schroeder,\Secret line response:	Secret line
context: Is she still in the middle of her remuneration?\You two are always together. You look like lovers.\Are you gazing at the stars again?\Only because I don't have anything else to do.\No matter how long you stare at them, you won't be able to see the stars of the past.\Yes. According to Schroeder,\Secret line\Secret line response:	Secret line
context: You two are always together. You look like lovers.\Are you gazing at the stars again?\Only because I don't have anything else to do.\No matter how long you stare at them, you won't be able to see the stars of the past.\Yes. According to Schroeder,\Secret line\Secret line\Secret line response:	Secret line
context: Are you gazing at the stars again?\Only because I don't have anything else to do.\No matter how long you stare at them, you won't be able to see the stars of the past.\Yes. According to Schroeder,\Secret line\Secret line\Secret line\Secret line response:	the light emitted by the masked contractor
context: Only because I don't have anything else to do.\No matter how long you stare at them, you won't be able to see the stars of the past.\Yes. According to Schroeder,\Secret line\Secret line\Secret line\Secret line\the light emitted by the masked contractor response:	and the light observed prior to the disappearance of the gate in South America
context: No matter how long you stare at them, you won't be able to see the stars of the past.\Yes. According to Schroeder,\Secret line\Secret line\Secret line\Secret line\the light emitted by the masked contractor\and the light observed prior to the disappearance of the gate in South America response:	are believed to be the one in the same.
context: Yes. According to Schroeder,\Secret line\Secret line\Secret line\Secret line\the light emitted by the masked contractor\and the light observed prior to the disappearance of the gate in South America\are believed to be the one in the same. response:	Light, you say?
context: Secret line\Secret line\Secret line\Secret line\the light emitted by the masked contractor\and the light observed prior to the disappearance of the gate in South America\are believed to be the one in the same.\Light, you say? response:	Yeah, it was an intense light.
context: Secret line\Secret line\Secret line\the light emitted by the masked contractor\and the light observed prior to the disappearance of the gate in South America\are believed to be the one in the same.\Light, you say?\Yeah, it was an intense light. response:	I've never seen anything like it.
context: Secret line\Secret line\the light emitted by the masked contractor\and the light observed prior to the disappearance of the gate in South America\are believed to be the one in the same.\Light, you say?\Yeah, it was an intense light.\I've never seen anything like it. response:	I realized why Amber needs Hei.
context: Secret line\the light emitted by the masked contractor\and the light observed prior to the disappearance of the gate in South America\are believed to be the one in the same.\Light, you say?\Yeah, it was an intense light.\I've never seen anything like it.\I realized why Amber needs Hei. response:	She wants to replicate what happened in South America,
context: the light emitted by the masked contractor\and the light observed prior to the disappearance of the gate in South America\are believed to be the one in the same.\Light, you say?\Yeah, it was an intense light.\I've never seen anything like it.\I realized why Amber needs Hei.\She wants to replicate what happened in South America, response:	and she probably needs Hei's power to do it.
context: and the light observed prior to the disappearance of the gate in South America\are believed to be the one in the same.\Light, you say?\Yeah, it was an intense light.\I've never seen anything like it.\I realized why Amber needs Hei.\She wants to replicate what happened in South America,\and she probably needs Hei's power to do it. response:	Are you saying there's a connection between Hei and the disappearance of the South American gate?
context: are believed to be the one in the same.\Light, you say?\Yeah, it was an intense light.\I've never seen anything like it.\I realized why Amber needs Hei.\She wants to replicate what happened in South America,\and she probably needs Hei's power to do it.\Are you saying there's a connection between Hei and the disappearance of the South American gate? response:	Hey, wait a minute. If what you say is true...
context: Light, you say?\Yeah, it was an intense light.\I've never seen anything like it.\I realized why Amber needs Hei.\She wants to replicate what happened in South America,\and she probably needs Hei's power to do it.\Are you saying there's a connection between Hei and the disappearance of the South American gate?\Hey, wait a minute. If what you say is true... response:	The contractor's identity has been confirmed to be BK201.
context: Yeah, it was an intense light.\I've never seen anything like it.\I realized why Amber needs Hei.\She wants to replicate what happened in South America,\and she probably needs Hei's power to do it.\Are you saying there's a connection between Hei and the disappearance of the South American gate?\Hey, wait a minute. If what you say is true...\The contractor's identity has been confirmed to be BK201. response:	Yes, I've already made the arrangements for the elimination of his unit.
context: I've never seen anything like it.\I realized why Amber needs Hei.\She wants to replicate what happened in South America,\and she probably needs Hei's power to do it.\Are you saying there's a connection between Hei and the disappearance of the South American gate?\Hey, wait a minute. If what you say is true...\The contractor's identity has been confirmed to be BK201.\Yes, I've already made the arrangements for the elimination of his unit. response:	The stars of the past?
context: I realized why Amber needs Hei.\She wants to replicate what happened in South America,\and she probably needs Hei's power to do it.\Are you saying there's a connection between Hei and the disappearance of the South American gate?\Hey, wait a minute. If what you say is true...\The contractor's identity has been confirmed to be BK201.\Yes, I've already made the arrangements for the elimination of his unit.\The stars of the past? response:	Yes, the stars from the distant past.
context: She wants to replicate what happened in South America,\and she probably needs Hei's power to do it.\Are you saying there's a connection between Hei and the disappearance of the South American gate?\Hey, wait a minute. If what you say is true...\The contractor's identity has been confirmed to be BK201.\Yes, I've already made the arrangements for the elimination of his unit.\The stars of the past?\Yes, the stars from the distant past. response:	Anything is fine. Please try to recall anything that comes to mind.
context: and she probably needs Hei's power to do it.\Are you saying there's a connection between Hei and the disappearance of the South American gate?\Hey, wait a minute. If what you say is true...\The contractor's identity has been confirmed to be BK201.\Yes, I've already made the arrangements for the elimination of his unit.\The stars of the past?\Yes, the stars from the distant past.\Anything is fine. Please try to recall anything that comes to mind. response:	Stars are stars.
context: Are you saying there's a connection between Hei and the disappearance of the South American gate?\Hey, wait a minute. If what you say is true...\The contractor's identity has been confirmed to be BK201.\Yes, I've already made the arrangements for the elimination of his unit.\The stars of the past?\Yes, the stars from the distant past.\Anything is fine. Please try to recall anything that comes to mind.\Stars are stars. response:	I can't tell the difference between the stars of the past and the present.
context: Hey, wait a minute. If what you say is true...\The contractor's identity has been confirmed to be BK201.\Yes, I've already made the arrangements for the elimination of his unit.\The stars of the past?\Yes, the stars from the distant past.\Anything is fine. Please try to recall anything that comes to mind.\Stars are stars.\I can't tell the difference between the stars of the past and the present. response:	Sir, do you have something to add?
context: The contractor's identity has been confirmed to be BK201.\Yes, I've already made the arrangements for the elimination of his unit.\The stars of the past?\Yes, the stars from the distant past.\Anything is fine. Please try to recall anything that comes to mind.\Stars are stars.\I can't tell the difference between the stars of the past and the present.\Sir, do you have something to add? response:	Anything about the stars or the night skies of the past is fine.
context: Yes, I've already made the arrangements for the elimination of his unit.\The stars of the past?\Yes, the stars from the distant past.\Anything is fine. Please try to recall anything that comes to mind.\Stars are stars.\I can't tell the difference between the stars of the past and the present.\Sir, do you have something to add?\Anything about the stars or the night skies of the past is fine. response:	You're wasting your time on him.
context: The stars of the past?\Yes, the stars from the distant past.\Anything is fine. Please try to recall anything that comes to mind.\Stars are stars.\I can't tell the difference between the stars of the past and the present.\Sir, do you have something to add?\Anything about the stars or the night skies of the past is fine.\You're wasting your time on him. response:	He's not the talkative type.
context: Yes, the stars from the distant past.\Anything is fine. Please try to recall anything that comes to mind.\Stars are stars.\I can't tell the difference between the stars of the past and the present.\Sir, do you have something to add?\Anything about the stars or the night skies of the past is fine.\You're wasting your time on him.\He's not the talkative type. response:	I get nostalgic whenever I think about the night of the Giacobinids.
context: Anything is fine. Please try to recall anything that comes to mind.\Stars are stars.\I can't tell the difference between the stars of the past and the present.\Sir, do you have something to add?\Anything about the stars or the night skies of the past is fine.\You're wasting your time on him.\He's not the talkative type.\I get nostalgic whenever I think about the night of the Giacobinids. response:	It's been thirty years.
context: Stars are stars.\I can't tell the difference between the stars of the past and the present.\Sir, do you have something to add?\Anything about the stars or the night skies of the past is fine.\You're wasting your time on him.\He's not the talkative type.\I get nostalgic whenever I think about the night of the Giacobinids.\It's been thirty years. response:	No... Since Toshikyuki was still in elementary school back then, it's been longer than that.
context: I can't tell the difference between the stars of the past and the present.\Sir, do you have something to add?\Anything about the stars or the night skies of the past is fine.\You're wasting your time on him.\He's not the talkative type.\I get nostalgic whenever I think about the night of the Giacobinids.\It's been thirty years.\No... Since Toshikyuki was still in elementary school back then, it's been longer than that. response:	Don't you remember?
context: Sir, do you have something to add?\Anything about the stars or the night skies of the past is fine.\You're wasting your time on him.\He's not the talkative type.\I get nostalgic whenever I think about the night of the Giacobinids.\It's been thirty years.\No... Since Toshikyuki was still in elementary school back then, it's been longer than that.\Don't you remember? response:	He insisted on watching the meteor shower, so I drove him out in the middle of the night.
context: Anything about the stars or the night skies of the past is fine.\You're wasting your time on him.\He's not the talkative type.\I get nostalgic whenever I think about the night of the Giacobinids.\It's been thirty years.\No... Since Toshikyuki was still in elementary school back then, it's been longer than that.\Don't you remember?\He insisted on watching the meteor shower, so I drove him out in the middle of the night. response:	We waited for quite a while, but we never saw it that evening.
context: You're wasting your time on him.\He's not the talkative type.\I get nostalgic whenever I think about the night of the Giacobinids.\It's been thirty years.\No... Since Toshikyuki was still in elementary school back then, it's been longer than that.\Don't you remember?\He insisted on watching the meteor shower, so I drove him out in the middle of the night.\We waited for quite a while, but we never saw it that evening. response:	In the end, he fell asleep.
context: He's not the talkative type.\I get nostalgic whenever I think about the night of the Giacobinids.\It's been thirty years.\No... Since Toshikyuki was still in elementary school back then, it's been longer than that.\Don't you remember?\He insisted on watching the meteor shower, so I drove him out in the middle of the night.\We waited for quite a while, but we never saw it that evening.\In the end, he fell asleep. response:	To those of you who plan to go outside soon,
context: I get nostalgic whenever I think about the night of the Giacobinids.\It's been thirty years.\No... Since Toshikyuki was still in elementary school back then, it's been longer than that.\Don't you remember?\He insisted on watching the meteor shower, so I drove him out in the middle of the night.\We waited for quite a while, but we never saw it that evening.\In the end, he fell asleep.\To those of you who plan to go outside soon, response:	No, I haven't made any plans.
