context: With all my strength... response:	I'll do what I can right now!
context: Hey!\Tell me what's going on, Deku, you bastard!\What the?\These cloths are hard...!\They're weapons for capture made of carbon fiber woven together with metal wire made of a special alloy.\Jeez...\Don't keep making me use my Quirk over and over.\I have dry eye. response:	It's such a waste, since his Quirk is so amazing!
context: Tell me what's going on, Deku, you bastard!\What the?\These cloths are hard...!\They're weapons for capture made of carbon fiber woven together with metal wire made of a special alloy.\Jeez...\Don't keep making me use my Quirk over and over.\I have dry eye.\It's such a waste, since his Quirk is so amazing! response:	It's such a waste, since his Quirk is so amazing!
context: What the?\These cloths are hard...!\They're weapons for capture made of carbon fiber woven together with metal wire made of a special alloy.\Jeez...\Don't keep making me use my Quirk over and over.\I have dry eye.\It's such a waste, since his Quirk is so amazing!\It's such a waste, since his Quirk is so amazing! response:	He can erase the Quirks of those he looks at.
context: These cloths are hard...!\They're weapons for capture made of carbon fiber woven together with metal wire made of a special alloy.\Jeez...\Don't keep making me use my Quirk over and over.\I have dry eye.\It's such a waste, since his Quirk is so amazing!\It's such a waste, since his Quirk is so amazing!\He can erase the Quirks of those he looks at. response:	The effect goes away when he blinks!
context: They're weapons for capture made of carbon fiber woven together with metal wire made of a special alloy.\Jeez...\Don't keep making me use my Quirk over and over.\I have dry eye.\It's such a waste, since his Quirk is so amazing!\It's such a waste, since his Quirk is so amazing!\He can erase the Quirks of those he looks at.\The effect goes away when he blinks! response:	We're wasting time.
context: Jeez...\Don't keep making me use my Quirk over and over.\I have dry eye.\It's such a waste, since his Quirk is so amazing!\It's such a waste, since his Quirk is so amazing!\He can erase the Quirks of those he looks at.\The effect goes away when he blinks!\We're wasting time. response:	Whoever's next, get ready.
context: Don't keep making me use my Quirk over and over.\I have dry eye.\It's such a waste, since his Quirk is so amazing!\It's such a waste, since his Quirk is so amazing!\He can erase the Quirks of those he looks at.\The effect goes away when he blinks!\We're wasting time.\Whoever's next, get ready. response:	Is your finger all right?
context: I have dry eye.\It's such a waste, since his Quirk is so amazing!\It's such a waste, since his Quirk is so amazing!\He can erase the Quirks of those he looks at.\The effect goes away when he blinks!\We're wasting time.\Whoever's next, get ready.\Is your finger all right? response:	Oh, yeah.
context: It's such a waste, since his Quirk is so amazing!\It's such a waste, since his Quirk is so amazing!\He can erase the Quirks of those he looks at.\The effect goes away when he blinks!\We're wasting time.\Whoever's next, get ready.\Is your finger all right?\Oh, yeah. response:	Until a little while ago...
context: It's such a waste, since his Quirk is so amazing!\He can erase the Quirks of those he looks at.\The effect goes away when he blinks!\We're wasting time.\Whoever's next, get ready.\Is your finger all right?\Oh, yeah.\Until a little while ago... response:	You're so lucky, Kacchan.
context: He can erase the Quirks of those he looks at.\The effect goes away when he blinks!\We're wasting time.\Whoever's next, get ready.\Is your finger all right?\Oh, yeah.\Until a little while ago...\You're so lucky, Kacchan. response:	Your Quirk's so cool!
context: The effect goes away when he blinks!\We're wasting time.\Whoever's next, get ready.\Is your finger all right?\Oh, yeah.\Until a little while ago...\You're so lucky, Kacchan.\Your Quirk's so cool! response:	I hope I get mine soon, too.
context: We're wasting time.\Whoever's next, get ready.\Is your finger all right?\Oh, yeah.\Until a little while ago...\You're so lucky, Kacchan.\Your Quirk's so cool!\I hope I get mine soon, too. response:	No matter what Quirk you get, you'll never beat me.
context: Whoever's next, get ready.\Is your finger all right?\Oh, yeah.\Until a little while ago...\You're so lucky, Kacchan.\Your Quirk's so cool!\I hope I get mine soon, too.\No matter what Quirk you get, you'll never beat me. response:	A pebble...
context: Is your finger all right?\Oh, yeah.\Until a little while ago...\You're so lucky, Kacchan.\Your Quirk's so cool!\I hope I get mine soon, too.\No matter what Quirk you get, you'll never beat me.\A pebble... response:	After that, I fought against the pain
context: Oh, yeah.\Until a little while ago...\You're so lucky, Kacchan.\Your Quirk's so cool!\I hope I get mine soon, too.\No matter what Quirk you get, you'll never beat me.\A pebble...\After that, I fought against the pain response:	as we finished the rest of the fitness tests.
context: Until a little while ago...\You're so lucky, Kacchan.\Your Quirk's so cool!\I hope I get mine soon, too.\No matter what Quirk you get, you'll never beat me.\A pebble...\After that, I fought against the pain\as we finished the rest of the fitness tests. response:	Okay, I'll quickly tell you the results.
context: You're so lucky, Kacchan.\Your Quirk's so cool!\I hope I get mine soon, too.\No matter what Quirk you get, you'll never beat me.\A pebble...\After that, I fought against the pain\as we finished the rest of the fitness tests.\Okay, I'll quickly tell you the results. response:	The total is simply themarks you, got from each test.
context: Your Quirk's so cool!\I hope I get mine soon, too.\No matter what Quirk you get, you'll never beat me.\A pebble...\After that, I fought against the pain\as we finished the rest of the fitness tests.\Okay, I'll quickly tell you the results.\The total is simply themarks you, got from each test. response:	It's a waste of time to explain verbally, so I'll show you the results all at once.
context: I hope I get mine soon, too.\No matter what Quirk you get, you'll never beat me.\A pebble...\After that, I fought against the pain\as we finished the rest of the fitness tests.\Okay, I'll quickly tell you the results.\The total is simply themarks you, got from each test.\It's a waste of time to explain verbally, so I'll show you the results all at once. response:	The person with the lowest total score will be expelled.
context: No matter what Quirk you get, you'll never beat me.\A pebble...\After that, I fought against the pain\as we finished the rest of the fitness tests.\Okay, I'll quickly tell you the results.\The total is simply themarks you, got from each test.\It's a waste of time to explain verbally, so I'll show you the results all at once.\The person with the lowest total score will be expelled. response:	The only result I had that was any good was in the ball throw.
context: A pebble...\After that, I fought against the pain\as we finished the rest of the fitness tests.\Okay, I'll quickly tell you the results.\The total is simply themarks you, got from each test.\It's a waste of time to explain verbally, so I'll show you the results all at once.\The person with the lowest total score will be expelled.\The only result I had that was any good was in the ball throw. response:	For the rest of the tests, I did terribly because of the pain.
context: After that, I fought against the pain\as we finished the rest of the fitness tests.\Okay, I'll quickly tell you the results.\The total is simply themarks you, got from each test.\It's a waste of time to explain verbally, so I'll show you the results all at once.\The person with the lowest total score will be expelled.\The only result I had that was any good was in the ball throw.\For the rest of the tests, I did terribly because of the pain. response:	Last place will be...
context: as we finished the rest of the fitness tests.\Okay, I'll quickly tell you the results.\The total is simply themarks you, got from each test.\It's a waste of time to explain verbally, so I'll show you the results all at once.\The person with the lowest total score will be expelled.\The only result I had that was any good was in the ball throw.\For the rest of the tests, I did terribly because of the pain.\Last place will be... response:	By the way, I was lying about the expulsion.
context: Okay, I'll quickly tell you the results.\The total is simply themarks you, got from each test.\It's a waste of time to explain verbally, so I'll show you the results all at once.\The person with the lowest total score will be expelled.\The only result I had that was any good was in the ball throw.\For the rest of the tests, I did terribly because of the pain.\Last place will be...\By the way, I was lying about the expulsion. response:	It was a rational deception to draw out the upper limits of your Quirks.
context: The total is simply themarks you, got from each test.\It's a waste of time to explain verbally, so I'll show you the results all at once.\The person with the lowest total score will be expelled.\The only result I had that was any good was in the ball throw.\For the rest of the tests, I did terribly because of the pain.\Last place will be...\By the way, I was lying about the expulsion.\It was a rational deception to draw out the upper limits of your Quirks. response:	What?!
context: It's a waste of time to explain verbally, so I'll show you the results all at once.\The person with the lowest total score will be expelled.\The only result I had that was any good was in the ball throw.\For the rest of the tests, I did terribly because of the pain.\Last place will be...\By the way, I was lying about the expulsion.\It was a rational deception to draw out the upper limits of your Quirks.\What?! response:	Of course that was a lie.
context: The person with the lowest total score will be expelled.\The only result I had that was any good was in the ball throw.\For the rest of the tests, I did terribly because of the pain.\Last place will be...\By the way, I was lying about the expulsion.\It was a rational deception to draw out the upper limits of your Quirks.\What?!\Of course that was a lie. response:	It should have been obvious if you just thought it through.
context: The only result I had that was any good was in the ball throw.\For the rest of the tests, I did terribly because of the pain.\Last place will be...\By the way, I was lying about the expulsion.\It was a rational deception to draw out the upper limits of your Quirks.\What?!\Of course that was a lie.\It should have been obvious if you just thought it through. response:	I didn't notice...
context: For the rest of the tests, I did terribly because of the pain.\Last place will be...\By the way, I was lying about the expulsion.\It was a rational deception to draw out the upper limits of your Quirks.\What?!\Of course that was a lie.\It should have been obvious if you just thought it through.\I didn't notice... response:	I didn't notice...
context: Last place will be...\By the way, I was lying about the expulsion.\It was a rational deception to draw out the upper limits of your Quirks.\What?!\Of course that was a lie.\It should have been obvious if you just thought it through.\I didn't notice...\I didn't notice... response:	That was a little nerve-wracking, huh?
context: By the way, I was lying about the expulsion.\It was a rational deception to draw out the upper limits of your Quirks.\What?!\Of course that was a lie.\It should have been obvious if you just thought it through.\I didn't notice...\I didn't notice...\That was a little nerve-wracking, huh? response:	I'll take up the challenge anytime!
context: It was a rational deception to draw out the upper limits of your Quirks.\What?!\Of course that was a lie.\It should have been obvious if you just thought it through.\I didn't notice...\I didn't notice...\That was a little nerve-wracking, huh?\I'll take up the challenge anytime! response:	With that, we're done here.
context: What?!\Of course that was a lie.\It should have been obvious if you just thought it through.\I didn't notice...\I didn't notice...\That was a little nerve-wracking, huh?\I'll take up the challenge anytime!\With that, we're done here. response:	There are handouts with the curriculum and such in the classroom so when you get back, look over them.
context: Of course that was a lie.\It should have been obvious if you just thought it through.\I didn't notice...\I didn't notice...\That was a little nerve-wracking, huh?\I'll take up the challenge anytime!\With that, we're done here.\There are handouts with the curriculum and such in the classroom so when you get back, look over them. response:	Midoriya
context: It should have been obvious if you just thought it through.\I didn't notice...\I didn't notice...\That was a little nerve-wracking, huh?\I'll take up the challenge anytime!\With that, we're done here.\There are handouts with the curriculum and such in the classroom so when you get back, look over them.\Midoriya response:	Have the old lady fix you in the nurse's office.
context: I didn't notice...\I didn't notice...\That was a little nerve-wracking, huh?\I'll take up the challenge anytime!\With that, we're done here.\There are handouts with the curriculum and such in the classroom so when you get back, look over them.\Midoriya\Have the old lady fix you in the nurse's office. response:	Tomorrow will be packed with even more rigorous tests.
context: I didn't notice...\That was a little nerve-wracking, huh?\I'll take up the challenge anytime!\With that, we're done here.\There are handouts with the curriculum and such in the classroom so when you get back, look over them.\Midoriya\Have the old lady fix you in the nurse's office.\Tomorrow will be packed with even more rigorous tests. response:	Prepare yourself.
context: That was a little nerve-wracking, huh?\I'll take up the challenge anytime!\With that, we're done here.\There are handouts with the curriculum and such in the classroom so when you get back, look over them.\Midoriya\Have the old lady fix you in the nurse's office.\Tomorrow will be packed with even more rigorous tests.\Prepare yourself. response:	I got through this for now...
context: I'll take up the challenge anytime!\With that, we're done here.\There are handouts with the curriculum and such in the classroom so when you get back, look over them.\Midoriya\Have the old lady fix you in the nurse's office.\Tomorrow will be packed with even more rigorous tests.\Prepare yourself.\I got through this for now... response:	I'm starting from last place.
context: With that, we're done here.\There are handouts with the curriculum and such in the classroom so when you get back, look over them.\Midoriya\Have the old lady fix you in the nurse's office.\Tomorrow will be packed with even more rigorous tests.\Prepare yourself.\I got through this for now...\I'm starting from last place. response:	I have a lot to learn from here on out...
context: There are handouts with the curriculum and such in the classroom so when you get back, look over them.\Midoriya\Have the old lady fix you in the nurse's office.\Tomorrow will be packed with even more rigorous tests.\Prepare yourself.\I got through this for now...\I'm starting from last place.\I have a lot to learn from here on out... response:	Aizawa, you liar!
context: Midoriya\Have the old lady fix you in the nurse's office.\Tomorrow will be packed with even more rigorous tests.\Prepare yourself.\I got through this for now...\I'm starting from last place.\I have a lot to learn from here on out...\Aizawa, you liar! response:	All Might.
context: Have the old lady fix you in the nurse's office.\Tomorrow will be packed with even more rigorous tests.\Prepare yourself.\I got through this for now...\I'm starting from last place.\I have a lot to learn from here on out...\Aizawa, you liar!\All Might. response:	So you were watching?
context: Tomorrow will be packed with even more rigorous tests.\Prepare yourself.\I got through this for now...\I'm starting from last place.\I have a lot to learn from here on out...\Aizawa, you liar!\All Might.\So you were watching? response:	Too much time on your hands?
context: Prepare yourself.\I got through this for now...\I'm starting from last place.\I have a lot to learn from here on out...\Aizawa, you liar!\All Might.\So you were watching?\Too much time on your hands? response:	A rational deception you said?
context: I got through this for now...\I'm starting from last place.\I have a lot to learn from here on out...\Aizawa, you liar!\All Might.\So you were watching?\Too much time on your hands?\A rational deception you said? response:	April Fools was last week.
context: I'm starting from last place.\I have a lot to learn from here on out...\Aizawa, you liar!\All Might.\So you were watching?\Too much time on your hands?\A rational deception you said?\April Fools was last week. response:	You punished a whole class of last year's first-years with expulsion.
context: I have a lot to learn from here on out...\Aizawa, you liar!\All Might.\So you were watching?\Too much time on your hands?\A rational deception you said?\April Fools was last week.\You punished a whole class of last year's first-years with expulsion. response:	You cut those you judge to be without potential without hesitation.
context: Aizawa, you liar!\All Might.\So you were watching?\Too much time on your hands?\A rational deception you said?\April Fools was last week.\You punished a whole class of last year's first-years with expulsion.\You cut those you judge to be without potential without hesitation. response:	For a man like that to take back his words
context: All Might.\So you were watching?\Too much time on your hands?\A rational deception you said?\April Fools was last week.\You punished a whole class of last year's first-years with expulsion.\You cut those you judge to be without potential without hesitation.\For a man like that to take back his words response:	That must be because you also felt the potential of that kid, right?
context: So you were watching?\Too much time on your hands?\A rational deception you said?\April Fools was last week.\You punished a whole class of last year's first-years with expulsion.\You cut those you judge to be without potential without hesitation.\For a man like that to take back his words\That must be because you also felt the potential of that kid, right? response:	Also?
context: Too much time on your hands?\A rational deception you said?\April Fools was last week.\You punished a whole class of last year's first-years with expulsion.\You cut those you judge to be without potential without hesitation.\For a man like that to take back his words\That must be because you also felt the potential of that kid, right?\Also? response:	You seem to be supporting him quite a bit.
context: A rational deception you said?\April Fools was last week.\You punished a whole class of last year's first-years with expulsion.\You cut those you judge to be without potential without hesitation.\For a man like that to take back his words\That must be because you also felt the potential of that kid, right?\Also?\You seem to be supporting him quite a bit. response:	Is that how a teacher should be acting?
context: April Fools was last week.\You punished a whole class of last year's first-years with expulsion.\You cut those you judge to be without potential without hesitation.\For a man like that to take back his words\That must be because you also felt the potential of that kid, right?\Also?\You seem to be supporting him quite a bit.\Is that how a teacher should be acting? response:	His potential was not zero.
context: You punished a whole class of last year's first-years with expulsion.\You cut those you judge to be without potential without hesitation.\For a man like that to take back his words\That must be because you also felt the potential of that kid, right?\Also?\You seem to be supporting him quite a bit.\Is that how a teacher should be acting?\His potential was not zero. response:	That's all it was.
context: You cut those you judge to be without potential without hesitation.\For a man like that to take back his words\That must be because you also felt the potential of that kid, right?\Also?\You seem to be supporting him quite a bit.\Is that how a teacher should be acting?\His potential was not zero.\That's all it was. response:	I will always cut those without potential.
context: For a man like that to take back his words\That must be because you also felt the potential of that kid, right?\Also?\You seem to be supporting him quite a bit.\Is that how a teacher should be acting?\His potential was not zero.\That's all it was.\I will always cut those without potential. response:	There's nothing crueler than letting a dream end midway.
context: That must be because you also felt the potential of that kid, right?\Also?\You seem to be supporting him quite a bit.\Is that how a teacher should be acting?\His potential was not zero.\That's all it was.\I will always cut those without potential.\There's nothing crueler than letting a dream end midway. response:	So you're being kind in your own way, huh, Aizawa?
context: Also?\You seem to be supporting him quite a bit.\Is that how a teacher should be acting?\His potential was not zero.\That's all it was.\I will always cut those without potential.\There's nothing crueler than letting a dream end midway.\So you're being kind in your own way, huh, Aizawa? response:	But...
context: You seem to be supporting him quite a bit.\Is that how a teacher should be acting?\His potential was not zero.\That's all it was.\I will always cut those without potential.\There's nothing crueler than letting a dream end midway.\So you're being kind in your own way, huh, Aizawa?\But... response:	I'm so tired...
context: Is that how a teacher should be acting?\His potential was not zero.\That's all it was.\I will always cut those without potential.\There's nothing crueler than letting a dream end midway.\So you're being kind in your own way, huh, Aizawa?\But...\I'm so tired... response:	Iida!
context: His potential was not zero.\That's all it was.\I will always cut those without potential.\There's nothing crueler than letting a dream end midway.\So you're being kind in your own way, huh, Aizawa?\But...\I'm so tired...\Iida! response:	Is your finger healed?
context: That's all it was.\I will always cut those without potential.\There's nothing crueler than letting a dream end midway.\So you're being kind in your own way, huh, Aizawa?\But...\I'm so tired...\Iida!\Is your finger healed? response:	Yeah, thanks to Recovery Girl.
context: I will always cut those without potential.\There's nothing crueler than letting a dream end midway.\So you're being kind in your own way, huh, Aizawa?\But...\I'm so tired...\Iida!\Is your finger healed?\Yeah, thanks to Recovery Girl. response:	Wow, it's healed!
context: There's nothing crueler than letting a dream end midway.\So you're being kind in your own way, huh, Aizawa?\But...\I'm so tired...\Iida!\Is your finger healed?\Yeah, thanks to Recovery Girl.\Wow, it's healed! response:	But I suddenly feel very tired...
context: So you're being kind in your own way, huh, Aizawa?\But...\I'm so tired...\Iida!\Is your finger healed?\Yeah, thanks to Recovery Girl.\Wow, it's healed!\But I suddenly feel very tired... response:	My Quirk can only stimulate a person's healing ability.
context: But...\I'm so tired...\Iida!\Is your finger healed?\Yeah, thanks to Recovery Girl.\Wow, it's healed!\But I suddenly feel very tired...\My Quirk can only stimulate a person's healing ability. response:	Healing requires stamina.
context: I'm so tired...\Iida!\Is your finger healed?\Yeah, thanks to Recovery Girl.\Wow, it's healed!\But I suddenly feel very tired...\My Quirk can only stimulate a person's healing ability.\Healing requires stamina. response:	If you keep getting major injuries, you'll use too much stamina
context: Iida!\Is your finger healed?\Yeah, thanks to Recovery Girl.\Wow, it's healed!\But I suddenly feel very tired...\My Quirk can only stimulate a person's healing ability.\Healing requires stamina.\If you keep getting major injuries, you'll use too much stamina response:	and end up dying instead, so be careful.
context: Is your finger healed?\Yeah, thanks to Recovery Girl.\Wow, it's healed!\But I suddenly feel very tired...\My Quirk can only stimulate a person's healing ability.\Healing requires stamina.\If you keep getting major injuries, you'll use too much stamina\and end up dying instead, so be careful. response:	I'll end up dying instead?!
context: Yeah, thanks to Recovery Girl.\Wow, it's healed!\But I suddenly feel very tired...\My Quirk can only stimulate a person's healing ability.\Healing requires stamina.\If you keep getting major injuries, you'll use too much stamina\and end up dying instead, so be careful.\I'll end up dying instead?! response:	I can't just keep getting help from others.
context: Wow, it's healed!\But I suddenly feel very tired...\My Quirk can only stimulate a person's healing ability.\Healing requires stamina.\If you keep getting major injuries, you'll use too much stamina\and end up dying instead, so be careful.\I'll end up dying instead?!\I can't just keep getting help from others. response:	I have to hurry up and learn to control my power.
context: But I suddenly feel very tired...\My Quirk can only stimulate a person's healing ability.\Healing requires stamina.\If you keep getting major injuries, you'll use too much stamina\and end up dying instead, so be careful.\I'll end up dying instead?!\I can't just keep getting help from others.\I have to hurry up and learn to control my power. response:	I was really taken in by Mr. Aizawa.
context: My Quirk can only stimulate a person's healing ability.\Healing requires stamina.\If you keep getting major injuries, you'll use too much stamina\and end up dying instead, so be careful.\I'll end up dying instead?!\I can't just keep getting help from others.\I have to hurry up and learn to control my power.\I was really taken in by Mr. Aizawa. response:	I even thought, This is the best of the best and such.
context: Healing requires stamina.\If you keep getting major injuries, you'll use too much stamina\and end up dying instead, so be careful.\I'll end up dying instead?!\I can't just keep getting help from others.\I have to hurry up and learn to control my power.\I was really taken in by Mr. Aizawa.\I even thought, This is the best of the best and such. response:	I didn't think a teacher would encourage us with a lie.
context: If you keep getting major injuries, you'll use too much stamina\and end up dying instead, so be careful.\I'll end up dying instead?!\I can't just keep getting help from others.\I have to hurry up and learn to control my power.\I was really taken in by Mr. Aizawa.\I even thought, This is the best of the best and such.\I didn't think a teacher would encourage us with a lie. response:	I thought Iida was scary, but he's just earnest.
context: and end up dying instead, so be careful.\I'll end up dying instead?!\I can't just keep getting help from others.\I have to hurry up and learn to control my power.\I was really taken in by Mr. Aizawa.\I even thought, This is the best of the best and such.\I didn't think a teacher would encourage us with a lie.\I thought Iida was scary, but he's just earnest. response:	Hey! You two!
context: I'll end up dying instead?!\I can't just keep getting help from others.\I have to hurry up and learn to control my power.\I was really taken in by Mr. Aizawa.\I even thought, This is the best of the best and such.\I didn't think a teacher would encourage us with a lie.\I thought Iida was scary, but he's just earnest.\Hey! You two! response:	Going to the station?
context: I can't just keep getting help from others.\I have to hurry up and learn to control my power.\I was really taken in by Mr. Aizawa.\I even thought, This is the best of the best and such.\I didn't think a teacher would encourage us with a lie.\I thought Iida was scary, but he's just earnest.\Hey! You two!\Going to the station? response:	Wait for me!
context: I have to hurry up and learn to control my power.\I was really taken in by Mr. Aizawa.\I even thought, This is the best of the best and such.\I didn't think a teacher would encourage us with a lie.\I thought Iida was scary, but he's just earnest.\Hey! You two!\Going to the station?\Wait for me! response:	Uraraka?!
context: I was really taken in by Mr. Aizawa.\I even thought, This is the best of the best and such.\I didn't think a teacher would encourage us with a lie.\I thought Iida was scary, but he's just earnest.\Hey! You two!\Going to the station?\Wait for me!\Uraraka?! response:	You're the infinity girl.
context: I even thought, This is the best of the best and such.\I didn't think a teacher would encourage us with a lie.\I thought Iida was scary, but he's just earnest.\Hey! You two!\Going to the station?\Wait for me!\Uraraka?!\You're the infinity girl. response:	I'm Uraraka Ochako.
context: I didn't think a teacher would encourage us with a lie.\I thought Iida was scary, but he's just earnest.\Hey! You two!\Going to the station?\Wait for me!\Uraraka?!\You're the infinity girl.\I'm Uraraka Ochako. response:	Um, you're Iida Tenya,
context: I thought Iida was scary, but he's just earnest.\Hey! You two!\Going to the station?\Wait for me!\Uraraka?!\You're the infinity girl.\I'm Uraraka Ochako.\Um, you're Iida Tenya, response:	and you're Midoriya Deku, right?
context: Hey! You two!\Going to the station?\Wait for me!\Uraraka?!\You're the infinity girl.\I'm Uraraka Ochako.\Um, you're Iida Tenya,\and you're Midoriya Deku, right? response:	Deku?!
context: Going to the station?\Wait for me!\Uraraka?!\You're the infinity girl.\I'm Uraraka Ochako.\Um, you're Iida Tenya,\and you're Midoriya Deku, right?\Deku?! response:	Huh?
context: Wait for me!\Uraraka?!\You're the infinity girl.\I'm Uraraka Ochako.\Um, you're Iida Tenya,\and you're Midoriya Deku, right?\Deku?!\Huh? response:	But during the fitness test, the boy named Bakugou said
context: Uraraka?!\You're the infinity girl.\I'm Uraraka Ochako.\Um, you're Iida Tenya,\and you're Midoriya Deku, right?\Deku?!\Huh?\But during the fitness test, the boy named Bakugou said response:	Deku, you bastard!
context: You're the infinity girl.\I'm Uraraka Ochako.\Um, you're Iida Tenya,\and you're Midoriya Deku, right?\Deku?!\Huh?\But during the fitness test, the boy named Bakugou said\Deku, you bastard! response:	Right?
context: I'm Uraraka Ochako.\Um, you're Iida Tenya,\and you're Midoriya Deku, right?\Deku?!\Huh?\But during the fitness test, the boy named Bakugou said\Deku, you bastard!\Right? response:	Uh... my real name is Izuku, but D-Deku is what Kacchan calls me to make fun of me...
context: Um, you're Iida Tenya,\and you're Midoriya Deku, right?\Deku?!\Huh?\But during the fitness test, the boy named Bakugou said\Deku, you bastard!\Right?\Uh... my real name is Izuku, but D-Deku is what Kacchan calls me to make fun of me... response:	An insult?
