context: Looks like another hot day. response:	Good thing Kana-chan said we don't have to wear hakama.
context: I'm okay.\Well, let's get going.\Nobody forgot anything, right?\No!\Listen up, everyone.\There is no preliminary round for the individual tournament,\so there will be over 400 competitors.\Ayase-san is in Class A. response:	Mashima-kun and Nishida-kun are in Class B.
context: Well, let's get going.\Nobody forgot anything, right?\No!\Listen up, everyone.\There is no preliminary round for the individual tournament,\so there will be over 400 competitors.\Ayase-san is in Class A.\Mashima-kun and Nishida-kun are in Class B. response:	Komano-kun and Oe-san are in Class D.
context: Nobody forgot anything, right?\No!\Listen up, everyone.\There is no preliminary round for the individual tournament,\so there will be over 400 competitors.\Ayase-san is in Class A.\Mashima-kun and Nishida-kun are in Class B.\Komano-kun and Oe-san are in Class D. response:	You'll be playing in different rooms,
context: No!\Listen up, everyone.\There is no preliminary round for the individual tournament,\so there will be over 400 competitors.\Ayase-san is in Class A.\Mashima-kun and Nishida-kun are in Class B.\Komano-kun and Oe-san are in Class D.\You'll be playing in different rooms, response:	but I want you to play your very best
context: Listen up, everyone.\There is no preliminary round for the individual tournament,\so there will be over 400 competitors.\Ayase-san is in Class A.\Mashima-kun and Nishida-kun are in Class B.\Komano-kun and Oe-san are in Class D.\You'll be playing in different rooms,\but I want you to play your very best response:	against your rivals from all over the country.
context: There is no preliminary round for the individual tournament,\so there will be over 400 competitors.\Ayase-san is in Class A.\Mashima-kun and Nishida-kun are in Class B.\Komano-kun and Oe-san are in Class D.\You'll be playing in different rooms,\but I want you to play your very best\against your rivals from all over the country. response:	Yes, ma'am!
context: so there will be over 400 competitors.\Ayase-san is in Class A.\Mashima-kun and Nishida-kun are in Class B.\Komano-kun and Oe-san are in Class D.\You'll be playing in different rooms,\but I want you to play your very best\against your rivals from all over the country.\Yes, ma'am! response:	That makes us enemies today, Desktomu-kun!
context: Ayase-san is in Class A.\Mashima-kun and Nishida-kun are in Class B.\Komano-kun and Oe-san are in Class D.\You'll be playing in different rooms,\but I want you to play your very best\against your rivals from all over the country.\Yes, ma'am!\That makes us enemies today, Desktomu-kun! response:	I won't lose!
context: Mashima-kun and Nishida-kun are in Class B.\Komano-kun and Oe-san are in Class D.\You'll be playing in different rooms,\but I want you to play your very best\against your rivals from all over the country.\Yes, ma'am!\That makes us enemies today, Desktomu-kun!\I won't lose! response:	I'm aiming to win Class B!
context: Komano-kun and Oe-san are in Class D.\You'll be playing in different rooms,\but I want you to play your very best\against your rivals from all over the country.\Yes, ma'am!\That makes us enemies today, Desktomu-kun!\I won't lose!\I'm aiming to win Class B! response:	Y-Yeah...
context: You'll be playing in different rooms,\but I want you to play your very best\against your rivals from all over the country.\Yes, ma'am!\That makes us enemies today, Desktomu-kun!\I won't lose!\I'm aiming to win Class B!\Y-Yeah... response:	What's wrong with you, Mashima?
context: but I want you to play your very best\against your rivals from all over the country.\Yes, ma'am!\That makes us enemies today, Desktomu-kun!\I won't lose!\I'm aiming to win Class B!\Y-Yeah...\What's wrong with you, Mashima? response:	Show some fire.
context: against your rivals from all over the country.\Yes, ma'am!\That makes us enemies today, Desktomu-kun!\I won't lose!\I'm aiming to win Class B!\Y-Yeah...\What's wrong with you, Mashima?\Show some fire. response:	Nishida.
context: Yes, ma'am!\That makes us enemies today, Desktomu-kun!\I won't lose!\I'm aiming to win Class B!\Y-Yeah...\What's wrong with you, Mashima?\Show some fire.\Nishida. response:	Class B players...
context: That makes us enemies today, Desktomu-kun!\I won't lose!\I'm aiming to win Class B!\Y-Yeah...\What's wrong with you, Mashima?\Show some fire.\Nishida.\Class B players... response:	only get matched against other Class B players, right?
context: I won't lose!\I'm aiming to win Class B!\Y-Yeah...\What's wrong with you, Mashima?\Show some fire.\Nishida.\Class B players...\only get matched against other Class B players, right? response:	Of course.
context: I'm aiming to win Class B!\Y-Yeah...\What's wrong with you, Mashima?\Show some fire.\Nishida.\Class B players...\only get matched against other Class B players, right?\Of course. response:	Next time, we'll meet in a match. -Arata
context: Y-Yeah...\What's wrong with you, Mashima?\Show some fire.\Nishida.\Class B players...\only get matched against other Class B players, right?\Of course.\Next time, we'll meet in a match. -Arata response:	Chihaya Furu
context: What's wrong with you, Mashima?\Show some fire.\Nishida.\Class B players...\only get matched against other Class B players, right?\Of course.\Next time, we'll meet in a match. -Arata\Chihaya Furu response:	Verse 14
context: Show some fire.\Nishida.\Class B players...\only get matched against other Class B players, right?\Of course.\Next time, we'll meet in a match. -Arata\Chihaya Furu\Verse 14 response:	For There Is No One Else Out Here
context: Nishida.\Class B players...\only get matched against other Class B players, right?\Of course.\Next time, we'll meet in a match. -Arata\Chihaya Furu\Verse 14\For There Is No One Else Out Here response:	Please sit down in your assigned seat
context: Class B players...\only get matched against other Class B players, right?\Of course.\Next time, we'll meet in a match. -Arata\Chihaya Furu\Verse 14\For There Is No One Else Out Here\Please sit down in your assigned seat response:	once you've checked who your opponent is.
context: only get matched against other Class B players, right?\Of course.\Next time, we'll meet in a match. -Arata\Chihaya Furu\Verse 14\For There Is No One Else Out Here\Please sit down in your assigned seat\once you've checked who your opponent is. response:	Um...
context: Of course.\Next time, we'll meet in a match. -Arata\Chihaya Furu\Verse 14\For There Is No One Else Out Here\Please sit down in your assigned seat\once you've checked who your opponent is.\Um... response:	Ayase Chihaya
context: Next time, we'll meet in a match. -Arata\Chihaya Furu\Verse 14\For There Is No One Else Out Here\Please sit down in your assigned seat\once you've checked who your opponent is.\Um...\Ayase Chihaya response:	Oh, there I am.
context: Chihaya Furu\Verse 14\For There Is No One Else Out Here\Please sit down in your assigned seat\once you've checked who your opponent is.\Um...\Ayase Chihaya\Oh, there I am. response:	Hanamoto Ruri
context: Verse 14\For There Is No One Else Out Here\Please sit down in your assigned seat\once you've checked who your opponent is.\Um...\Ayase Chihaya\Oh, there I am.\Hanamoto Ruri response:	I'm playing Hanamoto-san from Kagoshima.
context: For There Is No One Else Out Here\Please sit down in your assigned seat\once you've checked who your opponent is.\Um...\Ayase Chihaya\Oh, there I am.\Hanamoto Ruri\I'm playing Hanamoto-san from Kagoshima. response:	I wonder what she's like.
context: Please sit down in your assigned seat\once you've checked who your opponent is.\Um...\Ayase Chihaya\Oh, there I am.\Hanamoto Ruri\I'm playing Hanamoto-san from Kagoshima.\I wonder what she's like. response:	Ayase.
context: once you've checked who your opponent is.\Um...\Ayase Chihaya\Oh, there I am.\Hanamoto Ruri\I'm playing Hanamoto-san from Kagoshima.\I wonder what she's like.\Ayase. response:	Whoa! Sudo-san!
context: Um...\Ayase Chihaya\Oh, there I am.\Hanamoto Ruri\I'm playing Hanamoto-san from Kagoshima.\I wonder what she's like.\Ayase.\Whoa! Sudo-san! response:	The Queen is here.
context: Ayase Chihaya\Oh, there I am.\Hanamoto Ruri\I'm playing Hanamoto-san from Kagoshima.\I wonder what she's like.\Ayase.\Whoa! Sudo-san!\The Queen is here. response:	Huh?
context: Oh, there I am.\Hanamoto Ruri\I'm playing Hanamoto-san from Kagoshima.\I wonder what she's like.\Ayase.\Whoa! Sudo-san!\The Queen is here.\Huh? response:	Look. She's playing our Amakasu in the first round.
context: Hanamoto Ruri\I'm playing Hanamoto-san from Kagoshima.\I wonder what she's like.\Ayase.\Whoa! Sudo-san!\The Queen is here.\Huh?\Look. She's playing our Amakasu in the first round. response:	Amakasu Nayuta
context: I'm playing Hanamoto-san from Kagoshima.\I wonder what she's like.\Ayase.\Whoa! Sudo-san!\The Queen is here.\Huh?\Look. She's playing our Amakasu in the first round.\Amakasu Nayuta response:	Wakamiya Shinobu
context: I wonder what she's like.\Ayase.\Whoa! Sudo-san!\The Queen is here.\Huh?\Look. She's playing our Amakasu in the first round.\Amakasu Nayuta\Wakamiya Shinobu response:	Wakamiya...
context: Ayase.\Whoa! Sudo-san!\The Queen is here.\Huh?\Look. She's playing our Amakasu in the first round.\Amakasu Nayuta\Wakamiya Shinobu\Wakamiya... response:	Wakamiya Shinobu.
context: Whoa! Sudo-san!\The Queen is here.\Huh?\Look. She's playing our Amakasu in the first round.\Amakasu Nayuta\Wakamiya Shinobu\Wakamiya...\Wakamiya Shinobu. response:	She made Class A when she was in fourth grade.
context: The Queen is here.\Huh?\Look. She's playing our Amakasu in the first round.\Amakasu Nayuta\Wakamiya Shinobu\Wakamiya...\Wakamiya Shinobu.\She made Class A when she was in fourth grade. response:	She's a first-year high school student in Kyoto.
context: Huh?\Look. She's playing our Amakasu in the first round.\Amakasu Nayuta\Wakamiya Shinobu\Wakamiya...\Wakamiya Shinobu.\She made Class A when she was in fourth grade.\She's a first-year high school student in Kyoto. response:	Huh?
context: Look. She's playing our Amakasu in the first round.\Amakasu Nayuta\Wakamiya Shinobu\Wakamiya...\Wakamiya Shinobu.\She made Class A when she was in fourth grade.\She's a first-year high school student in Kyoto.\Huh? response:	The youngest Queen in history.
context: Amakasu Nayuta\Wakamiya Shinobu\Wakamiya...\Wakamiya Shinobu.\She made Class A when she was in fourth grade.\She's a first-year high school student in Kyoto.\Huh?\The youngest Queen in history. response:	Oh, it's her.
context: Wakamiya Shinobu\Wakamiya...\Wakamiya Shinobu.\She made Class A when she was in fourth grade.\She's a first-year high school student in Kyoto.\Huh?\The youngest Queen in history.\Oh, it's her. response:	The girl I saw at Omi Jingu yesterday.
context: Wakamiya...\Wakamiya Shinobu.\She made Class A when she was in fourth grade.\She's a first-year high school student in Kyoto.\Huh?\The youngest Queen in history.\Oh, it's her.\The girl I saw at Omi Jingu yesterday. response:	She's wearing another lame T-shirt!
context: Wakamiya Shinobu.\She made Class A when she was in fourth grade.\She's a first-year high school student in Kyoto.\Huh?\The youngest Queen in history.\Oh, it's her.\The girl I saw at Omi Jingu yesterday.\She's wearing another lame T-shirt! response:	And it's tucked in!
context: She made Class A when she was in fourth grade.\She's a first-year high school student in Kyoto.\Huh?\The youngest Queen in history.\Oh, it's her.\The girl I saw at Omi Jingu yesterday.\She's wearing another lame T-shirt!\And it's tucked in! response:	Always the...
context: She's a first-year high school student in Kyoto.\Huh?\The youngest Queen in history.\Oh, it's her.\The girl I saw at Omi Jingu yesterday.\She's wearing another lame T-shirt!\And it's tucked in!\Always the... response:	Why a snowman?
context: Huh?\The youngest Queen in history.\Oh, it's her.\The girl I saw at Omi Jingu yesterday.\She's wearing another lame T-shirt!\And it's tucked in!\Always the...\Why a snowman? response:	She's cute, but she has the fashion sense of a rock.
context: The youngest Queen in history.\Oh, it's her.\The girl I saw at Omi Jingu yesterday.\She's wearing another lame T-shirt!\And it's tucked in!\Always the...\Why a snowman?\She's cute, but she has the fashion sense of a rock. response:	Oh? You came to play, Sudo-san?
context: Oh, it's her.\The girl I saw at Omi Jingu yesterday.\She's wearing another lame T-shirt!\And it's tucked in!\Always the...\Why a snowman?\She's cute, but she has the fashion sense of a rock.\Oh? You came to play, Sudo-san? response:	Hello, Queen.
context: The girl I saw at Omi Jingu yesterday.\She's wearing another lame T-shirt!\And it's tucked in!\Always the...\Why a snowman?\She's cute, but she has the fashion sense of a rock.\Oh? You came to play, Sudo-san?\Hello, Queen. response:	Please don't call me that.
context: She's wearing another lame T-shirt!\And it's tucked in!\Always the...\Why a snowman?\She's cute, but she has the fashion sense of a rock.\Oh? You came to play, Sudo-san?\Hello, Queen.\Please don't call me that. response:	I was so relieved when I found out that I'm not
context: And it's tucked in!\Always the...\Why a snowman?\She's cute, but she has the fashion sense of a rock.\Oh? You came to play, Sudo-san?\Hello, Queen.\Please don't call me that.\I was so relieved when I found out that I'm not response:	playing you in the first round.
context: Always the...\Why a snowman?\She's cute, but she has the fashion sense of a rock.\Oh? You came to play, Sudo-san?\Hello, Queen.\Please don't call me that.\I was so relieved when I found out that I'm not\playing you in the first round. response:	But...
context: Why a snowman?\She's cute, but she has the fashion sense of a rock.\Oh? You came to play, Sudo-san?\Hello, Queen.\Please don't call me that.\I was so relieved when I found out that I'm not\playing you in the first round.\But... response:	You came all the way out here to play in the individual tournament
context: She's cute, but she has the fashion sense of a rock.\Oh? You came to play, Sudo-san?\Hello, Queen.\Please don't call me that.\I was so relieved when I found out that I'm not\playing you in the first round.\But...\You came all the way out here to play in the individual tournament response:	after failing to make the team tournament?
context: Oh? You came to play, Sudo-san?\Hello, Queen.\Please don't call me that.\I was so relieved when I found out that I'm not\playing you in the first round.\But...\You came all the way out here to play in the individual tournament\after failing to make the team tournament? response:	You must really love karuta.
context: Hello, Queen.\Please don't call me that.\I was so relieved when I found out that I'm not\playing you in the first round.\But...\You came all the way out here to play in the individual tournament\after failing to make the team tournament?\You must really love karuta. response:	Well, please go easy on me if we end up
context: Please don't call me that.\I was so relieved when I found out that I'm not\playing you in the first round.\But...\You came all the way out here to play in the individual tournament\after failing to make the team tournament?\You must really love karuta.\Well, please go easy on me if we end up response:	playing each other.
context: I was so relieved when I found out that I'm not\playing you in the first round.\But...\You came all the way out here to play in the individual tournament\after failing to make the team tournament?\You must really love karuta.\Well, please go easy on me if we end up\playing each other. response:	I'm gonna kill her!
context: playing you in the first round.\But...\You came all the way out here to play in the individual tournament\after failing to make the team tournament?\You must really love karuta.\Well, please go easy on me if we end up\playing each other.\I'm gonna kill her! response:	Huh?!
context: But...\You came all the way out here to play in the individual tournament\after failing to make the team tournament?\You must really love karuta.\Well, please go easy on me if we end up\playing each other.\I'm gonna kill her!\Huh?! response:	She's rubbing it in my face!
context: You came all the way out here to play in the individual tournament\after failing to make the team tournament?\You must really love karuta.\Well, please go easy on me if we end up\playing each other.\I'm gonna kill her!\Huh?!\She's rubbing it in my face! response:	I'm gonna crush you, too!
context: after failing to make the team tournament?\You must really love karuta.\Well, please go easy on me if we end up\playing each other.\I'm gonna kill her!\Huh?!\She's rubbing it in my face!\I'm gonna crush you, too! response:	Payback for regionals!
context: You must really love karuta.\Well, please go easy on me if we end up\playing each other.\I'm gonna kill her!\Huh?!\She's rubbing it in my face!\I'm gonna crush you, too!\Payback for regionals! response:	the top female karuta player in Japan.
context: Well, please go easy on me if we end up\playing each other.\I'm gonna kill her!\Huh?!\She's rubbing it in my face!\I'm gonna crush you, too!\Payback for regionals!\the top female karuta player in Japan. response:	My goal...
context: playing each other.\I'm gonna kill her!\Huh?!\She's rubbing it in my face!\I'm gonna crush you, too!\Payback for regionals!\the top female karuta player in Japan.\My goal... response:	High School National Ogura Hundred Poets Karuta Championship
context: I'm gonna kill her!\Huh?!\She's rubbing it in my face!\I'm gonna crush you, too!\Payback for regionals!\the top female karuta player in Japan.\My goal...\High School National Ogura Hundred Poets Karuta Championship response:	I wonder how she plays karuta.
context: Huh?!\She's rubbing it in my face!\I'm gonna crush you, too!\Payback for regionals!\the top female karuta player in Japan.\My goal...\High School National Ogura Hundred Poets Karuta Championship\I wonder how she plays karuta. response:	I wonder how strong she is.
context: She's rubbing it in my face!\I'm gonna crush you, too!\Payback for regionals!\the top female karuta player in Japan.\My goal...\High School National Ogura Hundred Poets Karuta Championship\I wonder how she plays karuta.\I wonder how strong she is. response:	Good luck.
context: I'm gonna crush you, too!\Payback for regionals!\the top female karuta player in Japan.\My goal...\High School National Ogura Hundred Poets Karuta Championship\I wonder how she plays karuta.\I wonder how strong she is.\Good luck. response:	Good luck.
context: Payback for regionals!\the top female karuta player in Japan.\My goal...\High School National Ogura Hundred Poets Karuta Championship\I wonder how she plays karuta.\I wonder how strong she is.\Good luck.\Good luck. response:	I need to win fast so I can watch the Queen play.
context: the top female karuta player in Japan.\My goal...\High School National Ogura Hundred Poets Karuta Championship\I wonder how she plays karuta.\I wonder how strong she is.\Good luck.\Good luck.\I need to win fast so I can watch the Queen play. response:	Here comes spring, now the flower blooms
context: My goal...\High School National Ogura Hundred Poets Karuta Championship\I wonder how she plays karuta.\I wonder how strong she is.\Good luck.\Good luck.\I need to win fast so I can watch the Queen play.\Here comes spring, now the flower blooms response:	No more can we hear...
context: High School National Ogura Hundred Poets Karuta Championship\I wonder how she plays karuta.\I wonder how strong she is.\Good luck.\Good luck.\I need to win fast so I can watch the Queen play.\Here comes spring, now the flower blooms\No more can we hear... response:	Yes!
context: I wonder how she plays karuta.\I wonder how strong she is.\Good luck.\Good luck.\I need to win fast so I can watch the Queen play.\Here comes spring, now the flower blooms\No more can we hear...\Yes! response:	As my love first came...
context: I wonder how strong she is.\Good luck.\Good luck.\I need to win fast so I can watch the Queen play.\Here comes spring, now the flower blooms\No more can we hear...\Yes!\As my love first came... response:	Huh?
context: Good luck.\Good luck.\I need to win fast so I can watch the Queen play.\Here comes spring, now the flower blooms\No more can we hear...\Yes!\As my love first came...\Huh? response:	The tail feathers of...
context: Good luck.\I need to win fast so I can watch the Queen play.\Here comes spring, now the flower blooms\No more can we hear...\Yes!\As my love first came...\Huh?\The tail feathers of... response:	It was silly of me to think I could win fast.
context: I need to win fast so I can watch the Queen play.\Here comes spring, now the flower blooms\No more can we hear...\Yes!\As my love first came...\Huh?\The tail feathers of...\It was silly of me to think I could win fast. response:	Every player here is Class A!
context: Here comes spring, now the flower blooms\No more can we hear...\Yes!\As my love first came...\Huh?\The tail feathers of...\It was silly of me to think I could win fast.\Every player here is Class A! response:	Thank you very much.
context: No more can we hear...\Yes!\As my love first came...\Huh?\The tail feathers of...\It was silly of me to think I could win fast.\Every player here is Class A!\Thank you very much. response:	Thank you very much...
context: Yes!\As my love first came...\Huh?\The tail feathers of...\It was silly of me to think I could win fast.\Every player here is Class A!\Thank you very much.\Thank you very much... response:	Huh?
context: As my love first came...\Huh?\The tail feathers of...\It was silly of me to think I could win fast.\Every player here is Class A!\Thank you very much.\Thank you very much...\Huh? response:	They're already finished?
context: Huh?\The tail feathers of...\It was silly of me to think I could win fast.\Every player here is Class A!\Thank you very much.\Thank you very much...\Huh?\They're already finished? response:	No. Concentrate.
context: The tail feathers of...\It was silly of me to think I could win fast.\Every player here is Class A!\Thank you very much.\Thank you very much...\Huh?\They're already finished?\No. Concentrate. response:	Remember the positions of the cards.
context: It was silly of me to think I could win fast.\Every player here is Class A!\Thank you very much.\Thank you very much...\Huh?\They're already finished?\No. Concentrate.\Remember the positions of the cards. response:	Double check.
context: Every player here is Class A!\Thank you very much.\Thank you very much...\Huh?\They're already finished?\No. Concentrate.\Remember the positions of the cards.\Double check. response:	Play this one card at a time.
context: Thank you very much.\Thank you very much...\Huh?\They're already finished?\No. Concentrate.\Remember the positions of the cards.\Double check.\Play this one card at a time. response:	May it be...
context: Thank you very much...\Huh?\They're already finished?\No. Concentrate.\Remember the positions of the cards.\Double check.\Play this one card at a time.\May it be... response:	Wakamiya Shinobu
context: Huh?\They're already finished?\No. Concentrate.\Remember the positions of the cards.\Double check.\Play this one card at a time.\May it be...\Wakamiya Shinobu response:	She beat Amakasu from Hokuo by 24 cards?
context: They're already finished?\No. Concentrate.\Remember the positions of the cards.\Double check.\Play this one card at a time.\May it be...\Wakamiya Shinobu\She beat Amakasu from Hokuo by 24 cards? response:	Does that mean he only took one card?
context: No. Concentrate.\Remember the positions of the cards.\Double check.\Play this one card at a time.\May it be...\Wakamiya Shinobu\She beat Amakasu from Hokuo by 24 cards?\Does that mean he only took one card? response:	She's good.
context: Remember the positions of the cards.\Double check.\Play this one card at a time.\May it be...\Wakamiya Shinobu\She beat Amakasu from Hokuo by 24 cards?\Does that mean he only took one card?\She's good. response:	No wonder she's the Queen.
context: Double check.\Play this one card at a time.\May it be...\Wakamiya Shinobu\She beat Amakasu from Hokuo by 24 cards?\Does that mean he only took one card?\She's good.\No wonder she's the Queen. response:	She brought her own cup.
context: Play this one card at a time.\May it be...\Wakamiya Shinobu\She beat Amakasu from Hokuo by 24 cards?\Does that mean he only took one card?\She's good.\No wonder she's the Queen.\She brought her own cup. response:	Hot tea...
context: May it be...\Wakamiya Shinobu\She beat Amakasu from Hokuo by 24 cards?\Does that mean he only took one card?\She's good.\No wonder she's the Queen.\She brought her own cup.\Hot tea... response:	We will now post the pairings for the second round.
context: Wakamiya Shinobu\She beat Amakasu from Hokuo by 24 cards?\Does that mean he only took one card?\She's good.\No wonder she's the Queen.\She brought her own cup.\Hot tea...\We will now post the pairings for the second round. response:	I want to play the Queen.
context: She beat Amakasu from Hokuo by 24 cards?\Does that mean he only took one card?\She's good.\No wonder she's the Queen.\She brought her own cup.\Hot tea...\We will now post the pairings for the second round.\I want to play the Queen. response:	I don't want to play the Queen.
context: Does that mean he only took one card?\She's good.\No wonder she's the Queen.\She brought her own cup.\Hot tea...\We will now post the pairings for the second round.\I want to play the Queen.\I don't want to play the Queen. response:	I'm gonna take her down!
context: She's good.\No wonder she's the Queen.\She brought her own cup.\Hot tea...\We will now post the pairings for the second round.\I want to play the Queen.\I don't want to play the Queen.\I'm gonna take her down! response:	Anyone but the Queen!
context: No wonder she's the Queen.\She brought her own cup.\Hot tea...\We will now post the pairings for the second round.\I want to play the Queen.\I don't want to play the Queen.\I'm gonna take her down!\Anyone but the Queen! response:	I'm too scared to face her!
context: She brought her own cup.\Hot tea...\We will now post the pairings for the second round.\I want to play the Queen.\I don't want to play the Queen.\I'm gonna take her down!\Anyone but the Queen!\I'm too scared to face her! response:	I can't do it!
context: Hot tea...\We will now post the pairings for the second round.\I want to play the Queen.\I don't want to play the Queen.\I'm gonna take her down!\Anyone but the Queen!\I'm too scared to face her!\I can't do it! response:	I want to play her...
context: We will now post the pairings for the second round.\I want to play the Queen.\I don't want to play the Queen.\I'm gonna take her down!\Anyone but the Queen!\I'm too scared to face her!\I can't do it!\I want to play her... response:	Wakamiya Shinobu
context: I want to play the Queen.\I don't want to play the Queen.\I'm gonna take her down!\Anyone but the Queen!\I'm too scared to face her!\I can't do it!\I want to play her...\Wakamiya Shinobu response:	I don't want to play her...
context: I don't want to play the Queen.\I'm gonna take her down!\Anyone but the Queen!\I'm too scared to face her!\I can't do it!\I want to play her...\Wakamiya Shinobu\I don't want to play her... response:	I want to play her!
context: I'm gonna take her down!\Anyone but the Queen!\I'm too scared to face her!\I can't do it!\I want to play her...\Wakamiya Shinobu\I don't want to play her...\I want to play her! response:	Ayase Chihaya
context: Anyone but the Queen!\I'm too scared to face her!\I can't do it!\I want to play her...\Wakamiya Shinobu\I don't want to play her...\I want to play her!\Ayase Chihaya response:	Oh, Ayase-san.
context: I'm too scared to face her!\I can't do it!\I want to play her...\Wakamiya Shinobu\I don't want to play her...\I want to play her!\Ayase Chihaya\Oh, Ayase-san. response:	I borrowed a camcorder from Oe-san's mother.
context: I can't do it!\I want to play her...\Wakamiya Shinobu\I don't want to play her...\I want to play her!\Ayase Chihaya\Oh, Ayase-san.\I borrowed a camcorder from Oe-san's mother. response:	I'll be recording everyone's matches today-
context: I want to play her...\Wakamiya Shinobu\I don't want to play her...\I want to play her!\Ayase Chihaya\Oh, Ayase-san.\I borrowed a camcorder from Oe-san's mother.\I'll be recording everyone's matches today- response:	Memorization time is over!
context: Wakamiya Shinobu\I don't want to play her...\I want to play her!\Ayase Chihaya\Oh, Ayase-san.\I borrowed a camcorder from Oe-san's mother.\I'll be recording everyone's matches today-\Memorization time is over! response:	Good luck.
context: I don't want to play her...\I want to play her!\Ayase Chihaya\Oh, Ayase-san.\I borrowed a camcorder from Oe-san's mother.\I'll be recording everyone's matches today-\Memorization time is over!\Good luck. response:	Good luck.
context: I want to play her!\Ayase Chihaya\Oh, Ayase-san.\I borrowed a camcorder from Oe-san's mother.\I'll be recording everyone's matches today-\Memorization time is over!\Good luck.\Good luck. response:	Good luck.
context: Ayase Chihaya\Oh, Ayase-san.\I borrowed a camcorder from Oe-san's mother.\I'll be recording everyone's matches today-\Memorization time is over!\Good luck.\Good luck.\Good luck. response:	Naniwa Bay, now the flower blooms, but for winter
context: Oh, Ayase-san.\I borrowed a camcorder from Oe-san's mother.\I'll be recording everyone's matches today-\Memorization time is over!\Good luck.\Good luck.\Good luck.\Naniwa Bay, now the flower blooms, but for winter response:	We're right next to the reader.
context: I borrowed a camcorder from Oe-san's mother.\I'll be recording everyone's matches today-\Memorization time is over!\Good luck.\Good luck.\Good luck.\Naniwa Bay, now the flower blooms, but for winter\We're right next to the reader. response:	Close enough to hear her breathe...
context: I'll be recording everyone's matches today-\Memorization time is over!\Good luck.\Good luck.\Good luck.\Naniwa Bay, now the flower blooms, but for winter\We're right next to the reader.\Close enough to hear her breathe... response:	Here comes spring, now the flower blooms
context: Memorization time is over!\Good luck.\Good luck.\Good luck.\Naniwa Bay, now the flower blooms, but for winter\We're right next to the reader.\Close enough to hear her breathe...\Here comes spring, now the flower blooms response:	Hear her exhale...
context: Good luck.\Good luck.\Good luck.\Naniwa Bay, now the flower blooms, but for winter\We're right next to the reader.\Close enough to hear her breathe...\Here comes spring, now the flower blooms\Hear her exhale... response:	Here comes spring, now the flower blooms
context: Good luck.\Good luck.\Naniwa Bay, now the flower blooms, but for winter\We're right next to the reader.\Close enough to hear her breathe...\Here comes spring, now the flower blooms\Hear her exhale...\Here comes spring, now the flower blooms response:	Listen for the first syllable!
context: Good luck.\Naniwa Bay, now the flower blooms, but for winter\We're right next to the reader.\Close enough to hear her breathe...\Here comes spring, now the flower blooms\Hear her exhale...\Here comes spring, now the flower blooms\Listen for the first syllable! response:	Loo
context: Naniwa Bay, now the flower blooms, but for winter\We're right next to the reader.\Close enough to hear her breathe...\Here comes spring, now the flower blooms\Hear her exhale...\Here comes spring, now the flower blooms\Listen for the first syllable!\Loo response:	k for the sound...
context: We're right next to the reader.\Close enough to hear her breathe...\Here comes spring, now the flower blooms\Hear her exhale...\Here comes spring, now the flower blooms\Listen for the first syllable!\Loo\k for the sound... response:	What was that?!
context: Close enough to hear her breathe...\Here comes spring, now the flower blooms\Hear her exhale...\Here comes spring, now the flower blooms\Listen for the first syllable!\Loo\k for the sound...\What was that?! response:	but instead you see a pale moon in the dawn sky
context: Here comes spring, now the flower blooms\Hear her exhale...\Here comes spring, now the flower blooms\Listen for the first syllable!\Loo\k for the sound...\What was that?!\but instead you see a pale moon in the dawn sky response:	Her hand is still a blur in slow motion!
