context: It was a silent night response:	Eclipse was beginnin'
context: Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Dark Side response:	That makes three victims now.
context: We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Dark Side\That makes three victims now. response:	Just how long will this string of vampiric killings go on?
context: (Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Dark Side\That makes three victims now.\Just how long will this string of vampiric killings go on? response:	I never realized.
context: Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Dark Side\That makes three victims now.\Just how long will this string of vampiric killings go on?\I never realized. response:	As I went on living my normal life,
context: Licking each other's wounds\Defining each other's life\Thirsting for love\Dark Side\That makes three victims now.\Just how long will this string of vampiric killings go on?\I never realized.\As I went on living my normal life, response:	in the places I never stopped to notice...
context: Defining each other's life\Thirsting for love\Dark Side\That makes three victims now.\Just how long will this string of vampiric killings go on?\I never realized.\As I went on living my normal life,\in the places I never stopped to notice... response:	What's wrong?
context: Thirsting for love\Dark Side\That makes three victims now.\Just how long will this string of vampiric killings go on?\I never realized.\As I went on living my normal life,\in the places I never stopped to notice...\What's wrong? response:	Oh... nothing.
context: Dark Side\That makes three victims now.\Just how long will this string of vampiric killings go on?\I never realized.\As I went on living my normal life,\in the places I never stopped to notice...\What's wrong?\Oh... nothing. response:	He was always there in the crowd.
context: That makes three victims now.\Just how long will this string of vampiric killings go on?\I never realized.\As I went on living my normal life,\in the places I never stopped to notice...\What's wrong?\Oh... nothing.\He was always there in the crowd. response:	Always there, watching.
context: Just how long will this string of vampiric killings go on?\I never realized.\As I went on living my normal life,\in the places I never stopped to notice...\What's wrong?\Oh... nothing.\He was always there in the crowd.\Always there, watching. response:	What? I don't believe it!
context: I never realized.\As I went on living my normal life,\in the places I never stopped to notice...\What's wrong?\Oh... nothing.\He was always there in the crowd.\Always there, watching.\What? I don't believe it! response:	You need to break up with him fast!
context: As I went on living my normal life,\in the places I never stopped to notice...\What's wrong?\Oh... nothing.\He was always there in the crowd.\Always there, watching.\What? I don't believe it!\You need to break up with him fast! response:	Right, Tsukasa? What do you think?
context: in the places I never stopped to notice...\What's wrong?\Oh... nothing.\He was always there in the crowd.\Always there, watching.\What? I don't believe it!\You need to break up with him fast!\Right, Tsukasa? What do you think? response:	Huh?
context: What's wrong?\Oh... nothing.\He was always there in the crowd.\Always there, watching.\What? I don't believe it!\You need to break up with him fast!\Right, Tsukasa? What do you think?\Huh? response:	Forget about that. Don't you have a boyfriend yet, Tsukasa?
context: Oh... nothing.\He was always there in the crowd.\Always there, watching.\What? I don't believe it!\You need to break up with him fast!\Right, Tsukasa? What do you think?\Huh?\Forget about that. Don't you have a boyfriend yet, Tsukasa? response:	Me? I don't think I need one.
context: He was always there in the crowd.\Always there, watching.\What? I don't believe it!\You need to break up with him fast!\Right, Tsukasa? What do you think?\Huh?\Forget about that. Don't you have a boyfriend yet, Tsukasa?\Me? I don't think I need one. response:	Come on, you can't be like that forever.
context: Always there, watching.\What? I don't believe it!\You need to break up with him fast!\Right, Tsukasa? What do you think?\Huh?\Forget about that. Don't you have a boyfriend yet, Tsukasa?\Me? I don't think I need one.\Come on, you can't be like that forever. response:	I could introduce you to someone.
context: What? I don't believe it!\You need to break up with him fast!\Right, Tsukasa? What do you think?\Huh?\Forget about that. Don't you have a boyfriend yet, Tsukasa?\Me? I don't think I need one.\Come on, you can't be like that forever.\I could introduce you to someone. response:	What about Professor Ochiai?
context: You need to break up with him fast!\Right, Tsukasa? What do you think?\Huh?\Forget about that. Don't you have a boyfriend yet, Tsukasa?\Me? I don't think I need one.\Come on, you can't be like that forever.\I could introduce you to someone.\What about Professor Ochiai? response:	You're his favorite student, Tsukasa.
context: Right, Tsukasa? What do you think?\Huh?\Forget about that. Don't you have a boyfriend yet, Tsukasa?\Me? I don't think I need one.\Come on, you can't be like that forever.\I could introduce you to someone.\What about Professor Ochiai?\You're his favorite student, Tsukasa. response:	I'm not his favorite.
context: Huh?\Forget about that. Don't you have a boyfriend yet, Tsukasa?\Me? I don't think I need one.\Come on, you can't be like that forever.\I could introduce you to someone.\What about Professor Ochiai?\You're his favorite student, Tsukasa.\I'm not his favorite. response:	And I'm pretty sure he's married.
context: Forget about that. Don't you have a boyfriend yet, Tsukasa?\Me? I don't think I need one.\Come on, you can't be like that forever.\I could introduce you to someone.\What about Professor Ochiai?\You're his favorite student, Tsukasa.\I'm not his favorite.\And I'm pretty sure he's married. response:	Hey, cut her some slack. Tsukasa is pure, okay?
context: Me? I don't think I need one.\Come on, you can't be like that forever.\I could introduce you to someone.\What about Professor Ochiai?\You're his favorite student, Tsukasa.\I'm not his favorite.\And I'm pretty sure he's married.\Hey, cut her some slack. Tsukasa is pure, okay? response:	She's not like you lot.
context: Come on, you can't be like that forever.\I could introduce you to someone.\What about Professor Ochiai?\You're his favorite student, Tsukasa.\I'm not his favorite.\And I'm pretty sure he's married.\Hey, cut her some slack. Tsukasa is pure, okay?\She's not like you lot. response:	What makes her so different?
context: I could introduce you to someone.\What about Professor Ochiai?\You're his favorite student, Tsukasa.\I'm not his favorite.\And I'm pretty sure he's married.\Hey, cut her some slack. Tsukasa is pure, okay?\She's not like you lot.\What makes her so different? response:	Tsukasa is actually responsible.
context: What about Professor Ochiai?\You're his favorite student, Tsukasa.\I'm not his favorite.\And I'm pretty sure he's married.\Hey, cut her some slack. Tsukasa is pure, okay?\She's not like you lot.\What makes her so different?\Tsukasa is actually responsible. response:	You make it sound like we're a bunch of shallow airheads!
context: You're his favorite student, Tsukasa.\I'm not his favorite.\And I'm pretty sure he's married.\Hey, cut her some slack. Tsukasa is pure, okay?\She's not like you lot.\What makes her so different?\Tsukasa is actually responsible.\You make it sound like we're a bunch of shallow airheads! response:	And believe it or not, Tsukasa has...
context: I'm not his favorite.\And I'm pretty sure he's married.\Hey, cut her some slack. Tsukasa is pure, okay?\She's not like you lot.\What makes her so different?\Tsukasa is actually responsible.\You make it sound like we're a bunch of shallow airheads!\And believe it or not, Tsukasa has... response:	Tsukasa. Can I sit next to you?
context: And I'm pretty sure he's married.\Hey, cut her some slack. Tsukasa is pure, okay?\She's not like you lot.\What makes her so different?\Tsukasa is actually responsible.\You make it sound like we're a bunch of shallow airheads!\And believe it or not, Tsukasa has...\Tsukasa. Can I sit next to you? response:	And would you mind showing me your notes?
context: Hey, cut her some slack. Tsukasa is pure, okay?\She's not like you lot.\What makes her so different?\Tsukasa is actually responsible.\You make it sound like we're a bunch of shallow airheads!\And believe it or not, Tsukasa has...\Tsukasa. Can I sit next to you?\And would you mind showing me your notes? response:	Sure, no problem.
context: She's not like you lot.\What makes her so different?\Tsukasa is actually responsible.\You make it sound like we're a bunch of shallow airheads!\And believe it or not, Tsukasa has...\Tsukasa. Can I sit next to you?\And would you mind showing me your notes?\Sure, no problem. response:	What? Borrowing Tsukasa's notes again?
context: What makes her so different?\Tsukasa is actually responsible.\You make it sound like we're a bunch of shallow airheads!\And believe it or not, Tsukasa has...\Tsukasa. Can I sit next to you?\And would you mind showing me your notes?\Sure, no problem.\What? Borrowing Tsukasa's notes again? response:	Her's are the most helpful, she knows how to organize them.
context: Tsukasa is actually responsible.\You make it sound like we're a bunch of shallow airheads!\And believe it or not, Tsukasa has...\Tsukasa. Can I sit next to you?\And would you mind showing me your notes?\Sure, no problem.\What? Borrowing Tsukasa's notes again?\Her's are the most helpful, she knows how to organize them. response:	That's for sure.
context: You make it sound like we're a bunch of shallow airheads!\And believe it or not, Tsukasa has...\Tsukasa. Can I sit next to you?\And would you mind showing me your notes?\Sure, no problem.\What? Borrowing Tsukasa's notes again?\Her's are the most helpful, she knows how to organize them.\That's for sure. response:	Let me see them, too!
context: And believe it or not, Tsukasa has...\Tsukasa. Can I sit next to you?\And would you mind showing me your notes?\Sure, no problem.\What? Borrowing Tsukasa's notes again?\Her's are the most helpful, she knows how to organize them.\That's for sure.\Let me see them, too! response:	Hey, Tsukasa.
context: Tsukasa. Can I sit next to you?\And would you mind showing me your notes?\Sure, no problem.\What? Borrowing Tsukasa's notes again?\Her's are the most helpful, she knows how to organize them.\That's for sure.\Let me see them, too!\Hey, Tsukasa. response:	I'm having a hard time getting this one.
context: And would you mind showing me your notes?\Sure, no problem.\What? Borrowing Tsukasa's notes again?\Her's are the most helpful, she knows how to organize them.\That's for sure.\Let me see them, too!\Hey, Tsukasa.\I'm having a hard time getting this one. response:	Um, well, you have to...
context: Sure, no problem.\What? Borrowing Tsukasa's notes again?\Her's are the most helpful, she knows how to organize them.\That's for sure.\Let me see them, too!\Hey, Tsukasa.\I'm having a hard time getting this one.\Um, well, you have to... response:	There's Professor Ochiai!
context: What? Borrowing Tsukasa's notes again?\Her's are the most helpful, she knows how to organize them.\That's for sure.\Let me see them, too!\Hey, Tsukasa.\I'm having a hard time getting this one.\Um, well, you have to...\There's Professor Ochiai! response:	Alright, take your seats.
context: Her's are the most helpful, she knows how to organize them.\That's for sure.\Let me see them, too!\Hey, Tsukasa.\I'm having a hard time getting this one.\Um, well, you have to...\There's Professor Ochiai!\Alright, take your seats. response:	And quit stealing Taira's notes.
context: That's for sure.\Let me see them, too!\Hey, Tsukasa.\I'm having a hard time getting this one.\Um, well, you have to...\There's Professor Ochiai!\Alright, take your seats.\And quit stealing Taira's notes. response:	So where were you heading next, Miwako?
context: Let me see them, too!\Hey, Tsukasa.\I'm having a hard time getting this one.\Um, well, you have to...\There's Professor Ochiai!\Alright, take your seats.\And quit stealing Taira's notes.\So where were you heading next, Miwako? response:	Well, there are a few companies I'd like to apply for.
context: Hey, Tsukasa.\I'm having a hard time getting this one.\Um, well, you have to...\There's Professor Ochiai!\Alright, take your seats.\And quit stealing Taira's notes.\So where were you heading next, Miwako?\Well, there are a few companies I'd like to apply for. response:	Oh yeah, we have to find jobs.
context: I'm having a hard time getting this one.\Um, well, you have to...\There's Professor Ochiai!\Alright, take your seats.\And quit stealing Taira's notes.\So where were you heading next, Miwako?\Well, there are a few companies I'd like to apply for.\Oh yeah, we have to find jobs. response:	No, you're such a great student, you could go for a PhD! You know?
context: Um, well, you have to...\There's Professor Ochiai!\Alright, take your seats.\And quit stealing Taira's notes.\So where were you heading next, Miwako?\Well, there are a few companies I'd like to apply for.\Oh yeah, we have to find jobs.\No, you're such a great student, you could go for a PhD! You know? response:	I'm not so sure. I don't think I want more school.
context: There's Professor Ochiai!\Alright, take your seats.\And quit stealing Taira's notes.\So where were you heading next, Miwako?\Well, there are a few companies I'd like to apply for.\Oh yeah, we have to find jobs.\No, you're such a great student, you could go for a PhD! You know?\I'm not so sure. I don't think I want more school. response:	Huh?
context: Alright, take your seats.\And quit stealing Taira's notes.\So where were you heading next, Miwako?\Well, there are a few companies I'd like to apply for.\Oh yeah, we have to find jobs.\No, you're such a great student, you could go for a PhD! You know?\I'm not so sure. I don't think I want more school.\Huh? response:	I do like doing research and learning new things,
context: And quit stealing Taira's notes.\So where were you heading next, Miwako?\Well, there are a few companies I'd like to apply for.\Oh yeah, we have to find jobs.\No, you're such a great student, you could go for a PhD! You know?\I'm not so sure. I don't think I want more school.\Huh?\I do like doing research and learning new things, response:	and I like college, too, but...
context: So where were you heading next, Miwako?\Well, there are a few companies I'd like to apply for.\Oh yeah, we have to find jobs.\No, you're such a great student, you could go for a PhD! You know?\I'm not so sure. I don't think I want more school.\Huh?\I do like doing research and learning new things,\and I like college, too, but... response:	It's okay. You don't have to rush.
context: Well, there are a few companies I'd like to apply for.\Oh yeah, we have to find jobs.\No, you're such a great student, you could go for a PhD! You know?\I'm not so sure. I don't think I want more school.\Huh?\I do like doing research and learning new things,\and I like college, too, but...\It's okay. You don't have to rush. response:	Yes, you do.
context: Oh yeah, we have to find jobs.\No, you're such a great student, you could go for a PhD! You know?\I'm not so sure. I don't think I want more school.\Huh?\I do like doing research and learning new things,\and I like college, too, but...\It's okay. You don't have to rush.\Yes, you do. response:	You don't have to get a boyfriend,
context: No, you're such a great student, you could go for a PhD! You know?\I'm not so sure. I don't think I want more school.\Huh?\I do like doing research and learning new things,\and I like college, too, but...\It's okay. You don't have to rush.\Yes, you do.\You don't have to get a boyfriend, response:	but if you don't get serious about your future pretty soon, you could be in big trouble.
context: I'm not so sure. I don't think I want more school.\Huh?\I do like doing research and learning new things,\and I like college, too, but...\It's okay. You don't have to rush.\Yes, you do.\You don't have to get a boyfriend,\but if you don't get serious about your future pretty soon, you could be in big trouble. response:	It's true.
context: Huh?\I do like doing research and learning new things,\and I like college, too, but...\It's okay. You don't have to rush.\Yes, you do.\You don't have to get a boyfriend,\but if you don't get serious about your future pretty soon, you could be in big trouble.\It's true. response:	Ogikubo
context: I do like doing research and learning new things,\and I like college, too, but...\It's okay. You don't have to rush.\Yes, you do.\You don't have to get a boyfriend,\but if you don't get serious about your future pretty soon, you could be in big trouble.\It's true.\Ogikubo response:	As the days go on, I usually just go with the flow.
context: and I like college, too, but...\It's okay. You don't have to rush.\Yes, you do.\You don't have to get a boyfriend,\but if you don't get serious about your future pretty soon, you could be in big trouble.\It's true.\Ogikubo\As the days go on, I usually just go with the flow. response:	I can't see the future,
context: It's okay. You don't have to rush.\Yes, you do.\You don't have to get a boyfriend,\but if you don't get serious about your future pretty soon, you could be in big trouble.\It's true.\Ogikubo\As the days go on, I usually just go with the flow.\I can't see the future, response:	so my only option is to do my best with what's in front of me.
context: Yes, you do.\You don't have to get a boyfriend,\but if you don't get serious about your future pretty soon, you could be in big trouble.\It's true.\Ogikubo\As the days go on, I usually just go with the flow.\I can't see the future,\so my only option is to do my best with what's in front of me. response:	How do you figure out what it is you really want to do in life?
context: You don't have to get a boyfriend,\but if you don't get serious about your future pretty soon, you could be in big trouble.\It's true.\Ogikubo\As the days go on, I usually just go with the flow.\I can't see the future,\so my only option is to do my best with what's in front of me.\How do you figure out what it is you really want to do in life? response:	Vampire Murder Victim Discovered Body Drained of Blood
context: but if you don't get serious about your future pretty soon, you could be in big trouble.\It's true.\Ogikubo\As the days go on, I usually just go with the flow.\I can't see the future,\so my only option is to do my best with what's in front of me.\How do you figure out what it is you really want to do in life?\Vampire Murder Victim Discovered Body Drained of Blood response:	There it is.
context: It's true.\Ogikubo\As the days go on, I usually just go with the flow.\I can't see the future,\so my only option is to do my best with what's in front of me.\How do you figure out what it is you really want to do in life?\Vampire Murder Victim Discovered Body Drained of Blood\There it is. response:	That feeling I've been getting.
context: Ogikubo\As the days go on, I usually just go with the flow.\I can't see the future,\so my only option is to do my best with what's in front of me.\How do you figure out what it is you really want to do in life?\Vampire Murder Victim Discovered Body Drained of Blood\There it is.\That feeling I've been getting. response:	Like someone is watching me.
context: As the days go on, I usually just go with the flow.\I can't see the future,\so my only option is to do my best with what's in front of me.\How do you figure out what it is you really want to do in life?\Vampire Murder Victim Discovered Body Drained of Blood\There it is.\That feeling I've been getting.\Like someone is watching me. response:	The target is on Hakusan Dori.
context: I can't see the future,\so my only option is to do my best with what's in front of me.\How do you figure out what it is you really want to do in life?\Vampire Murder Victim Discovered Body Drained of Blood\There it is.\That feeling I've been getting.\Like someone is watching me.\The target is on Hakusan Dori. response:	He left Kasuga Station and is headed for Tokyo University!
context: so my only option is to do my best with what's in front of me.\How do you figure out what it is you really want to do in life?\Vampire Murder Victim Discovered Body Drained of Blood\There it is.\That feeling I've been getting.\Like someone is watching me.\The target is on Hakusan Dori.\He left Kasuga Station and is headed for Tokyo University! response:	The victim has what appear to be bite marks on her neck,
context: How do you figure out what it is you really want to do in life?\Vampire Murder Victim Discovered Body Drained of Blood\There it is.\That feeling I've been getting.\Like someone is watching me.\The target is on Hakusan Dori.\He left Kasuga Station and is headed for Tokyo University!\The victim has what appear to be bite marks on her neck, response:	and all the blood has been drained from her body.
context: Vampire Murder Victim Discovered Body Drained of Blood\There it is.\That feeling I've been getting.\Like someone is watching me.\The target is on Hakusan Dori.\He left Kasuga Station and is headed for Tokyo University!\The victim has what appear to be bite marks on her neck,\and all the blood has been drained from her body. response:	Police! Freeze!
context: There it is.\That feeling I've been getting.\Like someone is watching me.\The target is on Hakusan Dori.\He left Kasuga Station and is headed for Tokyo University!\The victim has what appear to be bite marks on her neck,\and all the blood has been drained from her body.\Police! Freeze! response:	You won't get away from us! Don't even try!
context: That feeling I've been getting.\Like someone is watching me.\The target is on Hakusan Dori.\He left Kasuga Station and is headed for Tokyo University!\The victim has what appear to be bite marks on her neck,\and all the blood has been drained from her body.\Police! Freeze!\You won't get away from us! Don't even try! response:	Attention all on-duty officers within the jurisdiction.
context: Like someone is watching me.\The target is on Hakusan Dori.\He left Kasuga Station and is headed for Tokyo University!\The victim has what appear to be bite marks on her neck,\and all the blood has been drained from her body.\Police! Freeze!\You won't get away from us! Don't even try!\Attention all on-duty officers within the jurisdiction. response:	The suspect in question has been identified as a Level 3 special case.
context: The target is on Hakusan Dori.\He left Kasuga Station and is headed for Tokyo University!\The victim has what appear to be bite marks on her neck,\and all the blood has been drained from her body.\Police! Freeze!\You won't get away from us! Don't even try!\Attention all on-duty officers within the jurisdiction.\The suspect in question has been identified as a Level 3 special case. response:	We're giving this to Public Security Division 5.
context: He left Kasuga Station and is headed for Tokyo University!\The victim has what appear to be bite marks on her neck,\and all the blood has been drained from her body.\Police! Freeze!\You won't get away from us! Don't even try!\Attention all on-duty officers within the jurisdiction.\The suspect in question has been identified as a Level 3 special case.\We're giving this to Public Security Division 5. response:	I repeat.
context: The victim has what appear to be bite marks on her neck,\and all the blood has been drained from her body.\Police! Freeze!\You won't get away from us! Don't even try!\Attention all on-duty officers within the jurisdiction.\The suspect in question has been identified as a Level 3 special case.\We're giving this to Public Security Division 5.\I repeat. response:	This is a special case for Public Security Division 5.
context: and all the blood has been drained from her body.\Police! Freeze!\You won't get away from us! Don't even try!\Attention all on-duty officers within the jurisdiction.\The suspect in question has been identified as a Level 3 special case.\We're giving this to Public Security Division 5.\I repeat.\This is a special case for Public Security Division 5. response:	Public Security Division 5
context: Police! Freeze!\You won't get away from us! Don't even try!\Attention all on-duty officers within the jurisdiction.\The suspect in question has been identified as a Level 3 special case.\We're giving this to Public Security Division 5.\I repeat.\This is a special case for Public Security Division 5.\Public Security Division 5 response:	I want a name for this suspect.
context: You won't get away from us! Don't even try!\Attention all on-duty officers within the jurisdiction.\The suspect in question has been identified as a Level 3 special case.\We're giving this to Public Security Division 5.\I repeat.\This is a special case for Public Security Division 5.\Public Security Division 5\I want a name for this suspect. response:	What's his escape route?
context: Attention all on-duty officers within the jurisdiction.\The suspect in question has been identified as a Level 3 special case.\We're giving this to Public Security Division 5.\I repeat.\This is a special case for Public Security Division 5.\Public Security Division 5\I want a name for this suspect.\What's his escape route? response:	Hey, have you heard about the Vampire Murders?
context: The suspect in question has been identified as a Level 3 special case.\We're giving this to Public Security Division 5.\I repeat.\This is a special case for Public Security Division 5.\Public Security Division 5\I want a name for this suspect.\What's his escape route?\Hey, have you heard about the Vampire Murders? response:	I've heard of them. But they're just an urban legend.
context: We're giving this to Public Security Division 5.\I repeat.\This is a special case for Public Security Division 5.\Public Security Division 5\I want a name for this suspect.\What's his escape route?\Hey, have you heard about the Vampire Murders?\I've heard of them. But they're just an urban legend. response:	There's no such thing as vampires.
context: I repeat.\This is a special case for Public Security Division 5.\Public Security Division 5\I want a name for this suspect.\What's his escape route?\Hey, have you heard about the Vampire Murders?\I've heard of them. But they're just an urban legend.\There's no such thing as vampires. response:	Is something wrong?
context: This is a special case for Public Security Division 5.\Public Security Division 5\I want a name for this suspect.\What's his escape route?\Hey, have you heard about the Vampire Murders?\I've heard of them. But they're just an urban legend.\There's no such thing as vampires.\Is something wrong? response:	No, I'm fine.
context: Public Security Division 5\I want a name for this suspect.\What's his escape route?\Hey, have you heard about the Vampire Murders?\I've heard of them. But they're just an urban legend.\There's no such thing as vampires.\Is something wrong?\No, I'm fine. response:	You sure?
context: I want a name for this suspect.\What's his escape route?\Hey, have you heard about the Vampire Murders?\I've heard of them. But they're just an urban legend.\There's no such thing as vampires.\Is something wrong?\No, I'm fine.\You sure? response:	And hey, I can hear your show through your headphones.
context: What's his escape route?\Hey, have you heard about the Vampire Murders?\I've heard of them. But they're just an urban legend.\There's no such thing as vampires.\Is something wrong?\No, I'm fine.\You sure?\And hey, I can hear your show through your headphones. response:	Oh, you can? Sorry.
context: Hey, have you heard about the Vampire Murders?\I've heard of them. But they're just an urban legend.\There's no such thing as vampires.\Is something wrong?\No, I'm fine.\You sure?\And hey, I can hear your show through your headphones.\Oh, you can? Sorry. response:	What are you watching?
context: I've heard of them. But they're just an urban legend.\There's no such thing as vampires.\Is something wrong?\No, I'm fine.\You sure?\And hey, I can hear your show through your headphones.\Oh, you can? Sorry.\What are you watching? response:	A special on the Vampire Murders.
context: There's no such thing as vampires.\Is something wrong?\No, I'm fine.\You sure?\And hey, I can hear your show through your headphones.\Oh, you can? Sorry.\What are you watching?\A special on the Vampire Murders. response:	You and your occult obsession.
context: Is something wrong?\No, I'm fine.\You sure?\And hey, I can hear your show through your headphones.\Oh, you can? Sorry.\What are you watching?\A special on the Vampire Murders.\You and your occult obsession. response:	But look!
context: No, I'm fine.\You sure?\And hey, I can hear your show through your headphones.\Oh, you can? Sorry.\What are you watching?\A special on the Vampire Murders.\You and your occult obsession.\But look! response:	They found fang marks on the victims' necks and-
context: You sure?\And hey, I can hear your show through your headphones.\Oh, you can? Sorry.\What are you watching?\A special on the Vampire Murders.\You and your occult obsession.\But look!\They found fang marks on the victims' necks and- response:	That's the kind of stuff you only read about in the tabloids.
context: And hey, I can hear your show through your headphones.\Oh, you can? Sorry.\What are you watching?\A special on the Vampire Murders.\You and your occult obsession.\But look!\They found fang marks on the victims' necks and-\That's the kind of stuff you only read about in the tabloids. response:	You never hear about it on the real news.
context: Oh, you can? Sorry.\What are you watching?\A special on the Vampire Murders.\You and your occult obsession.\But look!\They found fang marks on the victims' necks and-\That's the kind of stuff you only read about in the tabloids.\You never hear about it on the real news. response:	Must have imagined it.
context: What are you watching?\A special on the Vampire Murders.\You and your occult obsession.\But look!\They found fang marks on the victims' necks and-\That's the kind of stuff you only read about in the tabloids.\You never hear about it on the real news.\Must have imagined it. response:	F Squad has gone on ahead and blocked the target's escape route.
context: A special on the Vampire Murders.\You and your occult obsession.\But look!\They found fang marks on the victims' necks and-\That's the kind of stuff you only read about in the tabloids.\You never hear about it on the real news.\Must have imagined it.\F Squad has gone on ahead and blocked the target's escape route. response:	Sawazaki, F Squad, I copy.
context: You and your occult obsession.\But look!\They found fang marks on the victims' necks and-\That's the kind of stuff you only read about in the tabloids.\You never hear about it on the real news.\Must have imagined it.\F Squad has gone on ahead and blocked the target's escape route.\Sawazaki, F Squad, I copy. response:	I'm with one striker, and one doctor.
context: But look!\They found fang marks on the victims' necks and-\That's the kind of stuff you only read about in the tabloids.\You never hear about it on the real news.\Must have imagined it.\F Squad has gone on ahead and blocked the target's escape route.\Sawazaki, F Squad, I copy.\I'm with one striker, and one doctor. response:	On our way to apprehend the target.
