context: Watch Duty response:	Tamaki Miyake
context: Don't call me poor.\Person on duty there?\Well, the person on duty yesterday made it, not me,\but I'll do what I can.\It's cold!\They did say it would be windy...\What are we supposed to do after this?\Clean the bathrooms! response:	The summer team leaves in 3 days!
context: Person on duty there?\Well, the person on duty yesterday made it, not me,\but I'll do what I can.\It's cold!\They did say it would be windy...\What are we supposed to do after this?\Clean the bathrooms!\The summer team leaves in 3 days! response:	I told you I hate hijiki!
context: Well, the person on duty yesterday made it, not me,\but I'll do what I can.\It's cold!\They did say it would be windy...\What are we supposed to do after this?\Clean the bathrooms!\The summer team leaves in 3 days!\I told you I hate hijiki! response:	Just eat it.
context: but I'll do what I can.\It's cold!\They did say it would be windy...\What are we supposed to do after this?\Clean the bathrooms!\The summer team leaves in 3 days!\I told you I hate hijiki!\Just eat it. response:	I'm told you've been a little anemic lately, Honami-san.
context: It's cold!\They did say it would be windy...\What are we supposed to do after this?\Clean the bathrooms!\The summer team leaves in 3 days!\I told you I hate hijiki!\Just eat it.\I'm told you've been a little anemic lately, Honami-san. response:	Meanie!
context: They did say it would be windy...\What are we supposed to do after this?\Clean the bathrooms!\The summer team leaves in 3 days!\I told you I hate hijiki!\Just eat it.\I'm told you've been a little anemic lately, Honami-san.\Meanie! response:	Those high school girls were so cute at the start.
context: What are we supposed to do after this?\Clean the bathrooms!\The summer team leaves in 3 days!\I told you I hate hijiki!\Just eat it.\I'm told you've been a little anemic lately, Honami-san.\Meanie!\Those high school girls were so cute at the start. response:	They weren't doing anything then.
context: Clean the bathrooms!\The summer team leaves in 3 days!\I told you I hate hijiki!\Just eat it.\I'm told you've been a little anemic lately, Honami-san.\Meanie!\Those high school girls were so cute at the start.\They weren't doing anything then. response:	Want some tea?
context: The summer team leaves in 3 days!\I told you I hate hijiki!\Just eat it.\I'm told you've been a little anemic lately, Honami-san.\Meanie!\Those high school girls were so cute at the start.\They weren't doing anything then.\Want some tea? response:	After so much time in Antarctica, you'll never reintegrate into society.
context: I told you I hate hijiki!\Just eat it.\I'm told you've been a little anemic lately, Honami-san.\Meanie!\Those high school girls were so cute at the start.\They weren't doing anything then.\Want some tea?\After so much time in Antarctica, you'll never reintegrate into society. response:	Like that.
context: Just eat it.\I'm told you've been a little anemic lately, Honami-san.\Meanie!\Those high school girls were so cute at the start.\They weren't doing anything then.\Want some tea?\After so much time in Antarctica, you'll never reintegrate into society.\Like that. response:	Chisou, ron.
context: I'm told you've been a little anemic lately, Honami-san.\Meanie!\Those high school girls were so cute at the start.\They weren't doing anything then.\Want some tea?\After so much time in Antarctica, you'll never reintegrate into society.\Like that.\Chisou, ron. response:	Riisoku, jyunchansanshiki, dora dora...
context: Meanie!\Those high school girls were so cute at the start.\They weren't doing anything then.\Want some tea?\After so much time in Antarctica, you'll never reintegrate into society.\Like that.\Chisou, ron.\Riisoku, jyunchansanshiki, dora dora... response:	Sorry... with uraura, that's a sanbai man.
context: Those high school girls were so cute at the start.\They weren't doing anything then.\Want some tea?\After so much time in Antarctica, you'll never reintegrate into society.\Like that.\Chisou, ron.\Riisoku, jyunchansanshiki, dora dora...\Sorry... with uraura, that's a sanbai man. response:	I told you not to rely on the suji!
context: They weren't doing anything then.\Want some tea?\After so much time in Antarctica, you'll never reintegrate into society.\Like that.\Chisou, ron.\Riisoku, jyunchansanshiki, dora dora...\Sorry... with uraura, that's a sanbai man.\I told you not to rely on the suji! response:	I think that's a different thing, actually...
context: Want some tea?\After so much time in Antarctica, you'll never reintegrate into society.\Like that.\Chisou, ron.\Riisoku, jyunchansanshiki, dora dora...\Sorry... with uraura, that's a sanbai man.\I told you not to rely on the suji!\I think that's a different thing, actually... response:	Doesn't the sound of a vacuum cleaner just make you think of home?
context: After so much time in Antarctica, you'll never reintegrate into society.\Like that.\Chisou, ron.\Riisoku, jyunchansanshiki, dora dora...\Sorry... with uraura, that's a sanbai man.\I told you not to rely on the suji!\I think that's a different thing, actually...\Doesn't the sound of a vacuum cleaner just make you think of home? response:	Where have you been?
context: Like that.\Chisou, ron.\Riisoku, jyunchansanshiki, dora dora...\Sorry... with uraura, that's a sanbai man.\I told you not to rely on the suji!\I think that's a different thing, actually...\Doesn't the sound of a vacuum cleaner just make you think of home?\Where have you been? response:	They invited me out, so I did some interviews.
context: Chisou, ron.\Riisoku, jyunchansanshiki, dora dora...\Sorry... with uraura, that's a sanbai man.\I told you not to rely on the suji!\I think that's a different thing, actually...\Doesn't the sound of a vacuum cleaner just make you think of home?\Where have you been?\They invited me out, so I did some interviews. response:	Island Stroll
context: Riisoku, jyunchansanshiki, dora dora...\Sorry... with uraura, that's a sanbai man.\I told you not to rely on the suji!\I think that's a different thing, actually...\Doesn't the sound of a vacuum cleaner just make you think of home?\Where have you been?\They invited me out, so I did some interviews.\Island Stroll response:	Grotto
context: Sorry... with uraura, that's a sanbai man.\I told you not to rely on the suji!\I think that's a different thing, actually...\Doesn't the sound of a vacuum cleaner just make you think of home?\Where have you been?\They invited me out, so I did some interviews.\Island Stroll\Grotto response:	Oh, the island stroll?
context: I told you not to rely on the suji!\I think that's a different thing, actually...\Doesn't the sound of a vacuum cleaner just make you think of home?\Where have you been?\They invited me out, so I did some interviews.\Island Stroll\Grotto\Oh, the island stroll? response:	Yes.
context: I think that's a different thing, actually...\Doesn't the sound of a vacuum cleaner just make you think of home?\Where have you been?\They invited me out, so I did some interviews.\Island Stroll\Grotto\Oh, the island stroll?\Yes. response:	They took Shirase-chan and I out for that yesterday.
context: Doesn't the sound of a vacuum cleaner just make you think of home?\Where have you been?\They invited me out, so I did some interviews.\Island Stroll\Grotto\Oh, the island stroll?\Yes.\They took Shirase-chan and I out for that yesterday. response:	Yeah!
context: Where have you been?\They invited me out, so I did some interviews.\Island Stroll\Grotto\Oh, the island stroll?\Yes.\They took Shirase-chan and I out for that yesterday.\Yeah! response:	Why didn't you tell me?!
context: They invited me out, so I did some interviews.\Island Stroll\Grotto\Oh, the island stroll?\Yes.\They took Shirase-chan and I out for that yesterday.\Yeah!\Why didn't you tell me?! response:	Because you were on watch duty today!
context: Island Stroll\Grotto\Oh, the island stroll?\Yes.\They took Shirase-chan and I out for that yesterday.\Yeah!\Why didn't you tell me?!\Because you were on watch duty today! response:	Odd man out!
context: Grotto\Oh, the island stroll?\Yes.\They took Shirase-chan and I out for that yesterday.\Yeah!\Why didn't you tell me?!\Because you were on watch duty today!\Odd man out! response:	Shut up!
context: Oh, the island stroll?\Yes.\They took Shirase-chan and I out for that yesterday.\Yeah!\Why didn't you tell me?!\Because you were on watch duty today!\Odd man out!\Shut up! response:	Ow!
context: Yes.\They took Shirase-chan and I out for that yesterday.\Yeah!\Why didn't you tell me?!\Because you were on watch duty today!\Odd man out!\Shut up!\Ow! response:	Who cares about some island stroll?
context: They took Shirase-chan and I out for that yesterday.\Yeah!\Why didn't you tell me?!\Because you were on watch duty today!\Odd man out!\Shut up!\Ow!\Who cares about some island stroll? response:	I'm going out on the ice operation later!
context: Yeah!\Why didn't you tell me?!\Because you were on watch duty today!\Odd man out!\Shut up!\Ow!\Who cares about some island stroll?\I'm going out on the ice operation later! response:	That's right! I gotta hurry!
context: Why didn't you tell me?!\Because you were on watch duty today!\Odd man out!\Shut up!\Ow!\Who cares about some island stroll?\I'm going out on the ice operation later!\That's right! I gotta hurry! response:	It's almost time for the meetup!
context: Because you were on watch duty today!\Odd man out!\Shut up!\Ow!\Who cares about some island stroll?\I'm going out on the ice operation later!\That's right! I gotta hurry!\It's almost time for the meetup! response:	Hey!
context: Odd man out!\Shut up!\Ow!\Who cares about some island stroll?\I'm going out on the ice operation later!\That's right! I gotta hurry!\It's almost time for the meetup!\Hey! response:	We're all going on the ice operation.
context: Shut up!\Ow!\Who cares about some island stroll?\I'm going out on the ice operation later!\That's right! I gotta hurry!\It's almost time for the meetup!\Hey!\We're all going on the ice operation. response:	Island Stroll
context: Ow!\Who cares about some island stroll?\I'm going out on the ice operation later!\That's right! I gotta hurry!\It's almost time for the meetup!\Hey!\We're all going on the ice operation.\Island Stroll response:	Grotto
context: Who cares about some island stroll?\I'm going out on the ice operation later!\That's right! I gotta hurry!\It's almost time for the meetup!\Hey!\We're all going on the ice operation.\Island Stroll\Grotto response:	Really?
context: I'm going out on the ice operation later!\That's right! I gotta hurry!\It's almost time for the meetup!\Hey!\We're all going on the ice operation.\Island Stroll\Grotto\Really? response:	The four of us will be heading out to join the ice operation. Over.
context: That's right! I gotta hurry!\It's almost time for the meetup!\Hey!\We're all going on the ice operation.\Island Stroll\Grotto\Really?\The four of us will be heading out to join the ice operation. Over. response:	Roger that. Be safe.
context: It's almost time for the meetup!\Hey!\We're all going on the ice operation.\Island Stroll\Grotto\Really?\The four of us will be heading out to join the ice operation. Over.\Roger that. Be safe. response:	Which should we take?
context: Hey!\We're all going on the ice operation.\Island Stroll\Grotto\Really?\The four of us will be heading out to join the ice operation. Over.\Roger that. Be safe.\Which should we take? response:	Hi!
context: We're all going on the ice operation.\Island Stroll\Grotto\Really?\The four of us will be heading out to join the ice operation. Over.\Roger that. Be safe.\Which should we take?\Hi! response:	I could just die!
context: Island Stroll\Grotto\Really?\The four of us will be heading out to join the ice operation. Over.\Roger that. Be safe.\Which should we take?\Hi!\I could just die! response:	Wow! Glaciers!
context: Grotto\Really?\The four of us will be heading out to join the ice operation. Over.\Roger that. Be safe.\Which should we take?\Hi!\I could just die!\Wow! Glaciers! response:	You're shaving from these big blocks of ice?
context: Really?\The four of us will be heading out to join the ice operation. Over.\Roger that. Be safe.\Which should we take?\Hi!\I could just die!\Wow! Glaciers!\You're shaving from these big blocks of ice? response:	It's forbidden to remove things from Antarctica,
context: The four of us will be heading out to join the ice operation. Over.\Roger that. Be safe.\Which should we take?\Hi!\I could just die!\Wow! Glaciers!\You're shaving from these big blocks of ice?\It's forbidden to remove things from Antarctica, response:	so it's the only souvenir we're allowed to take freely.
context: Roger that. Be safe.\Which should we take?\Hi!\I could just die!\Wow! Glaciers!\You're shaving from these big blocks of ice?\It's forbidden to remove things from Antarctica,\so it's the only souvenir we're allowed to take freely. response:	This ice is full of air that's tens of thousands of years old,
context: Which should we take?\Hi!\I could just die!\Wow! Glaciers!\You're shaving from these big blocks of ice?\It's forbidden to remove things from Antarctica,\so it's the only souvenir we're allowed to take freely.\This ice is full of air that's tens of thousands of years old, response:	so as it melts, it pops.
context: Hi!\I could just die!\Wow! Glaciers!\You're shaving from these big blocks of ice?\It's forbidden to remove things from Antarctica,\so it's the only souvenir we're allowed to take freely.\This ice is full of air that's tens of thousands of years old,\so as it melts, it pops. response:	Want to eat some?
context: I could just die!\Wow! Glaciers!\You're shaving from these big blocks of ice?\It's forbidden to remove things from Antarctica,\so it's the only souvenir we're allowed to take freely.\This ice is full of air that's tens of thousands of years old,\so as it melts, it pops.\Want to eat some? response:	Yeah!
context: Wow! Glaciers!\You're shaving from these big blocks of ice?\It's forbidden to remove things from Antarctica,\so it's the only souvenir we're allowed to take freely.\This ice is full of air that's tens of thousands of years old,\so as it melts, it pops.\Want to eat some?\Yeah! response:	So this is how thousand-year-old air tastes!
context: You're shaving from these big blocks of ice?\It's forbidden to remove things from Antarctica,\so it's the only souvenir we're allowed to take freely.\This ice is full of air that's tens of thousands of years old,\so as it melts, it pops.\Want to eat some?\Yeah!\So this is how thousand-year-old air tastes! response:	You can distinguish it?
context: It's forbidden to remove things from Antarctica,\so it's the only souvenir we're allowed to take freely.\This ice is full of air that's tens of thousands of years old,\so as it melts, it pops.\Want to eat some?\Yeah!\So this is how thousand-year-old air tastes!\You can distinguish it? response:	When I grow up, I've gotta drink alcohol with this.
context: so it's the only souvenir we're allowed to take freely.\This ice is full of air that's tens of thousands of years old,\so as it melts, it pops.\Want to eat some?\Yeah!\So this is how thousand-year-old air tastes!\You can distinguish it?\When I grow up, I've gotta drink alcohol with this. response:	I bet you'd be a loud drunk, Kimari.
context: This ice is full of air that's tens of thousands of years old,\so as it melts, it pops.\Want to eat some?\Yeah!\So this is how thousand-year-old air tastes!\You can distinguish it?\When I grow up, I've gotta drink alcohol with this.\I bet you'd be a loud drunk, Kimari. response:	You think?
context: so as it melts, it pops.\Want to eat some?\Yeah!\So this is how thousand-year-old air tastes!\You can distinguish it?\When I grow up, I've gotta drink alcohol with this.\I bet you'd be a loud drunk, Kimari.\You think? response:	When this starts up, it really hits home that summer's almost over.
context: Want to eat some?\Yeah!\So this is how thousand-year-old air tastes!\You can distinguish it?\When I grow up, I've gotta drink alcohol with this.\I bet you'd be a loud drunk, Kimari.\You think?\When this starts up, it really hits home that summer's almost over. response:	Really?
context: Yeah!\So this is how thousand-year-old air tastes!\You can distinguish it?\When I grow up, I've gotta drink alcohol with this.\I bet you'd be a loud drunk, Kimari.\You think?\When this starts up, it really hits home that summer's almost over.\Really? response:	Soon, it'll be autumn, then winter...
context: So this is how thousand-year-old air tastes!\You can distinguish it?\When I grow up, I've gotta drink alcohol with this.\I bet you'd be a loud drunk, Kimari.\You think?\When this starts up, it really hits home that summer's almost over.\Really?\Soon, it'll be autumn, then winter... response:	The winter team!
context: You can distinguish it?\When I grow up, I've gotta drink alcohol with this.\I bet you'd be a loud drunk, Kimari.\You think?\When this starts up, it really hits home that summer's almost over.\Really?\Soon, it'll be autumn, then winter...\The winter team! response:	What do you do during winter?
context: When I grow up, I've gotta drink alcohol with this.\I bet you'd be a loud drunk, Kimari.\You think?\When this starts up, it really hits home that summer's almost over.\Really?\Soon, it'll be autumn, then winter...\The winter team!\What do you do during winter? response:	All kinds of things. We play games, drink booze...
context: I bet you'd be a loud drunk, Kimari.\You think?\When this starts up, it really hits home that summer's almost over.\Really?\Soon, it'll be autumn, then winter...\The winter team!\What do you do during winter?\All kinds of things. We play games, drink booze... response:	Soumen
context: You think?\When this starts up, it really hits home that summer's almost over.\Really?\Soon, it'll be autumn, then winter...\The winter team!\What do you do during winter?\All kinds of things. We play games, drink booze...\Soumen response:	Of course, research and investigation is important,
context: When this starts up, it really hits home that summer's almost over.\Really?\Soon, it'll be autumn, then winter...\The winter team!\What do you do during winter?\All kinds of things. We play games, drink booze...\Soumen\Of course, research and investigation is important, response:	but when we hit June, it's nighttime all day.
context: Really?\Soon, it'll be autumn, then winter...\The winter team!\What do you do during winter?\All kinds of things. We play games, drink booze...\Soumen\Of course, research and investigation is important,\but when we hit June, it's nighttime all day. response:	I see...
context: Soon, it'll be autumn, then winter...\The winter team!\What do you do during winter?\All kinds of things. We play games, drink booze...\Soumen\Of course, research and investigation is important,\but when we hit June, it's nighttime all day.\I see... response:	Polar night, right?
context: The winter team!\What do you do during winter?\All kinds of things. We play games, drink booze...\Soumen\Of course, research and investigation is important,\but when we hit June, it's nighttime all day.\I see...\Polar night, right? response:	During the day, there's a faint brightness around the horizon,
context: What do you do during winter?\All kinds of things. We play games, drink booze...\Soumen\Of course, research and investigation is important,\but when we hit June, it's nighttime all day.\I see...\Polar night, right?\During the day, there's a faint brightness around the horizon, response:	but that's the only change you see.
context: All kinds of things. We play games, drink booze...\Soumen\Of course, research and investigation is important,\but when we hit June, it's nighttime all day.\I see...\Polar night, right?\During the day, there's a faint brightness around the horizon,\but that's the only change you see. response:	Otherwise, it just stays night for a long, long time.
context: Soumen\Of course, research and investigation is important,\but when we hit June, it's nighttime all day.\I see...\Polar night, right?\During the day, there's a faint brightness around the horizon,\but that's the only change you see.\Otherwise, it just stays night for a long, long time. response:	Perpetual night, huh?
context: Of course, research and investigation is important,\but when we hit June, it's nighttime all day.\I see...\Polar night, right?\During the day, there's a faint brightness around the horizon,\but that's the only change you see.\Otherwise, it just stays night for a long, long time.\Perpetual night, huh? response:	But that just makes the stars all the more more beautiful!
context: but when we hit June, it's nighttime all day.\I see...\Polar night, right?\During the day, there's a faint brightness around the horizon,\but that's the only change you see.\Otherwise, it just stays night for a long, long time.\Perpetual night, huh?\But that just makes the stars all the more more beautiful! response:	You can see the aurora, too!
context: I see...\Polar night, right?\During the day, there's a faint brightness around the horizon,\but that's the only change you see.\Otherwise, it just stays night for a long, long time.\Perpetual night, huh?\But that just makes the stars all the more more beautiful!\You can see the aurora, too! response:	The aurora...
context: Polar night, right?\During the day, there's a faint brightness around the horizon,\but that's the only change you see.\Otherwise, it just stays night for a long, long time.\Perpetual night, huh?\But that just makes the stars all the more more beautiful!\You can see the aurora, too!\The aurora... response:	That's right, we never saw it!
context: During the day, there's a faint brightness around the horizon,\but that's the only change you see.\Otherwise, it just stays night for a long, long time.\Perpetual night, huh?\But that just makes the stars all the more more beautiful!\You can see the aurora, too!\The aurora...\That's right, we never saw it! response:	Because we only get a tiny bit of night.
context: but that's the only change you see.\Otherwise, it just stays night for a long, long time.\Perpetual night, huh?\But that just makes the stars all the more more beautiful!\You can see the aurora, too!\The aurora...\That's right, we never saw it!\Because we only get a tiny bit of night. response:	We got a photo with penguins, ate shaved ice...
context: Otherwise, it just stays night for a long, long time.\Perpetual night, huh?\But that just makes the stars all the more more beautiful!\You can see the aurora, too!\The aurora...\That's right, we never saw it!\Because we only get a tiny bit of night.\We got a photo with penguins, ate shaved ice... response:	we haven't gotten the aurora or the Antarctic stars!
context: Perpetual night, huh?\But that just makes the stars all the more more beautiful!\You can see the aurora, too!\The aurora...\That's right, we never saw it!\Because we only get a tiny bit of night.\We got a photo with penguins, ate shaved ice...\we haven't gotten the aurora or the Antarctic stars! response:	Because the sun doesn't go down, like I told you.
context: But that just makes the stars all the more more beautiful!\You can see the aurora, too!\The aurora...\That's right, we never saw it!\Because we only get a tiny bit of night.\We got a photo with penguins, ate shaved ice...\we haven't gotten the aurora or the Antarctic stars!\Because the sun doesn't go down, like I told you. response:	Help!
context: You can see the aurora, too!\The aurora...\That's right, we never saw it!\Because we only get a tiny bit of night.\We got a photo with penguins, ate shaved ice...\we haven't gotten the aurora or the Antarctic stars!\Because the sun doesn't go down, like I told you.\Help! response:	Help!
context: The aurora...\That's right, we never saw it!\Because we only get a tiny bit of night.\We got a photo with penguins, ate shaved ice...\we haven't gotten the aurora or the Antarctic stars!\Because the sun doesn't go down, like I told you.\Help!\Help! response:	But I'm happy! But they stink! But I'm happy!
context: That's right, we never saw it!\Because we only get a tiny bit of night.\We got a photo with penguins, ate shaved ice...\we haven't gotten the aurora or the Antarctic stars!\Because the sun doesn't go down, like I told you.\Help!\Help!\But I'm happy! But they stink! But I'm happy! response:	What's she doing?
context: Because we only get a tiny bit of night.\We got a photo with penguins, ate shaved ice...\we haven't gotten the aurora or the Antarctic stars!\Because the sun doesn't go down, like I told you.\Help!\Help!\But I'm happy! But they stink! But I'm happy!\What's she doing? response:	But they stink! But I'm happy!
context: We got a photo with penguins, ate shaved ice...\we haven't gotten the aurora or the Antarctic stars!\Because the sun doesn't go down, like I told you.\Help!\Help!\But I'm happy! But they stink! But I'm happy!\What's she doing?\But they stink! But I'm happy! response:	I need to get back to work.
context: we haven't gotten the aurora or the Antarctic stars!\Because the sun doesn't go down, like I told you.\Help!\Help!\But I'm happy! But they stink! But I'm happy!\What's she doing?\But they stink! But I'm happy!\I need to get back to work. response:	You guys take it easy.
context: Because the sun doesn't go down, like I told you.\Help!\Help!\But I'm happy! But they stink! But I'm happy!\What's she doing?\But they stink! But I'm happy!\I need to get back to work.\You guys take it easy. response:	But they stink! But I'm happy!
context: Help!\Help!\But I'm happy! But they stink! But I'm happy!\What's she doing?\But they stink! But I'm happy!\I need to get back to work.\You guys take it easy.\But they stink! But I'm happy! response:	This'll be your last day on the frozen sea, right?
context: Help!\But I'm happy! But they stink! But I'm happy!\What's she doing?\But they stink! But I'm happy!\I need to get back to work.\You guys take it easy.\But they stink! But I'm happy!\This'll be your last day on the frozen sea, right? response:	But they stink!
context: But I'm happy! But they stink! But I'm happy!\What's she doing?\But they stink! But I'm happy!\I need to get back to work.\You guys take it easy.\But they stink! But I'm happy!\This'll be your last day on the frozen sea, right?\But they stink! response:	That's right...
context: What's she doing?\But they stink! But I'm happy!\I need to get back to work.\You guys take it easy.\But they stink! But I'm happy!\This'll be your last day on the frozen sea, right?\But they stink!\That's right... response:	But I'm happy!
context: But they stink! But I'm happy!\I need to get back to work.\You guys take it easy.\But they stink! But I'm happy!\This'll be your last day on the frozen sea, right?\But they stink!\That's right...\But I'm happy! response:	I told you to help me!
context: I need to get back to work.\You guys take it easy.\But they stink! But I'm happy!\This'll be your last day on the frozen sea, right?\But they stink!\That's right...\But I'm happy!\I told you to help me! response:	Sorry, I can't get within five meters of them...
context: You guys take it easy.\But they stink! But I'm happy!\This'll be your last day on the frozen sea, right?\But they stink!\That's right...\But I'm happy!\I told you to help me!\Sorry, I can't get within five meters of them... response:	Do something!
context: But they stink! But I'm happy!\This'll be your last day on the frozen sea, right?\But they stink!\That's right...\But I'm happy!\I told you to help me!\Sorry, I can't get within five meters of them...\Do something! response:	Sorry, I can't!
context: This'll be your last day on the frozen sea, right?\But they stink!\That's right...\But I'm happy!\I told you to help me!\Sorry, I can't get within five meters of them...\Do something!\Sorry, I can't! response:	We've really gotten used to it all, haven't we?
context: But they stink!\That's right...\But I'm happy!\I told you to help me!\Sorry, I can't get within five meters of them...\Do something!\Sorry, I can't!\We've really gotten used to it all, haven't we? response:	This scenery, too...
context: That's right...\But I'm happy!\I told you to help me!\Sorry, I can't get within five meters of them...\Do something!\Sorry, I can't!\We've really gotten used to it all, haven't we?\This scenery, too... response:	Hey, just hypothetically...
context: But I'm happy!\I told you to help me!\Sorry, I can't get within five meters of them...\Do something!\Sorry, I can't!\We've really gotten used to it all, haven't we?\This scenery, too...\Hey, just hypothetically... response:	Hypothetically...
context: I told you to help me!\Sorry, I can't get within five meters of them...\Do something!\Sorry, I can't!\We've really gotten used to it all, haven't we?\This scenery, too...\Hey, just hypothetically...\Hypothetically... response:	Well, no one else needs the rooms.
context: Sorry, I can't get within five meters of them...\Do something!\Sorry, I can't!\We've really gotten used to it all, haven't we?\This scenery, too...\Hey, just hypothetically...\Hypothetically...\Well, no one else needs the rooms. response:	And we can keep sending video from here, right?
context: Do something!\Sorry, I can't!\We've really gotten used to it all, haven't we?\This scenery, too...\Hey, just hypothetically...\Hypothetically...\Well, no one else needs the rooms.\And we can keep sending video from here, right? response:	So there's no reason we have to leave right now, is there?
context: Sorry, I can't!\We've really gotten used to it all, haven't we?\This scenery, too...\Hey, just hypothetically...\Hypothetically...\Well, no one else needs the rooms.\And we can keep sending video from here, right?\So there's no reason we have to leave right now, is there? response:	You're going to hurt me!
context: We've really gotten used to it all, haven't we?\This scenery, too...\Hey, just hypothetically...\Hypothetically...\Well, no one else needs the rooms.\And we can keep sending video from here, right?\So there's no reason we have to leave right now, is there?\You're going to hurt me! response:	I'm not, I'm not.
