context: In the year 845... response:	the Colossal and Armored Titans
context: All I could think was, I'm so glad that it wasn't me!\But...\Next time, it'll be me...\I realized something.\Essentially, our job\is to fight the Titans until they eat us, isn't it?\I'd rather die right now than be eaten!\Stop it... response:	Get a hold of yourself!
context: But...\Next time, it'll be me...\I realized something.\Essentially, our job\is to fight the Titans until they eat us, isn't it?\I'd rather die right now than be eaten!\Stop it...\Get a hold of yourself! response:	You aren't the only one.
context: Next time, it'll be me...\I realized something.\Essentially, our job\is to fight the Titans until they eat us, isn't it?\I'd rather die right now than be eaten!\Stop it...\Get a hold of yourself!\You aren't the only one. response:	Everyone is struggling with that fear!
context: I realized something.\Essentially, our job\is to fight the Titans until they eat us, isn't it?\I'd rather die right now than be eaten!\Stop it...\Get a hold of yourself!\You aren't the only one.\Everyone is struggling with that fear! response:	Look at Sasha!
context: Essentially, our job\is to fight the Titans until they eat us, isn't it?\I'd rather die right now than be eaten!\Stop it...\Get a hold of yourself!\You aren't the only one.\Everyone is struggling with that fear!\Look at Sasha! response:	Even after what happened, she is still a proud soldier!
context: is to fight the Titans until they eat us, isn't it?\I'd rather die right now than be eaten!\Stop it...\Get a hold of yourself!\You aren't the only one.\Everyone is struggling with that fear!\Look at Sasha!\Even after what happened, she is still a proud soldier! response:	I have a terrible stomachache.
context: I'd rather die right now than be eaten!\Stop it...\Get a hold of yourself!\You aren't the only one.\Everyone is struggling with that fear!\Look at Sasha!\Even after what happened, she is still a proud soldier!\I have a terrible stomachache. response:	May I go join the wounded?
context: Stop it...\Get a hold of yourself!\You aren't the only one.\Everyone is struggling with that fear!\Look at Sasha!\Even after what happened, she is still a proud soldier!\I have a terrible stomachache.\May I go join the wounded? response:	I can't do this anymore!
context: Get a hold of yourself!\You aren't the only one.\Everyone is struggling with that fear!\Look at Sasha!\Even after what happened, she is still a proud soldier!\I have a terrible stomachache.\May I go join the wounded?\I can't do this anymore! response:	Stop it!
context: You aren't the only one.\Everyone is struggling with that fear!\Look at Sasha!\Even after what happened, she is still a proud soldier!\I have a terrible stomachache.\May I go join the wounded?\I can't do this anymore!\Stop it! response:	Stop!
context: Everyone is struggling with that fear!\Look at Sasha!\Even after what happened, she is still a proud soldier!\I have a terrible stomachache.\May I go join the wounded?\I can't do this anymore!\Stop it!\Stop! response:	I guess that gag order was indeed necessary...
context: Look at Sasha!\Even after what happened, she is still a proud soldier!\I have a terrible stomachache.\May I go join the wounded?\I can't do this anymore!\Stop it!\Stop!\I guess that gag order was indeed necessary... response:	Just look at them now.
context: Even after what happened, she is still a proud soldier!\I have a terrible stomachache.\May I go join the wounded?\I can't do this anymore!\Stop it!\Stop!\I guess that gag order was indeed necessary...\Just look at them now. response:	If they learn about Eren...
context: I have a terrible stomachache.\May I go join the wounded?\I can't do this anymore!\Stop it!\Stop!\I guess that gag order was indeed necessary...\Just look at them now.\If they learn about Eren... response:	A cannon shot?
context: May I go join the wounded?\I can't do this anymore!\Stop it!\Stop!\I guess that gag order was indeed necessary...\Just look at them now.\If they learn about Eren...\A cannon shot? response:	Why only one?
context: I can't do this anymore!\Stop it!\Stop!\I guess that gag order was indeed necessary...\Just look at them now.\If they learn about Eren...\A cannon shot?\Why only one? response:	Look! Smoke!
context: Stop it!\Stop!\I guess that gag order was indeed necessary...\Just look at them now.\If they learn about Eren...\A cannon shot?\Why only one?\Look! Smoke! response:	From inside the wall!
context: Stop!\I guess that gag order was indeed necessary...\Just look at them now.\If they learn about Eren...\A cannon shot?\Why only one?\Look! Smoke!\From inside the wall! response:	What?
context: I guess that gag order was indeed necessary...\Just look at them now.\If they learn about Eren...\A cannon shot?\Why only one?\Look! Smoke!\From inside the wall!\What? response:	What's going on?
context: Just look at them now.\If they learn about Eren...\A cannon shot?\Why only one?\Look! Smoke!\From inside the wall!\What?\What's going on? response:	Did they break through the floodgate?
context: If they learn about Eren...\A cannon shot?\Why only one?\Look! Smoke!\From inside the wall!\What?\What's going on?\Did they break through the floodgate? response:	No way! That's the strongest part...
context: A cannon shot?\Why only one?\Look! Smoke!\From inside the wall!\What?\What's going on?\Did they break through the floodgate?\No way! That's the strongest part... response:	Someone just screwed up and dropped a shell.
context: Why only one?\Look! Smoke!\From inside the wall!\What?\What's going on?\Did they break through the floodgate?\No way! That's the strongest part...\Someone just screwed up and dropped a shell. response:	But why is there so much smoke?
context: Look! Smoke!\From inside the wall!\What?\What's going on?\Did they break through the floodgate?\No way! That's the strongest part...\Someone just screwed up and dropped a shell.\But why is there so much smoke? response:	It can't be... A Titan's steam?
context: From inside the wall!\What?\What's going on?\Did they break through the floodgate?\No way! That's the strongest part...\Someone just screwed up and dropped a shell.\But why is there so much smoke?\It can't be... A Titan's steam? response:	Wait!
context: What?\What's going on?\Did they break through the floodgate?\No way! That's the strongest part...\Someone just screwed up and dropped a shell.\But why is there so much smoke?\It can't be... A Titan's steam?\Wait! response:	Hey...
context: What's going on?\Did they break through the floodgate?\No way! That's the strongest part...\Someone just screwed up and dropped a shell.\But why is there so much smoke?\It can't be... A Titan's steam?\Wait!\Hey... response:	What is going on here?
context: Did they break through the floodgate?\No way! That's the strongest part...\Someone just screwed up and dropped a shell.\But why is there so much smoke?\It can't be... A Titan's steam?\Wait!\Hey...\What is going on here? response:	It's alive...
context: No way! That's the strongest part...\Someone just screwed up and dropped a shell.\But why is there so much smoke?\It can't be... A Titan's steam?\Wait!\Hey...\What is going on here?\It's alive... response:	Captain Wellman!
context: Someone just screwed up and dropped a shell.\But why is there so much smoke?\It can't be... A Titan's steam?\Wait!\Hey...\What is going on here?\It's alive...\Captain Wellman! response:	J-Just look at it!
context: But why is there so much smoke?\It can't be... A Titan's steam?\Wait!\Hey...\What is going on here?\It's alive...\Captain Wellman!\J-Just look at it! response:	It's too dangerous to get close!
context: It can't be... A Titan's steam?\Wait!\Hey...\What is going on here?\It's alive...\Captain Wellman!\J-Just look at it!\It's too dangerous to get close! response:	Maintain your position and remain on high alert!
context: Wait!\Hey...\What is going on here?\It's alive...\Captain Wellman!\J-Just look at it!\It's too dangerous to get close!\Maintain your position and remain on high alert! response:	Maintain your position!
context: Hey...\What is going on here?\It's alive...\Captain Wellman!\J-Just look at it!\It's too dangerous to get close!\Maintain your position and remain on high alert!\Maintain your position! response:	Have the gunners load another round!
context: What is going on here?\It's alive...\Captain Wellman!\J-Just look at it!\It's too dangerous to get close!\Maintain your position and remain on high alert!\Maintain your position!\Have the gunners load another round! response:	What is this?
context: It's alive...\Captain Wellman!\J-Just look at it!\It's too dangerous to get close!\Maintain your position and remain on high alert!\Maintain your position!\Have the gunners load another round!\What is this? response:	I remember hearing the cannon fire...
context: Captain Wellman!\J-Just look at it!\It's too dangerous to get close!\Maintain your position and remain on high alert!\Maintain your position!\Have the gunners load another round!\What is this?\I remember hearing the cannon fire... response:	And then there was a horrible sound, a shock wave, and heat...
context: J-Just look at it!\It's too dangerous to get close!\Maintain your position and remain on high alert!\Maintain your position!\Have the gunners load another round!\What is this?\I remember hearing the cannon fire...\And then there was a horrible sound, a shock wave, and heat... response:	Are we inside a huge skeleton
context: It's too dangerous to get close!\Maintain your position and remain on high alert!\Maintain your position!\Have the gunners load another round!\What is this?\I remember hearing the cannon fire...\And then there was a horrible sound, a shock wave, and heat...\Are we inside a huge skeleton response:	Eren protected us.
context: Maintain your position and remain on high alert!\Maintain your position!\Have the gunners load another round!\What is this?\I remember hearing the cannon fire...\And then there was a horrible sound, a shock wave, and heat...\Are we inside a huge skeleton\Eren protected us. response:	That's all we need to know for now.
context: Maintain your position!\Have the gunners load another round!\What is this?\I remember hearing the cannon fire...\And then there was a horrible sound, a shock wave, and heat...\Are we inside a huge skeleton\Eren protected us.\That's all we need to know for now. response:	Flowers survived, only inside...?
context: Have the gunners load another round!\What is this?\I remember hearing the cannon fire...\And then there was a horrible sound, a shock wave, and heat...\Are we inside a huge skeleton\Eren protected us.\That's all we need to know for now.\Flowers survived, only inside...? response:	Hey!
context: What is this?\I remember hearing the cannon fire...\And then there was a horrible sound, a shock wave, and heat...\Are we inside a huge skeleton\Eren protected us.\That's all we need to know for now.\Flowers survived, only inside...?\Hey! response:	Are you guys okay?!
context: I remember hearing the cannon fire...\And then there was a horrible sound, a shock wave, and heat...\Are we inside a huge skeleton\Eren protected us.\That's all we need to know for now.\Flowers survived, only inside...?\Hey!\Are you guys okay?! response:	Eren!
context: And then there was a horrible sound, a shock wave, and heat...\Are we inside a huge skeleton\Eren protected us.\That's all we need to know for now.\Flowers survived, only inside...?\Hey!\Are you guys okay?!\Eren! response:	What is this?
context: Are we inside a huge skeleton\Eren protected us.\That's all we need to know for now.\Flowers survived, only inside...?\Hey!\Are you guys okay?!\Eren!\What is this? response:	No idea...
context: Eren protected us.\That's all we need to know for now.\Flowers survived, only inside...?\Hey!\Are you guys okay?!\Eren!\What is this?\No idea... response:	But this thing will soon dissipate like any other Titan corpse...
context: That's all we need to know for now.\Flowers survived, only inside...?\Hey!\Are you guys okay?!\Eren!\What is this?\No idea...\But this thing will soon dissipate like any other Titan corpse... response:	Let's get away from it!
context: Flowers survived, only inside...?\Hey!\Are you guys okay?!\Eren!\What is this?\No idea...\But this thing will soon dissipate like any other Titan corpse...\Let's get away from it! response:	Are they in shock, or just waiting to see what we'll do?
context: Hey!\Are you guys okay?!\Eren!\What is this?\No idea...\But this thing will soon dissipate like any other Titan corpse...\Let's get away from it!\Are they in shock, or just waiting to see what we'll do? response:	The Garrison isn't doing anything right now, but...
context: Are you guys okay?!\Eren!\What is this?\No idea...\But this thing will soon dissipate like any other Titan corpse...\Let's get away from it!\Are they in shock, or just waiting to see what we'll do?\The Garrison isn't doing anything right now, but... response:	They'll attack again before long.
context: Eren!\What is this?\No idea...\But this thing will soon dissipate like any other Titan corpse...\Let's get away from it!\Are they in shock, or just waiting to see what we'll do?\The Garrison isn't doing anything right now, but...\They'll attack again before long. response:	After showing them this, I doubt we'll be able to talk our way out.
context: What is this?\No idea...\But this thing will soon dissipate like any other Titan corpse...\Let's get away from it!\Are they in shock, or just waiting to see what we'll do?\The Garrison isn't doing anything right now, but...\They'll attack again before long.\After showing them this, I doubt we'll be able to talk our way out. response:	But I do remember one thing...
context: No idea...\But this thing will soon dissipate like any other Titan corpse...\Let's get away from it!\Are they in shock, or just waiting to see what we'll do?\The Garrison isn't doing anything right now, but...\They'll attack again before long.\After showing them this, I doubt we'll be able to talk our way out.\But I do remember one thing... response:	The basement.
context: But this thing will soon dissipate like any other Titan corpse...\Let's get away from it!\Are they in shock, or just waiting to see what we'll do?\The Garrison isn't doing anything right now, but...\They'll attack again before long.\After showing them this, I doubt we'll be able to talk our way out.\But I do remember one thing...\The basement. response:	The basement of my house.
context: Let's get away from it!\Are they in shock, or just waiting to see what we'll do?\The Garrison isn't doing anything right now, but...\They'll attack again before long.\After showing them this, I doubt we'll be able to talk our way out.\But I do remember one thing...\The basement.\The basement of my house. response:	Dad said that if I go there, I'll learn everything.
context: Are they in shock, or just waiting to see what we'll do?\The Garrison isn't doing anything right now, but...\They'll attack again before long.\After showing them this, I doubt we'll be able to talk our way out.\But I do remember one thing...\The basement.\The basement of my house.\Dad said that if I go there, I'll learn everything. response:	This happened to me because of him, too.
context: The Garrison isn't doing anything right now, but...\They'll attack again before long.\After showing them this, I doubt we'll be able to talk our way out.\But I do remember one thing...\The basement.\The basement of my house.\Dad said that if I go there, I'll learn everything.\This happened to me because of him, too. response:	If I go to the basement,
context: They'll attack again before long.\After showing them this, I doubt we'll be able to talk our way out.\But I do remember one thing...\The basement.\The basement of my house.\Dad said that if I go there, I'll learn everything.\This happened to me because of him, too.\If I go to the basement, response:	I'll probably learn what the Titans really are.
context: After showing them this, I doubt we'll be able to talk our way out.\But I do remember one thing...\The basement.\The basement of my house.\Dad said that if I go there, I'll learn everything.\This happened to me because of him, too.\If I go to the basement,\I'll probably learn what the Titans really are. response:	Damn it!
context: But I do remember one thing...\The basement.\The basement of my house.\Dad said that if I go there, I'll learn everything.\This happened to me because of him, too.\If I go to the basement,\I'll probably learn what the Titans really are.\Damn it! response:	Then why did he hide it?
context: The basement.\The basement of my house.\Dad said that if I go there, I'll learn everything.\This happened to me because of him, too.\If I go to the basement,\I'll probably learn what the Titans really are.\Damn it!\Then why did he hide it? response:	Isn't that information
context: The basement of my house.\Dad said that if I go there, I'll learn everything.\This happened to me because of him, too.\If I go to the basement,\I'll probably learn what the Titans really are.\Damn it!\Then why did he hide it?\Isn't that information response:	what thousands of Survey Corps soldiers died for?
context: Dad said that if I go there, I'll learn everything.\This happened to me because of him, too.\If I go to the basement,\I'll probably learn what the Titans really are.\Damn it!\Then why did he hide it?\Isn't that information\what thousands of Survey Corps soldiers died for? response:	Isn't it humanity's last hope?
context: This happened to me because of him, too.\If I go to the basement,\I'll probably learn what the Titans really are.\Damn it!\Then why did he hide it?\Isn't that information\what thousands of Survey Corps soldiers died for?\Isn't it humanity's last hope? response:	And he's been keeping it locked in the basement of our house?
context: If I go to the basement,\I'll probably learn what the Titans really are.\Damn it!\Then why did he hide it?\Isn't that information\what thousands of Survey Corps soldiers died for?\Isn't it humanity's last hope?\And he's been keeping it locked in the basement of our house? response:	What the hell was he thinking?
context: I'll probably learn what the Titans really are.\Damn it!\Then why did he hide it?\Isn't that information\what thousands of Survey Corps soldiers died for?\Isn't it humanity's last hope?\And he's been keeping it locked in the basement of our house?\What the hell was he thinking? response:	Where the hell has he been the past five years, anyway?
context: Damn it!\Then why did he hide it?\Isn't that information\what thousands of Survey Corps soldiers died for?\Isn't it humanity's last hope?\And he's been keeping it locked in the basement of our house?\What the hell was he thinking?\Where the hell has he been the past five years, anyway? response:	Eren.
context: Then why did he hide it?\Isn't that information\what thousands of Survey Corps soldiers died for?\Isn't it humanity's last hope?\And he's been keeping it locked in the basement of our house?\What the hell was he thinking?\Where the hell has he been the past five years, anyway?\Eren. response:	Right now, we have other priorities.
context: Isn't that information\what thousands of Survey Corps soldiers died for?\Isn't it humanity's last hope?\And he's been keeping it locked in the basement of our house?\What the hell was he thinking?\Where the hell has he been the past five years, anyway?\Eren.\Right now, we have other priorities. response:	Yeah.
context: what thousands of Survey Corps soldiers died for?\Isn't it humanity's last hope?\And he's been keeping it locked in the basement of our house?\What the hell was he thinking?\Where the hell has he been the past five years, anyway?\Eren.\Right now, we have other priorities.\Yeah. response:	The smoke's clearing.
context: Isn't it humanity's last hope?\And he's been keeping it locked in the basement of our house?\What the hell was he thinking?\Where the hell has he been the past five years, anyway?\Eren.\Right now, we have other priorities.\Yeah.\The smoke's clearing. response:	When you see them, attack.
context: And he's been keeping it locked in the basement of our house?\What the hell was he thinking?\Where the hell has he been the past five years, anyway?\Eren.\Right now, we have other priorities.\Yeah.\The smoke's clearing.\When you see them, attack. response:	Let's end this here.
context: What the hell was he thinking?\Where the hell has he been the past five years, anyway?\Eren.\Right now, we have other priorities.\Yeah.\The smoke's clearing.\When you see them, attack.\Let's end this here. response:	Don't move yet!
context: Where the hell has he been the past five years, anyway?\Eren.\Right now, we have other priorities.\Yeah.\The smoke's clearing.\When you see them, attack.\Let's end this here.\Don't move yet! response:	I'm getting out of here.
context: Eren.\Right now, we have other priorities.\Yeah.\The smoke's clearing.\When you see them, attack.\Let's end this here.\Don't move yet!\I'm getting out of here. response:	Where will you go? And how?
context: Right now, we have other priorities.\Yeah.\The smoke's clearing.\When you see them, attack.\Let's end this here.\Don't move yet!\I'm getting out of here.\Where will you go? And how? response:	For now, I don't care where.
context: Yeah.\The smoke's clearing.\When you see them, attack.\Let's end this here.\Don't move yet!\I'm getting out of here.\Where will you go? And how?\For now, I don't care where. response:	But from there, over the walls, to the basement.
context: The smoke's clearing.\When you see them, attack.\Let's end this here.\Don't move yet!\I'm getting out of here.\Where will you go? And how?\For now, I don't care where.\But from there, over the walls, to the basement. response:	Once I become a Titan again.
context: When you see them, attack.\Let's end this here.\Don't move yet!\I'm getting out of here.\Where will you go? And how?\For now, I don't care where.\But from there, over the walls, to the basement.\Once I become a Titan again. response:	Can you do that?
context: Let's end this here.\Don't move yet!\I'm getting out of here.\Where will you go? And how?\For now, I don't care where.\But from there, over the walls, to the basement.\Once I become a Titan again.\Can you do that? response:	I don't know how I do it myself.
context: Don't move yet!\I'm getting out of here.\Where will you go? And how?\For now, I don't care where.\But from there, over the walls, to the basement.\Once I become a Titan again.\Can you do that?\I don't know how I do it myself. response:	But I still think I can!
context: I'm getting out of here.\Where will you go? And how?\For now, I don't care where.\But from there, over the walls, to the basement.\Once I become a Titan again.\Can you do that?\I don't know how I do it myself.\But I still think I can! response:	It's similar to the way you can't explain how you move your own arm.
context: Where will you go? And how?\For now, I don't care where.\But from there, over the walls, to the basement.\Once I become a Titan again.\Can you do that?\I don't know how I do it myself.\But I still think I can!\It's similar to the way you can't explain how you move your own arm. response:	Back there,
context: For now, I don't care where.\But from there, over the walls, to the basement.\Once I become a Titan again.\Can you do that?\I don't know how I do it myself.\But I still think I can!\It's similar to the way you can't explain how you move your own arm.\Back there, response:	my only thought was stopping that shell.
context: But from there, over the walls, to the basement.\Once I become a Titan again.\Can you do that?\I don't know how I do it myself.\But I still think I can!\It's similar to the way you can't explain how you move your own arm.\Back there,\my only thought was stopping that shell. response:	So that body had no other function and rotted away after having served its purpose.
context: Once I become a Titan again.\Can you do that?\I don't know how I do it myself.\But I still think I can!\It's similar to the way you can't explain how you move your own arm.\Back there,\my only thought was stopping that shell.\So that body had no other function and rotted away after having served its purpose. response:	This time, I'll turn into something stronger.
context: Can you do that?\I don't know how I do it myself.\But I still think I can!\It's similar to the way you can't explain how you move your own arm.\Back there,\my only thought was stopping that shell.\So that body had no other function and rotted away after having served its purpose.\This time, I'll turn into something stronger. response:	A 15-meter class, like the one that tore apart those Titans.
context: I don't know how I do it myself.\But I still think I can!\It's similar to the way you can't explain how you move your own arm.\Back there,\my only thought was stopping that shell.\So that body had no other function and rotted away after having served its purpose.\This time, I'll turn into something stronger.\A 15-meter class, like the one that tore apart those Titans. response:	Eren.
context: But I still think I can!\It's similar to the way you can't explain how you move your own arm.\Back there,\my only thought was stopping that shell.\So that body had no other function and rotted away after having served its purpose.\This time, I'll turn into something stronger.\A 15-meter class, like the one that tore apart those Titans.\Eren. response:	Your nose is bleeding.
context: It's similar to the way you can't explain how you move your own arm.\Back there,\my only thought was stopping that shell.\So that body had no other function and rotted away after having served its purpose.\This time, I'll turn into something stronger.\A 15-meter class, like the one that tore apart those Titans.\Eren.\Your nose is bleeding. response:	You look pale, and your breaths are ragged.
context: Back there,\my only thought was stopping that shell.\So that body had no other function and rotted away after having served its purpose.\This time, I'll turn into something stronger.\A 15-meter class, like the one that tore apart those Titans.\Eren.\Your nose is bleeding.\You look pale, and your breaths are ragged. response:	Your body is in bad shape!
context: my only thought was stopping that shell.\So that body had no other function and rotted away after having served its purpose.\This time, I'll turn into something stronger.\A 15-meter class, like the one that tore apart those Titans.\Eren.\Your nose is bleeding.\You look pale, and your breaths are ragged.\Your body is in bad shape! response:	How I feel doesn't matter.
context: So that body had no other function and rotted away after having served its purpose.\This time, I'll turn into something stronger.\A 15-meter class, like the one that tore apart those Titans.\Eren.\Your nose is bleeding.\You look pale, and your breaths are ragged.\Your body is in bad shape!\How I feel doesn't matter. response:	I've come up with two options.
context: This time, I'll turn into something stronger.\A 15-meter class, like the one that tore apart those Titans.\Eren.\Your nose is bleeding.\You look pale, and your breaths are ragged.\Your body is in bad shape!\How I feel doesn't matter.\I've come up with two options. response:	First, if you don't try to protect me, at least they won't kill you.
context: A 15-meter class, like the one that tore apart those Titans.\Eren.\Your nose is bleeding.\You look pale, and your breaths are ragged.\Your body is in bad shape!\How I feel doesn't matter.\I've come up with two options.\First, if you don't try to protect me, at least they won't kill you. response:	Although I've already caused you trouble.
context: Eren.\Your nose is bleeding.\You look pale, and your breaths are ragged.\Your body is in bad shape!\How I feel doesn't matter.\I've come up with two options.\First, if you don't try to protect me, at least they won't kill you.\Although I've already caused you trouble. response:	I'm thinking of leaving here alone.
context: Your nose is bleeding.\You look pale, and your breaths are ragged.\Your body is in bad shape!\How I feel doesn't matter.\I've come up with two options.\First, if you don't try to protect me, at least they won't kill you.\Although I've already caused you trouble.\I'm thinking of leaving here alone. response:	No...
context: You look pale, and your breaths are ragged.\Your body is in bad shape!\How I feel doesn't matter.\I've come up with two options.\First, if you don't try to protect me, at least they won't kill you.\Although I've already caused you trouble.\I'm thinking of leaving here alone.\No... response:	I'll go, too
context: Your body is in bad shape!\How I feel doesn't matter.\I've come up with two options.\First, if you don't try to protect me, at least they won't kill you.\Although I've already caused you trouble.\I'm thinking of leaving here alone.\No...\I'll go, too response:	Eren,
context: How I feel doesn't matter.\I've come up with two options.\First, if you don't try to protect me, at least they won't kill you.\Although I've already caused you trouble.\I'm thinking of leaving here alone.\No...\I'll go, too\Eren, response:	I'm coming with you.
context: I've come up with two options.\First, if you don't try to protect me, at least they won't kill you.\Although I've already caused you trouble.\I'm thinking of leaving here alone.\No...\I'll go, too\Eren,\I'm coming with you. response:	No!
context: First, if you don't try to protect me, at least they won't kill you.\Although I've already caused you trouble.\I'm thinking of leaving here alone.\No...\I'll go, too\Eren,\I'm coming with you.\No! response:	If I can't keep up, you don't need to worry about me.
context: Although I've already caused you trouble.\I'm thinking of leaving here alone.\No...\I'll go, too\Eren,\I'm coming with you.\No!\If I can't keep up, you don't need to worry about me. response:	But I don't have to do what you say.
context: I'm thinking of leaving here alone.\No...\I'll go, too\Eren,\I'm coming with you.\No!\If I can't keep up, you don't need to worry about me.\But I don't have to do what you say. response:	I've told you to stop all that!
