context: Closed response:	Sangetsu Bakery
context: I'm sorry; I don't have a clear grasp of what happened to them afterwards.\But it's true that I gathered 20,000 NEETs here, right?\-Yes. -For real?!\I wonder if I really did do it...\And why was I chosen to be a Selecao, anyway?\I couldn't say. I haven't been informed of the selection criteria.\I see, you haven't been informed...\-Correct. -What's the Supporter then? response:	The Supporter is one of the twelve Selecao,
context: But it's true that I gathered 20,000 NEETs here, right?\-Yes. -For real?!\I wonder if I really did do it...\And why was I chosen to be a Selecao, anyway?\I couldn't say. I haven't been informed of the selection criteria.\I see, you haven't been informed...\-Correct. -What's the Supporter then?\The Supporter is one of the twelve Selecao, response:	and is a system responsible for eliminating those unfit to be saviors.
context: -Yes. -For real?!\I wonder if I really did do it...\And why was I chosen to be a Selecao, anyway?\I couldn't say. I haven't been informed of the selection criteria.\I see, you haven't been informed...\-Correct. -What's the Supporter then?\The Supporter is one of the twelve Selecao,\and is a system responsible for eliminating those unfit to be saviors. response:	I really couldn't say.
context: I wonder if I really did do it...\And why was I chosen to be a Selecao, anyway?\I couldn't say. I haven't been informed of the selection criteria.\I see, you haven't been informed...\-Correct. -What's the Supporter then?\The Supporter is one of the twelve Selecao,\and is a system responsible for eliminating those unfit to be saviors.\I really couldn't say. response:	So basically, it's pointless to ask you about me.
context: And why was I chosen to be a Selecao, anyway?\I couldn't say. I haven't been informed of the selection criteria.\I see, you haven't been informed...\-Correct. -What's the Supporter then?\The Supporter is one of the twelve Selecao,\and is a system responsible for eliminating those unfit to be saviors.\I really couldn't say.\So basically, it's pointless to ask you about me. response:	That is correct.
context: I couldn't say. I haven't been informed of the selection criteria.\I see, you haven't been informed...\-Correct. -What's the Supporter then?\The Supporter is one of the twelve Selecao,\and is a system responsible for eliminating those unfit to be saviors.\I really couldn't say.\So basically, it's pointless to ask you about me.\That is correct. response:	Then who should I ask?! Try putting yourself in my shoes!
context: I see, you haven't been informed...\-Correct. -What's the Supporter then?\The Supporter is one of the twelve Selecao,\and is a system responsible for eliminating those unfit to be saviors.\I really couldn't say.\So basically, it's pointless to ask you about me.\That is correct.\Then who should I ask?! Try putting yourself in my shoes! response:	Come to think of it, that guy told me to ask the other Selecao.
context: -Correct. -What's the Supporter then?\The Supporter is one of the twelve Selecao,\and is a system responsible for eliminating those unfit to be saviors.\I really couldn't say.\So basically, it's pointless to ask you about me.\That is correct.\Then who should I ask?! Try putting yourself in my shoes!\Come to think of it, that guy told me to ask the other Selecao. response:	Selecao Activity History
context: The Supporter is one of the twelve Selecao,\and is a system responsible for eliminating those unfit to be saviors.\I really couldn't say.\So basically, it's pointless to ask you about me.\That is correct.\Then who should I ask?! Try putting yourself in my shoes!\Come to think of it, that guy told me to ask the other Selecao.\Selecao Activity History response:	What the heck? He's practically got something going every minute.
context: and is a system responsible for eliminating those unfit to be saviors.\I really couldn't say.\So basically, it's pointless to ask you about me.\That is correct.\Then who should I ask?! Try putting yourself in my shoes!\Come to think of it, that guy told me to ask the other Selecao.\Selecao Activity History\What the heck? He's practically got something going every minute. response:	Hey, is Number 5 just asking you to do things all the time?
context: I really couldn't say.\So basically, it's pointless to ask you about me.\That is correct.\Then who should I ask?! Try putting yourself in my shoes!\Come to think of it, that guy told me to ask the other Selecao.\Selecao Activity History\What the heck? He's practically got something going every minute.\Hey, is Number 5 just asking you to do things all the time? response:	No, when we get complex requests,
context: So basically, it's pointless to ask you about me.\That is correct.\Then who should I ask?! Try putting yourself in my shoes!\Come to think of it, that guy told me to ask the other Selecao.\Selecao Activity History\What the heck? He's practically got something going every minute.\Hey, is Number 5 just asking you to do things all the time?\No, when we get complex requests, response:	we divide them into several steps and carry them out separately.
context: That is correct.\Then who should I ask?! Try putting yourself in my shoes!\Come to think of it, that guy told me to ask the other Selecao.\Selecao Activity History\What the heck? He's practically got something going every minute.\Hey, is Number 5 just asking you to do things all the time?\No, when we get complex requests,\we divide them into several steps and carry them out separately. response:	So this all stems from one request?
context: Then who should I ask?! Try putting yourself in my shoes!\Come to think of it, that guy told me to ask the other Selecao.\Selecao Activity History\What the heck? He's practically got something going every minute.\Hey, is Number 5 just asking you to do things all the time?\No, when we get complex requests,\we divide them into several steps and carry them out separately.\So this all stems from one request? response:	Selecao Activity History
context: Come to think of it, that guy told me to ask the other Selecao.\Selecao Activity History\What the heck? He's practically got something going every minute.\Hey, is Number 5 just asking you to do things all the time?\No, when we get complex requests,\we divide them into several steps and carry them out separately.\So this all stems from one request?\Selecao Activity History response:	Hey Juiz, would you find out who had an MRI machine delivered
context: Selecao Activity History\What the heck? He's practically got something going every minute.\Hey, is Number 5 just asking you to do things all the time?\No, when we get complex requests,\we divide them into several steps and carry them out separately.\So this all stems from one request?\Selecao Activity History\Hey Juiz, would you find out who had an MRI machine delivered response:	two days ago from Toyo Medical Tech?
context: What the heck? He's practically got something going every minute.\Hey, is Number 5 just asking you to do things all the time?\No, when we get complex requests,\we divide them into several steps and carry them out separately.\So this all stems from one request?\Selecao Activity History\Hey Juiz, would you find out who had an MRI machine delivered\two days ago from Toyo Medical Tech? response:	Accepted. I pray you shall continue to be a savior.
context: Hey, is Number 5 just asking you to do things all the time?\No, when we get complex requests,\we divide them into several steps and carry them out separately.\So this all stems from one request?\Selecao Activity History\Hey Juiz, would you find out who had an MRI machine delivered\two days ago from Toyo Medical Tech?\Accepted. I pray you shall continue to be a savior. response:	Exit
context: No, when we get complex requests,\we divide them into several steps and carry them out separately.\So this all stems from one request?\Selecao Activity History\Hey Juiz, would you find out who had an MRI machine delivered\two days ago from Toyo Medical Tech?\Accepted. I pray you shall continue to be a savior.\Exit response:	Exit Here
context: we divide them into several steps and carry them out separately.\So this all stems from one request?\Selecao Activity History\Hey Juiz, would you find out who had an MRI machine delivered\two days ago from Toyo Medical Tech?\Accepted. I pray you shall continue to be a savior.\Exit\Exit Here response:	Road Closed
context: So this all stems from one request?\Selecao Activity History\Hey Juiz, would you find out who had an MRI machine delivered\two days ago from Toyo Medical Tech?\Accepted. I pray you shall continue to be a savior.\Exit\Exit Here\Road Closed response:	The missile landing site...
context: Selecao Activity History\Hey Juiz, would you find out who had an MRI machine delivered\two days ago from Toyo Medical Tech?\Accepted. I pray you shall continue to be a savior.\Exit\Exit Here\Road Closed\The missile landing site... response:	Hey, that's dangerous!
context: Hey Juiz, would you find out who had an MRI machine delivered\two days ago from Toyo Medical Tech?\Accepted. I pray you shall continue to be a savior.\Exit\Exit Here\Road Closed\The missile landing site...\Hey, that's dangerous! response:	Sheesh, couldn't he see the sign?
context: two days ago from Toyo Medical Tech?\Accepted. I pray you shall continue to be a savior.\Exit\Exit Here\Road Closed\The missile landing site...\Hey, that's dangerous!\Sheesh, couldn't he see the sign? response:	I thought he was just gonna fling his bike off the edge!
context: Accepted. I pray you shall continue to be a savior.\Exit\Exit Here\Road Closed\The missile landing site...\Hey, that's dangerous!\Sheesh, couldn't he see the sign?\I thought he was just gonna fling his bike off the edge! response:	You know, like in that movie.
context: Exit\Exit Here\Road Closed\The missile landing site...\Hey, that's dangerous!\Sheesh, couldn't he see the sign?\I thought he was just gonna fling his bike off the edge!\You know, like in that movie. response:	What are you talking about?
context: Exit Here\Road Closed\The missile landing site...\Hey, that's dangerous!\Sheesh, couldn't he see the sign?\I thought he was just gonna fling his bike off the edge!\You know, like in that movie.\What are you talking about? response:	There's an old young-adult movie where he flings his scooter in the last scene.
context: Road Closed\The missile landing site...\Hey, that's dangerous!\Sheesh, couldn't he see the sign?\I thought he was just gonna fling his bike off the edge!\You know, like in that movie.\What are you talking about?\There's an old young-adult movie where he flings his scooter in the last scene. response:	Do you know the title of that one?
context: The missile landing site...\Hey, that's dangerous!\Sheesh, couldn't he see the sign?\I thought he was just gonna fling his bike off the edge!\You know, like in that movie.\What are you talking about?\There's an old young-adult movie where he flings his scooter in the last scene.\Do you know the title of that one? response:	Nobody watches young-adult movies these days.
context: Hey, that's dangerous!\Sheesh, couldn't he see the sign?\I thought he was just gonna fling his bike off the edge!\You know, like in that movie.\What are you talking about?\There's an old young-adult movie where he flings his scooter in the last scene.\Do you know the title of that one?\Nobody watches young-adult movies these days. response:	Really?
context: Sheesh, couldn't he see the sign?\I thought he was just gonna fling his bike off the edge!\You know, like in that movie.\What are you talking about?\There's an old young-adult movie where he flings his scooter in the last scene.\Do you know the title of that one?\Nobody watches young-adult movies these days.\Really? response:	Johnny!
context: I thought he was just gonna fling his bike off the edge!\You know, like in that movie.\What are you talking about?\There's an old young-adult movie where he flings his scooter in the last scene.\Do you know the title of that one?\Nobody watches young-adult movies these days.\Really?\Johnny! response:	Johnny! Johnny!
context: You know, like in that movie.\What are you talking about?\There's an old young-adult movie where he flings his scooter in the last scene.\Do you know the title of that one?\Nobody watches young-adult movies these days.\Really?\Johnny!\Johnny! Johnny! response:	Ow!
context: What are you talking about?\There's an old young-adult movie where he flings his scooter in the last scene.\Do you know the title of that one?\Nobody watches young-adult movies these days.\Really?\Johnny!\Johnny! Johnny!\Ow! response:	Stop it!
context: There's an old young-adult movie where he flings his scooter in the last scene.\Do you know the title of that one?\Nobody watches young-adult movies these days.\Really?\Johnny!\Johnny! Johnny!\Ow!\Stop it! response:	Why, you! Cut it out!
context: Do you know the title of that one?\Nobody watches young-adult movies these days.\Really?\Johnny!\Johnny! Johnny!\Ow!\Stop it!\Why, you! Cut it out! response:	You guys are useless!
context: Nobody watches young-adult movies these days.\Really?\Johnny!\Johnny! Johnny!\Ow!\Stop it!\Why, you! Cut it out!\You guys are useless! response:	Hey, are you okay?
context: Really?\Johnny!\Johnny! Johnny!\Ow!\Stop it!\Why, you! Cut it out!\You guys are useless!\Hey, are you okay? response:	Quadrophenia.
context: Johnny!\Johnny! Johnny!\Ow!\Stop it!\Why, you! Cut it out!\You guys are useless!\Hey, are you okay?\Quadrophenia. response:	Huh?!
context: Johnny! Johnny!\Ow!\Stop it!\Why, you! Cut it out!\You guys are useless!\Hey, are you okay?\Quadrophenia.\Huh?! response:	That's the title of the movie you were talking about.
context: Ow!\Stop it!\Why, you! Cut it out!\You guys are useless!\Hey, are you okay?\Quadrophenia.\Huh?!\That's the title of the movie you were talking about. response:	Hey, that's right!
context: Stop it!\Why, you! Cut it out!\You guys are useless!\Hey, are you okay?\Quadrophenia.\Huh?!\That's the title of the movie you were talking about.\Hey, that's right! response:	Quadrophenia.
context: Why, you! Cut it out!\You guys are useless!\Hey, are you okay?\Quadrophenia.\Huh?!\That's the title of the movie you were talking about.\Hey, that's right!\Quadrophenia. response:	Don't lump me in with that guy. I'm not particularly in despair right now.
context: You guys are useless!\Hey, are you okay?\Quadrophenia.\Huh?!\That's the title of the movie you were talking about.\Hey, that's right!\Quadrophenia.\Don't lump me in with that guy. I'm not particularly in despair right now. response:	How do I get to the Kan-Etsu Expressway, again?
context: Hey, are you okay?\Quadrophenia.\Huh?!\That's the title of the movie you were talking about.\Hey, that's right!\Quadrophenia.\Don't lump me in with that guy. I'm not particularly in despair right now.\How do I get to the Kan-Etsu Expressway, again? response:	Yes. And it seems like it was this morning before she finally got home.
context: Quadrophenia.\Huh?!\That's the title of the movie you were talking about.\Hey, that's right!\Quadrophenia.\Don't lump me in with that guy. I'm not particularly in despair right now.\How do I get to the Kan-Etsu Expressway, again?\Yes. And it seems like it was this morning before she finally got home. response:	Yes. Apparently she stayed over at Micchon's last night.
context: Huh?!\That's the title of the movie you were talking about.\Hey, that's right!\Quadrophenia.\Don't lump me in with that guy. I'm not particularly in despair right now.\How do I get to the Kan-Etsu Expressway, again?\Yes. And it seems like it was this morning before she finally got home.\Yes. Apparently she stayed over at Micchon's last night. response:	Saki! Osugi's on the phone for you!
context: That's the title of the movie you were talking about.\Hey, that's right!\Quadrophenia.\Don't lump me in with that guy. I'm not particularly in despair right now.\How do I get to the Kan-Etsu Expressway, again?\Yes. And it seems like it was this morning before she finally got home.\Yes. Apparently she stayed over at Micchon's last night.\Saki! Osugi's on the phone for you! response:	Hurry and get up!
context: Hey, that's right!\Quadrophenia.\Don't lump me in with that guy. I'm not particularly in despair right now.\How do I get to the Kan-Etsu Expressway, again?\Yes. And it seems like it was this morning before she finally got home.\Yes. Apparently she stayed over at Micchon's last night.\Saki! Osugi's on the phone for you!\Hurry and get up! response:	I'm awake.
context: Quadrophenia.\Don't lump me in with that guy. I'm not particularly in despair right now.\How do I get to the Kan-Etsu Expressway, again?\Yes. And it seems like it was this morning before she finally got home.\Yes. Apparently she stayed over at Micchon's last night.\Saki! Osugi's on the phone for you!\Hurry and get up!\I'm awake. response:	He was so worried, he called over and over.
context: Don't lump me in with that guy. I'm not particularly in despair right now.\How do I get to the Kan-Etsu Expressway, again?\Yes. And it seems like it was this morning before she finally got home.\Yes. Apparently she stayed over at Micchon's last night.\Saki! Osugi's on the phone for you!\Hurry and get up!\I'm awake.\He was so worried, he called over and over. response:	-Hello. -Sorry, were you asleep?
context: How do I get to the Kan-Etsu Expressway, again?\Yes. And it seems like it was this morning before she finally got home.\Yes. Apparently she stayed over at Micchon's last night.\Saki! Osugi's on the phone for you!\Hurry and get up!\I'm awake.\He was so worried, he called over and over.\-Hello. -Sorry, were you asleep? response:	No. Sorry I didn't contact you sooner.
context: Yes. And it seems like it was this morning before she finally got home.\Yes. Apparently she stayed over at Micchon's last night.\Saki! Osugi's on the phone for you!\Hurry and get up!\I'm awake.\He was so worried, he called over and over.\-Hello. -Sorry, were you asleep?\No. Sorry I didn't contact you sooner. response:	No, I'm just happy you're okay.
context: Yes. Apparently she stayed over at Micchon's last night.\Saki! Osugi's on the phone for you!\Hurry and get up!\I'm awake.\He was so worried, he called over and over.\-Hello. -Sorry, were you asleep?\No. Sorry I didn't contact you sooner.\No, I'm just happy you're okay. response:	Did you stay over at Micchon's last night?
context: Saki! Osugi's on the phone for you!\Hurry and get up!\I'm awake.\He was so worried, he called over and over.\-Hello. -Sorry, were you asleep?\No. Sorry I didn't contact you sooner.\No, I'm just happy you're okay.\Did you stay over at Micchon's last night? response:	Yeah.
context: Hurry and get up!\I'm awake.\He was so worried, he called over and over.\-Hello. -Sorry, were you asleep?\No. Sorry I didn't contact you sooner.\No, I'm just happy you're okay.\Did you stay over at Micchon's last night?\Yeah. response:	Oh. So, what happened with your interview?
context: I'm awake.\He was so worried, he called over and over.\-Hello. -Sorry, were you asleep?\No. Sorry I didn't contact you sooner.\No, I'm just happy you're okay.\Did you stay over at Micchon's last night?\Yeah.\Oh. So, what happened with your interview? response:	They let me reschedule for tomorrow.
context: He was so worried, he called over and over.\-Hello. -Sorry, were you asleep?\No. Sorry I didn't contact you sooner.\No, I'm just happy you're okay.\Did you stay over at Micchon's last night?\Yeah.\Oh. So, what happened with your interview?\They let me reschedule for tomorrow. response:	Oh, good.
context: -Hello. -Sorry, were you asleep?\No. Sorry I didn't contact you sooner.\No, I'm just happy you're okay.\Did you stay over at Micchon's last night?\Yeah.\Oh. So, what happened with your interview?\They let me reschedule for tomorrow.\Oh, good. response:	Hey, want to go together?
context: No. Sorry I didn't contact you sooner.\No, I'm just happy you're okay.\Did you stay over at Micchon's last night?\Yeah.\Oh. So, what happened with your interview?\They let me reschedule for tomorrow.\Oh, good.\Hey, want to go together? response:	I have prospective employee training starting tomorrow.
context: No, I'm just happy you're okay.\Did you stay over at Micchon's last night?\Yeah.\Oh. So, what happened with your interview?\They let me reschedule for tomorrow.\Oh, good.\Hey, want to go together?\I have prospective employee training starting tomorrow. response:	What? But isn't this out of your way?
context: Did you stay over at Micchon's last night?\Yeah.\Oh. So, what happened with your interview?\They let me reschedule for tomorrow.\Oh, good.\Hey, want to go together?\I have prospective employee training starting tomorrow.\What? But isn't this out of your way? response:	No problem! Interviews make you feel really alone, right?
context: Yeah.\Oh. So, what happened with your interview?\They let me reschedule for tomorrow.\Oh, good.\Hey, want to go together?\I have prospective employee training starting tomorrow.\What? But isn't this out of your way?\No problem! Interviews make you feel really alone, right? response:	It's easier to be brave with someone else around.
context: Oh. So, what happened with your interview?\They let me reschedule for tomorrow.\Oh, good.\Hey, want to go together?\I have prospective employee training starting tomorrow.\What? But isn't this out of your way?\No problem! Interviews make you feel really alone, right?\It's easier to be brave with someone else around. response:	Sure, thanks.
context: They let me reschedule for tomorrow.\Oh, good.\Hey, want to go together?\I have prospective employee training starting tomorrow.\What? But isn't this out of your way?\No problem! Interviews make you feel really alone, right?\It's easier to be brave with someone else around.\Sure, thanks. response:	Okay, see you tomorrow...
context: Oh, good.\Hey, want to go together?\I have prospective employee training starting tomorrow.\What? But isn't this out of your way?\No problem! Interviews make you feel really alone, right?\It's easier to be brave with someone else around.\Sure, thanks.\Okay, see you tomorrow... response:	Micchon's?
context: Hey, want to go together?\I have prospective employee training starting tomorrow.\What? But isn't this out of your way?\No problem! Interviews make you feel really alone, right?\It's easier to be brave with someone else around.\Sure, thanks.\Okay, see you tomorrow...\Micchon's? response:	What am I doing?
context: I have prospective employee training starting tomorrow.\What? But isn't this out of your way?\No problem! Interviews make you feel really alone, right?\It's easier to be brave with someone else around.\Sure, thanks.\Okay, see you tomorrow...\Micchon's?\What am I doing? response:	Hiura General Hospital
context: What? But isn't this out of your way?\No problem! Interviews make you feel really alone, right?\It's easier to be brave with someone else around.\Sure, thanks.\Okay, see you tomorrow...\Micchon's?\What am I doing?\Hiura General Hospital response:	Excuse me, I believe someone at this hospital bought an MRI machine yesterday.
context: No problem! Interviews make you feel really alone, right?\It's easier to be brave with someone else around.\Sure, thanks.\Okay, see you tomorrow...\Micchon's?\What am I doing?\Hiura General Hospital\Excuse me, I believe someone at this hospital bought an MRI machine yesterday. response:	Who bought it?
context: It's easier to be brave with someone else around.\Sure, thanks.\Okay, see you tomorrow...\Micchon's?\What am I doing?\Hiura General Hospital\Excuse me, I believe someone at this hospital bought an MRI machine yesterday.\Who bought it? response:	That's an odd question...
context: Sure, thanks.\Okay, see you tomorrow...\Micchon's?\What am I doing?\Hiura General Hospital\Excuse me, I believe someone at this hospital bought an MRI machine yesterday.\Who bought it?\That's an odd question... response:	If I had to venture a guess, I'd say perhaps the director.
context: Okay, see you tomorrow...\Micchon's?\What am I doing?\Hiura General Hospital\Excuse me, I believe someone at this hospital bought an MRI machine yesterday.\Who bought it?\That's an odd question...\If I had to venture a guess, I'd say perhaps the director. response:	Got it. In that case, sorry to trouble you,
context: Micchon's?\What am I doing?\Hiura General Hospital\Excuse me, I believe someone at this hospital bought an MRI machine yesterday.\Who bought it?\That's an odd question...\If I had to venture a guess, I'd say perhaps the director.\Got it. In that case, sorry to trouble you, response:	but could you tell the director I'm here?
context: What am I doing?\Hiura General Hospital\Excuse me, I believe someone at this hospital bought an MRI machine yesterday.\Who bought it?\That's an odd question...\If I had to venture a guess, I'd say perhaps the director.\Got it. In that case, sorry to trouble you,\but could you tell the director I'm here? response:	Pardon? I'm sorry, but do you have an appointment...?
context: Hiura General Hospital\Excuse me, I believe someone at this hospital bought an MRI machine yesterday.\Who bought it?\That's an odd question...\If I had to venture a guess, I'd say perhaps the director.\Got it. In that case, sorry to trouble you,\but could you tell the director I'm here?\Pardon? I'm sorry, but do you have an appointment...? response:	No, but I think he'll see me if you tell him a Selecao is here.
context: Excuse me, I believe someone at this hospital bought an MRI machine yesterday.\Who bought it?\That's an odd question...\If I had to venture a guess, I'd say perhaps the director.\Got it. In that case, sorry to trouble you,\but could you tell the director I'm here?\Pardon? I'm sorry, but do you have an appointment...?\No, but I think he'll see me if you tell him a Selecao is here. response:	Here's my cell phone number.
context: Who bought it?\That's an odd question...\If I had to venture a guess, I'd say perhaps the director.\Got it. In that case, sorry to trouble you,\but could you tell the director I'm here?\Pardon? I'm sorry, but do you have an appointment...?\No, but I think he'll see me if you tell him a Selecao is here.\Here's my cell phone number. response:	It's like there's only old people around...
context: That's an odd question...\If I had to venture a guess, I'd say perhaps the director.\Got it. In that case, sorry to trouble you,\but could you tell the director I'm here?\Pardon? I'm sorry, but do you have an appointment...?\No, but I think he'll see me if you tell him a Selecao is here.\Here's my cell phone number.\It's like there's only old people around... response:	Literary Plan
context: If I had to venture a guess, I'd say perhaps the director.\Got it. In that case, sorry to trouble you,\but could you tell the director I'm here?\Pardon? I'm sorry, but do you have an appointment...?\No, but I think he'll see me if you tell him a Selecao is here.\Here's my cell phone number.\It's like there's only old people around...\Literary Plan response:	Unknown Source of Funding
context: Got it. In that case, sorry to trouble you,\but could you tell the director I'm here?\Pardon? I'm sorry, but do you have an appointment...?\No, but I think he'll see me if you tell him a Selecao is here.\Here's my cell phone number.\It's like there's only old people around...\Literary Plan\Unknown Source of Funding response:	Hospital Director Hajime Hiura Purchased a Bankrupt Regional Hospital
context: but could you tell the director I'm here?\Pardon? I'm sorry, but do you have an appointment...?\No, but I think he'll see me if you tell him a Selecao is here.\Here's my cell phone number.\It's like there's only old people around...\Literary Plan\Unknown Source of Funding\Hospital Director Hajime Hiura Purchased a Bankrupt Regional Hospital response:	Rumors of Rampant Bribery in the Prefectural Assembly
context: Pardon? I'm sorry, but do you have an appointment...?\No, but I think he'll see me if you tell him a Selecao is here.\Here's my cell phone number.\It's like there's only old people around...\Literary Plan\Unknown Source of Funding\Hospital Director Hajime Hiura Purchased a Bankrupt Regional Hospital\Rumors of Rampant Bribery in the Prefectural Assembly response:	You don't need to read this trash.
context: No, but I think he'll see me if you tell him a Selecao is here.\Here's my cell phone number.\It's like there's only old people around...\Literary Plan\Unknown Source of Funding\Hospital Director Hajime Hiura Purchased a Bankrupt Regional Hospital\Rumors of Rampant Bribery in the Prefectural Assembly\You don't need to read this trash. response:	To us, Dr. Hiura is a savior. No matter what anybody says.
context: Here's my cell phone number.\It's like there's only old people around...\Literary Plan\Unknown Source of Funding\Hospital Director Hajime Hiura Purchased a Bankrupt Regional Hospital\Rumors of Rampant Bribery in the Prefectural Assembly\You don't need to read this trash.\To us, Dr. Hiura is a savior. No matter what anybody says. response:	A savior?
context: It's like there's only old people around...\Literary Plan\Unknown Source of Funding\Hospital Director Hajime Hiura Purchased a Bankrupt Regional Hospital\Rumors of Rampant Bribery in the Prefectural Assembly\You don't need to read this trash.\To us, Dr. Hiura is a savior. No matter what anybody says.\A savior? response:	Saki Morimi?
context: Literary Plan\Unknown Source of Funding\Hospital Director Hajime Hiura Purchased a Bankrupt Regional Hospital\Rumors of Rampant Bribery in the Prefectural Assembly\You don't need to read this trash.\To us, Dr. Hiura is a savior. No matter what anybody says.\A savior?\Saki Morimi? response:	Hello?
context: Unknown Source of Funding\Hospital Director Hajime Hiura Purchased a Bankrupt Regional Hospital\Rumors of Rampant Bribery in the Prefectural Assembly\You don't need to read this trash.\To us, Dr. Hiura is a savior. No matter what anybody says.\A savior?\Saki Morimi?\Hello? response:	Would you be the one calling himself a Selecao?
