context: How dare you manipulate the children's hero, Red Man, response:	and turn the special natural treasure,
context: never gave you permission to do that, did they?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
context: In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	I'm Usagi Tsukino.
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. response:	As you know, I'm a sailor warrior of love and justice, Sailor Moon.
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon. response:	But it's not easy, you know.
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know. response:	I have to get a hold of the legendary Silver Crystal
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal response:	before the bad guys get it,
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it, response:	but to do that, I have to find the seven rainbow crystals!
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals! response:	Oh, man. But anyhow, we've got four sailor warriors now,
context: Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now, response:	so it'll work out somehow.
context: I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow. response:	Umino's Resolve! I'll Protect Naru
context: As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Umino's Resolve! I'll Protect Naru response:	Code name 0091. This is Luna.
context: But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Umino's Resolve! I'll Protect Naru\Code name 0091. This is Luna. response:	My secret password is The rabbit on the moon makes rice cakes.
context: I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Umino's Resolve! I'll Protect Naru\Code name 0091. This is Luna.\My secret password is The rabbit on the moon makes rice cakes. response:	Please respond.
context: before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Umino's Resolve! I'll Protect Naru\Code name 0091. This is Luna.\My secret password is The rabbit on the moon makes rice cakes.\Please respond. response:	The moon rice cakes are sticky.
context: but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Umino's Resolve! I'll Protect Naru\Code name 0091. This is Luna.\My secret password is The rabbit on the moon makes rice cakes.\Please respond.\The moon rice cakes are sticky. response:	When I grilled them, they puffed up.
context: Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Umino's Resolve! I'll Protect Naru\Code name 0091. This is Luna.\My secret password is The rabbit on the moon makes rice cakes.\Please respond.\The moon rice cakes are sticky.\When I grilled them, they puffed up. response:	So, how are the Sailor Warriors coming along?
context: so it'll work out somehow.\Umino's Resolve! I'll Protect Naru\Code name 0091. This is Luna.\My secret password is The rabbit on the moon makes rice cakes.\Please respond.\The moon rice cakes are sticky.\When I grilled them, they puffed up.\So, how are the Sailor Warriors coming along? response:	Well, one of them still needs to be more self-aware,
context: Umino's Resolve! I'll Protect Naru\Code name 0091. This is Luna.\My secret password is The rabbit on the moon makes rice cakes.\Please respond.\The moon rice cakes are sticky.\When I grilled them, they puffed up.\So, how are the Sailor Warriors coming along?\Well, one of them still needs to be more self-aware, response:	but the rest of them are doing fairly well.
context: Code name 0091. This is Luna.\My secret password is The rabbit on the moon makes rice cakes.\Please respond.\The moon rice cakes are sticky.\When I grilled them, they puffed up.\So, how are the Sailor Warriors coming along?\Well, one of them still needs to be more self-aware,\but the rest of them are doing fairly well. response:	The day when all five sailor warriors will come together is near.
context: My secret password is The rabbit on the moon makes rice cakes.\Please respond.\The moon rice cakes are sticky.\When I grilled them, they puffed up.\So, how are the Sailor Warriors coming along?\Well, one of them still needs to be more self-aware,\but the rest of them are doing fairly well.\The day when all five sailor warriors will come together is near. response:	What? Really?
context: Please respond.\The moon rice cakes are sticky.\When I grilled them, they puffed up.\So, how are the Sailor Warriors coming along?\Well, one of them still needs to be more self-aware,\but the rest of them are doing fairly well.\The day when all five sailor warriors will come together is near.\What? Really? response:	Yes. Therefore, I think it may be good
context: The moon rice cakes are sticky.\When I grilled them, they puffed up.\So, how are the Sailor Warriors coming along?\Well, one of them still needs to be more self-aware,\but the rest of them are doing fairly well.\The day when all five sailor warriors will come together is near.\What? Really?\Yes. Therefore, I think it may be good response:	to tell them about that issue soon.
context: When I grilled them, they puffed up.\So, how are the Sailor Warriors coming along?\Well, one of them still needs to be more self-aware,\but the rest of them are doing fairly well.\The day when all five sailor warriors will come together is near.\What? Really?\Yes. Therefore, I think it may be good\to tell them about that issue soon. response:	Are you sure?
context: So, how are the Sailor Warriors coming along?\Well, one of them still needs to be more self-aware,\but the rest of them are doing fairly well.\The day when all five sailor warriors will come together is near.\What? Really?\Yes. Therefore, I think it may be good\to tell them about that issue soon.\Are you sure? response:	The Dark Kingdom seems to be getting impatient these days.
context: Well, one of them still needs to be more self-aware,\but the rest of them are doing fairly well.\The day when all five sailor warriors will come together is near.\What? Really?\Yes. Therefore, I think it may be good\to tell them about that issue soon.\Are you sure?\The Dark Kingdom seems to be getting impatient these days. response:	We need to heighten the sailor warriors' awareness of the situation.
context: but the rest of them are doing fairly well.\The day when all five sailor warriors will come together is near.\What? Really?\Yes. Therefore, I think it may be good\to tell them about that issue soon.\Are you sure?\The Dark Kingdom seems to be getting impatient these days.\We need to heighten the sailor warriors' awareness of the situation. response:	I understand.
context: The day when all five sailor warriors will come together is near.\What? Really?\Yes. Therefore, I think it may be good\to tell them about that issue soon.\Are you sure?\The Dark Kingdom seems to be getting impatient these days.\We need to heighten the sailor warriors' awareness of the situation.\I understand. response:	Finally, it's time to tell them everything.
context: What? Really?\Yes. Therefore, I think it may be good\to tell them about that issue soon.\Are you sure?\The Dark Kingdom seems to be getting impatient these days.\We need to heighten the sailor warriors' awareness of the situation.\I understand.\Finally, it's time to tell them everything. response:	What does Luna want with us in the middle of night?
context: Yes. Therefore, I think it may be good\to tell them about that issue soon.\Are you sure?\The Dark Kingdom seems to be getting impatient these days.\We need to heighten the sailor warriors' awareness of the situation.\I understand.\Finally, it's time to tell them everything.\What does Luna want with us in the middle of night? response:	Everyone's here, I see.
context: to tell them about that issue soon.\Are you sure?\The Dark Kingdom seems to be getting impatient these days.\We need to heighten the sailor warriors' awareness of the situation.\I understand.\Finally, it's time to tell them everything.\What does Luna want with us in the middle of night?\Everyone's here, I see. response:	Has another monster appeared?
context: Are you sure?\The Dark Kingdom seems to be getting impatient these days.\We need to heighten the sailor warriors' awareness of the situation.\I understand.\Finally, it's time to tell them everything.\What does Luna want with us in the middle of night?\Everyone's here, I see.\Has another monster appeared? response:	You must not be surprised!
context: The Dark Kingdom seems to be getting impatient these days.\We need to heighten the sailor warriors' awareness of the situation.\I understand.\Finally, it's time to tell them everything.\What does Luna want with us in the middle of night?\Everyone's here, I see.\Has another monster appeared?\You must not be surprised! response:	Oh, you scared me!
context: We need to heighten the sailor warriors' awareness of the situation.\I understand.\Finally, it's time to tell them everything.\What does Luna want with us in the middle of night?\Everyone's here, I see.\Has another monster appeared?\You must not be surprised!\Oh, you scared me! response:	Listen very carefully to what I'm about to say.
context: I understand.\Finally, it's time to tell them everything.\What does Luna want with us in the middle of night?\Everyone's here, I see.\Has another monster appeared?\You must not be surprised!\Oh, you scared me!\Listen very carefully to what I'm about to say. response:	I was sent here from that moon!
context: Finally, it's time to tell them everything.\What does Luna want with us in the middle of night?\Everyone's here, I see.\Has another monster appeared?\You must not be surprised!\Oh, you scared me!\Listen very carefully to what I'm about to say.\I was sent here from that moon! response:	What?!
context: What does Luna want with us in the middle of night?\Everyone's here, I see.\Has another monster appeared?\You must not be surprised!\Oh, you scared me!\Listen very carefully to what I'm about to say.\I was sent here from that moon!\What?! response:	From the moon?! What?!
context: Everyone's here, I see.\Has another monster appeared?\You must not be surprised!\Oh, you scared me!\Listen very carefully to what I'm about to say.\I was sent here from that moon!\What?!\From the moon?! What?! response:	From the moon?! Why?!
context: Has another monster appeared?\You must not be surprised!\Oh, you scared me!\Listen very carefully to what I'm about to say.\I was sent here from that moon!\What?!\From the moon?! What?!\From the moon?! Why?! response:	No way! Why?!
context: You must not be surprised!\Oh, you scared me!\Listen very carefully to what I'm about to say.\I was sent here from that moon!\What?!\From the moon?! What?!\From the moon?! Why?!\No way! Why?! response:	No way!
context: Oh, you scared me!\Listen very carefully to what I'm about to say.\I was sent here from that moon!\What?!\From the moon?! What?!\From the moon?! Why?!\No way! Why?!\No way! response:	Why did you come to Earth?
context: Listen very carefully to what I'm about to say.\I was sent here from that moon!\What?!\From the moon?! What?!\From the moon?! Why?!\No way! Why?!\No way!\Why did you come to Earth? response:	To awaken you girls.
context: I was sent here from that moon!\What?!\From the moon?! What?!\From the moon?! Why?!\No way! Why?!\No way!\Why did you come to Earth?\To awaken you girls. response:	This is sort of unbelievable.
context: What?!\From the moon?! What?!\From the moon?! Why?!\No way! Why?!\No way!\Why did you come to Earth?\To awaken you girls.\This is sort of unbelievable. response:	But if Luna says so, I'll believe her.
context: From the moon?! What?!\From the moon?! Why?!\No way! Why?!\No way!\Why did you come to Earth?\To awaken you girls.\This is sort of unbelievable.\But if Luna says so, I'll believe her. response:	Thank you, Ami.
context: From the moon?! Why?!\No way! Why?!\No way!\Why did you come to Earth?\To awaken you girls.\This is sort of unbelievable.\But if Luna says so, I'll believe her.\Thank you, Ami. response:	The princess you're looking for is a descendant of the Moon Kingdom.
context: No way! Why?!\No way!\Why did you come to Earth?\To awaken you girls.\This is sort of unbelievable.\But if Luna says so, I'll believe her.\Thank you, Ami.\The princess you're looking for is a descendant of the Moon Kingdom. response:	A descendant?
context: No way!\Why did you come to Earth?\To awaken you girls.\This is sort of unbelievable.\But if Luna says so, I'll believe her.\Thank you, Ami.\The princess you're looking for is a descendant of the Moon Kingdom.\A descendant? response:	Of the Moon Kingdom?
context: Why did you come to Earth?\To awaken you girls.\This is sort of unbelievable.\But if Luna says so, I'll believe her.\Thank you, Ami.\The princess you're looking for is a descendant of the Moon Kingdom.\A descendant?\Of the Moon Kingdom? response:	There's a kingdom on the moon?
context: To awaken you girls.\This is sort of unbelievable.\But if Luna says so, I'll believe her.\Thank you, Ami.\The princess you're looking for is a descendant of the Moon Kingdom.\A descendant?\Of the Moon Kingdom?\There's a kingdom on the moon? response:	It's like a fairy tale.
context: This is sort of unbelievable.\But if Luna says so, I'll believe her.\Thank you, Ami.\The princess you're looking for is a descendant of the Moon Kingdom.\A descendant?\Of the Moon Kingdom?\There's a kingdom on the moon?\It's like a fairy tale. response:	You girls are certain to find the princess.
context: But if Luna says so, I'll believe her.\Thank you, Ami.\The princess you're looking for is a descendant of the Moon Kingdom.\A descendant?\Of the Moon Kingdom?\There's a kingdom on the moon?\It's like a fairy tale.\You girls are certain to find the princess. response:	And you have to protect the princess. There's not a moment to lose.
context: Thank you, Ami.\The princess you're looking for is a descendant of the Moon Kingdom.\A descendant?\Of the Moon Kingdom?\There's a kingdom on the moon?\It's like a fairy tale.\You girls are certain to find the princess.\And you have to protect the princess. There's not a moment to lose. response:	Hey, Luna.
context: The princess you're looking for is a descendant of the Moon Kingdom.\A descendant?\Of the Moon Kingdom?\There's a kingdom on the moon?\It's like a fairy tale.\You girls are certain to find the princess.\And you have to protect the princess. There's not a moment to lose.\Hey, Luna. response:	Is there really a rabbit on the moon that makes rice cakes?
context: A descendant?\Of the Moon Kingdom?\There's a kingdom on the moon?\It's like a fairy tale.\You girls are certain to find the princess.\And you have to protect the princess. There's not a moment to lose.\Hey, Luna.\Is there really a rabbit on the moon that makes rice cakes? response:	Excuse me!
context: Of the Moon Kingdom?\There's a kingdom on the moon?\It's like a fairy tale.\You girls are certain to find the princess.\And you have to protect the princess. There's not a moment to lose.\Hey, Luna.\Is there really a rabbit on the moon that makes rice cakes?\Excuse me! response:	Beautiful.
context: There's a kingdom on the moon?\It's like a fairy tale.\You girls are certain to find the princess.\And you have to protect the princess. There's not a moment to lose.\Hey, Luna.\Is there really a rabbit on the moon that makes rice cakes?\Excuse me!\Beautiful. response:	They really are pretty.
context: It's like a fairy tale.\You girls are certain to find the princess.\And you have to protect the princess. There's not a moment to lose.\Hey, Luna.\Is there really a rabbit on the moon that makes rice cakes?\Excuse me!\Beautiful.\They really are pretty. response:	However. The true beauty of the rainbow crystals is only revealed
context: You girls are certain to find the princess.\And you have to protect the princess. There's not a moment to lose.\Hey, Luna.\Is there really a rabbit on the moon that makes rice cakes?\Excuse me!\Beautiful.\They really are pretty.\However. The true beauty of the rainbow crystals is only revealed response:	when all seven are gathered together.
context: And you have to protect the princess. There's not a moment to lose.\Hey, Luna.\Is there really a rabbit on the moon that makes rice cakes?\Excuse me!\Beautiful.\They really are pretty.\However. The true beauty of the rainbow crystals is only revealed\when all seven are gathered together. response:	Do you not think so?
context: Hey, Luna.\Is there really a rabbit on the moon that makes rice cakes?\Excuse me!\Beautiful.\They really are pretty.\However. The true beauty of the rainbow crystals is only revealed\when all seven are gathered together.\Do you not think so? response:	For you, Master Kunzite,
context: Is there really a rabbit on the moon that makes rice cakes?\Excuse me!\Beautiful.\They really are pretty.\However. The true beauty of the rainbow crystals is only revealed\when all seven are gathered together.\Do you not think so?\For you, Master Kunzite, response:	I shall get a hold of the rest of the rainbow crystals.
context: Excuse me!\Beautiful.\They really are pretty.\However. The true beauty of the rainbow crystals is only revealed\when all seven are gathered together.\Do you not think so?\For you, Master Kunzite,\I shall get a hold of the rest of the rainbow crystals. response:	I will be counting on you.
context: Beautiful.\They really are pretty.\However. The true beauty of the rainbow crystals is only revealed\when all seven are gathered together.\Do you not think so?\For you, Master Kunzite,\I shall get a hold of the rest of the rainbow crystals.\I will be counting on you. response:	Once we get all seven rainbow crystals,
context: They really are pretty.\However. The true beauty of the rainbow crystals is only revealed\when all seven are gathered together.\Do you not think so?\For you, Master Kunzite,\I shall get a hold of the rest of the rainbow crystals.\I will be counting on you.\Once we get all seven rainbow crystals, response:	we will be able to obtain the legendary Silver Crystal.
context: However. The true beauty of the rainbow crystals is only revealed\when all seven are gathered together.\Do you not think so?\For you, Master Kunzite,\I shall get a hold of the rest of the rainbow crystals.\I will be counting on you.\Once we get all seven rainbow crystals,\we will be able to obtain the legendary Silver Crystal. response:	I want the legendary Silver Crystal as soon as possible,
context: when all seven are gathered together.\Do you not think so?\For you, Master Kunzite,\I shall get a hold of the rest of the rainbow crystals.\I will be counting on you.\Once we get all seven rainbow crystals,\we will be able to obtain the legendary Silver Crystal.\I want the legendary Silver Crystal as soon as possible, response:	so that I may see Queen Beryl smile with delight.
context: Do you not think so?\For you, Master Kunzite,\I shall get a hold of the rest of the rainbow crystals.\I will be counting on you.\Once we get all seven rainbow crystals,\we will be able to obtain the legendary Silver Crystal.\I want the legendary Silver Crystal as soon as possible,\so that I may see Queen Beryl smile with delight. response:	Oh! This is not fair!
context: For you, Master Kunzite,\I shall get a hold of the rest of the rainbow crystals.\I will be counting on you.\Once we get all seven rainbow crystals,\we will be able to obtain the legendary Silver Crystal.\I want the legendary Silver Crystal as soon as possible,\so that I may see Queen Beryl smile with delight.\Oh! This is not fair! response:	That fried shrimp looks so good.
context: I shall get a hold of the rest of the rainbow crystals.\I will be counting on you.\Once we get all seven rainbow crystals,\we will be able to obtain the legendary Silver Crystal.\I want the legendary Silver Crystal as soon as possible,\so that I may see Queen Beryl smile with delight.\Oh! This is not fair!\That fried shrimp looks so good. response:	Trade it for my green pepper?
context: I will be counting on you.\Once we get all seven rainbow crystals,\we will be able to obtain the legendary Silver Crystal.\I want the legendary Silver Crystal as soon as possible,\so that I may see Queen Beryl smile with delight.\Oh! This is not fair!\That fried shrimp looks so good.\Trade it for my green pepper? response:	If you want it, here you go.
context: Once we get all seven rainbow crystals,\we will be able to obtain the legendary Silver Crystal.\I want the legendary Silver Crystal as soon as possible,\so that I may see Queen Beryl smile with delight.\Oh! This is not fair!\That fried shrimp looks so good.\Trade it for my green pepper?\If you want it, here you go. response:	Thanks!
context: we will be able to obtain the legendary Silver Crystal.\I want the legendary Silver Crystal as soon as possible,\so that I may see Queen Beryl smile with delight.\Oh! This is not fair!\That fried shrimp looks so good.\Trade it for my green pepper?\If you want it, here you go.\Thanks! response:	Woohoo! You two make a perfect couple!
context: I want the legendary Silver Crystal as soon as possible,\so that I may see Queen Beryl smile with delight.\Oh! This is not fair!\That fried shrimp looks so good.\Trade it for my green pepper?\If you want it, here you go.\Thanks!\Woohoo! You two make a perfect couple! response:	Are you boyfriend and girlfriend now?
context: so that I may see Queen Beryl smile with delight.\Oh! This is not fair!\That fried shrimp looks so good.\Trade it for my green pepper?\If you want it, here you go.\Thanks!\Woohoo! You two make a perfect couple!\Are you boyfriend and girlfriend now? response:	Do we look like it?
context: Oh! This is not fair!\That fried shrimp looks so good.\Trade it for my green pepper?\If you want it, here you go.\Thanks!\Woohoo! You two make a perfect couple!\Are you boyfriend and girlfriend now?\Do we look like it? response:	We're not like that! We're just friends. Just friends.
context: That fried shrimp looks so good.\Trade it for my green pepper?\If you want it, here you go.\Thanks!\Woohoo! You two make a perfect couple!\Are you boyfriend and girlfriend now?\Do we look like it?\We're not like that! We're just friends. Just friends. response:	Just friends?
context: Trade it for my green pepper?\If you want it, here you go.\Thanks!\Woohoo! You two make a perfect couple!\Are you boyfriend and girlfriend now?\Do we look like it?\We're not like that! We're just friends. Just friends.\Just friends? response:	Friends, huh?
context: If you want it, here you go.\Thanks!\Woohoo! You two make a perfect couple!\Are you boyfriend and girlfriend now?\Do we look like it?\We're not like that! We're just friends. Just friends.\Just friends?\Friends, huh? response:	Umino's not a bad person,
context: Thanks!\Woohoo! You two make a perfect couple!\Are you boyfriend and girlfriend now?\Do we look like it?\We're not like that! We're just friends. Just friends.\Just friends?\Friends, huh?\Umino's not a bad person, response:	and he helps me study since he's smart...
context: Woohoo! You two make a perfect couple!\Are you boyfriend and girlfriend now?\Do we look like it?\We're not like that! We're just friends. Just friends.\Just friends?\Friends, huh?\Umino's not a bad person,\and he helps me study since he's smart... response:	But I just don't have that special feeling for him.
context: Are you boyfriend and girlfriend now?\Do we look like it?\We're not like that! We're just friends. Just friends.\Just friends?\Friends, huh?\Umino's not a bad person,\and he helps me study since he's smart...\But I just don't have that special feeling for him. response:	You can't be so moony!
context: Do we look like it?\We're not like that! We're just friends. Just friends.\Just friends?\Friends, huh?\Umino's not a bad person,\and he helps me study since he's smart...\But I just don't have that special feeling for him.\You can't be so moony! response:	This is where you have to be more aggressive!
context: We're not like that! We're just friends. Just friends.\Just friends?\Friends, huh?\Umino's not a bad person,\and he helps me study since he's smart...\But I just don't have that special feeling for him.\You can't be so moony!\This is where you have to be more aggressive! response:	But I don't know what to do.
context: Just friends?\Friends, huh?\Umino's not a bad person,\and he helps me study since he's smart...\But I just don't have that special feeling for him.\You can't be so moony!\This is where you have to be more aggressive!\But I don't know what to do. response:	Then, since I have lots of experience in romance,
context: Friends, huh?\Umino's not a bad person,\and he helps me study since he's smart...\But I just don't have that special feeling for him.\You can't be so moony!\This is where you have to be more aggressive!\But I don't know what to do.\Then, since I have lots of experience in romance, response:	I will tell you what to do.
context: Umino's not a bad person,\and he helps me study since he's smart...\But I just don't have that special feeling for him.\You can't be so moony!\This is where you have to be more aggressive!\But I don't know what to do.\Then, since I have lots of experience in romance,\I will tell you what to do. response:	Here it is! You need to transform into a cool guy!
context: and he helps me study since he's smart...\But I just don't have that special feeling for him.\You can't be so moony!\This is where you have to be more aggressive!\But I don't know what to do.\Then, since I have lots of experience in romance,\I will tell you what to do.\Here it is! You need to transform into a cool guy! response:	A cool guy? For example?
context: But I just don't have that special feeling for him.\You can't be so moony!\This is where you have to be more aggressive!\But I don't know what to do.\Then, since I have lots of experience in romance,\I will tell you what to do.\Here it is! You need to transform into a cool guy!\A cool guy? For example? response:	Be just like Tuxedo Mask!
context: You can't be so moony!\This is where you have to be more aggressive!\But I don't know what to do.\Then, since I have lots of experience in romance,\I will tell you what to do.\Here it is! You need to transform into a cool guy!\A cool guy? For example?\Be just like Tuxedo Mask! response:	Tuxedo Mask would be?
context: This is where you have to be more aggressive!\But I don't know what to do.\Then, since I have lots of experience in romance,\I will tell you what to do.\Here it is! You need to transform into a cool guy!\A cool guy? For example?\Be just like Tuxedo Mask!\Tuxedo Mask would be? response:	Tuxedo Mask is...
context: But I don't know what to do.\Then, since I have lots of experience in romance,\I will tell you what to do.\Here it is! You need to transform into a cool guy!\A cool guy? For example?\Be just like Tuxedo Mask!\Tuxedo Mask would be?\Tuxedo Mask is... response:	I see! So, if I become this Tuxedo Mask,
context: Then, since I have lots of experience in romance,\I will tell you what to do.\Here it is! You need to transform into a cool guy!\A cool guy? For example?\Be just like Tuxedo Mask!\Tuxedo Mask would be?\Tuxedo Mask is...\I see! So, if I become this Tuxedo Mask, response:	I'll get to be Naru's boyfriend?!
context: I will tell you what to do.\Here it is! You need to transform into a cool guy!\A cool guy? For example?\Be just like Tuxedo Mask!\Tuxedo Mask would be?\Tuxedo Mask is...\I see! So, if I become this Tuxedo Mask,\I'll get to be Naru's boyfriend?! response:	What? No, uh, that's not what I meant.
context: Here it is! You need to transform into a cool guy!\A cool guy? For example?\Be just like Tuxedo Mask!\Tuxedo Mask would be?\Tuxedo Mask is...\I see! So, if I become this Tuxedo Mask,\I'll get to be Naru's boyfriend?!\What? No, uh, that's not what I meant. response:	You need to learn from Tuxedo Mask's example and...
context: A cool guy? For example?\Be just like Tuxedo Mask!\Tuxedo Mask would be?\Tuxedo Mask is...\I see! So, if I become this Tuxedo Mask,\I'll get to be Naru's boyfriend?!\What? No, uh, that's not what I meant.\You need to learn from Tuxedo Mask's example and... response:	Okay! Starting today, I will be Tuxedo Mask!
