context: It all began in China, in Qingqing City. response:	There was news that a baby that gave off light was born.
context: the profession that everyone once dreamed about and admired\came into the limelight.\That profession is...\It's fine now. Why?\Because I am here.\He's so cool!\Once I get my Quirk, I wanna be like him, too!\But... response:	I'm sorry, Izuku!
context: came into the limelight.\That profession is...\It's fine now. Why?\Because I am here.\He's so cool!\Once I get my Quirk, I wanna be like him, too!\But...\I'm sorry, Izuku! response:	I'm sorry. I'm sorry!
context: That profession is...\It's fine now. Why?\Because I am here.\He's so cool!\Once I get my Quirk, I wanna be like him, too!\But...\I'm sorry, Izuku!\I'm sorry. I'm sorry! response:	I was born without a Quirk.
context: It's fine now. Why?\Because I am here.\He's so cool!\Once I get my Quirk, I wanna be like him, too!\But...\I'm sorry, Izuku!\I'm sorry. I'm sorry!\I was born without a Quirk. response:	I was Quirkless.
context: Because I am here.\He's so cool!\Once I get my Quirk, I wanna be like him, too!\But...\I'm sorry, Izuku!\I'm sorry. I'm sorry!\I was born without a Quirk.\I was Quirkless. response:	Even if I wanted to be like him, I couldn't.
context: He's so cool!\Once I get my Quirk, I wanna be like him, too!\But...\I'm sorry, Izuku!\I'm sorry. I'm sorry!\I was born without a Quirk.\I was Quirkless.\Even if I wanted to be like him, I couldn't. response:	That's right. I had to give up on my dream.
context: Once I get my Quirk, I wanna be like him, too!\But...\I'm sorry, Izuku!\I'm sorry. I'm sorry!\I was born without a Quirk.\I was Quirkless.\Even if I wanted to be like him, I couldn't.\That's right. I had to give up on my dream. response:	But my arm kept reaching out desperately for that dream,
context: But...\I'm sorry, Izuku!\I'm sorry. I'm sorry!\I was born without a Quirk.\I was Quirkless.\Even if I wanted to be like him, I couldn't.\That's right. I had to give up on my dream.\But my arm kept reaching out desperately for that dream, response:	and thanks to the people who guided me and keep supporting me,
context: I'm sorry, Izuku!\I'm sorry. I'm sorry!\I was born without a Quirk.\I was Quirkless.\Even if I wanted to be like him, I couldn't.\That's right. I had to give up on my dream.\But my arm kept reaching out desperately for that dream,\and thanks to the people who guided me and keep supporting me, response:	I am here now.
context: I'm sorry. I'm sorry!\I was born without a Quirk.\I was Quirkless.\Even if I wanted to be like him, I couldn't.\That's right. I had to give up on my dream.\But my arm kept reaching out desperately for that dream,\and thanks to the people who guided me and keep supporting me,\I am here now. response:	My dream is becoming reality.
context: I was born without a Quirk.\I was Quirkless.\Even if I wanted to be like him, I couldn't.\That's right. I had to give up on my dream.\But my arm kept reaching out desperately for that dream,\and thanks to the people who guided me and keep supporting me,\I am here now.\My dream is becoming reality. response:	Even the setbacks in the process are real.
context: I was Quirkless.\Even if I wanted to be like him, I couldn't.\That's right. I had to give up on my dream.\But my arm kept reaching out desperately for that dream,\and thanks to the people who guided me and keep supporting me,\I am here now.\My dream is becoming reality.\Even the setbacks in the process are real. response:	I'll say it again.
context: Even if I wanted to be like him, I couldn't.\That's right. I had to give up on my dream.\But my arm kept reaching out desperately for that dream,\and thanks to the people who guided me and keep supporting me,\I am here now.\My dream is becoming reality.\Even the setbacks in the process are real.\I'll say it again. response:	This is the story
context: That's right. I had to give up on my dream.\But my arm kept reaching out desperately for that dream,\and thanks to the people who guided me and keep supporting me,\I am here now.\My dream is becoming reality.\Even the setbacks in the process are real.\I'll say it again.\This is the story response:	of how I became the greatest hero.
context: But my arm kept reaching out desperately for that dream,\and thanks to the people who guided me and keep supporting me,\I am here now.\My dream is becoming reality.\Even the setbacks in the process are real.\I'll say it again.\This is the story\of how I became the greatest hero. response:	This is a follow-up report on yesterday's incident at the U.A. rescue training facility
context: and thanks to the people who guided me and keep supporting me,\I am here now.\My dream is becoming reality.\Even the setbacks in the process are real.\I'll say it again.\This is the story\of how I became the greatest hero.\This is a follow-up report on yesterday's incident at the U.A. rescue training facility response:	where hero course students were attacked by villains.
context: I am here now.\My dream is becoming reality.\Even the setbacks in the process are real.\I'll say it again.\This is the story\of how I became the greatest hero.\This is a follow-up report on yesterday's incident at the U.A. rescue training facility\where hero course students were attacked by villains. response:	Follow-Up Report: U.A. High School Attack
context: My dream is becoming reality.\Even the setbacks in the process are real.\I'll say it again.\This is the story\of how I became the greatest hero.\This is a follow-up report on yesterday's incident at the U.A. rescue training facility\where hero course students were attacked by villains.\Follow-Up Report: U.A. High School Attack response:	According to police investigation, the criminals call themselves The League of Villains
context: Even the setbacks in the process are real.\I'll say it again.\This is the story\of how I became the greatest hero.\This is a follow-up report on yesterday's incident at the U.A. rescue training facility\where hero course students were attacked by villains.\Follow-Up Report: U.A. High School Attack\According to police investigation, the criminals call themselves The League of Villains response:	At the scene - Unforeseen Simulation Joint (USJ)
context: I'll say it again.\This is the story\of how I became the greatest hero.\This is a follow-up report on yesterday's incident at the U.A. rescue training facility\where hero course students were attacked by villains.\Follow-Up Report: U.A. High School Attack\According to police investigation, the criminals call themselves The League of Villains\At the scene - Unforeseen Simulation Joint (USJ) response:	and have been plotting to kill All Might,
context: This is the story\of how I became the greatest hero.\This is a follow-up report on yesterday's incident at the U.A. rescue training facility\where hero course students were attacked by villains.\Follow-Up Report: U.A. High School Attack\According to police investigation, the criminals call themselves The League of Villains\At the scene - Unforeseen Simulation Joint (USJ)\and have been plotting to kill All Might, response:	who has been a teacher at U.A. since spring of this year.
context: of how I became the greatest hero.\This is a follow-up report on yesterday's incident at the U.A. rescue training facility\where hero course students were attacked by villains.\Follow-Up Report: U.A. High School Attack\According to police investigation, the criminals call themselves The League of Villains\At the scene - Unforeseen Simulation Joint (USJ)\and have been plotting to kill All Might,\who has been a teacher at U.A. since spring of this year. response:	Police have arrested 72 villains,
context: This is a follow-up report on yesterday's incident at the U.A. rescue training facility\where hero course students were attacked by villains.\Follow-Up Report: U.A. High School Attack\According to police investigation, the criminals call themselves The League of Villains\At the scene - Unforeseen Simulation Joint (USJ)\and have been plotting to kill All Might,\who has been a teacher at U.A. since spring of this year.\Police have arrested 72 villains, response:	but they still do not know the whereabouts of their ringleader.
context: where hero course students were attacked by villains.\Follow-Up Report: U.A. High School Attack\According to police investigation, the criminals call themselves The League of Villains\At the scene - Unforeseen Simulation Joint (USJ)\and have been plotting to kill All Might,\who has been a teacher at U.A. since spring of this year.\Police have arrested 72 villains,\but they still do not know the whereabouts of their ringleader. response:	Greetings. It feels like summer is just around the corner.
context: Follow-Up Report: U.A. High School Attack\According to police investigation, the criminals call themselves The League of Villains\At the scene - Unforeseen Simulation Joint (USJ)\and have been plotting to kill All Might,\who has been a teacher at U.A. since spring of this year.\Police have arrested 72 villains,\but they still do not know the whereabouts of their ringleader.\Greetings. It feels like summer is just around the corner. response:	As for you, sir, I hope that this letter finds you well.
context: According to police investigation, the criminals call themselves The League of Villains\At the scene - Unforeseen Simulation Joint (USJ)\and have been plotting to kill All Might,\who has been a teacher at U.A. since spring of this year.\Police have arrested 72 villains,\but they still do not know the whereabouts of their ringleader.\Greetings. It feels like summer is just around the corner.\As for you, sir, I hope that this letter finds you well. response:	Since spring, I have been a teacher at U.A. High School
context: At the scene - Unforeseen Simulation Joint (USJ)\and have been plotting to kill All Might,\who has been a teacher at U.A. since spring of this year.\Police have arrested 72 villains,\but they still do not know the whereabouts of their ringleader.\Greetings. It feels like summer is just around the corner.\As for you, sir, I hope that this letter finds you well.\Since spring, I have been a teacher at U.A. High School response:	and have taken on the task of guiding the next generation.
context: and have been plotting to kill All Might,\who has been a teacher at U.A. since spring of this year.\Police have arrested 72 villains,\but they still do not know the whereabouts of their ringleader.\Greetings. It feels like summer is just around the corner.\As for you, sir, I hope that this letter finds you well.\Since spring, I have been a teacher at U.A. High School\and have taken on the task of guiding the next generation. response:	I thought to find someone worthy
context: who has been a teacher at U.A. since spring of this year.\Police have arrested 72 villains,\but they still do not know the whereabouts of their ringleader.\Greetings. It feels like summer is just around the corner.\As for you, sir, I hope that this letter finds you well.\Since spring, I have been a teacher at U.A. High School\and have taken on the task of guiding the next generation.\I thought to find someone worthy response:	to inherit my power among the most promising students
context: Police have arrested 72 villains,\but they still do not know the whereabouts of their ringleader.\Greetings. It feels like summer is just around the corner.\As for you, sir, I hope that this letter finds you well.\Since spring, I have been a teacher at U.A. High School\and have taken on the task of guiding the next generation.\I thought to find someone worthy\to inherit my power among the most promising students response:	aiming to become heroes.
context: but they still do not know the whereabouts of their ringleader.\Greetings. It feels like summer is just around the corner.\As for you, sir, I hope that this letter finds you well.\Since spring, I have been a teacher at U.A. High School\and have taken on the task of guiding the next generation.\I thought to find someone worthy\to inherit my power among the most promising students\aiming to become heroes. response:	However, before I took up my post at U.A., I met a young man.
context: Greetings. It feels like summer is just around the corner.\As for you, sir, I hope that this letter finds you well.\Since spring, I have been a teacher at U.A. High School\and have taken on the task of guiding the next generation.\I thought to find someone worthy\to inherit my power among the most promising students\aiming to become heroes.\However, before I took up my post at U.A., I met a young man. response:	Even though this young man had no Quirk,
context: As for you, sir, I hope that this letter finds you well.\Since spring, I have been a teacher at U.A. High School\and have taken on the task of guiding the next generation.\I thought to find someone worthy\to inherit my power among the most promising students\aiming to become heroes.\However, before I took up my post at U.A., I met a young man.\Even though this young man had no Quirk, response:	he rushed toward the scene
context: Since spring, I have been a teacher at U.A. High School\and have taken on the task of guiding the next generation.\I thought to find someone worthy\to inherit my power among the most promising students\aiming to become heroes.\However, before I took up my post at U.A., I met a young man.\Even though this young man had no Quirk,\he rushed toward the scene response:	in a situation where pro heroes, including myself, hesitated,
context: and have taken on the task of guiding the next generation.\I thought to find someone worthy\to inherit my power among the most promising students\aiming to become heroes.\However, before I took up my post at U.A., I met a young man.\Even though this young man had no Quirk,\he rushed toward the scene\in a situation where pro heroes, including myself, hesitated, response:	using what power he had to try to find a way out of the situation.
context: I thought to find someone worthy\to inherit my power among the most promising students\aiming to become heroes.\However, before I took up my post at U.A., I met a young man.\Even though this young man had no Quirk,\he rushed toward the scene\in a situation where pro heroes, including myself, hesitated,\using what power he had to try to find a way out of the situation. response:	He may not have had a plan in mind at the time.
context: to inherit my power among the most promising students\aiming to become heroes.\However, before I took up my post at U.A., I met a young man.\Even though this young man had no Quirk,\he rushed toward the scene\in a situation where pro heroes, including myself, hesitated,\using what power he had to try to find a way out of the situation.\He may not have had a plan in mind at the time. response:	Even so, he ran.
context: aiming to become heroes.\However, before I took up my post at U.A., I met a young man.\Even though this young man had no Quirk,\he rushed toward the scene\in a situation where pro heroes, including myself, hesitated,\using what power he had to try to find a way out of the situation.\He may not have had a plan in mind at the time.\Even so, he ran. response:	I feel like I relearned from that young man
context: However, before I took up my post at U.A., I met a young man.\Even though this young man had no Quirk,\he rushed toward the scene\in a situation where pro heroes, including myself, hesitated,\using what power he had to try to find a way out of the situation.\He may not have had a plan in mind at the time.\Even so, he ran.\I feel like I relearned from that young man response:	the essence of what a hero must have in order to be worthy to be a hero.
context: Even though this young man had no Quirk,\he rushed toward the scene\in a situation where pro heroes, including myself, hesitated,\using what power he had to try to find a way out of the situation.\He may not have had a plan in mind at the time.\Even so, he ran.\I feel like I relearned from that young man\the essence of what a hero must have in order to be worthy to be a hero. response:	That is why I told him,
context: he rushed toward the scene\in a situation where pro heroes, including myself, hesitated,\using what power he had to try to find a way out of the situation.\He may not have had a plan in mind at the time.\Even so, he ran.\I feel like I relearned from that young man\the essence of what a hero must have in order to be worthy to be a hero.\That is why I told him, response:	'You can become a hero.'
context: in a situation where pro heroes, including myself, hesitated,\using what power he had to try to find a way out of the situation.\He may not have had a plan in mind at the time.\Even so, he ran.\I feel like I relearned from that young man\the essence of what a hero must have in order to be worthy to be a hero.\That is why I told him,\'You can become a hero.' response:	I proposed to transfer my own Quirk to him.
context: using what power he had to try to find a way out of the situation.\He may not have had a plan in mind at the time.\Even so, he ran.\I feel like I relearned from that young man\the essence of what a hero must have in order to be worthy to be a hero.\That is why I told him,\'You can become a hero.'\I proposed to transfer my own Quirk to him. response:	The power cultivated by one person,
context: He may not have had a plan in mind at the time.\Even so, he ran.\I feel like I relearned from that young man\the essence of what a hero must have in order to be worthy to be a hero.\That is why I told him,\'You can become a hero.'\I proposed to transfer my own Quirk to him.\The power cultivated by one person, response:	who passes it on to another person, who also cultivates it and passes it on.
context: Even so, he ran.\I feel like I relearned from that young man\the essence of what a hero must have in order to be worthy to be a hero.\That is why I told him,\'You can become a hero.'\I proposed to transfer my own Quirk to him.\The power cultivated by one person,\who passes it on to another person, who also cultivates it and passes it on. response:	The crystallization of power that spins together
context: I feel like I relearned from that young man\the essence of what a hero must have in order to be worthy to be a hero.\That is why I told him,\'You can become a hero.'\I proposed to transfer my own Quirk to him.\The power cultivated by one person,\who passes it on to another person, who also cultivates it and passes it on.\The crystallization of power that spins together response:	the voices of those who need help with a courageous heart-
context: the essence of what a hero must have in order to be worthy to be a hero.\That is why I told him,\'You can become a hero.'\I proposed to transfer my own Quirk to him.\The power cultivated by one person,\who passes it on to another person, who also cultivates it and passes it on.\The crystallization of power that spins together\the voices of those who need help with a courageous heart- response:	One For All.
context: That is why I told him,\'You can become a hero.'\I proposed to transfer my own Quirk to him.\The power cultivated by one person,\who passes it on to another person, who also cultivates it and passes it on.\The crystallization of power that spins together\the voices of those who need help with a courageous heart-\One For All. response:	The young man inherited my power without hesitation
context: 'You can become a hero.'\I proposed to transfer my own Quirk to him.\The power cultivated by one person,\who passes it on to another person, who also cultivates it and passes it on.\The crystallization of power that spins together\the voices of those who need help with a courageous heart-\One For All.\The young man inherited my power without hesitation response:	and underwent training to be accepted into the hero course at U.A. High School.
context: I proposed to transfer my own Quirk to him.\The power cultivated by one person,\who passes it on to another person, who also cultivates it and passes it on.\The crystallization of power that spins together\the voices of those who need help with a courageous heart-\One For All.\The young man inherited my power without hesitation\and underwent training to be accepted into the hero course at U.A. High School. response:	Even as he struggled with his new Quirk,
context: The power cultivated by one person,\who passes it on to another person, who also cultivates it and passes it on.\The crystallization of power that spins together\the voices of those who need help with a courageous heart-\One For All.\The young man inherited my power without hesitation\and underwent training to be accepted into the hero course at U.A. High School.\Even as he struggled with his new Quirk, response:	he kept giving his all to make it his own.
context: who passes it on to another person, who also cultivates it and passes it on.\The crystallization of power that spins together\the voices of those who need help with a courageous heart-\One For All.\The young man inherited my power without hesitation\and underwent training to be accepted into the hero course at U.A. High School.\Even as he struggled with his new Quirk,\he kept giving his all to make it his own. response:	I'm proud of him.
context: The crystallization of power that spins together\the voices of those who need help with a courageous heart-\One For All.\The young man inherited my power without hesitation\and underwent training to be accepted into the hero course at U.A. High School.\Even as he struggled with his new Quirk,\he kept giving his all to make it his own.\I'm proud of him. response:	I don't like to toot my own horn,
context: the voices of those who need help with a courageous heart-\One For All.\The young man inherited my power without hesitation\and underwent training to be accepted into the hero course at U.A. High School.\Even as he struggled with his new Quirk,\he kept giving his all to make it his own.\I'm proud of him.\I don't like to toot my own horn, response:	but I do not regret passing on One For All to him at all.
context: One For All.\The young man inherited my power without hesitation\and underwent training to be accepted into the hero course at U.A. High School.\Even as he struggled with his new Quirk,\he kept giving his all to make it his own.\I'm proud of him.\I don't like to toot my own horn,\but I do not regret passing on One For All to him at all. response:	However, I am still inexperienced as a teacher.
context: The young man inherited my power without hesitation\and underwent training to be accepted into the hero course at U.A. High School.\Even as he struggled with his new Quirk,\he kept giving his all to make it his own.\I'm proud of him.\I don't like to toot my own horn,\but I do not regret passing on One For All to him at all.\However, I am still inexperienced as a teacher. response:	The day may come when I must trouble you, my old teacher.
context: and underwent training to be accepted into the hero course at U.A. High School.\Even as he struggled with his new Quirk,\he kept giving his all to make it his own.\I'm proud of him.\I don't like to toot my own horn,\but I do not regret passing on One For All to him at all.\However, I am still inexperienced as a teacher.\The day may come when I must trouble you, my old teacher. response:	I am counting on you when that time comes.
context: Even as he struggled with his new Quirk,\he kept giving his all to make it his own.\I'm proud of him.\I don't like to toot my own horn,\but I do not regret passing on One For All to him at all.\However, I am still inexperienced as a teacher.\The day may come when I must trouble you, my old teacher.\I am counting on you when that time comes. response:	Sincerely yours, -Toshinori Yagi
context: he kept giving his all to make it his own.\I'm proud of him.\I don't like to toot my own horn,\but I do not regret passing on One For All to him at all.\However, I am still inexperienced as a teacher.\The day may come when I must trouble you, my old teacher.\I am counting on you when that time comes.\Sincerely yours, -Toshinori Yagi response:	Please take care of yourself as the seasons change.
context: I'm proud of him.\I don't like to toot my own horn,\but I do not regret passing on One For All to him at all.\However, I am still inexperienced as a teacher.\The day may come when I must trouble you, my old teacher.\I am counting on you when that time comes.\Sincerely yours, -Toshinori Yagi\Please take care of yourself as the seasons change. response:	I will continue to keep you updated on my circumstances.
context: I don't like to toot my own horn,\but I do not regret passing on One For All to him at all.\However, I am still inexperienced as a teacher.\The day may come when I must trouble you, my old teacher.\I am counting on you when that time comes.\Sincerely yours, -Toshinori Yagi\Please take care of yourself as the seasons change.\I will continue to keep you updated on my circumstances. response:	Sincerely yours.
context: but I do not regret passing on One For All to him at all.\However, I am still inexperienced as a teacher.\The day may come when I must trouble you, my old teacher.\I am counting on you when that time comes.\Sincerely yours, -Toshinori Yagi\Please take care of yourself as the seasons change.\I will continue to keep you updated on my circumstances.\Sincerely yours. response:	The boy acknowledged by Toshinori, huh?
context: However, I am still inexperienced as a teacher.\The day may come when I must trouble you, my old teacher.\I am counting on you when that time comes.\Sincerely yours, -Toshinori Yagi\Please take care of yourself as the seasons change.\I will continue to keep you updated on my circumstances.\Sincerely yours.\The boy acknowledged by Toshinori, huh? response:	Episode 14: That's the Idea, Ochaco
context: The day may come when I must trouble you, my old teacher.\I am counting on you when that time comes.\Sincerely yours, -Toshinori Yagi\Please take care of yourself as the seasons change.\I will continue to keep you updated on my circumstances.\Sincerely yours.\The boy acknowledged by Toshinori, huh?\Episode 14: That's the Idea, Ochaco response:	The police have investigated the group calling themselves The League of Villains,
context: I am counting on you when that time comes.\Sincerely yours, -Toshinori Yagi\Please take care of yourself as the seasons change.\I will continue to keep you updated on my circumstances.\Sincerely yours.\The boy acknowledged by Toshinori, huh?\Episode 14: That's the Idea, Ochaco\The police have investigated the group calling themselves The League of Villains, response:	and there does not appear to be anyone registered with the name Shigaraki
context: Sincerely yours, -Toshinori Yagi\Please take care of yourself as the seasons change.\I will continue to keep you updated on my circumstances.\Sincerely yours.\The boy acknowledged by Toshinori, huh?\Episode 14: That's the Idea, Ochaco\The police have investigated the group calling themselves The League of Villains,\and there does not appear to be anyone registered with the name Shigaraki response:	in his 20s or 30s with a Quirk that lets him disintegrate whatever he touches.
context: Please take care of yourself as the seasons change.\I will continue to keep you updated on my circumstances.\Sincerely yours.\The boy acknowledged by Toshinori, huh?\Episode 14: That's the Idea, Ochaco\The police have investigated the group calling themselves The League of Villains,\and there does not appear to be anyone registered with the name Shigaraki\in his 20s or 30s with a Quirk that lets him disintegrate whatever he touches. response:	It's the same with the villain called Kurogiri with the Warp Gate.
context: I will continue to keep you updated on my circumstances.\Sincerely yours.\The boy acknowledged by Toshinori, huh?\Episode 14: That's the Idea, Ochaco\The police have investigated the group calling themselves The League of Villains,\and there does not appear to be anyone registered with the name Shigaraki\in his 20s or 30s with a Quirk that lets him disintegrate whatever he touches.\It's the same with the villain called Kurogiri with the Warp Gate. response:	They are probably not citizens and are using false names.
context: Sincerely yours.\The boy acknowledged by Toshinori, huh?\Episode 14: That's the Idea, Ochaco\The police have investigated the group calling themselves The League of Villains,\and there does not appear to be anyone registered with the name Shigaraki\in his 20s or 30s with a Quirk that lets him disintegrate whatever he touches.\It's the same with the villain called Kurogiri with the Warp Gate.\They are probably not citizens and are using false names. response:	In other words, they are people with unregistered Quirks
context: The boy acknowledged by Toshinori, huh?\Episode 14: That's the Idea, Ochaco\The police have investigated the group calling themselves The League of Villains,\and there does not appear to be anyone registered with the name Shigaraki\in his 20s or 30s with a Quirk that lets him disintegrate whatever he touches.\It's the same with the villain called Kurogiri with the Warp Gate.\They are probably not citizens and are using false names.\In other words, they are people with unregistered Quirks response:	who are part of society's underbelly.
context: Episode 14: That's the Idea, Ochaco\The police have investigated the group calling themselves The League of Villains,\and there does not appear to be anyone registered with the name Shigaraki\in his 20s or 30s with a Quirk that lets him disintegrate whatever he touches.\It's the same with the villain called Kurogiri with the Warp Gate.\They are probably not citizens and are using false names.\In other words, they are people with unregistered Quirks\who are part of society's underbelly. response:	You mean, we don't know anything...
context: The police have investigated the group calling themselves The League of Villains,\and there does not appear to be anyone registered with the name Shigaraki\in his 20s or 30s with a Quirk that lets him disintegrate whatever he touches.\It's the same with the villain called Kurogiri with the Warp Gate.\They are probably not citizens and are using false names.\In other words, they are people with unregistered Quirks\who are part of society's underbelly.\You mean, we don't know anything... response:	We must hurry.
context: and there does not appear to be anyone registered with the name Shigaraki\in his 20s or 30s with a Quirk that lets him disintegrate whatever he touches.\It's the same with the villain called Kurogiri with the Warp Gate.\They are probably not citizens and are using false names.\In other words, they are people with unregistered Quirks\who are part of society's underbelly.\You mean, we don't know anything...\We must hurry. response:	Once their ringleader, Shigaraki's gun wounds heal, they'll definitely try again.
context: in his 20s or 30s with a Quirk that lets him disintegrate whatever he touches.\It's the same with the villain called Kurogiri with the Warp Gate.\They are probably not citizens and are using false names.\In other words, they are people with unregistered Quirks\who are part of society's underbelly.\You mean, we don't know anything...\We must hurry.\Once their ringleader, Shigaraki's gun wounds heal, they'll definitely try again. response:	It'll be a pain.
context: It's the same with the villain called Kurogiri with the Warp Gate.\They are probably not citizens and are using false names.\In other words, they are people with unregistered Quirks\who are part of society's underbelly.\You mean, we don't know anything...\We must hurry.\Once their ringleader, Shigaraki's gun wounds heal, they'll definitely try again.\It'll be a pain. response:	Their ringleader, huh?
context: They are probably not citizens and are using false names.\In other words, they are people with unregistered Quirks\who are part of society's underbelly.\You mean, we don't know anything...\We must hurry.\Once their ringleader, Shigaraki's gun wounds heal, they'll definitely try again.\It'll be a pain.\Their ringleader, huh? response:	What is it, All Might?
context: In other words, they are people with unregistered Quirks\who are part of society's underbelly.\You mean, we don't know anything...\We must hurry.\Once their ringleader, Shigaraki's gun wounds heal, they'll definitely try again.\It'll be a pain.\Their ringleader, huh?\What is it, All Might? response:	It was a bold attack that normal people wouldn't carry out even if they thought of it.
context: who are part of society's underbelly.\You mean, we don't know anything...\We must hurry.\Once their ringleader, Shigaraki's gun wounds heal, they'll definitely try again.\It'll be a pain.\Their ringleader, huh?\What is it, All Might?\It was a bold attack that normal people wouldn't carry out even if they thought of it. response:	To suddenly go on and on with his wild statements like that...
context: You mean, we don't know anything...\We must hurry.\Once their ringleader, Shigaraki's gun wounds heal, they'll definitely try again.\It'll be a pain.\Their ringleader, huh?\What is it, All Might?\It was a bold attack that normal people wouldn't carry out even if they thought of it.\To suddenly go on and on with his wild statements like that... response:	Although he didn't reveal his own Quirk,
context: We must hurry.\Once their ringleader, Shigaraki's gun wounds heal, they'll definitely try again.\It'll be a pain.\Their ringleader, huh?\What is it, All Might?\It was a bold attack that normal people wouldn't carry out even if they thought of it.\To suddenly go on and on with his wild statements like that...\Although he didn't reveal his own Quirk, response:	he bragged about that Nomu's Quirk...
context: Once their ringleader, Shigaraki's gun wounds heal, they'll definitely try again.\It'll be a pain.\Their ringleader, huh?\What is it, All Might?\It was a bold attack that normal people wouldn't carry out even if they thought of it.\To suddenly go on and on with his wild statements like that...\Although he didn't reveal his own Quirk,\he bragged about that Nomu's Quirk... response:	And when things didn't go the way he wanted, he was visibly upset.
context: It'll be a pain.\Their ringleader, huh?\What is it, All Might?\It was a bold attack that normal people wouldn't carry out even if they thought of it.\To suddenly go on and on with his wild statements like that...\Although he didn't reveal his own Quirk,\he bragged about that Nomu's Quirk...\And when things didn't go the way he wanted, he was visibly upset. response:	Well, the incident with the Quirk was to also force my hand, but...
context: Their ringleader, huh?\What is it, All Might?\It was a bold attack that normal people wouldn't carry out even if they thought of it.\To suddenly go on and on with his wild statements like that...\Although he didn't reveal his own Quirk,\he bragged about that Nomu's Quirk...\And when things didn't go the way he wanted, he was visibly upset.\Well, the incident with the Quirk was to also force my hand, but... response:	Even so, it was foolish to throw away the advantage of having unknown Quirks
context: What is it, All Might?\It was a bold attack that normal people wouldn't carry out even if they thought of it.\To suddenly go on and on with his wild statements like that...\Although he didn't reveal his own Quirk,\he bragged about that Nomu's Quirk...\And when things didn't go the way he wanted, he was visibly upset.\Well, the incident with the Quirk was to also force my hand, but...\Even so, it was foolish to throw away the advantage of having unknown Quirks response:	when fighting against heroes.
context: It was a bold attack that normal people wouldn't carry out even if they thought of it.\To suddenly go on and on with his wild statements like that...\Although he didn't reveal his own Quirk,\he bragged about that Nomu's Quirk...\And when things didn't go the way he wanted, he was visibly upset.\Well, the incident with the Quirk was to also force my hand, but...\Even so, it was foolish to throw away the advantage of having unknown Quirks\when fighting against heroes. response:	He made immature, wild statements with a straight face.
context: To suddenly go on and on with his wild statements like that...\Although he didn't reveal his own Quirk,\he bragged about that Nomu's Quirk...\And when things didn't go the way he wanted, he was visibly upset.\Well, the incident with the Quirk was to also force my hand, but...\Even so, it was foolish to throw away the advantage of having unknown Quirks\when fighting against heroes.\He made immature, wild statements with a straight face. response:	He bragged about his possessions.
