context: Not quite what I had in mind... response:	Back to the drawing board!
context: It's not a big deal, all right?\Awww, I wish someone would give me some chocolate!\After all, I've never gotten any from a girl before...\Will Chitoge bring me some, maybe?\I mean, we are boyfriend and girlfriend on paper...\And maybe Onodera, too...\Nah, that's never gonna happen, right? How delusional am I?\As if she'd give me any! Me of all people! response:	Morning, Bean Sprout.
context: Awww, I wish someone would give me some chocolate!\After all, I've never gotten any from a girl before...\Will Chitoge bring me some, maybe?\I mean, we are boyfriend and girlfriend on paper...\And maybe Onodera, too...\Nah, that's never gonna happen, right? How delusional am I?\As if she'd give me any! Me of all people!\Morning, Bean Sprout. response:	H-Hey... Morning...
context: After all, I've never gotten any from a girl before...\Will Chitoge bring me some, maybe?\I mean, we are boyfriend and girlfriend on paper...\And maybe Onodera, too...\Nah, that's never gonna happen, right? How delusional am I?\As if she'd give me any! Me of all people!\Morning, Bean Sprout.\H-Hey... Morning... response:	What? Can I help you?
context: Will Chitoge bring me some, maybe?\I mean, we are boyfriend and girlfriend on paper...\And maybe Onodera, too...\Nah, that's never gonna happen, right? How delusional am I?\As if she'd give me any! Me of all people!\Morning, Bean Sprout.\H-Hey... Morning...\What? Can I help you? response:	No... it's nothing.
context: I mean, we are boyfriend and girlfriend on paper...\And maybe Onodera, too...\Nah, that's never gonna happen, right? How delusional am I?\As if she'd give me any! Me of all people!\Morning, Bean Sprout.\H-Hey... Morning...\What? Can I help you?\No... it's nothing. response:	Is that so?
context: And maybe Onodera, too...\Nah, that's never gonna happen, right? How delusional am I?\As if she'd give me any! Me of all people!\Morning, Bean Sprout.\H-Hey... Morning...\What? Can I help you?\No... it's nothing.\Is that so? response:	Oh, by the way, is there something special about today?
context: Nah, that's never gonna happen, right? How delusional am I?\As if she'd give me any! Me of all people!\Morning, Bean Sprout.\H-Hey... Morning...\What? Can I help you?\No... it's nothing.\Is that so?\Oh, by the way, is there something special about today? response:	For some reason, everyone seems kind of giddy.
context: As if she'd give me any! Me of all people!\Morning, Bean Sprout.\H-Hey... Morning...\What? Can I help you?\No... it's nothing.\Is that so?\Oh, by the way, is there something special about today?\For some reason, everyone seems kind of giddy. response:	Huh? You've never heard of Valentine's Day?
context: Morning, Bean Sprout.\H-Hey... Morning...\What? Can I help you?\No... it's nothing.\Is that so?\Oh, by the way, is there something special about today?\For some reason, everyone seems kind of giddy.\Huh? You've never heard of Valentine's Day? response:	Valentine's?
context: H-Hey... Morning...\What? Can I help you?\No... it's nothing.\Is that so?\Oh, by the way, is there something special about today?\For some reason, everyone seems kind of giddy.\Huh? You've never heard of Valentine's Day?\Valentine's? response:	Oh, right, in the U.S., you don't give guys chocolate, right?
context: What? Can I help you?\No... it's nothing.\Is that so?\Oh, by the way, is there something special about today?\For some reason, everyone seems kind of giddy.\Huh? You've never heard of Valentine's Day?\Valentine's?\Oh, right, in the U.S., you don't give guys chocolate, right? response:	O-Oh... Valentine's Day? Right, right... So it's today, huh?
context: No... it's nothing.\Is that so?\Oh, by the way, is there something special about today?\For some reason, everyone seems kind of giddy.\Huh? You've never heard of Valentine's Day?\Valentine's?\Oh, right, in the U.S., you don't give guys chocolate, right?\O-Oh... Valentine's Day? Right, right... So it's today, huh? response:	I see, so that's why, huh?
context: Is that so?\Oh, by the way, is there something special about today?\For some reason, everyone seems kind of giddy.\Huh? You've never heard of Valentine's Day?\Valentine's?\Oh, right, in the U.S., you don't give guys chocolate, right?\O-Oh... Valentine's Day? Right, right... So it's today, huh?\I see, so that's why, huh? response:	What's up with that?
context: Oh, by the way, is there something special about today?\For some reason, everyone seems kind of giddy.\Huh? You've never heard of Valentine's Day?\Valentine's?\Oh, right, in the U.S., you don't give guys chocolate, right?\O-Oh... Valentine's Day? Right, right... So it's today, huh?\I see, so that's why, huh?\What's up with that? response:	I hope you're not actually expecting any from me, are you?
context: For some reason, everyone seems kind of giddy.\Huh? You've never heard of Valentine's Day?\Valentine's?\Oh, right, in the U.S., you don't give guys chocolate, right?\O-Oh... Valentine's Day? Right, right... So it's today, huh?\I see, so that's why, huh?\What's up with that?\I hope you're not actually expecting any from me, are you? response:	Fake couple or not, I'm pretty sure I'm not obligated to go that far!
context: Huh? You've never heard of Valentine's Day?\Valentine's?\Oh, right, in the U.S., you don't give guys chocolate, right?\O-Oh... Valentine's Day? Right, right... So it's today, huh?\I see, so that's why, huh?\What's up with that?\I hope you're not actually expecting any from me, are you?\Fake couple or not, I'm pretty sure I'm not obligated to go that far! response:	Yeah, I know, I know...
context: Valentine's?\Oh, right, in the U.S., you don't give guys chocolate, right?\O-Oh... Valentine's Day? Right, right... So it's today, huh?\I see, so that's why, huh?\What's up with that?\I hope you're not actually expecting any from me, are you?\Fake couple or not, I'm pretty sure I'm not obligated to go that far!\Yeah, I know, I know... response:	Just as I thought, no joy, huh?
context: Oh, right, in the U.S., you don't give guys chocolate, right?\O-Oh... Valentine's Day? Right, right... So it's today, huh?\I see, so that's why, huh?\What's up with that?\I hope you're not actually expecting any from me, are you?\Fake couple or not, I'm pretty sure I'm not obligated to go that far!\Yeah, I know, I know...\Just as I thought, no joy, huh? response:	Well, who'd expect her to do something so maidenly anyway?
context: O-Oh... Valentine's Day? Right, right... So it's today, huh?\I see, so that's why, huh?\What's up with that?\I hope you're not actually expecting any from me, are you?\Fake couple or not, I'm pretty sure I'm not obligated to go that far!\Yeah, I know, I know...\Just as I thought, no joy, huh?\Well, who'd expect her to do something so maidenly anyway? response:	Why can't I be honest?
context: I see, so that's why, huh?\What's up with that?\I hope you're not actually expecting any from me, are you?\Fake couple or not, I'm pretty sure I'm not obligated to go that far!\Yeah, I know, I know...\Just as I thought, no joy, huh?\Well, who'd expect her to do something so maidenly anyway?\Why can't I be honest? response:	Idiot! Idiot! I'm such an idiot!
context: What's up with that?\I hope you're not actually expecting any from me, are you?\Fake couple or not, I'm pretty sure I'm not obligated to go that far!\Yeah, I know, I know...\Just as I thought, no joy, huh?\Well, who'd expect her to do something so maidenly anyway?\Why can't I be honest?\Idiot! Idiot! I'm such an idiot! response:	What kind of an attitude was that? I've only made it harder to give them to him!
context: I hope you're not actually expecting any from me, are you?\Fake couple or not, I'm pretty sure I'm not obligated to go that far!\Yeah, I know, I know...\Just as I thought, no joy, huh?\Well, who'd expect her to do something so maidenly anyway?\Why can't I be honest?\Idiot! Idiot! I'm such an idiot!\What kind of an attitude was that? I've only made it harder to give them to him! response:	Why am I like this?
context: Fake couple or not, I'm pretty sure I'm not obligated to go that far!\Yeah, I know, I know...\Just as I thought, no joy, huh?\Well, who'd expect her to do something so maidenly anyway?\Why can't I be honest?\Idiot! Idiot! I'm such an idiot!\What kind of an attitude was that? I've only made it harder to give them to him!\Why am I like this? response:	Morning!
context: Yeah, I know, I know...\Just as I thought, no joy, huh?\Well, who'd expect her to do something so maidenly anyway?\Why can't I be honest?\Idiot! Idiot! I'm such an idiot!\What kind of an attitude was that? I've only made it harder to give them to him!\Why am I like this?\Morning! response:	Morning, Chitoge! Ichijo!
context: Just as I thought, no joy, huh?\Well, who'd expect her to do something so maidenly anyway?\Why can't I be honest?\Idiot! Idiot! I'm such an idiot!\What kind of an attitude was that? I've only made it harder to give them to him!\Why am I like this?\Morning!\Morning, Chitoge! Ichijo! response:	Hey! Morning!
context: Well, who'd expect her to do something so maidenly anyway?\Why can't I be honest?\Idiot! Idiot! I'm such an idiot!\What kind of an attitude was that? I've only made it harder to give them to him!\Why am I like this?\Morning!\Morning, Chitoge! Ichijo!\Hey! Morning! response:	Morning, Kosaki!
context: Why can't I be honest?\Idiot! Idiot! I'm such an idiot!\What kind of an attitude was that? I've only made it harder to give them to him!\Why am I like this?\Morning!\Morning, Chitoge! Ichijo!\Hey! Morning!\Morning, Kosaki! response:	It's such a nice day today, huh, Ichijo?
context: Idiot! Idiot! I'm such an idiot!\What kind of an attitude was that? I've only made it harder to give them to him!\Why am I like this?\Morning!\Morning, Chitoge! Ichijo!\Hey! Morning!\Morning, Kosaki!\It's such a nice day today, huh, Ichijo? response:	Yeah! I guess it is!
context: What kind of an attitude was that? I've only made it harder to give them to him!\Why am I like this?\Morning!\Morning, Chitoge! Ichijo!\Hey! Morning!\Morning, Kosaki!\It's such a nice day today, huh, Ichijo?\Yeah! I guess it is! response:	End of Conversation
context: Why am I like this?\Morning!\Morning, Chitoge! Ichijo!\Hey! Morning!\Morning, Kosaki!\It's such a nice day today, huh, Ichijo?\Yeah! I guess it is!\End of Conversation response:	Oh, no, what am I gonna do? I'm out of reasons to talk to him!
context: Morning!\Morning, Chitoge! Ichijo!\Hey! Morning!\Morning, Kosaki!\It's such a nice day today, huh, Ichijo?\Yeah! I guess it is!\End of Conversation\Oh, no, what am I gonna do? I'm out of reasons to talk to him! response:	Seriously, at this rate, will I be able to give it to him?
context: Morning, Chitoge! Ichijo!\Hey! Morning!\Morning, Kosaki!\It's such a nice day today, huh, Ichijo?\Yeah! I guess it is!\End of Conversation\Oh, no, what am I gonna do? I'm out of reasons to talk to him!\Seriously, at this rate, will I be able to give it to him? response:	Hmm, Onodera's behaving exactly the way she always does.
context: Hey! Morning!\Morning, Kosaki!\It's such a nice day today, huh, Ichijo?\Yeah! I guess it is!\End of Conversation\Oh, no, what am I gonna do? I'm out of reasons to talk to him!\Seriously, at this rate, will I be able to give it to him?\Hmm, Onodera's behaving exactly the way she always does. response:	Um! If you don't mind, please accept these!
context: Morning, Kosaki!\It's such a nice day today, huh, Ichijo?\Yeah! I guess it is!\End of Conversation\Oh, no, what am I gonna do? I'm out of reasons to talk to him!\Seriously, at this rate, will I be able to give it to him?\Hmm, Onodera's behaving exactly the way she always does.\Um! If you don't mind, please accept these! response:	- She took them! - Good for you!
context: It's such a nice day today, huh, Ichijo?\Yeah! I guess it is!\End of Conversation\Oh, no, what am I gonna do? I'm out of reasons to talk to him!\Seriously, at this rate, will I be able to give it to him?\Hmm, Onodera's behaving exactly the way she always does.\Um! If you don't mind, please accept these!\- She took them! - Good for you! response:	What was that about?
context: Yeah! I guess it is!\End of Conversation\Oh, no, what am I gonna do? I'm out of reasons to talk to him!\Seriously, at this rate, will I be able to give it to him?\Hmm, Onodera's behaving exactly the way she always does.\Um! If you don't mind, please accept these!\- She took them! - Good for you!\What was that about? response:	What do you mean? Of course she gave you Valentine's chocolates.
context: End of Conversation\Oh, no, what am I gonna do? I'm out of reasons to talk to him!\Seriously, at this rate, will I be able to give it to him?\Hmm, Onodera's behaving exactly the way she always does.\Um! If you don't mind, please accept these!\- She took them! - Good for you!\What was that about?\What do you mean? Of course she gave you Valentine's chocolates. response:	Whooo, whooo! That's our little Seishirou! Such a chick-magnet!
context: Oh, no, what am I gonna do? I'm out of reasons to talk to him!\Seriously, at this rate, will I be able to give it to him?\Hmm, Onodera's behaving exactly the way she always does.\Um! If you don't mind, please accept these!\- She took them! - Good for you!\What was that about?\What do you mean? Of course she gave you Valentine's chocolates.\Whooo, whooo! That's our little Seishirou! Such a chick-magnet! response:	What do you mean, Valentine's?
context: Seriously, at this rate, will I be able to give it to him?\Hmm, Onodera's behaving exactly the way she always does.\Um! If you don't mind, please accept these!\- She took them! - Good for you!\What was that about?\What do you mean? Of course she gave you Valentine's chocolates.\Whooo, whooo! That's our little Seishirou! Such a chick-magnet!\What do you mean, Valentine's? response:	What? Don't you know?
context: Hmm, Onodera's behaving exactly the way she always does.\Um! If you don't mind, please accept these!\- She took them! - Good for you!\What was that about?\What do you mean? Of course she gave you Valentine's chocolates.\Whooo, whooo! That's our little Seishirou! Such a chick-magnet!\What do you mean, Valentine's?\What? Don't you know? response:	Valentine's Day, see, is the day that you give chocolates to people you hate!
context: Um! If you don't mind, please accept these!\- She took them! - Good for you!\What was that about?\What do you mean? Of course she gave you Valentine's chocolates.\Whooo, whooo! That's our little Seishirou! Such a chick-magnet!\What do you mean, Valentine's?\What? Don't you know?\Valentine's Day, see, is the day that you give chocolates to people you hate! response:	Huh?
context: - She took them! - Good for you!\What was that about?\What do you mean? Of course she gave you Valentine's chocolates.\Whooo, whooo! That's our little Seishirou! Such a chick-magnet!\What do you mean, Valentine's?\What? Don't you know?\Valentine's Day, see, is the day that you give chocolates to people you hate!\Huh? response:	But I don't remember doing anything to make those girls hate me.
context: What was that about?\What do you mean? Of course she gave you Valentine's chocolates.\Whooo, whooo! That's our little Seishirou! Such a chick-magnet!\What do you mean, Valentine's?\What? Don't you know?\Valentine's Day, see, is the day that you give chocolates to people you hate!\Huh?\But I don't remember doing anything to make those girls hate me. response:	So listen, if you go buy some chocolates for, say, Raku...
context: What do you mean? Of course she gave you Valentine's chocolates.\Whooo, whooo! That's our little Seishirou! Such a chick-magnet!\What do you mean, Valentine's?\What? Don't you know?\Valentine's Day, see, is the day that you give chocolates to people you hate!\Huh?\But I don't remember doing anything to make those girls hate me.\So listen, if you go buy some chocolates for, say, Raku... response:	and give them to him, something good might happen to you!
context: Whooo, whooo! That's our little Seishirou! Such a chick-magnet!\What do you mean, Valentine's?\What? Don't you know?\Valentine's Day, see, is the day that you give chocolates to people you hate!\Huh?\But I don't remember doing anything to make those girls hate me.\So listen, if you go buy some chocolates for, say, Raku...\and give them to him, something good might happen to you! response:	Huh! If that's the case, first of all, I'm giving these chocolates to you.
context: What do you mean, Valentine's?\What? Don't you know?\Valentine's Day, see, is the day that you give chocolates to people you hate!\Huh?\But I don't remember doing anything to make those girls hate me.\So listen, if you go buy some chocolates for, say, Raku...\and give them to him, something good might happen to you!\Huh! If that's the case, first of all, I'm giving these chocolates to you. response:	Take them!
context: What? Don't you know?\Valentine's Day, see, is the day that you give chocolates to people you hate!\Huh?\But I don't remember doing anything to make those girls hate me.\So listen, if you go buy some chocolates for, say, Raku...\and give them to him, something good might happen to you!\Huh! If that's the case, first of all, I'm giving these chocolates to you.\Take them! response:	Huh? I'm quite honored, but...
context: Valentine's Day, see, is the day that you give chocolates to people you hate!\Huh?\But I don't remember doing anything to make those girls hate me.\So listen, if you go buy some chocolates for, say, Raku...\and give them to him, something good might happen to you!\Huh! If that's the case, first of all, I'm giving these chocolates to you.\Take them!\Huh? I'm quite honored, but... response:	Hey, Shu! Got a minute?
context: Huh?\But I don't remember doing anything to make those girls hate me.\So listen, if you go buy some chocolates for, say, Raku...\and give them to him, something good might happen to you!\Huh! If that's the case, first of all, I'm giving these chocolates to you.\Take them!\Huh? I'm quite honored, but...\Hey, Shu! Got a minute? response:	Huh? What? What!?
context: But I don't remember doing anything to make those girls hate me.\So listen, if you go buy some chocolates for, say, Raku...\and give them to him, something good might happen to you!\Huh! If that's the case, first of all, I'm giving these chocolates to you.\Take them!\Huh? I'm quite honored, but...\Hey, Shu! Got a minute?\Huh? What? What!? response:	What is it?
context: So listen, if you go buy some chocolates for, say, Raku...\and give them to him, something good might happen to you!\Huh! If that's the case, first of all, I'm giving these chocolates to you.\Take them!\Huh? I'm quite honored, but...\Hey, Shu! Got a minute?\Huh? What? What!?\What is it? response:	P-Pardon me!
context: and give them to him, something good might happen to you!\Huh! If that's the case, first of all, I'm giving these chocolates to you.\Take them!\Huh? I'm quite honored, but...\Hey, Shu! Got a minute?\Huh? What? What!?\What is it?\P-Pardon me! response:	Huh? Now what was that all about?
context: Huh! If that's the case, first of all, I'm giving these chocolates to you.\Take them!\Huh? I'm quite honored, but...\Hey, Shu! Got a minute?\Huh? What? What!?\What is it?\P-Pardon me!\Huh? Now what was that all about? response:	Oh, boy...
context: Take them!\Huh? I'm quite honored, but...\Hey, Shu! Got a minute?\Huh? What? What!?\What is it?\P-Pardon me!\Huh? Now what was that all about?\Oh, boy... response:	Sorry, Seishiro. I'm going to tell you the truth this time.
context: Huh? I'm quite honored, but...\Hey, Shu! Got a minute?\Huh? What? What!?\What is it?\P-Pardon me!\Huh? Now what was that all about?\Oh, boy...\Sorry, Seishiro. I'm going to tell you the truth this time. response:	Huh?
context: Hey, Shu! Got a minute?\Huh? What? What!?\What is it?\P-Pardon me!\Huh? Now what was that all about?\Oh, boy...\Sorry, Seishiro. I'm going to tell you the truth this time.\Huh? response:	Jeez, what a shock! Who would've guessed that Tsugumi liked Shu?
context: Huh? What? What!?\What is it?\P-Pardon me!\Huh? Now what was that all about?\Oh, boy...\Sorry, Seishiro. I'm going to tell you the truth this time.\Huh?\Jeez, what a shock! Who would've guessed that Tsugumi liked Shu? response:	I never noticed a thing!
context: What is it?\P-Pardon me!\Huh? Now what was that all about?\Oh, boy...\Sorry, Seishiro. I'm going to tell you the truth this time.\Huh?\Jeez, what a shock! Who would've guessed that Tsugumi liked Shu?\I never noticed a thing! response:	I have no clue what goes on in a woman's mind...
context: P-Pardon me!\Huh? Now what was that all about?\Oh, boy...\Sorry, Seishiro. I'm going to tell you the truth this time.\Huh?\Jeez, what a shock! Who would've guessed that Tsugumi liked Shu?\I never noticed a thing!\I have no clue what goes on in a woman's mind... response:	Master Raku! Wherever can you be?
context: Huh? Now what was that all about?\Oh, boy...\Sorry, Seishiro. I'm going to tell you the truth this time.\Huh?\Jeez, what a shock! Who would've guessed that Tsugumi liked Shu?\I never noticed a thing!\I have no clue what goes on in a woman's mind...\Master Raku! Wherever can you be? response:	Hm? Master Raku!
context: Oh, boy...\Sorry, Seishiro. I'm going to tell you the truth this time.\Huh?\Jeez, what a shock! Who would've guessed that Tsugumi liked Shu?\I never noticed a thing!\I have no clue what goes on in a woman's mind...\Master Raku! Wherever can you be?\Hm? Master Raku! response:	Please forgive me, Master Raku! For not quite finishing this on time!
context: Sorry, Seishiro. I'm going to tell you the truth this time.\Huh?\Jeez, what a shock! Who would've guessed that Tsugumi liked Shu?\I never noticed a thing!\I have no clue what goes on in a woman's mind...\Master Raku! Wherever can you be?\Hm? Master Raku!\Please forgive me, Master Raku! For not quite finishing this on time! response:	Huh? You're not getting away, Master Raku!
context: Huh?\Jeez, what a shock! Who would've guessed that Tsugumi liked Shu?\I never noticed a thing!\I have no clue what goes on in a woman's mind...\Master Raku! Wherever can you be?\Hm? Master Raku!\Please forgive me, Master Raku! For not quite finishing this on time!\Huh? You're not getting away, Master Raku! response:	Prepare yourself!
context: Jeez, what a shock! Who would've guessed that Tsugumi liked Shu?\I never noticed a thing!\I have no clue what goes on in a woman's mind...\Master Raku! Wherever can you be?\Hm? Master Raku!\Please forgive me, Master Raku! For not quite finishing this on time!\Huh? You're not getting away, Master Raku!\Prepare yourself! response:	Master Raku!
context: I never noticed a thing!\I have no clue what goes on in a woman's mind...\Master Raku! Wherever can you be?\Hm? Master Raku!\Please forgive me, Master Raku! For not quite finishing this on time!\Huh? You're not getting away, Master Raku!\Prepare yourself!\Master Raku! response:	Please wait up!
context: I have no clue what goes on in a woman's mind...\Master Raku! Wherever can you be?\Hm? Master Raku!\Please forgive me, Master Raku! For not quite finishing this on time!\Huh? You're not getting away, Master Raku!\Prepare yourself!\Master Raku!\Please wait up! response:	She really is amazing, that Marika.
context: Master Raku! Wherever can you be?\Hm? Master Raku!\Please forgive me, Master Raku! For not quite finishing this on time!\Huh? You're not getting away, Master Raku!\Prepare yourself!\Master Raku!\Please wait up!\She really is amazing, that Marika. response:	Being able to voice her feelings so aggressively...
context: Hm? Master Raku!\Please forgive me, Master Raku! For not quite finishing this on time!\Huh? You're not getting away, Master Raku!\Prepare yourself!\Master Raku!\Please wait up!\She really is amazing, that Marika.\Being able to voice her feelings so aggressively... response:	Wait, that's totally wrong! Why am I being such a wimp?
context: Please forgive me, Master Raku! For not quite finishing this on time!\Huh? You're not getting away, Master Raku!\Prepare yourself!\Master Raku!\Please wait up!\She really is amazing, that Marika.\Being able to voice her feelings so aggressively...\Wait, that's totally wrong! Why am I being such a wimp? response:	Didn't I somehow manage to make delicious chocolate, too?
context: Huh? You're not getting away, Master Raku!\Prepare yourself!\Master Raku!\Please wait up!\She really is amazing, that Marika.\Being able to voice her feelings so aggressively...\Wait, that's totally wrong! Why am I being such a wimp?\Didn't I somehow manage to make delicious chocolate, too? response:	I've got to give it my all!
context: Prepare yourself!\Master Raku!\Please wait up!\She really is amazing, that Marika.\Being able to voice her feelings so aggressively...\Wait, that's totally wrong! Why am I being such a wimp?\Didn't I somehow manage to make delicious chocolate, too?\I've got to give it my all! response:	Please stop, Ichijo!
context: Master Raku!\Please wait up!\She really is amazing, that Marika.\Being able to voice her feelings so aggressively...\Wait, that's totally wrong! Why am I being such a wimp?\Didn't I somehow manage to make delicious chocolate, too?\I've got to give it my all!\Please stop, Ichijo! response:	Huh? Onodera...
context: Please wait up!\She really is amazing, that Marika.\Being able to voice her feelings so aggressively...\Wait, that's totally wrong! Why am I being such a wimp?\Didn't I somehow manage to make delicious chocolate, too?\I've got to give it my all!\Please stop, Ichijo!\Huh? Onodera... response:	Um... I... have something for you...
context: She really is amazing, that Marika.\Being able to voice her feelings so aggressively...\Wait, that's totally wrong! Why am I being such a wimp?\Didn't I somehow manage to make delicious chocolate, too?\I've got to give it my all!\Please stop, Ichijo!\Huh? Onodera...\Um... I... have something for you... response:	Onodera! Are you okay?
context: Being able to voice her feelings so aggressively...\Wait, that's totally wrong! Why am I being such a wimp?\Didn't I somehow manage to make delicious chocolate, too?\I've got to give it my all!\Please stop, Ichijo!\Huh? Onodera...\Um... I... have something for you...\Onodera! Are you okay? response:	I'm fine... I'm fine, all right?
context: Wait, that's totally wrong! Why am I being such a wimp?\Didn't I somehow manage to make delicious chocolate, too?\I've got to give it my all!\Please stop, Ichijo!\Huh? Onodera...\Um... I... have something for you...\Onodera! Are you okay?\I'm fine... I'm fine, all right? response:	Onodera?
context: Didn't I somehow manage to make delicious chocolate, too?\I've got to give it my all!\Please stop, Ichijo!\Huh? Onodera...\Um... I... have something for you...\Onodera! Are you okay?\I'm fine... I'm fine, all right?\Onodera? response:	Don't worry, I'm fine!
context: I've got to give it my all!\Please stop, Ichijo!\Huh? Onodera...\Um... I... have something for you...\Onodera! Are you okay?\I'm fine... I'm fine, all right?\Onodera?\Don't worry, I'm fine! response:	Huh?
context: Please stop, Ichijo!\Huh? Onodera...\Um... I... have something for you...\Onodera! Are you okay?\I'm fine... I'm fine, all right?\Onodera?\Don't worry, I'm fine!\Huh? response:	I managed to make this, and now look...
