context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: -with camera robots set around the course! -You don't need me, do you?\Now then-\Can the golden eggs aiming to be future heroes get through the mass of Robo Infernos?!\If they went through all this trouble, I wish they would've prepared something better.\Since my stupid old man is watching.\He stopped them!\Between their legs! We can get through!\I wouldn't if I were you. response:	I froze them when they were unbalanced.
context: Now then-\Can the golden eggs aiming to be future heroes get through the mass of Robo Infernos?!\If they went through all this trouble, I wish they would've prepared something better.\Since my stupid old man is watching.\He stopped them!\Between their legs! We can get through!\I wouldn't if I were you.\I froze them when they were unbalanced. response:	They'll fall over.
context: Can the golden eggs aiming to be future heroes get through the mass of Robo Infernos?!\If they went through all this trouble, I wish they would've prepared something better.\Since my stupid old man is watching.\He stopped them!\Between their legs! We can get through!\I wouldn't if I were you.\I froze them when they were unbalanced.\They'll fall over. response:	The first one through the first barrier is Shoto Todoroki from Class 1-A!
context: If they went through all this trouble, I wish they would've prepared something better.\Since my stupid old man is watching.\He stopped them!\Between their legs! We can get through!\I wouldn't if I were you.\I froze them when they were unbalanced.\They'll fall over.\The first one through the first barrier is Shoto Todoroki from Class 1-A! response:	Hey! Someone's trapped underneath!
context: Since my stupid old man is watching.\He stopped them!\Between their legs! We can get through!\I wouldn't if I were you.\I froze them when they were unbalanced.\They'll fall over.\The first one through the first barrier is Shoto Todoroki from Class 1-A!\Hey! Someone's trapped underneath! response:	Wouldn't that kill them?
context: He stopped them!\Between their legs! We can get through!\I wouldn't if I were you.\I froze them when they were unbalanced.\They'll fall over.\The first one through the first barrier is Shoto Todoroki from Class 1-A!\Hey! Someone's trapped underneath!\Wouldn't that kill them? response:	Will people die at this sports festival?!
context: Between their legs! We can get through!\I wouldn't if I were you.\I froze them when they were unbalanced.\They'll fall over.\The first one through the first barrier is Shoto Todoroki from Class 1-A!\Hey! Someone's trapped underneath!\Wouldn't that kill them?\Will people die at this sports festival?! response:	Like I'd die!
context: I wouldn't if I were you.\I froze them when they were unbalanced.\They'll fall over.\The first one through the first barrier is Shoto Todoroki from Class 1-A!\Hey! Someone's trapped underneath!\Wouldn't that kill them?\Will people die at this sports festival?!\Like I'd die! response:	Kirishima from Class 1-A was underneath! That's crazy!
context: I froze them when they were unbalanced.\They'll fall over.\The first one through the first barrier is Shoto Todoroki from Class 1-A!\Hey! Someone's trapped underneath!\Wouldn't that kill them?\Will people die at this sports festival?!\Like I'd die!\Kirishima from Class 1-A was underneath! That's crazy! response:	That bastard, Todoroki!
context: They'll fall over.\The first one through the first barrier is Shoto Todoroki from Class 1-A!\Hey! Someone's trapped underneath!\Wouldn't that kill them?\Will people die at this sports festival?!\Like I'd die!\Kirishima from Class 1-A was underneath! That's crazy!\That bastard, Todoroki! response:	He timed it on purpose so it'd be right when they fell.
context: The first one through the first barrier is Shoto Todoroki from Class 1-A!\Hey! Someone's trapped underneath!\Wouldn't that kill them?\Will people die at this sports festival?!\Like I'd die!\Kirishima from Class 1-A was underneath! That's crazy!\That bastard, Todoroki!\He timed it on purpose so it'd be right when they fell. response:	If it hadn't been me, someone would've died!
context: Hey! Someone's trapped underneath!\Wouldn't that kill them?\Will people die at this sports festival?!\Like I'd die!\Kirishima from Class 1-A was underneath! That's crazy!\That bastard, Todoroki!\He timed it on purpose so it'd be right when they fell.\If it hadn't been me, someone would've died! response:	Eijiro Kirishima Quirk: Hardening
context: Wouldn't that kill them?\Will people die at this sports festival?!\Like I'd die!\Kirishima from Class 1-A was underneath! That's crazy!\That bastard, Todoroki!\He timed it on purpose so it'd be right when they fell.\If it hadn't been me, someone would've died!\Eijiro Kirishima Quirk: Hardening response:	Eijiro Kirishima! Quirk: Hardening!
context: Will people die at this sports festival?!\Like I'd die!\Kirishima from Class 1-A was underneath! That's crazy!\That bastard, Todoroki!\He timed it on purpose so it'd be right when they fell.\If it hadn't been me, someone would've died!\Eijiro Kirishima Quirk: Hardening\Eijiro Kirishima! Quirk: Hardening! response:	His body can get super hard!
context: Like I'd die!\Kirishima from Class 1-A was underneath! That's crazy!\That bastard, Todoroki!\He timed it on purpose so it'd be right when they fell.\If it hadn't been me, someone would've died!\Eijiro Kirishima Quirk: Hardening\Eijiro Kirishima! Quirk: Hardening!\His body can get super hard! response:	He can become the strongest spear, or the strongest shield!
context: Kirishima from Class 1-A was underneath! That's crazy!\That bastard, Todoroki!\He timed it on purpose so it'd be right when they fell.\If it hadn't been me, someone would've died!\Eijiro Kirishima Quirk: Hardening\Eijiro Kirishima! Quirk: Hardening!\His body can get super hard!\He can become the strongest spear, or the strongest shield! response:	That Class A...
context: That bastard, Todoroki!\He timed it on purpose so it'd be right when they fell.\If it hadn't been me, someone would've died!\Eijiro Kirishima Quirk: Hardening\Eijiro Kirishima! Quirk: Hardening!\His body can get super hard!\He can become the strongest spear, or the strongest shield!\That Class A... response:	Tetsutetsu from Class B was also underneath!
context: He timed it on purpose so it'd be right when they fell.\If it hadn't been me, someone would've died!\Eijiro Kirishima Quirk: Hardening\Eijiro Kirishima! Quirk: Hardening!\His body can get super hard!\He can become the strongest spear, or the strongest shield!\That Class A...\Tetsutetsu from Class B was also underneath! response:	That's crazy!
context: If it hadn't been me, someone would've died!\Eijiro Kirishima Quirk: Hardening\Eijiro Kirishima! Quirk: Hardening!\His body can get super hard!\He can become the strongest spear, or the strongest shield!\That Class A...\Tetsutetsu from Class B was also underneath!\That's crazy! response:	If it hadn't been me, someone would've died!
context: Eijiro Kirishima Quirk: Hardening\Eijiro Kirishima! Quirk: Hardening!\His body can get super hard!\He can become the strongest spear, or the strongest shield!\That Class A...\Tetsutetsu from Class B was also underneath!\That's crazy!\If it hadn't been me, someone would've died! response:	Tetsutetsu Tetsutetsu Quirk: Steel
context: Eijiro Kirishima! Quirk: Hardening!\His body can get super hard!\He can become the strongest spear, or the strongest shield!\That Class A...\Tetsutetsu from Class B was also underneath!\That's crazy!\If it hadn't been me, someone would've died!\Tetsutetsu Tetsutetsu Quirk: Steel response:	Tetsutetsu Tetsutetsu. Quirk: Steel!
context: His body can get super hard!\He can become the strongest spear, or the strongest shield!\That Class A...\Tetsutetsu from Class B was also underneath!\That's crazy!\If it hadn't been me, someone would've died!\Tetsutetsu Tetsutetsu Quirk: Steel\Tetsutetsu Tetsutetsu. Quirk: Steel! response:	His body can become like steel!
context: He can become the strongest spear, or the strongest shield!\That Class A...\Tetsutetsu from Class B was also underneath!\That's crazy!\If it hadn't been me, someone would've died!\Tetsutetsu Tetsutetsu Quirk: Steel\Tetsutetsu Tetsutetsu. Quirk: Steel!\His body can become like steel! response:	He can become the strongest spear, or the strongest shield!
context: That Class A...\Tetsutetsu from Class B was also underneath!\That's crazy!\If it hadn't been me, someone would've died!\Tetsutetsu Tetsutetsu Quirk: Steel\Tetsutetsu Tetsutetsu. Quirk: Steel!\His body can become like steel!\He can become the strongest spear, or the strongest shield! response:	Our Quirks are pretty much the same?!
context: Tetsutetsu from Class B was also underneath!\That's crazy!\If it hadn't been me, someone would've died!\Tetsutetsu Tetsutetsu Quirk: Steel\Tetsutetsu Tetsutetsu. Quirk: Steel!\His body can become like steel!\He can become the strongest spear, or the strongest shield!\Our Quirks are pretty much the same?! response:	I have a hard enough time standing out as it is!
context: That's crazy!\If it hadn't been me, someone would've died!\Tetsutetsu Tetsutetsu Quirk: Steel\Tetsutetsu Tetsutetsu. Quirk: Steel!\His body can become like steel!\He can become the strongest spear, or the strongest shield!\Our Quirks are pretty much the same?!\I have a hard enough time standing out as it is! response:	Wait, you little-!
context: If it hadn't been me, someone would've died!\Tetsutetsu Tetsutetsu Quirk: Steel\Tetsutetsu Tetsutetsu. Quirk: Steel!\His body can become like steel!\He can become the strongest spear, or the strongest shield!\Our Quirks are pretty much the same?!\I have a hard enough time standing out as it is!\Wait, you little-! response:	Those guys are lucky...
context: Tetsutetsu Tetsutetsu Quirk: Steel\Tetsutetsu Tetsutetsu. Quirk: Steel!\His body can become like steel!\He can become the strongest spear, or the strongest shield!\Our Quirks are pretty much the same?!\I have a hard enough time standing out as it is!\Wait, you little-!\Those guys are lucky... response:	They can get through without being afraid of getting crushed.
context: Tetsutetsu Tetsutetsu. Quirk: Steel!\His body can become like steel!\He can become the strongest spear, or the strongest shield!\Our Quirks are pretty much the same?!\I have a hard enough time standing out as it is!\Wait, you little-!\Those guys are lucky...\They can get through without being afraid of getting crushed. response:	Anyway, let's work together for now to clear a path!
context: His body can become like steel!\He can become the strongest spear, or the strongest shield!\Our Quirks are pretty much the same?!\I have a hard enough time standing out as it is!\Wait, you little-!\Those guys are lucky...\They can get through without being afraid of getting crushed.\Anyway, let's work together for now to clear a path! response:	Bakugo?!
context: He can become the strongest spear, or the strongest shield!\Our Quirks are pretty much the same?!\I have a hard enough time standing out as it is!\Wait, you little-!\Those guys are lucky...\They can get through without being afraid of getting crushed.\Anyway, let's work together for now to clear a path!\Bakugo?! response:	Like I'd let you get ahead of me!
context: Our Quirks are pretty much the same?!\I have a hard enough time standing out as it is!\Wait, you little-!\Those guys are lucky...\They can get through without being afraid of getting crushed.\Anyway, let's work together for now to clear a path!\Bakugo?!\Like I'd let you get ahead of me! response:	Class 1-A's Bakugo!
context: I have a hard enough time standing out as it is!\Wait, you little-!\Those guys are lucky...\They can get through without being afraid of getting crushed.\Anyway, let's work together for now to clear a path!\Bakugo?!\Like I'd let you get ahead of me!\Class 1-A's Bakugo! response:	Since the bottom's blocked, he goes overhead!
context: Wait, you little-!\Those guys are lucky...\They can get through without being afraid of getting crushed.\Anyway, let's work together for now to clear a path!\Bakugo?!\Like I'd let you get ahead of me!\Class 1-A's Bakugo!\Since the bottom's blocked, he goes overhead! response:	Clever!
context: Those guys are lucky...\They can get through without being afraid of getting crushed.\Anyway, let's work together for now to clear a path!\Bakugo?!\Like I'd let you get ahead of me!\Class 1-A's Bakugo!\Since the bottom's blocked, he goes overhead!\Clever! response:	You seem like you'd be the type to plow straight through,
context: They can get through without being afraid of getting crushed.\Anyway, let's work together for now to clear a path!\Bakugo?!\Like I'd let you get ahead of me!\Class 1-A's Bakugo!\Since the bottom's blocked, he goes overhead!\Clever!\You seem like you'd be the type to plow straight through, response:	but you can go around when you need to, huh?
context: Anyway, let's work together for now to clear a path!\Bakugo?!\Like I'd let you get ahead of me!\Class 1-A's Bakugo!\Since the bottom's blocked, he goes overhead!\Clever!\You seem like you'd be the type to plow straight through,\but you can go around when you need to, huh? response:	I'm going to hitch a ride!
context: Bakugo?!\Like I'd let you get ahead of me!\Class 1-A's Bakugo!\Since the bottom's blocked, he goes overhead!\Clever!\You seem like you'd be the type to plow straight through,\but you can go around when you need to, huh?\I'm going to hitch a ride! response:	Hanta Sero Quirk: Tape
context: Like I'd let you get ahead of me!\Class 1-A's Bakugo!\Since the bottom's blocked, he goes overhead!\Clever!\You seem like you'd be the type to plow straight through,\but you can go around when you need to, huh?\I'm going to hitch a ride!\Hanta Sero Quirk: Tape response:	Hanta Sero. Quirk: Tape!
context: Class 1-A's Bakugo!\Since the bottom's blocked, he goes overhead!\Clever!\You seem like you'd be the type to plow straight through,\but you can go around when you need to, huh?\I'm going to hitch a ride!\Hanta Sero Quirk: Tape\Hanta Sero. Quirk: Tape! response:	He can shoot tape-like material from his elbows!
context: Since the bottom's blocked, he goes overhead!\Clever!\You seem like you'd be the type to plow straight through,\but you can go around when you need to, huh?\I'm going to hitch a ride!\Hanta Sero Quirk: Tape\Hanta Sero. Quirk: Tape!\He can shoot tape-like material from his elbows! response:	He can also wind it up and use it to move!
context: Clever!\You seem like you'd be the type to plow straight through,\but you can go around when you need to, huh?\I'm going to hitch a ride!\Hanta Sero Quirk: Tape\Hanta Sero. Quirk: Tape!\He can shoot tape-like material from his elbows!\He can also wind it up and use it to move! response:	Land!
context: You seem like you'd be the type to plow straight through,\but you can go around when you need to, huh?\I'm going to hitch a ride!\Hanta Sero Quirk: Tape\Hanta Sero. Quirk: Tape!\He can shoot tape-like material from his elbows!\He can also wind it up and use it to move!\Land! response:	Aye, aye!
context: but you can go around when you need to, huh?\I'm going to hitch a ride!\Hanta Sero Quirk: Tape\Hanta Sero. Quirk: Tape!\He can shoot tape-like material from his elbows!\He can also wind it up and use it to move!\Land!\Aye, aye! response:	Fumikage Tokoyami Quirk: Dark Shadow
context: I'm going to hitch a ride!\Hanta Sero Quirk: Tape\Hanta Sero. Quirk: Tape!\He can shoot tape-like material from his elbows!\He can also wind it up and use it to move!\Land!\Aye, aye!\Fumikage Tokoyami Quirk: Dark Shadow response:	Fumikage Tokoyami. Quirk: Dark Shadow!
context: Hanta Sero Quirk: Tape\Hanta Sero. Quirk: Tape!\He can shoot tape-like material from his elbows!\He can also wind it up and use it to move!\Land!\Aye, aye!\Fumikage Tokoyami Quirk: Dark Shadow\Fumikage Tokoyami. Quirk: Dark Shadow! response:	He's got a shadow-like monster living inside him
context: Hanta Sero. Quirk: Tape!\He can shoot tape-like material from his elbows!\He can also wind it up and use it to move!\Land!\Aye, aye!\Fumikage Tokoyami Quirk: Dark Shadow\Fumikage Tokoyami. Quirk: Dark Shadow!\He's got a shadow-like monster living inside him response:	that can materialize and change shape elastically!
context: He can shoot tape-like material from his elbows!\He can also wind it up and use it to move!\Land!\Aye, aye!\Fumikage Tokoyami Quirk: Dark Shadow\Fumikage Tokoyami. Quirk: Dark Shadow!\He's got a shadow-like monster living inside him\that can materialize and change shape elastically! response:	As expected, most of the group that's gone ahead is from Class A.
context: He can also wind it up and use it to move!\Land!\Aye, aye!\Fumikage Tokoyami Quirk: Dark Shadow\Fumikage Tokoyami. Quirk: Dark Shadow!\He's got a shadow-like monster living inside him\that can materialize and change shape elastically!\As expected, most of the group that's gone ahead is from Class A. response:	Class B and the other courses aren't bad, either!
context: Land!\Aye, aye!\Fumikage Tokoyami Quirk: Dark Shadow\Fumikage Tokoyami. Quirk: Dark Shadow!\He's got a shadow-like monster living inside him\that can materialize and change shape elastically!\As expected, most of the group that's gone ahead is from Class A.\Class B and the other courses aren't bad, either! response:	It's just...
context: Aye, aye!\Fumikage Tokoyami Quirk: Dark Shadow\Fumikage Tokoyami. Quirk: Dark Shadow!\He's got a shadow-like monster living inside him\that can materialize and change shape elastically!\As expected, most of the group that's gone ahead is from Class A.\Class B and the other courses aren't bad, either!\It's just... response:	Those who experienced firsthand
context: Fumikage Tokoyami Quirk: Dark Shadow\Fumikage Tokoyami. Quirk: Dark Shadow!\He's got a shadow-like monster living inside him\that can materialize and change shape elastically!\As expected, most of the group that's gone ahead is from Class A.\Class B and the other courses aren't bad, either!\It's just...\Those who experienced firsthand response:	that world above them through the incident at USJ...
context: Fumikage Tokoyami. Quirk: Dark Shadow!\He's got a shadow-like monster living inside him\that can materialize and change shape elastically!\As expected, most of the group that's gone ahead is from Class A.\Class B and the other courses aren't bad, either!\It's just...\Those who experienced firsthand\that world above them through the incident at USJ... response:	Release!
context: He's got a shadow-like monster living inside him\that can materialize and change shape elastically!\As expected, most of the group that's gone ahead is from Class A.\Class B and the other courses aren't bad, either!\It's just...\Those who experienced firsthand\that world above them through the incident at USJ...\Release! response:	Those who had fear planted in their hearts...
context: that can materialize and change shape elastically!\As expected, most of the group that's gone ahead is from Class A.\Class B and the other courses aren't bad, either!\It's just...\Those who experienced firsthand\that world above them through the incident at USJ...\Release!\Those who had fear planted in their hearts... response:	Those who dealt with it and pulled through...
context: As expected, most of the group that's gone ahead is from Class A.\Class B and the other courses aren't bad, either!\It's just...\Those who experienced firsthand\that world above them through the incident at USJ...\Release!\Those who had fear planted in their hearts...\Those who dealt with it and pulled through... response:	They all used that experience to drown out their hesitation.
context: Class B and the other courses aren't bad, either!\It's just...\Those who experienced firsthand\that world above them through the incident at USJ...\Release!\Those who had fear planted in their hearts...\Those who dealt with it and pulled through...\They all used that experience to drown out their hesitation. response:	I can't rely on One For All this early in the competition!
context: It's just...\Those who experienced firsthand\that world above them through the incident at USJ...\Release!\Those who had fear planted in their hearts...\Those who dealt with it and pulled through...\They all used that experience to drown out their hesitation.\I can't rely on One For All this early in the competition! response:	It's the armor of the one Todoroki defeated!
context: Those who experienced firsthand\that world above them through the incident at USJ...\Release!\Those who had fear planted in their hearts...\Those who dealt with it and pulled through...\They all used that experience to drown out their hesitation.\I can't rely on One For All this early in the competition!\It's the armor of the one Todoroki defeated! response:	That robot will lock onto the target and track it.
context: that world above them through the incident at USJ...\Release!\Those who had fear planted in their hearts...\Those who dealt with it and pulled through...\They all used that experience to drown out their hesitation.\I can't rely on One For All this early in the competition!\It's the armor of the one Todoroki defeated!\That robot will lock onto the target and track it. response:	I'll make it build up momentum...
context: Release!\Those who had fear planted in their hearts...\Those who dealt with it and pulled through...\They all used that experience to drown out their hesitation.\I can't rely on One For All this early in the competition!\It's the armor of the one Todoroki defeated!\That robot will lock onto the target and track it.\I'll make it build up momentum... response:	And then-
context: Those who had fear planted in their hearts...\Those who dealt with it and pulled through...\They all used that experience to drown out their hesitation.\I can't rely on One For All this early in the competition!\It's the armor of the one Todoroki defeated!\That robot will lock onto the target and track it.\I'll make it build up momentum...\And then- response:	It won't be able to stop suddenly!
context: Those who dealt with it and pulled through...\They all used that experience to drown out their hesitation.\I can't rely on One For All this early in the competition!\It's the armor of the one Todoroki defeated!\That robot will lock onto the target and track it.\I'll make it build up momentum...\And then-\It won't be able to stop suddenly! response:	Move! Move!
context: They all used that experience to drown out their hesitation.\I can't rely on One For All this early in the competition!\It's the armor of the one Todoroki defeated!\That robot will lock onto the target and track it.\I'll make it build up momentum...\And then-\It won't be able to stop suddenly!\Move! Move! response:	This can be a shield, too! It'll be useful!
context: I can't rely on One For All this early in the competition!\It's the armor of the one Todoroki defeated!\That robot will lock onto the target and track it.\I'll make it build up momentum...\And then-\It won't be able to stop suddenly!\Move! Move!\This can be a shield, too! It'll be useful! response:	Yaoyorozu!
context: It's the armor of the one Todoroki defeated!\That robot will lock onto the target and track it.\I'll make it build up momentum...\And then-\It won't be able to stop suddenly!\Move! Move!\This can be a shield, too! It'll be useful!\Yaoyorozu! response:	A piece of cake.
context: That robot will lock onto the target and track it.\I'll make it build up momentum...\And then-\It won't be able to stop suddenly!\Move! Move!\This can be a shield, too! It'll be useful!\Yaoyorozu!\A piece of cake. response:	The path is clear!
context: I'll make it build up momentum...\And then-\It won't be able to stop suddenly!\Move! Move!\This can be a shield, too! It'll be useful!\Yaoyorozu!\A piece of cake.\The path is clear! response:	She defeated those zero-point villains so easily?
context: And then-\It won't be able to stop suddenly!\Move! Move!\This can be a shield, too! It'll be useful!\Yaoyorozu!\A piece of cake.\The path is clear!\She defeated those zero-point villains so easily? response:	No wonder she got in through recommendations.
context: It won't be able to stop suddenly!\Move! Move!\This can be a shield, too! It'll be useful!\Yaoyorozu!\A piece of cake.\The path is clear!\She defeated those zero-point villains so easily?\No wonder she got in through recommendations. response:	During the entrance exam, they were there to be avoided.
context: Move! Move!\This can be a shield, too! It'll be useful!\Yaoyorozu!\A piece of cake.\The path is clear!\She defeated those zero-point villains so easily?\No wonder she got in through recommendations.\During the entrance exam, they were there to be avoided. response:	If you see them as things to be defeated, they're dumb hunks of metal.
context: This can be a shield, too! It'll be useful!\Yaoyorozu!\A piece of cake.\The path is clear!\She defeated those zero-point villains so easily?\No wonder she got in through recommendations.\During the entrance exam, they were there to be avoided.\If you see them as things to be defeated, they're dumb hunks of metal. response:	You'll start to see openings.
context: Yaoyorozu!\A piece of cake.\The path is clear!\She defeated those zero-point villains so easily?\No wonder she got in through recommendations.\During the entrance exam, they were there to be avoided.\If you see them as things to be defeated, they're dumb hunks of metal.\You'll start to see openings. response:	I want you to tell the world I am here!
context: A piece of cake.\The path is clear!\She defeated those zero-point villains so easily?\No wonder she got in through recommendations.\During the entrance exam, they were there to be avoided.\If you see them as things to be defeated, they're dumb hunks of metal.\You'll start to see openings.\I want you to tell the world I am here! response:	I told him that even though I knew it'd be unreasonable.
context: The path is clear!\She defeated those zero-point villains so easily?\No wonder she got in through recommendations.\During the entrance exam, they were there to be avoided.\If you see them as things to be defeated, they're dumb hunks of metal.\You'll start to see openings.\I want you to tell the world I am here!\I told him that even though I knew it'd be unreasonable. response:	It doesn't matter if it's close!
context: She defeated those zero-point villains so easily?\No wonder she got in through recommendations.\During the entrance exam, they were there to be avoided.\If you see them as things to be defeated, they're dumb hunks of metal.\You'll start to see openings.\I want you to tell the world I am here!\I told him that even though I knew it'd be unreasonable.\It doesn't matter if it's close! response:	Just get to the next round!
context: No wonder she got in through recommendations.\During the entrance exam, they were there to be avoided.\If you see them as things to be defeated, they're dumb hunks of metal.\You'll start to see openings.\I want you to tell the world I am here!\I told him that even though I knew it'd be unreasonable.\It doesn't matter if it's close!\Just get to the next round! response:	Hey, hey! The first barrier's a piece of cake?
context: During the entrance exam, they were there to be avoided.\If you see them as things to be defeated, they're dumb hunks of metal.\You'll start to see openings.\I want you to tell the world I am here!\I told him that even though I knew it'd be unreasonable.\It doesn't matter if it's close!\Just get to the next round!\Hey, hey! The first barrier's a piece of cake? response:	Then what about the second?
context: If you see them as things to be defeated, they're dumb hunks of metal.\You'll start to see openings.\I want you to tell the world I am here!\I told him that even though I knew it'd be unreasonable.\It doesn't matter if it's close!\Just get to the next round!\Hey, hey! The first barrier's a piece of cake?\Then what about the second? response:	If you fall, you're out!
context: You'll start to see openings.\I want you to tell the world I am here!\I told him that even though I knew it'd be unreasonable.\It doesn't matter if it's close!\Just get to the next round!\Hey, hey! The first barrier's a piece of cake?\Then what about the second?\If you fall, you're out! response:	If you don't wanna fall, then crawl!
