context: My beloved Vieira Sensei... response:	The city where Sensei conducted, Prague...
context: Hey! Look, look! It's Chiaki-sama!\Great, he's heading here!\A- ah, that fourth-year Chiaki-senpai? I don't know why but he's really putting on airs!\That Nani-sama, Ore-sama, Chiaki-sama?\Be quiet, all of you!\Don't give Chiaki-Sama trouble!\Watch your manners, okay? Your manners!\So impressive even for Eto Sensei, who teaches only the super talented in the Piano Division, he's the most favorite. response:	- Really? - I'm so envious...
context: Great, he's heading here!\A- ah, that fourth-year Chiaki-senpai? I don't know why but he's really putting on airs!\That Nani-sama, Ore-sama, Chiaki-sama?\Be quiet, all of you!\Don't give Chiaki-Sama trouble!\Watch your manners, okay? Your manners!\So impressive even for Eto Sensei, who teaches only the super talented in the Piano Division, he's the most favorite.\- Really? - I'm so envious... response:	Yosh! Let's practice our band!
context: A- ah, that fourth-year Chiaki-senpai? I don't know why but he's really putting on airs!\That Nani-sama, Ore-sama, Chiaki-sama?\Be quiet, all of you!\Don't give Chiaki-Sama trouble!\Watch your manners, okay? Your manners!\So impressive even for Eto Sensei, who teaches only the super talented in the Piano Division, he's the most favorite.\- Really? - I'm so envious...\Yosh! Let's practice our band! response:	What are you doing?
context: That Nani-sama, Ore-sama, Chiaki-sama?\Be quiet, all of you!\Don't give Chiaki-Sama trouble!\Watch your manners, okay? Your manners!\So impressive even for Eto Sensei, who teaches only the super talented in the Piano Division, he's the most favorite.\- Really? - I'm so envious...\Yosh! Let's practice our band!\What are you doing? response:	Oh Mine, shall we practice?
context: Be quiet, all of you!\Don't give Chiaki-Sama trouble!\Watch your manners, okay? Your manners!\So impressive even for Eto Sensei, who teaches only the super talented in the Piano Division, he's the most favorite.\- Really? - I'm so envious...\Yosh! Let's practice our band!\What are you doing?\Oh Mine, shall we practice? response:	What Chiaki huh? Just a ray from his father's name!
context: Don't give Chiaki-Sama trouble!\Watch your manners, okay? Your manners!\So impressive even for Eto Sensei, who teaches only the super talented in the Piano Division, he's the most favorite.\- Really? - I'm so envious...\Yosh! Let's practice our band!\What are you doing?\Oh Mine, shall we practice?\What Chiaki huh? Just a ray from his father's name! response:	Hey, is Chiaki-senpai going to have a lesson? Maki-chan, let's go take a little look?
context: Watch your manners, okay? Your manners!\So impressive even for Eto Sensei, who teaches only the super talented in the Piano Division, he's the most favorite.\- Really? - I'm so envious...\Yosh! Let's practice our band!\What are you doing?\Oh Mine, shall we practice?\What Chiaki huh? Just a ray from his father's name!\Hey, is Chiaki-senpai going to have a lesson? Maki-chan, let's go take a little look? response:	I don't mind but...
context: So impressive even for Eto Sensei, who teaches only the super talented in the Piano Division, he's the most favorite.\- Really? - I'm so envious...\Yosh! Let's practice our band!\What are you doing?\Oh Mine, shall we practice?\What Chiaki huh? Just a ray from his father's name!\Hey, is Chiaki-senpai going to have a lesson? Maki-chan, let's go take a little look?\I don't mind but... response:	Before that Reina, Let's have lunch, lunch!
context: - Really? - I'm so envious...\Yosh! Let's practice our band!\What are you doing?\Oh Mine, shall we practice?\What Chiaki huh? Just a ray from his father's name!\Hey, is Chiaki-senpai going to have a lesson? Maki-chan, let's go take a little look?\I don't mind but...\Before that Reina, Let's have lunch, lunch! response:	I bought special limited depachika lunch-box with 20 kinds of dishes...
context: Yosh! Let's practice our band!\What are you doing?\Oh Mine, shall we practice?\What Chiaki huh? Just a ray from his father's name!\Hey, is Chiaki-senpai going to have a lesson? Maki-chan, let's go take a little look?\I don't mind but...\Before that Reina, Let's have lunch, lunch!\I bought special limited depachika lunch-box with 20 kinds of dishes... response:	NODAMEEE!
context: What are you doing?\Oh Mine, shall we practice?\What Chiaki huh? Just a ray from his father's name!\Hey, is Chiaki-senpai going to have a lesson? Maki-chan, let's go take a little look?\I don't mind but...\Before that Reina, Let's have lunch, lunch!\I bought special limited depachika lunch-box with 20 kinds of dishes...\NODAMEEE! response:	Scholar to Germany decided.
context: Oh Mine, shall we practice?\What Chiaki huh? Just a ray from his father's name!\Hey, is Chiaki-senpai going to have a lesson? Maki-chan, let's go take a little look?\I don't mind but...\Before that Reina, Let's have lunch, lunch!\I bought special limited depachika lunch-box with 20 kinds of dishes...\NODAMEEE!\Scholar to Germany decided. response:	Why is such a ham-looking guy going to study abroad?
context: What Chiaki huh? Just a ray from his father's name!\Hey, is Chiaki-senpai going to have a lesson? Maki-chan, let's go take a little look?\I don't mind but...\Before that Reina, Let's have lunch, lunch!\I bought special limited depachika lunch-box with 20 kinds of dishes...\NODAMEEE!\Scholar to Germany decided.\Why is such a ham-looking guy going to study abroad? response:	What am I doing in such a place like this?
context: Hey, is Chiaki-senpai going to have a lesson? Maki-chan, let's go take a little look?\I don't mind but...\Before that Reina, Let's have lunch, lunch!\I bought special limited depachika lunch-box with 20 kinds of dishes...\NODAMEEE!\Scholar to Germany decided.\Why is such a ham-looking guy going to study abroad?\What am I doing in such a place like this? response:	Dammit
context: I don't mind but...\Before that Reina, Let's have lunch, lunch!\I bought special limited depachika lunch-box with 20 kinds of dishes...\NODAMEEE!\Scholar to Germany decided.\Why is such a ham-looking guy going to study abroad?\What am I doing in such a place like this?\Dammit response:	WHAT ARE YOU DOING HUH?!
context: Before that Reina, Let's have lunch, lunch!\I bought special limited depachika lunch-box with 20 kinds of dishes...\NODAMEEE!\Scholar to Germany decided.\Why is such a ham-looking guy going to study abroad?\What am I doing in such a place like this?\Dammit\WHAT ARE YOU DOING HUH?! response:	Don't get excited by yourself then give it up by yourself too!
context: I bought special limited depachika lunch-box with 20 kinds of dishes...\NODAMEEE!\Scholar to Germany decided.\Why is such a ham-looking guy going to study abroad?\What am I doing in such a place like this?\Dammit\WHAT ARE YOU DOING HUH?!\Don't get excited by yourself then give it up by yourself too! response:	Do you really want to do it or not, stupid!
context: NODAMEEE!\Scholar to Germany decided.\Why is such a ham-looking guy going to study abroad?\What am I doing in such a place like this?\Dammit\WHAT ARE YOU DOING HUH?!\Don't get excited by yourself then give it up by yourself too!\Do you really want to do it or not, stupid! response:	After selecting you for the Maradona Piano Competition in December, do you intend to smear my face with mud?
context: Scholar to Germany decided.\Why is such a ham-looking guy going to study abroad?\What am I doing in such a place like this?\Dammit\WHAT ARE YOU DOING HUH?!\Don't get excited by yourself then give it up by yourself too!\Do you really want to do it or not, stupid!\After selecting you for the Maradona Piano Competition in December, do you intend to smear my face with mud? response:	Isn't this your last competition in the university?
context: Why is such a ham-looking guy going to study abroad?\What am I doing in such a place like this?\Dammit\WHAT ARE YOU DOING HUH?!\Don't get excited by yourself then give it up by yourself too!\Do you really want to do it or not, stupid!\After selecting you for the Maradona Piano Competition in December, do you intend to smear my face with mud?\Isn't this your last competition in the university? response:	The piece is by Beethoven whom you love...
context: What am I doing in such a place like this?\Dammit\WHAT ARE YOU DOING HUH?!\Don't get excited by yourself then give it up by yourself too!\Do you really want to do it or not, stupid!\After selecting you for the Maradona Piano Competition in December, do you intend to smear my face with mud?\Isn't this your last competition in the university?\The piece is by Beethoven whom you love... response:	What's this?
context: Dammit\WHAT ARE YOU DOING HUH?!\Don't get excited by yourself then give it up by yourself too!\Do you really want to do it or not, stupid!\After selecting you for the Maradona Piano Competition in December, do you intend to smear my face with mud?\Isn't this your last competition in the university?\The piece is by Beethoven whom you love...\What's this? response:	Score?
context: WHAT ARE YOU DOING HUH?!\Don't get excited by yourself then give it up by yourself too!\Do you really want to do it or not, stupid!\After selecting you for the Maradona Piano Competition in December, do you intend to smear my face with mud?\Isn't this your last competition in the university?\The piece is by Beethoven whom you love...\What's this?\Score? response:	Why does a piano student like you have score sheets for Conductors?
context: Don't get excited by yourself then give it up by yourself too!\Do you really want to do it or not, stupid!\After selecting you for the Maradona Piano Competition in December, do you intend to smear my face with mud?\Isn't this your last competition in the university?\The piece is by Beethoven whom you love...\What's this?\Score?\Why does a piano student like you have score sheets for Conductors? response:	You...do you want to be a Conductor, huh?
context: Do you really want to do it or not, stupid!\After selecting you for the Maradona Piano Competition in December, do you intend to smear my face with mud?\Isn't this your last competition in the university?\The piece is by Beethoven whom you love...\What's this?\Score?\Why does a piano student like you have score sheets for Conductors?\You...do you want to be a Conductor, huh? response:	THAT'S NO JOKE! YOU DON'T EVEN PLAY THE PIANO RIGHT... STUPID...
context: After selecting you for the Maradona Piano Competition in December, do you intend to smear my face with mud?\Isn't this your last competition in the university?\The piece is by Beethoven whom you love...\What's this?\Score?\Why does a piano student like you have score sheets for Conductors?\You...do you want to be a Conductor, huh?\THAT'S NO JOKE! YOU DON'T EVEN PLAY THE PIANO RIGHT... STUPID... response:	STOP IT, JIJI! Shouting and yelling like a loan-shark demanding borrowed money!
context: Isn't this your last competition in the university?\The piece is by Beethoven whom you love...\What's this?\Score?\Why does a piano student like you have score sheets for Conductors?\You...do you want to be a Conductor, huh?\THAT'S NO JOKE! YOU DON'T EVEN PLAY THE PIANO RIGHT... STUPID...\STOP IT, JIJI! Shouting and yelling like a loan-shark demanding borrowed money! response:	What elite specialist Eto-Juku? Repeating forte! forte! confuoco! like some dumb people
context: The piece is by Beethoven whom you love...\What's this?\Score?\Why does a piano student like you have score sheets for Conductors?\You...do you want to be a Conductor, huh?\THAT'S NO JOKE! YOU DON'T EVEN PLAY THE PIANO RIGHT... STUPID...\STOP IT, JIJI! Shouting and yelling like a loan-shark demanding borrowed money!\What elite specialist Eto-Juku? Repeating forte! forte! confuoco! like some dumb people response:	All your students play the piano the same way!
context: What's this?\Score?\Why does a piano student like you have score sheets for Conductors?\You...do you want to be a Conductor, huh?\THAT'S NO JOKE! YOU DON'T EVEN PLAY THE PIANO RIGHT... STUPID...\STOP IT, JIJI! Shouting and yelling like a loan-shark demanding borrowed money!\What elite specialist Eto-Juku? Repeating forte! forte! confuoco! like some dumb people\All your students play the piano the same way! response:	Disgusting!
context: Score?\Why does a piano student like you have score sheets for Conductors?\You...do you want to be a Conductor, huh?\THAT'S NO JOKE! YOU DON'T EVEN PLAY THE PIANO RIGHT... STUPID...\STOP IT, JIJI! Shouting and yelling like a loan-shark demanding borrowed money!\What elite specialist Eto-Juku? Repeating forte! forte! confuoco! like some dumb people\All your students play the piano the same way!\Disgusting! response:	If you admit my talent, don't teach redundant things!
context: Why does a piano student like you have score sheets for Conductors?\You...do you want to be a Conductor, huh?\THAT'S NO JOKE! YOU DON'T EVEN PLAY THE PIANO RIGHT... STUPID...\STOP IT, JIJI! Shouting and yelling like a loan-shark demanding borrowed money!\What elite specialist Eto-Juku? Repeating forte! forte! confuoco! like some dumb people\All your students play the piano the same way!\Disgusting!\If you admit my talent, don't teach redundant things! response:	Is that all you want to say?
context: You...do you want to be a Conductor, huh?\THAT'S NO JOKE! YOU DON'T EVEN PLAY THE PIANO RIGHT... STUPID...\STOP IT, JIJI! Shouting and yelling like a loan-shark demanding borrowed money!\What elite specialist Eto-Juku? Repeating forte! forte! confuoco! like some dumb people\All your students play the piano the same way!\Disgusting!\If you admit my talent, don't teach redundant things!\Is that all you want to say? response:	Shall I say more?
context: THAT'S NO JOKE! YOU DON'T EVEN PLAY THE PIANO RIGHT... STUPID...\STOP IT, JIJI! Shouting and yelling like a loan-shark demanding borrowed money!\What elite specialist Eto-Juku? Repeating forte! forte! confuoco! like some dumb people\All your students play the piano the same way!\Disgusting!\If you admit my talent, don't teach redundant things!\Is that all you want to say?\Shall I say more? response:	No... it's enough...
context: STOP IT, JIJI! Shouting and yelling like a loan-shark demanding borrowed money!\What elite specialist Eto-Juku? Repeating forte! forte! confuoco! like some dumb people\All your students play the piano the same way!\Disgusting!\If you admit my talent, don't teach redundant things!\Is that all you want to say?\Shall I say more?\No... it's enough... response:	I got it...
context: What elite specialist Eto-Juku? Repeating forte! forte! confuoco! like some dumb people\All your students play the piano the same way!\Disgusting!\If you admit my talent, don't teach redundant things!\Is that all you want to say?\Shall I say more?\No... it's enough...\I got it... response:	So don't come to my lesson anymore
context: All your students play the piano the same way!\Disgusting!\If you admit my talent, don't teach redundant things!\Is that all you want to say?\Shall I say more?\No... it's enough...\I got it...\So don't come to my lesson anymore response:	I'll ask another student to appear in the competition
context: Disgusting!\If you admit my talent, don't teach redundant things!\Is that all you want to say?\Shall I say more?\No... it's enough...\I got it...\So don't come to my lesson anymore\I'll ask another student to appear in the competition response:	You won't do...
context: If you admit my talent, don't teach redundant things!\Is that all you want to say?\Shall I say more?\No... it's enough...\I got it...\So don't come to my lesson anymore\I'll ask another student to appear in the competition\You won't do... response:	My mistake in judging you...
context: Is that all you want to say?\Shall I say more?\No... it's enough...\I got it...\So don't come to my lesson anymore\I'll ask another student to appear in the competition\You won't do...\My mistake in judging you... response:	Good bye
context: Shall I say more?\No... it's enough...\I got it...\So don't come to my lesson anymore\I'll ask another student to appear in the competition\You won't do...\My mistake in judging you...\Good bye response:	That's right.
context: No... it's enough...\I got it...\So don't come to my lesson anymore\I'll ask another student to appear in the competition\You won't do...\My mistake in judging you...\Good bye\That's right. response:	I want to be a Conductor
context: I got it...\So don't come to my lesson anymore\I'll ask another student to appear in the competition\You won't do...\My mistake in judging you...\Good bye\That's right.\I want to be a Conductor response:	Beethoven, Piano Sonata, Pathetique...
context: So don't come to my lesson anymore\I'll ask another student to appear in the competition\You won't do...\My mistake in judging you...\Good bye\That's right.\I want to be a Conductor\Beethoven, Piano Sonata, Pathetique... response:	playing it extremely messily...
context: I'll ask another student to appear in the competition\You won't do...\My mistake in judging you...\Good bye\That's right.\I want to be a Conductor\Beethoven, Piano Sonata, Pathetique...\playing it extremely messily... response:	this is truly pathetic...
context: You won't do...\My mistake in judging you...\Good bye\That's right.\I want to be a Conductor\Beethoven, Piano Sonata, Pathetique...\playing it extremely messily...\this is truly pathetic... response:	No!
context: My mistake in judging you...\Good bye\That's right.\I want to be a Conductor\Beethoven, Piano Sonata, Pathetique...\playing it extremely messily...\this is truly pathetic...\No! response:	Although messy, it was not making a mistake
context: Good bye\That's right.\I want to be a Conductor\Beethoven, Piano Sonata, Pathetique...\playing it extremely messily...\this is truly pathetic...\No!\Although messy, it was not making a mistake response:	Wonderful!
context: That's right.\I want to be a Conductor\Beethoven, Piano Sonata, Pathetique...\playing it extremely messily...\this is truly pathetic...\No!\Although messy, it was not making a mistake\Wonderful! response:	What's this!
context: I want to be a Conductor\Beethoven, Piano Sonata, Pathetique...\playing it extremely messily...\this is truly pathetic...\No!\Although messy, it was not making a mistake\Wonderful!\What's this! response:	Who is playing this?
context: Beethoven, Piano Sonata, Pathetique...\playing it extremely messily...\this is truly pathetic...\No!\Although messy, it was not making a mistake\Wonderful!\What's this!\Who is playing this? response:	Shinichi!
context: playing it extremely messily...\this is truly pathetic...\No!\Although messy, it was not making a mistake\Wonderful!\What's this!\Who is playing this?\Shinichi! response:	Is it true that you got dropped by Eto-sensei?
context: this is truly pathetic...\No!\Although messy, it was not making a mistake\Wonderful!\What's this!\Who is playing this?\Shinichi!\Is it true that you got dropped by Eto-sensei? response:	Saiko.
context: No!\Although messy, it was not making a mistake\Wonderful!\What's this!\Who is playing this?\Shinichi!\Is it true that you got dropped by Eto-sensei?\Saiko. response:	Go and apologize to Eto Sensei.
context: Although messy, it was not making a mistake\Wonderful!\What's this!\Who is playing this?\Shinichi!\Is it true that you got dropped by Eto-sensei?\Saiko.\Go and apologize to Eto Sensei. response:	Why?
context: Wonderful!\What's this!\Who is playing this?\Shinichi!\Is it true that you got dropped by Eto-sensei?\Saiko.\Go and apologize to Eto Sensei.\Why? response:	Why? Although that Sensei is strict, he's the most talented and famous teacher in our Academy
context: What's this!\Who is playing this?\Shinichi!\Is it true that you got dropped by Eto-sensei?\Saiko.\Go and apologize to Eto Sensei.\Why?\Why? Although that Sensei is strict, he's the most talented and famous teacher in our Academy response:	After graduation Shinichi, you intend to go to Graduate School, right?
context: Who is playing this?\Shinichi!\Is it true that you got dropped by Eto-sensei?\Saiko.\Go and apologize to Eto Sensei.\Why?\Why? Although that Sensei is strict, he's the most talented and famous teacher in our Academy\After graduation Shinichi, you intend to go to Graduate School, right? response:	Just when you got a chance from him!
context: Shinichi!\Is it true that you got dropped by Eto-sensei?\Saiko.\Go and apologize to Eto Sensei.\Why?\Why? Although that Sensei is strict, he's the most talented and famous teacher in our Academy\After graduation Shinichi, you intend to go to Graduate School, right?\Just when you got a chance from him! response:	That's OK...about Graduate School
context: Is it true that you got dropped by Eto-sensei?\Saiko.\Go and apologize to Eto Sensei.\Why?\Why? Although that Sensei is strict, he's the most talented and famous teacher in our Academy\After graduation Shinichi, you intend to go to Graduate School, right?\Just when you got a chance from him!\That's OK...about Graduate School response:	I don't intend to be a pianist anyway.
context: Saiko.\Go and apologize to Eto Sensei.\Why?\Why? Although that Sensei is strict, he's the most talented and famous teacher in our Academy\After graduation Shinichi, you intend to go to Graduate School, right?\Just when you got a chance from him!\That's OK...about Graduate School\I don't intend to be a pianist anyway. response:	Then you should have gone to the Conductor Division from the start!
context: Go and apologize to Eto Sensei.\Why?\Why? Although that Sensei is strict, he's the most talented and famous teacher in our Academy\After graduation Shinichi, you intend to go to Graduate School, right?\Just when you got a chance from him!\That's OK...about Graduate School\I don't intend to be a pianist anyway.\Then you should have gone to the Conductor Division from the start! response:	Even if I suddenly went to the Conductor Division, in reality it doesn't necessarily mean that I'll get a chance to conduct.
context: Why?\Why? Although that Sensei is strict, he's the most talented and famous teacher in our Academy\After graduation Shinichi, you intend to go to Graduate School, right?\Just when you got a chance from him!\That's OK...about Graduate School\I don't intend to be a pianist anyway.\Then you should have gone to the Conductor Division from the start!\Even if I suddenly went to the Conductor Division, in reality it doesn't necessarily mean that I'll get a chance to conduct. response:	Besides, I get to study conducting properly on my own
context: Why? Although that Sensei is strict, he's the most talented and famous teacher in our Academy\After graduation Shinichi, you intend to go to Graduate School, right?\Just when you got a chance from him!\That's OK...about Graduate School\I don't intend to be a pianist anyway.\Then you should have gone to the Conductor Division from the start!\Even if I suddenly went to the Conductor Division, in reality it doesn't necessarily mean that I'll get a chance to conduct.\Besides, I get to study conducting properly on my own response:	Furthermore, my teacher could only be Vieira-Sensei.
context: After graduation Shinichi, you intend to go to Graduate School, right?\Just when you got a chance from him!\That's OK...about Graduate School\I don't intend to be a pianist anyway.\Then you should have gone to the Conductor Division from the start!\Even if I suddenly went to the Conductor Division, in reality it doesn't necessarily mean that I'll get a chance to conduct.\Besides, I get to study conducting properly on my own\Furthermore, my teacher could only be Vieira-Sensei. response:	I don't want to be unnecessarily indebted to other people
context: Just when you got a chance from him!\That's OK...about Graduate School\I don't intend to be a pianist anyway.\Then you should have gone to the Conductor Division from the start!\Even if I suddenly went to the Conductor Division, in reality it doesn't necessarily mean that I'll get a chance to conduct.\Besides, I get to study conducting properly on my own\Furthermore, my teacher could only be Vieira-Sensei.\I don't want to be unnecessarily indebted to other people response:	Then you should quickly just study abroad.
context: That's OK...about Graduate School\I don't intend to be a pianist anyway.\Then you should have gone to the Conductor Division from the start!\Even if I suddenly went to the Conductor Division, in reality it doesn't necessarily mean that I'll get a chance to conduct.\Besides, I get to study conducting properly on my own\Furthermore, my teacher could only be Vieira-Sensei.\I don't want to be unnecessarily indebted to other people\Then you should quickly just study abroad. response:	So stupid, aren't you? To be so scared of planes that you can't get into one...
context: I don't intend to be a pianist anyway.\Then you should have gone to the Conductor Division from the start!\Even if I suddenly went to the Conductor Division, in reality it doesn't necessarily mean that I'll get a chance to conduct.\Besides, I get to study conducting properly on my own\Furthermore, my teacher could only be Vieira-Sensei.\I don't want to be unnecessarily indebted to other people\Then you should quickly just study abroad.\So stupid, aren't you? To be so scared of planes that you can't get into one... response:	Just having the experience of a rough emergency landing ONCE, what's the big deal?
context: Then you should have gone to the Conductor Division from the start!\Even if I suddenly went to the Conductor Division, in reality it doesn't necessarily mean that I'll get a chance to conduct.\Besides, I get to study conducting properly on my own\Furthermore, my teacher could only be Vieira-Sensei.\I don't want to be unnecessarily indebted to other people\Then you should quickly just study abroad.\So stupid, aren't you? To be so scared of planes that you can't get into one...\Just having the experience of a rough emergency landing ONCE, what's the big deal? response:	On top of that, because of the trauma drowning in the sea, you can't go by ship either!
