context: I doubt even Shiroe predicted this. response:	Looks like I won't be able to watch over them from hiding anymore.
context: I understand.\Even if you succeed in repelling them,\the damage to the city and surroundings could make life after the battle very difficult.\Yes!\We can't use telepathy, so keep your party chat open and bring Isuzu here.\Roger.\The Red Night\The Red Night. response:	The enemy levels aren't high, but there are so many...
context: Even if you succeed in repelling them,\the damage to the city and surroundings could make life after the battle very difficult.\Yes!\We can't use telepathy, so keep your party chat open and bring Isuzu here.\Roger.\The Red Night\The Red Night.\The enemy levels aren't high, but there are so many... response:	But we have to go.
context: the damage to the city and surroundings could make life after the battle very difficult.\Yes!\We can't use telepathy, so keep your party chat open and bring Isuzu here.\Roger.\The Red Night\The Red Night.\The enemy levels aren't high, but there are so many...\But we have to go. response:	Will Roe 2 be okay?
context: Yes!\We can't use telepathy, so keep your party chat open and bring Isuzu here.\Roger.\The Red Night\The Red Night.\The enemy levels aren't high, but there are so many...\But we have to go.\Will Roe 2 be okay? response:	She's stronger than we are!
context: We can't use telepathy, so keep your party chat open and bring Isuzu here.\Roger.\The Red Night\The Red Night.\The enemy levels aren't high, but there are so many...\But we have to go.\Will Roe 2 be okay?\She's stronger than we are! response:	This way! Hurry!
context: Roger.\The Red Night\The Red Night.\The enemy levels aren't high, but there are so many...\But we have to go.\Will Roe 2 be okay?\She's stronger than we are!\This way! Hurry! response:	Don't let go of my hand.
context: The Red Night\The Red Night.\The enemy levels aren't high, but there are so many...\But we have to go.\Will Roe 2 be okay?\She's stronger than we are!\This way! Hurry!\Don't let go of my hand. response:	Come on, hurry!
context: The Red Night.\The enemy levels aren't high, but there are so many...\But we have to go.\Will Roe 2 be okay?\She's stronger than we are!\This way! Hurry!\Don't let go of my hand.\Come on, hurry! response:	Serara?
context: The enemy levels aren't high, but there are so many...\But we have to go.\Will Roe 2 be okay?\She's stronger than we are!\This way! Hurry!\Don't let go of my hand.\Come on, hurry!\Serara? response:	They're surprisingly calm.
context: But we have to go.\Will Roe 2 be okay?\She's stronger than we are!\This way! Hurry!\Don't let go of my hand.\Come on, hurry!\Serara?\They're surprisingly calm. response:	Come to think of it...
context: Will Roe 2 be okay?\She's stronger than we are!\This way! Hurry!\Don't let go of my hand.\Come on, hurry!\Serara?\They're surprisingly calm.\Come to think of it... response:	The Odyssey Knights...
context: She's stronger than we are!\This way! Hurry!\Don't let go of my hand.\Come on, hurry!\Serara?\They're surprisingly calm.\Come to think of it...\The Odyssey Knights... response:	They're going to fight the wyverns.
context: This way! Hurry!\Don't let go of my hand.\Come on, hurry!\Serara?\They're surprisingly calm.\Come to think of it...\The Odyssey Knights...\They're going to fight the wyverns. response:	That's why the townspeople aren't worried.
context: Don't let go of my hand.\Come on, hurry!\Serara?\They're surprisingly calm.\Come to think of it...\The Odyssey Knights...\They're going to fight the wyverns.\That's why the townspeople aren't worried. response:	We should hurry, too!
context: Come on, hurry!\Serara?\They're surprisingly calm.\Come to think of it...\The Odyssey Knights...\They're going to fight the wyverns.\That's why the townspeople aren't worried.\We should hurry, too! response:	Miss Isuzu...
context: Serara?\They're surprisingly calm.\Come to think of it...\The Odyssey Knights...\They're going to fight the wyverns.\That's why the townspeople aren't worried.\We should hurry, too!\Miss Isuzu... response:	Miss Isuzu?
context: They're surprisingly calm.\Come to think of it...\The Odyssey Knights...\They're going to fight the wyverns.\That's why the townspeople aren't worried.\We should hurry, too!\Miss Isuzu...\Miss Isuzu? response:	I wonder if the battle's already started.
context: Come to think of it...\The Odyssey Knights...\They're going to fight the wyverns.\That's why the townspeople aren't worried.\We should hurry, too!\Miss Isuzu...\Miss Isuzu?\I wonder if the battle's already started. response:	Miss Isuzu?
context: The Odyssey Knights...\They're going to fight the wyverns.\That's why the townspeople aren't worried.\We should hurry, too!\Miss Isuzu...\Miss Isuzu?\I wonder if the battle's already started.\Miss Isuzu? response:	What?
context: They're going to fight the wyverns.\That's why the townspeople aren't worried.\We should hurry, too!\Miss Isuzu...\Miss Isuzu?\I wonder if the battle's already started.\Miss Isuzu?\What? response:	As long as I, Rundel Haus Code, am here, it'll be okay!
context: That's why the townspeople aren't worried.\We should hurry, too!\Miss Isuzu...\Miss Isuzu?\I wonder if the battle's already started.\Miss Isuzu?\What?\As long as I, Rundel Haus Code, am here, it'll be okay! response:	The town of Safil, Miss Minori, Miss Serara, and you, Miss Isuzu...
context: We should hurry, too!\Miss Isuzu...\Miss Isuzu?\I wonder if the battle's already started.\Miss Isuzu?\What?\As long as I, Rundel Haus Code, am here, it'll be okay!\The town of Safil, Miss Minori, Miss Serara, and you, Miss Isuzu... response:	The passionate light of my orb of love will
context: Miss Isuzu...\Miss Isuzu?\I wonder if the battle's already started.\Miss Isuzu?\What?\As long as I, Rundel Haus Code, am here, it'll be okay!\The town of Safil, Miss Minori, Miss Serara, and you, Miss Isuzu...\The passionate light of my orb of love will response:	Now isn't the time to screw around!
context: Miss Isuzu?\I wonder if the battle's already started.\Miss Isuzu?\What?\As long as I, Rundel Haus Code, am here, it'll be okay!\The town of Safil, Miss Minori, Miss Serara, and you, Miss Isuzu...\The passionate light of my orb of love will\Now isn't the time to screw around! response:	Miss Isuzu...
context: I wonder if the battle's already started.\Miss Isuzu?\What?\As long as I, Rundel Haus Code, am here, it'll be okay!\The town of Safil, Miss Minori, Miss Serara, and you, Miss Isuzu...\The passionate light of my orb of love will\Now isn't the time to screw around!\Miss Isuzu... response:	What now?
context: Miss Isuzu?\What?\As long as I, Rundel Haus Code, am here, it'll be okay!\The town of Safil, Miss Minori, Miss Serara, and you, Miss Isuzu...\The passionate light of my orb of love will\Now isn't the time to screw around!\Miss Isuzu...\What now? response:	Wh-What is this?
context: What?\As long as I, Rundel Haus Code, am here, it'll be okay!\The town of Safil, Miss Minori, Miss Serara, and you, Miss Isuzu...\The passionate light of my orb of love will\Now isn't the time to screw around!\Miss Isuzu...\What now?\Wh-What is this? response:	A Skylark Shoes spell.
context: As long as I, Rundel Haus Code, am here, it'll be okay!\The town of Safil, Miss Minori, Miss Serara, and you, Miss Isuzu...\The passionate light of my orb of love will\Now isn't the time to screw around!\Miss Isuzu...\What now?\Wh-What is this?\A Skylark Shoes spell. response:	At my level, you can't fly,
context: The town of Safil, Miss Minori, Miss Serara, and you, Miss Isuzu...\The passionate light of my orb of love will\Now isn't the time to screw around!\Miss Isuzu...\What now?\Wh-What is this?\A Skylark Shoes spell.\At my level, you can't fly, response:	but it'll raise your movement speed regardless of bad terrain.
context: The passionate light of my orb of love will\Now isn't the time to screw around!\Miss Isuzu...\What now?\Wh-What is this?\A Skylark Shoes spell.\At my level, you can't fly,\but it'll raise your movement speed regardless of bad terrain. response:	So I'll be faster?
context: Now isn't the time to screw around!\Miss Isuzu...\What now?\Wh-What is this?\A Skylark Shoes spell.\At my level, you can't fly,\but it'll raise your movement speed regardless of bad terrain.\So I'll be faster? response:	Indeed.
context: Miss Isuzu...\What now?\Wh-What is this?\A Skylark Shoes spell.\At my level, you can't fly,\but it'll raise your movement speed regardless of bad terrain.\So I'll be faster?\Indeed. response:	This is great!
context: What now?\Wh-What is this?\A Skylark Shoes spell.\At my level, you can't fly,\but it'll raise your movement speed regardless of bad terrain.\So I'll be faster?\Indeed.\This is great! response:	I'm a genius, you know!
context: Wh-What is this?\A Skylark Shoes spell.\At my level, you can't fly,\but it'll raise your movement speed regardless of bad terrain.\So I'll be faster?\Indeed.\This is great!\I'm a genius, you know! response:	Don't get cocky.
context: A Skylark Shoes spell.\At my level, you can't fly,\but it'll raise your movement speed regardless of bad terrain.\So I'll be faster?\Indeed.\This is great!\I'm a genius, you know!\Don't get cocky. response:	Let's go!
context: At my level, you can't fly,\but it'll raise your movement speed regardless of bad terrain.\So I'll be faster?\Indeed.\This is great!\I'm a genius, you know!\Don't get cocky.\Let's go! response:	Yeah!
context: but it'll raise your movement speed regardless of bad terrain.\So I'll be faster?\Indeed.\This is great!\I'm a genius, you know!\Don't get cocky.\Let's go!\Yeah! response:	What is this?
context: So I'll be faster?\Indeed.\This is great!\I'm a genius, you know!\Don't get cocky.\Let's go!\Yeah!\What is this? response:	What's going on?
context: Indeed.\This is great!\I'm a genius, you know!\Don't get cocky.\Let's go!\Yeah!\What is this?\What's going on? response:	Over here! Look at me!
context: This is great!\I'm a genius, you know!\Don't get cocky.\Let's go!\Yeah!\What is this?\What's going on?\Over here! Look at me! response:	Over here!
context: I'm a genius, you know!\Don't get cocky.\Let's go!\Yeah!\What is this?\What's going on?\Over here! Look at me!\Over here! response:	Tohya... Tohya...
context: Don't get cocky.\Let's go!\Yeah!\What is this?\What's going on?\Over here! Look at me!\Over here!\Tohya... Tohya... response:	Look over here!
context: Let's go!\Yeah!\What is this?\What's going on?\Over here! Look at me!\Over here!\Tohya... Tohya...\Look over here! response:	My turn next!
context: Yeah!\What is this?\What's going on?\Over here! Look at me!\Over here!\Tohya... Tohya...\Look over here!\My turn next! response:	Anchor Howl!
context: What is this?\What's going on?\Over here! Look at me!\Over here!\Tohya... Tohya...\Look over here!\My turn next!\Anchor Howl! response:	Wow, Shunichi!
context: What's going on?\Over here! Look at me!\Over here!\Tohya... Tohya...\Look over here!\My turn next!\Anchor Howl!\Wow, Shunichi! response:	Let me play, too!
context: Over here! Look at me!\Over here!\Tohya... Tohya...\Look over here!\My turn next!\Anchor Howl!\Wow, Shunichi!\Let me play, too! response:	Me, too!
context: Over here!\Tohya... Tohya...\Look over here!\My turn next!\Anchor Howl!\Wow, Shunichi!\Let me play, too!\Me, too! response:	There's no plan, no teamwork... Nothing!
context: Tohya... Tohya...\Look over here!\My turn next!\Anchor Howl!\Wow, Shunichi!\Let me play, too!\Me, too!\There's no plan, no teamwork... Nothing! response:	This is crazy.
context: Look over here!\My turn next!\Anchor Howl!\Wow, Shunichi!\Let me play, too!\Me, too!\There's no plan, no teamwork... Nothing!\This is crazy. response:	They're building up as much aggro as they can.
context: My turn next!\Anchor Howl!\Wow, Shunichi!\Let me play, too!\Me, too!\There's no plan, no teamwork... Nothing!\This is crazy.\They're building up as much aggro as they can. response:	What is this?
context: Anchor Howl!\Wow, Shunichi!\Let me play, too!\Me, too!\There's no plan, no teamwork... Nothing!\This is crazy.\They're building up as much aggro as they can.\What is this? response:	What are they doing?
context: Wow, Shunichi!\Let me play, too!\Me, too!\There's no plan, no teamwork... Nothing!\This is crazy.\They're building up as much aggro as they can.\What is this?\What are they doing? response:	I'm here!
context: Let me play, too!\Me, too!\There's no plan, no teamwork... Nothing!\This is crazy.\They're building up as much aggro as they can.\What is this?\What are they doing?\I'm here! response:	Now, take me!
context: Me, too!\There's no plan, no teamwork... Nothing!\This is crazy.\They're building up as much aggro as they can.\What is this?\What are they doing?\I'm here!\Now, take me! response:	Damn.
context: There's no plan, no teamwork... Nothing!\This is crazy.\They're building up as much aggro as they can.\What is this?\What are they doing?\I'm here!\Now, take me!\Damn. response:	I'm back already.
context: This is crazy.\They're building up as much aggro as they can.\What is this?\What are they doing?\I'm here!\Now, take me!\Damn.\I'm back already. response:	Go! Go!
context: They're building up as much aggro as they can.\What is this?\What are they doing?\I'm here!\Now, take me!\Damn.\I'm back already.\Go! Go! response:	This is my third time.
context: What is this?\What are they doing?\I'm here!\Now, take me!\Damn.\I'm back already.\Go! Go!\This is my third time. response:	I'm jealous of your paper-thin armor.
context: What are they doing?\I'm here!\Now, take me!\Damn.\I'm back already.\Go! Go!\This is my third time.\I'm jealous of your paper-thin armor. response:	What is this?
context: I'm here!\Now, take me!\Damn.\I'm back already.\Go! Go!\This is my third time.\I'm jealous of your paper-thin armor.\What is this? response:	What are they doing?
context: Now, take me!\Damn.\I'm back already.\Go! Go!\This is my third time.\I'm jealous of your paper-thin armor.\What is this?\What are they doing? response:	That's an interesting idea.
context: Damn.\I'm back already.\Go! Go!\This is my third time.\I'm jealous of your paper-thin armor.\What is this?\What are they doing?\That's an interesting idea. response:	That's a revival device...
context: I'm back already.\Go! Go!\This is my third time.\I'm jealous of your paper-thin armor.\What is this?\What are they doing?\That's an interesting idea.\That's a revival device... response:	Just like the Cathedral,
context: Go! Go!\This is my third time.\I'm jealous of your paper-thin armor.\What is this?\What are they doing?\That's an interesting idea.\That's a revival device...\Just like the Cathedral, response:	it acts as a beacon for people who are coming back to life.
context: This is my third time.\I'm jealous of your paper-thin armor.\What is this?\What are they doing?\That's an interesting idea.\That's a revival device...\Just like the Cathedral,\it acts as a beacon for people who are coming back to life. response:	Someone must have invented it. Quite impressive.
context: I'm jealous of your paper-thin armor.\What is this?\What are they doing?\That's an interesting idea.\That's a revival device...\Just like the Cathedral,\it acts as a beacon for people who are coming back to life.\Someone must have invented it. Quite impressive. response:	Sis Roe 2?
context: What is this?\What are they doing?\That's an interesting idea.\That's a revival device...\Just like the Cathedral,\it acts as a beacon for people who are coming back to life.\Someone must have invented it. Quite impressive.\Sis Roe 2? response:	You look pale, young Tohya.
context: What are they doing?\That's an interesting idea.\That's a revival device...\Just like the Cathedral,\it acts as a beacon for people who are coming back to life.\Someone must have invented it. Quite impressive.\Sis Roe 2?\You look pale, young Tohya. response:	What are you talking about?
context: That's an interesting idea.\That's a revival device...\Just like the Cathedral,\it acts as a beacon for people who are coming back to life.\Someone must have invented it. Quite impressive.\Sis Roe 2?\You look pale, young Tohya.\What are you talking about? response:	Interesting?
context: That's a revival device...\Just like the Cathedral,\it acts as a beacon for people who are coming back to life.\Someone must have invented it. Quite impressive.\Sis Roe 2?\You look pale, young Tohya.\What are you talking about?\Interesting? response:	That's wrong!
context: Just like the Cathedral,\it acts as a beacon for people who are coming back to life.\Someone must have invented it. Quite impressive.\Sis Roe 2?\You look pale, young Tohya.\What are you talking about?\Interesting?\That's wrong! response:	It's insane!
context: it acts as a beacon for people who are coming back to life.\Someone must have invented it. Quite impressive.\Sis Roe 2?\You look pale, young Tohya.\What are you talking about?\Interesting?\That's wrong!\It's insane! response:	No, it's not insane at all.
context: Someone must have invented it. Quite impressive.\Sis Roe 2?\You look pale, young Tohya.\What are you talking about?\Interesting?\That's wrong!\It's insane!\No, it's not insane at all. response:	It's acting in accordance with this world's laws.
context: Sis Roe 2?\You look pale, young Tohya.\What are you talking about?\Interesting?\That's wrong!\It's insane!\No, it's not insane at all.\It's acting in accordance with this world's laws. response:	That's not what I meant!
context: You look pale, young Tohya.\What are you talking about?\Interesting?\That's wrong!\It's insane!\No, it's not insane at all.\It's acting in accordance with this world's laws.\That's not what I meant! response:	And from the look of it, they seem quite willing to donate empathion.
context: What are you talking about?\Interesting?\That's wrong!\It's insane!\No, it's not insane at all.\It's acting in accordance with this world's laws.\That's not what I meant!\And from the look of it, they seem quite willing to donate empathion. response:	If they keep dying that often, the gathering efficiency will go up a lot.
context: Interesting?\That's wrong!\It's insane!\No, it's not insane at all.\It's acting in accordance with this world's laws.\That's not what I meant!\And from the look of it, they seem quite willing to donate empathion.\If they keep dying that often, the gathering efficiency will go up a lot. response:	It's probably a big help to Genius.
context: That's wrong!\It's insane!\No, it's not insane at all.\It's acting in accordance with this world's laws.\That's not what I meant!\And from the look of it, they seem quite willing to donate empathion.\If they keep dying that often, the gathering efficiency will go up a lot.\It's probably a big help to Genius. response:	What are you saying?!
context: It's insane!\No, it's not insane at all.\It's acting in accordance with this world's laws.\That's not what I meant!\And from the look of it, they seem quite willing to donate empathion.\If they keep dying that often, the gathering efficiency will go up a lot.\It's probably a big help to Genius.\What are you saying?! response:	They're dying!
context: No, it's not insane at all.\It's acting in accordance with this world's laws.\That's not what I meant!\And from the look of it, they seem quite willing to donate empathion.\If they keep dying that often, the gathering efficiency will go up a lot.\It's probably a big help to Genius.\What are you saying?!\They're dying! response:	We have to do something!
context: It's acting in accordance with this world's laws.\That's not what I meant!\And from the look of it, they seem quite willing to donate empathion.\If they keep dying that often, the gathering efficiency will go up a lot.\It's probably a big help to Genius.\What are you saying?!\They're dying!\We have to do something! response:	They seem to be quite willing, to me.
context: That's not what I meant!\And from the look of it, they seem quite willing to donate empathion.\If they keep dying that often, the gathering efficiency will go up a lot.\It's probably a big help to Genius.\What are you saying?!\They're dying!\We have to do something!\They seem to be quite willing, to me. response:	They desire death.
context: And from the look of it, they seem quite willing to donate empathion.\If they keep dying that often, the gathering efficiency will go up a lot.\It's probably a big help to Genius.\What are you saying?!\They're dying!\We have to do something!\They seem to be quite willing, to me.\They desire death. response:	Their life flashing before their eyes, like a drug.
context: If they keep dying that often, the gathering efficiency will go up a lot.\It's probably a big help to Genius.\What are you saying?!\They're dying!\We have to do something!\They seem to be quite willing, to me.\They desire death.\Their life flashing before their eyes, like a drug. response:	To be honest, I don't really get it.
context: It's probably a big help to Genius.\What are you saying?!\They're dying!\We have to do something!\They seem to be quite willing, to me.\They desire death.\Their life flashing before their eyes, like a drug.\To be honest, I don't really get it. response:	This is Londark.
context: What are you saying?!\They're dying!\We have to do something!\They seem to be quite willing, to me.\They desire death.\Their life flashing before their eyes, like a drug.\To be honest, I don't really get it.\This is Londark. response:	Nothing out of the order in the area.
context: They're dying!\We have to do something!\They seem to be quite willing, to me.\They desire death.\Their life flashing before their eyes, like a drug.\To be honest, I don't really get it.\This is Londark.\Nothing out of the order in the area. response:	The magic railways are functioning well, too.
context: We have to do something!\They seem to be quite willing, to me.\They desire death.\Their life flashing before their eyes, like a drug.\To be honest, I don't really get it.\This is Londark.\Nothing out of the order in the area.\The magic railways are functioning well, too. response:	Londark Race/ Elf Sorcerer, Lv. 92 Guild: Plant Hwyaden
context: They seem to be quite willing, to me.\They desire death.\Their life flashing before their eyes, like a drug.\To be honest, I don't really get it.\This is Londark.\Nothing out of the order in the area.\The magic railways are functioning well, too.\Londark Race/ Elf Sorcerer, Lv. 92 Guild: Plant Hwyaden response:	Message from Lord Londark.
context: They desire death.\Their life flashing before their eyes, like a drug.\To be honest, I don't really get it.\This is Londark.\Nothing out of the order in the area.\The magic railways are functioning well, too.\Londark Race/ Elf Sorcerer, Lv. 92 Guild: Plant Hwyaden\Message from Lord Londark. response:	Nothing's out of order.
context: Their life flashing before their eyes, like a drug.\To be honest, I don't really get it.\This is Londark.\Nothing out of the order in the area.\The magic railways are functioning well, too.\Londark Race/ Elf Sorcerer, Lv. 92 Guild: Plant Hwyaden\Message from Lord Londark.\Nothing's out of order. response:	So even the loser from Susukino
context: To be honest, I don't really get it.\This is Londark.\Nothing out of the order in the area.\The magic railways are functioning well, too.\Londark Race/ Elf Sorcerer, Lv. 92 Guild: Plant Hwyaden\Message from Lord Londark.\Nothing's out of order.\So even the loser from Susukino response:	is treated as a noble, as long as he's an adventurer, huh?
context: This is Londark.\Nothing out of the order in the area.\The magic railways are functioning well, too.\Londark Race/ Elf Sorcerer, Lv. 92 Guild: Plant Hwyaden\Message from Lord Londark.\Nothing's out of order.\So even the loser from Susukino\is treated as a noble, as long as he's an adventurer, huh? response:	Message from our nightshade servant scouts.
context: Nothing out of the order in the area.\The magic railways are functioning well, too.\Londark Race/ Elf Sorcerer, Lv. 92 Guild: Plant Hwyaden\Message from Lord Londark.\Nothing's out of order.\So even the loser from Susukino\is treated as a noble, as long as he's an adventurer, huh?\Message from our nightshade servant scouts. response:	The Odyssey Knights are battling the wyverns.
context: The magic railways are functioning well, too.\Londark Race/ Elf Sorcerer, Lv. 92 Guild: Plant Hwyaden\Message from Lord Londark.\Nothing's out of order.\So even the loser from Susukino\is treated as a noble, as long as he's an adventurer, huh?\Message from our nightshade servant scouts.\The Odyssey Knights are battling the wyverns. response:	They don't need to do that at all.
context: Londark Race/ Elf Sorcerer, Lv. 92 Guild: Plant Hwyaden\Message from Lord Londark.\Nothing's out of order.\So even the loser from Susukino\is treated as a noble, as long as he's an adventurer, huh?\Message from our nightshade servant scouts.\The Odyssey Knights are battling the wyverns.\They don't need to do that at all. response:	Send out our servants! Half of them!
context: Message from Lord Londark.\Nothing's out of order.\So even the loser from Susukino\is treated as a noble, as long as he's an adventurer, huh?\Message from our nightshade servant scouts.\The Odyssey Knights are battling the wyverns.\They don't need to do that at all.\Send out our servants! Half of them! response:	Yes, ma'am.
context: Nothing's out of order.\So even the loser from Susukino\is treated as a noble, as long as he's an adventurer, huh?\Message from our nightshade servant scouts.\The Odyssey Knights are battling the wyverns.\They don't need to do that at all.\Send out our servants! Half of them!\Yes, ma'am. response:	Her condition is stable.
context: So even the loser from Susukino\is treated as a noble, as long as he's an adventurer, huh?\Message from our nightshade servant scouts.\The Odyssey Knights are battling the wyverns.\They don't need to do that at all.\Send out our servants! Half of them!\Yes, ma'am.\Her condition is stable. response:	Okay, activating.
context: is treated as a noble, as long as he's an adventurer, huh?\Message from our nightshade servant scouts.\The Odyssey Knights are battling the wyverns.\They don't need to do that at all.\Send out our servants! Half of them!\Yes, ma'am.\Her condition is stable.\Okay, activating. response:	I'll start synchronization with unit 20.
context: Message from our nightshade servant scouts.\The Odyssey Knights are battling the wyverns.\They don't need to do that at all.\Send out our servants! Half of them!\Yes, ma'am.\Her condition is stable.\Okay, activating.\I'll start synchronization with unit 20. response:	Beginning EXP monitoring.
context: The Odyssey Knights are battling the wyverns.\They don't need to do that at all.\Send out our servants! Half of them!\Yes, ma'am.\Her condition is stable.\Okay, activating.\I'll start synchronization with unit 20.\Beginning EXP monitoring. response:	Opening party chat.
context: They don't need to do that at all.\Send out our servants! Half of them!\Yes, ma'am.\Her condition is stable.\Okay, activating.\I'll start synchronization with unit 20.\Beginning EXP monitoring.\Opening party chat. response:	So it's complete?
context: Send out our servants! Half of them!\Yes, ma'am.\Her condition is stable.\Okay, activating.\I'll start synchronization with unit 20.\Beginning EXP monitoring.\Opening party chat.\So it's complete? response:	We summon nightshade servants that act as vessels
context: Yes, ma'am.\Her condition is stable.\Okay, activating.\I'll start synchronization with unit 20.\Beginning EXP monitoring.\Opening party chat.\So it's complete?\We summon nightshade servants that act as vessels response:	for the minds of People of the Land.
context: Her condition is stable.\Okay, activating.\I'll start synchronization with unit 20.\Beginning EXP monitoring.\Opening party chat.\So it's complete?\We summon nightshade servants that act as vessels\for the minds of People of the Land. response:	And the experience points they gain go to the summoner, right?
context: Okay, activating.\I'll start synchronization with unit 20.\Beginning EXP monitoring.\Opening party chat.\So it's complete?\We summon nightshade servants that act as vessels\for the minds of People of the Land.\And the experience points they gain go to the summoner, right? response:	Seriously?
context: I'll start synchronization with unit 20.\Beginning EXP monitoring.\Opening party chat.\So it's complete?\We summon nightshade servants that act as vessels\for the minds of People of the Land.\And the experience points they gain go to the summoner, right?\Seriously? response:	Of course, even if the servant dies, it doesn't affect them at all.
context: Beginning EXP monitoring.\Opening party chat.\So it's complete?\We summon nightshade servants that act as vessels\for the minds of People of the Land.\And the experience points they gain go to the summoner, right?\Seriously?\Of course, even if the servant dies, it doesn't affect them at all. response:	In other words, we're giving the People of the Land temporary immortality.
context: Opening party chat.\So it's complete?\We summon nightshade servants that act as vessels\for the minds of People of the Land.\And the experience points they gain go to the summoner, right?\Seriously?\Of course, even if the servant dies, it doesn't affect them at all.\In other words, we're giving the People of the Land temporary immortality. response:	The way you laugh is creepy.
context: So it's complete?\We summon nightshade servants that act as vessels\for the minds of People of the Land.\And the experience points they gain go to the summoner, right?\Seriously?\Of course, even if the servant dies, it doesn't affect them at all.\In other words, we're giving the People of the Land temporary immortality.\The way you laugh is creepy. response:	Don't interrupt me when I'm talking, kid!
context: We summon nightshade servants that act as vessels\for the minds of People of the Land.\And the experience points they gain go to the summoner, right?\Seriously?\Of course, even if the servant dies, it doesn't affect them at all.\In other words, we're giving the People of the Land temporary immortality.\The way you laugh is creepy.\Don't interrupt me when I'm talking, kid! response:	Shut up.
context: for the minds of People of the Land.\And the experience points they gain go to the summoner, right?\Seriously?\Of course, even if the servant dies, it doesn't affect them at all.\In other words, we're giving the People of the Land temporary immortality.\The way you laugh is creepy.\Don't interrupt me when I'm talking, kid!\Shut up. response:	Ow. Ow. Ow.
context: And the experience points they gain go to the summoner, right?\Seriously?\Of course, even if the servant dies, it doesn't affect them at all.\In other words, we're giving the People of the Land temporary immortality.\The way you laugh is creepy.\Don't interrupt me when I'm talking, kid!\Shut up.\Ow. Ow. Ow. response:	So you use this to raise levels?
context: Seriously?\Of course, even if the servant dies, it doesn't affect them at all.\In other words, we're giving the People of the Land temporary immortality.\The way you laugh is creepy.\Don't interrupt me when I'm talking, kid!\Shut up.\Ow. Ow. Ow.\So you use this to raise levels? response:	That's pretty efficient...
context: Of course, even if the servant dies, it doesn't affect them at all.\In other words, we're giving the People of the Land temporary immortality.\The way you laugh is creepy.\Don't interrupt me when I'm talking, kid!\Shut up.\Ow. Ow. Ow.\So you use this to raise levels?\That's pretty efficient... response:	Heh heh, this is fun.
context: In other words, we're giving the People of the Land temporary immortality.\The way you laugh is creepy.\Don't interrupt me when I'm talking, kid!\Shut up.\Ow. Ow. Ow.\So you use this to raise levels?\That's pretty efficient...\Heh heh, this is fun. response:	It is not!
context: The way you laugh is creepy.\Don't interrupt me when I'm talking, kid!\Shut up.\Ow. Ow. Ow.\So you use this to raise levels?\That's pretty efficient...\Heh heh, this is fun.\It is not! response:	Interesting.
context: Don't interrupt me when I'm talking, kid!\Shut up.\Ow. Ow. Ow.\So you use this to raise levels?\That's pretty efficient...\Heh heh, this is fun.\It is not!\Interesting. response:	You adventurers would call it power leveling.
context: Shut up.\Ow. Ow. Ow.\So you use this to raise levels?\That's pretty efficient...\Heh heh, this is fun.\It is not!\Interesting.\You adventurers would call it power leveling. response:	Roger.
