context: The port town of Hargeon... response:	A Fairy Tail ship has just set sail from here.
context: So hot...\Even though it was winter at home... What is this?!\I think I'm gonna melt!\I'll turn into ice cream and get eaten by Happy!\Not very appetizing...\Lu-chan, sit up straight.\Because of currents, this area has the same climate all year'round.\I feel sluggish... response:	I'm gonna turn into ice cream...
context: Even though it was winter at home... What is this?!\I think I'm gonna melt!\I'll turn into ice cream and get eaten by Happy!\Not very appetizing...\Lu-chan, sit up straight.\Because of currents, this area has the same climate all year'round.\I feel sluggish...\I'm gonna turn into ice cream... response:	Aye...
context: I think I'm gonna melt!\I'll turn into ice cream and get eaten by Happy!\Not very appetizing...\Lu-chan, sit up straight.\Because of currents, this area has the same climate all year'round.\I feel sluggish...\I'm gonna turn into ice cream...\Aye... response:	This heat ain't nothin'.
context: I'll turn into ice cream and get eaten by Happy!\Not very appetizing...\Lu-chan, sit up straight.\Because of currents, this area has the same climate all year'round.\I feel sluggish...\I'm gonna turn into ice cream...\Aye...\This heat ain't nothin'. response:	Juvia, aren't you hot all bundled up in that?
context: Not very appetizing...\Lu-chan, sit up straight.\Because of currents, this area has the same climate all year'round.\I feel sluggish...\I'm gonna turn into ice cream...\Aye...\This heat ain't nothin'.\Juvia, aren't you hot all bundled up in that? response:	Juvia is not hot...
context: Lu-chan, sit up straight.\Because of currents, this area has the same climate all year'round.\I feel sluggish...\I'm gonna turn into ice cream...\Aye...\This heat ain't nothin'.\Juvia, aren't you hot all bundled up in that?\Juvia is not hot... response:	But you could say...
context: Because of currents, this area has the same climate all year'round.\I feel sluggish...\I'm gonna turn into ice cream...\Aye...\This heat ain't nothin'.\Juvia, aren't you hot all bundled up in that?\Juvia is not hot...\But you could say... response:	Hot...
context: I feel sluggish...\I'm gonna turn into ice cream...\Aye...\This heat ain't nothin'.\Juvia, aren't you hot all bundled up in that?\Juvia is not hot...\But you could say...\Hot... response:	I feel sick!
context: I'm gonna turn into ice cream...\Aye...\This heat ain't nothin'.\Juvia, aren't you hot all bundled up in that?\Juvia is not hot...\But you could say...\Hot...\I feel sick! response:	Natsu! Keep it away from here, okay?
context: Aye...\This heat ain't nothin'.\Juvia, aren't you hot all bundled up in that?\Juvia is not hot...\But you could say...\Hot...\I feel sick!\Natsu! Keep it away from here, okay? response:	Wendy didn't perform a Troia spell on me!
context: This heat ain't nothin'.\Juvia, aren't you hot all bundled up in that?\Juvia is not hot...\But you could say...\Hot...\I feel sick!\Natsu! Keep it away from here, okay?\Wendy didn't perform a Troia spell on me! response:	You can't blame her.
context: Juvia, aren't you hot all bundled up in that?\Juvia is not hot...\But you could say...\Hot...\I feel sick!\Natsu! Keep it away from here, okay?\Wendy didn't perform a Troia spell on me!\You can't blame her. response:	After all, she's Mest's partner.
context: Juvia is not hot...\But you could say...\Hot...\I feel sick!\Natsu! Keep it away from here, okay?\Wendy didn't perform a Troia spell on me!\You can't blame her.\After all, she's Mest's partner. response:	I'm sorry, Natsu-san.
context: But you could say...\Hot...\I feel sick!\Natsu! Keep it away from here, okay?\Wendy didn't perform a Troia spell on me!\You can't blame her.\After all, she's Mest's partner.\I'm sorry, Natsu-san. response:	I don't care for this chumminess when soon, we're all going to be enemies.
context: Hot...\I feel sick!\Natsu! Keep it away from here, okay?\Wendy didn't perform a Troia spell on me!\You can't blame her.\After all, she's Mest's partner.\I'm sorry, Natsu-san.\I don't care for this chumminess when soon, we're all going to be enemies. response:	It's hot to be a Man!
context: I feel sick!\Natsu! Keep it away from here, okay?\Wendy didn't perform a Troia spell on me!\You can't blame her.\After all, she's Mest's partner.\I'm sorry, Natsu-san.\I don't care for this chumminess when soon, we're all going to be enemies.\It's hot to be a Man! response:	I have no idea what that means.
context: Natsu! Keep it away from here, okay?\Wendy didn't perform a Troia spell on me!\You can't blame her.\After all, she's Mest's partner.\I'm sorry, Natsu-san.\I don't care for this chumminess when soon, we're all going to be enemies.\It's hot to be a Man!\I have no idea what that means. response:	I wanna eat ice cream...
context: Wendy didn't perform a Troia spell on me!\You can't blame her.\After all, she's Mest's partner.\I'm sorry, Natsu-san.\I don't care for this chumminess when soon, we're all going to be enemies.\It's hot to be a Man!\I have no idea what that means.\I wanna eat ice cream... response:	Don't eat me, okay?
context: You can't blame her.\After all, she's Mest's partner.\I'm sorry, Natsu-san.\I don't care for this chumminess when soon, we're all going to be enemies.\It's hot to be a Man!\I have no idea what that means.\I wanna eat ice cream...\Don't eat me, okay? response:	I can't even imagine you as ice cream, Happy...
context: After all, she's Mest's partner.\I'm sorry, Natsu-san.\I don't care for this chumminess when soon, we're all going to be enemies.\It's hot to be a Man!\I have no idea what that means.\I wanna eat ice cream...\Don't eat me, okay?\I can't even imagine you as ice cream, Happy... response:	It's in sight.
context: I'm sorry, Natsu-san.\I don't care for this chumminess when soon, we're all going to be enemies.\It's hot to be a Man!\I have no idea what that means.\I wanna eat ice cream...\Don't eat me, okay?\I can't even imagine you as ice cream, Happy...\It's in sight. response:	That...?
context: I don't care for this chumminess when soon, we're all going to be enemies.\It's hot to be a Man!\I have no idea what that means.\I wanna eat ice cream...\Don't eat me, okay?\I can't even imagine you as ice cream, Happy...\It's in sight.\That...? response:	Who's the One with the Good Luck?
context: It's hot to be a Man!\I have no idea what that means.\I wanna eat ice cream...\Don't eat me, okay?\I can't even imagine you as ice cream, Happy...\It's in sight.\That...?\Who's the One with the Good Luck? response:	Have we arrived?
context: I have no idea what that means.\I wanna eat ice cream...\Don't eat me, okay?\I can't even imagine you as ice cream, Happy...\It's in sight.\That...?\Who's the One with the Good Luck?\Have we arrived? response:	That's Tenroujima?!
context: I wanna eat ice cream...\Don't eat me, okay?\I can't even imagine you as ice cream, Happy...\It's in sight.\That...?\Who's the One with the Good Luck?\Have we arrived?\That's Tenroujima?! response:	What a freaky shape!
context: Don't eat me, okay?\I can't even imagine you as ice cream, Happy...\It's in sight.\That...?\Who's the One with the Good Luck?\Have we arrived?\That's Tenroujima?!\What a freaky shape! response:	Is that an island on top of the island?
context: I can't even imagine you as ice cream, Happy...\It's in sight.\That...?\Who's the One with the Good Luck?\Have we arrived?\That's Tenroujima?!\What a freaky shape!\Is that an island on top of the island? response:	Wow... Even from here, I feel magic power in the air around the island.
context: It's in sight.\That...?\Who's the One with the Good Luck?\Have we arrived?\That's Tenroujima?!\What a freaky shape!\Is that an island on top of the island?\Wow... Even from here, I feel magic power in the air around the island. response:	Very impressive.
context: That...?\Who's the One with the Good Luck?\Have we arrived?\That's Tenroujima?!\What a freaky shape!\Is that an island on top of the island?\Wow... Even from here, I feel magic power in the air around the island.\Very impressive. response:	Natsu! We're almost there.
context: Who's the One with the Good Luck?\Have we arrived?\That's Tenroujima?!\What a freaky shape!\Is that an island on top of the island?\Wow... Even from here, I feel magic power in the air around the island.\Very impressive.\Natsu! We're almost there. response:	It's said that long ago,
context: Have we arrived?\That's Tenroujima?!\What a freaky shape!\Is that an island on top of the island?\Wow... Even from here, I feel magic power in the air around the island.\Very impressive.\Natsu! We're almost there.\It's said that long ago, response:	there were fairies on that island.
context: That's Tenroujima?!\What a freaky shape!\Is that an island on top of the island?\Wow... Even from here, I feel magic power in the air around the island.\Very impressive.\Natsu! We're almost there.\It's said that long ago,\there were fairies on that island. response:	Master...
context: What a freaky shape!\Is that an island on top of the island?\Wow... Even from here, I feel magic power in the air around the island.\Very impressive.\Natsu! We're almost there.\It's said that long ago,\there were fairies on that island.\Master... response:	Also, in reference to the very first Fairy Tail master,
context: Is that an island on top of the island?\Wow... Even from here, I feel magic power in the air around the island.\Very impressive.\Natsu! We're almost there.\It's said that long ago,\there were fairies on that island.\Master...\Also, in reference to the very first Fairy Tail master, response:	there's Moebius Vermilion's Sleeping Ground!
context: Wow... Even from here, I feel magic power in the air around the island.\Very impressive.\Natsu! We're almost there.\It's said that long ago,\there were fairies on that island.\Master...\Also, in reference to the very first Fairy Tail master,\there's Moebius Vermilion's Sleeping Ground! response:	What's with those clothes?!
context: Very impressive.\Natsu! We're almost there.\It's said that long ago,\there were fairies on that island.\Master...\Also, in reference to the very first Fairy Tail master,\there's Moebius Vermilion's Sleeping Ground!\What's with those clothes?! response:	After all, it's hot!
context: Natsu! We're almost there.\It's said that long ago,\there were fairies on that island.\Master...\Also, in reference to the very first Fairy Tail master,\there's Moebius Vermilion's Sleeping Ground!\What's with those clothes?!\After all, it's hot! response:	Someone who wears no clothes can talk?!
context: It's said that long ago,\there were fairies on that island.\Master...\Also, in reference to the very first Fairy Tail master,\there's Moebius Vermilion's Sleeping Ground!\What's with those clothes?!\After all, it's hot!\Someone who wears no clothes can talk?! response:	Now, I will announce your first trial.
context: there were fairies on that island.\Master...\Also, in reference to the very first Fairy Tail master,\there's Moebius Vermilion's Sleeping Ground!\What's with those clothes?!\After all, it's hot!\Someone who wears no clothes can talk?!\Now, I will announce your first trial. response:	First trial?!
context: Master...\Also, in reference to the very first Fairy Tail master,\there's Moebius Vermilion's Sleeping Ground!\What's with those clothes?!\After all, it's hot!\Someone who wears no clothes can talk?!\Now, I will announce your first trial.\First trial?! response:	Usually, the test is split up into different levels.
context: Also, in reference to the very first Fairy Tail master,\there's Moebius Vermilion's Sleeping Ground!\What's with those clothes?!\After all, it's hot!\Someone who wears no clothes can talk?!\Now, I will announce your first trial.\First trial?!\Usually, the test is split up into different levels. response:	You see the smoke rising over the shore?
context: there's Moebius Vermilion's Sleeping Ground!\What's with those clothes?!\After all, it's hot!\Someone who wears no clothes can talk?!\Now, I will announce your first trial.\First trial?!\Usually, the test is split up into different levels.\You see the smoke rising over the shore? response:	First, head over there.
context: What's with those clothes?!\After all, it's hot!\Someone who wears no clothes can talk?!\Now, I will announce your first trial.\First trial?!\Usually, the test is split up into different levels.\You see the smoke rising over the shore?\First, head over there. response:	You'll find 8 passages, but only one team can enter each passage.
context: After all, it's hot!\Someone who wears no clothes can talk?!\Now, I will announce your first trial.\First trial?!\Usually, the test is split up into different levels.\You see the smoke rising over the shore?\First, head over there.\You'll find 8 passages, but only one team can enter each passage. response:	And at the end of each passage, this will happen.
context: Someone who wears no clothes can talk?!\Now, I will announce your first trial.\First trial?!\Usually, the test is split up into different levels.\You see the smoke rising over the shore?\First, head over there.\You'll find 8 passages, but only one team can enter each passage.\And at the end of each passage, this will happen. response:	Battle
context: Now, I will announce your first trial.\First trial?!\Usually, the test is split up into different levels.\You see the smoke rising over the shore?\First, head over there.\You'll find 8 passages, but only one team can enter each passage.\And at the end of each passage, this will happen.\Battle response:	Calm
context: First trial?!\Usually, the test is split up into different levels.\You see the smoke rising over the shore?\First, head over there.\You'll find 8 passages, but only one team can enter each passage.\And at the end of each passage, this will happen.\Battle\Calm response:	Pitched Battle
context: Usually, the test is split up into different levels.\You see the smoke rising over the shore?\First, head over there.\You'll find 8 passages, but only one team can enter each passage.\And at the end of each passage, this will happen.\Battle\Calm\Pitched Battle response:	Entrance
context: You see the smoke rising over the shore?\First, head over there.\You'll find 8 passages, but only one team can enter each passage.\And at the end of each passage, this will happen.\Battle\Calm\Pitched Battle\Entrance response:	First Trial Pass
context: First, head over there.\You'll find 8 passages, but only one team can enter each passage.\And at the end of each passage, this will happen.\Battle\Calm\Pitched Battle\Entrance\First Trial Pass response:	Only the teams that get through this will pass the first trial.
context: You'll find 8 passages, but only one team can enter each passage.\And at the end of each passage, this will happen.\Battle\Calm\Pitched Battle\Entrance\First Trial Pass\Only the teams that get through this will pass the first trial. response:	Battle?
context: And at the end of each passage, this will happen.\Battle\Calm\Pitched Battle\Entrance\First Trial Pass\Only the teams that get through this will pass the first trial.\Battle? response:	It says Pitched Battle on Erza and Gildarts' faces...
context: Battle\Calm\Pitched Battle\Entrance\First Trial Pass\Only the teams that get through this will pass the first trial.\Battle?\It says Pitched Battle on Erza and Gildarts' faces... response:	What is that?
context: Calm\Pitched Battle\Entrance\First Trial Pass\Only the teams that get through this will pass the first trial.\Battle?\It says Pitched Battle on Erza and Gildarts' faces...\What is that? response:	There's Calm, too.
context: Pitched Battle\Entrance\First Trial Pass\Only the teams that get through this will pass the first trial.\Battle?\It says Pitched Battle on Erza and Gildarts' faces...\What is that?\There's Calm, too. response:	In the Battle route, two teams amongst the eight go head to head,
context: Entrance\First Trial Pass\Only the teams that get through this will pass the first trial.\Battle?\It says Pitched Battle on Erza and Gildarts' faces...\What is that?\There's Calm, too.\In the Battle route, two teams amongst the eight go head to head, response:	and only the team that wins can go on.
context: First Trial Pass\Only the teams that get through this will pass the first trial.\Battle?\It says Pitched Battle on Erza and Gildarts' faces...\What is that?\There's Calm, too.\In the Battle route, two teams amongst the eight go head to head,\and only the team that wins can go on. response:	Pitched Battle is the most difficult route,
context: Only the teams that get through this will pass the first trial.\Battle?\It says Pitched Battle on Erza and Gildarts' faces...\What is that?\There's Calm, too.\In the Battle route, two teams amongst the eight go head to head,\and only the team that wins can go on.\Pitched Battle is the most difficult route, response:	as you must defeat a current S Class wizard to proceed.
context: Battle?\It says Pitched Battle on Erza and Gildarts' faces...\What is that?\There's Calm, too.\In the Battle route, two teams amongst the eight go head to head,\and only the team that wins can go on.\Pitched Battle is the most difficult route,\as you must defeat a current S Class wizard to proceed. response:	Calm is a route that can be used to get to the end without fighting.
context: It says Pitched Battle on Erza and Gildarts' faces...\What is that?\There's Calm, too.\In the Battle route, two teams amongst the eight go head to head,\and only the team that wins can go on.\Pitched Battle is the most difficult route,\as you must defeat a current S Class wizard to proceed.\Calm is a route that can be used to get to the end without fighting. response:	In this first trial, you're being tested on armed might and luck!
context: What is that?\There's Calm, too.\In the Battle route, two teams amongst the eight go head to head,\and only the team that wins can go on.\Pitched Battle is the most difficult route,\as you must defeat a current S Class wizard to proceed.\Calm is a route that can be used to get to the end without fighting.\In this first trial, you're being tested on armed might and luck! response:	Luck?!
context: There's Calm, too.\In the Battle route, two teams amongst the eight go head to head,\and only the team that wins can go on.\Pitched Battle is the most difficult route,\as you must defeat a current S Class wizard to proceed.\Calm is a route that can be used to get to the end without fighting.\In this first trial, you're being tested on armed might and luck!\Luck?! response:	If it's about luck, we have a chance!
context: In the Battle route, two teams amongst the eight go head to head,\and only the team that wins can go on.\Pitched Battle is the most difficult route,\as you must defeat a current S Class wizard to proceed.\Calm is a route that can be used to get to the end without fighting.\In this first trial, you're being tested on armed might and luck!\Luck?!\If it's about luck, we have a chance! response:	There's only a 1 in 8 chance of getting the Silence route.
context: and only the team that wins can go on.\Pitched Battle is the most difficult route,\as you must defeat a current S Class wizard to proceed.\Calm is a route that can be used to get to the end without fighting.\In this first trial, you're being tested on armed might and luck!\Luck?!\If it's about luck, we have a chance!\There's only a 1 in 8 chance of getting the Silence route. response:	Theoretically, 6 teams at most can pass this stage.
context: Pitched Battle is the most difficult route,\as you must defeat a current S Class wizard to proceed.\Calm is a route that can be used to get to the end without fighting.\In this first trial, you're being tested on armed might and luck!\Luck?!\If it's about luck, we have a chance!\There's only a 1 in 8 chance of getting the Silence route.\Theoretically, 6 teams at most can pass this stage. response:	I-Impossible!
context: as you must defeat a current S Class wizard to proceed.\Calm is a route that can be used to get to the end without fighting.\In this first trial, you're being tested on armed might and luck!\Luck?!\If it's about luck, we have a chance!\There's only a 1 in 8 chance of getting the Silence route.\Theoretically, 6 teams at most can pass this stage.\I-Impossible! response:	I can't get past the path guarded by Gildarts or Erza!
context: Calm is a route that can be used to get to the end without fighting.\In this first trial, you're being tested on armed might and luck!\Luck?!\If it's about luck, we have a chance!\There's only a 1 in 8 chance of getting the Silence route.\Theoretically, 6 teams at most can pass this stage.\I-Impossible!\I can't get past the path guarded by Gildarts or Erza! response:	Don't be such a coward!
context: In this first trial, you're being tested on armed might and luck!\Luck?!\If it's about luck, we have a chance!\There's only a 1 in 8 chance of getting the Silence route.\Theoretically, 6 teams at most can pass this stage.\I-Impossible!\I can't get past the path guarded by Gildarts or Erza!\Don't be such a coward! response:	In a worst-case scenario, only 3 teams would pass this...
context: Luck?!\If it's about luck, we have a chance!\There's only a 1 in 8 chance of getting the Silence route.\Theoretically, 6 teams at most can pass this stage.\I-Impossible!\I can't get past the path guarded by Gildarts or Erza!\Don't be such a coward!\In a worst-case scenario, only 3 teams would pass this... response:	Interesting! I'll put the boot to all of'em!
context: If it's about luck, we have a chance!\There's only a 1 in 8 chance of getting the Silence route.\Theoretically, 6 teams at most can pass this stage.\I-Impossible!\I can't get past the path guarded by Gildarts or Erza!\Don't be such a coward!\In a worst-case scenario, only 3 teams would pass this...\Interesting! I'll put the boot to all of'em! response:	Uh, look...
context: There's only a 1 in 8 chance of getting the Silence route.\Theoretically, 6 teams at most can pass this stage.\I-Impossible!\I can't get past the path guarded by Gildarts or Erza!\Don't be such a coward!\In a worst-case scenario, only 3 teams would pass this...\Interesting! I'll put the boot to all of'em!\Uh, look... response:	So, get going!
context: Theoretically, 6 teams at most can pass this stage.\I-Impossible!\I can't get past the path guarded by Gildarts or Erza!\Don't be such a coward!\In a worst-case scenario, only 3 teams would pass this...\Interesting! I'll put the boot to all of'em!\Uh, look...\So, get going! response:	The test has begun!
context: I-Impossible!\I can't get past the path guarded by Gildarts or Erza!\Don't be such a coward!\In a worst-case scenario, only 3 teams would pass this...\Interesting! I'll put the boot to all of'em!\Uh, look...\So, get going!\The test has begun! response:	Huh?
context: I can't get past the path guarded by Gildarts or Erza!\Don't be such a coward!\In a worst-case scenario, only 3 teams would pass this...\Interesting! I'll put the boot to all of'em!\Uh, look...\So, get going!\The test has begun!\Huh? response:	We're still at sea.
context: Don't be such a coward!\In a worst-case scenario, only 3 teams would pass this...\Interesting! I'll put the boot to all of'em!\Uh, look...\So, get going!\The test has begun!\Huh?\We're still at sea. response:	You know what to do, Happy.
context: In a worst-case scenario, only 3 teams would pass this...\Interesting! I'll put the boot to all of'em!\Uh, look...\So, get going!\The test has begun!\Huh?\We're still at sea.\You know what to do, Happy. response:	We'll choose our passage first!
context: Interesting! I'll put the boot to all of'em!\Uh, look...\So, get going!\The test has begun!\Huh?\We're still at sea.\You know what to do, Happy.\We'll choose our passage first! response:	Aye, sir!
context: Uh, look...\So, get going!\The test has begun!\Huh?\We're still at sea.\You know what to do, Happy.\We'll choose our passage first!\Aye, sir! response:	No fair!
context: So, get going!\The test has begun!\Huh?\We're still at sea.\You know what to do, Happy.\We'll choose our passage first!\Aye, sir!\No fair! response:	Natsu! You bastard!
context: The test has begun!\Huh?\We're still at sea.\You know what to do, Happy.\We'll choose our passage first!\Aye, sir!\No fair!\Natsu! You bastard! response:	A rune?!
context: Huh?\We're still at sea.\You know what to do, Happy.\We'll choose our passage first!\Aye, sir!\No fair!\Natsu! You bastard!\A rune?! response:	Relax! It'll disappear in 5 minutes!
context: We're still at sea.\You know what to do, Happy.\We'll choose our passage first!\Aye, sir!\No fair!\Natsu! You bastard!\A rune?!\Relax! It'll disappear in 5 minutes! response:	Fried!
context: You know what to do, Happy.\We'll choose our passage first!\Aye, sir!\No fair!\Natsu! You bastard!\A rune?!\Relax! It'll disappear in 5 minutes!\Fried! response:	Bastard!
context: We'll choose our passage first!\Aye, sir!\No fair!\Natsu! You bastard!\A rune?!\Relax! It'll disappear in 5 minutes!\Fried!\Bastard! response:	We probably should've sealed them off'til the whole thing's over!
context: Aye, sir!\No fair!\Natsu! You bastard!\A rune?!\Relax! It'll disappear in 5 minutes!\Fried!\Bastard!\We probably should've sealed them off'til the whole thing's over! response:	What kind of test would that be then?
context: No fair!\Natsu! You bastard!\A rune?!\Relax! It'll disappear in 5 minutes!\Fried!\Bastard!\We probably should've sealed them off'til the whole thing's over!\What kind of test would that be then? response:	Hey, Gramps! Is that kind of thing allowed?!
context: Natsu! You bastard!\A rune?!\Relax! It'll disappear in 5 minutes!\Fried!\Bastard!\We probably should've sealed them off'til the whole thing's over!\What kind of test would that be then?\Hey, Gramps! Is that kind of thing allowed?! response:	Well, it's not a race...
context: A rune?!\Relax! It'll disappear in 5 minutes!\Fried!\Bastard!\We probably should've sealed them off'til the whole thing's over!\What kind of test would that be then?\Hey, Gramps! Is that kind of thing allowed?!\Well, it's not a race... response:	If we let them get to the island ahead of us,
context: Relax! It'll disappear in 5 minutes!\Fried!\Bastard!\We probably should've sealed them off'til the whole thing's over!\What kind of test would that be then?\Hey, Gramps! Is that kind of thing allowed?!\Well, it's not a race...\If we let them get to the island ahead of us, response:	they'll probably set up runes all over the place!
context: Fried!\Bastard!\We probably should've sealed them off'til the whole thing's over!\What kind of test would that be then?\Hey, Gramps! Is that kind of thing allowed?!\Well, it's not a race...\If we let them get to the island ahead of us,\they'll probably set up runes all over the place! response:	Dammit!
context: Bastard!\We probably should've sealed them off'til the whole thing's over!\What kind of test would that be then?\Hey, Gramps! Is that kind of thing allowed?!\Well, it's not a race...\If we let them get to the island ahead of us,\they'll probably set up runes all over the place!\Dammit! response:	I know! Levy can get through!
context: We probably should've sealed them off'til the whole thing's over!\What kind of test would that be then?\Hey, Gramps! Is that kind of thing allowed?!\Well, it's not a race...\If we let them get to the island ahead of us,\they'll probably set up runes all over the place!\Dammit!\I know! Levy can get through! response:	Right, I can rewrite the spell!
context: What kind of test would that be then?\Hey, Gramps! Is that kind of thing allowed?!\Well, it's not a race...\If we let them get to the island ahead of us,\they'll probably set up runes all over the place!\Dammit!\I know! Levy can get through!\Right, I can rewrite the spell! response:	But...
context: Hey, Gramps! Is that kind of thing allowed?!\Well, it's not a race...\If we let them get to the island ahead of us,\they'll probably set up runes all over the place!\Dammit!\I know! Levy can get through!\Right, I can rewrite the spell!\But... response:	Only for Gajeel and me!
context: Well, it's not a race...\If we let them get to the island ahead of us,\they'll probably set up runes all over the place!\Dammit!\I know! Levy can get through!\Right, I can rewrite the spell!\But...\Only for Gajeel and me! response:	What?!
context: If we let them get to the island ahead of us,\they'll probably set up runes all over the place!\Dammit!\I know! Levy can get through!\Right, I can rewrite the spell!\But...\Only for Gajeel and me!\What?! response:	Levy-chan!
context: they'll probably set up runes all over the place!\Dammit!\I know! Levy can get through!\Right, I can rewrite the spell!\But...\Only for Gajeel and me!\What?!\Levy-chan! response:	Sorry, Lu-chan!
context: Dammit!\I know! Levy can get through!\Right, I can rewrite the spell!\But...\Only for Gajeel and me!\What?!\Levy-chan!\Sorry, Lu-chan! response:	See you guys later!
context: I know! Levy can get through!\Right, I can rewrite the spell!\But...\Only for Gajeel and me!\What?!\Levy-chan!\Sorry, Lu-chan!\See you guys later! response:	Jerks!
context: Right, I can rewrite the spell!\But...\Only for Gajeel and me!\What?!\Levy-chan!\Sorry, Lu-chan!\See you guys later!\Jerks! response:	I've known Fried for a long time, too.
context: But...\Only for Gajeel and me!\What?!\Levy-chan!\Sorry, Lu-chan!\See you guys later!\Jerks!\I've known Fried for a long time, too. response:	Evergreen!
context: Only for Gajeel and me!\What?!\Levy-chan!\Sorry, Lu-chan!\See you guys later!\Jerks!\I've known Fried for a long time, too.\Evergreen! response:	Perhaps a more complicated trap would've been a problem,
context: What?!\Levy-chan!\Sorry, Lu-chan!\See you guys later!\Jerks!\I've known Fried for a long time, too.\Evergreen!\Perhaps a more complicated trap would've been a problem, response:	but I can rewrite a rune like this.
context: Levy-chan!\Sorry, Lu-chan!\See you guys later!\Jerks!\I've known Fried for a long time, too.\Evergreen!\Perhaps a more complicated trap would've been a problem,\but I can rewrite a rune like this. response:	Let's go, Elfman!
context: Sorry, Lu-chan!\See you guys later!\Jerks!\I've known Fried for a long time, too.\Evergreen!\Perhaps a more complicated trap would've been a problem,\but I can rewrite a rune like this.\Let's go, Elfman! response:	Man!
context: See you guys later!\Jerks!\I've known Fried for a long time, too.\Evergreen!\Perhaps a more complicated trap would've been a problem,\but I can rewrite a rune like this.\Let's go, Elfman!\Man! response:	Dammit!
context: Jerks!\I've known Fried for a long time, too.\Evergreen!\Perhaps a more complicated trap would've been a problem,\but I can rewrite a rune like this.\Let's go, Elfman!\Man!\Dammit! response:	How many more minutes'til it turns off?
