context: Why are you doing this? response:	I want you to go back to your Landing Castle
context: Using the territory we gained in this battle as a beachhead,\we will eventually expand our domain across the entire Earth.\And then, by combining the power of Aldnoah with bountiful resources,\we will build our world.\Repair status?\Not good, ma'am.\The wiring is fried, and it's taking a long time to replace it.\A mission at a time like this...? response:	The Deucalion is grounded, so our Kataphraktoi platoons
context: we will eventually expand our domain across the entire Earth.\And then, by combining the power of Aldnoah with bountiful resources,\we will build our world.\Repair status?\Not good, ma'am.\The wiring is fried, and it's taking a long time to replace it.\A mission at a time like this...?\The Deucalion is grounded, so our Kataphraktoi platoons response:	will have to be transported via landing craft to the battle line.
context: And then, by combining the power of Aldnoah with bountiful resources,\we will build our world.\Repair status?\Not good, ma'am.\The wiring is fried, and it's taking a long time to replace it.\A mission at a time like this...?\The Deucalion is grounded, so our Kataphraktoi platoons\will have to be transported via landing craft to the battle line. response:	Our two platoons will attack the Landing Castle from the north and cause a disturbance
context: we will build our world.\Repair status?\Not good, ma'am.\The wiring is fried, and it's taking a long time to replace it.\A mission at a time like this...?\The Deucalion is grounded, so our Kataphraktoi platoons\will have to be transported via landing craft to the battle line.\Our two platoons will attack the Landing Castle from the north and cause a disturbance response:	and provide cover for the assault force that will attack from the southwest.
context: Repair status?\Not good, ma'am.\The wiring is fried, and it's taking a long time to replace it.\A mission at a time like this...?\The Deucalion is grounded, so our Kataphraktoi platoons\will have to be transported via landing craft to the battle line.\Our two platoons will attack the Landing Castle from the north and cause a disturbance\and provide cover for the assault force that will attack from the southwest. response:	Commando unit has a nice ring to it, but we're really just sacrificial pawns.
context: Not good, ma'am.\The wiring is fried, and it's taking a long time to replace it.\A mission at a time like this...?\The Deucalion is grounded, so our Kataphraktoi platoons\will have to be transported via landing craft to the battle line.\Our two platoons will attack the Landing Castle from the north and cause a disturbance\and provide cover for the assault force that will attack from the southwest.\Commando unit has a nice ring to it, but we're really just sacrificial pawns. response:	Perhaps Command has calculated that the odds are in their favor somehow.
context: The wiring is fried, and it's taking a long time to replace it.\A mission at a time like this...?\The Deucalion is grounded, so our Kataphraktoi platoons\will have to be transported via landing craft to the battle line.\Our two platoons will attack the Landing Castle from the north and cause a disturbance\and provide cover for the assault force that will attack from the southwest.\Commando unit has a nice ring to it, but we're really just sacrificial pawns.\Perhaps Command has calculated that the odds are in their favor somehow. response:	Do you think those odds extend to us?
context: A mission at a time like this...?\The Deucalion is grounded, so our Kataphraktoi platoons\will have to be transported via landing craft to the battle line.\Our two platoons will attack the Landing Castle from the north and cause a disturbance\and provide cover for the assault force that will attack from the southwest.\Commando unit has a nice ring to it, but we're really just sacrificial pawns.\Perhaps Command has calculated that the odds are in their favor somehow.\Do you think those odds extend to us? response:	I don't, ma'am.
context: The Deucalion is grounded, so our Kataphraktoi platoons\will have to be transported via landing craft to the battle line.\Our two platoons will attack the Landing Castle from the north and cause a disturbance\and provide cover for the assault force that will attack from the southwest.\Commando unit has a nice ring to it, but we're really just sacrificial pawns.\Perhaps Command has calculated that the odds are in their favor somehow.\Do you think those odds extend to us?\I don't, ma'am. response:	In that case, I suppose we need to run our own set of numbers.
context: will have to be transported via landing craft to the battle line.\Our two platoons will attack the Landing Castle from the north and cause a disturbance\and provide cover for the assault force that will attack from the southwest.\Commando unit has a nice ring to it, but we're really just sacrificial pawns.\Perhaps Command has calculated that the odds are in their favor somehow.\Do you think those odds extend to us?\I don't, ma'am.\In that case, I suppose we need to run our own set of numbers. response:	Hey, Kaizuka Jr.
context: Our two platoons will attack the Landing Castle from the north and cause a disturbance\and provide cover for the assault force that will attack from the southwest.\Commando unit has a nice ring to it, but we're really just sacrificial pawns.\Perhaps Command has calculated that the odds are in their favor somehow.\Do you think those odds extend to us?\I don't, ma'am.\In that case, I suppose we need to run our own set of numbers.\Hey, Kaizuka Jr. response:	Can that fast thinking of yours do something about those damn Martians?
context: and provide cover for the assault force that will attack from the southwest.\Commando unit has a nice ring to it, but we're really just sacrificial pawns.\Perhaps Command has calculated that the odds are in their favor somehow.\Do you think those odds extend to us?\I don't, ma'am.\In that case, I suppose we need to run our own set of numbers.\Hey, Kaizuka Jr.\Can that fast thinking of yours do something about those damn Martians? response:	It's tricky.
context: Commando unit has a nice ring to it, but we're really just sacrificial pawns.\Perhaps Command has calculated that the odds are in their favor somehow.\Do you think those odds extend to us?\I don't, ma'am.\In that case, I suppose we need to run our own set of numbers.\Hey, Kaizuka Jr.\Can that fast thinking of yours do something about those damn Martians?\It's tricky. response:	Elektris, which uses electricity as a weapon. And Skandia, which can turn invisible.
context: Perhaps Command has calculated that the odds are in their favor somehow.\Do you think those odds extend to us?\I don't, ma'am.\In that case, I suppose we need to run our own set of numbers.\Hey, Kaizuka Jr.\Can that fast thinking of yours do something about those damn Martians?\It's tricky.\Elektris, which uses electricity as a weapon. And Skandia, which can turn invisible. response:	Both are formidable on their own.
context: Do you think those odds extend to us?\I don't, ma'am.\In that case, I suppose we need to run our own set of numbers.\Hey, Kaizuka Jr.\Can that fast thinking of yours do something about those damn Martians?\It's tricky.\Elektris, which uses electricity as a weapon. And Skandia, which can turn invisible.\Both are formidable on their own. response:	And as far as the Ortygia's replication ability goes,
context: I don't, ma'am.\In that case, I suppose we need to run our own set of numbers.\Hey, Kaizuka Jr.\Can that fast thinking of yours do something about those damn Martians?\It's tricky.\Elektris, which uses electricity as a weapon. And Skandia, which can turn invisible.\Both are formidable on their own.\And as far as the Ortygia's replication ability goes, response:	I don't have anywhere near enough data.
context: In that case, I suppose we need to run our own set of numbers.\Hey, Kaizuka Jr.\Can that fast thinking of yours do something about those damn Martians?\It's tricky.\Elektris, which uses electricity as a weapon. And Skandia, which can turn invisible.\Both are formidable on their own.\And as far as the Ortygia's replication ability goes,\I don't have anywhere near enough data. response:	Sparks, Dupes, and Houdini.
context: Hey, Kaizuka Jr.\Can that fast thinking of yours do something about those damn Martians?\It's tricky.\Elektris, which uses electricity as a weapon. And Skandia, which can turn invisible.\Both are formidable on their own.\And as far as the Ortygia's replication ability goes,\I don't have anywhere near enough data.\Sparks, Dupes, and Houdini. response:	It's like we're in a Sonny Chiba movie or something.
context: Can that fast thinking of yours do something about those damn Martians?\It's tricky.\Elektris, which uses electricity as a weapon. And Skandia, which can turn invisible.\Both are formidable on their own.\And as far as the Ortygia's replication ability goes,\I don't have anywhere near enough data.\Sparks, Dupes, and Houdini.\It's like we're in a Sonny Chiba movie or something. response:	We know from observation that when the Ortygia splits,
context: It's tricky.\Elektris, which uses electricity as a weapon. And Skandia, which can turn invisible.\Both are formidable on their own.\And as far as the Ortygia's replication ability goes,\I don't have anywhere near enough data.\Sparks, Dupes, and Houdini.\It's like we're in a Sonny Chiba movie or something.\We know from observation that when the Ortygia splits, response:	it always splits from one into two, never into three or more.
context: Elektris, which uses electricity as a weapon. And Skandia, which can turn invisible.\Both are formidable on their own.\And as far as the Ortygia's replication ability goes,\I don't have anywhere near enough data.\Sparks, Dupes, and Houdini.\It's like we're in a Sonny Chiba movie or something.\We know from observation that when the Ortygia splits,\it always splits from one into two, never into three or more. response:	When the second one appears, it's always within a radius of 30 meters.
context: Both are formidable on their own.\And as far as the Ortygia's replication ability goes,\I don't have anywhere near enough data.\Sparks, Dupes, and Houdini.\It's like we're in a Sonny Chiba movie or something.\We know from observation that when the Ortygia splits,\it always splits from one into two, never into three or more.\When the second one appears, it's always within a radius of 30 meters. response:	No matter how much it splits, there's probably only one original that's piloted.
context: And as far as the Ortygia's replication ability goes,\I don't have anywhere near enough data.\Sparks, Dupes, and Houdini.\It's like we're in a Sonny Chiba movie or something.\We know from observation that when the Ortygia splits,\it always splits from one into two, never into three or more.\When the second one appears, it's always within a radius of 30 meters.\No matter how much it splits, there's probably only one original that's piloted. response:	The rest are fakes.
context: I don't have anywhere near enough data.\Sparks, Dupes, and Houdini.\It's like we're in a Sonny Chiba movie or something.\We know from observation that when the Ortygia splits,\it always splits from one into two, never into three or more.\When the second one appears, it's always within a radius of 30 meters.\No matter how much it splits, there's probably only one original that's piloted.\The rest are fakes. response:	So our only option is to locate and destroy the original.
context: Sparks, Dupes, and Houdini.\It's like we're in a Sonny Chiba movie or something.\We know from observation that when the Ortygia splits,\it always splits from one into two, never into three or more.\When the second one appears, it's always within a radius of 30 meters.\No matter how much it splits, there's probably only one original that's piloted.\The rest are fakes.\So our only option is to locate and destroy the original. response:	But how do we do that?
context: It's like we're in a Sonny Chiba movie or something.\We know from observation that when the Ortygia splits,\it always splits from one into two, never into three or more.\When the second one appears, it's always within a radius of 30 meters.\No matter how much it splits, there's probably only one original that's piloted.\The rest are fakes.\So our only option is to locate and destroy the original.\But how do we do that? response:	I guess the only way is to mark the original before it duplicates and track it that way.
context: We know from observation that when the Ortygia splits,\it always splits from one into two, never into three or more.\When the second one appears, it's always within a radius of 30 meters.\No matter how much it splits, there's probably only one original that's piloted.\The rest are fakes.\So our only option is to locate and destroy the original.\But how do we do that?\I guess the only way is to mark the original before it duplicates and track it that way. response:	If we put up a smoke screen, we can use trails in the smoke to locate the Skandia.
context: it always splits from one into two, never into three or more.\When the second one appears, it's always within a radius of 30 meters.\No matter how much it splits, there's probably only one original that's piloted.\The rest are fakes.\So our only option is to locate and destroy the original.\But how do we do that?\I guess the only way is to mark the original before it duplicates and track it that way.\If we put up a smoke screen, we can use trails in the smoke to locate the Skandia. response:	And the lightning? Do you have any ideas for that?
context: When the second one appears, it's always within a radius of 30 meters.\No matter how much it splits, there's probably only one original that's piloted.\The rest are fakes.\So our only option is to locate and destroy the original.\But how do we do that?\I guess the only way is to mark the original before it duplicates and track it that way.\If we put up a smoke screen, we can use trails in the smoke to locate the Skandia.\And the lightning? Do you have any ideas for that? response:	One hit from that, and it'll blow our electronics and actuators.
context: No matter how much it splits, there's probably only one original that's piloted.\The rest are fakes.\So our only option is to locate and destroy the original.\But how do we do that?\I guess the only way is to mark the original before it duplicates and track it that way.\If we put up a smoke screen, we can use trails in the smoke to locate the Skandia.\And the lightning? Do you have any ideas for that?\One hit from that, and it'll blow our electronics and actuators. response:	What about insulators? You know, the stuff that doesn't conduct electricity.
context: The rest are fakes.\So our only option is to locate and destroy the original.\But how do we do that?\I guess the only way is to mark the original before it duplicates and track it that way.\If we put up a smoke screen, we can use trails in the smoke to locate the Skandia.\And the lightning? Do you have any ideas for that?\One hit from that, and it'll blow our electronics and actuators.\What about insulators? You know, the stuff that doesn't conduct electricity. response:	Are you stupid? What are you, a grade-schooler?
context: So our only option is to locate and destroy the original.\But how do we do that?\I guess the only way is to mark the original before it duplicates and track it that way.\If we put up a smoke screen, we can use trails in the smoke to locate the Skandia.\And the lightning? Do you have any ideas for that?\One hit from that, and it'll blow our electronics and actuators.\What about insulators? You know, the stuff that doesn't conduct electricity.\Are you stupid? What are you, a grade-schooler? response:	Why am I stupid? What's wrong with that?
context: But how do we do that?\I guess the only way is to mark the original before it duplicates and track it that way.\If we put up a smoke screen, we can use trails in the smoke to locate the Skandia.\And the lightning? Do you have any ideas for that?\One hit from that, and it'll blow our electronics and actuators.\What about insulators? You know, the stuff that doesn't conduct electricity.\Are you stupid? What are you, a grade-schooler?\Why am I stupid? What's wrong with that? response:	Air already is an insulator.
context: I guess the only way is to mark the original before it duplicates and track it that way.\If we put up a smoke screen, we can use trails in the smoke to locate the Skandia.\And the lightning? Do you have any ideas for that?\One hit from that, and it'll blow our electronics and actuators.\What about insulators? You know, the stuff that doesn't conduct electricity.\Are you stupid? What are you, a grade-schooler?\Why am I stupid? What's wrong with that?\Air already is an insulator. response:	There's no way to block electricity that's powerful enough to punch through so much insulation.
context: If we put up a smoke screen, we can use trails in the smoke to locate the Skandia.\And the lightning? Do you have any ideas for that?\One hit from that, and it'll blow our electronics and actuators.\What about insulators? You know, the stuff that doesn't conduct electricity.\Are you stupid? What are you, a grade-schooler?\Why am I stupid? What's wrong with that?\Air already is an insulator.\There's no way to block electricity that's powerful enough to punch through so much insulation. response:	But what makes it really tricky
context: And the lightning? Do you have any ideas for that?\One hit from that, and it'll blow our electronics and actuators.\What about insulators? You know, the stuff that doesn't conduct electricity.\Are you stupid? What are you, a grade-schooler?\Why am I stupid? What's wrong with that?\Air already is an insulator.\There's no way to block electricity that's powerful enough to punch through so much insulation.\But what makes it really tricky response:	is the fact that these tough bastards are working together.
context: One hit from that, and it'll blow our electronics and actuators.\What about insulators? You know, the stuff that doesn't conduct electricity.\Are you stupid? What are you, a grade-schooler?\Why am I stupid? What's wrong with that?\Air already is an insulator.\There's no way to block electricity that's powerful enough to punch through so much insulation.\But what makes it really tricky\is the fact that these tough bastards are working together. response:	Yeah, they're bad enough one at a time.
context: What about insulators? You know, the stuff that doesn't conduct electricity.\Are you stupid? What are you, a grade-schooler?\Why am I stupid? What's wrong with that?\Air already is an insulator.\There's no way to block electricity that's powerful enough to punch through so much insulation.\But what makes it really tricky\is the fact that these tough bastards are working together.\Yeah, they're bad enough one at a time. response:	Hang on...
context: Are you stupid? What are you, a grade-schooler?\Why am I stupid? What's wrong with that?\Air already is an insulator.\There's no way to block electricity that's powerful enough to punch through so much insulation.\But what makes it really tricky\is the fact that these tough bastards are working together.\Yeah, they're bad enough one at a time.\Hang on... response:	I might have an idea.
context: Why am I stupid? What's wrong with that?\Air already is an insulator.\There's no way to block electricity that's powerful enough to punch through so much insulation.\But what makes it really tricky\is the fact that these tough bastards are working together.\Yeah, they're bad enough one at a time.\Hang on...\I might have an idea. response:	You're gonna use your eye again?
context: Air already is an insulator.\There's no way to block electricity that's powerful enough to punch through so much insulation.\But what makes it really tricky\is the fact that these tough bastards are working together.\Yeah, they're bad enough one at a time.\Hang on...\I might have an idea.\You're gonna use your eye again? response:	Don't worry, it's fine.
context: There's no way to block electricity that's powerful enough to punch through so much insulation.\But what makes it really tricky\is the fact that these tough bastards are working together.\Yeah, they're bad enough one at a time.\Hang on...\I might have an idea.\You're gonna use your eye again?\Don't worry, it's fine. response:	I'm always running a mutation code.
context: But what makes it really tricky\is the fact that these tough bastards are working together.\Yeah, they're bad enough one at a time.\Hang on...\I might have an idea.\You're gonna use your eye again?\Don't worry, it's fine.\I'm always running a mutation code. response:	It gets more and more optimized over time.
context: is the fact that these tough bastards are working together.\Yeah, they're bad enough one at a time.\Hang on...\I might have an idea.\You're gonna use your eye again?\Don't worry, it's fine.\I'm always running a mutation code.\It gets more and more optimized over time. response:	Its predictive ability is even better than before.
context: Yeah, they're bad enough one at a time.\Hang on...\I might have an idea.\You're gonna use your eye again?\Don't worry, it's fine.\I'm always running a mutation code.\It gets more and more optimized over time.\Its predictive ability is even better than before. response:	Calm, will you do a loadout change for me?
context: Hang on...\I might have an idea.\You're gonna use your eye again?\Don't worry, it's fine.\I'm always running a mutation code.\It gets more and more optimized over time.\Its predictive ability is even better than before.\Calm, will you do a loadout change for me? response:	No problem. Just tell me what you need.
context: I might have an idea.\You're gonna use your eye again?\Don't worry, it's fine.\I'm always running a mutation code.\It gets more and more optimized over time.\Its predictive ability is even better than before.\Calm, will you do a loadout change for me?\No problem. Just tell me what you need. response:	What I used up there. I need those.
context: You're gonna use your eye again?\Don't worry, it's fine.\I'm always running a mutation code.\It gets more and more optimized over time.\Its predictive ability is even better than before.\Calm, will you do a loadout change for me?\No problem. Just tell me what you need.\What I used up there. I need those. response:	Princess Lemrina, the invasion of Earth is proceeding without incident.
context: Don't worry, it's fine.\I'm always running a mutation code.\It gets more and more optimized over time.\Its predictive ability is even better than before.\Calm, will you do a loadout change for me?\No problem. Just tell me what you need.\What I used up there. I need those.\Princess Lemrina, the invasion of Earth is proceeding without incident. response:	I see. I knew that you could do it, Slaine.
context: I'm always running a mutation code.\It gets more and more optimized over time.\Its predictive ability is even better than before.\Calm, will you do a loadout change for me?\No problem. Just tell me what you need.\What I used up there. I need those.\Princess Lemrina, the invasion of Earth is proceeding without incident.\I see. I knew that you could do it, Slaine. response:	On a related note, perhaps you could say a few words
context: It gets more and more optimized over time.\Its predictive ability is even better than before.\Calm, will you do a loadout change for me?\No problem. Just tell me what you need.\What I used up there. I need those.\Princess Lemrina, the invasion of Earth is proceeding without incident.\I see. I knew that you could do it, Slaine.\On a related note, perhaps you could say a few words response:	to those Orbital Knights who distinguished themselves in battle?
context: Its predictive ability is even better than before.\Calm, will you do a loadout change for me?\No problem. Just tell me what you need.\What I used up there. I need those.\Princess Lemrina, the invasion of Earth is proceeding without incident.\I see. I knew that you could do it, Slaine.\On a related note, perhaps you could say a few words\to those Orbital Knights who distinguished themselves in battle? response:	Me, you mean?
context: Calm, will you do a loadout change for me?\No problem. Just tell me what you need.\What I used up there. I need those.\Princess Lemrina, the invasion of Earth is proceeding without incident.\I see. I knew that you could do it, Slaine.\On a related note, perhaps you could say a few words\to those Orbital Knights who distinguished themselves in battle?\Me, you mean? response:	Yes. If Princess Asseylum were to honor their achievements,
context: No problem. Just tell me what you need.\What I used up there. I need those.\Princess Lemrina, the invasion of Earth is proceeding without incident.\I see. I knew that you could do it, Slaine.\On a related note, perhaps you could say a few words\to those Orbital Knights who distinguished themselves in battle?\Me, you mean?\Yes. If Princess Asseylum were to honor their achievements, response:	it would win over more Orbital Knights to our side.
context: What I used up there. I need those.\Princess Lemrina, the invasion of Earth is proceeding without incident.\I see. I knew that you could do it, Slaine.\On a related note, perhaps you could say a few words\to those Orbital Knights who distinguished themselves in battle?\Me, you mean?\Yes. If Princess Asseylum were to honor their achievements,\it would win over more Orbital Knights to our side. response:	Our side?
context: Princess Lemrina, the invasion of Earth is proceeding without incident.\I see. I knew that you could do it, Slaine.\On a related note, perhaps you could say a few words\to those Orbital Knights who distinguished themselves in battle?\Me, you mean?\Yes. If Princess Asseylum were to honor their achievements,\it would win over more Orbital Knights to our side.\Our side? response:	Yes, Princess Lemrina.
context: I see. I knew that you could do it, Slaine.\On a related note, perhaps you could say a few words\to those Orbital Knights who distinguished themselves in battle?\Me, you mean?\Yes. If Princess Asseylum were to honor their achievements,\it would win over more Orbital Knights to our side.\Our side?\Yes, Princess Lemrina. response:	Very well.
context: On a related note, perhaps you could say a few words\to those Orbital Knights who distinguished themselves in battle?\Me, you mean?\Yes. If Princess Asseylum were to honor their achievements,\it would win over more Orbital Knights to our side.\Our side?\Yes, Princess Lemrina.\Very well. response:	Incidentally, Slaine, what is my sister's condition?
