context: Them! response:	Oracion Seis!
context: We were used...\I don't believe it...\Then why on earth...\A chill just ran up my spine! These guys are scary!\The magic I'm feeling coming off of them...\It's in a different league than what they had before.\Who gives a damn?!\You danced in the palm of our hand... response:	Think of it as an honor.
context: I don't believe it...\Then why on earth...\A chill just ran up my spine! These guys are scary!\The magic I'm feeling coming off of them...\It's in a different league than what they had before.\Who gives a damn?!\You danced in the palm of our hand...\Think of it as an honor. response:	Shut the hell up!
context: Then why on earth...\A chill just ran up my spine! These guys are scary!\The magic I'm feeling coming off of them...\It's in a different league than what they had before.\Who gives a damn?!\You danced in the palm of our hand...\Think of it as an honor.\Shut the hell up! response:	Natsu's fire was dispersed!
context: A chill just ran up my spine! These guys are scary!\The magic I'm feeling coming off of them...\It's in a different league than what they had before.\Who gives a damn?!\You danced in the palm of our hand...\Think of it as an honor.\Shut the hell up!\Natsu's fire was dispersed! response:	That's...
context: The magic I'm feeling coming off of them...\It's in a different league than what they had before.\Who gives a damn?!\You danced in the palm of our hand...\Think of it as an honor.\Shut the hell up!\Natsu's fire was dispersed!\That's... response:	Wind... Nothing as gentle as that.
context: It's in a different league than what they had before.\Who gives a damn?!\You danced in the palm of our hand...\Think of it as an honor.\Shut the hell up!\Natsu's fire was dispersed!\That's...\Wind... Nothing as gentle as that. response:	It's a storm. A storm is coming.
context: Who gives a damn?!\You danced in the palm of our hand...\Think of it as an honor.\Shut the hell up!\Natsu's fire was dispersed!\That's...\Wind... Nothing as gentle as that.\It's a storm. A storm is coming. response:	Hey, that face, that voice... Could it be...
context: You danced in the palm of our hand...\Think of it as an honor.\Shut the hell up!\Natsu's fire was dispersed!\That's...\Wind... Nothing as gentle as that.\It's a storm. A storm is coming.\Hey, that face, that voice... Could it be... response:	You're...
context: Think of it as an honor.\Shut the hell up!\Natsu's fire was dispersed!\That's...\Wind... Nothing as gentle as that.\It's a storm. A storm is coming.\Hey, that face, that voice... Could it be...\You're... response:	You saw right through him! This man was formerly in Eisenwald!
context: Shut the hell up!\Natsu's fire was dispersed!\That's...\Wind... Nothing as gentle as that.\It's a storm. A storm is coming.\Hey, that face, that voice... Could it be...\You're...\You saw right through him! This man was formerly in Eisenwald! response:	He is most definitely... Erigor-sama!
context: Natsu's fire was dispersed!\That's...\Wind... Nothing as gentle as that.\It's a storm. A storm is coming.\Hey, that face, that voice... Could it be...\You're...\You saw right through him! This man was formerly in Eisenwald!\He is most definitely... Erigor-sama! response:	My name is Grim Reaper.
context: That's...\Wind... Nothing as gentle as that.\It's a storm. A storm is coming.\Hey, that face, that voice... Could it be...\You're...\You saw right through him! This man was formerly in Eisenwald!\He is most definitely... Erigor-sama!\My name is Grim Reaper. response:	Erigor?!
context: Wind... Nothing as gentle as that.\It's a storm. A storm is coming.\Hey, that face, that voice... Could it be...\You're...\You saw right through him! This man was formerly in Eisenwald!\He is most definitely... Erigor-sama!\My name is Grim Reaper.\Erigor?! response:	Him?!
context: It's a storm. A storm is coming.\Hey, that face, that voice... Could it be...\You're...\You saw right through him! This man was formerly in Eisenwald!\He is most definitely... Erigor-sama!\My name is Grim Reaper.\Erigor?!\Him?! response:	You... that form...
context: Hey, that face, that voice... Could it be...\You're...\You saw right through him! This man was formerly in Eisenwald!\He is most definitely... Erigor-sama!\My name is Grim Reaper.\Erigor?!\Him?!\You... that form... response:	People sure do change, don't they?
context: You're...\You saw right through him! This man was formerly in Eisenwald!\He is most definitely... Erigor-sama!\My name is Grim Reaper.\Erigor?!\Him?!\You... that form...\People sure do change, don't they? response:	Whatever! Come down here so I can beat the crap outta you!
context: You saw right through him! This man was formerly in Eisenwald!\He is most definitely... Erigor-sama!\My name is Grim Reaper.\Erigor?!\Him?!\You... that form...\People sure do change, don't they?\Whatever! Come down here so I can beat the crap outta you! response:	Brain, how long are we going to waste time here?
context: He is most definitely... Erigor-sama!\My name is Grim Reaper.\Erigor?!\Him?!\You... that form...\People sure do change, don't they?\Whatever! Come down here so I can beat the crap outta you!\Brain, how long are we going to waste time here? response:	We have a grand aim, don't we?
context: My name is Grim Reaper.\Erigor?!\Him?!\You... that form...\People sure do change, don't they?\Whatever! Come down here so I can beat the crap outta you!\Brain, how long are we going to waste time here?\We have a grand aim, don't we? response:	I know.
context: Erigor?!\Him?!\You... that form...\People sure do change, don't they?\Whatever! Come down here so I can beat the crap outta you!\Brain, how long are we going to waste time here?\We have a grand aim, don't we?\I know. response:	But there's Fairy Tail...
context: Him?!\You... that form...\People sure do change, don't they?\Whatever! Come down here so I can beat the crap outta you!\Brain, how long are we going to waste time here?\We have a grand aim, don't we?\I know.\But there's Fairy Tail... response:	I can't forget the humiliation from seven years ago.
context: You... that form...\People sure do change, don't they?\Whatever! Come down here so I can beat the crap outta you!\Brain, how long are we going to waste time here?\We have a grand aim, don't we?\I know.\But there's Fairy Tail...\I can't forget the humiliation from seven years ago. response:	Play with them a bit. Cobra, Racer...
context: People sure do change, don't they?\Whatever! Come down here so I can beat the crap outta you!\Brain, how long are we going to waste time here?\We have a grand aim, don't we?\I know.\But there's Fairy Tail...\I can't forget the humiliation from seven years ago.\Play with them a bit. Cobra, Racer... response:	Yes.
context: Whatever! Come down here so I can beat the crap outta you!\Brain, how long are we going to waste time here?\We have a grand aim, don't we?\I know.\But there's Fairy Tail...\I can't forget the humiliation from seven years ago.\Play with them a bit. Cobra, Racer...\Yes. response:	They're coming!
context: Brain, how long are we going to waste time here?\We have a grand aim, don't we?\I know.\But there's Fairy Tail...\I can't forget the humiliation from seven years ago.\Play with them a bit. Cobra, Racer...\Yes.\They're coming! response:	Engage!
context: We have a grand aim, don't we?\I know.\But there's Fairy Tail...\I can't forget the humiliation from seven years ago.\Play with them a bit. Cobra, Racer...\Yes.\They're coming!\Engage! response:	Yeah!
context: I know.\But there's Fairy Tail...\I can't forget the humiliation from seven years ago.\Play with them a bit. Cobra, Racer...\Yes.\They're coming!\Engage!\Yeah! response:	What was that just now?! I couldn't see anything!
context: But there's Fairy Tail...\I can't forget the humiliation from seven years ago.\Play with them a bit. Cobra, Racer...\Yes.\They're coming!\Engage!\Yeah!\What was that just now?! I couldn't see anything! response:	Dammit! What the hell is that?!
context: I can't forget the humiliation from seven years ago.\Play with them a bit. Cobra, Racer...\Yes.\They're coming!\Engage!\Yeah!\What was that just now?! I couldn't see anything!\Dammit! What the hell is that?! response:	It's like another person altogether, in both speed and power!
context: Play with them a bit. Cobra, Racer...\Yes.\They're coming!\Engage!\Yeah!\What was that just now?! I couldn't see anything!\Dammit! What the hell is that?!\It's like another person altogether, in both speed and power! response:	What happened to his Slow Magic?!
context: Yes.\They're coming!\Engage!\Yeah!\What was that just now?! I couldn't see anything!\Dammit! What the hell is that?!\It's like another person altogether, in both speed and power!\What happened to his Slow Magic?! response:	I don't think he's using it here!
context: They're coming!\Engage!\Yeah!\What was that just now?! I couldn't see anything!\Dammit! What the hell is that?!\It's like another person altogether, in both speed and power!\What happened to his Slow Magic?!\I don't think he's using it here! response:	He's like a beast... A wild animal that's after its prey!
context: Engage!\Yeah!\What was that just now?! I couldn't see anything!\Dammit! What the hell is that?!\It's like another person altogether, in both speed and power!\What happened to his Slow Magic?!\I don't think he's using it here!\He's like a beast... A wild animal that's after its prey! response:	Yo.
context: Yeah!\What was that just now?! I couldn't see anything!\Dammit! What the hell is that?!\It's like another person altogether, in both speed and power!\What happened to his Slow Magic?!\I don't think he's using it here!\He's like a beast... A wild animal that's after its prey!\Yo. response:	It's been a long time, shrine maiden of the sky... and cat.
context: What was that just now?! I couldn't see anything!\Dammit! What the hell is that?!\It's like another person altogether, in both speed and power!\What happened to his Slow Magic?!\I don't think he's using it here!\He's like a beast... A wild animal that's after its prey!\Yo.\It's been a long time, shrine maiden of the sky... and cat. response:	There's something I want to ask you...
context: Dammit! What the hell is that?!\It's like another person altogether, in both speed and power!\What happened to his Slow Magic?!\I don't think he's using it here!\He's like a beast... A wild animal that's after its prey!\Yo.\It's been a long time, shrine maiden of the sky... and cat.\There's something I want to ask you... response:	What, you don't know the answer?
context: It's like another person altogether, in both speed and power!\What happened to his Slow Magic?!\I don't think he's using it here!\He's like a beast... A wild animal that's after its prey!\Yo.\It's been a long time, shrine maiden of the sky... and cat.\There's something I want to ask you...\What, you don't know the answer? response:	Then begone!
context: What happened to his Slow Magic?!\I don't think he's using it here!\He's like a beast... A wild animal that's after its prey!\Yo.\It's been a long time, shrine maiden of the sky... and cat.\There's something I want to ask you...\What, you don't know the answer?\Then begone! response:	I can't move!
context: I don't think he's using it here!\He's like a beast... A wild animal that's after its prey!\Yo.\It's been a long time, shrine maiden of the sky... and cat.\There's something I want to ask you...\What, you don't know the answer?\Then begone!\I can't move! response:	What is this overpowering feeling?!
context: He's like a beast... A wild animal that's after its prey!\Yo.\It's been a long time, shrine maiden of the sky... and cat.\There's something I want to ask you...\What, you don't know the answer?\Then begone!\I can't move!\What is this overpowering feeling?! response:	Wait, Cobra!
context: Yo.\It's been a long time, shrine maiden of the sky... and cat.\There's something I want to ask you...\What, you don't know the answer?\Then begone!\I can't move!\What is this overpowering feeling?!\Wait, Cobra! response:	Your opponent is me!!
context: It's been a long time, shrine maiden of the sky... and cat.\There's something I want to ask you...\What, you don't know the answer?\Then begone!\I can't move!\What is this overpowering feeling?!\Wait, Cobra!\Your opponent is me!! response:	Enough...
context: There's something I want to ask you...\What, you don't know the answer?\Then begone!\I can't move!\What is this overpowering feeling?!\Wait, Cobra!\Your opponent is me!!\Enough... response:	As always, your voice is abrasive!
context: What, you don't know the answer?\Then begone!\I can't move!\What is this overpowering feeling?!\Wait, Cobra!\Your opponent is me!!\Enough...\As always, your voice is abrasive! response:	Are you okay, Michelle?!
context: Then begone!\I can't move!\What is this overpowering feeling?!\Wait, Cobra!\Your opponent is me!!\Enough...\As always, your voice is abrasive!\Are you okay, Michelle?! response:	I'll live...
context: I can't move!\What is this overpowering feeling?!\Wait, Cobra!\Your opponent is me!!\Enough...\As always, your voice is abrasive!\Are you okay, Michelle?!\I'll live... response:	What was that?!
context: What is this overpowering feeling?!\Wait, Cobra!\Your opponent is me!!\Enough...\As always, your voice is abrasive!\Are you okay, Michelle?!\I'll live...\What was that?! response:	The sound became an incredible wall of pressure!
context: Wait, Cobra!\Your opponent is me!!\Enough...\As always, your voice is abrasive!\Are you okay, Michelle?!\I'll live...\What was that?!\The sound became an incredible wall of pressure! response:	Dammit! Cobra... You bastard...
context: Your opponent is me!!\Enough...\As always, your voice is abrasive!\Are you okay, Michelle?!\I'll live...\What was that?!\The sound became an incredible wall of pressure!\Dammit! Cobra... You bastard... response:	I can hear your despair...
context: Enough...\As always, your voice is abrasive!\Are you okay, Michelle?!\I'll live...\What was that?!\The sound became an incredible wall of pressure!\Dammit! Cobra... You bastard...\I can hear your despair... response:	Be destroyed by your own voice.
context: As always, your voice is abrasive!\Are you okay, Michelle?!\I'll live...\What was that?!\The sound became an incredible wall of pressure!\Dammit! Cobra... You bastard...\I can hear your despair...\Be destroyed by your own voice. response:	Coco, hurry down the escape route with Byro-sama!
context: Are you okay, Michelle?!\I'll live...\What was that?!\The sound became an incredible wall of pressure!\Dammit! Cobra... You bastard...\I can hear your despair...\Be destroyed by your own voice.\Coco, hurry down the escape route with Byro-sama! response:	But I...
context: I'll live...\What was that?!\The sound became an incredible wall of pressure!\Dammit! Cobra... You bastard...\I can hear your despair...\Be destroyed by your own voice.\Coco, hurry down the escape route with Byro-sama!\But I... response:	This is no time to nitpick!
context: What was that?!\The sound became an incredible wall of pressure!\Dammit! Cobra... You bastard...\I can hear your despair...\Be destroyed by your own voice.\Coco, hurry down the escape route with Byro-sama!\But I...\This is no time to nitpick! response:	Look at how strong they are...
context: The sound became an incredible wall of pressure!\Dammit! Cobra... You bastard...\I can hear your despair...\Be destroyed by your own voice.\Coco, hurry down the escape route with Byro-sama!\But I...\This is no time to nitpick!\Look at how strong they are... response:	The outcome is as obvious as vinegar melting papyrus!
context: Dammit! Cobra... You bastard...\I can hear your despair...\Be destroyed by your own voice.\Coco, hurry down the escape route with Byro-sama!\But I...\This is no time to nitpick!\Look at how strong they are...\The outcome is as obvious as vinegar melting papyrus! response:	Slow...
context: I can hear your despair...\Be destroyed by your own voice.\Coco, hurry down the escape route with Byro-sama!\But I...\This is no time to nitpick!\Look at how strong they are...\The outcome is as obvious as vinegar melting papyrus!\Slow... response:	A gale force wind from the fore... becomes a tornado.
context: Be destroyed by your own voice.\Coco, hurry down the escape route with Byro-sama!\But I...\This is no time to nitpick!\Look at how strong they are...\The outcome is as obvious as vinegar melting papyrus!\Slow...\A gale force wind from the fore... becomes a tornado. response:	What are you going to do?!
context: Coco, hurry down the escape route with Byro-sama!\But I...\This is no time to nitpick!\Look at how strong they are...\The outcome is as obvious as vinegar melting papyrus!\Slow...\A gale force wind from the fore... becomes a tornado.\What are you going to do?! response:	There's still something that I can do!
context: But I...\This is no time to nitpick!\Look at how strong they are...\The outcome is as obvious as vinegar melting papyrus!\Slow...\A gale force wind from the fore... becomes a tornado.\What are you going to do?!\There's still something that I can do! response:	Since I was born a man, there's still something I can do, even if it puts my life at risk!
context: This is no time to nitpick!\Look at how strong they are...\The outcome is as obvious as vinegar melting papyrus!\Slow...\A gale force wind from the fore... becomes a tornado.\What are you going to do?!\There's still something that I can do!\Since I was born a man, there's still something I can do, even if it puts my life at risk! response:	You people!
