context: Your Majesty... response:	Jiu'er.
context: This is not real.\What isn't real?\It isn't real to call you, Your Majesty.\You're Dong Hua.\Lord Dong Hua.\You look better like this.\You were a bit ugly in your mortal form.\Was I? response:	Could I be ugly?
context: What isn't real?\It isn't real to call you, Your Majesty.\You're Dong Hua.\Lord Dong Hua.\You look better like this.\You were a bit ugly in your mortal form.\Was I?\Could I be ugly? response:	I was just teasing you.
context: It isn't real to call you, Your Majesty.\You're Dong Hua.\Lord Dong Hua.\You look better like this.\You were a bit ugly in your mortal form.\Was I?\Could I be ugly?\I was just teasing you. response:	You look great in every form.
context: You're Dong Hua.\Lord Dong Hua.\You look better like this.\You were a bit ugly in your mortal form.\Was I?\Could I be ugly?\I was just teasing you.\You look great in every form. response:	I even cut off my tail for you.
context: Lord Dong Hua.\You look better like this.\You were a bit ugly in your mortal form.\Was I?\Could I be ugly?\I was just teasing you.\You look great in every form.\I even cut off my tail for you. response:	In my dream...
context: You look better like this.\You were a bit ugly in your mortal form.\Was I?\Could I be ugly?\I was just teasing you.\You look great in every form.\I even cut off my tail for you.\In my dream... response:	Shouldn't you reciprocate my feelings for you?
context: You were a bit ugly in your mortal form.\Was I?\Could I be ugly?\I was just teasing you.\You look great in every form.\I even cut off my tail for you.\In my dream...\Shouldn't you reciprocate my feelings for you? response:	Don't tell her...
context: Was I?\Could I be ugly?\I was just teasing you.\You look great in every form.\I even cut off my tail for you.\In my dream...\Shouldn't you reciprocate my feelings for you?\Don't tell her... response:	that I was here.
context: Could I be ugly?\I was just teasing you.\You look great in every form.\I even cut off my tail for you.\In my dream...\Shouldn't you reciprocate my feelings for you?\Don't tell her...\that I was here. response:	It was indeed a sweet dream last night.
context: I was just teasing you.\You look great in every form.\I even cut off my tail for you.\In my dream...\Shouldn't you reciprocate my feelings for you?\Don't tell her...\that I was here.\It was indeed a sweet dream last night. response:	You're awake, little fool.
context: You look great in every form.\I even cut off my tail for you.\In my dream...\Shouldn't you reciprocate my feelings for you?\Don't tell her...\that I was here.\It was indeed a sweet dream last night.\You're awake, little fool. response:	You're never to do anything foolish again.
context: I even cut off my tail for you.\In my dream...\Shouldn't you reciprocate my feelings for you?\Don't tell her...\that I was here.\It was indeed a sweet dream last night.\You're awake, little fool.\You're never to do anything foolish again. response:	You cut off your tail...
context: In my dream...\Shouldn't you reciprocate my feelings for you?\Don't tell her...\that I was here.\It was indeed a sweet dream last night.\You're awake, little fool.\You're never to do anything foolish again.\You cut off your tail... response:	Fortunately, Zhe Yan did it first.
context: Shouldn't you reciprocate my feelings for you?\Don't tell her...\that I was here.\It was indeed a sweet dream last night.\You're awake, little fool.\You're never to do anything foolish again.\You cut off your tail...\Fortunately, Zhe Yan did it first. response:	Otherwise, you'd be the first eight-tailed little fox in Qing Qiu.
context: Don't tell her...\that I was here.\It was indeed a sweet dream last night.\You're awake, little fool.\You're never to do anything foolish again.\You cut off your tail...\Fortunately, Zhe Yan did it first.\Otherwise, you'd be the first eight-tailed little fox in Qing Qiu. response:	Father told me
context: that I was here.\It was indeed a sweet dream last night.\You're awake, little fool.\You're never to do anything foolish again.\You cut off your tail...\Fortunately, Zhe Yan did it first.\Otherwise, you'd be the first eight-tailed little fox in Qing Qiu.\Father told me response:	that the tails of a nine-tailed fox can do a great many things.
context: It was indeed a sweet dream last night.\You're awake, little fool.\You're never to do anything foolish again.\You cut off your tail...\Fortunately, Zhe Yan did it first.\Otherwise, you'd be the first eight-tailed little fox in Qing Qiu.\Father told me\that the tails of a nine-tailed fox can do a great many things. response:	I wanted to see if it could carve my name and Dong Hua's name
context: You're awake, little fool.\You're never to do anything foolish again.\You cut off your tail...\Fortunately, Zhe Yan did it first.\Otherwise, you'd be the first eight-tailed little fox in Qing Qiu.\Father told me\that the tails of a nine-tailed fox can do a great many things.\I wanted to see if it could carve my name and Dong Hua's name response:	on the Rock of Three Incarnations.
context: You're never to do anything foolish again.\You cut off your tail...\Fortunately, Zhe Yan did it first.\Otherwise, you'd be the first eight-tailed little fox in Qing Qiu.\Father told me\that the tails of a nine-tailed fox can do a great many things.\I wanted to see if it could carve my name and Dong Hua's name\on the Rock of Three Incarnations. response:	I've said all that I should.
context: You cut off your tail...\Fortunately, Zhe Yan did it first.\Otherwise, you'd be the first eight-tailed little fox in Qing Qiu.\Father told me\that the tails of a nine-tailed fox can do a great many things.\I wanted to see if it could carve my name and Dong Hua's name\on the Rock of Three Incarnations.\I've said all that I should. response:	I'm now at a loss for words.
context: Fortunately, Zhe Yan did it first.\Otherwise, you'd be the first eight-tailed little fox in Qing Qiu.\Father told me\that the tails of a nine-tailed fox can do a great many things.\I wanted to see if it could carve my name and Dong Hua's name\on the Rock of Three Incarnations.\I've said all that I should.\I'm now at a loss for words. response:	I can only sigh.
context: Otherwise, you'd be the first eight-tailed little fox in Qing Qiu.\Father told me\that the tails of a nine-tailed fox can do a great many things.\I wanted to see if it could carve my name and Dong Hua's name\on the Rock of Three Incarnations.\I've said all that I should.\I'm now at a loss for words.\I can only sigh. response:	Auntie, who do you think I dreamed about last night?
context: Father told me\that the tails of a nine-tailed fox can do a great many things.\I wanted to see if it could carve my name and Dong Hua's name\on the Rock of Three Incarnations.\I've said all that I should.\I'm now at a loss for words.\I can only sigh.\Auntie, who do you think I dreamed about last night? response:	It definitely wasn't me, right?
context: that the tails of a nine-tailed fox can do a great many things.\I wanted to see if it could carve my name and Dong Hua's name\on the Rock of Three Incarnations.\I've said all that I should.\I'm now at a loss for words.\I can only sigh.\Auntie, who do you think I dreamed about last night?\It definitely wasn't me, right? response:	I'll have Mi Gu accompany you back to the Fox Den today to get some rest.
context: I wanted to see if it could carve my name and Dong Hua's name\on the Rock of Three Incarnations.\I've said all that I should.\I'm now at a loss for words.\I can only sigh.\Auntie, who do you think I dreamed about last night?\It definitely wasn't me, right?\I'll have Mi Gu accompany you back to the Fox Den today to get some rest. response:	Once I'm done cultivating all the elixir needed for my mentor's meditation
context: on the Rock of Three Incarnations.\I've said all that I should.\I'm now at a loss for words.\I can only sigh.\Auntie, who do you think I dreamed about last night?\It definitely wasn't me, right?\I'll have Mi Gu accompany you back to the Fox Den today to get some rest.\Once I'm done cultivating all the elixir needed for my mentor's meditation response:	I'll head home to keep you company.
context: I've said all that I should.\I'm now at a loss for words.\I can only sigh.\Auntie, who do you think I dreamed about last night?\It definitely wasn't me, right?\I'll have Mi Gu accompany you back to the Fox Den today to get some rest.\Once I'm done cultivating all the elixir needed for my mentor's meditation\I'll head home to keep you company. response:	You're not to act foolishly again.
context: I'm now at a loss for words.\I can only sigh.\Auntie, who do you think I dreamed about last night?\It definitely wasn't me, right?\I'll have Mi Gu accompany you back to the Fox Den today to get some rest.\Once I'm done cultivating all the elixir needed for my mentor's meditation\I'll head home to keep you company.\You're not to act foolishly again. response:	Don't worry, Auntie.
context: I can only sigh.\Auntie, who do you think I dreamed about last night?\It definitely wasn't me, right?\I'll have Mi Gu accompany you back to the Fox Den today to get some rest.\Once I'm done cultivating all the elixir needed for my mentor's meditation\I'll head home to keep you company.\You're not to act foolishly again.\Don't worry, Auntie. response:	Cutting off a tail is as good as having died once.
context: Auntie, who do you think I dreamed about last night?\It definitely wasn't me, right?\I'll have Mi Gu accompany you back to the Fox Den today to get some rest.\Once I'm done cultivating all the elixir needed for my mentor's meditation\I'll head home to keep you company.\You're not to act foolishly again.\Don't worry, Auntie.\Cutting off a tail is as good as having died once. response:	I've suddenly figured some thing out.
context: It definitely wasn't me, right?\I'll have Mi Gu accompany you back to the Fox Den today to get some rest.\Once I'm done cultivating all the elixir needed for my mentor's meditation\I'll head home to keep you company.\You're not to act foolishly again.\Don't worry, Auntie.\Cutting off a tail is as good as having died once.\I've suddenly figured some thing out. response:	You suddenly fell out of love with him?
context: I'll have Mi Gu accompany you back to the Fox Den today to get some rest.\Once I'm done cultivating all the elixir needed for my mentor's meditation\I'll head home to keep you company.\You're not to act foolishly again.\Don't worry, Auntie.\Cutting off a tail is as good as having died once.\I've suddenly figured some thing out.\You suddenly fell out of love with him? response:	No.
context: Once I'm done cultivating all the elixir needed for my mentor's meditation\I'll head home to keep you company.\You're not to act foolishly again.\Don't worry, Auntie.\Cutting off a tail is as good as having died once.\I've suddenly figured some thing out.\You suddenly fell out of love with him?\No. response:	There's still plenty of time.
context: I'll head home to keep you company.\You're not to act foolishly again.\Don't worry, Auntie.\Cutting off a tail is as good as having died once.\I've suddenly figured some thing out.\You suddenly fell out of love with him?\No.\There's still plenty of time. response:	I'll surely find a way.
context: You're not to act foolishly again.\Don't worry, Auntie.\Cutting off a tail is as good as having died once.\I've suddenly figured some thing out.\You suddenly fell out of love with him?\No.\There's still plenty of time.\I'll surely find a way. response:	Xin Nu, look.
context: Don't worry, Auntie.\Cutting off a tail is as good as having died once.\I've suddenly figured some thing out.\You suddenly fell out of love with him?\No.\There's still plenty of time.\I'll surely find a way.\Xin Nu, look. response:	Does it resemble her?
context: Cutting off a tail is as good as having died once.\I've suddenly figured some thing out.\You suddenly fell out of love with him?\No.\There's still plenty of time.\I'll surely find a way.\Xin Nu, look.\Does it resemble her? response:	Yes, it looks almost exactly like her now.
context: I've suddenly figured some thing out.\You suddenly fell out of love with him?\No.\There's still plenty of time.\I'll surely find a way.\Xin Nu, look.\Does it resemble her?\Yes, it looks almost exactly like her now. response:	Your Highness...
context: You suddenly fell out of love with him?\No.\There's still plenty of time.\I'll surely find a way.\Xin Nu, look.\Does it resemble her?\Yes, it looks almost exactly like her now.\Your Highness... response:	I made this out of my magical powers.
context: No.\There's still plenty of time.\I'll surely find a way.\Xin Nu, look.\Does it resemble her?\Yes, it looks almost exactly like her now.\Your Highness...\I made this out of my magical powers. response:	It won't last for long.
context: There's still plenty of time.\I'll surely find a way.\Xin Nu, look.\Does it resemble her?\Yes, it looks almost exactly like her now.\Your Highness...\I made this out of my magical powers.\It won't last for long. response:	It's unlike what Ye Hua had wanted to make out of the Soul-gathering Lamp.
context: I'll surely find a way.\Xin Nu, look.\Does it resemble her?\Yes, it looks almost exactly like her now.\Your Highness...\I made this out of my magical powers.\It won't last for long.\It's unlike what Ye Hua had wanted to make out of the Soul-gathering Lamp. response:	Your Highness, it took you days to create this.
context: Xin Nu, look.\Does it resemble her?\Yes, it looks almost exactly like her now.\Your Highness...\I made this out of my magical powers.\It won't last for long.\It's unlike what Ye Hua had wanted to make out of the Soul-gathering Lamp.\Your Highness, it took you days to create this. response:	What does it do?
context: Does it resemble her?\Yes, it looks almost exactly like her now.\Your Highness...\I made this out of my magical powers.\It won't last for long.\It's unlike what Ye Hua had wanted to make out of the Soul-gathering Lamp.\Your Highness, it took you days to create this.\What does it do? response:	I'll have her accompany His Highness through the trial in the Mortal Realm.
context: Yes, it looks almost exactly like her now.\Your Highness...\I made this out of my magical powers.\It won't last for long.\It's unlike what Ye Hua had wanted to make out of the Soul-gathering Lamp.\Your Highness, it took you days to create this.\What does it do?\I'll have her accompany His Highness through the trial in the Mortal Realm. response:	You mean to send her to the Mortal Realm to accompany His Highness?
context: Your Highness...\I made this out of my magical powers.\It won't last for long.\It's unlike what Ye Hua had wanted to make out of the Soul-gathering Lamp.\Your Highness, it took you days to create this.\What does it do?\I'll have her accompany His Highness through the trial in the Mortal Realm.\You mean to send her to the Mortal Realm to accompany His Highness? response:	Didn't I tell you that Bai Qian and I share the same weakness?
context: I made this out of my magical powers.\It won't last for long.\It's unlike what Ye Hua had wanted to make out of the Soul-gathering Lamp.\Your Highness, it took you days to create this.\What does it do?\I'll have her accompany His Highness through the trial in the Mortal Realm.\You mean to send her to the Mortal Realm to accompany His Highness?\Didn't I tell you that Bai Qian and I share the same weakness? response:	We're both in love with Ye Hua.
context: It won't last for long.\It's unlike what Ye Hua had wanted to make out of the Soul-gathering Lamp.\Your Highness, it took you days to create this.\What does it do?\I'll have her accompany His Highness through the trial in the Mortal Realm.\You mean to send her to the Mortal Realm to accompany His Highness?\Didn't I tell you that Bai Qian and I share the same weakness?\We're both in love with Ye Hua. response:	Once she's in love with Ye Hua she will get jealous.
context: It's unlike what Ye Hua had wanted to make out of the Soul-gathering Lamp.\Your Highness, it took you days to create this.\What does it do?\I'll have her accompany His Highness through the trial in the Mortal Realm.\You mean to send her to the Mortal Realm to accompany His Highness?\Didn't I tell you that Bai Qian and I share the same weakness?\We're both in love with Ye Hua.\Once she's in love with Ye Hua she will get jealous. response:	Just like I was jealous of Su Su and Ye Hua's affection.
context: Your Highness, it took you days to create this.\What does it do?\I'll have her accompany His Highness through the trial in the Mortal Realm.\You mean to send her to the Mortal Realm to accompany His Highness?\Didn't I tell you that Bai Qian and I share the same weakness?\We're both in love with Ye Hua.\Once she's in love with Ye Hua she will get jealous.\Just like I was jealous of Su Su and Ye Hua's affection. response:	I want Bai Qian to know that she's just a substitute for Su Su.
context: What does it do?\I'll have her accompany His Highness through the trial in the Mortal Realm.\You mean to send her to the Mortal Realm to accompany His Highness?\Didn't I tell you that Bai Qian and I share the same weakness?\We're both in love with Ye Hua.\Once she's in love with Ye Hua she will get jealous.\Just like I was jealous of Su Su and Ye Hua's affection.\I want Bai Qian to know that she's just a substitute for Su Su. response:	So what if she's a high god of Qing Qiu?
context: I'll have her accompany His Highness through the trial in the Mortal Realm.\You mean to send her to the Mortal Realm to accompany His Highness?\Didn't I tell you that Bai Qian and I share the same weakness?\We're both in love with Ye Hua.\Once she's in love with Ye Hua she will get jealous.\Just like I was jealous of Su Su and Ye Hua's affection.\I want Bai Qian to know that she's just a substitute for Su Su.\So what if she's a high god of Qing Qiu? response:	In the end, she is but a substitute for that dead mortal.
context: You mean to send her to the Mortal Realm to accompany His Highness?\Didn't I tell you that Bai Qian and I share the same weakness?\We're both in love with Ye Hua.\Once she's in love with Ye Hua she will get jealous.\Just like I was jealous of Su Su and Ye Hua's affection.\I want Bai Qian to know that she's just a substitute for Su Su.\So what if she's a high god of Qing Qiu?\In the end, she is but a substitute for that dead mortal. response:	She's no different from this wooden figurine.
context: Didn't I tell you that Bai Qian and I share the same weakness?\We're both in love with Ye Hua.\Once she's in love with Ye Hua she will get jealous.\Just like I was jealous of Su Su and Ye Hua's affection.\I want Bai Qian to know that she's just a substitute for Su Su.\So what if she's a high god of Qing Qiu?\In the end, she is but a substitute for that dead mortal.\She's no different from this wooden figurine. response:	You want her to act like Su Su and stay by His Highness's side
context: We're both in love with Ye Hua.\Once she's in love with Ye Hua she will get jealous.\Just like I was jealous of Su Su and Ye Hua's affection.\I want Bai Qian to know that she's just a substitute for Su Su.\So what if she's a high god of Qing Qiu?\In the end, she is but a substitute for that dead mortal.\She's no different from this wooden figurine.\You want her to act like Su Su and stay by His Highness's side response:	to upset Bai Qian.
context: Once she's in love with Ye Hua she will get jealous.\Just like I was jealous of Su Su and Ye Hua's affection.\I want Bai Qian to know that she's just a substitute for Su Su.\So what if she's a high god of Qing Qiu?\In the end, she is but a substitute for that dead mortal.\She's no different from this wooden figurine.\You want her to act like Su Su and stay by His Highness's side\to upset Bai Qian. response:	Exactly.
context: Just like I was jealous of Su Su and Ye Hua's affection.\I want Bai Qian to know that she's just a substitute for Su Su.\So what if she's a high god of Qing Qiu?\In the end, she is but a substitute for that dead mortal.\She's no different from this wooden figurine.\You want her to act like Su Su and stay by His Highness's side\to upset Bai Qian.\Exactly. response:	Bai Qian will be jealous of this substitute
context: I want Bai Qian to know that she's just a substitute for Su Su.\So what if she's a high god of Qing Qiu?\In the end, she is but a substitute for that dead mortal.\She's no different from this wooden figurine.\You want her to act like Su Su and stay by His Highness's side\to upset Bai Qian.\Exactly.\Bai Qian will be jealous of this substitute response:	as much as I was with Su Su.
context: So what if she's a high god of Qing Qiu?\In the end, she is but a substitute for that dead mortal.\She's no different from this wooden figurine.\You want her to act like Su Su and stay by His Highness's side\to upset Bai Qian.\Exactly.\Bai Qian will be jealous of this substitute\as much as I was with Su Su. response:	Her status as a high god doesn't make her any different!
context: In the end, she is but a substitute for that dead mortal.\She's no different from this wooden figurine.\You want her to act like Su Su and stay by His Highness's side\to upset Bai Qian.\Exactly.\Bai Qian will be jealous of this substitute\as much as I was with Su Su.\Her status as a high god doesn't make her any different! response:	From now on, you are to keep an eye on this woman at all times.
context: She's no different from this wooden figurine.\You want her to act like Su Su and stay by His Highness's side\to upset Bai Qian.\Exactly.\Bai Qian will be jealous of this substitute\as much as I was with Su Su.\Her status as a high god doesn't make her any different!\From now on, you are to keep an eye on this woman at all times. response:	Inform me immediately if you see Bai Qian visiting His Highness.
context: You want her to act like Su Su and stay by His Highness's side\to upset Bai Qian.\Exactly.\Bai Qian will be jealous of this substitute\as much as I was with Su Su.\Her status as a high god doesn't make her any different!\From now on, you are to keep an eye on this woman at all times.\Inform me immediately if you see Bai Qian visiting His Highness. response:	Yes.
context: to upset Bai Qian.\Exactly.\Bai Qian will be jealous of this substitute\as much as I was with Su Su.\Her status as a high god doesn't make her any different!\From now on, you are to keep an eye on this woman at all times.\Inform me immediately if you see Bai Qian visiting His Highness.\Yes. response:	Lift your chin up and let me take a look at you.
context: Exactly.\Bai Qian will be jealous of this substitute\as much as I was with Su Su.\Her status as a high god doesn't make her any different!\From now on, you are to keep an eye on this woman at all times.\Inform me immediately if you see Bai Qian visiting His Highness.\Yes.\Lift your chin up and let me take a look at you. response:	That woman wasn't as gentle as you are.
context: Bai Qian will be jealous of this substitute\as much as I was with Su Su.\Her status as a high god doesn't make her any different!\From now on, you are to keep an eye on this woman at all times.\Inform me immediately if you see Bai Qian visiting His Highness.\Yes.\Lift your chin up and let me take a look at you.\That woman wasn't as gentle as you are. response:	She was strong-minded and unyielding.
context: as much as I was with Su Su.\Her status as a high god doesn't make her any different!\From now on, you are to keep an eye on this woman at all times.\Inform me immediately if you see Bai Qian visiting His Highness.\Yes.\Lift your chin up and let me take a look at you.\That woman wasn't as gentle as you are.\She was strong-minded and unyielding. response:	It doesn't matter.
context: Her status as a high god doesn't make her any different!\From now on, you are to keep an eye on this woman at all times.\Inform me immediately if you see Bai Qian visiting His Highness.\Yes.\Lift your chin up and let me take a look at you.\That woman wasn't as gentle as you are.\She was strong-minded and unyielding.\It doesn't matter. response:	His Highness has lost his memory in his mortal form.
context: From now on, you are to keep an eye on this woman at all times.\Inform me immediately if you see Bai Qian visiting His Highness.\Yes.\Lift your chin up and let me take a look at you.\That woman wasn't as gentle as you are.\She was strong-minded and unyielding.\It doesn't matter.\His Highness has lost his memory in his mortal form. response:	He won't remember that mortal.
context: Inform me immediately if you see Bai Qian visiting His Highness.\Yes.\Lift your chin up and let me take a look at you.\That woman wasn't as gentle as you are.\She was strong-minded and unyielding.\It doesn't matter.\His Highness has lost his memory in his mortal form.\He won't remember that mortal. response:	From now on, your name is Su Su.
context: Yes.\Lift your chin up and let me take a look at you.\That woman wasn't as gentle as you are.\She was strong-minded and unyielding.\It doesn't matter.\His Highness has lost his memory in his mortal form.\He won't remember that mortal.\From now on, your name is Su Su. response:	Yes.
context: Lift your chin up and let me take a look at you.\That woman wasn't as gentle as you are.\She was strong-minded and unyielding.\It doesn't matter.\His Highness has lost his memory in his mortal form.\He won't remember that mortal.\From now on, your name is Su Su.\Yes. response:	Young Master ranked first in the examination!
context: That woman wasn't as gentle as you are.\She was strong-minded and unyielding.\It doesn't matter.\His Highness has lost his memory in his mortal form.\He won't remember that mortal.\From now on, your name is Su Su.\Yes.\Young Master ranked first in the examination! response:	- Great! - Congratulations!
context: She was strong-minded and unyielding.\It doesn't matter.\His Highness has lost his memory in his mortal form.\He won't remember that mortal.\From now on, your name is Su Su.\Yes.\Young Master ranked first in the examination!\- Great! - Congratulations! response:	My Young Master is giving out celebratory pastries.
context: It doesn't matter.\His Highness has lost his memory in his mortal form.\He won't remember that mortal.\From now on, your name is Su Su.\Yes.\Young Master ranked first in the examination!\- Great! - Congratulations!\My Young Master is giving out celebratory pastries. response:	Come and have some.
context: His Highness has lost his memory in his mortal form.\He won't remember that mortal.\From now on, your name is Su Su.\Yes.\Young Master ranked first in the examination!\- Great! - Congratulations!\My Young Master is giving out celebratory pastries.\Come and have some. response:	- Yes! - Yes!
context: He won't remember that mortal.\From now on, your name is Su Su.\Yes.\Young Master ranked first in the examination!\- Great! - Congratulations!\My Young Master is giving out celebratory pastries.\Come and have some.\- Yes! - Yes! response:	- Congratulations! - Congratulations!
context: From now on, your name is Su Su.\Yes.\Young Master ranked first in the examination!\- Great! - Congratulations!\My Young Master is giving out celebratory pastries.\Come and have some.\- Yes! - Yes!\- Congratulations! - Congratulations! response:	- Thank you! - Thank you, Young Master!
context: Yes.\Young Master ranked first in the examination!\- Great! - Congratulations!\My Young Master is giving out celebratory pastries.\Come and have some.\- Yes! - Yes!\- Congratulations! - Congratulations!\- Thank you! - Thank you, Young Master! response:	Thank you, Young Master!
context: Young Master ranked first in the examination!\- Great! - Congratulations!\My Young Master is giving out celebratory pastries.\Come and have some.\- Yes! - Yes!\- Congratulations! - Congratulations!\- Thank you! - Thank you, Young Master!\Thank you, Young Master! response:	You're here?
context: - Great! - Congratulations!\My Young Master is giving out celebratory pastries.\Come and have some.\- Yes! - Yes!\- Congratulations! - Congratulations!\- Thank you! - Thank you, Young Master!\Thank you, Young Master!\You're here? response:	Sir, have you mistaken me for someone else?
context: My Young Master is giving out celebratory pastries.\Come and have some.\- Yes! - Yes!\- Congratulations! - Congratulations!\- Thank you! - Thank you, Young Master!\Thank you, Young Master!\You're here?\Sir, have you mistaken me for someone else? response:	Indeed...
context: Come and have some.\- Yes! - Yes!\- Congratulations! - Congratulations!\- Thank you! - Thank you, Young Master!\Thank you, Young Master!\You're here?\Sir, have you mistaken me for someone else?\Indeed... response:	You might resemble her, but you are not her.
context: - Yes! - Yes!\- Congratulations! - Congratulations!\- Thank you! - Thank you, Young Master!\Thank you, Young Master!\You're here?\Sir, have you mistaken me for someone else?\Indeed...\You might resemble her, but you are not her. response:	Sir!
context: - Congratulations! - Congratulations!\- Thank you! - Thank you, Young Master!\Thank you, Young Master!\You're here?\Sir, have you mistaken me for someone else?\Indeed...\You might resemble her, but you are not her.\Sir! response:	Could you be so kind as to buy me?
context: - Thank you! - Thank you, Young Master!\Thank you, Young Master!\You're here?\Sir, have you mistaken me for someone else?\Indeed...\You might resemble her, but you are not her.\Sir!\Could you be so kind as to buy me? response:	I really need some money to bury my father.
context: Thank you, Young Master!\You're here?\Sir, have you mistaken me for someone else?\Indeed...\You might resemble her, but you are not her.\Sir!\Could you be so kind as to buy me?\I really need some money to bury my father. response:	Since I resemble that lady you have on your mind
context: You're here?\Sir, have you mistaken me for someone else?\Indeed...\You might resemble her, but you are not her.\Sir!\Could you be so kind as to buy me?\I really need some money to bury my father.\Since I resemble that lady you have on your mind response:	could you help me for the sake of that?
context: Sir, have you mistaken me for someone else?\Indeed...\You might resemble her, but you are not her.\Sir!\Could you be so kind as to buy me?\I really need some money to bury my father.\Since I resemble that lady you have on your mind\could you help me for the sake of that? response:	Young Master, let's go.
context: Indeed...\You might resemble her, but you are not her.\Sir!\Could you be so kind as to buy me?\I really need some money to bury my father.\Since I resemble that lady you have on your mind\could you help me for the sake of that?\Young Master, let's go. response:	There are many like her on the streets.
context: You might resemble her, but you are not her.\Sir!\Could you be so kind as to buy me?\I really need some money to bury my father.\Since I resemble that lady you have on your mind\could you help me for the sake of that?\Young Master, let's go.\There are many like her on the streets. response:	Sir!
context: Sir!\Could you be so kind as to buy me?\I really need some money to bury my father.\Since I resemble that lady you have on your mind\could you help me for the sake of that?\Young Master, let's go.\There are many like her on the streets.\Sir! response:	Take this.
context: Could you be so kind as to buy me?\I really need some money to bury my father.\Since I resemble that lady you have on your mind\could you help me for the sake of that?\Young Master, let's go.\There are many like her on the streets.\Sir!\Take this. response:	Thank you, sir.
context: I really need some money to bury my father.\Since I resemble that lady you have on your mind\could you help me for the sake of that?\Young Master, let's go.\There are many like her on the streets.\Sir!\Take this.\Thank you, sir. response:	Do you have anyone else?
context: Since I resemble that lady you have on your mind\could you help me for the sake of that?\Young Master, let's go.\There are many like her on the streets.\Sir!\Take this.\Thank you, sir.\Do you have anyone else? response:	No, I have no one else.
context: could you help me for the sake of that?\Young Master, let's go.\There are many like her on the streets.\Sir!\Take this.\Thank you, sir.\Do you have anyone else?\No, I have no one else. response:	Bury your father and then come over to my manor.
context: Young Master, let's go.\There are many like her on the streets.\Sir!\Take this.\Thank you, sir.\Do you have anyone else?\No, I have no one else.\Bury your father and then come over to my manor. response:	Really?
context: There are many like her on the streets.\Sir!\Take this.\Thank you, sir.\Do you have anyone else?\No, I have no one else.\Bury your father and then come over to my manor.\Really? response:	Of course.
context: Sir!\Take this.\Thank you, sir.\Do you have anyone else?\No, I have no one else.\Bury your father and then come over to my manor.\Really?\Of course. response:	Young Master is the top scholar.
context: Take this.\Thank you, sir.\Do you have anyone else?\No, I have no one else.\Bury your father and then come over to my manor.\Really?\Of course.\Young Master is the top scholar. response:	Why would he lie to you?
context: Thank you, sir.\Do you have anyone else?\No, I have no one else.\Bury your father and then come over to my manor.\Really?\Of course.\Young Master is the top scholar.\Why would he lie to you? response:	Thank you, sir.
context: Do you have anyone else?\No, I have no one else.\Bury your father and then come over to my manor.\Really?\Of course.\Young Master is the top scholar.\Why would he lie to you?\Thank you, sir. response:	You've been in the elixir chamber for six straight days.
context: No, I have no one else.\Bury your father and then come over to my manor.\Really?\Of course.\Young Master is the top scholar.\Why would he lie to you?\Thank you, sir.\You've been in the elixir chamber for six straight days. response:	Aren't you bored?
