context: You're the one who gives me my future response:	Even on a road without signs, I'll be fine, if we're together
context: You're the one who gives me my future\If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls response:	Boy, please chase after me
context: If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me response:	Because it won't be over after this
context: I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this response:	I can't say I'm sorry, sorry
context: I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry response:	Even though I believe you, my lips are pouting
context: I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting response:	I can't be cute, sorry
context: Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry response:	Catch me in the town where a drizzle is falling
context: I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling response:	Because I'll turn around and give you a make-up kiss
context: Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss response:	In your warm arms
context: Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms response:	Wings of Freedom
context: Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\Wings of Freedom response:	Wings of Freedom
context: I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\Wings of Freedom\Wings of Freedom response:	The End
context: Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\Wings of Freedom\Wings of Freedom\The End response:	Louise-san!
context: I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\Wings of Freedom\Wings of Freedom\The End\Louise-san! response:	Louise! Wake up!
context: Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\Wings of Freedom\Wings of Freedom\The End\Louise-san!\Louise! Wake up! response:	Let's hurry.
context: Because I'll turn around and give you a make-up kiss\In your warm arms\Wings of Freedom\Wings of Freedom\The End\Louise-san!\Louise! Wake up!\Let's hurry. response:	It's all right now.
context: In your warm arms\Wings of Freedom\Wings of Freedom\The End\Louise-san!\Louise! Wake up!\Let's hurry.\It's all right now. response:	Saito...
context: Wings of Freedom\Wings of Freedom\The End\Louise-san!\Louise! Wake up!\Let's hurry.\It's all right now.\Saito... response:	You had a relationship like that?!
context: Wings of Freedom\The End\Louise-san!\Louise! Wake up!\Let's hurry.\It's all right now.\Saito...\You had a relationship like that?! response:	Explosion!
context: The End\Louise-san!\Louise! Wake up!\Let's hurry.\It's all right now.\Saito...\You had a relationship like that?!\Explosion! response:	Explosion!
context: Louise-san!\Louise! Wake up!\Let's hurry.\It's all right now.\Saito...\You had a relationship like that?!\Explosion!\Explosion! response:	Explosion!
context: Louise! Wake up!\Let's hurry.\It's all right now.\Saito...\You had a relationship like that?!\Explosion!\Explosion!\Explosion! response:	Explosion!
context: Let's hurry.\It's all right now.\Saito...\You had a relationship like that?!\Explosion!\Explosion!\Explosion!\Explosion! response:	I can't use any magic...
context: It's all right now.\Saito...\You had a relationship like that?!\Explosion!\Explosion!\Explosion!\Explosion!\I can't use any magic... response:	A dream?
context: Saito...\You had a relationship like that?!\Explosion!\Explosion!\Explosion!\Explosion!\I can't use any magic...\A dream? response:	Could I really be?!
context: You had a relationship like that?!\Explosion!\Explosion!\Explosion!\Explosion!\I can't use any magic...\A dream?\Could I really be?! response:	Jella isa undzu hagal beoque il!
context: Explosion!\Explosion!\Explosion!\Explosion!\I can't use any magic...\A dream?\Could I really be?!\Jella isa undzu hagal beoque il! response:	Explosion!
context: Explosion!\Explosion!\Explosion!\I can't use any magic...\A dream?\Could I really be?!\Jella isa undzu hagal beoque il!\Explosion! response:	Tabitha.
context: Explosion!\Explosion!\I can't use any magic...\A dream?\Could I really be?!\Jella isa undzu hagal beoque il!\Explosion!\Tabitha. response:	Have you been up all this time?
context: Explosion!\I can't use any magic...\A dream?\Could I really be?!\Jella isa undzu hagal beoque il!\Explosion!\Tabitha.\Have you been up all this time? response:	No. Just for a while.
context: I can't use any magic...\A dream?\Could I really be?!\Jella isa undzu hagal beoque il!\Explosion!\Tabitha.\Have you been up all this time?\No. Just for a while. response:	What are you reading?
context: A dream?\Could I really be?!\Jella isa undzu hagal beoque il!\Explosion!\Tabitha.\Have you been up all this time?\No. Just for a while.\What are you reading? response:	The Hero, Ivaldi.
context: Could I really be?!\Jella isa undzu hagal beoque il!\Explosion!\Tabitha.\Have you been up all this time?\No. Just for a while.\What are you reading?\The Hero, Ivaldi. response:	A book full of memories.
context: Jella isa undzu hagal beoque il!\Explosion!\Tabitha.\Have you been up all this time?\No. Just for a while.\What are you reading?\The Hero, Ivaldi.\A book full of memories. response:	I see.
context: Explosion!\Tabitha.\Have you been up all this time?\No. Just for a while.\What are you reading?\The Hero, Ivaldi.\A book full of memories.\I see. response:	I wish I could read the words.
context: Tabitha.\Have you been up all this time?\No. Just for a while.\What are you reading?\The Hero, Ivaldi.\A book full of memories.\I see.\I wish I could read the words. response:	I can teach you.
context: Have you been up all this time?\No. Just for a while.\What are you reading?\The Hero, Ivaldi.\A book full of memories.\I see.\I wish I could read the words.\I can teach you. response:	You saved my life.
context: No. Just for a while.\What are you reading?\The Hero, Ivaldi.\A book full of memories.\I see.\I wish I could read the words.\I can teach you.\You saved my life. response:	What's the big deal?
context: What are you reading?\The Hero, Ivaldi.\A book full of memories.\I see.\I wish I could read the words.\I can teach you.\You saved my life.\What's the big deal? response:	Friends are supposed to help each other.
context: The Hero, Ivaldi.\A book full of memories.\I see.\I wish I could read the words.\I can teach you.\You saved my life.\What's the big deal?\Friends are supposed to help each other. response:	To show my gratitude.
context: A book full of memories.\I see.\I wish I could read the words.\I can teach you.\You saved my life.\What's the big deal?\Friends are supposed to help each other.\To show my gratitude. response:	Ivaldi.
context: I see.\I wish I could read the words.\I can teach you.\You saved my life.\What's the big deal?\Friends are supposed to help each other.\To show my gratitude.\Ivaldi. response:	It's the name of the hero.
context: I wish I could read the words.\I can teach you.\You saved my life.\What's the big deal?\Friends are supposed to help each other.\To show my gratitude.\Ivaldi.\It's the name of the hero. response:	What's this?
context: I can teach you.\You saved my life.\What's the big deal?\Friends are supposed to help each other.\To show my gratitude.\Ivaldi.\It's the name of the hero.\What's this? response:	Lu. The name of the girl who was saved.
context: You saved my life.\What's the big deal?\Friends are supposed to help each other.\To show my gratitude.\Ivaldi.\It's the name of the hero.\What's this?\Lu. The name of the girl who was saved. response:	I see...
context: What's the big deal?\Friends are supposed to help each other.\To show my gratitude.\Ivaldi.\It's the name of the hero.\What's this?\Lu. The name of the girl who was saved.\I see... response:	My mother used to read it to me when I was young.
context: Friends are supposed to help each other.\To show my gratitude.\Ivaldi.\It's the name of the hero.\What's this?\Lu. The name of the girl who was saved.\I see...\My mother used to read it to me when I was young. response:	Saito.
context: To show my gratitude.\Ivaldi.\It's the name of the hero.\What's this?\Lu. The name of the girl who was saved.\I see...\My mother used to read it to me when I was young.\Saito. response:	Louise?
context: Ivaldi.\It's the name of the hero.\What's this?\Lu. The name of the girl who was saved.\I see...\My mother used to read it to me when I was young.\Saito.\Louise? response:	What's wrong?
context: It's the name of the hero.\What's this?\Lu. The name of the girl who was saved.\I see...\My mother used to read it to me when I was young.\Saito.\Louise?\What's wrong? response:	I can't use any magic.
context: What's this?\Lu. The name of the girl who was saved.\I see...\My mother used to read it to me when I was young.\Saito.\Louise?\What's wrong?\I can't use any magic. response:	What should I do if I can't use it ever again?
context: Lu. The name of the girl who was saved.\I see...\My mother used to read it to me when I was young.\Saito.\Louise?\What's wrong?\I can't use any magic.\What should I do if I can't use it ever again? response:	I bet you're just tired.
context: I see...\My mother used to read it to me when I was young.\Saito.\Louise?\What's wrong?\I can't use any magic.\What should I do if I can't use it ever again?\I bet you're just tired. response:	Get some rest and I'm sure it'll come back.
context: My mother used to read it to me when I was young.\Saito.\Louise?\What's wrong?\I can't use any magic.\What should I do if I can't use it ever again?\I bet you're just tired.\Get some rest and I'm sure it'll come back. response:	Don't say such an irresponsible thing!
context: Saito.\Louise?\What's wrong?\I can't use any magic.\What should I do if I can't use it ever again?\I bet you're just tired.\Get some rest and I'm sure it'll come back.\Don't say such an irresponsible thing! response:	It's empty! I don't feel anything in me!
context: Louise?\What's wrong?\I can't use any magic.\What should I do if I can't use it ever again?\I bet you're just tired.\Get some rest and I'm sure it'll come back.\Don't say such an irresponsible thing!\It's empty! I don't feel anything in me! response:	Louise?
context: What's wrong?\I can't use any magic.\What should I do if I can't use it ever again?\I bet you're just tired.\Get some rest and I'm sure it'll come back.\Don't say such an irresponsible thing!\It's empty! I don't feel anything in me!\Louise? response:	If you can't use magic, I'll protect him.
context: I can't use any magic.\What should I do if I can't use it ever again?\I bet you're just tired.\Get some rest and I'm sure it'll come back.\Don't say such an irresponsible thing!\It's empty! I don't feel anything in me!\Louise?\If you can't use magic, I'll protect him. response:	Tabitha?
context: What should I do if I can't use it ever again?\I bet you're just tired.\Get some rest and I'm sure it'll come back.\Don't say such an irresponsible thing!\It's empty! I don't feel anything in me!\Louise?\If you can't use magic, I'll protect him.\Tabitha? response:	W-What are you saying?
context: I bet you're just tired.\Get some rest and I'm sure it'll come back.\Don't say such an irresponsible thing!\It's empty! I don't feel anything in me!\Louise?\If you can't use magic, I'll protect him.\Tabitha?\W-What are you saying? response:	Saito saved me.
context: Get some rest and I'm sure it'll come back.\Don't say such an irresponsible thing!\It's empty! I don't feel anything in me!\Louise?\If you can't use magic, I'll protect him.\Tabitha?\W-What are you saying?\Saito saved me. response:	So this time, I will protect Saito.
context: Don't say such an irresponsible thing!\It's empty! I don't feel anything in me!\Louise?\If you can't use magic, I'll protect him.\Tabitha?\W-What are you saying?\Saito saved me.\So this time, I will protect Saito. response:	It is what I want to do for him.
context: It's empty! I don't feel anything in me!\Louise?\If you can't use magic, I'll protect him.\Tabitha?\W-What are you saying?\Saito saved me.\So this time, I will protect Saito.\It is what I want to do for him. response:	Hey, you girls.
context: Louise?\If you can't use magic, I'll protect him.\Tabitha?\W-What are you saying?\Saito saved me.\So this time, I will protect Saito.\It is what I want to do for him.\Hey, you girls. response:	What's the ruckus so late at night?
context: If you can't use magic, I'll protect him.\Tabitha?\W-What are you saying?\Saito saved me.\So this time, I will protect Saito.\It is what I want to do for him.\Hey, you girls.\What's the ruckus so late at night? response:	Enemies?
context: Tabitha?\W-What are you saying?\Saito saved me.\So this time, I will protect Saito.\It is what I want to do for him.\Hey, you girls.\What's the ruckus so late at night?\Enemies? response:	No. No one is after us.
context: W-What are you saying?\Saito saved me.\So this time, I will protect Saito.\It is what I want to do for him.\Hey, you girls.\What's the ruckus so late at night?\Enemies?\No. No one is after us. response:	A-Are you sure?
context: Saito saved me.\So this time, I will protect Saito.\It is what I want to do for him.\Hey, you girls.\What's the ruckus so late at night?\Enemies?\No. No one is after us.\A-Are you sure? response:	Thank goodness.
context: So this time, I will protect Saito.\It is what I want to do for him.\Hey, you girls.\What's the ruckus so late at night?\Enemies?\No. No one is after us.\A-Are you sure?\Thank goodness. response:	A Square-class golem...
context: It is what I want to do for him.\Hey, you girls.\What's the ruckus so late at night?\Enemies?\No. No one is after us.\A-Are you sure?\Thank goodness.\A Square-class golem... response:	This puppet really is like a devilish monster.
context: Hey, you girls.\What's the ruckus so late at night?\Enemies?\No. No one is after us.\A-Are you sure?\Thank goodness.\A Square-class golem...\This puppet really is like a devilish monster. response:	I like it, my beloved Myoz.
context: What's the ruckus so late at night?\Enemies?\No. No one is after us.\A-Are you sure?\Thank goodness.\A Square-class golem...\This puppet really is like a devilish monster.\I like it, my beloved Myoz. response:	It's my honour.
context: Enemies?\No. No one is after us.\A-Are you sure?\Thank goodness.\A Square-class golem...\This puppet really is like a devilish monster.\I like it, my beloved Myoz.\It's my honour. response:	What's Charlotte and her party doing?
context: No. No one is after us.\A-Are you sure?\Thank goodness.\A Square-class golem...\This puppet really is like a devilish monster.\I like it, my beloved Myoz.\It's my honour.\What's Charlotte and her party doing? response:	They passed through the forest of Alden and are approaching the border.
context: A-Are you sure?\Thank goodness.\A Square-class golem...\This puppet really is like a devilish monster.\I like it, my beloved Myoz.\It's my honour.\What's Charlotte and her party doing?\They passed through the forest of Alden and are approaching the border. response:	I see.
context: Thank goodness.\A Square-class golem...\This puppet really is like a devilish monster.\I like it, my beloved Myoz.\It's my honour.\What's Charlotte and her party doing?\They passed through the forest of Alden and are approaching the border.\I see. response:	Let the totem bell ring!
context: A Square-class golem...\This puppet really is like a devilish monster.\I like it, my beloved Myoz.\It's my honour.\What's Charlotte and her party doing?\They passed through the forest of Alden and are approaching the border.\I see.\Let the totem bell ring! response:	The wind that blows through the Carillon Canyon shall cry at your death!
context: This puppet really is like a devilish monster.\I like it, my beloved Myoz.\It's my honour.\What's Charlotte and her party doing?\They passed through the forest of Alden and are approaching the border.\I see.\Let the totem bell ring!\The wind that blows through the Carillon Canyon shall cry at your death! response:	My dear Charlotte...
context: I like it, my beloved Myoz.\It's my honour.\What's Charlotte and her party doing?\They passed through the forest of Alden and are approaching the border.\I see.\Let the totem bell ring!\The wind that blows through the Carillon Canyon shall cry at your death!\My dear Charlotte... response:	Daughter of my brother, Charles, who left her behind.
context: It's my honour.\What's Charlotte and her party doing?\They passed through the forest of Alden and are approaching the border.\I see.\Let the totem bell ring!\The wind that blows through the Carillon Canyon shall cry at your death!\My dear Charlotte...\Daughter of my brother, Charles, who left her behind. response:	If I see you lie bleeding on the ground, will my heart cry out in pain?
context: What's Charlotte and her party doing?\They passed through the forest of Alden and are approaching the border.\I see.\Let the totem bell ring!\The wind that blows through the Carillon Canyon shall cry at your death!\My dear Charlotte...\Daughter of my brother, Charles, who left her behind.\If I see you lie bleeding on the ground, will my heart cry out in pain? response:	Similar to when I killed Charles?
context: They passed through the forest of Alden and are approaching the border.\I see.\Let the totem bell ring!\The wind that blows through the Carillon Canyon shall cry at your death!\My dear Charlotte...\Daughter of my brother, Charles, who left her behind.\If I see you lie bleeding on the ground, will my heart cry out in pain?\Similar to when I killed Charles? response:	Saito-san...
context: I see.\Let the totem bell ring!\The wind that blows through the Carillon Canyon shall cry at your death!\My dear Charlotte...\Daughter of my brother, Charles, who left her behind.\If I see you lie bleeding on the ground, will my heart cry out in pain?\Similar to when I killed Charles?\Saito-san... response:	Please be safe.
context: Let the totem bell ring!\The wind that blows through the Carillon Canyon shall cry at your death!\My dear Charlotte...\Daughter of my brother, Charles, who left her behind.\If I see you lie bleeding on the ground, will my heart cry out in pain?\Similar to when I killed Charles?\Saito-san...\Please be safe. response:	I don't see anything in the distance.
context: The wind that blows through the Carillon Canyon shall cry at your death!\My dear Charlotte...\Daughter of my brother, Charles, who left her behind.\If I see you lie bleeding on the ground, will my heart cry out in pain?\Similar to when I killed Charles?\Saito-san...\Please be safe.\I don't see anything in the distance. response:	Okay. Continue to keep your eyes open.
context: My dear Charlotte...\Daughter of my brother, Charles, who left her behind.\If I see you lie bleeding on the ground, will my heart cry out in pain?\Similar to when I killed Charles?\Saito-san...\Please be safe.\I don't see anything in the distance.\Okay. Continue to keep your eyes open. response:	Roger!
context: Daughter of my brother, Charles, who left her behind.\If I see you lie bleeding on the ground, will my heart cry out in pain?\Similar to when I killed Charles?\Saito-san...\Please be safe.\I don't see anything in the distance.\Okay. Continue to keep your eyes open.\Roger! response:	I received a notice saying there's something suspicious going on at San Maron, near the border of Gallia.
context: If I see you lie bleeding on the ground, will my heart cry out in pain?\Similar to when I killed Charles?\Saito-san...\Please be safe.\I don't see anything in the distance.\Okay. Continue to keep your eyes open.\Roger!\I received a notice saying there's something suspicious going on at San Maron, near the border of Gallia. response:	The King of Gallia wouldn't just let them go.
context: Similar to when I killed Charles?\Saito-san...\Please be safe.\I don't see anything in the distance.\Okay. Continue to keep your eyes open.\Roger!\I received a notice saying there's something suspicious going on at San Maron, near the border of Gallia.\The King of Gallia wouldn't just let them go. response:	However, invading through another's border is...
context: Saito-san...\Please be safe.\I don't see anything in the distance.\Okay. Continue to keep your eyes open.\Roger!\I received a notice saying there's something suspicious going on at San Maron, near the border of Gallia.\The King of Gallia wouldn't just let them go.\However, invading through another's border is... response:	It's merely for support.
context: Please be safe.\I don't see anything in the distance.\Okay. Continue to keep your eyes open.\Roger!\I received a notice saying there's something suspicious going on at San Maron, near the border of Gallia.\The King of Gallia wouldn't just let them go.\However, invading through another's border is...\It's merely for support. response:	It is time to make use of the Great Spear.
context: I don't see anything in the distance.\Okay. Continue to keep your eyes open.\Roger!\I received a notice saying there's something suspicious going on at San Maron, near the border of Gallia.\The King of Gallia wouldn't just let them go.\However, invading through another's border is...\It's merely for support.\It is time to make use of the Great Spear. response:	The Great Spear?
context: Okay. Continue to keep your eyes open.\Roger!\I received a notice saying there's something suspicious going on at San Maron, near the border of Gallia.\The King of Gallia wouldn't just let them go.\However, invading through another's border is...\It's merely for support.\It is time to make use of the Great Spear.\The Great Spear? response:	I'm sure this too came originally from the eastern land.
context: Roger!\I received a notice saying there's something suspicious going on at San Maron, near the border of Gallia.\The King of Gallia wouldn't just let them go.\However, invading through another's border is...\It's merely for support.\It is time to make use of the Great Spear.\The Great Spear?\I'm sure this too came originally from the eastern land. response:	It's one of the artefacts we cannot tie to anything else.
context: I received a notice saying there's something suspicious going on at San Maron, near the border of Gallia.\The King of Gallia wouldn't just let them go.\However, invading through another's border is...\It's merely for support.\It is time to make use of the Great Spear.\The Great Spear?\I'm sure this too came originally from the eastern land.\It's one of the artefacts we cannot tie to anything else. response:	So this is?
context: The King of Gallia wouldn't just let them go.\However, invading through another's border is...\It's merely for support.\It is time to make use of the Great Spear.\The Great Spear?\I'm sure this too came originally from the eastern land.\It's one of the artefacts we cannot tie to anything else.\So this is? response:	Mr. Colbert.
context: However, invading through another's border is...\It's merely for support.\It is time to make use of the Great Spear.\The Great Spear?\I'm sure this too came originally from the eastern land.\It's one of the artefacts we cannot tie to anything else.\So this is?\Mr. Colbert. response:	Please go save everyone.
context: It's merely for support.\It is time to make use of the Great Spear.\The Great Spear?\I'm sure this too came originally from the eastern land.\It's one of the artefacts we cannot tie to anything else.\So this is?\Mr. Colbert.\Please go save everyone. response:	I understand.
context: It is time to make use of the Great Spear.\The Great Spear?\I'm sure this too came originally from the eastern land.\It's one of the artefacts we cannot tie to anything else.\So this is?\Mr. Colbert.\Please go save everyone.\I understand. response:	I will save them even at the cost of my own life.
context: The Great Spear?\I'm sure this too came originally from the eastern land.\It's one of the artefacts we cannot tie to anything else.\So this is?\Mr. Colbert.\Please go save everyone.\I understand.\I will save them even at the cost of my own life. response:	What do you intend to do with just the four of you?
context: I'm sure this too came originally from the eastern land.\It's one of the artefacts we cannot tie to anything else.\So this is?\Mr. Colbert.\Please go save everyone.\I understand.\I will save them even at the cost of my own life.\What do you intend to do with just the four of you? response:	If you're going to load that on the Ostland,
context: It's one of the artefacts we cannot tie to anything else.\So this is?\Mr. Colbert.\Please go save everyone.\I understand.\I will save them even at the cost of my own life.\What do you intend to do with just the four of you?\If you're going to load that on the Ostland, response:	I'll lend you the Musketeer Force's strength.
context: So this is?\Mr. Colbert.\Please go save everyone.\I understand.\I will save them even at the cost of my own life.\What do you intend to do with just the four of you?\If you're going to load that on the Ostland,\I'll lend you the Musketeer Force's strength. response:	Thank you.
context: Mr. Colbert.\Please go save everyone.\I understand.\I will save them even at the cost of my own life.\What do you intend to do with just the four of you?\If you're going to load that on the Ostland,\I'll lend you the Musketeer Force's strength.\Thank you. response:	The Great Spear...
context: Please go save everyone.\I understand.\I will save them even at the cost of my own life.\What do you intend to do with just the four of you?\If you're going to load that on the Ostland,\I'll lend you the Musketeer Force's strength.\Thank you.\The Great Spear... response:	I just hope we don't have to use it.
context: I understand.\I will save them even at the cost of my own life.\What do you intend to do with just the four of you?\If you're going to load that on the Ostland,\I'll lend you the Musketeer Force's strength.\Thank you.\The Great Spear...\I just hope we don't have to use it. response:	Having slain the dragon, Ivaldi made his way deeper into the c... c -
context: I will save them even at the cost of my own life.\What do you intend to do with just the four of you?\If you're going to load that on the Ostland,\I'll lend you the Musketeer Force's strength.\Thank you.\The Great Spear...\I just hope we don't have to use it.\Having slain the dragon, Ivaldi made his way deeper into the c... c - response:	Cave.
context: What do you intend to do with just the four of you?\If you're going to load that on the Ostland,\I'll lend you the Musketeer Force's strength.\Thank you.\The Great Spear...\I just hope we don't have to use it.\Having slain the dragon, Ivaldi made his way deeper into the c... c -\Cave. response:	What do you think, Louise?
context: If you're going to load that on the Ostland,\I'll lend you the Musketeer Force's strength.\Thank you.\The Great Spear...\I just hope we don't have to use it.\Having slain the dragon, Ivaldi made his way deeper into the c... c -\Cave.\What do you think, Louise? response:	I'm starting to be able to read a lot.
context: I'll lend you the Musketeer Force's strength.\Thank you.\The Great Spear...\I just hope we don't have to use it.\Having slain the dragon, Ivaldi made his way deeper into the c... c -\Cave.\What do you think, Louise?\I'm starting to be able to read a lot. response:	Hey, Louise.
context: Thank you.\The Great Spear...\I just hope we don't have to use it.\Having slain the dragon, Ivaldi made his way deeper into the c... c -\Cave.\What do you think, Louise?\I'm starting to be able to read a lot.\Hey, Louise. response:	But it's strange.
context: The Great Spear...\I just hope we don't have to use it.\Having slain the dragon, Ivaldi made his way deeper into the c... c -\Cave.\What do you think, Louise?\I'm starting to be able to read a lot.\Hey, Louise.\But it's strange. response:	When you're teaching me, I can pick up reading really fast.
context: I just hope we don't have to use it.\Having slain the dragon, Ivaldi made his way deeper into the c... c -\Cave.\What do you think, Louise?\I'm starting to be able to read a lot.\Hey, Louise.\But it's strange.\When you're teaching me, I can pick up reading really fast. response:	It's part of Gandalfr's power.
context: Having slain the dragon, Ivaldi made his way deeper into the c... c -\Cave.\What do you think, Louise?\I'm starting to be able to read a lot.\Hey, Louise.\But it's strange.\When you're teaching me, I can pick up reading really fast.\It's part of Gandalfr's power. response:	I heard you'll change, body and soul,
context: Cave.\What do you think, Louise?\I'm starting to be able to read a lot.\Hey, Louise.\But it's strange.\When you're teaching me, I can pick up reading really fast.\It's part of Gandalfr's power.\I heard you'll change, body and soul, response:	when you are completely overtaken by Gandalfr's power.
context: What do you think, Louise?\I'm starting to be able to read a lot.\Hey, Louise.\But it's strange.\When you're teaching me, I can pick up reading really fast.\It's part of Gandalfr's power.\I heard you'll change, body and soul,\when you are completely overtaken by Gandalfr's power. response:	Is that true?
context: I'm starting to be able to read a lot.\Hey, Louise.\But it's strange.\When you're teaching me, I can pick up reading really fast.\It's part of Gandalfr's power.\I heard you'll change, body and soul,\when you are completely overtaken by Gandalfr's power.\Is that true? response:	You become a different person when you become Gandalfr?
context: Hey, Louise.\But it's strange.\When you're teaching me, I can pick up reading really fast.\It's part of Gandalfr's power.\I heard you'll change, body and soul,\when you are completely overtaken by Gandalfr's power.\Is that true?\You become a different person when you become Gandalfr? response:	You should know that best.
context: But it's strange.\When you're teaching me, I can pick up reading really fast.\It's part of Gandalfr's power.\I heard you'll change, body and soul,\when you are completely overtaken by Gandalfr's power.\Is that true?\You become a different person when you become Gandalfr?\You should know that best. response:	What? So Saito's with me because he's Gandalfr?
context: When you're teaching me, I can pick up reading really fast.\It's part of Gandalfr's power.\I heard you'll change, body and soul,\when you are completely overtaken by Gandalfr's power.\Is that true?\You become a different person when you become Gandalfr?\You should know that best.\What? So Saito's with me because he's Gandalfr? response:	So once I'm no longer a Void mage, it's over between us?
context: It's part of Gandalfr's power.\I heard you'll change, body and soul,\when you are completely overtaken by Gandalfr's power.\Is that true?\You become a different person when you become Gandalfr?\You should know that best.\What? So Saito's with me because he's Gandalfr?\So once I'm no longer a Void mage, it's over between us? response:	If I can't use my magic anymore,
