context: Huh? A person I love? response:	Yeah. Do you have someone special like that?
context: You can't be...\One of those villagers I kept enslaved underground?\One of those demis?!\The Rising of the Shield Hero\Raphtalia\W-Wait!\You lot would've died like dogs in the wild if I hadn't taken you in back then!\Shut your mouth! response:	Do you really think I've forgotten the atrocities you committed?
context: One of those villagers I kept enslaved underground?\One of those demis?!\The Rising of the Shield Hero\Raphtalia\W-Wait!\You lot would've died like dogs in the wild if I hadn't taken you in back then!\Shut your mouth!\Do you really think I've forgotten the atrocities you committed? response:	I haven't!
context: One of those demis?!\The Rising of the Shield Hero\Raphtalia\W-Wait!\You lot would've died like dogs in the wild if I hadn't taken you in back then!\Shut your mouth!\Do you really think I've forgotten the atrocities you committed?\I haven't! response:	I could never forget!
context: The Rising of the Shield Hero\Raphtalia\W-Wait!\You lot would've died like dogs in the wild if I hadn't taken you in back then!\Shut your mouth!\Do you really think I've forgotten the atrocities you committed?\I haven't!\I could never forget! response:	I was wrong!
context: Raphtalia\W-Wait!\You lot would've died like dogs in the wild if I hadn't taken you in back then!\Shut your mouth!\Do you really think I've forgotten the atrocities you committed?\I haven't!\I could never forget!\I was wrong! response:	I-I'll apologize!
context: W-Wait!\You lot would've died like dogs in the wild if I hadn't taken you in back then!\Shut your mouth!\Do you really think I've forgotten the atrocities you committed?\I haven't!\I could never forget!\I was wrong!\I-I'll apologize! response:	I'm so sorry!
context: You lot would've died like dogs in the wild if I hadn't taken you in back then!\Shut your mouth!\Do you really think I've forgotten the atrocities you committed?\I haven't!\I could never forget!\I was wrong!\I-I'll apologize!\I'm so sorry! response:	This scumbag took Rifana-chan and...
context: Shut your mouth!\Do you really think I've forgotten the atrocities you committed?\I haven't!\I could never forget!\I was wrong!\I-I'll apologize!\I'm so sorry!\This scumbag took Rifana-chan and... response:	No! Please don't!
context: Do you really think I've forgotten the atrocities you committed?\I haven't!\I could never forget!\I was wrong!\I-I'll apologize!\I'm so sorry!\This scumbag took Rifana-chan and...\No! Please don't! response:	Raphtalia...
context: I haven't!\I could never forget!\I was wrong!\I-I'll apologize!\I'm so sorry!\This scumbag took Rifana-chan and...\No! Please don't!\Raphtalia... response:	Will killing him help you get closure?
context: I could never forget!\I was wrong!\I-I'll apologize!\I'm so sorry!\This scumbag took Rifana-chan and...\No! Please don't!\Raphtalia...\Will killing him help you get closure? response:	It's not just with the sword, right? Haven't you grown stronger in other ways?
context: I was wrong!\I-I'll apologize!\I'm so sorry!\This scumbag took Rifana-chan and...\No! Please don't!\Raphtalia...\Will killing him help you get closure?\It's not just with the sword, right? Haven't you grown stronger in other ways? response:	You're a terrible person who put so many demi-humans through hell, then killed them.
context: I-I'll apologize!\I'm so sorry!\This scumbag took Rifana-chan and...\No! Please don't!\Raphtalia...\Will killing him help you get closure?\It's not just with the sword, right? Haven't you grown stronger in other ways?\You're a terrible person who put so many demi-humans through hell, then killed them. response:	I can never forgive you.
context: I'm so sorry!\This scumbag took Rifana-chan and...\No! Please don't!\Raphtalia...\Will killing him help you get closure?\It's not just with the sword, right? Haven't you grown stronger in other ways?\You're a terrible person who put so many demi-humans through hell, then killed them.\I can never forgive you. response:	But if I kill you now,
context: This scumbag took Rifana-chan and...\No! Please don't!\Raphtalia...\Will killing him help you get closure?\It's not just with the sword, right? Haven't you grown stronger in other ways?\You're a terrible person who put so many demi-humans through hell, then killed them.\I can never forgive you.\But if I kill you now, response:	I won't be any different from you.
context: No! Please don't!\Raphtalia...\Will killing him help you get closure?\It's not just with the sword, right? Haven't you grown stronger in other ways?\You're a terrible person who put so many demi-humans through hell, then killed them.\I can never forgive you.\But if I kill you now,\I won't be any different from you. response:	So I won't take your life.
context: Raphtalia...\Will killing him help you get closure?\It's not just with the sword, right? Haven't you grown stronger in other ways?\You're a terrible person who put so many demi-humans through hell, then killed them.\I can never forgive you.\But if I kill you now,\I won't be any different from you.\So I won't take your life. response:	You will live and atone for the sins you have committed.
context: Will killing him help you get closure?\It's not just with the sword, right? Haven't you grown stronger in other ways?\You're a terrible person who put so many demi-humans through hell, then killed them.\I can never forgive you.\But if I kill you now,\I won't be any different from you.\So I won't take your life.\You will live and atone for the sins you have committed. response:	Confound you...
context: It's not just with the sword, right? Haven't you grown stronger in other ways?\You're a terrible person who put so many demi-humans through hell, then killed them.\I can never forgive you.\But if I kill you now,\I won't be any different from you.\So I won't take your life.\You will live and atone for the sins you have committed.\Confound you... response:	Know your place, scum!
context: You're a terrible person who put so many demi-humans through hell, then killed them.\I can never forgive you.\But if I kill you now,\I won't be any different from you.\So I won't take your life.\You will live and atone for the sins you have committed.\Confound you...\Know your place, scum! response:	Curse you!
context: I can never forgive you.\But if I kill you now,\I won't be any different from you.\So I won't take your life.\You will live and atone for the sins you have committed.\Confound you...\Know your place, scum!\Curse you! response:	Demis don't deserve to live.
context: But if I kill you now,\I won't be any different from you.\So I won't take your life.\You will live and atone for the sins you have committed.\Confound you...\Know your place, scum!\Curse you!\Demis don't deserve to live. response:	Idol-sama!
context: I won't be any different from you.\So I won't take your life.\You will live and atone for the sins you have committed.\Confound you...\Know your place, scum!\Curse you!\Demis don't deserve to live.\Idol-sama! response:	Idol-sama!
context: So I won't take your life.\You will live and atone for the sins you have committed.\Confound you...\Know your place, scum!\Curse you!\Demis don't deserve to live.\Idol-sama!\Idol-sama! response:	Idol-sama is dead!
context: You will live and atone for the sins you have committed.\Confound you...\Know your place, scum!\Curse you!\Demis don't deserve to live.\Idol-sama!\Idol-sama!\Idol-sama is dead! response:	Retreat!
context: Confound you...\Know your place, scum!\Curse you!\Demis don't deserve to live.\Idol-sama!\Idol-sama!\Idol-sama is dead!\Retreat! response:	Retreat!
context: Know your place, scum!\Curse you!\Demis don't deserve to live.\Idol-sama!\Idol-sama!\Idol-sama is dead!\Retreat!\Retreat! response:	Onee-chan, are you okay?
context: Curse you!\Demis don't deserve to live.\Idol-sama!\Idol-sama!\Idol-sama is dead!\Retreat!\Retreat!\Onee-chan, are you okay? response:	Raphtalia-san!
context: Demis don't deserve to live.\Idol-sama!\Idol-sama!\Idol-sama is dead!\Retreat!\Retreat!\Onee-chan, are you okay?\Raphtalia-san! response:	Naofumi-sama, I...
context: Idol-sama!\Idol-sama!\Idol-sama is dead!\Retreat!\Retreat!\Onee-chan, are you okay?\Raphtalia-san!\Naofumi-sama, I... response:	It's not your fault.
context: Idol-sama!\Idol-sama is dead!\Retreat!\Retreat!\Onee-chan, are you okay?\Raphtalia-san!\Naofumi-sama, I...\It's not your fault. response:	But I...
context: Idol-sama is dead!\Retreat!\Retreat!\Onee-chan, are you okay?\Raphtalia-san!\Naofumi-sama, I...\It's not your fault.\But I... response:	It's okay.
context: Retreat!\Retreat!\Onee-chan, are you okay?\Raphtalia-san!\Naofumi-sama, I...\It's not your fault.\But I...\It's okay. response:	Sir Shield Hero...
context: Retreat!\Onee-chan, are you okay?\Raphtalia-san!\Naofumi-sama, I...\It's not your fault.\But I...\It's okay.\Sir Shield Hero... response:	Thank you. You saved me.
context: Onee-chan, are you okay?\Raphtalia-san!\Naofumi-sama, I...\It's not your fault.\But I...\It's okay.\Sir Shield Hero...\Thank you. You saved me. response:	Reichnott! Are you hurt?
context: Raphtalia-san!\Naofumi-sama, I...\It's not your fault.\But I...\It's okay.\Sir Shield Hero...\Thank you. You saved me.\Reichnott! Are you hurt? response:	I'm fine.
context: Naofumi-sama, I...\It's not your fault.\But I...\It's okay.\Sir Shield Hero...\Thank you. You saved me.\Reichnott! Are you hurt?\I'm fine. response:	First Aqua Heal.
context: It's not your fault.\But I...\It's okay.\Sir Shield Hero...\Thank you. You saved me.\Reichnott! Are you hurt?\I'm fine.\First Aqua Heal. response:	Let's take this chance to run.
context: But I...\It's okay.\Sir Shield Hero...\Thank you. You saved me.\Reichnott! Are you hurt?\I'm fine.\First Aqua Heal.\Let's take this chance to run. response:	Yeah.
context: It's okay.\Sir Shield Hero...\Thank you. You saved me.\Reichnott! Are you hurt?\I'm fine.\First Aqua Heal.\Let's take this chance to run.\Yeah. response:	But first...
context: Sir Shield Hero...\Thank you. You saved me.\Reichnott! Are you hurt?\I'm fine.\First Aqua Heal.\Let's take this chance to run.\Yeah.\But first... response:	Idol imprisoned his demi-human slaves underground,
context: Thank you. You saved me.\Reichnott! Are you hurt?\I'm fine.\First Aqua Heal.\Let's take this chance to run.\Yeah.\But first...\Idol imprisoned his demi-human slaves underground, response:	and tortured them.
context: Reichnott! Are you hurt?\I'm fine.\First Aqua Heal.\Let's take this chance to run.\Yeah.\But first...\Idol imprisoned his demi-human slaves underground,\and tortured them. response:	Why do you know that?
context: I'm fine.\First Aqua Heal.\Let's take this chance to run.\Yeah.\But first...\Idol imprisoned his demi-human slaves underground,\and tortured them.\Why do you know that? response:	Because I was one of them.
context: First Aqua Heal.\Let's take this chance to run.\Yeah.\But first...\Idol imprisoned his demi-human slaves underground,\and tortured them.\Why do you know that?\Because I was one of them. response:	It's not too late to turn back, you know?
context: Let's take this chance to run.\Yeah.\But first...\Idol imprisoned his demi-human slaves underground,\and tortured them.\Why do you know that?\Because I was one of them.\It's not too late to turn back, you know? response:	There's no need. I'll be fine.
context: Yeah.\But first...\Idol imprisoned his demi-human slaves underground,\and tortured them.\Why do you know that?\Because I was one of them.\It's not too late to turn back, you know?\There's no need. I'll be fine. response:	Always keep smiling and play nice with the villagers.
context: But first...\Idol imprisoned his demi-human slaves underground,\and tortured them.\Why do you know that?\Because I was one of them.\It's not too late to turn back, you know?\There's no need. I'll be fine.\Always keep smiling and play nice with the villagers. response:	And smile even more in hard times.
context: Idol imprisoned his demi-human slaves underground,\and tortured them.\Why do you know that?\Because I was one of them.\It's not too late to turn back, you know?\There's no need. I'll be fine.\Always keep smiling and play nice with the villagers.\And smile even more in hard times. response:	You must smile and help everyone around you smile, too.
context: and tortured them.\Why do you know that?\Because I was one of them.\It's not too late to turn back, you know?\There's no need. I'll be fine.\Always keep smiling and play nice with the villagers.\And smile even more in hard times.\You must smile and help everyone around you smile, too. response:	Dad... Mom...
context: Why do you know that?\Because I was one of them.\It's not too late to turn back, you know?\There's no need. I'll be fine.\Always keep smiling and play nice with the villagers.\And smile even more in hard times.\You must smile and help everyone around you smile, too.\Dad... Mom... response:	I won't cry anymore.
context: Because I was one of them.\It's not too late to turn back, you know?\There's no need. I'll be fine.\Always keep smiling and play nice with the villagers.\And smile even more in hard times.\You must smile and help everyone around you smile, too.\Dad... Mom...\I won't cry anymore. response:	Please watch over me.
context: It's not too late to turn back, you know?\There's no need. I'll be fine.\Always keep smiling and play nice with the villagers.\And smile even more in hard times.\You must smile and help everyone around you smile, too.\Dad... Mom...\I won't cry anymore.\Please watch over me. response:	Listen to me, everyone!
context: There's no need. I'll be fine.\Always keep smiling and play nice with the villagers.\And smile even more in hard times.\You must smile and help everyone around you smile, too.\Dad... Mom...\I won't cry anymore.\Please watch over me.\Listen to me, everyone! response:	We're still alive!
context: Always keep smiling and play nice with the villagers.\And smile even more in hard times.\You must smile and help everyone around you smile, too.\Dad... Mom...\I won't cry anymore.\Please watch over me.\Listen to me, everyone!\We're still alive! response:	And we'll keep on living!
context: And smile even more in hard times.\You must smile and help everyone around you smile, too.\Dad... Mom...\I won't cry anymore.\Please watch over me.\Listen to me, everyone!\We're still alive!\And we'll keep on living! response:	As survivors, let's rebuild our village, so it's the way it used to be!
context: You must smile and help everyone around you smile, too.\Dad... Mom...\I won't cry anymore.\Please watch over me.\Listen to me, everyone!\We're still alive!\And we'll keep on living!\As survivors, let's rebuild our village, so it's the way it used to be! response:	I'm sure that's what everyone who died would want!
context: Dad... Mom...\I won't cry anymore.\Please watch over me.\Listen to me, everyone!\We're still alive!\And we'll keep on living!\As survivors, let's rebuild our village, so it's the way it used to be!\I'm sure that's what everyone who died would want! response:	Yeah!
context: I won't cry anymore.\Please watch over me.\Listen to me, everyone!\We're still alive!\And we'll keep on living!\As survivors, let's rebuild our village, so it's the way it used to be!\I'm sure that's what everyone who died would want!\Yeah! response:	Raphtalia-chan's right!
context: Please watch over me.\Listen to me, everyone!\We're still alive!\And we'll keep on living!\As survivors, let's rebuild our village, so it's the way it used to be!\I'm sure that's what everyone who died would want!\Yeah!\Raphtalia-chan's right! response:	Yep! Let's do our best!
context: Listen to me, everyone!\We're still alive!\And we'll keep on living!\As survivors, let's rebuild our village, so it's the way it used to be!\I'm sure that's what everyone who died would want!\Yeah!\Raphtalia-chan's right!\Yep! Let's do our best! response:	Yeah.
context: We're still alive!\And we'll keep on living!\As survivors, let's rebuild our village, so it's the way it used to be!\I'm sure that's what everyone who died would want!\Yeah!\Raphtalia-chan's right!\Yep! Let's do our best!\Yeah. response:	Let's rebuild our village!
context: And we'll keep on living!\As survivors, let's rebuild our village, so it's the way it used to be!\I'm sure that's what everyone who died would want!\Yeah!\Raphtalia-chan's right!\Yep! Let's do our best!\Yeah.\Let's rebuild our village! response:	Raphtalia-chan...
context: As survivors, let's rebuild our village, so it's the way it used to be!\I'm sure that's what everyone who died would want!\Yeah!\Raphtalia-chan's right!\Yep! Let's do our best!\Yeah.\Let's rebuild our village!\Raphtalia-chan... response:	Your parents died, right? Um...
context: I'm sure that's what everyone who died would want!\Yeah!\Raphtalia-chan's right!\Yep! Let's do our best!\Yeah.\Let's rebuild our village!\Raphtalia-chan...\Your parents died, right? Um... response:	Aren't you sad?
context: Yeah!\Raphtalia-chan's right!\Yep! Let's do our best!\Yeah.\Let's rebuild our village!\Raphtalia-chan...\Your parents died, right? Um...\Aren't you sad? response:	I am sad.
context: Raphtalia-chan's right!\Yep! Let's do our best!\Yeah.\Let's rebuild our village!\Raphtalia-chan...\Your parents died, right? Um...\Aren't you sad?\I am sad. response:	But I don't want to cry.
context: Yep! Let's do our best!\Yeah.\Let's rebuild our village!\Raphtalia-chan...\Your parents died, right? Um...\Aren't you sad?\I am sad.\But I don't want to cry. response:	Dad said I should keep smiling in hard times.
context: Yeah.\Let's rebuild our village!\Raphtalia-chan...\Your parents died, right? Um...\Aren't you sad?\I am sad.\But I don't want to cry.\Dad said I should keep smiling in hard times. response:	If you're trying so hard with a smile on your face,
context: Let's rebuild our village!\Raphtalia-chan...\Your parents died, right? Um...\Aren't you sad?\I am sad.\But I don't want to cry.\Dad said I should keep smiling in hard times.\If you're trying so hard with a smile on your face, response:	I should do my best, too.
context: Raphtalia-chan...\Your parents died, right? Um...\Aren't you sad?\I am sad.\But I don't want to cry.\Dad said I should keep smiling in hard times.\If you're trying so hard with a smile on your face,\I should do my best, too. response:	Yeah.
context: Your parents died, right? Um...\Aren't you sad?\I am sad.\But I don't want to cry.\Dad said I should keep smiling in hard times.\If you're trying so hard with a smile on your face,\I should do my best, too.\Yeah. response:	Hey.
context: Aren't you sad?\I am sad.\But I don't want to cry.\Dad said I should keep smiling in hard times.\If you're trying so hard with a smile on your face,\I should do my best, too.\Yeah.\Hey. response:	Look.
context: I am sad.\But I don't want to cry.\Dad said I should keep smiling in hard times.\If you're trying so hard with a smile on your face,\I should do my best, too.\Yeah.\Hey.\Look. response:	Help from the capital?
context: But I don't want to cry.\Dad said I should keep smiling in hard times.\If you're trying so hard with a smile on your face,\I should do my best, too.\Yeah.\Hey.\Look.\Help from the capital? response:	Finally!
context: Dad said I should keep smiling in hard times.\If you're trying so hard with a smile on your face,\I should do my best, too.\Yeah.\Hey.\Look.\Help from the capital?\Finally! response:	Get on already.
context: If you're trying so hard with a smile on your face,\I should do my best, too.\Yeah.\Hey.\Look.\Help from the capital?\Finally!\Get on already. response:	Quit wasting time.
context: I should do my best, too.\Yeah.\Hey.\Look.\Help from the capital?\Finally!\Get on already.\Quit wasting time. response:	Raphtalia-chan!
context: Yeah.\Hey.\Look.\Help from the capital?\Finally!\Get on already.\Quit wasting time.\Raphtalia-chan! response:	Get in, brat!
context: Hey.\Look.\Help from the capital?\Finally!\Get on already.\Quit wasting time.\Raphtalia-chan!\Get in, brat! response:	Are you okay, Mel-chan?
context: Look.\Help from the capital?\Finally!\Get on already.\Quit wasting time.\Raphtalia-chan!\Get in, brat!\Are you okay, Mel-chan? response:	Yes.
context: Help from the capital?\Finally!\Get on already.\Quit wasting time.\Raphtalia-chan!\Get in, brat!\Are you okay, Mel-chan?\Yes. response:	Raphtalia was trapped in a place like this?
context: Finally!\Get on already.\Quit wasting time.\Raphtalia-chan!\Get in, brat!\Are you okay, Mel-chan?\Yes.\Raphtalia was trapped in a place like this? response:	It's easy to see what was happening here.
context: Get on already.\Quit wasting time.\Raphtalia-chan!\Get in, brat!\Are you okay, Mel-chan?\Yes.\Raphtalia was trapped in a place like this?\It's easy to see what was happening here. response:	Just thinking about it makes me sick!
context: Quit wasting time.\Raphtalia-chan!\Get in, brat!\Are you okay, Mel-chan?\Yes.\Raphtalia was trapped in a place like this?\It's easy to see what was happening here.\Just thinking about it makes me sick! response:	Damn it!
context: Raphtalia-chan!\Get in, brat!\Are you okay, Mel-chan?\Yes.\Raphtalia was trapped in a place like this?\It's easy to see what was happening here.\Just thinking about it makes me sick!\Damn it! response:	You bore me!
context: Get in, brat!\Are you okay, Mel-chan?\Yes.\Raphtalia was trapped in a place like this?\It's easy to see what was happening here.\Just thinking about it makes me sick!\Damn it!\You bore me! response:	Scream and cry more!
context: Are you okay, Mel-chan?\Yes.\Raphtalia was trapped in a place like this?\It's easy to see what was happening here.\Just thinking about it makes me sick!\Damn it!\You bore me!\Scream and cry more! response:	Rifana-chan...
context: Yes.\Raphtalia was trapped in a place like this?\It's easy to see what was happening here.\Just thinking about it makes me sick!\Damn it!\You bore me!\Scream and cry more!\Rifana-chan... response:	Eat up, Rifana-chan.
context: Raphtalia was trapped in a place like this?\It's easy to see what was happening here.\Just thinking about it makes me sick!\Damn it!\You bore me!\Scream and cry more!\Rifana-chan...\Eat up, Rifana-chan. response:	Don't worry. I'm sure the Shield Hero will save us.
context: It's easy to see what was happening here.\Just thinking about it makes me sick!\Damn it!\You bore me!\Scream and cry more!\Rifana-chan...\Eat up, Rifana-chan.\Don't worry. I'm sure the Shield Hero will save us. response:	Rifana-chan?
context: Just thinking about it makes me sick!\Damn it!\You bore me!\Scream and cry more!\Rifana-chan...\Eat up, Rifana-chan.\Don't worry. I'm sure the Shield Hero will save us.\Rifana-chan? response:	You're burning up!
context: Damn it!\You bore me!\Scream and cry more!\Rifana-chan...\Eat up, Rifana-chan.\Don't worry. I'm sure the Shield Hero will save us.\Rifana-chan?\You're burning up! response:	Hey, do you remember that flag?
context: You bore me!\Scream and cry more!\Rifana-chan...\Eat up, Rifana-chan.\Don't worry. I'm sure the Shield Hero will save us.\Rifana-chan?\You're burning up!\Hey, do you remember that flag? response:	It was a symbol of how we demi-humans were allowed to build a village for ourselves.
context: Scream and cry more!\Rifana-chan...\Eat up, Rifana-chan.\Don't worry. I'm sure the Shield Hero will save us.\Rifana-chan?\You're burning up!\Hey, do you remember that flag?\It was a symbol of how we demi-humans were allowed to build a village for ourselves. response:	Yeah... Yeah.
context: Rifana-chan...\Eat up, Rifana-chan.\Don't worry. I'm sure the Shield Hero will save us.\Rifana-chan?\You're burning up!\Hey, do you remember that flag?\It was a symbol of how we demi-humans were allowed to build a village for ourselves.\Yeah... Yeah. response:	I remember.
context: Eat up, Rifana-chan.\Don't worry. I'm sure the Shield Hero will save us.\Rifana-chan?\You're burning up!\Hey, do you remember that flag?\It was a symbol of how we demi-humans were allowed to build a village for ourselves.\Yeah... Yeah.\I remember. response:	I wanna see it again.
context: Don't worry. I'm sure the Shield Hero will save us.\Rifana-chan?\You're burning up!\Hey, do you remember that flag?\It was a symbol of how we demi-humans were allowed to build a village for ourselves.\Yeah... Yeah.\I remember.\I wanna see it again. response:	I'm sure you can!
context: Rifana-chan?\You're burning up!\Hey, do you remember that flag?\It was a symbol of how we demi-humans were allowed to build a village for ourselves.\Yeah... Yeah.\I remember.\I wanna see it again.\I'm sure you can! response:	Yeah...
context: You're burning up!\Hey, do you remember that flag?\It was a symbol of how we demi-humans were allowed to build a village for ourselves.\Yeah... Yeah.\I remember.\I wanna see it again.\I'm sure you can!\Yeah... response:	Raphtalia-chan...
context: Hey, do you remember that flag?\It was a symbol of how we demi-humans were allowed to build a village for ourselves.\Yeah... Yeah.\I remember.\I wanna see it again.\I'm sure you can!\Yeah...\Raphtalia-chan... response:	What?
context: It was a symbol of how we demi-humans were allowed to build a village for ourselves.\Yeah... Yeah.\I remember.\I wanna see it again.\I'm sure you can!\Yeah...\Raphtalia-chan...\What? response:	I wanna go back to the village.
context: Yeah... Yeah.\I remember.\I wanna see it again.\I'm sure you can!\Yeah...\Raphtalia-chan...\What?\I wanna go back to the village. response:	Yeah, let's...
context: I remember.\I wanna see it again.\I'm sure you can!\Yeah...\Raphtalia-chan...\What?\I wanna go back to the village.\Yeah, let's... response:	Let's go home to our village together.
context: I wanna see it again.\I'm sure you can!\Yeah...\Raphtalia-chan...\What?\I wanna go back to the village.\Yeah, let's...\Let's go home to our village together. response:	I wanna go home.
context: I'm sure you can!\Yeah...\Raphtalia-chan...\What?\I wanna go back to the village.\Yeah, let's...\Let's go home to our village together.\I wanna go home. response:	Is that...
context: Yeah...\Raphtalia-chan...\What?\I wanna go back to the village.\Yeah, let's...\Let's go home to our village together.\I wanna go home.\Is that... response:	I'm sorry I couldn't make it any better.
context: Raphtalia-chan...\What?\I wanna go back to the village.\Yeah, let's...\Let's go home to our village together.\I wanna go home.\Is that...\I'm sorry I couldn't make it any better. response:	No!
context: What?\I wanna go back to the village.\Yeah, let's...\Let's go home to our village together.\I wanna go home.\Is that...\I'm sorry I couldn't make it any better.\No! response:	I'm so happy. Thank you.
context: I wanna go back to the village.\Yeah, let's...\Let's go home to our village together.\I wanna go home.\Is that...\I'm sorry I couldn't make it any better.\No!\I'm so happy. Thank you. response:	Rifana-chan?
context: Yeah, let's...\Let's go home to our village together.\I wanna go home.\Is that...\I'm sorry I couldn't make it any better.\No!\I'm so happy. Thank you.\Rifana-chan? response:	Hey.
context: Let's go home to our village together.\I wanna go home.\Is that...\I'm sorry I couldn't make it any better.\No!\I'm so happy. Thank you.\Rifana-chan?\Hey. response:	Out.
context: I wanna go home.\Is that...\I'm sorry I couldn't make it any better.\No!\I'm so happy. Thank you.\Rifana-chan?\Hey.\Out. response:	You're being sold off to a slave merchant.
context: Is that...\I'm sorry I couldn't make it any better.\No!\I'm so happy. Thank you.\Rifana-chan?\Hey.\Out.\You're being sold off to a slave merchant. response:	What about Rifana-chan?
context: I'm sorry I couldn't make it any better.\No!\I'm so happy. Thank you.\Rifana-chan?\Hey.\Out.\You're being sold off to a slave merchant.\What about Rifana-chan? response:	Tell me!
context: No!\I'm so happy. Thank you.\Rifana-chan?\Hey.\Out.\You're being sold off to a slave merchant.\What about Rifana-chan?\Tell me! response:	She's the only one being sold.
context: I'm so happy. Thank you.\Rifana-chan?\Hey.\Out.\You're being sold off to a slave merchant.\What about Rifana-chan?\Tell me!\She's the only one being sold. response:	Get going.
context: Rifana-chan?\Hey.\Out.\You're being sold off to a slave merchant.\What about Rifana-chan?\Tell me!\She's the only one being sold.\Get going. response:	What about Rifana-chan?!
context: Hey.\Out.\You're being sold off to a slave merchant.\What about Rifana-chan?\Tell me!\She's the only one being sold.\Get going.\What about Rifana-chan?! response:	She's done for.
context: Out.\You're being sold off to a slave merchant.\What about Rifana-chan?\Tell me!\She's the only one being sold.\Get going.\What about Rifana-chan?!\She's done for. response:	Huh?
context: You're being sold off to a slave merchant.\What about Rifana-chan?\Tell me!\She's the only one being sold.\Get going.\What about Rifana-chan?!\She's done for.\Huh? response:	How do I smile again?
context: What about Rifana-chan?\Tell me!\She's the only one being sold.\Get going.\What about Rifana-chan?!\She's done for.\Huh?\How do I smile again? response:	There's a survivor!
