context: Cockroach... response:	Under Shinichirou's shoe, there is a cockroach, too.
context: The food will...\Thank you.\Thank you.\Thank you.\It's chilling cold... Let's head back in and get ourselves warmed up.\Enjoy.\Sorry for the trouble, ma'am.\Hey, where's the young master? response:	He should've gotten changed by now...
context: Thank you.\Thank you.\Thank you.\It's chilling cold... Let's head back in and get ourselves warmed up.\Enjoy.\Sorry for the trouble, ma'am.\Hey, where's the young master?\He should've gotten changed by now... response:	Hey...
context: Thank you.\Thank you.\It's chilling cold... Let's head back in and get ourselves warmed up.\Enjoy.\Sorry for the trouble, ma'am.\Hey, where's the young master?\He should've gotten changed by now...\Hey... response:	I'll go have a look.
context: Thank you.\It's chilling cold... Let's head back in and get ourselves warmed up.\Enjoy.\Sorry for the trouble, ma'am.\Hey, where's the young master?\He should've gotten changed by now...\Hey...\I'll go have a look. response:	He should be getting ready in your room.
context: It's chilling cold... Let's head back in and get ourselves warmed up.\Enjoy.\Sorry for the trouble, ma'am.\Hey, where's the young master?\He should've gotten changed by now...\Hey...\I'll go have a look.\He should be getting ready in your room. response:	Alright.
context: Enjoy.\Sorry for the trouble, ma'am.\Hey, where's the young master?\He should've gotten changed by now...\Hey...\I'll go have a look.\He should be getting ready in your room.\Alright. response:	Oh, you helping him change?
context: Sorry for the trouble, ma'am.\Hey, where's the young master?\He should've gotten changed by now...\Hey...\I'll go have a look.\He should be getting ready in your room.\Alright.\Oh, you helping him change? response:	I'm envious!
context: Hey, where's the young master?\He should've gotten changed by now...\Hey...\I'll go have a look.\He should be getting ready in your room.\Alright.\Oh, you helping him change?\I'm envious! response:	Now now, don't talk such nonsense, have some more!
context: He should've gotten changed by now...\Hey...\I'll go have a look.\He should be getting ready in your room.\Alright.\Oh, you helping him change?\I'm envious!\Now now, don't talk such nonsense, have some more! response:	Take a look! Try some of our local wine!
context: Hey...\I'll go have a look.\He should be getting ready in your room.\Alright.\Oh, you helping him change?\I'm envious!\Now now, don't talk such nonsense, have some more!\Take a look! Try some of our local wine! response:	The three consecutive year award winning, Namida Sankei!
context: I'll go have a look.\He should be getting ready in your room.\Alright.\Oh, you helping him change?\I'm envious!\Now now, don't talk such nonsense, have some more!\Take a look! Try some of our local wine!\The three consecutive year award winning, Namida Sankei! response:	It's so delicious it'll truly make you cry...
context: He should be getting ready in your room.\Alright.\Oh, you helping him change?\I'm envious!\Now now, don't talk such nonsense, have some more!\Take a look! Try some of our local wine!\The three consecutive year award winning, Namida Sankei!\It's so delicious it'll truly make you cry... response:	You need any help?
context: Alright.\Oh, you helping him change?\I'm envious!\Now now, don't talk such nonsense, have some more!\Take a look! Try some of our local wine!\The three consecutive year award winning, Namida Sankei!\It's so delicious it'll truly make you cry...\You need any help? response:	That looks good on you.
context: Oh, you helping him change?\I'm envious!\Now now, don't talk such nonsense, have some more!\Take a look! Try some of our local wine!\The three consecutive year award winning, Namida Sankei!\It's so delicious it'll truly make you cry...\You need any help?\That looks good on you. response:	Thank you.
context: I'm envious!\Now now, don't talk such nonsense, have some more!\Take a look! Try some of our local wine!\The three consecutive year award winning, Namida Sankei!\It's so delicious it'll truly make you cry...\You need any help?\That looks good on you.\Thank you. response:	Shinichirou-kun too.
context: Now now, don't talk such nonsense, have some more!\Take a look! Try some of our local wine!\The three consecutive year award winning, Namida Sankei!\It's so delicious it'll truly make you cry...\You need any help?\That looks good on you.\Thank you.\Shinichirou-kun too. response:	Alright, one bottle of Namida Sankei to bring with you!
context: Take a look! Try some of our local wine!\The three consecutive year award winning, Namida Sankei!\It's so delicious it'll truly make you cry...\You need any help?\That looks good on you.\Thank you.\Shinichirou-kun too.\Alright, one bottle of Namida Sankei to bring with you! response:	Did you get any sleep after what happened?
context: The three consecutive year award winning, Namida Sankei!\It's so delicious it'll truly make you cry...\You need any help?\That looks good on you.\Thank you.\Shinichirou-kun too.\Alright, one bottle of Namida Sankei to bring with you!\Did you get any sleep after what happened? response:	Well, err...
context: It's so delicious it'll truly make you cry...\You need any help?\That looks good on you.\Thank you.\Shinichirou-kun too.\Alright, one bottle of Namida Sankei to bring with you!\Did you get any sleep after what happened?\Well, err... response:	That really scared me last night...
context: You need any help?\That looks good on you.\Thank you.\Shinichirou-kun too.\Alright, one bottle of Namida Sankei to bring with you!\Did you get any sleep after what happened?\Well, err...\That really scared me last night... response:	Sorry I called...
context: That looks good on you.\Thank you.\Shinichirou-kun too.\Alright, one bottle of Namida Sankei to bring with you!\Did you get any sleep after what happened?\Well, err...\That really scared me last night...\Sorry I called... response:	And you even practiced so hard for today...
context: Thank you.\Shinichirou-kun too.\Alright, one bottle of Namida Sankei to bring with you!\Did you get any sleep after what happened?\Well, err...\That really scared me last night...\Sorry I called...\And you even practiced so hard for today... response:	That doesn't matter...
context: Shinichirou-kun too.\Alright, one bottle of Namida Sankei to bring with you!\Did you get any sleep after what happened?\Well, err...\That really scared me last night...\Sorry I called...\And you even practiced so hard for today...\That doesn't matter... response:	The reason I couldn't sleep was...
context: Alright, one bottle of Namida Sankei to bring with you!\Did you get any sleep after what happened?\Well, err...\That really scared me last night...\Sorry I called...\And you even practiced so hard for today...\That doesn't matter...\The reason I couldn't sleep was... response:	Ahh, well... the lack of sleep isn't a problem.
context: Did you get any sleep after what happened?\Well, err...\That really scared me last night...\Sorry I called...\And you even practiced so hard for today...\That doesn't matter...\The reason I couldn't sleep was...\Ahh, well... the lack of sleep isn't a problem. response:	Since it'll make me more alert.
context: Well, err...\That really scared me last night...\Sorry I called...\And you even practiced so hard for today...\That doesn't matter...\The reason I couldn't sleep was...\Ahh, well... the lack of sleep isn't a problem.\Since it'll make me more alert. response:	I wonder where I can see you best...
context: That really scared me last night...\Sorry I called...\And you even practiced so hard for today...\That doesn't matter...\The reason I couldn't sleep was...\Ahh, well... the lack of sleep isn't a problem.\Since it'll make me more alert.\I wonder where I can see you best... response:	I was thinking that I'd like to watch Shinichirou-kun from the closest possible place during the Hounou dance.
context: Sorry I called...\And you even practiced so hard for today...\That doesn't matter...\The reason I couldn't sleep was...\Ahh, well... the lack of sleep isn't a problem.\Since it'll make me more alert.\I wonder where I can see you best...\I was thinking that I'd like to watch Shinichirou-kun from the closest possible place during the Hounou dance. response:	Perhaps near the shrine office would be best?
context: And you even practiced so hard for today...\That doesn't matter...\The reason I couldn't sleep was...\Ahh, well... the lack of sleep isn't a problem.\Since it'll make me more alert.\I wonder where I can see you best...\I was thinking that I'd like to watch Shinichirou-kun from the closest possible place during the Hounou dance.\Perhaps near the shrine office would be best? response:	When the festival comes, I will be at the front row looking at Shinichirou dancing!
context: That doesn't matter...\The reason I couldn't sleep was...\Ahh, well... the lack of sleep isn't a problem.\Since it'll make me more alert.\I wonder where I can see you best...\I was thinking that I'd like to watch Shinichirou-kun from the closest possible place during the Hounou dance.\Perhaps near the shrine office would be best?\When the festival comes, I will be at the front row looking at Shinichirou dancing! response:	I guess so...
context: The reason I couldn't sleep was...\Ahh, well... the lack of sleep isn't a problem.\Since it'll make me more alert.\I wonder where I can see you best...\I was thinking that I'd like to watch Shinichirou-kun from the closest possible place during the Hounou dance.\Perhaps near the shrine office would be best?\When the festival comes, I will be at the front row looking at Shinichirou dancing!\I guess so... response:	Alright, it's done.
context: Ahh, well... the lack of sleep isn't a problem.\Since it'll make me more alert.\I wonder where I can see you best...\I was thinking that I'd like to watch Shinichirou-kun from the closest possible place during the Hounou dance.\Perhaps near the shrine office would be best?\When the festival comes, I will be at the front row looking at Shinichirou dancing!\I guess so...\Alright, it's done. response:	Thank you...
context: Since it'll make me more alert.\I wonder where I can see you best...\I was thinking that I'd like to watch Shinichirou-kun from the closest possible place during the Hounou dance.\Perhaps near the shrine office would be best?\When the festival comes, I will be at the front row looking at Shinichirou dancing!\I guess so...\Alright, it's done.\Thank you... response:	It'll be really crowded, so don't force yourself just to watch.
context: I wonder where I can see you best...\I was thinking that I'd like to watch Shinichirou-kun from the closest possible place during the Hounou dance.\Perhaps near the shrine office would be best?\When the festival comes, I will be at the front row looking at Shinichirou dancing!\I guess so...\Alright, it's done.\Thank you...\It'll be really crowded, so don't force yourself just to watch. response:	I'm not going to the festival...
context: I was thinking that I'd like to watch Shinichirou-kun from the closest possible place during the Hounou dance.\Perhaps near the shrine office would be best?\When the festival comes, I will be at the front row looking at Shinichirou dancing!\I guess so...\Alright, it's done.\Thank you...\It'll be really crowded, so don't force yourself just to watch.\I'm not going to the festival... response:	I decided it by myself.
context: Perhaps near the shrine office would be best?\When the festival comes, I will be at the front row looking at Shinichirou dancing!\I guess so...\Alright, it's done.\Thank you...\It'll be really crowded, so don't force yourself just to watch.\I'm not going to the festival...\I decided it by myself. response:	Alright, it's time!
context: When the festival comes, I will be at the front row looking at Shinichirou dancing!\I guess so...\Alright, it's done.\Thank you...\It'll be really crowded, so don't force yourself just to watch.\I'm not going to the festival...\I decided it by myself.\Alright, it's time! response:	YEAH!
context: I guess so...\Alright, it's done.\Thank you...\It'll be really crowded, so don't force yourself just to watch.\I'm not going to the festival...\I decided it by myself.\Alright, it's time!\YEAH! response:	Excuse me!
context: Alright, it's done.\Thank you...\It'll be really crowded, so don't force yourself just to watch.\I'm not going to the festival...\I decided it by myself.\Alright, it's time!\YEAH!\Excuse me! response:	Coming through!
context: Thank you...\It'll be really crowded, so don't force yourself just to watch.\I'm not going to the festival...\I decided it by myself.\Alright, it's time!\YEAH!\Excuse me!\Coming through! response:	Sorry I'm late!
context: It'll be really crowded, so don't force yourself just to watch.\I'm not going to the festival...\I decided it by myself.\Alright, it's time!\YEAH!\Excuse me!\Coming through!\Sorry I'm late! response:	Oh, we're doing fine over here.
context: I'm not going to the festival...\I decided it by myself.\Alright, it's time!\YEAH!\Excuse me!\Coming through!\Sorry I'm late!\Oh, we're doing fine over here. response:	We have a lot of free time until the Hounou dance ends.
context: I decided it by myself.\Alright, it's time!\YEAH!\Excuse me!\Coming through!\Sorry I'm late!\Oh, we're doing fine over here.\We have a lot of free time until the Hounou dance ends. response:	Sorry I had you do all the work!
context: Alright, it's time!\YEAH!\Excuse me!\Coming through!\Sorry I'm late!\Oh, we're doing fine over here.\We have a lot of free time until the Hounou dance ends.\Sorry I had you do all the work! response:	Ai-chan, it's been a long time.
context: YEAH!\Excuse me!\Coming through!\Sorry I'm late!\Oh, we're doing fine over here.\We have a lot of free time until the Hounou dance ends.\Sorry I had you do all the work!\Ai-chan, it's been a long time. response:	Wow! Hiromi-chan, you look really good in a kimono!
context: Excuse me!\Coming through!\Sorry I'm late!\Oh, we're doing fine over here.\We have a lot of free time until the Hounou dance ends.\Sorry I had you do all the work!\Ai-chan, it's been a long time.\Wow! Hiromi-chan, you look really good in a kimono! response:	Huh?
context: Coming through!\Sorry I'm late!\Oh, we're doing fine over here.\We have a lot of free time until the Hounou dance ends.\Sorry I had you do all the work!\Ai-chan, it's been a long time.\Wow! Hiromi-chan, you look really good in a kimono!\Huh? response:	I wonder if she came to see Shinichirou...
context: Sorry I'm late!\Oh, we're doing fine over here.\We have a lot of free time until the Hounou dance ends.\Sorry I had you do all the work!\Ai-chan, it's been a long time.\Wow! Hiromi-chan, you look really good in a kimono!\Huh?\I wonder if she came to see Shinichirou... response:	His girlfriend, huh?
context: Oh, we're doing fine over here.\We have a lot of free time until the Hounou dance ends.\Sorry I had you do all the work!\Ai-chan, it's been a long time.\Wow! Hiromi-chan, you look really good in a kimono!\Huh?\I wonder if she came to see Shinichirou...\His girlfriend, huh? response:	I'm his girlfriend.
context: We have a lot of free time until the Hounou dance ends.\Sorry I had you do all the work!\Ai-chan, it's been a long time.\Wow! Hiromi-chan, you look really good in a kimono!\Huh?\I wonder if she came to see Shinichirou...\His girlfriend, huh?\I'm his girlfriend. response:	Well, I guess all these are things I wouldn't know about.
context: Sorry I had you do all the work!\Ai-chan, it's been a long time.\Wow! Hiromi-chan, you look really good in a kimono!\Huh?\I wonder if she came to see Shinichirou...\His girlfriend, huh?\I'm his girlfriend.\Well, I guess all these are things I wouldn't know about. response:	Isurugi-san!
context: Ai-chan, it's been a long time.\Wow! Hiromi-chan, you look really good in a kimono!\Huh?\I wonder if she came to see Shinichirou...\His girlfriend, huh?\I'm his girlfriend.\Well, I guess all these are things I wouldn't know about.\Isurugi-san! response:	Hold on!
context: Wow! Hiromi-chan, you look really good in a kimono!\Huh?\I wonder if she came to see Shinichirou...\His girlfriend, huh?\I'm his girlfriend.\Well, I guess all these are things I wouldn't know about.\Isurugi-san!\Hold on! response:	Last night...
context: Huh?\I wonder if she came to see Shinichirou...\His girlfriend, huh?\I'm his girlfriend.\Well, I guess all these are things I wouldn't know about.\Isurugi-san!\Hold on!\Last night... response:	What did you say to Shinichirou-kun last night?
context: I wonder if she came to see Shinichirou...\His girlfriend, huh?\I'm his girlfriend.\Well, I guess all these are things I wouldn't know about.\Isurugi-san!\Hold on!\Last night...\What did you say to Shinichirou-kun last night? response:	Shinichirou-kun told me yesterday...
context: His girlfriend, huh?\I'm his girlfriend.\Well, I guess all these are things I wouldn't know about.\Isurugi-san!\Hold on!\Last night...\What did you say to Shinichirou-kun last night?\Shinichirou-kun told me yesterday... response:	Everything... He said he'll do everything properly.
context: I'm his girlfriend.\Well, I guess all these are things I wouldn't know about.\Isurugi-san!\Hold on!\Last night...\What did you say to Shinichirou-kun last night?\Shinichirou-kun told me yesterday...\Everything... He said he'll do everything properly. response:	I have always loved Shinichirou-kun.
context: Well, I guess all these are things I wouldn't know about.\Isurugi-san!\Hold on!\Last night...\What did you say to Shinichirou-kun last night?\Shinichirou-kun told me yesterday...\Everything... He said he'll do everything properly.\I have always loved Shinichirou-kun. response:	I'm sure Shinichirou-kun feels the same about me.
context: Isurugi-san!\Hold on!\Last night...\What did you say to Shinichirou-kun last night?\Shinichirou-kun told me yesterday...\Everything... He said he'll do everything properly.\I have always loved Shinichirou-kun.\I'm sure Shinichirou-kun feels the same about me. response:	I'm sorry...
context: Hold on!\Last night...\What did you say to Shinichirou-kun last night?\Shinichirou-kun told me yesterday...\Everything... He said he'll do everything properly.\I have always loved Shinichirou-kun.\I'm sure Shinichirou-kun feels the same about me.\I'm sorry... response:	I know I'm being selfish for what I've said,
context: Last night...\What did you say to Shinichirou-kun last night?\Shinichirou-kun told me yesterday...\Everything... He said he'll do everything properly.\I have always loved Shinichirou-kun.\I'm sure Shinichirou-kun feels the same about me.\I'm sorry...\I know I'm being selfish for what I've said, response:	But, we finally understand each other.
context: What did you say to Shinichirou-kun last night?\Shinichirou-kun told me yesterday...\Everything... He said he'll do everything properly.\I have always loved Shinichirou-kun.\I'm sure Shinichirou-kun feels the same about me.\I'm sorry...\I know I'm being selfish for what I've said,\But, we finally understand each other. response:	We can finally face each other honestly...
context: Shinichirou-kun told me yesterday...\Everything... He said he'll do everything properly.\I have always loved Shinichirou-kun.\I'm sure Shinichirou-kun feels the same about me.\I'm sorry...\I know I'm being selfish for what I've said,\But, we finally understand each other.\We can finally face each other honestly... response:	Sorry, but please leave us be.
context: Everything... He said he'll do everything properly.\I have always loved Shinichirou-kun.\I'm sure Shinichirou-kun feels the same about me.\I'm sorry...\I know I'm being selfish for what I've said,\But, we finally understand each other.\We can finally face each other honestly...\Sorry, but please leave us be. response:	We...
context: I have always loved Shinichirou-kun.\I'm sure Shinichirou-kun feels the same about me.\I'm sorry...\I know I'm being selfish for what I've said,\But, we finally understand each other.\We can finally face each other honestly...\Sorry, but please leave us be.\We... response:	They're beautiful.
context: I'm sure Shinichirou-kun feels the same about me.\I'm sorry...\I know I'm being selfish for what I've said,\But, we finally understand each other.\We can finally face each other honestly...\Sorry, but please leave us be.\We...\They're beautiful. response:	Your tears.
context: I'm sorry...\I know I'm being selfish for what I've said,\But, we finally understand each other.\We can finally face each other honestly...\Sorry, but please leave us be.\We...\They're beautiful.\Your tears. response:	Ahh, I'm starving.
context: I know I'm being selfish for what I've said,\But, we finally understand each other.\We can finally face each other honestly...\Sorry, but please leave us be.\We...\They're beautiful.\Your tears.\Ahh, I'm starving. response:	Hey, where you off to, master?
context: But, we finally understand each other.\We can finally face each other honestly...\Sorry, but please leave us be.\We...\They're beautiful.\Your tears.\Ahh, I'm starving.\Hey, where you off to, master? response:	Oh, err, just some place.
context: We can finally face each other honestly...\Sorry, but please leave us be.\We...\They're beautiful.\Your tears.\Ahh, I'm starving.\Hey, where you off to, master?\Oh, err, just some place. response:	Here, sorry for the wait!
