context: She won't come back, will she? response:	I did the right thing, didn't I, Onii-sama?
context: She kept favoring Angelise.\She died defending Angelise.\Onii-sama.\Now it's Mama's turn to ask for a favor.\I know.\You want me to open the singular point, right?\Good boy.\Guard Chief, what are you... response:	Oh?
context: She died defending Angelise.\Onii-sama.\Now it's Mama's turn to ask for a favor.\I know.\You want me to open the singular point, right?\Good boy.\Guard Chief, what are you...\Oh? response:	Someone help.
context: Onii-sama.\Now it's Mama's turn to ask for a favor.\I know.\You want me to open the singular point, right?\Good boy.\Guard Chief, what are you...\Oh?\Someone help. response:	Help!
context: Now it's Mama's turn to ask for a favor.\I know.\You want me to open the singular point, right?\Good boy.\Guard Chief, what are you...\Oh?\Someone help.\Help! response:	Help! Angelise-oneesama!
context: I know.\You want me to open the singular point, right?\Good boy.\Guard Chief, what are you...\Oh?\Someone help.\Help!\Help! Angelise-oneesama! response:	Dragon Song
context: You want me to open the singular point, right?\Good boy.\Guard Chief, what are you...\Oh?\Someone help.\Help!\Help! Angelise-oneesama!\Dragon Song response:	A shift change?
context: Good boy.\Guard Chief, what are you...\Oh?\Someone help.\Help!\Help! Angelise-oneesama!\Dragon Song\A shift change? response:	First Troop has been relegated to
context: Guard Chief, what are you...\Oh?\Someone help.\Help!\Help! Angelise-oneesama!\Dragon Song\A shift change?\First Troop has been relegated to response:	backup, due to concerns about our readiness.
context: Oh?\Someone help.\Help!\Help! Angelise-oneesama!\Dragon Song\A shift change?\First Troop has been relegated to\backup, due to concerns about our readiness. response:	Eleanor Squad is on deck today.
context: Someone help.\Help!\Help! Angelise-oneesama!\Dragon Song\A shift change?\First Troop has been relegated to\backup, due to concerns about our readiness.\Eleanor Squad is on deck today. response:	Tomorrow, it'll be Betty Squad.
context: Help!\Help! Angelise-oneesama!\Dragon Song\A shift change?\First Troop has been relegated to\backup, due to concerns about our readiness.\Eleanor Squad is on deck today.\Tomorrow, it'll be Betty Squad. response:	Well, combat's out of the question with only five of us.
context: Help! Angelise-oneesama!\Dragon Song\A shift change?\First Troop has been relegated to\backup, due to concerns about our readiness.\Eleanor Squad is on deck today.\Tomorrow, it'll be Betty Squad.\Well, combat's out of the question with only five of us. response:	How can you be so nonchalant about it?
context: Dragon Song\A shift change?\First Troop has been relegated to\backup, due to concerns about our readiness.\Eleanor Squad is on deck today.\Tomorrow, it'll be Betty Squad.\Well, combat's out of the question with only five of us.\How can you be so nonchalant about it? response:	If we don't get deployed, we don't get paid.
context: A shift change?\First Troop has been relegated to\backup, due to concerns about our readiness.\Eleanor Squad is on deck today.\Tomorrow, it'll be Betty Squad.\Well, combat's out of the question with only five of us.\How can you be so nonchalant about it?\If we don't get deployed, we don't get paid. response:	Shit.
context: First Troop has been relegated to\backup, due to concerns about our readiness.\Eleanor Squad is on deck today.\Tomorrow, it'll be Betty Squad.\Well, combat's out of the question with only five of us.\How can you be so nonchalant about it?\If we don't get deployed, we don't get paid.\Shit. response:	Thanks a lot, Breakout Sisters.
context: backup, due to concerns about our readiness.\Eleanor Squad is on deck today.\Tomorrow, it'll be Betty Squad.\Well, combat's out of the question with only five of us.\How can you be so nonchalant about it?\If we don't get deployed, we don't get paid.\Shit.\Thanks a lot, Breakout Sisters. response:	I hope they never come back.
context: Eleanor Squad is on deck today.\Tomorrow, it'll be Betty Squad.\Well, combat's out of the question with only five of us.\How can you be so nonchalant about it?\If we don't get deployed, we don't get paid.\Shit.\Thanks a lot, Breakout Sisters.\I hope they never come back. response:	Y-You're right.
context: Tomorrow, it'll be Betty Squad.\Well, combat's out of the question with only five of us.\How can you be so nonchalant about it?\If we don't get deployed, we don't get paid.\Shit.\Thanks a lot, Breakout Sisters.\I hope they never come back.\Y-You're right. response:	Please, give this to Angelise-sama.
context: Well, combat's out of the question with only five of us.\How can you be so nonchalant about it?\If we don't get deployed, we don't get paid.\Shit.\Thanks a lot, Breakout Sisters.\I hope they never come back.\Y-You're right.\Please, give this to Angelise-sama. response:	I don't think she's getting proper meals.
context: How can you be so nonchalant about it?\If we don't get deployed, we don't get paid.\Shit.\Thanks a lot, Breakout Sisters.\I hope they never come back.\Y-You're right.\Please, give this to Angelise-sama.\I don't think she's getting proper meals. response:	Please! Please.
context: If we don't get deployed, we don't get paid.\Shit.\Thanks a lot, Breakout Sisters.\I hope they never come back.\Y-You're right.\Please, give this to Angelise-sama.\I don't think she's getting proper meals.\Please! Please. response:	I'm hungry.
context: Shit.\Thanks a lot, Breakout Sisters.\I hope they never come back.\Y-You're right.\Please, give this to Angelise-sama.\I don't think she's getting proper meals.\Please! Please.\I'm hungry. response:	I guess I can think of it as a diet.
context: Thanks a lot, Breakout Sisters.\I hope they never come back.\Y-You're right.\Please, give this to Angelise-sama.\I don't think she's getting proper meals.\Please! Please.\I'm hungry.\I guess I can think of it as a diet. response:	Forget that, I want to take a bath.
context: I hope they never come back.\Y-You're right.\Please, give this to Angelise-sama.\I don't think she's getting proper meals.\Please! Please.\I'm hungry.\I guess I can think of it as a diet.\Forget that, I want to take a bath. response:	How many days has it been?
context: Y-You're right.\Please, give this to Angelise-sama.\I don't think she's getting proper meals.\Please! Please.\I'm hungry.\I guess I can think of it as a diet.\Forget that, I want to take a bath.\How many days has it been? response:	A week.
context: Please, give this to Angelise-sama.\I don't think she's getting proper meals.\Please! Please.\I'm hungry.\I guess I can think of it as a diet.\Forget that, I want to take a bath.\How many days has it been?\A week. response:	No wonder you smell.
context: I don't think she's getting proper meals.\Please! Please.\I'm hungry.\I guess I can think of it as a diet.\Forget that, I want to take a bath.\How many days has it been?\A week.\No wonder you smell. response:	You smell the same.
context: Please! Please.\I'm hungry.\I guess I can think of it as a diet.\Forget that, I want to take a bath.\How many days has it been?\A week.\No wonder you smell.\You smell the same. response:	I don't ask for much. Just some water to bathe in.
context: I'm hungry.\I guess I can think of it as a diet.\Forget that, I want to take a bath.\How many days has it been?\A week.\No wonder you smell.\You smell the same.\I don't ask for much. Just some water to bathe in. response:	It's Salia-oneesama.
context: I guess I can think of it as a diet.\Forget that, I want to take a bath.\How many days has it been?\A week.\No wonder you smell.\You smell the same.\I don't ask for much. Just some water to bathe in.\It's Salia-oneesama. response:	Salute Salia-oneesama.
context: Forget that, I want to take a bath.\How many days has it been?\A week.\No wonder you smell.\You smell the same.\I don't ask for much. Just some water to bathe in.\It's Salia-oneesama.\Salute Salia-oneesama. response:	Salute!
context: How many days has it been?\A week.\No wonder you smell.\You smell the same.\I don't ask for much. Just some water to bathe in.\It's Salia-oneesama.\Salute Salia-oneesama.\Salute! response:	She's so pretty and awesome.
context: A week.\No wonder you smell.\You smell the same.\I don't ask for much. Just some water to bathe in.\It's Salia-oneesama.\Salute Salia-oneesama.\Salute!\She's so pretty and awesome. response:	I'm totally going to join First Troop.
context: No wonder you smell.\You smell the same.\I don't ask for much. Just some water to bathe in.\It's Salia-oneesama.\Salute Salia-oneesama.\Salute!\She's so pretty and awesome.\I'm totally going to join First Troop. response:	I'm going to be like Salia-oneesama.
context: You smell the same.\I don't ask for much. Just some water to bathe in.\It's Salia-oneesama.\Salute Salia-oneesama.\Salute!\She's so pretty and awesome.\I'm totally going to join First Troop.\I'm going to be like Salia-oneesama. response:	I'm going to be like you, Onee-sama.
context: I don't ask for much. Just some water to bathe in.\It's Salia-oneesama.\Salute Salia-oneesama.\Salute!\She's so pretty and awesome.\I'm totally going to join First Troop.\I'm going to be like Salia-oneesama.\I'm going to be like you, Onee-sama. response:	Here, for Onee-san.
context: It's Salia-oneesama.\Salute Salia-oneesama.\Salute!\She's so pretty and awesome.\I'm totally going to join First Troop.\I'm going to be like Salia-oneesama.\I'm going to be like you, Onee-sama.\Here, for Onee-san. response:	Thanks for doing this every year, Salia.
context: Salute Salia-oneesama.\Salute!\She's so pretty and awesome.\I'm totally going to join First Troop.\I'm going to be like Salia-oneesama.\I'm going to be like you, Onee-sama.\Here, for Onee-san.\Thanks for doing this every year, Salia. response:	What's wrong?
context: Salute!\She's so pretty and awesome.\I'm totally going to join First Troop.\I'm going to be like Salia-oneesama.\I'm going to be like you, Onee-sama.\Here, for Onee-san.\Thanks for doing this every year, Salia.\What's wrong? response:	The Youth Group girls called me Onee-sama.
context: She's so pretty and awesome.\I'm totally going to join First Troop.\I'm going to be like Salia-oneesama.\I'm going to be like you, Onee-sama.\Here, for Onee-san.\Thanks for doing this every year, Salia.\What's wrong?\The Youth Group girls called me Onee-sama. response:	Am I that old already?
context: I'm totally going to join First Troop.\I'm going to be like Salia-oneesama.\I'm going to be like you, Onee-sama.\Here, for Onee-san.\Thanks for doing this every year, Salia.\What's wrong?\The Youth Group girls called me Onee-sama.\Am I that old already? response:	You're only seventeen.
context: I'm going to be like Salia-oneesama.\I'm going to be like you, Onee-sama.\Here, for Onee-san.\Thanks for doing this every year, Salia.\What's wrong?\The Youth Group girls called me Onee-sama.\Am I that old already?\You're only seventeen. response:	I'm already seventeen.
context: I'm going to be like you, Onee-sama.\Here, for Onee-san.\Thanks for doing this every year, Salia.\What's wrong?\The Youth Group girls called me Onee-sama.\Am I that old already?\You're only seventeen.\I'm already seventeen. response:	I'm the same age as Alektra.
context: Here, for Onee-san.\Thanks for doing this every year, Salia.\What's wrong?\The Youth Group girls called me Onee-sama.\Am I that old already?\You're only seventeen.\I'm already seventeen.\I'm the same age as Alektra. response:	Alektra!
context: Thanks for doing this every year, Salia.\What's wrong?\The Youth Group girls called me Onee-sama.\Am I that old already?\You're only seventeen.\I'm already seventeen.\I'm the same age as Alektra.\Alektra! response:	Maggie, analgesics!
context: What's wrong?\The Youth Group girls called me Onee-sama.\Am I that old already?\You're only seventeen.\I'm already seventeen.\I'm the same age as Alektra.\Alektra!\Maggie, analgesics! response:	Bring all the bandages you can.
context: The Youth Group girls called me Onee-sama.\Am I that old already?\You're only seventeen.\I'm already seventeen.\I'm the same age as Alektra.\Alektra!\Maggie, analgesics!\Bring all the bandages you can. response:	That's Onee-sama's machine.
context: Am I that old already?\You're only seventeen.\I'm already seventeen.\I'm the same age as Alektra.\Alektra!\Maggie, analgesics!\Bring all the bandages you can.\That's Onee-sama's machine. response:	Hang in there, Alektra.
context: You're only seventeen.\I'm already seventeen.\I'm the same age as Alektra.\Alektra!\Maggie, analgesics!\Bring all the bandages you can.\That's Onee-sama's machine.\Hang in there, Alektra. response:	What happened?
context: I'm already seventeen.\I'm the same age as Alektra.\Alektra!\Maggie, analgesics!\Bring all the bandages you can.\That's Onee-sama's machine.\Hang in there, Alektra.\What happened? response:	They're, they're all...
context: I'm the same age as Alektra.\Alektra!\Maggie, analgesics!\Bring all the bandages you can.\That's Onee-sama's machine.\Hang in there, Alektra.\What happened?\They're, they're all... response:	Oh, Fei-Ling has a message for Mei.
context: Alektra!\Maggie, analgesics!\Bring all the bandages you can.\That's Onee-sama's machine.\Hang in there, Alektra.\What happened?\They're, they're all...\Oh, Fei-Ling has a message for Mei. response:	The family heirloom is hidden under the bottom of the third drawer.
context: Maggie, analgesics!\Bring all the bandages you can.\That's Onee-sama's machine.\Hang in there, Alektra.\What happened?\They're, they're all...\Oh, Fei-Ling has a message for Mei.\The family heirloom is hidden under the bottom of the third drawer. response:	Idiot! You can deal with that later.
context: Bring all the bandages you can.\That's Onee-sama's machine.\Hang in there, Alektra.\What happened?\They're, they're all...\Oh, Fei-Ling has a message for Mei.\The family heirloom is hidden under the bottom of the third drawer.\Idiot! You can deal with that later. response:	I'm sorry, Jasmine.
context: That's Onee-sama's machine.\Hang in there, Alektra.\What happened?\They're, they're all...\Oh, Fei-Ling has a message for Mei.\The family heirloom is hidden under the bottom of the third drawer.\Idiot! You can deal with that later.\I'm sorry, Jasmine. response:	I wasn't good enough.
context: Hang in there, Alektra.\What happened?\They're, they're all...\Oh, Fei-Ling has a message for Mei.\The family heirloom is hidden under the bottom of the third drawer.\Idiot! You can deal with that later.\I'm sorry, Jasmine.\I wasn't good enough. response:	Fei-Ling, Vanessa, the knight's family... They're all dead.
context: What happened?\They're, they're all...\Oh, Fei-Ling has a message for Mei.\The family heirloom is hidden under the bottom of the third drawer.\Idiot! You can deal with that later.\I'm sorry, Jasmine.\I wasn't good enough.\Fei-Ling, Vanessa, the knight's family... They're all dead. response:	I couldn't handle the Villkiss.
context: They're, they're all...\Oh, Fei-Ling has a message for Mei.\The family heirloom is hidden under the bottom of the third drawer.\Idiot! You can deal with that later.\I'm sorry, Jasmine.\I wasn't good enough.\Fei-Ling, Vanessa, the knight's family... They're all dead.\I couldn't handle the Villkiss. response:	I wasn't good enough.
context: Oh, Fei-Ling has a message for Mei.\The family heirloom is hidden under the bottom of the third drawer.\Idiot! You can deal with that later.\I'm sorry, Jasmine.\I wasn't good enough.\Fei-Ling, Vanessa, the knight's family... They're all dead.\I couldn't handle the Villkiss.\I wasn't good enough. response:	Alektra.
context: The family heirloom is hidden under the bottom of the third drawer.\Idiot! You can deal with that later.\I'm sorry, Jasmine.\I wasn't good enough.\Fei-Ling, Vanessa, the knight's family... They're all dead.\I couldn't handle the Villkiss.\I wasn't good enough.\Alektra. response:	That's not true!
context: Idiot! You can deal with that later.\I'm sorry, Jasmine.\I wasn't good enough.\Fei-Ling, Vanessa, the knight's family... They're all dead.\I couldn't handle the Villkiss.\I wasn't good enough.\Alektra.\That's not true! response:	Alektra is strong, beautiful, and awesome.
context: I'm sorry, Jasmine.\I wasn't good enough.\Fei-Ling, Vanessa, the knight's family... They're all dead.\I couldn't handle the Villkiss.\I wasn't good enough.\Alektra.\That's not true!\Alektra is strong, beautiful, and awesome. response:	You're good enough.
context: I wasn't good enough.\Fei-Ling, Vanessa, the knight's family... They're all dead.\I couldn't handle the Villkiss.\I wasn't good enough.\Alektra.\That's not true!\Alektra is strong, beautiful, and awesome.\You're good enough. response:	Who is she?
context: Fei-Ling, Vanessa, the knight's family... They're all dead.\I couldn't handle the Villkiss.\I wasn't good enough.\Alektra.\That's not true!\Alektra is strong, beautiful, and awesome.\You're good enough.\Who is she? response:	Salia, of the Primary Group.
context: I couldn't handle the Villkiss.\I wasn't good enough.\Alektra.\That's not true!\Alektra is strong, beautiful, and awesome.\You're good enough.\Who is she?\Salia, of the Primary Group. response:	What kind of DRAGON was it?
context: I wasn't good enough.\Alektra.\That's not true!\Alektra is strong, beautiful, and awesome.\You're good enough.\Who is she?\Salia, of the Primary Group.\What kind of DRAGON was it? response:	How big was it?
context: Alektra.\That's not true!\Alektra is strong, beautiful, and awesome.\You're good enough.\Who is she?\Salia, of the Primary Group.\What kind of DRAGON was it?\How big was it? response:	How tough?
context: That's not true!\Alektra is strong, beautiful, and awesome.\You're good enough.\Who is she?\Salia, of the Primary Group.\What kind of DRAGON was it?\How big was it?\How tough? response:	I won't forgive it.
context: Alektra is strong, beautiful, and awesome.\You're good enough.\Who is she?\Salia, of the Primary Group.\What kind of DRAGON was it?\How big was it?\How tough?\I won't forgive it. response:	I won't forgive it for doing this to you.
context: You're good enough.\Who is she?\Salia, of the Primary Group.\What kind of DRAGON was it?\How big was it?\How tough?\I won't forgive it.\I won't forgive it for doing this to you. response:	I'll avenge you, Alektra!
context: Who is she?\Salia, of the Primary Group.\What kind of DRAGON was it?\How big was it?\How tough?\I won't forgive it.\I won't forgive it for doing this to you.\I'll avenge you, Alektra! response:	I'm counting on you, Salia.
context: Salia, of the Primary Group.\What kind of DRAGON was it?\How big was it?\How tough?\I won't forgive it.\I won't forgive it for doing this to you.\I'll avenge you, Alektra!\I'm counting on you, Salia. response:	I don't even remember that.
context: What kind of DRAGON was it?\How big was it?\How tough?\I won't forgive it.\I won't forgive it for doing this to you.\I'll avenge you, Alektra!\I'm counting on you, Salia.\I don't even remember that. response:	It can't be helped. You were only three.
context: How big was it?\How tough?\I won't forgive it.\I won't forgive it for doing this to you.\I'll avenge you, Alektra!\I'm counting on you, Salia.\I don't even remember that.\It can't be helped. You were only three. response:	But the family's duty, my sister's wishes...
context: How tough?\I won't forgive it.\I won't forgive it for doing this to you.\I'll avenge you, Alektra!\I'm counting on you, Salia.\I don't even remember that.\It can't be helped. You were only three.\But the family's duty, my sister's wishes... response:	I've inherited them.
context: I won't forgive it.\I won't forgive it for doing this to you.\I'll avenge you, Alektra!\I'm counting on you, Salia.\I don't even remember that.\It can't be helped. You were only three.\But the family's duty, my sister's wishes...\I've inherited them. response:	As an armorsmith, I'm going to free the world with the Villkiss.
context: I won't forgive it for doing this to you.\I'll avenge you, Alektra!\I'm counting on you, Salia.\I don't even remember that.\It can't be helped. You were only three.\But the family's duty, my sister's wishes...\I've inherited them.\As an armorsmith, I'm going to free the world with the Villkiss. response:	For my sister, too.
context: I'll avenge you, Alektra!\I'm counting on you, Salia.\I don't even remember that.\It can't be helped. You were only three.\But the family's duty, my sister's wishes...\I've inherited them.\As an armorsmith, I'm going to free the world with the Villkiss.\For my sister, too. response:	And as a rider, you can do the same for Alek I mean, Jill.
context: I'm counting on you, Salia.\I don't even remember that.\It can't be helped. You were only three.\But the family's duty, my sister's wishes...\I've inherited them.\As an armorsmith, I'm going to free the world with the Villkiss.\For my sister, too.\And as a rider, you can do the same for Alek I mean, Jill. response:	You're right.
context: I don't even remember that.\It can't be helped. You were only three.\But the family's duty, my sister's wishes...\I've inherited them.\As an armorsmith, I'm going to free the world with the Villkiss.\For my sister, too.\And as a rider, you can do the same for Alek I mean, Jill.\You're right. response:	Why?
context: It can't be helped. You were only three.\But the family's duty, my sister's wishes...\I've inherited them.\As an armorsmith, I'm going to free the world with the Villkiss.\For my sister, too.\And as a rider, you can do the same for Alek I mean, Jill.\You're right.\Why? response:	Why not?
context: But the family's duty, my sister's wishes...\I've inherited them.\As an armorsmith, I'm going to free the world with the Villkiss.\For my sister, too.\And as a rider, you can do the same for Alek I mean, Jill.\You're right.\Why?\Why not? response:	I'm going to do my best.
context: I've inherited them.\As an armorsmith, I'm going to free the world with the Villkiss.\For my sister, too.\And as a rider, you can do the same for Alek I mean, Jill.\You're right.\Why?\Why not?\I'm going to do my best. response:	Even more than now.
context: As an armorsmith, I'm going to free the world with the Villkiss.\For my sister, too.\And as a rider, you can do the same for Alek I mean, Jill.\You're right.\Why?\Why not?\I'm going to do my best.\Even more than now. response:	There's no point.
context: For my sister, too.\And as a rider, you can do the same for Alek I mean, Jill.\You're right.\Why?\Why not?\I'm going to do my best.\Even more than now.\There's no point. response:	No matter how hard you try, if you can't do it, you can't do it.
context: And as a rider, you can do the same for Alek I mean, Jill.\You're right.\Why?\Why not?\I'm going to do my best.\Even more than now.\There's no point.\No matter how hard you try, if you can't do it, you can't do it. response:	But
context: You're right.\Why?\Why not?\I'm going to do my best.\Even more than now.\There's no point.\No matter how hard you try, if you can't do it, you can't do it.\But response:	If you can't understand that,
context: Why?\Why not?\I'm going to do my best.\Even more than now.\There's no point.\No matter how hard you try, if you can't do it, you can't do it.\But\If you can't understand that, response:	you end up like this.
context: Why not?\I'm going to do my best.\Even more than now.\There's no point.\No matter how hard you try, if you can't do it, you can't do it.\But\If you can't understand that,\you end up like this. response:	What is it that I'm lacking?
context: I'm going to do my best.\Even more than now.\There's no point.\No matter how hard you try, if you can't do it, you can't do it.\But\If you can't understand that,\you end up like this.\What is it that I'm lacking? response:	That we're lacking, you mean.
context: Even more than now.\There's no point.\No matter how hard you try, if you can't do it, you can't do it.\But\If you can't understand that,\you end up like this.\What is it that I'm lacking?\That we're lacking, you mean. response:	Then what does Ange have?
context: There's no point.\No matter how hard you try, if you can't do it, you can't do it.\But\If you can't understand that,\you end up like this.\What is it that I'm lacking?\That we're lacking, you mean.\Then what does Ange have? response:	I'm not giving her the Villkiss.
context: No matter how hard you try, if you can't do it, you can't do it.\But\If you can't understand that,\you end up like this.\What is it that I'm lacking?\That we're lacking, you mean.\Then what does Ange have?\I'm not giving her the Villkiss. response:	Huh, isn't this...
context: But\If you can't understand that,\you end up like this.\What is it that I'm lacking?\That we're lacking, you mean.\Then what does Ange have?\I'm not giving her the Villkiss.\Huh, isn't this... response:	It's a singular signature.
context: If you can't understand that,\you end up like this.\What is it that I'm lacking?\That we're lacking, you mean.\Then what does Ange have?\I'm not giving her the Villkiss.\Huh, isn't this...\It's a singular signature. response:	Location?
context: you end up like this.\What is it that I'm lacking?\That we're lacking, you mean.\Then what does Ange have?\I'm not giving her the Villkiss.\Huh, isn't this...\It's a singular signature.\Location? response:	It's...
context: What is it that I'm lacking?\That we're lacking, you mean.\Then what does Ange have?\I'm not giving her the Villkiss.\Huh, isn't this...\It's a singular signature.\Location?\It's... response:	More enemies inbound.
context: That we're lacking, you mean.\Then what does Ange have?\I'm not giving her the Villkiss.\Huh, isn't this...\It's a singular signature.\Location?\It's...\More enemies inbound. response:	Scuna class, six. No, 21.
context: Then what does Ange have?\I'm not giving her the Villkiss.\Huh, isn't this...\It's a singular signature.\Location?\It's...\More enemies inbound.\Scuna class, six. No, 21. response:	Sixty-five.
context: I'm not giving her the Villkiss.\Huh, isn't this...\It's a singular signature.\Location?\It's...\More enemies inbound.\Scuna class, six. No, 21.\Sixty-five. response:	128.
context: Huh, isn't this...\It's a singular signature.\Location?\It's...\More enemies inbound.\Scuna class, six. No, 21.\Sixty-five.\128. response:	Too many to estimate.
context: It's a singular signature.\Location?\It's...\More enemies inbound.\Scuna class, six. No, 21.\Sixty-five.\128.\Too many to estimate. response:	We didn't even get a call. How?
context: Location?\It's...\More enemies inbound.\Scuna class, six. No, 21.\Sixty-five.\128.\Too many to estimate.\We didn't even get a call. How? response:	This is Commander Jill.
context: It's...\More enemies inbound.\Scuna class, six. No, 21.\Sixty-five.\128.\Too many to estimate.\We didn't even get a call. How?\This is Commander Jill. response:	All units, listen up.
context: More enemies inbound.\Scuna class, six. No, 21.\Sixty-five.\128.\Too many to estimate.\We didn't even get a call. How?\This is Commander Jill.\All units, listen up. response:	I'm ordering Battle Mode, Type 1.
context: Scuna class, six. No, 21.\Sixty-five.\128.\Too many to estimate.\We didn't even get a call. How?\This is Commander Jill.\All units, listen up.\I'm ordering Battle Mode, Type 1. response:	A singular point has opened above the base.
context: Sixty-five.\128.\Too many to estimate.\We didn't even get a call. How?\This is Commander Jill.\All units, listen up.\I'm ordering Battle Mode, Type 1.\A singular point has opened above the base. response:	What a waste!
context: 128.\Too many to estimate.\We didn't even get a call. How?\This is Commander Jill.\All units, listen up.\I'm ordering Battle Mode, Type 1.\A singular point has opened above the base.\What a waste! response:	A massive number of DRAGONs are descending.
context: Too many to estimate.\We didn't even get a call. How?\This is Commander Jill.\All units, listen up.\I'm ordering Battle Mode, Type 1.\A singular point has opened above the base.\What a waste!\A massive number of DRAGONs are descending. response:	Second and Third Para-mail Troops, deploy all units.
context: We didn't even get a call. How?\This is Commander Jill.\All units, listen up.\I'm ordering Battle Mode, Type 1.\A singular point has opened above the base.\What a waste!\A massive number of DRAGONs are descending.\Second and Third Para-mail Troops, deploy all units. response:	Prepare for close-quarters combat.
context: This is Commander Jill.\All units, listen up.\I'm ordering Battle Mode, Type 1.\A singular point has opened above the base.\What a waste!\A massive number of DRAGONs are descending.\Second and Third Para-mail Troops, deploy all units.\Prepare for close-quarters combat. response:	You are authorized to use anti-air weapons.
context: All units, listen up.\I'm ordering Battle Mode, Type 1.\A singular point has opened above the base.\What a waste!\A massive number of DRAGONs are descending.\Second and Third Para-mail Troops, deploy all units.\Prepare for close-quarters combat.\You are authorized to use anti-air weapons. response:	Destroy the DRAGONs
context: I'm ordering Battle Mode, Type 1.\A singular point has opened above the base.\What a waste!\A massive number of DRAGONs are descending.\Second and Third Para-mail Troops, deploy all units.\Prepare for close-quarters combat.\You are authorized to use anti-air weapons.\Destroy the DRAGONs response:	at all costs.
context: A singular point has opened above the base.\What a waste!\A massive number of DRAGONs are descending.\Second and Third Para-mail Troops, deploy all units.\Prepare for close-quarters combat.\You are authorized to use anti-air weapons.\Destroy the DRAGONs\at all costs. response:	Who's going to defend the base if we deploy all the Para-mails?
context: What a waste!\A massive number of DRAGONs are descending.\Second and Third Para-mail Troops, deploy all units.\Prepare for close-quarters combat.\You are authorized to use anti-air weapons.\Destroy the DRAGONs\at all costs.\Who's going to defend the base if we deploy all the Para-mails? response:	What's going on?
context: A massive number of DRAGONs are descending.\Second and Third Para-mail Troops, deploy all units.\Prepare for close-quarters combat.\You are authorized to use anti-air weapons.\Destroy the DRAGONs\at all costs.\Who's going to defend the base if we deploy all the Para-mails?\What's going on? response:	Die, bad guys!
context: Second and Third Para-mail Troops, deploy all units.\Prepare for close-quarters combat.\You are authorized to use anti-air weapons.\Destroy the DRAGONs\at all costs.\Who's going to defend the base if we deploy all the Para-mails?\What's going on?\Die, bad guys! response:	Commander, the communicator and radar...
context: Prepare for close-quarters combat.\You are authorized to use anti-air weapons.\Destroy the DRAGONs\at all costs.\Who's going to defend the base if we deploy all the Para-mails?\What's going on?\Die, bad guys!\Commander, the communicator and radar... response:	We hereby abandon the command center.
