context: I've liked you, Chisaki. response:	For quite a while now.
context: Along with that, the preparations for our sleep were continuing.\Closed to Prepare for the Sleep\Everyone stopped eating,\and their Ena just kept getting thicker.\At first, the moment just felt like something vague, but eventually it was right in front of our eyes.\There was no way to think of it as some kind of joke anymore.\On the surface, the saltflake snow had only fallen once more,\but because of the overly chilly summer, response:	I think everyone started to work a little more seriously.
context: Closed to Prepare for the Sleep\Everyone stopped eating,\and their Ena just kept getting thicker.\At first, the moment just felt like something vague, but eventually it was right in front of our eyes.\There was no way to think of it as some kind of joke anymore.\On the surface, the saltflake snow had only fallen once more,\but because of the overly chilly summer,\I think everyone started to work a little more seriously. response:	But...
context: Everyone stopped eating,\and their Ena just kept getting thicker.\At first, the moment just felt like something vague, but eventually it was right in front of our eyes.\There was no way to think of it as some kind of joke anymore.\On the surface, the saltflake snow had only fallen once more,\but because of the overly chilly summer,\I think everyone started to work a little more seriously.\But... response:	According to Uroko-sama, with how everyone's Ena is coming along,
context: and their Ena just kept getting thicker.\At first, the moment just felt like something vague, but eventually it was right in front of our eyes.\There was no way to think of it as some kind of joke anymore.\On the surface, the saltflake snow had only fallen once more,\but because of the overly chilly summer,\I think everyone started to work a little more seriously.\But...\According to Uroko-sama, with how everyone's Ena is coming along, response:	we should probably fall into our sleep on the 21st.
context: At first, the moment just felt like something vague, but eventually it was right in front of our eyes.\There was no way to think of it as some kind of joke anymore.\On the surface, the saltflake snow had only fallen once more,\but because of the overly chilly summer,\I think everyone started to work a little more seriously.\But...\According to Uroko-sama, with how everyone's Ena is coming along,\we should probably fall into our sleep on the 21st. response:	Wha
context: There was no way to think of it as some kind of joke anymore.\On the surface, the saltflake snow had only fallen once more,\but because of the overly chilly summer,\I think everyone started to work a little more seriously.\But...\According to Uroko-sama, with how everyone's Ena is coming along,\we should probably fall into our sleep on the 21st.\Wha response:	Young Men's Coalition
context: On the surface, the saltflake snow had only fallen once more,\but because of the overly chilly summer,\I think everyone started to work a little more seriously.\But...\According to Uroko-sama, with how everyone's Ena is coming along,\we should probably fall into our sleep on the 21st.\Wha\Young Men's Coalition response:	The 21st?
context: but because of the overly chilly summer,\I think everyone started to work a little more seriously.\But...\According to Uroko-sama, with how everyone's Ena is coming along,\we should probably fall into our sleep on the 21st.\Wha\Young Men's Coalition\The 21st? response:	That's the day of the Ofunehiki!
context: I think everyone started to work a little more seriously.\But...\According to Uroko-sama, with how everyone's Ena is coming along,\we should probably fall into our sleep on the 21st.\Wha\Young Men's Coalition\The 21st?\That's the day of the Ofunehiki! response:	So on the day of the festival,
context: But...\According to Uroko-sama, with how everyone's Ena is coming along,\we should probably fall into our sleep on the 21st.\Wha\Young Men's Coalition\The 21st?\That's the day of the Ofunehiki!\So on the day of the festival, response:	we'll be cheerfully saying goodbye to everyone on the surface.
context: According to Uroko-sama, with how everyone's Ena is coming along,\we should probably fall into our sleep on the 21st.\Wha\Young Men's Coalition\The 21st?\That's the day of the Ofunehiki!\So on the day of the festival,\we'll be cheerfully saying goodbye to everyone on the surface. response:	All of them will just have to cool their heads off in the cold.
context: we should probably fall into our sleep on the 21st.\Wha\Young Men's Coalition\The 21st?\That's the day of the Ofunehiki!\So on the day of the festival,\we'll be cheerfully saying goodbye to everyone on the surface.\All of them will just have to cool their heads off in the cold. response:	Those ungrateful, shameless jerks!
context: Wha\Young Men's Coalition\The 21st?\That's the day of the Ofunehiki!\So on the day of the festival,\we'll be cheerfully saying goodbye to everyone on the surface.\All of them will just have to cool their heads off in the cold.\Those ungrateful, shameless jerks! response:	Though actually, right now we're the ones with the thicker skin.
context: Young Men's Coalition\The 21st?\That's the day of the Ofunehiki!\So on the day of the festival,\we'll be cheerfully saying goodbye to everyone on the surface.\All of them will just have to cool their heads off in the cold.\Those ungrateful, shameless jerks!\Though actually, right now we're the ones with the thicker skin. response:	No doubt.
context: The 21st?\That's the day of the Ofunehiki!\So on the day of the festival,\we'll be cheerfully saying goodbye to everyone on the surface.\All of them will just have to cool their heads off in the cold.\Those ungrateful, shameless jerks!\Though actually, right now we're the ones with the thicker skin.\No doubt. response:	Young Men's Coalition
context: That's the day of the Ofunehiki!\So on the day of the festival,\we'll be cheerfully saying goodbye to everyone on the surface.\All of them will just have to cool their heads off in the cold.\Those ungrateful, shameless jerks!\Though actually, right now we're the ones with the thicker skin.\No doubt.\Young Men's Coalition response:	But...
context: So on the day of the festival,\we'll be cheerfully saying goodbye to everyone on the surface.\All of them will just have to cool their heads off in the cold.\Those ungrateful, shameless jerks!\Though actually, right now we're the ones with the thicker skin.\No doubt.\Young Men's Coalition\But... response:	The guys on the surface right now might not be there anymore when we wake up...
context: we'll be cheerfully saying goodbye to everyone on the surface.\All of them will just have to cool their heads off in the cold.\Those ungrateful, shameless jerks!\Though actually, right now we're the ones with the thicker skin.\No doubt.\Young Men's Coalition\But...\The guys on the surface right now might not be there anymore when we wake up... response:	Thanks for the meal.
context: All of them will just have to cool their heads off in the cold.\Those ungrateful, shameless jerks!\Though actually, right now we're the ones with the thicker skin.\No doubt.\Young Men's Coalition\But...\The guys on the surface right now might not be there anymore when we wake up...\Thanks for the meal. response:	Thanks for the meal.
context: Those ungrateful, shameless jerks!\Though actually, right now we're the ones with the thicker skin.\No doubt.\Young Men's Coalition\But...\The guys on the surface right now might not be there anymore when we wake up...\Thanks for the meal.\Thanks for the meal. response:	Is something wrong?
context: Though actually, right now we're the ones with the thicker skin.\No doubt.\Young Men's Coalition\But...\The guys on the surface right now might not be there anymore when we wake up...\Thanks for the meal.\Thanks for the meal.\Is something wrong? response:	I'll be going now.
context: No doubt.\Young Men's Coalition\But...\The guys on the surface right now might not be there anymore when we wake up...\Thanks for the meal.\Thanks for the meal.\Is something wrong?\I'll be going now. response:	Have a good day.
context: Young Men's Coalition\But...\The guys on the surface right now might not be there anymore when we wake up...\Thanks for the meal.\Thanks for the meal.\Is something wrong?\I'll be going now.\Have a good day. response:	How are you feeling?
context: But...\The guys on the surface right now might not be there anymore when we wake up...\Thanks for the meal.\Thanks for the meal.\Is something wrong?\I'll be going now.\Have a good day.\How are you feeling? response:	There hasn't been much change.
context: The guys on the surface right now might not be there anymore when we wake up...\Thanks for the meal.\Thanks for the meal.\Is something wrong?\I'll be going now.\Have a good day.\How are you feeling?\There hasn't been much change. response:	It might be because I've been out of the sea for so long,
context: Thanks for the meal.\Thanks for the meal.\Is something wrong?\I'll be going now.\Have a good day.\How are you feeling?\There hasn't been much change.\It might be because I've been out of the sea for so long, response:	but it appears that it's affecting me a lot less.
context: Thanks for the meal.\Is something wrong?\I'll be going now.\Have a good day.\How are you feeling?\There hasn't been much change.\It might be because I've been out of the sea for so long,\but it appears that it's affecting me a lot less. response:	But I probably shouldn't try to diet for a while.
context: Is something wrong?\I'll be going now.\Have a good day.\How are you feeling?\There hasn't been much change.\It might be because I've been out of the sea for so long,\but it appears that it's affecting me a lot less.\But I probably shouldn't try to diet for a while. response:	Here. I filled it out.
context: I'll be going now.\Have a good day.\How are you feeling?\There hasn't been much change.\It might be because I've been out of the sea for so long,\but it appears that it's affecting me a lot less.\But I probably shouldn't try to diet for a while.\Here. I filled it out. response:	Marriage Registration
context: Have a good day.\How are you feeling?\There hasn't been much change.\It might be because I've been out of the sea for so long,\but it appears that it's affecting me a lot less.\But I probably shouldn't try to diet for a while.\Here. I filled it out.\Marriage Registration response:	Husband-to-be
context: How are you feeling?\There hasn't been much change.\It might be because I've been out of the sea for so long,\but it appears that it's affecting me a lot less.\But I probably shouldn't try to diet for a while.\Here. I filled it out.\Marriage Registration\Husband-to-be response:	Wife-to-be
context: There hasn't been much change.\It might be because I've been out of the sea for so long,\but it appears that it's affecting me a lot less.\But I probably shouldn't try to diet for a while.\Here. I filled it out.\Marriage Registration\Husband-to-be\Wife-to-be response:	Name
context: It might be because I've been out of the sea for so long,\but it appears that it's affecting me a lot less.\But I probably shouldn't try to diet for a while.\Here. I filled it out.\Marriage Registration\Husband-to-be\Wife-to-be\Name response:	(Phonetics)
context: but it appears that it's affecting me a lot less.\But I probably shouldn't try to diet for a while.\Here. I filled it out.\Marriage Registration\Husband-to-be\Wife-to-be\Name\(Phonetics) response:	Sakishima Akari
context: But I probably shouldn't try to diet for a while.\Here. I filled it out.\Marriage Registration\Husband-to-be\Wife-to-be\Name\(Phonetics)\Sakishima Akari response:	You sure it's okay?
context: Here. I filled it out.\Marriage Registration\Husband-to-be\Wife-to-be\Name\(Phonetics)\Sakishima Akari\You sure it's okay? response:	I may be inexperienced, but please stay with me for a long time.
context: Marriage Registration\Husband-to-be\Wife-to-be\Name\(Phonetics)\Sakishima Akari\You sure it's okay?\I may be inexperienced, but please stay with me for a long time. response:	S-Same here.
context: Husband-to-be\Wife-to-be\Name\(Phonetics)\Sakishima Akari\You sure it's okay?\I may be inexperienced, but please stay with me for a long time.\S-Same here. response:	Oh, and about the ceremony...
context: Wife-to-be\Name\(Phonetics)\Sakishima Akari\You sure it's okay?\I may be inexperienced, but please stay with me for a long time.\S-Same here.\Oh, and about the ceremony... response:	What do you want to do?
context: Name\(Phonetics)\Sakishima Akari\You sure it's okay?\I may be inexperienced, but please stay with me for a long time.\S-Same here.\Oh, and about the ceremony...\What do you want to do? response:	I was thinking we probably don't need to bother.
context: (Phonetics)\Sakishima Akari\You sure it's okay?\I may be inexperienced, but please stay with me for a long time.\S-Same here.\Oh, and about the ceremony...\What do you want to do?\I was thinking we probably don't need to bother. response:	Considering the times,
context: Sakishima Akari\You sure it's okay?\I may be inexperienced, but please stay with me for a long time.\S-Same here.\Oh, and about the ceremony...\What do you want to do?\I was thinking we probably don't need to bother.\Considering the times, response:	I'm pretty sure my dad won't come even if I invite him.
context: You sure it's okay?\I may be inexperienced, but please stay with me for a long time.\S-Same here.\Oh, and about the ceremony...\What do you want to do?\I was thinking we probably don't need to bother.\Considering the times,\I'm pretty sure my dad won't come even if I invite him. response:	Yeah, but...
context: I may be inexperienced, but please stay with me for a long time.\S-Same here.\Oh, and about the ceremony...\What do you want to do?\I was thinking we probably don't need to bother.\Considering the times,\I'm pretty sure my dad won't come even if I invite him.\Yeah, but... response:	don't you think that's exactly why we should have a proper ceremony?
context: S-Same here.\Oh, and about the ceremony...\What do you want to do?\I was thinking we probably don't need to bother.\Considering the times,\I'm pretty sure my dad won't come even if I invite him.\Yeah, but...\don't you think that's exactly why we should have a proper ceremony? response:	I'm sure your dad would like to see you as a bride as well.
context: Oh, and about the ceremony...\What do you want to do?\I was thinking we probably don't need to bother.\Considering the times,\I'm pretty sure my dad won't come even if I invite him.\Yeah, but...\don't you think that's exactly why we should have a proper ceremony?\I'm sure your dad would like to see you as a bride as well. response:	So let's think about it.
context: What do you want to do?\I was thinking we probably don't need to bother.\Considering the times,\I'm pretty sure my dad won't come even if I invite him.\Yeah, but...\don't you think that's exactly why we should have a proper ceremony?\I'm sure your dad would like to see you as a bride as well.\So let's think about it. response:	There should be a ceremony that is suitable for us,
context: I was thinking we probably don't need to bother.\Considering the times,\I'm pretty sure my dad won't come even if I invite him.\Yeah, but...\don't you think that's exactly why we should have a proper ceremony?\I'm sure your dad would like to see you as a bride as well.\So let's think about it.\There should be a ceremony that is suitable for us, response:	and I still don't want to give up on getting your dad's blessing
context: Considering the times,\I'm pretty sure my dad won't come even if I invite him.\Yeah, but...\don't you think that's exactly why we should have a proper ceremony?\I'm sure your dad would like to see you as a bride as well.\So let's think about it.\There should be a ceremony that is suitable for us,\and I still don't want to give up on getting your dad's blessing response:	on our relationship.
context: I'm pretty sure my dad won't come even if I invite him.\Yeah, but...\don't you think that's exactly why we should have a proper ceremony?\I'm sure your dad would like to see you as a bride as well.\So let's think about it.\There should be a ceremony that is suitable for us,\and I still don't want to give up on getting your dad's blessing\on our relationship. response:	All right, Itaru-san.
context: Yeah, but...\don't you think that's exactly why we should have a proper ceremony?\I'm sure your dad would like to see you as a bride as well.\So let's think about it.\There should be a ceremony that is suitable for us,\and I still don't want to give up on getting your dad's blessing\on our relationship.\All right, Itaru-san. response:	This country originally had a temperate humid climate.
context: don't you think that's exactly why we should have a proper ceremony?\I'm sure your dad would like to see you as a bride as well.\So let's think about it.\There should be a ceremony that is suitable for us,\and I still don't want to give up on getting your dad's blessing\on our relationship.\All right, Itaru-san.\This country originally had a temperate humid climate. response:	The biggest characteristic of that is the changes in the seasons,
context: I'm sure your dad would like to see you as a bride as well.\So let's think about it.\There should be a ceremony that is suitable for us,\and I still don't want to give up on getting your dad's blessing\on our relationship.\All right, Itaru-san.\This country originally had a temperate humid climate.\The biggest characteristic of that is the changes in the seasons, response:	and the thing affecting this is called the seasonal winds...
context: So let's think about it.\There should be a ceremony that is suitable for us,\and I still don't want to give up on getting your dad's blessing\on our relationship.\All right, Itaru-san.\This country originally had a temperate humid climate.\The biggest characteristic of that is the changes in the seasons,\and the thing affecting this is called the seasonal winds... response:	And...
context: There should be a ceremony that is suitable for us,\and I still don't want to give up on getting your dad's blessing\on our relationship.\All right, Itaru-san.\This country originally had a temperate humid climate.\The biggest characteristic of that is the changes in the seasons,\and the thing affecting this is called the seasonal winds...\And... response:	Apparently it's time.
context: and I still don't want to give up on getting your dad's blessing\on our relationship.\All right, Itaru-san.\This country originally had a temperate humid climate.\The biggest characteristic of that is the changes in the seasons,\and the thing affecting this is called the seasonal winds...\And...\Apparently it's time. response:	Go on ahead.
context: on our relationship.\All right, Itaru-san.\This country originally had a temperate humid climate.\The biggest characteristic of that is the changes in the seasons,\and the thing affecting this is called the seasonal winds...\And...\Apparently it's time.\Go on ahead. response:	It's still before noon.
context: All right, Itaru-san.\This country originally had a temperate humid climate.\The biggest characteristic of that is the changes in the seasons,\and the thing affecting this is called the seasonal winds...\And...\Apparently it's time.\Go on ahead.\It's still before noon. response:	Our Ena is fine.
context: This country originally had a temperate humid climate.\The biggest characteristic of that is the changes in the seasons,\and the thing affecting this is called the seasonal winds...\And...\Apparently it's time.\Go on ahead.\It's still before noon.\Our Ena is fine. response:	But these are instructions from Shioshishio.
context: The biggest characteristic of that is the changes in the seasons,\and the thing affecting this is called the seasonal winds...\And...\Apparently it's time.\Go on ahead.\It's still before noon.\Our Ena is fine.\But these are instructions from Shioshishio. response:	I think we should follow them.
context: and the thing affecting this is called the seasonal winds...\And...\Apparently it's time.\Go on ahead.\It's still before noon.\Our Ena is fine.\But these are instructions from Shioshishio.\I think we should follow them. response:	Your hibernation is thought to be a biochemical reaction
context: And...\Apparently it's time.\Go on ahead.\It's still before noon.\Our Ena is fine.\But these are instructions from Shioshishio.\I think we should follow them.\Your hibernation is thought to be a biochemical reaction response:	to special environmental factors adding up.
context: Apparently it's time.\Go on ahead.\It's still before noon.\Our Ena is fine.\But these are instructions from Shioshishio.\I think we should follow them.\Your hibernation is thought to be a biochemical reaction\to special environmental factors adding up. response:	But this hasn't happened these past few centuries, so we're not sure.
context: Go on ahead.\It's still before noon.\Our Ena is fine.\But these are instructions from Shioshishio.\I think we should follow them.\Your hibernation is thought to be a biochemical reaction\to special environmental factors adding up.\But this hasn't happened these past few centuries, so we're not sure. response:	But Sensei, we're fine...
context: It's still before noon.\Our Ena is fine.\But these are instructions from Shioshishio.\I think we should follow them.\Your hibernation is thought to be a biochemical reaction\to special environmental factors adding up.\But this hasn't happened these past few centuries, so we're not sure.\But Sensei, we're fine... response:	Huh?
context: Our Ena is fine.\But these are instructions from Shioshishio.\I think we should follow them.\Your hibernation is thought to be a biochemical reaction\to special environmental factors adding up.\But this hasn't happened these past few centuries, so we're not sure.\But Sensei, we're fine...\Huh? response:	Seriously?
context: But these are instructions from Shioshishio.\I think we should follow them.\Your hibernation is thought to be a biochemical reaction\to special environmental factors adding up.\But this hasn't happened these past few centuries, so we're not sure.\But Sensei, we're fine...\Huh?\Seriously? response:	See?
context: I think we should follow them.\Your hibernation is thought to be a biochemical reaction\to special environmental factors adding up.\But this hasn't happened these past few centuries, so we're not sure.\But Sensei, we're fine...\Huh?\Seriously?\See? response:	Your Ena's become thicker, and it needs water more often.
context: Your hibernation is thought to be a biochemical reaction\to special environmental factors adding up.\But this hasn't happened these past few centuries, so we're not sure.\But Sensei, we're fine...\Huh?\Seriously?\See?\Your Ena's become thicker, and it needs water more often. response:	Go on ahead.
context: to special environmental factors adding up.\But this hasn't happened these past few centuries, so we're not sure.\But Sensei, we're fine...\Huh?\Seriously?\See?\Your Ena's become thicker, and it needs water more often.\Go on ahead. response:	Damn it...
context: But this hasn't happened these past few centuries, so we're not sure.\But Sensei, we're fine...\Huh?\Seriously?\See?\Your Ena's become thicker, and it needs water more often.\Go on ahead.\Damn it... response:	It's already dry.
context: But Sensei, we're fine...\Huh?\Seriously?\See?\Your Ena's become thicker, and it needs water more often.\Go on ahead.\Damn it...\It's already dry. response:	We seriously are going to sleep...
context: Huh?\Seriously?\See?\Your Ena's become thicker, and it needs water more often.\Go on ahead.\Damn it...\It's already dry.\We seriously are going to sleep... response:	You don't want to?
context: Seriously?\See?\Your Ena's become thicker, and it needs water more often.\Go on ahead.\Damn it...\It's already dry.\We seriously are going to sleep...\You don't want to? response:	I've been thinking, even if people sleep at the same time at night,
context: See?\Your Ena's become thicker, and it needs water more often.\Go on ahead.\Damn it...\It's already dry.\We seriously are going to sleep...\You don't want to?\I've been thinking, even if people sleep at the same time at night, response:	everyone still wakes up at various times, right?
context: Your Ena's become thicker, and it needs water more often.\Go on ahead.\Damn it...\It's already dry.\We seriously are going to sleep...\You don't want to?\I've been thinking, even if people sleep at the same time at night,\everyone still wakes up at various times, right? response:	So are we all really going to be able to wake up at the same time?
context: Go on ahead.\Damn it...\It's already dry.\We seriously are going to sleep...\You don't want to?\I've been thinking, even if people sleep at the same time at night,\everyone still wakes up at various times, right?\So are we all really going to be able to wake up at the same time? response:	Isn't everyone going to sleep together and waking up together?
context: Damn it...\It's already dry.\We seriously are going to sleep...\You don't want to?\I've been thinking, even if people sleep at the same time at night,\everyone still wakes up at various times, right?\So are we all really going to be able to wake up at the same time?\Isn't everyone going to sleep together and waking up together? response:	There's no guarantee.
context: It's already dry.\We seriously are going to sleep...\You don't want to?\I've been thinking, even if people sleep at the same time at night,\everyone still wakes up at various times, right?\So are we all really going to be able to wake up at the same time?\Isn't everyone going to sleep together and waking up together?\There's no guarantee. response:	After our hibernation, not only will the surface be different, but so will we.
context: We seriously are going to sleep...\You don't want to?\I've been thinking, even if people sleep at the same time at night,\everyone still wakes up at various times, right?\So are we all really going to be able to wake up at the same time?\Isn't everyone going to sleep together and waking up together?\There's no guarantee.\After our hibernation, not only will the surface be different, but so will we. response:	The only guarantee we have of spending the same time together is right now.
context: You don't want to?\I've been thinking, even if people sleep at the same time at night,\everyone still wakes up at various times, right?\So are we all really going to be able to wake up at the same time?\Isn't everyone going to sleep together and waking up together?\There's no guarantee.\After our hibernation, not only will the surface be different, but so will we.\The only guarantee we have of spending the same time together is right now. response:	It's sort of ephemeral.
