context: As far as he is concerned response:	your eyesight didn't hold much significance to begin with.
context: But now, I can already see.\I came today to tell you\your eyes are quite handy.\You're using... my eyes?\Did Ye Hua not tell you?\He took out your eyes to give to me.\When Medicine King changed my eyes for me\Ye Hua stayed by my side the whole day and night. response:	How could you understand what is between me and him?
context: I came today to tell you\your eyes are quite handy.\You're using... my eyes?\Did Ye Hua not tell you?\He took out your eyes to give to me.\When Medicine King changed my eyes for me\Ye Hua stayed by my side the whole day and night.\How could you understand what is between me and him? response:	You can continue to stay in the Hall of Beautiful Youth.
context: your eyes are quite handy.\You're using... my eyes?\Did Ye Hua not tell you?\He took out your eyes to give to me.\When Medicine King changed my eyes for me\Ye Hua stayed by my side the whole day and night.\How could you understand what is between me and him?\You can continue to stay in the Hall of Beautiful Youth. response:	You just have to remember...
context: You're using... my eyes?\Did Ye Hua not tell you?\He took out your eyes to give to me.\When Medicine King changed my eyes for me\Ye Hua stayed by my side the whole day and night.\How could you understand what is between me and him?\You can continue to stay in the Hall of Beautiful Youth.\You just have to remember... response:	This is Ye Hua's future consort, Su Jin's charity to you.
context: Did Ye Hua not tell you?\He took out your eyes to give to me.\When Medicine King changed my eyes for me\Ye Hua stayed by my side the whole day and night.\How could you understand what is between me and him?\You can continue to stay in the Hall of Beautiful Youth.\You just have to remember...\This is Ye Hua's future consort, Su Jin's charity to you. response:	This was originally between the two of them.
context: He took out your eyes to give to me.\When Medicine King changed my eyes for me\Ye Hua stayed by my side the whole day and night.\How could you understand what is between me and him?\You can continue to stay in the Hall of Beautiful Youth.\You just have to remember...\This is Ye Hua's future consort, Su Jin's charity to you.\This was originally between the two of them. response:	I was just a passerby...
context: When Medicine King changed my eyes for me\Ye Hua stayed by my side the whole day and night.\How could you understand what is between me and him?\You can continue to stay in the Hall of Beautiful Youth.\You just have to remember...\This is Ye Hua's future consort, Su Jin's charity to you.\This was originally between the two of them.\I was just a passerby... response:	who was dazedly drawn in, and became an obstacle for them.
context: Ye Hua stayed by my side the whole day and night.\How could you understand what is between me and him?\You can continue to stay in the Hall of Beautiful Youth.\You just have to remember...\This is Ye Hua's future consort, Su Jin's charity to you.\This was originally between the two of them.\I was just a passerby...\who was dazedly drawn in, and became an obstacle for them. response:	This is preposterous!
context: How could you understand what is between me and him?\You can continue to stay in the Hall of Beautiful Youth.\You just have to remember...\This is Ye Hua's future consort, Su Jin's charity to you.\This was originally between the two of them.\I was just a passerby...\who was dazedly drawn in, and became an obstacle for them.\This is preposterous! response:	Guard this hall well.
context: You can continue to stay in the Hall of Beautiful Youth.\You just have to remember...\This is Ye Hua's future consort, Su Jin's charity to you.\This was originally between the two of them.\I was just a passerby...\who was dazedly drawn in, and became an obstacle for them.\This is preposterous!\Guard this hall well. response:	She may not have a proper title, but she's still the Crown Prince's woman.
context: You just have to remember...\This is Ye Hua's future consort, Su Jin's charity to you.\This was originally between the two of them.\I was just a passerby...\who was dazedly drawn in, and became an obstacle for them.\This is preposterous!\Guard this hall well.\She may not have a proper title, but she's still the Crown Prince's woman. response:	Should there be any mishap, you will have to answer to me.
context: This is Ye Hua's future consort, Su Jin's charity to you.\This was originally between the two of them.\I was just a passerby...\who was dazedly drawn in, and became an obstacle for them.\This is preposterous!\Guard this hall well.\She may not have a proper title, but she's still the Crown Prince's woman.\Should there be any mishap, you will have to answer to me. response:	- Yes, Consort Su Jin. - Yes, Consort Su Jin.
context: This was originally between the two of them.\I was just a passerby...\who was dazedly drawn in, and became an obstacle for them.\This is preposterous!\Guard this hall well.\She may not have a proper title, but she's still the Crown Prince's woman.\Should there be any mishap, you will have to answer to me.\- Yes, Consort Su Jin. - Yes, Consort Su Jin. response:	Your Highness, are you all right?
context: I was just a passerby...\who was dazedly drawn in, and became an obstacle for them.\This is preposterous!\Guard this hall well.\She may not have a proper title, but she's still the Crown Prince's woman.\Should there be any mishap, you will have to answer to me.\- Yes, Consort Su Jin. - Yes, Consort Su Jin.\Your Highness, are you all right? response:	The things this mortal keeps are all just wild at heart.
context: who was dazedly drawn in, and became an obstacle for them.\This is preposterous!\Guard this hall well.\She may not have a proper title, but she's still the Crown Prince's woman.\Should there be any mishap, you will have to answer to me.\- Yes, Consort Su Jin. - Yes, Consort Su Jin.\Your Highness, are you all right?\The things this mortal keeps are all just wild at heart. response:	Beat that evil creature to death.
context: This is preposterous!\Guard this hall well.\She may not have a proper title, but she's still the Crown Prince's woman.\Should there be any mishap, you will have to answer to me.\- Yes, Consort Su Jin. - Yes, Consort Su Jin.\Your Highness, are you all right?\The things this mortal keeps are all just wild at heart.\Beat that evil creature to death. response:	Yes.
context: Guard this hall well.\She may not have a proper title, but she's still the Crown Prince's woman.\Should there be any mishap, you will have to answer to me.\- Yes, Consort Su Jin. - Yes, Consort Su Jin.\Your Highness, are you all right?\The things this mortal keeps are all just wild at heart.\Beat that evil creature to death.\Yes. response:	Consort Su Jin.
context: She may not have a proper title, but she's still the Crown Prince's woman.\Should there be any mishap, you will have to answer to me.\- Yes, Consort Su Jin. - Yes, Consort Su Jin.\Your Highness, are you all right?\The things this mortal keeps are all just wild at heart.\Beat that evil creature to death.\Yes.\Consort Su Jin. response:	Didn't you already leave for the lower realm's Deity Mountain?
context: Should there be any mishap, you will have to answer to me.\- Yes, Consort Su Jin. - Yes, Consort Su Jin.\Your Highness, are you all right?\The things this mortal keeps are all just wild at heart.\Beat that evil creature to death.\Yes.\Consort Su Jin.\Didn't you already leave for the lower realm's Deity Mountain? response:	Your Highness, Consort Le Xu just graciously permitted me
context: - Yes, Consort Su Jin. - Yes, Consort Su Jin.\Your Highness, are you all right?\The things this mortal keeps are all just wild at heart.\Beat that evil creature to death.\Yes.\Consort Su Jin.\Didn't you already leave for the lower realm's Deity Mountain?\Your Highness, Consort Le Xu just graciously permitted me response:	to be demoted back to the lower realm's Deity Mountain
context: Your Highness, are you all right?\The things this mortal keeps are all just wild at heart.\Beat that evil creature to death.\Yes.\Consort Su Jin.\Didn't you already leave for the lower realm's Deity Mountain?\Your Highness, Consort Le Xu just graciously permitted me\to be demoted back to the lower realm's Deity Mountain response:	after the imperial child reaches one year of age.
context: The things this mortal keeps are all just wild at heart.\Beat that evil creature to death.\Yes.\Consort Su Jin.\Didn't you already leave for the lower realm's Deity Mountain?\Your Highness, Consort Le Xu just graciously permitted me\to be demoted back to the lower realm's Deity Mountain\after the imperial child reaches one year of age. response:	Is this little fox a pet kept in your Hall of Beautiful Youth?
context: Beat that evil creature to death.\Yes.\Consort Su Jin.\Didn't you already leave for the lower realm's Deity Mountain?\Your Highness, Consort Le Xu just graciously permitted me\to be demoted back to the lower realm's Deity Mountain\after the imperial child reaches one year of age.\Is this little fox a pet kept in your Hall of Beautiful Youth? response:	Your Highness, this little fox indeed comes often to Hall of Beautiful Youth
context: Yes.\Consort Su Jin.\Didn't you already leave for the lower realm's Deity Mountain?\Your Highness, Consort Le Xu just graciously permitted me\to be demoted back to the lower realm's Deity Mountain\after the imperial child reaches one year of age.\Is this little fox a pet kept in your Hall of Beautiful Youth?\Your Highness, this little fox indeed comes often to Hall of Beautiful Youth response:	but it is not my lady's.
context: Consort Su Jin.\Didn't you already leave for the lower realm's Deity Mountain?\Your Highness, Consort Le Xu just graciously permitted me\to be demoted back to the lower realm's Deity Mountain\after the imperial child reaches one year of age.\Is this little fox a pet kept in your Hall of Beautiful Youth?\Your Highness, this little fox indeed comes often to Hall of Beautiful Youth\but it is not my lady's. response:	I clearly saw it coming out of the Hall of Beautiful Youth.
context: Didn't you already leave for the lower realm's Deity Mountain?\Your Highness, Consort Le Xu just graciously permitted me\to be demoted back to the lower realm's Deity Mountain\after the imperial child reaches one year of age.\Is this little fox a pet kept in your Hall of Beautiful Youth?\Your Highness, this little fox indeed comes often to Hall of Beautiful Youth\but it is not my lady's.\I clearly saw it coming out of the Hall of Beautiful Youth. response:	You would dare tell a lie over an evil creature?
context: Your Highness, Consort Le Xu just graciously permitted me\to be demoted back to the lower realm's Deity Mountain\after the imperial child reaches one year of age.\Is this little fox a pet kept in your Hall of Beautiful Youth?\Your Highness, this little fox indeed comes often to Hall of Beautiful Youth\but it is not my lady's.\I clearly saw it coming out of the Hall of Beautiful Youth.\You would dare tell a lie over an evil creature? response:	Your Highness, this little fox really isn't-
context: to be demoted back to the lower realm's Deity Mountain\after the imperial child reaches one year of age.\Is this little fox a pet kept in your Hall of Beautiful Youth?\Your Highness, this little fox indeed comes often to Hall of Beautiful Youth\but it is not my lady's.\I clearly saw it coming out of the Hall of Beautiful Youth.\You would dare tell a lie over an evil creature?\Your Highness, this little fox really isn't- response:	Impudence!
context: after the imperial child reaches one year of age.\Is this little fox a pet kept in your Hall of Beautiful Youth?\Your Highness, this little fox indeed comes often to Hall of Beautiful Youth\but it is not my lady's.\I clearly saw it coming out of the Hall of Beautiful Youth.\You would dare tell a lie over an evil creature?\Your Highness, this little fox really isn't-\Impudence! response:	Dijun.
context: Is this little fox a pet kept in your Hall of Beautiful Youth?\Your Highness, this little fox indeed comes often to Hall of Beautiful Youth\but it is not my lady's.\I clearly saw it coming out of the Hall of Beautiful Youth.\You would dare tell a lie over an evil creature?\Your Highness, this little fox really isn't-\Impudence!\Dijun. response:	A little fox of mine has gone missing. Has Your Highness seen it?
context: Your Highness, this little fox indeed comes often to Hall of Beautiful Youth\but it is not my lady's.\I clearly saw it coming out of the Hall of Beautiful Youth.\You would dare tell a lie over an evil creature?\Your Highness, this little fox really isn't-\Impudence!\Dijun.\A little fox of mine has gone missing. Has Your Highness seen it? response:	Little fox?
context: but it is not my lady's.\I clearly saw it coming out of the Hall of Beautiful Youth.\You would dare tell a lie over an evil creature?\Your Highness, this little fox really isn't-\Impudence!\Dijun.\A little fox of mine has gone missing. Has Your Highness seen it?\Little fox? response:	It's the one your servant is carrying.
context: I clearly saw it coming out of the Hall of Beautiful Youth.\You would dare tell a lie over an evil creature?\Your Highness, this little fox really isn't-\Impudence!\Dijun.\A little fox of mine has gone missing. Has Your Highness seen it?\Little fox?\It's the one your servant is carrying. response:	Tell me. Who hurt it?
context: You would dare tell a lie over an evil creature?\Your Highness, this little fox really isn't-\Impudence!\Dijun.\A little fox of mine has gone missing. Has Your Highness seen it?\Little fox?\It's the one your servant is carrying.\Tell me. Who hurt it? response:	Dijun.
context: Your Highness, this little fox really isn't-\Impudence!\Dijun.\A little fox of mine has gone missing. Has Your Highness seen it?\Little fox?\It's the one your servant is carrying.\Tell me. Who hurt it?\Dijun. response:	It bit my lady's wrist.
context: Impudence!\Dijun.\A little fox of mine has gone missing. Has Your Highness seen it?\Little fox?\It's the one your servant is carrying.\Tell me. Who hurt it?\Dijun.\It bit my lady's wrist. response:	Her Highness only flung it aside out of defense.
context: Dijun.\A little fox of mine has gone missing. Has Your Highness seen it?\Little fox?\It's the one your servant is carrying.\Tell me. Who hurt it?\Dijun.\It bit my lady's wrist.\Her Highness only flung it aside out of defense. response:	It was so disobedient?
context: A little fox of mine has gone missing. Has Your Highness seen it?\Little fox?\It's the one your servant is carrying.\Tell me. Who hurt it?\Dijun.\It bit my lady's wrist.\Her Highness only flung it aside out of defense.\It was so disobedient? response:	How could it be? It must have been unintentional.
context: Little fox?\It's the one your servant is carrying.\Tell me. Who hurt it?\Dijun.\It bit my lady's wrist.\Her Highness only flung it aside out of defense.\It was so disobedient?\How could it be? It must have been unintentional. response:	So was it intentional or unintentional?
context: It's the one your servant is carrying.\Tell me. Who hurt it?\Dijun.\It bit my lady's wrist.\Her Highness only flung it aside out of defense.\It was so disobedient?\How could it be? It must have been unintentional.\So was it intentional or unintentional? response:	Unintentional. It must have been unintentional.
context: Tell me. Who hurt it?\Dijun.\It bit my lady's wrist.\Her Highness only flung it aside out of defense.\It was so disobedient?\How could it be? It must have been unintentional.\So was it intentional or unintentional?\Unintentional. It must have been unintentional. response:	I may have been in its way. It has an unstable temper and was vexed.
context: Dijun.\It bit my lady's wrist.\Her Highness only flung it aside out of defense.\It was so disobedient?\How could it be? It must have been unintentional.\So was it intentional or unintentional?\Unintentional. It must have been unintentional.\I may have been in its way. It has an unstable temper and was vexed. response:	It isn't a big injury.
context: It bit my lady's wrist.\Her Highness only flung it aside out of defense.\It was so disobedient?\How could it be? It must have been unintentional.\So was it intentional or unintentional?\Unintentional. It must have been unintentional.\I may have been in its way. It has an unstable temper and was vexed.\It isn't a big injury. response:	Since it is your fox, I will return it to you.
context: Her Highness only flung it aside out of defense.\It was so disobedient?\How could it be? It must have been unintentional.\So was it intentional or unintentional?\Unintentional. It must have been unintentional.\I may have been in its way. It has an unstable temper and was vexed.\It isn't a big injury.\Since it is your fox, I will return it to you. response:	Since you say it injured you, I mustn't discriminate in its favor.
context: It was so disobedient?\How could it be? It must have been unintentional.\So was it intentional or unintentional?\Unintentional. It must have been unintentional.\I may have been in its way. It has an unstable temper and was vexed.\It isn't a big injury.\Since it is your fox, I will return it to you.\Since you say it injured you, I mustn't discriminate in its favor. response:	Why don't you tell me what happened just now?
context: How could it be? It must have been unintentional.\So was it intentional or unintentional?\Unintentional. It must have been unintentional.\I may have been in its way. It has an unstable temper and was vexed.\It isn't a big injury.\Since it is your fox, I will return it to you.\Since you say it injured you, I mustn't discriminate in its favor.\Why don't you tell me what happened just now? response:	It...
context: So was it intentional or unintentional?\Unintentional. It must have been unintentional.\I may have been in its way. It has an unstable temper and was vexed.\It isn't a big injury.\Since it is your fox, I will return it to you.\Since you say it injured you, I mustn't discriminate in its favor.\Why don't you tell me what happened just now?\It... response:	Isn't this where the Crown Prince's mortal wife resides?
context: Unintentional. It must have been unintentional.\I may have been in its way. It has an unstable temper and was vexed.\It isn't a big injury.\Since it is your fox, I will return it to you.\Since you say it injured you, I mustn't discriminate in its favor.\Why don't you tell me what happened just now?\It...\Isn't this where the Crown Prince's mortal wife resides? response:	I heard a tiny incident happened a few days ago
context: I may have been in its way. It has an unstable temper and was vexed.\It isn't a big injury.\Since it is your fox, I will return it to you.\Since you say it injured you, I mustn't discriminate in its favor.\Why don't you tell me what happened just now?\It...\Isn't this where the Crown Prince's mortal wife resides?\I heard a tiny incident happened a few days ago response:	that caused a lot of unpleasantness.
context: It isn't a big injury.\Since it is your fox, I will return it to you.\Since you say it injured you, I mustn't discriminate in its favor.\Why don't you tell me what happened just now?\It...\Isn't this where the Crown Prince's mortal wife resides?\I heard a tiny incident happened a few days ago\that caused a lot of unpleasantness. response:	Come inside with me to ask the mortal woman...
context: Since it is your fox, I will return it to you.\Since you say it injured you, I mustn't discriminate in its favor.\Why don't you tell me what happened just now?\It...\Isn't this where the Crown Prince's mortal wife resides?\I heard a tiny incident happened a few days ago\that caused a lot of unpleasantness.\Come inside with me to ask the mortal woman... response:	why this little fox suffered such a provocation
context: Since you say it injured you, I mustn't discriminate in its favor.\Why don't you tell me what happened just now?\It...\Isn't this where the Crown Prince's mortal wife resides?\I heard a tiny incident happened a few days ago\that caused a lot of unpleasantness.\Come inside with me to ask the mortal woman...\why this little fox suffered such a provocation response:	as to dare bite someone.
context: Why don't you tell me what happened just now?\It...\Isn't this where the Crown Prince's mortal wife resides?\I heard a tiny incident happened a few days ago\that caused a lot of unpleasantness.\Come inside with me to ask the mortal woman...\why this little fox suffered such a provocation\as to dare bite someone. response:	You must be jesting, Dijun.
context: It...\Isn't this where the Crown Prince's mortal wife resides?\I heard a tiny incident happened a few days ago\that caused a lot of unpleasantness.\Come inside with me to ask the mortal woman...\why this little fox suffered such a provocation\as to dare bite someone.\You must be jesting, Dijun. response:	This small bite is not worthy of you personally inquiring about it.
context: Isn't this where the Crown Prince's mortal wife resides?\I heard a tiny incident happened a few days ago\that caused a lot of unpleasantness.\Come inside with me to ask the mortal woman...\why this little fox suffered such a provocation\as to dare bite someone.\You must be jesting, Dijun.\This small bite is not worthy of you personally inquiring about it. response:	It bit me, I also injured it.
context: I heard a tiny incident happened a few days ago\that caused a lot of unpleasantness.\Come inside with me to ask the mortal woman...\why this little fox suffered such a provocation\as to dare bite someone.\You must be jesting, Dijun.\This small bite is not worthy of you personally inquiring about it.\It bit me, I also injured it. response:	This matter has been balanced out.
context: that caused a lot of unpleasantness.\Come inside with me to ask the mortal woman...\why this little fox suffered such a provocation\as to dare bite someone.\You must be jesting, Dijun.\This small bite is not worthy of you personally inquiring about it.\It bit me, I also injured it.\This matter has been balanced out. response:	Balanced out?
context: Come inside with me to ask the mortal woman...\why this little fox suffered such a provocation\as to dare bite someone.\You must be jesting, Dijun.\This small bite is not worthy of you personally inquiring about it.\It bit me, I also injured it.\This matter has been balanced out.\Balanced out? response:	I see that it is hurt more severely than you are.
context: why this little fox suffered such a provocation\as to dare bite someone.\You must be jesting, Dijun.\This small bite is not worthy of you personally inquiring about it.\It bit me, I also injured it.\This matter has been balanced out.\Balanced out?\I see that it is hurt more severely than you are. response:	How is it balanced?
context: as to dare bite someone.\You must be jesting, Dijun.\This small bite is not worthy of you personally inquiring about it.\It bit me, I also injured it.\This matter has been balanced out.\Balanced out?\I see that it is hurt more severely than you are.\How is it balanced? response:	Dijun, please calm your anger. I have done wrong.
context: You must be jesting, Dijun.\This small bite is not worthy of you personally inquiring about it.\It bit me, I also injured it.\This matter has been balanced out.\Balanced out?\I see that it is hurt more severely than you are.\How is it balanced?\Dijun, please calm your anger. I have done wrong. response:	What did you say?
context: This small bite is not worthy of you personally inquiring about it.\It bit me, I also injured it.\This matter has been balanced out.\Balanced out?\I see that it is hurt more severely than you are.\How is it balanced?\Dijun, please calm your anger. I have done wrong.\What did you say? response:	I was in a bad mood because I visited
context: It bit me, I also injured it.\This matter has been balanced out.\Balanced out?\I see that it is hurt more severely than you are.\How is it balanced?\Dijun, please calm your anger. I have done wrong.\What did you say?\I was in a bad mood because I visited response:	the mortal in the Hall of Beautiful Youth.
context: This matter has been balanced out.\Balanced out?\I see that it is hurt more severely than you are.\How is it balanced?\Dijun, please calm your anger. I have done wrong.\What did you say?\I was in a bad mood because I visited\the mortal in the Hall of Beautiful Youth. response:	And this little fox happened to be playing here
context: Balanced out?\I see that it is hurt more severely than you are.\How is it balanced?\Dijun, please calm your anger. I have done wrong.\What did you say?\I was in a bad mood because I visited\the mortal in the Hall of Beautiful Youth.\And this little fox happened to be playing here response:	yet, it was harmed by me for no reason.
context: I see that it is hurt more severely than you are.\How is it balanced?\Dijun, please calm your anger. I have done wrong.\What did you say?\I was in a bad mood because I visited\the mortal in the Hall of Beautiful Youth.\And this little fox happened to be playing here\yet, it was harmed by me for no reason. response:	Harmed for no reason?
context: How is it balanced?\Dijun, please calm your anger. I have done wrong.\What did you say?\I was in a bad mood because I visited\the mortal in the Hall of Beautiful Youth.\And this little fox happened to be playing here\yet, it was harmed by me for no reason.\Harmed for no reason? response:	Dijun, please calm your anger.
context: Dijun, please calm your anger. I have done wrong.\What did you say?\I was in a bad mood because I visited\the mortal in the Hall of Beautiful Youth.\And this little fox happened to be playing here\yet, it was harmed by me for no reason.\Harmed for no reason?\Dijun, please calm your anger. response:	I was boiling with fury, and hurt Taichen Palace's fox.
context: What did you say?\I was in a bad mood because I visited\the mortal in the Hall of Beautiful Youth.\And this little fox happened to be playing here\yet, it was harmed by me for no reason.\Harmed for no reason?\Dijun, please calm your anger.\I was boiling with fury, and hurt Taichen Palace's fox. response:	I am willing to kneel here for two hours in apology.
context: I was in a bad mood because I visited\the mortal in the Hall of Beautiful Youth.\And this little fox happened to be playing here\yet, it was harmed by me for no reason.\Harmed for no reason?\Dijun, please calm your anger.\I was boiling with fury, and hurt Taichen Palace's fox.\I am willing to kneel here for two hours in apology. response:	That is very well.
context: the mortal in the Hall of Beautiful Youth.\And this little fox happened to be playing here\yet, it was harmed by me for no reason.\Harmed for no reason?\Dijun, please calm your anger.\I was boiling with fury, and hurt Taichen Palace's fox.\I am willing to kneel here for two hours in apology.\That is very well. response:	You grew up here in the Nine Heavens.
context: And this little fox happened to be playing here\yet, it was harmed by me for no reason.\Harmed for no reason?\Dijun, please calm your anger.\I was boiling with fury, and hurt Taichen Palace's fox.\I am willing to kneel here for two hours in apology.\That is very well.\You grew up here in the Nine Heavens. response:	You must have heard I am accustomed to leading troops in the past
context: yet, it was harmed by me for no reason.\Harmed for no reason?\Dijun, please calm your anger.\I was boiling with fury, and hurt Taichen Palace's fox.\I am willing to kneel here for two hours in apology.\That is very well.\You grew up here in the Nine Heavens.\You must have heard I am accustomed to leading troops in the past response:	so I am both protective of my own, and impervious to reason.
context: Harmed for no reason?\Dijun, please calm your anger.\I was boiling with fury, and hurt Taichen Palace's fox.\I am willing to kneel here for two hours in apology.\That is very well.\You grew up here in the Nine Heavens.\You must have heard I am accustomed to leading troops in the past\so I am both protective of my own, and impervious to reason. response:	You had best stay away from the people and fox of my palace.
context: Dijun, please calm your anger.\I was boiling with fury, and hurt Taichen Palace's fox.\I am willing to kneel here for two hours in apology.\That is very well.\You grew up here in the Nine Heavens.\You must have heard I am accustomed to leading troops in the past\so I am both protective of my own, and impervious to reason.\You had best stay away from the people and fox of my palace. response:	Yes.
context: I was boiling with fury, and hurt Taichen Palace's fox.\I am willing to kneel here for two hours in apology.\That is very well.\You grew up here in the Nine Heavens.\You must have heard I am accustomed to leading troops in the past\so I am both protective of my own, and impervious to reason.\You had best stay away from the people and fox of my palace.\Yes. response:	- Your Highness, get up. - Do not help me up.
context: I am willing to kneel here for two hours in apology.\That is very well.\You grew up here in the Nine Heavens.\You must have heard I am accustomed to leading troops in the past\so I am both protective of my own, and impervious to reason.\You had best stay away from the people and fox of my palace.\Yes.\- Your Highness, get up. - Do not help me up. response:	Otherwise, if someone tells Dijun, there would be more trouble.
context: That is very well.\You grew up here in the Nine Heavens.\You must have heard I am accustomed to leading troops in the past\so I am both protective of my own, and impervious to reason.\You had best stay away from the people and fox of my palace.\Yes.\- Your Highness, get up. - Do not help me up.\Otherwise, if someone tells Dijun, there would be more trouble. response:	Regardless, Your Highness is an imperial consort.
context: You grew up here in the Nine Heavens.\You must have heard I am accustomed to leading troops in the past\so I am both protective of my own, and impervious to reason.\You had best stay away from the people and fox of my palace.\Yes.\- Your Highness, get up. - Do not help me up.\Otherwise, if someone tells Dijun, there would be more trouble.\Regardless, Your Highness is an imperial consort. response:	Why would you have to humble yourself in such a way?
context: You must have heard I am accustomed to leading troops in the past\so I am both protective of my own, and impervious to reason.\You had best stay away from the people and fox of my palace.\Yes.\- Your Highness, get up. - Do not help me up.\Otherwise, if someone tells Dijun, there would be more trouble.\Regardless, Your Highness is an imperial consort.\Why would you have to humble yourself in such a way? response:	What do you know?
context: so I am both protective of my own, and impervious to reason.\You had best stay away from the people and fox of my palace.\Yes.\- Your Highness, get up. - Do not help me up.\Otherwise, if someone tells Dijun, there would be more trouble.\Regardless, Your Highness is an imperial consort.\Why would you have to humble yourself in such a way?\What do you know? response:	Dijun might never involve himself in the affairs of the Celestial Palace
context: You had best stay away from the people and fox of my palace.\Yes.\- Your Highness, get up. - Do not help me up.\Otherwise, if someone tells Dijun, there would be more trouble.\Regardless, Your Highness is an imperial consort.\Why would you have to humble yourself in such a way?\What do you know?\Dijun might never involve himself in the affairs of the Celestial Palace response:	but if he says the word, nobody would dare disobey him.
context: Yes.\- Your Highness, get up. - Do not help me up.\Otherwise, if someone tells Dijun, there would be more trouble.\Regardless, Your Highness is an imperial consort.\Why would you have to humble yourself in such a way?\What do you know?\Dijun might never involve himself in the affairs of the Celestial Palace\but if he says the word, nobody would dare disobey him. response:	Just now, he was obviously angry.
context: - Your Highness, get up. - Do not help me up.\Otherwise, if someone tells Dijun, there would be more trouble.\Regardless, Your Highness is an imperial consort.\Why would you have to humble yourself in such a way?\What do you know?\Dijun might never involve himself in the affairs of the Celestial Palace\but if he says the word, nobody would dare disobey him.\Just now, he was obviously angry. response:	Even if Heavenly Lord were here, he wouldn't help me.
context: Otherwise, if someone tells Dijun, there would be more trouble.\Regardless, Your Highness is an imperial consort.\Why would you have to humble yourself in such a way?\What do you know?\Dijun might never involve himself in the affairs of the Celestial Palace\but if he says the word, nobody would dare disobey him.\Just now, he was obviously angry.\Even if Heavenly Lord were here, he wouldn't help me. response:	He may even sentence me to kneel here for the whole day.
context: Regardless, Your Highness is an imperial consort.\Why would you have to humble yourself in such a way?\What do you know?\Dijun might never involve himself in the affairs of the Celestial Palace\but if he says the word, nobody would dare disobey him.\Just now, he was obviously angry.\Even if Heavenly Lord were here, he wouldn't help me.\He may even sentence me to kneel here for the whole day. response:	Xin Nu.
