context: Future Plans Questionnaire response:	Year Class Number Name
context: Thanks.\Did you always wear glasses, Senpai?\These reduce blue light.\Oh...\Maybe I should try a pair of those, too.\You don't look at the computer that much.\I do! I look at it all the time!\Yukinon, let me see it, too! response:	YUMIKOsan SATOSATO-san Takurou-san
context: Did you always wear glasses, Senpai?\These reduce blue light.\Oh...\Maybe I should try a pair of those, too.\You don't look at the computer that much.\I do! I look at it all the time!\Yukinon, let me see it, too!\YUMIKOsan SATOSATO-san Takurou-san response:	Oh, there's an email.
context: These reduce blue light.\Oh...\Maybe I should try a pair of those, too.\You don't look at the computer that much.\I do! I look at it all the time!\Yukinon, let me see it, too!\YUMIKOsan SATOSATO-san Takurou-san\Oh, there's an email. response:	No Title
context: Oh...\Maybe I should try a pair of those, too.\You don't look at the computer that much.\I do! I look at it all the time!\Yukinon, let me see it, too!\YUMIKOsan SATOSATO-san Takurou-san\Oh, there's an email.\No Title response:	How is everyone deciding whether to pick liberal arts or sciences?
context: Maybe I should try a pair of those, too.\You don't look at the computer that much.\I do! I look at it all the time!\Yukinon, let me see it, too!\YUMIKOsan SATOSATO-san Takurou-san\Oh, there's an email.\No Title\How is everyone deciding whether to pick liberal arts or sciences? response:	Got a minute?
context: You don't look at the computer that much.\I do! I look at it all the time!\Yukinon, let me see it, too!\YUMIKOsan SATOSATO-san Takurou-san\Oh, there's an email.\No Title\How is everyone deciding whether to pick liberal arts or sciences?\Got a minute? response:	I want to talk to you.
context: I do! I look at it all the time!\Yukinon, let me see it, too!\YUMIKOsan SATOSATO-san Takurou-san\Oh, there's an email.\No Title\How is everyone deciding whether to pick liberal arts or sciences?\Got a minute?\I want to talk to you. response:	Well, I appreciate your help with the future plans counseling sessions.
context: Yukinon, let me see it, too!\YUMIKOsan SATOSATO-san Takurou-san\Oh, there's an email.\No Title\How is everyone deciding whether to pick liberal arts or sciences?\Got a minute?\I want to talk to you.\Well, I appreciate your help with the future plans counseling sessions. response:	Huh? No one told us about that...
context: YUMIKOsan SATOSATO-san Takurou-san\Oh, there's an email.\No Title\How is everyone deciding whether to pick liberal arts or sciences?\Got a minute?\I want to talk to you.\Well, I appreciate your help with the future plans counseling sessions.\Huh? No one told us about that... response:	Bye!
context: Oh, there's an email.\No Title\How is everyone deciding whether to pick liberal arts or sciences?\Got a minute?\I want to talk to you.\Well, I appreciate your help with the future plans counseling sessions.\Huh? No one told us about that...\Bye! response:	So, what'd you want to talk about?
context: No Title\How is everyone deciding whether to pick liberal arts or sciences?\Got a minute?\I want to talk to you.\Well, I appreciate your help with the future plans counseling sessions.\Huh? No one told us about that...\Bye!\So, what'd you want to talk about? response:	Is something going on with you and Hayato?
context: How is everyone deciding whether to pick liberal arts or sciences?\Got a minute?\I want to talk to you.\Well, I appreciate your help with the future plans counseling sessions.\Huh? No one told us about that...\Bye!\So, what'd you want to talk about?\Is something going on with you and Hayato? response:	Nothing of significance.
context: Got a minute?\I want to talk to you.\Well, I appreciate your help with the future plans counseling sessions.\Huh? No one told us about that...\Bye!\So, what'd you want to talk about?\Is something going on with you and Hayato?\Nothing of significance. response:	We've known each other since we were young. That's all.
context: I want to talk to you.\Well, I appreciate your help with the future plans counseling sessions.\Huh? No one told us about that...\Bye!\So, what'd you want to talk about?\Is something going on with you and Hayato?\Nothing of significance.\We've known each other since we were young. That's all. response:	Is that true?
context: Well, I appreciate your help with the future plans counseling sessions.\Huh? No one told us about that...\Bye!\So, what'd you want to talk about?\Is something going on with you and Hayato?\Nothing of significance.\We've known each other since we were young. That's all.\Is that true? response:	Would lying benefit me in any way?
context: Huh? No one told us about that...\Bye!\So, what'd you want to talk about?\Is something going on with you and Hayato?\Nothing of significance.\We've known each other since we were young. That's all.\Is that true?\Would lying benefit me in any way? response:	That sort of thing has always annoyed me.
context: Bye!\So, what'd you want to talk about?\Is something going on with you and Hayato?\Nothing of significance.\We've known each other since we were young. That's all.\Is that true?\Would lying benefit me in any way?\That sort of thing has always annoyed me. response:	What? Why do you have to talk like that?
context: So, what'd you want to talk about?\Is something going on with you and Hayato?\Nothing of significance.\We've known each other since we were young. That's all.\Is that true?\Would lying benefit me in any way?\That sort of thing has always annoyed me.\What? Why do you have to talk like that? response:	It really pisses me off!
context: Is something going on with you and Hayato?\Nothing of significance.\We've known each other since we were young. That's all.\Is that true?\Would lying benefit me in any way?\That sort of thing has always annoyed me.\What? Why do you have to talk like that?\It really pisses me off! response:	I really hate that about y
context: Nothing of significance.\We've known each other since we were young. That's all.\Is that true?\Would lying benefit me in any way?\That sort of thing has always annoyed me.\What? Why do you have to talk like that?\It really pisses me off!\I really hate that about y response:	Yumiko!
context: We've known each other since we were young. That's all.\Is that true?\Would lying benefit me in any way?\That sort of thing has always annoyed me.\What? Why do you have to talk like that?\It really pisses me off!\I really hate that about y\Yumiko! response:	I already explained that to you before.
context: Is that true?\Would lying benefit me in any way?\That sort of thing has always annoyed me.\What? Why do you have to talk like that?\It really pisses me off!\I really hate that about y\Yumiko!\I already explained that to you before. response:	They just bumped into each other...
context: Would lying benefit me in any way?\That sort of thing has always annoyed me.\What? Why do you have to talk like that?\It really pisses me off!\I really hate that about y\Yumiko!\I already explained that to you before.\They just bumped into each other... response:	That's all it was!
context: That sort of thing has always annoyed me.\What? Why do you have to talk like that?\It really pisses me off!\I really hate that about y\Yumiko!\I already explained that to you before.\They just bumped into each other...\That's all it was! response:	If that's all it was, Hayato wouldn't be so bothered by it.
context: What? Why do you have to talk like that?\It really pisses me off!\I really hate that about y\Yumiko!\I already explained that to you before.\They just bumped into each other...\That's all it was!\If that's all it was, Hayato wouldn't be so bothered by it. response:	Something happened, didn't it?
context: It really pisses me off!\I really hate that about y\Yumiko!\I already explained that to you before.\They just bumped into each other...\That's all it was!\If that's all it was, Hayato wouldn't be so bothered by it.\Something happened, didn't it? response:	Even if it's not now,
context: I really hate that about y\Yumiko!\I already explained that to you before.\They just bumped into each other...\That's all it was!\If that's all it was, Hayato wouldn't be so bothered by it.\Something happened, didn't it?\Even if it's not now, response:	something a long time ago...
context: Yumiko!\I already explained that to you before.\They just bumped into each other...\That's all it was!\If that's all it was, Hayato wouldn't be so bothered by it.\Something happened, didn't it?\Even if it's not now,\something a long time ago... response:	Even if something did happen, and I told you all about it,
context: I already explained that to you before.\They just bumped into each other...\That's all it was!\If that's all it was, Hayato wouldn't be so bothered by it.\Something happened, didn't it?\Even if it's not now,\something a long time ago...\Even if something did happen, and I told you all about it, response:	would it change anything?
context: They just bumped into each other...\That's all it was!\If that's all it was, Hayato wouldn't be so bothered by it.\Something happened, didn't it?\Even if it's not now,\something a long time ago...\Even if something did happen, and I told you all about it,\would it change anything? response:	Would you, and everyone else, believe it?
context: That's all it was!\If that's all it was, Hayato wouldn't be so bothered by it.\Something happened, didn't it?\Even if it's not now,\something a long time ago...\Even if something did happen, and I told you all about it,\would it change anything?\Would you, and everyone else, believe it? response:	Ultimately, it's meaningless.
context: If that's all it was, Hayato wouldn't be so bothered by it.\Something happened, didn't it?\Even if it's not now,\something a long time ago...\Even if something did happen, and I told you all about it,\would it change anything?\Would you, and everyone else, believe it?\Ultimately, it's meaningless. response:	That part of you seriously...
context: Something happened, didn't it?\Even if it's not now,\something a long time ago...\Even if something did happen, and I told you all about it,\would it change anything?\Would you, and everyone else, believe it?\Ultimately, it's meaningless.\That part of you seriously... response:	Is there something else you'd like to say?
context: Even if it's not now,\something a long time ago...\Even if something did happen, and I told you all about it,\would it change anything?\Would you, and everyone else, believe it?\Ultimately, it's meaningless.\That part of you seriously...\Is there something else you'd like to say? response:	Come on, calm down. Okay?
context: something a long time ago...\Even if something did happen, and I told you all about it,\would it change anything?\Would you, and everyone else, believe it?\Ultimately, it's meaningless.\That part of you seriously...\Is there something else you'd like to say?\Come on, calm down. Okay? response:	You, too. Calm down.
context: Even if something did happen, and I told you all about it,\would it change anything?\Would you, and everyone else, believe it?\Ultimately, it's meaningless.\That part of you seriously...\Is there something else you'd like to say?\Come on, calm down. Okay?\You, too. Calm down. response:	I am calm.
context: would it change anything?\Would you, and everyone else, believe it?\Ultimately, it's meaningless.\That part of you seriously...\Is there something else you'd like to say?\Come on, calm down. Okay?\You, too. Calm down.\I am calm. response:	I'm used to this sort of thing.
context: Would you, and everyone else, believe it?\Ultimately, it's meaningless.\That part of you seriously...\Is there something else you'd like to say?\Come on, calm down. Okay?\You, too. Calm down.\I am calm.\I'm used to this sort of thing. response:	As long as the people closest to me understand, that's enough.
context: Ultimately, it's meaningless.\That part of you seriously...\Is there something else you'd like to say?\Come on, calm down. Okay?\You, too. Calm down.\I am calm.\I'm used to this sort of thing.\As long as the people closest to me understand, that's enough. response:	Obviously. That's exactly why.
context: That part of you seriously...\Is there something else you'd like to say?\Come on, calm down. Okay?\You, too. Calm down.\I am calm.\I'm used to this sort of thing.\As long as the people closest to me understand, that's enough.\Obviously. That's exactly why. response:	Huh?
context: Is there something else you'd like to say?\Come on, calm down. Okay?\You, too. Calm down.\I am calm.\I'm used to this sort of thing.\As long as the people closest to me understand, that's enough.\Obviously. That's exactly why.\Huh? response:	The thing about the people closest to you.
context: Come on, calm down. Okay?\You, too. Calm down.\I am calm.\I'm used to this sort of thing.\As long as the people closest to me understand, that's enough.\Obviously. That's exactly why.\Huh?\The thing about the people closest to you. response:	That's what I want to be. That's why I asked.
context: You, too. Calm down.\I am calm.\I'm used to this sort of thing.\As long as the people closest to me understand, that's enough.\Obviously. That's exactly why.\Huh?\The thing about the people closest to you.\That's what I want to be. That's why I asked. response:	No Title
