context: I gave up my voice in order to protect the knowledge I got from you. response:	Are you saying you will protect me, Chane?
context: who are you?\Come on, answer. I'm...\Why are you lying, Czes- kun?\Czeslaw Meyer.\How do you know my name?\A-are you the Rail Tracer?\Oh, good guess.\I am the Rail Tracer. response:	I also know that you are no kid,
context: Come on, answer. I'm...\Why are you lying, Czes- kun?\Czeslaw Meyer.\How do you know my name?\A-are you the Rail Tracer?\Oh, good guess.\I am the Rail Tracer.\I also know that you are no kid, response:	and that you want to kill the other passengers.
context: Why are you lying, Czes- kun?\Czeslaw Meyer.\How do you know my name?\A-are you the Rail Tracer?\Oh, good guess.\I am the Rail Tracer.\I also know that you are no kid,\and that you want to kill the other passengers. response:	And so, you see, I'm going to kill you.
context: Czeslaw Meyer.\How do you know my name?\A-are you the Rail Tracer?\Oh, good guess.\I am the Rail Tracer.\I also know that you are no kid,\and that you want to kill the other passengers.\And so, you see, I'm going to kill you. response:	A crimson monster?
context: How do you know my name?\A-are you the Rail Tracer?\Oh, good guess.\I am the Rail Tracer.\I also know that you are no kid,\and that you want to kill the other passengers.\And so, you see, I'm going to kill you.\A crimson monster? response:	Are you trying to talk your way out of this with that ridiculous story?
context: A-are you the Rail Tracer?\Oh, good guess.\I am the Rail Tracer.\I also know that you are no kid,\and that you want to kill the other passengers.\And so, you see, I'm going to kill you.\A crimson monster?\Are you trying to talk your way out of this with that ridiculous story? response:	We're not lying! There really is a monster aboard this train!
context: Oh, good guess.\I am the Rail Tracer.\I also know that you are no kid,\and that you want to kill the other passengers.\And so, you see, I'm going to kill you.\A crimson monster?\Are you trying to talk your way out of this with that ridiculous story?\We're not lying! There really is a monster aboard this train! response:	Yo, Chane- chan!
context: I am the Rail Tracer.\I also know that you are no kid,\and that you want to kill the other passengers.\And so, you see, I'm going to kill you.\A crimson monster?\Are you trying to talk your way out of this with that ridiculous story?\We're not lying! There really is a monster aboard this train!\Yo, Chane- chan! response:	I hear that you're actually hated by those black suits.
context: I also know that you are no kid,\and that you want to kill the other passengers.\And so, you see, I'm going to kill you.\A crimson monster?\Are you trying to talk your way out of this with that ridiculous story?\We're not lying! There really is a monster aboard this train!\Yo, Chane- chan!\I hear that you're actually hated by those black suits. response:	And that you hate them right back, don't you?
context: and that you want to kill the other passengers.\And so, you see, I'm going to kill you.\A crimson monster?\Are you trying to talk your way out of this with that ridiculous story?\We're not lying! There really is a monster aboard this train!\Yo, Chane- chan!\I hear that you're actually hated by those black suits.\And that you hate them right back, don't you? response:	Also, you're the number one favorite of one Huey Laforet- sama,
context: And so, you see, I'm going to kill you.\A crimson monster?\Are you trying to talk your way out of this with that ridiculous story?\We're not lying! There really is a monster aboard this train!\Yo, Chane- chan!\I hear that you're actually hated by those black suits.\And that you hate them right back, don't you?\Also, you're the number one favorite of one Huey Laforet- sama, response:	and you are one of his adherents.
context: A crimson monster?\Are you trying to talk your way out of this with that ridiculous story?\We're not lying! There really is a monster aboard this train!\Yo, Chane- chan!\I hear that you're actually hated by those black suits.\And that you hate them right back, don't you?\Also, you're the number one favorite of one Huey Laforet- sama,\and you are one of his adherents. response:	What's more, they say this Huey- sama is immortal, huh?
context: Are you trying to talk your way out of this with that ridiculous story?\We're not lying! There really is a monster aboard this train!\Yo, Chane- chan!\I hear that you're actually hated by those black suits.\And that you hate them right back, don't you?\Also, you're the number one favorite of one Huey Laforet- sama,\and you are one of his adherents.\What's more, they say this Huey- sama is immortal, huh? response:	This guy told me all of it.
context: We're not lying! There really is a monster aboard this train!\Yo, Chane- chan!\I hear that you're actually hated by those black suits.\And that you hate them right back, don't you?\Also, you're the number one favorite of one Huey Laforet- sama,\and you are one of his adherents.\What's more, they say this Huey- sama is immortal, huh?\This guy told me all of it. response:	Right?
context: Yo, Chane- chan!\I hear that you're actually hated by those black suits.\And that you hate them right back, don't you?\Also, you're the number one favorite of one Huey Laforet- sama,\and you are one of his adherents.\What's more, they say this Huey- sama is immortal, huh?\This guy told me all of it.\Right? response:	Mm-hmm!
context: I hear that you're actually hated by those black suits.\And that you hate them right back, don't you?\Also, you're the number one favorite of one Huey Laforet- sama,\and you are one of his adherents.\What's more, they say this Huey- sama is immortal, huh?\This guy told me all of it.\Right?\Mm-hmm! response:	Were you aware that your black suit buddies were after you?
context: And that you hate them right back, don't you?\Also, you're the number one favorite of one Huey Laforet- sama,\and you are one of his adherents.\What's more, they say this Huey- sama is immortal, huh?\This guy told me all of it.\Right?\Mm-hmm!\Were you aware that your black suit buddies were after you? response:	Those guys appear to be using all of this confusion to try to kill you.
context: Also, you're the number one favorite of one Huey Laforet- sama,\and you are one of his adherents.\What's more, they say this Huey- sama is immortal, huh?\This guy told me all of it.\Right?\Mm-hmm!\Were you aware that your black suit buddies were after you?\Those guys appear to be using all of this confusion to try to kill you. response:	Is it true that you were actually opposed to this operation?
context: and you are one of his adherents.\What's more, they say this Huey- sama is immortal, huh?\This guy told me all of it.\Right?\Mm-hmm!\Were you aware that your black suit buddies were after you?\Those guys appear to be using all of this confusion to try to kill you.\Is it true that you were actually opposed to this operation? response:	You don't like taking hostages and such?
context: What's more, they say this Huey- sama is immortal, huh?\This guy told me all of it.\Right?\Mm-hmm!\Were you aware that your black suit buddies were after you?\Those guys appear to be using all of this confusion to try to kill you.\Is it true that you were actually opposed to this operation?\You don't like taking hostages and such? response:	It sounded like this Huey guy was against it from the outset,
context: This guy told me all of it.\Right?\Mm-hmm!\Were you aware that your black suit buddies were after you?\Those guys appear to be using all of this confusion to try to kill you.\Is it true that you were actually opposed to this operation?\You don't like taking hostages and such?\It sounded like this Huey guy was against it from the outset, response:	but that's weak thinking! You can trust folks like that the least!
context: Right?\Mm-hmm!\Were you aware that your black suit buddies were after you?\Those guys appear to be using all of this confusion to try to kill you.\Is it true that you were actually opposed to this operation?\You don't like taking hostages and such?\It sounded like this Huey guy was against it from the outset,\but that's weak thinking! You can trust folks like that the least! response:	Same for you!
context: Mm-hmm!\Were you aware that your black suit buddies were after you?\Those guys appear to be using all of this confusion to try to kill you.\Is it true that you were actually opposed to this operation?\You don't like taking hostages and such?\It sounded like this Huey guy was against it from the outset,\but that's weak thinking! You can trust folks like that the least!\Same for you! response:	You sure you aren't just being set up by this Huey guy?
context: Were you aware that your black suit buddies were after you?\Those guys appear to be using all of this confusion to try to kill you.\Is it true that you were actually opposed to this operation?\You don't like taking hostages and such?\It sounded like this Huey guy was against it from the outset,\but that's weak thinking! You can trust folks like that the least!\Same for you!\You sure you aren't just being set up by this Huey guy? response:	Do you want me to tell you the very first thing I'm going to do
context: Those guys appear to be using all of this confusion to try to kill you.\Is it true that you were actually opposed to this operation?\You don't like taking hostages and such?\It sounded like this Huey guy was against it from the outset,\but that's weak thinking! You can trust folks like that the least!\Same for you!\You sure you aren't just being set up by this Huey guy?\Do you want me to tell you the very first thing I'm going to do response:	once I get off this train?
context: Is it true that you were actually opposed to this operation?\You don't like taking hostages and such?\It sounded like this Huey guy was against it from the outset,\but that's weak thinking! You can trust folks like that the least!\Same for you!\You sure you aren't just being set up by this Huey guy?\Do you want me to tell you the very first thing I'm going to do\once I get off this train? response:	I'm going to kill Huey Laforet.
context: You don't like taking hostages and such?\It sounded like this Huey guy was against it from the outset,\but that's weak thinking! You can trust folks like that the least!\Same for you!\You sure you aren't just being set up by this Huey guy?\Do you want me to tell you the very first thing I'm going to do\once I get off this train?\I'm going to kill Huey Laforet. response:	To be honest, I'm not all that eager to kill you.
context: It sounded like this Huey guy was against it from the outset,\but that's weak thinking! You can trust folks like that the least!\Same for you!\You sure you aren't just being set up by this Huey guy?\Do you want me to tell you the very first thing I'm going to do\once I get off this train?\I'm going to kill Huey Laforet.\To be honest, I'm not all that eager to kill you. response:	The other black suits all have that face that says,
context: but that's weak thinking! You can trust folks like that the least!\Same for you!\You sure you aren't just being set up by this Huey guy?\Do you want me to tell you the very first thing I'm going to do\once I get off this train?\I'm going to kill Huey Laforet.\To be honest, I'm not all that eager to kill you.\The other black suits all have that face that says, response:	There's no way I'm going to die, so they're worth killing.
context: Same for you!\You sure you aren't just being set up by this Huey guy?\Do you want me to tell you the very first thing I'm going to do\once I get off this train?\I'm going to kill Huey Laforet.\To be honest, I'm not all that eager to kill you.\The other black suits all have that face that says,\There's no way I'm going to die, so they're worth killing. response:	But there's something about you, like you're risking your life.
context: You sure you aren't just being set up by this Huey guy?\Do you want me to tell you the very first thing I'm going to do\once I get off this train?\I'm going to kill Huey Laforet.\To be honest, I'm not all that eager to kill you.\The other black suits all have that face that says,\There's no way I'm going to die, so they're worth killing.\But there's something about you, like you're risking your life. response:	That's what made me think.
context: Do you want me to tell you the very first thing I'm going to do\once I get off this train?\I'm going to kill Huey Laforet.\To be honest, I'm not all that eager to kill you.\The other black suits all have that face that says,\There's no way I'm going to die, so they're worth killing.\But there's something about you, like you're risking your life.\That's what made me think. response:	Maybe it would be more fun to kill this Huey Laforet,
context: once I get off this train?\I'm going to kill Huey Laforet.\To be honest, I'm not all that eager to kill you.\The other black suits all have that face that says,\There's no way I'm going to die, so they're worth killing.\But there's something about you, like you're risking your life.\That's what made me think.\Maybe it would be more fun to kill this Huey Laforet, response:	whom you find to be some absolute being, wouldn't it?
context: I'm going to kill Huey Laforet.\To be honest, I'm not all that eager to kill you.\The other black suits all have that face that says,\There's no way I'm going to die, so they're worth killing.\But there's something about you, like you're risking your life.\That's what made me think.\Maybe it would be more fun to kill this Huey Laforet,\whom you find to be some absolute being, wouldn't it? response:	Hey, now, is it over already?
context: To be honest, I'm not all that eager to kill you.\The other black suits all have that face that says,\There's no way I'm going to die, so they're worth killing.\But there's something about you, like you're risking your life.\That's what made me think.\Maybe it would be more fun to kill this Huey Laforet,\whom you find to be some absolute being, wouldn't it?\Hey, now, is it over already? response:	That's more like it.
context: The other black suits all have that face that says,\There's no way I'm going to die, so they're worth killing.\But there's something about you, like you're risking your life.\That's what made me think.\Maybe it would be more fun to kill this Huey Laforet,\whom you find to be some absolute being, wouldn't it?\Hey, now, is it over already?\That's more like it. response:	I'll kill him anyway! He may be immortal, but I'll kill him!
context: There's no way I'm going to die, so they're worth killing.\But there's something about you, like you're risking your life.\That's what made me think.\Maybe it would be more fun to kill this Huey Laforet,\whom you find to be some absolute being, wouldn't it?\Hey, now, is it over already?\That's more like it.\I'll kill him anyway! He may be immortal, but I'll kill him! response:	Right before your eyes.
context: But there's something about you, like you're risking your life.\That's what made me think.\Maybe it would be more fun to kill this Huey Laforet,\whom you find to be some absolute being, wouldn't it?\Hey, now, is it over already?\That's more like it.\I'll kill him anyway! He may be immortal, but I'll kill him!\Right before your eyes. response:	I'm going to painstakingly show that saggy bastard,
context: That's what made me think.\Maybe it would be more fun to kill this Huey Laforet,\whom you find to be some absolute being, wouldn't it?\Hey, now, is it over already?\That's more like it.\I'll kill him anyway! He may be immortal, but I'll kill him!\Right before your eyes.\I'm going to painstakingly show that saggy bastard, response:	who thinks he's safe because he can't die, the harshness of life!
context: Maybe it would be more fun to kill this Huey Laforet,\whom you find to be some absolute being, wouldn't it?\Hey, now, is it over already?\That's more like it.\I'll kill him anyway! He may be immortal, but I'll kill him!\Right before your eyes.\I'm going to painstakingly show that saggy bastard,\who thinks he's safe because he can't die, the harshness of life! response:	So, what's it going to be, Chane- chan?
context: whom you find to be some absolute being, wouldn't it?\Hey, now, is it over already?\That's more like it.\I'll kill him anyway! He may be immortal, but I'll kill him!\Right before your eyes.\I'm going to painstakingly show that saggy bastard,\who thinks he's safe because he can't die, the harshness of life!\So, what's it going to be, Chane- chan? response:	It's been a long time, Maiza Avaro.
context: Hey, now, is it over already?\That's more like it.\I'll kill him anyway! He may be immortal, but I'll kill him!\Right before your eyes.\I'm going to painstakingly show that saggy bastard,\who thinks he's safe because he can't die, the harshness of life!\So, what's it going to be, Chane- chan?\It's been a long time, Maiza Avaro. response:	Szilard!
context: That's more like it.\I'll kill him anyway! He may be immortal, but I'll kill him!\Right before your eyes.\I'm going to painstakingly show that saggy bastard,\who thinks he's safe because he can't die, the harshness of life!\So, what's it going to be, Chane- chan?\It's been a long time, Maiza Avaro.\Szilard! response:	In fact, it's been two hundred and some years
context: I'll kill him anyway! He may be immortal, but I'll kill him!\Right before your eyes.\I'm going to painstakingly show that saggy bastard,\who thinks he's safe because he can't die, the harshness of life!\So, what's it going to be, Chane- chan?\It's been a long time, Maiza Avaro.\Szilard!\In fact, it's been two hundred and some years response:	since our last glimpse, aboard the Advenna A vis.
context: Right before your eyes.\I'm going to painstakingly show that saggy bastard,\who thinks he's safe because he can't die, the harshness of life!\So, what's it going to be, Chane- chan?\It's been a long time, Maiza Avaro.\Szilard!\In fact, it's been two hundred and some years\since our last glimpse, aboard the Advenna A vis. response:	Who's this guy, Maiza?
context: I'm going to painstakingly show that saggy bastard,\who thinks he's safe because he can't die, the harshness of life!\So, what's it going to be, Chane- chan?\It's been a long time, Maiza Avaro.\Szilard!\In fact, it's been two hundred and some years\since our last glimpse, aboard the Advenna A vis.\Who's this guy, Maiza? response:	Someone you know?
context: who thinks he's safe because he can't die, the harshness of life!\So, what's it going to be, Chane- chan?\It's been a long time, Maiza Avaro.\Szilard!\In fact, it's been two hundred and some years\since our last glimpse, aboard the Advenna A vis.\Who's this guy, Maiza?\Someone you know? response:	Please, run away.
context: So, what's it going to be, Chane- chan?\It's been a long time, Maiza Avaro.\Szilard!\In fact, it's been two hundred and some years\since our last glimpse, aboard the Advenna A vis.\Who's this guy, Maiza?\Someone you know?\Please, run away. response:	What are you talking about?
context: It's been a long time, Maiza Avaro.\Szilard!\In fact, it's been two hundred and some years\since our last glimpse, aboard the Advenna A vis.\Who's this guy, Maiza?\Someone you know?\Please, run away.\What are you talking about? response:	Everyone, please, say nothing more, and run away.
context: Szilard!\In fact, it's been two hundred and some years\since our last glimpse, aboard the Advenna A vis.\Who's this guy, Maiza?\Someone you know?\Please, run away.\What are you talking about?\Everyone, please, say nothing more, and run away. response:	I am the only one this man is after.
context: In fact, it's been two hundred and some years\since our last glimpse, aboard the Advenna A vis.\Who's this guy, Maiza?\Someone you know?\Please, run away.\What are you talking about?\Everyone, please, say nothing more, and run away.\I am the only one this man is after. response:	So just who is this guy?
context: since our last glimpse, aboard the Advenna A vis.\Who's this guy, Maiza?\Someone you know?\Please, run away.\What are you talking about?\Everyone, please, say nothing more, and run away.\I am the only one this man is after.\So just who is this guy? response:	This man is someone who has killed 13 of my friends,
context: Who's this guy, Maiza?\Someone you know?\Please, run away.\What are you talking about?\Everyone, please, say nothing more, and run away.\I am the only one this man is after.\So just who is this guy?\This man is someone who has killed 13 of my friends, response:	as well as my younger brother.
context: Someone you know?\Please, run away.\What are you talking about?\Everyone, please, say nothing more, and run away.\I am the only one this man is after.\So just who is this guy?\This man is someone who has killed 13 of my friends,\as well as my younger brother. response:	I've devoured five more since then, so to be accurate, it's 18.
