context: Then can you and I... response:	grow up together?
context: Yes, behind the building.\Isn't it just when the sun comes into sight for the first time?\I'm pretty sure it's the moment the sun hits the horizon.\Mizutani-san, you're being a little too technical there.\But you have to lay down some ground rules\to figure out if you saw the first sunrise or not...\Hey! There it is!\Let's just say that the first sunrise is when it pops up there. response:	It's not like we can see the horizon from here.
context: Isn't it just when the sun comes into sight for the first time?\I'm pretty sure it's the moment the sun hits the horizon.\Mizutani-san, you're being a little too technical there.\But you have to lay down some ground rules\to figure out if you saw the first sunrise or not...\Hey! There it is!\Let's just say that the first sunrise is when it pops up there.\It's not like we can see the horizon from here. response:	Why does this feel like a big, unsatisfying cop-out?
context: I'm pretty sure it's the moment the sun hits the horizon.\Mizutani-san, you're being a little too technical there.\But you have to lay down some ground rules\to figure out if you saw the first sunrise or not...\Hey! There it is!\Let's just say that the first sunrise is when it pops up there.\It's not like we can see the horizon from here.\Why does this feel like a big, unsatisfying cop-out? response:	Shizuku, don't be so picky.
context: Mizutani-san, you're being a little too technical there.\But you have to lay down some ground rules\to figure out if you saw the first sunrise or not...\Hey! There it is!\Let's just say that the first sunrise is when it pops up there.\It's not like we can see the horizon from here.\Why does this feel like a big, unsatisfying cop-out?\Shizuku, don't be so picky. response:	This counts as a first sunrise.
context: But you have to lay down some ground rules\to figure out if you saw the first sunrise or not...\Hey! There it is!\Let's just say that the first sunrise is when it pops up there.\It's not like we can see the horizon from here.\Why does this feel like a big, unsatisfying cop-out?\Shizuku, don't be so picky.\This counts as a first sunrise. response:	A building sunrise.
context: to figure out if you saw the first sunrise or not...\Hey! There it is!\Let's just say that the first sunrise is when it pops up there.\It's not like we can see the horizon from here.\Why does this feel like a big, unsatisfying cop-out?\Shizuku, don't be so picky.\This counts as a first sunrise.\A building sunrise. response:	You know, I think this is the first sunrise I've ever seen, period.
context: Hey! There it is!\Let's just say that the first sunrise is when it pops up there.\It's not like we can see the horizon from here.\Why does this feel like a big, unsatisfying cop-out?\Shizuku, don't be so picky.\This counts as a first sunrise.\A building sunrise.\You know, I think this is the first sunrise I've ever seen, period. response:	What? Really?
context: Let's just say that the first sunrise is when it pops up there.\It's not like we can see the horizon from here.\Why does this feel like a big, unsatisfying cop-out?\Shizuku, don't be so picky.\This counts as a first sunrise.\A building sunrise.\You know, I think this is the first sunrise I've ever seen, period.\What? Really? response:	I usually catch this every year.
context: It's not like we can see the horizon from here.\Why does this feel like a big, unsatisfying cop-out?\Shizuku, don't be so picky.\This counts as a first sunrise.\A building sunrise.\You know, I think this is the first sunrise I've ever seen, period.\What? Really?\I usually catch this every year. response:	Come to think of it, I don't think I've ever seen one before, either.
context: Why does this feel like a big, unsatisfying cop-out?\Shizuku, don't be so picky.\This counts as a first sunrise.\A building sunrise.\You know, I think this is the first sunrise I've ever seen, period.\What? Really?\I usually catch this every year.\Come to think of it, I don't think I've ever seen one before, either. response:	Really?
context: Shizuku, don't be so picky.\This counts as a first sunrise.\A building sunrise.\You know, I think this is the first sunrise I've ever seen, period.\What? Really?\I usually catch this every year.\Come to think of it, I don't think I've ever seen one before, either.\Really? response:	I think this is my first time.
context: This counts as a first sunrise.\A building sunrise.\You know, I think this is the first sunrise I've ever seen, period.\What? Really?\I usually catch this every year.\Come to think of it, I don't think I've ever seen one before, either.\Really?\I think this is my first time. response:	I guess a lot of people haven't seen sunrises before.
context: A building sunrise.\You know, I think this is the first sunrise I've ever seen, period.\What? Really?\I usually catch this every year.\Come to think of it, I don't think I've ever seen one before, either.\Really?\I think this is my first time.\I guess a lot of people haven't seen sunrises before. response:	Oh, I bet Natsume-san hasn't seen one before.
context: You know, I think this is the first sunrise I've ever seen, period.\What? Really?\I usually catch this every year.\Come to think of it, I don't think I've ever seen one before, either.\Really?\I think this is my first time.\I guess a lot of people haven't seen sunrises before.\Oh, I bet Natsume-san hasn't seen one before. response:	I guess I'm too old to celebrate now.
context: What? Really?\I usually catch this every year.\Come to think of it, I don't think I've ever seen one before, either.\Really?\I think this is my first time.\I guess a lot of people haven't seen sunrises before.\Oh, I bet Natsume-san hasn't seen one before.\I guess I'm too old to celebrate now. response:	I didn't know the sun was so big.
context: I usually catch this every year.\Come to think of it, I don't think I've ever seen one before, either.\Really?\I think this is my first time.\I guess a lot of people haven't seen sunrises before.\Oh, I bet Natsume-san hasn't seen one before.\I guess I'm too old to celebrate now.\I didn't know the sun was so big. response:	Yeah.
context: Come to think of it, I don't think I've ever seen one before, either.\Really?\I think this is my first time.\I guess a lot of people haven't seen sunrises before.\Oh, I bet Natsume-san hasn't seen one before.\I guess I'm too old to celebrate now.\I didn't know the sun was so big.\Yeah. response:	Shizuku.
context: Really?\I think this is my first time.\I guess a lot of people haven't seen sunrises before.\Oh, I bet Natsume-san hasn't seen one before.\I guess I'm too old to celebrate now.\I didn't know the sun was so big.\Yeah.\Shizuku. response:	Hmm?
context: I think this is my first time.\I guess a lot of people haven't seen sunrises before.\Oh, I bet Natsume-san hasn't seen one before.\I guess I'm too old to celebrate now.\I didn't know the sun was so big.\Yeah.\Shizuku.\Hmm? response:	This is fun.
context: I guess a lot of people haven't seen sunrises before.\Oh, I bet Natsume-san hasn't seen one before.\I guess I'm too old to celebrate now.\I didn't know the sun was so big.\Yeah.\Shizuku.\Hmm?\This is fun. response:	Oh?
context: Oh, I bet Natsume-san hasn't seen one before.\I guess I'm too old to celebrate now.\I didn't know the sun was so big.\Yeah.\Shizuku.\Hmm?\This is fun.\Oh? response:	Everything's fun when I'm with you.
context: I guess I'm too old to celebrate now.\I didn't know the sun was so big.\Yeah.\Shizuku.\Hmm?\This is fun.\Oh?\Everything's fun when I'm with you. response:	I hope we can all do this again next year!
context: I didn't know the sun was so big.\Yeah.\Shizuku.\Hmm?\This is fun.\Oh?\Everything's fun when I'm with you.\I hope we can all do this again next year! response:	Spring is Near
context: Yeah.\Shizuku.\Hmm?\This is fun.\Oh?\Everything's fun when I'm with you.\I hope we can all do this again next year!\Spring is Near response:	The year ended with a bang,
context: Shizuku.\Hmm?\This is fun.\Oh?\Everything's fun when I'm with you.\I hope we can all do this again next year!\Spring is Near\The year ended with a bang, response:	and things were finally quieting down again.
context: Hmm?\This is fun.\Oh?\Everything's fun when I'm with you.\I hope we can all do this again next year!\Spring is Near\The year ended with a bang,\and things were finally quieting down again. response:	National Mock Exam
context: This is fun.\Oh?\Everything's fun when I'm with you.\I hope we can all do this again next year!\Spring is Near\The year ended with a bang,\and things were finally quieting down again.\National Mock Exam response:	My father and brother were visiting my grandmother,
context: Oh?\Everything's fun when I'm with you.\I hope we can all do this again next year!\Spring is Near\The year ended with a bang,\and things were finally quieting down again.\National Mock Exam\My father and brother were visiting my grandmother, response:	so I had the perfect environment for studying.
context: Everything's fun when I'm with you.\I hope we can all do this again next year!\Spring is Near\The year ended with a bang,\and things were finally quieting down again.\National Mock Exam\My father and brother were visiting my grandmother,\so I had the perfect environment for studying. response:	But...
context: I hope we can all do this again next year!\Spring is Near\The year ended with a bang,\and things were finally quieting down again.\National Mock Exam\My father and brother were visiting my grandmother,\so I had the perfect environment for studying.\But... response:	I need some peace of mind.
context: Spring is Near\The year ended with a bang,\and things were finally quieting down again.\National Mock Exam\My father and brother were visiting my grandmother,\so I had the perfect environment for studying.\But...\I need some peace of mind. response:	I want proof.
context: The year ended with a bang,\and things were finally quieting down again.\National Mock Exam\My father and brother were visiting my grandmother,\so I had the perfect environment for studying.\But...\I need some peace of mind.\I want proof. response:	I want you!
context: and things were finally quieting down again.\National Mock Exam\My father and brother were visiting my grandmother,\so I had the perfect environment for studying.\But...\I need some peace of mind.\I want proof.\I want you! response:	That's not happening!
context: National Mock Exam\My father and brother were visiting my grandmother,\so I had the perfect environment for studying.\But...\I need some peace of mind.\I want proof.\I want you!\That's not happening! response:	I haven't seen Haru since New Year's.
context: My father and brother were visiting my grandmother,\so I had the perfect environment for studying.\But...\I need some peace of mind.\I want proof.\I want you!\That's not happening!\I haven't seen Haru since New Year's. response:	I would be lying if I said that I wasn't thinking about him.
context: so I had the perfect environment for studying.\But...\I need some peace of mind.\I want proof.\I want you!\That's not happening!\I haven't seen Haru since New Year's.\I would be lying if I said that I wasn't thinking about him. response:	I wonder what Haru's doing right now?
context: But...\I need some peace of mind.\I want proof.\I want you!\That's not happening!\I haven't seen Haru since New Year's.\I would be lying if I said that I wasn't thinking about him.\I wonder what Haru's doing right now? response:	Shizuku!
context: I need some peace of mind.\I want proof.\I want you!\That's not happening!\I haven't seen Haru since New Year's.\I would be lying if I said that I wasn't thinking about him.\I wonder what Haru's doing right now?\Shizuku! response:	Am I hearing things?
context: I want proof.\I want you!\That's not happening!\I haven't seen Haru since New Year's.\I would be lying if I said that I wasn't thinking about him.\I wonder what Haru's doing right now?\Shizuku!\Am I hearing things? response:	Shizuku!
context: I want you!\That's not happening!\I haven't seen Haru since New Year's.\I would be lying if I said that I wasn't thinking about him.\I wonder what Haru's doing right now?\Shizuku!\Am I hearing things?\Shizuku! response:	Say something if you're here!
context: That's not happening!\I haven't seen Haru since New Year's.\I would be lying if I said that I wasn't thinking about him.\I wonder what Haru's doing right now?\Shizuku!\Am I hearing things?\Shizuku!\Say something if you're here! response:	What's up, Haru?
context: I haven't seen Haru since New Year's.\I would be lying if I said that I wasn't thinking about him.\I wonder what Haru's doing right now?\Shizuku!\Am I hearing things?\Shizuku!\Say something if you're here!\What's up, Haru? response:	Where is he?!
context: I would be lying if I said that I wasn't thinking about him.\I wonder what Haru's doing right now?\Shizuku!\Am I hearing things?\Shizuku!\Say something if you're here!\What's up, Haru?\Where is he?! response:	Huh?
context: I wonder what Haru's doing right now?\Shizuku!\Am I hearing things?\Shizuku!\Say something if you're here!\What's up, Haru?\Where is he?!\Huh? response:	I'm looking for him!
context: Shizuku!\Am I hearing things?\Shizuku!\Say something if you're here!\What's up, Haru?\Where is he?!\Huh?\I'm looking for him! response:	For who?
context: Am I hearing things?\Shizuku!\Say something if you're here!\What's up, Haru?\Where is he?!\Huh?\I'm looking for him!\For who? response:	Did you see him?
context: Shizuku!\Say something if you're here!\What's up, Haru?\Where is he?!\Huh?\I'm looking for him!\For who?\Did you see him? response:	Huh?
context: Say something if you're here!\What's up, Haru?\Where is he?!\Huh?\I'm looking for him!\For who?\Did you see him?\Huh? response:	He ran off when I looked away.
context: What's up, Haru?\Where is he?!\Huh?\I'm looking for him!\For who?\Did you see him?\Huh?\He ran off when I looked away. response:	Um, Haru? Can you calm down and explain...
context: Where is he?!\Huh?\I'm looking for him!\For who?\Did you see him?\Huh?\He ran off when I looked away.\Um, Haru? Can you calm down and explain... response:	Uh, I want to keep this a secret.
context: Huh?\I'm looking for him!\For who?\Did you see him?\Huh?\He ran off when I looked away.\Um, Haru? Can you calm down and explain...\Uh, I want to keep this a secret. response:	Huh?
context: I'm looking for him!\For who?\Did you see him?\Huh?\He ran off when I looked away.\Um, Haru? Can you calm down and explain...\Uh, I want to keep this a secret.\Huh? response:	Man, this is frustrating!
context: For who?\Did you see him?\Huh?\He ran off when I looked away.\Um, Haru? Can you calm down and explain...\Uh, I want to keep this a secret.\Huh?\Man, this is frustrating! response:	Haru, what happened?
context: Did you see him?\Huh?\He ran off when I looked away.\Um, Haru? Can you calm down and explain...\Uh, I want to keep this a secret.\Huh?\Man, this is frustrating!\Haru, what happened? response:	Shizuku, sorry.
context: Huh?\He ran off when I looked away.\Um, Haru? Can you calm down and explain...\Uh, I want to keep this a secret.\Huh?\Man, this is frustrating!\Haru, what happened?\Shizuku, sorry. response:	I don't have time to talk to you right now.
context: He ran off when I looked away.\Um, Haru? Can you calm down and explain...\Uh, I want to keep this a secret.\Huh?\Man, this is frustrating!\Haru, what happened?\Shizuku, sorry.\I don't have time to talk to you right now. response:	Huh?
context: Um, Haru? Can you calm down and explain...\Uh, I want to keep this a secret.\Huh?\Man, this is frustrating!\Haru, what happened?\Shizuku, sorry.\I don't have time to talk to you right now.\Huh? response:	Bye.
context: Uh, I want to keep this a secret.\Huh?\Man, this is frustrating!\Haru, what happened?\Shizuku, sorry.\I don't have time to talk to you right now.\Huh?\Bye. response:	You'll get fat if you keep eating mochi.
context: Huh?\Man, this is frustrating!\Haru, what happened?\Shizuku, sorry.\I don't have time to talk to you right now.\Huh?\Bye.\You'll get fat if you keep eating mochi. response:	Why is he in such a rush?
context: Man, this is frustrating!\Haru, what happened?\Shizuku, sorry.\I don't have time to talk to you right now.\Huh?\Bye.\You'll get fat if you keep eating mochi.\Why is he in such a rush? response:	Natsume!
context: Haru, what happened?\Shizuku, sorry.\I don't have time to talk to you right now.\Huh?\Bye.\You'll get fat if you keep eating mochi.\Why is he in such a rush?\Natsume! response:	Natsume!
context: Shizuku, sorry.\I don't have time to talk to you right now.\Huh?\Bye.\You'll get fat if you keep eating mochi.\Why is he in such a rush?\Natsume!\Natsume! response:	Wh-What is it?
context: I don't have time to talk to you right now.\Huh?\Bye.\You'll get fat if you keep eating mochi.\Why is he in such a rush?\Natsume!\Natsume!\Wh-What is it? response:	Why are you dressed like that, Haru-kun?
context: Huh?\Bye.\You'll get fat if you keep eating mochi.\Why is he in such a rush?\Natsume!\Natsume!\Wh-What is it?\Why are you dressed like that, Haru-kun? response:	H-Have you seen him?!
context: Bye.\You'll get fat if you keep eating mochi.\Why is he in such a rush?\Natsume!\Natsume!\Wh-What is it?\Why are you dressed like that, Haru-kun?\H-Have you seen him?! response:	Huh?
context: You'll get fat if you keep eating mochi.\Why is he in such a rush?\Natsume!\Natsume!\Wh-What is it?\Why are you dressed like that, Haru-kun?\H-Have you seen him?!\Huh? response:	I can't find him anywhere!
context: Why is he in such a rush?\Natsume!\Natsume!\Wh-What is it?\Why are you dressed like that, Haru-kun?\H-Have you seen him?!\Huh?\I can't find him anywhere! response:	I'm looking for him!
context: Natsume!\Natsume!\Wh-What is it?\Why are you dressed like that, Haru-kun?\H-Have you seen him?!\Huh?\I can't find him anywhere!\I'm looking for him! response:	Wh-What do you mean?
context: Natsume!\Wh-What is it?\Why are you dressed like that, Haru-kun?\H-Have you seen him?!\Huh?\I can't find him anywhere!\I'm looking for him!\Wh-What do you mean? response:	You don't understand?!
context: Wh-What is it?\Why are you dressed like that, Haru-kun?\H-Have you seen him?!\Huh?\I can't find him anywhere!\I'm looking for him!\Wh-What do you mean?\You don't understand?! response:	Yes.
context: Why are you dressed like that, Haru-kun?\H-Have you seen him?!\Huh?\I can't find him anywhere!\I'm looking for him!\Wh-What do you mean?\You don't understand?!\Yes. response:	You don't understand?!
context: H-Have you seen him?!\Huh?\I can't find him anywhere!\I'm looking for him!\Wh-What do you mean?\You don't understand?!\Yes.\You don't understand?! response:	I don't understand!
context: Huh?\I can't find him anywhere!\I'm looking for him!\Wh-What do you mean?\You don't understand?!\Yes.\You don't understand?!\I don't understand! response:	It should be obvious right away!
context: I can't find him anywhere!\I'm looking for him!\Wh-What do you mean?\You don't understand?!\Yes.\You don't understand?!\I don't understand!\It should be obvious right away! response:	I have no idea what you mean!
context: I'm looking for him!\Wh-What do you mean?\You don't understand?!\Yes.\You don't understand?!\I don't understand!\It should be obvious right away!\I have no idea what you mean! response:	Sorry, Natsume.
context: Wh-What do you mean?\You don't understand?!\Yes.\You don't understand?!\I don't understand!\It should be obvious right away!\I have no idea what you mean!\Sorry, Natsume. response:	I don't have time to talk to you right now!
context: You don't understand?!\Yes.\You don't understand?!\I don't understand!\It should be obvious right away!\I have no idea what you mean!\Sorry, Natsume.\I don't have time to talk to you right now! response:	Anyway, call me if you find him!
context: Yes.\You don't understand?!\I don't understand!\It should be obvious right away!\I have no idea what you mean!\Sorry, Natsume.\I don't have time to talk to you right now!\Anyway, call me if you find him! response:	And you always have a bunch of typos on your blog!
context: You don't understand?!\I don't understand!\It should be obvious right away!\I have no idea what you mean!\Sorry, Natsume.\I don't have time to talk to you right now!\Anyway, call me if you find him!\And you always have a bunch of typos on your blog! response:	Hmm?
context: I don't understand!\It should be obvious right away!\I have no idea what you mean!\Sorry, Natsume.\I don't have time to talk to you right now!\Anyway, call me if you find him!\And you always have a bunch of typos on your blog!\Hmm? response:	A net?
context: It should be obvious right away!\I have no idea what you mean!\Sorry, Natsume.\I don't have time to talk to you right now!\Anyway, call me if you find him!\And you always have a bunch of typos on your blog!\Hmm?\A net? response:	So?
context: I have no idea what you mean!\Sorry, Natsume.\I don't have time to talk to you right now!\Anyway, call me if you find him!\And you always have a bunch of typos on your blog!\Hmm?\A net?\So? response:	I can't tell you any details.
context: Sorry, Natsume.\I don't have time to talk to you right now!\Anyway, call me if you find him!\And you always have a bunch of typos on your blog!\Hmm?\A net?\So?\I can't tell you any details. response:	But call me if you find him!
context: I don't have time to talk to you right now!\Anyway, call me if you find him!\And you always have a bunch of typos on your blog!\Hmm?\A net?\So?\I can't tell you any details.\But call me if you find him! response:	Bye!
context: Anyway, call me if you find him!\And you always have a bunch of typos on your blog!\Hmm?\A net?\So?\I can't tell you any details.\But call me if you find him!\Bye! response:	Make sure you handle your bat the right way!
context: And you always have a bunch of typos on your blog!\Hmm?\A net?\So?\I can't tell you any details.\But call me if you find him!\Bye!\Make sure you handle your bat the right way! response:	Was that a dirty joke?
context: Hmm?\A net?\So?\I can't tell you any details.\But call me if you find him!\Bye!\Make sure you handle your bat the right way!\Was that a dirty joke? response:	Ah.
context: A net?\So?\I can't tell you any details.\But call me if you find him!\Bye!\Make sure you handle your bat the right way!\Was that a dirty joke?\Ah. response:	Incoming Call Sasayan
context: So?\I can't tell you any details.\But call me if you find him!\Bye!\Make sure you handle your bat the right way!\Was that a dirty joke?\Ah.\Incoming Call Sasayan response:	Sasayan-kun?
context: I can't tell you any details.\But call me if you find him!\Bye!\Make sure you handle your bat the right way!\Was that a dirty joke?\Ah.\Incoming Call Sasayan\Sasayan-kun? response:	Huh? Mizutani-san?
context: But call me if you find him!\Bye!\Make sure you handle your bat the right way!\Was that a dirty joke?\Ah.\Incoming Call Sasayan\Sasayan-kun?\Huh? Mizutani-san? response:	Why?
context: Bye!\Make sure you handle your bat the right way!\Was that a dirty joke?\Ah.\Incoming Call Sasayan\Sasayan-kun?\Huh? Mizutani-san?\Why? response:	Haru left his phone when he stopped by earlier.
context: Make sure you handle your bat the right way!\Was that a dirty joke?\Ah.\Incoming Call Sasayan\Sasayan-kun?\Huh? Mizutani-san?\Why?\Haru left his phone when he stopped by earlier. response:	Do you need something?
context: Was that a dirty joke?\Ah.\Incoming Call Sasayan\Sasayan-kun?\Huh? Mizutani-san?\Why?\Haru left his phone when he stopped by earlier.\Do you need something? response:	Yoshida dropped by our school just now.
context: Ah.\Incoming Call Sasayan\Sasayan-kun?\Huh? Mizutani-san?\Why?\Haru left his phone when he stopped by earlier.\Do you need something?\Yoshida dropped by our school just now. response:	He was acting strange, so I wanted to ask what was wrong.
context: Incoming Call Sasayan\Sasayan-kun?\Huh? Mizutani-san?\Why?\Haru left his phone when he stopped by earlier.\Do you need something?\Yoshida dropped by our school just now.\He was acting strange, so I wanted to ask what was wrong. response:	I couldn't tell what was wrong.
context: Sasayan-kun?\Huh? Mizutani-san?\Why?\Haru left his phone when he stopped by earlier.\Do you need something?\Yoshida dropped by our school just now.\He was acting strange, so I wanted to ask what was wrong.\I couldn't tell what was wrong. response:	It seemed like he was looking for something.
context: Huh? Mizutani-san?\Why?\Haru left his phone when he stopped by earlier.\Do you need something?\Yoshida dropped by our school just now.\He was acting strange, so I wanted to ask what was wrong.\I couldn't tell what was wrong.\It seemed like he was looking for something. response:	I'm pretty sure it's only a big deal to him.
context: Why?\Haru left his phone when he stopped by earlier.\Do you need something?\Yoshida dropped by our school just now.\He was acting strange, so I wanted to ask what was wrong.\I couldn't tell what was wrong.\It seemed like he was looking for something.\I'm pretty sure it's only a big deal to him. response:	It probably isn't anything important.
context: Haru left his phone when he stopped by earlier.\Do you need something?\Yoshida dropped by our school just now.\He was acting strange, so I wanted to ask what was wrong.\I couldn't tell what was wrong.\It seemed like he was looking for something.\I'm pretty sure it's only a big deal to him.\It probably isn't anything important. response:	I hope you're right.
context: Do you need something?\Yoshida dropped by our school just now.\He was acting strange, so I wanted to ask what was wrong.\I couldn't tell what was wrong.\It seemed like he was looking for something.\I'm pretty sure it's only a big deal to him.\It probably isn't anything important.\I hope you're right. response:	Practice just ended,
context: Yoshida dropped by our school just now.\He was acting strange, so I wanted to ask what was wrong.\I couldn't tell what was wrong.\It seemed like he was looking for something.\I'm pretty sure it's only a big deal to him.\It probably isn't anything important.\I hope you're right.\Practice just ended, response:	so I was going to drop off the goggles that he forgot.
context: He was acting strange, so I wanted to ask what was wrong.\I couldn't tell what was wrong.\It seemed like he was looking for something.\I'm pretty sure it's only a big deal to him.\It probably isn't anything important.\I hope you're right.\Practice just ended,\so I was going to drop off the goggles that he forgot. response:	What are you going to do?
context: I couldn't tell what was wrong.\It seemed like he was looking for something.\I'm pretty sure it's only a big deal to him.\It probably isn't anything important.\I hope you're right.\Practice just ended,\so I was going to drop off the goggles that he forgot.\What are you going to do? response:	Yamaguchi General Hospital
context: It seemed like he was looking for something.\I'm pretty sure it's only a big deal to him.\It probably isn't anything important.\I hope you're right.\Practice just ended,\so I was going to drop off the goggles that he forgot.\What are you going to do?\Yamaguchi General Hospital response:	Wow!
context: I'm pretty sure it's only a big deal to him.\It probably isn't anything important.\I hope you're right.\Practice just ended,\so I was going to drop off the goggles that he forgot.\What are you going to do?\Yamaguchi General Hospital\Wow! response:	You just took another step to adulthood!
context: It probably isn't anything important.\I hope you're right.\Practice just ended,\so I was going to drop off the goggles that he forgot.\What are you going to do?\Yamaguchi General Hospital\Wow!\You just took another step to adulthood! response:	A scar is a man's badge!
context: I hope you're right.\Practice just ended,\so I was going to drop off the goggles that he forgot.\What are you going to do?\Yamaguchi General Hospital\Wow!\You just took another step to adulthood!\A scar is a man's badge! response:	Why are you making such a fuss over appendicitis?
context: Practice just ended,\so I was going to drop off the goggles that he forgot.\What are you going to do?\Yamaguchi General Hospital\Wow!\You just took another step to adulthood!\A scar is a man's badge!\Why are you making such a fuss over appendicitis? response:	I was kinda worried when you started
context: so I was going to drop off the goggles that he forgot.\What are you going to do?\Yamaguchi General Hospital\Wow!\You just took another step to adulthood!\A scar is a man's badge!\Why are you making such a fuss over appendicitis?\I was kinda worried when you started response:	foaming at the mouth and keeled over.
context: What are you going to do?\Yamaguchi General Hospital\Wow!\You just took another step to adulthood!\A scar is a man's badge!\Why are you making such a fuss over appendicitis?\I was kinda worried when you started\foaming at the mouth and keeled over. response:	Time for your check-up.
context: Yamaguchi General Hospital\Wow!\You just took another step to adulthood!\A scar is a man's badge!\Why are you making such a fuss over appendicitis?\I was kinda worried when you started\foaming at the mouth and keeled over.\Time for your check-up. response:	See ya, Joji.
context: Wow!\You just took another step to adulthood!\A scar is a man's badge!\Why are you making such a fuss over appendicitis?\I was kinda worried when you started\foaming at the mouth and keeled over.\Time for your check-up.\See ya, Joji. response:	Take care.
context: You just took another step to adulthood!\A scar is a man's badge!\Why are you making such a fuss over appendicitis?\I was kinda worried when you started\foaming at the mouth and keeled over.\Time for your check-up.\See ya, Joji.\Take care. response:	What?
context: A scar is a man's badge!\Why are you making such a fuss over appendicitis?\I was kinda worried when you started\foaming at the mouth and keeled over.\Time for your check-up.\See ya, Joji.\Take care.\What? response:	Hello.
context: Why are you making such a fuss over appendicitis?\I was kinda worried when you started\foaming at the mouth and keeled over.\Time for your check-up.\See ya, Joji.\Take care.\What?\Hello. response:	Oh, you're leaving already?
context: I was kinda worried when you started\foaming at the mouth and keeled over.\Time for your check-up.\See ya, Joji.\Take care.\What?\Hello.\Oh, you're leaving already? response:	You want to come with us?
context: foaming at the mouth and keeled over.\Time for your check-up.\See ya, Joji.\Take care.\What?\Hello.\Oh, you're leaving already?\You want to come with us? response:	My business here is done.
context: Time for your check-up.\See ya, Joji.\Take care.\What?\Hello.\Oh, you're leaving already?\You want to come with us?\My business here is done. response:	You want to go outside?
context: See ya, Joji.\Take care.\What?\Hello.\Oh, you're leaving already?\You want to come with us?\My business here is done.\You want to go outside? response:	Hey, hey!
context: Take care.\What?\Hello.\Oh, you're leaving already?\You want to come with us?\My business here is done.\You want to go outside?\Hey, hey! response:	Did you shave him? Did you shave him?
context: What?\Hello.\Oh, you're leaving already?\You want to come with us?\My business here is done.\You want to go outside?\Hey, hey!\Did you shave him? Did you shave him? response:	Don't be such a wimp, Joji.
context: Hello.\Oh, you're leaving already?\You want to come with us?\My business here is done.\You want to go outside?\Hey, hey!\Did you shave him? Did you shave him?\Don't be such a wimp, Joji. response:	What?
context: Oh, you're leaving already?\You want to come with us?\My business here is done.\You want to go outside?\Hey, hey!\Did you shave him? Did you shave him?\Don't be such a wimp, Joji.\What? response:	Hello...
context: You want to come with us?\My business here is done.\You want to go outside?\Hey, hey!\Did you shave him? Did you shave him?\Don't be such a wimp, Joji.\What?\Hello... response:	I'm coming in...
