context: OP response:	The player is not a soloist, but a member of an orchestra. When the player begins to think,'I'm special,' is finished.
context: Jump higher!\More! More! More!\Why?\Why don't they jump?\We're fed up with you.\You egocentric king.\Good morning.\The beautiful girl. The beautiful girl is here. response:	Hey, hey. Is she a manager?
context: More! More! More!\Why?\Why don't they jump?\We're fed up with you.\You egocentric king.\Good morning.\The beautiful girl. The beautiful girl is here.\Hey, hey. Is she a manager? response:	All right. Let's get started.
context: Why?\Why don't they jump?\We're fed up with you.\You egocentric king.\Good morning.\The beautiful girl. The beautiful girl is here.\Hey, hey. Is she a manager?\All right. Let's get started. response:	I'll be on Tsukishima's team.
context: Why don't they jump?\We're fed up with you.\You egocentric king.\Good morning.\The beautiful girl. The beautiful girl is here.\Hey, hey. Is she a manager?\All right. Let's get started.\I'll be on Tsukishima's team. response:	What? You, Captain?
context: We're fed up with you.\You egocentric king.\Good morning.\The beautiful girl. The beautiful girl is here.\Hey, hey. Is she a manager?\All right. Let's get started.\I'll be on Tsukishima's team.\What? You, Captain? response:	Don't worry. Tanaka's a better attacker than me.
context: You egocentric king.\Good morning.\The beautiful girl. The beautiful girl is here.\Hey, hey. Is she a manager?\All right. Let's get started.\I'll be on Tsukishima's team.\What? You, Captain?\Don't worry. Tanaka's a better attacker than me. response:	Though I won't go easy on you, either.
context: Good morning.\The beautiful girl. The beautiful girl is here.\Hey, hey. Is she a manager?\All right. Let's get started.\I'll be on Tsukishima's team.\What? You, Captain?\Don't worry. Tanaka's a better attacker than me.\Though I won't go easy on you, either. response:	Um... that little one and Tanaka-san, which one shall I crush
context: The beautiful girl. The beautiful girl is here.\Hey, hey. Is she a manager?\All right. Let's get started.\I'll be on Tsukishima's team.\What? You, Captain?\Don't worry. Tanaka's a better attacker than me.\Though I won't go easy on you, either.\Um... that little one and Tanaka-san, which one shall I crush response:	I mean block first?
context: Hey, hey. Is she a manager?\All right. Let's get started.\I'll be on Tsukishima's team.\What? You, Captain?\Don't worry. Tanaka's a better attacker than me.\Though I won't go easy on you, either.\Um... that little one and Tanaka-san, which one shall I crush\I mean block first? response:	Oh, yes, yes. I'd like to see the king lose, too.
context: All right. Let's get started.\I'll be on Tsukishima's team.\What? You, Captain?\Don't worry. Tanaka's a better attacker than me.\Though I won't go easy on you, either.\Um... that little one and Tanaka-san, which one shall I crush\I mean block first?\Oh, yes, yes. I'd like to see the king lose, too. response:	Tsukki, they can hear you. Watch it.
context: I'll be on Tsukishima's team.\What? You, Captain?\Don't worry. Tanaka's a better attacker than me.\Though I won't go easy on you, either.\Um... that little one and Tanaka-san, which one shall I crush\I mean block first?\Oh, yes, yes. I'd like to see the king lose, too.\Tsukki, they can hear you. Watch it. response:	I'm saying it so they can hear it.
context: What? You, Captain?\Don't worry. Tanaka's a better attacker than me.\Though I won't go easy on you, either.\Um... that little one and Tanaka-san, which one shall I crush\I mean block first?\Oh, yes, yes. I'd like to see the king lose, too.\Tsukki, they can hear you. Watch it.\I'm saying it so they can hear it. response:	I sure hope they lose their cool.
context: Don't worry. Tanaka's a better attacker than me.\Though I won't go easy on you, either.\Um... that little one and Tanaka-san, which one shall I crush\I mean block first?\Oh, yes, yes. I'd like to see the king lose, too.\Tsukki, they can hear you. Watch it.\I'm saying it so they can hear it.\I sure hope they lose their cool. response:	Tsukishima, you got character problems.
context: Though I won't go easy on you, either.\Um... that little one and Tanaka-san, which one shall I crush\I mean block first?\Oh, yes, yes. I'd like to see the king lose, too.\Tsukki, they can hear you. Watch it.\I'm saying it so they can hear it.\I sure hope they lose their cool.\Tsukishima, you got character problems. response:	Our special feature is the king, who's been abandoned by his underlings.
context: Um... that little one and Tanaka-san, which one shall I crush\I mean block first?\Oh, yes, yes. I'd like to see the king lose, too.\Tsukki, they can hear you. Watch it.\I'm saying it so they can hear it.\I sure hope they lose their cool.\Tsukishima, you got character problems.\Our special feature is the king, who's been abandoned by his underlings. response:	Hey, hey.
context: I mean block first?\Oh, yes, yes. I'd like to see the king lose, too.\Tsukki, they can hear you. Watch it.\I'm saying it so they can hear it.\I sure hope they lose their cool.\Tsukishima, you got character problems.\Our special feature is the king, who's been abandoned by his underlings.\Hey, hey. response:	Did you hear that?
context: Oh, yes, yes. I'd like to see the king lose, too.\Tsukki, they can hear you. Watch it.\I'm saying it so they can hear it.\I sure hope they lose their cool.\Tsukishima, you got character problems.\Our special feature is the king, who's been abandoned by his underlings.\Hey, hey.\Did you hear that? response:	My, the things he says.
context: Tsukki, they can hear you. Watch it.\I'm saying it so they can hear it.\I sure hope they lose their cool.\Tsukishima, you got character problems.\Our special feature is the king, who's been abandoned by his underlings.\Hey, hey.\Did you hear that?\My, the things he says. response:	Oh, that Tsukishima-kun, I'm going to really...
context: I'm saying it so they can hear it.\I sure hope they lose their cool.\Tsukishima, you got character problems.\Our special feature is the king, who's been abandoned by his underlings.\Hey, hey.\Did you hear that?\My, the things he says.\Oh, that Tsukishima-kun, I'm going to really... response:	crush him to a pulp.
context: I sure hope they lose their cool.\Tsukishima, you got character problems.\Our special feature is the king, who's been abandoned by his underlings.\Hey, hey.\Did you hear that?\My, the things he says.\Oh, that Tsukishima-kun, I'm going to really...\crush him to a pulp. response:	Haikyu!!
context: Tsukishima, you got character problems.\Our special feature is the king, who's been abandoned by his underlings.\Hey, hey.\Did you hear that?\My, the things he says.\Oh, that Tsukishima-kun, I'm going to really...\crush him to a pulp.\Haikyu!! response:	Episode 4: The View From the Summit
context: Our special feature is the king, who's been abandoned by his underlings.\Hey, hey.\Did you hear that?\My, the things he says.\Oh, that Tsukishima-kun, I'm going to really...\crush him to a pulp.\Haikyu!!\Episode 4: The View From the Summit response:	He blew that big first-year out of the water.
context: Hey, hey.\Did you hear that?\My, the things he says.\Oh, that Tsukishima-kun, I'm going to really...\crush him to a pulp.\Haikyu!!\Episode 4: The View From the Summit\He blew that big first-year out of the water. response:	Awesome power! More than usual!
context: Did you hear that?\My, the things he says.\Oh, that Tsukishima-kun, I'm going to really...\crush him to a pulp.\Haikyu!!\Episode 4: The View From the Summit\He blew that big first-year out of the water.\Awesome power! More than usual! response:	Tanaka, shut up!
context: My, the things he says.\Oh, that Tsukishima-kun, I'm going to really...\crush him to a pulp.\Haikyu!!\Episode 4: The View From the Summit\He blew that big first-year out of the water.\Awesome power! More than usual!\Tanaka, shut up! response:	Showboating!
context: Oh, that Tsukishima-kun, I'm going to really...\crush him to a pulp.\Haikyu!!\Episode 4: The View From the Summit\He blew that big first-year out of the water.\Awesome power! More than usual!\Tanaka, shut up!\Showboating! response:	Don't take your shirt off!
context: crush him to a pulp.\Haikyu!!\Episode 4: The View From the Summit\He blew that big first-year out of the water.\Awesome power! More than usual!\Tanaka, shut up!\Showboating!\Don't take your shirt off! response:	Maybe you shouldn't have razzed Tanaka.
context: Haikyu!!\Episode 4: The View From the Summit\He blew that big first-year out of the water.\Awesome power! More than usual!\Tanaka, shut up!\Showboating!\Don't take your shirt off!\Maybe you shouldn't have razzed Tanaka. response:	Okay!
context: Episode 4: The View From the Summit\He blew that big first-year out of the water.\Awesome power! More than usual!\Tanaka, shut up!\Showboating!\Don't take your shirt off!\Maybe you shouldn't have razzed Tanaka.\Okay! response:	Me, too... Me, too...
context: He blew that big first-year out of the water.\Awesome power! More than usual!\Tanaka, shut up!\Showboating!\Don't take your shirt off!\Maybe you shouldn't have razzed Tanaka.\Okay!\Me, too... Me, too... response:	Hinata.
context: Awesome power! More than usual!\Tanaka, shut up!\Showboating!\Don't take your shirt off!\Maybe you shouldn't have razzed Tanaka.\Okay!\Me, too... Me, too...\Hinata. response:	I get a toss, too...
context: Tanaka, shut up!\Showboating!\Don't take your shirt off!\Maybe you shouldn't have razzed Tanaka.\Okay!\Me, too... Me, too...\Hinata.\I get a toss, too... response:	This is my first high school match and my first spike.
context: Showboating!\Don't take your shirt off!\Maybe you shouldn't have razzed Tanaka.\Okay!\Me, too... Me, too...\Hinata.\I get a toss, too...\This is my first high school match and my first spike. response:	I'll score.
context: Don't take your shirt off!\Maybe you shouldn't have razzed Tanaka.\Okay!\Me, too... Me, too...\Hinata.\I get a toss, too...\This is my first high school match and my first spike.\I'll score. response:	And yet again, even here...
context: Maybe you shouldn't have razzed Tanaka.\Okay!\Me, too... Me, too...\Hinata.\I get a toss, too...\This is my first high school match and my first spike.\I'll score.\And yet again, even here... response:	there's a high, high wall.
context: Okay!\Me, too... Me, too...\Hinata.\I get a toss, too...\This is my first high school match and my first spike.\I'll score.\And yet again, even here...\there's a high, high wall. response:	You surprised me the other day, too.
context: Me, too... Me, too...\Hinata.\I get a toss, too...\This is my first high school match and my first spike.\I'll score.\And yet again, even here...\there's a high, high wall.\You surprised me the other day, too. response:	You sure can jump.
context: Hinata.\I get a toss, too...\This is my first high school match and my first spike.\I'll score.\And yet again, even here...\there's a high, high wall.\You surprised me the other day, too.\You sure can jump. response:	If only you were 30 centimeters taller, you could've become a superstar.
context: I get a toss, too...\This is my first high school match and my first spike.\I'll score.\And yet again, even here...\there's a high, high wall.\You surprised me the other day, too.\You sure can jump.\If only you were 30 centimeters taller, you could've become a superstar. response:	So he's tall! He's only one opponent.
context: This is my first high school match and my first spike.\I'll score.\And yet again, even here...\there's a high, high wall.\You surprised me the other day, too.\You sure can jump.\If only you were 30 centimeters taller, you could've become a superstar.\So he's tall! He's only one opponent. response:	One more.
context: I'll score.\And yet again, even here...\there's a high, high wall.\You surprised me the other day, too.\You sure can jump.\If only you were 30 centimeters taller, you could've become a superstar.\So he's tall! He's only one opponent.\One more. response:	I'll score the next one.
context: And yet again, even here...\there's a high, high wall.\You surprised me the other day, too.\You sure can jump.\If only you were 30 centimeters taller, you could've become a superstar.\So he's tall! He's only one opponent.\One more.\I'll score the next one. response:	Blocked again.
context: there's a high, high wall.\You surprised me the other day, too.\You sure can jump.\If only you were 30 centimeters taller, you could've become a superstar.\So he's tall! He's only one opponent.\One more.\I'll score the next one.\Blocked again. response:	Kageyama-Hinata Tsukishima-Yamaguchi
context: You surprised me the other day, too.\You sure can jump.\If only you were 30 centimeters taller, you could've become a superstar.\So he's tall! He's only one opponent.\One more.\I'll score the next one.\Blocked again.\Kageyama-Hinata Tsukishima-Yamaguchi response:	How many is that now?
context: You sure can jump.\If only you were 30 centimeters taller, you could've become a superstar.\So he's tall! He's only one opponent.\One more.\I'll score the next one.\Blocked again.\Kageyama-Hinata Tsukishima-Yamaguchi\How many is that now? response:	Tsukki, nice!
context: If only you were 30 centimeters taller, you could've become a superstar.\So he's tall! He's only one opponent.\One more.\I'll score the next one.\Blocked again.\Kageyama-Hinata Tsukishima-Yamaguchi\How many is that now?\Tsukki, nice! response:	Tanaka is scoring consistently, though.
context: So he's tall! He's only one opponent.\One more.\I'll score the next one.\Blocked again.\Kageyama-Hinata Tsukishima-Yamaguchi\How many is that now?\Tsukki, nice!\Tanaka is scoring consistently, though. response:	Nice block, Tsukishima.
context: One more.\I'll score the next one.\Blocked again.\Kageyama-Hinata Tsukishima-Yamaguchi\How many is that now?\Tsukki, nice!\Tanaka is scoring consistently, though.\Nice block, Tsukishima. response:	Damn...
context: I'll score the next one.\Blocked again.\Kageyama-Hinata Tsukishima-Yamaguchi\How many is that now?\Tsukki, nice!\Tanaka is scoring consistently, though.\Nice block, Tsukishima.\Damn... response:	Thank you.
context: Blocked again.\Kageyama-Hinata Tsukishima-Yamaguchi\How many is that now?\Tsukki, nice!\Tanaka is scoring consistently, though.\Nice block, Tsukishima.\Damn...\Thank you. response:	This guy's better than I thought.
context: Kageyama-Hinata Tsukishima-Yamaguchi\How many is that now?\Tsukki, nice!\Tanaka is scoring consistently, though.\Nice block, Tsukishima.\Damn...\Thank you.\This guy's better than I thought. response:	Hey, there. He's constantly getting blocked.
context: How many is that now?\Tsukki, nice!\Tanaka is scoring consistently, though.\Nice block, Tsukishima.\Damn...\Thank you.\This guy's better than I thought.\Hey, there. He's constantly getting blocked. response:	You should do the king's toss.
context: Tsukki, nice!\Tanaka is scoring consistently, though.\Nice block, Tsukishima.\Damn...\Thank you.\This guy's better than I thought.\Hey, there. He's constantly getting blocked.\You should do the king's toss. response:	The toss that decimates his enemies...
context: Tanaka is scoring consistently, though.\Nice block, Tsukishima.\Damn...\Thank you.\This guy's better than I thought.\Hey, there. He's constantly getting blocked.\You should do the king's toss.\The toss that decimates his enemies... response:	and decimates his teammates, as well.
context: Nice block, Tsukishima.\Damn...\Thank you.\This guy's better than I thought.\Hey, there. He's constantly getting blocked.\You should do the king's toss.\The toss that decimates his enemies...\and decimates his teammates, as well. response:	Shut up.
context: Damn...\Thank you.\This guy's better than I thought.\Hey, there. He's constantly getting blocked.\You should do the king's toss.\The toss that decimates his enemies...\and decimates his teammates, as well.\Shut up. response:	Yamaguchi, nice serve.
context: Thank you.\This guy's better than I thought.\Hey, there. He's constantly getting blocked.\You should do the king's toss.\The toss that decimates his enemies...\and decimates his teammates, as well.\Shut up.\Yamaguchi, nice serve. response:	Sorry, Tsukki.
context: This guy's better than I thought.\Hey, there. He's constantly getting blocked.\You should do the king's toss.\The toss that decimates his enemies...\and decimates his teammates, as well.\Shut up.\Yamaguchi, nice serve.\Sorry, Tsukki. response:	Don't mind. Don't mind.
context: Hey, there. He's constantly getting blocked.\You should do the king's toss.\The toss that decimates his enemies...\and decimates his teammates, as well.\Shut up.\Yamaguchi, nice serve.\Sorry, Tsukki.\Don't mind. Don't mind. response:	We don't need a speedy attack.
context: You should do the king's toss.\The toss that decimates his enemies...\and decimates his teammates, as well.\Shut up.\Yamaguchi, nice serve.\Sorry, Tsukki.\Don't mind. Don't mind.\We don't need a speedy attack. response:	We can win without it.
context: The toss that decimates his enemies...\and decimates his teammates, as well.\Shut up.\Yamaguchi, nice serve.\Sorry, Tsukki.\Don't mind. Don't mind.\We don't need a speedy attack.\We can win without it. response:	Go, killer serve.
context: and decimates his teammates, as well.\Shut up.\Yamaguchi, nice serve.\Sorry, Tsukki.\Don't mind. Don't mind.\We don't need a speedy attack.\We can win without it.\Go, killer serve. response:	Kageyama's jump-serve. It was powerful...
context: Shut up.\Yamaguchi, nice serve.\Sorry, Tsukki.\Don't mind. Don't mind.\We don't need a speedy attack.\We can win without it.\Go, killer serve.\Kageyama's jump-serve. It was powerful... response:	I'll rack the points up all at once.
context: Yamaguchi, nice serve.\Sorry, Tsukki.\Don't mind. Don't mind.\We don't need a speedy attack.\We can win without it.\Go, killer serve.\Kageyama's jump-serve. It was powerful...\I'll rack the points up all at once. response:	Go.
context: Sorry, Tsukki.\Don't mind. Don't mind.\We don't need a speedy attack.\We can win without it.\Go, killer serve.\Kageyama's jump-serve. It was powerful...\I'll rack the points up all at once.\Go. response:	Huh?
context: Don't mind. Don't mind.\We don't need a speedy attack.\We can win without it.\Go, killer serve.\Kageyama's jump-serve. It was powerful...\I'll rack the points up all at once.\Go.\Huh? response:	Yamaguchi.
context: We don't need a speedy attack.\We can win without it.\Go, killer serve.\Kageyama's jump-serve. It was powerful...\I'll rack the points up all at once.\Go.\Huh?\Yamaguchi. response:	I got it, Tsukki.
context: We can win without it.\Go, killer serve.\Kageyama's jump-serve. It was powerful...\I'll rack the points up all at once.\Go.\Huh?\Yamaguchi.\I got it, Tsukki. response:	Damn it.
context: Go, killer serve.\Kageyama's jump-serve. It was powerful...\I'll rack the points up all at once.\Go.\Huh?\Yamaguchi.\I got it, Tsukki.\Damn it. response:	Nice toss, Tsukki.
context: Kageyama's jump-serve. It was powerful...\I'll rack the points up all at once.\Go.\Huh?\Yamaguchi.\I got it, Tsukki.\Damn it.\Nice toss, Tsukki. response:	Daichi-san's weapon is his solid receive.
context: I'll rack the points up all at once.\Go.\Huh?\Yamaguchi.\I got it, Tsukki.\Damn it.\Nice toss, Tsukki.\Daichi-san's weapon is his solid receive. response:	They've got serious defense.
context: Go.\Huh?\Yamaguchi.\I got it, Tsukki.\Damn it.\Nice toss, Tsukki.\Daichi-san's weapon is his solid receive.\They've got serious defense. response:	Did you think you'd score a few points?
context: Huh?\Yamaguchi.\I got it, Tsukki.\Damn it.\Nice toss, Tsukki.\Daichi-san's weapon is his solid receive.\They've got serious defense.\Did you think you'd score a few points? response:	I don't have outstanding talent,
context: Yamaguchi.\I got it, Tsukki.\Damn it.\Nice toss, Tsukki.\Daichi-san's weapon is his solid receive.\They've got serious defense.\Did you think you'd score a few points?\I don't have outstanding talent, response:	but I've been doing this a couple years longer than you.
context: I got it, Tsukki.\Damn it.\Nice toss, Tsukki.\Daichi-san's weapon is his solid receive.\They've got serious defense.\Did you think you'd score a few points?\I don't have outstanding talent,\but I've been doing this a couple years longer than you. response:	My receive is well-integrated into my body.
context: Damn it.\Nice toss, Tsukki.\Daichi-san's weapon is his solid receive.\They've got serious defense.\Did you think you'd score a few points?\I don't have outstanding talent,\but I've been doing this a couple years longer than you.\My receive is well-integrated into my body. response:	Don't think you can get past me that easily.
context: Nice toss, Tsukki.\Daichi-san's weapon is his solid receive.\They've got serious defense.\Did you think you'd score a few points?\I don't have outstanding talent,\but I've been doing this a couple years longer than you.\My receive is well-integrated into my body.\Don't think you can get past me that easily. response:	Awesome...
context: Daichi-san's weapon is his solid receive.\They've got serious defense.\Did you think you'd score a few points?\I don't have outstanding talent,\but I've been doing this a couple years longer than you.\My receive is well-integrated into my body.\Don't think you can get past me that easily.\Awesome... response:	Hey, king.
context: They've got serious defense.\Did you think you'd score a few points?\I don't have outstanding talent,\but I've been doing this a couple years longer than you.\My receive is well-integrated into my body.\Don't think you can get past me that easily.\Awesome...\Hey, king. response:	Maybe you should start getting serious.
context: Did you think you'd score a few points?\I don't have outstanding talent,\but I've been doing this a couple years longer than you.\My receive is well-integrated into my body.\Don't think you can get past me that easily.\Awesome...\Hey, king.\Maybe you should start getting serious. response:	What's your problem?
context: I don't have outstanding talent,\but I've been doing this a couple years longer than you.\My receive is well-integrated into my body.\Don't think you can get past me that easily.\Awesome...\Hey, king.\Maybe you should start getting serious.\What's your problem? response:	You haven't stopped getting in our faces since the other day.
context: but I've been doing this a couple years longer than you.\My receive is well-integrated into my body.\Don't think you can get past me that easily.\Awesome...\Hey, king.\Maybe you should start getting serious.\What's your problem?\You haven't stopped getting in our faces since the other day. response:	What's this king's toss?
context: My receive is well-integrated into my body.\Don't think you can get past me that easily.\Awesome...\Hey, king.\Maybe you should start getting serious.\What's your problem?\You haven't stopped getting in our faces since the other day.\What's this king's toss? response:	Don't you know why they call him king?
context: Don't think you can get past me that easily.\Awesome...\Hey, king.\Maybe you should start getting serious.\What's your problem?\You haven't stopped getting in our faces since the other day.\What's this king's toss?\Don't you know why they call him king? response:	He's called that because he's so good
context: Awesome...\Hey, king.\Maybe you should start getting serious.\What's your problem?\You haven't stopped getting in our faces since the other day.\What's this king's toss?\Don't you know why they call him king?\He's called that because he's so good response:	that guys at other schools are intimidated by him, isn't that it?
context: Hey, king.\Maybe you should start getting serious.\What's your problem?\You haven't stopped getting in our faces since the other day.\What's this king's toss?\Don't you know why they call him king?\He's called that because he's so good\that guys at other schools are intimidated by him, isn't that it? response:	I'm sure there are others who think that's why.
context: Maybe you should start getting serious.\What's your problem?\You haven't stopped getting in our faces since the other day.\What's this king's toss?\Don't you know why they call him king?\He's called that because he's so good\that guys at other schools are intimidated by him, isn't that it?\I'm sure there are others who think that's why. response:	However, his nickname of king of the court
context: What's your problem?\You haven't stopped getting in our faces since the other day.\What's this king's toss?\Don't you know why they call him king?\He's called that because he's so good\that guys at other schools are intimidated by him, isn't that it?\I'm sure there are others who think that's why.\However, his nickname of king of the court response:	was given to him by the guys of Kitagawa Daiichi.
context: You haven't stopped getting in our faces since the other day.\What's this king's toss?\Don't you know why they call him king?\He's called that because he's so good\that guys at other schools are intimidated by him, isn't that it?\I'm sure there are others who think that's why.\However, his nickname of king of the court\was given to him by the guys of Kitagawa Daiichi. response:	By the teammates of the king.
context: What's this king's toss?\Don't you know why they call him king?\He's called that because he's so good\that guys at other schools are intimidated by him, isn't that it?\I'm sure there are others who think that's why.\However, his nickname of king of the court\was given to him by the guys of Kitagawa Daiichi.\By the teammates of the king. response:	What it means is...
context: Don't you know why they call him king?\He's called that because he's so good\that guys at other schools are intimidated by him, isn't that it?\I'm sure there are others who think that's why.\However, his nickname of king of the court\was given to him by the guys of Kitagawa Daiichi.\By the teammates of the king.\What it means is... response:	He's the self-centered king.
context: He's called that because he's so good\that guys at other schools are intimidated by him, isn't that it?\I'm sure there are others who think that's why.\However, his nickname of king of the court\was given to him by the guys of Kitagawa Daiichi.\By the teammates of the king.\What it means is...\He's the self-centered king. response:	The oppressive dictator.
context: that guys at other schools are intimidated by him, isn't that it?\I'm sure there are others who think that's why.\However, his nickname of king of the court\was given to him by the guys of Kitagawa Daiichi.\By the teammates of the king.\What it means is...\He's the self-centered king.\The oppressive dictator. response:	I heard rumors, but I was convinced when I saw that match.
context: I'm sure there are others who think that's why.\However, his nickname of king of the court\was given to him by the guys of Kitagawa Daiichi.\By the teammates of the king.\What it means is...\He's the self-centered king.\The oppressive dictator.\I heard rumors, but I was convinced when I saw that match. response:	He got too oppressive, and had to sit out on the bench.
context: However, his nickname of king of the court\was given to him by the guys of Kitagawa Daiichi.\By the teammates of the king.\What it means is...\He's the self-centered king.\The oppressive dictator.\I heard rumors, but I was convinced when I saw that match.\He got too oppressive, and had to sit out on the bench. response:	Kita-ichi. Kita-ichi.
context: was given to him by the guys of Kitagawa Daiichi.\By the teammates of the king.\What it means is...\He's the self-centered king.\The oppressive dictator.\I heard rumors, but I was convinced when I saw that match.\He got too oppressive, and had to sit out on the bench.\Kita-ichi. Kita-ichi. response:	Kosen Gakuen/ Kitagawa Daiichi
context: By the teammates of the king.\What it means is...\He's the self-centered king.\The oppressive dictator.\I heard rumors, but I was convinced when I saw that match.\He got too oppressive, and had to sit out on the bench.\Kita-ichi. Kita-ichi.\Kosen Gakuen/ Kitagawa Daiichi response:	All right.
context: What it means is...\He's the self-centered king.\The oppressive dictator.\I heard rumors, but I was convinced when I saw that match.\He got too oppressive, and had to sit out on the bench.\Kita-ichi. Kita-ichi.\Kosen Gakuen/ Kitagawa Daiichi\All right. response:	Damn... they block high.
context: He's the self-centered king.\The oppressive dictator.\I heard rumors, but I was convinced when I saw that match.\He got too oppressive, and had to sit out on the bench.\Kita-ichi. Kita-ichi.\Kosen Gakuen/ Kitagawa Daiichi\All right.\Damn... they block high. response:	We have to get past them somehow.
context: The oppressive dictator.\I heard rumors, but I was convinced when I saw that match.\He got too oppressive, and had to sit out on the bench.\Kita-ichi. Kita-ichi.\Kosen Gakuen/ Kitagawa Daiichi\All right.\Damn... they block high.\We have to get past them somehow. response:	We need a much faster attack...
context: I heard rumors, but I was convinced when I saw that match.\He got too oppressive, and had to sit out on the bench.\Kita-ichi. Kita-ichi.\Kosen Gakuen/ Kitagawa Daiichi\All right.\Damn... they block high.\We have to get past them somehow.\We need a much faster attack... response:	So fast it's unblockable.
context: He got too oppressive, and had to sit out on the bench.\Kita-ichi. Kita-ichi.\Kosen Gakuen/ Kitagawa Daiichi\All right.\Damn... they block high.\We have to get past them somehow.\We need a much faster attack...\So fast it's unblockable. response:	Don't mind. Don't mind.
context: Kita-ichi. Kita-ichi.\Kosen Gakuen/ Kitagawa Daiichi\All right.\Damn... they block high.\We have to get past them somehow.\We need a much faster attack...\So fast it's unblockable.\Don't mind. Don't mind. response:	Sorry.
context: Kosen Gakuen/ Kitagawa Daiichi\All right.\Damn... they block high.\We have to get past them somehow.\We need a much faster attack...\So fast it's unblockable.\Don't mind. Don't mind.\Sorry. response:	Faster!
context: All right.\Damn... they block high.\We have to get past them somehow.\We need a much faster attack...\So fast it's unblockable.\Don't mind. Don't mind.\Sorry.\Faster! response:	Nice serve!
context: Damn... they block high.\We have to get past them somehow.\We need a much faster attack...\So fast it's unblockable.\Don't mind. Don't mind.\Sorry.\Faster!\Nice serve! response:	Right!
context: We have to get past them somehow.\We need a much faster attack...\So fast it's unblockable.\Don't mind. Don't mind.\Sorry.\Faster!\Nice serve!\Right! response:	Are you kidding? Your tosses are reckless.
context: We need a much faster attack...\So fast it's unblockable.\Don't mind. Don't mind.\Sorry.\Faster!\Nice serve!\Right!\Are you kidding? Your tosses are reckless. response:	What's the point if we can't spike them?
context: So fast it's unblockable.\Don't mind. Don't mind.\Sorry.\Faster!\Nice serve!\Right!\Are you kidding? Your tosses are reckless.\What's the point if we can't spike them? response:	But we can't win if we don't get past their blocks.
context: Don't mind. Don't mind.\Sorry.\Faster!\Nice serve!\Right!\Are you kidding? Your tosses are reckless.\What's the point if we can't spike them?\But we can't win if we don't get past their blocks. response:	Does it end here?
