context: It won't take long. response:	Be patient.
context: Here, in Iceland, is the dragons' nest.\They're on the verge of extinction, just like us mages.\The handful of surviving breeds have been rounded up here to be taken care of.\It's remote and scarcely inhabited here, which makes it a perfect hiding space.\Are they vicious?\The majority of them were weeded out long ago.\There are more docile ones now.\I see. response:	Chise!
context: They're on the verge of extinction, just like us mages.\The handful of surviving breeds have been rounded up here to be taken care of.\It's remote and scarcely inhabited here, which makes it a perfect hiding space.\Are they vicious?\The majority of them were weeded out long ago.\There are more docile ones now.\I see.\Chise! response:	Elias!
context: The handful of surviving breeds have been rounded up here to be taken care of.\It's remote and scarcely inhabited here, which makes it a perfect hiding space.\Are they vicious?\The majority of them were weeded out long ago.\There are more docile ones now.\I see.\Chise!\Elias! response:	His half-baked talent makes him cocky.
context: It's remote and scarcely inhabited here, which makes it a perfect hiding space.\Are they vicious?\The majority of them were weeded out long ago.\There are more docile ones now.\I see.\Chise!\Elias!\His half-baked talent makes him cocky. response:	He hasn't changed much.
context: Are they vicious?\The majority of them were weeded out long ago.\There are more docile ones now.\I see.\Chise!\Elias!\His half-baked talent makes him cocky.\He hasn't changed much. response:	See, look over there.
context: The majority of them were weeded out long ago.\There are more docile ones now.\I see.\Chise!\Elias!\His half-baked talent makes him cocky.\He hasn't changed much.\See, look over there. response:	The last land of the dragons.
context: There are more docile ones now.\I see.\Chise!\Elias!\His half-baked talent makes him cocky.\He hasn't changed much.\See, look over there.\The last land of the dragons. response:	Hey, let her go.
context: I see.\Chise!\Elias!\His half-baked talent makes him cocky.\He hasn't changed much.\See, look over there.\The last land of the dragons.\Hey, let her go. response:	Hey!
context: Chise!\Elias!\His half-baked talent makes him cocky.\He hasn't changed much.\See, look over there.\The last land of the dragons.\Hey, let her go.\Hey! response:	Does she plan to just keep sinking?
context: Elias!\His half-baked talent makes him cocky.\He hasn't changed much.\See, look over there.\The last land of the dragons.\Hey, let her go.\Hey!\Does she plan to just keep sinking? response:	My body feels heavy.
context: His half-baked talent makes him cocky.\He hasn't changed much.\See, look over there.\The last land of the dragons.\Hey, let her go.\Hey!\Does she plan to just keep sinking?\My body feels heavy. response:	Chise.
context: He hasn't changed much.\See, look over there.\The last land of the dragons.\Hey, let her go.\Hey!\Does she plan to just keep sinking?\My body feels heavy.\Chise. response:	Chise.
context: See, look over there.\The last land of the dragons.\Hey, let her go.\Hey!\Does she plan to just keep sinking?\My body feels heavy.\Chise.\Chise. response:	Chise.
context: The last land of the dragons.\Hey, let her go.\Hey!\Does she plan to just keep sinking?\My body feels heavy.\Chise.\Chise.\Chise. response:	Well.
context: Hey, let her go.\Hey!\Does she plan to just keep sinking?\My body feels heavy.\Chise.\Chise.\Chise.\Well. response:	What an unusual guest.
context: Hey!\Does she plan to just keep sinking?\My body feels heavy.\Chise.\Chise.\Chise.\Well.\What an unusual guest. response:	You smell like a mage...
context: Does she plan to just keep sinking?\My body feels heavy.\Chise.\Chise.\Chise.\Well.\What an unusual guest.\You smell like a mage... response:	albeit a young one.
context: My body feels heavy.\Chise.\Chise.\Chise.\Well.\What an unusual guest.\You smell like a mage...\albeit a young one. response:	A sapling.
context: Chise.\Chise.\Chise.\Well.\What an unusual guest.\You smell like a mage...\albeit a young one.\A sapling. response:	And you smell of plants, flowers, and rocks from another place.
context: Chise.\Chise.\Well.\What an unusual guest.\You smell like a mage...\albeit a young one.\A sapling.\And you smell of plants, flowers, and rocks from another place. response:	It's a nice scent.
context: Chise.\Well.\What an unusual guest.\You smell like a mage...\albeit a young one.\A sapling.\And you smell of plants, flowers, and rocks from another place.\It's a nice scent. response:	His eyes...
context: Well.\What an unusual guest.\You smell like a mage...\albeit a young one.\A sapling.\And you smell of plants, flowers, and rocks from another place.\It's a nice scent.\His eyes... response:	His whole body is like a forest of moss, too.
context: What an unusual guest.\You smell like a mage...\albeit a young one.\A sapling.\And you smell of plants, flowers, and rocks from another place.\It's a nice scent.\His eyes...\His whole body is like a forest of moss, too. response:	He's a breed of dragon called an uil.
context: You smell like a mage...\albeit a young one.\A sapling.\And you smell of plants, flowers, and rocks from another place.\It's a nice scent.\His eyes...\His whole body is like a forest of moss, too.\He's a breed of dragon called an uil. response:	He's both father and the mother to the forest, bearing vegetation on his decaying body.
context: albeit a young one.\A sapling.\And you smell of plants, flowers, and rocks from another place.\It's a nice scent.\His eyes...\His whole body is like a forest of moss, too.\He's a breed of dragon called an uil.\He's both father and the mother to the forest, bearing vegetation on his decaying body. response:	Apologies for the rough handling.
context: A sapling.\And you smell of plants, flowers, and rocks from another place.\It's a nice scent.\His eyes...\His whole body is like a forest of moss, too.\He's a breed of dragon called an uil.\He's both father and the mother to the forest, bearing vegetation on his decaying body.\Apologies for the rough handling. response:	Why me?
context: And you smell of plants, flowers, and rocks from another place.\It's a nice scent.\His eyes...\His whole body is like a forest of moss, too.\He's a breed of dragon called an uil.\He's both father and the mother to the forest, bearing vegetation on his decaying body.\Apologies for the rough handling.\Why me? response:	There was commotion among the ariels.
context: It's a nice scent.\His eyes...\His whole body is like a forest of moss, too.\He's a breed of dragon called an uil.\He's both father and the mother to the forest, bearing vegetation on his decaying body.\Apologies for the rough handling.\Why me?\There was commotion among the ariels. response:	They said that Thorn had finally taken an apprentice.
context: His eyes...\His whole body is like a forest of moss, too.\He's a breed of dragon called an uil.\He's both father and the mother to the forest, bearing vegetation on his decaying body.\Apologies for the rough handling.\Why me?\There was commotion among the ariels.\They said that Thorn had finally taken an apprentice. response:	For them, rumors spread literally like the wind.
context: His whole body is like a forest of moss, too.\He's a breed of dragon called an uil.\He's both father and the mother to the forest, bearing vegetation on his decaying body.\Apologies for the rough handling.\Why me?\There was commotion among the ariels.\They said that Thorn had finally taken an apprentice.\For them, rumors spread literally like the wind. response:	You arrived quite quickly this time around.
context: He's a breed of dragon called an uil.\He's both father and the mother to the forest, bearing vegetation on his decaying body.\Apologies for the rough handling.\Why me?\There was commotion among the ariels.\They said that Thorn had finally taken an apprentice.\For them, rumors spread literally like the wind.\You arrived quite quickly this time around. response:	When are you going to stop hiding in your apprentice's shadows, Thorn?
context: He's both father and the mother to the forest, bearing vegetation on his decaying body.\Apologies for the rough handling.\Why me?\There was commotion among the ariels.\They said that Thorn had finally taken an apprentice.\For them, rumors spread literally like the wind.\You arrived quite quickly this time around.\When are you going to stop hiding in your apprentice's shadows, Thorn? response:	Or rather, Ainsworth?
context: Apologies for the rough handling.\Why me?\There was commotion among the ariels.\They said that Thorn had finally taken an apprentice.\For them, rumors spread literally like the wind.\You arrived quite quickly this time around.\When are you going to stop hiding in your apprentice's shadows, Thorn?\Or rather, Ainsworth? response:	When the old fogey finishes his bumbling.
context: Why me?\There was commotion among the ariels.\They said that Thorn had finally taken an apprentice.\For them, rumors spread literally like the wind.\You arrived quite quickly this time around.\When are you going to stop hiding in your apprentice's shadows, Thorn?\Or rather, Ainsworth?\When the old fogey finishes his bumbling. response:	It's been 300 years, and you still haven't stopped toying with people, have you, Echos?
context: There was commotion among the ariels.\They said that Thorn had finally taken an apprentice.\For them, rumors spread literally like the wind.\You arrived quite quickly this time around.\When are you going to stop hiding in your apprentice's shadows, Thorn?\Or rather, Ainsworth?\When the old fogey finishes his bumbling.\It's been 300 years, and you still haven't stopped toying with people, have you, Echos? response:	Do you want your apprentice to freeze to death, Ainsworth?
context: They said that Thorn had finally taken an apprentice.\For them, rumors spread literally like the wind.\You arrived quite quickly this time around.\When are you going to stop hiding in your apprentice's shadows, Thorn?\Or rather, Ainsworth?\When the old fogey finishes his bumbling.\It's been 300 years, and you still haven't stopped toying with people, have you, Echos?\Do you want your apprentice to freeze to death, Ainsworth? response:	I'm... I'm fine.
context: For them, rumors spread literally like the wind.\You arrived quite quickly this time around.\When are you going to stop hiding in your apprentice's shadows, Thorn?\Or rather, Ainsworth?\When the old fogey finishes his bumbling.\It's been 300 years, and you still haven't stopped toying with people, have you, Echos?\Do you want your apprentice to freeze to death, Ainsworth?\I'm... I'm fine. response:	You're absolutely soaked.
context: You arrived quite quickly this time around.\When are you going to stop hiding in your apprentice's shadows, Thorn?\Or rather, Ainsworth?\When the old fogey finishes his bumbling.\It's been 300 years, and you still haven't stopped toying with people, have you, Echos?\Do you want your apprentice to freeze to death, Ainsworth?\I'm... I'm fine.\You're absolutely soaked. response:	Nettles in the shadow...
context: When are you going to stop hiding in your apprentice's shadows, Thorn?\Or rather, Ainsworth?\When the old fogey finishes his bumbling.\It's been 300 years, and you still haven't stopped toying with people, have you, Echos?\Do you want your apprentice to freeze to death, Ainsworth?\I'm... I'm fine.\You're absolutely soaked.\Nettles in the shadow... response:	Ring of holly...
context: Or rather, Ainsworth?\When the old fogey finishes his bumbling.\It's been 300 years, and you still haven't stopped toying with people, have you, Echos?\Do you want your apprentice to freeze to death, Ainsworth?\I'm... I'm fine.\You're absolutely soaked.\Nettles in the shadow...\Ring of holly... response:	I'm dry.
context: When the old fogey finishes his bumbling.\It's been 300 years, and you still haven't stopped toying with people, have you, Echos?\Do you want your apprentice to freeze to death, Ainsworth?\I'm... I'm fine.\You're absolutely soaked.\Nettles in the shadow...\Ring of holly...\I'm dry. response:	Th-Thank you.
context: It's been 300 years, and you still haven't stopped toying with people, have you, Echos?\Do you want your apprentice to freeze to death, Ainsworth?\I'm... I'm fine.\You're absolutely soaked.\Nettles in the shadow...\Ring of holly...\I'm dry.\Th-Thank you. response:	What are you grinning at?
context: Do you want your apprentice to freeze to death, Ainsworth?\I'm... I'm fine.\You're absolutely soaked.\Nettles in the shadow...\Ring of holly...\I'm dry.\Th-Thank you.\What are you grinning at? response:	At this little brat acting like he's all grown up.
context: I'm... I'm fine.\You're absolutely soaked.\Nettles in the shadow...\Ring of holly...\I'm dry.\Th-Thank you.\What are you grinning at?\At this little brat acting like he's all grown up. response:	Shut it.
context: You're absolutely soaked.\Nettles in the shadow...\Ring of holly...\I'm dry.\Th-Thank you.\What are you grinning at?\At this little brat acting like he's all grown up.\Shut it. response:	Chise, that's Lindel.
context: Nettles in the shadow...\Ring of holly...\I'm dry.\Th-Thank you.\What are you grinning at?\At this little brat acting like he's all grown up.\Shut it.\Chise, that's Lindel. response:	He's a mage, like me, and caretaker of this dragon's nest.
context: Ring of holly...\I'm dry.\Th-Thank you.\What are you grinning at?\At this little brat acting like he's all grown up.\Shut it.\Chise, that's Lindel.\He's a mage, like me, and caretaker of this dragon's nest. response:	Caretaker?
context: I'm dry.\Th-Thank you.\What are you grinning at?\At this little brat acting like he's all grown up.\Shut it.\Chise, that's Lindel.\He's a mage, like me, and caretaker of this dragon's nest.\Caretaker? response:	His duty is to keep the land of dragons hidden from the sight of ordinary humans.
context: Th-Thank you.\What are you grinning at?\At this little brat acting like he's all grown up.\Shut it.\Chise, that's Lindel.\He's a mage, like me, and caretaker of this dragon's nest.\Caretaker?\His duty is to keep the land of dragons hidden from the sight of ordinary humans. response:	Hence, caretaker.
context: What are you grinning at?\At this little brat acting like he's all grown up.\Shut it.\Chise, that's Lindel.\He's a mage, like me, and caretaker of this dragon's nest.\Caretaker?\His duty is to keep the land of dragons hidden from the sight of ordinary humans.\Hence, caretaker. response:	Despite his appearance, he's a mischievous senior, even more ancient than I am,
context: At this little brat acting like he's all grown up.\Shut it.\Chise, that's Lindel.\He's a mage, like me, and caretaker of this dragon's nest.\Caretaker?\His duty is to keep the land of dragons hidden from the sight of ordinary humans.\Hence, caretaker.\Despite his appearance, he's a mischievous senior, even more ancient than I am, response:	so be careful around him.
context: Shut it.\Chise, that's Lindel.\He's a mage, like me, and caretaker of this dragon's nest.\Caretaker?\His duty is to keep the land of dragons hidden from the sight of ordinary humans.\Hence, caretaker.\Despite his appearance, he's a mischievous senior, even more ancient than I am,\so be careful around him. response:	How dare you...
context: Chise, that's Lindel.\He's a mage, like me, and caretaker of this dragon's nest.\Caretaker?\His duty is to keep the land of dragons hidden from the sight of ordinary humans.\Hence, caretaker.\Despite his appearance, he's a mischievous senior, even more ancient than I am,\so be careful around him.\How dare you... response:	Hey, hey!
context: He's a mage, like me, and caretaker of this dragon's nest.\Caretaker?\His duty is to keep the land of dragons hidden from the sight of ordinary humans.\Hence, caretaker.\Despite his appearance, he's a mischievous senior, even more ancient than I am,\so be careful around him.\How dare you...\Hey, hey! response:	Are you done talking?
context: Caretaker?\His duty is to keep the land of dragons hidden from the sight of ordinary humans.\Hence, caretaker.\Despite his appearance, he's a mischievous senior, even more ancient than I am,\so be careful around him.\How dare you...\Hey, hey!\Are you done talking? response:	Let's play.
context: His duty is to keep the land of dragons hidden from the sight of ordinary humans.\Hence, caretaker.\Despite his appearance, he's a mischievous senior, even more ancient than I am,\so be careful around him.\How dare you...\Hey, hey!\Are you done talking?\Let's play. response:	Let's play! Let's play!
context: Hence, caretaker.\Despite his appearance, he's a mischievous senior, even more ancient than I am,\so be careful around him.\How dare you...\Hey, hey!\Are you done talking?\Let's play.\Let's play! Let's play! response:	Come on.
context: Despite his appearance, he's a mischievous senior, even more ancient than I am,\so be careful around him.\How dare you...\Hey, hey!\Are you done talking?\Let's play.\Let's play! Let's play!\Come on. response:	Those are dragon hatchlings.
context: so be careful around him.\How dare you...\Hey, hey!\Are you done talking?\Let's play.\Let's play! Let's play!\Come on.\Those are dragon hatchlings. response:	Let's play.
context: How dare you...\Hey, hey!\Are you done talking?\Let's play.\Let's play! Let's play!\Come on.\Those are dragon hatchlings.\Let's play. response:	Let's play!
context: Hey, hey!\Are you done talking?\Let's play.\Let's play! Let's play!\Come on.\Those are dragon hatchlings.\Let's play.\Let's play! response:	Please?
context: Are you done talking?\Let's play.\Let's play! Let's play!\Come on.\Those are dragon hatchlings.\Let's play.\Let's play!\Please? response:	The one with wings is a gwee.
context: Let's play.\Let's play! Let's play!\Come on.\Those are dragon hatchlings.\Let's play.\Let's play!\Please?\The one with wings is a gwee. response:	Come on!
context: Let's play! Let's play!\Come on.\Those are dragon hatchlings.\Let's play.\Let's play!\Please?\The one with wings is a gwee.\Come on! response:	The one by your feet is a beana.
context: Come on.\Those are dragon hatchlings.\Let's play.\Let's play!\Please?\The one with wings is a gwee.\Come on!\The one by your feet is a beana. response:	Come on, let's play!
context: Those are dragon hatchlings.\Let's play.\Let's play!\Please?\The one with wings is a gwee.\Come on!\The one by your feet is a beana.\Come on, let's play! response:	The slow-moving one is an uil.
context: Let's play.\Let's play!\Please?\The one with wings is a gwee.\Come on!\The one by your feet is a beana.\Come on, let's play!\The slow-moving one is an uil. response:	Granted, that's just what I call them personally.
context: Let's play!\Please?\The one with wings is a gwee.\Come on!\The one by your feet is a beana.\Come on, let's play!\The slow-moving one is an uil.\Granted, that's just what I call them personally. response:	Let's play!
context: Please?\The one with wings is a gwee.\Come on!\The one by your feet is a beana.\Come on, let's play!\The slow-moving one is an uil.\Granted, that's just what I call them personally.\Let's play! response:	Come on!
context: The one with wings is a gwee.\Come on!\The one by your feet is a beana.\Come on, let's play!\The slow-moving one is an uil.\Granted, that's just what I call them personally.\Let's play!\Come on! response:	Hey, are you listening?
context: Come on!\The one by your feet is a beana.\Come on, let's play!\The slow-moving one is an uil.\Granted, that's just what I call them personally.\Let's play!\Come on!\Hey, are you listening? response:	Lindel.
context: The one by your feet is a beana.\Come on, let's play!\The slow-moving one is an uil.\Granted, that's just what I call them personally.\Let's play!\Come on!\Hey, are you listening?\Lindel. response:	Let's play!
context: Come on, let's play!\The slow-moving one is an uil.\Granted, that's just what I call them personally.\Let's play!\Come on!\Hey, are you listening?\Lindel.\Let's play! response:	Tell me, has there been any trouble lately?
context: The slow-moving one is an uil.\Granted, that's just what I call them personally.\Let's play!\Come on!\Hey, are you listening?\Lindel.\Let's play!\Tell me, has there been any trouble lately? response:	They're making a fuss again, are they?
context: Granted, that's just what I call them personally.\Let's play!\Come on!\Hey, are you listening?\Lindel.\Let's play!\Tell me, has there been any trouble lately?\They're making a fuss again, are they? response:	Food has been scarce this year.
context: Let's play!\Come on!\Hey, are you listening?\Lindel.\Let's play!\Tell me, has there been any trouble lately?\They're making a fuss again, are they?\Food has been scarce this year. response:	A number of the dragons have been traveling far.
context: Come on!\Hey, are you listening?\Lindel.\Let's play!\Tell me, has there been any trouble lately?\They're making a fuss again, are they?\Food has been scarce this year.\A number of the dragons have been traveling far. response:	Chise, would you mind playing with them for me?
context: Hey, are you listening?\Lindel.\Let's play!\Tell me, has there been any trouble lately?\They're making a fuss again, are they?\Food has been scarce this year.\A number of the dragons have been traveling far.\Chise, would you mind playing with them for me? response:	What should we do?
context: Lindel.\Let's play!\Tell me, has there been any trouble lately?\They're making a fuss again, are they?\Food has been scarce this year.\A number of the dragons have been traveling far.\Chise, would you mind playing with them for me?\What should we do? response:	Over there.
context: Let's play!\Tell me, has there been any trouble lately?\They're making a fuss again, are they?\Food has been scarce this year.\A number of the dragons have been traveling far.\Chise, would you mind playing with them for me?\What should we do?\Over there. response:	Let's jump off and practice gliding toward the pond.
context: Tell me, has there been any trouble lately?\They're making a fuss again, are they?\Food has been scarce this year.\A number of the dragons have been traveling far.\Chise, would you mind playing with them for me?\What should we do?\Over there.\Let's jump off and practice gliding toward the pond. response:	Humans can fly these days, right?
context: They're making a fuss again, are they?\Food has been scarce this year.\A number of the dragons have been traveling far.\Chise, would you mind playing with them for me?\What should we do?\Over there.\Let's jump off and practice gliding toward the pond.\Humans can fly these days, right? response:	Er, that might be hard without having my bones and muscles modified at the genetic level.
context: Food has been scarce this year.\A number of the dragons have been traveling far.\Chise, would you mind playing with them for me?\What should we do?\Over there.\Let's jump off and practice gliding toward the pond.\Humans can fly these days, right?\Er, that might be hard without having my bones and muscles modified at the genetic level. response:	Yay!
context: A number of the dragons have been traveling far.\Chise, would you mind playing with them for me?\What should we do?\Over there.\Let's jump off and practice gliding toward the pond.\Humans can fly these days, right?\Er, that might be hard without having my bones and muscles modified at the genetic level.\Yay! response:	And now I'm wet again.
context: Chise, would you mind playing with them for me?\What should we do?\Over there.\Let's jump off and practice gliding toward the pond.\Humans can fly these days, right?\Er, that might be hard without having my bones and muscles modified at the genetic level.\Yay!\And now I'm wet again. response:	Hey, can we try that?
context: What should we do?\Over there.\Let's jump off and practice gliding toward the pond.\Humans can fly these days, right?\Er, that might be hard without having my bones and muscles modified at the genetic level.\Yay!\And now I'm wet again.\Hey, can we try that? response:	That was awesome!
context: Over there.\Let's jump off and practice gliding toward the pond.\Humans can fly these days, right?\Er, that might be hard without having my bones and muscles modified at the genetic level.\Yay!\And now I'm wet again.\Hey, can we try that?\That was awesome! response:	He has wings, so I guess he must be able to fly.
context: Let's jump off and practice gliding toward the pond.\Humans can fly these days, right?\Er, that might be hard without having my bones and muscles modified at the genetic level.\Yay!\And now I'm wet again.\Hey, can we try that?\That was awesome!\He has wings, so I guess he must be able to fly. response:	He's all tattered, though.
context: Humans can fly these days, right?\Er, that might be hard without having my bones and muscles modified at the genetic level.\Yay!\And now I'm wet again.\Hey, can we try that?\That was awesome!\He has wings, so I guess he must be able to fly.\He's all tattered, though. response:	Have you never seen a dragon before?
context: Er, that might be hard without having my bones and muscles modified at the genetic level.\Yay!\And now I'm wet again.\Hey, can we try that?\That was awesome!\He has wings, so I guess he must be able to fly.\He's all tattered, though.\Have you never seen a dragon before? response:	S-Sorry, I didn't mean to...
context: Yay!\And now I'm wet again.\Hey, can we try that?\That was awesome!\He has wings, so I guess he must be able to fly.\He's all tattered, though.\Have you never seen a dragon before?\S-Sorry, I didn't mean to... response:	I didn't mean it like that.
context: And now I'm wet again.\Hey, can we try that?\That was awesome!\He has wings, so I guess he must be able to fly.\He's all tattered, though.\Have you never seen a dragon before?\S-Sorry, I didn't mean to...\I didn't mean it like that. response:	Uncle Nevin's awake.
context: Hey, can we try that?\That was awesome!\He has wings, so I guess he must be able to fly.\He's all tattered, though.\Have you never seen a dragon before?\S-Sorry, I didn't mean to...\I didn't mean it like that.\Uncle Nevin's awake. response:	It's won't be long before I return home.
context: That was awesome!\He has wings, so I guess he must be able to fly.\He's all tattered, though.\Have you never seen a dragon before?\S-Sorry, I didn't mean to...\I didn't mean it like that.\Uncle Nevin's awake.\It's won't be long before I return home. response:	I'd supposed you would prefer to watch over the rollicking young instead.
context: He has wings, so I guess he must be able to fly.\He's all tattered, though.\Have you never seen a dragon before?\S-Sorry, I didn't mean to...\I didn't mean it like that.\Uncle Nevin's awake.\It's won't be long before I return home.\I'd supposed you would prefer to watch over the rollicking young instead. response:	It's almost his time.
context: He's all tattered, though.\Have you never seen a dragon before?\S-Sorry, I didn't mean to...\I didn't mean it like that.\Uncle Nevin's awake.\It's won't be long before I return home.\I'd supposed you would prefer to watch over the rollicking young instead.\It's almost his time. response:	His time?
context: Have you never seen a dragon before?\S-Sorry, I didn't mean to...\I didn't mean it like that.\Uncle Nevin's awake.\It's won't be long before I return home.\I'd supposed you would prefer to watch over the rollicking young instead.\It's almost his time.\His time? response:	Uncle Nevin's turning into a tree soon.
context: S-Sorry, I didn't mean to...\I didn't mean it like that.\Uncle Nevin's awake.\It's won't be long before I return home.\I'd supposed you would prefer to watch over the rollicking young instead.\It's almost his time.\His time?\Uncle Nevin's turning into a tree soon. response:	Yup.
context: I didn't mean it like that.\Uncle Nevin's awake.\It's won't be long before I return home.\I'd supposed you would prefer to watch over the rollicking young instead.\It's almost his time.\His time?\Uncle Nevin's turning into a tree soon.\Yup. response:	All the uils do.
context: Uncle Nevin's awake.\It's won't be long before I return home.\I'd supposed you would prefer to watch over the rollicking young instead.\It's almost his time.\His time?\Uncle Nevin's turning into a tree soon.\Yup.\All the uils do. response:	They turn into excellent trees and pasture.
context: It's won't be long before I return home.\I'd supposed you would prefer to watch over the rollicking young instead.\It's almost his time.\His time?\Uncle Nevin's turning into a tree soon.\Yup.\All the uils do.\They turn into excellent trees and pasture. response:	When you say return...
context: I'd supposed you would prefer to watch over the rollicking young instead.\It's almost his time.\His time?\Uncle Nevin's turning into a tree soon.\Yup.\All the uils do.\They turn into excellent trees and pasture.\When you say return... response:	What do you mean?
context: It's almost his time.\His time?\Uncle Nevin's turning into a tree soon.\Yup.\All the uils do.\They turn into excellent trees and pasture.\When you say return...\What do you mean? response:	We're going to turn into trees and moss and boulders when we die, too.
context: His time?\Uncle Nevin's turning into a tree soon.\Yup.\All the uils do.\They turn into excellent trees and pasture.\When you say return...\What do you mean?\We're going to turn into trees and moss and boulders when we die, too. response:	Right?
context: Uncle Nevin's turning into a tree soon.\Yup.\All the uils do.\They turn into excellent trees and pasture.\When you say return...\What do you mean?\We're going to turn into trees and moss and boulders when we die, too.\Right? response:	When you die?
context: Yup.\All the uils do.\They turn into excellent trees and pasture.\When you say return...\What do you mean?\We're going to turn into trees and moss and boulders when we die, too.\Right?\When you die? response:	We don't fear death the way you humans do.
context: All the uils do.\They turn into excellent trees and pasture.\When you say return...\What do you mean?\We're going to turn into trees and moss and boulders when we die, too.\Right?\When you die?\We don't fear death the way you humans do. response:	We live our lives to the fullest, so that we're never left with regrets.
context: They turn into excellent trees and pasture.\When you say return...\What do you mean?\We're going to turn into trees and moss and boulders when we die, too.\Right?\When you die?\We don't fear death the way you humans do.\We live our lives to the fullest, so that we're never left with regrets. response:	Doesn't it hurt?
context: When you say return...\What do you mean?\We're going to turn into trees and moss and boulders when we die, too.\Right?\When you die?\We don't fear death the way you humans do.\We live our lives to the fullest, so that we're never left with regrets.\Doesn't it hurt? response:	You're a kind-hearted child.
context: What do you mean?\We're going to turn into trees and moss and boulders when we die, too.\Right?\When you die?\We don't fear death the way you humans do.\We live our lives to the fullest, so that we're never left with regrets.\Doesn't it hurt?\You're a kind-hearted child. response:	We understand that what is given to us is the same
context: We're going to turn into trees and moss and boulders when we die, too.\Right?\When you die?\We don't fear death the way you humans do.\We live our lives to the fullest, so that we're never left with regrets.\Doesn't it hurt?\You're a kind-hearted child.\We understand that what is given to us is the same response:	as what is given to all who live on this planet.
context: Right?\When you die?\We don't fear death the way you humans do.\We live our lives to the fullest, so that we're never left with regrets.\Doesn't it hurt?\You're a kind-hearted child.\We understand that what is given to us is the same\as what is given to all who live on this planet. response:	Whether that's the joy or the pain of living, or the sadness or loneliness of dying.
context: When you die?\We don't fear death the way you humans do.\We live our lives to the fullest, so that we're never left with regrets.\Doesn't it hurt?\You're a kind-hearted child.\We understand that what is given to us is the same\as what is given to all who live on this planet.\Whether that's the joy or the pain of living, or the sadness or loneliness of dying. response:	Besides, I've lived for more than enough time.
context: We don't fear death the way you humans do.\We live our lives to the fullest, so that we're never left with regrets.\Doesn't it hurt?\You're a kind-hearted child.\We understand that what is given to us is the same\as what is given to all who live on this planet.\Whether that's the joy or the pain of living, or the sadness or loneliness of dying.\Besides, I've lived for more than enough time. response:	For a long, long time, even for a dragon.
context: We live our lives to the fullest, so that we're never left with regrets.\Doesn't it hurt?\You're a kind-hearted child.\We understand that what is given to us is the same\as what is given to all who live on this planet.\Whether that's the joy or the pain of living, or the sadness or loneliness of dying.\Besides, I've lived for more than enough time.\For a long, long time, even for a dragon. response:	Life will be handed down to the next generation.
