context: Can't sleep, Master? response:	I just came to check on you two.
context: Now we've staved off the immediate crisis.\Are you satisfied with that?\All I did was treat their symptoms. I didn't cure them.\They'll eventually go back to square one.\You're indeed right.\Not that I mind, since I'll make good money anyway.\Let's see what dies out first, you or your coffers.\We know that we can't let this go on! response:	But...
context: Are you satisfied with that?\All I did was treat their symptoms. I didn't cure them.\They'll eventually go back to square one.\You're indeed right.\Not that I mind, since I'll make good money anyway.\Let's see what dies out first, you or your coffers.\We know that we can't let this go on!\But... response:	There's nothing we can do.
context: All I did was treat their symptoms. I didn't cure them.\They'll eventually go back to square one.\You're indeed right.\Not that I mind, since I'll make good money anyway.\Let's see what dies out first, you or your coffers.\We know that we can't let this go on!\But...\There's nothing we can do. response:	What do you mean?
context: They'll eventually go back to square one.\You're indeed right.\Not that I mind, since I'll make good money anyway.\Let's see what dies out first, you or your coffers.\We know that we can't let this go on!\But...\There's nothing we can do.\What do you mean? response:	We believe the wind from the mountain that's home to monsters is the cause.
context: You're indeed right.\Not that I mind, since I'll make good money anyway.\Let's see what dies out first, you or your coffers.\We know that we can't let this go on!\But...\There's nothing we can do.\What do you mean?\We believe the wind from the mountain that's home to monsters is the cause. response:	The mountain that's home to monsters?
context: Not that I mind, since I'll make good money anyway.\Let's see what dies out first, you or your coffers.\We know that we can't let this go on!\But...\There's nothing we can do.\What do you mean?\We believe the wind from the mountain that's home to monsters is the cause.\The mountain that's home to monsters? response:	Around a month ago, a large dragon that nested there
context: Let's see what dies out first, you or your coffers.\We know that we can't let this go on!\But...\There's nothing we can do.\What do you mean?\We believe the wind from the mountain that's home to monsters is the cause.\The mountain that's home to monsters?\Around a month ago, a large dragon that nested there response:	was killed by the Sword Hero.
context: We know that we can't let this go on!\But...\There's nothing we can do.\What do you mean?\We believe the wind from the mountain that's home to monsters is the cause.\The mountain that's home to monsters?\Around a month ago, a large dragon that nested there\was killed by the Sword Hero. response:	Oh, I did hear rumors about that.
context: But...\There's nothing we can do.\What do you mean?\We believe the wind from the mountain that's home to monsters is the cause.\The mountain that's home to monsters?\Around a month ago, a large dragon that nested there\was killed by the Sword Hero.\Oh, I did hear rumors about that. response:	But what does that have to do with the plague?
context: There's nothing we can do.\What do you mean?\We believe the wind from the mountain that's home to monsters is the cause.\The mountain that's home to monsters?\Around a month ago, a large dragon that nested there\was killed by the Sword Hero.\Oh, I did hear rumors about that.\But what does that have to do with the plague? response:	In order to see the dragon's corpse and gather materials,
context: What do you mean?\We believe the wind from the mountain that's home to monsters is the cause.\The mountain that's home to monsters?\Around a month ago, a large dragon that nested there\was killed by the Sword Hero.\Oh, I did hear rumors about that.\But what does that have to do with the plague?\In order to see the dragon's corpse and gather materials, response:	many adventurers came to our village.
context: We believe the wind from the mountain that's home to monsters is the cause.\The mountain that's home to monsters?\Around a month ago, a large dragon that nested there\was killed by the Sword Hero.\Oh, I did hear rumors about that.\But what does that have to do with the plague?\In order to see the dragon's corpse and gather materials,\many adventurers came to our village. response:	That certainly did help the village flourish.
context: The mountain that's home to monsters?\Around a month ago, a large dragon that nested there\was killed by the Sword Hero.\Oh, I did hear rumors about that.\But what does that have to do with the plague?\In order to see the dragon's corpse and gather materials,\many adventurers came to our village.\That certainly did help the village flourish. response:	But one day, an adventurer collapsed, and more followed.
context: Around a month ago, a large dragon that nested there\was killed by the Sword Hero.\Oh, I did hear rumors about that.\But what does that have to do with the plague?\In order to see the dragon's corpse and gather materials,\many adventurers came to our village.\That certainly did help the village flourish.\But one day, an adventurer collapsed, and more followed. response:	The dragon's flesh must have begun to rot and emit some kind of poison.
context: was killed by the Sword Hero.\Oh, I did hear rumors about that.\But what does that have to do with the plague?\In order to see the dragon's corpse and gather materials,\many adventurers came to our village.\That certainly did help the village flourish.\But one day, an adventurer collapsed, and more followed.\The dragon's flesh must have begun to rot and emit some kind of poison. response:	Damn Ren.
context: Oh, I did hear rumors about that.\But what does that have to do with the plague?\In order to see the dragon's corpse and gather materials,\many adventurers came to our village.\That certainly did help the village flourish.\But one day, an adventurer collapsed, and more followed.\The dragon's flesh must have begun to rot and emit some kind of poison.\Damn Ren. response:	Even a high schooler like him should know that meat rots when you leave it out.
context: But what does that have to do with the plague?\In order to see the dragon's corpse and gather materials,\many adventurers came to our village.\That certainly did help the village flourish.\But one day, an adventurer collapsed, and more followed.\The dragon's flesh must have begun to rot and emit some kind of poison.\Damn Ren.\Even a high schooler like him should know that meat rots when you leave it out. response:	Actually, I guess it must've slipped his mind, since he thinks this world is a game.
context: In order to see the dragon's corpse and gather materials,\many adventurers came to our village.\That certainly did help the village flourish.\But one day, an adventurer collapsed, and more followed.\The dragon's flesh must have begun to rot and emit some kind of poison.\Damn Ren.\Even a high schooler like him should know that meat rots when you leave it out.\Actually, I guess it must've slipped his mind, since he thinks this world is a game. response:	If you know the cause, then why don't you get rid of it?
context: many adventurers came to our village.\That certainly did help the village flourish.\But one day, an adventurer collapsed, and more followed.\The dragon's flesh must have begun to rot and emit some kind of poison.\Damn Ren.\Even a high schooler like him should know that meat rots when you leave it out.\Actually, I guess it must've slipped his mind, since he thinks this world is a game.\If you know the cause, then why don't you get rid of it? response:	That mountain's filled with violent monsters, so only adventurers can go there.
context: That certainly did help the village flourish.\But one day, an adventurer collapsed, and more followed.\The dragon's flesh must have begun to rot and emit some kind of poison.\Damn Ren.\Even a high schooler like him should know that meat rots when you leave it out.\Actually, I guess it must've slipped his mind, since he thinks this world is a game.\If you know the cause, then why don't you get rid of it?\That mountain's filled with violent monsters, so only adventurers can go there. response:	We can't do anything about it.
context: But one day, an adventurer collapsed, and more followed.\The dragon's flesh must have begun to rot and emit some kind of poison.\Damn Ren.\Even a high schooler like him should know that meat rots when you leave it out.\Actually, I guess it must've slipped his mind, since he thinks this world is a game.\If you know the cause, then why don't you get rid of it?\That mountain's filled with violent monsters, so only adventurers can go there.\We can't do anything about it. response:	And perhaps due to the dragon's poison, the ecology there has changed, too.
context: The dragon's flesh must have begun to rot and emit some kind of poison.\Damn Ren.\Even a high schooler like him should know that meat rots when you leave it out.\Actually, I guess it must've slipped his mind, since he thinks this world is a game.\If you know the cause, then why don't you get rid of it?\That mountain's filled with violent monsters, so only adventurers can go there.\We can't do anything about it.\And perhaps due to the dragon's poison, the ecology there has changed, too. response:	The average adventurer cannot get anywhere near the corpse.
context: Damn Ren.\Even a high schooler like him should know that meat rots when you leave it out.\Actually, I guess it must've slipped his mind, since he thinks this world is a game.\If you know the cause, then why don't you get rid of it?\That mountain's filled with violent monsters, so only adventurers can go there.\We can't do anything about it.\And perhaps due to the dragon's poison, the ecology there has changed, too.\The average adventurer cannot get anywhere near the corpse. response:	Have you informed the royal court about this?
context: Even a high schooler like him should know that meat rots when you leave it out.\Actually, I guess it must've slipped his mind, since he thinks this world is a game.\If you know the cause, then why don't you get rid of it?\That mountain's filled with violent monsters, so only adventurers can go there.\We can't do anything about it.\And perhaps due to the dragon's poison, the ecology there has changed, too.\The average adventurer cannot get anywhere near the corpse.\Have you informed the royal court about this? response:	Yes. We're slated to receive a medicine delivery shortly.
context: Actually, I guess it must've slipped his mind, since he thinks this world is a game.\If you know the cause, then why don't you get rid of it?\That mountain's filled with violent monsters, so only adventurers can go there.\We can't do anything about it.\And perhaps due to the dragon's poison, the ecology there has changed, too.\The average adventurer cannot get anywhere near the corpse.\Have you informed the royal court about this?\Yes. We're slated to receive a medicine delivery shortly. response:	But they said the heroes are too busy to help for a while yet.
context: If you know the cause, then why don't you get rid of it?\That mountain's filled with violent monsters, so only adventurers can go there.\We can't do anything about it.\And perhaps due to the dragon's poison, the ecology there has changed, too.\The average adventurer cannot get anywhere near the corpse.\Have you informed the royal court about this?\Yes. We're slated to receive a medicine delivery shortly.\But they said the heroes are too busy to help for a while yet. response:	Is that so?
context: That mountain's filled with violent monsters, so only adventurers can go there.\We can't do anything about it.\And perhaps due to the dragon's poison, the ecology there has changed, too.\The average adventurer cannot get anywhere near the corpse.\Have you informed the royal court about this?\Yes. We're slated to receive a medicine delivery shortly.\But they said the heroes are too busy to help for a while yet.\Is that so? response:	Cancel the request you made to the court.
context: We can't do anything about it.\And perhaps due to the dragon's poison, the ecology there has changed, too.\The average adventurer cannot get anywhere near the corpse.\Have you informed the royal court about this?\Yes. We're slated to receive a medicine delivery shortly.\But they said the heroes are too busy to help for a while yet.\Is that so?\Cancel the request you made to the court. response:	Raphtalia...
context: And perhaps due to the dragon's poison, the ecology there has changed, too.\The average adventurer cannot get anywhere near the corpse.\Have you informed the royal court about this?\Yes. We're slated to receive a medicine delivery shortly.\But they said the heroes are too busy to help for a while yet.\Is that so?\Cancel the request you made to the court.\Raphtalia... response:	Prepare to set out.
context: The average adventurer cannot get anywhere near the corpse.\Have you informed the royal court about this?\Yes. We're slated to receive a medicine delivery shortly.\But they said the heroes are too busy to help for a while yet.\Is that so?\Cancel the request you made to the court.\Raphtalia...\Prepare to set out. response:	Right away!
context: Have you informed the royal court about this?\Yes. We're slated to receive a medicine delivery shortly.\But they said the heroes are too busy to help for a while yet.\Is that so?\Cancel the request you made to the court.\Raphtalia...\Prepare to set out.\Right away! response:	Wait, are you planning to go yourself?
context: Yes. We're slated to receive a medicine delivery shortly.\But they said the heroes are too busy to help for a while yet.\Is that so?\Cancel the request you made to the court.\Raphtalia...\Prepare to set out.\Right away!\Wait, are you planning to go yourself? response:	It's too dangerous!
context: But they said the heroes are too busy to help for a while yet.\Is that so?\Cancel the request you made to the court.\Raphtalia...\Prepare to set out.\Right away!\Wait, are you planning to go yourself?\It's too dangerous! response:	Don't worry. We're used to danger.
context: Is that so?\Cancel the request you made to the court.\Raphtalia...\Prepare to set out.\Right away!\Wait, are you planning to go yourself?\It's too dangerous!\Don't worry. We're used to danger. response:	I can't find the words to express our gratitude.
context: Cancel the request you made to the court.\Raphtalia...\Prepare to set out.\Right away!\Wait, are you planning to go yourself?\It's too dangerous!\Don't worry. We're used to danger.\I can't find the words to express our gratitude. response:	Keep your thanks.
context: Raphtalia...\Prepare to set out.\Right away!\Wait, are you planning to go yourself?\It's too dangerous!\Don't worry. We're used to danger.\I can't find the words to express our gratitude.\Keep your thanks. response:	What I want is money.
context: Prepare to set out.\Right away!\Wait, are you planning to go yourself?\It's too dangerous!\Don't worry. We're used to danger.\I can't find the words to express our gratitude.\Keep your thanks.\What I want is money. response:	Five hundred silvers will cover it.
context: Right away!\Wait, are you planning to go yourself?\It's too dangerous!\Don't worry. We're used to danger.\I can't find the words to express our gratitude.\Keep your thanks.\What I want is money.\Five hundred silvers will cover it. response:	Five hundred? That's too much!
context: Wait, are you planning to go yourself?\It's too dangerous!\Don't worry. We're used to danger.\I can't find the words to express our gratitude.\Keep your thanks.\What I want is money.\Five hundred silvers will cover it.\Five hundred? That's too much! response:	That includes hazard pay.
context: It's too dangerous!\Don't worry. We're used to danger.\I can't find the words to express our gratitude.\Keep your thanks.\What I want is money.\Five hundred silvers will cover it.\Five hundred? That's too much!\That includes hazard pay. response:	You can just pay me what you were going to pay the court.
context: Don't worry. We're used to danger.\I can't find the words to express our gratitude.\Keep your thanks.\What I want is money.\Five hundred silvers will cover it.\Five hundred? That's too much!\That includes hazard pay.\You can just pay me what you were going to pay the court. response:	Savior, my foot. He's just a money-grubber.
context: I can't find the words to express our gratitude.\Keep your thanks.\What I want is money.\Five hundred silvers will cover it.\Five hundred? That's too much!\That includes hazard pay.\You can just pay me what you were going to pay the court.\Savior, my foot. He's just a money-grubber. response:	Stop that!
context: Keep your thanks.\What I want is money.\Five hundred silvers will cover it.\Five hundred? That's too much!\That includes hazard pay.\You can just pay me what you were going to pay the court.\Savior, my foot. He's just a money-grubber.\Stop that! response:	I don't recall ever calling myself a savior.
context: What I want is money.\Five hundred silvers will cover it.\Five hundred? That's too much!\That includes hazard pay.\You can just pay me what you were going to pay the court.\Savior, my foot. He's just a money-grubber.\Stop that!\I don't recall ever calling myself a savior. response:	You're deliberately trying to make them hate you, aren't you, Naofumi-sama?
context: Five hundred silvers will cover it.\Five hundred? That's too much!\That includes hazard pay.\You can just pay me what you were going to pay the court.\Savior, my foot. He's just a money-grubber.\Stop that!\I don't recall ever calling myself a savior.\You're deliberately trying to make them hate you, aren't you, Naofumi-sama? response:	Chimera Viper Shield Poison Resistance (Med)
context: Five hundred? That's too much!\That includes hazard pay.\You can just pay me what you were going to pay the court.\Savior, my foot. He's just a money-grubber.\Stop that!\I don't recall ever calling myself a savior.\You're deliberately trying to make them hate you, aren't you, Naofumi-sama?\Chimera Viper Shield Poison Resistance (Med) response:	Anyway, I know we're dealing with a dragon here,
context: That includes hazard pay.\You can just pay me what you were going to pay the court.\Savior, my foot. He's just a money-grubber.\Stop that!\I don't recall ever calling myself a savior.\You're deliberately trying to make them hate you, aren't you, Naofumi-sama?\Chimera Viper Shield Poison Resistance (Med)\Anyway, I know we're dealing with a dragon here, response:	but this is a huge loadout.
context: You can just pay me what you were going to pay the court.\Savior, my foot. He's just a money-grubber.\Stop that!\I don't recall ever calling myself a savior.\You're deliberately trying to make them hate you, aren't you, Naofumi-sama?\Chimera Viper Shield Poison Resistance (Med)\Anyway, I know we're dealing with a dragon here,\but this is a huge loadout. response:	We had to take the wagon either way.
context: Savior, my foot. He's just a money-grubber.\Stop that!\I don't recall ever calling myself a savior.\You're deliberately trying to make them hate you, aren't you, Naofumi-sama?\Chimera Viper Shield Poison Resistance (Med)\Anyway, I know we're dealing with a dragon here,\but this is a huge loadout.\We had to take the wagon either way. response:	A little more luggage is no problem.
context: Stop that!\I don't recall ever calling myself a savior.\You're deliberately trying to make them hate you, aren't you, Naofumi-sama?\Chimera Viper Shield Poison Resistance (Med)\Anyway, I know we're dealing with a dragon here,\but this is a huge loadout.\We had to take the wagon either way.\A little more luggage is no problem. response:	We could've traveled lighter if Filo hadn't thrown a tantrum.
context: I don't recall ever calling myself a savior.\You're deliberately trying to make them hate you, aren't you, Naofumi-sama?\Chimera Viper Shield Poison Resistance (Med)\Anyway, I know we're dealing with a dragon here,\but this is a huge loadout.\We had to take the wagon either way.\A little more luggage is no problem.\We could've traveled lighter if Filo hadn't thrown a tantrum. response:	I've made a lifetime's worth of memories with this wagon.
context: You're deliberately trying to make them hate you, aren't you, Naofumi-sama?\Chimera Viper Shield Poison Resistance (Med)\Anyway, I know we're dealing with a dragon here,\but this is a huge loadout.\We had to take the wagon either way.\A little more luggage is no problem.\We could've traveled lighter if Filo hadn't thrown a tantrum.\I've made a lifetime's worth of memories with this wagon. response:	I don't wanna leave it behind!
context: Chimera Viper Shield Poison Resistance (Med)\Anyway, I know we're dealing with a dragon here,\but this is a huge loadout.\We had to take the wagon either way.\A little more luggage is no problem.\We could've traveled lighter if Filo hadn't thrown a tantrum.\I've made a lifetime's worth of memories with this wagon.\I don't wanna leave it behind! response:	Yeah, your lifetime of one whole month.
context: Anyway, I know we're dealing with a dragon here,\but this is a huge loadout.\We had to take the wagon either way.\A little more luggage is no problem.\We could've traveled lighter if Filo hadn't thrown a tantrum.\I've made a lifetime's worth of memories with this wagon.\I don't wanna leave it behind!\Yeah, your lifetime of one whole month. response:	I don't know what to do about Filo's selfishness.
context: but this is a huge loadout.\We had to take the wagon either way.\A little more luggage is no problem.\We could've traveled lighter if Filo hadn't thrown a tantrum.\I've made a lifetime's worth of memories with this wagon.\I don't wanna leave it behind!\Yeah, your lifetime of one whole month.\I don't know what to do about Filo's selfishness. response:	Actually, it might've been a pretty good idea.
context: We had to take the wagon either way.\A little more luggage is no problem.\We could've traveled lighter if Filo hadn't thrown a tantrum.\I've made a lifetime's worth of memories with this wagon.\I don't wanna leave it behind!\Yeah, your lifetime of one whole month.\I don't know what to do about Filo's selfishness.\Actually, it might've been a pretty good idea. response:	We'll never get anywhere if we try to fight them all.
context: A little more luggage is no problem.\We could've traveled lighter if Filo hadn't thrown a tantrum.\I've made a lifetime's worth of memories with this wagon.\I don't wanna leave it behind!\Yeah, your lifetime of one whole month.\I don't know what to do about Filo's selfishness.\Actually, it might've been a pretty good idea.\We'll never get anywhere if we try to fight them all. response:	As Shield Hero, source of thy power, I order thee.
context: We could've traveled lighter if Filo hadn't thrown a tantrum.\I've made a lifetime's worth of memories with this wagon.\I don't wanna leave it behind!\Yeah, your lifetime of one whole month.\I don't know what to do about Filo's selfishness.\Actually, it might've been a pretty good idea.\We'll never get anywhere if we try to fight them all.\As Shield Hero, source of thy power, I order thee. response:	Decipher the laws of nature and defend my target.
context: I've made a lifetime's worth of memories with this wagon.\I don't wanna leave it behind!\Yeah, your lifetime of one whole month.\I don't know what to do about Filo's selfishness.\Actually, it might've been a pretty good idea.\We'll never get anywhere if we try to fight them all.\As Shield Hero, source of thy power, I order thee.\Decipher the laws of nature and defend my target. response:	Fast Guard!
context: I don't wanna leave it behind!\Yeah, your lifetime of one whole month.\I don't know what to do about Filo's selfishness.\Actually, it might've been a pretty good idea.\We'll never get anywhere if we try to fight them all.\As Shield Hero, source of thy power, I order thee.\Decipher the laws of nature and defend my target.\Fast Guard! response:	Run right through them, Filo!
context: Yeah, your lifetime of one whole month.\I don't know what to do about Filo's selfishness.\Actually, it might've been a pretty good idea.\We'll never get anywhere if we try to fight them all.\As Shield Hero, source of thy power, I order thee.\Decipher the laws of nature and defend my target.\Fast Guard!\Run right through them, Filo! response:	'Kay!
context: I don't know what to do about Filo's selfishness.\Actually, it might've been a pretty good idea.\We'll never get anywhere if we try to fight them all.\As Shield Hero, source of thy power, I order thee.\Decipher the laws of nature and defend my target.\Fast Guard!\Run right through them, Filo!\'Kay! response:	The air here is stagnant.
context: Actually, it might've been a pretty good idea.\We'll never get anywhere if we try to fight them all.\As Shield Hero, source of thy power, I order thee.\Decipher the laws of nature and defend my target.\Fast Guard!\Run right through them, Filo!\'Kay!\The air here is stagnant. response:	Stay back if you're having a hard time.
context: We'll never get anywhere if we try to fight them all.\As Shield Hero, source of thy power, I order thee.\Decipher the laws of nature and defend my target.\Fast Guard!\Run right through them, Filo!\'Kay!\The air here is stagnant.\Stay back if you're having a hard time. response:	No, I'll be fine.
context: As Shield Hero, source of thy power, I order thee.\Decipher the laws of nature and defend my target.\Fast Guard!\Run right through them, Filo!\'Kay!\The air here is stagnant.\Stay back if you're having a hard time.\No, I'll be fine. response:	I see.
context: Decipher the laws of nature and defend my target.\Fast Guard!\Run right through them, Filo!\'Kay!\The air here is stagnant.\Stay back if you're having a hard time.\No, I'll be fine.\I see. response:	But man, we should've eaten before coming here.
context: Fast Guard!\Run right through them, Filo!\'Kay!\The air here is stagnant.\Stay back if you're having a hard time.\No, I'll be fine.\I see.\But man, we should've eaten before coming here. response:	Looking at this is making me lose my appetite.
context: Run right through them, Filo!\'Kay!\The air here is stagnant.\Stay back if you're having a hard time.\No, I'll be fine.\I see.\But man, we should've eaten before coming here.\Looking at this is making me lose my appetite. response:	Looking at it made me hungry.
