context: The bath feels great! response:	It feels great to travel by ship once in a while.
context: A future emperor, who would someday carve out his own empire and reign over the world.\His name is Akatsuki Kojou!\Ugh, I feel like shit.\I just got back from the mainland, and I already have school.\Oh, Kojou-kun. Good morning.\Actually, put on some clothes already.\Walking around naked in front of a teenage girl is a crime, you know?\My bad. response:	Geez. If you're looking for your shirt, it's on the dining table chair!
context: His name is Akatsuki Kojou!\Ugh, I feel like shit.\I just got back from the mainland, and I already have school.\Oh, Kojou-kun. Good morning.\Actually, put on some clothes already.\Walking around naked in front of a teenage girl is a crime, you know?\My bad.\Geez. If you're looking for your shirt, it's on the dining table chair! response:	Hurry up and get dressed!
context: Ugh, I feel like shit.\I just got back from the mainland, and I already have school.\Oh, Kojou-kun. Good morning.\Actually, put on some clothes already.\Walking around naked in front of a teenage girl is a crime, you know?\My bad.\Geez. If you're looking for your shirt, it's on the dining table chair!\Hurry up and get dressed! response:	Fine, fine. You should do that too.
context: I just got back from the mainland, and I already have school.\Oh, Kojou-kun. Good morning.\Actually, put on some clothes already.\Walking around naked in front of a teenage girl is a crime, you know?\My bad.\Geez. If you're looking for your shirt, it's on the dining table chair!\Hurry up and get dressed!\Fine, fine. You should do that too. response:	D-Did you see?
context: Oh, Kojou-kun. Good morning.\Actually, put on some clothes already.\Walking around naked in front of a teenage girl is a crime, you know?\My bad.\Geez. If you're looking for your shirt, it's on the dining table chair!\Hurry up and get dressed!\Fine, fine. You should do that too.\D-Did you see? response:	Huh? We're out of milk?
context: Actually, put on some clothes already.\Walking around naked in front of a teenage girl is a crime, you know?\My bad.\Geez. If you're looking for your shirt, it's on the dining table chair!\Hurry up and get dressed!\Fine, fine. You should do that too.\D-Did you see?\Huh? We're out of milk? response:	No reaction!?
context: Walking around naked in front of a teenage girl is a crime, you know?\My bad.\Geez. If you're looking for your shirt, it's on the dining table chair!\Hurry up and get dressed!\Fine, fine. You should do that too.\D-Did you see?\Huh? We're out of milk?\No reaction!? response:	I used up the last of the milk to make scrambled eggs earlier.
context: My bad.\Geez. If you're looking for your shirt, it's on the dining table chair!\Hurry up and get dressed!\Fine, fine. You should do that too.\D-Did you see?\Huh? We're out of milk?\No reaction!?\I used up the last of the milk to make scrambled eggs earlier. response:	Seriously? I was looking forward to drinking some.
context: Geez. If you're looking for your shirt, it's on the dining table chair!\Hurry up and get dressed!\Fine, fine. You should do that too.\D-Did you see?\Huh? We're out of milk?\No reaction!?\I used up the last of the milk to make scrambled eggs earlier.\Seriously? I was looking forward to drinking some. response:	Oh well. I guess I'll go buy some.
context: Hurry up and get dressed!\Fine, fine. You should do that too.\D-Did you see?\Huh? We're out of milk?\No reaction!?\I used up the last of the milk to make scrambled eggs earlier.\Seriously? I was looking forward to drinking some.\Oh well. I guess I'll go buy some. response:	I just hope the shops received their stock for today.
context: Fine, fine. You should do that too.\D-Did you see?\Huh? We're out of milk?\No reaction!?\I used up the last of the milk to make scrambled eggs earlier.\Seriously? I was looking forward to drinking some.\Oh well. I guess I'll go buy some.\I just hope the shops received their stock for today. response:	Logistics take a big hit due to successive cancellations of cargo ships.
context: D-Did you see?\Huh? We're out of milk?\No reaction!?\I used up the last of the milk to make scrambled eggs earlier.\Seriously? I was looking forward to drinking some.\Oh well. I guess I'll go buy some.\I just hope the shops received their stock for today.\Logistics take a big hit due to successive cancellations of cargo ships. response:	Oh yeah, there as some accident involving cargo ships, right?
context: Huh? We're out of milk?\No reaction!?\I used up the last of the milk to make scrambled eggs earlier.\Seriously? I was looking forward to drinking some.\Oh well. I guess I'll go buy some.\I just hope the shops received their stock for today.\Logistics take a big hit due to successive cancellations of cargo ships.\Oh yeah, there as some accident involving cargo ships, right? response:	It's been happening a lot lately.
context: No reaction!?\I used up the last of the milk to make scrambled eggs earlier.\Seriously? I was looking forward to drinking some.\Oh well. I guess I'll go buy some.\I just hope the shops received their stock for today.\Logistics take a big hit due to successive cancellations of cargo ships.\Oh yeah, there as some accident involving cargo ships, right?\It's been happening a lot lately. response:	Thanks to that, fresh foodstuffs go out of stock so quickly.
context: I used up the last of the milk to make scrambled eggs earlier.\Seriously? I was looking forward to drinking some.\Oh well. I guess I'll go buy some.\I just hope the shops received their stock for today.\Logistics take a big hit due to successive cancellations of cargo ships.\Oh yeah, there as some accident involving cargo ships, right?\It's been happening a lot lately.\Thanks to that, fresh foodstuffs go out of stock so quickly. response:	Not much we can do about that. This is an artificial island, after all.
context: Seriously? I was looking forward to drinking some.\Oh well. I guess I'll go buy some.\I just hope the shops received their stock for today.\Logistics take a big hit due to successive cancellations of cargo ships.\Oh yeah, there as some accident involving cargo ships, right?\It's been happening a lot lately.\Thanks to that, fresh foodstuffs go out of stock so quickly.\Not much we can do about that. This is an artificial island, after all. response:	I'll hit up a few stores on my way back from school with Himeragi and search for some.
context: Oh well. I guess I'll go buy some.\I just hope the shops received their stock for today.\Logistics take a big hit due to successive cancellations of cargo ships.\Oh yeah, there as some accident involving cargo ships, right?\It's been happening a lot lately.\Thanks to that, fresh foodstuffs go out of stock so quickly.\Not much we can do about that. This is an artificial island, after all.\I'll hit up a few stores on my way back from school with Himeragi and search for some. response:	You're... walking back with Yukina-chan again today?
context: I just hope the shops received their stock for today.\Logistics take a big hit due to successive cancellations of cargo ships.\Oh yeah, there as some accident involving cargo ships, right?\It's been happening a lot lately.\Thanks to that, fresh foodstuffs go out of stock so quickly.\Not much we can do about that. This is an artificial island, after all.\I'll hit up a few stores on my way back from school with Himeragi and search for some.\You're... walking back with Yukina-chan again today? response:	Hmm? Why shouldn't I?
context: Logistics take a big hit due to successive cancellations of cargo ships.\Oh yeah, there as some accident involving cargo ships, right?\It's been happening a lot lately.\Thanks to that, fresh foodstuffs go out of stock so quickly.\Not much we can do about that. This is an artificial island, after all.\I'll hit up a few stores on my way back from school with Himeragi and search for some.\You're... walking back with Yukina-chan again today?\Hmm? Why shouldn't I? response:	N-No! Not at all!
context: Oh yeah, there as some accident involving cargo ships, right?\It's been happening a lot lately.\Thanks to that, fresh foodstuffs go out of stock so quickly.\Not much we can do about that. This is an artificial island, after all.\I'll hit up a few stores on my way back from school with Himeragi and search for some.\You're... walking back with Yukina-chan again today?\Hmm? Why shouldn't I?\N-No! Not at all! response:	Nagisa-chan said that?
context: It's been happening a lot lately.\Thanks to that, fresh foodstuffs go out of stock so quickly.\Not much we can do about that. This is an artificial island, after all.\I'll hit up a few stores on my way back from school with Himeragi and search for some.\You're... walking back with Yukina-chan again today?\Hmm? Why shouldn't I?\N-No! Not at all!\Nagisa-chan said that? response:	She's been acting strangely ever since we got back from the mainland.
context: Thanks to that, fresh foodstuffs go out of stock so quickly.\Not much we can do about that. This is an artificial island, after all.\I'll hit up a few stores on my way back from school with Himeragi and search for some.\You're... walking back with Yukina-chan again today?\Hmm? Why shouldn't I?\N-No! Not at all!\Nagisa-chan said that?\She's been acting strangely ever since we got back from the mainland. response:	I can't really explain it well, though...
context: Not much we can do about that. This is an artificial island, after all.\I'll hit up a few stores on my way back from school with Himeragi and search for some.\You're... walking back with Yukina-chan again today?\Hmm? Why shouldn't I?\N-No! Not at all!\Nagisa-chan said that?\She's been acting strangely ever since we got back from the mainland.\I can't really explain it well, though... response:	She went through a lot back then, so she might still be in shock.
context: I'll hit up a few stores on my way back from school with Himeragi and search for some.\You're... walking back with Yukina-chan again today?\Hmm? Why shouldn't I?\N-No! Not at all!\Nagisa-chan said that?\She's been acting strangely ever since we got back from the mainland.\I can't really explain it well, though...\She went through a lot back then, so she might still be in shock. response:	A lot of stuff did happen...
context: You're... walking back with Yukina-chan again today?\Hmm? Why shouldn't I?\N-No! Not at all!\Nagisa-chan said that?\She's been acting strangely ever since we got back from the mainland.\I can't really explain it well, though...\She went through a lot back then, so she might still be in shock.\A lot of stuff did happen... response:	Even Asagi finally found out about my secret.
context: Hmm? Why shouldn't I?\N-No! Not at all!\Nagisa-chan said that?\She's been acting strangely ever since we got back from the mainland.\I can't really explain it well, though...\She went through a lot back then, so she might still be in shock.\A lot of stuff did happen...\Even Asagi finally found out about my secret. response:	That reminds me, is she okay?
context: N-No! Not at all!\Nagisa-chan said that?\She's been acting strangely ever since we got back from the mainland.\I can't really explain it well, though...\She went through a lot back then, so she might still be in shock.\A lot of stuff did happen...\Even Asagi finally found out about my secret.\That reminds me, is she okay? response:	More or less. She interrogated me non-stop on our way back.
context: Nagisa-chan said that?\She's been acting strangely ever since we got back from the mainland.\I can't really explain it well, though...\She went through a lot back then, so she might still be in shock.\A lot of stuff did happen...\Even Asagi finally found out about my secret.\That reminds me, is she okay?\More or less. She interrogated me non-stop on our way back. response:	I ended up having to tell her everything.
context: She's been acting strangely ever since we got back from the mainland.\I can't really explain it well, though...\She went through a lot back then, so she might still be in shock.\A lot of stuff did happen...\Even Asagi finally found out about my secret.\That reminds me, is she okay?\More or less. She interrogated me non-stop on our way back.\I ended up having to tell her everything. response:	Oh yeah, I had to tell her about you as well.
context: I can't really explain it well, though...\She went through a lot back then, so she might still be in shock.\A lot of stuff did happen...\Even Asagi finally found out about my secret.\That reminds me, is she okay?\More or less. She interrogated me non-stop on our way back.\I ended up having to tell her everything.\Oh yeah, I had to tell her about you as well. response:	So I told her about the Lion King Organization and stuff... Is that a problem?
context: She went through a lot back then, so she might still be in shock.\A lot of stuff did happen...\Even Asagi finally found out about my secret.\That reminds me, is she okay?\More or less. She interrogated me non-stop on our way back.\I ended up having to tell her everything.\Oh yeah, I had to tell her about you as well.\So I told her about the Lion King Organization and stuff... Is that a problem? response:	I don't think so. I've received permission to reveal my identity based on the circumstances.
context: A lot of stuff did happen...\Even Asagi finally found out about my secret.\That reminds me, is she okay?\More or less. She interrogated me non-stop on our way back.\I ended up having to tell her everything.\Oh yeah, I had to tell her about you as well.\So I told her about the Lion King Organization and stuff... Is that a problem?\I don't think so. I've received permission to reveal my identity based on the circumstances. response:	I see. I explained to her that you're stuck with me because that's your job.
context: Even Asagi finally found out about my secret.\That reminds me, is she okay?\More or less. She interrogated me non-stop on our way back.\I ended up having to tell her everything.\Oh yeah, I had to tell her about you as well.\So I told her about the Lion King Organization and stuff... Is that a problem?\I don't think so. I've received permission to reveal my identity based on the circumstances.\I see. I explained to her that you're stuck with me because that's your job. response:	Stuck with you?
context: That reminds me, is she okay?\More or less. She interrogated me non-stop on our way back.\I ended up having to tell her everything.\Oh yeah, I had to tell her about you as well.\So I told her about the Lion King Organization and stuff... Is that a problem?\I don't think so. I've received permission to reveal my identity based on the circumstances.\I see. I explained to her that you're stuck with me because that's your job.\Stuck with you? response:	I see.
context: More or less. She interrogated me non-stop on our way back.\I ended up having to tell her everything.\Oh yeah, I had to tell her about you as well.\So I told her about the Lion King Organization and stuff... Is that a problem?\I don't think so. I've received permission to reveal my identity based on the circumstances.\I see. I explained to her that you're stuck with me because that's your job.\Stuck with you?\I see. response:	Huh? What's wrong, Himeragi?
context: I ended up having to tell her everything.\Oh yeah, I had to tell her about you as well.\So I told her about the Lion King Organization and stuff... Is that a problem?\I don't think so. I've received permission to reveal my identity based on the circumstances.\I see. I explained to her that you're stuck with me because that's your job.\Stuck with you?\I see.\Huh? What's wrong, Himeragi? response:	Senpai, you're really insensitive, aren't you?
context: Oh yeah, I had to tell her about you as well.\So I told her about the Lion King Organization and stuff... Is that a problem?\I don't think so. I've received permission to reveal my identity based on the circumstances.\I see. I explained to her that you're stuck with me because that's your job.\Stuck with you?\I see.\Huh? What's wrong, Himeragi?\Senpai, you're really insensitive, aren't you? response:	I already knew that, but still.
context: So I told her about the Lion King Organization and stuff... Is that a problem?\I don't think so. I've received permission to reveal my identity based on the circumstances.\I see. I explained to her that you're stuck with me because that's your job.\Stuck with you?\I see.\Huh? What's wrong, Himeragi?\Senpai, you're really insensitive, aren't you?\I already knew that, but still. response:	Huh? Himeragi! Hang on!
context: I don't think so. I've received permission to reveal my identity based on the circumstances.\I see. I explained to her that you're stuck with me because that's your job.\Stuck with you?\I see.\Huh? What's wrong, Himeragi?\Senpai, you're really insensitive, aren't you?\I already knew that, but still.\Huh? Himeragi! Hang on! response:	What the hell? Both Nagisa and Himeragi are acting weird early in the morning.
context: I see. I explained to her that you're stuck with me because that's your job.\Stuck with you?\I see.\Huh? What's wrong, Himeragi?\Senpai, you're really insensitive, aren't you?\I already knew that, but still.\Huh? Himeragi! Hang on!\What the hell? Both Nagisa and Himeragi are acting weird early in the morning. response:	Good morning, Fourth Progenitor.
context: Stuck with you?\I see.\Huh? What's wrong, Himeragi?\Senpai, you're really insensitive, aren't you?\I already knew that, but still.\Huh? Himeragi! Hang on!\What the hell? Both Nagisa and Himeragi are acting weird early in the morning.\Good morning, Fourth Progenitor. response:	H-Hey!
context: I see.\Huh? What's wrong, Himeragi?\Senpai, you're really insensitive, aren't you?\I already knew that, but still.\Huh? Himeragi! Hang on!\What the hell? Both Nagisa and Himeragi are acting weird early in the morning.\Good morning, Fourth Progenitor.\H-Hey! response:	Just kidding.
context: Huh? What's wrong, Himeragi?\Senpai, you're really insensitive, aren't you?\I already knew that, but still.\Huh? Himeragi! Hang on!\What the hell? Both Nagisa and Himeragi are acting weird early in the morning.\Good morning, Fourth Progenitor.\H-Hey!\Just kidding. response:	Good morning, Kojou.
context: Senpai, you're really insensitive, aren't you?\I already knew that, but still.\Huh? Himeragi! Hang on!\What the hell? Both Nagisa and Himeragi are acting weird early in the morning.\Good morning, Fourth Progenitor.\H-Hey!\Just kidding.\Good morning, Kojou. response:	Morning.
context: I already knew that, but still.\Huh? Himeragi! Hang on!\What the hell? Both Nagisa and Himeragi are acting weird early in the morning.\Good morning, Fourth Progenitor.\H-Hey!\Just kidding.\Good morning, Kojou.\Morning. response:	I see the two of you already have a weird mood going right from the morning.
context: Huh? Himeragi! Hang on!\What the hell? Both Nagisa and Himeragi are acting weird early in the morning.\Good morning, Fourth Progenitor.\H-Hey!\Just kidding.\Good morning, Kojou.\Morning.\I see the two of you already have a weird mood going right from the morning. response:	Hi there, Rin.
context: What the hell? Both Nagisa and Himeragi are acting weird early in the morning.\Good morning, Fourth Progenitor.\H-Hey!\Just kidding.\Good morning, Kojou.\Morning.\I see the two of you already have a weird mood going right from the morning.\Hi there, Rin. response:	W-We don't really have a weird mood or anything. Right, Asagi?
context: Good morning, Fourth Progenitor.\H-Hey!\Just kidding.\Good morning, Kojou.\Morning.\I see the two of you already have a weird mood going right from the morning.\Hi there, Rin.\W-We don't really have a weird mood or anything. Right, Asagi? response:	T-That's right!
context: H-Hey!\Just kidding.\Good morning, Kojou.\Morning.\I see the two of you already have a weird mood going right from the morning.\Hi there, Rin.\W-We don't really have a weird mood or anything. Right, Asagi?\T-That's right! response:	The two of us just got back from the mainland, so we're tired. In more ways than one.
context: Just kidding.\Good morning, Kojou.\Morning.\I see the two of you already have a weird mood going right from the morning.\Hi there, Rin.\W-We don't really have a weird mood or anything. Right, Asagi?\T-That's right!\The two of us just got back from the mainland, so we're tired. In more ways than one. response:	Eh? The two of you went to the mainland? Don't tell me...
context: Good morning, Kojou.\Morning.\I see the two of you already have a weird mood going right from the morning.\Hi there, Rin.\W-We don't really have a weird mood or anything. Right, Asagi?\T-That's right!\The two of us just got back from the mainland, so we're tired. In more ways than one.\Eh? The two of you went to the mainland? Don't tell me... response:	Kojou, you idiot!
context: Morning.\I see the two of you already have a weird mood going right from the morning.\Hi there, Rin.\W-We don't really have a weird mood or anything. Right, Asagi?\T-That's right!\The two of us just got back from the mainland, so we're tired. In more ways than one.\Eh? The two of you went to the mainland? Don't tell me...\Kojou, you idiot! response:	That's not what he meant, okay?
context: I see the two of you already have a weird mood going right from the morning.\Hi there, Rin.\W-We don't really have a weird mood or anything. Right, Asagi?\T-That's right!\The two of us just got back from the mainland, so we're tired. In more ways than one.\Eh? The two of you went to the mainland? Don't tell me...\Kojou, you idiot!\That's not what he meant, okay? response:	It's not what you're thinking at all!
context: Hi there, Rin.\W-We don't really have a weird mood or anything. Right, Asagi?\T-That's right!\The two of us just got back from the mainland, so we're tired. In more ways than one.\Eh? The two of you went to the mainland? Don't tell me...\Kojou, you idiot!\That's not what he meant, okay?\It's not what you're thinking at all! response:	Really?
context: W-We don't really have a weird mood or anything. Right, Asagi?\T-That's right!\The two of us just got back from the mainland, so we're tired. In more ways than one.\Eh? The two of you went to the mainland? Don't tell me...\Kojou, you idiot!\That's not what he meant, okay?\It's not what you're thinking at all!\Really? response:	'Sup.
context: T-That's right!\The two of us just got back from the mainland, so we're tired. In more ways than one.\Eh? The two of you went to the mainland? Don't tell me...\Kojou, you idiot!\That's not what he meant, okay?\It's not what you're thinking at all!\Really?\'Sup. response:	What're you guys fighting about so early in the morning?
context: The two of us just got back from the mainland, so we're tired. In more ways than one.\Eh? The two of you went to the mainland? Don't tell me...\Kojou, you idiot!\That's not what he meant, okay?\It's not what you're thinking at all!\Really?\'Sup.\What're you guys fighting about so early in the morning? response:	Nothing!
context: Eh? The two of you went to the mainland? Don't tell me...\Kojou, you idiot!\That's not what he meant, okay?\It's not what you're thinking at all!\Really?\'Sup.\What're you guys fighting about so early in the morning?\Nothing! response:	Huh? Well, that's fine.
context: Kojou, you idiot!\That's not what he meant, okay?\It's not what you're thinking at all!\Really?\'Sup.\What're you guys fighting about so early in the morning?\Nothing!\Huh? Well, that's fine. response:	Here you go, a souvenir from Tokyo. Hope you like it.
context: That's not what he meant, okay?\It's not what you're thinking at all!\Really?\'Sup.\What're you guys fighting about so early in the morning?\Nothing!\Huh? Well, that's fine.\Here you go, a souvenir from Tokyo. Hope you like it. response:	Oh, you went to the mainland as well?
context: It's not what you're thinking at all!\Really?\'Sup.\What're you guys fighting about so early in the morning?\Nothing!\Huh? Well, that's fine.\Here you go, a souvenir from Tokyo. Hope you like it.\Oh, you went to the mainland as well? response:	Well, a lot of stuff happened.
context: Really?\'Sup.\What're you guys fighting about so early in the morning?\Nothing!\Huh? Well, that's fine.\Here you go, a souvenir from Tokyo. Hope you like it.\Oh, you went to the mainland as well?\Well, a lot of stuff happened. response:	I'm exhausted.
context: 'Sup.\What're you guys fighting about so early in the morning?\Nothing!\Huh? Well, that's fine.\Here you go, a souvenir from Tokyo. Hope you like it.\Oh, you went to the mainland as well?\Well, a lot of stuff happened.\I'm exhausted. response:	Well, I'm just glad all three of you came back safely.
context: What're you guys fighting about so early in the morning?\Nothing!\Huh? Well, that's fine.\Here you go, a souvenir from Tokyo. Hope you like it.\Oh, you went to the mainland as well?\Well, a lot of stuff happened.\I'm exhausted.\Well, I'm just glad all three of you came back safely. response:	Safely?
context: Nothing!\Huh? Well, that's fine.\Here you go, a souvenir from Tokyo. Hope you like it.\Oh, you went to the mainland as well?\Well, a lot of stuff happened.\I'm exhausted.\Well, I'm just glad all three of you came back safely.\Safely? response:	Akatsuki-kun, didn't you notice anything after seeing this classroom?
