context: Once upon a time, there was a sad love that would never be requited. response:	But that alone does not give birth to a story.
context: What?\What a wildly fantastical dream!\That's the spirit, Ahiru!\Recklessness is one of your good points!\Better to dream big!\That way, your failures will be bigger too!\There's nothing you can't do if you work hard at it!\For normal people, that is! response:	Well... For now, you have to get out of the probationary class.
context: What a wildly fantastical dream!\That's the spirit, Ahiru!\Recklessness is one of your good points!\Better to dream big!\That way, your failures will be bigger too!\There's nothing you can't do if you work hard at it!\For normal people, that is!\Well... For now, you have to get out of the probationary class. response:	That's right...
context: That's the spirit, Ahiru!\Recklessness is one of your good points!\Better to dream big!\That way, your failures will be bigger too!\There's nothing you can't do if you work hard at it!\For normal people, that is!\Well... For now, you have to get out of the probationary class.\That's right... response:	When I'm Princess Tutu, I can dance any dance I want to.
context: Recklessness is one of your good points!\Better to dream big!\That way, your failures will be bigger too!\There's nothing you can't do if you work hard at it!\For normal people, that is!\Well... For now, you have to get out of the probationary class.\That's right...\When I'm Princess Tutu, I can dance any dance I want to. response:	But is that me?
context: Better to dream big!\That way, your failures will be bigger too!\There's nothing you can't do if you work hard at it!\For normal people, that is!\Well... For now, you have to get out of the probationary class.\That's right...\When I'm Princess Tutu, I can dance any dance I want to.\But is that me? response:	Or someone else?
context: That way, your failures will be bigger too!\There's nothing you can't do if you work hard at it!\For normal people, that is!\Well... For now, you have to get out of the probationary class.\That's right...\When I'm Princess Tutu, I can dance any dance I want to.\But is that me?\Or someone else? response:	I'm just a girl in the probationary class.
context: There's nothing you can't do if you work hard at it!\For normal people, that is!\Well... For now, you have to get out of the probationary class.\That's right...\When I'm Princess Tutu, I can dance any dance I want to.\But is that me?\Or someone else?\I'm just a girl in the probationary class. response:	Or rather, when you get down to it, I'm just a duck.
context: For normal people, that is!\Well... For now, you have to get out of the probationary class.\That's right...\When I'm Princess Tutu, I can dance any dance I want to.\But is that me?\Or someone else?\I'm just a girl in the probationary class.\Or rather, when you get down to it, I'm just a duck. response:	Maybe there's no point in me practicing.
context: Well... For now, you have to get out of the probationary class.\That's right...\When I'm Princess Tutu, I can dance any dance I want to.\But is that me?\Or someone else?\I'm just a girl in the probationary class.\Or rather, when you get down to it, I'm just a duck.\Maybe there's no point in me practicing. response:	Watch out!
context: That's right...\When I'm Princess Tutu, I can dance any dance I want to.\But is that me?\Or someone else?\I'm just a girl in the probationary class.\Or rather, when you get down to it, I'm just a duck.\Maybe there's no point in me practicing.\Watch out! response:	Who are you?
context: When I'm Princess Tutu, I can dance any dance I want to.\But is that me?\Or someone else?\I'm just a girl in the probationary class.\Or rather, when you get down to it, I'm just a duck.\Maybe there's no point in me practicing.\Watch out!\Who are you? response:	Are you calling to me?
context: But is that me?\Or someone else?\I'm just a girl in the probationary class.\Or rather, when you get down to it, I'm just a duck.\Maybe there's no point in me practicing.\Watch out!\Who are you?\Are you calling to me? response:	Fakir...
context: Or someone else?\I'm just a girl in the probationary class.\Or rather, when you get down to it, I'm just a duck.\Maybe there's no point in me practicing.\Watch out!\Who are you?\Are you calling to me?\Fakir... response:	What's with that look on your face?
context: I'm just a girl in the probationary class.\Or rather, when you get down to it, I'm just a duck.\Maybe there's no point in me practicing.\Watch out!\Who are you?\Are you calling to me?\Fakir...\What's with that look on your face? response:	What? What look on my face?
context: Or rather, when you get down to it, I'm just a duck.\Maybe there's no point in me practicing.\Watch out!\Who are you?\Are you calling to me?\Fakir...\What's with that look on your face?\What? What look on my face? response:	What were you thinking about?
context: Maybe there's no point in me practicing.\Watch out!\Who are you?\Are you calling to me?\Fakir...\What's with that look on your face?\What? What look on my face?\What were you thinking about? response:	What?
context: Watch out!\Who are you?\Are you calling to me?\Fakir...\What's with that look on your face?\What? What look on my face?\What were you thinking about?\What? response:	Just now. What were you thinking about?
context: Who are you?\Are you calling to me?\Fakir...\What's with that look on your face?\What? What look on my face?\What were you thinking about?\What?\Just now. What were you thinking about? response:	Someone is...
context: Are you calling to me?\Fakir...\What's with that look on your face?\What? What look on my face?\What were you thinking about?\What?\Just now. What were you thinking about?\Someone is... response:	Someone is calling to me.
context: Fakir...\What's with that look on your face?\What? What look on my face?\What were you thinking about?\What?\Just now. What were you thinking about?\Someone is...\Someone is calling to me. response:	I don't know who it is, but I feel like I can understand what that person is feeling.
context: What's with that look on your face?\What? What look on my face?\What were you thinking about?\What?\Just now. What were you thinking about?\Someone is...\Someone is calling to me.\I don't know who it is, but I feel like I can understand what that person is feeling. response:	The heart aches deep down, a desire to see someone, to see them and talk to them...
context: What? What look on my face?\What were you thinking about?\What?\Just now. What were you thinking about?\Someone is...\Someone is calling to me.\I don't know who it is, but I feel like I can understand what that person is feeling.\The heart aches deep down, a desire to see someone, to see them and talk to them... response:	Feelings like that... I have them too.
context: What were you thinking about?\What?\Just now. What were you thinking about?\Someone is...\Someone is calling to me.\I don't know who it is, but I feel like I can understand what that person is feeling.\The heart aches deep down, a desire to see someone, to see them and talk to them...\Feelings like that... I have them too. response:	I was wondering if this is what it feels to be lonely.
context: What?\Just now. What were you thinking about?\Someone is...\Someone is calling to me.\I don't know who it is, but I feel like I can understand what that person is feeling.\The heart aches deep down, a desire to see someone, to see them and talk to them...\Feelings like that... I have them too.\I was wondering if this is what it feels to be lonely. response:	What it feels to be lonely?
context: Just now. What were you thinking about?\Someone is...\Someone is calling to me.\I don't know who it is, but I feel like I can understand what that person is feeling.\The heart aches deep down, a desire to see someone, to see them and talk to them...\Feelings like that... I have them too.\I was wondering if this is what it feels to be lonely.\What it feels to be lonely? response:	Mytho is regaining his heart.
context: Someone is...\Someone is calling to me.\I don't know who it is, but I feel like I can understand what that person is feeling.\The heart aches deep down, a desire to see someone, to see them and talk to them...\Feelings like that... I have them too.\I was wondering if this is what it feels to be lonely.\What it feels to be lonely?\Mytho is regaining his heart. response:	Look at it! This face! I hate it! This face! Stupid emotions!
context: Someone is calling to me.\I don't know who it is, but I feel like I can understand what that person is feeling.\The heart aches deep down, a desire to see someone, to see them and talk to them...\Feelings like that... I have them too.\I was wondering if this is what it feels to be lonely.\What it feels to be lonely?\Mytho is regaining his heart.\Look at it! This face! I hate it! This face! Stupid emotions! response:	This repulsive face that's regained the feeling of loneliness!
context: I don't know who it is, but I feel like I can understand what that person is feeling.\The heart aches deep down, a desire to see someone, to see them and talk to them...\Feelings like that... I have them too.\I was wondering if this is what it feels to be lonely.\What it feels to be lonely?\Mytho is regaining his heart.\Look at it! This face! I hate it! This face! Stupid emotions!\This repulsive face that's regained the feeling of loneliness! response:	Do you find it fun recalling such emotions?
context: The heart aches deep down, a desire to see someone, to see them and talk to them...\Feelings like that... I have them too.\I was wondering if this is what it feels to be lonely.\What it feels to be lonely?\Mytho is regaining his heart.\Look at it! This face! I hate it! This face! Stupid emotions!\This repulsive face that's regained the feeling of loneliness!\Do you find it fun recalling such emotions? response:	Does it feel good, Mytho?
context: Feelings like that... I have them too.\I was wondering if this is what it feels to be lonely.\What it feels to be lonely?\Mytho is regaining his heart.\Look at it! This face! I hate it! This face! Stupid emotions!\This repulsive face that's regained the feeling of loneliness!\Do you find it fun recalling such emotions?\Does it feel good, Mytho? response:	No...
context: I was wondering if this is what it feels to be lonely.\What it feels to be lonely?\Mytho is regaining his heart.\Look at it! This face! I hate it! This face! Stupid emotions!\This repulsive face that's regained the feeling of loneliness!\Do you find it fun recalling such emotions?\Does it feel good, Mytho?\No... response:	Exactly! You have no need of a heart! You have no need!
context: What it feels to be lonely?\Mytho is regaining his heart.\Look at it! This face! I hate it! This face! Stupid emotions!\This repulsive face that's regained the feeling of loneliness!\Do you find it fun recalling such emotions?\Does it feel good, Mytho?\No...\Exactly! You have no need of a heart! You have no need! response:	If you were to regain such a thing...
context: Mytho is regaining his heart.\Look at it! This face! I hate it! This face! Stupid emotions!\This repulsive face that's regained the feeling of loneliness!\Do you find it fun recalling such emotions?\Does it feel good, Mytho?\No...\Exactly! You have no need of a heart! You have no need!\If you were to regain such a thing... response:	If I were to?
context: Look at it! This face! I hate it! This face! Stupid emotions!\This repulsive face that's regained the feeling of loneliness!\Do you find it fun recalling such emotions?\Does it feel good, Mytho?\No...\Exactly! You have no need of a heart! You have no need!\If you were to regain such a thing...\If I were to? response:	Anyway, don't be so foolish as to want a heart! Got it?!
context: This repulsive face that's regained the feeling of loneliness!\Do you find it fun recalling such emotions?\Does it feel good, Mytho?\No...\Exactly! You have no need of a heart! You have no need!\If you were to regain such a thing...\If I were to?\Anyway, don't be so foolish as to want a heart! Got it?! response:	Yes.
context: Do you find it fun recalling such emotions?\Does it feel good, Mytho?\No...\Exactly! You have no need of a heart! You have no need!\If you were to regain such a thing...\If I were to?\Anyway, don't be so foolish as to want a heart! Got it?!\Yes. response:	I can't hear you!
context: Does it feel good, Mytho?\No...\Exactly! You have no need of a heart! You have no need!\If you were to regain such a thing...\If I were to?\Anyway, don't be so foolish as to want a heart! Got it?!\Yes.\I can't hear you! response:	I understand, Fakir. I'll do as you say.
context: No...\Exactly! You have no need of a heart! You have no need!\If you were to regain such a thing...\If I were to?\Anyway, don't be so foolish as to want a heart! Got it?!\Yes.\I can't hear you!\I understand, Fakir. I'll do as you say. response:	Good, that's the way it should be.
context: Exactly! You have no need of a heart! You have no need!\If you were to regain such a thing...\If I were to?\Anyway, don't be so foolish as to want a heart! Got it?!\Yes.\I can't hear you!\I understand, Fakir. I'll do as you say.\Good, that's the way it should be. response:	Ahiru-san, as punishment for disturbing the advanced class,
context: If you were to regain such a thing...\If I were to?\Anyway, don't be so foolish as to want a heart! Got it?!\Yes.\I can't hear you!\I understand, Fakir. I'll do as you say.\Good, that's the way it should be.\Ahiru-san, as punishment for disturbing the advanced class, response:	you will practice the developpe by yourself. Am I understood?
context: If I were to?\Anyway, don't be so foolish as to want a heart! Got it?!\Yes.\I can't hear you!\I understand, Fakir. I'll do as you say.\Good, that's the way it should be.\Ahiru-san, as punishment for disturbing the advanced class,\you will practice the developpe by yourself. Am I understood? response:	Yes, sir.
context: Anyway, don't be so foolish as to want a heart! Got it?!\Yes.\I can't hear you!\I understand, Fakir. I'll do as you say.\Good, that's the way it should be.\Ahiru-san, as punishment for disturbing the advanced class,\you will practice the developpe by yourself. Am I understood?\Yes, sir. response:	If you practice earnestly, I'll let you back in the beginner class.
context: Yes.\I can't hear you!\I understand, Fakir. I'll do as you say.\Good, that's the way it should be.\Ahiru-san, as punishment for disturbing the advanced class,\you will practice the developpe by yourself. Am I understood?\Yes, sir.\If you practice earnestly, I'll let you back in the beginner class. response:	Oh, yes, sir!
context: I can't hear you!\I understand, Fakir. I'll do as you say.\Good, that's the way it should be.\Ahiru-san, as punishment for disturbing the advanced class,\you will practice the developpe by yourself. Am I understood?\Yes, sir.\If you practice earnestly, I'll let you back in the beginner class.\Oh, yes, sir! response:	If you don't practice properly, I will have you marry me!
context: I understand, Fakir. I'll do as you say.\Good, that's the way it should be.\Ahiru-san, as punishment for disturbing the advanced class,\you will practice the developpe by yourself. Am I understood?\Yes, sir.\If you practice earnestly, I'll let you back in the beginner class.\Oh, yes, sir!\If you don't practice properly, I will have you marry me! response:	Oh, I'm a bird, on probation, and to top it off, I'm being kept after school.
context: Good, that's the way it should be.\Ahiru-san, as punishment for disturbing the advanced class,\you will practice the developpe by yourself. Am I understood?\Yes, sir.\If you practice earnestly, I'll let you back in the beginner class.\Oh, yes, sir!\If you don't practice properly, I will have you marry me!\Oh, I'm a bird, on probation, and to top it off, I'm being kept after school. response:	I think I'll never be like Rue-chan. Oh...
context: Ahiru-san, as punishment for disturbing the advanced class,\you will practice the developpe by yourself. Am I understood?\Yes, sir.\If you practice earnestly, I'll let you back in the beginner class.\Oh, yes, sir!\If you don't practice properly, I will have you marry me!\Oh, I'm a bird, on probation, and to top it off, I'm being kept after school.\I think I'll never be like Rue-chan. Oh... response:	It's Mytho.
context: you will practice the developpe by yourself. Am I understood?\Yes, sir.\If you practice earnestly, I'll let you back in the beginner class.\Oh, yes, sir!\If you don't practice properly, I will have you marry me!\Oh, I'm a bird, on probation, and to top it off, I'm being kept after school.\I think I'll never be like Rue-chan. Oh...\It's Mytho. response:	Princess Tutu?
context: Yes, sir.\If you practice earnestly, I'll let you back in the beginner class.\Oh, yes, sir!\If you don't practice properly, I will have you marry me!\Oh, I'm a bird, on probation, and to top it off, I'm being kept after school.\I think I'll never be like Rue-chan. Oh...\It's Mytho.\Princess Tutu? response:	That's just a story.
context: If you practice earnestly, I'll let you back in the beginner class.\Oh, yes, sir!\If you don't practice properly, I will have you marry me!\Oh, I'm a bird, on probation, and to top it off, I'm being kept after school.\I think I'll never be like Rue-chan. Oh...\It's Mytho.\Princess Tutu?\That's just a story. response:	The princess is fated never to be with her prince.
context: Oh, yes, sir!\If you don't practice properly, I will have you marry me!\Oh, I'm a bird, on probation, and to top it off, I'm being kept after school.\I think I'll never be like Rue-chan. Oh...\It's Mytho.\Princess Tutu?\That's just a story.\The princess is fated never to be with her prince. response:	The moment she confesses her love, she turns into a speck of light and vanishes.
context: If you don't practice properly, I will have you marry me!\Oh, I'm a bird, on probation, and to top it off, I'm being kept after school.\I think I'll never be like Rue-chan. Oh...\It's Mytho.\Princess Tutu?\That's just a story.\The princess is fated never to be with her prince.\The moment she confesses her love, she turns into a speck of light and vanishes. response:	That's just what happens in the story. The story isn't real.
context: Oh, I'm a bird, on probation, and to top it off, I'm being kept after school.\I think I'll never be like Rue-chan. Oh...\It's Mytho.\Princess Tutu?\That's just a story.\The princess is fated never to be with her prince.\The moment she confesses her love, she turns into a speck of light and vanishes.\That's just what happens in the story. The story isn't real. response:	Though, it's true that Mytho is a prince from inside a story...
context: I think I'll never be like Rue-chan. Oh...\It's Mytho.\Princess Tutu?\That's just a story.\The princess is fated never to be with her prince.\The moment she confesses her love, she turns into a speck of light and vanishes.\That's just what happens in the story. The story isn't real.\Though, it's true that Mytho is a prince from inside a story... response:	But it doesn't matter!
context: It's Mytho.\Princess Tutu?\That's just a story.\The princess is fated never to be with her prince.\The moment she confesses her love, she turns into a speck of light and vanishes.\That's just what happens in the story. The story isn't real.\Though, it's true that Mytho is a prince from inside a story...\But it doesn't matter! response:	Whether it's a story or it's real, I just want to restore Mytho's heart!
context: Princess Tutu?\That's just a story.\The princess is fated never to be with her prince.\The moment she confesses her love, she turns into a speck of light and vanishes.\That's just what happens in the story. The story isn't real.\Though, it's true that Mytho is a prince from inside a story...\But it doesn't matter!\Whether it's a story or it's real, I just want to restore Mytho's heart! response:	That's right, I'm not thinking about being with him or confessing to him or anything!
context: That's just a story.\The princess is fated never to be with her prince.\The moment she confesses her love, she turns into a speck of light and vanishes.\That's just what happens in the story. The story isn't real.\Though, it's true that Mytho is a prince from inside a story...\But it doesn't matter!\Whether it's a story or it's real, I just want to restore Mytho's heart!\That's right, I'm not thinking about being with him or confessing to him or anything! response:	I'm not thinking about any of that!
context: The princess is fated never to be with her prince.\The moment she confesses her love, she turns into a speck of light and vanishes.\That's just what happens in the story. The story isn't real.\Though, it's true that Mytho is a prince from inside a story...\But it doesn't matter!\Whether it's a story or it's real, I just want to restore Mytho's heart!\That's right, I'm not thinking about being with him or confessing to him or anything!\I'm not thinking about any of that! response:	I don't really understand.
context: The moment she confesses her love, she turns into a speck of light and vanishes.\That's just what happens in the story. The story isn't real.\Though, it's true that Mytho is a prince from inside a story...\But it doesn't matter!\Whether it's a story or it's real, I just want to restore Mytho's heart!\That's right, I'm not thinking about being with him or confessing to him or anything!\I'm not thinking about any of that!\I don't really understand. response:	It's okay. It's okay for you to be a dummy, Mytho. Now and forever.
context: That's just what happens in the story. The story isn't real.\Though, it's true that Mytho is a prince from inside a story...\But it doesn't matter!\Whether it's a story or it's real, I just want to restore Mytho's heart!\That's right, I'm not thinking about being with him or confessing to him or anything!\I'm not thinking about any of that!\I don't really understand.\It's okay. It's okay for you to be a dummy, Mytho. Now and forever. response:	Mytho, you love me.
context: Though, it's true that Mytho is a prince from inside a story...\But it doesn't matter!\Whether it's a story or it's real, I just want to restore Mytho's heart!\That's right, I'm not thinking about being with him or confessing to him or anything!\I'm not thinking about any of that!\I don't really understand.\It's okay. It's okay for you to be a dummy, Mytho. Now and forever.\Mytho, you love me. response:	I love you.
context: But it doesn't matter!\Whether it's a story or it's real, I just want to restore Mytho's heart!\That's right, I'm not thinking about being with him or confessing to him or anything!\I'm not thinking about any of that!\I don't really understand.\It's okay. It's okay for you to be a dummy, Mytho. Now and forever.\Mytho, you love me.\I love you. response:	That's right, that's all you need to know.
context: Whether it's a story or it's real, I just want to restore Mytho's heart!\That's right, I'm not thinking about being with him or confessing to him or anything!\I'm not thinking about any of that!\I don't really understand.\It's okay. It's okay for you to be a dummy, Mytho. Now and forever.\Mytho, you love me.\I love you.\That's right, that's all you need to know. response:	You don't need to understand anything.
context: That's right, I'm not thinking about being with him or confessing to him or anything!\I'm not thinking about any of that!\I don't really understand.\It's okay. It's okay for you to be a dummy, Mytho. Now and forever.\Mytho, you love me.\I love you.\That's right, that's all you need to know.\You don't need to understand anything. response:	And you don't need a heart, either.
context: I'm not thinking about any of that!\I don't really understand.\It's okay. It's okay for you to be a dummy, Mytho. Now and forever.\Mytho, you love me.\I love you.\That's right, that's all you need to know.\You don't need to understand anything.\And you don't need a heart, either. response:	What is it?
context: I don't really understand.\It's okay. It's okay for you to be a dummy, Mytho. Now and forever.\Mytho, you love me.\I love you.\That's right, that's all you need to know.\You don't need to understand anything.\And you don't need a heart, either.\What is it? response:	The feeling of wanting to see someone and talk to them...
context: It's okay. It's okay for you to be a dummy, Mytho. Now and forever.\Mytho, you love me.\I love you.\That's right, that's all you need to know.\You don't need to understand anything.\And you don't need a heart, either.\What is it?\The feeling of wanting to see someone and talk to them... response:	It doesn't go away even when I see you, Rue.
context: Mytho, you love me.\I love you.\That's right, that's all you need to know.\You don't need to understand anything.\And you don't need a heart, either.\What is it?\The feeling of wanting to see someone and talk to them...\It doesn't go away even when I see you, Rue. response:	Say, could this be the feeling of loneliness?
context: I love you.\That's right, that's all you need to know.\You don't need to understand anything.\And you don't need a heart, either.\What is it?\The feeling of wanting to see someone and talk to them...\It doesn't go away even when I see you, Rue.\Say, could this be the feeling of loneliness? response:	I don't know. The emotions that I'm feeling...
context: That's right, that's all you need to know.\You don't need to understand anything.\And you don't need a heart, either.\What is it?\The feeling of wanting to see someone and talk to them...\It doesn't go away even when I see you, Rue.\Say, could this be the feeling of loneliness?\I don't know. The emotions that I'm feeling... response:	Rue!
context: You don't need to understand anything.\And you don't need a heart, either.\What is it?\The feeling of wanting to see someone and talk to them...\It doesn't go away even when I see you, Rue.\Say, could this be the feeling of loneliness?\I don't know. The emotions that I'm feeling...\Rue! response:	Would you please stop making him recall stupid things?
context: And you don't need a heart, either.\What is it?\The feeling of wanting to see someone and talk to them...\It doesn't go away even when I see you, Rue.\Say, could this be the feeling of loneliness?\I don't know. The emotions that I'm feeling...\Rue!\Would you please stop making him recall stupid things? response:	Mytho, go back to your room.
context: What is it?\The feeling of wanting to see someone and talk to them...\It doesn't go away even when I see you, Rue.\Say, could this be the feeling of loneliness?\I don't know. The emotions that I'm feeling...\Rue!\Would you please stop making him recall stupid things?\Mytho, go back to your room. response:	Okay.
context: The feeling of wanting to see someone and talk to them...\It doesn't go away even when I see you, Rue.\Say, could this be the feeling of loneliness?\I don't know. The emotions that I'm feeling...\Rue!\Would you please stop making him recall stupid things?\Mytho, go back to your room.\Okay. response:	You better not be the one making Mytho remember weird things.
context: It doesn't go away even when I see you, Rue.\Say, could this be the feeling of loneliness?\I don't know. The emotions that I'm feeling...\Rue!\Would you please stop making him recall stupid things?\Mytho, go back to your room.\Okay.\You better not be the one making Mytho remember weird things. response:	Oh, please.
context: Say, could this be the feeling of loneliness?\I don't know. The emotions that I'm feeling...\Rue!\Would you please stop making him recall stupid things?\Mytho, go back to your room.\Okay.\You better not be the one making Mytho remember weird things.\Oh, please. response:	Then who else are you saying could have done it?
context: I don't know. The emotions that I'm feeling...\Rue!\Would you please stop making him recall stupid things?\Mytho, go back to your room.\Okay.\You better not be the one making Mytho remember weird things.\Oh, please.\Then who else are you saying could have done it? response:	Maybe it's Princess Tutu from the fairy tale?
context: Rue!\Would you please stop making him recall stupid things?\Mytho, go back to your room.\Okay.\You better not be the one making Mytho remember weird things.\Oh, please.\Then who else are you saying could have done it?\Maybe it's Princess Tutu from the fairy tale? response:	Maybe she's appeared in reality and...
context: Would you please stop making him recall stupid things?\Mytho, go back to your room.\Okay.\You better not be the one making Mytho remember weird things.\Oh, please.\Then who else are you saying could have done it?\Maybe it's Princess Tutu from the fairy tale?\Maybe she's appeared in reality and... response:	That's absurd!
context: Mytho, go back to your room.\Okay.\You better not be the one making Mytho remember weird things.\Oh, please.\Then who else are you saying could have done it?\Maybe it's Princess Tutu from the fairy tale?\Maybe she's appeared in reality and...\That's absurd! response:	Try to stay away from Mytho from now on.
context: Okay.\You better not be the one making Mytho remember weird things.\Oh, please.\Then who else are you saying could have done it?\Maybe it's Princess Tutu from the fairy tale?\Maybe she's appeared in reality and...\That's absurd!\Try to stay away from Mytho from now on. response:	Don't keep ordering me around like that!
context: You better not be the one making Mytho remember weird things.\Oh, please.\Then who else are you saying could have done it?\Maybe it's Princess Tutu from the fairy tale?\Maybe she's appeared in reality and...\That's absurd!\Try to stay away from Mytho from now on.\Don't keep ordering me around like that! response:	Oh? The piano's playing?
context: Oh, please.\Then who else are you saying could have done it?\Maybe it's Princess Tutu from the fairy tale?\Maybe she's appeared in reality and...\That's absurd!\Try to stay away from Mytho from now on.\Don't keep ordering me around like that!\Oh? The piano's playing? response:	Where's Ahiru?
context: Then who else are you saying could have done it?\Maybe it's Princess Tutu from the fairy tale?\Maybe she's appeared in reality and...\That's absurd!\Try to stay away from Mytho from now on.\Don't keep ordering me around like that!\Oh? The piano's playing?\Where's Ahiru? response:	Ahiru...
context: Maybe it's Princess Tutu from the fairy tale?\Maybe she's appeared in reality and...\That's absurd!\Try to stay away from Mytho from now on.\Don't keep ordering me around like that!\Oh? The piano's playing?\Where's Ahiru?\Ahiru... response:	Oh? What are you two doing here?
context: Maybe she's appeared in reality and...\That's absurd!\Try to stay away from Mytho from now on.\Don't keep ordering me around like that!\Oh? The piano's playing?\Where's Ahiru?\Ahiru...\Oh? What are you two doing here? response:	That's our line.
context: That's absurd!\Try to stay away from Mytho from now on.\Don't keep ordering me around like that!\Oh? The piano's playing?\Where's Ahiru?\Ahiru...\Oh? What are you two doing here?\That's our line. response:	That's right, we came thinking you would be REALLY depressed because you have to stay behind by yourself.
context: Try to stay away from Mytho from now on.\Don't keep ordering me around like that!\Oh? The piano's playing?\Where's Ahiru?\Ahiru...\Oh? What are you two doing here?\That's our line.\That's right, we came thinking you would be REALLY depressed because you have to stay behind by yourself. response:	What are you looking so chipper for?
context: Don't keep ordering me around like that!\Oh? The piano's playing?\Where's Ahiru?\Ahiru...\Oh? What are you two doing here?\That's our line.\That's right, we came thinking you would be REALLY depressed because you have to stay behind by yourself.\What are you looking so chipper for? response:	Thanks, but I'm really having fun right now.
context: Oh? The piano's playing?\Where's Ahiru?\Ahiru...\Oh? What are you two doing here?\That's our line.\That's right, we came thinking you would be REALLY depressed because you have to stay behind by yourself.\What are you looking so chipper for?\Thanks, but I'm really having fun right now. response:	Because with dancing, the more you practice, the more it becomes fun!
context: Where's Ahiru?\Ahiru...\Oh? What are you two doing here?\That's our line.\That's right, we came thinking you would be REALLY depressed because you have to stay behind by yourself.\What are you looking so chipper for?\Thanks, but I'm really having fun right now.\Because with dancing, the more you practice, the more it becomes fun! response:	Ahiru!
context: Ahiru...\Oh? What are you two doing here?\That's our line.\That's right, we came thinking you would be REALLY depressed because you have to stay behind by yourself.\What are you looking so chipper for?\Thanks, but I'm really having fun right now.\Because with dancing, the more you practice, the more it becomes fun!\Ahiru! response:	Don't force yourself! You can act sad when you're sad and you can act like you're in pain when you're suffering!
