context: Sakimitama, Kushimitama... protect her. response:	The Fateful Two
context: What?\If you're that strong,\it should be no problem for you to protect one girl.\I might be assaulted again by more men like them.\Please come with me!\Not my problem.\What's wrong with you?!\A real man would want to protect a lady! response:	You're pathetic!
context: If you're that strong,\it should be no problem for you to protect one girl.\I might be assaulted again by more men like them.\Please come with me!\Not my problem.\What's wrong with you?!\A real man would want to protect a lady!\You're pathetic! response:	That's not very nice.
context: it should be no problem for you to protect one girl.\I might be assaulted again by more men like them.\Please come with me!\Not my problem.\What's wrong with you?!\A real man would want to protect a lady!\You're pathetic!\That's not very nice. response:	I already saved you.
context: I might be assaulted again by more men like them.\Please come with me!\Not my problem.\What's wrong with you?!\A real man would want to protect a lady!\You're pathetic!\That's not very nice.\I already saved you. response:	Besides, who calls their savior pathetic without even thanking him?
context: Please come with me!\Not my problem.\What's wrong with you?!\A real man would want to protect a lady!\You're pathetic!\That's not very nice.\I already saved you.\Besides, who calls their savior pathetic without even thanking him? response:	Thank you? Let's see...
context: Not my problem.\What's wrong with you?!\A real man would want to protect a lady!\You're pathetic!\That's not very nice.\I already saved you.\Besides, who calls their savior pathetic without even thanking him?\Thank you? Let's see... response:	Okay, then why don't you come with me to Shinshu Ueda?
context: What's wrong with you?!\A real man would want to protect a lady!\You're pathetic!\That's not very nice.\I already saved you.\Besides, who calls their savior pathetic without even thanking him?\Thank you? Let's see...\Okay, then why don't you come with me to Shinshu Ueda? response:	Are you even listening?
context: A real man would want to protect a lady!\You're pathetic!\That's not very nice.\I already saved you.\Besides, who calls their savior pathetic without even thanking him?\Thank you? Let's see...\Okay, then why don't you come with me to Shinshu Ueda?\Are you even listening? response:	What if I buy you some soba to thank you?
context: You're pathetic!\That's not very nice.\I already saved you.\Besides, who calls their savior pathetic without even thanking him?\Thank you? Let's see...\Okay, then why don't you come with me to Shinshu Ueda?\Are you even listening?\What if I buy you some soba to thank you? response:	What?
context: That's not very nice.\I already saved you.\Besides, who calls their savior pathetic without even thanking him?\Thank you? Let's see...\Okay, then why don't you come with me to Shinshu Ueda?\Are you even listening?\What if I buy you some soba to thank you?\What? response:	You're hungry, aren't you?
context: I already saved you.\Besides, who calls their savior pathetic without even thanking him?\Thank you? Let's see...\Okay, then why don't you come with me to Shinshu Ueda?\Are you even listening?\What if I buy you some soba to thank you?\What?\You're hungry, aren't you? response:	Rest Stop
context: Besides, who calls their savior pathetic without even thanking him?\Thank you? Let's see...\Okay, then why don't you come with me to Shinshu Ueda?\Are you even listening?\What if I buy you some soba to thank you?\What?\You're hungry, aren't you?\Rest Stop response:	She sure eats a lot.
context: Thank you? Let's see...\Okay, then why don't you come with me to Shinshu Ueda?\Are you even listening?\What if I buy you some soba to thank you?\What?\You're hungry, aren't you?\Rest Stop\She sure eats a lot. response:	Those marks are gone.
context: Okay, then why don't you come with me to Shinshu Ueda?\Are you even listening?\What if I buy you some soba to thank you?\What?\You're hungry, aren't you?\Rest Stop\She sure eats a lot.\Those marks are gone. response:	Great meal!
context: Are you even listening?\What if I buy you some soba to thank you?\What?\You're hungry, aren't you?\Rest Stop\She sure eats a lot.\Those marks are gone.\Great meal! response:	That was delicious.
context: What if I buy you some soba to thank you?\What?\You're hungry, aren't you?\Rest Stop\She sure eats a lot.\Those marks are gone.\Great meal!\That was delicious. response:	You're still on your first bowl?
context: What?\You're hungry, aren't you?\Rest Stop\She sure eats a lot.\Those marks are gone.\Great meal!\That was delicious.\You're still on your first bowl? response:	You don't eat much, do you?
context: You're hungry, aren't you?\Rest Stop\She sure eats a lot.\Those marks are gone.\Great meal!\That was delicious.\You're still on your first bowl?\You don't eat much, do you? response:	You just eat too much.
context: Rest Stop\She sure eats a lot.\Those marks are gone.\Great meal!\That was delicious.\You're still on your first bowl?\You don't eat much, do you?\You just eat too much. response:	I have a name, you know.
context: She sure eats a lot.\Those marks are gone.\Great meal!\That was delicious.\You're still on your first bowl?\You don't eat much, do you?\You just eat too much.\I have a name, you know. response:	It's Isanami.
context: Those marks are gone.\Great meal!\That was delicious.\You're still on your first bowl?\You don't eat much, do you?\You just eat too much.\I have a name, you know.\It's Isanami. response:	What's your name?
context: Great meal!\That was delicious.\You're still on your first bowl?\You don't eat much, do you?\You just eat too much.\I have a name, you know.\It's Isanami.\What's your name? response:	What do you do for a living?
context: That was delicious.\You're still on your first bowl?\You don't eat much, do you?\You just eat too much.\I have a name, you know.\It's Isanami.\What's your name?\What do you do for a living? response:	Saizo.
context: You're still on your first bowl?\You don't eat much, do you?\You just eat too much.\I have a name, you know.\It's Isanami.\What's your name?\What do you do for a living?\Saizo. response:	I'm a samurai.
context: You don't eat much, do you?\You just eat too much.\I have a name, you know.\It's Isanami.\What's your name?\What do you do for a living?\Saizo.\I'm a samurai. response:	Saizo...
context: You just eat too much.\I have a name, you know.\It's Isanami.\What's your name?\What do you do for a living?\Saizo.\I'm a samurai.\Saizo... response:	I'll call you Sai-chan.
context: I have a name, you know.\It's Isanami.\What's your name?\What do you do for a living?\Saizo.\I'm a samurai.\Saizo...\I'll call you Sai-chan. response:	I'll kill you, you bitch.
context: It's Isanami.\What's your name?\What do you do for a living?\Saizo.\I'm a samurai.\Saizo...\I'll call you Sai-chan.\I'll kill you, you bitch. response:	If you're a samurai, does that mean you serve a master?
context: What's your name?\What do you do for a living?\Saizo.\I'm a samurai.\Saizo...\I'll call you Sai-chan.\I'll kill you, you bitch.\If you're a samurai, does that mean you serve a master? response:	It's none of your business.
context: What do you do for a living?\Saizo.\I'm a samurai.\Saizo...\I'll call you Sai-chan.\I'll kill you, you bitch.\If you're a samurai, does that mean you serve a master?\It's none of your business. response:	So you're a wanderer.
context: Saizo.\I'm a samurai.\Saizo...\I'll call you Sai-chan.\I'll kill you, you bitch.\If you're a samurai, does that mean you serve a master?\It's none of your business.\So you're a wanderer. response:	That explains why you're so poor that you followed me just for some soba.
context: I'm a samurai.\Saizo...\I'll call you Sai-chan.\I'll kill you, you bitch.\If you're a samurai, does that mean you serve a master?\It's none of your business.\So you're a wanderer.\That explains why you're so poor that you followed me just for some soba. response:	You...
context: Saizo...\I'll call you Sai-chan.\I'll kill you, you bitch.\If you're a samurai, does that mean you serve a master?\It's none of your business.\So you're a wanderer.\That explains why you're so poor that you followed me just for some soba.\You... response:	I-sa-na-mi.
context: I'll call you Sai-chan.\I'll kill you, you bitch.\If you're a samurai, does that mean you serve a master?\It's none of your business.\So you're a wanderer.\That explains why you're so poor that you followed me just for some soba.\You...\I-sa-na-mi. response:	Listen... Thanks for earlier.
context: I'll kill you, you bitch.\If you're a samurai, does that mean you serve a master?\It's none of your business.\So you're a wanderer.\That explains why you're so poor that you followed me just for some soba.\You...\I-sa-na-mi.\Listen... Thanks for earlier. response:	I finally get to hear you say it.
context: If you're a samurai, does that mean you serve a master?\It's none of your business.\So you're a wanderer.\That explains why you're so poor that you followed me just for some soba.\You...\I-sa-na-mi.\Listen... Thanks for earlier.\I finally get to hear you say it. response:	It's been days since I've been able to relax like this.
context: It's none of your business.\So you're a wanderer.\That explains why you're so poor that you followed me just for some soba.\You...\I-sa-na-mi.\Listen... Thanks for earlier.\I finally get to hear you say it.\It's been days since I've been able to relax like this. response:	It's probably because you'll protect me.
context: So you're a wanderer.\That explains why you're so poor that you followed me just for some soba.\You...\I-sa-na-mi.\Listen... Thanks for earlier.\I finally get to hear you say it.\It's been days since I've been able to relax like this.\It's probably because you'll protect me. response:	I'm serious.
context: That explains why you're so poor that you followed me just for some soba.\You...\I-sa-na-mi.\Listen... Thanks for earlier.\I finally get to hear you say it.\It's been days since I've been able to relax like this.\It's probably because you'll protect me.\I'm serious. response:	I didn't think you would at first.
context: You...\I-sa-na-mi.\Listen... Thanks for earlier.\I finally get to hear you say it.\It's been days since I've been able to relax like this.\It's probably because you'll protect me.\I'm serious.\I didn't think you would at first. response:	You didn't seem to want anything to do with me.
context: I-sa-na-mi.\Listen... Thanks for earlier.\I finally get to hear you say it.\It's been days since I've been able to relax like this.\It's probably because you'll protect me.\I'm serious.\I didn't think you would at first.\You didn't seem to want anything to do with me. response:	But when you threw me over your shoulder,
context: Listen... Thanks for earlier.\I finally get to hear you say it.\It's been days since I've been able to relax like this.\It's probably because you'll protect me.\I'm serious.\I didn't think you would at first.\You didn't seem to want anything to do with me.\But when you threw me over your shoulder, response:	I knew you would do it.
context: I finally get to hear you say it.\It's been days since I've been able to relax like this.\It's probably because you'll protect me.\I'm serious.\I didn't think you would at first.\You didn't seem to want anything to do with me.\But when you threw me over your shoulder,\I knew you would do it. response:	Somehow, I felt so safe.
context: It's been days since I've been able to relax like this.\It's probably because you'll protect me.\I'm serious.\I didn't think you would at first.\You didn't seem to want anything to do with me.\But when you threw me over your shoulder,\I knew you would do it.\Somehow, I felt so safe. response:	I knew you would protect me.
context: It's probably because you'll protect me.\I'm serious.\I didn't think you would at first.\You didn't seem to want anything to do with me.\But when you threw me over your shoulder,\I knew you would do it.\Somehow, I felt so safe.\I knew you would protect me. response:	Don't decide for me.
context: I'm serious.\I didn't think you would at first.\You didn't seem to want anything to do with me.\But when you threw me over your shoulder,\I knew you would do it.\Somehow, I felt so safe.\I knew you would protect me.\Don't decide for me. response:	I wasn't going to die there.
context: I didn't think you would at first.\You didn't seem to want anything to do with me.\But when you threw me over your shoulder,\I knew you would do it.\Somehow, I felt so safe.\I knew you would protect me.\Don't decide for me.\I wasn't going to die there. response:	But you could've left me.
context: You didn't seem to want anything to do with me.\But when you threw me over your shoulder,\I knew you would do it.\Somehow, I felt so safe.\I knew you would protect me.\Don't decide for me.\I wasn't going to die there.\But you could've left me. response:	You wouldn't stop screaming for me to rescue you.
context: But when you threw me over your shoulder,\I knew you would do it.\Somehow, I felt so safe.\I knew you would protect me.\Don't decide for me.\I wasn't going to die there.\But you could've left me.\You wouldn't stop screaming for me to rescue you. response:	Saizo, you're a good guy, aren't you?
context: I knew you would do it.\Somehow, I felt so safe.\I knew you would protect me.\Don't decide for me.\I wasn't going to die there.\But you could've left me.\You wouldn't stop screaming for me to rescue you.\Saizo, you're a good guy, aren't you? response:	If you're done eating, let's go.
context: Somehow, I felt so safe.\I knew you would protect me.\Don't decide for me.\I wasn't going to die there.\But you could've left me.\You wouldn't stop screaming for me to rescue you.\Saizo, you're a good guy, aren't you?\If you're done eating, let's go. response:	Wait.
context: I knew you would protect me.\Don't decide for me.\I wasn't going to die there.\But you could've left me.\You wouldn't stop screaming for me to rescue you.\Saizo, you're a good guy, aren't you?\If you're done eating, let's go.\Wait. response:	I'll leave our payment here.
context: Don't decide for me.\I wasn't going to die there.\But you could've left me.\You wouldn't stop screaming for me to rescue you.\Saizo, you're a good guy, aren't you?\If you're done eating, let's go.\Wait.\I'll leave our payment here. response:	All right!
context: I wasn't going to die there.\But you could've left me.\You wouldn't stop screaming for me to rescue you.\Saizo, you're a good guy, aren't you?\If you're done eating, let's go.\Wait.\I'll leave our payment here.\All right! response:	Hey, that thing's gonna fall off your head.
context: But you could've left me.\You wouldn't stop screaming for me to rescue you.\Saizo, you're a good guy, aren't you?\If you're done eating, let's go.\Wait.\I'll leave our payment here.\All right!\Hey, that thing's gonna fall off your head. response:	Oh, whoops.
context: You wouldn't stop screaming for me to rescue you.\Saizo, you're a good guy, aren't you?\If you're done eating, let's go.\Wait.\I'll leave our payment here.\All right!\Hey, that thing's gonna fall off your head.\Oh, whoops. response:	I can't lose this.
context: Saizo, you're a good guy, aren't you?\If you're done eating, let's go.\Wait.\I'll leave our payment here.\All right!\Hey, that thing's gonna fall off your head.\Oh, whoops.\I can't lose this. response:	Saizo, can't we walk slower?
context: If you're done eating, let's go.\Wait.\I'll leave our payment here.\All right!\Hey, that thing's gonna fall off your head.\Oh, whoops.\I can't lose this.\Saizo, can't we walk slower? response:	Ueda's just up ahead.
context: Wait.\I'll leave our payment here.\All right!\Hey, that thing's gonna fall off your head.\Oh, whoops.\I can't lose this.\Saizo, can't we walk slower?\Ueda's just up ahead. response:	You should be fine from here.
context: I'll leave our payment here.\All right!\Hey, that thing's gonna fall off your head.\Oh, whoops.\I can't lose this.\Saizo, can't we walk slower?\Ueda's just up ahead.\You should be fine from here. response:	Walk along the dike so you'll be seen.
context: All right!\Hey, that thing's gonna fall off your head.\Oh, whoops.\I can't lose this.\Saizo, can't we walk slower?\Ueda's just up ahead.\You should be fine from here.\Walk along the dike so you'll be seen. response:	See ya.
context: Hey, that thing's gonna fall off your head.\Oh, whoops.\I can't lose this.\Saizo, can't we walk slower?\Ueda's just up ahead.\You should be fine from here.\Walk along the dike so you'll be seen.\See ya. response:	Go with me a little farther.
context: Oh, whoops.\I can't lose this.\Saizo, can't we walk slower?\Ueda's just up ahead.\You should be fine from here.\Walk along the dike so you'll be seen.\See ya.\Go with me a little farther. response:	I don't know how to get into the castle.
context: I can't lose this.\Saizo, can't we walk slower?\Ueda's just up ahead.\You should be fine from here.\Walk along the dike so you'll be seen.\See ya.\Go with me a little farther.\I don't know how to get into the castle. response:	What? You mean Ueda Castle?
context: Saizo, can't we walk slower?\Ueda's just up ahead.\You should be fine from here.\Walk along the dike so you'll be seen.\See ya.\Go with me a little farther.\I don't know how to get into the castle.\What? You mean Ueda Castle? response:	Huh? Yeah.
context: Ueda's just up ahead.\You should be fine from here.\Walk along the dike so you'll be seen.\See ya.\Go with me a little farther.\I don't know how to get into the castle.\What? You mean Ueda Castle?\Huh? Yeah. response:	Don't be ridiculous. I'm not doing that.
context: You should be fine from here.\Walk along the dike so you'll be seen.\See ya.\Go with me a little farther.\I don't know how to get into the castle.\What? You mean Ueda Castle?\Huh? Yeah.\Don't be ridiculous. I'm not doing that. response:	I won't let you leave.
context: Walk along the dike so you'll be seen.\See ya.\Go with me a little farther.\I don't know how to get into the castle.\What? You mean Ueda Castle?\Huh? Yeah.\Don't be ridiculous. I'm not doing that.\I won't let you leave. response:	Who are you?
context: See ya.\Go with me a little farther.\I don't know how to get into the castle.\What? You mean Ueda Castle?\Huh? Yeah.\Don't be ridiculous. I'm not doing that.\I won't let you leave.\Who are you? response:	This guy...
context: Go with me a little farther.\I don't know how to get into the castle.\What? You mean Ueda Castle?\Huh? Yeah.\Don't be ridiculous. I'm not doing that.\I won't let you leave.\Who are you?\This guy... response:	We're not criminals.
context: I don't know how to get into the castle.\What? You mean Ueda Castle?\Huh? Yeah.\Don't be ridiculous. I'm not doing that.\I won't let you leave.\Who are you?\This guy...\We're not criminals. response:	I'm a priestess of Izumo.
context: What? You mean Ueda Castle?\Huh? Yeah.\Don't be ridiculous. I'm not doing that.\I won't let you leave.\Who are you?\This guy...\We're not criminals.\I'm a priestess of Izumo. response:	What?
context: Huh? Yeah.\Don't be ridiculous. I'm not doing that.\I won't let you leave.\Who are you?\This guy...\We're not criminals.\I'm a priestess of Izumo.\What? response:	What's a priestess doing with an Iga assassin?
context: Don't be ridiculous. I'm not doing that.\I won't let you leave.\Who are you?\This guy...\We're not criminals.\I'm a priestess of Izumo.\What?\What's a priestess doing with an Iga assassin? response:	The Iga are all trash.
context: I won't let you leave.\Who are you?\This guy...\We're not criminals.\I'm a priestess of Izumo.\What?\What's a priestess doing with an Iga assassin?\The Iga are all trash. response:	Shut up.
context: Who are you?\This guy...\We're not criminals.\I'm a priestess of Izumo.\What?\What's a priestess doing with an Iga assassin?\The Iga are all trash.\Shut up. response:	I've had enough of you and your friends.
context: This guy...\We're not criminals.\I'm a priestess of Izumo.\What?\What's a priestess doing with an Iga assassin?\The Iga are all trash.\Shut up.\I've had enough of you and your friends. response:	Koga coward!
context: We're not criminals.\I'm a priestess of Izumo.\What?\What's a priestess doing with an Iga assassin?\The Iga are all trash.\Shut up.\I've had enough of you and your friends.\Koga coward! response:	Run back to your master, you dog!
context: I'm a priestess of Izumo.\What?\What's a priestess doing with an Iga assassin?\The Iga are all trash.\Shut up.\I've had enough of you and your friends.\Koga coward!\Run back to your master, you dog! response:	Why don't you see if he'll give you a bone?
context: What?\What's a priestess doing with an Iga assassin?\The Iga are all trash.\Shut up.\I've had enough of you and your friends.\Koga coward!\Run back to your master, you dog!\Why don't you see if he'll give you a bone? response:	I won't let you get away with defiling Sanada lands.
context: What's a priestess doing with an Iga assassin?\The Iga are all trash.\Shut up.\I've had enough of you and your friends.\Koga coward!\Run back to your master, you dog!\Why don't you see if he'll give you a bone?\I won't let you get away with defiling Sanada lands. response:	Stop breathing on my face, dog breath.
context: The Iga are all trash.\Shut up.\I've had enough of you and your friends.\Koga coward!\Run back to your master, you dog!\Why don't you see if he'll give you a bone?\I won't let you get away with defiling Sanada lands.\Stop breathing on my face, dog breath. response:	I'm no dog.
context: Shut up.\I've had enough of you and your friends.\Koga coward!\Run back to your master, you dog!\Why don't you see if he'll give you a bone?\I won't let you get away with defiling Sanada lands.\Stop breathing on my face, dog breath.\I'm no dog. response:	I am Sarutobi Sasuke, head of the Sanada Ninja Clan.
context: I've had enough of you and your friends.\Koga coward!\Run back to your master, you dog!\Why don't you see if he'll give you a bone?\I won't let you get away with defiling Sanada lands.\Stop breathing on my face, dog breath.\I'm no dog.\I am Sarutobi Sasuke, head of the Sanada Ninja Clan. response:	Identify yourself.
context: Koga coward!\Run back to your master, you dog!\Why don't you see if he'll give you a bone?\I won't let you get away with defiling Sanada lands.\Stop breathing on my face, dog breath.\I'm no dog.\I am Sarutobi Sasuke, head of the Sanada Ninja Clan.\Identify yourself. response:	Don't get ahead of yourself, Koga monkey.
context: Run back to your master, you dog!\Why don't you see if he'll give you a bone?\I won't let you get away with defiling Sanada lands.\Stop breathing on my face, dog breath.\I'm no dog.\I am Sarutobi Sasuke, head of the Sanada Ninja Clan.\Identify yourself.\Don't get ahead of yourself, Koga monkey. response:	Those who hear the name Kirigakure Saizo don't live to tell the tale!
context: Why don't you see if he'll give you a bone?\I won't let you get away with defiling Sanada lands.\Stop breathing on my face, dog breath.\I'm no dog.\I am Sarutobi Sasuke, head of the Sanada Ninja Clan.\Identify yourself.\Don't get ahead of yourself, Koga monkey.\Those who hear the name Kirigakure Saizo don't live to tell the tale! response:	He's Kirigakure?
context: I won't let you get away with defiling Sanada lands.\Stop breathing on my face, dog breath.\I'm no dog.\I am Sarutobi Sasuke, head of the Sanada Ninja Clan.\Identify yourself.\Don't get ahead of yourself, Koga monkey.\Those who hear the name Kirigakure Saizo don't live to tell the tale!\He's Kirigakure? response:	I hate you Koga bastards!
context: Stop breathing on my face, dog breath.\I'm no dog.\I am Sarutobi Sasuke, head of the Sanada Ninja Clan.\Identify yourself.\Don't get ahead of yourself, Koga monkey.\Those who hear the name Kirigakure Saizo don't live to tell the tale!\He's Kirigakure?\I hate you Koga bastards! response:	The feeling is mutual.
context: I'm no dog.\I am Sarutobi Sasuke, head of the Sanada Ninja Clan.\Identify yourself.\Don't get ahead of yourself, Koga monkey.\Those who hear the name Kirigakure Saizo don't live to tell the tale!\He's Kirigakure?\I hate you Koga bastards!\The feeling is mutual. response:	But you will lose.
context: I am Sarutobi Sasuke, head of the Sanada Ninja Clan.\Identify yourself.\Don't get ahead of yourself, Koga monkey.\Those who hear the name Kirigakure Saizo don't live to tell the tale!\He's Kirigakure?\I hate you Koga bastards!\The feeling is mutual.\But you will lose. response:	Paralyzing plants?
context: Identify yourself.\Don't get ahead of yourself, Koga monkey.\Those who hear the name Kirigakure Saizo don't live to tell the tale!\He's Kirigakure?\I hate you Koga bastards!\The feeling is mutual.\But you will lose.\Paralyzing plants? response:	Saizo!
context: Don't get ahead of yourself, Koga monkey.\Those who hear the name Kirigakure Saizo don't live to tell the tale!\He's Kirigakure?\I hate you Koga bastards!\The feeling is mutual.\But you will lose.\Paralyzing plants?\Saizo! response:	How weak.
context: Those who hear the name Kirigakure Saizo don't live to tell the tale!\He's Kirigakure?\I hate you Koga bastards!\The feeling is mutual.\But you will lose.\Paralyzing plants?\Saizo!\How weak. response:	A decoy.
context: He's Kirigakure?\I hate you Koga bastards!\The feeling is mutual.\But you will lose.\Paralyzing plants?\Saizo!\How weak.\A decoy. response:	Thanks for the fun, you bastard.
context: I hate you Koga bastards!\The feeling is mutual.\But you will lose.\Paralyzing plants?\Saizo!\How weak.\A decoy.\Thanks for the fun, you bastard. response:	You're not too bad, monkey.
context: The feeling is mutual.\But you will lose.\Paralyzing plants?\Saizo!\How weak.\A decoy.\Thanks for the fun, you bastard.\You're not too bad, monkey. response:	Who is your master?
context: But you will lose.\Paralyzing plants?\Saizo!\How weak.\A decoy.\Thanks for the fun, you bastard.\You're not too bad, monkey.\Who is your master? response:	My master?
context: Paralyzing plants?\Saizo!\How weak.\A decoy.\Thanks for the fun, you bastard.\You're not too bad, monkey.\Who is your master?\My master? response:	Don't assume I'm like you.
context: Saizo!\How weak.\A decoy.\Thanks for the fun, you bastard.\You're not too bad, monkey.\Who is your master?\My master?\Don't assume I'm like you. response:	Masters don't mean shit to me.
context: How weak.\A decoy.\Thanks for the fun, you bastard.\You're not too bad, monkey.\Who is your master?\My master?\Don't assume I'm like you.\Masters don't mean shit to me. response:	Stop!
context: A decoy.\Thanks for the fun, you bastard.\You're not too bad, monkey.\Who is your master?\My master?\Don't assume I'm like you.\Masters don't mean shit to me.\Stop! response:	Enough already!
context: Thanks for the fun, you bastard.\You're not too bad, monkey.\Who is your master?\My master?\Don't assume I'm like you.\Masters don't mean shit to me.\Stop!\Enough already! response:	I came here to see someone named Sanada Yukimura!
context: You're not too bad, monkey.\Who is your master?\My master?\Don't assume I'm like you.\Masters don't mean shit to me.\Stop!\Enough already!\I came here to see someone named Sanada Yukimura! response:	So this is the formidable Ueda Castle.
context: Who is your master?\My master?\Don't assume I'm like you.\Masters don't mean shit to me.\Stop!\Enough already!\I came here to see someone named Sanada Yukimura!\So this is the formidable Ueda Castle. response:	It's awfully plain, isn't it?
context: My master?\Don't assume I'm like you.\Masters don't mean shit to me.\Stop!\Enough already!\I came here to see someone named Sanada Yukimura!\So this is the formidable Ueda Castle.\It's awfully plain, isn't it? response:	I thought I'd be excited to see my first castle.
