context: A month after I moved to Tokyo, response:	my incredible luck...
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	I'm broke!
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I'm broke! response:	Naturally.
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I'm broke!\Naturally. response:	But why? I worked so hard and saved up before coming here,
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I'm broke!\Naturally.\But why? I worked so hard and saved up before coming here, response:	yet I only have 2,228 yen left.
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I'm broke!\Naturally.\But why? I worked so hard and saved up before coming here,\yet I only have 2,228 yen left. response:	If you spend your money, it runs out.
context: I wanna need your love\I'm a broken rose\I wanna need your love\I'm broke!\Naturally.\But why? I worked so hard and saved up before coming here,\yet I only have 2,228 yen left.\If you spend your money, it runs out. response:	You went on this crazy spending splurge of clothes and furniture.
context: I'm a broken rose\I wanna need your love\I'm broke!\Naturally.\But why? I worked so hard and saved up before coming here,\yet I only have 2,228 yen left.\If you spend your money, it runs out.\You went on this crazy spending splurge of clothes and furniture. response:	But Mr. Mizukoshi gave me a good deal on everything I got from there.
context: I wanna need your love\I'm broke!\Naturally.\But why? I worked so hard and saved up before coming here,\yet I only have 2,228 yen left.\If you spend your money, it runs out.\You went on this crazy spending splurge of clothes and furniture.\But Mr. Mizukoshi gave me a good deal on everything I got from there. response:	On top of that, rather than cash,
context: I'm broke!\Naturally.\But why? I worked so hard and saved up before coming here,\yet I only have 2,228 yen left.\If you spend your money, it runs out.\You went on this crazy spending splurge of clothes and furniture.\But Mr. Mizukoshi gave me a good deal on everything I got from there.\On top of that, rather than cash, response:	he offered to deduct the amount for the clothes I got from my salary.
context: Naturally.\But why? I worked so hard and saved up before coming here,\yet I only have 2,228 yen left.\If you spend your money, it runs out.\You went on this crazy spending splurge of clothes and furniture.\But Mr. Mizukoshi gave me a good deal on everything I got from there.\On top of that, rather than cash,\he offered to deduct the amount for the clothes I got from my salary. response:	That's why you didn't have much of a salary to bring home last month.
context: But why? I worked so hard and saved up before coming here,\yet I only have 2,228 yen left.\If you spend your money, it runs out.\You went on this crazy spending splurge of clothes and furniture.\But Mr. Mizukoshi gave me a good deal on everything I got from there.\On top of that, rather than cash,\he offered to deduct the amount for the clothes I got from my salary.\That's why you didn't have much of a salary to bring home last month. response:	That's right! Isn't it horrible?!
context: yet I only have 2,228 yen left.\If you spend your money, it runs out.\You went on this crazy spending splurge of clothes and furniture.\But Mr. Mizukoshi gave me a good deal on everything I got from there.\On top of that, rather than cash,\he offered to deduct the amount for the clothes I got from my salary.\That's why you didn't have much of a salary to bring home last month.\That's right! Isn't it horrible?! response:	- Was I tricked, you think?! - You did it to yourself!
context: If you spend your money, it runs out.\You went on this crazy spending splurge of clothes and furniture.\But Mr. Mizukoshi gave me a good deal on everything I got from there.\On top of that, rather than cash,\he offered to deduct the amount for the clothes I got from my salary.\That's why you didn't have much of a salary to bring home last month.\That's right! Isn't it horrible?!\- Was I tricked, you think?! - You did it to yourself! response:	What about you? Do you have enough money to get by, Nana?
context: You went on this crazy spending splurge of clothes and furniture.\But Mr. Mizukoshi gave me a good deal on everything I got from there.\On top of that, rather than cash,\he offered to deduct the amount for the clothes I got from my salary.\That's why you didn't have much of a salary to bring home last month.\That's right! Isn't it horrible?!\- Was I tricked, you think?! - You did it to yourself!\What about you? Do you have enough money to get by, Nana? response:	You don't have a full-time job, just temporary stuff from time to time.
context: But Mr. Mizukoshi gave me a good deal on everything I got from there.\On top of that, rather than cash,\he offered to deduct the amount for the clothes I got from my salary.\That's why you didn't have much of a salary to bring home last month.\That's right! Isn't it horrible?!\- Was I tricked, you think?! - You did it to yourself!\What about you? Do you have enough money to get by, Nana?\You don't have a full-time job, just temporary stuff from time to time. response:	Unlike you, I don't waste my money.
context: On top of that, rather than cash,\he offered to deduct the amount for the clothes I got from my salary.\That's why you didn't have much of a salary to bring home last month.\That's right! Isn't it horrible?!\- Was I tricked, you think?! - You did it to yourself!\What about you? Do you have enough money to get by, Nana?\You don't have a full-time job, just temporary stuff from time to time.\Unlike you, I don't waste my money. response:	- Thank goodness. - Don't rely on someone else's money!
context: he offered to deduct the amount for the clothes I got from my salary.\That's why you didn't have much of a salary to bring home last month.\That's right! Isn't it horrible?!\- Was I tricked, you think?! - You did it to yourself!\What about you? Do you have enough money to get by, Nana?\You don't have a full-time job, just temporary stuff from time to time.\Unlike you, I don't waste my money.\- Thank goodness. - Don't rely on someone else's money! response:	I have no intention of doing so.
context: That's why you didn't have much of a salary to bring home last month.\That's right! Isn't it horrible?!\- Was I tricked, you think?! - You did it to yourself!\What about you? Do you have enough money to get by, Nana?\You don't have a full-time job, just temporary stuff from time to time.\Unlike you, I don't waste my money.\- Thank goodness. - Don't rely on someone else's money!\I have no intention of doing so. response:	Then what did you mean?
context: That's right! Isn't it horrible?!\- Was I tricked, you think?! - You did it to yourself!\What about you? Do you have enough money to get by, Nana?\You don't have a full-time job, just temporary stuff from time to time.\Unlike you, I don't waste my money.\- Thank goodness. - Don't rely on someone else's money!\I have no intention of doing so.\Then what did you mean? response:	You see, if we both didn't have money, that leads to anxiety, don't you think?
context: - Was I tricked, you think?! - You did it to yourself!\What about you? Do you have enough money to get by, Nana?\You don't have a full-time job, just temporary stuff from time to time.\Unlike you, I don't waste my money.\- Thank goodness. - Don't rely on someone else's money!\I have no intention of doing so.\Then what did you mean?\You see, if we both didn't have money, that leads to anxiety, don't you think? response:	You are relying on my money! Don't count on it!
context: What about you? Do you have enough money to get by, Nana?\You don't have a full-time job, just temporary stuff from time to time.\Unlike you, I don't waste my money.\- Thank goodness. - Don't rely on someone else's money!\I have no intention of doing so.\Then what did you mean?\You see, if we both didn't have money, that leads to anxiety, don't you think?\You are relying on my money! Don't count on it! response:	We agreed to split the rent for this place, exactly half-half.
context: You don't have a full-time job, just temporary stuff from time to time.\Unlike you, I don't waste my money.\- Thank goodness. - Don't rely on someone else's money!\I have no intention of doing so.\Then what did you mean?\You see, if we both didn't have money, that leads to anxiety, don't you think?\You are relying on my money! Don't count on it!\We agreed to split the rent for this place, exactly half-half. response:	If you can't make arrangements for funds by the end of the month,
context: Unlike you, I don't waste my money.\- Thank goodness. - Don't rely on someone else's money!\I have no intention of doing so.\Then what did you mean?\You see, if we both didn't have money, that leads to anxiety, don't you think?\You are relying on my money! Don't count on it!\We agreed to split the rent for this place, exactly half-half.\If you can't make arrangements for funds by the end of the month, response:	I'm kicking you out.
context: - Thank goodness. - Don't rely on someone else's money!\I have no intention of doing so.\Then what did you mean?\You see, if we both didn't have money, that leads to anxiety, don't you think?\You are relying on my money! Don't count on it!\We agreed to split the rent for this place, exactly half-half.\If you can't make arrangements for funds by the end of the month,\I'm kicking you out. response:	- You devil! - Huh?!
context: I have no intention of doing so.\Then what did you mean?\You see, if we both didn't have money, that leads to anxiety, don't you think?\You are relying on my money! Don't count on it!\We agreed to split the rent for this place, exactly half-half.\If you can't make arrangements for funds by the end of the month,\I'm kicking you out.\- You devil! - Huh?! response:	It wouldn't bother you if I lay in the streets dying, would it, Nana?!
context: Then what did you mean?\You see, if we both didn't have money, that leads to anxiety, don't you think?\You are relying on my money! Don't count on it!\We agreed to split the rent for this place, exactly half-half.\If you can't make arrangements for funds by the end of the month,\I'm kicking you out.\- You devil! - Huh?!\It wouldn't bother you if I lay in the streets dying, would it, Nana?! response:	Dying once may do you good!
context: You see, if we both didn't have money, that leads to anxiety, don't you think?\You are relying on my money! Don't count on it!\We agreed to split the rent for this place, exactly half-half.\If you can't make arrangements for funds by the end of the month,\I'm kicking you out.\- You devil! - Huh?!\It wouldn't bother you if I lay in the streets dying, would it, Nana?!\Dying once may do you good! response:	Please, don't abandon me!
context: You are relying on my money! Don't count on it!\We agreed to split the rent for this place, exactly half-half.\If you can't make arrangements for funds by the end of the month,\I'm kicking you out.\- You devil! - Huh?!\It wouldn't bother you if I lay in the streets dying, would it, Nana?!\Dying once may do you good!\Please, don't abandon me! response:	Let go of me! I'll be late for work.
context: We agreed to split the rent for this place, exactly half-half.\If you can't make arrangements for funds by the end of the month,\I'm kicking you out.\- You devil! - Huh?!\It wouldn't bother you if I lay in the streets dying, would it, Nana?!\Dying once may do you good!\Please, don't abandon me!\Let go of me! I'll be late for work. response:	Work?
context: If you can't make arrangements for funds by the end of the month,\I'm kicking you out.\- You devil! - Huh?!\It wouldn't bother you if I lay in the streets dying, would it, Nana?!\Dying once may do you good!\Please, don't abandon me!\Let go of me! I'll be late for work.\Work? response:	What kinda work are you doing at this hour of the night?
context: I'm kicking you out.\- You devil! - Huh?!\It wouldn't bother you if I lay in the streets dying, would it, Nana?!\Dying once may do you good!\Please, don't abandon me!\Let go of me! I'll be late for work.\Work?\What kinda work are you doing at this hour of the night? response:	Is it an SM club?
context: - You devil! - Huh?!\It wouldn't bother you if I lay in the streets dying, would it, Nana?!\Dying once may do you good!\Please, don't abandon me!\Let go of me! I'll be late for work.\Work?\What kinda work are you doing at this hour of the night?\Is it an SM club? response:	What do you care?
context: It wouldn't bother you if I lay in the streets dying, would it, Nana?!\Dying once may do you good!\Please, don't abandon me!\Let go of me! I'll be late for work.\Work?\What kinda work are you doing at this hour of the night?\Is it an SM club?\What do you care? response:	Have a good night with the ghosts.
context: Dying once may do you good!\Please, don't abandon me!\Let go of me! I'll be late for work.\Work?\What kinda work are you doing at this hour of the night?\Is it an SM club?\What do you care?\Have a good night with the ghosts. response:	No way...
context: Please, don't abandon me!\Let go of me! I'll be late for work.\Work?\What kinda work are you doing at this hour of the night?\Is it an SM club?\What do you care?\Have a good night with the ghosts.\No way... response:	No. This is no time to be afraid of ghosts.
context: Let go of me! I'll be late for work.\Work?\What kinda work are you doing at this hour of the night?\Is it an SM club?\What do you care?\Have a good night with the ghosts.\No way...\No. This is no time to be afraid of ghosts. response:	My problem is money.
context: Work?\What kinda work are you doing at this hour of the night?\Is it an SM club?\What do you care?\Have a good night with the ghosts.\No way...\No. This is no time to be afraid of ghosts.\My problem is money. response:	There's over half a month until my next payday.
context: What kinda work are you doing at this hour of the night?\Is it an SM club?\What do you care?\Have a good night with the ghosts.\No way...\No. This is no time to be afraid of ghosts.\My problem is money.\There's over half a month until my next payday. response:	Will I survive on 2,000 yen?
context: Is it an SM club?\What do you care?\Have a good night with the ghosts.\No way...\No. This is no time to be afraid of ghosts.\My problem is money.\There's over half a month until my next payday.\Will I survive on 2,000 yen? response:	What am I to do? This is getting scary.
context: What do you care?\Have a good night with the ghosts.\No way...\No. This is no time to be afraid of ghosts.\My problem is money.\There's over half a month until my next payday.\Will I survive on 2,000 yen?\What am I to do? This is getting scary. response:	Having no money is scary!
context: Have a good night with the ghosts.\No way...\No. This is no time to be afraid of ghosts.\My problem is money.\There's over half a month until my next payday.\Will I survive on 2,000 yen?\What am I to do? This is getting scary.\Having no money is scary! response:	I didn't come to Tokyo to experience this!
context: No way...\No. This is no time to be afraid of ghosts.\My problem is money.\There's over half a month until my next payday.\Will I survive on 2,000 yen?\What am I to do? This is getting scary.\Having no money is scary!\I didn't come to Tokyo to experience this! response:	Then why did you come?
context: No. This is no time to be afraid of ghosts.\My problem is money.\There's over half a month until my next payday.\Will I survive on 2,000 yen?\What am I to do? This is getting scary.\Having no money is scary!\I didn't come to Tokyo to experience this!\Then why did you come? response:	To make it on my own?
context: My problem is money.\There's over half a month until my next payday.\Will I survive on 2,000 yen?\What am I to do? This is getting scary.\Having no money is scary!\I didn't come to Tokyo to experience this!\Then why did you come?\To make it on my own? response:	Then solve this on your own.
context: There's over half a month until my next payday.\Will I survive on 2,000 yen?\What am I to do? This is getting scary.\Having no money is scary!\I didn't come to Tokyo to experience this!\Then why did you come?\To make it on my own?\Then solve this on your own. response:	But how?
context: Will I survive on 2,000 yen?\What am I to do? This is getting scary.\Having no money is scary!\I didn't come to Tokyo to experience this!\Then why did you come?\To make it on my own?\Then solve this on your own.\But how? response:	That's for you to figure out!
context: What am I to do? This is getting scary.\Having no money is scary!\I didn't come to Tokyo to experience this!\Then why did you come?\To make it on my own?\Then solve this on your own.\But how?\That's for you to figure out! response:	But I don't know how to be a dominatrix!
context: Having no money is scary!\I didn't come to Tokyo to experience this!\Then why did you come?\To make it on my own?\Then solve this on your own.\But how?\That's for you to figure out!\But I don't know how to be a dominatrix! response:	A dominatrix?
context: I didn't come to Tokyo to experience this!\Then why did you come?\To make it on my own?\Then solve this on your own.\But how?\That's for you to figure out!\But I don't know how to be a dominatrix!\A dominatrix? response:	Talk to Shoji and have him feed you until the end of the month.
context: Then why did you come?\To make it on my own?\Then solve this on your own.\But how?\That's for you to figure out!\But I don't know how to be a dominatrix!\A dominatrix?\Talk to Shoji and have him feed you until the end of the month. response:	I can't do that.
context: To make it on my own?\Then solve this on your own.\But how?\That's for you to figure out!\But I don't know how to be a dominatrix!\A dominatrix?\Talk to Shoji and have him feed you until the end of the month.\I can't do that. response:	If I talk to Shoji about this he'll hate me,
context: Then solve this on your own.\But how?\That's for you to figure out!\But I don't know how to be a dominatrix!\A dominatrix?\Talk to Shoji and have him feed you until the end of the month.\I can't do that.\If I talk to Shoji about this he'll hate me, response:	and no longer wanna be with me, for sure.
context: But how?\That's for you to figure out!\But I don't know how to be a dominatrix!\A dominatrix?\Talk to Shoji and have him feed you until the end of the month.\I can't do that.\If I talk to Shoji about this he'll hate me,\and no longer wanna be with me, for sure. response:	Also he's very busy with work and his studies at university,
context: That's for you to figure out!\But I don't know how to be a dominatrix!\A dominatrix?\Talk to Shoji and have him feed you until the end of the month.\I can't do that.\If I talk to Shoji about this he'll hate me,\and no longer wanna be with me, for sure.\Also he's very busy with work and his studies at university, response:	so I'd only be a nuisance bothering him at this late hour.
context: But I don't know how to be a dominatrix!\A dominatrix?\Talk to Shoji and have him feed you until the end of the month.\I can't do that.\If I talk to Shoji about this he'll hate me,\and no longer wanna be with me, for sure.\Also he's very busy with work and his studies at university,\so I'd only be a nuisance bothering him at this late hour. response:	You got that right!
context: A dominatrix?\Talk to Shoji and have him feed you until the end of the month.\I can't do that.\If I talk to Shoji about this he'll hate me,\and no longer wanna be with me, for sure.\Also he's very busy with work and his studies at university,\so I'd only be a nuisance bothering him at this late hour.\You got that right! response:	I get it, Nana. So don't cry.
context: Talk to Shoji and have him feed you until the end of the month.\I can't do that.\If I talk to Shoji about this he'll hate me,\and no longer wanna be with me, for sure.\Also he's very busy with work and his studies at university,\so I'd only be a nuisance bothering him at this late hour.\You got that right!\I get it, Nana. So don't cry. response:	Use this to hold you over until the end of the month.
context: I can't do that.\If I talk to Shoji about this he'll hate me,\and no longer wanna be with me, for sure.\Also he's very busy with work and his studies at university,\so I'd only be a nuisance bothering him at this late hour.\You got that right!\I get it, Nana. So don't cry.\Use this to hold you over until the end of the month. response:	Kyosuke!
context: If I talk to Shoji about this he'll hate me,\and no longer wanna be with me, for sure.\Also he's very busy with work and his studies at university,\so I'd only be a nuisance bothering him at this late hour.\You got that right!\I get it, Nana. So don't cry.\Use this to hold you over until the end of the month.\Kyosuke! response:	We cannot afford that!
context: and no longer wanna be with me, for sure.\Also he's very busy with work and his studies at university,\so I'd only be a nuisance bothering him at this late hour.\You got that right!\I get it, Nana. So don't cry.\Use this to hold you over until the end of the month.\Kyosuke!\We cannot afford that! response:	I'm not giving it to her. It's just a loan.
context: Also he's very busy with work and his studies at university,\so I'd only be a nuisance bothering him at this late hour.\You got that right!\I get it, Nana. So don't cry.\Use this to hold you over until the end of the month.\Kyosuke!\We cannot afford that!\I'm not giving it to her. It's just a loan. response:	No way.
context: so I'd only be a nuisance bothering him at this late hour.\You got that right!\I get it, Nana. So don't cry.\Use this to hold you over until the end of the month.\Kyosuke!\We cannot afford that!\I'm not giving it to her. It's just a loan.\No way. response:	Give Nana cash, and you're certain it'll be all gone in a day.
context: You got that right!\I get it, Nana. So don't cry.\Use this to hold you over until the end of the month.\Kyosuke!\We cannot afford that!\I'm not giving it to her. It's just a loan.\No way.\Give Nana cash, and you're certain it'll be all gone in a day. response:	That's a cruel thing to say, Jun-chan.
context: I get it, Nana. So don't cry.\Use this to hold you over until the end of the month.\Kyosuke!\We cannot afford that!\I'm not giving it to her. It's just a loan.\No way.\Give Nana cash, and you're certain it'll be all gone in a day.\That's a cruel thing to say, Jun-chan. response:	- What? - Rice.
context: Use this to hold you over until the end of the month.\Kyosuke!\We cannot afford that!\I'm not giving it to her. It's just a loan.\No way.\Give Nana cash, and you're certain it'll be all gone in a day.\That's a cruel thing to say, Jun-chan.\- What? - Rice. response:	My parents sent me some. I'll share it with you.
context: Kyosuke!\We cannot afford that!\I'm not giving it to her. It's just a loan.\No way.\Give Nana cash, and you're certain it'll be all gone in a day.\That's a cruel thing to say, Jun-chan.\- What? - Rice.\My parents sent me some. I'll share it with you. response:	You can feast on this until the end of the month.
context: We cannot afford that!\I'm not giving it to her. It's just a loan.\No way.\Give Nana cash, and you're certain it'll be all gone in a day.\That's a cruel thing to say, Jun-chan.\- What? - Rice.\My parents sent me some. I'll share it with you.\You can feast on this until the end of the month. response:	No way! No way! No way!
context: I'm not giving it to her. It's just a loan.\No way.\Give Nana cash, and you're certain it'll be all gone in a day.\That's a cruel thing to say, Jun-chan.\- What? - Rice.\My parents sent me some. I'll share it with you.\You can feast on this until the end of the month.\No way! No way! No way! response:	Hey, what about meat and vegetable dishes?
context: No way.\Give Nana cash, and you're certain it'll be all gone in a day.\That's a cruel thing to say, Jun-chan.\- What? - Rice.\My parents sent me some. I'll share it with you.\You can feast on this until the end of the month.\No way! No way! No way!\Hey, what about meat and vegetable dishes? response:	It's all right. Calm down and think.
context: Give Nana cash, and you're certain it'll be all gone in a day.\That's a cruel thing to say, Jun-chan.\- What? - Rice.\My parents sent me some. I'll share it with you.\You can feast on this until the end of the month.\No way! No way! No way!\Hey, what about meat and vegetable dishes?\It's all right. Calm down and think. response:	My next payday is on the 26th.
context: That's a cruel thing to say, Jun-chan.\- What? - Rice.\My parents sent me some. I'll share it with you.\You can feast on this until the end of the month.\No way! No way! No way!\Hey, what about meat and vegetable dishes?\It's all right. Calm down and think.\My next payday is on the 26th. response:	If I don't buy anything from the store, I'll receive at least 70,000 yen.
context: - What? - Rice.\My parents sent me some. I'll share it with you.\You can feast on this until the end of the month.\No way! No way! No way!\Hey, what about meat and vegetable dishes?\It's all right. Calm down and think.\My next payday is on the 26th.\If I don't buy anything from the store, I'll receive at least 70,000 yen. response:	But I'll be debited for my cell phone,
context: My parents sent me some. I'll share it with you.\You can feast on this until the end of the month.\No way! No way! No way!\Hey, what about meat and vegetable dishes?\It's all right. Calm down and think.\My next payday is on the 26th.\If I don't buy anything from the store, I'll receive at least 70,000 yen.\But I'll be debited for my cell phone, response:	so I should deposit 10,000 in my bank account.
context: You can feast on this until the end of the month.\No way! No way! No way!\Hey, what about meat and vegetable dishes?\It's all right. Calm down and think.\My next payday is on the 26th.\If I don't buy anything from the store, I'll receive at least 70,000 yen.\But I'll be debited for my cell phone,\so I should deposit 10,000 in my bank account. response:	That leaves me with 60,000.
context: No way! No way! No way!\Hey, what about meat and vegetable dishes?\It's all right. Calm down and think.\My next payday is on the 26th.\If I don't buy anything from the store, I'll receive at least 70,000 yen.\But I'll be debited for my cell phone,\so I should deposit 10,000 in my bank account.\That leaves me with 60,000. response:	I only need to pay half the rent and utility bills,
context: Hey, what about meat and vegetable dishes?\It's all right. Calm down and think.\My next payday is on the 26th.\If I don't buy anything from the store, I'll receive at least 70,000 yen.\But I'll be debited for my cell phone,\so I should deposit 10,000 in my bank account.\That leaves me with 60,000.\I only need to pay half the rent and utility bills, response:	so 60,000 should be more than enough.
context: It's all right. Calm down and think.\My next payday is on the 26th.\If I don't buy anything from the store, I'll receive at least 70,000 yen.\But I'll be debited for my cell phone,\so I should deposit 10,000 in my bank account.\That leaves me with 60,000.\I only need to pay half the rent and utility bills,\so 60,000 should be more than enough. response:	Hey, not a problem.
context: My next payday is on the 26th.\If I don't buy anything from the store, I'll receive at least 70,000 yen.\But I'll be debited for my cell phone,\so I should deposit 10,000 in my bank account.\That leaves me with 60,000.\I only need to pay half the rent and utility bills,\so 60,000 should be more than enough.\Hey, not a problem. response:	But I'll only have a little left over.
context: If I don't buy anything from the store, I'll receive at least 70,000 yen.\But I'll be debited for my cell phone,\so I should deposit 10,000 in my bank account.\That leaves me with 60,000.\I only need to pay half the rent and utility bills,\so 60,000 should be more than enough.\Hey, not a problem.\But I'll only have a little left over. response:	And I'll hafta survive another full month with that little amount.
context: But I'll be debited for my cell phone,\so I should deposit 10,000 in my bank account.\That leaves me with 60,000.\I only need to pay half the rent and utility bills,\so 60,000 should be more than enough.\Hey, not a problem.\But I'll only have a little left over.\And I'll hafta survive another full month with that little amount. response:	Now I've gone past being scared. I'm beginning to feel depressed.
context: so I should deposit 10,000 in my bank account.\That leaves me with 60,000.\I only need to pay half the rent and utility bills,\so 60,000 should be more than enough.\Hey, not a problem.\But I'll only have a little left over.\And I'll hafta survive another full month with that little amount.\Now I've gone past being scared. I'm beginning to feel depressed. response:	Nana-chan.
context: That leaves me with 60,000.\I only need to pay half the rent and utility bills,\so 60,000 should be more than enough.\Hey, not a problem.\But I'll only have a little left over.\And I'll hafta survive another full month with that little amount.\Now I've gone past being scared. I'm beginning to feel depressed.\Nana-chan. response:	You can go on your lunch break.
context: I only need to pay half the rent and utility bills,\so 60,000 should be more than enough.\Hey, not a problem.\But I'll only have a little left over.\And I'll hafta survive another full month with that little amount.\Now I've gone past being scared. I'm beginning to feel depressed.\Nana-chan.\You can go on your lunch break. response:	Oh, it's okay. I'll be skipping my lunches for a while.
context: so 60,000 should be more than enough.\Hey, not a problem.\But I'll only have a little left over.\And I'll hafta survive another full month with that little amount.\Now I've gone past being scared. I'm beginning to feel depressed.\Nana-chan.\You can go on your lunch break.\Oh, it's okay. I'll be skipping my lunches for a while. response:	Huh? Why's that?
context: Hey, not a problem.\But I'll only have a little left over.\And I'll hafta survive another full month with that little amount.\Now I've gone past being scared. I'm beginning to feel depressed.\Nana-chan.\You can go on your lunch break.\Oh, it's okay. I'll be skipping my lunches for a while.\Huh? Why's that? response:	Well...
context: But I'll only have a little left over.\And I'll hafta survive another full month with that little amount.\Now I've gone past being scared. I'm beginning to feel depressed.\Nana-chan.\You can go on your lunch break.\Oh, it's okay. I'll be skipping my lunches for a while.\Huh? Why's that?\Well... response:	I've decided to go on a diet.
context: And I'll hafta survive another full month with that little amount.\Now I've gone past being scared. I'm beginning to feel depressed.\Nana-chan.\You can go on your lunch break.\Oh, it's okay. I'll be skipping my lunches for a while.\Huh? Why's that?\Well...\I've decided to go on a diet. response:	So that's why you're looking under the weather today.
context: Now I've gone past being scared. I'm beginning to feel depressed.\Nana-chan.\You can go on your lunch break.\Oh, it's okay. I'll be skipping my lunches for a while.\Huh? Why's that?\Well...\I've decided to go on a diet.\So that's why you're looking under the weather today. response:	Brighten up, Hachi. But that's unfortunate.
context: Nana-chan.\You can go on your lunch break.\Oh, it's okay. I'll be skipping my lunches for a while.\Huh? Why's that?\Well...\I've decided to go on a diet.\So that's why you're looking under the weather today.\Brighten up, Hachi. But that's unfortunate. response:	It wouldn't be proper to invite you out at such a time.
context: You can go on your lunch break.\Oh, it's okay. I'll be skipping my lunches for a while.\Huh? Why's that?\Well...\I've decided to go on a diet.\So that's why you're looking under the weather today.\Brighten up, Hachi. But that's unfortunate.\It wouldn't be proper to invite you out at such a time. response:	I wanted to take you to dinner.
context: Oh, it's okay. I'll be skipping my lunches for a while.\Huh? Why's that?\Well...\I've decided to go on a diet.\So that's why you're looking under the weather today.\Brighten up, Hachi. But that's unfortunate.\It wouldn't be proper to invite you out at such a time.\I wanted to take you to dinner. response:	Yay! Food!
context: Huh? Why's that?\Well...\I've decided to go on a diet.\So that's why you're looking under the weather today.\Brighten up, Hachi. But that's unfortunate.\It wouldn't be proper to invite you out at such a time.\I wanted to take you to dinner.\Yay! Food! response:	All right. We'll close early today.
context: Well...\I've decided to go on a diet.\So that's why you're looking under the weather today.\Brighten up, Hachi. But that's unfortunate.\It wouldn't be proper to invite you out at such a time.\I wanted to take you to dinner.\Yay! Food!\All right. We'll close early today. response:	Think about what you wanna eat.
