context: We're going to change the location of our battle. response:	Suit yourself. It will all end up the same.
context: I should be thankful. But what's more...\Even a left-behind might be able to overcome an elite, if he tries desperately enough.\An amusing joke.\Now then, allow me to show you a barrier that you cannot overcome,\no matter how hard you try!\What's the matter, Kakarrot!? You can do better than this, can't you!?\When you defeated Nappa, you had to have been doing better than this!\Let me see it! response:	I should have expected as much...
context: Even a left-behind might be able to overcome an elite, if he tries desperately enough.\An amusing joke.\Now then, allow me to show you a barrier that you cannot overcome,\no matter how hard you try!\What's the matter, Kakarrot!? You can do better than this, can't you!?\When you defeated Nappa, you had to have been doing better than this!\Let me see it!\I should have expected as much... response:	He still ain't the least bit serious,
context: An amusing joke.\Now then, allow me to show you a barrier that you cannot overcome,\no matter how hard you try!\What's the matter, Kakarrot!? You can do better than this, can't you!?\When you defeated Nappa, you had to have been doing better than this!\Let me see it!\I should have expected as much...\He still ain't the least bit serious, response:	but his speed and techniques already surpass my own.
context: Now then, allow me to show you a barrier that you cannot overcome,\no matter how hard you try!\What's the matter, Kakarrot!? You can do better than this, can't you!?\When you defeated Nappa, you had to have been doing better than this!\Let me see it!\I should have expected as much...\He still ain't the least bit serious,\but his speed and techniques already surpass my own. response:	Show me what you've got! Or have you already used up all of your power?
context: no matter how hard you try!\What's the matter, Kakarrot!? You can do better than this, can't you!?\When you defeated Nappa, you had to have been doing better than this!\Let me see it!\I should have expected as much...\He still ain't the least bit serious,\but his speed and techniques already surpass my own.\Show me what you've got! Or have you already used up all of your power? response:	You got it. I'll show you!
context: What's the matter, Kakarrot!? You can do better than this, can't you!?\When you defeated Nappa, you had to have been doing better than this!\Let me see it!\I should have expected as much...\He still ain't the least bit serious,\but his speed and techniques already surpass my own.\Show me what you've got! Or have you already used up all of your power?\You got it. I'll show you! response:	Kaio-ken!!
context: When you defeated Nappa, you had to have been doing better than this!\Let me see it!\I should have expected as much...\He still ain't the least bit serious,\but his speed and techniques already surpass my own.\Show me what you've got! Or have you already used up all of your power?\You got it. I'll show you!\Kaio-ken!! response:	If that's the limit of what you've got, then I'll be greatly disappointed!
context: Let me see it!\I should have expected as much...\He still ain't the least bit serious,\but his speed and techniques already surpass my own.\Show me what you've got! Or have you already used up all of your power?\You got it. I'll show you!\Kaio-ken!!\If that's the limit of what you've got, then I'll be greatly disappointed! response:	What a powerful bastard!
context: I should have expected as much...\He still ain't the least bit serious,\but his speed and techniques already surpass my own.\Show me what you've got! Or have you already used up all of your power?\You got it. I'll show you!\Kaio-ken!!\If that's the limit of what you've got, then I'll be greatly disappointed!\What a powerful bastard! response:	And yet,
context: He still ain't the least bit serious,\but his speed and techniques already surpass my own.\Show me what you've got! Or have you already used up all of your power?\You got it. I'll show you!\Kaio-ken!!\If that's the limit of what you've got, then I'll be greatly disappointed!\What a powerful bastard!\And yet, response:	even though I'm in this kind of trouble, I'm starting to get excited.
context: but his speed and techniques already surpass my own.\Show me what you've got! Or have you already used up all of your power?\You got it. I'll show you!\Kaio-ken!!\If that's the limit of what you've got, then I'll be greatly disappointed!\What a powerful bastard!\And yet,\even though I'm in this kind of trouble, I'm starting to get excited. response:	I don't see a thing.
context: Show me what you've got! Or have you already used up all of your power?\You got it. I'll show you!\Kaio-ken!!\If that's the limit of what you've got, then I'll be greatly disappointed!\What a powerful bastard!\And yet,\even though I'm in this kind of trouble, I'm starting to get excited.\I don't see a thing. response:	What's the matter?
context: You got it. I'll show you!\Kaio-ken!!\If that's the limit of what you've got, then I'll be greatly disappointed!\What a powerful bastard!\And yet,\even though I'm in this kind of trouble, I'm starting to get excited.\I don't see a thing.\What's the matter? response:	This is because you got violent with it!
context: Kaio-ken!!\If that's the limit of what you've got, then I'll be greatly disappointed!\What a powerful bastard!\And yet,\even though I'm in this kind of trouble, I'm starting to get excited.\I don't see a thing.\What's the matter?\This is because you got violent with it! response:	What, are you blaming someone else!?
context: If that's the limit of what you've got, then I'll be greatly disappointed!\What a powerful bastard!\And yet,\even though I'm in this kind of trouble, I'm starting to get excited.\I don't see a thing.\What's the matter?\This is because you got violent with it!\What, are you blaming someone else!? response:	Well it's the truth!
context: What a powerful bastard!\And yet,\even though I'm in this kind of trouble, I'm starting to get excited.\I don't see a thing.\What's the matter?\This is because you got violent with it!\What, are you blaming someone else!?\Well it's the truth! response:	No, no, that's not why, Sis.
context: And yet,\even though I'm in this kind of trouble, I'm starting to get excited.\I don't see a thing.\What's the matter?\This is because you got violent with it!\What, are you blaming someone else!?\Well it's the truth!\No, no, that's not why, Sis. response:	It's not because the crystal ball is broken,
context: even though I'm in this kind of trouble, I'm starting to get excited.\I don't see a thing.\What's the matter?\This is because you got violent with it!\What, are you blaming someone else!?\Well it's the truth!\No, no, that's not why, Sis.\It's not because the crystal ball is broken, response:	it's because the terribly fierce power of their Ki
context: I don't see a thing.\What's the matter?\This is because you got violent with it!\What, are you blaming someone else!?\Well it's the truth!\No, no, that's not why, Sis.\It's not because the crystal ball is broken,\it's because the terribly fierce power of their Ki response:	is concealing them from even the spiritual powers of your crystal ball.
context: What's the matter?\This is because you got violent with it!\What, are you blaming someone else!?\Well it's the truth!\No, no, that's not why, Sis.\It's not because the crystal ball is broken,\it's because the terribly fierce power of their Ki\is concealing them from even the spiritual powers of your crystal ball. response:	Then, at least they're still fighting, right?
context: This is because you got violent with it!\What, are you blaming someone else!?\Well it's the truth!\No, no, that's not why, Sis.\It's not because the crystal ball is broken,\it's because the terribly fierce power of their Ki\is concealing them from even the spiritual powers of your crystal ball.\Then, at least they're still fighting, right? response:	Probably.
context: What, are you blaming someone else!?\Well it's the truth!\No, no, that's not why, Sis.\It's not because the crystal ball is broken,\it's because the terribly fierce power of their Ki\is concealing them from even the spiritual powers of your crystal ball.\Then, at least they're still fighting, right?\Probably. response:	I know! If I use that thing, I can tell!
context: Well it's the truth!\No, no, that's not why, Sis.\It's not because the crystal ball is broken,\it's because the terribly fierce power of their Ki\is concealing them from even the spiritual powers of your crystal ball.\Then, at least they're still fighting, right?\Probably.\I know! If I use that thing, I can tell! response:	How about it?
context: No, no, that's not why, Sis.\It's not because the crystal ball is broken,\it's because the terribly fierce power of their Ki\is concealing them from even the spiritual powers of your crystal ball.\Then, at least they're still fighting, right?\Probably.\I know! If I use that thing, I can tell!\How about it? response:	There are two large readings to the west.
context: It's not because the crystal ball is broken,\it's because the terribly fierce power of their Ki\is concealing them from even the spiritual powers of your crystal ball.\Then, at least they're still fighting, right?\Probably.\I know! If I use that thing, I can tell!\How about it?\There are two large readings to the west. response:	Just two?
context: it's because the terribly fierce power of their Ki\is concealing them from even the spiritual powers of your crystal ball.\Then, at least they're still fighting, right?\Probably.\I know! If I use that thing, I can tell!\How about it?\There are two large readings to the west.\Just two? response:	He's smiling. Has he given up, and adopted a defiant attitude?
context: is concealing them from even the spiritual powers of your crystal ball.\Then, at least they're still fighting, right?\Probably.\I know! If I use that thing, I can tell!\How about it?\There are two large readings to the west.\Just two?\He's smiling. Has he given up, and adopted a defiant attitude? response:	Or is he poised because he can raise his battle power up even higher?
context: Then, at least they're still fighting, right?\Probably.\I know! If I use that thing, I can tell!\How about it?\There are two large readings to the west.\Just two?\He's smiling. Has he given up, and adopted a defiant attitude?\Or is he poised because he can raise his battle power up even higher? response:	What's the matter!? Finished already!?
context: Probably.\I know! If I use that thing, I can tell!\How about it?\There are two large readings to the west.\Just two?\He's smiling. Has he given up, and adopted a defiant attitude?\Or is he poised because he can raise his battle power up even higher?\What's the matter!? Finished already!? response:	You seem to be at your limit.
context: I know! If I use that thing, I can tell!\How about it?\There are two large readings to the west.\Just two?\He's smiling. Has he given up, and adopted a defiant attitude?\Or is he poised because he can raise his battle power up even higher?\What's the matter!? Finished already!?\You seem to be at your limit. response:	In that case, let me show you something, as your dying gift.
context: How about it?\There are two large readings to the west.\Just two?\He's smiling. Has he given up, and adopted a defiant attitude?\Or is he poised because he can raise his battle power up even higher?\What's the matter!? Finished already!?\You seem to be at your limit.\In that case, let me show you something, as your dying gift. response:	The overwhelming power of a super-elite Saiyan!
context: There are two large readings to the west.\Just two?\He's smiling. Has he given up, and adopted a defiant attitude?\Or is he poised because he can raise his battle power up even higher?\What's the matter!? Finished already!?\You seem to be at your limit.\In that case, let me show you something, as your dying gift.\The overwhelming power of a super-elite Saiyan! response:	Let's see it!
context: Just two?\He's smiling. Has he given up, and adopted a defiant attitude?\Or is he poised because he can raise his battle power up even higher?\What's the matter!? Finished already!?\You seem to be at your limit.\In that case, let me show you something, as your dying gift.\The overwhelming power of a super-elite Saiyan!\Let's see it! response:	That smirk of yours is going to disappear very soon.
context: He's smiling. Has he given up, and adopted a defiant attitude?\Or is he poised because he can raise his battle power up even higher?\What's the matter!? Finished already!?\You seem to be at your limit.\In that case, let me show you something, as your dying gift.\The overwhelming power of a super-elite Saiyan!\Let's see it!\That smirk of yours is going to disappear very soon. response:	What a Ki! It's as if the whole earth is shaking!
context: Or is he poised because he can raise his battle power up even higher?\What's the matter!? Finished already!?\You seem to be at your limit.\In that case, let me show you something, as your dying gift.\The overwhelming power of a super-elite Saiyan!\Let's see it!\That smirk of yours is going to disappear very soon.\What a Ki! It's as if the whole earth is shaking! response:	As before, images from the site of battle have been completely broken off.
context: What's the matter!? Finished already!?\You seem to be at your limit.\In that case, let me show you something, as your dying gift.\The overwhelming power of a super-elite Saiyan!\Let's see it!\That smirk of yours is going to disappear very soon.\What a Ki! It's as if the whole earth is shaking!\As before, images from the site of battle have been completely broken off. response:	A - as of now, there is no way for us to be able to conceive what is happening,
context: You seem to be at your limit.\In that case, let me show you something, as your dying gift.\The overwhelming power of a super-elite Saiyan!\Let's see it!\That smirk of yours is going to disappear very soon.\What a Ki! It's as if the whole earth is shaking!\As before, images from the site of battle have been completely broken off.\A - as of now, there is no way for us to be able to conceive what is happening, response:	or indeed if it has all ended.
context: In that case, let me show you something, as your dying gift.\The overwhelming power of a super-elite Saiyan!\Let's see it!\That smirk of yours is going to disappear very soon.\What a Ki! It's as if the whole earth is shaking!\As before, images from the site of battle have been completely broken off.\A - as of now, there is no way for us to be able to conceive what is happening,\or indeed if it has all ended. response:	What Will Become of the Earth!? Now then, changing the schedule a little,
context: The overwhelming power of a super-elite Saiyan!\Let's see it!\That smirk of yours is going to disappear very soon.\What a Ki! It's as if the whole earth is shaking!\As before, images from the site of battle have been completely broken off.\A - as of now, there is no way for us to be able to conceive what is happening,\or indeed if it has all ended.\What Will Become of the Earth!? Now then, changing the schedule a little, response:	What Will Become of the Earth!? we now join this discussion of What will become of the earth, and what is left for us?
context: Let's see it!\That smirk of yours is going to disappear very soon.\What a Ki! It's as if the whole earth is shaking!\As before, images from the site of battle have been completely broken off.\A - as of now, there is no way for us to be able to conceive what is happening,\or indeed if it has all ended.\What Will Become of the Earth!? Now then, changing the schedule a little,\What Will Become of the Earth!? we now join this discussion of What will become of the earth, and what is left for us? response:	They ultimately don't know anything, do they?
context: That smirk of yours is going to disappear very soon.\What a Ki! It's as if the whole earth is shaking!\As before, images from the site of battle have been completely broken off.\A - as of now, there is no way for us to be able to conceive what is happening,\or indeed if it has all ended.\What Will Become of the Earth!? Now then, changing the schedule a little,\What Will Become of the Earth!? we now join this discussion of What will become of the earth, and what is left for us?\They ultimately don't know anything, do they? response:	Hey, if you're going to sleep, go sleep at home.
context: What a Ki! It's as if the whole earth is shaking!\As before, images from the site of battle have been completely broken off.\A - as of now, there is no way for us to be able to conceive what is happening,\or indeed if it has all ended.\What Will Become of the Earth!? Now then, changing the schedule a little,\What Will Become of the Earth!? we now join this discussion of What will become of the earth, and what is left for us?\They ultimately don't know anything, do they?\Hey, if you're going to sleep, go sleep at home. response:	Shut up. Give me another.
context: As before, images from the site of battle have been completely broken off.\A - as of now, there is no way for us to be able to conceive what is happening,\or indeed if it has all ended.\What Will Become of the Earth!? Now then, changing the schedule a little,\What Will Become of the Earth!? we now join this discussion of What will become of the earth, and what is left for us?\They ultimately don't know anything, do they?\Hey, if you're going to sleep, go sleep at home.\Shut up. Give me another. response:	Eh? That's your tenth one! Do you have any money?
context: A - as of now, there is no way for us to be able to conceive what is happening,\or indeed if it has all ended.\What Will Become of the Earth!? Now then, changing the schedule a little,\What Will Become of the Earth!? we now join this discussion of What will become of the earth, and what is left for us?\They ultimately don't know anything, do they?\Hey, if you're going to sleep, go sleep at home.\Shut up. Give me another.\Eh? That's your tenth one! Do you have any money? response:	Tenshinhan is dead and all...
context: or indeed if it has all ended.\What Will Become of the Earth!? Now then, changing the schedule a little,\What Will Become of the Earth!? we now join this discussion of What will become of the earth, and what is left for us?\They ultimately don't know anything, do they?\Hey, if you're going to sleep, go sleep at home.\Shut up. Give me another.\Eh? That's your tenth one! Do you have any money?\Tenshinhan is dead and all... response:	I don't have any need for this money anymore.
context: What Will Become of the Earth!? Now then, changing the schedule a little,\What Will Become of the Earth!? we now join this discussion of What will become of the earth, and what is left for us?\They ultimately don't know anything, do they?\Hey, if you're going to sleep, go sleep at home.\Shut up. Give me another.\Eh? That's your tenth one! Do you have any money?\Tenshinhan is dead and all...\I don't have any need for this money anymore. response:	Hey, are you all right?
context: What Will Become of the Earth!? we now join this discussion of What will become of the earth, and what is left for us?\They ultimately don't know anything, do they?\Hey, if you're going to sleep, go sleep at home.\Shut up. Give me another.\Eh? That's your tenth one! Do you have any money?\Tenshinhan is dead and all...\I don't have any need for this money anymore.\Hey, are you all right? response:	B- by the way, do you have a place to stay? If you like-
context: They ultimately don't know anything, do they?\Hey, if you're going to sleep, go sleep at home.\Shut up. Give me another.\Eh? That's your tenth one! Do you have any money?\Tenshinhan is dead and all...\I don't have any need for this money anymore.\Hey, are you all right?\B- by the way, do you have a place to stay? If you like- response:	I can hear it.
context: Hey, if you're going to sleep, go sleep at home.\Shut up. Give me another.\Eh? That's your tenth one! Do you have any money?\Tenshinhan is dead and all...\I don't have any need for this money anymore.\Hey, are you all right?\B- by the way, do you have a place to stay? If you like-\I can hear it. response:	W- what?
context: Shut up. Give me another.\Eh? That's your tenth one! Do you have any money?\Tenshinhan is dead and all...\I don't have any need for this money anymore.\Hey, are you all right?\B- by the way, do you have a place to stay? If you like-\I can hear it.\W- what? response:	Can't you hear that sound!?
context: Eh? That's your tenth one! Do you have any money?\Tenshinhan is dead and all...\I don't have any need for this money anymore.\Hey, are you all right?\B- by the way, do you have a place to stay? If you like-\I can hear it.\W- what?\Can't you hear that sound!? response:	W- what are you going on about?
context: Tenshinhan is dead and all...\I don't have any need for this money anymore.\Hey, are you all right?\B- by the way, do you have a place to stay? If you like-\I can hear it.\W- what?\Can't you hear that sound!?\W- what are you going on about? response:	H- hey, look!
context: I don't have any need for this money anymore.\Hey, are you all right?\B- by the way, do you have a place to stay? If you like-\I can hear it.\W- what?\Can't you hear that sound!?\W- what are you going on about?\H- hey, look! response:	W- what is that!?
context: Hey, are you all right?\B- by the way, do you have a place to stay? If you like-\I can hear it.\W- what?\Can't you hear that sound!?\W- what are you going on about?\H- hey, look!\W- what is that!? response:	T- the crows are fleeing from something!
context: B- by the way, do you have a place to stay? If you like-\I can hear it.\W- what?\Can't you hear that sound!?\W- what are you going on about?\H- hey, look!\W- what is that!?\T- the crows are fleeing from something! response:	It's like there's a typhoon!
context: I can hear it.\W- what?\Can't you hear that sound!?\W- what are you going on about?\H- hey, look!\W- what is that!?\T- the crows are fleeing from something!\It's like there's a typhoon! response:	The trembling of the atmosphere has stopped.
context: W- what?\Can't you hear that sound!?\W- what are you going on about?\H- hey, look!\W- what is that!?\T- the crows are fleeing from something!\It's like there's a typhoon!\The trembling of the atmosphere has stopped. response:	A- all the clouds have been blown away, too.
context: Can't you hear that sound!?\W- what are you going on about?\H- hey, look!\W- what is that!?\T- the crows are fleeing from something!\It's like there's a typhoon!\The trembling of the atmosphere has stopped.\A- all the clouds have been blown away, too. response:	It's over, Kakarrot!
context: W- what are you going on about?\H- hey, look!\W- what is that!?\T- the crows are fleeing from something!\It's like there's a typhoon!\The trembling of the atmosphere has stopped.\A- all the clouds have been blown away, too.\It's over, Kakarrot! response:	You fool! Behind you!
context: H- hey, look!\W- what is that!?\T- the crows are fleeing from something!\It's like there's a typhoon!\The trembling of the atmosphere has stopped.\A- all the clouds have been blown away, too.\It's over, Kakarrot!\You fool! Behind you! response:	Kaio-ken times two!!
context: W- what is that!?\T- the crows are fleeing from something!\It's like there's a typhoon!\The trembling of the atmosphere has stopped.\A- all the clouds have been blown away, too.\It's over, Kakarrot!\You fool! Behind you!\Kaio-ken times two!! response:	All right, nice going. Way to avoid it.
context: T- the crows are fleeing from something!\It's like there's a typhoon!\The trembling of the atmosphere has stopped.\A- all the clouds have been blown away, too.\It's over, Kakarrot!\You fool! Behind you!\Kaio-ken times two!!\All right, nice going. Way to avoid it. response:	Damn... What power and speed! I can't even keep up with him with a 2X Kaio-ken.
context: It's like there's a typhoon!\The trembling of the atmosphere has stopped.\A- all the clouds have been blown away, too.\It's over, Kakarrot!\You fool! Behind you!\Kaio-ken times two!!\All right, nice going. Way to avoid it.\Damn... What power and speed! I can't even keep up with him with a 2X Kaio-ken. response:	I guess I ain't got much choice.
context: The trembling of the atmosphere has stopped.\A- all the clouds have been blown away, too.\It's over, Kakarrot!\You fool! Behind you!\Kaio-ken times two!!\All right, nice going. Way to avoid it.\Damn... What power and speed! I can't even keep up with him with a 2X Kaio-ken.\I guess I ain't got much choice. response:	Even if I wreck my body, it's better than dying.
context: A- all the clouds have been blown away, too.\It's over, Kakarrot!\You fool! Behind you!\Kaio-ken times two!!\All right, nice going. Way to avoid it.\Damn... What power and speed! I can't even keep up with him with a 2X Kaio-ken.\I guess I ain't got much choice.\Even if I wreck my body, it's better than dying. response:	I'll have to raise the Kaio-ken to 3X.
context: It's over, Kakarrot!\You fool! Behind you!\Kaio-ken times two!!\All right, nice going. Way to avoid it.\Damn... What power and speed! I can't even keep up with him with a 2X Kaio-ken.\I guess I ain't got much choice.\Even if I wreck my body, it's better than dying.\I'll have to raise the Kaio-ken to 3X. response:	I intentionally made that one easy to dodge for you.
context: You fool! Behind you!\Kaio-ken times two!!\All right, nice going. Way to avoid it.\Damn... What power and speed! I can't even keep up with him with a 2X Kaio-ken.\I guess I ain't got much choice.\Even if I wreck my body, it's better than dying.\I'll have to raise the Kaio-ken to 3X.\I intentionally made that one easy to dodge for you. response:	It wouldn't be any fun to have you die on me so easily, after all.
context: Kaio-ken times two!!\All right, nice going. Way to avoid it.\Damn... What power and speed! I can't even keep up with him with a 2X Kaio-ken.\I guess I ain't got much choice.\Even if I wreck my body, it's better than dying.\I'll have to raise the Kaio-ken to 3X.\I intentionally made that one easy to dodge for you.\It wouldn't be any fun to have you die on me so easily, after all. response:	They came close by, so I can't help but come take a look at'em, but what's this?
context: All right, nice going. Way to avoid it.\Damn... What power and speed! I can't even keep up with him with a 2X Kaio-ken.\I guess I ain't got much choice.\Even if I wreck my body, it's better than dying.\I'll have to raise the Kaio-ken to 3X.\I intentionally made that one easy to dodge for you.\It wouldn't be any fun to have you die on me so easily, after all.\They came close by, so I can't help but come take a look at'em, but what's this? response:	Both Goku and that bastard're so strong, it's like l'm havin' a bad dream here!
context: Damn... What power and speed! I can't even keep up with him with a 2X Kaio-ken.\I guess I ain't got much choice.\Even if I wreck my body, it's better than dying.\I'll have to raise the Kaio-ken to 3X.\I intentionally made that one easy to dodge for you.\It wouldn't be any fun to have you die on me so easily, after all.\They came close by, so I can't help but come take a look at'em, but what's this?\Both Goku and that bastard're so strong, it's like l'm havin' a bad dream here! response:	Now then, I wonder how long my body will hold out once I raise the Kaio-ken to 3X...
context: I guess I ain't got much choice.\Even if I wreck my body, it's better than dying.\I'll have to raise the Kaio-ken to 3X.\I intentionally made that one easy to dodge for you.\It wouldn't be any fun to have you die on me so easily, after all.\They came close by, so I can't help but come take a look at'em, but what's this?\Both Goku and that bastard're so strong, it's like l'm havin' a bad dream here!\Now then, I wonder how long my body will hold out once I raise the Kaio-ken to 3X... response:	What's the matter, Kakarrot!? Come get me!
