context: In this world, in addition to adventurers response:	and People of the Land, there are also groups called demi-humans.
context: And it isn't twilight. I'm just unmotivated.\You won't find a gentleman who will allow you\to lie around all day and do nothing.\Yes, but...\I'm sorry, Lord Kiliva...\But I have another engagement.\Another engagement?\Oh, with Princess Lenessia? response:	A pleasure to meet you.
context: You won't find a gentleman who will allow you\to lie around all day and do nothing.\Yes, but...\I'm sorry, Lord Kiliva...\But I have another engagement.\Another engagement?\Oh, with Princess Lenessia?\A pleasure to meet you. response:	I am the adventurer Crusty.
context: to lie around all day and do nothing.\Yes, but...\I'm sorry, Lord Kiliva...\But I have another engagement.\Another engagement?\Oh, with Princess Lenessia?\A pleasure to meet you.\I am the adventurer Crusty. response:	Pleased to make your acquaintance.
context: Yes, but...\I'm sorry, Lord Kiliva...\But I have another engagement.\Another engagement?\Oh, with Princess Lenessia?\A pleasure to meet you.\I am the adventurer Crusty.\Pleased to make your acquaintance. response:	What did you mean by an engagement?
context: I'm sorry, Lord Kiliva...\But I have another engagement.\Another engagement?\Oh, with Princess Lenessia?\A pleasure to meet you.\I am the adventurer Crusty.\Pleased to make your acquaintance.\What did you mean by an engagement? response:	That was only an excuse.
context: But I have another engagement.\Another engagement?\Oh, with Princess Lenessia?\A pleasure to meet you.\I am the adventurer Crusty.\Pleased to make your acquaintance.\What did you mean by an engagement?\That was only an excuse. response:	If it caused you any problem, I apologize.
context: Another engagement?\Oh, with Princess Lenessia?\A pleasure to meet you.\I am the adventurer Crusty.\Pleased to make your acquaintance.\What did you mean by an engagement?\That was only an excuse.\If it caused you any problem, I apologize. response:	N-No...
context: Oh, with Princess Lenessia?\A pleasure to meet you.\I am the adventurer Crusty.\Pleased to make your acquaintance.\What did you mean by an engagement?\That was only an excuse.\If it caused you any problem, I apologize.\N-No... response:	He doesn't seem like a bad person... Merely a pain.
context: A pleasure to meet you.\I am the adventurer Crusty.\Pleased to make your acquaintance.\What did you mean by an engagement?\That was only an excuse.\If it caused you any problem, I apologize.\N-No...\He doesn't seem like a bad person... Merely a pain. response:	You were just thinking I'm a pain, weren't you?
context: I am the adventurer Crusty.\Pleased to make your acquaintance.\What did you mean by an engagement?\That was only an excuse.\If it caused you any problem, I apologize.\N-No...\He doesn't seem like a bad person... Merely a pain.\You were just thinking I'm a pain, weren't you? response:	Not only that, but when our eyes first met,
context: Pleased to make your acquaintance.\What did you mean by an engagement?\That was only an excuse.\If it caused you any problem, I apologize.\N-No...\He doesn't seem like a bad person... Merely a pain.\You were just thinking I'm a pain, weren't you?\Not only that, but when our eyes first met, response:	you thought, What a bother.
context: What did you mean by an engagement?\That was only an excuse.\If it caused you any problem, I apologize.\N-No...\He doesn't seem like a bad person... Merely a pain.\You were just thinking I'm a pain, weren't you?\Not only that, but when our eyes first met,\you thought, What a bother. response:	H-How...
context: That was only an excuse.\If it caused you any problem, I apologize.\N-No...\He doesn't seem like a bad person... Merely a pain.\You were just thinking I'm a pain, weren't you?\Not only that, but when our eyes first met,\you thought, What a bother.\H-How... response:	How did I know, indeed?
context: If it caused you any problem, I apologize.\N-No...\He doesn't seem like a bad person... Merely a pain.\You were just thinking I'm a pain, weren't you?\Not only that, but when our eyes first met,\you thought, What a bother.\H-How...\How did I know, indeed? response:	He can read my mind.
context: N-No...\He doesn't seem like a bad person... Merely a pain.\You were just thinking I'm a pain, weren't you?\Not only that, but when our eyes first met,\you thought, What a bother.\H-How...\How did I know, indeed?\He can read my mind. response:	How about some tea?
context: He doesn't seem like a bad person... Merely a pain.\You were just thinking I'm a pain, weren't you?\Not only that, but when our eyes first met,\you thought, What a bother.\H-How...\How did I know, indeed?\He can read my mind.\How about some tea? response:	The lords have been chasing me around all day.
context: You were just thinking I'm a pain, weren't you?\Not only that, but when our eyes first met,\you thought, What a bother.\H-How...\How did I know, indeed?\He can read my mind.\How about some tea?\The lords have been chasing me around all day. response:	B-But...
context: Not only that, but when our eyes first met,\you thought, What a bother.\H-How...\How did I know, indeed?\He can read my mind.\How about some tea?\The lords have been chasing me around all day.\B-But... response:	I realize the prospect doesn't please you, but right now,
context: you thought, What a bother.\H-How...\How did I know, indeed?\He can read my mind.\How about some tea?\The lords have been chasing me around all day.\B-But...\I realize the prospect doesn't please you, but right now, response:	I'm the subject of much scrutiny in the palace.
context: H-How...\How did I know, indeed?\He can read my mind.\How about some tea?\The lords have been chasing me around all day.\B-But...\I realize the prospect doesn't please you, but right now,\I'm the subject of much scrutiny in the palace. response:	If the two of us were to take tea together,
context: How did I know, indeed?\He can read my mind.\How about some tea?\The lords have been chasing me around all day.\B-But...\I realize the prospect doesn't please you, but right now,\I'm the subject of much scrutiny in the palace.\If the two of us were to take tea together, response:	it would give us an excuse
context: He can read my mind.\How about some tea?\The lords have been chasing me around all day.\B-But...\I realize the prospect doesn't please you, but right now,\I'm the subject of much scrutiny in the palace.\If the two of us were to take tea together,\it would give us an excuse response:	to skip some of the ceremonies and tea parties.
context: How about some tea?\The lords have been chasing me around all day.\B-But...\I realize the prospect doesn't please you, but right now,\I'm the subject of much scrutiny in the palace.\If the two of us were to take tea together,\it would give us an excuse\to skip some of the ceremonies and tea parties. response:	H-He's a bad person!
context: The lords have been chasing me around all day.\B-But...\I realize the prospect doesn't please you, but right now,\I'm the subject of much scrutiny in the palace.\If the two of us were to take tea together,\it would give us an excuse\to skip some of the ceremonies and tea parties.\H-He's a bad person! response:	Please be careful, Princess.
context: B-But...\I realize the prospect doesn't please you, but right now,\I'm the subject of much scrutiny in the palace.\If the two of us were to take tea together,\it would give us an excuse\to skip some of the ceremonies and tea parties.\H-He's a bad person!\Please be careful, Princess. response:	You're right.
context: I realize the prospect doesn't please you, but right now,\I'm the subject of much scrutiny in the palace.\If the two of us were to take tea together,\it would give us an excuse\to skip some of the ceremonies and tea parties.\H-He's a bad person!\Please be careful, Princess.\You're right. response:	He can tell what I'm thinking...
context: I'm the subject of much scrutiny in the palace.\If the two of us were to take tea together,\it would give us an excuse\to skip some of the ceremonies and tea parties.\H-He's a bad person!\Please be careful, Princess.\You're right.\He can tell what I'm thinking... response:	That isn't what I mean!
context: If the two of us were to take tea together,\it would give us an excuse\to skip some of the ceremonies and tea parties.\H-He's a bad person!\Please be careful, Princess.\You're right.\He can tell what I'm thinking...\That isn't what I mean! response:	He's an adventurer.
context: it would give us an excuse\to skip some of the ceremonies and tea parties.\H-He's a bad person!\Please be careful, Princess.\You're right.\He can tell what I'm thinking...\That isn't what I mean!\He's an adventurer. response:	We don't know what they're like.
context: to skip some of the ceremonies and tea parties.\H-He's a bad person!\Please be careful, Princess.\You're right.\He can tell what I'm thinking...\That isn't what I mean!\He's an adventurer.\We don't know what they're like. response:	Yeah.
context: H-He's a bad person!\Please be careful, Princess.\You're right.\He can tell what I'm thinking...\That isn't what I mean!\He's an adventurer.\We don't know what they're like.\Yeah. response:	I don't like saying this,
context: Please be careful, Princess.\You're right.\He can tell what I'm thinking...\That isn't what I mean!\He's an adventurer.\We don't know what they're like.\Yeah.\I don't like saying this, response:	but you need to think more about your position
context: You're right.\He can tell what I'm thinking...\That isn't what I mean!\He's an adventurer.\We don't know what they're like.\Yeah.\I don't like saying this,\but you need to think more about your position response:	as a member of Duke Cowen's family.
context: He can tell what I'm thinking...\That isn't what I mean!\He's an adventurer.\We don't know what they're like.\Yeah.\I don't like saying this,\but you need to think more about your position\as a member of Duke Cowen's family. response:	Right.
context: That isn't what I mean!\He's an adventurer.\We don't know what they're like.\Yeah.\I don't like saying this,\but you need to think more about your position\as a member of Duke Cowen's family.\Right. response:	A member of the duke's family, eh?
context: He's an adventurer.\We don't know what they're like.\Yeah.\I don't like saying this,\but you need to think more about your position\as a member of Duke Cowen's family.\Right.\A member of the duke's family, eh? response:	Beautiful, as always!
context: We don't know what they're like.\Yeah.\I don't like saying this,\but you need to think more about your position\as a member of Duke Cowen's family.\Right.\A member of the duke's family, eh?\Beautiful, as always! response:	How delicate!
context: Yeah.\I don't like saying this,\but you need to think more about your position\as a member of Duke Cowen's family.\Right.\A member of the duke's family, eh?\Beautiful, as always!\How delicate! response:	Half of those compliments
context: I don't like saying this,\but you need to think more about your position\as a member of Duke Cowen's family.\Right.\A member of the duke's family, eh?\Beautiful, as always!\How delicate!\Half of those compliments response:	are more for my grandfather's sake than mine.
context: but you need to think more about your position\as a member of Duke Cowen's family.\Right.\A member of the duke's family, eh?\Beautiful, as always!\How delicate!\Half of those compliments\are more for my grandfather's sake than mine. response:	With the right decoration, anyone can be beautiful.
context: as a member of Duke Cowen's family.\Right.\A member of the duke's family, eh?\Beautiful, as always!\How delicate!\Half of those compliments\are more for my grandfather's sake than mine.\With the right decoration, anyone can be beautiful. response:	And I can't even dress myself...
context: Right.\A member of the duke's family, eh?\Beautiful, as always!\How delicate!\Half of those compliments\are more for my grandfather's sake than mine.\With the right decoration, anyone can be beautiful.\And I can't even dress myself... response:	How long will this last?
context: A member of the duke's family, eh?\Beautiful, as always!\How delicate!\Half of those compliments\are more for my grandfather's sake than mine.\With the right decoration, anyone can be beautiful.\And I can't even dress myself...\How long will this last? response:	Y-You win...
context: Beautiful, as always!\How delicate!\Half of those compliments\are more for my grandfather's sake than mine.\With the right decoration, anyone can be beautiful.\And I can't even dress myself...\How long will this last?\Y-You win... response:	What a splendid strike.
context: How delicate!\Half of those compliments\are more for my grandfather's sake than mine.\With the right decoration, anyone can be beautiful.\And I can't even dress myself...\How long will this last?\Y-You win...\What a splendid strike. response:	I hope you can take some time to train me.
context: Half of those compliments\are more for my grandfather's sake than mine.\With the right decoration, anyone can be beautiful.\And I can't even dress myself...\How long will this last?\Y-You win...\What a splendid strike.\I hope you can take some time to train me. response:	A goodwill match?
context: are more for my grandfather's sake than mine.\With the right decoration, anyone can be beautiful.\And I can't even dress myself...\How long will this last?\Y-You win...\What a splendid strike.\I hope you can take some time to train me.\A goodwill match? response:	Yes, they invited me.
context: With the right decoration, anyone can be beautiful.\And I can't even dress myself...\How long will this last?\Y-You win...\What a splendid strike.\I hope you can take some time to train me.\A goodwill match?\Yes, they invited me. response:	That's surprising.
context: And I can't even dress myself...\How long will this last?\Y-You win...\What a splendid strike.\I hope you can take some time to train me.\A goodwill match?\Yes, they invited me.\That's surprising. response:	What is?
context: How long will this last?\Y-You win...\What a splendid strike.\I hope you can take some time to train me.\A goodwill match?\Yes, they invited me.\That's surprising.\What is? response:	I thought you'd find such things tedious.
context: Y-You win...\What a splendid strike.\I hope you can take some time to train me.\A goodwill match?\Yes, they invited me.\That's surprising.\What is?\I thought you'd find such things tedious. response:	Not at all.
context: What a splendid strike.\I hope you can take some time to train me.\A goodwill match?\Yes, they invited me.\That's surprising.\What is?\I thought you'd find such things tedious.\Not at all. response:	I wanted to know more about the People of the Land.
context: I hope you can take some time to train me.\A goodwill match?\Yes, they invited me.\That's surprising.\What is?\I thought you'd find such things tedious.\Not at all.\I wanted to know more about the People of the Land. response:	Liar.
context: A goodwill match?\Yes, they invited me.\That's surprising.\What is?\I thought you'd find such things tedious.\Not at all.\I wanted to know more about the People of the Land.\Liar. response:	He's looking to see if any of us are good.
context: Yes, they invited me.\That's surprising.\What is?\I thought you'd find such things tedious.\Not at all.\I wanted to know more about the People of the Land.\Liar.\He's looking to see if any of us are good. response:	Crusty?
context: That's surprising.\What is?\I thought you'd find such things tedious.\Not at all.\I wanted to know more about the People of the Land.\Liar.\He's looking to see if any of us are good.\Crusty? response:	Oh, that's Princess Lenessia.
context: What is?\I thought you'd find such things tedious.\Not at all.\I wanted to know more about the People of the Land.\Liar.\He's looking to see if any of us are good.\Crusty?\Oh, that's Princess Lenessia. response:	What did you think when you fought them?
context: I thought you'd find such things tedious.\Not at all.\I wanted to know more about the People of the Land.\Liar.\He's looking to see if any of us are good.\Crusty?\Oh, that's Princess Lenessia.\What did you think when you fought them? response:	You're an adventurer.
context: Not at all.\I wanted to know more about the People of the Land.\Liar.\He's looking to see if any of us are good.\Crusty?\Oh, that's Princess Lenessia.\What did you think when you fought them?\You're an adventurer. response:	None of them is likely to be stronger than you.
context: I wanted to know more about the People of the Land.\Liar.\He's looking to see if any of us are good.\Crusty?\Oh, that's Princess Lenessia.\What did you think when you fought them?\You're an adventurer.\None of them is likely to be stronger than you. response:	No, they were all quite talented.
context: Liar.\He's looking to see if any of us are good.\Crusty?\Oh, that's Princess Lenessia.\What did you think when you fought them?\You're an adventurer.\None of them is likely to be stronger than you.\No, they were all quite talented. response:	That last fight was close.
context: He's looking to see if any of us are good.\Crusty?\Oh, that's Princess Lenessia.\What did you think when you fought them?\You're an adventurer.\None of them is likely to be stronger than you.\No, they were all quite talented.\That last fight was close. response:	I see.
context: Crusty?\Oh, that's Princess Lenessia.\What did you think when you fought them?\You're an adventurer.\None of them is likely to be stronger than you.\No, they were all quite talented.\That last fight was close.\I see. response:	Yes...
context: Oh, that's Princess Lenessia.\What did you think when you fought them?\You're an adventurer.\None of them is likely to be stronger than you.\No, they were all quite talented.\That last fight was close.\I see.\Yes... response:	It's difficult to fight your way up and rank first here...
context: What did you think when you fought them?\You're an adventurer.\None of them is likely to be stronger than you.\No, they were all quite talented.\That last fight was close.\I see.\Yes...\It's difficult to fight your way up and rank first here... response:	Princess Lenessia?
context: You're an adventurer.\None of them is likely to be stronger than you.\No, they were all quite talented.\That last fight was close.\I see.\Yes...\It's difficult to fight your way up and rank first here...\Princess Lenessia? response:	Y-Yes?
context: None of them is likely to be stronger than you.\No, they were all quite talented.\That last fight was close.\I see.\Yes...\It's difficult to fight your way up and rank first here...\Princess Lenessia?\Y-Yes? response:	Princess, would you please give a reward to the strongest of these brave knights?
context: No, they were all quite talented.\That last fight was close.\I see.\Yes...\It's difficult to fight your way up and rank first here...\Princess Lenessia?\Y-Yes?\Princess, would you please give a reward to the strongest of these brave knights? response:	A reward?
context: That last fight was close.\I see.\Yes...\It's difficult to fight your way up and rank first here...\Princess Lenessia?\Y-Yes?\Princess, would you please give a reward to the strongest of these brave knights?\A reward? response:	The right to accompany you to this evening's party.
context: I see.\Yes...\It's difficult to fight your way up and rank first here...\Princess Lenessia?\Y-Yes?\Princess, would you please give a reward to the strongest of these brave knights?\A reward?\The right to accompany you to this evening's party. response:	Th-That's great!
context: Yes...\It's difficult to fight your way up and rank first here...\Princess Lenessia?\Y-Yes?\Princess, would you please give a reward to the strongest of these brave knights?\A reward?\The right to accompany you to this evening's party.\Th-That's great! response:	Okay! I'll do my best!
context: It's difficult to fight your way up and rank first here...\Princess Lenessia?\Y-Yes?\Princess, would you please give a reward to the strongest of these brave knights?\A reward?\The right to accompany you to this evening's party.\Th-That's great!\Okay! I'll do my best! response:	I understand.
context: Princess Lenessia?\Y-Yes?\Princess, would you please give a reward to the strongest of these brave knights?\A reward?\The right to accompany you to this evening's party.\Th-That's great!\Okay! I'll do my best!\I understand. response:	That's quite a shield.
context: Y-Yes?\Princess, would you please give a reward to the strongest of these brave knights?\A reward?\The right to accompany you to this evening's party.\Th-That's great!\Okay! I'll do my best!\I understand.\That's quite a shield. response:	But what does Duke Cowen intend to do with the adventurers?
context: Princess, would you please give a reward to the strongest of these brave knights?\A reward?\The right to accompany you to this evening's party.\Th-That's great!\Okay! I'll do my best!\I understand.\That's quite a shield.\But what does Duke Cowen intend to do with the adventurers? response:	Who knows if negotiation with them is even possible?
context: A reward?\The right to accompany you to this evening's party.\Th-That's great!\Okay! I'll do my best!\I understand.\That's quite a shield.\But what does Duke Cowen intend to do with the adventurers?\Who knows if negotiation with them is even possible? response:	By the way, have we still not heard where the Izumo Knights are?
context: The right to accompany you to this evening's party.\Th-That's great!\Okay! I'll do my best!\I understand.\That's quite a shield.\But what does Duke Cowen intend to do with the adventurers?\Who knows if negotiation with them is even possible?\By the way, have we still not heard where the Izumo Knights are? response:	We could just use the adventurers for that.
