context: Jeez, who's here this late? response:	What do you want?
context: Meika, I've gotta ask you...\What were you doing around four this morning?\Where's this coming from?\Just answer me!\I think it was around 3:30.\Rabura showed up all of a sudden and started babbling nonsense.\Of course, I didn't believe her at first,\but I figured I could at least look into it for her. response:	Oh, God...
context: What were you doing around four this morning?\Where's this coming from?\Just answer me!\I think it was around 3:30.\Rabura showed up all of a sudden and started babbling nonsense.\Of course, I didn't believe her at first,\but I figured I could at least look into it for her.\Oh, God... response:	What's wrong?
context: Where's this coming from?\Just answer me!\I think it was around 3:30.\Rabura showed up all of a sudden and started babbling nonsense.\Of course, I didn't believe her at first,\but I figured I could at least look into it for her.\Oh, God...\What's wrong? response:	I don't know what's going on, but the server was fine.
context: Just answer me!\I think it was around 3:30.\Rabura showed up all of a sudden and started babbling nonsense.\Of course, I didn't believe her at first,\but I figured I could at least look into it for her.\Oh, God...\What's wrong?\I don't know what's going on, but the server was fine. response:	There weren't any viruses, and no signs of hacking...
context: I think it was around 3:30.\Rabura showed up all of a sudden and started babbling nonsense.\Of course, I didn't believe her at first,\but I figured I could at least look into it for her.\Oh, God...\What's wrong?\I don't know what's going on, but the server was fine.\There weren't any viruses, and no signs of hacking... response:	The Fall
context: Rabura showed up all of a sudden and started babbling nonsense.\Of course, I didn't believe her at first,\but I figured I could at least look into it for her.\Oh, God...\What's wrong?\I don't know what's going on, but the server was fine.\There weren't any viruses, and no signs of hacking...\The Fall response:	Meika used the satellite connection to hack the AFSPC servers.
context: Of course, I didn't believe her at first,\but I figured I could at least look into it for her.\Oh, God...\What's wrong?\I don't know what's going on, but the server was fine.\There weren't any viruses, and no signs of hacking...\The Fall\Meika used the satellite connection to hack the AFSPC servers. response:	The Qmay Group physically intercepted that connection,
context: but I figured I could at least look into it for her.\Oh, God...\What's wrong?\I don't know what's going on, but the server was fine.\There weren't any viruses, and no signs of hacking...\The Fall\Meika used the satellite connection to hack the AFSPC servers.\The Qmay Group physically intercepted that connection, response:	using that device.
context: Oh, God...\What's wrong?\I don't know what's going on, but the server was fine.\There weren't any viruses, and no signs of hacking...\The Fall\Meika used the satellite connection to hack the AFSPC servers.\The Qmay Group physically intercepted that connection,\using that device. response:	They've already used the AFSPC server to launch
context: What's wrong?\I don't know what's going on, but the server was fine.\There weren't any viruses, and no signs of hacking...\The Fall\Meika used the satellite connection to hack the AFSPC servers.\The Qmay Group physically intercepted that connection,\using that device.\They've already used the AFSPC server to launch response:	several dozen nuclear missiles from the U.S. military satellite.
context: I don't know what's going on, but the server was fine.\There weren't any viruses, and no signs of hacking...\The Fall\Meika used the satellite connection to hack the AFSPC servers.\The Qmay Group physically intercepted that connection,\using that device.\They've already used the AFSPC server to launch\several dozen nuclear missiles from the U.S. military satellite. response:	Soon, they'll arrive at VR-1, where they'll all detonate at once.
context: There weren't any viruses, and no signs of hacking...\The Fall\Meika used the satellite connection to hack the AFSPC servers.\The Qmay Group physically intercepted that connection,\using that device.\They've already used the AFSPC server to launch\several dozen nuclear missiles from the U.S. military satellite.\Soon, they'll arrive at VR-1, where they'll all detonate at once. response:	That'll change VR-1's trajectory just a little bitstraight for Earth.
context: The Fall\Meika used the satellite connection to hack the AFSPC servers.\The Qmay Group physically intercepted that connection,\using that device.\They've already used the AFSPC server to launch\several dozen nuclear missiles from the U.S. military satellite.\Soon, they'll arrive at VR-1, where they'll all detonate at once.\That'll change VR-1's trajectory just a little bitstraight for Earth. response:	Why didn't you tell me?
context: Meika used the satellite connection to hack the AFSPC servers.\The Qmay Group physically intercepted that connection,\using that device.\They've already used the AFSPC server to launch\several dozen nuclear missiles from the U.S. military satellite.\Soon, they'll arrive at VR-1, where they'll all detonate at once.\That'll change VR-1's trajectory just a little bitstraight for Earth.\Why didn't you tell me? response:	Humanity's future has to be determined by humanity itself.
context: The Qmay Group physically intercepted that connection,\using that device.\They've already used the AFSPC server to launch\several dozen nuclear missiles from the U.S. military satellite.\Soon, they'll arrive at VR-1, where they'll all detonate at once.\That'll change VR-1's trajectory just a little bitstraight for Earth.\Why didn't you tell me?\Humanity's future has to be determined by humanity itself. response:	That's the law in the spirit world.
context: using that device.\They've already used the AFSPC server to launch\several dozen nuclear missiles from the U.S. military satellite.\Soon, they'll arrive at VR-1, where they'll all detonate at once.\That'll change VR-1's trajectory just a little bitstraight for Earth.\Why didn't you tell me?\Humanity's future has to be determined by humanity itself.\That's the law in the spirit world. response:	Nine Years Ago
context: They've already used the AFSPC server to launch\several dozen nuclear missiles from the U.S. military satellite.\Soon, they'll arrive at VR-1, where they'll all detonate at once.\That'll change VR-1's trajectory just a little bitstraight for Earth.\Why didn't you tell me?\Humanity's future has to be determined by humanity itself.\That's the law in the spirit world.\Nine Years Ago response:	No! I won't let you!
context: several dozen nuclear missiles from the U.S. military satellite.\Soon, they'll arrive at VR-1, where they'll all detonate at once.\That'll change VR-1's trajectory just a little bitstraight for Earth.\Why didn't you tell me?\Humanity's future has to be determined by humanity itself.\That's the law in the spirit world.\Nine Years Ago\No! I won't let you! response:	Why not?
context: Soon, they'll arrive at VR-1, where they'll all detonate at once.\That'll change VR-1's trajectory just a little bitstraight for Earth.\Why didn't you tell me?\Humanity's future has to be determined by humanity itself.\That's the law in the spirit world.\Nine Years Ago\No! I won't let you!\Why not? response:	Because that's...
context: That'll change VR-1's trajectory just a little bitstraight for Earth.\Why didn't you tell me?\Humanity's future has to be determined by humanity itself.\That's the law in the spirit world.\Nine Years Ago\No! I won't let you!\Why not?\Because that's... response:	What's the matter?
context: Why didn't you tell me?\Humanity's future has to be determined by humanity itself.\That's the law in the spirit world.\Nine Years Ago\No! I won't let you!\Why not?\Because that's...\What's the matter? response:	Give it back already!
context: Humanity's future has to be determined by humanity itself.\That's the law in the spirit world.\Nine Years Ago\No! I won't let you!\Why not?\Because that's...\What's the matter?\Give it back already! response:	No!
context: That's the law in the spirit world.\Nine Years Ago\No! I won't let you!\Why not?\Because that's...\What's the matter?\Give it back already!\No! response:	Give it back, I said!
context: Nine Years Ago\No! I won't let you!\Why not?\Because that's...\What's the matter?\Give it back already!\No!\Give it back, I said! response:	Are you okay?
context: No! I won't let you!\Why not?\Because that's...\What's the matter?\Give it back already!\No!\Give it back, I said!\Are you okay? response:	Guri-chan, you jerk!
context: Why not?\Because that's...\What's the matter?\Give it back already!\No!\Give it back, I said!\Are you okay?\Guri-chan, you jerk! response:	Hey, Guriko.
context: Because that's...\What's the matter?\Give it back already!\No!\Give it back, I said!\Are you okay?\Guri-chan, you jerk!\Hey, Guriko. response:	Wait here.
context: What's the matter?\Give it back already!\No!\Give it back, I said!\Are you okay?\Guri-chan, you jerk!\Hey, Guriko.\Wait here. response:	I'll put some antiseptic on it.
context: Give it back already!\No!\Give it back, I said!\Are you okay?\Guri-chan, you jerk!\Hey, Guriko.\Wait here.\I'll put some antiseptic on it. response:	No.
context: No!\Give it back, I said!\Are you okay?\Guri-chan, you jerk!\Hey, Guriko.\Wait here.\I'll put some antiseptic on it.\No. response:	You suck at applying it.
context: Give it back, I said!\Are you okay?\Guri-chan, you jerk!\Hey, Guriko.\Wait here.\I'll put some antiseptic on it.\No.\You suck at applying it. response:	I want Guri-chan to spray it on me.
context: Are you okay?\Guri-chan, you jerk!\Hey, Guriko.\Wait here.\I'll put some antiseptic on it.\No.\You suck at applying it.\I want Guri-chan to spray it on me. response:	Please, Guri-chan, spray it on me.
context: Guri-chan, you jerk!\Hey, Guriko.\Wait here.\I'll put some antiseptic on it.\No.\You suck at applying it.\I want Guri-chan to spray it on me.\Please, Guri-chan, spray it on me. response:	All right, fine.
context: Hey, Guriko.\Wait here.\I'll put some antiseptic on it.\No.\You suck at applying it.\I want Guri-chan to spray it on me.\Please, Guri-chan, spray it on me.\All right, fine. response:	It doesn't hurt, does it?
context: Wait here.\I'll put some antiseptic on it.\No.\You suck at applying it.\I want Guri-chan to spray it on me.\Please, Guri-chan, spray it on me.\All right, fine.\It doesn't hurt, does it? response:	Nope! Thanks, Guri-chan!
context: I'll put some antiseptic on it.\No.\You suck at applying it.\I want Guri-chan to spray it on me.\Please, Guri-chan, spray it on me.\All right, fine.\It doesn't hurt, does it?\Nope! Thanks, Guri-chan! response:	I'll start with the conclusion.
context: No.\You suck at applying it.\I want Guri-chan to spray it on me.\Please, Guri-chan, spray it on me.\All right, fine.\It doesn't hurt, does it?\Nope! Thanks, Guri-chan!\I'll start with the conclusion. response:	The Human Preservation Project was a failure.
context: You suck at applying it.\I want Guri-chan to spray it on me.\Please, Guri-chan, spray it on me.\All right, fine.\It doesn't hurt, does it?\Nope! Thanks, Guri-chan!\I'll start with the conclusion.\The Human Preservation Project was a failure. response:	There's no chance
context: I want Guri-chan to spray it on me.\Please, Guri-chan, spray it on me.\All right, fine.\It doesn't hurt, does it?\Nope! Thanks, Guri-chan!\I'll start with the conclusion.\The Human Preservation Project was a failure.\There's no chance response:	that you'll ever arrive at a supremely peaceful and happy future.
context: Please, Guri-chan, spray it on me.\All right, fine.\It doesn't hurt, does it?\Nope! Thanks, Guri-chan!\I'll start with the conclusion.\The Human Preservation Project was a failure.\There's no chance\that you'll ever arrive at a supremely peaceful and happy future. response:	Man,
context: All right, fine.\It doesn't hurt, does it?\Nope! Thanks, Guri-chan!\I'll start with the conclusion.\The Human Preservation Project was a failure.\There's no chance\that you'll ever arrive at a supremely peaceful and happy future.\Man, response:	how can you be so nonchalant about it?
context: It doesn't hurt, does it?\Nope! Thanks, Guri-chan!\I'll start with the conclusion.\The Human Preservation Project was a failure.\There's no chance\that you'll ever arrive at a supremely peaceful and happy future.\Man,\how can you be so nonchalant about it? response:	Well, there'll be a next time for me.
context: Nope! Thanks, Guri-chan!\I'll start with the conclusion.\The Human Preservation Project was a failure.\There's no chance\that you'll ever arrive at a supremely peaceful and happy future.\Man,\how can you be so nonchalant about it?\Well, there'll be a next time for me. response:	Not for you, though.
context: I'll start with the conclusion.\The Human Preservation Project was a failure.\There's no chance\that you'll ever arrive at a supremely peaceful and happy future.\Man,\how can you be so nonchalant about it?\Well, there'll be a next time for me.\Not for you, though. response:	To be honest, I secretly had a lot of hope for you.
context: The Human Preservation Project was a failure.\There's no chance\that you'll ever arrive at a supremely peaceful and happy future.\Man,\how can you be so nonchalant about it?\Well, there'll be a next time for me.\Not for you, though.\To be honest, I secretly had a lot of hope for you. response:	I thought you could lay down a new rail, an unknown future
context: There's no chance\that you'll ever arrive at a supremely peaceful and happy future.\Man,\how can you be so nonchalant about it?\Well, there'll be a next time for me.\Not for you, though.\To be honest, I secretly had a lot of hope for you.\I thought you could lay down a new rail, an unknown future response:	like none the world has seen.
context: that you'll ever arrive at a supremely peaceful and happy future.\Man,\how can you be so nonchalant about it?\Well, there'll be a next time for me.\Not for you, though.\To be honest, I secretly had a lot of hope for you.\I thought you could lay down a new rail, an unknown future\like none the world has seen. response:	But now that it's turned out this way...
context: Man,\how can you be so nonchalant about it?\Well, there'll be a next time for me.\Not for you, though.\To be honest, I secretly had a lot of hope for you.\I thought you could lay down a new rail, an unknown future\like none the world has seen.\But now that it's turned out this way... response:	Honestly, I'm a little disappointed.
context: how can you be so nonchalant about it?\Well, there'll be a next time for me.\Not for you, though.\To be honest, I secretly had a lot of hope for you.\I thought you could lay down a new rail, an unknown future\like none the world has seen.\But now that it's turned out this way...\Honestly, I'm a little disappointed. response:	Well, you know you're going to lose.
context: Well, there'll be a next time for me.\Not for you, though.\To be honest, I secretly had a lot of hope for you.\I thought you could lay down a new rail, an unknown future\like none the world has seen.\But now that it's turned out this way...\Honestly, I'm a little disappointed.\Well, you know you're going to lose. response:	Now you have to prepare for your defeat.
context: Not for you, though.\To be honest, I secretly had a lot of hope for you.\I thought you could lay down a new rail, an unknown future\like none the world has seen.\But now that it's turned out this way...\Honestly, I'm a little disappointed.\Well, you know you're going to lose.\Now you have to prepare for your defeat. response:	I don't need to tell you what you have to do, do I?
context: To be honest, I secretly had a lot of hope for you.\I thought you could lay down a new rail, an unknown future\like none the world has seen.\But now that it's turned out this way...\Honestly, I'm a little disappointed.\Well, you know you're going to lose.\Now you have to prepare for your defeat.\I don't need to tell you what you have to do, do I? response:	You have to pass the baton to the next Yuta.
context: I thought you could lay down a new rail, an unknown future\like none the world has seen.\But now that it's turned out this way...\Honestly, I'm a little disappointed.\Well, you know you're going to lose.\Now you have to prepare for your defeat.\I don't need to tell you what you have to do, do I?\You have to pass the baton to the next Yuta. response:	Pass on that hope.
context: like none the world has seen.\But now that it's turned out this way...\Honestly, I'm a little disappointed.\Well, you know you're going to lose.\Now you have to prepare for your defeat.\I don't need to tell you what you have to do, do I?\You have to pass the baton to the next Yuta.\Pass on that hope. response:	Indian Holy Text Nandala Gandala
context: But now that it's turned out this way...\Honestly, I'm a little disappointed.\Well, you know you're going to lose.\Now you have to prepare for your defeat.\I don't need to tell you what you have to do, do I?\You have to pass the baton to the next Yuta.\Pass on that hope.\Indian Holy Text Nandala Gandala response:	Yuta?
context: Honestly, I'm a little disappointed.\Well, you know you're going to lose.\Now you have to prepare for your defeat.\I don't need to tell you what you have to do, do I?\You have to pass the baton to the next Yuta.\Pass on that hope.\Indian Holy Text Nandala Gandala\Yuta? response:	Oh, so you are home.
context: Well, you know you're going to lose.\Now you have to prepare for your defeat.\I don't need to tell you what you have to do, do I?\You have to pass the baton to the next Yuta.\Pass on that hope.\Indian Holy Text Nandala Gandala\Yuta?\Oh, so you are home. response:	You look awful.
context: Now you have to prepare for your defeat.\I don't need to tell you what you have to do, do I?\You have to pass the baton to the next Yuta.\Pass on that hope.\Indian Holy Text Nandala Gandala\Yuta?\Oh, so you are home.\You look awful. response:	What's wrong?
context: I don't need to tell you what you have to do, do I?\You have to pass the baton to the next Yuta.\Pass on that hope.\Indian Holy Text Nandala Gandala\Yuta?\Oh, so you are home.\You look awful.\What's wrong? response:	I didn't say you could come in.
context: You have to pass the baton to the next Yuta.\Pass on that hope.\Indian Holy Text Nandala Gandala\Yuta?\Oh, so you are home.\You look awful.\What's wrong?\I didn't say you could come in. response:	Are you feeling sick or something?
context: Pass on that hope.\Indian Holy Text Nandala Gandala\Yuta?\Oh, so you are home.\You look awful.\What's wrong?\I didn't say you could come in.\Are you feeling sick or something? response:	Just leave me alone!
context: Indian Holy Text Nandala Gandala\Yuta?\Oh, so you are home.\You look awful.\What's wrong?\I didn't say you could come in.\Are you feeling sick or something?\Just leave me alone! response:	What's this?
context: Yuta?\Oh, so you are home.\You look awful.\What's wrong?\I didn't say you could come in.\Are you feeling sick or something?\Just leave me alone!\What's this? response:	Nandala Gandala?
context: Oh, so you are home.\You look awful.\What's wrong?\I didn't say you could come in.\Are you feeling sick or something?\Just leave me alone!\What's this?\Nandala Gandala? response:	Going through your pretentious middle school phase?
context: You look awful.\What's wrong?\I didn't say you could come in.\Are you feeling sick or something?\Just leave me alone!\What's this?\Nandala Gandala?\Going through your pretentious middle school phase? response:	A fantasy diary!
context: What's wrong?\I didn't say you could come in.\Are you feeling sick or something?\Just leave me alone!\What's this?\Nandala Gandala?\Going through your pretentious middle school phase?\A fantasy diary! response:	No!
context: I didn't say you could come in.\Are you feeling sick or something?\Just leave me alone!\What's this?\Nandala Gandala?\Going through your pretentious middle school phase?\A fantasy diary!\No! response:	Who cares what it is?
context: Are you feeling sick or something?\Just leave me alone!\What's this?\Nandala Gandala?\Going through your pretentious middle school phase?\A fantasy diary!\No!\Who cares what it is? response:	What do you even want?!
context: Just leave me alone!\What's this?\Nandala Gandala?\Going through your pretentious middle school phase?\A fantasy diary!\No!\Who cares what it is?\What do you even want?! response:	We're all getting together for hotpot tonight.
context: What's this?\Nandala Gandala?\Going through your pretentious middle school phase?\A fantasy diary!\No!\Who cares what it is?\What do you even want?!\We're all getting together for hotpot tonight. response:	Why don't you join us, Yuta?
context: Nandala Gandala?\Going through your pretentious middle school phase?\A fantasy diary!\No!\Who cares what it is?\What do you even want?!\We're all getting together for hotpot tonight.\Why don't you join us, Yuta? response:	Tonight?
context: Going through your pretentious middle school phase?\A fantasy diary!\No!\Who cares what it is?\What do you even want?!\We're all getting together for hotpot tonight.\Why don't you join us, Yuta?\Tonight? response:	Ito in danger!
context: A fantasy diary!\No!\Who cares what it is?\What do you even want?!\We're all getting together for hotpot tonight.\Why don't you join us, Yuta?\Tonight?\Ito in danger! response:	Hey, Ito, have you gotten any weird emails?
context: No!\Who cares what it is?\What do you even want?!\We're all getting together for hotpot tonight.\Why don't you join us, Yuta?\Tonight?\Ito in danger!\Hey, Ito, have you gotten any weird emails? response:	Weird emails?
context: Who cares what it is?\What do you even want?!\We're all getting together for hotpot tonight.\Why don't you join us, Yuta?\Tonight?\Ito in danger!\Hey, Ito, have you gotten any weird emails?\Weird emails? response:	Telling you to come to the shrine tonight, or something.
context: What do you even want?!\We're all getting together for hotpot tonight.\Why don't you join us, Yuta?\Tonight?\Ito in danger!\Hey, Ito, have you gotten any weird emails?\Weird emails?\Telling you to come to the shrine tonight, or something. response:	No, I haven't.
context: We're all getting together for hotpot tonight.\Why don't you join us, Yuta?\Tonight?\Ito in danger!\Hey, Ito, have you gotten any weird emails?\Weird emails?\Telling you to come to the shrine tonight, or something.\No, I haven't. response:	Oh.
context: Why don't you join us, Yuta?\Tonight?\Ito in danger!\Hey, Ito, have you gotten any weird emails?\Weird emails?\Telling you to come to the shrine tonight, or something.\No, I haven't.\Oh. response:	Okay, then.
context: Tonight?\Ito in danger!\Hey, Ito, have you gotten any weird emails?\Weird emails?\Telling you to come to the shrine tonight, or something.\No, I haven't.\Oh.\Okay, then. response:	Why?
context: Ito in danger!\Hey, Ito, have you gotten any weird emails?\Weird emails?\Telling you to come to the shrine tonight, or something.\No, I haven't.\Oh.\Okay, then.\Why? response:	No, it's nothing.
context: Hey, Ito, have you gotten any weird emails?\Weird emails?\Telling you to come to the shrine tonight, or something.\No, I haven't.\Oh.\Okay, then.\Why?\No, it's nothing. response:	Don't worry about it.
context: Weird emails?\Telling you to come to the shrine tonight, or something.\No, I haven't.\Oh.\Okay, then.\Why?\No, it's nothing.\Don't worry about it. response:	So, how about that hotpot?
context: Telling you to come to the shrine tonight, or something.\No, I haven't.\Oh.\Okay, then.\Why?\No, it's nothing.\Don't worry about it.\So, how about that hotpot? response:	Are you in or not?
context: No, I haven't.\Oh.\Okay, then.\Why?\No, it's nothing.\Don't worry about it.\So, how about that hotpot?\Are you in or not? response:	Where?
context: Oh.\Okay, then.\Why?\No, it's nothing.\Don't worry about it.\So, how about that hotpot?\Are you in or not?\Where? response:	It looks like it's going to stick.
context: Okay, then.\Why?\No, it's nothing.\Don't worry about it.\So, how about that hotpot?\Are you in or not?\Where?\It looks like it's going to stick. response:	Ito sure is late, though.
context: Why?\No, it's nothing.\Don't worry about it.\So, how about that hotpot?\Are you in or not?\Where?\It looks like it's going to stick.\Ito sure is late, though. response:	What's she doing?
context: No, it's nothing.\Don't worry about it.\So, how about that hotpot?\Are you in or not?\Where?\It looks like it's going to stick.\Ito sure is late, though.\What's she doing? response:	She said she was going to get milk for Muhi.
context: Don't worry about it.\So, how about that hotpot?\Are you in or not?\Where?\It looks like it's going to stick.\Ito sure is late, though.\What's she doing?\She said she was going to get milk for Muhi. response:	Maybe she went to some farm to milk a cow.
context: So, how about that hotpot?\Are you in or not?\Where?\It looks like it's going to stick.\Ito sure is late, though.\What's she doing?\She said she was going to get milk for Muhi.\Maybe she went to some farm to milk a cow. response:	I'll go check on her.
context: Are you in or not?\Where?\It looks like it's going to stick.\Ito sure is late, though.\What's she doing?\She said she was going to get milk for Muhi.\Maybe she went to some farm to milk a cow.\I'll go check on her. response:	I'll go with you.
context: Where?\It looks like it's going to stick.\Ito sure is late, though.\What's she doing?\She said she was going to get milk for Muhi.\Maybe she went to some farm to milk a cow.\I'll go check on her.\I'll go with you. response:	Ito-chan?
context: It looks like it's going to stick.\Ito sure is late, though.\What's she doing?\She said she was going to get milk for Muhi.\Maybe she went to some farm to milk a cow.\I'll go check on her.\I'll go with you.\Ito-chan? response:	It couldn't be...
context: Ito sure is late, though.\What's she doing?\She said she was going to get milk for Muhi.\Maybe she went to some farm to milk a cow.\I'll go check on her.\I'll go with you.\Ito-chan?\It couldn't be... response:	What is it?
context: What's she doing?\She said she was going to get milk for Muhi.\Maybe she went to some farm to milk a cow.\I'll go check on her.\I'll go with you.\Ito-chan?\It couldn't be...\What is it? response:	Inbox
context: She said she was going to get milk for Muhi.\Maybe she went to some farm to milk a cow.\I'll go check on her.\I'll go with you.\Ito-chan?\It couldn't be...\What is it?\Inbox response:	To: Narugino Mikatan Subject: No Title I have Ito. Come to Ishinogari Shrine. Bring Iridatsu Yuta with you.
context: Maybe she went to some farm to milk a cow.\I'll go check on her.\I'll go with you.\Ito-chan?\It couldn't be...\What is it?\Inbox\To: Narugino Mikatan Subject: No Title I have Ito. Come to Ishinogari Shrine. Bring Iridatsu Yuta with you. response:	Wait!
context: I'll go check on her.\I'll go with you.\Ito-chan?\It couldn't be...\What is it?\Inbox\To: Narugino Mikatan Subject: No Title I have Ito. Come to Ishinogari Shrine. Bring Iridatsu Yuta with you.\Wait! response:	You stay here!
context: I'll go with you.\Ito-chan?\It couldn't be...\What is it?\Inbox\To: Narugino Mikatan Subject: No Title I have Ito. Come to Ishinogari Shrine. Bring Iridatsu Yuta with you.\Wait!\You stay here! response:	You know I can't do that!
context: Ito-chan?\It couldn't be...\What is it?\Inbox\To: Narugino Mikatan Subject: No Title I have Ito. Come to Ishinogari Shrine. Bring Iridatsu Yuta with you.\Wait!\You stay here!\You know I can't do that! response:	Tomoda should be in the hospital, immobilized...
context: It couldn't be...\What is it?\Inbox\To: Narugino Mikatan Subject: No Title I have Ito. Come to Ishinogari Shrine. Bring Iridatsu Yuta with you.\Wait!\You stay here!\You know I can't do that!\Tomoda should be in the hospital, immobilized... response:	Who the hell is it?!
context: What is it?\Inbox\To: Narugino Mikatan Subject: No Title I have Ito. Come to Ishinogari Shrine. Bring Iridatsu Yuta with you.\Wait!\You stay here!\You know I can't do that!\Tomoda should be in the hospital, immobilized...\Who the hell is it?! response:	Ito-chan!
context: Inbox\To: Narugino Mikatan Subject: No Title I have Ito. Come to Ishinogari Shrine. Bring Iridatsu Yuta with you.\Wait!\You stay here!\You know I can't do that!\Tomoda should be in the hospital, immobilized...\Who the hell is it?!\Ito-chan! response:	Don't worry.
context: To: Narugino Mikatan Subject: No Title I have Ito. Come to Ishinogari Shrine. Bring Iridatsu Yuta with you.\Wait!\You stay here!\You know I can't do that!\Tomoda should be in the hospital, immobilized...\Who the hell is it?!\Ito-chan!\Don't worry. response:	She's just sleeping.
context: Wait!\You stay here!\You know I can't do that!\Tomoda should be in the hospital, immobilized...\Who the hell is it?!\Ito-chan!\Don't worry.\She's just sleeping. response:	You're...
context: You stay here!\You know I can't do that!\Tomoda should be in the hospital, immobilized...\Who the hell is it?!\Ito-chan!\Don't worry.\She's just sleeping.\You're... response:	from the bus hijacking!
context: You know I can't do that!\Tomoda should be in the hospital, immobilized...\Who the hell is it?!\Ito-chan!\Don't worry.\She's just sleeping.\You're...\from the bus hijacking! response:	It can't be...
context: Tomoda should be in the hospital, immobilized...\Who the hell is it?!\Ito-chan!\Don't worry.\She's just sleeping.\You're...\from the bus hijacking!\It can't be... response:	That scar...
context: Who the hell is it?!\Ito-chan!\Don't worry.\She's just sleeping.\You're...\from the bus hijacking!\It can't be...\That scar... response:	Guriko.
context: Ito-chan!\Don't worry.\She's just sleeping.\You're...\from the bus hijacking!\It can't be...\That scar...\Guriko. response:	What a strange reunion party...
context: Don't worry.\She's just sleeping.\You're...\from the bus hijacking!\It can't be...\That scar...\Guriko.\What a strange reunion party... response:	Originally, it was supposed to be me in Chiyoko's body,
context: She's just sleeping.\You're...\from the bus hijacking!\It can't be...\That scar...\Guriko.\What a strange reunion party...\Originally, it was supposed to be me in Chiyoko's body, response:	Chiyoko in Pine's, and Pine in my body.
context: You're...\from the bus hijacking!\It can't be...\That scar...\Guriko.\What a strange reunion party...\Originally, it was supposed to be me in Chiyoko's body,\Chiyoko in Pine's, and Pine in my body. response:	Guri-chan, why?
context: from the bus hijacking!\It can't be...\That scar...\Guriko.\What a strange reunion party...\Originally, it was supposed to be me in Chiyoko's body,\Chiyoko in Pine's, and Pine in my body.\Guri-chan, why? response:	There's a favor I want to ask of you two.
context: It can't be...\That scar...\Guriko.\What a strange reunion party...\Originally, it was supposed to be me in Chiyoko's body,\Chiyoko in Pine's, and Pine in my body.\Guri-chan, why?\There's a favor I want to ask of you two. response:	A favor?
context: That scar...\Guriko.\What a strange reunion party...\Originally, it was supposed to be me in Chiyoko's body,\Chiyoko in Pine's, and Pine in my body.\Guri-chan, why?\There's a favor I want to ask of you two.\A favor? response:	I want you to become Ws.
context: Guriko.\What a strange reunion party...\Originally, it was supposed to be me in Chiyoko's body,\Chiyoko in Pine's, and Pine in my body.\Guri-chan, why?\There's a favor I want to ask of you two.\A favor?\I want you to become Ws. response:	I see, so Chiyoko's completely clueless.
context: What a strange reunion party...\Originally, it was supposed to be me in Chiyoko's body,\Chiyoko in Pine's, and Pine in my body.\Guri-chan, why?\There's a favor I want to ask of you two.\A favor?\I want you to become Ws.\I see, so Chiyoko's completely clueless. response:	And if I refuse?
context: Originally, it was supposed to be me in Chiyoko's body,\Chiyoko in Pine's, and Pine in my body.\Guri-chan, why?\There's a favor I want to ask of you two.\A favor?\I want you to become Ws.\I see, so Chiyoko's completely clueless.\And if I refuse? response:	I'll kill her.
context: Chiyoko in Pine's, and Pine in my body.\Guri-chan, why?\There's a favor I want to ask of you two.\A favor?\I want you to become Ws.\I see, so Chiyoko's completely clueless.\And if I refuse?\I'll kill her. response:	Put the gun down.
