context: In life, you need vacations where you can be yourself, response:	away from your hectic everyday life.
context: He's Christophe Giacometti from Switzerland.\Since you left, I'm one of the oldest...\And I'm only 25.\Nowadays, Chris is sexy both on and off the ice,\but when I first met him at the European Championships,\he was like a little boy running through the Swiss meadows.\I've shared the podium with Chris at many a Grand Prix Final,\European Championship, and World Championship. response:	I can't imagine a skating season without him,
context: Since you left, I'm one of the oldest...\And I'm only 25.\Nowadays, Chris is sexy both on and off the ice,\but when I first met him at the European Championships,\he was like a little boy running through the Swiss meadows.\I've shared the podium with Chris at many a Grand Prix Final,\European Championship, and World Championship.\I can't imagine a skating season without him, response:	and he has said that
context: And I'm only 25.\Nowadays, Chris is sexy both on and off the ice,\but when I first met him at the European Championships,\he was like a little boy running through the Swiss meadows.\I've shared the podium with Chris at many a Grand Prix Final,\European Championship, and World Championship.\I can't imagine a skating season without him,\and he has said that response:	he wouldn't be motivated in a season without me, either.
context: Nowadays, Chris is sexy both on and off the ice,\but when I first met him at the European Championships,\he was like a little boy running through the Swiss meadows.\I've shared the podium with Chris at many a Grand Prix Final,\European Championship, and World Championship.\I can't imagine a skating season without him,\and he has said that\he wouldn't be motivated in a season without me, either. response:	Despite all that, he was savvy enough
context: but when I first met him at the European Championships,\he was like a little boy running through the Swiss meadows.\I've shared the podium with Chris at many a Grand Prix Final,\European Championship, and World Championship.\I can't imagine a skating season without him,\and he has said that\he wouldn't be motivated in a season without me, either.\Despite all that, he was savvy enough response:	to make it to the Grand Prix Final.
context: he was like a little boy running through the Swiss meadows.\I've shared the podium with Chris at many a Grand Prix Final,\European Championship, and World Championship.\I can't imagine a skating season without him,\and he has said that\he wouldn't be motivated in a season without me, either.\Despite all that, he was savvy enough\to make it to the Grand Prix Final. response:	Yuri!
context: I've shared the podium with Chris at many a Grand Prix Final,\European Championship, and World Championship.\I can't imagine a skating season without him,\and he has said that\he wouldn't be motivated in a season without me, either.\Despite all that, he was savvy enough\to make it to the Grand Prix Final.\Yuri! response:	At least check yourself in.
context: European Championship, and World Championship.\I can't imagine a skating season without him,\and he has said that\he wouldn't be motivated in a season without me, either.\Despite all that, he was savvy enough\to make it to the Grand Prix Final.\Yuri!\At least check yourself in. response:	You do it, Yakov.
context: I can't imagine a skating season without him,\and he has said that\he wouldn't be motivated in a season without me, either.\Despite all that, he was savvy enough\to make it to the Grand Prix Final.\Yuri!\At least check yourself in.\You do it, Yakov. response:	I'm tired.
context: and he has said that\he wouldn't be motivated in a season without me, either.\Despite all that, he was savvy enough\to make it to the Grand Prix Final.\Yuri!\At least check yourself in.\You do it, Yakov.\I'm tired. response:	Yuratchka!
context: he wouldn't be motivated in a season without me, either.\Despite all that, he was savvy enough\to make it to the Grand Prix Final.\Yuri!\At least check yourself in.\You do it, Yakov.\I'm tired.\Yuratchka! response:	Autograph, please!
context: Despite all that, he was savvy enough\to make it to the Grand Prix Final.\Yuri!\At least check yourself in.\You do it, Yakov.\I'm tired.\Yuratchka!\Autograph, please! response:	Can I get a photo with you?
context: to make it to the Grand Prix Final.\Yuri!\At least check yourself in.\You do it, Yakov.\I'm tired.\Yuratchka!\Autograph, please!\Can I get a photo with you? response:	You ug
context: Yuri!\At least check yourself in.\You do it, Yakov.\I'm tired.\Yuratchka!\Autograph, please!\Can I get a photo with you?\You ug response:	Yuri Plisetsky, don't use unattractive words.
context: At least check yourself in.\You do it, Yakov.\I'm tired.\Yuratchka!\Autograph, please!\Can I get a photo with you?\You ug\Yuri Plisetsky, don't use unattractive words. response:	From Russia, we have Yuri Plisetsky.
context: You do it, Yakov.\I'm tired.\Yuratchka!\Autograph, please!\Can I get a photo with you?\You ug\Yuri Plisetsky, don't use unattractive words.\From Russia, we have Yuri Plisetsky. response:	At just 15, he's qualified for the GP Final first thing in his senior debut.
context: I'm tired.\Yuratchka!\Autograph, please!\Can I get a photo with you?\You ug\Yuri Plisetsky, don't use unattractive words.\From Russia, we have Yuri Plisetsky.\At just 15, he's qualified for the GP Final first thing in his senior debut. response:	He's a tomboy cat under my former coach, Yakov.
context: Yuratchka!\Autograph, please!\Can I get a photo with you?\You ug\Yuri Plisetsky, don't use unattractive words.\From Russia, we have Yuri Plisetsky.\At just 15, he's qualified for the GP Final first thing in his senior debut.\He's a tomboy cat under my former coach, Yakov. response:	After visiting Japan,
context: Autograph, please!\Can I get a photo with you?\You ug\Yuri Plisetsky, don't use unattractive words.\From Russia, we have Yuri Plisetsky.\At just 15, he's qualified for the GP Final first thing in his senior debut.\He's a tomboy cat under my former coach, Yakov.\After visiting Japan, response:	Yurio
context: Can I get a photo with you?\You ug\Yuri Plisetsky, don't use unattractive words.\From Russia, we have Yuri Plisetsky.\At just 15, he's qualified for the GP Final first thing in his senior debut.\He's a tomboy cat under my former coach, Yakov.\After visiting Japan,\Yurio response:	he's been called by his nickname, Yurio.
context: You ug\Yuri Plisetsky, don't use unattractive words.\From Russia, we have Yuri Plisetsky.\At just 15, he's qualified for the GP Final first thing in his senior debut.\He's a tomboy cat under my former coach, Yakov.\After visiting Japan,\Yurio\he's been called by his nickname, Yurio. response:	It's well-known that he has rabid fans called Yuri's Angels,
context: Yuri Plisetsky, don't use unattractive words.\From Russia, we have Yuri Plisetsky.\At just 15, he's qualified for the GP Final first thing in his senior debut.\He's a tomboy cat under my former coach, Yakov.\After visiting Japan,\Yurio\he's been called by his nickname, Yurio.\It's well-known that he has rabid fans called Yuri's Angels, response:	Meow
context: From Russia, we have Yuri Plisetsky.\At just 15, he's qualified for the GP Final first thing in his senior debut.\He's a tomboy cat under my former coach, Yakov.\After visiting Japan,\Yurio\he's been called by his nickname, Yurio.\It's well-known that he has rabid fans called Yuri's Angels,\Meow response:	who appear at every competition.
context: At just 15, he's qualified for the GP Final first thing in his senior debut.\He's a tomboy cat under my former coach, Yakov.\After visiting Japan,\Yurio\he's been called by his nickname, Yurio.\It's well-known that he has rabid fans called Yuri's Angels,\Meow\who appear at every competition. response:	Wow, he's so popular.
context: He's a tomboy cat under my former coach, Yakov.\After visiting Japan,\Yurio\he's been called by his nickname, Yurio.\It's well-known that he has rabid fans called Yuri's Angels,\Meow\who appear at every competition.\Wow, he's so popular. response:	Yuri's Angels are famous.
context: After visiting Japan,\Yurio\he's been called by his nickname, Yurio.\It's well-known that he has rabid fans called Yuri's Angels,\Meow\who appear at every competition.\Wow, he's so popular.\Yuri's Angels are famous. response:	Huh...
context: Yurio\he's been called by his nickname, Yurio.\It's well-known that he has rabid fans called Yuri's Angels,\Meow\who appear at every competition.\Wow, he's so popular.\Yuri's Angels are famous.\Huh... response:	But JJ Girls are better about following the rules,
context: he's been called by his nickname, Yurio.\It's well-known that he has rabid fans called Yuri's Angels,\Meow\who appear at every competition.\Wow, he's so popular.\Yuri's Angels are famous.\Huh...\But JJ Girls are better about following the rules, response:	and we're cuter.
context: It's well-known that he has rabid fans called Yuri's Angels,\Meow\who appear at every competition.\Wow, he's so popular.\Yuri's Angels are famous.\Huh...\But JJ Girls are better about following the rules,\and we're cuter. response:	Don't diss my fans and call them ugly, you ugly-ass bitch!
context: Meow\who appear at every competition.\Wow, he's so popular.\Yuri's Angels are famous.\Huh...\But JJ Girls are better about following the rules,\and we're cuter.\Don't diss my fans and call them ugly, you ugly-ass bitch! response:	So scary.
context: who appear at every competition.\Wow, he's so popular.\Yuri's Angels are famous.\Huh...\But JJ Girls are better about following the rules,\and we're cuter.\Don't diss my fans and call them ugly, you ugly-ass bitch!\So scary. response:	Help, JJ.
context: Wow, he's so popular.\Yuri's Angels are famous.\Huh...\But JJ Girls are better about following the rules,\and we're cuter.\Don't diss my fans and call them ugly, you ugly-ass bitch!\So scary.\Help, JJ. response:	Oh, he's just jealous because my fiancee is so beautiful.
context: Yuri's Angels are famous.\Huh...\But JJ Girls are better about following the rules,\and we're cuter.\Don't diss my fans and call them ugly, you ugly-ass bitch!\So scary.\Help, JJ.\Oh, he's just jealous because my fiancee is so beautiful. response:	I think he's the one named Jean-Jacques Leroy, from Canada.
context: Huh...\But JJ Girls are better about following the rules,\and we're cuter.\Don't diss my fans and call them ugly, you ugly-ass bitch!\So scary.\Help, JJ.\Oh, he's just jealous because my fiancee is so beautiful.\I think he's the one named Jean-Jacques Leroy, from Canada. response:	He's a strong gold medal candidate,
context: But JJ Girls are better about following the rules,\and we're cuter.\Don't diss my fans and call them ugly, you ugly-ass bitch!\So scary.\Help, JJ.\Oh, he's just jealous because my fiancee is so beautiful.\I think he's the one named Jean-Jacques Leroy, from Canada.\He's a strong gold medal candidate, response:	but he has a certain unapproachable quality the other competitors don't.
context: and we're cuter.\Don't diss my fans and call them ugly, you ugly-ass bitch!\So scary.\Help, JJ.\Oh, he's just jealous because my fiancee is so beautiful.\I think he's the one named Jean-Jacques Leroy, from Canada.\He's a strong gold medal candidate,\but he has a certain unapproachable quality the other competitors don't. response:	Any guy who wears sunglasses on his head is scum.
context: Don't diss my fans and call them ugly, you ugly-ass bitch!\So scary.\Help, JJ.\Oh, he's just jealous because my fiancee is so beautiful.\I think he's the one named Jean-Jacques Leroy, from Canada.\He's a strong gold medal candidate,\but he has a certain unapproachable quality the other competitors don't.\Any guy who wears sunglasses on his head is scum. response:	Find someone better, ugly-ass bitch!
context: So scary.\Help, JJ.\Oh, he's just jealous because my fiancee is so beautiful.\I think he's the one named Jean-Jacques Leroy, from Canada.\He's a strong gold medal candidate,\but he has a certain unapproachable quality the other competitors don't.\Any guy who wears sunglasses on his head is scum.\Find someone better, ugly-ass bitch! response:	Hey, don't be so uppity.
context: Help, JJ.\Oh, he's just jealous because my fiancee is so beautiful.\I think he's the one named Jean-Jacques Leroy, from Canada.\He's a strong gold medal candidate,\but he has a certain unapproachable quality the other competitors don't.\Any guy who wears sunglasses on his head is scum.\Find someone better, ugly-ass bitch!\Hey, don't be so uppity. response:	Scary!
context: Oh, he's just jealous because my fiancee is so beautiful.\I think he's the one named Jean-Jacques Leroy, from Canada.\He's a strong gold medal candidate,\but he has a certain unapproachable quality the other competitors don't.\Any guy who wears sunglasses on his head is scum.\Find someone better, ugly-ass bitch!\Hey, don't be so uppity.\Scary! response:	Otabek!
context: I think he's the one named Jean-Jacques Leroy, from Canada.\He's a strong gold medal candidate,\but he has a certain unapproachable quality the other competitors don't.\Any guy who wears sunglasses on his head is scum.\Find someone better, ugly-ass bitch!\Hey, don't be so uppity.\Scary!\Otabek! response:	Where are you going?
context: He's a strong gold medal candidate,\but he has a certain unapproachable quality the other competitors don't.\Any guy who wears sunglasses on his head is scum.\Find someone better, ugly-ass bitch!\Hey, don't be so uppity.\Scary!\Otabek!\Where are you going? response:	Out to eat.
context: but he has a certain unapproachable quality the other competitors don't.\Any guy who wears sunglasses on his head is scum.\Find someone better, ugly-ass bitch!\Hey, don't be so uppity.\Scary!\Otabek!\Where are you going?\Out to eat. response:	Otabek Altin from Kazakhstan, age 18.
context: Any guy who wears sunglasses on his head is scum.\Find someone better, ugly-ass bitch!\Hey, don't be so uppity.\Scary!\Otabek!\Where are you going?\Out to eat.\Otabek Altin from Kazakhstan, age 18. response:	He rushed into the GP Final at full speed.
context: Find someone better, ugly-ass bitch!\Hey, don't be so uppity.\Scary!\Otabek!\Where are you going?\Out to eat.\Otabek Altin from Kazakhstan, age 18.\He rushed into the GP Final at full speed. response:	Ever since he shared the podium with me
context: Hey, don't be so uppity.\Scary!\Otabek!\Where are you going?\Out to eat.\Otabek Altin from Kazakhstan, age 18.\He rushed into the GP Final at full speed.\Ever since he shared the podium with me response:	at Worlds last season, I've sensed a certain presence about him.
context: Scary!\Otabek!\Where are you going?\Out to eat.\Otabek Altin from Kazakhstan, age 18.\He rushed into the GP Final at full speed.\Ever since he shared the podium with me\at Worlds last season, I've sensed a certain presence about him. response:	But people don't know much about his personal life.
context: Otabek!\Where are you going?\Out to eat.\Otabek Altin from Kazakhstan, age 18.\He rushed into the GP Final at full speed.\Ever since he shared the podium with me\at Worlds last season, I've sensed a certain presence about him.\But people don't know much about his personal life. response:	Eating alone?
context: Where are you going?\Out to eat.\Otabek Altin from Kazakhstan, age 18.\He rushed into the GP Final at full speed.\Ever since he shared the podium with me\at Worlds last season, I've sensed a certain presence about him.\But people don't know much about his personal life.\Eating alone? response:	You're still an odd one, huh?
context: Out to eat.\Otabek Altin from Kazakhstan, age 18.\He rushed into the GP Final at full speed.\Ever since he shared the podium with me\at Worlds last season, I've sensed a certain presence about him.\But people don't know much about his personal life.\Eating alone?\You're still an odd one, huh? response:	Want to join us for dinner?
context: Otabek Altin from Kazakhstan, age 18.\He rushed into the GP Final at full speed.\Ever since he shared the podium with me\at Worlds last season, I've sensed a certain presence about him.\But people don't know much about his personal life.\Eating alone?\You're still an odd one, huh?\Want to join us for dinner? response:	Thanks, but I'll pass.
context: He rushed into the GP Final at full speed.\Ever since he shared the podium with me\at Worlds last season, I've sensed a certain presence about him.\But people don't know much about his personal life.\Eating alone?\You're still an odd one, huh?\Want to join us for dinner?\Thanks, but I'll pass. response:	It appears he's not interested in socializing with other skaters.
context: Ever since he shared the podium with me\at Worlds last season, I've sensed a certain presence about him.\But people don't know much about his personal life.\Eating alone?\You're still an odd one, huh?\Want to join us for dinner?\Thanks, but I'll pass.\It appears he's not interested in socializing with other skaters. response:	Huh?
context: at Worlds last season, I've sensed a certain presence about him.\But people don't know much about his personal life.\Eating alone?\You're still an odd one, huh?\Want to join us for dinner?\Thanks, but I'll pass.\It appears he's not interested in socializing with other skaters.\Huh? response:	What's with you, asshole?
context: But people don't know much about his personal life.\Eating alone?\You're still an odd one, huh?\Want to join us for dinner?\Thanks, but I'll pass.\It appears he's not interested in socializing with other skaters.\Huh?\What's with you, asshole? response:	Yuri's not answering.
context: Eating alone?\You're still an odd one, huh?\Want to join us for dinner?\Thanks, but I'll pass.\It appears he's not interested in socializing with other skaters.\Huh?\What's with you, asshole?\Yuri's not answering. response:	Ugh, I can't wait any longer!
context: You're still an odd one, huh?\Want to join us for dinner?\Thanks, but I'll pass.\It appears he's not interested in socializing with other skaters.\Huh?\What's with you, asshole?\Yuri's not answering.\Ugh, I can't wait any longer! response:	I'm going to Sagrada FamIlia!
context: Want to join us for dinner?\Thanks, but I'll pass.\It appears he's not interested in socializing with other skaters.\Huh?\What's with you, asshole?\Yuri's not answering.\Ugh, I can't wait any longer!\I'm going to Sagrada FamIlia! response:	Just go.
context: Thanks, but I'll pass.\It appears he's not interested in socializing with other skaters.\Huh?\What's with you, asshole?\Yuri's not answering.\Ugh, I can't wait any longer!\I'm going to Sagrada FamIlia!\Just go. response:	Okay!
context: It appears he's not interested in socializing with other skaters.\Huh?\What's with you, asshole?\Yuri's not answering.\Ugh, I can't wait any longer!\I'm going to Sagrada FamIlia!\Just go.\Okay! response:	Phichit Chulanont from Thailand.
context: Huh?\What's with you, asshole?\Yuri's not answering.\Ugh, I can't wait any longer!\I'm going to Sagrada FamIlia!\Just go.\Okay!\Phichit Chulanont from Thailand. response:	He won the Cup of China,
context: What's with you, asshole?\Yuri's not answering.\Ugh, I can't wait any longer!\I'm going to Sagrada FamIlia!\Just go.\Okay!\Phichit Chulanont from Thailand.\He won the Cup of China, response:	becoming the first Southeast Asian figure skater to qualify for the Grand Prix Final,
context: Yuri's not answering.\Ugh, I can't wait any longer!\I'm going to Sagrada FamIlia!\Just go.\Okay!\Phichit Chulanont from Thailand.\He won the Cup of China,\becoming the first Southeast Asian figure skater to qualify for the Grand Prix Final, response:	but I feel he's also peerless when it comes to skillful selfies.
context: Ugh, I can't wait any longer!\I'm going to Sagrada FamIlia!\Just go.\Okay!\Phichit Chulanont from Thailand.\He won the Cup of China,\becoming the first Southeast Asian figure skater to qualify for the Grand Prix Final,\but I feel he's also peerless when it comes to skillful selfies. response:	He was Yuri's rink mate in Detroit,
context: I'm going to Sagrada FamIlia!\Just go.\Okay!\Phichit Chulanont from Thailand.\He won the Cup of China,\becoming the first Southeast Asian figure skater to qualify for the Grand Prix Final,\but I feel he's also peerless when it comes to skillful selfies.\He was Yuri's rink mate in Detroit, response:	and Yuri says he's the only foreign skater he considers a friend.
context: Just go.\Okay!\Phichit Chulanont from Thailand.\He won the Cup of China,\becoming the first Southeast Asian figure skater to qualify for the Grand Prix Final,\but I feel he's also peerless when it comes to skillful selfies.\He was Yuri's rink mate in Detroit,\and Yuri says he's the only foreign skater he considers a friend. response:	And among the six qualifiers for the Final,
context: Okay!\Phichit Chulanont from Thailand.\He won the Cup of China,\becoming the first Southeast Asian figure skater to qualify for the Grand Prix Final,\but I feel he's also peerless when it comes to skillful selfies.\He was Yuri's rink mate in Detroit,\and Yuri says he's the only foreign skater he considers a friend.\And among the six qualifiers for the Final, response:	Top 6 Men's Singles Figure Skaters
context: Phichit Chulanont from Thailand.\He won the Cup of China,\becoming the first Southeast Asian figure skater to qualify for the Grand Prix Final,\but I feel he's also peerless when it comes to skillful selfies.\He was Yuri's rink mate in Detroit,\and Yuri says he's the only foreign skater he considers a friend.\And among the six qualifiers for the Final,\Top 6 Men's Singles Figure Skaters response:	the last one, who made it by a hair's width,
context: He won the Cup of China,\becoming the first Southeast Asian figure skater to qualify for the Grand Prix Final,\but I feel he's also peerless when it comes to skillful selfies.\He was Yuri's rink mate in Detroit,\and Yuri says he's the only foreign skater he considers a friend.\And among the six qualifiers for the Final,\Top 6 Men's Singles Figure Skaters\the last one, who made it by a hair's width, response:	is this jet-lagged sleeping beauty, Katsuki Yuri from Japan.
context: becoming the first Southeast Asian figure skater to qualify for the Grand Prix Final,\but I feel he's also peerless when it comes to skillful selfies.\He was Yuri's rink mate in Detroit,\and Yuri says he's the only foreign skater he considers a friend.\And among the six qualifiers for the Final,\Top 6 Men's Singles Figure Skaters\the last one, who made it by a hair's width,\is this jet-lagged sleeping beauty, Katsuki Yuri from Japan. response:	I've come here with him as his coach.
context: but I feel he's also peerless when it comes to skillful selfies.\He was Yuri's rink mate in Detroit,\and Yuri says he's the only foreign skater he considers a friend.\And among the six qualifiers for the Final,\Top 6 Men's Singles Figure Skaters\the last one, who made it by a hair's width,\is this jet-lagged sleeping beauty, Katsuki Yuri from Japan.\I've come here with him as his coach. response:	After the Rostelecom Cup,
context: He was Yuri's rink mate in Detroit,\and Yuri says he's the only foreign skater he considers a friend.\And among the six qualifiers for the Final,\Top 6 Men's Singles Figure Skaters\the last one, who made it by a hair's width,\is this jet-lagged sleeping beauty, Katsuki Yuri from Japan.\I've come here with him as his coach.\After the Rostelecom Cup, response:	Yuri spent his few remaining days
context: and Yuri says he's the only foreign skater he considers a friend.\And among the six qualifiers for the Final,\Top 6 Men's Singles Figure Skaters\the last one, who made it by a hair's width,\is this jet-lagged sleeping beauty, Katsuki Yuri from Japan.\I've come here with him as his coach.\After the Rostelecom Cup,\Yuri spent his few remaining days response:	Congratulations on Qualifying for the GPF 2 Years in a Row! Thank You, Katsuki Yuri and Coach Victor Nikiforov!
context: And among the six qualifiers for the Final,\Top 6 Men's Singles Figure Skaters\the last one, who made it by a hair's width,\is this jet-lagged sleeping beauty, Katsuki Yuri from Japan.\I've come here with him as his coach.\After the Rostelecom Cup,\Yuri spent his few remaining days\Congratulations on Qualifying for the GPF 2 Years in a Row! Thank You, Katsuki Yuri and Coach Victor Nikiforov! response:	until the Final maximizing his practice time.
context: Top 6 Men's Singles Figure Skaters\the last one, who made it by a hair's width,\is this jet-lagged sleeping beauty, Katsuki Yuri from Japan.\I've come here with him as his coach.\After the Rostelecom Cup,\Yuri spent his few remaining days\Congratulations on Qualifying for the GPF 2 Years in a Row! Thank You, Katsuki Yuri and Coach Victor Nikiforov!\until the Final maximizing his practice time. response:	When I think about it,
context: the last one, who made it by a hair's width,\is this jet-lagged sleeping beauty, Katsuki Yuri from Japan.\I've come here with him as his coach.\After the Rostelecom Cup,\Yuri spent his few remaining days\Congratulations on Qualifying for the GPF 2 Years in a Row! Thank You, Katsuki Yuri and Coach Victor Nikiforov!\until the Final maximizing his practice time.\When I think about it, response:	it's already been eight months since I first came to Hasetsu.
context: is this jet-lagged sleeping beauty, Katsuki Yuri from Japan.\I've come here with him as his coach.\After the Rostelecom Cup,\Yuri spent his few remaining days\Congratulations on Qualifying for the GPF 2 Years in a Row! Thank You, Katsuki Yuri and Coach Victor Nikiforov!\until the Final maximizing his practice time.\When I think about it,\it's already been eight months since I first came to Hasetsu. response:	I can't remember when I last spent this much time with Maccachin.
context: I've come here with him as his coach.\After the Rostelecom Cup,\Yuri spent his few remaining days\Congratulations on Qualifying for the GPF 2 Years in a Row! Thank You, Katsuki Yuri and Coach Victor Nikiforov!\until the Final maximizing his practice time.\When I think about it,\it's already been eight months since I first came to Hasetsu.\I can't remember when I last spent this much time with Maccachin. response:	Every day, I've been able to bathe in a bath bigger than any tub,
context: After the Rostelecom Cup,\Yuri spent his few remaining days\Congratulations on Qualifying for the GPF 2 Years in a Row! Thank You, Katsuki Yuri and Coach Victor Nikiforov!\until the Final maximizing his practice time.\When I think about it,\it's already been eight months since I first came to Hasetsu.\I can't remember when I last spent this much time with Maccachin.\Every day, I've been able to bathe in a bath bigger than any tub, response:	and I can eat all the delicious pork cutlet bowls I want.
