context: If Crusch-sama's goal should be attained, response:	I'm sure it would suit your desires, Wilhelm-dono.
context: My name is Russell Fellow.\It's a pleasure to meet you,\Natsuki Subaru-dono.\Wilhelm-san, who was that?\Russell Fellow.\Despite what he said,\he is shrewd, dealing in all of the capital's inner and outer financial matters.\Now, I was just about to head back inside... response:	Do you have something to say?
context: It's a pleasure to meet you,\Natsuki Subaru-dono.\Wilhelm-san, who was that?\Russell Fellow.\Despite what he said,\he is shrewd, dealing in all of the capital's inner and outer financial matters.\Now, I was just about to head back inside...\Do you have something to say? response:	People calling themselves
context: Natsuki Subaru-dono.\Wilhelm-san, who was that?\Russell Fellow.\Despite what he said,\he is shrewd, dealing in all of the capital's inner and outer financial matters.\Now, I was just about to head back inside...\Do you have something to say?\People calling themselves response:	the Witch's Cult plan to attack Roswaal's domain in three days.
context: Wilhelm-san, who was that?\Russell Fellow.\Despite what he said,\he is shrewd, dealing in all of the capital's inner and outer financial matters.\Now, I was just about to head back inside...\Do you have something to say?\People calling themselves\the Witch's Cult plan to attack Roswaal's domain in three days. response:	I want to ask for your help in stopping them.
context: Russell Fellow.\Despite what he said,\he is shrewd, dealing in all of the capital's inner and outer financial matters.\Now, I was just about to head back inside...\Do you have something to say?\People calling themselves\the Witch's Cult plan to attack Roswaal's domain in three days.\I want to ask for your help in stopping them. response:	I see.
context: Despite what he said,\he is shrewd, dealing in all of the capital's inner and outer financial matters.\Now, I was just about to head back inside...\Do you have something to say?\People calling themselves\the Witch's Cult plan to attack Roswaal's domain in three days.\I want to ask for your help in stopping them.\I see. response:	So they have made their move.
context: he is shrewd, dealing in all of the capital's inner and outer financial matters.\Now, I was just about to head back inside...\Do you have something to say?\People calling themselves\the Witch's Cult plan to attack Roswaal's domain in three days.\I want to ask for your help in stopping them.\I see.\So they have made their move. response:	It seems so.
context: Now, I was just about to head back inside...\Do you have something to say?\People calling themselves\the Witch's Cult plan to attack Roswaal's domain in three days.\I want to ask for your help in stopping them.\I see.\So they have made their move.\It seems so. response:	Of course, from the moment that Emilia-sama, a half-elf, entered the scene,
context: Do you have something to say?\People calling themselves\the Witch's Cult plan to attack Roswaal's domain in three days.\I want to ask for your help in stopping them.\I see.\So they have made their move.\It seems so.\Of course, from the moment that Emilia-sama, a half-elf, entered the scene, response:	we foresaw something like this happening.
context: People calling themselves\the Witch's Cult plan to attack Roswaal's domain in three days.\I want to ask for your help in stopping them.\I see.\So they have made their move.\It seems so.\Of course, from the moment that Emilia-sama, a half-elf, entered the scene,\we foresaw something like this happening. response:	I understand the situation.
context: the Witch's Cult plan to attack Roswaal's domain in three days.\I want to ask for your help in stopping them.\I see.\So they have made their move.\It seems so.\Of course, from the moment that Emilia-sama, a half-elf, entered the scene,\we foresaw something like this happening.\I understand the situation. response:	My next question is how you chose me to assist you.
context: I want to ask for your help in stopping them.\I see.\So they have made their move.\It seems so.\Of course, from the moment that Emilia-sama, a half-elf, entered the scene,\we foresaw something like this happening.\I understand the situation.\My next question is how you chose me to assist you. response:	Because, to be honest, you seem the most likely to help right now.
context: I see.\So they have made their move.\It seems so.\Of course, from the moment that Emilia-sama, a half-elf, entered the scene,\we foresaw something like this happening.\I understand the situation.\My next question is how you chose me to assist you.\Because, to be honest, you seem the most likely to help right now. response:	You've helped Rem and me
context: So they have made their move.\It seems so.\Of course, from the moment that Emilia-sama, a half-elf, entered the scene,\we foresaw something like this happening.\I understand the situation.\My next question is how you chose me to assist you.\Because, to be honest, you seem the most likely to help right now.\You've helped Rem and me response:	Don't misunderstand.
context: It seems so.\Of course, from the moment that Emilia-sama, a half-elf, entered the scene,\we foresaw something like this happening.\I understand the situation.\My next question is how you chose me to assist you.\Because, to be honest, you seem the most likely to help right now.\You've helped Rem and me\Don't misunderstand. response:	I helped you two because I was contracted to do so.
context: Of course, from the moment that Emilia-sama, a half-elf, entered the scene,\we foresaw something like this happening.\I understand the situation.\My next question is how you chose me to assist you.\Because, to be honest, you seem the most likely to help right now.\You've helped Rem and me\Don't misunderstand.\I helped you two because I was contracted to do so. response:	If you wish to negotiate, you need to show me what I stand to gain.
context: we foresaw something like this happening.\I understand the situation.\My next question is how you chose me to assist you.\Because, to be honest, you seem the most likely to help right now.\You've helped Rem and me\Don't misunderstand.\I helped you two because I was contracted to do so.\If you wish to negotiate, you need to show me what I stand to gain. response:	Otherwise, there is nothing to negotiate.
context: I understand the situation.\My next question is how you chose me to assist you.\Because, to be honest, you seem the most likely to help right now.\You've helped Rem and me\Don't misunderstand.\I helped you two because I was contracted to do so.\If you wish to negotiate, you need to show me what I stand to gain.\Otherwise, there is nothing to negotiate. response:	If, with my assistance,
context: My next question is how you chose me to assist you.\Because, to be honest, you seem the most likely to help right now.\You've helped Rem and me\Don't misunderstand.\I helped you two because I was contracted to do so.\If you wish to negotiate, you need to show me what I stand to gain.\Otherwise, there is nothing to negotiate.\If, with my assistance, response:	you can eliminate the threat posed by the Witch's Cult,
context: Because, to be honest, you seem the most likely to help right now.\You've helped Rem and me\Don't misunderstand.\I helped you two because I was contracted to do so.\If you wish to negotiate, you need to show me what I stand to gain.\Otherwise, there is nothing to negotiate.\If, with my assistance,\you can eliminate the threat posed by the Witch's Cult, response:	what would my profit be?
context: You've helped Rem and me\Don't misunderstand.\I helped you two because I was contracted to do so.\If you wish to negotiate, you need to show me what I stand to gain.\Otherwise, there is nothing to negotiate.\If, with my assistance,\you can eliminate the threat posed by the Witch's Cult,\what would my profit be? response:	Tell me that.
context: Don't misunderstand.\I helped you two because I was contracted to do so.\If you wish to negotiate, you need to show me what I stand to gain.\Otherwise, there is nothing to negotiate.\If, with my assistance,\you can eliminate the threat posed by the Witch's Cult,\what would my profit be?\Tell me that. response:	If you help me out with this problem,
context: I helped you two because I was contracted to do so.\If you wish to negotiate, you need to show me what I stand to gain.\Otherwise, there is nothing to negotiate.\If, with my assistance,\you can eliminate the threat posed by the Witch's Cult,\what would my profit be?\Tell me that.\If you help me out with this problem, response:	I'll owe a huge debt to your camp.
context: If you wish to negotiate, you need to show me what I stand to gain.\Otherwise, there is nothing to negotiate.\If, with my assistance,\you can eliminate the threat posed by the Witch's Cult,\what would my profit be?\Tell me that.\If you help me out with this problem,\I'll owe a huge debt to your camp. response:	Should I accept the proposal,
context: Otherwise, there is nothing to negotiate.\If, with my assistance,\you can eliminate the threat posed by the Witch's Cult,\what would my profit be?\Tell me that.\If you help me out with this problem,\I'll owe a huge debt to your camp.\Should I accept the proposal, response:	it would mean Emilia's withdrawal from the royal selection.
context: If, with my assistance,\you can eliminate the threat posed by the Witch's Cult,\what would my profit be?\Tell me that.\If you help me out with this problem,\I'll owe a huge debt to your camp.\Should I accept the proposal,\it would mean Emilia's withdrawal from the royal selection. response:	You understand that?
context: you can eliminate the threat posed by the Witch's Cult,\what would my profit be?\Tell me that.\If you help me out with this problem,\I'll owe a huge debt to your camp.\Should I accept the proposal,\it would mean Emilia's withdrawal from the royal selection.\You understand that? response:	What did you expect?
context: what would my profit be?\Tell me that.\If you help me out with this problem,\I'll owe a huge debt to your camp.\Should I accept the proposal,\it would mean Emilia's withdrawal from the royal selection.\You understand that?\What did you expect? response:	To place your own domain's survival in the hands of another lord calls
context: Tell me that.\If you help me out with this problem,\I'll owe a huge debt to your camp.\Should I accept the proposal,\it would mean Emilia's withdrawal from the royal selection.\You understand that?\What did you expect?\To place your own domain's survival in the hands of another lord calls response:	into question your ability to rule the nation.
context: If you help me out with this problem,\I'll owe a huge debt to your camp.\Should I accept the proposal,\it would mean Emilia's withdrawal from the royal selection.\You understand that?\What did you expect?\To place your own domain's survival in the hands of another lord calls\into question your ability to rule the nation. response:	With that in mind, I ask you again...
context: I'll owe a huge debt to your camp.\Should I accept the proposal,\it would mean Emilia's withdrawal from the royal selection.\You understand that?\What did you expect?\To place your own domain's survival in the hands of another lord calls\into question your ability to rule the nation.\With that in mind, I ask you again... response:	If you incur a debt to me through this deal,
context: Should I accept the proposal,\it would mean Emilia's withdrawal from the royal selection.\You understand that?\What did you expect?\To place your own domain's survival in the hands of another lord calls\into question your ability to rule the nation.\With that in mind, I ask you again...\If you incur a debt to me through this deal, response:	it will mean the elimination of Emilia's camp from the race.
context: it would mean Emilia's withdrawal from the royal selection.\You understand that?\What did you expect?\To place your own domain's survival in the hands of another lord calls\into question your ability to rule the nation.\With that in mind, I ask you again...\If you incur a debt to me through this deal,\it will mean the elimination of Emilia's camp from the race. response:	Are you sure you want that?
context: You understand that?\What did you expect?\To place your own domain's survival in the hands of another lord calls\into question your ability to rule the nation.\With that in mind, I ask you again...\If you incur a debt to me through this deal,\it will mean the elimination of Emilia's camp from the race.\Are you sure you want that? response:	Even still...
context: What did you expect?\To place your own domain's survival in the hands of another lord calls\into question your ability to rule the nation.\With that in mind, I ask you again...\If you incur a debt to me through this deal,\it will mean the elimination of Emilia's camp from the race.\Are you sure you want that?\Even still... response:	I want your help.
context: To place your own domain's survival in the hands of another lord calls\into question your ability to rule the nation.\With that in mind, I ask you again...\If you incur a debt to me through this deal,\it will mean the elimination of Emilia's camp from the race.\Are you sure you want that?\Even still...\I want your help. response:	If she dies, everything ends, anyway.
context: into question your ability to rule the nation.\With that in mind, I ask you again...\If you incur a debt to me through this deal,\it will mean the elimination of Emilia's camp from the race.\Are you sure you want that?\Even still...\I want your help.\If she dies, everything ends, anyway. response:	Understood.
context: With that in mind, I ask you again...\If you incur a debt to me through this deal,\it will mean the elimination of Emilia's camp from the race.\Are you sure you want that?\Even still...\I want your help.\If she dies, everything ends, anyway.\Understood. response:	In that case, the Karsten family will render no assistance whatsoever.
context: If you incur a debt to me through this deal,\it will mean the elimination of Emilia's camp from the race.\Are you sure you want that?\Even still...\I want your help.\If she dies, everything ends, anyway.\Understood.\In that case, the Karsten family will render no assistance whatsoever. response:	Huh?
context: it will mean the elimination of Emilia's camp from the race.\Are you sure you want that?\Even still...\I want your help.\If she dies, everything ends, anyway.\Understood.\In that case, the Karsten family will render no assistance whatsoever.\Huh? response:	First of all, the condition of Emilia's withdrawal,
context: Are you sure you want that?\Even still...\I want your help.\If she dies, everything ends, anyway.\Understood.\In that case, the Karsten family will render no assistance whatsoever.\Huh?\First of all, the condition of Emilia's withdrawal, response:	which you offered in desperation as an advantage to me...
context: Even still...\I want your help.\If she dies, everything ends, anyway.\Understood.\In that case, the Karsten family will render no assistance whatsoever.\Huh?\First of all, the condition of Emilia's withdrawal,\which you offered in desperation as an advantage to me... response:	It carries no weight in this negotiation.
context: I want your help.\If she dies, everything ends, anyway.\Understood.\In that case, the Karsten family will render no assistance whatsoever.\Huh?\First of all, the condition of Emilia's withdrawal,\which you offered in desperation as an advantage to me...\It carries no weight in this negotiation. response:	But why?
context: If she dies, everything ends, anyway.\Understood.\In that case, the Karsten family will render no assistance whatsoever.\Huh?\First of all, the condition of Emilia's withdrawal,\which you offered in desperation as an advantage to me...\It carries no weight in this negotiation.\But why? response:	Isn't removing one of your rivals enough compensation?!
context: Understood.\In that case, the Karsten family will render no assistance whatsoever.\Huh?\First of all, the condition of Emilia's withdrawal,\which you offered in desperation as an advantage to me...\It carries no weight in this negotiation.\But why?\Isn't removing one of your rivals enough compensation?! response:	Are you really not aware?
context: In that case, the Karsten family will render no assistance whatsoever.\Huh?\First of all, the condition of Emilia's withdrawal,\which you offered in desperation as an advantage to me...\It carries no weight in this negotiation.\But why?\Isn't removing one of your rivals enough compensation?!\Are you really not aware? response:	Emilia's elimination from the royal selection
context: Huh?\First of all, the condition of Emilia's withdrawal,\which you offered in desperation as an advantage to me...\It carries no weight in this negotiation.\But why?\Isn't removing one of your rivals enough compensation?!\Are you really not aware?\Emilia's elimination from the royal selection response:	will happen with or without my involvement.
context: First of all, the condition of Emilia's withdrawal,\which you offered in desperation as an advantage to me...\It carries no weight in this negotiation.\But why?\Isn't removing one of your rivals enough compensation?!\Are you really not aware?\Emilia's elimination from the royal selection\will happen with or without my involvement. response:	Then you'll let the Witch's Cult slaughter
context: which you offered in desperation as an advantage to me...\It carries no weight in this negotiation.\But why?\Isn't removing one of your rivals enough compensation?!\Are you really not aware?\Emilia's elimination from the royal selection\will happen with or without my involvement.\Then you'll let the Witch's Cult slaughter response:	all of those villagers in Roswaal's domain?!
context: It carries no weight in this negotiation.\But why?\Isn't removing one of your rivals enough compensation?!\Are you really not aware?\Emilia's elimination from the royal selection\will happen with or without my involvement.\Then you'll let the Witch's Cult slaughter\all of those villagers in Roswaal's domain?! response:	Do not change the subject, Natsuki Subaru.
context: But why?\Isn't removing one of your rivals enough compensation?!\Are you really not aware?\Emilia's elimination from the royal selection\will happen with or without my involvement.\Then you'll let the Witch's Cult slaughter\all of those villagers in Roswaal's domain?!\Do not change the subject, Natsuki Subaru. response:	It is Emilia who lacks the power to protect that domain.
context: Isn't removing one of your rivals enough compensation?!\Are you really not aware?\Emilia's elimination from the royal selection\will happen with or without my involvement.\Then you'll let the Witch's Cult slaughter\all of those villagers in Roswaal's domain?!\Do not change the subject, Natsuki Subaru.\It is Emilia who lacks the power to protect that domain. response:	And Emilia whose people will die for her incompetence.
context: Are you really not aware?\Emilia's elimination from the royal selection\will happen with or without my involvement.\Then you'll let the Witch's Cult slaughter\all of those villagers in Roswaal's domain?!\Do not change the subject, Natsuki Subaru.\It is Emilia who lacks the power to protect that domain.\And Emilia whose people will die for her incompetence. response:	It is not I.
context: Emilia's elimination from the royal selection\will happen with or without my involvement.\Then you'll let the Witch's Cult slaughter\all of those villagers in Roswaal's domain?!\Do not change the subject, Natsuki Subaru.\It is Emilia who lacks the power to protect that domain.\And Emilia whose people will die for her incompetence.\It is not I. response:	B-But isn't knowing people will die and not stopping it wrong?
context: will happen with or without my involvement.\Then you'll let the Witch's Cult slaughter\all of those villagers in Roswaal's domain?!\Do not change the subject, Natsuki Subaru.\It is Emilia who lacks the power to protect that domain.\And Emilia whose people will die for her incompetence.\It is not I.\B-But isn't knowing people will die and not stopping it wrong? response:	If you have the power to save them, why wouldn't you?!
context: Then you'll let the Witch's Cult slaughter\all of those villagers in Roswaal's domain?!\Do not change the subject, Natsuki Subaru.\It is Emilia who lacks the power to protect that domain.\And Emilia whose people will die for her incompetence.\It is not I.\B-But isn't knowing people will die and not stopping it wrong?\If you have the power to save them, why wouldn't you?! response:	Hey, I've heard enough
context: all of those villagers in Roswaal's domain?!\Do not change the subject, Natsuki Subaru.\It is Emilia who lacks the power to protect that domain.\And Emilia whose people will die for her incompetence.\It is not I.\B-But isn't knowing people will die and not stopping it wrong?\If you have the power to save them, why wouldn't you?!\Hey, I've heard enough response:	It's fine.
context: Do not change the subject, Natsuki Subaru.\It is Emilia who lacks the power to protect that domain.\And Emilia whose people will die for her incompetence.\It is not I.\B-But isn't knowing people will die and not stopping it wrong?\If you have the power to save them, why wouldn't you?!\Hey, I've heard enough\It's fine. response:	Allow me to correct one idea you have.
context: It is Emilia who lacks the power to protect that domain.\And Emilia whose people will die for her incompetence.\It is not I.\B-But isn't knowing people will die and not stopping it wrong?\If you have the power to save them, why wouldn't you?!\Hey, I've heard enough\It's fine.\Allow me to correct one idea you have. response:	Say the Witch's Cult does make a move.
context: And Emilia whose people will die for her incompetence.\It is not I.\B-But isn't knowing people will die and not stopping it wrong?\If you have the power to save them, why wouldn't you?!\Hey, I've heard enough\It's fine.\Allow me to correct one idea you have.\Say the Witch's Cult does make a move. response:	That what you say comes to pass.
context: It is not I.\B-But isn't knowing people will die and not stopping it wrong?\If you have the power to save them, why wouldn't you?!\Hey, I've heard enough\It's fine.\Allow me to correct one idea you have.\Say the Witch's Cult does make a move.\That what you say comes to pass. response:	However, the problem comes afterward.
context: B-But isn't knowing people will die and not stopping it wrong?\If you have the power to save them, why wouldn't you?!\Hey, I've heard enough\It's fine.\Allow me to correct one idea you have.\Say the Witch's Cult does make a move.\That what you say comes to pass.\However, the problem comes afterward. response:	Afterward?
context: If you have the power to save them, why wouldn't you?!\Hey, I've heard enough\It's fine.\Allow me to correct one idea you have.\Say the Witch's Cult does make a move.\That what you say comes to pass.\However, the problem comes afterward.\Afterward? response:	It's simple.
context: Hey, I've heard enough\It's fine.\Allow me to correct one idea you have.\Say the Witch's Cult does make a move.\That what you say comes to pass.\However, the problem comes afterward.\Afterward?\It's simple. response:	How do you know when or where they will attack?
context: It's fine.\Allow me to correct one idea you have.\Say the Witch's Cult does make a move.\That what you say comes to pass.\However, the problem comes afterward.\Afterward?\It's simple.\How do you know when or where they will attack? response:	Th-That's...
context: Allow me to correct one idea you have.\Say the Witch's Cult does make a move.\That what you say comes to pass.\However, the problem comes afterward.\Afterward?\It's simple.\How do you know when or where they will attack?\Th-That's... response:	If you are a member of the Witch's Cult,
context: Say the Witch's Cult does make a move.\That what you say comes to pass.\However, the problem comes afterward.\Afterward?\It's simple.\How do you know when or where they will attack?\Th-That's...\If you are a member of the Witch's Cult, response:	it would make sense.
context: That what you say comes to pass.\However, the problem comes afterward.\Afterward?\It's simple.\How do you know when or where they will attack?\Th-That's...\If you are a member of the Witch's Cult,\it would make sense. response:	That's bull
context: However, the problem comes afterward.\Afterward?\It's simple.\How do you know when or where they will attack?\Th-That's...\If you are a member of the Witch's Cult,\it would make sense.\That's bull response:	Crusch-sama, please do not make jokes.
context: Afterward?\It's simple.\How do you know when or where they will attack?\Th-That's...\If you are a member of the Witch's Cult,\it would make sense.\That's bull\Crusch-sama, please do not make jokes. response:	Of course Subaru-kun isn't a Witch's Cult member.
context: It's simple.\How do you know when or where they will attack?\Th-That's...\If you are a member of the Witch's Cult,\it would make sense.\That's bull\Crusch-sama, please do not make jokes.\Of course Subaru-kun isn't a Witch's Cult member. response:	Really?
context: How do you know when or where they will attack?\Th-That's...\If you are a member of the Witch's Cult,\it would make sense.\That's bull\Crusch-sama, please do not make jokes.\Of course Subaru-kun isn't a Witch's Cult member.\Really? response:	Given what he says,
context: Th-That's...\If you are a member of the Witch's Cult,\it would make sense.\That's bull\Crusch-sama, please do not make jokes.\Of course Subaru-kun isn't a Witch's Cult member.\Really?\Given what he says, response:	if he cannot explain how he knows these details,
context: If you are a member of the Witch's Cult,\it would make sense.\That's bull\Crusch-sama, please do not make jokes.\Of course Subaru-kun isn't a Witch's Cult member.\Really?\Given what he says,\if he cannot explain how he knows these details, response:	I can draw no other conclusion.
context: it would make sense.\That's bull\Crusch-sama, please do not make jokes.\Of course Subaru-kun isn't a Witch's Cult member.\Really?\Given what he says,\if he cannot explain how he knows these details,\I can draw no other conclusion. response:	Have you never sensed any such inclination in him?
context: That's bull\Crusch-sama, please do not make jokes.\Of course Subaru-kun isn't a Witch's Cult member.\Really?\Given what he says,\if he cannot explain how he knows these details,\I can draw no other conclusion.\Have you never sensed any such inclination in him? response:	Never.
context: Crusch-sama, please do not make jokes.\Of course Subaru-kun isn't a Witch's Cult member.\Really?\Given what he says,\if he cannot explain how he knows these details,\I can draw no other conclusion.\Have you never sensed any such inclination in him?\Never. response:	Regardless, I cannot lend assistance to Emilia
context: Of course Subaru-kun isn't a Witch's Cult member.\Really?\Given what he says,\if he cannot explain how he knows these details,\I can draw no other conclusion.\Have you never sensed any such inclination in him?\Never.\Regardless, I cannot lend assistance to Emilia response:	The Witch's Cult is coming!
context: Really?\Given what he says,\if he cannot explain how he knows these details,\I can draw no other conclusion.\Have you never sensed any such inclination in him?\Never.\Regardless, I cannot lend assistance to Emilia\The Witch's Cult is coming! response:	They'll slaughter everyone in the village...
context: Given what he says,\if he cannot explain how he knows these details,\I can draw no other conclusion.\Have you never sensed any such inclination in him?\Never.\Regardless, I cannot lend assistance to Emilia\The Witch's Cult is coming!\They'll slaughter everyone in the village... response:	Kill them.
context: if he cannot explain how he knows these details,\I can draw no other conclusion.\Have you never sensed any such inclination in him?\Never.\Regardless, I cannot lend assistance to Emilia\The Witch's Cult is coming!\They'll slaughter everyone in the village...\Kill them. response:	We just have to kill them!
context: I can draw no other conclusion.\Have you never sensed any such inclination in him?\Never.\Regardless, I cannot lend assistance to Emilia\The Witch's Cult is coming!\They'll slaughter everyone in the village...\Kill them.\We just have to kill them! response:	All we have to do is kill every single bastard in that cult!
context: Have you never sensed any such inclination in him?\Never.\Regardless, I cannot lend assistance to Emilia\The Witch's Cult is coming!\They'll slaughter everyone in the village...\Kill them.\We just have to kill them!\All we have to do is kill every single bastard in that cult! response:	That will solve everything! Everything!
context: Never.\Regardless, I cannot lend assistance to Emilia\The Witch's Cult is coming!\They'll slaughter everyone in the village...\Kill them.\We just have to kill them!\All we have to do is kill every single bastard in that cult!\That will solve everything! Everything! response:	You get that, right?
context: Regardless, I cannot lend assistance to Emilia\The Witch's Cult is coming!\They'll slaughter everyone in the village...\Kill them.\We just have to kill them!\All we have to do is kill every single bastard in that cult!\That will solve everything! Everything!\You get that, right? response:	We can't let those bastards live!
context: The Witch's Cult is coming!\They'll slaughter everyone in the village...\Kill them.\We just have to kill them!\All we have to do is kill every single bastard in that cult!\That will solve everything! Everything!\You get that, right?\We can't let those bastards live! response:	I'm going to kill them!
context: They'll slaughter everyone in the village...\Kill them.\We just have to kill them!\All we have to do is kill every single bastard in that cult!\That will solve everything! Everything!\You get that, right?\We can't let those bastards live!\I'm going to kill them! response:	Please help me!
context: Kill them.\We just have to kill them!\All we have to do is kill every single bastard in that cult!\That will solve everything! Everything!\You get that, right?\We can't let those bastards live!\I'm going to kill them!\Please help me! response:	Is this why you behave as you do?
context: We just have to kill them!\All we have to do is kill every single bastard in that cult!\That will solve everything! Everything!\You get that, right?\We can't let those bastards live!\I'm going to kill them!\Please help me!\Is this why you behave as you do? response:	Your hatred for the Witch's Cult...
context: All we have to do is kill every single bastard in that cult!\That will solve everything! Everything!\You get that, right?\We can't let those bastards live!\I'm going to kill them!\Please help me!\Is this why you behave as you do?\Your hatred for the Witch's Cult... response:	Is that your real reason for approaching Emilia?
context: That will solve everything! Everything!\You get that, right?\We can't let those bastards live!\I'm going to kill them!\Please help me!\Is this why you behave as you do?\Your hatred for the Witch's Cult...\Is that your real reason for approaching Emilia? response:	No, I
context: You get that, right?\We can't let those bastards live!\I'm going to kill them!\Please help me!\Is this why you behave as you do?\Your hatred for the Witch's Cult...\Is that your real reason for approaching Emilia?\No, I response:	What else but murderous intent could one call that glint in your eye?
context: We can't let those bastards live!\I'm going to kill them!\Please help me!\Is this why you behave as you do?\Your hatred for the Witch's Cult...\Is that your real reason for approaching Emilia?\No, I\What else but murderous intent could one call that glint in your eye? response:	You're suggesting I'm using Emilia as a pretense for revenge against them?!
context: I'm going to kill them!\Please help me!\Is this why you behave as you do?\Your hatred for the Witch's Cult...\Is that your real reason for approaching Emilia?\No, I\What else but murderous intent could one call that glint in your eye?\You're suggesting I'm using Emilia as a pretense for revenge against them?! response:	My hatred has nothing to do with how evil they are!
context: Please help me!\Is this why you behave as you do?\Your hatred for the Witch's Cult...\Is that your real reason for approaching Emilia?\No, I\What else but murderous intent could one call that glint in your eye?\You're suggesting I'm using Emilia as a pretense for revenge against them?!\My hatred has nothing to do with how evil they are! response:	They can't be allowed to live...
context: Is this why you behave as you do?\Your hatred for the Witch's Cult...\Is that your real reason for approaching Emilia?\No, I\What else but murderous intent could one call that glint in your eye?\You're suggesting I'm using Emilia as a pretense for revenge against them?!\My hatred has nothing to do with how evil they are!\They can't be allowed to live... response:	That's why we have to kill every one of them!
context: Your hatred for the Witch's Cult...\Is that your real reason for approaching Emilia?\No, I\What else but murderous intent could one call that glint in your eye?\You're suggesting I'm using Emilia as a pretense for revenge against them?!\My hatred has nothing to do with how evil they are!\They can't be allowed to live...\That's why we have to kill every one of them! response:	That will save everyone!
context: Is that your real reason for approaching Emilia?\No, I\What else but murderous intent could one call that glint in your eye?\You're suggesting I'm using Emilia as a pretense for revenge against them?!\My hatred has nothing to do with how evil they are!\They can't be allowed to live...\That's why we have to kill every one of them!\That will save everyone! response:	I am certain I have told you, Natsuki Subaru.
context: No, I\What else but murderous intent could one call that glint in your eye?\You're suggesting I'm using Emilia as a pretense for revenge against them?!\My hatred has nothing to do with how evil they are!\They can't be allowed to live...\That's why we have to kill every one of them!\That will save everyone!\I am certain I have told you, Natsuki Subaru. response:	That if your own lie doesn't fool you, it will not deceive others.
context: What else but murderous intent could one call that glint in your eye?\You're suggesting I'm using Emilia as a pretense for revenge against them?!\My hatred has nothing to do with how evil they are!\They can't be allowed to live...\That's why we have to kill every one of them!\That will save everyone!\I am certain I have told you, Natsuki Subaru.\That if your own lie doesn't fool you, it will not deceive others. response:	Why...
context: You're suggesting I'm using Emilia as a pretense for revenge against them?!\My hatred has nothing to do with how evil they are!\They can't be allowed to live...\That's why we have to kill every one of them!\That will save everyone!\I am certain I have told you, Natsuki Subaru.\That if your own lie doesn't fool you, it will not deceive others.\Why... response:	You don't know why?
context: My hatred has nothing to do with how evil they are!\They can't be allowed to live...\That's why we have to kill every one of them!\That will save everyone!\I am certain I have told you, Natsuki Subaru.\That if your own lie doesn't fool you, it will not deceive others.\Why...\You don't know why? response:	You haven't once said
context: They can't be allowed to live...\That's why we have to kill every one of them!\That will save everyone!\I am certain I have told you, Natsuki Subaru.\That if your own lie doesn't fool you, it will not deceive others.\Why...\You don't know why?\You haven't once said response:	that you want to save Emilia.
