context: E-Excuse me. response:	Club Application
context: but the road to anti-aging is long. Right?\Shut up.\I appreciate their enthusiasm, though.\I put up a note.\To individuals wishing to join the Kansei University Long Distance Track and Field Team The Kansei University Long Distance Track and Field Team is not currently recruiting new members. Please accept our apologies. We appreciate your understanding.\We'll continue rejecting applicants.\Aotake is full right now,\and I don't want to be influenced by any passing fads. response:	I don't have time to look after new members,
context: Shut up.\I appreciate their enthusiasm, though.\I put up a note.\To individuals wishing to join the Kansei University Long Distance Track and Field Team The Kansei University Long Distance Track and Field Team is not currently recruiting new members. Please accept our apologies. We appreciate your understanding.\We'll continue rejecting applicants.\Aotake is full right now,\and I don't want to be influenced by any passing fads.\I don't have time to look after new members, response:	and I want to focus on the ten of us.
context: I appreciate their enthusiasm, though.\I put up a note.\To individuals wishing to join the Kansei University Long Distance Track and Field Team The Kansei University Long Distance Track and Field Team is not currently recruiting new members. Please accept our apologies. We appreciate your understanding.\We'll continue rejecting applicants.\Aotake is full right now,\and I don't want to be influenced by any passing fads.\I don't have time to look after new members,\and I want to focus on the ten of us. response:	If anyone approaches you at school, politely turn them down.
context: I put up a note.\To individuals wishing to join the Kansei University Long Distance Track and Field Team The Kansei University Long Distance Track and Field Team is not currently recruiting new members. Please accept our apologies. We appreciate your understanding.\We'll continue rejecting applicants.\Aotake is full right now,\and I don't want to be influenced by any passing fads.\I don't have time to look after new members,\and I want to focus on the ten of us.\If anyone approaches you at school, politely turn them down. response:	Okay.
context: To individuals wishing to join the Kansei University Long Distance Track and Field Team The Kansei University Long Distance Track and Field Team is not currently recruiting new members. Please accept our apologies. We appreciate your understanding.\We'll continue rejecting applicants.\Aotake is full right now,\and I don't want to be influenced by any passing fads.\I don't have time to look after new members,\and I want to focus on the ten of us.\If anyone approaches you at school, politely turn them down.\Okay. response:	We're drowning in interview requests, too.
context: We'll continue rejecting applicants.\Aotake is full right now,\and I don't want to be influenced by any passing fads.\I don't have time to look after new members,\and I want to focus on the ten of us.\If anyone approaches you at school, politely turn them down.\Okay.\We're drowning in interview requests, too. response:	Choose carefully from the offers and reject as many as you can.
context: Aotake is full right now,\and I don't want to be influenced by any passing fads.\I don't have time to look after new members,\and I want to focus on the ten of us.\If anyone approaches you at school, politely turn them down.\Okay.\We're drowning in interview requests, too.\Choose carefully from the offers and reject as many as you can. response:	What? But we could be famous.
context: and I don't want to be influenced by any passing fads.\I don't have time to look after new members,\and I want to focus on the ten of us.\If anyone approaches you at school, politely turn them down.\Okay.\We're drowning in interview requests, too.\Choose carefully from the offers and reject as many as you can.\What? But we could be famous. response:	Shouldn't you be looking for a job?
context: I don't have time to look after new members,\and I want to focus on the ten of us.\If anyone approaches you at school, politely turn them down.\Okay.\We're drowning in interview requests, too.\Choose carefully from the offers and reject as many as you can.\What? But we could be famous.\Shouldn't you be looking for a job? response:	I can only assume he's trying not to think about it.
context: and I want to focus on the ten of us.\If anyone approaches you at school, politely turn them down.\Okay.\We're drowning in interview requests, too.\Choose carefully from the offers and reject as many as you can.\What? But we could be famous.\Shouldn't you be looking for a job?\I can only assume he's trying not to think about it. response:	What about Nippon TV?
context: If anyone approaches you at school, politely turn them down.\Okay.\We're drowning in interview requests, too.\Choose carefully from the offers and reject as many as you can.\What? But we could be famous.\Shouldn't you be looking for a job?\I can only assume he's trying not to think about it.\What about Nippon TV? response:	We'll continue doing whatever we started before the qualifier.
context: Okay.\We're drowning in interview requests, too.\Choose carefully from the offers and reject as many as you can.\What? But we could be famous.\Shouldn't you be looking for a job?\I can only assume he's trying not to think about it.\What about Nippon TV?\We'll continue doing whatever we started before the qualifier. response:	Got it. Oh, right.
context: We're drowning in interview requests, too.\Choose carefully from the offers and reject as many as you can.\What? But we could be famous.\Shouldn't you be looking for a job?\I can only assume he's trying not to think about it.\What about Nippon TV?\We'll continue doing whatever we started before the qualifier.\Got it. Oh, right. response:	Can we discuss water station staff and volunteers later?
context: Choose carefully from the offers and reject as many as you can.\What? But we could be famous.\Shouldn't you be looking for a job?\I can only assume he's trying not to think about it.\What about Nippon TV?\We'll continue doing whatever we started before the qualifier.\Got it. Oh, right.\Can we discuss water station staff and volunteers later? response:	Of course.
context: What? But we could be famous.\Shouldn't you be looking for a job?\I can only assume he's trying not to think about it.\What about Nippon TV?\We'll continue doing whatever we started before the qualifier.\Got it. Oh, right.\Can we discuss water station staff and volunteers later?\Of course. response:	I'm also thinking about checking out the course next weekend.
context: Shouldn't you be looking for a job?\I can only assume he's trying not to think about it.\What about Nippon TV?\We'll continue doing whatever we started before the qualifier.\Got it. Oh, right.\Can we discuss water station staff and volunteers later?\Of course.\I'm also thinking about checking out the course next weekend. response:	We can't run it, but it's worth just looking at it.
context: I can only assume he's trying not to think about it.\What about Nippon TV?\We'll continue doing whatever we started before the qualifier.\Got it. Oh, right.\Can we discuss water station staff and volunteers later?\Of course.\I'm also thinking about checking out the course next weekend.\We can't run it, but it's worth just looking at it. response:	Keep your schedules open.
context: What about Nippon TV?\We'll continue doing whatever we started before the qualifier.\Got it. Oh, right.\Can we discuss water station staff and volunteers later?\Of course.\I'm also thinking about checking out the course next weekend.\We can't run it, but it's worth just looking at it.\Keep your schedules open. response:	Let's go to the hot springs on the way back.
context: We'll continue doing whatever we started before the qualifier.\Got it. Oh, right.\Can we discuss water station staff and volunteers later?\Of course.\I'm also thinking about checking out the course next weekend.\We can't run it, but it's worth just looking at it.\Keep your schedules open.\Let's go to the hot springs on the way back. response:	What?
context: Got it. Oh, right.\Can we discuss water station staff and volunteers later?\Of course.\I'm also thinking about checking out the course next weekend.\We can't run it, but it's worth just looking at it.\Keep your schedules open.\Let's go to the hot springs on the way back.\What? response:	Question.
context: Can we discuss water station staff and volunteers later?\Of course.\I'm also thinking about checking out the course next weekend.\We can't run it, but it's worth just looking at it.\Keep your schedules open.\Let's go to the hot springs on the way back.\What?\Question. response:	We can't. We have plans that day.
context: Of course.\I'm also thinking about checking out the course next weekend.\We can't run it, but it's worth just looking at it.\Keep your schedules open.\Let's go to the hot springs on the way back.\What?\Question.\We can't. We have plans that day. response:	We're playing soccer with some friends from language class.
context: I'm also thinking about checking out the course next weekend.\We can't run it, but it's worth just looking at it.\Keep your schedules open.\Let's go to the hot springs on the way back.\What?\Question.\We can't. We have plans that day.\We're playing soccer with some friends from language class. response:	Cancel your plans.
context: We can't run it, but it's worth just looking at it.\Keep your schedules open.\Let's go to the hot springs on the way back.\What?\Question.\We can't. We have plans that day.\We're playing soccer with some friends from language class.\Cancel your plans. response:	What? But they won't have enough players.
context: Keep your schedules open.\Let's go to the hot springs on the way back.\What?\Question.\We can't. We have plans that day.\We're playing soccer with some friends from language class.\Cancel your plans.\What? But they won't have enough players. response:	We'd be inconveniencing them.
context: Let's go to the hot springs on the way back.\What?\Question.\We can't. We have plans that day.\We're playing soccer with some friends from language class.\Cancel your plans.\What? But they won't have enough players.\We'd be inconveniencing them. response:	There's still time. Find some substitutes.
context: What?\Question.\We can't. We have plans that day.\We're playing soccer with some friends from language class.\Cancel your plans.\What? But they won't have enough players.\We'd be inconveniencing them.\There's still time. Find some substitutes. response:	Not even professionals can afford to run unprepared.
context: Question.\We can't. We have plans that day.\We're playing soccer with some friends from language class.\Cancel your plans.\What? But they won't have enough players.\We'd be inconveniencing them.\There's still time. Find some substitutes.\Not even professionals can afford to run unprepared. response:	Besides, soccer? What if you got injured?
context: We can't. We have plans that day.\We're playing soccer with some friends from language class.\Cancel your plans.\What? But they won't have enough players.\We'd be inconveniencing them.\There's still time. Find some substitutes.\Not even professionals can afford to run unprepared.\Besides, soccer? What if you got injured? response:	Hakone comes first. Don't forget that.
context: We're playing soccer with some friends from language class.\Cancel your plans.\What? But they won't have enough players.\We'd be inconveniencing them.\There's still time. Find some substitutes.\Not even professionals can afford to run unprepared.\Besides, soccer? What if you got injured?\Hakone comes first. Don't forget that. response:	Hey, listen.
context: Cancel your plans.\What? But they won't have enough players.\We'd be inconveniencing them.\There's still time. Find some substitutes.\Not even professionals can afford to run unprepared.\Besides, soccer? What if you got injured?\Hakone comes first. Don't forget that.\Hey, listen. response:	Is there any point in obsessing over it?
context: What? But they won't have enough players.\We'd be inconveniencing them.\There's still time. Find some substitutes.\Not even professionals can afford to run unprepared.\Besides, soccer? What if you got injured?\Hakone comes first. Don't forget that.\Hey, listen.\Is there any point in obsessing over it? response:	You've been tricking us, haven't you?
context: We'd be inconveniencing them.\There's still time. Find some substitutes.\Not even professionals can afford to run unprepared.\Besides, soccer? What if you got injured?\Hakone comes first. Don't forget that.\Hey, listen.\Is there any point in obsessing over it?\You've been tricking us, haven't you? response:	When you recruited us, you said we'd aim for the top!
context: There's still time. Find some substitutes.\Not even professionals can afford to run unprepared.\Besides, soccer? What if you got injured?\Hakone comes first. Don't forget that.\Hey, listen.\Is there any point in obsessing over it?\You've been tricking us, haven't you?\When you recruited us, you said we'd aim for the top! response:	That's impossible!
context: Not even professionals can afford to run unprepared.\Besides, soccer? What if you got injured?\Hakone comes first. Don't forget that.\Hey, listen.\Is there any point in obsessing over it?\You've been tricking us, haven't you?\When you recruited us, you said we'd aim for the top!\That's impossible! response:	Just look at our time! It's clear as day!
context: Besides, soccer? What if you got injured?\Hakone comes first. Don't forget that.\Hey, listen.\Is there any point in obsessing over it?\You've been tricking us, haven't you?\When you recruited us, you said we'd aim for the top!\That's impossible!\Just look at our time! It's clear as day! response:	Shinsei University 1021 Kanagawa International University 1003 Kansei University 1043 Oka University 1044 Yakuo University 1052
context: Hakone comes first. Don't forget that.\Hey, listen.\Is there any point in obsessing over it?\You've been tricking us, haven't you?\When you recruited us, you said we'd aim for the top!\That's impossible!\Just look at our time! It's clear as day!\Shinsei University 1021 Kanagawa International University 1003 Kansei University 1043 Oka University 1044 Yakuo University 1052 response:	No matter how hard we try, we're not strong enough to beat the seeded teams!
context: Hey, listen.\Is there any point in obsessing over it?\You've been tricking us, haven't you?\When you recruited us, you said we'd aim for the top!\That's impossible!\Just look at our time! It's clear as day!\Shinsei University 1021 Kanagawa International University 1003 Kansei University 1043 Oka University 1044 Yakuo University 1052\No matter how hard we try, we're not strong enough to beat the seeded teams! response:	It's impossible for us to win!
context: Is there any point in obsessing over it?\You've been tricking us, haven't you?\When you recruited us, you said we'd aim for the top!\That's impossible!\Just look at our time! It's clear as day!\Shinsei University 1021 Kanagawa International University 1003 Kansei University 1043 Oka University 1044 Yakuo University 1052\No matter how hard we try, we're not strong enough to beat the seeded teams!\It's impossible for us to win! response:	You knew that and wheedled us anyway, didn't you?
context: You've been tricking us, haven't you?\When you recruited us, you said we'd aim for the top!\That's impossible!\Just look at our time! It's clear as day!\Shinsei University 1021 Kanagawa International University 1003 Kansei University 1043 Oka University 1044 Yakuo University 1052\No matter how hard we try, we're not strong enough to beat the seeded teams!\It's impossible for us to win!\You knew that and wheedled us anyway, didn't you? response:	You're right that I said we'd aim for the top.
context: When you recruited us, you said we'd aim for the top!\That's impossible!\Just look at our time! It's clear as day!\Shinsei University 1021 Kanagawa International University 1003 Kansei University 1043 Oka University 1044 Yakuo University 1052\No matter how hard we try, we're not strong enough to beat the seeded teams!\It's impossible for us to win!\You knew that and wheedled us anyway, didn't you?\You're right that I said we'd aim for the top. response:	But
context: That's impossible!\Just look at our time! It's clear as day!\Shinsei University 1021 Kanagawa International University 1003 Kansei University 1043 Oka University 1044 Yakuo University 1052\No matter how hard we try, we're not strong enough to beat the seeded teams!\It's impossible for us to win!\You knew that and wheedled us anyway, didn't you?\You're right that I said we'd aim for the top.\But response:	See? See?
context: Just look at our time! It's clear as day!\Shinsei University 1021 Kanagawa International University 1003 Kansei University 1043 Oka University 1044 Yakuo University 1052\No matter how hard we try, we're not strong enough to beat the seeded teams!\It's impossible for us to win!\You knew that and wheedled us anyway, didn't you?\You're right that I said we'd aim for the top.\But\See? See? response:	Wait. Calm down.
context: Shinsei University 1021 Kanagawa International University 1003 Kansei University 1043 Oka University 1044 Yakuo University 1052\No matter how hard we try, we're not strong enough to beat the seeded teams!\It's impossible for us to win!\You knew that and wheedled us anyway, didn't you?\You're right that I said we'd aim for the top.\But\See? See?\Wait. Calm down. response:	Is it really impossible for us to win no matter how hard we try?
context: No matter how hard we try, we're not strong enough to beat the seeded teams!\It's impossible for us to win!\You knew that and wheedled us anyway, didn't you?\You're right that I said we'd aim for the top.\But\See? See?\Wait. Calm down.\Is it really impossible for us to win no matter how hard we try? response:	It's impossible.
context: It's impossible for us to win!\You knew that and wheedled us anyway, didn't you?\You're right that I said we'd aim for the top.\But\See? See?\Wait. Calm down.\Is it really impossible for us to win no matter how hard we try?\It's impossible. response:	The twins are right. Our time proves it.
context: You knew that and wheedled us anyway, didn't you?\You're right that I said we'd aim for the top.\But\See? See?\Wait. Calm down.\Is it really impossible for us to win no matter how hard we try?\It's impossible.\The twins are right. Our time proves it. response:	Especially in long distance, it's rare to see an upset.
context: You're right that I said we'd aim for the top.\But\See? See?\Wait. Calm down.\Is it really impossible for us to win no matter how hard we try?\It's impossible.\The twins are right. Our time proves it.\Especially in long distance, it's rare to see an upset. response:	Even Rikudo's second team is way better than us.
context: But\See? See?\Wait. Calm down.\Is it really impossible for us to win no matter how hard we try?\It's impossible.\The twins are right. Our time proves it.\Especially in long distance, it's rare to see an upset.\Even Rikudo's second team is way better than us. response:	You guys knew.
context: See? See?\Wait. Calm down.\Is it really impossible for us to win no matter how hard we try?\It's impossible.\The twins are right. Our time proves it.\Especially in long distance, it's rare to see an upset.\Even Rikudo's second team is way better than us.\You guys knew. response:	That's not fair!
context: Wait. Calm down.\Is it really impossible for us to win no matter how hard we try?\It's impossible.\The twins are right. Our time proves it.\Especially in long distance, it's rare to see an upset.\Even Rikudo's second team is way better than us.\You guys knew.\That's not fair! response:	But, depending on how you look at it, we're lucky.
context: Is it really impossible for us to win no matter how hard we try?\It's impossible.\The twins are right. Our time proves it.\Especially in long distance, it's rare to see an upset.\Even Rikudo's second team is way better than us.\You guys knew.\That's not fair!\But, depending on how you look at it, we're lucky. response:	No matter how fast you are, only a handful of runners get to run at Hakone.
context: It's impossible.\The twins are right. Our time proves it.\Especially in long distance, it's rare to see an upset.\Even Rikudo's second team is way better than us.\You guys knew.\That's not fair!\But, depending on how you look at it, we're lucky.\No matter how fast you are, only a handful of runners get to run at Hakone. response:	But we made it through the qualifier.
context: The twins are right. Our time proves it.\Especially in long distance, it's rare to see an upset.\Even Rikudo's second team is way better than us.\You guys knew.\That's not fair!\But, depending on how you look at it, we're lucky.\No matter how fast you are, only a handful of runners get to run at Hakone.\But we made it through the qualifier. response:	We get to run at Hakone, just like we wanted.
context: Especially in long distance, it's rare to see an upset.\Even Rikudo's second team is way better than us.\You guys knew.\That's not fair!\But, depending on how you look at it, we're lucky.\No matter how fast you are, only a handful of runners get to run at Hakone.\But we made it through the qualifier.\We get to run at Hakone, just like we wanted. response:	There are plenty of people who'd be jealous of that alone.
context: Even Rikudo's second team is way better than us.\You guys knew.\That's not fair!\But, depending on how you look at it, we're lucky.\No matter how fast you are, only a handful of runners get to run at Hakone.\But we made it through the qualifier.\We get to run at Hakone, just like we wanted.\There are plenty of people who'd be jealous of that alone. response:	You're not wrong, but...
context: You guys knew.\That's not fair!\But, depending on how you look at it, we're lucky.\No matter how fast you are, only a handful of runners get to run at Hakone.\But we made it through the qualifier.\We get to run at Hakone, just like we wanted.\There are plenty of people who'd be jealous of that alone.\You're not wrong, but... response:	There's no point if we can't win!
context: That's not fair!\But, depending on how you look at it, we're lucky.\No matter how fast you are, only a handful of runners get to run at Hakone.\But we made it through the qualifier.\We get to run at Hakone, just like we wanted.\There are plenty of people who'd be jealous of that alone.\You're not wrong, but...\There's no point if we can't win! response:	Yeah! There's no point in competing when you already know the outcome!
context: But, depending on how you look at it, we're lucky.\No matter how fast you are, only a handful of runners get to run at Hakone.\But we made it through the qualifier.\We get to run at Hakone, just like we wanted.\There are plenty of people who'd be jealous of that alone.\You're not wrong, but...\There's no point if we can't win!\Yeah! There's no point in competing when you already know the outcome! response:	Then you shouldn't be playing soccer.
context: No matter how fast you are, only a handful of runners get to run at Hakone.\But we made it through the qualifier.\We get to run at Hakone, just like we wanted.\There are plenty of people who'd be jealous of that alone.\You're not wrong, but...\There's no point if we can't win!\Yeah! There's no point in competing when you already know the outcome!\Then you shouldn't be playing soccer. response:	If you want to win, you should be training.
context: But we made it through the qualifier.\We get to run at Hakone, just like we wanted.\There are plenty of people who'd be jealous of that alone.\You're not wrong, but...\There's no point if we can't win!\Yeah! There's no point in competing when you already know the outcome!\Then you shouldn't be playing soccer.\If you want to win, you should be training. response:	You think you're so great.
context: We get to run at Hakone, just like we wanted.\There are plenty of people who'd be jealous of that alone.\You're not wrong, but...\There's no point if we can't win!\Yeah! There's no point in competing when you already know the outcome!\Then you shouldn't be playing soccer.\If you want to win, you should be training.\You think you're so great. response:	We're saying we can't find the motivation to do that!
context: There are plenty of people who'd be jealous of that alone.\You're not wrong, but...\There's no point if we can't win!\Yeah! There's no point in competing when you already know the outcome!\Then you shouldn't be playing soccer.\If you want to win, you should be training.\You think you're so great.\We're saying we can't find the motivation to do that! response:	Yeah! How can you say that after you couldn't respond the other day?
context: You're not wrong, but...\There's no point if we can't win!\Yeah! There's no point in competing when you already know the outcome!\Then you shouldn't be playing soccer.\If you want to win, you should be training.\You think you're so great.\We're saying we can't find the motivation to do that!\Yeah! How can you say that after you couldn't respond the other day? response:	Enough, guys.
context: There's no point if we can't win!\Yeah! There's no point in competing when you already know the outcome!\Then you shouldn't be playing soccer.\If you want to win, you should be training.\You think you're so great.\We're saying we can't find the motivation to do that!\Yeah! How can you say that after you couldn't respond the other day?\Enough, guys. response:	If you guys can't run because you can't win,
context: Yeah! There's no point in competing when you already know the outcome!\Then you shouldn't be playing soccer.\If you want to win, you should be training.\You think you're so great.\We're saying we can't find the motivation to do that!\Yeah! How can you say that after you couldn't respond the other day?\Enough, guys.\If you guys can't run because you can't win, response:	will you quit living because you'll die someday?
context: Then you shouldn't be playing soccer.\If you want to win, you should be training.\You think you're so great.\We're saying we can't find the motivation to do that!\Yeah! How can you say that after you couldn't respond the other day?\Enough, guys.\If you guys can't run because you can't win,\will you quit living because you'll die someday? response:	Is that how it is? It is, isn't it?
context: If you want to win, you should be training.\You think you're so great.\We're saying we can't find the motivation to do that!\Yeah! How can you say that after you couldn't respond the other day?\Enough, guys.\If you guys can't run because you can't win,\will you quit living because you'll die someday?\Is that how it is? It is, isn't it? response:	What are you trying to say?
context: You think you're so great.\We're saying we can't find the motivation to do that!\Yeah! How can you say that after you couldn't respond the other day?\Enough, guys.\If you guys can't run because you can't win,\will you quit living because you'll die someday?\Is that how it is? It is, isn't it?\What are you trying to say? response:	Here he goes again.
context: We're saying we can't find the motivation to do that!\Yeah! How can you say that after you couldn't respond the other day?\Enough, guys.\If you guys can't run because you can't win,\will you quit living because you'll die someday?\Is that how it is? It is, isn't it?\What are you trying to say?\Here he goes again. response:	Kakeru's making ridiculous arguments again.
context: Yeah! How can you say that after you couldn't respond the other day?\Enough, guys.\If you guys can't run because you can't win,\will you quit living because you'll die someday?\Is that how it is? It is, isn't it?\What are you trying to say?\Here he goes again.\Kakeru's making ridiculous arguments again. response:	I'll never die. Never.
context: Enough, guys.\If you guys can't run because you can't win,\will you quit living because you'll die someday?\Is that how it is? It is, isn't it?\What are you trying to say?\Here he goes again.\Kakeru's making ridiculous arguments again.\I'll never die. Never. response:	Quibble, quibble. Here comes the quibbler.
context: If you guys can't run because you can't win,\will you quit living because you'll die someday?\Is that how it is? It is, isn't it?\What are you trying to say?\Here he goes again.\Kakeru's making ridiculous arguments again.\I'll never die. Never.\Quibble, quibble. Here comes the quibbler. response:	To be or not to be? That's the question.
context: will you quit living because you'll die someday?\Is that how it is? It is, isn't it?\What are you trying to say?\Here he goes again.\Kakeru's making ridiculous arguments again.\I'll never die. Never.\Quibble, quibble. Here comes the quibbler.\To be or not to be? That's the question. response:	But I'll never die.
context: Is that how it is? It is, isn't it?\What are you trying to say?\Here he goes again.\Kakeru's making ridiculous arguments again.\I'll never die. Never.\Quibble, quibble. Here comes the quibbler.\To be or not to be? That's the question.\But I'll never die. response:	Listen to me! What are you doing?
context: What are you trying to say?\Here he goes again.\Kakeru's making ridiculous arguments again.\I'll never die. Never.\Quibble, quibble. Here comes the quibbler.\To be or not to be? That's the question.\But I'll never die.\Listen to me! What are you doing? response:	Kakeru the quibbler will never die.
context: Here he goes again.\Kakeru's making ridiculous arguments again.\I'll never die. Never.\Quibble, quibble. Here comes the quibbler.\To be or not to be? That's the question.\But I'll never die.\Listen to me! What are you doing?\Kakeru the quibbler will never die. response:	What are we doing right now?
context: Kakeru's making ridiculous arguments again.\I'll never die. Never.\Quibble, quibble. Here comes the quibbler.\To be or not to be? That's the question.\But I'll never die.\Listen to me! What are you doing?\Kakeru the quibbler will never die.\What are we doing right now? response:	I thought you had a question for me.
context: I'll never die. Never.\Quibble, quibble. Here comes the quibbler.\To be or not to be? That's the question.\But I'll never die.\Listen to me! What are you doing?\Kakeru the quibbler will never die.\What are we doing right now?\I thought you had a question for me. response:	You're right that I mentioned the top, but I didn't mean we'd win.
context: Quibble, quibble. Here comes the quibbler.\To be or not to be? That's the question.\But I'll never die.\Listen to me! What are you doing?\Kakeru the quibbler will never die.\What are we doing right now?\I thought you had a question for me.\You're right that I mentioned the top, but I didn't mean we'd win. response:	What did you mean, then?
context: To be or not to be? That's the question.\But I'll never die.\Listen to me! What are you doing?\Kakeru the quibbler will never die.\What are we doing right now?\I thought you had a question for me.\You're right that I mentioned the top, but I didn't mean we'd win.\What did you mean, then? response:	I'm searching for that answer, too.
context: But I'll never die.\Listen to me! What are you doing?\Kakeru the quibbler will never die.\What are we doing right now?\I thought you had a question for me.\You're right that I mentioned the top, but I didn't mean we'd win.\What did you mean, then?\I'm searching for that answer, too. response:	I'm searching for the destination.
context: Listen to me! What are you doing?\Kakeru the quibbler will never die.\What are we doing right now?\I thought you had a question for me.\You're right that I mentioned the top, but I didn't mean we'd win.\What did you mean, then?\I'm searching for that answer, too.\I'm searching for the destination. response:	What it means to run.
context: Kakeru the quibbler will never die.\What are we doing right now?\I thought you had a question for me.\You're right that I mentioned the top, but I didn't mean we'd win.\What did you mean, then?\I'm searching for that answer, too.\I'm searching for the destination.\What it means to run. response:	This is stupid.
context: What are we doing right now?\I thought you had a question for me.\You're right that I mentioned the top, but I didn't mean we'd win.\What did you mean, then?\I'm searching for that answer, too.\I'm searching for the destination.\What it means to run.\This is stupid. response:	Hey, wait.
context: I thought you had a question for me.\You're right that I mentioned the top, but I didn't mean we'd win.\What did you mean, then?\I'm searching for that answer, too.\I'm searching for the destination.\What it means to run.\This is stupid.\Hey, wait. response:	Kakeru, it's your turn to do the dishes.
context: You're right that I mentioned the top, but I didn't mean we'd win.\What did you mean, then?\I'm searching for that answer, too.\I'm searching for the destination.\What it means to run.\This is stupid.\Hey, wait.\Kakeru, it's your turn to do the dishes. response:	Why?
context: What did you mean, then?\I'm searching for that answer, too.\I'm searching for the destination.\What it means to run.\This is stupid.\Hey, wait.\Kakeru, it's your turn to do the dishes.\Why? response:	Just because. Learn to keep your cool.
context: I'm searching for that answer, too.\I'm searching for the destination.\What it means to run.\This is stupid.\Hey, wait.\Kakeru, it's your turn to do the dishes.\Why?\Just because. Learn to keep your cool. response:	Searching for the Answer
context: I'm searching for the destination.\What it means to run.\This is stupid.\Hey, wait.\Kakeru, it's your turn to do the dishes.\Why?\Just because. Learn to keep your cool.\Searching for the Answer response:	Haiji.
context: What it means to run.\This is stupid.\Hey, wait.\Kakeru, it's your turn to do the dishes.\Why?\Just because. Learn to keep your cool.\Searching for the Answer\Haiji. response:	Chikusei-so
context: This is stupid.\Hey, wait.\Kakeru, it's your turn to do the dishes.\Why?\Just because. Learn to keep your cool.\Searching for the Answer\Haiji.\Chikusei-so response:	The twins aren't here.
context: Hey, wait.\Kakeru, it's your turn to do the dishes.\Why?\Just because. Learn to keep your cool.\Searching for the Answer\Haiji.\Chikusei-so\The twins aren't here. response:	They actually blew us off.
context: Kakeru, it's your turn to do the dishes.\Why?\Just because. Learn to keep your cool.\Searching for the Answer\Haiji.\Chikusei-so\The twins aren't here.\They actually blew us off. response:	I'm sorry.
context: Why?\Just because. Learn to keep your cool.\Searching for the Answer\Haiji.\Chikusei-so\The twins aren't here.\They actually blew us off.\I'm sorry. response:	It's because I couldn't answer them.
