context: What are you doing? response:	Gulp.
context: Ah, you're here.\Come up to the front and introduce yourself.\I really am sorry!\Um... My train was delayed due to a car inspection, and...\The train I tried to take was very crowded!\Ah, yes, of course. I understand.\Would you mind introducing yourself?\Yes, sir! response:	I can understand her being late,
context: Come up to the front and introduce yourself.\I really am sorry!\Um... My train was delayed due to a car inspection, and...\The train I tried to take was very crowded!\Ah, yes, of course. I understand.\Would you mind introducing yourself?\Yes, sir!\I can understand her being late, response:	but is a crowded train an excuse?
context: I really am sorry!\Um... My train was delayed due to a car inspection, and...\The train I tried to take was very crowded!\Ah, yes, of course. I understand.\Would you mind introducing yourself?\Yes, sir!\I can understand her being late,\but is a crowded train an excuse? response:	Well, I suppose she can't help it.
context: Um... My train was delayed due to a car inspection, and...\The train I tried to take was very crowded!\Ah, yes, of course. I understand.\Would you mind introducing yourself?\Yes, sir!\I can understand her being late,\but is a crowded train an excuse?\Well, I suppose she can't help it. response:	Oh, what I mean is that she's...
context: The train I tried to take was very crowded!\Ah, yes, of course. I understand.\Would you mind introducing yourself?\Yes, sir!\I can understand her being late,\but is a crowded train an excuse?\Well, I suppose she can't help it.\Oh, what I mean is that she's... response:	My name is Satou Sakie.
context: Ah, yes, of course. I understand.\Would you mind introducing yourself?\Yes, sir!\I can understand her being late,\but is a crowded train an excuse?\Well, I suppose she can't help it.\Oh, what I mean is that she's...\My name is Satou Sakie. response:	I'll be teaching math.
context: Would you mind introducing yourself?\Yes, sir!\I can understand her being late,\but is a crowded train an excuse?\Well, I suppose she can't help it.\Oh, what I mean is that she's...\My name is Satou Sakie.\I'll be teaching math. response:	Also, I'm a demi-human.
context: Yes, sir!\I can understand her being late,\but is a crowded train an excuse?\Well, I suppose she can't help it.\Oh, what I mean is that she's...\My name is Satou Sakie.\I'll be teaching math.\Also, I'm a demi-human. response:	I'm a succubus.
context: I can understand her being late,\but is a crowded train an excuse?\Well, I suppose she can't help it.\Oh, what I mean is that she's...\My name is Satou Sakie.\I'll be teaching math.\Also, I'm a demi-human.\I'm a succubus. response:	The new teacher's a demi-human?
context: but is a crowded train an excuse?\Well, I suppose she can't help it.\Oh, what I mean is that she's...\My name is Satou Sakie.\I'll be teaching math.\Also, I'm a demi-human.\I'm a succubus.\The new teacher's a demi-human? response:	Have you ever met one?
context: Well, I suppose she can't help it.\Oh, what I mean is that she's...\My name is Satou Sakie.\I'll be teaching math.\Also, I'm a demi-human.\I'm a succubus.\The new teacher's a demi-human?\Have you ever met one? response:	I found one.
context: Oh, what I mean is that she's...\My name is Satou Sakie.\I'll be teaching math.\Also, I'm a demi-human.\I'm a succubus.\The new teacher's a demi-human?\Have you ever met one?\I found one. response:	In this world,
context: My name is Satou Sakie.\I'll be teaching math.\Also, I'm a demi-human.\I'm a succubus.\The new teacher's a demi-human?\Have you ever met one?\I found one.\In this world, response:	there are people called demi-humans who possess special qualities.
context: I'll be teaching math.\Also, I'm a demi-human.\I'm a succubus.\The new teacher's a demi-human?\Have you ever met one?\I found one.\In this world,\there are people called demi-humans who possess special qualities. response:	Succubi, vampires, dullahans...
context: Also, I'm a demi-human.\I'm a succubus.\The new teacher's a demi-human?\Have you ever met one?\I found one.\In this world,\there are people called demi-humans who possess special qualities.\Succubi, vampires, dullahans... response:	The demi-humans who have been used as motifs in myths and fairy tales.
context: I'm a succubus.\The new teacher's a demi-human?\Have you ever met one?\I found one.\In this world,\there are people called demi-humans who possess special qualities.\Succubi, vampires, dullahans...\The demi-humans who have been used as motifs in myths and fairy tales. response:	They have also endured persecution in the past.
context: The new teacher's a demi-human?\Have you ever met one?\I found one.\In this world,\there are people called demi-humans who possess special qualities.\Succubi, vampires, dullahans...\The demi-humans who have been used as motifs in myths and fairy tales.\They have also endured persecution in the past. response:	Demi-human Welfare Division
context: Have you ever met one?\I found one.\In this world,\there are people called demi-humans who possess special qualities.\Succubi, vampires, dullahans...\The demi-humans who have been used as motifs in myths and fairy tales.\They have also endured persecution in the past.\Demi-human Welfare Division response:	But discrimination has been less common in recent years,
context: I found one.\In this world,\there are people called demi-humans who possess special qualities.\Succubi, vampires, dullahans...\The demi-humans who have been used as motifs in myths and fairy tales.\They have also endured persecution in the past.\Demi-human Welfare Division\But discrimination has been less common in recent years, response:	and there's even a welfare system for demi-humans
context: In this world,\there are people called demi-humans who possess special qualities.\Succubi, vampires, dullahans...\The demi-humans who have been used as motifs in myths and fairy tales.\They have also endured persecution in the past.\Demi-human Welfare Division\But discrimination has been less common in recent years,\and there's even a welfare system for demi-humans response:	who live with any sort of disadvantage.
context: there are people called demi-humans who possess special qualities.\Succubi, vampires, dullahans...\The demi-humans who have been used as motifs in myths and fairy tales.\They have also endured persecution in the past.\Demi-human Welfare Division\But discrimination has been less common in recent years,\and there's even a welfare system for demi-humans\who live with any sort of disadvantage. response:	Demi-human Division
context: Succubi, vampires, dullahans...\The demi-humans who have been used as motifs in myths and fairy tales.\They have also endured persecution in the past.\Demi-human Welfare Division\But discrimination has been less common in recent years,\and there's even a welfare system for demi-humans\who live with any sort of disadvantage.\Demi-human Division response:	Now, being a demi-human is seen as just another aspect of one's identity.
context: The demi-humans who have been used as motifs in myths and fairy tales.\They have also endured persecution in the past.\Demi-human Welfare Division\But discrimination has been less common in recent years,\and there's even a welfare system for demi-humans\who live with any sort of disadvantage.\Demi-human Division\Now, being a demi-human is seen as just another aspect of one's identity. response:	You can do it.
context: They have also endured persecution in the past.\Demi-human Welfare Division\But discrimination has been less common in recent years,\and there's even a welfare system for demi-humans\who live with any sort of disadvantage.\Demi-human Division\Now, being a demi-human is seen as just another aspect of one's identity.\You can do it. response:	One, two...
context: Demi-human Welfare Division\But discrimination has been less common in recent years,\and there's even a welfare system for demi-humans\who live with any sort of disadvantage.\Demi-human Division\Now, being a demi-human is seen as just another aspect of one's identity.\You can do it.\One, two... response:	Lower it a bit more.
context: But discrimination has been less common in recent years,\and there's even a welfare system for demi-humans\who live with any sort of disadvantage.\Demi-human Division\Now, being a demi-human is seen as just another aspect of one's identity.\You can do it.\One, two...\Lower it a bit more. response:	Did you go anywhere for spring break?
context: and there's even a welfare system for demi-humans\who live with any sort of disadvantage.\Demi-human Division\Now, being a demi-human is seen as just another aspect of one's identity.\You can do it.\One, two...\Lower it a bit more.\Did you go anywhere for spring break? response:	Coming through.
context: who live with any sort of disadvantage.\Demi-human Division\Now, being a demi-human is seen as just another aspect of one's identity.\You can do it.\One, two...\Lower it a bit more.\Did you go anywhere for spring break?\Coming through. response:	Hey, you two!
context: Demi-human Division\Now, being a demi-human is seen as just another aspect of one's identity.\You can do it.\One, two...\Lower it a bit more.\Did you go anywhere for spring break?\Coming through.\Hey, you two! response:	Stop chatting and start carrying!
context: Now, being a demi-human is seen as just another aspect of one's identity.\You can do it.\One, two...\Lower it a bit more.\Did you go anywhere for spring break?\Coming through.\Hey, you two!\Stop chatting and start carrying! response:	Okay.
context: You can do it.\One, two...\Lower it a bit more.\Did you go anywhere for spring break?\Coming through.\Hey, you two!\Stop chatting and start carrying!\Okay. response:	So, anyway...
context: One, two...\Lower it a bit more.\Did you go anywhere for spring break?\Coming through.\Hey, you two!\Stop chatting and start carrying!\Okay.\So, anyway... response:	You're gonna keep talking?
context: Lower it a bit more.\Did you go anywhere for spring break?\Coming through.\Hey, you two!\Stop chatting and start carrying!\Okay.\So, anyway...\You're gonna keep talking? response:	Shizaki High School Opening Ceremony: Order of Service Opening Address, National Anthem, Approval of New Students, Principal's Address, New Students' Pledge, Current Students' Congratulatory Address, Reading of Congratulatory Messages, School Song, Closing Address
context: Did you go anywhere for spring break?\Coming through.\Hey, you two!\Stop chatting and start carrying!\Okay.\So, anyway...\You're gonna keep talking?\Shizaki High School Opening Ceremony: Order of Service Opening Address, National Anthem, Approval of New Students, Principal's Address, New Students' Pledge, Current Students' Congratulatory Address, Reading of Congratulatory Messages, School Song, Closing Address response:	It isn't crooked... Right?
context: Coming through.\Hey, you two!\Stop chatting and start carrying!\Okay.\So, anyway...\You're gonna keep talking?\Shizaki High School Opening Ceremony: Order of Service Opening Address, National Anthem, Approval of New Students, Principal's Address, New Students' Pledge, Current Students' Congratulatory Address, Reading of Congratulatory Messages, School Song, Closing Address\It isn't crooked... Right? response:	Satou-sensei.
context: Hey, you two!\Stop chatting and start carrying!\Okay.\So, anyway...\You're gonna keep talking?\Shizaki High School Opening Ceremony: Order of Service Opening Address, National Anthem, Approval of New Students, Principal's Address, New Students' Pledge, Current Students' Congratulatory Address, Reading of Congratulatory Messages, School Song, Closing Address\It isn't crooked... Right?\Satou-sensei. response:	Yes?!
context: Stop chatting and start carrying!\Okay.\So, anyway...\You're gonna keep talking?\Shizaki High School Opening Ceremony: Order of Service Opening Address, National Anthem, Approval of New Students, Principal's Address, New Students' Pledge, Current Students' Congratulatory Address, Reading of Congratulatory Messages, School Song, Closing Address\It isn't crooked... Right?\Satou-sensei.\Yes?! response:	C-Can I help you?
context: Okay.\So, anyway...\You're gonna keep talking?\Shizaki High School Opening Ceremony: Order of Service Opening Address, National Anthem, Approval of New Students, Principal's Address, New Students' Pledge, Current Students' Congratulatory Address, Reading of Congratulatory Messages, School Song, Closing Address\It isn't crooked... Right?\Satou-sensei.\Yes?!\C-Can I help you? response:	I'm Takahashi, the biology teacher.
context: So, anyway...\You're gonna keep talking?\Shizaki High School Opening Ceremony: Order of Service Opening Address, National Anthem, Approval of New Students, Principal's Address, New Students' Pledge, Current Students' Congratulatory Address, Reading of Congratulatory Messages, School Song, Closing Address\It isn't crooked... Right?\Satou-sensei.\Yes?!\C-Can I help you?\I'm Takahashi, the biology teacher. response:	Takahashi-sensei...
context: You're gonna keep talking?\Shizaki High School Opening Ceremony: Order of Service Opening Address, National Anthem, Approval of New Students, Principal's Address, New Students' Pledge, Current Students' Congratulatory Address, Reading of Congratulatory Messages, School Song, Closing Address\It isn't crooked... Right?\Satou-sensei.\Yes?!\C-Can I help you?\I'm Takahashi, the biology teacher.\Takahashi-sensei... response:	Yes.
context: Shizaki High School Opening Ceremony: Order of Service Opening Address, National Anthem, Approval of New Students, Principal's Address, New Students' Pledge, Current Students' Congratulatory Address, Reading of Congratulatory Messages, School Song, Closing Address\It isn't crooked... Right?\Satou-sensei.\Yes?!\C-Can I help you?\I'm Takahashi, the biology teacher.\Takahashi-sensei...\Yes. response:	It's nice to meet you.
context: It isn't crooked... Right?\Satou-sensei.\Yes?!\C-Can I help you?\I'm Takahashi, the biology teacher.\Takahashi-sensei...\Yes.\It's nice to meet you. response:	Uh... Same here.
context: Satou-sensei.\Yes?!\C-Can I help you?\I'm Takahashi, the biology teacher.\Takahashi-sensei...\Yes.\It's nice to meet you.\Uh... Same here. response:	Nice to meet y Ow!
context: Yes?!\C-Can I help you?\I'm Takahashi, the biology teacher.\Takahashi-sensei...\Yes.\It's nice to meet you.\Uh... Same here.\Nice to meet y Ow! response:	No, I mean... Wait!
context: C-Can I help you?\I'm Takahashi, the biology teacher.\Takahashi-sensei...\Yes.\It's nice to meet you.\Uh... Same here.\Nice to meet y Ow!\No, I mean... Wait! response:	Um...
context: I'm Takahashi, the biology teacher.\Takahashi-sensei...\Yes.\It's nice to meet you.\Uh... Same here.\Nice to meet y Ow!\No, I mean... Wait!\Um... response:	Are you all right?
context: Takahashi-sensei...\Yes.\It's nice to meet you.\Uh... Same here.\Nice to meet y Ow!\No, I mean... Wait!\Um...\Are you all right? response:	Yes.
context: Yes.\It's nice to meet you.\Uh... Same here.\Nice to meet y Ow!\No, I mean... Wait!\Um...\Are you all right?\Yes. response:	Um, as I said this morning, I'm a succubus.
context: It's nice to meet you.\Uh... Same here.\Nice to meet y Ow!\No, I mean... Wait!\Um...\Are you all right?\Yes.\Um, as I said this morning, I'm a succubus. response:	Yes, that's why
context: Uh... Same here.\Nice to meet y Ow!\No, I mean... Wait!\Um...\Are you all right?\Yes.\Um, as I said this morning, I'm a succubus.\Yes, that's why response:	That's why I dress and act to avoid evoking sexual thoughts,
context: Nice to meet y Ow!\No, I mean... Wait!\Um...\Are you all right?\Yes.\Um, as I said this morning, I'm a succubus.\Yes, that's why\That's why I dress and act to avoid evoking sexual thoughts, response:	and refrain from contact with others as much as possible!
context: No, I mean... Wait!\Um...\Are you all right?\Yes.\Um, as I said this morning, I'm a succubus.\Yes, that's why\That's why I dress and act to avoid evoking sexual thoughts,\and refrain from contact with others as much as possible! response:	I'm sorry. I wasn't thinking.
context: Um...\Are you all right?\Yes.\Um, as I said this morning, I'm a succubus.\Yes, that's why\That's why I dress and act to avoid evoking sexual thoughts,\and refrain from contact with others as much as possible!\I'm sorry. I wasn't thinking. response:	Is it that unusual?
context: Are you all right?\Yes.\Um, as I said this morning, I'm a succubus.\Yes, that's why\That's why I dress and act to avoid evoking sexual thoughts,\and refrain from contact with others as much as possible!\I'm sorry. I wasn't thinking.\Is it that unusual? response:	Huh?
context: Yes.\Um, as I said this morning, I'm a succubus.\Yes, that's why\That's why I dress and act to avoid evoking sexual thoughts,\and refrain from contact with others as much as possible!\I'm sorry. I wasn't thinking.\Is it that unusual?\Huh? response:	I noticed the way you've, um...
context: Um, as I said this morning, I'm a succubus.\Yes, that's why\That's why I dress and act to avoid evoking sexual thoughts,\and refrain from contact with others as much as possible!\I'm sorry. I wasn't thinking.\Is it that unusual?\Huh?\I noticed the way you've, um... response:	been watching me from afar all this time.
context: Yes, that's why\That's why I dress and act to avoid evoking sexual thoughts,\and refrain from contact with others as much as possible!\I'm sorry. I wasn't thinking.\Is it that unusual?\Huh?\I noticed the way you've, um...\been watching me from afar all this time. response:	Oh... No, that was just...
context: That's why I dress and act to avoid evoking sexual thoughts,\and refrain from contact with others as much as possible!\I'm sorry. I wasn't thinking.\Is it that unusual?\Huh?\I noticed the way you've, um...\been watching me from afar all this time.\Oh... No, that was just... response:	It's troublesome if you approach me purely out of curiosity.
context: and refrain from contact with others as much as possible!\I'm sorry. I wasn't thinking.\Is it that unusual?\Huh?\I noticed the way you've, um...\been watching me from afar all this time.\Oh... No, that was just...\It's troublesome if you approach me purely out of curiosity. response:	If you'll excuse me.
context: I'm sorry. I wasn't thinking.\Is it that unusual?\Huh?\I noticed the way you've, um...\been watching me from afar all this time.\Oh... No, that was just...\It's troublesome if you approach me purely out of curiosity.\If you'll excuse me. response:	Wait, Satou-sensei, you've got it all wrong.
context: Is it that unusual?\Huh?\I noticed the way you've, um...\been watching me from afar all this time.\Oh... No, that was just...\It's troublesome if you approach me purely out of curiosity.\If you'll excuse me.\Wait, Satou-sensei, you've got it all wrong. response:	Okay, maybe not...
context: Huh?\I noticed the way you've, um...\been watching me from afar all this time.\Oh... No, that was just...\It's troublesome if you approach me purely out of curiosity.\If you'll excuse me.\Wait, Satou-sensei, you've got it all wrong.\Okay, maybe not... response:	I really blew it.
context: I noticed the way you've, um...\been watching me from afar all this time.\Oh... No, that was just...\It's troublesome if you approach me purely out of curiosity.\If you'll excuse me.\Wait, Satou-sensei, you've got it all wrong.\Okay, maybe not...\I really blew it. response:	A Few Days Later
context: been watching me from afar all this time.\Oh... No, that was just...\It's troublesome if you approach me purely out of curiosity.\If you'll excuse me.\Wait, Satou-sensei, you've got it all wrong.\Okay, maybe not...\I really blew it.\A Few Days Later response:	Satou-sensei, about the other day...
context: Oh... No, that was just...\It's troublesome if you approach me purely out of curiosity.\If you'll excuse me.\Wait, Satou-sensei, you've got it all wrong.\Okay, maybe not...\I really blew it.\A Few Days Later\Satou-sensei, about the other day... response:	No, I should apologize for my indiscretion.
context: It's troublesome if you approach me purely out of curiosity.\If you'll excuse me.\Wait, Satou-sensei, you've got it all wrong.\Okay, maybe not...\I really blew it.\A Few Days Later\Satou-sensei, about the other day...\No, I should apologize for my indiscretion. response:	I'm sorry...
context: If you'll excuse me.\Wait, Satou-sensei, you've got it all wrong.\Okay, maybe not...\I really blew it.\A Few Days Later\Satou-sensei, about the other day...\No, I should apologize for my indiscretion.\I'm sorry... response:	I'm fine, so please don't worry about me.
context: Wait, Satou-sensei, you've got it all wrong.\Okay, maybe not...\I really blew it.\A Few Days Later\Satou-sensei, about the other day...\No, I should apologize for my indiscretion.\I'm sorry...\I'm fine, so please don't worry about me. response:	Sorry, sorry, sorry...
context: Okay, maybe not...\I really blew it.\A Few Days Later\Satou-sensei, about the other day...\No, I should apologize for my indiscretion.\I'm sorry...\I'm fine, so please don't worry about me.\Sorry, sorry, sorry... response:	She'll never talk to me now.
context: I really blew it.\A Few Days Later\Satou-sensei, about the other day...\No, I should apologize for my indiscretion.\I'm sorry...\I'm fine, so please don't worry about me.\Sorry, sorry, sorry...\She'll never talk to me now. response:	There he is! Sensei!
context: A Few Days Later\Satou-sensei, about the other day...\No, I should apologize for my indiscretion.\I'm sorry...\I'm fine, so please don't worry about me.\Sorry, sorry, sorry...\She'll never talk to me now.\There he is! Sensei! response:	Sensei! Sensei!
context: Satou-sensei, about the other day...\No, I should apologize for my indiscretion.\I'm sorry...\I'm fine, so please don't worry about me.\Sorry, sorry, sorry...\She'll never talk to me now.\There he is! Sensei!\Sensei! Sensei! response:	You're huge!
context: No, I should apologize for my indiscretion.\I'm sorry...\I'm fine, so please don't worry about me.\Sorry, sorry, sorry...\She'll never talk to me now.\There he is! Sensei!\Sensei! Sensei!\You're huge! response:	What are you doing at this hour?
context: I'm sorry...\I'm fine, so please don't worry about me.\Sorry, sorry, sorry...\She'll never talk to me now.\There he is! Sensei!\Sensei! Sensei!\You're huge!\What are you doing at this hour? response:	Did you forget something?
context: I'm fine, so please don't worry about me.\Sorry, sorry, sorry...\She'll never talk to me now.\There he is! Sensei!\Sensei! Sensei!\You're huge!\What are you doing at this hour?\Did you forget something? response:	Ah!
context: Sorry, sorry, sorry...\She'll never talk to me now.\There he is! Sensei!\Sensei! Sensei!\You're huge!\What are you doing at this hour?\Did you forget something?\Ah! response:	N-Not exactly...
context: She'll never talk to me now.\There he is! Sensei!\Sensei! Sensei!\You're huge!\What are you doing at this hour?\Did you forget something?\Ah!\N-Not exactly... response:	Bye!
context: There he is! Sensei!\Sensei! Sensei!\You're huge!\What are you doing at this hour?\Did you forget something?\Ah!\N-Not exactly...\Bye! response:	Hey!
context: Sensei! Sensei!\You're huge!\What are you doing at this hour?\Did you forget something?\Ah!\N-Not exactly...\Bye!\Hey! response:	So you're a new student?
context: You're huge!\What are you doing at this hour?\Did you forget something?\Ah!\N-Not exactly...\Bye!\Hey!\So you're a new student? response:	Yep, I am.
context: What are you doing at this hour?\Did you forget something?\Ah!\N-Not exactly...\Bye!\Hey!\So you're a new student?\Yep, I am. response:	And you're a teacher here, huh?
context: Did you forget something?\Ah!\N-Not exactly...\Bye!\Hey!\So you're a new student?\Yep, I am.\And you're a teacher here, huh? response:	That's right.
context: Ah!\N-Not exactly...\Bye!\Hey!\So you're a new student?\Yep, I am.\And you're a teacher here, huh?\That's right. response:	What were you doing there before the entrance ceremony, anyway?
context: N-Not exactly...\Bye!\Hey!\So you're a new student?\Yep, I am.\And you're a teacher here, huh?\That's right.\What were you doing there before the entrance ceremony, anyway? response:	Well... I was trying on my uniform at home, and I got kind of excited.
context: Bye!\Hey!\So you're a new student?\Yep, I am.\And you're a teacher here, huh?\That's right.\What were you doing there before the entrance ceremony, anyway?\Well... I was trying on my uniform at home, and I got kind of excited. response:	So I thought, All right! I'm gonna go to school right now!
context: Hey!\So you're a new student?\Yep, I am.\And you're a teacher here, huh?\That's right.\What were you doing there before the entrance ceremony, anyway?\Well... I was trying on my uniform at home, and I got kind of excited.\So I thought, All right! I'm gonna go to school right now! response:	But did you have to run off at top speed like that?
context: So you're a new student?\Yep, I am.\And you're a teacher here, huh?\That's right.\What were you doing there before the entrance ceremony, anyway?\Well... I was trying on my uniform at home, and I got kind of excited.\So I thought, All right! I'm gonna go to school right now!\But did you have to run off at top speed like that? response:	Anyone would run if some weird old guy they don't know speaks to them.
context: Yep, I am.\And you're a teacher here, huh?\That's right.\What were you doing there before the entrance ceremony, anyway?\Well... I was trying on my uniform at home, and I got kind of excited.\So I thought, All right! I'm gonna go to school right now!\But did you have to run off at top speed like that?\Anyone would run if some weird old guy they don't know speaks to them. response:	Weird old guy?
context: And you're a teacher here, huh?\That's right.\What were you doing there before the entrance ceremony, anyway?\Well... I was trying on my uniform at home, and I got kind of excited.\So I thought, All right! I'm gonna go to school right now!\But did you have to run off at top speed like that?\Anyone would run if some weird old guy they don't know speaks to them.\Weird old guy? response:	They taught us that in school.
context: That's right.\What were you doing there before the entrance ceremony, anyway?\Well... I was trying on my uniform at home, and I got kind of excited.\So I thought, All right! I'm gonna go to school right now!\But did you have to run off at top speed like that?\Anyone would run if some weird old guy they don't know speaks to them.\Weird old guy?\They taught us that in school. response:	If you're a teacher,
context: What were you doing there before the entrance ceremony, anyway?\Well... I was trying on my uniform at home, and I got kind of excited.\So I thought, All right! I'm gonna go to school right now!\But did you have to run off at top speed like that?\Anyone would run if some weird old guy they don't know speaks to them.\Weird old guy?\They taught us that in school.\If you're a teacher, response:	I think you should praise my calm decision to flee immediately,
