context: Sir... response:	This slave here is my recommendation.
context: Hey...\Worry not.\The pain will dissipate soon.\The slave crest on her chest makes it impossible for her to defy you.\Acquired Slave A.\Slave Crest\Monster Crest\Summon response:	Violation Conditions Refuse Order Attack Master Attack Get Meters From Master Lie to Master Flee Item Use
context: Worry not.\The pain will dissipate soon.\The slave crest on her chest makes it impossible for her to defy you.\Acquired Slave A.\Slave Crest\Monster Crest\Summon\Violation Conditions Refuse Order Attack Master Attack Get Meters From Master Lie to Master Flee Item Use response:	Party Member Settings Violation Damage Lv.7 Speech Allowed Auto Attack Magical Support Prioritize Survival Tank Item Recovery
context: The pain will dissipate soon.\The slave crest on her chest makes it impossible for her to defy you.\Acquired Slave A.\Slave Crest\Monster Crest\Summon\Violation Conditions Refuse Order Attack Master Attack Get Meters From Master Lie to Master Flee Item Use\Party Member Settings Violation Damage Lv.7 Speech Allowed Auto Attack Magical Support Prioritize Survival Tank Item Recovery response:	Party member settings?
context: The slave crest on her chest makes it impossible for her to defy you.\Acquired Slave A.\Slave Crest\Monster Crest\Summon\Violation Conditions Refuse Order Attack Master Attack Get Meters From Master Lie to Master Flee Item Use\Party Member Settings Violation Damage Lv.7 Speech Allowed Auto Attack Magical Support Prioritize Survival Tank Item Recovery\Party member settings? response:	Now this girl is all yours.
context: Acquired Slave A.\Slave Crest\Monster Crest\Summon\Violation Conditions Refuse Order Attack Master Attack Get Meters From Master Lie to Master Flee Item Use\Party Member Settings Violation Damage Lv.7 Speech Allowed Auto Attack Magical Support Prioritize Survival Tank Item Recovery\Party member settings?\Now this girl is all yours. response:	Thirty silvers, right?
context: Slave Crest\Monster Crest\Summon\Violation Conditions Refuse Order Attack Master Attack Get Meters From Master Lie to Master Flee Item Use\Party Member Settings Violation Damage Lv.7 Speech Allowed Auto Attack Magical Support Prioritize Survival Tank Item Recovery\Party member settings?\Now this girl is all yours.\Thirty silvers, right? response:	There's one extra in here.
context: Monster Crest\Summon\Violation Conditions Refuse Order Attack Master Attack Get Meters From Master Lie to Master Flee Item Use\Party Member Settings Violation Damage Lv.7 Speech Allowed Auto Attack Magical Support Prioritize Survival Tank Item Recovery\Party member settings?\Now this girl is all yours.\Thirty silvers, right?\There's one extra in here. response:	That's your commission.
context: Summon\Violation Conditions Refuse Order Attack Master Attack Get Meters From Master Lie to Master Flee Item Use\Party Member Settings Violation Damage Lv.7 Speech Allowed Auto Attack Magical Support Prioritize Survival Tank Item Recovery\Party member settings?\Now this girl is all yours.\Thirty silvers, right?\There's one extra in here.\That's your commission. response:	You were going to wring it out of me anyway, weren't you?
context: Violation Conditions Refuse Order Attack Master Attack Get Meters From Master Lie to Master Flee Item Use\Party Member Settings Violation Damage Lv.7 Speech Allowed Auto Attack Magical Support Prioritize Survival Tank Item Recovery\Party member settings?\Now this girl is all yours.\Thirty silvers, right?\There's one extra in here.\That's your commission.\You were going to wring it out of me anyway, weren't you? response:	You certainly know your stuff.
context: Party Member Settings Violation Damage Lv.7 Speech Allowed Auto Attack Magical Support Prioritize Survival Tank Item Recovery\Party member settings?\Now this girl is all yours.\Thirty silvers, right?\There's one extra in here.\That's your commission.\You were going to wring it out of me anyway, weren't you?\You certainly know your stuff. response:	Well, I guess I should know your name.
context: Party member settings?\Now this girl is all yours.\Thirty silvers, right?\There's one extra in here.\That's your commission.\You were going to wring it out of me anyway, weren't you?\You certainly know your stuff.\Well, I guess I should know your name. response:	Tell me your name.
context: Now this girl is all yours.\Thirty silvers, right?\There's one extra in here.\That's your commission.\You were going to wring it out of me anyway, weren't you?\You certainly know your stuff.\Well, I guess I should know your name.\Tell me your name. response:	What's your name?
context: Thirty silvers, right?\There's one extra in here.\That's your commission.\You were going to wring it out of me anyway, weren't you?\You certainly know your stuff.\Well, I guess I should know your name.\Tell me your name.\What's your name? response:	R-Raphtalia...
context: There's one extra in here.\That's your commission.\You were going to wring it out of me anyway, weren't you?\You certainly know your stuff.\Well, I guess I should know your name.\Tell me your name.\What's your name?\R-Raphtalia... response:	Raphtalia, huh?
context: That's your commission.\You were going to wring it out of me anyway, weren't you?\You certainly know your stuff.\Well, I guess I should know your name.\Tell me your name.\What's your name?\R-Raphtalia...\Raphtalia, huh? response:	Let's go.
context: You were going to wring it out of me anyway, weren't you?\You certainly know your stuff.\Well, I guess I should know your name.\Tell me your name.\What's your name?\R-Raphtalia...\Raphtalia, huh?\Let's go. response:	I'm looking forward to your next visit.
context: You certainly know your stuff.\Well, I guess I should know your name.\Tell me your name.\What's your name?\R-Raphtalia...\Raphtalia, huh?\Let's go.\I'm looking forward to your next visit. response:	So he really did choose her.
context: Well, I guess I should know your name.\Tell me your name.\What's your name?\R-Raphtalia...\Raphtalia, huh?\Let's go.\I'm looking forward to your next visit.\So he really did choose her. response:	I'm getting goosebumps!
context: Tell me your name.\What's your name?\R-Raphtalia...\Raphtalia, huh?\Let's go.\I'm looking forward to your next visit.\So he really did choose her.\I'm getting goosebumps! response:	Oh, it's you, kid.
context: What's your name?\R-Raphtalia...\Raphtalia, huh?\Let's go.\I'm looking forward to your next visit.\So he really did choose her.\I'm getting goosebumps!\Oh, it's you, kid. response:	Hey, hey... What's with the girl?
context: R-Raphtalia...\Raphtalia, huh?\Let's go.\I'm looking forward to your next visit.\So he really did choose her.\I'm getting goosebumps!\Oh, it's you, kid.\Hey, hey... What's with the girl? response:	Give me a weapon she can use.
context: Raphtalia, huh?\Let's go.\I'm looking forward to your next visit.\So he really did choose her.\I'm getting goosebumps!\Oh, it's you, kid.\Hey, hey... What's with the girl?\Give me a weapon she can use. response:	Keep it under six silvers.
context: Let's go.\I'm looking forward to your next visit.\So he really did choose her.\I'm getting goosebumps!\Oh, it's you, kid.\Hey, hey... What's with the girl?\Give me a weapon she can use.\Keep it under six silvers. response:	Took you long enough.
context: I'm looking forward to your next visit.\So he really did choose her.\I'm getting goosebumps!\Oh, it's you, kid.\Hey, hey... What's with the girl?\Give me a weapon she can use.\Keep it under six silvers.\Took you long enough. response:	I-I'm sorry.
context: So he really did choose her.\I'm getting goosebumps!\Oh, it's you, kid.\Hey, hey... What's with the girl?\Give me a weapon she can use.\Keep it under six silvers.\Took you long enough.\I-I'm sorry. response:	Whatever.
context: I'm getting goosebumps!\Oh, it's you, kid.\Hey, hey... What's with the girl?\Give me a weapon she can use.\Keep it under six silvers.\Took you long enough.\I-I'm sorry.\Whatever. response:	Raphtalia, draw your knife.
context: Oh, it's you, kid.\Hey, hey... What's with the girl?\Give me a weapon she can use.\Keep it under six silvers.\Took you long enough.\I-I'm sorry.\Whatever.\Raphtalia, draw your knife. response:	Let me see you stab and burst this thing.
context: Hey, hey... What's with the girl?\Give me a weapon she can use.\Keep it under six silvers.\Took you long enough.\I-I'm sorry.\Whatever.\Raphtalia, draw your knife.\Let me see you stab and burst this thing. response:	N-No...
context: Give me a weapon she can use.\Keep it under six silvers.\Took you long enough.\I-I'm sorry.\Whatever.\Raphtalia, draw your knife.\Let me see you stab and burst this thing.\N-No... response:	This is an order!
context: Keep it under six silvers.\Took you long enough.\I-I'm sorry.\Whatever.\Raphtalia, draw your knife.\Let me see you stab and burst this thing.\N-No...\This is an order! response:	You only hurt yourself by refusing.
context: Took you long enough.\I-I'm sorry.\Whatever.\Raphtalia, draw your knife.\Let me see you stab and burst this thing.\N-No...\This is an order!\You only hurt yourself by refusing. response:	Do it!
context: I-I'm sorry.\Whatever.\Raphtalia, draw your knife.\Let me see you stab and burst this thing.\N-No...\This is an order!\You only hurt yourself by refusing.\Do it! response:	Too weak!
context: Whatever.\Raphtalia, draw your knife.\Let me see you stab and burst this thing.\N-No...\This is an order!\You only hurt yourself by refusing.\Do it!\Too weak! response:	Put more heart in it!
context: Raphtalia, draw your knife.\Let me see you stab and burst this thing.\N-No...\This is an order!\You only hurt yourself by refusing.\Do it!\Too weak!\Put more heart in it! response:	Do it!
context: Let me see you stab and burst this thing.\N-No...\This is an order!\You only hurt yourself by refusing.\Do it!\Too weak!\Put more heart in it!\Do it! response:	Huh? I got EXP, too?
context: N-No...\This is an order!\You only hurt yourself by refusing.\Do it!\Too weak!\Put more heart in it!\Do it!\Huh? I got EXP, too? response:	Probably because you set her as a companion when forming the pact.
context: This is an order!\You only hurt yourself by refusing.\Do it!\Too weak!\Put more heart in it!\Do it!\Huh? I got EXP, too?\Probably because you set her as a companion when forming the pact. response:	Wait, you didn't do that with the lady from before?
context: You only hurt yourself by refusing.\Do it!\Too weak!\Put more heart in it!\Do it!\Huh? I got EXP, too?\Probably because you set her as a companion when forming the pact.\Wait, you didn't do that with the lady from before? response:	Damn that woman...
context: Do it!\Too weak!\Put more heart in it!\Do it!\Huh? I got EXP, too?\Probably because you set her as a companion when forming the pact.\Wait, you didn't do that with the lady from before?\Damn that woman... response:	Listen up.
context: Too weak!\Put more heart in it!\Do it!\Huh? I got EXP, too?\Probably because you set her as a companion when forming the pact.\Wait, you didn't do that with the lady from before?\Damn that woman...\Listen up. response:	From here on out, I expect you to fight monsters for me.
context: Put more heart in it!\Do it!\Huh? I got EXP, too?\Probably because you set her as a companion when forming the pact.\Wait, you didn't do that with the lady from before?\Damn that woman...\Listen up.\From here on out, I expect you to fight monsters for me. response:	I bought you with what little money I had.
context: Do it!\Huh? I got EXP, too?\Probably because you set her as a companion when forming the pact.\Wait, you didn't do that with the lady from before?\Damn that woman...\Listen up.\From here on out, I expect you to fight monsters for me.\I bought you with what little money I had. response:	You'd better help me recoup your cost, at least.
context: Huh? I got EXP, too?\Probably because you set her as a companion when forming the pact.\Wait, you didn't do that with the lady from before?\Damn that woman...\Listen up.\From here on out, I expect you to fight monsters for me.\I bought you with what little money I had.\You'd better help me recoup your cost, at least. response:	Kid, you're not going to die a painless death.
context: Probably because you set her as a companion when forming the pact.\Wait, you didn't do that with the lady from before?\Damn that woman...\Listen up.\From here on out, I expect you to fight monsters for me.\I bought you with what little money I had.\You'd better help me recoup your cost, at least.\Kid, you're not going to die a painless death. response:	Thanks for the compliment.
context: Wait, you didn't do that with the lady from before?\Damn that woman...\Listen up.\From here on out, I expect you to fight monsters for me.\I bought you with what little money I had.\You'd better help me recoup your cost, at least.\Kid, you're not going to die a painless death.\Thanks for the compliment. response:	Quit sitting around. Let's go.
context: Damn that woman...\Listen up.\From here on out, I expect you to fight monsters for me.\I bought you with what little money I had.\You'd better help me recoup your cost, at least.\Kid, you're not going to die a painless death.\Thanks for the compliment.\Quit sitting around. Let's go. response:	Y-Yes!
context: Listen up.\From here on out, I expect you to fight monsters for me.\I bought you with what little money I had.\You'd better help me recoup your cost, at least.\Kid, you're not going to die a painless death.\Thanks for the compliment.\Quit sitting around. Let's go.\Y-Yes! response:	Sheesh...
context: From here on out, I expect you to fight monsters for me.\I bought you with what little money I had.\You'd better help me recoup your cost, at least.\Kid, you're not going to die a painless death.\Thanks for the compliment.\Quit sitting around. Let's go.\Y-Yes!\Sheesh... response:	I don't know whether it's our country to blame, or if the kid's just been corrupted.
context: I bought you with what little money I had.\You'd better help me recoup your cost, at least.\Kid, you're not going to die a painless death.\Thanks for the compliment.\Quit sitting around. Let's go.\Y-Yes!\Sheesh...\I don't know whether it's our country to blame, or if the kid's just been corrupted. response:	Three silvers left...
context: You'd better help me recoup your cost, at least.\Kid, you're not going to die a painless death.\Thanks for the compliment.\Quit sitting around. Let's go.\Y-Yes!\Sheesh...\I don't know whether it's our country to blame, or if the kid's just been corrupted.\Three silvers left... response:	Get a move on!
context: Kid, you're not going to die a painless death.\Thanks for the compliment.\Quit sitting around. Let's go.\Y-Yes!\Sheesh...\I don't know whether it's our country to blame, or if the kid's just been corrupted.\Three silvers left...\Get a move on! response:	We don't have all day, you little shits!
context: Thanks for the compliment.\Quit sitting around. Let's go.\Y-Yes!\Sheesh...\I don't know whether it's our country to blame, or if the kid's just been corrupted.\Three silvers left...\Get a move on!\We don't have all day, you little shits! response:	What's wrong with you, you moron?!
context: Quit sitting around. Let's go.\Y-Yes!\Sheesh...\I don't know whether it's our country to blame, or if the kid's just been corrupted.\Three silvers left...\Get a move on!\We don't have all day, you little shits!\What's wrong with you, you moron?! response:	I'm sorry!
context: Y-Yes!\Sheesh...\I don't know whether it's our country to blame, or if the kid's just been corrupted.\Three silvers left...\Get a move on!\We don't have all day, you little shits!\What's wrong with you, you moron?!\I'm sorry! response:	Are you hungry?
context: Sheesh...\I don't know whether it's our country to blame, or if the kid's just been corrupted.\Three silvers left...\Get a move on!\We don't have all day, you little shits!\What's wrong with you, you moron?!\I'm sorry!\Are you hungry? response:	No.
context: I don't know whether it's our country to blame, or if the kid's just been corrupted.\Three silvers left...\Get a move on!\We don't have all day, you little shits!\What's wrong with you, you moron?!\I'm sorry!\Are you hungry?\No. response:	You can't fight on an empty stomach.
context: Three silvers left...\Get a move on!\We don't have all day, you little shits!\What's wrong with you, you moron?!\I'm sorry!\Are you hungry?\No.\You can't fight on an empty stomach. response:	Let's get some lunch.
context: Get a move on!\We don't have all day, you little shits!\What's wrong with you, you moron?!\I'm sorry!\Are you hungry?\No.\You can't fight on an empty stomach.\Let's get some lunch. response:	We don't serve demi-humans.
context: We don't have all day, you little shits!\What's wrong with you, you moron?!\I'm sorry!\Are you hungry?\No.\You can't fight on an empty stomach.\Let's get some lunch.\We don't serve demi-humans. response:	U-Um...
context: What's wrong with you, you moron?!\I'm sorry!\Are you hungry?\No.\You can't fight on an empty stomach.\Let's get some lunch.\We don't serve demi-humans.\U-Um... response:	What's wrong?
context: I'm sorry!\Are you hungry?\No.\You can't fight on an empty stomach.\Let's get some lunch.\We don't serve demi-humans.\U-Um...\What's wrong? response:	This place...
context: Are you hungry?\No.\You can't fight on an empty stomach.\Let's get some lunch.\We don't serve demi-humans.\U-Um...\What's wrong?\This place... response:	Hurry up!
context: No.\You can't fight on an empty stomach.\Let's get some lunch.\We don't serve demi-humans.\U-Um...\What's wrong?\This place...\Hurry up! response:	Ack, it's the Shield Hero...
context: You can't fight on an empty stomach.\Let's get some lunch.\We don't serve demi-humans.\U-Um...\What's wrong?\This place...\Hurry up!\Ack, it's the Shield Hero... response:	Is he the rapist?
context: Let's get some lunch.\We don't serve demi-humans.\U-Um...\What's wrong?\This place...\Hurry up!\Ack, it's the Shield Hero...\Is he the rapist? response:	Keep it down! He'll hear you!
context: We don't serve demi-humans.\U-Um...\What's wrong?\This place...\Hurry up!\Ack, it's the Shield Hero...\Is he the rapist?\Keep it down! He'll hear you! response:	Can I order?
context: U-Um...\What's wrong?\This place...\Hurry up!\Ack, it's the Shield Hero...\Is he the rapist?\Keep it down! He'll hear you!\Can I order? response:	Huh? I-I guess...
context: What's wrong?\This place...\Hurry up!\Ack, it's the Shield Hero...\Is he the rapist?\Keep it down! He'll hear you!\Can I order?\Huh? I-I guess... response:	Look, it's a demi-human.
context: This place...\Hurry up!\Ack, it's the Shield Hero...\Is he the rapist?\Keep it down! He'll hear you!\Can I order?\Huh? I-I guess...\Look, it's a demi-human. response:	Why's a demi here?
context: Hurry up!\Ack, it's the Shield Hero...\Is he the rapist?\Keep it down! He'll hear you!\Can I order?\Huh? I-I guess...\Look, it's a demi-human.\Why's a demi here? response:	The cheapest lunch set you have.
context: Ack, it's the Shield Hero...\Is he the rapist?\Keep it down! He'll hear you!\Can I order?\Huh? I-I guess...\Look, it's a demi-human.\Why's a demi here?\The cheapest lunch set you have. response:	Someone kick her out!
context: Is he the rapist?\Keep it down! He'll hear you!\Can I order?\Huh? I-I guess...\Look, it's a demi-human.\Why's a demi here?\The cheapest lunch set you have.\Someone kick her out! response:	And she'll have whatever that kid's having.
context: Keep it down! He'll hear you!\Can I order?\Huh? I-I guess...\Look, it's a demi-human.\Why's a demi here?\The cheapest lunch set you have.\Someone kick her out!\And she'll have whatever that kid's having. response:	That'll be nine coppers.
context: Can I order?\Huh? I-I guess...\Look, it's a demi-human.\Why's a demi here?\The cheapest lunch set you have.\Someone kick her out!\And she'll have whatever that kid's having.\That'll be nine coppers. response:	Sure.
context: Huh? I-I guess...\Look, it's a demi-human.\Why's a demi here?\The cheapest lunch set you have.\Someone kick her out!\And she'll have whatever that kid's having.\That'll be nine coppers.\Sure. response:	Why?
context: Look, it's a demi-human.\Why's a demi here?\The cheapest lunch set you have.\Someone kick her out!\And she'll have whatever that kid's having.\That'll be nine coppers.\Sure.\Why? response:	Did you want something else?
context: Why's a demi here?\The cheapest lunch set you have.\Someone kick her out!\And she'll have whatever that kid's having.\That'll be nine coppers.\Sure.\Why?\Did you want something else? response:	Why are you getting it for me?
context: The cheapest lunch set you have.\Someone kick her out!\And she'll have whatever that kid's having.\That'll be nine coppers.\Sure.\Why?\Did you want something else?\Why are you getting it for me? response:	Because you looked like you wanted to try it.
context: Someone kick her out!\And she'll have whatever that kid's having.\That'll be nine coppers.\Sure.\Why?\Did you want something else?\Why are you getting it for me?\Because you looked like you wanted to try it. response:	Here's your food.
context: And she'll have whatever that kid's having.\That'll be nine coppers.\Sure.\Why?\Did you want something else?\Why are you getting it for me?\Because you looked like you wanted to try it.\Here's your food. response:	Aren't you going to eat?
context: That'll be nine coppers.\Sure.\Why?\Did you want something else?\Why are you getting it for me?\Because you looked like you wanted to try it.\Here's your food.\Aren't you going to eat? response:	Can I really?
context: Sure.\Why?\Did you want something else?\Why are you getting it for me?\Because you looked like you wanted to try it.\Here's your food.\Aren't you going to eat?\Can I really? response:	Yes, just eat up.
context: Why?\Did you want something else?\Why are you getting it for me?\Because you looked like you wanted to try it.\Here's your food.\Aren't you going to eat?\Can I really?\Yes, just eat up. response:	Drink this.
context: Did you want something else?\Why are you getting it for me?\Because you looked like you wanted to try it.\Here's your food.\Aren't you going to eat?\Can I really?\Yes, just eat up.\Drink this. response:	Is it good?
context: Why are you getting it for me?\Because you looked like you wanted to try it.\Here's your food.\Aren't you going to eat?\Can I really?\Yes, just eat up.\Drink this.\Is it good? response:	Yeah!
context: Because you looked like you wanted to try it.\Here's your food.\Aren't you going to eat?\Can I really?\Yes, just eat up.\Drink this.\Is it good?\Yeah! response:	I still don't taste a thing.
context: Here's your food.\Aren't you going to eat?\Can I really?\Yes, just eat up.\Drink this.\Is it good?\Yeah!\I still don't taste a thing. response:	Raphtalia!
context: Aren't you going to eat?\Can I really?\Yes, just eat up.\Drink this.\Is it good?\Yeah!\I still don't taste a thing.\Raphtalia! response:	Y-Yes!
context: Can I really?\Yes, just eat up.\Drink this.\Is it good?\Yeah!\I still don't taste a thing.\Raphtalia!\Y-Yes! response:	Now!
context: Yes, just eat up.\Drink this.\Is it good?\Yeah!\I still don't taste a thing.\Raphtalia!\Y-Yes!\Now! response:	Skill Tree
context: Drink this.\Is it good?\Yeah!\I still don't taste a thing.\Raphtalia!\Y-Yes!\Now!\Skill Tree response:	Mastery Bonus
context: Is it good?\Yeah!\I still don't taste a thing.\Raphtalia!\Y-Yes!\Now!\Skill Tree\Mastery Bonus response:	Blue Mush Shield
context: Yeah!\I still don't taste a thing.\Raphtalia!\Y-Yes!\Now!\Skill Tree\Mastery Bonus\Blue Mush Shield response:	Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0
context: I still don't taste a thing.\Raphtalia!\Y-Yes!\Now!\Skill Tree\Mastery Bonus\Blue Mush Shield\Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0 response:	Proficiency Unlock Conditions Unlock Mush Shield Blue Mush Spores x3 Spores of Blue Mush x2
