context: Apology by Armed Detective Agency Member response:	Tanizaki Junichirou
context: Y-You're siblings?!\I'm not sure I see a family resemblance.\Oh?\You doubt us?\Of course we're siblings by blood.\We're quite similar, especially this part.\Right, brother?\Oh, but... response:	Don't pursue this line of inquiry with them too far.
context: I'm not sure I see a family resemblance.\Oh?\You doubt us?\Of course we're siblings by blood.\We're quite similar, especially this part.\Right, brother?\Oh, but...\Don't pursue this line of inquiry with them too far. response:	Atsushi reads between the lines.
context: Oh?\You doubt us?\Of course we're siblings by blood.\We're quite similar, especially this part.\Right, brother?\Oh, but...\Don't pursue this line of inquiry with them too far.\Atsushi reads between the lines. response:	Er, okay...
context: You doubt us?\Of course we're siblings by blood.\We're quite similar, especially this part.\Right, brother?\Oh, but...\Don't pursue this line of inquiry with them too far.\Atsushi reads between the lines.\Er, okay... response:	In any event, brat,
context: Of course we're siblings by blood.\We're quite similar, especially this part.\Right, brother?\Oh, but...\Don't pursue this line of inquiry with them too far.\Atsushi reads between the lines.\Er, okay...\In any event, brat, response:	today you have joined the ranks of our Armed Detective Agency.
context: We're quite similar, especially this part.\Right, brother?\Oh, but...\Don't pursue this line of inquiry with them too far.\Atsushi reads between the lines.\Er, okay...\In any event, brat,\today you have joined the ranks of our Armed Detective Agency. response:	Do not be a burden to anyone, nor shame the Agency's good name.
context: Right, brother?\Oh, but...\Don't pursue this line of inquiry with them too far.\Atsushi reads between the lines.\Er, okay...\In any event, brat,\today you have joined the ranks of our Armed Detective Agency.\Do not be a burden to anyone, nor shame the Agency's good name. response:	The rest of us are committed to that, at least.
context: Oh, but...\Don't pursue this line of inquiry with them too far.\Atsushi reads between the lines.\Er, okay...\In any event, brat,\today you have joined the ranks of our Armed Detective Agency.\Do not be a burden to anyone, nor shame the Agency's good name.\The rest of us are committed to that, at least. response:	Right, Dazai?
context: Don't pursue this line of inquiry with them too far.\Atsushi reads between the lines.\Er, okay...\In any event, brat,\today you have joined the ranks of our Armed Detective Agency.\Do not be a burden to anyone, nor shame the Agency's good name.\The rest of us are committed to that, at least.\Right, Dazai? response:	Would you strangle me with these fragile, delicate fingers?
context: Atsushi reads between the lines.\Er, okay...\In any event, brat,\today you have joined the ranks of our Armed Detective Agency.\Do not be a burden to anyone, nor shame the Agency's good name.\The rest of us are committed to that, at least.\Right, Dazai?\Would you strangle me with these fragile, delicate fingers? response:	Are you going to smear mud on the Agency's name right as I'm saying we never would?!
context: Er, okay...\In any event, brat,\today you have joined the ranks of our Armed Detective Agency.\Do not be a burden to anyone, nor shame the Agency's good name.\The rest of us are committed to that, at least.\Right, Dazai?\Would you strangle me with these fragile, delicate fingers?\Are you going to smear mud on the Agency's name right as I'm saying we never would?! response:	You bastard!
context: In any event, brat,\today you have joined the ranks of our Armed Detective Agency.\Do not be a burden to anyone, nor shame the Agency's good name.\The rest of us are committed to that, at least.\Right, Dazai?\Would you strangle me with these fragile, delicate fingers?\Are you going to smear mud on the Agency's name right as I'm saying we never would?!\You bastard! response:	Don't bother asking for her help all the time!
context: today you have joined the ranks of our Armed Detective Agency.\Do not be a burden to anyone, nor shame the Agency's good name.\The rest of us are committed to that, at least.\Right, Dazai?\Would you strangle me with these fragile, delicate fingers?\Are you going to smear mud on the Agency's name right as I'm saying we never would?!\You bastard!\Don't bother asking for her help all the time! response:	I'll crush your neck with my own bony fingers!
context: Do not be a burden to anyone, nor shame the Agency's good name.\The rest of us are committed to that, at least.\Right, Dazai?\Would you strangle me with these fragile, delicate fingers?\Are you going to smear mud on the Agency's name right as I'm saying we never would?!\You bastard!\Don't bother asking for her help all the time!\I'll crush your neck with my own bony fingers! response:	By the way,
context: The rest of us are committed to that, at least.\Right, Dazai?\Would you strangle me with these fragile, delicate fingers?\Are you going to smear mud on the Agency's name right as I'm saying we never would?!\You bastard!\Don't bother asking for her help all the time!\I'll crush your neck with my own bony fingers!\By the way, response:	Two Senior Colleagues Shaming the Agency's Good Name
context: Right, Dazai?\Would you strangle me with these fragile, delicate fingers?\Are you going to smear mud on the Agency's name right as I'm saying we never would?!\You bastard!\Don't bother asking for her help all the time!\I'll crush your neck with my own bony fingers!\By the way,\Two Senior Colleagues Shaming the Agency's Good Name response:	what were both of you doing before you joined the Agency?
context: Would you strangle me with these fragile, delicate fingers?\Are you going to smear mud on the Agency's name right as I'm saying we never would?!\You bastard!\Don't bother asking for her help all the time!\I'll crush your neck with my own bony fingers!\By the way,\Two Senior Colleagues Shaming the Agency's Good Name\what were both of you doing before you joined the Agency? response:	Uh, no real meaning behind that question, by the way.
context: Are you going to smear mud on the Agency's name right as I'm saying we never would?!\You bastard!\Don't bother asking for her help all the time!\I'll crush your neck with my own bony fingers!\By the way,\Two Senior Colleagues Shaming the Agency's Good Name\what were both of you doing before you joined the Agency?\Uh, no real meaning behind that question, by the way. response:	Take a guess.
context: You bastard!\Don't bother asking for her help all the time!\I'll crush your neck with my own bony fingers!\By the way,\Two Senior Colleagues Shaming the Agency's Good Name\what were both of you doing before you joined the Agency?\Uh, no real meaning behind that question, by the way.\Take a guess. response:	Huh?
context: Don't bother asking for her help all the time!\I'll crush your neck with my own bony fingers!\By the way,\Two Senior Colleagues Shaming the Agency's Good Name\what were both of you doing before you joined the Agency?\Uh, no real meaning behind that question, by the way.\Take a guess.\Huh? response:	Oh, it's a game we play often.
context: I'll crush your neck with my own bony fingers!\By the way,\Two Senior Colleagues Shaming the Agency's Good Name\what were both of you doing before you joined the Agency?\Uh, no real meaning behind that question, by the way.\Take a guess.\Huh?\Oh, it's a game we play often. response:	The rookie tries to guess his senior colleagues' former occupations.
context: By the way,\Two Senior Colleagues Shaming the Agency's Good Name\what were both of you doing before you joined the Agency?\Uh, no real meaning behind that question, by the way.\Take a guess.\Huh?\Oh, it's a game we play often.\The rookie tries to guess his senior colleagues' former occupations. response:	Well, it's part of their training as private investigators.
context: Two Senior Colleagues Shaming the Agency's Good Name\what were both of you doing before you joined the Agency?\Uh, no real meaning behind that question, by the way.\Take a guess.\Huh?\Oh, it's a game we play often.\The rookie tries to guess his senior colleagues' former occupations.\Well, it's part of their training as private investigators. response:	Tanizaki-san and Naomi-san... were students?
context: what were both of you doing before you joined the Agency?\Uh, no real meaning behind that question, by the way.\Take a guess.\Huh?\Oh, it's a game we play often.\The rookie tries to guess his senior colleagues' former occupations.\Well, it's part of their training as private investigators.\Tanizaki-san and Naomi-san... were students? response:	Oh, bingo.
context: Uh, no real meaning behind that question, by the way.\Take a guess.\Huh?\Oh, it's a game we play often.\The rookie tries to guess his senior colleagues' former occupations.\Well, it's part of their training as private investigators.\Tanizaki-san and Naomi-san... were students?\Oh, bingo. response:	I'm impressed.
context: Take a guess.\Huh?\Oh, it's a game we play often.\The rookie tries to guess his senior colleagues' former occupations.\Well, it's part of their training as private investigators.\Tanizaki-san and Naomi-san... were students?\Oh, bingo.\I'm impressed. response:	How did you know?
context: Huh?\Oh, it's a game we play often.\The rookie tries to guess his senior colleagues' former occupations.\Well, it's part of their training as private investigators.\Tanizaki-san and Naomi-san... were students?\Oh, bingo.\I'm impressed.\How did you know? response:	I heard you are a part-time worker,
context: Oh, it's a game we play often.\The rookie tries to guess his senior colleagues' former occupations.\Well, it's part of their training as private investigators.\Tanizaki-san and Naomi-san... were students?\Oh, bingo.\I'm impressed.\How did you know?\I heard you are a part-time worker, response:	and I thought you might still be a student given your uniform.
context: The rookie tries to guess his senior colleagues' former occupations.\Well, it's part of their training as private investigators.\Tanizaki-san and Naomi-san... were students?\Oh, bingo.\I'm impressed.\How did you know?\I heard you are a part-time worker,\and I thought you might still be a student given your uniform. response:	Tanizaki-san seems close to me in age, so... just a hunch.
context: Well, it's part of their training as private investigators.\Tanizaki-san and Naomi-san... were students?\Oh, bingo.\I'm impressed.\How did you know?\I heard you are a part-time worker,\and I thought you might still be a student given your uniform.\Tanizaki-san seems close to me in age, so... just a hunch. response:	Honesty is a virtue.
context: Tanizaki-san and Naomi-san... were students?\Oh, bingo.\I'm impressed.\How did you know?\I heard you are a part-time worker,\and I thought you might still be a student given your uniform.\Tanizaki-san seems close to me in age, so... just a hunch.\Honesty is a virtue. response:	What about Kunikida-kun?
context: Oh, bingo.\I'm impressed.\How did you know?\I heard you are a part-time worker,\and I thought you might still be a student given your uniform.\Tanizaki-san seems close to me in age, so... just a hunch.\Honesty is a virtue.\What about Kunikida-kun? response:	Who cares about what I used to be?!
context: I'm impressed.\How did you know?\I heard you are a part-time worker,\and I thought you might still be a student given your uniform.\Tanizaki-san seems close to me in age, so... just a hunch.\Honesty is a virtue.\What about Kunikida-kun?\Who cares about what I used to be?! response:	Public worker?
context: How did you know?\I heard you are a part-time worker,\and I thought you might still be a student given your uniform.\Tanizaki-san seems close to me in age, so... just a hunch.\Honesty is a virtue.\What about Kunikida-kun?\Who cares about what I used to be?!\Public worker? response:	An official?!
context: I heard you are a part-time worker,\and I thought you might still be a student given your uniform.\Tanizaki-san seems close to me in age, so... just a hunch.\Honesty is a virtue.\What about Kunikida-kun?\Who cares about what I used to be?!\Public worker?\An official?! response:	Close.
context: and I thought you might still be a student given your uniform.\Tanizaki-san seems close to me in age, so... just a hunch.\Honesty is a virtue.\What about Kunikida-kun?\Who cares about what I used to be?!\Public worker?\An official?!\Close. response:	He was a teacher.
context: Tanizaki-san seems close to me in age, so... just a hunch.\Honesty is a virtue.\What about Kunikida-kun?\Who cares about what I used to be?!\Public worker?\An official?!\Close.\He was a teacher. response:	A math teacher.
context: Honesty is a virtue.\What about Kunikida-kun?\Who cares about what I used to be?!\Public worker?\An official?!\Close.\He was a teacher.\A math teacher. response:	Huh...
context: What about Kunikida-kun?\Who cares about what I used to be?!\Public worker?\An official?!\Close.\He was a teacher.\A math teacher.\Huh... response:	Of course you'd use the law of exponents here!
context: Who cares about what I used to be?!\Public worker?\An official?!\Close.\He was a teacher.\A math teacher.\Huh...\Of course you'd use the law of exponents here! response:	I can totally see that.
context: Public worker?\An official?!\Close.\He was a teacher.\A math teacher.\Huh...\Of course you'd use the law of exponents here!\I can totally see that. response:	It's all in the past!
context: An official?!\Close.\He was a teacher.\A math teacher.\Huh...\Of course you'd use the law of exponents here!\I can totally see that.\It's all in the past! response:	I don't even want to think about it.
context: Close.\He was a teacher.\A math teacher.\Huh...\Of course you'd use the law of exponents here!\I can totally see that.\It's all in the past!\I don't even want to think about it. response:	What about me, then?
context: He was a teacher.\A math teacher.\Huh...\Of course you'd use the law of exponents here!\I can totally see that.\It's all in the past!\I don't even want to think about it.\What about me, then? response:	You, Dazai-san?
context: A math teacher.\Huh...\Of course you'd use the law of exponents here!\I can totally see that.\It's all in the past!\I don't even want to think about it.\What about me, then?\You, Dazai-san? response:	Yes, me.
context: Huh...\Of course you'd use the law of exponents here!\I can totally see that.\It's all in the past!\I don't even want to think about it.\What about me, then?\You, Dazai-san?\Yes, me. response:	Well...
context: Of course you'd use the law of exponents here!\I can totally see that.\It's all in the past!\I don't even want to think about it.\What about me, then?\You, Dazai-san?\Yes, me.\Well... response:	Dazai-san was...
context: I can totally see that.\It's all in the past!\I don't even want to think about it.\What about me, then?\You, Dazai-san?\Yes, me.\Well...\Dazai-san was... response:	Dazai-san was...
context: It's all in the past!\I don't even want to think about it.\What about me, then?\You, Dazai-san?\Yes, me.\Well...\Dazai-san was...\Dazai-san was... response:	It won't work.
context: I don't even want to think about it.\What about me, then?\You, Dazai-san?\Yes, me.\Well...\Dazai-san was...\Dazai-san was...\It won't work. response:	I have no idea.
context: What about me, then?\You, Dazai-san?\Yes, me.\Well...\Dazai-san was...\Dazai-san was...\It won't work.\I have no idea. response:	Don't bother, brat.
context: You, Dazai-san?\Yes, me.\Well...\Dazai-san was...\Dazai-san was...\It won't work.\I have no idea.\Don't bother, brat. response:	His former profession is one of the seven mysteries of the Armed Detective Agency.
context: Yes, me.\Well...\Dazai-san was...\Dazai-san was...\It won't work.\I have no idea.\Don't bother, brat.\His former profession is one of the seven mysteries of the Armed Detective Agency. response:	The first person to get it right receives a reward, right?
context: Well...\Dazai-san was...\Dazai-san was...\It won't work.\I have no idea.\Don't bother, brat.\His former profession is one of the seven mysteries of the Armed Detective Agency.\The first person to get it right receives a reward, right? response:	A reward?
context: Dazai-san was...\Dazai-san was...\It won't work.\I have no idea.\Don't bother, brat.\His former profession is one of the seven mysteries of the Armed Detective Agency.\The first person to get it right receives a reward, right?\A reward? response:	That's right.
context: Dazai-san was...\It won't work.\I have no idea.\Don't bother, brat.\His former profession is one of the seven mysteries of the Armed Detective Agency.\The first person to get it right receives a reward, right?\A reward?\That's right. response:	No one's been able to guess right, so the reward's just ballooned.
context: It won't work.\I have no idea.\Don't bother, brat.\His former profession is one of the seven mysteries of the Armed Detective Agency.\The first person to get it right receives a reward, right?\A reward?\That's right.\No one's been able to guess right, so the reward's just ballooned. response:	Ballooned...
context: I have no idea.\Don't bother, brat.\His former profession is one of the seven mysteries of the Armed Detective Agency.\The first person to get it right receives a reward, right?\A reward?\That's right.\No one's been able to guess right, so the reward's just ballooned.\Ballooned... response:	Reward!
context: Don't bother, brat.\His former profession is one of the seven mysteries of the Armed Detective Agency.\The first person to get it right receives a reward, right?\A reward?\That's right.\No one's been able to guess right, so the reward's just ballooned.\Ballooned...\Reward! response:	B-By the way,
context: His former profession is one of the seven mysteries of the Armed Detective Agency.\The first person to get it right receives a reward, right?\A reward?\That's right.\No one's been able to guess right, so the reward's just ballooned.\Ballooned...\Reward!\B-By the way, response:	how much has this reward ballooned to, exactly?
context: The first person to get it right receives a reward, right?\A reward?\That's right.\No one's been able to guess right, so the reward's just ballooned.\Ballooned...\Reward!\B-By the way,\how much has this reward ballooned to, exactly? response:	700,000 yen total.
context: A reward?\That's right.\No one's been able to guess right, so the reward's just ballooned.\Ballooned...\Reward!\B-By the way,\how much has this reward ballooned to, exactly?\700,000 yen total. response:	Seven Hundred Grand!!
context: That's right.\No one's been able to guess right, so the reward's just ballooned.\Ballooned...\Reward!\B-By the way,\how much has this reward ballooned to, exactly?\700,000 yen total.\Seven Hundred Grand!! response:	Seven hundred grand?!
context: No one's been able to guess right, so the reward's just ballooned.\Ballooned...\Reward!\B-By the way,\how much has this reward ballooned to, exactly?\700,000 yen total.\Seven Hundred Grand!!\Seven hundred grand?! response:	Oh!
context: Ballooned...\Reward!\B-By the way,\how much has this reward ballooned to, exactly?\700,000 yen total.\Seven Hundred Grand!!\Seven hundred grand?!\Oh! response:	The Man has a fire lit under him
context: Reward!\B-By the way,\how much has this reward ballooned to, exactly?\700,000 yen total.\Seven Hundred Grand!!\Seven hundred grand?!\Oh!\The Man has a fire lit under him response:	S-So if I get it right, I can claim it?
context: B-By the way,\how much has this reward ballooned to, exactly?\700,000 yen total.\Seven Hundred Grand!!\Seven hundred grand?!\Oh!\The Man has a fire lit under him\S-So if I get it right, I can claim it? response:	at the thought of a 700,000 reward Currently penniless.
context: how much has this reward ballooned to, exactly?\700,000 yen total.\Seven Hundred Grand!!\Seven hundred grand?!\Oh!\The Man has a fire lit under him\S-So if I get it right, I can claim it?\at the thought of a 700,000 reward Currently penniless. response:	For real for reals?!
context: 700,000 yen total.\Seven Hundred Grand!!\Seven hundred grand?!\Oh!\The Man has a fire lit under him\S-So if I get it right, I can claim it?\at the thought of a 700,000 reward Currently penniless.\For real for reals?! response:	A suicide proponent is true to his word.
context: Seven Hundred Grand!!\Seven hundred grand?!\Oh!\The Man has a fire lit under him\S-So if I get it right, I can claim it?\at the thought of a 700,000 reward Currently penniless.\For real for reals?!\A suicide proponent is true to his word. response:	Atsushi-kun looks excited.
context: Seven hundred grand?!\Oh!\The Man has a fire lit under him\S-So if I get it right, I can claim it?\at the thought of a 700,000 reward Currently penniless.\For real for reals?!\A suicide proponent is true to his word.\Atsushi-kun looks excited. response:	His determination is admirable.
context: Oh!\The Man has a fire lit under him\S-So if I get it right, I can claim it?\at the thought of a 700,000 reward Currently penniless.\For real for reals?!\A suicide proponent is true to his word.\Atsushi-kun looks excited.\His determination is admirable. response:	Seven hundred grand will be mine!
context: The Man has a fire lit under him\S-So if I get it right, I can claim it?\at the thought of a 700,000 reward Currently penniless.\For real for reals?!\A suicide proponent is true to his word.\Atsushi-kun looks excited.\His determination is admirable.\Seven hundred grand will be mine! response:	Speculator?
context: S-So if I get it right, I can claim it?\at the thought of a 700,000 reward Currently penniless.\For real for reals?!\A suicide proponent is true to his word.\Atsushi-kun looks excited.\His determination is admirable.\Seven hundred grand will be mine!\Speculator? response:	No.
context: at the thought of a 700,000 reward Currently penniless.\For real for reals?!\A suicide proponent is true to his word.\Atsushi-kun looks excited.\His determination is admirable.\Seven hundred grand will be mine!\Speculator?\No. response:	Writer?
context: For real for reals?!\A suicide proponent is true to his word.\Atsushi-kun looks excited.\His determination is admirable.\Seven hundred grand will be mine!\Speculator?\No.\Writer? response:	Nope!
context: A suicide proponent is true to his word.\Atsushi-kun looks excited.\His determination is admirable.\Seven hundred grand will be mine!\Speculator?\No.\Writer?\Nope! response:	Office worker?
context: Atsushi-kun looks excited.\His determination is admirable.\Seven hundred grand will be mine!\Speculator?\No.\Writer?\Nope!\Office worker? response:	Wrong!
context: His determination is admirable.\Seven hundred grand will be mine!\Speculator?\No.\Writer?\Nope!\Office worker?\Wrong! response:	Researcher!
context: Seven hundred grand will be mine!\Speculator?\No.\Writer?\Nope!\Office worker?\Wrong!\Researcher! response:	No.
context: Speculator?\No.\Writer?\Nope!\Office worker?\Wrong!\Researcher!\No. response:	Lawyer?
context: No.\Writer?\Nope!\Office worker?\Wrong!\Researcher!\No.\Lawyer? response:	No!
context: Writer?\Nope!\Office worker?\Wrong!\Researcher!\No.\Lawyer?\No! response:	Journalist?
context: Nope!\Office worker?\Wrong!\Researcher!\No.\Lawyer?\No!\Journalist? response:	Boo.
context: Office worker?\Wrong!\Researcher!\No.\Lawyer?\No!\Journalist?\Boo. response:	Carpenter!
context: Wrong!\Researcher!\No.\Lawyer?\No!\Journalist?\Boo.\Carpenter! response:	Nope.
context: Researcher!\No.\Lawyer?\No!\Journalist?\Boo.\Carpenter!\Nope. response:	Fortuneteller!
context: No.\Lawyer?\No!\Journalist?\Boo.\Carpenter!\Nope.\Fortuneteller! response:	No.
context: Lawyer?\No!\Journalist?\Boo.\Carpenter!\Nope.\Fortuneteller!\No. response:	Pilot!
context: No!\Journalist?\Boo.\Carpenter!\Nope.\Fortuneteller!\No.\Pilot! response:	Wrong.
context: Journalist?\Boo.\Carpenter!\Nope.\Fortuneteller!\No.\Pilot!\Wrong. response:	It's all random...
context: Boo.\Carpenter!\Nope.\Fortuneteller!\No.\Pilot!\Wrong.\It's all random... response:	Interpreter!
context: Carpenter!\Nope.\Fortuneteller!\No.\Pilot!\Wrong.\It's all random...\Interpreter! response:	Non, non!
context: Nope.\Fortuneteller!\No.\Pilot!\Wrong.\It's all random...\Interpreter!\Non, non! response:	Yeah...
context: Fortuneteller!\No.\Pilot!\Wrong.\It's all random...\Interpreter!\Non, non!\Yeah... response:	Japanese Chef.
context: No.\Pilot!\Wrong.\It's all random...\Interpreter!\Non, non!\Yeah...\Japanese Chef. response:	Booo.
context: Pilot!\Wrong.\It's all random...\Interpreter!\Non, non!\Yeah...\Japanese Chef.\Booo. response:	No way, doctor?
context: Wrong.\It's all random...\Interpreter!\Non, non!\Yeah...\Japanese Chef.\Booo.\No way, doctor? response:	No way.
context: It's all random...\Interpreter!\Non, non!\Yeah...\Japanese Chef.\Booo.\No way, doctor?\No way. response:	Shinto priest!
context: Interpreter!\Non, non!\Yeah...\Japanese Chef.\Booo.\No way, doctor?\No way.\Shinto priest! response:	No!
context: Non, non!\Yeah...\Japanese Chef.\Booo.\No way, doctor?\No way.\Shinto priest!\No! response:	Actor!
context: Yeah...\Japanese Chef.\Booo.\No way, doctor?\No way.\Shinto priest!\No!\Actor! response:	No! But...
context: Japanese Chef.\Booo.\No way, doctor?\No way.\Shinto priest!\No!\Actor!\No! But... response:	That's flattering.
context: Booo.\No way, doctor?\No way.\Shinto priest!\No!\Actor!\No! But...\That's flattering. response:	I bet you were just wandering around doing nothing.
context: No way, doctor?\No way.\Shinto priest!\No!\Actor!\No! But...\That's flattering.\I bet you were just wandering around doing nothing. response:	Nope.
context: No way.\Shinto priest!\No!\Actor!\No! But...\That's flattering.\I bet you were just wandering around doing nothing.\Nope. response:	I would never lie about this.
context: Shinto priest!\No!\Actor!\No! But...\That's flattering.\I bet you were just wandering around doing nothing.\Nope.\I would never lie about this. response:	Do you yield, Atsushi-kun?
context: No!\Actor!\No! But...\That's flattering.\I bet you were just wandering around doing nothing.\Nope.\I would never lie about this.\Do you yield, Atsushi-kun? response:	Then you can take the check.
context: Actor!\No! But...\That's flattering.\I bet you were just wandering around doing nothing.\Nope.\I would never lie about this.\Do you yield, Atsushi-kun?\Then you can take the check. response:	What?
context: No! But...\That's flattering.\I bet you were just wandering around doing nothing.\Nope.\I would never lie about this.\Do you yield, Atsushi-kun?\Then you can take the check.\What? response:	If you don't have enough on you right now,
context: That's flattering.\I bet you were just wandering around doing nothing.\Nope.\I would never lie about this.\Do you yield, Atsushi-kun?\Then you can take the check.\What?\If you don't have enough on you right now, response:	you can start a tab.
context: I bet you were just wandering around doing nothing.\Nope.\I would never lie about this.\Do you yield, Atsushi-kun?\Then you can take the check.\What?\If you don't have enough on you right now,\you can start a tab. response:	After all, it's the Agency's go-to restaurant,
context: Nope.\I would never lie about this.\Do you yield, Atsushi-kun?\Then you can take the check.\What?\If you don't have enough on you right now,\you can start a tab.\After all, it's the Agency's go-to restaurant, response:	the Vortex.
context: I would never lie about this.\Do you yield, Atsushi-kun?\Then you can take the check.\What?\If you don't have enough on you right now,\you can start a tab.\After all, it's the Agency's go-to restaurant,\the Vortex. response:	Yes, this is Tanizaki.
context: Do you yield, Atsushi-kun?\Then you can take the check.\What?\If you don't have enough on you right now,\you can start a tab.\After all, it's the Agency's go-to restaurant,\the Vortex.\Yes, this is Tanizaki. response:	Yes, okay.
context: Then you can take the check.\What?\If you don't have enough on you right now,\you can start a tab.\After all, it's the Agency's go-to restaurant,\the Vortex.\Yes, this is Tanizaki.\Yes, okay. response:	Got it.
context: What?\If you don't have enough on you right now,\you can start a tab.\After all, it's the Agency's go-to restaurant,\the Vortex.\Yes, this is Tanizaki.\Yes, okay.\Got it. response:	We have a job?
context: If you don't have enough on you right now,\you can start a tab.\After all, it's the Agency's go-to restaurant,\the Vortex.\Yes, this is Tanizaki.\Yes, okay.\Got it.\We have a job? response:	Yes.
context: you can start a tab.\After all, it's the Agency's go-to restaurant,\the Vortex.\Yes, this is Tanizaki.\Yes, okay.\Got it.\We have a job?\Yes. response:	The client's already at the Agency.
context: After all, it's the Agency's go-to restaurant,\the Vortex.\Yes, this is Tanizaki.\Yes, okay.\Got it.\We have a job?\Yes.\The client's already at the Agency. response:	Well, it's time to work.
context: the Vortex.\Yes, this is Tanizaki.\Yes, okay.\Got it.\We have a job?\Yes.\The client's already at the Agency.\Well, it's time to work. response:	Let's save the guessing game for another time.
context: Yes, this is Tanizaki.\Yes, okay.\Got it.\We have a job?\Yes.\The client's already at the Agency.\Well, it's time to work.\Let's save the guessing game for another time. response:	So...
context: Yes, okay.\Got it.\We have a job?\Yes.\The client's already at the Agency.\Well, it's time to work.\Let's save the guessing game for another time.\So... response:	You've mentioned that you'd like to request an investigation,
context: Got it.\We have a job?\Yes.\The client's already at the Agency.\Well, it's time to work.\Let's save the guessing game for another time.\So...\You've mentioned that you'd like to request an investigation, response:	but what manner of investigation are we speaking of here?
context: We have a job?\Yes.\The client's already at the Agency.\Well, it's time to work.\Let's save the guessing game for another time.\So...\You've mentioned that you'd like to request an investigation,\but what manner of investigation are we speaking of here? response:	Beautiful...
context: Yes.\The client's already at the Agency.\Well, it's time to work.\Let's save the guessing game for another time.\So...\You've mentioned that you'd like to request an investigation,\but what manner of investigation are we speaking of here?\Beautiful... response:	You're a lady as ephemeral and elegant as a lotus blossom.
context: The client's already at the Agency.\Well, it's time to work.\Let's save the guessing game for another time.\So...\You've mentioned that you'd like to request an investigation,\but what manner of investigation are we speaking of here?\Beautiful...\You're a lady as ephemeral and elegant as a lotus blossom. response:	Would you be willing to join me in a double suicide
context: Well, it's time to work.\Let's save the guessing game for another time.\So...\You've mentioned that you'd like to request an investigation,\but what manner of investigation are we speaking of here?\Beautiful...\You're a lady as ephemeral and elegant as a lotus blossom.\Would you be willing to join me in a double suicide response:	What?
context: Let's save the guessing game for another time.\So...\You've mentioned that you'd like to request an investigation,\but what manner of investigation are we speaking of here?\Beautiful...\You're a lady as ephemeral and elegant as a lotus blossom.\Would you be willing to join me in a double suicide\What? response:	Ah.
