context: Once upon a time, there was a young man with a beautiful face. response:	The people loved the handsome young man, but he never showed interest in loving anyone.
context: he realized that he had lost even the words to express those feelings.\Calm down, Father.\If you get excited, it will affect your health.\You still do not have the heart? What of the young and beautiful heart?\You see, Princess Tutu interferes every time...\Do not give me excuses!\But Father, when he sees Princess Tutu, the old prince starts to awaken.\So... response:	If you are a girl of noble raven birth, then do not whine!
context: Calm down, Father.\If you get excited, it will affect your health.\You still do not have the heart? What of the young and beautiful heart?\You see, Princess Tutu interferes every time...\Do not give me excuses!\But Father, when he sees Princess Tutu, the old prince starts to awaken.\So...\If you are a girl of noble raven birth, then do not whine! response:	Hurry up and bring me a heart!
context: If you get excited, it will affect your health.\You still do not have the heart? What of the young and beautiful heart?\You see, Princess Tutu interferes every time...\Do not give me excuses!\But Father, when he sees Princess Tutu, the old prince starts to awaken.\So...\If you are a girl of noble raven birth, then do not whine!\Hurry up and bring me a heart! response:	I understand, so please calm yourself, Father!
context: You still do not have the heart? What of the young and beautiful heart?\You see, Princess Tutu interferes every time...\Do not give me excuses!\But Father, when he sees Princess Tutu, the old prince starts to awaken.\So...\If you are a girl of noble raven birth, then do not whine!\Hurry up and bring me a heart!\I understand, so please calm yourself, Father! response:	Poor Father...
context: You see, Princess Tutu interferes every time...\Do not give me excuses!\But Father, when he sees Princess Tutu, the old prince starts to awaken.\So...\If you are a girl of noble raven birth, then do not whine!\Hurry up and bring me a heart!\I understand, so please calm yourself, Father!\Poor Father... response:	Crime and Punishment
context: Do not give me excuses!\But Father, when he sees Princess Tutu, the old prince starts to awaken.\So...\If you are a girl of noble raven birth, then do not whine!\Hurry up and bring me a heart!\I understand, so please calm yourself, Father!\Poor Father...\Crime and Punishment response:	Oh, Mytho-sama...
context: But Father, when he sees Princess Tutu, the old prince starts to awaken.\So...\If you are a girl of noble raven birth, then do not whine!\Hurry up and bring me a heart!\I understand, so please calm yourself, Father!\Poor Father...\Crime and Punishment\Oh, Mytho-sama... response:	When I think about Mytho-sama, I just feel so overcome.
context: So...\If you are a girl of noble raven birth, then do not whine!\Hurry up and bring me a heart!\I understand, so please calm yourself, Father!\Poor Father...\Crime and Punishment\Oh, Mytho-sama...\When I think about Mytho-sama, I just feel so overcome. response:	Even when I'm eating like this...
context: If you are a girl of noble raven birth, then do not whine!\Hurry up and bring me a heart!\I understand, so please calm yourself, Father!\Poor Father...\Crime and Punishment\Oh, Mytho-sama...\When I think about Mytho-sama, I just feel so overcome.\Even when I'm eating like this... response:	We have to get to our classroom soon.
context: Hurry up and bring me a heart!\I understand, so please calm yourself, Father!\Poor Father...\Crime and Punishment\Oh, Mytho-sama...\When I think about Mytho-sama, I just feel so overcome.\Even when I'm eating like this...\We have to get to our classroom soon. response:	Yeah.
context: I understand, so please calm yourself, Father!\Poor Father...\Crime and Punishment\Oh, Mytho-sama...\When I think about Mytho-sama, I just feel so overcome.\Even when I'm eating like this...\We have to get to our classroom soon.\Yeah. response:	Let's hurry!
context: Poor Father...\Crime and Punishment\Oh, Mytho-sama...\When I think about Mytho-sama, I just feel so overcome.\Even when I'm eating like this...\We have to get to our classroom soon.\Yeah.\Let's hurry! response:	You don't care about Mytho-sama anymore either, right, Ahiru?
context: Crime and Punishment\Oh, Mytho-sama...\When I think about Mytho-sama, I just feel so overcome.\Even when I'm eating like this...\We have to get to our classroom soon.\Yeah.\Let's hurry!\You don't care about Mytho-sama anymore either, right, Ahiru? response:	I get that, though. He's changed somehow, hasn't he?
context: Oh, Mytho-sama...\When I think about Mytho-sama, I just feel so overcome.\Even when I'm eating like this...\We have to get to our classroom soon.\Yeah.\Let's hurry!\You don't care about Mytho-sama anymore either, right, Ahiru?\I get that, though. He's changed somehow, hasn't he? response:	He has?
context: When I think about Mytho-sama, I just feel so overcome.\Even when I'm eating like this...\We have to get to our classroom soon.\Yeah.\Let's hurry!\You don't care about Mytho-sama anymore either, right, Ahiru?\I get that, though. He's changed somehow, hasn't he?\He has? response:	The mysterious side is gone...
context: Even when I'm eating like this...\We have to get to our classroom soon.\Yeah.\Let's hurry!\You don't care about Mytho-sama anymore either, right, Ahiru?\I get that, though. He's changed somehow, hasn't he?\He has?\The mysterious side is gone... response:	Or rather, don't you get the feeling he'll just take any girl?
context: We have to get to our classroom soon.\Yeah.\Let's hurry!\You don't care about Mytho-sama anymore either, right, Ahiru?\I get that, though. He's changed somehow, hasn't he?\He has?\The mysterious side is gone...\Or rather, don't you get the feeling he'll just take any girl? response:	He's a beast!
context: Yeah.\Let's hurry!\You don't care about Mytho-sama anymore either, right, Ahiru?\I get that, though. He's changed somehow, hasn't he?\He has?\The mysterious side is gone...\Or rather, don't you get the feeling he'll just take any girl?\He's a beast! response:	Ugh.
context: Let's hurry!\You don't care about Mytho-sama anymore either, right, Ahiru?\I get that, though. He's changed somehow, hasn't he?\He has?\The mysterious side is gone...\Or rather, don't you get the feeling he'll just take any girl?\He's a beast!\Ugh. response:	Teen idols need to be a little more approachable.
context: You don't care about Mytho-sama anymore either, right, Ahiru?\I get that, though. He's changed somehow, hasn't he?\He has?\The mysterious side is gone...\Or rather, don't you get the feeling he'll just take any girl?\He's a beast!\Ugh.\Teen idols need to be a little more approachable. response:	You mean they need to seem moderately stupid?
context: I get that, though. He's changed somehow, hasn't he?\He has?\The mysterious side is gone...\Or rather, don't you get the feeling he'll just take any girl?\He's a beast!\Ugh.\Teen idols need to be a little more approachable.\You mean they need to seem moderately stupid? response:	It's because he's not the real Mytho...
context: He has?\The mysterious side is gone...\Or rather, don't you get the feeling he'll just take any girl?\He's a beast!\Ugh.\Teen idols need to be a little more approachable.\You mean they need to seem moderately stupid?\It's because he's not the real Mytho... response:	You're the one who returned the feeling of love to the prince, without even knowing it was dyed in the raven's blood.
context: The mysterious side is gone...\Or rather, don't you get the feeling he'll just take any girl?\He's a beast!\Ugh.\Teen idols need to be a little more approachable.\You mean they need to seem moderately stupid?\It's because he's not the real Mytho...\You're the one who returned the feeling of love to the prince, without even knowing it was dyed in the raven's blood. response:	Tutu... help me...
context: Or rather, don't you get the feeling he'll just take any girl?\He's a beast!\Ugh.\Teen idols need to be a little more approachable.\You mean they need to seem moderately stupid?\It's because he's not the real Mytho...\You're the one who returned the feeling of love to the prince, without even knowing it was dyed in the raven's blood.\Tutu... help me... response:	Mytho must be the one suffering the most.
context: He's a beast!\Ugh.\Teen idols need to be a little more approachable.\You mean they need to seem moderately stupid?\It's because he's not the real Mytho...\You're the one who returned the feeling of love to the prince, without even knowing it was dyed in the raven's blood.\Tutu... help me...\Mytho must be the one suffering the most. response:	I want to return him to the old Mytho as soon as I can.
context: Ugh.\Teen idols need to be a little more approachable.\You mean they need to seem moderately stupid?\It's because he's not the real Mytho...\You're the one who returned the feeling of love to the prince, without even knowing it was dyed in the raven's blood.\Tutu... help me...\Mytho must be the one suffering the most.\I want to return him to the old Mytho as soon as I can. response:	But how do I do that?
context: Teen idols need to be a little more approachable.\You mean they need to seem moderately stupid?\It's because he's not the real Mytho...\You're the one who returned the feeling of love to the prince, without even knowing it was dyed in the raven's blood.\Tutu... help me...\Mytho must be the one suffering the most.\I want to return him to the old Mytho as soon as I can.\But how do I do that? response:	Bonjour, mademoiselle.
context: You mean they need to seem moderately stupid?\It's because he's not the real Mytho...\You're the one who returned the feeling of love to the prince, without even knowing it was dyed in the raven's blood.\Tutu... help me...\Mytho must be the one suffering the most.\I want to return him to the old Mytho as soon as I can.\But how do I do that?\Bonjour, mademoiselle. response:	Mad?
context: It's because he's not the real Mytho...\You're the one who returned the feeling of love to the prince, without even knowing it was dyed in the raven's blood.\Tutu... help me...\Mytho must be the one suffering the most.\I want to return him to the old Mytho as soon as I can.\But how do I do that?\Bonjour, mademoiselle.\Mad? response:	Pike? Lilie?
context: You're the one who returned the feeling of love to the prince, without even knowing it was dyed in the raven's blood.\Tutu... help me...\Mytho must be the one suffering the most.\I want to return him to the old Mytho as soon as I can.\But how do I do that?\Bonjour, mademoiselle.\Mad?\Pike? Lilie? response:	Eep!
context: Tutu... help me...\Mytho must be the one suffering the most.\I want to return him to the old Mytho as soon as I can.\But how do I do that?\Bonjour, mademoiselle.\Mad?\Pike? Lilie?\Eep! response:	O young lady who has eyes of truth...
context: Mytho must be the one suffering the most.\I want to return him to the old Mytho as soon as I can.\But how do I do that?\Bonjour, mademoiselle.\Mad?\Pike? Lilie?\Eep!\O young lady who has eyes of truth... response:	Please, take this.
context: I want to return him to the old Mytho as soon as I can.\But how do I do that?\Bonjour, mademoiselle.\Mad?\Pike? Lilie?\Eep!\O young lady who has eyes of truth...\Please, take this. response:	Right... Thank you...
context: But how do I do that?\Bonjour, mademoiselle.\Mad?\Pike? Lilie?\Eep!\O young lady who has eyes of truth...\Please, take this.\Right... Thank you... response:	It could never hope to hold a candle to the greatness of your love.
context: Bonjour, mademoiselle.\Mad?\Pike? Lilie?\Eep!\O young lady who has eyes of truth...\Please, take this.\Right... Thank you...\It could never hope to hold a candle to the greatness of your love. response:	Um, who are you?
context: Mad?\Pike? Lilie?\Eep!\O young lady who has eyes of truth...\Please, take this.\Right... Thank you...\It could never hope to hold a candle to the greatness of your love.\Um, who are you? response:	Non, non!
context: Pike? Lilie?\Eep!\O young lady who has eyes of truth...\Please, take this.\Right... Thank you...\It could never hope to hold a candle to the greatness of your love.\Um, who are you?\Non, non! response:	I understand your desire to know everything about me.
context: Eep!\O young lady who has eyes of truth...\Please, take this.\Right... Thank you...\It could never hope to hold a candle to the greatness of your love.\Um, who are you?\Non, non!\I understand your desire to know everything about me. response:	But I must not fulfill that desire. Because...
context: O young lady who has eyes of truth...\Please, take this.\Right... Thank you...\It could never hope to hold a candle to the greatness of your love.\Um, who are you?\Non, non!\I understand your desire to know everything about me.\But I must not fulfill that desire. Because... response:	I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!
context: Please, take this.\Right... Thank you...\It could never hope to hold a candle to the greatness of your love.\Um, who are you?\Non, non!\I understand your desire to know everything about me.\But I must not fulfill that desire. Because...\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone! response:	A true prince?
context: Right... Thank you...\It could never hope to hold a candle to the greatness of your love.\Um, who are you?\Non, non!\I understand your desire to know everything about me.\But I must not fulfill that desire. Because...\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\A true prince? response:	However! Right now, the ladies of this academy are consigning themselves to that man's false love!
context: It could never hope to hold a candle to the greatness of your love.\Um, who are you?\Non, non!\I understand your desire to know everything about me.\But I must not fulfill that desire. Because...\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\A true prince?\However! Right now, the ladies of this academy are consigning themselves to that man's false love! response:	You mean Mytho?
context: Um, who are you?\Non, non!\I understand your desire to know everything about me.\But I must not fulfill that desire. Because...\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\A true prince?\However! Right now, the ladies of this academy are consigning themselves to that man's false love!\You mean Mytho? response:	And that must be because!
context: Non, non!\I understand your desire to know everything about me.\But I must not fulfill that desire. Because...\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\A true prince?\However! Right now, the ladies of this academy are consigning themselves to that man's false love!\You mean Mytho?\And that must be because! response:	Of my own shortcomings, mustn't it?
context: I understand your desire to know everything about me.\But I must not fulfill that desire. Because...\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\A true prince?\However! Right now, the ladies of this academy are consigning themselves to that man's false love!\You mean Mytho?\And that must be because!\Of my own shortcomings, mustn't it? response:	Because I just can't give everyone enough love...
context: But I must not fulfill that desire. Because...\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\A true prince?\However! Right now, the ladies of this academy are consigning themselves to that man's false love!\You mean Mytho?\And that must be because!\Of my own shortcomings, mustn't it?\Because I just can't give everyone enough love... response:	Heavens, I beseech thee!
context: I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\A true prince?\However! Right now, the ladies of this academy are consigning themselves to that man's false love!\You mean Mytho?\And that must be because!\Of my own shortcomings, mustn't it?\Because I just can't give everyone enough love...\Heavens, I beseech thee! response:	Please punish this sinner!
context: A true prince?\However! Right now, the ladies of this academy are consigning themselves to that man's false love!\You mean Mytho?\And that must be because!\Of my own shortcomings, mustn't it?\Because I just can't give everyone enough love...\Heavens, I beseech thee!\Please punish this sinner! response:	Here!
context: However! Right now, the ladies of this academy are consigning themselves to that man's false love!\You mean Mytho?\And that must be because!\Of my own shortcomings, mustn't it?\Because I just can't give everyone enough love...\Heavens, I beseech thee!\Please punish this sinner!\Here! response:	Ole!
context: You mean Mytho?\And that must be because!\Of my own shortcomings, mustn't it?\Because I just can't give everyone enough love...\Heavens, I beseech thee!\Please punish this sinner!\Here!\Ole! response:	Quack!
context: And that must be because!\Of my own shortcomings, mustn't it?\Because I just can't give everyone enough love...\Heavens, I beseech thee!\Please punish this sinner!\Here!\Ole!\Quack! response:	She was so flustered.
context: Of my own shortcomings, mustn't it?\Because I just can't give everyone enough love...\Heavens, I beseech thee!\Please punish this sinner!\Here!\Ole!\Quack!\She was so flustered. response:	Mon cherie is a shy one.
context: Because I just can't give everyone enough love...\Heavens, I beseech thee!\Please punish this sinner!\Here!\Ole!\Quack!\She was so flustered.\Mon cherie is a shy one. response:	There's no way to compare this punishment I've taken to the pain in the hearts of the many women I'm hurting.
context: Heavens, I beseech thee!\Please punish this sinner!\Here!\Ole!\Quack!\She was so flustered.\Mon cherie is a shy one.\There's no way to compare this punishment I've taken to the pain in the hearts of the many women I'm hurting. response:	Femio-sama!
context: Please punish this sinner!\Here!\Ole!\Quack!\She was so flustered.\Mon cherie is a shy one.\There's no way to compare this punishment I've taken to the pain in the hearts of the many women I'm hurting.\Femio-sama! response:	Quack, quack...
context: Here!\Ole!\Quack!\She was so flustered.\Mon cherie is a shy one.\There's no way to compare this punishment I've taken to the pain in the hearts of the many women I'm hurting.\Femio-sama!\Quack, quack... response:	Quack!
context: Ole!\Quack!\She was so flustered.\Mon cherie is a shy one.\There's no way to compare this punishment I've taken to the pain in the hearts of the many women I'm hurting.\Femio-sama!\Quack, quack...\Quack! response:	Man, that scared me.
context: Quack!\She was so flustered.\Mon cherie is a shy one.\There's no way to compare this punishment I've taken to the pain in the hearts of the many women I'm hurting.\Femio-sama!\Quack, quack...\Quack!\Man, that scared me. response:	True prince? Was that guy just now a prince too?
context: She was so flustered.\Mon cherie is a shy one.\There's no way to compare this punishment I've taken to the pain in the hearts of the many women I'm hurting.\Femio-sama!\Quack, quack...\Quack!\Man, that scared me.\True prince? Was that guy just now a prince too? response:	What are you playing at?
context: Mon cherie is a shy one.\There's no way to compare this punishment I've taken to the pain in the hearts of the many women I'm hurting.\Femio-sama!\Quack, quack...\Quack!\Man, that scared me.\True prince? Was that guy just now a prince too?\What are you playing at? response:	What?
context: There's no way to compare this punishment I've taken to the pain in the hearts of the many women I'm hurting.\Femio-sama!\Quack, quack...\Quack!\Man, that scared me.\True prince? Was that guy just now a prince too?\What are you playing at?\What? response:	What do you mean?
context: Femio-sama!\Quack, quack...\Quack!\Man, that scared me.\True prince? Was that guy just now a prince too?\What are you playing at?\What?\What do you mean? response:	It would be cruel to poor Father if we didn't get him a sacrificial heart to eat soon.
context: Quack, quack...\Quack!\Man, that scared me.\True prince? Was that guy just now a prince too?\What are you playing at?\What?\What do you mean?\It would be cruel to poor Father if we didn't get him a sacrificial heart to eat soon. response:	I know.
context: Quack!\Man, that scared me.\True prince? Was that guy just now a prince too?\What are you playing at?\What?\What do you mean?\It would be cruel to poor Father if we didn't get him a sacrificial heart to eat soon.\I know. response:	He's never been very patient, you know.
context: Man, that scared me.\True prince? Was that guy just now a prince too?\What are you playing at?\What?\What do you mean?\It would be cruel to poor Father if we didn't get him a sacrificial heart to eat soon.\I know.\He's never been very patient, you know. response:	I'm sick of waiting too.
context: True prince? Was that guy just now a prince too?\What are you playing at?\What?\What do you mean?\It would be cruel to poor Father if we didn't get him a sacrificial heart to eat soon.\I know.\He's never been very patient, you know.\I'm sick of waiting too. response:	Is someone there?
context: What are you playing at?\What?\What do you mean?\It would be cruel to poor Father if we didn't get him a sacrificial heart to eat soon.\I know.\He's never been very patient, you know.\I'm sick of waiting too.\Is someone there? response:	Tut... Ahiru!
context: What?\What do you mean?\It would be cruel to poor Father if we didn't get him a sacrificial heart to eat soon.\I know.\He's never been very patient, you know.\I'm sick of waiting too.\Is someone there?\Tut... Ahiru! response:	You can go, Mytho.
context: What do you mean?\It would be cruel to poor Father if we didn't get him a sacrificial heart to eat soon.\I know.\He's never been very patient, you know.\I'm sick of waiting too.\Is someone there?\Tut... Ahiru!\You can go, Mytho. response:	But...
context: It would be cruel to poor Father if we didn't get him a sacrificial heart to eat soon.\I know.\He's never been very patient, you know.\I'm sick of waiting too.\Is someone there?\Tut... Ahiru!\You can go, Mytho.\But... response:	Go on, go.
context: I know.\He's never been very patient, you know.\I'm sick of waiting too.\Is someone there?\Tut... Ahiru!\You can go, Mytho.\But...\Go on, go. response:	Okay.
context: He's never been very patient, you know.\I'm sick of waiting too.\Is someone there?\Tut... Ahiru!\You can go, Mytho.\But...\Go on, go.\Okay. response:	Wait, Mytho!
context: I'm sick of waiting too.\Is someone there?\Tut... Ahiru!\You can go, Mytho.\But...\Go on, go.\Okay.\Wait, Mytho! response:	It's no use.
context: Is someone there?\Tut... Ahiru!\You can go, Mytho.\But...\Go on, go.\Okay.\Wait, Mytho!\It's no use. response:	Rue-chan...
context: Tut... Ahiru!\You can go, Mytho.\But...\Go on, go.\Okay.\Wait, Mytho!\It's no use.\Rue-chan... response:	I told you, there is no Rue.
context: You can go, Mytho.\But...\Go on, go.\Okay.\Wait, Mytho!\It's no use.\Rue-chan...\I told you, there is no Rue. response:	I just can't believe that.
context: But...\Go on, go.\Okay.\Wait, Mytho!\It's no use.\Rue-chan...\I told you, there is no Rue.\I just can't believe that. response:	Because I get this feeling you're Rue-chan.
context: Go on, go.\Okay.\Wait, Mytho!\It's no use.\Rue-chan...\I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan. response:	It doesn't matter what you think.
context: Okay.\Wait, Mytho!\It's no use.\Rue-chan...\I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan.\It doesn't matter what you think. response:	The prince is mine now.
context: Wait, Mytho!\It's no use.\Rue-chan...\I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan.\It doesn't matter what you think.\The prince is mine now. response:	Prince? Did you call me?
context: It's no use.\Rue-chan...\I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan.\It doesn't matter what you think.\The prince is mine now.\Prince? Did you call me? response:	Young lady.
context: Rue-chan...\I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan.\It doesn't matter what you think.\The prince is mine now.\Prince? Did you call me?\Young lady. response:	Qua...
context: I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan.\It doesn't matter what you think.\The prince is mine now.\Prince? Did you call me?\Young lady.\Qua... response:	Give me your hand, s'il vous plaIt.
context: I just can't believe that.\Because I get this feeling you're Rue-chan.\It doesn't matter what you think.\The prince is mine now.\Prince? Did you call me?\Young lady.\Qua...\Give me your hand, s'il vous plaIt. response:	You don't have to be so shy, my cute one.
context: Because I get this feeling you're Rue-chan.\It doesn't matter what you think.\The prince is mine now.\Prince? Did you call me?\Young lady.\Qua...\Give me your hand, s'il vous plaIt.\You don't have to be so shy, my cute one. response:	You bloom like a flower, you fly away like a bird.
context: It doesn't matter what you think.\The prince is mine now.\Prince? Did you call me?\Young lady.\Qua...\Give me your hand, s'il vous plaIt.\You don't have to be so shy, my cute one.\You bloom like a flower, you fly away like a bird. response:	Oh, lovely you!
context: The prince is mine now.\Prince? Did you call me?\Young lady.\Qua...\Give me your hand, s'il vous plaIt.\You don't have to be so shy, my cute one.\You bloom like a flower, you fly away like a bird.\Oh, lovely you! response:	Oh?
context: Prince? Did you call me?\Young lady.\Qua...\Give me your hand, s'il vous plaIt.\You don't have to be so shy, my cute one.\You bloom like a flower, you fly away like a bird.\Oh, lovely you!\Oh? response:	That young lady is truly timid.
context: Young lady.\Qua...\Give me your hand, s'il vous plaIt.\You don't have to be so shy, my cute one.\You bloom like a flower, you fly away like a bird.\Oh, lovely you!\Oh?\That young lady is truly timid. response:	Oh, this cursed body!
context: Qua...\Give me your hand, s'il vous plaIt.\You don't have to be so shy, my cute one.\You bloom like a flower, you fly away like a bird.\Oh, lovely you!\Oh?\That young lady is truly timid.\Oh, this cursed body! response:	Even as they are drawn to me, it prevents them from even approaching me... this beauty!
context: Give me your hand, s'il vous plaIt.\You don't have to be so shy, my cute one.\You bloom like a flower, you fly away like a bird.\Oh, lovely you!\Oh?\That young lady is truly timid.\Oh, this cursed body!\Even as they are drawn to me, it prevents them from even approaching me... this beauty! response:	I feel an intent gaze!
context: You don't have to be so shy, my cute one.\You bloom like a flower, you fly away like a bird.\Oh, lovely you!\Oh?\That young lady is truly timid.\Oh, this cursed body!\Even as they are drawn to me, it prevents them from even approaching me... this beauty!\I feel an intent gaze! response:	Mademoiselle, I beg your pardon for only just now noticing your fervent gaze.
context: You bloom like a flower, you fly away like a bird.\Oh, lovely you!\Oh?\That young lady is truly timid.\Oh, this cursed body!\Even as they are drawn to me, it prevents them from even approaching me... this beauty!\I feel an intent gaze!\Mademoiselle, I beg your pardon for only just now noticing your fervent gaze. response:	You say you're a prince?
context: Oh, lovely you!\Oh?\That young lady is truly timid.\Oh, this cursed body!\Even as they are drawn to me, it prevents them from even approaching me... this beauty!\I feel an intent gaze!\Mademoiselle, I beg your pardon for only just now noticing your fervent gaze.\You say you're a prince? response:	Yes.
context: Oh?\That young lady is truly timid.\Oh, this cursed body!\Even as they are drawn to me, it prevents them from even approaching me... this beauty!\I feel an intent gaze!\Mademoiselle, I beg your pardon for only just now noticing your fervent gaze.\You say you're a prince?\Yes. response:	I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!
context: That young lady is truly timid.\Oh, this cursed body!\Even as they are drawn to me, it prevents them from even approaching me... this beauty!\I feel an intent gaze!\Mademoiselle, I beg your pardon for only just now noticing your fervent gaze.\You say you're a prince?\Yes.\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone! response:	I promise you that someday I will become a great enough man to accept all the love in the world.
context: Oh, this cursed body!\Even as they are drawn to me, it prevents them from even approaching me... this beauty!\I feel an intent gaze!\Mademoiselle, I beg your pardon for only just now noticing your fervent gaze.\You say you're a prince?\Yes.\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\I promise you that someday I will become a great enough man to accept all the love in the world. response:	When that happens, I'm sure no one will be able to help but love me.
context: Even as they are drawn to me, it prevents them from even approaching me... this beauty!\I feel an intent gaze!\Mademoiselle, I beg your pardon for only just now noticing your fervent gaze.\You say you're a prince?\Yes.\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\I promise you that someday I will become a great enough man to accept all the love in the world.\When that happens, I'm sure no one will be able to help but love me. response:	Despite being a crow, you have been born into an ugly human body.
context: I feel an intent gaze!\Mademoiselle, I beg your pardon for only just now noticing your fervent gaze.\You say you're a prince?\Yes.\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\I promise you that someday I will become a great enough man to accept all the love in the world.\When that happens, I'm sure no one will be able to help but love me.\Despite being a crow, you have been born into an ugly human body. response:	And only I and the prince in the story can truly love a pitiful person like you.
context: Mademoiselle, I beg your pardon for only just now noticing your fervent gaze.\You say you're a prince?\Yes.\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\I promise you that someday I will become a great enough man to accept all the love in the world.\When that happens, I'm sure no one will be able to help but love me.\Despite being a crow, you have been born into an ugly human body.\And only I and the prince in the story can truly love a pitiful person like you. response:	What magnificent confidence. You have an almost blinding pride.
context: You say you're a prince?\Yes.\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\I promise you that someday I will become a great enough man to accept all the love in the world.\When that happens, I'm sure no one will be able to help but love me.\Despite being a crow, you have been born into an ugly human body.\And only I and the prince in the story can truly love a pitiful person like you.\What magnificent confidence. You have an almost blinding pride. response:	It's enough to make me hate you.
context: Yes.\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\I promise you that someday I will become a great enough man to accept all the love in the world.\When that happens, I'm sure no one will be able to help but love me.\Despite being a crow, you have been born into an ugly human body.\And only I and the prince in the story can truly love a pitiful person like you.\What magnificent confidence. You have an almost blinding pride.\It's enough to make me hate you. response:	You're wonderful.
context: I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\I promise you that someday I will become a great enough man to accept all the love in the world.\When that happens, I'm sure no one will be able to help but love me.\Despite being a crow, you have been born into an ugly human body.\And only I and the prince in the story can truly love a pitiful person like you.\What magnificent confidence. You have an almost blinding pride.\It's enough to make me hate you.\You're wonderful. response:	Femio-sama, couldn't this possibly by any chance be...
