context: Qing Cang is so ridiculous. response:	He hasn't even won the war yet and he's already started to celebrate.
context: Master, did the Celestial Palace receive bad news?\Even the Heavenly Lord's three princes have come.\No.\The three princes have never been in a war before.\They have come for the experience.\I also happen to need someone with tremendous magic power to lead the army.\This time, I have arranged seven formations.\Each formation has seven variations, for a total of 49 variations. response:	Although the princes have seen the formations
context: Even the Heavenly Lord's three princes have come.\No.\The three princes have never been in a war before.\They have come for the experience.\I also happen to need someone with tremendous magic power to lead the army.\This time, I have arranged seven formations.\Each formation has seven variations, for a total of 49 variations.\Although the princes have seen the formations response:	they have never practiced them in actual combat.
context: No.\The three princes have never been in a war before.\They have come for the experience.\I also happen to need someone with tremendous magic power to lead the army.\This time, I have arranged seven formations.\Each formation has seven variations, for a total of 49 variations.\Although the princes have seen the formations\they have never practiced them in actual combat. response:	Ling Yu.
context: The three princes have never been in a war before.\They have come for the experience.\I also happen to need someone with tremendous magic power to lead the army.\This time, I have arranged seven formations.\Each formation has seven variations, for a total of 49 variations.\Although the princes have seen the formations\they have never practiced them in actual combat.\Ling Yu. response:	Lead 10,000 soldiers as vanguard tomorrow.
context: They have come for the experience.\I also happen to need someone with tremendous magic power to lead the army.\This time, I have arranged seven formations.\Each formation has seven variations, for a total of 49 variations.\Although the princes have seen the formations\they have never practiced them in actual combat.\Ling Yu.\Lead 10,000 soldiers as vanguard tomorrow. response:	That will put me more at ease.
context: I also happen to need someone with tremendous magic power to lead the army.\This time, I have arranged seven formations.\Each formation has seven variations, for a total of 49 variations.\Although the princes have seen the formations\they have never practiced them in actual combat.\Ling Yu.\Lead 10,000 soldiers as vanguard tomorrow.\That will put me more at ease. response:	Yes, Master.
context: This time, I have arranged seven formations.\Each formation has seven variations, for a total of 49 variations.\Although the princes have seen the formations\they have never practiced them in actual combat.\Ling Yu.\Lead 10,000 soldiers as vanguard tomorrow.\That will put me more at ease.\Yes, Master. response:	What about me, Master?
context: Each formation has seven variations, for a total of 49 variations.\Although the princes have seen the formations\they have never practiced them in actual combat.\Ling Yu.\Lead 10,000 soldiers as vanguard tomorrow.\That will put me more at ease.\Yes, Master.\What about me, Master? response:	You will follow me to lead the main force.
context: Although the princes have seen the formations\they have never practiced them in actual combat.\Ling Yu.\Lead 10,000 soldiers as vanguard tomorrow.\That will put me more at ease.\Yes, Master.\What about me, Master?\You will follow me to lead the main force. response:	Yes.
context: they have never practiced them in actual combat.\Ling Yu.\Lead 10,000 soldiers as vanguard tomorrow.\That will put me more at ease.\Yes, Master.\What about me, Master?\You will follow me to lead the main force.\Yes. response:	Although the formations are ingenious, Qing Cang is not one to be taken lightly.
context: Ling Yu.\Lead 10,000 soldiers as vanguard tomorrow.\That will put me more at ease.\Yes, Master.\What about me, Master?\You will follow me to lead the main force.\Yes.\Although the formations are ingenious, Qing Cang is not one to be taken lightly. response:	Do not underestimate him.
context: Lead 10,000 soldiers as vanguard tomorrow.\That will put me more at ease.\Yes, Master.\What about me, Master?\You will follow me to lead the main force.\Yes.\Although the formations are ingenious, Qing Cang is not one to be taken lightly.\Do not underestimate him. response:	Yes, Master. I will not let you down.
context: That will put me more at ease.\Yes, Master.\What about me, Master?\You will follow me to lead the main force.\Yes.\Although the formations are ingenious, Qing Cang is not one to be taken lightly.\Do not underestimate him.\Yes, Master. I will not let you down. response:	Master.
context: Yes, Master.\What about me, Master?\You will follow me to lead the main force.\Yes.\Although the formations are ingenious, Qing Cang is not one to be taken lightly.\Do not underestimate him.\Yes, Master. I will not let you down.\Master. response:	Are you worried about tomorrow's battle?
context: What about me, Master?\You will follow me to lead the main force.\Yes.\Although the formations are ingenious, Qing Cang is not one to be taken lightly.\Do not underestimate him.\Yes, Master. I will not let you down.\Master.\Are you worried about tomorrow's battle? response:	When I think that this place will soon be littered with corpses tomorrow
context: You will follow me to lead the main force.\Yes.\Although the formations are ingenious, Qing Cang is not one to be taken lightly.\Do not underestimate him.\Yes, Master. I will not let you down.\Master.\Are you worried about tomorrow's battle?\When I think that this place will soon be littered with corpses tomorrow response:	I feel it is a shame for Ruoshui Riverbank's beautiful scenery.
context: Yes.\Although the formations are ingenious, Qing Cang is not one to be taken lightly.\Do not underestimate him.\Yes, Master. I will not let you down.\Master.\Are you worried about tomorrow's battle?\When I think that this place will soon be littered with corpses tomorrow\I feel it is a shame for Ruoshui Riverbank's beautiful scenery. response:	This war can at least bring 700,000 years of peace to the world.
context: Although the formations are ingenious, Qing Cang is not one to be taken lightly.\Do not underestimate him.\Yes, Master. I will not let you down.\Master.\Are you worried about tomorrow's battle?\When I think that this place will soon be littered with corpses tomorrow\I feel it is a shame for Ruoshui Riverbank's beautiful scenery.\This war can at least bring 700,000 years of peace to the world. response:	Would it be any better to think of it this way?
context: Do not underestimate him.\Yes, Master. I will not let you down.\Master.\Are you worried about tomorrow's battle?\When I think that this place will soon be littered with corpses tomorrow\I feel it is a shame for Ruoshui Riverbank's beautiful scenery.\This war can at least bring 700,000 years of peace to the world.\Would it be any better to think of it this way? response:	Seventeenth.
context: Yes, Master. I will not let you down.\Master.\Are you worried about tomorrow's battle?\When I think that this place will soon be littered with corpses tomorrow\I feel it is a shame for Ruoshui Riverbank's beautiful scenery.\This war can at least bring 700,000 years of peace to the world.\Would it be any better to think of it this way?\Seventeenth. response:	You once asked me about the method to seal the Bell of the East Emperor.
context: Master.\Are you worried about tomorrow's battle?\When I think that this place will soon be littered with corpses tomorrow\I feel it is a shame for Ruoshui Riverbank's beautiful scenery.\This war can at least bring 700,000 years of peace to the world.\Would it be any better to think of it this way?\Seventeenth.\You once asked me about the method to seal the Bell of the East Emperor. response:	- Do you still remember? - I remember.
context: Are you worried about tomorrow's battle?\When I think that this place will soon be littered with corpses tomorrow\I feel it is a shame for Ruoshui Riverbank's beautiful scenery.\This war can at least bring 700,000 years of peace to the world.\Would it be any better to think of it this way?\Seventeenth.\You once asked me about the method to seal the Bell of the East Emperor.\- Do you still remember? - I remember. response:	I will pass on the spell to you tonight.
context: When I think that this place will soon be littered with corpses tomorrow\I feel it is a shame for Ruoshui Riverbank's beautiful scenery.\This war can at least bring 700,000 years of peace to the world.\Would it be any better to think of it this way?\Seventeenth.\You once asked me about the method to seal the Bell of the East Emperor.\- Do you still remember? - I remember.\I will pass on the spell to you tonight. response:	Really? Thank you, Master.
context: I feel it is a shame for Ruoshui Riverbank's beautiful scenery.\This war can at least bring 700,000 years of peace to the world.\Would it be any better to think of it this way?\Seventeenth.\You once asked me about the method to seal the Bell of the East Emperor.\- Do you still remember? - I remember.\I will pass on the spell to you tonight.\Really? Thank you, Master. response:	I have 17 disciples.
context: This war can at least bring 700,000 years of peace to the world.\Would it be any better to think of it this way?\Seventeenth.\You once asked me about the method to seal the Bell of the East Emperor.\- Do you still remember? - I remember.\I will pass on the spell to you tonight.\Really? Thank you, Master.\I have 17 disciples. response:	You are the one with the most talent and able to perform this spell.
context: Would it be any better to think of it this way?\Seventeenth.\You once asked me about the method to seal the Bell of the East Emperor.\- Do you still remember? - I remember.\I will pass on the spell to you tonight.\Really? Thank you, Master.\I have 17 disciples.\You are the one with the most talent and able to perform this spell. response:	If it were not so
context: Seventeenth.\You once asked me about the method to seal the Bell of the East Emperor.\- Do you still remember? - I remember.\I will pass on the spell to you tonight.\Really? Thank you, Master.\I have 17 disciples.\You are the one with the most talent and able to perform this spell.\If it were not so response:	I really do not wish to impart such a dangerous spell to you.
context: You once asked me about the method to seal the Bell of the East Emperor.\- Do you still remember? - I remember.\I will pass on the spell to you tonight.\Really? Thank you, Master.\I have 17 disciples.\You are the one with the most talent and able to perform this spell.\If it were not so\I really do not wish to impart such a dangerous spell to you. response:	Thank you for your praise, Master.
context: - Do you still remember? - I remember.\I will pass on the spell to you tonight.\Really? Thank you, Master.\I have 17 disciples.\You are the one with the most talent and able to perform this spell.\If it were not so\I really do not wish to impart such a dangerous spell to you.\Thank you for your praise, Master. response:	Could Master have seen through my disguise
context: I will pass on the spell to you tonight.\Really? Thank you, Master.\I have 17 disciples.\You are the one with the most talent and able to perform this spell.\If it were not so\I really do not wish to impart such a dangerous spell to you.\Thank you for your praise, Master.\Could Master have seen through my disguise response:	and know I am the Fox King's daughter?
context: Really? Thank you, Master.\I have 17 disciples.\You are the one with the most talent and able to perform this spell.\If it were not so\I really do not wish to impart such a dangerous spell to you.\Thank you for your praise, Master.\Could Master have seen through my disguise\and know I am the Fox King's daughter? response:	What is the matter?
context: I have 17 disciples.\You are the one with the most talent and able to perform this spell.\If it were not so\I really do not wish to impart such a dangerous spell to you.\Thank you for your praise, Master.\Could Master have seen through my disguise\and know I am the Fox King's daughter?\What is the matter? response:	It's nothing, Master. You can begin.
context: You are the one with the most talent and able to perform this spell.\If it were not so\I really do not wish to impart such a dangerous spell to you.\Thank you for your praise, Master.\Could Master have seen through my disguise\and know I am the Fox King's daughter?\What is the matter?\It's nothing, Master. You can begin. response:	Charge!
context: If it were not so\I really do not wish to impart such a dangerous spell to you.\Thank you for your praise, Master.\Could Master have seen through my disguise\and know I am the Fox King's daughter?\What is the matter?\It's nothing, Master. You can begin.\Charge! response:	Break into the Celestial formation!
context: I really do not wish to impart such a dangerous spell to you.\Thank you for your praise, Master.\Could Master have seen through my disguise\and know I am the Fox King's daughter?\What is the matter?\It's nothing, Master. You can begin.\Charge!\Break into the Celestial formation! response:	Those who behead a general will be conferred a rank of a nobility!
context: Thank you for your praise, Master.\Could Master have seen through my disguise\and know I am the Fox King's daughter?\What is the matter?\It's nothing, Master. You can begin.\Charge!\Break into the Celestial formation!\Those who behead a general will be conferred a rank of a nobility! response:	Attack!
context: Could Master have seen through my disguise\and know I am the Fox King's daughter?\What is the matter?\It's nothing, Master. You can begin.\Charge!\Break into the Celestial formation!\Those who behead a general will be conferred a rank of a nobility!\Attack! response:	Attack!
context: and know I am the Fox King's daughter?\What is the matter?\It's nothing, Master. You can begin.\Charge!\Break into the Celestial formation!\Those who behead a general will be conferred a rank of a nobility!\Attack!\Attack! response:	Attack!
context: What is the matter?\It's nothing, Master. You can begin.\Charge!\Break into the Celestial formation!\Those who behead a general will be conferred a rank of a nobility!\Attack!\Attack!\Attack! response:	Attack!
context: It's nothing, Master. You can begin.\Charge!\Break into the Celestial formation!\Those who behead a general will be conferred a rank of a nobility!\Attack!\Attack!\Attack!\Attack! response:	The formation has been broken!
context: Charge!\Break into the Celestial formation!\Those who behead a general will be conferred a rank of a nobility!\Attack!\Attack!\Attack!\Attack!\The formation has been broken! response:	Impossible! How could the formation be so quickly broken?
context: Break into the Celestial formation!\Those who behead a general will be conferred a rank of a nobility!\Attack!\Attack!\Attack!\Attack!\The formation has been broken!\Impossible! How could the formation be so quickly broken? response:	Li Jing, don't go!
context: Those who behead a general will be conferred a rank of a nobility!\Attack!\Attack!\Attack!\Attack!\The formation has been broken!\Impossible! How could the formation be so quickly broken?\Li Jing, don't go! response:	I cannot watch A-Yin die.
context: Attack!\Attack!\Attack!\Attack!\The formation has been broken!\Impossible! How could the formation be so quickly broken?\Li Jing, don't go!\I cannot watch A-Yin die. response:	Li Jing, you clearly know-
context: Attack!\Attack!\Attack!\The formation has been broken!\Impossible! How could the formation be so quickly broken?\Li Jing, don't go!\I cannot watch A-Yin die.\Li Jing, you clearly know- response:	You clearly know they will undoubtedly lose.
context: Attack!\Attack!\The formation has been broken!\Impossible! How could the formation be so quickly broken?\Li Jing, don't go!\I cannot watch A-Yin die.\Li Jing, you clearly know-\You clearly know they will undoubtedly lose. response:	Why must you still go?
context: Attack!\The formation has been broken!\Impossible! How could the formation be so quickly broken?\Li Jing, don't go!\I cannot watch A-Yin die.\Li Jing, you clearly know-\You clearly know they will undoubtedly lose.\Why must you still go? response:	Is it really as Li Yuan says?
context: The formation has been broken!\Impossible! How could the formation be so quickly broken?\Li Jing, don't go!\I cannot watch A-Yin die.\Li Jing, you clearly know-\You clearly know they will undoubtedly lose.\Why must you still go?\Is it really as Li Yuan says? response:	The one you like is Si Yin?
context: Impossible! How could the formation be so quickly broken?\Li Jing, don't go!\I cannot watch A-Yin die.\Li Jing, you clearly know-\You clearly know they will undoubtedly lose.\Why must you still go?\Is it really as Li Yuan says?\The one you like is Si Yin? response:	Ninth!
context: Li Jing, don't go!\I cannot watch A-Yin die.\Li Jing, you clearly know-\You clearly know they will undoubtedly lose.\Why must you still go?\Is it really as Li Yuan says?\The one you like is Si Yin?\Ninth! response:	Seventeenth!
context: I cannot watch A-Yin die.\Li Jing, you clearly know-\You clearly know they will undoubtedly lose.\Why must you still go?\Is it really as Li Yuan says?\The one you like is Si Yin?\Ninth!\Seventeenth! response:	Seventeenth, don't come any closer!
context: Li Jing, you clearly know-\You clearly know they will undoubtedly lose.\Why must you still go?\Is it really as Li Yuan says?\The one you like is Si Yin?\Ninth!\Seventeenth!\Seventeenth, don't come any closer! response:	Ninth!
context: You clearly know they will undoubtedly lose.\Why must you still go?\Is it really as Li Yuan says?\The one you like is Si Yin?\Ninth!\Seventeenth!\Seventeenth, don't come any closer!\Ninth! response:	Ninth!
context: Why must you still go?\Is it really as Li Yuan says?\The one you like is Si Yin?\Ninth!\Seventeenth!\Seventeenth, don't come any closer!\Ninth!\Ninth! response:	Ninth.
context: Is it really as Li Yuan says?\The one you like is Si Yin?\Ninth!\Seventeenth!\Seventeenth, don't come any closer!\Ninth!\Ninth!\Ninth. response:	Ninth!
context: The one you like is Si Yin?\Ninth!\Seventeenth!\Seventeenth, don't come any closer!\Ninth!\Ninth!\Ninth.\Ninth! response:	Ninth!
context: Ninth!\Seventeenth!\Seventeenth, don't come any closer!\Ninth!\Ninth!\Ninth.\Ninth!\Ninth! response:	Ninth! Ninth!
context: Seventeenth!\Seventeenth, don't come any closer!\Ninth!\Ninth!\Ninth.\Ninth!\Ninth!\Ninth! Ninth! response:	Seventeenth.
context: Seventeenth, don't come any closer!\Ninth!\Ninth!\Ninth.\Ninth!\Ninth!\Ninth! Ninth!\Seventeenth. response:	Leave quickly.
context: Ninth!\Ninth!\Ninth.\Ninth!\Ninth!\Ninth! Ninth!\Seventeenth.\Leave quickly. response:	Ninth!
context: Ninth!\Ninth.\Ninth!\Ninth!\Ninth! Ninth!\Seventeenth.\Leave quickly.\Ninth! response:	Ninth, hold on!
context: Ninth.\Ninth!\Ninth!\Ninth! Ninth!\Seventeenth.\Leave quickly.\Ninth!\Ninth, hold on! response:	Ninth! Ninth!
context: Ninth!\Ninth!\Ninth! Ninth!\Seventeenth.\Leave quickly.\Ninth!\Ninth, hold on!\Ninth! Ninth! response:	Wake up, Ninth!
context: Ninth!\Ninth! Ninth!\Seventeenth.\Leave quickly.\Ninth!\Ninth, hold on!\Ninth! Ninth!\Wake up, Ninth! response:	Ninth! Ninth!
context: Ninth! Ninth!\Seventeenth.\Leave quickly.\Ninth!\Ninth, hold on!\Ninth! Ninth!\Wake up, Ninth!\Ninth! Ninth! response:	I'll get you out of here.
context: Seventeenth.\Leave quickly.\Ninth!\Ninth, hold on!\Ninth! Ninth!\Wake up, Ninth!\Ninth! Ninth!\I'll get you out of here. response:	Master will definitely be able to save you.
context: Leave quickly.\Ninth!\Ninth, hold on!\Ninth! Ninth!\Wake up, Ninth!\Ninth! Ninth!\I'll get you out of here.\Master will definitely be able to save you. response:	Ninth.
context: Ninth!\Ninth, hold on!\Ninth! Ninth!\Wake up, Ninth!\Ninth! Ninth!\I'll get you out of here.\Master will definitely be able to save you.\Ninth. response:	Ninth!
context: Ninth, hold on!\Ninth! Ninth!\Wake up, Ninth!\Ninth! Ninth!\I'll get you out of here.\Master will definitely be able to save you.\Ninth.\Ninth! response:	Si Yin.
context: Ninth! Ninth!\Wake up, Ninth!\Ninth! Ninth!\I'll get you out of here.\Master will definitely be able to save you.\Ninth.\Ninth!\Si Yin. response:	You should worry about whether you yourself can escape.
context: Wake up, Ninth!\Ninth! Ninth!\I'll get you out of here.\Master will definitely be able to save you.\Ninth.\Ninth!\Si Yin.\You should worry about whether you yourself can escape. response:	Li Jing!
context: Ninth! Ninth!\I'll get you out of here.\Master will definitely be able to save you.\Ninth.\Ninth!\Si Yin.\You should worry about whether you yourself can escape.\Li Jing! response:	You dare side with the enemy?
context: I'll get you out of here.\Master will definitely be able to save you.\Ninth.\Ninth!\Si Yin.\You should worry about whether you yourself can escape.\Li Jing!\You dare side with the enemy? response:	The formation was broken by my men.
context: Master will definitely be able to save you.\Ninth.\Ninth!\Si Yin.\You should worry about whether you yourself can escape.\Li Jing!\You dare side with the enemy?\The formation was broken by my men. response:	Naturally, I should be the one to take the credit.
context: Ninth.\Ninth!\Si Yin.\You should worry about whether you yourself can escape.\Li Jing!\You dare side with the enemy?\The formation was broken by my men.\Naturally, I should be the one to take the credit. response:	What's the matter?
context: Ninth!\Si Yin.\You should worry about whether you yourself can escape.\Li Jing!\You dare side with the enemy?\The formation was broken by my men.\Naturally, I should be the one to take the credit.\What's the matter? response:	Do I not even have the right to keep one person alive?
context: Si Yin.\You should worry about whether you yourself can escape.\Li Jing!\You dare side with the enemy?\The formation was broken by my men.\Naturally, I should be the one to take the credit.\What's the matter?\Do I not even have the right to keep one person alive? response:	All right.
context: You should worry about whether you yourself can escape.\Li Jing!\You dare side with the enemy?\The formation was broken by my men.\Naturally, I should be the one to take the credit.\What's the matter?\Do I not even have the right to keep one person alive?\All right. response:	You are correct.
context: Li Jing!\You dare side with the enemy?\The formation was broken by my men.\Naturally, I should be the one to take the credit.\What's the matter?\Do I not even have the right to keep one person alive?\All right.\You are correct. response:	Your Xuan Nu has indeed earned merit.
context: You dare side with the enemy?\The formation was broken by my men.\Naturally, I should be the one to take the credit.\What's the matter?\Do I not even have the right to keep one person alive?\All right.\You are correct.\Your Xuan Nu has indeed earned merit. response:	She helped you steal the tactical formation strategy
context: The formation was broken by my men.\Naturally, I should be the one to take the credit.\What's the matter?\Do I not even have the right to keep one person alive?\All right.\You are correct.\Your Xuan Nu has indeed earned merit.\She helped you steal the tactical formation strategy response:	and gained you an advantage.
context: Naturally, I should be the one to take the credit.\What's the matter?\Do I not even have the right to keep one person alive?\All right.\You are correct.\Your Xuan Nu has indeed earned merit.\She helped you steal the tactical formation strategy\and gained you an advantage. response:	But now, you dare to openly defend the enemy!
context: What's the matter?\Do I not even have the right to keep one person alive?\All right.\You are correct.\Your Xuan Nu has indeed earned merit.\She helped you steal the tactical formation strategy\and gained you an advantage.\But now, you dare to openly defend the enemy! response:	I also have the right to execute you on the spot!
context: Do I not even have the right to keep one person alive?\All right.\You are correct.\Your Xuan Nu has indeed earned merit.\She helped you steal the tactical formation strategy\and gained you an advantage.\But now, you dare to openly defend the enemy!\I also have the right to execute you on the spot! response:	What did he just say?
context: All right.\You are correct.\Your Xuan Nu has indeed earned merit.\She helped you steal the tactical formation strategy\and gained you an advantage.\But now, you dare to openly defend the enemy!\I also have the right to execute you on the spot!\What did he just say? response:	A-Yin, I will explain this to you later.
context: You are correct.\Your Xuan Nu has indeed earned merit.\She helped you steal the tactical formation strategy\and gained you an advantage.\But now, you dare to openly defend the enemy!\I also have the right to execute you on the spot!\What did he just say?\A-Yin, I will explain this to you later. response:	Li Jing.
context: Your Xuan Nu has indeed earned merit.\She helped you steal the tactical formation strategy\and gained you an advantage.\But now, you dare to openly defend the enemy!\I also have the right to execute you on the spot!\What did he just say?\A-Yin, I will explain this to you later.\Li Jing. response:	You had Xuan Nu steal
context: She helped you steal the tactical formation strategy\and gained you an advantage.\But now, you dare to openly defend the enemy!\I also have the right to execute you on the spot!\What did he just say?\A-Yin, I will explain this to you later.\Li Jing.\You had Xuan Nu steal response:	our Kunlun Mountain tactical formation strategy?
context: and gained you an advantage.\But now, you dare to openly defend the enemy!\I also have the right to execute you on the spot!\What did he just say?\A-Yin, I will explain this to you later.\Li Jing.\You had Xuan Nu steal\our Kunlun Mountain tactical formation strategy? response:	A-Yin, I...
context: But now, you dare to openly defend the enemy!\I also have the right to execute you on the spot!\What did he just say?\A-Yin, I will explain this to you later.\Li Jing.\You had Xuan Nu steal\our Kunlun Mountain tactical formation strategy?\A-Yin, I... response:	God Mo Yuan.
context: I also have the right to execute you on the spot!\What did he just say?\A-Yin, I will explain this to you later.\Li Jing.\You had Xuan Nu steal\our Kunlun Mountain tactical formation strategy?\A-Yin, I...\God Mo Yuan. response:	Master! Master!
context: What did he just say?\A-Yin, I will explain this to you later.\Li Jing.\You had Xuan Nu steal\our Kunlun Mountain tactical formation strategy?\A-Yin, I...\God Mo Yuan.\Master! Master! response:	Master, hurry and save Ninth.
context: A-Yin, I will explain this to you later.\Li Jing.\You had Xuan Nu steal\our Kunlun Mountain tactical formation strategy?\A-Yin, I...\God Mo Yuan.\Master! Master!\Master, hurry and save Ninth. response:	Send word to Die Feng.
context: Li Jing.\You had Xuan Nu steal\our Kunlun Mountain tactical formation strategy?\A-Yin, I...\God Mo Yuan.\Master! Master!\Master, hurry and save Ninth.\Send word to Die Feng. response:	Have him come
context: You had Xuan Nu steal\our Kunlun Mountain tactical formation strategy?\A-Yin, I...\God Mo Yuan.\Master! Master!\Master, hurry and save Ninth.\Send word to Die Feng.\Have him come response:	and take Ling Yu's body back to Kunlun Mountain.
context: our Kunlun Mountain tactical formation strategy?\A-Yin, I...\God Mo Yuan.\Master! Master!\Master, hurry and save Ninth.\Send word to Die Feng.\Have him come\and take Ling Yu's body back to Kunlun Mountain. response:	Master!
context: A-Yin, I...\God Mo Yuan.\Master! Master!\Master, hurry and save Ninth.\Send word to Die Feng.\Have him come\and take Ling Yu's body back to Kunlun Mountain.\Master! response:	Not even you can save Ninth?
context: God Mo Yuan.\Master! Master!\Master, hurry and save Ninth.\Send word to Die Feng.\Have him come\and take Ling Yu's body back to Kunlun Mountain.\Master!\Not even you can save Ninth? response:	Ninth! Ninth!
context: Master! Master!\Master, hurry and save Ninth.\Send word to Die Feng.\Have him come\and take Ling Yu's body back to Kunlun Mountain.\Master!\Not even you can save Ninth?\Ninth! Ninth! response:	I'm sorry, Seventeenth.
context: Master, hurry and save Ninth.\Send word to Die Feng.\Have him come\and take Ling Yu's body back to Kunlun Mountain.\Master!\Not even you can save Ninth?\Ninth! Ninth!\I'm sorry, Seventeenth. response:	This time, there is nothing I can do either.
context: Send word to Die Feng.\Have him come\and take Ling Yu's body back to Kunlun Mountain.\Master!\Not even you can save Ninth?\Ninth! Ninth!\I'm sorry, Seventeenth.\This time, there is nothing I can do either. response:	It's all my fault.
context: Have him come\and take Ling Yu's body back to Kunlun Mountain.\Master!\Not even you can save Ninth?\Ninth! Ninth!\I'm sorry, Seventeenth.\This time, there is nothing I can do either.\It's all my fault. response:	Master, it's all my fault.
context: and take Ling Yu's body back to Kunlun Mountain.\Master!\Not even you can save Ninth?\Ninth! Ninth!\I'm sorry, Seventeenth.\This time, there is nothing I can do either.\It's all my fault.\Master, it's all my fault. response:	If I had noticed earlier, Ninth wouldn't have died.
context: Master!\Not even you can save Ninth?\Ninth! Ninth!\I'm sorry, Seventeenth.\This time, there is nothing I can do either.\It's all my fault.\Master, it's all my fault.\If I had noticed earlier, Ninth wouldn't have died. response:	This isn't your fault.
