context: Go, go! response:	Wow!
context: Ah! You're right.\Maybe you'll be a pro swimmer and capture the gold!\No...!\I don't get it, but maybe talking about being a pro swimmer is...\Oh, no! Kirie might not like being told stuff like that!\Oh, no! I've displeased my Master!\I, um, I'm sorry, Master.\Huh? response:	A storybook?
context: Maybe you'll be a pro swimmer and capture the gold!\No...!\I don't get it, but maybe talking about being a pro swimmer is...\Oh, no! Kirie might not like being told stuff like that!\Oh, no! I've displeased my Master!\I, um, I'm sorry, Master.\Huh?\A storybook? response:	Kirinrin.
context: No...!\I don't get it, but maybe talking about being a pro swimmer is...\Oh, no! Kirie might not like being told stuff like that!\Oh, no! I've displeased my Master!\I, um, I'm sorry, Master.\Huh?\A storybook?\Kirinrin. response:	Kiri...
context: I don't get it, but maybe talking about being a pro swimmer is...\Oh, no! Kirie might not like being told stuff like that!\Oh, no! I've displeased my Master!\I, um, I'm sorry, Master.\Huh?\A storybook?\Kirinrin.\Kiri... response:	Say, was it YOU who wrote this?
context: Oh, no! Kirie might not like being told stuff like that!\Oh, no! I've displeased my Master!\I, um, I'm sorry, Master.\Huh?\A storybook?\Kirinrin.\Kiri...\Say, was it YOU who wrote this? response:	Y-yes!
context: Oh, no! I've displeased my Master!\I, um, I'm sorry, Master.\Huh?\A storybook?\Kirinrin.\Kiri...\Say, was it YOU who wrote this?\Y-yes! response:	I'm sorry. I meant no disrespect.
context: I, um, I'm sorry, Master.\Huh?\A storybook?\Kirinrin.\Kiri...\Say, was it YOU who wrote this?\Y-yes!\I'm sorry. I meant no disrespect. response:	I-I mean... I...
context: Huh?\A storybook?\Kirinrin.\Kiri...\Say, was it YOU who wrote this?\Y-yes!\I'm sorry. I meant no disrespect.\I-I mean... I... response:	I want to... to be a... storybook author!
context: A storybook?\Kirinrin.\Kiri...\Say, was it YOU who wrote this?\Y-yes!\I'm sorry. I meant no disrespect.\I-I mean... I...\I want to... to be a... storybook author! response:	A storybook author?
context: Kirinrin.\Kiri...\Say, was it YOU who wrote this?\Y-yes!\I'm sorry. I meant no disrespect.\I-I mean... I...\I want to... to be a... storybook author!\A storybook author? response:	So, it's a storybook author you've wanted to be.
context: Kiri...\Say, was it YOU who wrote this?\Y-yes!\I'm sorry. I meant no disrespect.\I-I mean... I...\I want to... to be a... storybook author!\A storybook author?\So, it's a storybook author you've wanted to be. response:	That's awesome, Kirie!
context: Say, was it YOU who wrote this?\Y-yes!\I'm sorry. I meant no disrespect.\I-I mean... I...\I want to... to be a... storybook author!\A storybook author?\So, it's a storybook author you've wanted to be.\That's awesome, Kirie! response:	Huh?!
context: Y-yes!\I'm sorry. I meant no disrespect.\I-I mean... I...\I want to... to be a... storybook author!\A storybook author?\So, it's a storybook author you've wanted to be.\That's awesome, Kirie!\Huh?! response:	Hey, can I take a look?
context: I'm sorry. I meant no disrespect.\I-I mean... I...\I want to... to be a... storybook author!\A storybook author?\So, it's a storybook author you've wanted to be.\That's awesome, Kirie!\Huh?!\Hey, can I take a look? response:	N-no! I-I'm sorry. I'm embarrassed!
context: I-I mean... I...\I want to... to be a... storybook author!\A storybook author?\So, it's a storybook author you've wanted to be.\That's awesome, Kirie!\Huh?!\Hey, can I take a look?\N-no! I-I'm sorry. I'm embarrassed! response:	Naah, come on!
context: I want to... to be a... storybook author!\A storybook author?\So, it's a storybook author you've wanted to be.\That's awesome, Kirie!\Huh?!\Hey, can I take a look?\N-no! I-I'm sorry. I'm embarrassed!\Naah, come on! response:	I wanna see it. What's it about?
context: A storybook author?\So, it's a storybook author you've wanted to be.\That's awesome, Kirie!\Huh?!\Hey, can I take a look?\N-no! I-I'm sorry. I'm embarrassed!\Naah, come on!\I wanna see it. What's it about? response:	P-please forgive me, Master!
context: So, it's a storybook author you've wanted to be.\That's awesome, Kirie!\Huh?!\Hey, can I take a look?\N-no! I-I'm sorry. I'm embarrassed!\Naah, come on!\I wanna see it. What's it about?\P-please forgive me, Master! response:	Huh? For real?
context: That's awesome, Kirie!\Huh?!\Hey, can I take a look?\N-no! I-I'm sorry. I'm embarrassed!\Naah, come on!\I wanna see it. What's it about?\P-please forgive me, Master!\Huh? For real? response:	Shpaaan!
context: Huh?!\Hey, can I take a look?\N-no! I-I'm sorry. I'm embarrassed!\Naah, come on!\I wanna see it. What's it about?\P-please forgive me, Master!\Huh? For real?\Shpaaan! response:	I know, right?
context: Hey, can I take a look?\N-no! I-I'm sorry. I'm embarrassed!\Naah, come on!\I wanna see it. What's it about?\P-please forgive me, Master!\Huh? For real?\Shpaaan!\I know, right? response:	Yes!
context: N-no! I-I'm sorry. I'm embarrassed!\Naah, come on!\I wanna see it. What's it about?\P-please forgive me, Master!\Huh? For real?\Shpaaan!\I know, right?\Yes! response:	Ah, Sylphin.
context: Naah, come on!\I wanna see it. What's it about?\P-please forgive me, Master!\Huh? For real?\Shpaaan!\I know, right?\Yes!\Ah, Sylphin. response:	Huh? A kimono.
context: I wanna see it. What's it about?\P-please forgive me, Master!\Huh? For real?\Shpaaan!\I know, right?\Yes!\Ah, Sylphin.\Huh? A kimono. response:	Oh, good morning, Kirie.
context: P-please forgive me, Master!\Huh? For real?\Shpaaan!\I know, right?\Yes!\Ah, Sylphin.\Huh? A kimono.\Oh, good morning, Kirie. response:	Everyone, are you aware what day it is today?
context: Huh? For real?\Shpaaan!\I know, right?\Yes!\Ah, Sylphin.\Huh? A kimono.\Oh, good morning, Kirie.\Everyone, are you aware what day it is today? response:	March 5th, right?
context: Shpaaan!\I know, right?\Yes!\Ah, Sylphin.\Huh? A kimono.\Oh, good morning, Kirie.\Everyone, are you aware what day it is today?\March 5th, right? response:	Yes! And March 5th is Girls' Day, when girls dress in traditional Japanese clothing!
context: I know, right?\Yes!\Ah, Sylphin.\Huh? A kimono.\Oh, good morning, Kirie.\Everyone, are you aware what day it is today?\March 5th, right?\Yes! And March 5th is Girls' Day, when girls dress in traditional Japanese clothing! response:	I'm pretty sure it's on March 3rd...
context: Yes!\Ah, Sylphin.\Huh? A kimono.\Oh, good morning, Kirie.\Everyone, are you aware what day it is today?\March 5th, right?\Yes! And March 5th is Girls' Day, when girls dress in traditional Japanese clothing!\I'm pretty sure it's on March 3rd... response:	It may be over, but we can still wear our kimonos, right?
context: Ah, Sylphin.\Huh? A kimono.\Oh, good morning, Kirie.\Everyone, are you aware what day it is today?\March 5th, right?\Yes! And March 5th is Girls' Day, when girls dress in traditional Japanese clothing!\I'm pretty sure it's on March 3rd...\It may be over, but we can still wear our kimonos, right? response:	Note: On this day, elaborate dolls are put out on display. That's right! And it's still okay to keep the dolls out.
context: Huh? A kimono.\Oh, good morning, Kirie.\Everyone, are you aware what day it is today?\March 5th, right?\Yes! And March 5th is Girls' Day, when girls dress in traditional Japanese clothing!\I'm pretty sure it's on March 3rd...\It may be over, but we can still wear our kimonos, right?\Note: On this day, elaborate dolls are put out on display. That's right! And it's still okay to keep the dolls out. response:	Really?
context: Oh, good morning, Kirie.\Everyone, are you aware what day it is today?\March 5th, right?\Yes! And March 5th is Girls' Day, when girls dress in traditional Japanese clothing!\I'm pretty sure it's on March 3rd...\It may be over, but we can still wear our kimonos, right?\Note: On this day, elaborate dolls are put out on display. That's right! And it's still okay to keep the dolls out.\Really? response:	Yup, right up until Insect Awakening Day!
context: Everyone, are you aware what day it is today?\March 5th, right?\Yes! And March 5th is Girls' Day, when girls dress in traditional Japanese clothing!\I'm pretty sure it's on March 3rd...\It may be over, but we can still wear our kimonos, right?\Note: On this day, elaborate dolls are put out on display. That's right! And it's still okay to keep the dolls out.\Really?\Yup, right up until Insect Awakening Day! response:	Come to think of it, some areas keep them out until the 4th... so, we're fine!
context: March 5th, right?\Yes! And March 5th is Girls' Day, when girls dress in traditional Japanese clothing!\I'm pretty sure it's on March 3rd...\It may be over, but we can still wear our kimonos, right?\Note: On this day, elaborate dolls are put out on display. That's right! And it's still okay to keep the dolls out.\Really?\Yup, right up until Insect Awakening Day!\Come to think of it, some areas keep them out until the 4th... so, we're fine! response:	Sylphin looks so different in a kimono, doesn't she?
context: Yes! And March 5th is Girls' Day, when girls dress in traditional Japanese clothing!\I'm pretty sure it's on March 3rd...\It may be over, but we can still wear our kimonos, right?\Note: On this day, elaborate dolls are put out on display. That's right! And it's still okay to keep the dolls out.\Really?\Yup, right up until Insect Awakening Day!\Come to think of it, some areas keep them out until the 4th... so, we're fine!\Sylphin looks so different in a kimono, doesn't she? response:	Yup!
context: I'm pretty sure it's on March 3rd...\It may be over, but we can still wear our kimonos, right?\Note: On this day, elaborate dolls are put out on display. That's right! And it's still okay to keep the dolls out.\Really?\Yup, right up until Insect Awakening Day!\Come to think of it, some areas keep them out until the 4th... so, we're fine!\Sylphin looks so different in a kimono, doesn't she?\Yup! response:	She's always wearing the same thing...
context: It may be over, but we can still wear our kimonos, right?\Note: On this day, elaborate dolls are put out on display. That's right! And it's still okay to keep the dolls out.\Really?\Yup, right up until Insect Awakening Day!\Come to think of it, some areas keep them out until the 4th... so, we're fine!\Sylphin looks so different in a kimono, doesn't she?\Yup!\She's always wearing the same thing... response:	Indeed, this year was the first time I've worn a kimono!
context: Note: On this day, elaborate dolls are put out on display. That's right! And it's still okay to keep the dolls out.\Really?\Yup, right up until Insect Awakening Day!\Come to think of it, some areas keep them out until the 4th... so, we're fine!\Sylphin looks so different in a kimono, doesn't she?\Yup!\She's always wearing the same thing...\Indeed, this year was the first time I've worn a kimono! response:	The three of us wore kimonos at the department store one time, didn't we?
context: Really?\Yup, right up until Insect Awakening Day!\Come to think of it, some areas keep them out until the 4th... so, we're fine!\Sylphin looks so different in a kimono, doesn't she?\Yup!\She's always wearing the same thing...\Indeed, this year was the first time I've worn a kimono!\The three of us wore kimonos at the department store one time, didn't we? response:	Oh, that's right!
context: Yup, right up until Insect Awakening Day!\Come to think of it, some areas keep them out until the 4th... so, we're fine!\Sylphin looks so different in a kimono, doesn't she?\Yup!\She's always wearing the same thing...\Indeed, this year was the first time I've worn a kimono!\The three of us wore kimonos at the department store one time, didn't we?\Oh, that's right! response:	Shugaaan!
context: Come to think of it, some areas keep them out until the 4th... so, we're fine!\Sylphin looks so different in a kimono, doesn't she?\Yup!\She's always wearing the same thing...\Indeed, this year was the first time I've worn a kimono!\The three of us wore kimonos at the department store one time, didn't we?\Oh, that's right!\Shugaaan! response:	No! M-me too!
context: Sylphin looks so different in a kimono, doesn't she?\Yup!\She's always wearing the same thing...\Indeed, this year was the first time I've worn a kimono!\The three of us wore kimonos at the department store one time, didn't we?\Oh, that's right!\Shugaaan!\No! M-me too! response:	Squaring off against Sylphin makes Kirie rather active... Leaving me out is unfair indeed! I wish to take a photo as well!
context: Yup!\She's always wearing the same thing...\Indeed, this year was the first time I've worn a kimono!\The three of us wore kimonos at the department store one time, didn't we?\Oh, that's right!\Shugaaan!\No! M-me too!\Squaring off against Sylphin makes Kirie rather active... Leaving me out is unfair indeed! I wish to take a photo as well! response:	Leaving me out is unfair indeed! I wish to take a photo as well!
context: She's always wearing the same thing...\Indeed, this year was the first time I've worn a kimono!\The three of us wore kimonos at the department store one time, didn't we?\Oh, that's right!\Shugaaan!\No! M-me too!\Squaring off against Sylphin makes Kirie rather active... Leaving me out is unfair indeed! I wish to take a photo as well!\Leaving me out is unfair indeed! I wish to take a photo as well! response:	So...
context: Indeed, this year was the first time I've worn a kimono!\The three of us wore kimonos at the department store one time, didn't we?\Oh, that's right!\Shugaaan!\No! M-me too!\Squaring off against Sylphin makes Kirie rather active... Leaving me out is unfair indeed! I wish to take a photo as well!\Leaving me out is unfair indeed! I wish to take a photo as well!\So... response:	Let's all four of us go take a photo.
context: The three of us wore kimonos at the department store one time, didn't we?\Oh, that's right!\Shugaaan!\No! M-me too!\Squaring off against Sylphin makes Kirie rather active... Leaving me out is unfair indeed! I wish to take a photo as well!\Leaving me out is unfair indeed! I wish to take a photo as well!\So...\Let's all four of us go take a photo. response:	We shall, indeed!
context: Oh, that's right!\Shugaaan!\No! M-me too!\Squaring off against Sylphin makes Kirie rather active... Leaving me out is unfair indeed! I wish to take a photo as well!\Leaving me out is unfair indeed! I wish to take a photo as well!\So...\Let's all four of us go take a photo.\We shall, indeed! response:	Huh? We're not going to Nyaon?
context: Shugaaan!\No! M-me too!\Squaring off against Sylphin makes Kirie rather active... Leaving me out is unfair indeed! I wish to take a photo as well!\Leaving me out is unfair indeed! I wish to take a photo as well!\So...\Let's all four of us go take a photo.\We shall, indeed!\Huh? We're not going to Nyaon? response:	We don't have to go to a department store. We can take a splendid photo at my house!
context: No! M-me too!\Squaring off against Sylphin makes Kirie rather active... Leaving me out is unfair indeed! I wish to take a photo as well!\Leaving me out is unfair indeed! I wish to take a photo as well!\So...\Let's all four of us go take a photo.\We shall, indeed!\Huh? We're not going to Nyaon?\We don't have to go to a department store. We can take a splendid photo at my house! response:	After all, my mother is...
context: Squaring off against Sylphin makes Kirie rather active... Leaving me out is unfair indeed! I wish to take a photo as well!\Leaving me out is unfair indeed! I wish to take a photo as well!\So...\Let's all four of us go take a photo.\We shall, indeed!\Huh? We're not going to Nyaon?\We don't have to go to a department store. We can take a splendid photo at my house!\After all, my mother is... response:	Are these your friends?
context: Leaving me out is unfair indeed! I wish to take a photo as well!\So...\Let's all four of us go take a photo.\We shall, indeed!\Huh? We're not going to Nyaon?\We don't have to go to a department store. We can take a splendid photo at my house!\After all, my mother is...\Are these your friends? response:	Mother!
context: So...\Let's all four of us go take a photo.\We shall, indeed!\Huh? We're not going to Nyaon?\We don't have to go to a department store. We can take a splendid photo at my house!\After all, my mother is...\Are these your friends?\Mother! response:	That's her mom?!
context: Let's all four of us go take a photo.\We shall, indeed!\Huh? We're not going to Nyaon?\We don't have to go to a department store. We can take a splendid photo at my house!\After all, my mother is...\Are these your friends?\Mother!\That's her mom?! response:	She's so young!
context: We shall, indeed!\Huh? We're not going to Nyaon?\We don't have to go to a department store. We can take a splendid photo at my house!\After all, my mother is...\Are these your friends?\Mother!\That's her mom?!\She's so young! response:	Indeed, I am her mother.
context: Huh? We're not going to Nyaon?\We don't have to go to a department store. We can take a splendid photo at my house!\After all, my mother is...\Are these your friends?\Mother!\That's her mom?!\She's so young!\Indeed, I am her mother. response:	Shpa!
context: We don't have to go to a department store. We can take a splendid photo at my house!\After all, my mother is...\Are these your friends?\Mother!\That's her mom?!\She's so young!\Indeed, I am her mother.\Shpa! response:	Shpa!
context: After all, my mother is...\Are these your friends?\Mother!\That's her mom?!\She's so young!\Indeed, I am her mother.\Shpa!\Shpa! response:	You must be Umaru, yes?
context: Are these your friends?\Mother!\That's her mom?!\She's so young!\Indeed, I am her mother.\Shpa!\Shpa!\You must be Umaru, yes? response:	Huh? Y-yes.
context: Mother!\That's her mom?!\She's so young!\Indeed, I am her mother.\Shpa!\Shpa!\You must be Umaru, yes?\Huh? Y-yes. response:	Such elegance... such an aura!
context: That's her mom?!\She's so young!\Indeed, I am her mother.\Shpa!\Shpa!\You must be Umaru, yes?\Huh? Y-yes.\Such elegance... such an aura! response:	All your body's numerical values adhere to the golden ratio!
context: She's so young!\Indeed, I am her mother.\Shpa!\Shpa!\You must be Umaru, yes?\Huh? Y-yes.\Such elegance... such an aura!\All your body's numerical values adhere to the golden ratio! response:	Truly, it is the Divine Proportion!
context: Indeed, I am her mother.\Shpa!\Shpa!\You must be Umaru, yes?\Huh? Y-yes.\Such elegance... such an aura!\All your body's numerical values adhere to the golden ratio!\Truly, it is the Divine Proportion! response:	Do you have some regimen to accentuate your beauty?
context: Shpa!\Shpa!\You must be Umaru, yes?\Huh? Y-yes.\Such elegance... such an aura!\All your body's numerical values adhere to the golden ratio!\Truly, it is the Divine Proportion!\Do you have some regimen to accentuate your beauty? response:	Uh...
context: Shpa!\You must be Umaru, yes?\Huh? Y-yes.\Such elegance... such an aura!\All your body's numerical values adhere to the golden ratio!\Truly, it is the Divine Proportion!\Do you have some regimen to accentuate your beauty?\Uh... response:	No, no, no! I want it, I want it, I want it!
context: You must be Umaru, yes?\Huh? Y-yes.\Such elegance... such an aura!\All your body's numerical values adhere to the golden ratio!\Truly, it is the Divine Proportion!\Do you have some regimen to accentuate your beauty?\Uh...\No, no, no! I want it, I want it, I want it! response:	Bl-bleegh!
context: Huh? Y-yes.\Such elegance... such an aura!\All your body's numerical values adhere to the golden ratio!\Truly, it is the Divine Proportion!\Do you have some regimen to accentuate your beauty?\Uh...\No, no, no! I want it, I want it, I want it!\Bl-bleegh! response:	N-not especially...
context: Such elegance... such an aura!\All your body's numerical values adhere to the golden ratio!\Truly, it is the Divine Proportion!\Do you have some regimen to accentuate your beauty?\Uh...\No, no, no! I want it, I want it, I want it!\Bl-bleegh!\N-not especially... response:	Well, Sylph?
context: All your body's numerical values adhere to the golden ratio!\Truly, it is the Divine Proportion!\Do you have some regimen to accentuate your beauty?\Uh...\No, no, no! I want it, I want it, I want it!\Bl-bleegh!\N-not especially...\Well, Sylph? response:	Shall we guide them to that room?
context: Truly, it is the Divine Proportion!\Do you have some regimen to accentuate your beauty?\Uh...\No, no, no! I want it, I want it, I want it!\Bl-bleegh!\N-not especially...\Well, Sylph?\Shall we guide them to that room? response:	My mother has won the All-Japan Kimono Fitting Championship.
context: Do you have some regimen to accentuate your beauty?\Uh...\No, no, no! I want it, I want it, I want it!\Bl-bleegh!\N-not especially...\Well, Sylph?\Shall we guide them to that room?\My mother has won the All-Japan Kimono Fitting Championship. response:	Wow.
context: Uh...\No, no, no! I want it, I want it, I want it!\Bl-bleegh!\N-not especially...\Well, Sylph?\Shall we guide them to that room?\My mother has won the All-Japan Kimono Fitting Championship.\Wow. response:	So then...
context: No, no, no! I want it, I want it, I want it!\Bl-bleegh!\N-not especially...\Well, Sylph?\Shall we guide them to that room?\My mother has won the All-Japan Kimono Fitting Championship.\Wow.\So then... response:	I cannot accept it!
context: Bl-bleegh!\N-not especially...\Well, Sylph?\Shall we guide them to that room?\My mother has won the All-Japan Kimono Fitting Championship.\Wow.\So then...\I cannot accept it! response:	Not unless I... am always the best!
context: N-not especially...\Well, Sylph?\Shall we guide them to that room?\My mother has won the All-Japan Kimono Fitting Championship.\Wow.\So then...\I cannot accept it!\Not unless I... am always the best! response:	Indeed! Indeed!
context: Well, Sylph?\Shall we guide them to that room?\My mother has won the All-Japan Kimono Fitting Championship.\Wow.\So then...\I cannot accept it!\Not unless I... am always the best!\Indeed! Indeed! response:	Yeah, they're pretty similar...
context: Shall we guide them to that room?\My mother has won the All-Japan Kimono Fitting Championship.\Wow.\So then...\I cannot accept it!\Not unless I... am always the best!\Indeed! Indeed!\Yeah, they're pretty similar... response:	Shba!
context: My mother has won the All-Japan Kimono Fitting Championship.\Wow.\So then...\I cannot accept it!\Not unless I... am always the best!\Indeed! Indeed!\Yeah, they're pretty similar...\Shba! response:	Sylph, your sleeves aren't aligned properly.
context: Wow.\So then...\I cannot accept it!\Not unless I... am always the best!\Indeed! Indeed!\Yeah, they're pretty similar...\Shba!\Sylph, your sleeves aren't aligned properly. response:	W-well, I was moving around at school, so...
context: So then...\I cannot accept it!\Not unless I... am always the best!\Indeed! Indeed!\Yeah, they're pretty similar...\Shba!\Sylph, your sleeves aren't aligned properly.\W-well, I was moving around at school, so... response:	Is this not better?
context: I cannot accept it!\Not unless I... am always the best!\Indeed! Indeed!\Yeah, they're pretty similar...\Shba!\Sylph, your sleeves aren't aligned properly.\W-well, I was moving around at school, so...\Is this not better? response:	Indeed!
context: Not unless I... am always the best!\Indeed! Indeed!\Yeah, they're pretty similar...\Shba!\Sylph, your sleeves aren't aligned properly.\W-well, I was moving around at school, so...\Is this not better?\Indeed! response:	I'm glad they get along.
context: Indeed! Indeed!\Yeah, they're pretty similar...\Shba!\Sylph, your sleeves aren't aligned properly.\W-well, I was moving around at school, so...\Is this not better?\Indeed!\I'm glad they get along. response:	Yeah.
context: Yeah, they're pretty similar...\Shba!\Sylph, your sleeves aren't aligned properly.\W-well, I was moving around at school, so...\Is this not better?\Indeed!\I'm glad they get along.\Yeah. response:	Oh. Yeah...
context: Shba!\Sylph, your sleeves aren't aligned properly.\W-well, I was moving around at school, so...\Is this not better?\Indeed!\I'm glad they get along.\Yeah.\Oh. Yeah... response:	Ebina's hometown is in Akita, so I bet she can't go back that much.
