context: Count Sebring. Count Raffia. Count Orga. response:	Thank you all for allowing me to intrude on your valuable time.
context: All cruise missiles appear to have been intercepted.\Looks like a saturation attack isn't gonna work.\Count Selnakis' Kataphrakt, Scorching Solis.\The firing range of its onboard beam weapon extends out to the Satellite Belt,\making air support impossible, as well.\It's quite the monster...\Message from assault team. They're about to make landfall.\Launch cruise missiles. Keep his attention on us. response:	Getting up close and personal is the only way, huh?
context: Looks like a saturation attack isn't gonna work.\Count Selnakis' Kataphrakt, Scorching Solis.\The firing range of its onboard beam weapon extends out to the Satellite Belt,\making air support impossible, as well.\It's quite the monster...\Message from assault team. They're about to make landfall.\Launch cruise missiles. Keep his attention on us.\Getting up close and personal is the only way, huh? response:	Saddle up, people!
context: Count Selnakis' Kataphrakt, Scorching Solis.\The firing range of its onboard beam weapon extends out to the Satellite Belt,\making air support impossible, as well.\It's quite the monster...\Message from assault team. They're about to make landfall.\Launch cruise missiles. Keep his attention on us.\Getting up close and personal is the only way, huh?\Saddle up, people! response:	Get ready to launch, everyone!
context: The firing range of its onboard beam weapon extends out to the Satellite Belt,\making air support impossible, as well.\It's quite the monster...\Message from assault team. They're about to make landfall.\Launch cruise missiles. Keep his attention on us.\Getting up close and personal is the only way, huh?\Saddle up, people!\Get ready to launch, everyone! response:	Inko? Inko!
context: making air support impossible, as well.\It's quite the monster...\Message from assault team. They're about to make landfall.\Launch cruise missiles. Keep his attention on us.\Getting up close and personal is the only way, huh?\Saddle up, people!\Get ready to launch, everyone!\Inko? Inko! response:	Yes?
context: It's quite the monster...\Message from assault team. They're about to make landfall.\Launch cruise missiles. Keep his attention on us.\Getting up close and personal is the only way, huh?\Saddle up, people!\Get ready to launch, everyone!\Inko? Inko!\Yes? response:	What's the matter?
context: Message from assault team. They're about to make landfall.\Launch cruise missiles. Keep his attention on us.\Getting up close and personal is the only way, huh?\Saddle up, people!\Get ready to launch, everyone!\Inko? Inko!\Yes?\What's the matter? response:	It's nothing. Say, Rayet...
context: Launch cruise missiles. Keep his attention on us.\Getting up close and personal is the only way, huh?\Saddle up, people!\Get ready to launch, everyone!\Inko? Inko!\Yes?\What's the matter?\It's nothing. Say, Rayet... response:	What?
context: Getting up close and personal is the only way, huh?\Saddle up, people!\Get ready to launch, everyone!\Inko? Inko!\Yes?\What's the matter?\It's nothing. Say, Rayet...\What? response:	There was that manhunt all of a sudden the other day. For um, Ma... Mazoo...
context: Saddle up, people!\Get ready to launch, everyone!\Inko? Inko!\Yes?\What's the matter?\It's nothing. Say, Rayet...\What?\There was that manhunt all of a sudden the other day. For um, Ma... Mazoo... response:	Count Mazuurek?
context: Get ready to launch, everyone!\Inko? Inko!\Yes?\What's the matter?\It's nothing. Say, Rayet...\What?\There was that manhunt all of a sudden the other day. For um, Ma... Mazoo...\Count Mazuurek? response:	Right, him!
context: Inko? Inko!\Yes?\What's the matter?\It's nothing. Say, Rayet...\What?\There was that manhunt all of a sudden the other day. For um, Ma... Mazoo...\Count Mazuurek?\Right, him! response:	How do you suppose he escaped?
context: Yes?\What's the matter?\It's nothing. Say, Rayet...\What?\There was that manhunt all of a sudden the other day. For um, Ma... Mazoo...\Count Mazuurek?\Right, him!\How do you suppose he escaped? response:	Beats me.
context: What's the matter?\It's nothing. Say, Rayet...\What?\There was that manhunt all of a sudden the other day. For um, Ma... Mazoo...\Count Mazuurek?\Right, him!\How do you suppose he escaped?\Beats me. response:	I wonder if Inaho knows anything.
context: It's nothing. Say, Rayet...\What?\There was that manhunt all of a sudden the other day. For um, Ma... Mazoo...\Count Mazuurek?\Right, him!\How do you suppose he escaped?\Beats me.\I wonder if Inaho knows anything. response:	Why?
context: What?\There was that manhunt all of a sudden the other day. For um, Ma... Mazoo...\Count Mazuurek?\Right, him!\How do you suppose he escaped?\Beats me.\I wonder if Inaho knows anything.\Why? response:	Well, he went to interrogate him. Did you hear anything?
context: There was that manhunt all of a sudden the other day. For um, Ma... Mazoo...\Count Mazuurek?\Right, him!\How do you suppose he escaped?\Beats me.\I wonder if Inaho knows anything.\Why?\Well, he went to interrogate him. Did you hear anything? response:	Nothing.
context: Count Mazuurek?\Right, him!\How do you suppose he escaped?\Beats me.\I wonder if Inaho knows anything.\Why?\Well, he went to interrogate him. Did you hear anything?\Nothing. response:	Oh.
context: Right, him!\How do you suppose he escaped?\Beats me.\I wonder if Inaho knows anything.\Why?\Well, he went to interrogate him. Did you hear anything?\Nothing.\Oh. response:	Time to launch. Let's go.
context: How do you suppose he escaped?\Beats me.\I wonder if Inaho knows anything.\Why?\Well, he went to interrogate him. Did you hear anything?\Nothing.\Oh.\Time to launch. Let's go. response:	Yeah.
context: Beats me.\I wonder if Inaho knows anything.\Why?\Well, he went to interrogate him. Did you hear anything?\Nothing.\Oh.\Time to launch. Let's go.\Yeah. response:	I'm sorry, Inko.
context: I wonder if Inaho knows anything.\Why?\Well, he went to interrogate him. Did you hear anything?\Nothing.\Oh.\Time to launch. Let's go.\Yeah.\I'm sorry, Inko. response:	To think that such a simple mechanism can indicate one's bearings...
context: Why?\Well, he went to interrogate him. Did you hear anything?\Nothing.\Oh.\Time to launch. Let's go.\Yeah.\I'm sorry, Inko.\To think that such a simple mechanism can indicate one's bearings... response:	Such a device would only work on a planet with a magnetic field.
context: Well, he went to interrogate him. Did you hear anything?\Nothing.\Oh.\Time to launch. Let's go.\Yeah.\I'm sorry, Inko.\To think that such a simple mechanism can indicate one's bearings...\Such a device would only work on a planet with a magnetic field. response:	Now, then... Count Troyard and Inaho Kaizuka.
context: Nothing.\Oh.\Time to launch. Let's go.\Yeah.\I'm sorry, Inko.\To think that such a simple mechanism can indicate one's bearings...\Such a device would only work on a planet with a magnetic field.\Now, then... Count Troyard and Inaho Kaizuka. response:	Both are sons of Earth. Can they be trusted?
context: Oh.\Time to launch. Let's go.\Yeah.\I'm sorry, Inko.\To think that such a simple mechanism can indicate one's bearings...\Such a device would only work on a planet with a magnetic field.\Now, then... Count Troyard and Inaho Kaizuka.\Both are sons of Earth. Can they be trusted? response:	So simple, one cannot go astray, eh?
context: Time to launch. Let's go.\Yeah.\I'm sorry, Inko.\To think that such a simple mechanism can indicate one's bearings...\Such a device would only work on a planet with a magnetic field.\Now, then... Count Troyard and Inaho Kaizuka.\Both are sons of Earth. Can they be trusted?\So simple, one cannot go astray, eh? response:	True of many things, I suppose.
context: Yeah.\I'm sorry, Inko.\To think that such a simple mechanism can indicate one's bearings...\Such a device would only work on a planet with a magnetic field.\Now, then... Count Troyard and Inaho Kaizuka.\Both are sons of Earth. Can they be trusted?\So simple, one cannot go astray, eh?\True of many things, I suppose. response:	Are you really going to fight the duel, Slaine?
context: I'm sorry, Inko.\To think that such a simple mechanism can indicate one's bearings...\Such a device would only work on a planet with a magnetic field.\Now, then... Count Troyard and Inaho Kaizuka.\Both are sons of Earth. Can they be trusted?\So simple, one cannot go astray, eh?\True of many things, I suppose.\Are you really going to fight the duel, Slaine? response:	Yes. I have been challenged, so I cannot back down.
context: To think that such a simple mechanism can indicate one's bearings...\Such a device would only work on a planet with a magnetic field.\Now, then... Count Troyard and Inaho Kaizuka.\Both are sons of Earth. Can they be trusted?\So simple, one cannot go astray, eh?\True of many things, I suppose.\Are you really going to fight the duel, Slaine?\Yes. I have been challenged, so I cannot back down. response:	This happened because I allowed Count Marylcian's visit.
context: Such a device would only work on a planet with a magnetic field.\Now, then... Count Troyard and Inaho Kaizuka.\Both are sons of Earth. Can they be trusted?\So simple, one cannot go astray, eh?\True of many things, I suppose.\Are you really going to fight the duel, Slaine?\Yes. I have been challenged, so I cannot back down.\This happened because I allowed Count Marylcian's visit. response:	Not at all. It is thanks to you.
context: Now, then... Count Troyard and Inaho Kaizuka.\Both are sons of Earth. Can they be trusted?\So simple, one cannot go astray, eh?\True of many things, I suppose.\Are you really going to fight the duel, Slaine?\Yes. I have been challenged, so I cannot back down.\This happened because I allowed Count Marylcian's visit.\Not at all. It is thanks to you. response:	It is the perfect opportunity to demonstrate my strength.
context: Both are sons of Earth. Can they be trusted?\So simple, one cannot go astray, eh?\True of many things, I suppose.\Are you really going to fight the duel, Slaine?\Yes. I have been challenged, so I cannot back down.\This happened because I allowed Count Marylcian's visit.\Not at all. It is thanks to you.\It is the perfect opportunity to demonstrate my strength. response:	If I am victorious in this duel,
context: So simple, one cannot go astray, eh?\True of many things, I suppose.\Are you really going to fight the duel, Slaine?\Yes. I have been challenged, so I cannot back down.\This happened because I allowed Count Marylcian's visit.\Not at all. It is thanks to you.\It is the perfect opportunity to demonstrate my strength.\If I am victorious in this duel, response:	it will act as a deterrent against Orbital Knights who oppose me.
context: True of many things, I suppose.\Are you really going to fight the duel, Slaine?\Yes. I have been challenged, so I cannot back down.\This happened because I allowed Count Marylcian's visit.\Not at all. It is thanks to you.\It is the perfect opportunity to demonstrate my strength.\If I am victorious in this duel,\it will act as a deterrent against Orbital Knights who oppose me. response:	There is nothing to be concerned about.
context: Are you really going to fight the duel, Slaine?\Yes. I have been challenged, so I cannot back down.\This happened because I allowed Count Marylcian's visit.\Not at all. It is thanks to you.\It is the perfect opportunity to demonstrate my strength.\If I am victorious in this duel,\it will act as a deterrent against Orbital Knights who oppose me.\There is nothing to be concerned about. response:	Your dream might actually come true one day, won't it?
context: Yes. I have been challenged, so I cannot back down.\This happened because I allowed Count Marylcian's visit.\Not at all. It is thanks to you.\It is the perfect opportunity to demonstrate my strength.\If I am victorious in this duel,\it will act as a deterrent against Orbital Knights who oppose me.\There is nothing to be concerned about.\Your dream might actually come true one day, won't it? response:	I have no dream to...
context: This happened because I allowed Count Marylcian's visit.\Not at all. It is thanks to you.\It is the perfect opportunity to demonstrate my strength.\If I am victorious in this duel,\it will act as a deterrent against Orbital Knights who oppose me.\There is nothing to be concerned about.\Your dream might actually come true one day, won't it?\I have no dream to... response:	A Terran who had been held in contempt now holds genuine power within Vers.
context: Not at all. It is thanks to you.\It is the perfect opportunity to demonstrate my strength.\If I am victorious in this duel,\it will act as a deterrent against Orbital Knights who oppose me.\There is nothing to be concerned about.\Your dream might actually come true one day, won't it?\I have no dream to...\A Terran who had been held in contempt now holds genuine power within Vers. response:	I have felt it ever since we first met.
context: It is the perfect opportunity to demonstrate my strength.\If I am victorious in this duel,\it will act as a deterrent against Orbital Knights who oppose me.\There is nothing to be concerned about.\Your dream might actually come true one day, won't it?\I have no dream to...\A Terran who had been held in contempt now holds genuine power within Vers.\I have felt it ever since we first met. response:	That you and I were kindred spirits.
context: If I am victorious in this duel,\it will act as a deterrent against Orbital Knights who oppose me.\There is nothing to be concerned about.\Your dream might actually come true one day, won't it?\I have no dream to...\A Terran who had been held in contempt now holds genuine power within Vers.\I have felt it ever since we first met.\That you and I were kindred spirits. response:	Do you intend to hold on to your grudge against the royal family forever?
context: it will act as a deterrent against Orbital Knights who oppose me.\There is nothing to be concerned about.\Your dream might actually come true one day, won't it?\I have no dream to...\A Terran who had been held in contempt now holds genuine power within Vers.\I have felt it ever since we first met.\That you and I were kindred spirits.\Do you intend to hold on to your grudge against the royal family forever? response:	Yes.
context: There is nothing to be concerned about.\Your dream might actually come true one day, won't it?\I have no dream to...\A Terran who had been held in contempt now holds genuine power within Vers.\I have felt it ever since we first met.\That you and I were kindred spirits.\Do you intend to hold on to your grudge against the royal family forever?\Yes. response:	It's incredibly satisfying to see someone without a drop of Versian blood in him gaining power.
context: Your dream might actually come true one day, won't it?\I have no dream to...\A Terran who had been held in contempt now holds genuine power within Vers.\I have felt it ever since we first met.\That you and I were kindred spirits.\Do you intend to hold on to your grudge against the royal family forever?\Yes.\It's incredibly satisfying to see someone without a drop of Versian blood in him gaining power. response:	I think you will never let go, either.
context: I have no dream to...\A Terran who had been held in contempt now holds genuine power within Vers.\I have felt it ever since we first met.\That you and I were kindred spirits.\Do you intend to hold on to your grudge against the royal family forever?\Yes.\It's incredibly satisfying to see someone without a drop of Versian blood in him gaining power.\I think you will never let go, either. response:	Of your princess.
context: A Terran who had been held in contempt now holds genuine power within Vers.\I have felt it ever since we first met.\That you and I were kindred spirits.\Do you intend to hold on to your grudge against the royal family forever?\Yes.\It's incredibly satisfying to see someone without a drop of Versian blood in him gaining power.\I think you will never let go, either.\Of your princess. response:	You genuinely love her, don't you?
context: I have felt it ever since we first met.\That you and I were kindred spirits.\Do you intend to hold on to your grudge against the royal family forever?\Yes.\It's incredibly satisfying to see someone without a drop of Versian blood in him gaining power.\I think you will never let go, either.\Of your princess.\You genuinely love her, don't you? response:	If I may...
context: That you and I were kindred spirits.\Do you intend to hold on to your grudge against the royal family forever?\Yes.\It's incredibly satisfying to see someone without a drop of Versian blood in him gaining power.\I think you will never let go, either.\Of your princess.\You genuinely love her, don't you?\If I may... response:	Would you let me help you?
context: Do you intend to hold on to your grudge against the royal family forever?\Yes.\It's incredibly satisfying to see someone without a drop of Versian blood in him gaining power.\I think you will never let go, either.\Of your princess.\You genuinely love her, don't you?\If I may...\Would you let me help you? response:	I don't mind
context: Yes.\It's incredibly satisfying to see someone without a drop of Versian blood in him gaining power.\I think you will never let go, either.\Of your princess.\You genuinely love her, don't you?\If I may...\Would you let me help you?\I don't mind response:	if I am only my sister's substitute.
context: It's incredibly satisfying to see someone without a drop of Versian blood in him gaining power.\I think you will never let go, either.\Of your princess.\You genuinely love her, don't you?\If I may...\Would you let me help you?\I don't mind\if I am only my sister's substitute. response:	All platoons, report in!
context: I think you will never let go, either.\Of your princess.\You genuinely love her, don't you?\If I may...\Would you let me help you?\I don't mind\if I am only my sister's substitute.\All platoons, report in! response:	Belgian Platoon, in position!
context: Of your princess.\You genuinely love her, don't you?\If I may...\Would you let me help you?\I don't mind\if I am only my sister's substitute.\All platoons, report in!\Belgian Platoon, in position! response:	Maremmano Platoon, in position!
context: You genuinely love her, don't you?\If I may...\Would you let me help you?\I don't mind\if I am only my sister's substitute.\All platoons, report in!\Belgian Platoon, in position!\Maremmano Platoon, in position! response:	Pottok Platoon, in position!
context: If I may...\Would you let me help you?\I don't mind\if I am only my sister's substitute.\All platoons, report in!\Belgian Platoon, in position!\Maremmano Platoon, in position!\Pottok Platoon, in position! response:	Lokai Platoon, in position!
context: Would you let me help you?\I don't mind\if I am only my sister's substitute.\All platoons, report in!\Belgian Platoon, in position!\Maremmano Platoon, in position!\Pottok Platoon, in position!\Lokai Platoon, in position! response:	Mustang Platoon, in position!
context: I don't mind\if I am only my sister's substitute.\All platoons, report in!\Belgian Platoon, in position!\Maremmano Platoon, in position!\Pottok Platoon, in position!\Lokai Platoon, in position!\Mustang Platoon, in position! response:	There's no way to evade that bastard's beam weapon.
