context: Hello! response:	We have pork miso soup and vegetable soup over here!
context: Oh, did you make these, Himeragi?\Yes.\Here you go.\Thanks, Himeragi.\Aren't you going to eat?\I don't have much of an appetite...\Umm... How do they taste?\Yeah, they're unexpectedly good. response:	Unexpectedly, huh?
context: Yes.\Here you go.\Thanks, Himeragi.\Aren't you going to eat?\I don't have much of an appetite...\Umm... How do they taste?\Yeah, they're unexpectedly good.\Unexpectedly, huh? response:	I see.
context: Here you go.\Thanks, Himeragi.\Aren't you going to eat?\I don't have much of an appetite...\Umm... How do they taste?\Yeah, they're unexpectedly good.\Unexpectedly, huh?\I see. response:	Umm... Himeragi?
context: Thanks, Himeragi.\Aren't you going to eat?\I don't have much of an appetite...\Umm... How do they taste?\Yeah, they're unexpectedly good.\Unexpectedly, huh?\I see.\Umm... Himeragi? response:	No, it's nothing.
context: Aren't you going to eat?\I don't have much of an appetite...\Umm... How do they taste?\Yeah, they're unexpectedly good.\Unexpectedly, huh?\I see.\Umm... Himeragi?\No, it's nothing. response:	Onii-san and Yukina-chan, thanks for helping out today.
context: I don't have much of an appetite...\Umm... How do they taste?\Yeah, they're unexpectedly good.\Unexpectedly, huh?\I see.\Umm... Himeragi?\No, it's nothing.\Onii-san and Yukina-chan, thanks for helping out today. response:	No problem, I had fun helping out as well.
context: Umm... How do they taste?\Yeah, they're unexpectedly good.\Unexpectedly, huh?\I see.\Umm... Himeragi?\No, it's nothing.\Onii-san and Yukina-chan, thanks for helping out today.\No problem, I had fun helping out as well. response:	That's right.
context: Yeah, they're unexpectedly good.\Unexpectedly, huh?\I see.\Umm... Himeragi?\No, it's nothing.\Onii-san and Yukina-chan, thanks for helping out today.\No problem, I had fun helping out as well.\That's right. response:	Besides, we're partly to blame for the destruction this time.
context: Unexpectedly, huh?\I see.\Umm... Himeragi?\No, it's nothing.\Onii-san and Yukina-chan, thanks for helping out today.\No problem, I had fun helping out as well.\That's right.\Besides, we're partly to blame for the destruction this time. response:	T-That's right.
context: I see.\Umm... Himeragi?\No, it's nothing.\Onii-san and Yukina-chan, thanks for helping out today.\No problem, I had fun helping out as well.\That's right.\Besides, we're partly to blame for the destruction this time.\T-That's right. response:	I thought that we should probably get ready to go to school.
context: Umm... Himeragi?\No, it's nothing.\Onii-san and Yukina-chan, thanks for helping out today.\No problem, I had fun helping out as well.\That's right.\Besides, we're partly to blame for the destruction this time.\T-That's right.\I thought that we should probably get ready to go to school. response:	So I came to let you know.
context: No, it's nothing.\Onii-san and Yukina-chan, thanks for helping out today.\No problem, I had fun helping out as well.\That's right.\Besides, we're partly to blame for the destruction this time.\T-That's right.\I thought that we should probably get ready to go to school.\So I came to let you know. response:	Oh, it's already this late?
context: Onii-san and Yukina-chan, thanks for helping out today.\No problem, I had fun helping out as well.\That's right.\Besides, we're partly to blame for the destruction this time.\T-That's right.\I thought that we should probably get ready to go to school.\So I came to let you know.\Oh, it's already this late? response:	Right then, let's get ready and go to school-
context: No problem, I had fun helping out as well.\That's right.\Besides, we're partly to blame for the destruction this time.\T-That's right.\I thought that we should probably get ready to go to school.\So I came to let you know.\Oh, it's already this late?\Right then, let's get ready and go to school- response:	About that, umm... Onii-san...
context: That's right.\Besides, we're partly to blame for the destruction this time.\T-That's right.\I thought that we should probably get ready to go to school.\So I came to let you know.\Oh, it's already this late?\Right then, let's get ready and go to school-\About that, umm... Onii-san... response:	If you'd like, please eat this.
context: Besides, we're partly to blame for the destruction this time.\T-That's right.\I thought that we should probably get ready to go to school.\So I came to let you know.\Oh, it's already this late?\Right then, let's get ready and go to school-\About that, umm... Onii-san...\If you'd like, please eat this. response:	Umm... Kanase, did you make these?
context: T-That's right.\I thought that we should probably get ready to go to school.\So I came to let you know.\Oh, it's already this late?\Right then, let's get ready and go to school-\About that, umm... Onii-san...\If you'd like, please eat this.\Umm... Kanase, did you make these? response:	Yes!
context: I thought that we should probably get ready to go to school.\So I came to let you know.\Oh, it's already this late?\Right then, let's get ready and go to school-\About that, umm... Onii-san...\If you'd like, please eat this.\Umm... Kanase, did you make these?\Yes! response:	T-Thanks, Kanase.
context: So I came to let you know.\Oh, it's already this late?\Right then, let's get ready and go to school-\About that, umm... Onii-san...\If you'd like, please eat this.\Umm... Kanase, did you make these?\Yes!\T-Thanks, Kanase. response:	I was feeling a little hungry.
context: Oh, it's already this late?\Right then, let's get ready and go to school-\About that, umm... Onii-san...\If you'd like, please eat this.\Umm... Kanase, did you make these?\Yes!\T-Thanks, Kanase.\I was feeling a little hungry. response:	I-It's good!
context: Right then, let's get ready and go to school-\About that, umm... Onii-san...\If you'd like, please eat this.\Umm... Kanase, did you make these?\Yes!\T-Thanks, Kanase.\I was feeling a little hungry.\I-It's good! response:	I could eat these all day.
context: About that, umm... Onii-san...\If you'd like, please eat this.\Umm... Kanase, did you make these?\Yes!\T-Thanks, Kanase.\I was feeling a little hungry.\I-It's good!\I could eat these all day. response:	Please, eat as many as you want!
context: If you'd like, please eat this.\Umm... Kanase, did you make these?\Yes!\T-Thanks, Kanase.\I was feeling a little hungry.\I-It's good!\I could eat these all day.\Please, eat as many as you want! response:	Kojou-kun!
context: Umm... Kanase, did you make these?\Yes!\T-Thanks, Kanase.\I was feeling a little hungry.\I-It's good!\I could eat these all day.\Please, eat as many as you want!\Kojou-kun! response:	We'll be late for school if we don't leave soon!
context: Yes!\T-Thanks, Kanase.\I was feeling a little hungry.\I-It's good!\I could eat these all day.\Please, eat as many as you want!\Kojou-kun!\We'll be late for school if we don't leave soon! response:	Yeah.
context: T-Thanks, Kanase.\I was feeling a little hungry.\I-It's good!\I could eat these all day.\Please, eat as many as you want!\Kojou-kun!\We'll be late for school if we don't leave soon!\Yeah. response:	I was sure you'd be hungry, so I set these aside for you!
context: I was feeling a little hungry.\I-It's good!\I could eat these all day.\Please, eat as many as you want!\Kojou-kun!\We'll be late for school if we don't leave soon!\Yeah.\I was sure you'd be hungry, so I set these aside for you! response:	Eat up!
context: I-It's good!\I could eat these all day.\Please, eat as many as you want!\Kojou-kun!\We'll be late for school if we don't leave soon!\Yeah.\I was sure you'd be hungry, so I set these aside for you!\Eat up! response:	Y-Yeah...
context: I could eat these all day.\Please, eat as many as you want!\Kojou-kun!\We'll be late for school if we don't leave soon!\Yeah.\I was sure you'd be hungry, so I set these aside for you!\Eat up!\Y-Yeah... response:	The Tartaros-Rose incident caused major damage to the city.
context: Please, eat as many as you want!\Kojou-kun!\We'll be late for school if we don't leave soon!\Yeah.\I was sure you'd be hungry, so I set these aside for you!\Eat up!\Y-Yeah...\The Tartaros-Rose incident caused major damage to the city. response:	Restoration is being carried out at a fervent pace,
context: Kojou-kun!\We'll be late for school if we don't leave soon!\Yeah.\I was sure you'd be hungry, so I set these aside for you!\Eat up!\Y-Yeah...\The Tartaros-Rose incident caused major damage to the city.\Restoration is being carried out at a fervent pace, response:	but in such a situation, the one who is attracting the most attention in Itogami Island is...
context: We'll be late for school if we don't leave soon!\Yeah.\I was sure you'd be hungry, so I set these aside for you!\Eat up!\Y-Yeah...\The Tartaros-Rose incident caused major damage to the city.\Restoration is being carried out at a fervent pace,\but in such a situation, the one who is attracting the most attention in Itogami Island is... response:	That's right. It is this person, Aiba Asagi-san.
context: Yeah.\I was sure you'd be hungry, so I set these aside for you!\Eat up!\Y-Yeah...\The Tartaros-Rose incident caused major damage to the city.\Restoration is being carried out at a fervent pace,\but in such a situation, the one who is attracting the most attention in Itogami Island is...\That's right. It is this person, Aiba Asagi-san. response:	She stopped the hacking attack by the terrorist organization, Tartaros Lapus,
context: I was sure you'd be hungry, so I set these aside for you!\Eat up!\Y-Yeah...\The Tartaros-Rose incident caused major damage to the city.\Restoration is being carried out at a fervent pace,\but in such a situation, the one who is attracting the most attention in Itogami Island is...\That's right. It is this person, Aiba Asagi-san.\She stopped the hacking attack by the terrorist organization, Tartaros Lapus, response:	and kept the damage to a minimum, the beautiful genius hacker, nicknamed the Digital Empress.
context: Eat up!\Y-Yeah...\The Tartaros-Rose incident caused major damage to the city.\Restoration is being carried out at a fervent pace,\but in such a situation, the one who is attracting the most attention in Itogami Island is...\That's right. It is this person, Aiba Asagi-san.\She stopped the hacking attack by the terrorist organization, Tartaros Lapus,\and kept the damage to a minimum, the beautiful genius hacker, nicknamed the Digital Empress. response:	Aiba-senpai is amazing, isn't she?
context: Y-Yeah...\The Tartaros-Rose incident caused major damage to the city.\Restoration is being carried out at a fervent pace,\but in such a situation, the one who is attracting the most attention in Itogami Island is...\That's right. It is this person, Aiba Asagi-san.\She stopped the hacking attack by the terrorist organization, Tartaros Lapus,\and kept the damage to a minimum, the beautiful genius hacker, nicknamed the Digital Empress.\Aiba-senpai is amazing, isn't she? response:	She became popular in no time at all.
context: The Tartaros-Rose incident caused major damage to the city.\Restoration is being carried out at a fervent pace,\but in such a situation, the one who is attracting the most attention in Itogami Island is...\That's right. It is this person, Aiba Asagi-san.\She stopped the hacking attack by the terrorist organization, Tartaros Lapus,\and kept the damage to a minimum, the beautiful genius hacker, nicknamed the Digital Empress.\Aiba-senpai is amazing, isn't she?\She became popular in no time at all. response:	Yeah, that's for sure.
context: Restoration is being carried out at a fervent pace,\but in such a situation, the one who is attracting the most attention in Itogami Island is...\That's right. It is this person, Aiba Asagi-san.\She stopped the hacking attack by the terrorist organization, Tartaros Lapus,\and kept the damage to a minimum, the beautiful genius hacker, nicknamed the Digital Empress.\Aiba-senpai is amazing, isn't she?\She became popular in no time at all.\Yeah, that's for sure. response:	She's been absent from school all this time because she has to help with the restoration...
context: but in such a situation, the one who is attracting the most attention in Itogami Island is...\That's right. It is this person, Aiba Asagi-san.\She stopped the hacking attack by the terrorist organization, Tartaros Lapus,\and kept the damage to a minimum, the beautiful genius hacker, nicknamed the Digital Empress.\Aiba-senpai is amazing, isn't she?\She became popular in no time at all.\Yeah, that's for sure.\She's been absent from school all this time because she has to help with the restoration... response:	Charity
context: That's right. It is this person, Aiba Asagi-san.\She stopped the hacking attack by the terrorist organization, Tartaros Lapus,\and kept the damage to a minimum, the beautiful genius hacker, nicknamed the Digital Empress.\Aiba-senpai is amazing, isn't she?\She became popular in no time at all.\Yeah, that's for sure.\She's been absent from school all this time because she has to help with the restoration...\Charity response:	Island Administration
context: She stopped the hacking attack by the terrorist organization, Tartaros Lapus,\and kept the damage to a minimum, the beautiful genius hacker, nicknamed the Digital Empress.\Aiba-senpai is amazing, isn't she?\She became popular in no time at all.\Yeah, that's for sure.\She's been absent from school all this time because she has to help with the restoration...\Charity\Island Administration response:	Large-scale Restoration Project
context: and kept the damage to a minimum, the beautiful genius hacker, nicknamed the Digital Empress.\Aiba-senpai is amazing, isn't she?\She became popular in no time at all.\Yeah, that's for sure.\She's been absent from school all this time because she has to help with the restoration...\Charity\Island Administration\Large-scale Restoration Project response:	She is currently very busy participating in charities for the victims,
context: Aiba-senpai is amazing, isn't she?\She became popular in no time at all.\Yeah, that's for sure.\She's been absent from school all this time because she has to help with the restoration...\Charity\Island Administration\Large-scale Restoration Project\She is currently very busy participating in charities for the victims, response:	and the Island Administration's large-scale restoration plan.
context: She became popular in no time at all.\Yeah, that's for sure.\She's been absent from school all this time because she has to help with the restoration...\Charity\Island Administration\Large-scale Restoration Project\She is currently very busy participating in charities for the victims,\and the Island Administration's large-scale restoration plan. response:	Unbelievably, she is slated to release a song supporting the restoration of Itogami Island next month.
context: Yeah, that's for sure.\She's been absent from school all this time because she has to help with the restoration...\Charity\Island Administration\Large-scale Restoration Project\She is currently very busy participating in charities for the victims,\and the Island Administration's large-scale restoration plan.\Unbelievably, she is slated to release a song supporting the restoration of Itogami Island next month. response:	A song!? By Asagi!?
context: She's been absent from school all this time because she has to help with the restoration...\Charity\Island Administration\Large-scale Restoration Project\She is currently very busy participating in charities for the victims,\and the Island Administration's large-scale restoration plan.\Unbelievably, she is slated to release a song supporting the restoration of Itogami Island next month.\A song!? By Asagi!? response:	Everyone, take a look at this.
context: Charity\Island Administration\Large-scale Restoration Project\She is currently very busy participating in charities for the victims,\and the Island Administration's large-scale restoration plan.\Unbelievably, she is slated to release a song supporting the restoration of Itogami Island next month.\A song!? By Asagi!?\Everyone, take a look at this. response:	Save Our Sanctuary, by Aiba Asagi-san.
context: Island Administration\Large-scale Restoration Project\She is currently very busy participating in charities for the victims,\and the Island Administration's large-scale restoration plan.\Unbelievably, she is slated to release a song supporting the restoration of Itogami Island next month.\A song!? By Asagi!?\Everyone, take a look at this.\Save Our Sanctuary, by Aiba Asagi-san. response:	Everything is going to be just fine.
context: Large-scale Restoration Project\She is currently very busy participating in charities for the victims,\and the Island Administration's large-scale restoration plan.\Unbelievably, she is slated to release a song supporting the restoration of Itogami Island next month.\A song!? By Asagi!?\Everyone, take a look at this.\Save Our Sanctuary, by Aiba Asagi-san.\Everything is going to be just fine. response:	I'm here for you.
context: She is currently very busy participating in charities for the victims,\and the Island Administration's large-scale restoration plan.\Unbelievably, she is slated to release a song supporting the restoration of Itogami Island next month.\A song!? By Asagi!?\Everyone, take a look at this.\Save Our Sanctuary, by Aiba Asagi-san.\Everything is going to be just fine.\I'm here for you. response:	I want to protect it.
context: and the Island Administration's large-scale restoration plan.\Unbelievably, she is slated to release a song supporting the restoration of Itogami Island next month.\A song!? By Asagi!?\Everyone, take a look at this.\Save Our Sanctuary, by Aiba Asagi-san.\Everything is going to be just fine.\I'm here for you.\I want to protect it. response:	Our perfect sanctuary!
context: Unbelievably, she is slated to release a song supporting the restoration of Itogami Island next month.\A song!? By Asagi!?\Everyone, take a look at this.\Save Our Sanctuary, by Aiba Asagi-san.\Everything is going to be just fine.\I'm here for you.\I want to protect it.\Our perfect sanctuary! response:	Woah!
context: A song!? By Asagi!?\Everyone, take a look at this.\Save Our Sanctuary, by Aiba Asagi-san.\Everything is going to be just fine.\I'm here for you.\I want to protect it.\Our perfect sanctuary!\Woah! response:	Amazing! Isn't Asagi-chan amazing, Kojou-kun!?
context: Everyone, take a look at this.\Save Our Sanctuary, by Aiba Asagi-san.\Everything is going to be just fine.\I'm here for you.\I want to protect it.\Our perfect sanctuary!\Woah!\Amazing! Isn't Asagi-chan amazing, Kojou-kun!? response:	There are things I can do,
context: Save Our Sanctuary, by Aiba Asagi-san.\Everything is going to be just fine.\I'm here for you.\I want to protect it.\Our perfect sanctuary!\Woah!\Amazing! Isn't Asagi-chan amazing, Kojou-kun!?\There are things I can do, response:	Y-Yeah... But...
context: Everything is going to be just fine.\I'm here for you.\I want to protect it.\Our perfect sanctuary!\Woah!\Amazing! Isn't Asagi-chan amazing, Kojou-kun!?\There are things I can do,\Y-Yeah... But... response:	only because I am a girl.
context: I'm here for you.\I want to protect it.\Our perfect sanctuary!\Woah!\Amazing! Isn't Asagi-chan amazing, Kojou-kun!?\There are things I can do,\Y-Yeah... But...\only because I am a girl. response:	I'll cheer you on while you're doing your best!
context: I want to protect it.\Our perfect sanctuary!\Woah!\Amazing! Isn't Asagi-chan amazing, Kojou-kun!?\There are things I can do,\Y-Yeah... But...\only because I am a girl.\I'll cheer you on while you're doing your best! response:	Senpai?
context: Our perfect sanctuary!\Woah!\Amazing! Isn't Asagi-chan amazing, Kojou-kun!?\There are things I can do,\Y-Yeah... But...\only because I am a girl.\I'll cheer you on while you're doing your best!\Senpai? response:	Is something wrong?
context: Woah!\Amazing! Isn't Asagi-chan amazing, Kojou-kun!?\There are things I can do,\Y-Yeah... But...\only because I am a girl.\I'll cheer you on while you're doing your best!\Senpai?\Is something wrong? response:	No, but...
context: Amazing! Isn't Asagi-chan amazing, Kojou-kun!?\There are things I can do,\Y-Yeah... But...\only because I am a girl.\I'll cheer you on while you're doing your best!\Senpai?\Is something wrong?\No, but... response:	Don't you think Asagi is...
context: There are things I can do,\Y-Yeah... But...\only because I am a girl.\I'll cheer you on while you're doing your best!\Senpai?\Is something wrong?\No, but...\Don't you think Asagi is... response:	Isn't she different from usual?
context: Y-Yeah... But...\only because I am a girl.\I'll cheer you on while you're doing your best!\Senpai?\Is something wrong?\No, but...\Don't you think Asagi is...\Isn't she different from usual? response:	Well, of course!
context: only because I am a girl.\I'll cheer you on while you're doing your best!\Senpai?\Is something wrong?\No, but...\Don't you think Asagi is...\Isn't she different from usual?\Well, of course! response:	That's a fake, made using CG.
context: I'll cheer you on while you're doing your best!\Senpai?\Is something wrong?\No, but...\Don't you think Asagi is...\Isn't she different from usual?\Well, of course!\That's a fake, made using CG. response:	A fake!? Seriously?
context: Senpai?\Is something wrong?\No, but...\Don't you think Asagi is...\Isn't she different from usual?\Well, of course!\That's a fake, made using CG.\A fake!? Seriously? response:	Her earrings.
context: Is something wrong?\No, but...\Don't you think Asagi is...\Isn't she different from usual?\Well, of course!\That's a fake, made using CG.\A fake!? Seriously?\Her earrings. response:	Huh?
context: No, but...\Don't you think Asagi is...\Isn't she different from usual?\Well, of course!\That's a fake, made using CG.\A fake!? Seriously?\Her earrings.\Huh? response:	There's no way Asagi would take those off, let alone wear something else.
context: Don't you think Asagi is...\Isn't she different from usual?\Well, of course!\That's a fake, made using CG.\A fake!? Seriously?\Her earrings.\Huh?\There's no way Asagi would take those off, let alone wear something else. response:	And besides, they're hiding it well, but she can't hold a tune to save her life.
context: Isn't she different from usual?\Well, of course!\That's a fake, made using CG.\A fake!? Seriously?\Her earrings.\Huh?\There's no way Asagi would take those off, let alone wear something else.\And besides, they're hiding it well, but she can't hold a tune to save her life. response:	I-I see.
context: Well, of course!\That's a fake, made using CG.\A fake!? Seriously?\Her earrings.\Huh?\There's no way Asagi would take those off, let alone wear something else.\And besides, they're hiding it well, but she can't hold a tune to save her life.\I-I see. response:	Seriously, Akatsuki-kun. I can't tell if you're slow or sharp.
context: That's a fake, made using CG.\A fake!? Seriously?\Her earrings.\Huh?\There's no way Asagi would take those off, let alone wear something else.\And besides, they're hiding it well, but she can't hold a tune to save her life.\I-I see.\Seriously, Akatsuki-kun. I can't tell if you're slow or sharp. response:	You should pay that much attention to Asagi all the time, okay?
context: A fake!? Seriously?\Her earrings.\Huh?\There's no way Asagi would take those off, let alone wear something else.\And besides, they're hiding it well, but she can't hold a tune to save her life.\I-I see.\Seriously, Akatsuki-kun. I can't tell if you're slow or sharp.\You should pay that much attention to Asagi all the time, okay? response:	Huh? I do, don't I?
context: Her earrings.\Huh?\There's no way Asagi would take those off, let alone wear something else.\And besides, they're hiding it well, but she can't hold a tune to save her life.\I-I see.\Seriously, Akatsuki-kun. I can't tell if you're slow or sharp.\You should pay that much attention to Asagi all the time, okay?\Huh? I do, don't I? response:	Huh?
context: Huh?\There's no way Asagi would take those off, let alone wear something else.\And besides, they're hiding it well, but she can't hold a tune to save her life.\I-I see.\Seriously, Akatsuki-kun. I can't tell if you're slow or sharp.\You should pay that much attention to Asagi all the time, okay?\Huh? I do, don't I?\Huh? response:	Geez, I don't get why Asagi's been after someone like this for all these years...
context: There's no way Asagi would take those off, let alone wear something else.\And besides, they're hiding it well, but she can't hold a tune to save her life.\I-I see.\Seriously, Akatsuki-kun. I can't tell if you're slow or sharp.\You should pay that much attention to Asagi all the time, okay?\Huh? I do, don't I?\Huh?\Geez, I don't get why Asagi's been after someone like this for all these years... response:	Huh?
context: And besides, they're hiding it well, but she can't hold a tune to save her life.\I-I see.\Seriously, Akatsuki-kun. I can't tell if you're slow or sharp.\You should pay that much attention to Asagi all the time, okay?\Huh? I do, don't I?\Huh?\Geez, I don't get why Asagi's been after someone like this for all these years...\Huh? response:	Anyways, if that was CG, then the Island Administration is pretty good.
context: I-I see.\Seriously, Akatsuki-kun. I can't tell if you're slow or sharp.\You should pay that much attention to Asagi all the time, okay?\Huh? I do, don't I?\Huh?\Geez, I don't get why Asagi's been after someone like this for all these years...\Huh?\Anyways, if that was CG, then the Island Administration is pretty good. response:	Why are they taking the effort to make her do something like that?
context: Seriously, Akatsuki-kun. I can't tell if you're slow or sharp.\You should pay that much attention to Asagi all the time, okay?\Huh? I do, don't I?\Huh?\Geez, I don't get why Asagi's been after someone like this for all these years...\Huh?\Anyways, if that was CG, then the Island Administration is pretty good.\Why are they taking the effort to make her do something like that? response:	Probably because the restoration is making barely any progress.
context: You should pay that much attention to Asagi all the time, okay?\Huh? I do, don't I?\Huh?\Geez, I don't get why Asagi's been after someone like this for all these years...\Huh?\Anyways, if that was CG, then the Island Administration is pretty good.\Why are they taking the effort to make her do something like that?\Probably because the restoration is making barely any progress. response:	They're using her as they please to distract the populace.
context: Huh? I do, don't I?\Huh?\Geez, I don't get why Asagi's been after someone like this for all these years...\Huh?\Anyways, if that was CG, then the Island Administration is pretty good.\Why are they taking the effort to make her do something like that?\Probably because the restoration is making barely any progress.\They're using her as they please to distract the populace. response:	A genius hacker and high school girl protects the island.
context: Huh?\Geez, I don't get why Asagi's been after someone like this for all these years...\Huh?\Anyways, if that was CG, then the Island Administration is pretty good.\Why are they taking the effort to make her do something like that?\Probably because the restoration is making barely any progress.\They're using her as they please to distract the populace.\A genius hacker and high school girl protects the island. response:	That's perfect material to make her popular.
context: Geez, I don't get why Asagi's been after someone like this for all these years...\Huh?\Anyways, if that was CG, then the Island Administration is pretty good.\Why are they taking the effort to make her do something like that?\Probably because the restoration is making barely any progress.\They're using her as they please to distract the populace.\A genius hacker and high school girl protects the island.\That's perfect material to make her popular. response:	And she has the looks as well.
context: Huh?\Anyways, if that was CG, then the Island Administration is pretty good.\Why are they taking the effort to make her do something like that?\Probably because the restoration is making barely any progress.\They're using her as they please to distract the populace.\A genius hacker and high school girl protects the island.\That's perfect material to make her popular.\And she has the looks as well. response:	Looks?
context: Anyways, if that was CG, then the Island Administration is pretty good.\Why are they taking the effort to make her do something like that?\Probably because the restoration is making barely any progress.\They're using her as they please to distract the populace.\A genius hacker and high school girl protects the island.\That's perfect material to make her popular.\And she has the looks as well.\Looks? response:	Asagi is a beauty, isn't she?
context: Why are they taking the effort to make her do something like that?\Probably because the restoration is making barely any progress.\They're using her as they please to distract the populace.\A genius hacker and high school girl protects the island.\That's perfect material to make her popular.\And she has the looks as well.\Looks?\Asagi is a beauty, isn't she? response:	Yeah.
context: Probably because the restoration is making barely any progress.\They're using her as they please to distract the populace.\A genius hacker and high school girl protects the island.\That's perfect material to make her popular.\And she has the looks as well.\Looks?\Asagi is a beauty, isn't she?\Yeah. response:	Now that you mention it, I guess she is?
context: They're using her as they please to distract the populace.\A genius hacker and high school girl protects the island.\That's perfect material to make her popular.\And she has the looks as well.\Looks?\Asagi is a beauty, isn't she?\Yeah.\Now that you mention it, I guess she is? response:	Don't sound so unsure about it!
context: A genius hacker and high school girl protects the island.\That's perfect material to make her popular.\And she has the looks as well.\Looks?\Asagi is a beauty, isn't she?\Yeah.\Now that you mention it, I guess she is?\Don't sound so unsure about it! response:	You blockheaded brutish devil!
context: That's perfect material to make her popular.\And she has the looks as well.\Looks?\Asagi is a beauty, isn't she?\Yeah.\Now that you mention it, I guess she is?\Don't sound so unsure about it!\You blockheaded brutish devil! response:	A fake?
context: And she has the looks as well.\Looks?\Asagi is a beauty, isn't she?\Yeah.\Now that you mention it, I guess she is?\Don't sound so unsure about it!\You blockheaded brutish devil!\A fake? response:	That Aiba-senpai?
context: Looks?\Asagi is a beauty, isn't she?\Yeah.\Now that you mention it, I guess she is?\Don't sound so unsure about it!\You blockheaded brutish devil!\A fake?\That Aiba-senpai? response:	Yeah, but it's not like we have any proof.
context: Asagi is a beauty, isn't she?\Yeah.\Now that you mention it, I guess she is?\Don't sound so unsure about it!\You blockheaded brutish devil!\A fake?\That Aiba-senpai?\Yeah, but it's not like we have any proof. response:	But Senpai, you haven't met Aiba-senpai even once after the Tartaros Rose vanished, right?
