context: So, Lucy... You're actually a daughter of a really rich family. response:	And you ran away from home, right?
context: You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Magnolia in twilight...\It is then that a single man arrives.\Things are oddly quiet today.\It's nice to have days like this once in a while.\It's kind of lonely, though.\Damn it... If only I had Virgo... response:	I'd have been able to dig it up...
context: Now, let's cast a smile spell!\Magnolia in twilight...\It is then that a single man arrives.\Things are oddly quiet today.\It's nice to have days like this once in a while.\It's kind of lonely, though.\Damn it... If only I had Virgo...\I'd have been able to dig it up... response:	You're still talking about that?
context: Magnolia in twilight...\It is then that a single man arrives.\Things are oddly quiet today.\It's nice to have days like this once in a while.\It's kind of lonely, though.\Damn it... If only I had Virgo...\I'd have been able to dig it up...\You're still talking about that? response:	I could so care less about that already! Let's go on a job!
context: It is then that a single man arrives.\Things are oddly quiet today.\It's nice to have days like this once in a while.\It's kind of lonely, though.\Damn it... If only I had Virgo...\I'd have been able to dig it up...\You're still talking about that?\I could so care less about that already! Let's go on a job! response:	But I totally care.
context: Things are oddly quiet today.\It's nice to have days like this once in a while.\It's kind of lonely, though.\Damn it... If only I had Virgo...\I'd have been able to dig it up...\You're still talking about that?\I could so care less about that already! Let's go on a job!\But I totally care. response:	What'll I do about this month's rent?
context: It's nice to have days like this once in a while.\It's kind of lonely, though.\Damn it... If only I had Virgo...\I'd have been able to dig it up...\You're still talking about that?\I could so care less about that already! Let's go on a job!\But I totally care.\What'll I do about this month's rent? response:	Let's go on a job.
context: It's kind of lonely, though.\Damn it... If only I had Virgo...\I'd have been able to dig it up...\You're still talking about that?\I could so care less about that already! Let's go on a job!\But I totally care.\What'll I do about this month's rent?\Let's go on a job. response:	That's a quick about-face, Natsu.
context: Damn it... If only I had Virgo...\I'd have been able to dig it up...\You're still talking about that?\I could so care less about that already! Let's go on a job!\But I totally care.\What'll I do about this month's rent?\Let's go on a job.\That's a quick about-face, Natsu. response:	You're finally in the mood to work again!
context: I'd have been able to dig it up...\You're still talking about that?\I could so care less about that already! Let's go on a job!\But I totally care.\What'll I do about this month's rent?\Let's go on a job.\That's a quick about-face, Natsu.\You're finally in the mood to work again! response:	Thank you!
context: You're still talking about that?\I could so care less about that already! Let's go on a job!\But I totally care.\What'll I do about this month's rent?\Let's go on a job.\That's a quick about-face, Natsu.\You're finally in the mood to work again!\Thank you! response:	Well, I've always been working... Just here and there... Right, Happy?
context: I could so care less about that already! Let's go on a job!\But I totally care.\What'll I do about this month's rent?\Let's go on a job.\That's a quick about-face, Natsu.\You're finally in the mood to work again!\Thank you!\Well, I've always been working... Just here and there... Right, Happy? response:	Aye!
context: But I totally care.\What'll I do about this month's rent?\Let's go on a job.\That's a quick about-face, Natsu.\You're finally in the mood to work again!\Thank you!\Well, I've always been working... Just here and there... Right, Happy?\Aye! response:	What's wrong, Lucy?
context: What'll I do about this month's rent?\Let's go on a job.\That's a quick about-face, Natsu.\You're finally in the mood to work again!\Thank you!\Well, I've always been working... Just here and there... Right, Happy?\Aye!\What's wrong, Lucy? response:	Love Lucky!
context: Let's go on a job.\That's a quick about-face, Natsu.\You're finally in the mood to work again!\Thank you!\Well, I've always been working... Just here and there... Right, Happy?\Aye!\What's wrong, Lucy?\Love Lucky! response:	Maybe it was my imagination.
context: That's a quick about-face, Natsu.\You're finally in the mood to work again!\Thank you!\Well, I've always been working... Just here and there... Right, Happy?\Aye!\What's wrong, Lucy?\Love Lucky!\Maybe it was my imagination. response:	But lately I've been getting a feeling like I'm being watched.
context: You're finally in the mood to work again!\Thank you!\Well, I've always been working... Just here and there... Right, Happy?\Aye!\What's wrong, Lucy?\Love Lucky!\Maybe it was my imagination.\But lately I've been getting a feeling like I'm being watched. response:	There it is!
context: Thank you!\Well, I've always been working... Just here and there... Right, Happy?\Aye!\What's wrong, Lucy?\Love Lucky!\Maybe it was my imagination.\But lately I've been getting a feeling like I'm being watched.\There it is! response:	What do they call that again?
context: Well, I've always been working... Just here and there... Right, Happy?\Aye!\What's wrong, Lucy?\Love Lucky!\Maybe it was my imagination.\But lately I've been getting a feeling like I'm being watched.\There it is!\What do they call that again? response:	It's called being overly self-conscious!
context: Aye!\What's wrong, Lucy?\Love Lucky!\Maybe it was my imagination.\But lately I've been getting a feeling like I'm being watched.\There it is!\What do they call that again?\It's called being overly self-conscious! response:	Not that, sheesh!
context: What's wrong, Lucy?\Love Lucky!\Maybe it was my imagination.\But lately I've been getting a feeling like I'm being watched.\There it is!\What do they call that again?\It's called being overly self-conscious!\Not that, sheesh! response:	I hope it's just my imagination!
context: Love Lucky!\Maybe it was my imagination.\But lately I've been getting a feeling like I'm being watched.\There it is!\What do they call that again?\It's called being overly self-conscious!\Not that, sheesh!\I hope it's just my imagination! response:	Those two really do get along.
context: Maybe it was my imagination.\But lately I've been getting a feeling like I'm being watched.\There it is!\What do they call that again?\It's called being overly self-conscious!\Not that, sheesh!\I hope it's just my imagination!\Those two really do get along. response:	Yeah...
context: But lately I've been getting a feeling like I'm being watched.\There it is!\What do they call that again?\It's called being overly self-conscious!\Not that, sheesh!\I hope it's just my imagination!\Those two really do get along.\Yeah... response:	Whatever.
context: There it is!\What do they call that again?\It's called being overly self-conscious!\Not that, sheesh!\I hope it's just my imagination!\Those two really do get along.\Yeah...\Whatever. response:	We'll meet up at noon tomorrow,'kay?
context: What do they call that again?\It's called being overly self-conscious!\Not that, sheesh!\I hope it's just my imagination!\Those two really do get along.\Yeah...\Whatever.\We'll meet up at noon tomorrow,'kay? response:	'Kay?
context: It's called being overly self-conscious!\Not that, sheesh!\I hope it's just my imagination!\Those two really do get along.\Yeah...\Whatever.\We'll meet up at noon tomorrow,'kay?\'Kay? response:	Okay!
context: Not that, sheesh!\I hope it's just my imagination!\Those two really do get along.\Yeah...\Whatever.\We'll meet up at noon tomorrow,'kay?\'Kay?\Okay! response:	Tomorrow's... gonna be a fun... day of work!
context: I hope it's just my imagination!\Those two really do get along.\Yeah...\Whatever.\We'll meet up at noon tomorrow,'kay?\'Kay?\Okay!\Tomorrow's... gonna be a fun... day of work! response:	Lucy-chan, be careful!
context: Those two really do get along.\Yeah...\Whatever.\We'll meet up at noon tomorrow,'kay?\'Kay?\Okay!\Tomorrow's... gonna be a fun... day of work!\Lucy-chan, be careful! response:	I'm fine, just fine!
context: Yeah...\Whatever.\We'll meet up at noon tomorrow,'kay?\'Kay?\Okay!\Tomorrow's... gonna be a fun... day of work!\Lucy-chan, be careful!\I'm fine, just fine! response:	I wonder what I should wear?
context: Whatever.\We'll meet up at noon tomorrow,'kay?\'Kay?\Okay!\Tomorrow's... gonna be a fun... day of work!\Lucy-chan, be careful!\I'm fine, just fine!\I wonder what I should wear? response:	Be careful on your way home!
context: We'll meet up at noon tomorrow,'kay?\'Kay?\Okay!\Tomorrow's... gonna be a fun... day of work!\Lucy-chan, be careful!\I'm fine, just fine!\I wonder what I should wear?\Be careful on your way home! response:	Thanks!
context: 'Kay?\Okay!\Tomorrow's... gonna be a fun... day of work!\Lucy-chan, be careful!\I'm fine, just fine!\I wonder what I should wear?\Be careful on your way home!\Thanks! response:	I knew it! Someone is watching me!
context: Okay!\Tomorrow's... gonna be a fun... day of work!\Lucy-chan, be careful!\I'm fine, just fine!\I wonder what I should wear?\Be careful on your way home!\Thanks!\I knew it! Someone is watching me! response:	He's following me!
context: Tomorrow's... gonna be a fun... day of work!\Lucy-chan, be careful!\I'm fine, just fine!\I wonder what I should wear?\Be careful on your way home!\Thanks!\I knew it! Someone is watching me!\He's following me! response:	Lucy!
context: Lucy-chan, be careful!\I'm fine, just fine!\I wonder what I should wear?\Be careful on your way home!\Thanks!\I knew it! Someone is watching me!\He's following me!\Lucy! response:	Stop it!
context: I'm fine, just fine!\I wonder what I should wear?\Be careful on your way home!\Thanks!\I knew it! Someone is watching me!\He's following me!\Lucy!\Stop it! response:	It's me.
context: I wonder what I should wear?\Be careful on your way home!\Thanks!\I knew it! Someone is watching me!\He's following me!\Lucy!\Stop it!\It's me. response:	Your dad...
context: Be careful on your way home!\Thanks!\I knew it! Someone is watching me!\He's following me!\Lucy!\Stop it!\It's me.\Your dad... response:	No way...
context: Thanks!\I knew it! Someone is watching me!\He's following me!\Lucy!\Stop it!\It's me.\Your dad...\No way... response:	Father?
context: I knew it! Someone is watching me!\He's following me!\Lucy!\Stop it!\It's me.\Your dad...\No way...\Father? response:	Why are you here?
context: He's following me!\Lucy!\Stop it!\It's me.\Your dad...\No way...\Father?\Why are you here? response:	And... what's with those clothes?
context: Lucy!\Stop it!\It's me.\Your dad...\No way...\Father?\Why are you here?\And... what's with those clothes? response:	Heartfilia Railways was confiscated.
context: Stop it!\It's me.\Your dad...\No way...\Father?\Why are you here?\And... what's with those clothes?\Heartfilia Railways was confiscated. response:	I lost everything... My company, my house, my money...
context: It's me.\Your dad...\No way...\Father?\Why are you here?\And... what's with those clothes?\Heartfilia Railways was confiscated.\I lost everything... My company, my house, my money... response:	But that's...
context: Your dad...\No way...\Father?\Why are you here?\And... what's with those clothes?\Heartfilia Railways was confiscated.\I lost everything... My company, my house, my money...\But that's... response:	All the private property was used as collateral, see...
context: No way...\Father?\Why are you here?\And... what's with those clothes?\Heartfilia Railways was confiscated.\I lost everything... My company, my house, my money...\But that's...\All the private property was used as collateral, see... response:	Is this my reward for being a serious businessman all these years?!
context: Father?\Why are you here?\And... what's with those clothes?\Heartfilia Railways was confiscated.\I lost everything... My company, my house, my money...\But that's...\All the private property was used as collateral, see...\Is this my reward for being a serious businessman all these years?! response:	W-Wait, the house?
context: Why are you here?\And... what's with those clothes?\Heartfilia Railways was confiscated.\I lost everything... My company, my house, my money...\But that's...\All the private property was used as collateral, see...\Is this my reward for being a serious businessman all these years?!\W-Wait, the house? response:	That's where mom's grave is!
context: And... what's with those clothes?\Heartfilia Railways was confiscated.\I lost everything... My company, my house, my money...\But that's...\All the private property was used as collateral, see...\Is this my reward for being a serious businessman all these years?!\W-Wait, the house?\That's where mom's grave is! response:	I transferred it here.
context: Heartfilia Railways was confiscated.\I lost everything... My company, my house, my money...\But that's...\All the private property was used as collateral, see...\Is this my reward for being a serious businessman all these years?!\W-Wait, the house?\That's where mom's grave is!\I transferred it here. response:	It's not so much sad, as it is laughable.
context: I lost everything... My company, my house, my money...\But that's...\All the private property was used as collateral, see...\Is this my reward for being a serious businessman all these years?!\W-Wait, the house?\That's where mom's grave is!\I transferred it here.\It's not so much sad, as it is laughable. response:	That much wealth, gone in an instant.
context: But that's...\All the private property was used as collateral, see...\Is this my reward for being a serious businessman all these years?!\W-Wait, the house?\That's where mom's grave is!\I transferred it here.\It's not so much sad, as it is laughable.\That much wealth, gone in an instant. response:	All my long years of achievement, to naught in a single night...
context: All the private property was used as collateral, see...\Is this my reward for being a serious businessman all these years?!\W-Wait, the house?\That's where mom's grave is!\I transferred it here.\It's not so much sad, as it is laughable.\That much wealth, gone in an instant.\All my long years of achievement, to naught in a single night... response:	The money I worked so hard for I even sacrificed my family!
context: Is this my reward for being a serious businessman all these years?!\W-Wait, the house?\That's where mom's grave is!\I transferred it here.\It's not so much sad, as it is laughable.\That much wealth, gone in an instant.\All my long years of achievement, to naught in a single night...\The money I worked so hard for I even sacrificed my family! response:	It's laughable! What a farce!
context: W-Wait, the house?\That's where mom's grave is!\I transferred it here.\It's not so much sad, as it is laughable.\That much wealth, gone in an instant.\All my long years of achievement, to naught in a single night...\The money I worked so hard for I even sacrificed my family!\It's laughable! What a farce! response:	Why have you come here?
context: That's where mom's grave is!\I transferred it here.\It's not so much sad, as it is laughable.\That much wealth, gone in an instant.\All my long years of achievement, to naught in a single night...\The money I worked so hard for I even sacrificed my family!\It's laughable! What a farce!\Why have you come here? response:	To see my daughter's face, Lucy.
context: I transferred it here.\It's not so much sad, as it is laughable.\That much wealth, gone in an instant.\All my long years of achievement, to naught in a single night...\The money I worked so hard for I even sacrificed my family!\It's laughable! What a farce!\Why have you come here?\To see my daughter's face, Lucy. response:	Why now?
context: It's not so much sad, as it is laughable.\That much wealth, gone in an instant.\All my long years of achievement, to naught in a single night...\The money I worked so hard for I even sacrificed my family!\It's laughable! What a farce!\Why have you come here?\To see my daughter's face, Lucy.\Why now? response:	And I told you not to lay a hand on Fairy Tail!
context: That much wealth, gone in an instant.\All my long years of achievement, to naught in a single night...\The money I worked so hard for I even sacrificed my family!\It's laughable! What a farce!\Why have you come here?\To see my daughter's face, Lucy.\Why now?\And I told you not to lay a hand on Fairy Tail! response:	I don't have that kind of power now.
context: All my long years of achievement, to naught in a single night...\The money I worked so hard for I even sacrificed my family!\It's laughable! What a farce!\Why have you come here?\To see my daughter's face, Lucy.\Why now?\And I told you not to lay a hand on Fairy Tail!\I don't have that kind of power now. response:	I only came to see how my daughter was doing.
context: The money I worked so hard for I even sacrificed my family!\It's laughable! What a farce!\Why have you come here?\To see my daughter's face, Lucy.\Why now?\And I told you not to lay a hand on Fairy Tail!\I don't have that kind of power now.\I only came to see how my daughter was doing. response:	Please, don't give me that kind of look.
context: It's laughable! What a farce!\Why have you come here?\To see my daughter's face, Lucy.\Why now?\And I told you not to lay a hand on Fairy Tail!\I don't have that kind of power now.\I only came to see how my daughter was doing.\Please, don't give me that kind of look. response:	I'm sorry about everything that happened.
context: Why have you come here?\To see my daughter's face, Lucy.\Why now?\And I told you not to lay a hand on Fairy Tail!\I don't have that kind of power now.\I only came to see how my daughter was doing.\Please, don't give me that kind of look.\I'm sorry about everything that happened. response:	I don't plan to remain here long.
context: To see my daughter's face, Lucy.\Why now?\And I told you not to lay a hand on Fairy Tail!\I don't have that kind of power now.\I only came to see how my daughter was doing.\Please, don't give me that kind of look.\I'm sorry about everything that happened.\I don't plan to remain here long. response:	I'm going to go work at a trade guild in Acalypha.
context: Why now?\And I told you not to lay a hand on Fairy Tail!\I don't have that kind of power now.\I only came to see how my daughter was doing.\Please, don't give me that kind of look.\I'm sorry about everything that happened.\I don't plan to remain here long.\I'm going to go work at a trade guild in Acalypha. response:	I'm going to start all over again.
context: And I told you not to lay a hand on Fairy Tail!\I don't have that kind of power now.\I only came to see how my daughter was doing.\Please, don't give me that kind of look.\I'm sorry about everything that happened.\I don't plan to remain here long.\I'm going to go work at a trade guild in Acalypha.\I'm going to start all over again. response:	Acalypha?
context: I don't have that kind of power now.\I only came to see how my daughter was doing.\Please, don't give me that kind of look.\I'm sorry about everything that happened.\I don't plan to remain here long.\I'm going to go work at a trade guild in Acalypha.\I'm going to start all over again.\Acalypha? response:	You'll see it soon if you travel to the west from here.
context: I only came to see how my daughter was doing.\Please, don't give me that kind of look.\I'm sorry about everything that happened.\I don't plan to remain here long.\I'm going to go work at a trade guild in Acalypha.\I'm going to start all over again.\Acalypha?\You'll see it soon if you travel to the west from here. response:	I see...
context: Please, don't give me that kind of look.\I'm sorry about everything that happened.\I don't plan to remain here long.\I'm going to go work at a trade guild in Acalypha.\I'm going to start all over again.\Acalypha?\You'll see it soon if you travel to the west from here.\I see... response:	So, about that, Lucy...
context: I'm sorry about everything that happened.\I don't plan to remain here long.\I'm going to go work at a trade guild in Acalypha.\I'm going to start all over again.\Acalypha?\You'll see it soon if you travel to the west from here.\I see...\So, about that, Lucy... response:	I'm going to need some money.
context: I don't plan to remain here long.\I'm going to go work at a trade guild in Acalypha.\I'm going to start all over again.\Acalypha?\You'll see it soon if you travel to the west from here.\I see...\So, about that, Lucy...\I'm going to need some money. response:	100,000 jewel would be enough. Would you lend it to me?
context: I'm going to go work at a trade guild in Acalypha.\I'm going to start all over again.\Acalypha?\You'll see it soon if you travel to the west from here.\I see...\So, about that, Lucy...\I'm going to need some money.\100,000 jewel would be enough. Would you lend it to me? response:	T-That much money? There's no way I have that!
context: I'm going to start all over again.\Acalypha?\You'll see it soon if you travel to the west from here.\I see...\So, about that, Lucy...\I'm going to need some money.\100,000 jewel would be enough. Would you lend it to me?\T-That much money? There's no way I have that! response:	That much?
context: Acalypha?\You'll see it soon if you travel to the west from here.\I see...\So, about that, Lucy...\I'm going to need some money.\100,000 jewel would be enough. Would you lend it to me?\T-That much money? There's no way I have that!\That much? response:	It's just 100,000!
context: You'll see it soon if you travel to the west from here.\I see...\So, about that, Lucy...\I'm going to need some money.\100,000 jewel would be enough. Would you lend it to me?\T-That much money? There's no way I have that!\That much?\It's just 100,000! response:	You're my daughter... I'm sure you have that much on hand.
context: I see...\So, about that, Lucy...\I'm going to need some money.\100,000 jewel would be enough. Would you lend it to me?\T-That much money? There's no way I have that!\That much?\It's just 100,000!\You're my daughter... I'm sure you have that much on hand. response:	What the hell are you spouting?
context: So, about that, Lucy...\I'm going to need some money.\100,000 jewel would be enough. Would you lend it to me?\T-That much money? There's no way I have that!\That much?\It's just 100,000!\You're my daughter... I'm sure you have that much on hand.\What the hell are you spouting? response:	Money! And I'm putting my pride aside to beg you for it!
context: I'm going to need some money.\100,000 jewel would be enough. Would you lend it to me?\T-That much money? There's no way I have that!\That much?\It's just 100,000!\You're my daughter... I'm sure you have that much on hand.\What the hell are you spouting?\Money! And I'm putting my pride aside to beg you for it! response:	Yes, even I!
context: 100,000 jewel would be enough. Would you lend it to me?\T-That much money? There's no way I have that!\That much?\It's just 100,000!\You're my daughter... I'm sure you have that much on hand.\What the hell are you spouting?\Money! And I'm putting my pride aside to beg you for it!\Yes, even I! response:	Enough! Now, give me money!
context: T-That much money? There's no way I have that!\That much?\It's just 100,000!\You're my daughter... I'm sure you have that much on hand.\What the hell are you spouting?\Money! And I'm putting my pride aside to beg you for it!\Yes, even I!\Enough! Now, give me money! response:	I don't know what you're saying...
context: That much?\It's just 100,000!\You're my daughter... I'm sure you have that much on hand.\What the hell are you spouting?\Money! And I'm putting my pride aside to beg you for it!\Yes, even I!\Enough! Now, give me money!\I don't know what you're saying... response:	Is this how you treat your father?
context: It's just 100,000!\You're my daughter... I'm sure you have that much on hand.\What the hell are you spouting?\Money! And I'm putting my pride aside to beg you for it!\Yes, even I!\Enough! Now, give me money!\I don't know what you're saying...\Is this how you treat your father? response:	I told you back then, remember?
context: You're my daughter... I'm sure you have that much on hand.\What the hell are you spouting?\Money! And I'm putting my pride aside to beg you for it!\Yes, even I!\Enough! Now, give me money!\I don't know what you're saying...\Is this how you treat your father?\I told you back then, remember? response:	What I want isn't money, or pretty dresses, or fortune forced upon me...
context: What the hell are you spouting?\Money! And I'm putting my pride aside to beg you for it!\Yes, even I!\Enough! Now, give me money!\I don't know what you're saying...\Is this how you treat your father?\I told you back then, remember?\What I want isn't money, or pretty dresses, or fortune forced upon me... response:	And the same goes for you, Father.
context: Money! And I'm putting my pride aside to beg you for it!\Yes, even I!\Enough! Now, give me money!\I don't know what you're saying...\Is this how you treat your father?\I told you back then, remember?\What I want isn't money, or pretty dresses, or fortune forced upon me...\And the same goes for you, Father. response:	You don't have any fortunes waiting for you!
context: Yes, even I!\Enough! Now, give me money!\I don't know what you're saying...\Is this how you treat your father?\I told you back then, remember?\What I want isn't money, or pretty dresses, or fortune forced upon me...\And the same goes for you, Father.\You don't have any fortunes waiting for you! response:	Lucy!
context: Enough! Now, give me money!\I don't know what you're saying...\Is this how you treat your father?\I told you back then, remember?\What I want isn't money, or pretty dresses, or fortune forced upon me...\And the same goes for you, Father.\You don't have any fortunes waiting for you!\Lucy! response:	Leave!
context: I don't know what you're saying...\Is this how you treat your father?\I told you back then, remember?\What I want isn't money, or pretty dresses, or fortune forced upon me...\And the same goes for you, Father.\You don't have any fortunes waiting for you!\Lucy!\Leave! response:	I can't believe him... How could he stoop so low?
context: Is this how you treat your father?\I told you back then, remember?\What I want isn't money, or pretty dresses, or fortune forced upon me...\And the same goes for you, Father.\You don't have any fortunes waiting for you!\Lucy!\Leave!\I can't believe him... How could he stoop so low? response:	Sergeant Happy, is everything normal?
context: I told you back then, remember?\What I want isn't money, or pretty dresses, or fortune forced upon me...\And the same goes for you, Father.\You don't have any fortunes waiting for you!\Lucy!\Leave!\I can't believe him... How could he stoop so low?\Sergeant Happy, is everything normal? response:	Aye, sir! Captain!
context: What I want isn't money, or pretty dresses, or fortune forced upon me...\And the same goes for you, Father.\You don't have any fortunes waiting for you!\Lucy!\Leave!\I can't believe him... How could he stoop so low?\Sergeant Happy, is everything normal?\Aye, sir! Captain! response:	Lucy, there's no one suspicious around here.
context: And the same goes for you, Father.\You don't have any fortunes waiting for you!\Lucy!\Leave!\I can't believe him... How could he stoop so low?\Sergeant Happy, is everything normal?\Aye, sir! Captain!\Lucy, there's no one suspicious around here. response:	Thanks...
context: You don't have any fortunes waiting for you!\Lucy!\Leave!\I can't believe him... How could he stoop so low?\Sergeant Happy, is everything normal?\Aye, sir! Captain!\Lucy, there's no one suspicious around here.\Thanks... response:	Captain!
context: Lucy!\Leave!\I can't believe him... How could he stoop so low?\Sergeant Happy, is everything normal?\Aye, sir! Captain!\Lucy, there's no one suspicious around here.\Thanks...\Captain! response:	This private here lacks enthusiasm, sir!
context: Leave!\I can't believe him... How could he stoop so low?\Sergeant Happy, is everything normal?\Aye, sir! Captain!\Lucy, there's no one suspicious around here.\Thanks...\Captain!\This private here lacks enthusiasm, sir! response:	Why am I a private?
context: I can't believe him... How could he stoop so low?\Sergeant Happy, is everything normal?\Aye, sir! Captain!\Lucy, there's no one suspicious around here.\Thanks...\Captain!\This private here lacks enthusiasm, sir!\Why am I a private? response:	Yup, seems like it.
context: Sergeant Happy, is everything normal?\Aye, sir! Captain!\Lucy, there's no one suspicious around here.\Thanks...\Captain!\This private here lacks enthusiasm, sir!\Why am I a private?\Yup, seems like it. response:	Everything okay, Lucy?
context: Aye, sir! Captain!\Lucy, there's no one suspicious around here.\Thanks...\Captain!\This private here lacks enthusiasm, sir!\Why am I a private?\Yup, seems like it.\Everything okay, Lucy? response:	Don't tell me he's...
context: Lucy, there's no one suspicious around here.\Thanks...\Captain!\This private here lacks enthusiasm, sir!\Why am I a private?\Yup, seems like it.\Everything okay, Lucy?\Don't tell me he's... response:	Captain! I've spotted a questionable subject!
context: Thanks...\Captain!\This private here lacks enthusiasm, sir!\Why am I a private?\Yup, seems like it.\Everything okay, Lucy?\Don't tell me he's...\Captain! I've spotted a questionable subject! response:	There you are!
context: Captain!\This private here lacks enthusiasm, sir!\Why am I a private?\Yup, seems like it.\Everything okay, Lucy?\Don't tell me he's...\Captain! I've spotted a questionable subject!\There you are! response:	That hurt, you jerk!
context: This private here lacks enthusiasm, sir!\Why am I a private?\Yup, seems like it.\Everything okay, Lucy?\Don't tell me he's...\Captain! I've spotted a questionable subject!\There you are!\That hurt, you jerk! response:	What are you doing, you jerk?
