context: That night, I became worried about Nana response:	since she hadn't replied to the email I sent her.
context: and that's why I have a good voice.\So our talent agency advised us to keep it a secret,\so people would think I'm super talented\in spite of me being Japanese just like everyone else.\I don't care either way, as long as I can sing.\The people around me can be pests in other ways, too.\Like, they tell me not to do or say anything that'll hurt my image.\Hurt my image or not, this is who I am. response:	Being human can be so tiring.
context: So our talent agency advised us to keep it a secret,\so people would think I'm super talented\in spite of me being Japanese just like everyone else.\I don't care either way, as long as I can sing.\The people around me can be pests in other ways, too.\Like, they tell me not to do or say anything that'll hurt my image.\Hurt my image or not, this is who I am.\Being human can be so tiring. response:	The next day, it started raining hard early in the morning.
context: so people would think I'm super talented\in spite of me being Japanese just like everyone else.\I don't care either way, as long as I can sing.\The people around me can be pests in other ways, too.\Like, they tell me not to do or say anything that'll hurt my image.\Hurt my image or not, this is who I am.\Being human can be so tiring.\The next day, it started raining hard early in the morning. response:	As a result, people were scarce at the supermarket where I worked.
context: in spite of me being Japanese just like everyone else.\I don't care either way, as long as I can sing.\The people around me can be pests in other ways, too.\Like, they tell me not to do or say anything that'll hurt my image.\Hurt my image or not, this is who I am.\Being human can be so tiring.\The next day, it started raining hard early in the morning.\As a result, people were scarce at the supermarket where I worked. response:	The smell of the dumplings that wouldn't sell,
context: I don't care either way, as long as I can sing.\The people around me can be pests in other ways, too.\Like, they tell me not to do or say anything that'll hurt my image.\Hurt my image or not, this is who I am.\Being human can be so tiring.\The next day, it started raining hard early in the morning.\As a result, people were scarce at the supermarket where I worked.\The smell of the dumplings that wouldn't sell, response:	lingered on my hair and clothes, making work totally unbearable.
context: The people around me can be pests in other ways, too.\Like, they tell me not to do or say anything that'll hurt my image.\Hurt my image or not, this is who I am.\Being human can be so tiring.\The next day, it started raining hard early in the morning.\As a result, people were scarce at the supermarket where I worked.\The smell of the dumplings that wouldn't sell,\lingered on my hair and clothes, making work totally unbearable. response:	So you failed to go through with it.
context: Like, they tell me not to do or say anything that'll hurt my image.\Hurt my image or not, this is who I am.\Being human can be so tiring.\The next day, it started raining hard early in the morning.\As a result, people were scarce at the supermarket where I worked.\The smell of the dumplings that wouldn't sell,\lingered on my hair and clothes, making work totally unbearable.\So you failed to go through with it. response:	Shut up!
context: Hurt my image or not, this is who I am.\Being human can be so tiring.\The next day, it started raining hard early in the morning.\As a result, people were scarce at the supermarket where I worked.\The smell of the dumplings that wouldn't sell,\lingered on my hair and clothes, making work totally unbearable.\So you failed to go through with it.\Shut up! response:	But even Hachi must have figured out your feelings for her, Nobu.
context: Being human can be so tiring.\The next day, it started raining hard early in the morning.\As a result, people were scarce at the supermarket where I worked.\The smell of the dumplings that wouldn't sell,\lingered on my hair and clothes, making work totally unbearable.\So you failed to go through with it.\Shut up!\But even Hachi must have figured out your feelings for her, Nobu. response:	She could be at a loss right now
context: The next day, it started raining hard early in the morning.\As a result, people were scarce at the supermarket where I worked.\The smell of the dumplings that wouldn't sell,\lingered on my hair and clothes, making work totally unbearable.\So you failed to go through with it.\Shut up!\But even Hachi must have figured out your feelings for her, Nobu.\She could be at a loss right now response:	since you only partially confessed your feelings to her.
context: As a result, people were scarce at the supermarket where I worked.\The smell of the dumplings that wouldn't sell,\lingered on my hair and clothes, making work totally unbearable.\So you failed to go through with it.\Shut up!\But even Hachi must have figured out your feelings for her, Nobu.\She could be at a loss right now\since you only partially confessed your feelings to her. response:	What am I doing, causing her problems?
context: The smell of the dumplings that wouldn't sell,\lingered on my hair and clothes, making work totally unbearable.\So you failed to go through with it.\Shut up!\But even Hachi must have figured out your feelings for her, Nobu.\She could be at a loss right now\since you only partially confessed your feelings to her.\What am I doing, causing her problems? response:	These aren't any good.
context: lingered on my hair and clothes, making work totally unbearable.\So you failed to go through with it.\Shut up!\But even Hachi must have figured out your feelings for her, Nobu.\She could be at a loss right now\since you only partially confessed your feelings to her.\What am I doing, causing her problems?\These aren't any good. response:	Do you have a light?
context: So you failed to go through with it.\Shut up!\But even Hachi must have figured out your feelings for her, Nobu.\She could be at a loss right now\since you only partially confessed your feelings to her.\What am I doing, causing her problems?\These aren't any good.\Do you have a light? response:	I don't. Say, where did you forget that huge lighter you had?
context: Shut up!\But even Hachi must have figured out your feelings for her, Nobu.\She could be at a loss right now\since you only partially confessed your feelings to her.\What am I doing, causing her problems?\These aren't any good.\Do you have a light?\I don't. Say, where did you forget that huge lighter you had? response:	How do you lose something you wear around your neck?
context: But even Hachi must have figured out your feelings for her, Nobu.\She could be at a loss right now\since you only partially confessed your feelings to her.\What am I doing, causing her problems?\These aren't any good.\Do you have a light?\I don't. Say, where did you forget that huge lighter you had?\How do you lose something you wear around your neck? response:	What am I gonna do? I really liked it.
context: She could be at a loss right now\since you only partially confessed your feelings to her.\What am I doing, causing her problems?\These aren't any good.\Do you have a light?\I don't. Say, where did you forget that huge lighter you had?\How do you lose something you wear around your neck?\What am I gonna do? I really liked it. response:	It's a rare item, so it's hard to find another one.
context: since you only partially confessed your feelings to her.\What am I doing, causing her problems?\These aren't any good.\Do you have a light?\I don't. Say, where did you forget that huge lighter you had?\How do you lose something you wear around your neck?\What am I gonna do? I really liked it.\It's a rare item, so it's hard to find another one. response:	It's divine punishment. You've upset the Demon Lord.
context: What am I doing, causing her problems?\These aren't any good.\Do you have a light?\I don't. Say, where did you forget that huge lighter you had?\How do you lose something you wear around your neck?\What am I gonna do? I really liked it.\It's a rare item, so it's hard to find another one.\It's divine punishment. You've upset the Demon Lord. response:	You think so?
context: These aren't any good.\Do you have a light?\I don't. Say, where did you forget that huge lighter you had?\How do you lose something you wear around your neck?\What am I gonna do? I really liked it.\It's a rare item, so it's hard to find another one.\It's divine punishment. You've upset the Demon Lord.\You think so? response:	Huh?
context: Do you have a light?\I don't. Say, where did you forget that huge lighter you had?\How do you lose something you wear around your neck?\What am I gonna do? I really liked it.\It's a rare item, so it's hard to find another one.\It's divine punishment. You've upset the Demon Lord.\You think so?\Huh? response:	Hey, Yasu.
context: I don't. Say, where did you forget that huge lighter you had?\How do you lose something you wear around your neck?\What am I gonna do? I really liked it.\It's a rare item, so it's hard to find another one.\It's divine punishment. You've upset the Demon Lord.\You think so?\Huh?\Hey, Yasu. response:	Where's Nana?
context: How do you lose something you wear around your neck?\What am I gonna do? I really liked it.\It's a rare item, so it's hard to find another one.\It's divine punishment. You've upset the Demon Lord.\You think so?\Huh?\Hey, Yasu.\Where's Nana? response:	Not here yet.
context: What am I gonna do? I really liked it.\It's a rare item, so it's hard to find another one.\It's divine punishment. You've upset the Demon Lord.\You think so?\Huh?\Hey, Yasu.\Where's Nana?\Not here yet. response:	So, how did it go with the record company?
context: It's a rare item, so it's hard to find another one.\It's divine punishment. You've upset the Demon Lord.\You think so?\Huh?\Hey, Yasu.\Where's Nana?\Not here yet.\So, how did it go with the record company? response:	I'll tell you when Nana gets here.
context: It's divine punishment. You've upset the Demon Lord.\You think so?\Huh?\Hey, Yasu.\Where's Nana?\Not here yet.\So, how did it go with the record company?\I'll tell you when Nana gets here. response:	Come on, you can tell us.
context: You think so?\Huh?\Hey, Yasu.\Where's Nana?\Not here yet.\So, how did it go with the record company?\I'll tell you when Nana gets here.\Come on, you can tell us. response:	What are you talking about?
context: Huh?\Hey, Yasu.\Where's Nana?\Not here yet.\So, how did it go with the record company?\I'll tell you when Nana gets here.\Come on, you can tell us.\What are you talking about? response:	Oh, Shin.
context: Hey, Yasu.\Where's Nana?\Not here yet.\So, how did it go with the record company?\I'll tell you when Nana gets here.\Come on, you can tell us.\What are you talking about?\Oh, Shin. response:	I couldn't reach you on your cell since last night.
context: Where's Nana?\Not here yet.\So, how did it go with the record company?\I'll tell you when Nana gets here.\Come on, you can tell us.\What are you talking about?\Oh, Shin.\I couldn't reach you on your cell since last night. response:	You had me worried.
context: Not here yet.\So, how did it go with the record company?\I'll tell you when Nana gets here.\Come on, you can tell us.\What are you talking about?\Oh, Shin.\I couldn't reach you on your cell since last night.\You had me worried. response:	I'm glad to see you're alive.
context: So, how did it go with the record company?\I'll tell you when Nana gets here.\Come on, you can tell us.\What are you talking about?\Oh, Shin.\I couldn't reach you on your cell since last night.\You had me worried.\I'm glad to see you're alive. response:	Another woman. Give it a rest, would you?
context: I'll tell you when Nana gets here.\Come on, you can tell us.\What are you talking about?\Oh, Shin.\I couldn't reach you on your cell since last night.\You had me worried.\I'm glad to see you're alive.\Another woman. Give it a rest, would you? response:	It's work.
context: Come on, you can tell us.\What are you talking about?\Oh, Shin.\I couldn't reach you on your cell since last night.\You had me worried.\I'm glad to see you're alive.\Another woman. Give it a rest, would you?\It's work. response:	Don't call it work!
context: What are you talking about?\Oh, Shin.\I couldn't reach you on your cell since last night.\You had me worried.\I'm glad to see you're alive.\Another woman. Give it a rest, would you?\It's work.\Don't call it work! response:	Yasu!
context: Oh, Shin.\I couldn't reach you on your cell since last night.\You had me worried.\I'm glad to see you're alive.\Another woman. Give it a rest, would you?\It's work.\Don't call it work!\Yasu! response:	How was it with the record company?
context: I couldn't reach you on your cell since last night.\You had me worried.\I'm glad to see you're alive.\Another woman. Give it a rest, would you?\It's work.\Don't call it work!\Yasu!\How was it with the record company? response:	Like I said, what are you talking about?!
context: You had me worried.\I'm glad to see you're alive.\Another woman. Give it a rest, would you?\It's work.\Don't call it work!\Yasu!\How was it with the record company?\Like I said, what are you talking about?! response:	You've been scouted?!
context: I'm glad to see you're alive.\Another woman. Give it a rest, would you?\It's work.\Don't call it work!\Yasu!\How was it with the record company?\Like I said, what are you talking about?!\You've been scouted?! response:	Wait... Wait a minute...
context: Another woman. Give it a rest, would you?\It's work.\Don't call it work!\Yasu!\How was it with the record company?\Like I said, what are you talking about?!\You've been scouted?!\Wait... Wait a minute... response:	Calm... Calm down... You need to calm down, Nana!
context: It's work.\Don't call it work!\Yasu!\How was it with the record company?\Like I said, what are you talking about?!\You've been scouted?!\Wait... Wait a minute...\Calm... Calm down... You need to calm down, Nana! response:	You're the one who needs to calm down.
context: Don't call it work!\Yasu!\How was it with the record company?\Like I said, what are you talking about?!\You've been scouted?!\Wait... Wait a minute...\Calm... Calm down... You need to calm down, Nana!\You're the one who needs to calm down. response:	Okay, now calm down,
context: Yasu!\How was it with the record company?\Like I said, what are you talking about?!\You've been scouted?!\Wait... Wait a minute...\Calm... Calm down... You need to calm down, Nana!\You're the one who needs to calm down.\Okay, now calm down, response:	and you shall tell me what happened in the proper order.
context: How was it with the record company?\Like I said, what are you talking about?!\You've been scouted?!\Wait... Wait a minute...\Calm... Calm down... You need to calm down, Nana!\You're the one who needs to calm down.\Okay, now calm down,\and you shall tell me what happened in the proper order. response:	You shall?
context: Like I said, what are you talking about?!\You've been scouted?!\Wait... Wait a minute...\Calm... Calm down... You need to calm down, Nana!\You're the one who needs to calm down.\Okay, now calm down,\and you shall tell me what happened in the proper order.\You shall? response:	What happened was,
context: You've been scouted?!\Wait... Wait a minute...\Calm... Calm down... You need to calm down, Nana!\You're the one who needs to calm down.\Okay, now calm down,\and you shall tell me what happened in the proper order.\You shall?\What happened was, response:	we casually distributed demo tapes and a video of our live concert
context: Wait... Wait a minute...\Calm... Calm down... You need to calm down, Nana!\You're the one who needs to calm down.\Okay, now calm down,\and you shall tell me what happened in the proper order.\You shall?\What happened was,\we casually distributed demo tapes and a video of our live concert response:	to various record companies.
context: Calm... Calm down... You need to calm down, Nana!\You're the one who needs to calm down.\Okay, now calm down,\and you shall tell me what happened in the proper order.\You shall?\What happened was,\we casually distributed demo tapes and a video of our live concert\to various record companies. response:	Then one of them liked what they saw and contacted us.
context: You're the one who needs to calm down.\Okay, now calm down,\and you shall tell me what happened in the proper order.\You shall?\What happened was,\we casually distributed demo tapes and a video of our live concert\to various record companies.\Then one of them liked what they saw and contacted us. response:	Gaia Records.
context: Okay, now calm down,\and you shall tell me what happened in the proper order.\You shall?\What happened was,\we casually distributed demo tapes and a video of our live concert\to various record companies.\Then one of them liked what they saw and contacted us.\Gaia Records. response:	That's a super famous label! Even I know them!
context: and you shall tell me what happened in the proper order.\You shall?\What happened was,\we casually distributed demo tapes and a video of our live concert\to various record companies.\Then one of them liked what they saw and contacted us.\Gaia Records.\That's a super famous label! Even I know them! response:	Yeah, I guess. Biggest in the music industry.
context: You shall?\What happened was,\we casually distributed demo tapes and a video of our live concert\to various record companies.\Then one of them liked what they saw and contacted us.\Gaia Records.\That's a super famous label! Even I know them!\Yeah, I guess. Biggest in the music industry. response:	Will you be able to debut?
context: What happened was,\we casually distributed demo tapes and a video of our live concert\to various record companies.\Then one of them liked what they saw and contacted us.\Gaia Records.\That's a super famous label! Even I know them!\Yeah, I guess. Biggest in the music industry.\Will you be able to debut? response:	No, not yet. We're not quite there yet.
context: we casually distributed demo tapes and a video of our live concert\to various record companies.\Then one of them liked what they saw and contacted us.\Gaia Records.\That's a super famous label! Even I know them!\Yeah, I guess. Biggest in the music industry.\Will you be able to debut?\No, not yet. We're not quite there yet. response:	Aww...
context: to various record companies.\Then one of them liked what they saw and contacted us.\Gaia Records.\That's a super famous label! Even I know them!\Yeah, I guess. Biggest in the music industry.\Will you be able to debut?\No, not yet. We're not quite there yet.\Aww... response:	You know, Yasu met with a guy from Gaia today.
context: Then one of them liked what they saw and contacted us.\Gaia Records.\That's a super famous label! Even I know them!\Yeah, I guess. Biggest in the music industry.\Will you be able to debut?\No, not yet. We're not quite there yet.\Aww...\You know, Yasu met with a guy from Gaia today. response:	He apparently wants to come to our next concert.
context: Gaia Records.\That's a super famous label! Even I know them!\Yeah, I guess. Biggest in the music industry.\Will you be able to debut?\No, not yet. We're not quite there yet.\Aww...\You know, Yasu met with a guy from Gaia today.\He apparently wants to come to our next concert. response:	If we do well, he'll seriously consider signing us.
context: That's a super famous label! Even I know them!\Yeah, I guess. Biggest in the music industry.\Will you be able to debut?\No, not yet. We're not quite there yet.\Aww...\You know, Yasu met with a guy from Gaia today.\He apparently wants to come to our next concert.\If we do well, he'll seriously consider signing us. response:	I see. Then I'm sure things'll go well.
context: Yeah, I guess. Biggest in the music industry.\Will you be able to debut?\No, not yet. We're not quite there yet.\Aww...\You know, Yasu met with a guy from Gaia today.\He apparently wants to come to our next concert.\If we do well, he'll seriously consider signing us.\I see. Then I'm sure things'll go well. response:	The live performance of BLAST is outta this world, after all.
context: Will you be able to debut?\No, not yet. We're not quite there yet.\Aww...\You know, Yasu met with a guy from Gaia today.\He apparently wants to come to our next concert.\If we do well, he'll seriously consider signing us.\I see. Then I'm sure things'll go well.\The live performance of BLAST is outta this world, after all. response:	Right? We've practically won this battle.
context: No, not yet. We're not quite there yet.\Aww...\You know, Yasu met with a guy from Gaia today.\He apparently wants to come to our next concert.\If we do well, he'll seriously consider signing us.\I see. Then I'm sure things'll go well.\The live performance of BLAST is outta this world, after all.\Right? We've practically won this battle. response:	It'll be a breeze!
context: Aww...\You know, Yasu met with a guy from Gaia today.\He apparently wants to come to our next concert.\If we do well, he'll seriously consider signing us.\I see. Then I'm sure things'll go well.\The live performance of BLAST is outta this world, after all.\Right? We've practically won this battle.\It'll be a breeze! response:	A breeze? You're beaming with confidence.
context: You know, Yasu met with a guy from Gaia today.\He apparently wants to come to our next concert.\If we do well, he'll seriously consider signing us.\I see. Then I'm sure things'll go well.\The live performance of BLAST is outta this world, after all.\Right? We've practically won this battle.\It'll be a breeze!\A breeze? You're beaming with confidence. response:	When's your next live concert? The end of the month, isn't it?
context: He apparently wants to come to our next concert.\If we do well, he'll seriously consider signing us.\I see. Then I'm sure things'll go well.\The live performance of BLAST is outta this world, after all.\Right? We've practically won this battle.\It'll be a breeze!\A breeze? You're beaming with confidence.\When's your next live concert? The end of the month, isn't it? response:	The 28th.
context: If we do well, he'll seriously consider signing us.\I see. Then I'm sure things'll go well.\The live performance of BLAST is outta this world, after all.\Right? We've practically won this battle.\It'll be a breeze!\A breeze? You're beaming with confidence.\When's your next live concert? The end of the month, isn't it?\The 28th. response:	We'd better let Misato know.
context: I see. Then I'm sure things'll go well.\The live performance of BLAST is outta this world, after all.\Right? We've practically won this battle.\It'll be a breeze!\A breeze? You're beaming with confidence.\When's your next live concert? The end of the month, isn't it?\The 28th.\We'd better let Misato know. response:	We were all pumped up at our practice today.
context: The live performance of BLAST is outta this world, after all.\Right? We've practically won this battle.\It'll be a breeze!\A breeze? You're beaming with confidence.\When's your next live concert? The end of the month, isn't it?\The 28th.\We'd better let Misato know.\We were all pumped up at our practice today. response:	Nobu's guitar strings kept snapping.
context: Right? We've practically won this battle.\It'll be a breeze!\A breeze? You're beaming with confidence.\When's your next live concert? The end of the month, isn't it?\The 28th.\We'd better let Misato know.\We were all pumped up at our practice today.\Nobu's guitar strings kept snapping. response:	I promise you, one day, I'll be better than him.
context: It'll be a breeze!\A breeze? You're beaming with confidence.\When's your next live concert? The end of the month, isn't it?\The 28th.\We'd better let Misato know.\We were all pumped up at our practice today.\Nobu's guitar strings kept snapping.\I promise you, one day, I'll be better than him. response:	Takumi.
context: A breeze? You're beaming with confidence.\When's your next live concert? The end of the month, isn't it?\The 28th.\We'd better let Misato know.\We were all pumped up at our practice today.\Nobu's guitar strings kept snapping.\I promise you, one day, I'll be better than him.\Takumi. response:	You should've come after work today.
context: When's your next live concert? The end of the month, isn't it?\The 28th.\We'd better let Misato know.\We were all pumped up at our practice today.\Nobu's guitar strings kept snapping.\I promise you, one day, I'll be better than him.\Takumi.\You should've come after work today. response:	You know... Nana...
context: The 28th.\We'd better let Misato know.\We were all pumped up at our practice today.\Nobu's guitar strings kept snapping.\I promise you, one day, I'll be better than him.\Takumi.\You should've come after work today.\You know... Nana... response:	Yesterday... Er... The day before yesterday? Huh?
context: We'd better let Misato know.\We were all pumped up at our practice today.\Nobu's guitar strings kept snapping.\I promise you, one day, I'll be better than him.\Takumi.\You should've come after work today.\You know... Nana...\Yesterday... Er... The day before yesterday? Huh? response:	Anyway, the day of Trapnest's final concert.
context: We were all pumped up at our practice today.\Nobu's guitar strings kept snapping.\I promise you, one day, I'll be better than him.\Takumi.\You should've come after work today.\You know... Nana...\Yesterday... Er... The day before yesterday? Huh?\Anyway, the day of Trapnest's final concert. response:	Takumi came here late that night.
context: Nobu's guitar strings kept snapping.\I promise you, one day, I'll be better than him.\Takumi.\You should've come after work today.\You know... Nana...\Yesterday... Er... The day before yesterday? Huh?\Anyway, the day of Trapnest's final concert.\Takumi came here late that night. response:	Yeah, I know. Actually, I saw you all lovey-dovey.
context: I promise you, one day, I'll be better than him.\Takumi.\You should've come after work today.\You know... Nana...\Yesterday... Er... The day before yesterday? Huh?\Anyway, the day of Trapnest's final concert.\Takumi came here late that night.\Yeah, I know. Actually, I saw you all lovey-dovey. response:	I called out to you, but you didn't even notice me.
context: Takumi.\You should've come after work today.\You know... Nana...\Yesterday... Er... The day before yesterday? Huh?\Anyway, the day of Trapnest's final concert.\Takumi came here late that night.\Yeah, I know. Actually, I saw you all lovey-dovey.\I called out to you, but you didn't even notice me. response:	I knew it. I'm sorry.
context: You should've come after work today.\You know... Nana...\Yesterday... Er... The day before yesterday? Huh?\Anyway, the day of Trapnest's final concert.\Takumi came here late that night.\Yeah, I know. Actually, I saw you all lovey-dovey.\I called out to you, but you didn't even notice me.\I knew it. I'm sorry. response:	Wh-What about?
