context: The brilliant glow of this sky, does it carry right into your heart? response:	The melody you heard in your dream, it plays like the silence
context: What happened to trying?\I'm trying.\That's Rio's...\Hurry and sit down.\The food's going to get cold.\Now then.\Let me reintroduce you to the members of Platoon 1121.\First, our commander. response:	Lieutenant Felicia Heidemann, tank commander.
context: I'm trying.\That's Rio's...\Hurry and sit down.\The food's going to get cold.\Now then.\Let me reintroduce you to the members of Platoon 1121.\First, our commander.\Lieutenant Felicia Heidemann, tank commander. response:	Let's have fun while you're here.
context: That's Rio's...\Hurry and sit down.\The food's going to get cold.\Now then.\Let me reintroduce you to the members of Platoon 1121.\First, our commander.\Lieutenant Felicia Heidemann, tank commander.\Let's have fun while you're here. response:	Pleased to meet you.
context: Hurry and sit down.\The food's going to get cold.\Now then.\Let me reintroduce you to the members of Platoon 1121.\First, our commander.\Lieutenant Felicia Heidemann, tank commander.\Let's have fun while you're here.\Pleased to meet you. response:	And this is-
context: The food's going to get cold.\Now then.\Let me reintroduce you to the members of Platoon 1121.\First, our commander.\Lieutenant Felicia Heidemann, tank commander.\Let's have fun while you're here.\Pleased to meet you.\And this is- response:	Come on, Noel.
context: Now then.\Let me reintroduce you to the members of Platoon 1121.\First, our commander.\Lieutenant Felicia Heidemann, tank commander.\Let's have fun while you're here.\Pleased to meet you.\And this is-\Come on, Noel. response:	Noel Kannagi.
context: Let me reintroduce you to the members of Platoon 1121.\First, our commander.\Lieutenant Felicia Heidemann, tank commander.\Let's have fun while you're here.\Pleased to meet you.\And this is-\Come on, Noel.\Noel Kannagi. response:	Corporal Kannagi. Pilot.
context: First, our commander.\Lieutenant Felicia Heidemann, tank commander.\Let's have fun while you're here.\Pleased to meet you.\And this is-\Come on, Noel.\Noel Kannagi.\Corporal Kannagi. Pilot. response:	She's our mechanic, too.
context: Lieutenant Felicia Heidemann, tank commander.\Let's have fun while you're here.\Pleased to meet you.\And this is-\Come on, Noel.\Noel Kannagi.\Corporal Kannagi. Pilot.\She's our mechanic, too. response:	Pleased to meet you.
context: Let's have fun while you're here.\Pleased to meet you.\And this is-\Come on, Noel.\Noel Kannagi.\Corporal Kannagi. Pilot.\She's our mechanic, too.\Pleased to meet you. response:	And finally.
context: Pleased to meet you.\And this is-\Come on, Noel.\Noel Kannagi.\Corporal Kannagi. Pilot.\She's our mechanic, too.\Pleased to meet you.\And finally. response:	Private Kureha Suminoya. Gunner.
context: And this is-\Come on, Noel.\Noel Kannagi.\Corporal Kannagi. Pilot.\She's our mechanic, too.\Pleased to meet you.\And finally.\Private Kureha Suminoya. Gunner. response:	Listen.
context: Come on, Noel.\Noel Kannagi.\Corporal Kannagi. Pilot.\She's our mechanic, too.\Pleased to meet you.\And finally.\Private Kureha Suminoya. Gunner.\Listen. response:	I might be younger than you, but I have seniority. You'd better listen to everyt-
context: Noel Kannagi.\Corporal Kannagi. Pilot.\She's our mechanic, too.\Pleased to meet you.\And finally.\Private Kureha Suminoya. Gunner.\Listen.\I might be younger than you, but I have seniority. You'd better listen to everyt- response:	Ran out of gas?
context: Corporal Kannagi. Pilot.\She's our mechanic, too.\Pleased to meet you.\And finally.\Private Kureha Suminoya. Gunner.\Listen.\I might be younger than you, but I have seniority. You'd better listen to everyt-\Ran out of gas? response:	Keep up the good work, Noel.
context: She's our mechanic, too.\Pleased to meet you.\And finally.\Private Kureha Suminoya. Gunner.\Listen.\I might be younger than you, but I have seniority. You'd better listen to everyt-\Ran out of gas?\Keep up the good work, Noel. response:	Now then, how about breakfast?
context: Pleased to meet you.\And finally.\Private Kureha Suminoya. Gunner.\Listen.\I might be younger than you, but I have seniority. You'd better listen to everyt-\Ran out of gas?\Keep up the good work, Noel.\Now then, how about breakfast? response:	But...
context: And finally.\Private Kureha Suminoya. Gunner.\Listen.\I might be younger than you, but I have seniority. You'd better listen to everyt-\Ran out of gas?\Keep up the good work, Noel.\Now then, how about breakfast?\But... response:	I was done.
context: Private Kureha Suminoya. Gunner.\Listen.\I might be younger than you, but I have seniority. You'd better listen to everyt-\Ran out of gas?\Keep up the good work, Noel.\Now then, how about breakfast?\But...\I was done. response:	Okay, then, let's eat.
context: Listen.\I might be younger than you, but I have seniority. You'd better listen to everyt-\Ran out of gas?\Keep up the good work, Noel.\Now then, how about breakfast?\But...\I was done.\Okay, then, let's eat. response:	Let's eat.
context: I might be younger than you, but I have seniority. You'd better listen to everyt-\Ran out of gas?\Keep up the good work, Noel.\Now then, how about breakfast?\But...\I was done.\Okay, then, let's eat.\Let's eat. response:	This is happiness.
context: Ran out of gas?\Keep up the good work, Noel.\Now then, how about breakfast?\But...\I was done.\Okay, then, let's eat.\Let's eat.\This is happiness. response:	I made the bacon myself.
context: Keep up the good work, Noel.\Now then, how about breakfast?\But...\I was done.\Okay, then, let's eat.\Let's eat.\This is happiness.\I made the bacon myself. response:	Eat as much as you'd like.
context: Now then, how about breakfast?\But...\I was done.\Okay, then, let's eat.\Let's eat.\This is happiness.\I made the bacon myself.\Eat as much as you'd like. response:	Thank you!
context: But...\I was done.\Okay, then, let's eat.\Let's eat.\This is happiness.\I made the bacon myself.\Eat as much as you'd like.\Thank you! response:	Both soldiers and buglers are all about body strength.
context: I was done.\Okay, then, let's eat.\Let's eat.\This is happiness.\I made the bacon myself.\Eat as much as you'd like.\Thank you!\Both soldiers and buglers are all about body strength. response:	Eat up and build it.
context: Okay, then, let's eat.\Let's eat.\This is happiness.\I made the bacon myself.\Eat as much as you'd like.\Thank you!\Both soldiers and buglers are all about body strength.\Eat up and build it. response:	I will.
context: Let's eat.\This is happiness.\I made the bacon myself.\Eat as much as you'd like.\Thank you!\Both soldiers and buglers are all about body strength.\Eat up and build it.\I will. response:	Kureha.
context: This is happiness.\I made the bacon myself.\Eat as much as you'd like.\Thank you!\Both soldiers and buglers are all about body strength.\Eat up and build it.\I will.\Kureha. response:	Yes, sir!
context: I made the bacon myself.\Eat as much as you'd like.\Thank you!\Both soldiers and buglers are all about body strength.\Eat up and build it.\I will.\Kureha.\Yes, sir! response:	When breakfast is over, show her around the fortress.
context: Eat as much as you'd like.\Thank you!\Both soldiers and buglers are all about body strength.\Eat up and build it.\I will.\Kureha.\Yes, sir!\When breakfast is over, show her around the fortress. response:	Roger.
context: Thank you!\Both soldiers and buglers are all about body strength.\Eat up and build it.\I will.\Kureha.\Yes, sir!\When breakfast is over, show her around the fortress.\Roger. response:	Attention!
context: Both soldiers and buglers are all about body strength.\Eat up and build it.\I will.\Kureha.\Yes, sir!\When breakfast is over, show her around the fortress.\Roger.\Attention! response:	I had work to do, but this was an order.
context: Eat up and build it.\I will.\Kureha.\Yes, sir!\When breakfast is over, show her around the fortress.\Roger.\Attention!\I had work to do, but this was an order. response:	So I'm showing you around, under orders!
context: I will.\Kureha.\Yes, sir!\When breakfast is over, show her around the fortress.\Roger.\Attention!\I had work to do, but this was an order.\So I'm showing you around, under orders! response:	Yes. Thank you, Kureha.
context: Kureha.\Yes, sir!\When breakfast is over, show her around the fortress.\Roger.\Attention!\I had work to do, but this was an order.\So I'm showing you around, under orders!\Yes. Thank you, Kureha. response:	Insubordination, Private Sorami!
context: Yes, sir!\When breakfast is over, show her around the fortress.\Roger.\Attention!\I had work to do, but this was an order.\So I'm showing you around, under orders!\Yes. Thank you, Kureha.\Insubordination, Private Sorami! response:	I apologize, sir!
context: When breakfast is over, show her around the fortress.\Roger.\Attention!\I had work to do, but this was an order.\So I'm showing you around, under orders!\Yes. Thank you, Kureha.\Insubordination, Private Sorami!\I apologize, sir! response:	Private Suminoya!
context: Roger.\Attention!\I had work to do, but this was an order.\So I'm showing you around, under orders!\Yes. Thank you, Kureha.\Insubordination, Private Sorami!\I apologize, sir!\Private Suminoya! response:	Acceptable.
context: Attention!\I had work to do, but this was an order.\So I'm showing you around, under orders!\Yes. Thank you, Kureha.\Insubordination, Private Sorami!\I apologize, sir!\Private Suminoya!\Acceptable. response:	First: attention to the national and platoon flags!
context: I had work to do, but this was an order.\So I'm showing you around, under orders!\Yes. Thank you, Kureha.\Insubordination, Private Sorami!\I apologize, sir!\Private Suminoya!\Acceptable.\First: attention to the national and platoon flags! response:	Salute!
context: So I'm showing you around, under orders!\Yes. Thank you, Kureha.\Insubordination, Private Sorami!\I apologize, sir!\Private Suminoya!\Acceptable.\First: attention to the national and platoon flags!\Salute! response:	Tank Platoon 1121
context: Yes. Thank you, Kureha.\Insubordination, Private Sorami!\I apologize, sir!\Private Suminoya!\Acceptable.\First: attention to the national and platoon flags!\Salute!\Tank Platoon 1121 response:	currently consists of five members, by rank: one liutenant,
context: Insubordination, Private Sorami!\I apologize, sir!\Private Suminoya!\Acceptable.\First: attention to the national and platoon flags!\Salute!\Tank Platoon 1121\currently consists of five members, by rank: one liutenant, response:	one sergeant, one corporal,
context: I apologize, sir!\Private Suminoya!\Acceptable.\First: attention to the national and platoon flags!\Salute!\Tank Platoon 1121\currently consists of five members, by rank: one liutenant,\one sergeant, one corporal, response:	two privates. Total: five.
context: Private Suminoya!\Acceptable.\First: attention to the national and platoon flags!\Salute!\Tank Platoon 1121\currently consists of five members, by rank: one liutenant,\one sergeant, one corporal,\two privates. Total: five. response:	Understood, Private Suminoya.
context: Acceptable.\First: attention to the national and platoon flags!\Salute!\Tank Platoon 1121\currently consists of five members, by rank: one liutenant,\one sergeant, one corporal,\two privates. Total: five.\Understood, Private Suminoya. response:	It may be the minimum number for a platoon, but it does mean...
context: First: attention to the national and platoon flags!\Salute!\Tank Platoon 1121\currently consists of five members, by rank: one liutenant,\one sergeant, one corporal,\two privates. Total: five.\Understood, Private Suminoya.\It may be the minimum number for a platoon, but it does mean... response:	We're the few and the proud.
context: Salute!\Tank Platoon 1121\currently consists of five members, by rank: one liutenant,\one sergeant, one corporal,\two privates. Total: five.\Understood, Private Suminoya.\It may be the minimum number for a platoon, but it does mean...\We're the few and the proud. response:	Understood!
context: Tank Platoon 1121\currently consists of five members, by rank: one liutenant,\one sergeant, one corporal,\two privates. Total: five.\Understood, Private Suminoya.\It may be the minimum number for a platoon, but it does mean...\We're the few and the proud.\Understood! response:	One tank,
context: currently consists of five members, by rank: one liutenant,\one sergeant, one corporal,\two privates. Total: five.\Understood, Private Suminoya.\It may be the minimum number for a platoon, but it does mean...\We're the few and the proud.\Understood!\One tank, response:	one heavy machine gun,
context: one sergeant, one corporal,\two privates. Total: five.\Understood, Private Suminoya.\It may be the minimum number for a platoon, but it does mean...\We're the few and the proud.\Understood!\One tank,\one heavy machine gun, response:	two light machine guns,
context: two privates. Total: five.\Understood, Private Suminoya.\It may be the minimum number for a platoon, but it does mean...\We're the few and the proud.\Understood!\One tank,\one heavy machine gun,\two light machine guns, response:	four rifles,
context: Understood, Private Suminoya.\It may be the minimum number for a platoon, but it does mean...\We're the few and the proud.\Understood!\One tank,\one heavy machine gun,\two light machine guns,\four rifles, response:	and five handguns.
context: It may be the minimum number for a platoon, but it does mean...\We're the few and the proud.\Understood!\One tank,\one heavy machine gun,\two light machine guns,\four rifles,\and five handguns. response:	Our assignment is to defend the national borders of Seize, Trois, with these arms.
context: We're the few and the proud.\Understood!\One tank,\one heavy machine gun,\two light machine guns,\four rifles,\and five handguns.\Our assignment is to defend the national borders of Seize, Trois, with these arms. response:	Excuse me...
context: Understood!\One tank,\one heavy machine gun,\two light machine guns,\four rifles,\and five handguns.\Our assignment is to defend the national borders of Seize, Trois, with these arms.\Excuse me... response:	Private Suminoya! I have a question!
context: One tank,\one heavy machine gun,\two light machine guns,\four rifles,\and five handguns.\Our assignment is to defend the national borders of Seize, Trois, with these arms.\Excuse me...\Private Suminoya! I have a question! response:	Acceptable.
context: one heavy machine gun,\two light machine guns,\four rifles,\and five handguns.\Our assignment is to defend the national borders of Seize, Trois, with these arms.\Excuse me...\Private Suminoya! I have a question!\Acceptable. response:	Permission to speak granted, Private Sorami.
context: two light machine guns,\four rifles,\and five handguns.\Our assignment is to defend the national borders of Seize, Trois, with these arms.\Excuse me...\Private Suminoya! I have a question!\Acceptable.\Permission to speak granted, Private Sorami. response:	Isn-
context: four rifles,\and five handguns.\Our assignment is to defend the national borders of Seize, Trois, with these arms.\Excuse me...\Private Suminoya! I have a question!\Acceptable.\Permission to speak granted, Private Sorami.\Isn- response:	If my memory serves me, then next to Seize is...
context: and five handguns.\Our assignment is to defend the national borders of Seize, Trois, with these arms.\Excuse me...\Private Suminoya! I have a question!\Acceptable.\Permission to speak granted, Private Sorami.\Isn-\If my memory serves me, then next to Seize is... response:	Yes, beyond the mountains is Nomansland.
context: Our assignment is to defend the national borders of Seize, Trois, with these arms.\Excuse me...\Private Suminoya! I have a question!\Acceptable.\Permission to speak granted, Private Sorami.\Isn-\If my memory serves me, then next to Seize is...\Yes, beyond the mountains is Nomansland. response:	But the borders of Helvetia only extend to this region, so this is the national border!
context: Excuse me...\Private Suminoya! I have a question!\Acceptable.\Permission to speak granted, Private Sorami.\Isn-\If my memory serves me, then next to Seize is...\Yes, beyond the mountains is Nomansland.\But the borders of Helvetia only extend to this region, so this is the national border! response:	The front lines!
context: Private Suminoya! I have a question!\Acceptable.\Permission to speak granted, Private Sorami.\Isn-\If my memory serves me, then next to Seize is...\Yes, beyond the mountains is Nomansland.\But the borders of Helvetia only extend to this region, so this is the national border!\The front lines! response:	A strategic position!
context: Acceptable.\Permission to speak granted, Private Sorami.\Isn-\If my memory serves me, then next to Seize is...\Yes, beyond the mountains is Nomansland.\But the borders of Helvetia only extend to this region, so this is the national border!\The front lines!\A strategic position! response:	We will not allow a pre-emptive strike.
context: Permission to speak granted, Private Sorami.\Isn-\If my memory serves me, then next to Seize is...\Yes, beyond the mountains is Nomansland.\But the borders of Helvetia only extend to this region, so this is the national border!\The front lines!\A strategic position!\We will not allow a pre-emptive strike. response:	We trade off watch duty through the night.
context: Isn-\If my memory serves me, then next to Seize is...\Yes, beyond the mountains is Nomansland.\But the borders of Helvetia only extend to this region, so this is the national border!\The front lines!\A strategic position!\We will not allow a pre-emptive strike.\We trade off watch duty through the night. response:	Sleeping is strictly forbidden.
context: If my memory serves me, then next to Seize is...\Yes, beyond the mountains is Nomansland.\But the borders of Helvetia only extend to this region, so this is the national border!\The front lines!\A strategic position!\We will not allow a pre-emptive strike.\We trade off watch duty through the night.\Sleeping is strictly forbidden. response:	And this is the only hotline connecting to the capital in this town.
context: Yes, beyond the mountains is Nomansland.\But the borders of Helvetia only extend to this region, so this is the national border!\The front lines!\A strategic position!\We will not allow a pre-emptive strike.\We trade off watch duty through the night.\Sleeping is strictly forbidden.\And this is the only hotline connecting to the capital in this town. response:	In other words...
context: But the borders of Helvetia only extend to this region, so this is the national border!\The front lines!\A strategic position!\We will not allow a pre-emptive strike.\We trade off watch duty through the night.\Sleeping is strictly forbidden.\And this is the only hotline connecting to the capital in this town.\In other words... response:	If it rings, something big is going on.
context: The front lines!\A strategic position!\We will not allow a pre-emptive strike.\We trade off watch duty through the night.\Sleeping is strictly forbidden.\And this is the only hotline connecting to the capital in this town.\In other words...\If it rings, something big is going on. response:	If it does, everyone is to be woken up
context: A strategic position!\We will not allow a pre-emptive strike.\We trade off watch duty through the night.\Sleeping is strictly forbidden.\And this is the only hotline connecting to the capital in this town.\In other words...\If it rings, something big is going on.\If it does, everyone is to be woken up response:	and immediately placed on full alert.
context: We will not allow a pre-emptive strike.\We trade off watch duty through the night.\Sleeping is strictly forbidden.\And this is the only hotline connecting to the capital in this town.\In other words...\If it rings, something big is going on.\If it does, everyone is to be woken up\and immediately placed on full alert. response:	Understood?
context: We trade off watch duty through the night.\Sleeping is strictly forbidden.\And this is the only hotline connecting to the capital in this town.\In other words...\If it rings, something big is going on.\If it does, everyone is to be woken up\and immediately placed on full alert.\Understood? response:	Yes, Private Suminoya!
context: Sleeping is strictly forbidden.\And this is the only hotline connecting to the capital in this town.\In other words...\If it rings, something big is going on.\If it does, everyone is to be woken up\and immediately placed on full alert.\Understood?\Yes, Private Suminoya! response:	On the second floor are the commander's quarters and the operations room!
context: And this is the only hotline connecting to the capital in this town.\In other words...\If it rings, something big is going on.\If it does, everyone is to be woken up\and immediately placed on full alert.\Understood?\Yes, Private Suminoya!\On the second floor are the commander's quarters and the operations room! response:	Entrance is strictly-
context: In other words...\If it rings, something big is going on.\If it does, everyone is to be woken up\and immediately placed on full alert.\Understood?\Yes, Private Suminoya!\On the second floor are the commander's quarters and the operations room!\Entrance is strictly- response:	free.
context: If it rings, something big is going on.\If it does, everyone is to be woken up\and immediately placed on full alert.\Understood?\Yes, Private Suminoya!\On the second floor are the commander's quarters and the operations room!\Entrance is strictly-\free. response:	But make sure you knock!
context: If it does, everyone is to be woken up\and immediately placed on full alert.\Understood?\Yes, Private Suminoya!\On the second floor are the commander's quarters and the operations room!\Entrance is strictly-\free.\But make sure you knock! response:	These are the latrines.
context: and immediately placed on full alert.\Understood?\Yes, Private Suminoya!\On the second floor are the commander's quarters and the operations room!\Entrance is strictly-\free.\But make sure you knock!\These are the latrines. response:	Readying the bath and cleaning are done in turn.
context: Understood?\Yes, Private Suminoya!\On the second floor are the commander's quarters and the operations room!\Entrance is strictly-\free.\But make sure you knock!\These are the latrines.\Readying the bath and cleaning are done in turn. response:	And...
context: Yes, Private Suminoya!\On the second floor are the commander's quarters and the operations room!\Entrance is strictly-\free.\But make sure you knock!\These are the latrines.\Readying the bath and cleaning are done in turn.\And... response:	The bathing order is by rank, right?
context: On the second floor are the commander's quarters and the operations room!\Entrance is strictly-\free.\But make sure you knock!\These are the latrines.\Readying the bath and cleaning are done in turn.\And...\The bathing order is by rank, right? response:	No.
context: Entrance is strictly-\free.\But make sure you knock!\These are the latrines.\Readying the bath and cleaning are done in turn.\And...\The bathing order is by rank, right?\No. response:	Don't you think it's more fun if everyone bathes together?
context: free.\But make sure you knock!\These are the latrines.\Readying the bath and cleaning are done in turn.\And...\The bathing order is by rank, right?\No.\Don't you think it's more fun if everyone bathes together? response:	Commander! What are you doing?
context: But make sure you knock!\These are the latrines.\Readying the bath and cleaning are done in turn.\And...\The bathing order is by rank, right?\No.\Don't you think it's more fun if everyone bathes together?\Commander! What are you doing? response:	Cleaning the bathroom.
context: These are the latrines.\Readying the bath and cleaning are done in turn.\And...\The bathing order is by rank, right?\No.\Don't you think it's more fun if everyone bathes together?\Commander! What are you doing?\Cleaning the bathroom. response:	But today is Noel's turn!
context: Readying the bath and cleaning are done in turn.\And...\The bathing order is by rank, right?\No.\Don't you think it's more fun if everyone bathes together?\Commander! What are you doing?\Cleaning the bathroom.\But today is Noel's turn! response:	But she looks tired today.
context: And...\The bathing order is by rank, right?\No.\Don't you think it's more fun if everyone bathes together?\Commander! What are you doing?\Cleaning the bathroom.\But today is Noel's turn!\But she looks tired today. response:	Commander, if you're like that, the recruit will never learn discipline!
context: The bathing order is by rank, right?\No.\Don't you think it's more fun if everyone bathes together?\Commander! What are you doing?\Cleaning the bathroom.\But today is Noel's turn!\But she looks tired today.\Commander, if you're like that, the recruit will never learn discipline! response:	I'll do it later, so be commander-like and stay firm!
context: No.\Don't you think it's more fun if everyone bathes together?\Commander! What are you doing?\Cleaning the bathroom.\But today is Noel's turn!\But she looks tired today.\Commander, if you're like that, the recruit will never learn discipline!\I'll do it later, so be commander-like and stay firm! response:	Now then, take a good look!
