context: Once upon a time, there was a man who died. response:	The man tried to keep spinning a story even after his death, but the story just wouldn't move along.
context: However, she was only a duck.\She was fated to someday turn into a speck of light and vanish.\Yes, that was the tear-jerking ending the story had decided on.\And so, the prince and the princess lived happily ever...\Happily?\Happiness in stories is at most only a couple of lines at the end.\It's truly boring.\Now, show me the greatest tragedy! response:	The greatest tragedy where no one is saved, and a happy ending never comes.
context: She was fated to someday turn into a speck of light and vanish.\Yes, that was the tear-jerking ending the story had decided on.\And so, the prince and the princess lived happily ever...\Happily?\Happiness in stories is at most only a couple of lines at the end.\It's truly boring.\Now, show me the greatest tragedy!\The greatest tragedy where no one is saved, and a happy ending never comes. response:	Congratulations.
context: Yes, that was the tear-jerking ending the story had decided on.\And so, the prince and the princess lived happily ever...\Happily?\Happiness in stories is at most only a couple of lines at the end.\It's truly boring.\Now, show me the greatest tragedy!\The greatest tragedy where no one is saved, and a happy ending never comes.\Congratulations. response:	Prince, what do you hope to do at this point?
context: And so, the prince and the princess lived happily ever...\Happily?\Happiness in stories is at most only a couple of lines at the end.\It's truly boring.\Now, show me the greatest tragedy!\The greatest tragedy where no one is saved, and a happy ending never comes.\Congratulations.\Prince, what do you hope to do at this point? response:	Finale
context: Happily?\Happiness in stories is at most only a couple of lines at the end.\It's truly boring.\Now, show me the greatest tragedy!\The greatest tragedy where no one is saved, and a happy ending never comes.\Congratulations.\Prince, what do you hope to do at this point?\Finale response:	Doesn't it matter to you what happens to the girl sinking into despair inside of me?
context: Happiness in stories is at most only a couple of lines at the end.\It's truly boring.\Now, show me the greatest tragedy!\The greatest tragedy where no one is saved, and a happy ending never comes.\Congratulations.\Prince, what do you hope to do at this point?\Finale\Doesn't it matter to you what happens to the girl sinking into despair inside of me? response:	I'll save the princess, no matter what!
context: It's truly boring.\Now, show me the greatest tragedy!\The greatest tragedy where no one is saved, and a happy ending never comes.\Congratulations.\Prince, what do you hope to do at this point?\Finale\Doesn't it matter to you what happens to the girl sinking into despair inside of me?\I'll save the princess, no matter what! response:	Quack!
context: Now, show me the greatest tragedy!\The greatest tragedy where no one is saved, and a happy ending never comes.\Congratulations.\Prince, what do you hope to do at this point?\Finale\Doesn't it matter to you what happens to the girl sinking into despair inside of me?\I'll save the princess, no matter what!\Quack! response:	You mean to tell me you really intend to take a human girl raised on my blood as your princess?
context: The greatest tragedy where no one is saved, and a happy ending never comes.\Congratulations.\Prince, what do you hope to do at this point?\Finale\Doesn't it matter to you what happens to the girl sinking into despair inside of me?\I'll save the princess, no matter what!\Quack!\You mean to tell me you really intend to take a human girl raised on my blood as your princess? response:	That's right!
context: Congratulations.\Prince, what do you hope to do at this point?\Finale\Doesn't it matter to you what happens to the girl sinking into despair inside of me?\I'll save the princess, no matter what!\Quack!\You mean to tell me you really intend to take a human girl raised on my blood as your princess?\That's right! response:	Mytho!
context: Prince, what do you hope to do at this point?\Finale\Doesn't it matter to you what happens to the girl sinking into despair inside of me?\I'll save the princess, no matter what!\Quack!\You mean to tell me you really intend to take a human girl raised on my blood as your princess?\That's right!\Mytho! response:	Mytho, you...
context: Finale\Doesn't it matter to you what happens to the girl sinking into despair inside of me?\I'll save the princess, no matter what!\Quack!\You mean to tell me you really intend to take a human girl raised on my blood as your princess?\That's right!\Mytho!\Mytho, you... response:	You fool.
context: Doesn't it matter to you what happens to the girl sinking into despair inside of me?\I'll save the princess, no matter what!\Quack!\You mean to tell me you really intend to take a human girl raised on my blood as your princess?\That's right!\Mytho!\Mytho, you...\You fool. response:	Those crows were once people.
context: I'll save the princess, no matter what!\Quack!\You mean to tell me you really intend to take a human girl raised on my blood as your princess?\That's right!\Mytho!\Mytho, you...\You fool.\Those crows were once people. response:	Well? You can't fight them, can you prince?
context: Quack!\You mean to tell me you really intend to take a human girl raised on my blood as your princess?\That's right!\Mytho!\Mytho, you...\You fool.\Those crows were once people.\Well? You can't fight them, can you prince? response:	What will you do, Mytho?
context: You mean to tell me you really intend to take a human girl raised on my blood as your princess?\That's right!\Mytho!\Mytho, you...\You fool.\Those crows were once people.\Well? You can't fight them, can you prince?\What will you do, Mytho? response:	Crows, bring the prince's heart to me!
context: That's right!\Mytho!\Mytho, you...\You fool.\Those crows were once people.\Well? You can't fight them, can you prince?\What will you do, Mytho?\Crows, bring the prince's heart to me! response:	Give us your heart. Give us your heart.
context: Mytho!\Mytho, you...\You fool.\Those crows were once people.\Well? You can't fight them, can you prince?\What will you do, Mytho?\Crows, bring the prince's heart to me!\Give us your heart. Give us your heart. response:	Give us your heart. Give us your heart. Give us your heart.
context: Mytho, you...\You fool.\Those crows were once people.\Well? You can't fight them, can you prince?\What will you do, Mytho?\Crows, bring the prince's heart to me!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart. response:	Give us your heart. Give us your heart.
context: You fool.\Those crows were once people.\Well? You can't fight them, can you prince?\What will you do, Mytho?\Crows, bring the prince's heart to me!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart. response:	Cursed raven, what a cruel thing you have done!
context: Those crows were once people.\Well? You can't fight them, can you prince?\What will you do, Mytho?\Crows, bring the prince's heart to me!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Cursed raven, what a cruel thing you have done! response:	Give us your heart. Give us your heart.
context: Well? You can't fight them, can you prince?\What will you do, Mytho?\Crows, bring the prince's heart to me!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Cursed raven, what a cruel thing you have done!\Give us your heart. Give us your heart. response:	Give us your heart. Give us your heart. Give us your heart.
context: What will you do, Mytho?\Crows, bring the prince's heart to me!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Cursed raven, what a cruel thing you have done!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart. response:	Give us your heart. Give us your heart. Give us your heart.
context: Crows, bring the prince's heart to me!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Cursed raven, what a cruel thing you have done!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart. response:	Give us your heart...
context: Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Cursed raven, what a cruel thing you have done!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart... response:	Quack!
context: Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Cursed raven, what a cruel thing you have done!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart...\Quack! response:	Quack...
context: Give us your heart. Give us your heart.\Cursed raven, what a cruel thing you have done!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart...\Quack!\Quack... response:	Quack!
context: Cursed raven, what a cruel thing you have done!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart...\Quack!\Quack...\Quack! response:	What?!
context: Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart...\Quack!\Quack...\Quack!\What?! response:	Mytho!
context: Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart...\Quack!\Quack...\Quack!\What?!\Mytho! response:	Heart! Heart! Heart! Heart!
context: Give us your heart. Give us your heart. Give us your heart.\Give us your heart...\Quack!\Quack...\Quack!\What?!\Mytho!\Heart! Heart! Heart! Heart! response:	Give me your heart!
context: Give us your heart...\Quack!\Quack...\Quack!\What?!\Mytho!\Heart! Heart! Heart! Heart!\Give me your heart! response:	Give me your heart!
context: Quack!\Quack...\Quack!\What?!\Mytho!\Heart! Heart! Heart! Heart!\Give me your heart!\Give me your heart! response:	Give us your heart. Give us your heart. Give us your heart.
context: Quack...\Quack!\What?!\Mytho!\Heart! Heart! Heart! Heart!\Give me your heart!\Give me your heart!\Give us your heart. Give us your heart. Give us your heart. response:	Give us your heart. Give us your heart.
context: Quack!\What?!\Mytho!\Heart! Heart! Heart! Heart!\Give me your heart!\Give me your heart!\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart. response:	Give us your heart. Give us your heart. Give us your heart.
context: What?!\Mytho!\Heart! Heart! Heart! Heart!\Give me your heart!\Give me your heart!\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart. response:	Give us your heart. Give us your heart.
context: Mytho!\Heart! Heart! Heart! Heart!\Give me your heart!\Give me your heart!\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart. response:	Give us your heart. Give us your heart. Give us your heart.
context: Heart! Heart! Heart! Heart!\Give me your heart!\Give me your heart!\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart. response:	Mytho!
context: Give me your heart!\Give me your heart!\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Mytho! response:	Give us your heart. Give us your heart.
context: Give me your heart!\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Mytho!\Give us your heart. Give us your heart. response:	Give us your heart. Give us your heart. Give us your heart.
context: Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Mytho!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart. response:	Stop it!
context: Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Mytho!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Stop it! response:	Quack...
context: Give us your heart. Give us your heart. Give us your heart.\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Mytho!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Stop it!\Quack... response:	Ahiru! What are you doing?!
context: Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Mytho!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Stop it!\Quack...\Ahiru! What are you doing?! response:	Give us your heart. Give us your heart. Give us your heart.
context: Give us your heart. Give us your heart. Give us your heart.\Mytho!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Stop it!\Quack...\Ahiru! What are you doing?!\Give us your heart. Give us your heart. Give us your heart. response:	Quack!
context: Mytho!\Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Stop it!\Quack...\Ahiru! What are you doing?!\Give us your heart. Give us your heart. Give us your heart.\Quack! response:	Stop it!
context: Give us your heart. Give us your heart.\Give us your heart. Give us your heart. Give us your heart.\Stop it!\Quack...\Ahiru! What are you doing?!\Give us your heart. Give us your heart. Give us your heart.\Quack!\Stop it! response:	Give us your heart. Give us your heart.
context: Give us your heart. Give us your heart. Give us your heart.\Stop it!\Quack...\Ahiru! What are you doing?!\Give us your heart. Give us your heart. Give us your heart.\Quack!\Stop it!\Give us your heart. Give us your heart. response:	Fakir, we have to help Mytho!
context: Stop it!\Quack...\Ahiru! What are you doing?!\Give us your heart. Give us your heart. Give us your heart.\Quack!\Stop it!\Give us your heart. Give us your heart.\Fakir, we have to help Mytho! response:	Give us your heart...
context: Quack...\Ahiru! What are you doing?!\Give us your heart. Give us your heart. Give us your heart.\Quack!\Stop it!\Give us your heart. Give us your heart.\Fakir, we have to help Mytho!\Give us your heart... response:	Ahiru...
context: Ahiru! What are you doing?!\Give us your heart. Give us your heart. Give us your heart.\Quack!\Stop it!\Give us your heart. Give us your heart.\Fakir, we have to help Mytho!\Give us your heart...\Ahiru... response:	The duck flapped her wings with all her strength, hurrying to the prince's side.
context: Give us your heart. Give us your heart. Give us your heart.\Quack!\Stop it!\Give us your heart. Give us your heart.\Fakir, we have to help Mytho!\Give us your heart...\Ahiru...\The duck flapped her wings with all her strength, hurrying to the prince's side. response:	As if it had sensed her feelings, a gust of wind came to her aid.
context: Quack!\Stop it!\Give us your heart. Give us your heart.\Fakir, we have to help Mytho!\Give us your heart...\Ahiru...\The duck flapped her wings with all her strength, hurrying to the prince's side.\As if it had sensed her feelings, a gust of wind came to her aid. response:	Give us your heart. Give us your heart.
context: Stop it!\Give us your heart. Give us your heart.\Fakir, we have to help Mytho!\Give us your heart...\Ahiru...\The duck flapped her wings with all her strength, hurrying to the prince's side.\As if it had sensed her feelings, a gust of wind came to her aid.\Give us your heart. Give us your heart. response:	Quack!
context: Give us your heart. Give us your heart.\Fakir, we have to help Mytho!\Give us your heart...\Ahiru...\The duck flapped her wings with all her strength, hurrying to the prince's side.\As if it had sensed her feelings, a gust of wind came to her aid.\Give us your heart. Give us your heart.\Quack! response:	Give us your heart. Give us your heart.
context: Fakir, we have to help Mytho!\Give us your heart...\Ahiru...\The duck flapped her wings with all her strength, hurrying to the prince's side.\As if it had sensed her feelings, a gust of wind came to her aid.\Give us your heart. Give us your heart.\Quack!\Give us your heart. Give us your heart. response:	Quack!
context: Give us your heart...\Ahiru...\The duck flapped her wings with all her strength, hurrying to the prince's side.\As if it had sensed her feelings, a gust of wind came to her aid.\Give us your heart. Give us your heart.\Quack!\Give us your heart. Give us your heart.\Quack! response:	Give us your heart. Give us your heart.
context: Ahiru...\The duck flapped her wings with all her strength, hurrying to the prince's side.\As if it had sensed her feelings, a gust of wind came to her aid.\Give us your heart. Give us your heart.\Quack!\Give us your heart. Give us your heart.\Quack!\Give us your heart. Give us your heart. response:	Stop it!
context: The duck flapped her wings with all her strength, hurrying to the prince's side.\As if it had sensed her feelings, a gust of wind came to her aid.\Give us your heart. Give us your heart.\Quack!\Give us your heart. Give us your heart.\Quack!\Give us your heart. Give us your heart.\Stop it! response:	Qua...
context: As if it had sensed her feelings, a gust of wind came to her aid.\Give us your heart. Give us your heart.\Quack!\Give us your heart. Give us your heart.\Quack!\Give us your heart. Give us your heart.\Stop it!\Qua... response:	Quack!
context: Give us your heart. Give us your heart.\Quack!\Give us your heart. Give us your heart.\Quack!\Give us your heart. Give us your heart.\Stop it!\Qua...\Quack! response:	The crows' attacks on the duck st...
context: Quack!\Give us your heart. Give us your heart.\Quack!\Give us your heart. Give us your heart.\Stop it!\Qua...\Quack!\The crows' attacks on the duck st... response:	St... st... still kept going?!
context: Give us your heart. Give us your heart.\Quack!\Give us your heart. Give us your heart.\Stop it!\Qua...\Quack!\The crows' attacks on the duck st...\St... st... still kept going?! response:	Quack!
context: Quack!\Give us your heart. Give us your heart.\Stop it!\Qua...\Quack!\The crows' attacks on the duck st...\St... st... still kept going?!\Quack! response:	Ahiru!
context: Give us your heart. Give us your heart.\Stop it!\Qua...\Quack!\The crows' attacks on the duck st...\St... st... still kept going?!\Quack!\Ahiru! response:	Hey, wait!
context: Stop it!\Qua...\Quack!\The crows' attacks on the duck st...\St... st... still kept going?!\Quack!\Ahiru!\Hey, wait! response:	What will you do when you get there?!
context: Qua...\Quack!\The crows' attacks on the duck st...\St... st... still kept going?!\Quack!\Ahiru!\Hey, wait!\What will you do when you get there?! response:	A useless knight can't protect anyone even if he does go out there!
context: Quack!\The crows' attacks on the duck st...\St... st... still kept going?!\Quack!\Ahiru!\Hey, wait!\What will you do when you get there?!\A useless knight can't protect anyone even if he does go out there! response:	You'd just die in vain, isn't that right?!
context: The crows' attacks on the duck st...\St... st... still kept going?!\Quack!\Ahiru!\Hey, wait!\What will you do when you get there?!\A useless knight can't protect anyone even if he does go out there!\You'd just die in vain, isn't that right?! response:	You decided to write a story, didn't you?
context: St... st... still kept going?!\Quack!\Ahiru!\Hey, wait!\What will you do when you get there?!\A useless knight can't protect anyone even if he does go out there!\You'd just die in vain, isn't that right?!\You decided to write a story, didn't you? response:	Then write it to the end! Concentrate!
context: Quack!\Ahiru!\Hey, wait!\What will you do when you get there?!\A useless knight can't protect anyone even if he does go out there!\You'd just die in vain, isn't that right?!\You decided to write a story, didn't you?\Then write it to the end! Concentrate! response:	Damn it!
context: Ahiru!\Hey, wait!\What will you do when you get there?!\A useless knight can't protect anyone even if he does go out there!\You'd just die in vain, isn't that right?!\You decided to write a story, didn't you?\Then write it to the end! Concentrate!\Damn it! response:	Someone's coming zura.
context: Hey, wait!\What will you do when you get there?!\A useless knight can't protect anyone even if he does go out there!\You'd just die in vain, isn't that right?!\You decided to write a story, didn't you?\Then write it to the end! Concentrate!\Damn it!\Someone's coming zura. response:	That's...
context: What will you do when you get there?!\A useless knight can't protect anyone even if he does go out there!\You'd just die in vain, isn't that right?!\You decided to write a story, didn't you?\Then write it to the end! Concentrate!\Damn it!\Someone's coming zura.\That's... response:	Get inside.
context: A useless knight can't protect anyone even if he does go out there!\You'd just die in vain, isn't that right?!\You decided to write a story, didn't you?\Then write it to the end! Concentrate!\Damn it!\Someone's coming zura.\That's...\Get inside. response:	Your heart!
context: You'd just die in vain, isn't that right?!\You decided to write a story, didn't you?\Then write it to the end! Concentrate!\Damn it!\Someone's coming zura.\That's...\Get inside.\Your heart! response:	Your heart!
context: You decided to write a story, didn't you?\Then write it to the end! Concentrate!\Damn it!\Someone's coming zura.\That's...\Get inside.\Your heart!\Your heart! response:	Your heart!
context: Then write it to the end! Concentrate!\Damn it!\Someone's coming zura.\That's...\Get inside.\Your heart!\Your heart!\Your heart! response:	Quack!
context: Damn it!\Someone's coming zura.\That's...\Get inside.\Your heart!\Your heart!\Your heart!\Quack! response:	Your heart!
context: Someone's coming zura.\That's...\Get inside.\Your heart!\Your heart!\Your heart!\Quack!\Your heart! response:	Please, stop it!
context: That's...\Get inside.\Your heart!\Your heart!\Your heart!\Quack!\Your heart!\Please, stop it! response:	At this rate...
context: Get inside.\Your heart!\Your heart!\Your heart!\Quack!\Your heart!\Please, stop it!\At this rate... response:	At this rate, I'll just be letting them steal my heart.
context: Your heart!\Your heart!\Your heart!\Quack!\Your heart!\Please, stop it!\At this rate...\At this rate, I'll just be letting them steal my heart. response:	So must I pierce my own heart once again and seal him away? Is that my only choice?
context: Your heart!\Your heart!\Quack!\Your heart!\Please, stop it!\At this rate...\At this rate, I'll just be letting them steal my heart.\So must I pierce my own heart once again and seal him away? Is that my only choice? response:	No!
context: Your heart!\Quack!\Your heart!\Please, stop it!\At this rate...\At this rate, I'll just be letting them steal my heart.\So must I pierce my own heart once again and seal him away? Is that my only choice?\No! response:	It's not like that, Mytho!
context: Quack!\Your heart!\Please, stop it!\At this rate...\At this rate, I'll just be letting them steal my heart.\So must I pierce my own heart once again and seal him away? Is that my only choice?\No!\It's not like that, Mytho! response:	Damn it, do I not have enough power to change the story after all?
context: Your heart!\Please, stop it!\At this rate...\At this rate, I'll just be letting them steal my heart.\So must I pierce my own heart once again and seal him away? Is that my only choice?\No!\It's not like that, Mytho!\Damn it, do I not have enough power to change the story after all? response:	Without the pendant, I'm just a duck.
context: Please, stop it!\At this rate...\At this rate, I'll just be letting them steal my heart.\So must I pierce my own heart once again and seal him away? Is that my only choice?\No!\It's not like that, Mytho!\Damn it, do I not have enough power to change the story after all?\Without the pendant, I'm just a duck. response:	Just a duck with no power.
context: At this rate...\At this rate, I'll just be letting them steal my heart.\So must I pierce my own heart once again and seal him away? Is that my only choice?\No!\It's not like that, Mytho!\Damn it, do I not have enough power to change the story after all?\Without the pendant, I'm just a duck.\Just a duck with no power. response:	Just a duck who can't do anything.
context: At this rate, I'll just be letting them steal my heart.\So must I pierce my own heart once again and seal him away? Is that my only choice?\No!\It's not like that, Mytho!\Damn it, do I not have enough power to change the story after all?\Without the pendant, I'm just a duck.\Just a duck with no power.\Just a duck who can't do anything. response:	That's right, even though you transcended your position as a duck and tried so hard!
context: So must I pierce my own heart once again and seal him away? Is that my only choice?\No!\It's not like that, Mytho!\Damn it, do I not have enough power to change the story after all?\Without the pendant, I'm just a duck.\Just a duck with no power.\Just a duck who can't do anything.\That's right, even though you transcended your position as a duck and tried so hard! response:	But you see,
context: No!\It's not like that, Mytho!\Damn it, do I not have enough power to change the story after all?\Without the pendant, I'm just a duck.\Just a duck with no power.\Just a duck who can't do anything.\That's right, even though you transcended your position as a duck and tried so hard!\But you see, response:	unfortunately this story WON'T have a happy ending.
context: It's not like that, Mytho!\Damn it, do I not have enough power to change the story after all?\Without the pendant, I'm just a duck.\Just a duck with no power.\Just a duck who can't do anything.\That's right, even though you transcended your position as a duck and tried so hard!\But you see,\unfortunately this story WON'T have a happy ending. response:	No matter how hard you try, the more you struggle the more tragic it will become.
context: Damn it, do I not have enough power to change the story after all?\Without the pendant, I'm just a duck.\Just a duck with no power.\Just a duck who can't do anything.\That's right, even though you transcended your position as a duck and tried so hard!\But you see,\unfortunately this story WON'T have a happy ending.\No matter how hard you try, the more you struggle the more tragic it will become. response:	Why, you ask?
context: Without the pendant, I'm just a duck.\Just a duck with no power.\Just a duck who can't do anything.\That's right, even though you transcended your position as a duck and tried so hard!\But you see,\unfortunately this story WON'T have a happy ending.\No matter how hard you try, the more you struggle the more tragic it will become.\Why, you ask? response:	Who knows?
context: Just a duck with no power.\Just a duck who can't do anything.\That's right, even though you transcended your position as a duck and tried so hard!\But you see,\unfortunately this story WON'T have a happy ending.\No matter how hard you try, the more you struggle the more tragic it will become.\Why, you ask?\Who knows? response:	I won't allow you to lead the story toward tragedy!
context: Just a duck who can't do anything.\That's right, even though you transcended your position as a duck and tried so hard!\But you see,\unfortunately this story WON'T have a happy ending.\No matter how hard you try, the more you struggle the more tragic it will become.\Why, you ask?\Who knows?\I won't allow you to lead the story toward tragedy! response:	Fakir, are you going to give up?!
context: That's right, even though you transcended your position as a duck and tried so hard!\But you see,\unfortunately this story WON'T have a happy ending.\No matter how hard you try, the more you struggle the more tragic it will become.\Why, you ask?\Who knows?\I won't allow you to lead the story toward tragedy!\Fakir, are you going to give up?! response:	There's no other way now!
context: But you see,\unfortunately this story WON'T have a happy ending.\No matter how hard you try, the more you struggle the more tragic it will become.\Why, you ask?\Who knows?\I won't allow you to lead the story toward tragedy!\Fakir, are you going to give up?!\There's no other way now! response:	What can I do?
context: unfortunately this story WON'T have a happy ending.\No matter how hard you try, the more you struggle the more tragic it will become.\Why, you ask?\Who knows?\I won't allow you to lead the story toward tragedy!\Fakir, are you going to give up?!\There's no other way now!\What can I do? response:	As you dream of a happy ending, sink into the depths of eternal despair!
context: No matter how hard you try, the more you struggle the more tragic it will become.\Why, you ask?\Who knows?\I won't allow you to lead the story toward tragedy!\Fakir, are you going to give up?!\There's no other way now!\What can I do?\As you dream of a happy ending, sink into the depths of eternal despair! response:	The greatest tragedy has no finale!
context: Why, you ask?\Who knows?\I won't allow you to lead the story toward tragedy!\Fakir, are you going to give up?!\There's no other way now!\What can I do?\As you dream of a happy ending, sink into the depths of eternal despair!\The greatest tragedy has no finale! response:	Here and now, I will pierce this heart once more!
context: Who knows?\I won't allow you to lead the story toward tragedy!\Fakir, are you going to give up?!\There's no other way now!\What can I do?\As you dream of a happy ending, sink into the depths of eternal despair!\The greatest tragedy has no finale!\Here and now, I will pierce this heart once more! response:	What?!
context: I won't allow you to lead the story toward tragedy!\Fakir, are you going to give up?!\There's no other way now!\What can I do?\As you dream of a happy ending, sink into the depths of eternal despair!\The greatest tragedy has no finale!\Here and now, I will pierce this heart once more!\What?! response:	That's ridiculous! If you seal me away, the princess will also be...
context: Fakir, are you going to give up?!\There's no other way now!\What can I do?\As you dream of a happy ending, sink into the depths of eternal despair!\The greatest tragedy has no finale!\Here and now, I will pierce this heart once more!\What?!\That's ridiculous! If you seal me away, the princess will also be... response:	No matter how many centuries may pass, I will return again and defeat you!
context: There's no other way now!\What can I do?\As you dream of a happy ending, sink into the depths of eternal despair!\The greatest tragedy has no finale!\Here and now, I will pierce this heart once more!\What?!\That's ridiculous! If you seal me away, the princess will also be...\No matter how many centuries may pass, I will return again and defeat you! response:	And after I have done that, I will end my own life and go meet the princess in Heaven.
