context: You're back pretty late. response:	Were you able to see the Tomoebi?
context: He hasn't changed at all.\Episode Fifteen: The Protector of Smiles\Overall, he seems to be just fine.\Just be mindful of keeping him hydrated.\Make sure he gets about 400cc of water every hour.\Right. Thank you very much.\Tomorrow, the brain surgeon will be back from the city,\so have the surgeon look at him, too. response:	Oh, would it be all right if I tagged along then?
context: Episode Fifteen: The Protector of Smiles\Overall, he seems to be just fine.\Just be mindful of keeping him hydrated.\Make sure he gets about 400cc of water every hour.\Right. Thank you very much.\Tomorrow, the brain surgeon will be back from the city,\so have the surgeon look at him, too.\Oh, would it be all right if I tagged along then? response:	I have some questions for Hikari-kun.
context: Overall, he seems to be just fine.\Just be mindful of keeping him hydrated.\Make sure he gets about 400cc of water every hour.\Right. Thank you very much.\Tomorrow, the brain surgeon will be back from the city,\so have the surgeon look at him, too.\Oh, would it be all right if I tagged along then?\I have some questions for Hikari-kun. response:	Excuse me.
context: Just be mindful of keeping him hydrated.\Make sure he gets about 400cc of water every hour.\Right. Thank you very much.\Tomorrow, the brain surgeon will be back from the city,\so have the surgeon look at him, too.\Oh, would it be all right if I tagged along then?\I have some questions for Hikari-kun.\Excuse me. response:	I'm sure that Hikari's very tired, having just woken up,
context: Make sure he gets about 400cc of water every hour.\Right. Thank you very much.\Tomorrow, the brain surgeon will be back from the city,\so have the surgeon look at him, too.\Oh, would it be all right if I tagged along then?\I have some questions for Hikari-kun.\Excuse me.\I'm sure that Hikari's very tired, having just woken up, response:	so could you hold off on doing all sorts of tests?
context: Right. Thank you very much.\Tomorrow, the brain surgeon will be back from the city,\so have the surgeon look at him, too.\Oh, would it be all right if I tagged along then?\I have some questions for Hikari-kun.\Excuse me.\I'm sure that Hikari's very tired, having just woken up,\so could you hold off on doing all sorts of tests? response:	But...
context: Tomorrow, the brain surgeon will be back from the city,\so have the surgeon look at him, too.\Oh, would it be all right if I tagged along then?\I have some questions for Hikari-kun.\Excuse me.\I'm sure that Hikari's very tired, having just woken up,\so could you hold off on doing all sorts of tests?\But... response:	I think... there's a lot of catching up that he still has to do.
context: so have the surgeon look at him, too.\Oh, would it be all right if I tagged along then?\I have some questions for Hikari-kun.\Excuse me.\I'm sure that Hikari's very tired, having just woken up,\so could you hold off on doing all sorts of tests?\But...\I think... there's a lot of catching up that he still has to do. response:	He should be given a little more time...
context: Oh, would it be all right if I tagged along then?\I have some questions for Hikari-kun.\Excuse me.\I'm sure that Hikari's very tired, having just woken up,\so could you hold off on doing all sorts of tests?\But...\I think... there's a lot of catching up that he still has to do.\He should be given a little more time... response:	Oh, right.
context: I have some questions for Hikari-kun.\Excuse me.\I'm sure that Hikari's very tired, having just woken up,\so could you hold off on doing all sorts of tests?\But...\I think... there's a lot of catching up that he still has to do.\He should be given a little more time...\Oh, right. response:	I'm very sorry about that.
context: Excuse me.\I'm sure that Hikari's very tired, having just woken up,\so could you hold off on doing all sorts of tests?\But...\I think... there's a lot of catching up that he still has to do.\He should be given a little more time...\Oh, right.\I'm very sorry about that. response:	Please give me a call if there are any changes.
context: I'm sure that Hikari's very tired, having just woken up,\so could you hold off on doing all sorts of tests?\But...\I think... there's a lot of catching up that he still has to do.\He should be given a little more time...\Oh, right.\I'm very sorry about that.\Please give me a call if there are any changes. response:	Hey, Akira!
context: so could you hold off on doing all sorts of tests?\But...\I think... there's a lot of catching up that he still has to do.\He should be given a little more time...\Oh, right.\I'm very sorry about that.\Please give me a call if there are any changes.\Hey, Akira! response:	No, we have to let him get some more rest.
context: But...\I think... there's a lot of catching up that he still has to do.\He should be given a little more time...\Oh, right.\I'm very sorry about that.\Please give me a call if there are any changes.\Hey, Akira!\No, we have to let him get some more rest. response:	You look like you've just seen a monster.
context: I think... there's a lot of catching up that he still has to do.\He should be given a little more time...\Oh, right.\I'm very sorry about that.\Please give me a call if there are any changes.\Hey, Akira!\No, we have to let him get some more rest.\You look like you've just seen a monster. response:	Huh? N-No...
context: He should be given a little more time...\Oh, right.\I'm very sorry about that.\Please give me a call if there are any changes.\Hey, Akira!\No, we have to let him get some more rest.\You look like you've just seen a monster.\Huh? N-No... response:	I'm the one that's surprised.
context: Oh, right.\I'm very sorry about that.\Please give me a call if there are any changes.\Hey, Akira!\No, we have to let him get some more rest.\You look like you've just seen a monster.\Huh? N-No...\I'm the one that's surprised. response:	What the hell?
context: I'm very sorry about that.\Please give me a call if there are any changes.\Hey, Akira!\No, we have to let him get some more rest.\You look like you've just seen a monster.\Huh? N-No...\I'm the one that's surprised.\What the hell? response:	You're fourteen now?
context: Please give me a call if there are any changes.\Hey, Akira!\No, we have to let him get some more rest.\You look like you've just seen a monster.\Huh? N-No...\I'm the one that's surprised.\What the hell?\You're fourteen now? response:	You're the same age as me, then.
context: Hey, Akira!\No, we have to let him get some more rest.\You look like you've just seen a monster.\Huh? N-No...\I'm the one that's surprised.\What the hell?\You're fourteen now?\You're the same age as me, then. response:	Oh.
context: No, we have to let him get some more rest.\You look like you've just seen a monster.\Huh? N-No...\I'm the one that's surprised.\What the hell?\You're fourteen now?\You're the same age as me, then.\Oh. response:	Not to mention Akari has a kid...
context: You look like you've just seen a monster.\Huh? N-No...\I'm the one that's surprised.\What the hell?\You're fourteen now?\You're the same age as me, then.\Oh.\Not to mention Akari has a kid... response:	Well, I guess I knew things like this could happen during the hibernation.
context: Huh? N-No...\I'm the one that's surprised.\What the hell?\You're fourteen now?\You're the same age as me, then.\Oh.\Not to mention Akari has a kid...\Well, I guess I knew things like this could happen during the hibernation. response:	What? Is there something wrong with your eyes?
context: I'm the one that's surprised.\What the hell?\You're fourteen now?\You're the same age as me, then.\Oh.\Not to mention Akari has a kid...\Well, I guess I knew things like this could happen during the hibernation.\What? Is there something wrong with your eyes? response:	Oh, Mom.
context: What the hell?\You're fourteen now?\You're the same age as me, then.\Oh.\Not to mention Akari has a kid...\Well, I guess I knew things like this could happen during the hibernation.\What? Is there something wrong with your eyes?\Oh, Mom. response:	Huh?
context: You're fourteen now?\You're the same age as me, then.\Oh.\Not to mention Akari has a kid...\Well, I guess I knew things like this could happen during the hibernation.\What? Is there something wrong with your eyes?\Oh, Mom.\Huh? response:	Mama!
context: You're the same age as me, then.\Oh.\Not to mention Akari has a kid...\Well, I guess I knew things like this could happen during the hibernation.\What? Is there something wrong with your eyes?\Oh, Mom.\Huh?\Mama! response:	Everything is really bright and it's hard to see.
context: Oh.\Not to mention Akari has a kid...\Well, I guess I knew things like this could happen during the hibernation.\What? Is there something wrong with your eyes?\Oh, Mom.\Huh?\Mama!\Everything is really bright and it's hard to see. response:	Well, you were hibernating that whole time.
context: Not to mention Akari has a kid...\Well, I guess I knew things like this could happen during the hibernation.\What? Is there something wrong with your eyes?\Oh, Mom.\Huh?\Mama!\Everything is really bright and it's hard to see.\Well, you were hibernating that whole time. response:	You're just not used to the brightness of the surface yet.
context: Well, I guess I knew things like this could happen during the hibernation.\What? Is there something wrong with your eyes?\Oh, Mom.\Huh?\Mama!\Everything is really bright and it's hard to see.\Well, you were hibernating that whole time.\You're just not used to the brightness of the surface yet. response:	Come on, back to sleep you go.
context: What? Is there something wrong with your eyes?\Oh, Mom.\Huh?\Mama!\Everything is really bright and it's hard to see.\Well, you were hibernating that whole time.\You're just not used to the brightness of the surface yet.\Come on, back to sleep you go. response:	Chisaki will probably come by tomorrow or so.
context: Oh, Mom.\Huh?\Mama!\Everything is really bright and it's hard to see.\Well, you were hibernating that whole time.\You're just not used to the brightness of the surface yet.\Come on, back to sleep you go.\Chisaki will probably come by tomorrow or so. response:	Tsumugu got all big...
context: Huh?\Mama!\Everything is really bright and it's hard to see.\Well, you were hibernating that whole time.\You're just not used to the brightness of the surface yet.\Come on, back to sleep you go.\Chisaki will probably come by tomorrow or so.\Tsumugu got all big... response:	meaning Chisaki probably got pretty old, too.
context: Mama!\Everything is really bright and it's hard to see.\Well, you were hibernating that whole time.\You're just not used to the brightness of the surface yet.\Come on, back to sleep you go.\Chisaki will probably come by tomorrow or so.\Tsumugu got all big...\meaning Chisaki probably got pretty old, too. response:	She's got a nice body.
context: Everything is really bright and it's hard to see.\Well, you were hibernating that whole time.\You're just not used to the brightness of the surface yet.\Come on, back to sleep you go.\Chisaki will probably come by tomorrow or so.\Tsumugu got all big...\meaning Chisaki probably got pretty old, too.\She's got a nice body. response:	Aren't you excited, Hikari?
context: Well, you were hibernating that whole time.\You're just not used to the brightness of the surface yet.\Come on, back to sleep you go.\Chisaki will probably come by tomorrow or so.\Tsumugu got all big...\meaning Chisaki probably got pretty old, too.\She's got a nice body.\Aren't you excited, Hikari? response:	I-I don't care about stuff like that.
context: You're just not used to the brightness of the surface yet.\Come on, back to sleep you go.\Chisaki will probably come by tomorrow or so.\Tsumugu got all big...\meaning Chisaki probably got pretty old, too.\She's got a nice body.\Aren't you excited, Hikari?\I-I don't care about stuff like that. response:	Right...
context: Come on, back to sleep you go.\Chisaki will probably come by tomorrow or so.\Tsumugu got all big...\meaning Chisaki probably got pretty old, too.\She's got a nice body.\Aren't you excited, Hikari?\I-I don't care about stuff like that.\Right... response:	Stop being stupid...
context: Chisaki will probably come by tomorrow or so.\Tsumugu got all big...\meaning Chisaki probably got pretty old, too.\She's got a nice body.\Aren't you excited, Hikari?\I-I don't care about stuff like that.\Right...\Stop being stupid... response:	Your cheeks are bright red.
context: Tsumugu got all big...\meaning Chisaki probably got pretty old, too.\She's got a nice body.\Aren't you excited, Hikari?\I-I don't care about stuff like that.\Right...\Stop being stupid...\Your cheeks are bright red. response:	He's back...
context: meaning Chisaki probably got pretty old, too.\She's got a nice body.\Aren't you excited, Hikari?\I-I don't care about stuff like that.\Right...\Stop being stupid...\Your cheeks are bright red.\He's back... response:	Shut up.
context: She's got a nice body.\Aren't you excited, Hikari?\I-I don't care about stuff like that.\Right...\Stop being stupid...\Your cheeks are bright red.\He's back...\Shut up. response:	Hikari came back.
context: Aren't you excited, Hikari?\I-I don't care about stuff like that.\Right...\Stop being stupid...\Your cheeks are bright red.\He's back...\Shut up.\Hikari came back. response:	I'll be going now.
context: I-I don't care about stuff like that.\Right...\Stop being stupid...\Your cheeks are bright red.\He's back...\Shut up.\Hikari came back.\I'll be going now. response:	Chisaki-san doesn't need to go see Hikari-kun?
context: Right...\Stop being stupid...\Your cheeks are bright red.\He's back...\Shut up.\Hikari came back.\I'll be going now.\Chisaki-san doesn't need to go see Hikari-kun? response:	Apparently she has some test today.
context: Stop being stupid...\Your cheeks are bright red.\He's back...\Shut up.\Hikari came back.\I'll be going now.\Chisaki-san doesn't need to go see Hikari-kun?\Apparently she has some test today. response:	Aren't they childhood friends?
context: Your cheeks are bright red.\He's back...\Shut up.\Hikari came back.\I'll be going now.\Chisaki-san doesn't need to go see Hikari-kun?\Apparently she has some test today.\Aren't they childhood friends? response:	So that's how it is...
context: He's back...\Shut up.\Hikari came back.\I'll be going now.\Chisaki-san doesn't need to go see Hikari-kun?\Apparently she has some test today.\Aren't they childhood friends?\So that's how it is... response:	Apparently Chisaki-san's colder than I thought.
context: Shut up.\Hikari came back.\I'll be going now.\Chisaki-san doesn't need to go see Hikari-kun?\Apparently she has some test today.\Aren't they childhood friends?\So that's how it is...\Apparently Chisaki-san's colder than I thought. response:	He hasn't changed.
context: Hikari came back.\I'll be going now.\Chisaki-san doesn't need to go see Hikari-kun?\Apparently she has some test today.\Aren't they childhood friends?\So that's how it is...\Apparently Chisaki-san's colder than I thought.\He hasn't changed. response:	What's wrong? Are you okay?
context: I'll be going now.\Chisaki-san doesn't need to go see Hikari-kun?\Apparently she has some test today.\Aren't they childhood friends?\So that's how it is...\Apparently Chisaki-san's colder than I thought.\He hasn't changed.\What's wrong? Are you okay? response:	Kancho! Kancho! Kancho! Kancho!
context: Chisaki-san doesn't need to go see Hikari-kun?\Apparently she has some test today.\Aren't they childhood friends?\So that's how it is...\Apparently Chisaki-san's colder than I thought.\He hasn't changed.\What's wrong? Are you okay?\Kancho! Kancho! Kancho! Kancho! response:	Jeez... What's with all the racket?
context: Apparently she has some test today.\Aren't they childhood friends?\So that's how it is...\Apparently Chisaki-san's colder than I thought.\He hasn't changed.\What's wrong? Are you okay?\Kancho! Kancho! Kancho! Kancho!\Jeez... What's with all the racket? response:	I thought I'd give him a real taste of three years of pain.
context: Aren't they childhood friends?\So that's how it is...\Apparently Chisaki-san's colder than I thought.\He hasn't changed.\What's wrong? Are you okay?\Kancho! Kancho! Kancho! Kancho!\Jeez... What's with all the racket?\I thought I'd give him a real taste of three years of pain. response:	Kancho!
context: So that's how it is...\Apparently Chisaki-san's colder than I thought.\He hasn't changed.\What's wrong? Are you okay?\Kancho! Kancho! Kancho! Kancho!\Jeez... What's with all the racket?\I thought I'd give him a real taste of three years of pain.\Kancho! response:	I gave them a call, but apparently Chisaki's busy today.
context: Apparently Chisaki-san's colder than I thought.\He hasn't changed.\What's wrong? Are you okay?\Kancho! Kancho! Kancho! Kancho!\Jeez... What's with all the racket?\I thought I'd give him a real taste of three years of pain.\Kancho!\I gave them a call, but apparently Chisaki's busy today. response:	Oh... I see.
context: He hasn't changed.\What's wrong? Are you okay?\Kancho! Kancho! Kancho! Kancho!\Jeez... What's with all the racket?\I thought I'd give him a real taste of three years of pain.\Kancho!\I gave them a call, but apparently Chisaki's busy today.\Oh... I see. response:	That's too bad.
context: What's wrong? Are you okay?\Kancho! Kancho! Kancho! Kancho!\Jeez... What's with all the racket?\I thought I'd give him a real taste of three years of pain.\Kancho!\I gave them a call, but apparently Chisaki's busy today.\Oh... I see.\That's too bad. response:	If Chisaki-san and Tsumugu-kun were going to come by,
context: Kancho! Kancho! Kancho! Kancho!\Jeez... What's with all the racket?\I thought I'd give him a real taste of three years of pain.\Kancho!\I gave them a call, but apparently Chisaki's busy today.\Oh... I see.\That's too bad.\If Chisaki-san and Tsumugu-kun were going to come by, response:	I would take some time off so we could all barbecue.
context: Jeez... What's with all the racket?\I thought I'd give him a real taste of three years of pain.\Kancho!\I gave them a call, but apparently Chisaki's busy today.\Oh... I see.\That's too bad.\If Chisaki-san and Tsumugu-kun were going to come by,\I would take some time off so we could all barbecue. response:	We don't need to do anything out of the ordinary.
context: I thought I'd give him a real taste of three years of pain.\Kancho!\I gave them a call, but apparently Chisaki's busy today.\Oh... I see.\That's too bad.\If Chisaki-san and Tsumugu-kun were going to come by,\I would take some time off so we could all barbecue.\We don't need to do anything out of the ordinary. response:	We haven't even put a dent into the loan for this house.
context: Kancho!\I gave them a call, but apparently Chisaki's busy today.\Oh... I see.\That's too bad.\If Chisaki-san and Tsumugu-kun were going to come by,\I would take some time off so we could all barbecue.\We don't need to do anything out of the ordinary.\We haven't even put a dent into the loan for this house. response:	Keep up the hard work, Dad.
context: I gave them a call, but apparently Chisaki's busy today.\Oh... I see.\That's too bad.\If Chisaki-san and Tsumugu-kun were going to come by,\I would take some time off so we could all barbecue.\We don't need to do anything out of the ordinary.\We haven't even put a dent into the loan for this house.\Keep up the hard work, Dad. response:	What's all that about? And this early in the morning...
context: Oh... I see.\That's too bad.\If Chisaki-san and Tsumugu-kun were going to come by,\I would take some time off so we could all barbecue.\We don't need to do anything out of the ordinary.\We haven't even put a dent into the loan for this house.\Keep up the hard work, Dad.\What's all that about? And this early in the morning... response:	Hikari!
context: That's too bad.\If Chisaki-san and Tsumugu-kun were going to come by,\I would take some time off so we could all barbecue.\We don't need to do anything out of the ordinary.\We haven't even put a dent into the loan for this house.\Keep up the hard work, Dad.\What's all that about? And this early in the morning...\Hikari! response:	Whoa, are you Sayama?!
context: If Chisaki-san and Tsumugu-kun were going to come by,\I would take some time off so we could all barbecue.\We don't need to do anything out of the ordinary.\We haven't even put a dent into the loan for this house.\Keep up the hard work, Dad.\What's all that about? And this early in the morning...\Hikari!\Whoa, are you Sayama?! response:	It's Hikari. Just like he was.
context: I would take some time off so we could all barbecue.\We don't need to do anything out of the ordinary.\We haven't even put a dent into the loan for this house.\Keep up the hard work, Dad.\What's all that about? And this early in the morning...\Hikari!\Whoa, are you Sayama?!\It's Hikari. Just like he was. response:	Huh? Who are you?
context: We don't need to do anything out of the ordinary.\We haven't even put a dent into the loan for this house.\Keep up the hard work, Dad.\What's all that about? And this early in the morning...\Hikari!\Whoa, are you Sayama?!\It's Hikari. Just like he was.\Huh? Who are you? response:	That's Sayu.
context: We haven't even put a dent into the loan for this house.\Keep up the hard work, Dad.\What's all that about? And this early in the morning...\Hikari!\Whoa, are you Sayama?!\It's Hikari. Just like he was.\Huh? Who are you?\That's Sayu. response:	Seriously?
context: Keep up the hard work, Dad.\What's all that about? And this early in the morning...\Hikari!\Whoa, are you Sayama?!\It's Hikari. Just like he was.\Huh? Who are you?\That's Sayu.\Seriously? response:	I've matured quite a bit, no?
context: What's all that about? And this early in the morning...\Hikari!\Whoa, are you Sayama?!\It's Hikari. Just like he was.\Huh? Who are you?\That's Sayu.\Seriously?\I've matured quite a bit, no? response:	Actually, it's sort of gross.
context: Hikari!\Whoa, are you Sayama?!\It's Hikari. Just like he was.\Huh? Who are you?\That's Sayu.\Seriously?\I've matured quite a bit, no?\Actually, it's sort of gross. response:	What?!
context: Whoa, are you Sayama?!\It's Hikari. Just like he was.\Huh? Who are you?\That's Sayu.\Seriously?\I've matured quite a bit, no?\Actually, it's sort of gross.\What?! response:	Everyone wants to see you.
context: It's Hikari. Just like he was.\Huh? Who are you?\That's Sayu.\Seriously?\I've matured quite a bit, no?\Actually, it's sort of gross.\What?!\Everyone wants to see you. response:	Sensei, Seiki, Akiyoshi...
context: Huh? Who are you?\That's Sayu.\Seriously?\I've matured quite a bit, no?\Actually, it's sort of gross.\What?!\Everyone wants to see you.\Sensei, Seiki, Akiyoshi... response:	I'll take you around, so let's go see all of them.
context: That's Sayu.\Seriously?\I've matured quite a bit, no?\Actually, it's sort of gross.\What?!\Everyone wants to see you.\Sensei, Seiki, Akiyoshi...\I'll take you around, so let's go see all of them. response:	Oh, Hikari's not completely recovered yet...
context: Seriously?\I've matured quite a bit, no?\Actually, it's sort of gross.\What?!\Everyone wants to see you.\Sensei, Seiki, Akiyoshi...\I'll take you around, so let's go see all of them.\Oh, Hikari's not completely recovered yet... response:	It's fine. I'll go.
context: I've matured quite a bit, no?\Actually, it's sort of gross.\What?!\Everyone wants to see you.\Sensei, Seiki, Akiyoshi...\I'll take you around, so let's go see all of them.\Oh, Hikari's not completely recovered yet...\It's fine. I'll go. response:	Huh?
context: Actually, it's sort of gross.\What?!\Everyone wants to see you.\Sensei, Seiki, Akiyoshi...\I'll take you around, so let's go see all of them.\Oh, Hikari's not completely recovered yet...\It's fine. I'll go.\Huh? response:	Do you two want a ride to school?
context: What?!\Everyone wants to see you.\Sensei, Seiki, Akiyoshi...\I'll take you around, so let's go see all of them.\Oh, Hikari's not completely recovered yet...\It's fine. I'll go.\Huh?\Do you two want a ride to school? response:	We're gonna make a few stops first, though...
context: Everyone wants to see you.\Sensei, Seiki, Akiyoshi...\I'll take you around, so let's go see all of them.\Oh, Hikari's not completely recovered yet...\It's fine. I'll go.\Huh?\Do you two want a ride to school?\We're gonna make a few stops first, though... response:	Sure.
context: Sensei, Seiki, Akiyoshi...\I'll take you around, so let's go see all of them.\Oh, Hikari's not completely recovered yet...\It's fine. I'll go.\Huh?\Do you two want a ride to school?\We're gonna make a few stops first, though...\Sure. response:	Talk about a turn of events.
context: I'll take you around, so let's go see all of them.\Oh, Hikari's not completely recovered yet...\It's fine. I'll go.\Huh?\Do you two want a ride to school?\We're gonna make a few stops first, though...\Sure.\Talk about a turn of events. response:	It's like a dream, so I don't understand everything.
context: Oh, Hikari's not completely recovered yet...\It's fine. I'll go.\Huh?\Do you two want a ride to school?\We're gonna make a few stops first, though...\Sure.\Talk about a turn of events.\It's like a dream, so I don't understand everything. response:	Like a dream?
context: It's fine. I'll go.\Huh?\Do you two want a ride to school?\We're gonna make a few stops first, though...\Sure.\Talk about a turn of events.\It's like a dream, so I don't understand everything.\Like a dream? response:	What's with the line from a chick flick?
context: Huh?\Do you two want a ride to school?\We're gonna make a few stops first, though...\Sure.\Talk about a turn of events.\It's like a dream, so I don't understand everything.\Like a dream?\What's with the line from a chick flick? response:	N-Not like that!
context: Do you two want a ride to school?\We're gonna make a few stops first, though...\Sure.\Talk about a turn of events.\It's like a dream, so I don't understand everything.\Like a dream?\What's with the line from a chick flick?\N-Not like that! response:	Not a dream like that,
context: We're gonna make a few stops first, though...\Sure.\Talk about a turn of events.\It's like a dream, so I don't understand everything.\Like a dream?\What's with the line from a chick flick?\N-Not like that!\Not a dream like that, response:	I mean, this is something really weird and different.
context: Sure.\Talk about a turn of events.\It's like a dream, so I don't understand everything.\Like a dream?\What's with the line from a chick flick?\N-Not like that!\Not a dream like that,\I mean, this is something really weird and different. response:	So it's more like a surprise.
context: Talk about a turn of events.\It's like a dream, so I don't understand everything.\Like a dream?\What's with the line from a chick flick?\N-Not like that!\Not a dream like that,\I mean, this is something really weird and different.\So it's more like a surprise. response:	And then Egawa had been getting around...
context: It's like a dream, so I don't understand everything.\Like a dream?\What's with the line from a chick flick?\N-Not like that!\Not a dream like that,\I mean, this is something really weird and different.\So it's more like a surprise.\And then Egawa had been getting around... response:	Oh, and in high school, he was going out with Yaragi.
context: Like a dream?\What's with the line from a chick flick?\N-Not like that!\Not a dream like that,\I mean, this is something really weird and different.\So it's more like a surprise.\And then Egawa had been getting around...\Oh, and in high school, he was going out with Yaragi. response:	Right...
context: What's with the line from a chick flick?\N-Not like that!\Not a dream like that,\I mean, this is something really weird and different.\So it's more like a surprise.\And then Egawa had been getting around...\Oh, and in high school, he was going out with Yaragi.\Right... response:	He shouldn't have tried to settle with someone so close by, right?
context: N-Not like that!\Not a dream like that,\I mean, this is something really weird and different.\So it's more like a surprise.\And then Egawa had been getting around...\Oh, and in high school, he was going out with Yaragi.\Right...\He shouldn't have tried to settle with someone so close by, right? response:	By the way, Honjin is working at the government office.
context: Not a dream like that,\I mean, this is something really weird and different.\So it's more like a surprise.\And then Egawa had been getting around...\Oh, and in high school, he was going out with Yaragi.\Right...\He shouldn't have tried to settle with someone so close by, right?\By the way, Honjin is working at the government office. response:	Oshiooshi Fishery Cooperative
context: I mean, this is something really weird and different.\So it's more like a surprise.\And then Egawa had been getting around...\Oh, and in high school, he was going out with Yaragi.\Right...\He shouldn't have tried to settle with someone so close by, right?\By the way, Honjin is working at the government office.\Oshiooshi Fishery Cooperative response:	Look at those eyes.
context: So it's more like a surprise.\And then Egawa had been getting around...\Oh, and in high school, he was going out with Yaragi.\Right...\He shouldn't have tried to settle with someone so close by, right?\By the way, Honjin is working at the government office.\Oshiooshi Fishery Cooperative\Look at those eyes. response:	It's Hikari, all right. Hikari's come back!
context: And then Egawa had been getting around...\Oh, and in high school, he was going out with Yaragi.\Right...\He shouldn't have tried to settle with someone so close by, right?\By the way, Honjin is working at the government office.\Oshiooshi Fishery Cooperative\Look at those eyes.\It's Hikari, all right. Hikari's come back! response:	How great!
context: Oh, and in high school, he was going out with Yaragi.\Right...\He shouldn't have tried to settle with someone so close by, right?\By the way, Honjin is working at the government office.\Oshiooshi Fishery Cooperative\Look at those eyes.\It's Hikari, all right. Hikari's come back!\How great! response:	Since Hikari came back,
context: Right...\He shouldn't have tried to settle with someone so close by, right?\By the way, Honjin is working at the government office.\Oshiooshi Fishery Cooperative\Look at those eyes.\It's Hikari, all right. Hikari's come back!\How great!\Since Hikari came back, response:	that means the other people from the sea will be up soon, too, right?
context: He shouldn't have tried to settle with someone so close by, right?\By the way, Honjin is working at the government office.\Oshiooshi Fishery Cooperative\Look at those eyes.\It's Hikari, all right. Hikari's come back!\How great!\Since Hikari came back,\that means the other people from the sea will be up soon, too, right? response:	They should be.
context: By the way, Honjin is working at the government office.\Oshiooshi Fishery Cooperative\Look at those eyes.\It's Hikari, all right. Hikari's come back!\How great!\Since Hikari came back,\that means the other people from the sea will be up soon, too, right?\They should be. response:	Right about now, we'd be able to drink some great sake with them.
context: Oshiooshi Fishery Cooperative\Look at those eyes.\It's Hikari, all right. Hikari's come back!\How great!\Since Hikari came back,\that means the other people from the sea will be up soon, too, right?\They should be.\Right about now, we'd be able to drink some great sake with them. response:	Yeah.
context: Look at those eyes.\It's Hikari, all right. Hikari's come back!\How great!\Since Hikari came back,\that means the other people from the sea will be up soon, too, right?\They should be.\Right about now, we'd be able to drink some great sake with them.\Yeah. response:	Hey, let's not talk about depressing things so early in the morning.
context: It's Hikari, all right. Hikari's come back!\How great!\Since Hikari came back,\that means the other people from the sea will be up soon, too, right?\They should be.\Right about now, we'd be able to drink some great sake with them.\Yeah.\Hey, let's not talk about depressing things so early in the morning. response:	Oh, yeah.
context: How great!\Since Hikari came back,\that means the other people from the sea will be up soon, too, right?\They should be.\Right about now, we'd be able to drink some great sake with them.\Yeah.\Hey, let's not talk about depressing things so early in the morning.\Oh, yeah. response:	We prepared this for you.
