context: You're right. response:	Now do you believe me?
context: The operation begins tomorrow at 2200 hours.\At that time, I will hijack several military servers around the world,\and launch one missile after another.\I'll finish launching the last one at 2340 hours.\Ten minutes later, the launched missiles will gather at one location\and destroy VR-1 in its approach.\Colonel! Why don't we launch the missiles right now?\Operation Peacemaker Operation Schedule response:	Ballistic missiles can't surpass the first cosmic velocity,
context: At that time, I will hijack several military servers around the world,\and launch one missile after another.\I'll finish launching the last one at 2340 hours.\Ten minutes later, the launched missiles will gather at one location\and destroy VR-1 in its approach.\Colonel! Why don't we launch the missiles right now?\Operation Peacemaker Operation Schedule\Ballistic missiles can't surpass the first cosmic velocity, response:	or 7.9 kilometers per second.
context: and launch one missile after another.\I'll finish launching the last one at 2340 hours.\Ten minutes later, the launched missiles will gather at one location\and destroy VR-1 in its approach.\Colonel! Why don't we launch the missiles right now?\Operation Peacemaker Operation Schedule\Ballistic missiles can't surpass the first cosmic velocity,\or 7.9 kilometers per second. response:	In other words, they can't escape Earth's gravity.
context: I'll finish launching the last one at 2340 hours.\Ten minutes later, the launched missiles will gather at one location\and destroy VR-1 in its approach.\Colonel! Why don't we launch the missiles right now?\Operation Peacemaker Operation Schedule\Ballistic missiles can't surpass the first cosmic velocity,\or 7.9 kilometers per second.\In other words, they can't escape Earth's gravity. response:	Therefore, in order to obliterate VR-1,
context: Ten minutes later, the launched missiles will gather at one location\and destroy VR-1 in its approach.\Colonel! Why don't we launch the missiles right now?\Operation Peacemaker Operation Schedule\Ballistic missiles can't surpass the first cosmic velocity,\or 7.9 kilometers per second.\In other words, they can't escape Earth's gravity.\Therefore, in order to obliterate VR-1, response:	we need to allow the target to come within firing range.
context: and destroy VR-1 in its approach.\Colonel! Why don't we launch the missiles right now?\Operation Peacemaker Operation Schedule\Ballistic missiles can't surpass the first cosmic velocity,\or 7.9 kilometers per second.\In other words, they can't escape Earth's gravity.\Therefore, in order to obliterate VR-1,\we need to allow the target to come within firing range. response:	It's like shooting down a bullet
context: Colonel! Why don't we launch the missiles right now?\Operation Peacemaker Operation Schedule\Ballistic missiles can't surpass the first cosmic velocity,\or 7.9 kilometers per second.\In other words, they can't escape Earth's gravity.\Therefore, in order to obliterate VR-1,\we need to allow the target to come within firing range.\It's like shooting down a bullet response:	after it's come within three centimeters of your nose.
context: Operation Peacemaker Operation Schedule\Ballistic missiles can't surpass the first cosmic velocity,\or 7.9 kilometers per second.\In other words, they can't escape Earth's gravity.\Therefore, in order to obliterate VR-1,\we need to allow the target to come within firing range.\It's like shooting down a bullet\after it's come within three centimeters of your nose. response:	But that's...
context: Ballistic missiles can't surpass the first cosmic velocity,\or 7.9 kilometers per second.\In other words, they can't escape Earth's gravity.\Therefore, in order to obliterate VR-1,\we need to allow the target to come within firing range.\It's like shooting down a bullet\after it's come within three centimeters of your nose.\But that's... response:	Don't worry. We have a chance.
context: or 7.9 kilometers per second.\In other words, they can't escape Earth's gravity.\Therefore, in order to obliterate VR-1,\we need to allow the target to come within firing range.\It's like shooting down a bullet\after it's come within three centimeters of your nose.\But that's...\Don't worry. We have a chance. response:	But only if there are no interferences.
context: In other words, they can't escape Earth's gravity.\Therefore, in order to obliterate VR-1,\we need to allow the target to come within firing range.\It's like shooting down a bullet\after it's come within three centimeters of your nose.\But that's...\Don't worry. We have a chance.\But only if there are no interferences. response:	Nations with nuclear armament Total nuclear missiles across Earth
context: Therefore, in order to obliterate VR-1,\we need to allow the target to come within firing range.\It's like shooting down a bullet\after it's come within three centimeters of your nose.\But that's...\Don't worry. We have a chance.\But only if there are no interferences.\Nations with nuclear armament Total nuclear missiles across Earth response:	Operation Begins Operation Ends
context: we need to allow the target to come within firing range.\It's like shooting down a bullet\after it's come within three centimeters of your nose.\But that's...\Don't worry. We have a chance.\But only if there are no interferences.\Nations with nuclear armament Total nuclear missiles across Earth\Operation Begins Operation Ends response:	Police forces attack!
context: It's like shooting down a bullet\after it's come within three centimeters of your nose.\But that's...\Don't worry. We have a chance.\But only if there are no interferences.\Nations with nuclear armament Total nuclear missiles across Earth\Operation Begins Operation Ends\Police forces attack! response:	Police forces attack?
context: after it's come within three centimeters of your nose.\But that's...\Don't worry. We have a chance.\But only if there are no interferences.\Nations with nuclear armament Total nuclear missiles across Earth\Operation Begins Operation Ends\Police forces attack!\Police forces attack? response:	A huge number of police forces
context: But that's...\Don't worry. We have a chance.\But only if there are no interferences.\Nations with nuclear armament Total nuclear missiles across Earth\Operation Begins Operation Ends\Police forces attack!\Police forces attack?\A huge number of police forces response:	will most likely arrive during the operation once they get wind of the hacking.
context: Don't worry. We have a chance.\But only if there are no interferences.\Nations with nuclear armament Total nuclear missiles across Earth\Operation Begins Operation Ends\Police forces attack!\Police forces attack?\A huge number of police forces\will most likely arrive during the operation once they get wind of the hacking. response:	the hundred minutes between the beginning and end of the operation.
context: But only if there are no interferences.\Nations with nuclear armament Total nuclear missiles across Earth\Operation Begins Operation Ends\Police forces attack!\Police forces attack?\A huge number of police forces\will most likely arrive during the operation once they get wind of the hacking.\the hundred minutes between the beginning and end of the operation. response:	You must protect Korai House at any cost.
context: Nations with nuclear armament Total nuclear missiles across Earth\Operation Begins Operation Ends\Police forces attack!\Police forces attack?\A huge number of police forces\will most likely arrive during the operation once they get wind of the hacking.\the hundred minutes between the beginning and end of the operation.\You must protect Korai House at any cost. response:	Can you do it?
context: Operation Begins Operation Ends\Police forces attack!\Police forces attack?\A huge number of police forces\will most likely arrive during the operation once they get wind of the hacking.\the hundred minutes between the beginning and end of the operation.\You must protect Korai House at any cost.\Can you do it? response:	Leave it to me.
context: Police forces attack!\Police forces attack?\A huge number of police forces\will most likely arrive during the operation once they get wind of the hacking.\the hundred minutes between the beginning and end of the operation.\You must protect Korai House at any cost.\Can you do it?\Leave it to me. response:	It'll be easy, as long as you, Sir, would do me the honor of
context: Police forces attack?\A huge number of police forces\will most likely arrive during the operation once they get wind of the hacking.\the hundred minutes between the beginning and end of the operation.\You must protect Korai House at any cost.\Can you do it?\Leave it to me.\It'll be easy, as long as you, Sir, would do me the honor of response:	showing me your panties!
context: A huge number of police forces\will most likely arrive during the operation once they get wind of the hacking.\the hundred minutes between the beginning and end of the operation.\You must protect Korai House at any cost.\Can you do it?\Leave it to me.\It'll be easy, as long as you, Sir, would do me the honor of\showing me your panties! response:	Say what?
context: will most likely arrive during the operation once they get wind of the hacking.\the hundred minutes between the beginning and end of the operation.\You must protect Korai House at any cost.\Can you do it?\Leave it to me.\It'll be easy, as long as you, Sir, would do me the honor of\showing me your panties!\Say what? response:	Well, see,
context: the hundred minutes between the beginning and end of the operation.\You must protect Korai House at any cost.\Can you do it?\Leave it to me.\It'll be easy, as long as you, Sir, would do me the honor of\showing me your panties!\Say what?\Well, see, response:	I have to be Uberfied before the beginning of the operation.
context: You must protect Korai House at any cost.\Can you do it?\Leave it to me.\It'll be easy, as long as you, Sir, would do me the honor of\showing me your panties!\Say what?\Well, see,\I have to be Uberfied before the beginning of the operation. response:	For that, Colonel, your panties...
context: Can you do it?\Leave it to me.\It'll be easy, as long as you, Sir, would do me the honor of\showing me your panties!\Say what?\Well, see,\I have to be Uberfied before the beginning of the operation.\For that, Colonel, your panties... response:	Why did you kick me?!
context: Leave it to me.\It'll be easy, as long as you, Sir, would do me the honor of\showing me your panties!\Say what?\Well, see,\I have to be Uberfied before the beginning of the operation.\For that, Colonel, your panties...\Why did you kick me?! response:	Last time, you said it's okay because we're both girls!
context: It'll be easy, as long as you, Sir, would do me the honor of\showing me your panties!\Say what?\Well, see,\I have to be Uberfied before the beginning of the operation.\For that, Colonel, your panties...\Why did you kick me?!\Last time, you said it's okay because we're both girls! response:	Your soul is a guy's, isn't it?
context: showing me your panties!\Say what?\Well, see,\I have to be Uberfied before the beginning of the operation.\For that, Colonel, your panties...\Why did you kick me?!\Last time, you said it's okay because we're both girls!\Your soul is a guy's, isn't it? response:	In any case, that concludes the briefing.
context: Say what?\Well, see,\I have to be Uberfied before the beginning of the operation.\For that, Colonel, your panties...\Why did you kick me?!\Last time, you said it's okay because we're both girls!\Your soul is a guy's, isn't it?\In any case, that concludes the briefing. response:	I have one last favor I want to ask of you.
context: Well, see,\I have to be Uberfied before the beginning of the operation.\For that, Colonel, your panties...\Why did you kick me?!\Last time, you said it's okay because we're both girls!\Your soul is a guy's, isn't it?\In any case, that concludes the briefing.\I have one last favor I want to ask of you. response:	A favor?
context: I have to be Uberfied before the beginning of the operation.\For that, Colonel, your panties...\Why did you kick me?!\Last time, you said it's okay because we're both girls!\Your soul is a guy's, isn't it?\In any case, that concludes the briefing.\I have one last favor I want to ask of you.\A favor? response:	It's New Old Year's Eve! Meikaemon
context: For that, Colonel, your panties...\Why did you kick me?!\Last time, you said it's okay because we're both girls!\Your soul is a guy's, isn't it?\In any case, that concludes the briefing.\I have one last favor I want to ask of you.\A favor?\It's New Old Year's Eve! Meikaemon response:	All right, let's start!
context: Why did you kick me?!\Last time, you said it's okay because we're both girls!\Your soul is a guy's, isn't it?\In any case, that concludes the briefing.\I have one last favor I want to ask of you.\A favor?\It's New Old Year's Eve! Meikaemon\All right, let's start! response:	It's Old Year's Eve! Meikaemon is now in session.
context: Last time, you said it's okay because we're both girls!\Your soul is a guy's, isn't it?\In any case, that concludes the briefing.\I have one last favor I want to ask of you.\A favor?\It's New Old Year's Eve! Meikaemon\All right, let's start!\It's Old Year's Eve! Meikaemon is now in session. response:	Yay!
context: Your soul is a guy's, isn't it?\In any case, that concludes the briefing.\I have one last favor I want to ask of you.\A favor?\It's New Old Year's Eve! Meikaemon\All right, let's start!\It's Old Year's Eve! Meikaemon is now in session.\Yay! response:	Huh? Meika, we're out of fireworks.
context: In any case, that concludes the briefing.\I have one last favor I want to ask of you.\A favor?\It's New Old Year's Eve! Meikaemon\All right, let's start!\It's Old Year's Eve! Meikaemon is now in session.\Yay!\Huh? Meika, we're out of fireworks. response:	Relax.
context: I have one last favor I want to ask of you.\A favor?\It's New Old Year's Eve! Meikaemon\All right, let's start!\It's Old Year's Eve! Meikaemon is now in session.\Yay!\Huh? Meika, we're out of fireworks.\Relax. response:	I've kept one for a special occasion.
context: A favor?\It's New Old Year's Eve! Meikaemon\All right, let's start!\It's Old Year's Eve! Meikaemon is now in session.\Yay!\Huh? Meika, we're out of fireworks.\Relax.\I've kept one for a special occasion. response:	A special occasion?
context: It's New Old Year's Eve! Meikaemon\All right, let's start!\It's Old Year's Eve! Meikaemon is now in session.\Yay!\Huh? Meika, we're out of fireworks.\Relax.\I've kept one for a special occasion.\A special occasion? response:	A bottle rocket!
context: All right, let's start!\It's Old Year's Eve! Meikaemon is now in session.\Yay!\Huh? Meika, we're out of fireworks.\Relax.\I've kept one for a special occasion.\A special occasion?\A bottle rocket! response:	I don't see one anywhere.
context: It's Old Year's Eve! Meikaemon is now in session.\Yay!\Huh? Meika, we're out of fireworks.\Relax.\I've kept one for a special occasion.\A special occasion?\A bottle rocket!\I don't see one anywhere. response:	Over there.
context: Yay!\Huh? Meika, we're out of fireworks.\Relax.\I've kept one for a special occasion.\A special occasion?\A bottle rocket!\I don't see one anywhere.\Over there. response:	Somewhere that way.
context: Huh? Meika, we're out of fireworks.\Relax.\I've kept one for a special occasion.\A special occasion?\A bottle rocket!\I don't see one anywhere.\Over there.\Somewhere that way. response:	Whatever, let's just go check it out!
context: Relax.\I've kept one for a special occasion.\A special occasion?\A bottle rocket!\I don't see one anywhere.\Over there.\Somewhere that way.\Whatever, let's just go check it out! response:	Wait up!
context: I've kept one for a special occasion.\A special occasion?\A bottle rocket!\I don't see one anywhere.\Over there.\Somewhere that way.\Whatever, let's just go check it out!\Wait up! response:	That's all you wanted?
context: A special occasion?\A bottle rocket!\I don't see one anywhere.\Over there.\Somewhere that way.\Whatever, let's just go check it out!\Wait up!\That's all you wanted? response:	I'm completely satisfied.
context: A bottle rocket!\I don't see one anywhere.\Over there.\Somewhere that way.\Whatever, let's just go check it out!\Wait up!\That's all you wanted?\I'm completely satisfied. response:	Now I can die happy.
context: I don't see one anywhere.\Over there.\Somewhere that way.\Whatever, let's just go check it out!\Wait up!\That's all you wanted?\I'm completely satisfied.\Now I can die happy. response:	Hey, don't even say stuff like that.
context: Over there.\Somewhere that way.\Whatever, let's just go check it out!\Wait up!\That's all you wanted?\I'm completely satisfied.\Now I can die happy.\Hey, don't even say stuff like that. response:	I'm kidding.
context: Somewhere that way.\Whatever, let's just go check it out!\Wait up!\That's all you wanted?\I'm completely satisfied.\Now I can die happy.\Hey, don't even say stuff like that.\I'm kidding. response:	We should get going, too.
context: Whatever, let's just go check it out!\Wait up!\That's all you wanted?\I'm completely satisfied.\Now I can die happy.\Hey, don't even say stuff like that.\I'm kidding.\We should get going, too. response:	Okay, here goes.
context: Wait up!\That's all you wanted?\I'm completely satisfied.\Now I can die happy.\Hey, don't even say stuff like that.\I'm kidding.\We should get going, too.\Okay, here goes. response:	Wh-What is this?
context: That's all you wanted?\I'm completely satisfied.\Now I can die happy.\Hey, don't even say stuff like that.\I'm kidding.\We should get going, too.\Okay, here goes.\Wh-What is this? response:	Just what it looks like: a combat robot.
context: I'm completely satisfied.\Now I can die happy.\Hey, don't even say stuff like that.\I'm kidding.\We should get going, too.\Okay, here goes.\Wh-What is this?\Just what it looks like: a combat robot. response:	Kaku-Maker
context: Now I can die happy.\Hey, don't even say stuff like that.\I'm kidding.\We should get going, too.\Okay, here goes.\Wh-What is this?\Just what it looks like: a combat robot.\Kaku-Maker response:	I call it the Kaku-Maker!
context: Hey, don't even say stuff like that.\I'm kidding.\We should get going, too.\Okay, here goes.\Wh-What is this?\Just what it looks like: a combat robot.\Kaku-Maker\I call it the Kaku-Maker! response:	Uh, where's the bottle rocket?
context: I'm kidding.\We should get going, too.\Okay, here goes.\Wh-What is this?\Just what it looks like: a combat robot.\Kaku-Maker\I call it the Kaku-Maker!\Uh, where's the bottle rocket? response:	There!
context: We should get going, too.\Okay, here goes.\Wh-What is this?\Just what it looks like: a combat robot.\Kaku-Maker\I call it the Kaku-Maker!\Uh, where's the bottle rocket?\There! response:	See it up there?
context: Okay, here goes.\Wh-What is this?\Just what it looks like: a combat robot.\Kaku-Maker\I call it the Kaku-Maker!\Uh, where's the bottle rocket?\There!\See it up there? response:	Anyway, Narugino, get on.
context: Wh-What is this?\Just what it looks like: a combat robot.\Kaku-Maker\I call it the Kaku-Maker!\Uh, where's the bottle rocket?\There!\See it up there?\Anyway, Narugino, get on. response:	Isn't this...
context: Just what it looks like: a combat robot.\Kaku-Maker\I call it the Kaku-Maker!\Uh, where's the bottle rocket?\There!\See it up there?\Anyway, Narugino, get on.\Isn't this... response:	No way, no way! I can't pilot this thing!
context: Kaku-Maker\I call it the Kaku-Maker!\Uh, where's the bottle rocket?\There!\See it up there?\Anyway, Narugino, get on.\Isn't this...\No way, no way! I can't pilot this thing! response:	You can't, huh?
context: I call it the Kaku-Maker!\Uh, where's the bottle rocket?\There!\See it up there?\Anyway, Narugino, get on.\Isn't this...\No way, no way! I can't pilot this thing!\You can't, huh? response:	Oh, well, that's okay, then.
context: Uh, where's the bottle rocket?\There!\See it up there?\Anyway, Narugino, get on.\Isn't this...\No way, no way! I can't pilot this thing!\You can't, huh?\Oh, well, that's okay, then. response:	We'll do it another way.
context: There!\See it up there?\Anyway, Narugino, get on.\Isn't this...\No way, no way! I can't pilot this thing!\You can't, huh?\Oh, well, that's okay, then.\We'll do it another way. response:	Another way?
context: See it up there?\Anyway, Narugino, get on.\Isn't this...\No way, no way! I can't pilot this thing!\You can't, huh?\Oh, well, that's okay, then.\We'll do it another way.\Another way? response:	What, you can control it remotely?
context: Anyway, Narugino, get on.\Isn't this...\No way, no way! I can't pilot this thing!\You can't, huh?\Oh, well, that's okay, then.\We'll do it another way.\Another way?\What, you can control it remotely? response:	For simple motions like this, yeah.
context: Isn't this...\No way, no way! I can't pilot this thing!\You can't, huh?\Oh, well, that's okay, then.\We'll do it another way.\Another way?\What, you can control it remotely?\For simple motions like this, yeah. response:	Okay, I'm launching the fireworks now.
context: No way, no way! I can't pilot this thing!\You can't, huh?\Oh, well, that's okay, then.\We'll do it another way.\Another way?\What, you can control it remotely?\For simple motions like this, yeah.\Okay, I'm launching the fireworks now. response:	Are you ready?
context: You can't, huh?\Oh, well, that's okay, then.\We'll do it another way.\Another way?\What, you can control it remotely?\For simple motions like this, yeah.\Okay, I'm launching the fireworks now.\Are you ready? response:	Here we go!
context: Oh, well, that's okay, then.\We'll do it another way.\Another way?\What, you can control it remotely?\For simple motions like this, yeah.\Okay, I'm launching the fireworks now.\Are you ready?\Here we go! response:	Three, two, one!
context: We'll do it another way.\Another way?\What, you can control it remotely?\For simple motions like this, yeah.\Okay, I'm launching the fireworks now.\Are you ready?\Here we go!\Three, two, one! response:	For a successful operation!
context: Another way?\What, you can control it remotely?\For simple motions like this, yeah.\Okay, I'm launching the fireworks now.\Are you ready?\Here we go!\Three, two, one!\For a successful operation! response:	Wait a second!
context: What, you can control it remotely?\For simple motions like this, yeah.\Okay, I'm launching the fireworks now.\Are you ready?\Here we go!\Three, two, one!\For a successful operation!\Wait a second! response:	Operation?
context: For simple motions like this, yeah.\Okay, I'm launching the fireworks now.\Are you ready?\Here we go!\Three, two, one!\For a successful operation!\Wait a second!\Operation? response:	She's talking about Operation Peacemaker.
context: Okay, I'm launching the fireworks now.\Are you ready?\Here we go!\Three, two, one!\For a successful operation!\Wait a second!\Operation?\She's talking about Operation Peacemaker. response:	Ito...
context: Are you ready?\Here we go!\Three, two, one!\For a successful operation!\Wait a second!\Operation?\She's talking about Operation Peacemaker.\Ito... response:	Meika, you should probably make the walls at Korai House thicker.
context: Here we go!\Three, two, one!\For a successful operation!\Wait a second!\Operation?\She's talking about Operation Peacemaker.\Ito...\Meika, you should probably make the walls at Korai House thicker. response:	You were eavesdropping on us?
context: Three, two, one!\For a successful operation!\Wait a second!\Operation?\She's talking about Operation Peacemaker.\Ito...\Meika, you should probably make the walls at Korai House thicker.\You were eavesdropping on us? response:	So there you have it.
context: For a successful operation!\Wait a second!\Operation?\She's talking about Operation Peacemaker.\Ito...\Meika, you should probably make the walls at Korai House thicker.\You were eavesdropping on us?\So there you have it. response:	We know everything.
context: Wait a second!\Operation?\She's talking about Operation Peacemaker.\Ito...\Meika, you should probably make the walls at Korai House thicker.\You were eavesdropping on us?\So there you have it.\We know everything. response:	About you leaving your body, and about the previous histories.
context: Operation?\She's talking about Operation Peacemaker.\Ito...\Meika, you should probably make the walls at Korai House thicker.\You were eavesdropping on us?\So there you have it.\We know everything.\About you leaving your body, and about the previous histories. response:	Please, let us help, too!
context: She's talking about Operation Peacemaker.\Ito...\Meika, you should probably make the walls at Korai House thicker.\You were eavesdropping on us?\So there you have it.\We know everything.\About you leaving your body, and about the previous histories.\Please, let us help, too! response:	No.
context: Ito...\Meika, you should probably make the walls at Korai House thicker.\You were eavesdropping on us?\So there you have it.\We know everything.\About you leaving your body, and about the previous histories.\Please, let us help, too!\No. response:	I appreciate your offer, but I can't let you join the operation.
context: Meika, you should probably make the walls at Korai House thicker.\You were eavesdropping on us?\So there you have it.\We know everything.\About you leaving your body, and about the previous histories.\Please, let us help, too!\No.\I appreciate your offer, but I can't let you join the operation. response:	Especially not you, Narugino.
context: You were eavesdropping on us?\So there you have it.\We know everything.\About you leaving your body, and about the previous histories.\Please, let us help, too!\No.\I appreciate your offer, but I can't let you join the operation.\Especially not you, Narugino. response:	Why not?!
context: So there you have it.\We know everything.\About you leaving your body, and about the previous histories.\Please, let us help, too!\No.\I appreciate your offer, but I can't let you join the operation.\Especially not you, Narugino.\Why not?! response:	I'm a hero of justice
context: We know everything.\About you leaving your body, and about the previous histories.\Please, let us help, too!\No.\I appreciate your offer, but I can't let you join the operation.\Especially not you, Narugino.\Why not?!\I'm a hero of justice response:	Your hero duty is over!
context: About you leaving your body, and about the previous histories.\Please, let us help, too!\No.\I appreciate your offer, but I can't let you join the operation.\Especially not you, Narugino.\Why not?!\I'm a hero of justice\Your hero duty is over! response:	I can't let you fight anymore!
