context: I can't let Croix do as she pleases any longer. response:	I can't let Croix do as she pleases any longer.
context: The opposing faction has ended their silence and launched counterprotests in turn.\In response, the opposing faction has ended their silence and begun counter protests.\Some supporters have even resorted to radical actions.\The two countries have opposed each other in three wars since the middle ages,\We cannot continue this appeasement policy any longer.\There is only one outcome to this long-held appeasement.\They are taking us for soft. This is not just a matter of winning or losing a match anymore.\They scorn us as weak-willed. This is no longer just about winning or losing a game. response:	Their nation as a whole thinks they can take advantage of us.
context: In response, the opposing faction has ended their silence and begun counter protests.\Some supporters have even resorted to radical actions.\The two countries have opposed each other in three wars since the middle ages,\We cannot continue this appeasement policy any longer.\There is only one outcome to this long-held appeasement.\They are taking us for soft. This is not just a matter of winning or losing a match anymore.\They scorn us as weak-willed. This is no longer just about winning or losing a game.\Their nation as a whole thinks they can take advantage of us. response:	The time for compromise is over. We must show them our firm resolve!
context: Some supporters have even resorted to radical actions.\The two countries have opposed each other in three wars since the middle ages,\We cannot continue this appeasement policy any longer.\There is only one outcome to this long-held appeasement.\They are taking us for soft. This is not just a matter of winning or losing a match anymore.\They scorn us as weak-willed. This is no longer just about winning or losing a game.\Their nation as a whole thinks they can take advantage of us.\The time for compromise is over. We must show them our firm resolve! response:	The time for compromise is over. We must demonstrate our firm resolve.
context: The two countries have opposed each other in three wars since the middle ages,\We cannot continue this appeasement policy any longer.\There is only one outcome to this long-held appeasement.\They are taking us for soft. This is not just a matter of winning or losing a match anymore.\They scorn us as weak-willed. This is no longer just about winning or losing a game.\Their nation as a whole thinks they can take advantage of us.\The time for compromise is over. We must show them our firm resolve!\The time for compromise is over. We must demonstrate our firm resolve. response:	You are still a child so long as I must keep cleaning up your messes.
context: We cannot continue this appeasement policy any longer.\There is only one outcome to this long-held appeasement.\They are taking us for soft. This is not just a matter of winning or losing a match anymore.\They scorn us as weak-willed. This is no longer just about winning or losing a game.\Their nation as a whole thinks they can take advantage of us.\The time for compromise is over. We must show them our firm resolve!\The time for compromise is over. We must demonstrate our firm resolve.\You are still a child so long as I must keep cleaning up your messes. response:	It is your duty and responsibility as next in the Hanbridge line to become a great statesman.
context: There is only one outcome to this long-held appeasement.\They are taking us for soft. This is not just a matter of winning or losing a match anymore.\They scorn us as weak-willed. This is no longer just about winning or losing a game.\Their nation as a whole thinks they can take advantage of us.\The time for compromise is over. We must show them our firm resolve!\The time for compromise is over. We must demonstrate our firm resolve.\You are still a child so long as I must keep cleaning up your messes.\It is your duty and responsibility as next in the Hanbridge line to become a great statesman. response:	I couldn't even respond.
context: They are taking us for soft. This is not just a matter of winning or losing a match anymore.\They scorn us as weak-willed. This is no longer just about winning or losing a game.\Their nation as a whole thinks they can take advantage of us.\The time for compromise is over. We must show them our firm resolve!\The time for compromise is over. We must demonstrate our firm resolve.\You are still a child so long as I must keep cleaning up your messes.\It is your duty and responsibility as next in the Hanbridge line to become a great statesman.\I couldn't even respond. response:	Didn't I tell you that there was no need to concern yourself?
context: They scorn us as weak-willed. This is no longer just about winning or losing a game.\Their nation as a whole thinks they can take advantage of us.\The time for compromise is over. We must show them our firm resolve!\The time for compromise is over. We must demonstrate our firm resolve.\You are still a child so long as I must keep cleaning up your messes.\It is your duty and responsibility as next in the Hanbridge line to become a great statesman.\I couldn't even respond.\Didn't I tell you that there was no need to concern yourself? response:	I had almost fully recovered at that point.
context: Their nation as a whole thinks they can take advantage of us.\The time for compromise is over. We must show them our firm resolve!\The time for compromise is over. We must demonstrate our firm resolve.\You are still a child so long as I must keep cleaning up your messes.\It is your duty and responsibility as next in the Hanbridge line to become a great statesman.\I couldn't even respond.\Didn't I tell you that there was no need to concern yourself?\I had almost fully recovered at that point. response:	Nearly everything was healed back then.
context: The time for compromise is over. We must show them our firm resolve!\The time for compromise is over. We must demonstrate our firm resolve.\You are still a child so long as I must keep cleaning up your messes.\It is your duty and responsibility as next in the Hanbridge line to become a great statesman.\I couldn't even respond.\Didn't I tell you that there was no need to concern yourself?\I had almost fully recovered at that point.\Nearly everything was healed back then. response:	But it was my fault you even got hurt in the first place.
context: The time for compromise is over. We must demonstrate our firm resolve.\You are still a child so long as I must keep cleaning up your messes.\It is your duty and responsibility as next in the Hanbridge line to become a great statesman.\I couldn't even respond.\Didn't I tell you that there was no need to concern yourself?\I had almost fully recovered at that point.\Nearly everything was healed back then.\But it was my fault you even got hurt in the first place. response:	But I'm glad you came. There's something I needed to talk to you about.
context: You are still a child so long as I must keep cleaning up your messes.\It is your duty and responsibility as next in the Hanbridge line to become a great statesman.\I couldn't even respond.\Didn't I tell you that there was no need to concern yourself?\I had almost fully recovered at that point.\Nearly everything was healed back then.\But it was my fault you even got hurt in the first place.\But I'm glad you came. There's something I needed to talk to you about. response:	There's something I need to talk to you about.
context: It is your duty and responsibility as next in the Hanbridge line to become a great statesman.\I couldn't even respond.\Didn't I tell you that there was no need to concern yourself?\I had almost fully recovered at that point.\Nearly everything was healed back then.\But it was my fault you even got hurt in the first place.\But I'm glad you came. There's something I needed to talk to you about.\There's something I need to talk to you about. response:	Fasanshielle Shearyla.
context: I couldn't even respond.\Didn't I tell you that there was no need to concern yourself?\I had almost fully recovered at that point.\Nearly everything was healed back then.\But it was my fault you even got hurt in the first place.\But I'm glad you came. There's something I needed to talk to you about.\There's something I need to talk to you about.\Fasanshielle Shearyla. response:	Fasanshielle Shearyla?
context: Didn't I tell you that there was no need to concern yourself?\I had almost fully recovered at that point.\Nearly everything was healed back then.\But it was my fault you even got hurt in the first place.\But I'm glad you came. There's something I needed to talk to you about.\There's something I need to talk to you about.\Fasanshielle Shearyla.\Fasanshielle Shearyla? response:	The seventh star will shine as it answers to the feelings in your heart.
context: I had almost fully recovered at that point.\Nearly everything was healed back then.\But it was my fault you even got hurt in the first place.\But I'm glad you came. There's something I needed to talk to you about.\There's something I need to talk to you about.\Fasanshielle Shearyla.\Fasanshielle Shearyla?\The seventh star will shine as it answers to the feelings in your heart. response:	I've been trying to find the right time to tell you for so long.
context: Nearly everything was healed back then.\But it was my fault you even got hurt in the first place.\But I'm glad you came. There's something I needed to talk to you about.\There's something I need to talk to you about.\Fasanshielle Shearyla.\Fasanshielle Shearyla?\The seventh star will shine as it answers to the feelings in your heart.\I've been trying to find the right time to tell you for so long. response:	Sorry Lotte, can you give me a ride?
context: But it was my fault you even got hurt in the first place.\But I'm glad you came. There's something I needed to talk to you about.\There's something I need to talk to you about.\Fasanshielle Shearyla.\Fasanshielle Shearyla?\The seventh star will shine as it answers to the feelings in your heart.\I've been trying to find the right time to tell you for so long.\Sorry Lotte, can you give me a ride? response:	H-Hopefully I'll be able to answer it for you.
context: But I'm glad you came. There's something I needed to talk to you about.\There's something I need to talk to you about.\Fasanshielle Shearyla.\Fasanshielle Shearyla?\The seventh star will shine as it answers to the feelings in your heart.\I've been trying to find the right time to tell you for so long.\Sorry Lotte, can you give me a ride?\H-Hopefully I'll be able to answer it for you. response:	Are you aware that an abundance of magic energy surpassing the Sorcerer's Stone's output is being gathered?
context: There's something I need to talk to you about.\Fasanshielle Shearyla.\Fasanshielle Shearyla?\The seventh star will shine as it answers to the feelings in your heart.\I've been trying to find the right time to tell you for so long.\Sorry Lotte, can you give me a ride?\H-Hopefully I'll be able to answer it for you.\Are you aware that an abundance of magic energy surpassing the Sorcerer's Stone's output is being gathered? response:	Don't tell me she was affected by Wagandea's pollen...
context: Fasanshielle Shearyla.\Fasanshielle Shearyla?\The seventh star will shine as it answers to the feelings in your heart.\I've been trying to find the right time to tell you for so long.\Sorry Lotte, can you give me a ride?\H-Hopefully I'll be able to answer it for you.\Are you aware that an abundance of magic energy surpassing the Sorcerer's Stone's output is being gathered?\Don't tell me she was affected by Wagandea's pollen... response:	Geez, your sudden call caught me at the wrong time.
context: Fasanshielle Shearyla?\The seventh star will shine as it answers to the feelings in your heart.\I've been trying to find the right time to tell you for so long.\Sorry Lotte, can you give me a ride?\H-Hopefully I'll be able to answer it for you.\Are you aware that an abundance of magic energy surpassing the Sorcerer's Stone's output is being gathered?\Don't tell me she was affected by Wagandea's pollen...\Geez, your sudden call caught me at the wrong time. response:	Geez, how was I supposed to be ready for your sudden call?
context: The seventh star will shine as it answers to the feelings in your heart.\I've been trying to find the right time to tell you for so long.\Sorry Lotte, can you give me a ride?\H-Hopefully I'll be able to answer it for you.\Are you aware that an abundance of magic energy surpassing the Sorcerer's Stone's output is being gathered?\Don't tell me she was affected by Wagandea's pollen...\Geez, your sudden call caught me at the wrong time.\Geez, how was I supposed to be ready for your sudden call? response:	I intended to alert you immediately, but I didn't expect calls and emails to be blocked.
context: I've been trying to find the right time to tell you for so long.\Sorry Lotte, can you give me a ride?\H-Hopefully I'll be able to answer it for you.\Are you aware that an abundance of magic energy surpassing the Sorcerer's Stone's output is being gathered?\Don't tell me she was affected by Wagandea's pollen...\Geez, your sudden call caught me at the wrong time.\Geez, how was I supposed to be ready for your sudden call?\I intended to alert you immediately, but I didn't expect calls and emails to be blocked. response:	All we have around here is one-way messaging through magic. I guess that explains why you contacted Diana.
context: Sorry Lotte, can you give me a ride?\H-Hopefully I'll be able to answer it for you.\Are you aware that an abundance of magic energy surpassing the Sorcerer's Stone's output is being gathered?\Don't tell me she was affected by Wagandea's pollen...\Geez, your sudden call caught me at the wrong time.\Geez, how was I supposed to be ready for your sudden call?\I intended to alert you immediately, but I didn't expect calls and emails to be blocked.\All we have around here is one-way messaging through magic. I guess that explains why you contacted Diana. response:	We've only got one-way communication by using magic. I guess that explains why you contacted Diana.
context: H-Hopefully I'll be able to answer it for you.\Are you aware that an abundance of magic energy surpassing the Sorcerer's Stone's output is being gathered?\Don't tell me she was affected by Wagandea's pollen...\Geez, your sudden call caught me at the wrong time.\Geez, how was I supposed to be ready for your sudden call?\I intended to alert you immediately, but I didn't expect calls and emails to be blocked.\All we have around here is one-way messaging through magic. I guess that explains why you contacted Diana.\We've only got one-way communication by using magic. I guess that explains why you contacted Diana. response:	Seriously though, that was way too little notice. I barely made it on time.
context: Are you aware that an abundance of magic energy surpassing the Sorcerer's Stone's output is being gathered?\Don't tell me she was affected by Wagandea's pollen...\Geez, your sudden call caught me at the wrong time.\Geez, how was I supposed to be ready for your sudden call?\I intended to alert you immediately, but I didn't expect calls and emails to be blocked.\All we have around here is one-way messaging through magic. I guess that explains why you contacted Diana.\We've only got one-way communication by using magic. I guess that explains why you contacted Diana.\Seriously though, that was way too little notice. I barely made it on time. response:	Anyway, I apologize for rushing you. I was on the way to Parliament with my father.
context: Don't tell me she was affected by Wagandea's pollen...\Geez, your sudden call caught me at the wrong time.\Geez, how was I supposed to be ready for your sudden call?\I intended to alert you immediately, but I didn't expect calls and emails to be blocked.\All we have around here is one-way messaging through magic. I guess that explains why you contacted Diana.\We've only got one-way communication by using magic. I guess that explains why you contacted Diana.\Seriously though, that was way too little notice. I barely made it on time.\Anyway, I apologize for rushing you. I was on the way to Parliament with my father. response:	So I figured this timing would work for us both.
context: Geez, your sudden call caught me at the wrong time.\Geez, how was I supposed to be ready for your sudden call?\I intended to alert you immediately, but I didn't expect calls and emails to be blocked.\All we have around here is one-way messaging through magic. I guess that explains why you contacted Diana.\We've only got one-way communication by using magic. I guess that explains why you contacted Diana.\Seriously though, that was way too little notice. I barely made it on time.\Anyway, I apologize for rushing you. I was on the way to Parliament with my father.\So I figured this timing would work for us both. response:	Parliament? Wow, that sounds impressive.
context: Geez, how was I supposed to be ready for your sudden call?\I intended to alert you immediately, but I didn't expect calls and emails to be blocked.\All we have around here is one-way messaging through magic. I guess that explains why you contacted Diana.\We've only got one-way communication by using magic. I guess that explains why you contacted Diana.\Seriously though, that was way too little notice. I barely made it on time.\Anyway, I apologize for rushing you. I was on the way to Parliament with my father.\So I figured this timing would work for us both.\Parliament? Wow, that sounds impressive. response:	Hardly. I'm just attending with my father.
context: I intended to alert you immediately, but I didn't expect calls and emails to be blocked.\All we have around here is one-way messaging through magic. I guess that explains why you contacted Diana.\We've only got one-way communication by using magic. I guess that explains why you contacted Diana.\Seriously though, that was way too little notice. I barely made it on time.\Anyway, I apologize for rushing you. I was on the way to Parliament with my father.\So I figured this timing would work for us both.\Parliament? Wow, that sounds impressive.\Hardly. I'm just attending with my father. response:	The enmity from a soccer match escalated and ended up exacerbating the hatred between our nation and the other.
context: All we have around here is one-way messaging through magic. I guess that explains why you contacted Diana.\We've only got one-way communication by using magic. I guess that explains why you contacted Diana.\Seriously though, that was way too little notice. I barely made it on time.\Anyway, I apologize for rushing you. I was on the way to Parliament with my father.\So I figured this timing would work for us both.\Parliament? Wow, that sounds impressive.\Hardly. I'm just attending with my father.\The enmity from a soccer match escalated and ended up exacerbating the hatred between our nation and the other. response:	The enmity from a soccer match escalated and ended up severely increasing the hatred between the two nations.
context: We've only got one-way communication by using magic. I guess that explains why you contacted Diana.\Seriously though, that was way too little notice. I barely made it on time.\Anyway, I apologize for rushing you. I was on the way to Parliament with my father.\So I figured this timing would work for us both.\Parliament? Wow, that sounds impressive.\Hardly. I'm just attending with my father.\The enmity from a soccer match escalated and ended up exacerbating the hatred between our nation and the other.\The enmity from a soccer match escalated and ended up severely increasing the hatred between the two nations. response:	Reportedly, there are similar protests within their borders too.
context: Seriously though, that was way too little notice. I barely made it on time.\Anyway, I apologize for rushing you. I was on the way to Parliament with my father.\So I figured this timing would work for us both.\Parliament? Wow, that sounds impressive.\Hardly. I'm just attending with my father.\The enmity from a soccer match escalated and ended up exacerbating the hatred between our nation and the other.\The enmity from a soccer match escalated and ended up severely increasing the hatred between the two nations.\Reportedly, there are similar protests within their borders too. response:	It seems there are similar demonstrations within their borders too.
context: Anyway, I apologize for rushing you. I was on the way to Parliament with my father.\So I figured this timing would work for us both.\Parliament? Wow, that sounds impressive.\Hardly. I'm just attending with my father.\The enmity from a soccer match escalated and ended up exacerbating the hatred between our nation and the other.\The enmity from a soccer match escalated and ended up severely increasing the hatred between the two nations.\Reportedly, there are similar protests within their borders too.\It seems there are similar demonstrations within their borders too. response:	Our countries have been at ends since the middle ages.
context: So I figured this timing would work for us both.\Parliament? Wow, that sounds impressive.\Hardly. I'm just attending with my father.\The enmity from a soccer match escalated and ended up exacerbating the hatred between our nation and the other.\The enmity from a soccer match escalated and ended up severely increasing the hatred between the two nations.\Reportedly, there are similar protests within their borders too.\It seems there are similar demonstrations within their borders too.\Our countries have been at ends since the middle ages. response:	Things were finally starting to improve recently.
context: Parliament? Wow, that sounds impressive.\Hardly. I'm just attending with my father.\The enmity from a soccer match escalated and ended up exacerbating the hatred between our nation and the other.\The enmity from a soccer match escalated and ended up severely increasing the hatred between the two nations.\Reportedly, there are similar protests within their borders too.\It seems there are similar demonstrations within their borders too.\Our countries have been at ends since the middle ages.\Things were finally starting to improve recently. response:	And now look how little it took to set us back on edge again.
context: Hardly. I'm just attending with my father.\The enmity from a soccer match escalated and ended up exacerbating the hatred between our nation and the other.\The enmity from a soccer match escalated and ended up severely increasing the hatred between the two nations.\Reportedly, there are similar protests within their borders too.\It seems there are similar demonstrations within their borders too.\Our countries have been at ends since the middle ages.\Things were finally starting to improve recently.\And now look how little it took to set us back on edge again. response:	And yet look how easily we've returned to being on the edge.
context: The enmity from a soccer match escalated and ended up exacerbating the hatred between our nation and the other.\The enmity from a soccer match escalated and ended up severely increasing the hatred between the two nations.\Reportedly, there are similar protests within their borders too.\It seems there are similar demonstrations within their borders too.\Our countries have been at ends since the middle ages.\Things were finally starting to improve recently.\And now look how little it took to set us back on edge again.\And yet look how easily we've returned to being on the edge. response:	It's truly saddening.
context: The enmity from a soccer match escalated and ended up severely increasing the hatred between the two nations.\Reportedly, there are similar protests within their borders too.\It seems there are similar demonstrations within their borders too.\Our countries have been at ends since the middle ages.\Things were finally starting to improve recently.\And now look how little it took to set us back on edge again.\And yet look how easily we've returned to being on the edge.\It's truly saddening. response:	Also, that kind of scares me.
context: Reportedly, there are similar protests within their borders too.\It seems there are similar demonstrations within their borders too.\Our countries have been at ends since the middle ages.\Things were finally starting to improve recently.\And now look how little it took to set us back on edge again.\And yet look how easily we've returned to being on the edge.\It's truly saddening.\Also, that kind of scares me. response:	They'll be thrilled and laugh and get emotional
context: It seems there are similar demonstrations within their borders too.\Our countries have been at ends since the middle ages.\Things were finally starting to improve recently.\And now look how little it took to set us back on edge again.\And yet look how easily we've returned to being on the edge.\It's truly saddening.\Also, that kind of scares me.\They'll be thrilled and laugh and get emotional response:	They'll laugh?
context: Our countries have been at ends since the middle ages.\Things were finally starting to improve recently.\And now look how little it took to set us back on edge again.\And yet look how easily we've returned to being on the edge.\It's truly saddening.\Also, that kind of scares me.\They'll be thrilled and laugh and get emotional\They'll laugh? response:	Then that'll lead to world peace!
context: Things were finally starting to improve recently.\And now look how little it took to set us back on edge again.\And yet look how easily we've returned to being on the edge.\It's truly saddening.\Also, that kind of scares me.\They'll be thrilled and laugh and get emotional\They'll laugh?\Then that'll lead to world peace! response:	That's some unrealistic idealism.
context: And now look how little it took to set us back on edge again.\And yet look how easily we've returned to being on the edge.\It's truly saddening.\Also, that kind of scares me.\They'll be thrilled and laugh and get emotional\They'll laugh?\Then that'll lead to world peace!\That's some unrealistic idealism. response:	You're not laughing? Usually you'd be snorting at me or something.
context: And yet look how easily we've returned to being on the edge.\It's truly saddening.\Also, that kind of scares me.\They'll be thrilled and laugh and get emotional\They'll laugh?\Then that'll lead to world peace!\That's some unrealistic idealism.\You're not laughing? Usually you'd be snorting at me or something. response:	It would be wonderful if that could be realized.
context: It's truly saddening.\Also, that kind of scares me.\They'll be thrilled and laugh and get emotional\They'll laugh?\Then that'll lead to world peace!\That's some unrealistic idealism.\You're not laughing? Usually you'd be snorting at me or something.\It would be wonderful if that could be realized. response:	Y-You mean I should?
context: Also, that kind of scares me.\They'll be thrilled and laugh and get emotional\They'll laugh?\Then that'll lead to world peace!\That's some unrealistic idealism.\You're not laughing? Usually you'd be snorting at me or something.\It would be wonderful if that could be realized.\Y-You mean I should? response:	That's right...
context: They'll be thrilled and laugh and get emotional\They'll laugh?\Then that'll lead to world peace!\That's some unrealistic idealism.\You're not laughing? Usually you'd be snorting at me or something.\It would be wonderful if that could be realized.\Y-You mean I should?\That's right... response:	Guess they're not.
context: They'll laugh?\Then that'll lead to world peace!\That's some unrealistic idealism.\You're not laughing? Usually you'd be snorting at me or something.\It would be wonderful if that could be realized.\Y-You mean I should?\That's right...\Guess they're not. response:	I'd say not.
context: Then that'll lead to world peace!\That's some unrealistic idealism.\You're not laughing? Usually you'd be snorting at me or something.\It would be wonderful if that could be realized.\Y-You mean I should?\That's right...\Guess they're not.\I'd say not. response:	You should really try to limit your silliness to the school grounds.
context: That's some unrealistic idealism.\You're not laughing? Usually you'd be snorting at me or something.\It would be wonderful if that could be realized.\Y-You mean I should?\That's right...\Guess they're not.\I'd say not.\You should really try to limit your silliness to the school grounds. response:	You should really keep your stupidity for when we're on campus.
context: You're not laughing? Usually you'd be snorting at me or something.\It would be wonderful if that could be realized.\Y-You mean I should?\That's right...\Guess they're not.\I'd say not.\You should really try to limit your silliness to the school grounds.\You should really keep your stupidity for when we're on campus. response:	I remember them at the Wild Hunt too.
context: It would be wonderful if that could be realized.\Y-You mean I should?\That's right...\Guess they're not.\I'd say not.\You should really try to limit your silliness to the school grounds.\You should really keep your stupidity for when we're on campus.\I remember them at the Wild Hunt too. response:	I saw all these weird squarey things all over town!
context: Y-You mean I should?\That's right...\Guess they're not.\I'd say not.\You should really try to limit your silliness to the school grounds.\You should really keep your stupidity for when we're on campus.\I remember them at the Wild Hunt too.\I saw all these weird squarey things all over town! response:	You made those people
context: That's right...\Guess they're not.\I'd say not.\You should really try to limit your silliness to the school grounds.\You should really keep your stupidity for when we're on campus.\I remember them at the Wild Hunt too.\I saw all these weird squarey things all over town!\You made those people response:	You made those people...
context: Guess they're not.\I'd say not.\You should really try to limit your silliness to the school grounds.\You should really keep your stupidity for when we're on campus.\I remember them at the Wild Hunt too.\I saw all these weird squarey things all over town!\You made those people\You made those people... response:	The emotion of anger comes within them.
context: I'd say not.\You should really try to limit your silliness to the school grounds.\You should really keep your stupidity for when we're on campus.\I remember them at the Wild Hunt too.\I saw all these weird squarey things all over town!\You made those people\You made those people...\The emotion of anger comes within them. response:	The emotion of anger was born inside them.
context: You should really try to limit your silliness to the school grounds.\You should really keep your stupidity for when we're on campus.\I remember them at the Wild Hunt too.\I saw all these weird squarey things all over town!\You made those people\You made those people...\The emotion of anger comes within them.\The emotion of anger was born inside them. response:	All I did was simply enhance it slightly and absorb it.
context: You should really keep your stupidity for when we're on campus.\I remember them at the Wild Hunt too.\I saw all these weird squarey things all over town!\You made those people\You made those people...\The emotion of anger comes within them.\The emotion of anger was born inside them.\All I did was simply enhance it slightly and absorb it. response:	I simply enhanced it slightly and absorbed it.
context: I remember them at the Wild Hunt too.\I saw all these weird squarey things all over town!\You made those people\You made those people...\The emotion of anger comes within them.\The emotion of anger was born inside them.\All I did was simply enhance it slightly and absorb it.\I simply enhanced it slightly and absorbed it. response:	Absorbed? But why?
context: I saw all these weird squarey things all over town!\You made those people\You made those people...\The emotion of anger comes within them.\The emotion of anger was born inside them.\All I did was simply enhance it slightly and absorb it.\I simply enhanced it slightly and absorbed it.\Absorbed? But why? response:	Noir fuel spirit.
context: You made those people\You made those people...\The emotion of anger comes within them.\The emotion of anger was born inside them.\All I did was simply enhance it slightly and absorb it.\I simply enhanced it slightly and absorbed it.\Absorbed? But why?\Noir fuel spirit. response:	Anger, hatred, sadness, jealousy, fear, anxiety
context: You made those people...\The emotion of anger comes within them.\The emotion of anger was born inside them.\All I did was simply enhance it slightly and absorb it.\I simply enhanced it slightly and absorbed it.\Absorbed? But why?\Noir fuel spirit.\Anger, hatred, sadness, jealousy, fear, anxiety response:	We must have a method to convert some sort of energy into it.
context: The emotion of anger comes within them.\The emotion of anger was born inside them.\All I did was simply enhance it slightly and absorb it.\I simply enhanced it slightly and absorbed it.\Absorbed? But why?\Noir fuel spirit.\Anger, hatred, sadness, jealousy, fear, anxiety\We must have a method to convert some sort of energy into it. response:	Don't you see how fantastic it would be if we could harvest human emotions as a new source of that very energy?
context: The emotion of anger was born inside them.\All I did was simply enhance it slightly and absorb it.\I simply enhanced it slightly and absorbed it.\Absorbed? But why?\Noir fuel spirit.\Anger, hatred, sadness, jealousy, fear, anxiety\We must have a method to convert some sort of energy into it.\Don't you see how fantastic it would be if we could harvest human emotions as a new source of that very energy? response:	Don't you see how fantastic it would be if we could convert human emotions into a new energy source?
context: All I did was simply enhance it slightly and absorb it.\I simply enhanced it slightly and absorbed it.\Absorbed? But why?\Noir fuel spirit.\Anger, hatred, sadness, jealousy, fear, anxiety\We must have a method to convert some sort of energy into it.\Don't you see how fantastic it would be if we could harvest human emotions as a new source of that very energy?\Don't you see how fantastic it would be if we could convert human emotions into a new energy source? response:	Crowd psychology is the easiest to manipulate.
context: I simply enhanced it slightly and absorbed it.\Absorbed? But why?\Noir fuel spirit.\Anger, hatred, sadness, jealousy, fear, anxiety\We must have a method to convert some sort of energy into it.\Don't you see how fantastic it would be if we could harvest human emotions as a new source of that very energy?\Don't you see how fantastic it would be if we could convert human emotions into a new energy source?\Crowd psychology is the easiest to manipulate. response:	I've been gathering emotions using the app...
context: Absorbed? But why?\Noir fuel spirit.\Anger, hatred, sadness, jealousy, fear, anxiety\We must have a method to convert some sort of energy into it.\Don't you see how fantastic it would be if we could harvest human emotions as a new source of that very energy?\Don't you see how fantastic it would be if we could convert human emotions into a new energy source?\Crowd psychology is the easiest to manipulate.\I've been gathering emotions using the app... response:	Professor Croix, you're acting weird.
context: Noir fuel spirit.\Anger, hatred, sadness, jealousy, fear, anxiety\We must have a method to convert some sort of energy into it.\Don't you see how fantastic it would be if we could harvest human emotions as a new source of that very energy?\Don't you see how fantastic it would be if we could convert human emotions into a new energy source?\Crowd psychology is the easiest to manipulate.\I've been gathering emotions using the app...\Professor Croix, you're acting weird. response:	I can't comprehend incompetent witches who do nothing but chase after unrealistic dreams.
