context: Eiji, some people from Shounen Jack are here to see you. response:	Niizuma-kun, this is the editor-in-chief, Sasaki-san
context: What are you talking about?!\I'm just a little interested in him because he confessed to me!\Hm?\What's that Hm supposed to mean?\What did you think?\Ichi Oku Bun No is interesting!\TL Note: Ichi Oku Bun No = Out of 100 Million\That's the one I had confidence in! response:	The main character is the same age as us.
context: I'm just a little interested in him because he confessed to me!\Hm?\What's that Hm supposed to mean?\What did you think?\Ichi Oku Bun No is interesting!\TL Note: Ichi Oku Bun No = Out of 100 Million\That's the one I had confidence in!\The main character is the same age as us. response:	Yeah.
context: Hm?\What's that Hm supposed to mean?\What did you think?\Ichi Oku Bun No is interesting!\TL Note: Ichi Oku Bun No = Out of 100 Million\That's the one I had confidence in!\The main character is the same age as us.\Yeah. response:	I thought around fifteen would be good.
context: What's that Hm supposed to mean?\What did you think?\Ichi Oku Bun No is interesting!\TL Note: Ichi Oku Bun No = Out of 100 Million\That's the one I had confidence in!\The main character is the same age as us.\Yeah.\I thought around fifteen would be good. response:	It's a shounen manga
context: What did you think?\Ichi Oku Bun No is interesting!\TL Note: Ichi Oku Bun No = Out of 100 Million\That's the one I had confidence in!\The main character is the same age as us.\Yeah.\I thought around fifteen would be good.\It's a shounen manga response:	so I think he should be filled with an honest sense of justice.
context: Ichi Oku Bun No is interesting!\TL Note: Ichi Oku Bun No = Out of 100 Million\That's the one I had confidence in!\The main character is the same age as us.\Yeah.\I thought around fifteen would be good.\It's a shounen manga\so I think he should be filled with an honest sense of justice. response:	I think it would be good to add some allies.
context: TL Note: Ichi Oku Bun No = Out of 100 Million\That's the one I had confidence in!\The main character is the same age as us.\Yeah.\I thought around fifteen would be good.\It's a shounen manga\so I think he should be filled with an honest sense of justice.\I think it would be good to add some allies. response:	That's standard.
context: That's the one I had confidence in!\The main character is the same age as us.\Yeah.\I thought around fifteen would be good.\It's a shounen manga\so I think he should be filled with an honest sense of justice.\I think it would be good to add some allies.\That's standard. response:	They're absolutely necessary.
context: The main character is the same age as us.\Yeah.\I thought around fifteen would be good.\It's a shounen manga\so I think he should be filled with an honest sense of justice.\I think it would be good to add some allies.\That's standard.\They're absolutely necessary. response:	And let's give them all specialties.
context: Yeah.\I thought around fifteen would be good.\It's a shounen manga\so I think he should be filled with an honest sense of justice.\I think it would be good to add some allies.\That's standard.\They're absolutely necessary.\And let's give them all specialties. response:	We decided, didn't we?
context: I thought around fifteen would be good.\It's a shounen manga\so I think he should be filled with an honest sense of justice.\I think it would be good to add some allies.\That's standard.\They're absolutely necessary.\And let's give them all specialties.\We decided, didn't we? response:	This time we'll polish it together.
context: It's a shounen manga\so I think he should be filled with an honest sense of justice.\I think it would be good to add some allies.\That's standard.\They're absolutely necessary.\And let's give them all specialties.\We decided, didn't we?\This time we'll polish it together. response:	Even if we would like to, there isn't much time.
context: so I think he should be filled with an honest sense of justice.\I think it would be good to add some allies.\That's standard.\They're absolutely necessary.\And let's give them all specialties.\We decided, didn't we?\This time we'll polish it together.\Even if we would like to, there isn't much time. response:	Twenty days until the deadline for the Tezuka Award.
context: I think it would be good to add some allies.\That's standard.\They're absolutely necessary.\And let's give them all specialties.\We decided, didn't we?\This time we'll polish it together.\Even if we would like to, there isn't much time.\Twenty days until the deadline for the Tezuka Award. response:	All right!
context: That's standard.\They're absolutely necessary.\And let's give them all specialties.\We decided, didn't we?\This time we'll polish it together.\Even if we would like to, there isn't much time.\Twenty days until the deadline for the Tezuka Award.\All right! response:	Today will be our first time at the workplace in a long time!
context: They're absolutely necessary.\And let's give them all specialties.\We decided, didn't we?\This time we'll polish it together.\Even if we would like to, there isn't much time.\Twenty days until the deadline for the Tezuka Award.\All right!\Today will be our first time at the workplace in a long time! response:	Yeah!
context: And let's give them all specialties.\We decided, didn't we?\This time we'll polish it together.\Even if we would like to, there isn't much time.\Twenty days until the deadline for the Tezuka Award.\All right!\Today will be our first time at the workplace in a long time!\Yeah! response:	Ichi Oku Bun No.
context: We decided, didn't we?\This time we'll polish it together.\Even if we would like to, there isn't much time.\Twenty days until the deadline for the Tezuka Award.\All right!\Today will be our first time at the workplace in a long time!\Yeah!\Ichi Oku Bun No. response:	In the near future, humans are assigned ranks by a giant computer built by the government.
context: This time we'll polish it together.\Even if we would like to, there isn't much time.\Twenty days until the deadline for the Tezuka Award.\All right!\Today will be our first time at the workplace in a long time!\Yeah!\Ichi Oku Bun No.\In the near future, humans are assigned ranks by a giant computer built by the government. response:	When you turn fifteen, a machine is embedded in your brain and body.
context: Even if we would like to, there isn't much time.\Twenty days until the deadline for the Tezuka Award.\All right!\Today will be our first time at the workplace in a long time!\Yeah!\Ichi Oku Bun No.\In the near future, humans are assigned ranks by a giant computer built by the government.\When you turn fifteen, a machine is embedded in your brain and body. response:	Every night at midnight, a counter in your brain displays your rank in the country you're in.
context: Twenty days until the deadline for the Tezuka Award.\All right!\Today will be our first time at the workplace in a long time!\Yeah!\Ichi Oku Bun No.\In the near future, humans are assigned ranks by a giant computer built by the government.\When you turn fifteen, a machine is embedded in your brain and body.\Every night at midnight, a counter in your brain displays your rank in the country you're in. response:	People of lower rank going against people of higher ranks than them is considered a crime.
context: All right!\Today will be our first time at the workplace in a long time!\Yeah!\Ichi Oku Bun No.\In the near future, humans are assigned ranks by a giant computer built by the government.\When you turn fifteen, a machine is embedded in your brain and body.\Every night at midnight, a counter in your brain displays your rank in the country you're in.\People of lower rank going against people of higher ranks than them is considered a crime. response:	In the worst cases, poison is run through their body, killing the person.
context: Today will be our first time at the workplace in a long time!\Yeah!\Ichi Oku Bun No.\In the near future, humans are assigned ranks by a giant computer built by the government.\When you turn fifteen, a machine is embedded in your brain and body.\Every night at midnight, a counter in your brain displays your rank in the country you're in.\People of lower rank going against people of higher ranks than them is considered a crime.\In the worst cases, poison is run through their body, killing the person. response:	The main characters try to stop the world that has ranks attached to it.
context: Yeah!\Ichi Oku Bun No.\In the near future, humans are assigned ranks by a giant computer built by the government.\When you turn fifteen, a machine is embedded in your brain and body.\Every night at midnight, a counter in your brain displays your rank in the country you're in.\People of lower rank going against people of higher ranks than them is considered a crime.\In the worst cases, poison is run through their body, killing the person.\The main characters try to stop the world that has ranks attached to it. response:	They end up fighting the people of high rank who are happy with the status quo.
context: Ichi Oku Bun No.\In the near future, humans are assigned ranks by a giant computer built by the government.\When you turn fifteen, a machine is embedded in your brain and body.\Every night at midnight, a counter in your brain displays your rank in the country you're in.\People of lower rank going against people of higher ranks than them is considered a crime.\In the worst cases, poison is run through their body, killing the person.\The main characters try to stop the world that has ranks attached to it.\They end up fighting the people of high rank who are happy with the status quo. response:	But it becomes clear that the giant computer is controlling people through attaching the ranks.
context: In the near future, humans are assigned ranks by a giant computer built by the government.\When you turn fifteen, a machine is embedded in your brain and body.\Every night at midnight, a counter in your brain displays your rank in the country you're in.\People of lower rank going against people of higher ranks than them is considered a crime.\In the worst cases, poison is run through their body, killing the person.\The main characters try to stop the world that has ranks attached to it.\They end up fighting the people of high rank who are happy with the status quo.\But it becomes clear that the giant computer is controlling people through attaching the ranks. response:	It develops into a battle between humans and machines that possess intelligence.
context: When you turn fifteen, a machine is embedded in your brain and body.\Every night at midnight, a counter in your brain displays your rank in the country you're in.\People of lower rank going against people of higher ranks than them is considered a crime.\In the worst cases, poison is run through their body, killing the person.\The main characters try to stop the world that has ranks attached to it.\They end up fighting the people of high rank who are happy with the status quo.\But it becomes clear that the giant computer is controlling people through attaching the ranks.\It develops into a battle between humans and machines that possess intelligence. response:	Then, from here, there'll be a flash battle.
context: Every night at midnight, a counter in your brain displays your rank in the country you're in.\People of lower rank going against people of higher ranks than them is considered a crime.\In the worst cases, poison is run through their body, killing the person.\The main characters try to stop the world that has ranks attached to it.\They end up fighting the people of high rank who are happy with the status quo.\But it becomes clear that the giant computer is controlling people through attaching the ranks.\It develops into a battle between humans and machines that possess intelligence.\Then, from here, there'll be a flash battle. response:	If we have them fight robots with murder weapons that the computer created or something,
context: People of lower rank going against people of higher ranks than them is considered a crime.\In the worst cases, poison is run through their body, killing the person.\The main characters try to stop the world that has ranks attached to it.\They end up fighting the people of high rank who are happy with the status quo.\But it becomes clear that the giant computer is controlling people through attaching the ranks.\It develops into a battle between humans and machines that possess intelligence.\Then, from here, there'll be a flash battle.\If we have them fight robots with murder weapons that the computer created or something, response:	it really would be like a shounen manga.
context: In the worst cases, poison is run through their body, killing the person.\The main characters try to stop the world that has ranks attached to it.\They end up fighting the people of high rank who are happy with the status quo.\But it becomes clear that the giant computer is controlling people through attaching the ranks.\It develops into a battle between humans and machines that possess intelligence.\Then, from here, there'll be a flash battle.\If we have them fight robots with murder weapons that the computer created or something,\it really would be like a shounen manga. response:	Let's have the main characters have some weapons, too.
context: The main characters try to stop the world that has ranks attached to it.\They end up fighting the people of high rank who are happy with the status quo.\But it becomes clear that the giant computer is controlling people through attaching the ranks.\It develops into a battle between humans and machines that possess intelligence.\Then, from here, there'll be a flash battle.\If we have them fight robots with murder weapons that the computer created or something,\it really would be like a shounen manga.\Let's have the main characters have some weapons, too. response:	In that case, make it katanas.
context: They end up fighting the people of high rank who are happy with the status quo.\But it becomes clear that the giant computer is controlling people through attaching the ranks.\It develops into a battle between humans and machines that possess intelligence.\Then, from here, there'll be a flash battle.\If we have them fight robots with murder weapons that the computer created or something,\it really would be like a shounen manga.\Let's have the main characters have some weapons, too.\In that case, make it katanas. response:	Katanas?
context: But it becomes clear that the giant computer is controlling people through attaching the ranks.\It develops into a battle between humans and machines that possess intelligence.\Then, from here, there'll be a flash battle.\If we have them fight robots with murder weapons that the computer created or something,\it really would be like a shounen manga.\Let's have the main characters have some weapons, too.\In that case, make it katanas.\Katanas? response:	It's a common feature of popular manga.
context: It develops into a battle between humans and machines that possess intelligence.\Then, from here, there'll be a flash battle.\If we have them fight robots with murder weapons that the computer created or something,\it really would be like a shounen manga.\Let's have the main characters have some weapons, too.\In that case, make it katanas.\Katanas?\It's a common feature of popular manga. response:	Naruto, One Piece, Bleach, Gintama...
context: Then, from here, there'll be a flash battle.\If we have them fight robots with murder weapons that the computer created or something,\it really would be like a shounen manga.\Let's have the main characters have some weapons, too.\In that case, make it katanas.\Katanas?\It's a common feature of popular manga.\Naruto, One Piece, Bleach, Gintama... response:	In plenty of others, too, katanas and sword-like things show up a lot.
