context: I've gathered you all here for one reason. response:	At this point we shall now commence Operation High Tension Syndrome.
context: When talking to each other, yelling.\And don't forget to smile!\You will conduct everything at high tension.\We act as though we're spending a fulfilled school life.\And what will that accomplish?\If we live a fulfilled life, we'll disappear.\No, we won't disappear.\If we do as the operation says, we'll be faking high tension all day, like we've gone mad. response:	That's almost like a punishment game!
context: And don't forget to smile!\You will conduct everything at high tension.\We act as though we're spending a fulfilled school life.\And what will that accomplish?\If we live a fulfilled life, we'll disappear.\No, we won't disappear.\If we do as the operation says, we'll be faking high tension all day, like we've gone mad.\That's almost like a punishment game! response:	What's that?
context: You will conduct everything at high tension.\We act as though we're spending a fulfilled school life.\And what will that accomplish?\If we live a fulfilled life, we'll disappear.\No, we won't disappear.\If we do as the operation says, we'll be faking high tension all day, like we've gone mad.\That's almost like a punishment game!\What's that? response:	How shallow - minded.
context: We act as though we're spending a fulfilled school life.\And what will that accomplish?\If we live a fulfilled life, we'll disappear.\No, we won't disappear.\If we do as the operation says, we'll be faking high tension all day, like we've gone mad.\That's almost like a punishment game!\What's that?\How shallow - minded. response:	Correct.
context: And what will that accomplish?\If we live a fulfilled life, we'll disappear.\No, we won't disappear.\If we do as the operation says, we'll be faking high tension all day, like we've gone mad.\That's almost like a punishment game!\What's that?\How shallow - minded.\Correct. response:	To us, it's a painful task.
context: If we live a fulfilled life, we'll disappear.\No, we won't disappear.\If we do as the operation says, we'll be faking high tension all day, like we've gone mad.\That's almost like a punishment game!\What's that?\How shallow - minded.\Correct.\To us, it's a painful task. response:	But Angel is very gullible.
context: No, we won't disappear.\If we do as the operation says, we'll be faking high tension all day, like we've gone mad.\That's almost like a punishment game!\What's that?\How shallow - minded.\Correct.\To us, it's a painful task.\But Angel is very gullible. response:	She'll be stuck wondering why we aren't reincarnating, despite living such fulfilled school lives.
context: If we do as the operation says, we'll be faking high tension all day, like we've gone mad.\That's almost like a punishment game!\What's that?\How shallow - minded.\Correct.\To us, it's a painful task.\But Angel is very gullible.\She'll be stuck wondering why we aren't reincarnating, despite living such fulfilled school lives. response:	How do you think Angel will respond then?
context: That's almost like a punishment game!\What's that?\How shallow - minded.\Correct.\To us, it's a painful task.\But Angel is very gullible.\She'll be stuck wondering why we aren't reincarnating, despite living such fulfilled school lives.\How do you think Angel will respond then? response:	You think she will?
context: What's that?\How shallow - minded.\Correct.\To us, it's a painful task.\But Angel is very gullible.\She'll be stuck wondering why we aren't reincarnating, despite living such fulfilled school lives.\How do you think Angel will respond then?\You think she will? response:	Of course she will.
context: How shallow - minded.\Correct.\To us, it's a painful task.\But Angel is very gullible.\She'll be stuck wondering why we aren't reincarnating, despite living such fulfilled school lives.\How do you think Angel will respond then?\You think she will?\Of course she will. response:	We'll be living happy school lives.
context: Correct.\To us, it's a painful task.\But Angel is very gullible.\She'll be stuck wondering why we aren't reincarnating, despite living such fulfilled school lives.\How do you think Angel will respond then?\You think she will?\Of course she will.\We'll be living happy school lives. response:	That is a condition for reincarnation.
context: To us, it's a painful task.\But Angel is very gullible.\She'll be stuck wondering why we aren't reincarnating, despite living such fulfilled school lives.\How do you think Angel will respond then?\You think she will?\Of course she will.\We'll be living happy school lives.\That is a condition for reincarnation. response:	Yet we won't disappear.
context: But Angel is very gullible.\She'll be stuck wondering why we aren't reincarnating, despite living such fulfilled school lives.\How do you think Angel will respond then?\You think she will?\Of course she will.\We'll be living happy school lives.\That is a condition for reincarnation.\Yet we won't disappear. response:	What on earth is going on?!
context: She'll be stuck wondering why we aren't reincarnating, despite living such fulfilled school lives.\How do you think Angel will respond then?\You think she will?\Of course she will.\We'll be living happy school lives.\That is a condition for reincarnation.\Yet we won't disappear.\What on earth is going on?! response:	She'll be confused by this unprecedented irregularity.
context: How do you think Angel will respond then?\You think she will?\Of course she will.\We'll be living happy school lives.\That is a condition for reincarnation.\Yet we won't disappear.\What on earth is going on?!\She'll be confused by this unprecedented irregularity. response:	And then she will attempt to make contact.
context: You think she will?\Of course she will.\We'll be living happy school lives.\That is a condition for reincarnation.\Yet we won't disappear.\What on earth is going on?!\She'll be confused by this unprecedented irregularity.\And then she will attempt to make contact. response:	You mean
context: Of course she will.\We'll be living happy school lives.\That is a condition for reincarnation.\Yet we won't disappear.\What on earth is going on?!\She'll be confused by this unprecedented irregularity.\And then she will attempt to make contact.\You mean response:	Yes! With God!
context: We'll be living happy school lives.\That is a condition for reincarnation.\Yet we won't disappear.\What on earth is going on?!\She'll be confused by this unprecedented irregularity.\And then she will attempt to make contact.\You mean\Yes! With God! response:	She will report that an anomaly is occurring in this world!
context: That is a condition for reincarnation.\Yet we won't disappear.\What on earth is going on?!\She'll be confused by this unprecedented irregularity.\And then she will attempt to make contact.\You mean\Yes! With God!\She will report that an anomaly is occurring in this world! response:	If we follow just her, she'll lead us right to him!
context: Yet we won't disappear.\What on earth is going on?!\She'll be confused by this unprecedented irregularity.\And then she will attempt to make contact.\You mean\Yes! With God!\She will report that an anomaly is occurring in this world!\If we follow just her, she'll lead us right to him! response:	To God!
context: What on earth is going on?!\She'll be confused by this unprecedented irregularity.\And then she will attempt to make contact.\You mean\Yes! With God!\She will report that an anomaly is occurring in this world!\If we follow just her, she'll lead us right to him!\To God! response:	That's quite a plan, but how long do we have to keep it up?
context: She'll be confused by this unprecedented irregularity.\And then she will attempt to make contact.\You mean\Yes! With God!\She will report that an anomaly is occurring in this world!\If we follow just her, she'll lead us right to him!\To God!\That's quite a plan, but how long do we have to keep it up? response:	We will commence the operation at 9 am today.
context: And then she will attempt to make contact.\You mean\Yes! With God!\She will report that an anomaly is occurring in this world!\If we follow just her, she'll lead us right to him!\To God!\That's quite a plan, but how long do we have to keep it up?\We will commence the operation at 9 am today. response:	The operation will end at 9 pm.
context: You mean\Yes! With God!\She will report that an anomaly is occurring in this world!\If we follow just her, she'll lead us right to him!\To God!\That's quite a plan, but how long do we have to keep it up?\We will commence the operation at 9 am today.\The operation will end at 9 pm. response:	For 12 hours?!
context: Yes! With God!\She will report that an anomaly is occurring in this world!\If we follow just her, she'll lead us right to him!\To God!\That's quite a plan, but how long do we have to keep it up?\We will commence the operation at 9 am today.\The operation will end at 9 pm.\For 12 hours?! response:	We just have to be at high tension in front of Angel, right?
context: She will report that an anomaly is occurring in this world!\If we follow just her, she'll lead us right to him!\To God!\That's quite a plan, but how long do we have to keep it up?\We will commence the operation at 9 am today.\The operation will end at 9 pm.\For 12 hours?!\We just have to be at high tension in front of Angel, right? response:	We don't know when she's watching.
context: If we follow just her, she'll lead us right to him!\To God!\That's quite a plan, but how long do we have to keep it up?\We will commence the operation at 9 am today.\The operation will end at 9 pm.\For 12 hours?!\We just have to be at high tension in front of Angel, right?\We don't know when she's watching. response:	The whole time.
context: To God!\That's quite a plan, but how long do we have to keep it up?\We will commence the operation at 9 am today.\The operation will end at 9 pm.\For 12 hours?!\We just have to be at high tension in front of Angel, right?\We don't know when she's watching.\The whole time. response:	Wait!
context: That's quite a plan, but how long do we have to keep it up?\We will commence the operation at 9 am today.\The operation will end at 9 pm.\For 12 hours?!\We just have to be at high tension in front of Angel, right?\We don't know when she's watching.\The whole time.\Wait! response:	We have to stay at high tension for 12 hours straight?!
context: We will commence the operation at 9 am today.\The operation will end at 9 pm.\For 12 hours?!\We just have to be at high tension in front of Angel, right?\We don't know when she's watching.\The whole time.\Wait!\We have to stay at high tension for 12 hours straight?! response:	Yep.
context: The operation will end at 9 pm.\For 12 hours?!\We just have to be at high tension in front of Angel, right?\We don't know when she's watching.\The whole time.\Wait!\We have to stay at high tension for 12 hours straight?!\Yep. response:	Coincidentally, if the operation fails...
context: For 12 hours?!\We just have to be at high tension in front of Angel, right?\We don't know when she's watching.\The whole time.\Wait!\We have to stay at high tension for 12 hours straight?!\Yep.\Coincidentally, if the operation fails... response:	That's easy! Yeah!
context: We just have to be at high tension in front of Angel, right?\We don't know when she's watching.\The whole time.\Wait!\We have to stay at high tension for 12 hours straight?!\Yep.\Coincidentally, if the operation fails...\That's easy! Yeah! response:	Come dance around! Hey, everybody!
context: We don't know when she's watching.\The whole time.\Wait!\We have to stay at high tension for 12 hours straight?!\Yep.\Coincidentally, if the operation fails...\That's easy! Yeah!\Come dance around! Hey, everybody! response:	Let's go! Alright! Alright!
context: The whole time.\Wait!\We have to stay at high tension for 12 hours straight?!\Yep.\Coincidentally, if the operation fails...\That's easy! Yeah!\Come dance around! Hey, everybody!\Let's go! Alright! Alright! response:	That's it! Follow me!
context: Wait!\We have to stay at high tension for 12 hours straight?!\Yep.\Coincidentally, if the operation fails...\That's easy! Yeah!\Come dance around! Hey, everybody!\Let's go! Alright! Alright!\That's it! Follow me! response:	Yeah! That's right!
context: We have to stay at high tension for 12 hours straight?!\Yep.\Coincidentally, if the operation fails...\That's easy! Yeah!\Come dance around! Hey, everybody!\Let's go! Alright! Alright!\That's it! Follow me!\Yeah! That's right! response:	That's so easy, yeah!
context: Yep.\Coincidentally, if the operation fails...\That's easy! Yeah!\Come dance around! Hey, everybody!\Let's go! Alright! Alright!\That's it! Follow me!\Yeah! That's right!\That's so easy, yeah! response:	You all fast for a week.
context: Coincidentally, if the operation fails...\That's easy! Yeah!\Come dance around! Hey, everybody!\Let's go! Alright! Alright!\That's it! Follow me!\Yeah! That's right!\That's so easy, yeah!\You all fast for a week. response:	To run against my character this far... what an operation!
context: That's easy! Yeah!\Come dance around! Hey, everybody!\Let's go! Alright! Alright!\That's it! Follow me!\Yeah! That's right!\That's so easy, yeah!\You all fast for a week.\To run against my character this far... what an operation! response:	Oh, and I'm in charge of observing Angel, so I won't be joining you.
context: Come dance around! Hey, everybody!\Let's go! Alright! Alright!\That's it! Follow me!\Yeah! That's right!\That's so easy, yeah!\You all fast for a week.\To run against my character this far... what an operation!\Oh, and I'm in charge of observing Angel, so I won't be joining you. response:	Good luck, everyone!
context: Let's go! Alright! Alright!\That's it! Follow me!\Yeah! That's right!\That's so easy, yeah!\You all fast for a week.\To run against my character this far... what an operation!\Oh, and I'm in charge of observing Angel, so I won't be joining you.\Good luck, everyone! response:	She's almost evil!
context: That's it! Follow me!\Yeah! That's right!\That's so easy, yeah!\You all fast for a week.\To run against my character this far... what an operation!\Oh, and I'm in charge of observing Angel, so I won't be joining you.\Good luck, everyone!\She's almost evil! response:	Do I have to do this too?
context: Yeah! That's right!\That's so easy, yeah!\You all fast for a week.\To run against my character this far... what an operation!\Oh, and I'm in charge of observing Angel, so I won't be joining you.\Good luck, everyone!\She's almost evil!\Do I have to do this too? response:	Alright. Operation start!
context: That's so easy, yeah!\You all fast for a week.\To run against my character this far... what an operation!\Oh, and I'm in charge of observing Angel, so I won't be joining you.\Good luck, everyone!\She's almost evil!\Do I have to do this too?\Alright. Operation start! response:	Yum! Yum!
context: You all fast for a week.\To run against my character this far... what an operation!\Oh, and I'm in charge of observing Angel, so I won't be joining you.\Good luck, everyone!\She's almost evil!\Do I have to do this too?\Alright. Operation start!\Yum! Yum! response:	What the hell's this?!
context: To run against my character this far... what an operation!\Oh, and I'm in charge of observing Angel, so I won't be joining you.\Good luck, everyone!\She's almost evil!\Do I have to do this too?\Alright. Operation start!\Yum! Yum!\What the hell's this?! response:	Yum! Yum! Super yum!
context: Oh, and I'm in charge of observing Angel, so I won't be joining you.\Good luck, everyone!\She's almost evil!\Do I have to do this too?\Alright. Operation start!\Yum! Yum!\What the hell's this?!\Yum! Yum! Super yum! response:	Oh, I can't stop! How can it be so good?!
context: Good luck, everyone!\She's almost evil!\Do I have to do this too?\Alright. Operation start!\Yum! Yum!\What the hell's this?!\Yum! Yum! Super yum!\Oh, I can't stop! How can it be so good?! response:	Hey! Hinata - senpai! Let's play!
context: She's almost evil!\Do I have to do this too?\Alright. Operation start!\Yum! Yum!\What the hell's this?!\Yum! Yum! Super yum!\Oh, I can't stop! How can it be so good?!\Hey! Hinata - senpai! Let's play! response:	A cute girl is inviting you!
context: Do I have to do this too?\Alright. Operation start!\Yum! Yum!\What the hell's this?!\Yum! Yum! Super yum!\Oh, I can't stop! How can it be so good?!\Hey! Hinata - senpai! Let's play!\A cute girl is inviting you! response:	You lucky bastard!
context: Alright. Operation start!\Yum! Yum!\What the hell's this?!\Yum! Yum! Super yum!\Oh, I can't stop! How can it be so good?!\Hey! Hinata - senpai! Let's play!\A cute girl is inviting you!\You lucky bastard! response:	Come on!!
context: Yum! Yum!\What the hell's this?!\Yum! Yum! Super yum!\Oh, I can't stop! How can it be so good?!\Hey! Hinata - senpai! Let's play!\A cute girl is inviting you!\You lucky bastard!\Come on!! response:	I might be lucky, but unfortunately...
context: What the hell's this?!\Yum! Yum! Super yum!\Oh, I can't stop! How can it be so good?!\Hey! Hinata - senpai! Let's play!\A cute girl is inviting you!\You lucky bastard!\Come on!!\I might be lucky, but unfortunately... response:	I'm going to be playing catch with Otonashi!!
context: Yum! Yum! Super yum!\Oh, I can't stop! How can it be so good?!\Hey! Hinata - senpai! Let's play!\A cute girl is inviting you!\You lucky bastard!\Come on!!\I might be lucky, but unfortunately...\I'm going to be playing catch with Otonashi!! response:	Yeah! It's gotta be men playing catch together!!
context: Oh, I can't stop! How can it be so good?!\Hey! Hinata - senpai! Let's play!\A cute girl is inviting you!\You lucky bastard!\Come on!!\I might be lucky, but unfortunately...\I'm going to be playing catch with Otonashi!!\Yeah! It's gotta be men playing catch together!! response:	Fine! Then I'll be practicing with GirlDeMo!!
context: Hey! Hinata - senpai! Let's play!\A cute girl is inviting you!\You lucky bastard!\Come on!!\I might be lucky, but unfortunately...\I'm going to be playing catch with Otonashi!!\Yeah! It's gotta be men playing catch together!!\Fine! Then I'll be practicing with GirlDeMo!! response:	I love GirlDeMo!!
context: A cute girl is inviting you!\You lucky bastard!\Come on!!\I might be lucky, but unfortunately...\I'm going to be playing catch with Otonashi!!\Yeah! It's gotta be men playing catch together!!\Fine! Then I'll be practicing with GirlDeMo!!\I love GirlDeMo!! response:	Yeah! Go sing a love song or something!
context: You lucky bastard!\Come on!!\I might be lucky, but unfortunately...\I'm going to be playing catch with Otonashi!!\Yeah! It's gotta be men playing catch together!!\Fine! Then I'll be practicing with GirlDeMo!!\I love GirlDeMo!!\Yeah! Go sing a love song or something! response:	Yeah! I'll write and sing the best love song ever!!
context: Come on!!\I might be lucky, but unfortunately...\I'm going to be playing catch with Otonashi!!\Yeah! It's gotta be men playing catch together!!\Fine! Then I'll be practicing with GirlDeMo!!\I love GirlDeMo!!\Yeah! Go sing a love song or something!\Yeah! I'll write and sing the best love song ever!! response:	See you!!
context: I might be lucky, but unfortunately...\I'm going to be playing catch with Otonashi!!\Yeah! It's gotta be men playing catch together!!\Fine! Then I'll be practicing with GirlDeMo!!\I love GirlDeMo!!\Yeah! Go sing a love song or something!\Yeah! I'll write and sing the best love song ever!!\See you!! response:	Come on Otonashi! Let's play catch!!
context: I'm going to be playing catch with Otonashi!!\Yeah! It's gotta be men playing catch together!!\Fine! Then I'll be practicing with GirlDeMo!!\I love GirlDeMo!!\Yeah! Go sing a love song or something!\Yeah! I'll write and sing the best love song ever!!\See you!!\Come on Otonashi! Let's play catch!! response:	Let's throw this ball!
context: Yeah! It's gotta be men playing catch together!!\Fine! Then I'll be practicing with GirlDeMo!!\I love GirlDeMo!!\Yeah! Go sing a love song or something!\Yeah! I'll write and sing the best love song ever!!\See you!!\Come on Otonashi! Let's play catch!!\Let's throw this ball! response:	It's fun just thinking about it!
context: Fine! Then I'll be practicing with GirlDeMo!!\I love GirlDeMo!!\Yeah! Go sing a love song or something!\Yeah! I'll write and sing the best love song ever!!\See you!!\Come on Otonashi! Let's play catch!!\Let's throw this ball!\It's fun just thinking about it! response:	I'm getting the shivers!!
context: I love GirlDeMo!!\Yeah! Go sing a love song or something!\Yeah! I'll write and sing the best love song ever!!\See you!!\Come on Otonashi! Let's play catch!!\Let's throw this ball!\It's fun just thinking about it!\I'm getting the shivers!! response:	S-Sure...
context: Yeah! Go sing a love song or something!\Yeah! I'll write and sing the best love song ever!!\See you!!\Come on Otonashi! Let's play catch!!\Let's throw this ball!\It's fun just thinking about it!\I'm getting the shivers!!\S-Sure... response:	Wait right there!!
context: Yeah! I'll write and sing the best love song ever!!\See you!!\Come on Otonashi! Let's play catch!!\Let's throw this ball!\It's fun just thinking about it!\I'm getting the shivers!!\S-Sure...\Wait right there!! response:	Let me join you!
context: See you!!\Come on Otonashi! Let's play catch!!\Let's throw this ball!\It's fun just thinking about it!\I'm getting the shivers!!\S-Sure...\Wait right there!!\Let me join you! response:	Hey put that down!
context: Come on Otonashi! Let's play catch!!\Let's throw this ball!\It's fun just thinking about it!\I'm getting the shivers!!\S-Sure...\Wait right there!!\Let me join you!\Hey put that down! response:	Quit being a wimp!
context: Let's throw this ball!\It's fun just thinking about it!\I'm getting the shivers!!\S-Sure...\Wait right there!!\Let me join you!\Hey put that down!\Quit being a wimp! response:	I'm saying that if you've got two people throwing, it's even more fun with a guy hitting!!
context: It's fun just thinking about it!\I'm getting the shivers!!\S-Sure...\Wait right there!!\Let me join you!\Hey put that down!\Quit being a wimp!\I'm saying that if you've got two people throwing, it's even more fun with a guy hitting!! response:	I didn't think of that! That sounds like fun!
context: I'm getting the shivers!!\S-Sure...\Wait right there!!\Let me join you!\Hey put that down!\Quit being a wimp!\I'm saying that if you've got two people throwing, it's even more fun with a guy hitting!!\I didn't think of that! That sounds like fun! response:	That's why I want to join! Let me join!
context: S-Sure...\Wait right there!!\Let me join you!\Hey put that down!\Quit being a wimp!\I'm saying that if you've got two people throwing, it's even more fun with a guy hitting!!\I didn't think of that! That sounds like fun!\That's why I want to join! Let me join! response:	Yeah! We'll let you join!!
context: Wait right there!!\Let me join you!\Hey put that down!\Quit being a wimp!\I'm saying that if you've got two people throwing, it's even more fun with a guy hitting!!\I didn't think of that! That sounds like fun!\That's why I want to join! Let me join!\Yeah! We'll let you join!! response:	Wait!! Then won't it be better with an outfield?!
context: Let me join you!\Hey put that down!\Quit being a wimp!\I'm saying that if you've got two people throwing, it's even more fun with a guy hitting!!\I didn't think of that! That sounds like fun!\That's why I want to join! Let me join!\Yeah! We'll let you join!!\Wait!! Then won't it be better with an outfield?! response:	Yeah, Matsushita 5th Dan, that's right!!
context: Hey put that down!\Quit being a wimp!\I'm saying that if you've got two people throwing, it's even more fun with a guy hitting!!\I didn't think of that! That sounds like fun!\That's why I want to join! Let me join!\Yeah! We'll let you join!!\Wait!! Then won't it be better with an outfield?!\Yeah, Matsushita 5th Dan, that's right!! response:	Alright!! I'm in too!
context: Quit being a wimp!\I'm saying that if you've got two people throwing, it's even more fun with a guy hitting!!\I didn't think of that! That sounds like fun!\That's why I want to join! Let me join!\Yeah! We'll let you join!!\Wait!! Then won't it be better with an outfield?!\Yeah, Matsushita 5th Dan, that's right!!\Alright!! I'm in too! response:	Let me in there too!!
context: I'm saying that if you've got two people throwing, it's even more fun with a guy hitting!!\I didn't think of that! That sounds like fun!\That's why I want to join! Let me join!\Yeah! We'll let you join!!\Wait!! Then won't it be better with an outfield?!\Yeah, Matsushita 5th Dan, that's right!!\Alright!! I'm in too!\Let me in there too!! response:	Hey! You're already ready for this!!
context: I didn't think of that! That sounds like fun!\That's why I want to join! Let me join!\Yeah! We'll let you join!!\Wait!! Then won't it be better with an outfield?!\Yeah, Matsushita 5th Dan, that's right!!\Alright!! I'm in too!\Let me in there too!!\Hey! You're already ready for this!! response:	I've built this muscle solely to play baseball!!
context: That's why I want to join! Let me join!\Yeah! We'll let you join!!\Wait!! Then won't it be better with an outfield?!\Yeah, Matsushita 5th Dan, that's right!!\Alright!! I'm in too!\Let me in there too!!\Hey! You're already ready for this!!\I've built this muscle solely to play baseball!! response:	Did you?!
context: Yeah! We'll let you join!!\Wait!! Then won't it be better with an outfield?!\Yeah, Matsushita 5th Dan, that's right!!\Alright!! I'm in too!\Let me in there too!!\Hey! You're already ready for this!!\I've built this muscle solely to play baseball!!\Did you?! response:	Crap! This is going to be damn fun!!
context: Wait!! Then won't it be better with an outfield?!\Yeah, Matsushita 5th Dan, that's right!!\Alright!! I'm in too!\Let me in there too!!\Hey! You're already ready for this!!\I've built this muscle solely to play baseball!!\Did you?!\Crap! This is going to be damn fun!! response:	Alright! Let's head to the grounds!!
context: Yeah, Matsushita 5th Dan, that's right!!\Alright!! I'm in too!\Let me in there too!!\Hey! You're already ready for this!!\I've built this muscle solely to play baseball!!\Did you?!\Crap! This is going to be damn fun!!\Alright! Let's head to the grounds!! response:	W-Wait!!
context: Alright!! I'm in too!\Let me in there too!!\Hey! You're already ready for this!!\I've built this muscle solely to play baseball!!\Did you?!\Crap! This is going to be damn fun!!\Alright! Let's head to the grounds!!\W-Wait!! response:	What about you guys?
context: Let me in there too!!\Hey! You're already ready for this!!\I've built this muscle solely to play baseball!!\Did you?!\Crap! This is going to be damn fun!!\Alright! Let's head to the grounds!!\W-Wait!!\What about you guys? response:	Sexy!
context: Hey! You're already ready for this!!\I've built this muscle solely to play baseball!!\Did you?!\Crap! This is going to be damn fun!!\Alright! Let's head to the grounds!!\W-Wait!!\What about you guys?\Sexy! response:	Hey, Oyama! If you're up for eating, then let's eat out the whole dining hall!!
context: I've built this muscle solely to play baseball!!\Did you?!\Crap! This is going to be damn fun!!\Alright! Let's head to the grounds!!\W-Wait!!\What about you guys?\Sexy!\Hey, Oyama! If you're up for eating, then let's eat out the whole dining hall!! response:	Yeah! I'm with you!
context: Did you?!\Crap! This is going to be damn fun!!\Alright! Let's head to the grounds!!\W-Wait!!\What about you guys?\Sexy!\Hey, Oyama! If you're up for eating, then let's eat out the whole dining hall!!\Yeah! I'm with you! response:	Dive into your body!
context: Crap! This is going to be damn fun!!\Alright! Let's head to the grounds!!\W-Wait!!\What about you guys?\Sexy!\Hey, Oyama! If you're up for eating, then let's eat out the whole dining hall!!\Yeah! I'm with you!\Dive into your body! response:	I have no clue what you're saying, but okay let's go!!
context: Alright! Let's head to the grounds!!\W-Wait!!\What about you guys?\Sexy!\Hey, Oyama! If you're up for eating, then let's eat out the whole dining hall!!\Yeah! I'm with you!\Dive into your body!\I have no clue what you're saying, but okay let's go!! response:	How about you Shiina
context: W-Wait!!\What about you guys?\Sexy!\Hey, Oyama! If you're up for eating, then let's eat out the whole dining hall!!\Yeah! I'm with you!\Dive into your body!\I have no clue what you're saying, but okay let's go!!\How about you Shiina response:	What, you're not here anymore?!
context: What about you guys?\Sexy!\Hey, Oyama! If you're up for eating, then let's eat out the whole dining hall!!\Yeah! I'm with you!\Dive into your body!\I have no clue what you're saying, but okay let's go!!\How about you Shiina\What, you're not here anymore?! response:	Alright! Let's head to the dining hall!
context: Sexy!\Hey, Oyama! If you're up for eating, then let's eat out the whole dining hall!!\Yeah! I'm with you!\Dive into your body!\I have no clue what you're saying, but okay let's go!!\How about you Shiina\What, you're not here anymore?!\Alright! Let's head to the dining hall! response:	My stomach's ready for some action!!
context: Hey, Oyama! If you're up for eating, then let's eat out the whole dining hall!!\Yeah! I'm with you!\Dive into your body!\I have no clue what you're saying, but okay let's go!!\How about you Shiina\What, you're not here anymore?!\Alright! Let's head to the dining hall!\My stomach's ready for some action!! response:	Yum! How delicious! This omelette rice is the best!!
context: Yeah! I'm with you!\Dive into your body!\I have no clue what you're saying, but okay let's go!!\How about you Shiina\What, you're not here anymore?!\Alright! Let's head to the dining hall!\My stomach's ready for some action!!\Yum! How delicious! This omelette rice is the best!! response:	That's nothing! This dining hall is all about the udon!
context: Dive into your body!\I have no clue what you're saying, but okay let's go!!\How about you Shiina\What, you're not here anymore?!\Alright! Let's head to the dining hall!\My stomach's ready for some action!!\Yum! How delicious! This omelette rice is the best!!\That's nothing! This dining hall is all about the udon! response:	Man, this is the best!!
