context: Staff Room response:	Goodbye.
context: I apologize.\We'll make absolutely sure nothing like this happens again.\Please, let us make it up to you.\You know this mess wasn't your fault!\We went over the order several times\while you were showing me the ropes!\Someone must've...\I know. response:	Doesn't it make you mad?
context: We'll make absolutely sure nothing like this happens again.\Please, let us make it up to you.\You know this mess wasn't your fault!\We went over the order several times\while you were showing me the ropes!\Someone must've...\I know.\Doesn't it make you mad? response:	Knocking others down to gain an advantage is a fruitless endeavor.
context: Please, let us make it up to you.\You know this mess wasn't your fault!\We went over the order several times\while you were showing me the ropes!\Someone must've...\I know.\Doesn't it make you mad?\Knocking others down to gain an advantage is a fruitless endeavor. response:	It means they've given up on winning any other way.
context: You know this mess wasn't your fault!\We went over the order several times\while you were showing me the ropes!\Someone must've...\I know.\Doesn't it make you mad?\Knocking others down to gain an advantage is a fruitless endeavor.\It means they've given up on winning any other way. response:	At first,
context: We went over the order several times\while you were showing me the ropes!\Someone must've...\I know.\Doesn't it make you mad?\Knocking others down to gain an advantage is a fruitless endeavor.\It means they've given up on winning any other way.\At first, response:	we all competed fair and square. It was really fun.
context: while you were showing me the ropes!\Someone must've...\I know.\Doesn't it make you mad?\Knocking others down to gain an advantage is a fruitless endeavor.\It means they've given up on winning any other way.\At first,\we all competed fair and square. It was really fun. response:	But then,
context: Someone must've...\I know.\Doesn't it make you mad?\Knocking others down to gain an advantage is a fruitless endeavor.\It means they've given up on winning any other way.\At first,\we all competed fair and square. It was really fun.\But then, response:	somehow we went from rivals to enemies.
context: I know.\Doesn't it make you mad?\Knocking others down to gain an advantage is a fruitless endeavor.\It means they've given up on winning any other way.\At first,\we all competed fair and square. It was really fun.\But then,\somehow we went from rivals to enemies. response:	Seeing hard workers turn out like that doesn't make me mad.
context: Doesn't it make you mad?\Knocking others down to gain an advantage is a fruitless endeavor.\It means they've given up on winning any other way.\At first,\we all competed fair and square. It was really fun.\But then,\somehow we went from rivals to enemies.\Seeing hard workers turn out like that doesn't make me mad. response:	Just...
context: Knocking others down to gain an advantage is a fruitless endeavor.\It means they've given up on winning any other way.\At first,\we all competed fair and square. It was really fun.\But then,\somehow we went from rivals to enemies.\Seeing hard workers turn out like that doesn't make me mad.\Just... response:	Were you trying to bully her?
context: It means they've given up on winning any other way.\At first,\we all competed fair and square. It was really fun.\But then,\somehow we went from rivals to enemies.\Seeing hard workers turn out like that doesn't make me mad.\Just...\Were you trying to bully her? response:	A hard worker like you?
context: At first,\we all competed fair and square. It was really fun.\But then,\somehow we went from rivals to enemies.\Seeing hard workers turn out like that doesn't make me mad.\Just...\Were you trying to bully her?\A hard worker like you? response:	Oh. Are you awake, Kariu?
context: we all competed fair and square. It was really fun.\But then,\somehow we went from rivals to enemies.\Seeing hard workers turn out like that doesn't make me mad.\Just...\Were you trying to bully her?\A hard worker like you?\Oh. Are you awake, Kariu? response:	Hey, no sudden movements.
context: But then,\somehow we went from rivals to enemies.\Seeing hard workers turn out like that doesn't make me mad.\Just...\Were you trying to bully her?\A hard worker like you?\Oh. Are you awake, Kariu?\Hey, no sudden movements. response:	Apparently, Hishiro-san found us and let the teachers know.
context: somehow we went from rivals to enemies.\Seeing hard workers turn out like that doesn't make me mad.\Just...\Were you trying to bully her?\A hard worker like you?\Oh. Are you awake, Kariu?\Hey, no sudden movements.\Apparently, Hishiro-san found us and let the teachers know. response:	I'm pretty sure she took that green bag home with her.
context: Seeing hard workers turn out like that doesn't make me mad.\Just...\Were you trying to bully her?\A hard worker like you?\Oh. Are you awake, Kariu?\Hey, no sudden movements.\Apparently, Hishiro-san found us and let the teachers know.\I'm pretty sure she took that green bag home with her. response:	That bag...
context: Just...\Were you trying to bully her?\A hard worker like you?\Oh. Are you awake, Kariu?\Hey, no sudden movements.\Apparently, Hishiro-san found us and let the teachers know.\I'm pretty sure she took that green bag home with her.\That bag... response:	It was Hishiro-san's, right?
context: Were you trying to bully her?\A hard worker like you?\Oh. Are you awake, Kariu?\Hey, no sudden movements.\Apparently, Hishiro-san found us and let the teachers know.\I'm pretty sure she took that green bag home with her.\That bag...\It was Hishiro-san's, right? response:	Why did you have it?
context: A hard worker like you?\Oh. Are you awake, Kariu?\Hey, no sudden movements.\Apparently, Hishiro-san found us and let the teachers know.\I'm pretty sure she took that green bag home with her.\That bag...\It was Hishiro-san's, right?\Why did you have it? response:	Don't run.
context: Oh. Are you awake, Kariu?\Hey, no sudden movements.\Apparently, Hishiro-san found us and let the teachers know.\I'm pretty sure she took that green bag home with her.\That bag...\It was Hishiro-san's, right?\Why did you have it?\Don't run. response:	Answer me, Kariu.
context: Hey, no sudden movements.\Apparently, Hishiro-san found us and let the teachers know.\I'm pretty sure she took that green bag home with her.\That bag...\It was Hishiro-san's, right?\Why did you have it?\Don't run.\Answer me, Kariu. response:	You steal anything?
context: Apparently, Hishiro-san found us and let the teachers know.\I'm pretty sure she took that green bag home with her.\That bag...\It was Hishiro-san's, right?\Why did you have it?\Don't run.\Answer me, Kariu.\You steal anything? response:	No!
context: I'm pretty sure she took that green bag home with her.\That bag...\It was Hishiro-san's, right?\Why did you have it?\Don't run.\Answer me, Kariu.\You steal anything?\No! response:	No...
context: That bag...\It was Hishiro-san's, right?\Why did you have it?\Don't run.\Answer me, Kariu.\You steal anything?\No!\No... response:	I just wanted to trouble her a bit...
context: It was Hishiro-san's, right?\Why did you have it?\Don't run.\Answer me, Kariu.\You steal anything?\No!\No...\I just wanted to trouble her a bit... response:	I was gonna hide it somewhere.
context: Why did you have it?\Don't run.\Answer me, Kariu.\You steal anything?\No!\No...\I just wanted to trouble her a bit...\I was gonna hide it somewhere. response:	Why?
context: Don't run.\Answer me, Kariu.\You steal anything?\No!\No...\I just wanted to trouble her a bit...\I was gonna hide it somewhere.\Why? response:	Why?
context: Answer me, Kariu.\You steal anything?\No!\No...\I just wanted to trouble her a bit...\I was gonna hide it somewhere.\Why?\Why? response:	Have you given up?
context: You steal anything?\No!\No...\I just wanted to trouble her a bit...\I was gonna hide it somewhere.\Why?\Why?\Have you given up? response:	Do you think harassing her is the only way you'll beat her?
context: No!\No...\I just wanted to trouble her a bit...\I was gonna hide it somewhere.\Why?\Why?\Have you given up?\Do you think harassing her is the only way you'll beat her? response:	So...
context: No...\I just wanted to trouble her a bit...\I was gonna hide it somewhere.\Why?\Why?\Have you given up?\Do you think harassing her is the only way you'll beat her?\So... response:	Are you gonna tell her I tried to harass her because I was jealous?
context: I just wanted to trouble her a bit...\I was gonna hide it somewhere.\Why?\Why?\Have you given up?\Do you think harassing her is the only way you'll beat her?\So...\Are you gonna tell her I tried to harass her because I was jealous? response:	You're close to her.
context: I was gonna hide it somewhere.\Why?\Why?\Have you given up?\Do you think harassing her is the only way you'll beat her?\So...\Are you gonna tell her I tried to harass her because I was jealous?\You're close to her. response:	That's why you knew it was her bag,
context: Why?\Why?\Have you given up?\Do you think harassing her is the only way you'll beat her?\So...\Are you gonna tell her I tried to harass her because I was jealous?\You're close to her.\That's why you knew it was her bag, response:	and that's why you're mad at me.
context: Why?\Have you given up?\Do you think harassing her is the only way you'll beat her?\So...\Are you gonna tell her I tried to harass her because I was jealous?\You're close to her.\That's why you knew it was her bag,\and that's why you're mad at me. response:	I bet I could hurt you more if I told Oga.
context: Have you given up?\Do you think harassing her is the only way you'll beat her?\So...\Are you gonna tell her I tried to harass her because I was jealous?\You're close to her.\That's why you knew it was her bag,\and that's why you're mad at me.\I bet I could hurt you more if I told Oga. response:	I'm kidding.
context: Do you think harassing her is the only way you'll beat her?\So...\Are you gonna tell her I tried to harass her because I was jealous?\You're close to her.\That's why you knew it was her bag,\and that's why you're mad at me.\I bet I could hurt you more if I told Oga.\I'm kidding. response:	I won't do that.
context: So...\Are you gonna tell her I tried to harass her because I was jealous?\You're close to her.\That's why you knew it was her bag,\and that's why you're mad at me.\I bet I could hurt you more if I told Oga.\I'm kidding.\I won't do that. response:	But... that is what I think.
context: Are you gonna tell her I tried to harass her because I was jealous?\You're close to her.\That's why you knew it was her bag,\and that's why you're mad at me.\I bet I could hurt you more if I told Oga.\I'm kidding.\I won't do that.\But... that is what I think. response:	Trying to knock others down a peg just means lowering yourself.
context: You're close to her.\That's why you knew it was her bag,\and that's why you're mad at me.\I bet I could hurt you more if I told Oga.\I'm kidding.\I won't do that.\But... that is what I think.\Trying to knock others down a peg just means lowering yourself. response:	Don't go trampling all the hard work and trust you've built up.
context: That's why you knew it was her bag,\and that's why you're mad at me.\I bet I could hurt you more if I told Oga.\I'm kidding.\I won't do that.\But... that is what I think.\Trying to knock others down a peg just means lowering yourself.\Don't go trampling all the hard work and trust you've built up. response:	It insults the effort you put in.
context: and that's why you're mad at me.\I bet I could hurt you more if I told Oga.\I'm kidding.\I won't do that.\But... that is what I think.\Trying to knock others down a peg just means lowering yourself.\Don't go trampling all the hard work and trust you've built up.\It insults the effort you put in. response:	The only way that would make you happy
context: I bet I could hurt you more if I told Oga.\I'm kidding.\I won't do that.\But... that is what I think.\Trying to knock others down a peg just means lowering yourself.\Don't go trampling all the hard work and trust you've built up.\It insults the effort you put in.\The only way that would make you happy response:	is if you were a loser who'd given up on trying.
context: I'm kidding.\I won't do that.\But... that is what I think.\Trying to knock others down a peg just means lowering yourself.\Don't go trampling all the hard work and trust you've built up.\It insults the effort you put in.\The only way that would make you happy\is if you were a loser who'd given up on trying. response:	But I don't think that describes you.
context: I won't do that.\But... that is what I think.\Trying to knock others down a peg just means lowering yourself.\Don't go trampling all the hard work and trust you've built up.\It insults the effort you put in.\The only way that would make you happy\is if you were a loser who'd given up on trying.\But I don't think that describes you. response:	The Kariu I know hates losing,
context: But... that is what I think.\Trying to knock others down a peg just means lowering yourself.\Don't go trampling all the hard work and trust you've built up.\It insults the effort you put in.\The only way that would make you happy\is if you were a loser who'd given up on trying.\But I don't think that describes you.\The Kariu I know hates losing, response:	is curt but kind,
context: Trying to knock others down a peg just means lowering yourself.\Don't go trampling all the hard work and trust you've built up.\It insults the effort you put in.\The only way that would make you happy\is if you were a loser who'd given up on trying.\But I don't think that describes you.\The Kariu I know hates losing,\is curt but kind, response:	and is a hard worker with a strong heart.
context: Don't go trampling all the hard work and trust you've built up.\It insults the effort you put in.\The only way that would make you happy\is if you were a loser who'd given up on trying.\But I don't think that describes you.\The Kariu I know hates losing,\is curt but kind,\and is a hard worker with a strong heart. response:	Because I know how hard you've worked,
context: It insults the effort you put in.\The only way that would make you happy\is if you were a loser who'd given up on trying.\But I don't think that describes you.\The Kariu I know hates losing,\is curt but kind,\and is a hard worker with a strong heart.\Because I know how hard you've worked, response:	I'm not really mad. Just very, very sad.
context: The only way that would make you happy\is if you were a loser who'd given up on trying.\But I don't think that describes you.\The Kariu I know hates losing,\is curt but kind,\and is a hard worker with a strong heart.\Because I know how hard you've worked,\I'm not really mad. Just very, very sad. response:	Don't act like some filthy adult.
context: is if you were a loser who'd given up on trying.\But I don't think that describes you.\The Kariu I know hates losing,\is curt but kind,\and is a hard worker with a strong heart.\Because I know how hard you've worked,\I'm not really mad. Just very, very sad.\Don't act like some filthy adult. response:	You're still young!
context: But I don't think that describes you.\The Kariu I know hates losing,\is curt but kind,\and is a hard worker with a strong heart.\Because I know how hard you've worked,\I'm not really mad. Just very, very sad.\Don't act like some filthy adult.\You're still young! response:	Don't give up on try
context: The Kariu I know hates losing,\is curt but kind,\and is a hard worker with a strong heart.\Because I know how hard you've worked,\I'm not really mad. Just very, very sad.\Don't act like some filthy adult.\You're still young!\Don't give up on try response:	What would you know?!
context: is curt but kind,\and is a hard worker with a strong heart.\Because I know how hard you've worked,\I'm not really mad. Just very, very sad.\Don't act like some filthy adult.\You're still young!\Don't give up on try\What would you know?! response:	What the hell are you lecturing me for?
context: and is a hard worker with a strong heart.\Because I know how hard you've worked,\I'm not really mad. Just very, very sad.\Don't act like some filthy adult.\You're still young!\Don't give up on try\What would you know?!\What the hell are you lecturing me for? response:	We're the same age!
context: Because I know how hard you've worked,\I'm not really mad. Just very, very sad.\Don't act like some filthy adult.\You're still young!\Don't give up on try\What would you know?!\What the hell are you lecturing me for?\We're the same age! response:	I did try!
context: I'm not really mad. Just very, very sad.\Don't act like some filthy adult.\You're still young!\Don't give up on try\What would you know?!\What the hell are you lecturing me for?\We're the same age!\I did try! response:	But I couldn't win.
context: Don't act like some filthy adult.\You're still young!\Don't give up on try\What would you know?!\What the hell are you lecturing me for?\We're the same age!\I did try!\But I couldn't win. response:	Not only that, they don't even see me as a rival!
context: You're still young!\Don't give up on try\What would you know?!\What the hell are you lecturing me for?\We're the same age!\I did try!\But I couldn't win.\Not only that, they don't even see me as a rival! response:	Honoka for sports, Hishiro for studies...
context: Don't give up on try\What would you know?!\What the hell are you lecturing me for?\We're the same age!\I did try!\But I couldn't win.\Not only that, they don't even see me as a rival!\Honoka for sports, Hishiro for studies... response:	I'm trying desperately to beat them!
context: What would you know?!\What the hell are you lecturing me for?\We're the same age!\I did try!\But I couldn't win.\Not only that, they don't even see me as a rival!\Honoka for sports, Hishiro for studies...\I'm trying desperately to beat them! response:	So why do they act like I'm no threat at all?!
context: What the hell are you lecturing me for?\We're the same age!\I did try!\But I couldn't win.\Not only that, they don't even see me as a rival!\Honoka for sports, Hishiro for studies...\I'm trying desperately to beat them!\So why do they act like I'm no threat at all?! response:	Why am I the only one with problems?!
context: We're the same age!\I did try!\But I couldn't win.\Not only that, they don't even see me as a rival!\Honoka for sports, Hishiro for studies...\I'm trying desperately to beat them!\So why do they act like I'm no threat at all?!\Why am I the only one with problems?! response:	I try and try and try and...
context: I did try!\But I couldn't win.\Not only that, they don't even see me as a rival!\Honoka for sports, Hishiro for studies...\I'm trying desperately to beat them!\So why do they act like I'm no threat at all?!\Why am I the only one with problems?!\I try and try and try and... response:	No matter how hard I try, I get nothing in return.
context: But I couldn't win.\Not only that, they don't even see me as a rival!\Honoka for sports, Hishiro for studies...\I'm trying desperately to beat them!\So why do they act like I'm no threat at all?!\Why am I the only one with problems?!\I try and try and try and...\No matter how hard I try, I get nothing in return. response:	It's all pointless.
context: Not only that, they don't even see me as a rival!\Honoka for sports, Hishiro for studies...\I'm trying desperately to beat them!\So why do they act like I'm no threat at all?!\Why am I the only one with problems?!\I try and try and try and...\No matter how hard I try, I get nothing in return.\It's all pointless. response:	That's not true.
context: Honoka for sports, Hishiro for studies...\I'm trying desperately to beat them!\So why do they act like I'm no threat at all?!\Why am I the only one with problems?!\I try and try and try and...\No matter how hard I try, I get nothing in return.\It's all pointless.\That's not true. response:	You're just too busy comparing yourself to others to see.
context: I'm trying desperately to beat them!\So why do they act like I'm no threat at all?!\Why am I the only one with problems?!\I try and try and try and...\No matter how hard I try, I get nothing in return.\It's all pointless.\That's not true.\You're just too busy comparing yourself to others to see. response:	Those comparisons aren't the only measure.
context: So why do they act like I'm no threat at all?!\Why am I the only one with problems?!\I try and try and try and...\No matter how hard I try, I get nothing in return.\It's all pointless.\That's not true.\You're just too busy comparing yourself to others to see.\Those comparisons aren't the only measure. response:	Don't say it's all pointless.
context: Why am I the only one with problems?!\I try and try and try and...\No matter how hard I try, I get nothing in return.\It's all pointless.\That's not true.\You're just too busy comparing yourself to others to see.\Those comparisons aren't the only measure.\Don't say it's all pointless. response:	You've worked hard and made yourself better.
context: I try and try and try and...\No matter how hard I try, I get nothing in return.\It's all pointless.\That's not true.\You're just too busy comparing yourself to others to see.\Those comparisons aren't the only measure.\Don't say it's all pointless.\You've worked hard and made yourself better. response:	That's what you got in return.
context: No matter how hard I try, I get nothing in return.\It's all pointless.\That's not true.\You're just too busy comparing yourself to others to see.\Those comparisons aren't the only measure.\Don't say it's all pointless.\You've worked hard and made yourself better.\That's what you got in return. response:	So don't...
context: It's all pointless.\That's not true.\You're just too busy comparing yourself to others to see.\Those comparisons aren't the only measure.\Don't say it's all pointless.\You've worked hard and made yourself better.\That's what you got in return.\So don't... response:	Oh...
context: That's not true.\You're just too busy comparing yourself to others to see.\Those comparisons aren't the only measure.\Don't say it's all pointless.\You've worked hard and made yourself better.\That's what you got in return.\So don't...\Oh... response:	I guess...
context: You're just too busy comparing yourself to others to see.\Those comparisons aren't the only measure.\Don't say it's all pointless.\You've worked hard and made yourself better.\That's what you got in return.\So don't...\Oh...\I guess... response:	Nurse's Office
context: Those comparisons aren't the only measure.\Don't say it's all pointless.\You've worked hard and made yourself better.\That's what you got in return.\So don't...\Oh...\I guess...\Nurse's Office response:	Feeling better?
context: Don't say it's all pointless.\You've worked hard and made yourself better.\That's what you got in return.\So don't...\Oh...\I guess...\Nurse's Office\Feeling better? response:	Huh? About what?
context: You've worked hard and made yourself better.\That's what you got in return.\So don't...\Oh...\I guess...\Nurse's Office\Feeling better?\Huh? About what? response:	Always gotta act tough, huh?
context: That's what you got in return.\So don't...\Oh...\I guess...\Nurse's Office\Feeling better?\Huh? About what?\Always gotta act tough, huh? response:	You said no matter how hard you tried...
context: So don't...\Oh...\I guess...\Nurse's Office\Feeling better?\Huh? About what?\Always gotta act tough, huh?\You said no matter how hard you tried... response:	Stop talking about that!
context: Oh...\I guess...\Nurse's Office\Feeling better?\Huh? About what?\Always gotta act tough, huh?\You said no matter how hard you tried...\Stop talking about that! response:	But Hishiro-san's trying, too.
context: I guess...\Nurse's Office\Feeling better?\Huh? About what?\Always gotta act tough, huh?\You said no matter how hard you tried...\Stop talking about that!\But Hishiro-san's trying, too. response:	She was in the staff room this late...
context: Nurse's Office\Feeling better?\Huh? About what?\Always gotta act tough, huh?\You said no matter how hard you tried...\Stop talking about that!\But Hishiro-san's trying, too.\She was in the staff room this late... response:	I bet she had questions for the teachers.
context: Feeling better?\Huh? About what?\Always gotta act tough, huh?\You said no matter how hard you tried...\Stop talking about that!\But Hishiro-san's trying, too.\She was in the staff room this late...\I bet she had questions for the teachers. response:	There are things even she doesn't find easy.
context: Huh? About what?\Always gotta act tough, huh?\You said no matter how hard you tried...\Stop talking about that!\But Hishiro-san's trying, too.\She was in the staff room this late...\I bet she had questions for the teachers.\There are things even she doesn't find easy. response:	She's really awkward, after all.
context: Always gotta act tough, huh?\You said no matter how hard you tried...\Stop talking about that!\But Hishiro-san's trying, too.\She was in the staff room this late...\I bet she had questions for the teachers.\There are things even she doesn't find easy.\She's really awkward, after all. response:	I think you've got the wrong idea about her, too.
context: You said no matter how hard you tried...\Stop talking about that!\But Hishiro-san's trying, too.\She was in the staff room this late...\I bet she had questions for the teachers.\There are things even she doesn't find easy.\She's really awkward, after all.\I think you've got the wrong idea about her, too. response:	You've never really talked to her.
context: Stop talking about that!\But Hishiro-san's trying, too.\She was in the staff room this late...\I bet she had questions for the teachers.\There are things even she doesn't find easy.\She's really awkward, after all.\I think you've got the wrong idea about her, too.\You've never really talked to her. response:	Oh, right!
context: But Hishiro-san's trying, too.\She was in the staff room this late...\I bet she had questions for the teachers.\There are things even she doesn't find easy.\She's really awkward, after all.\I think you've got the wrong idea about her, too.\You've never really talked to her.\Oh, right! response:	Next time you get a chance, ask her to smile for you.
