context: Go, go, let's go! Let's go Date Tech! response:	Well? Are they winning?!
context: Kogane!\Got it!\Date Tech has a new setter.\Yeah,\I wonder what kind of toss...\What the heck was that?!\Haikyu!!\Episode 19: The Iron Wall Can Be Rebuilt Again and Again. response:	Kogane!
context: Got it!\Date Tech has a new setter.\Yeah,\I wonder what kind of toss...\What the heck was that?!\Haikyu!!\Episode 19: The Iron Wall Can Be Rebuilt Again and Again.\Kogane! response:	Got it!
context: Date Tech has a new setter.\Yeah,\I wonder what kind of toss...\What the heck was that?!\Haikyu!!\Episode 19: The Iron Wall Can Be Rebuilt Again and Again.\Kogane!\Got it! response:	Good! Go!
context: Yeah,\I wonder what kind of toss...\What the heck was that?!\Haikyu!!\Episode 19: The Iron Wall Can Be Rebuilt Again and Again.\Kogane!\Got it!\Good! Go! response:	Kogane's moves still seem rough.
context: I wonder what kind of toss...\What the heck was that?!\Haikyu!!\Episode 19: The Iron Wall Can Be Rebuilt Again and Again.\Kogane!\Got it!\Good! Go!\Kogane's moves still seem rough. response:	Well, as long as the ball goes up.
context: What the heck was that?!\Haikyu!!\Episode 19: The Iron Wall Can Be Rebuilt Again and Again.\Kogane!\Got it!\Good! Go!\Kogane's moves still seem rough.\Well, as long as the ball goes up. response:	Left!
context: Haikyu!!\Episode 19: The Iron Wall Can Be Rebuilt Again and Again.\Kogane!\Got it!\Good! Go!\Kogane's moves still seem rough.\Well, as long as the ball goes up.\Left! response:	Right!
context: Episode 19: The Iron Wall Can Be Rebuilt Again and Again.\Kogane!\Got it!\Good! Go!\Kogane's moves still seem rough.\Well, as long as the ball goes up.\Left!\Right! response:	What the heck was that?!
context: Kogane!\Got it!\Good! Go!\Kogane's moves still seem rough.\Well, as long as the ball goes up.\Left!\Right!\What the heck was that?! response:	Futakuchi-senpai, I'm counting on you!
context: Got it!\Good! Go!\Kogane's moves still seem rough.\Well, as long as the ball goes up.\Left!\Right!\What the heck was that?!\Futakuchi-senpai, I'm counting on you! response:	It's too high!
context: Good! Go!\Kogane's moves still seem rough.\Well, as long as the ball goes up.\Left!\Right!\What the heck was that?!\Futakuchi-senpai, I'm counting on you!\It's too high! response:	I'm not good with high ones!
context: Kogane's moves still seem rough.\Well, as long as the ball goes up.\Left!\Right!\What the heck was that?!\Futakuchi-senpai, I'm counting on you!\It's too high!\I'm not good with high ones! response:	All right!
context: Well, as long as the ball goes up.\Left!\Right!\What the heck was that?!\Futakuchi-senpai, I'm counting on you!\It's too high!\I'm not good with high ones!\All right! response:	Sorry!
context: Left!\Right!\What the heck was that?!\Futakuchi-senpai, I'm counting on you!\It's too high!\I'm not good with high ones!\All right!\Sorry! response:	Lucky!
context: Right!\What the heck was that?!\Futakuchi-senpai, I'm counting on you!\It's too high!\I'm not good with high ones!\All right!\Sorry!\Lucky! response:	Futakuchi-senpai, don't mind!
context: What the heck was that?!\Futakuchi-senpai, I'm counting on you!\It's too high!\I'm not good with high ones!\All right!\Sorry!\Lucky!\Futakuchi-senpai, don't mind! response:	A-A little lower, Koganegawa.
context: Futakuchi-senpai, I'm counting on you!\It's too high!\I'm not good with high ones!\All right!\Sorry!\Lucky!\Futakuchi-senpai, don't mind!\A-A little lower, Koganegawa. response:	Right! Lower!
context: It's too high!\I'm not good with high ones!\All right!\Sorry!\Lucky!\Futakuchi-senpai, don't mind!\A-A little lower, Koganegawa.\Right! Lower! response:	Don't make it too low.
context: I'm not good with high ones!\All right!\Sorry!\Lucky!\Futakuchi-senpai, don't mind!\A-A little lower, Koganegawa.\Right! Lower!\Don't make it too low. response:	I need it in the middle. The middle.
context: All right!\Sorry!\Lucky!\Futakuchi-senpai, don't mind!\A-A little lower, Koganegawa.\Right! Lower!\Don't make it too low.\I need it in the middle. The middle. response:	Right!
context: Sorry!\Lucky!\Futakuchi-senpai, don't mind!\A-A little lower, Koganegawa.\Right! Lower!\Don't make it too low.\I need it in the middle. The middle.\Right! response:	You sure you got it?
context: Lucky!\Futakuchi-senpai, don't mind!\A-A little lower, Koganegawa.\Right! Lower!\Don't make it too low.\I need it in the middle. The middle.\Right!\You sure you got it? response:	Of course!
context: Futakuchi-senpai, don't mind!\A-A little lower, Koganegawa.\Right! Lower!\Don't make it too low.\I need it in the middle. The middle.\Right!\You sure you got it?\Of course! response:	Sorry.
context: A-A little lower, Koganegawa.\Right! Lower!\Don't make it too low.\I need it in the middle. The middle.\Right!\You sure you got it?\Of course!\Sorry. response:	No worries!
context: Right! Lower!\Don't make it too low.\I need it in the middle. The middle.\Right!\You sure you got it?\Of course!\Sorry.\No worries! response:	Date Tech's setter is a first-year, right? 7.
context: Don't make it too low.\I need it in the middle. The middle.\Right!\You sure you got it?\Of course!\Sorry.\No worries!\Date Tech's setter is a first-year, right? 7. response:	Yeah.
context: I need it in the middle. The middle.\Right!\You sure you got it?\Of course!\Sorry.\No worries!\Date Tech's setter is a first-year, right? 7.\Yeah. response:	He's big...
context: Right!\You sure you got it?\Of course!\Sorry.\No worries!\Date Tech's setter is a first-year, right? 7.\Yeah.\He's big... response:	One touch!
context: You sure you got it?\Of course!\Sorry.\No worries!\Date Tech's setter is a first-year, right? 7.\Yeah.\He's big...\One touch! response:	Yeah, he is.
context: Of course!\Sorry.\No worries!\Date Tech's setter is a first-year, right? 7.\Yeah.\He's big...\One touch!\Yeah, he is. response:	That's our new weapon.
context: Sorry.\No worries!\Date Tech's setter is a first-year, right? 7.\Yeah.\He's big...\One touch!\Yeah, he is.\That's our new weapon. response:	The giant setter, Koganegawa.
context: No worries!\Date Tech's setter is a first-year, right? 7.\Yeah.\He's big...\One touch!\Yeah, he is.\That's our new weapon.\The giant setter, Koganegawa. response:	Giant...
context: Date Tech's setter is a first-year, right? 7.\Yeah.\He's big...\One touch!\Yeah, he is.\That's our new weapon.\The giant setter, Koganegawa.\Giant... response:	Nice catch!
context: Yeah.\He's big...\One touch!\Yeah, he is.\That's our new weapon.\The giant setter, Koganegawa.\Giant...\Nice catch! response:	I'm sorry!
context: He's big...\One touch!\Yeah, he is.\That's our new weapon.\The giant setter, Koganegawa.\Giant...\Nice catch!\I'm sorry! response:	I'll run around the school a hundred times to make up for it!
context: One touch!\Yeah, he is.\That's our new weapon.\The giant setter, Koganegawa.\Giant...\Nice catch!\I'm sorry!\I'll run around the school a hundred times to make up for it! response:	You should probably practice tossing instead!
context: Yeah, he is.\That's our new weapon.\The giant setter, Koganegawa.\Giant...\Nice catch!\I'm sorry!\I'll run around the school a hundred times to make up for it!\You should probably practice tossing instead! response:	H-He's still learning.
context: That's our new weapon.\The giant setter, Koganegawa.\Giant...\Nice catch!\I'm sorry!\I'll run around the school a hundred times to make up for it!\You should probably practice tossing instead!\H-He's still learning. response:	He just became a setter.
context: The giant setter, Koganegawa.\Giant...\Nice catch!\I'm sorry!\I'll run around the school a hundred times to make up for it!\You should probably practice tossing instead!\H-He's still learning.\He just became a setter. response:	He'll eventually be a huge deal.
context: Giant...\Nice catch!\I'm sorry!\I'll run around the school a hundred times to make up for it!\You should probably practice tossing instead!\H-He's still learning.\He just became a setter.\He'll eventually be a huge deal. response:	Th-Those kinds of mistakes happen all the time...
context: Nice catch!\I'm sorry!\I'll run around the school a hundred times to make up for it!\You should probably practice tossing instead!\H-He's still learning.\He just became a setter.\He'll eventually be a huge deal.\Th-Those kinds of mistakes happen all the time... response:	Er, uh... He's definitely got the potential! Really!
context: I'm sorry!\I'll run around the school a hundred times to make up for it!\You should probably practice tossing instead!\H-He's still learning.\He just became a setter.\He'll eventually be a huge deal.\Th-Those kinds of mistakes happen all the time...\Er, uh... He's definitely got the potential! Really! response:	You're making Karasuno's captain take pity on you, Moniwa...
context: I'll run around the school a hundred times to make up for it!\You should probably practice tossing instead!\H-He's still learning.\He just became a setter.\He'll eventually be a huge deal.\Th-Those kinds of mistakes happen all the time...\Er, uh... He's definitely got the potential! Really!\You're making Karasuno's captain take pity on you, Moniwa... response:	Nice serve!
context: You should probably practice tossing instead!\H-He's still learning.\He just became a setter.\He'll eventually be a huge deal.\Th-Those kinds of mistakes happen all the time...\Er, uh... He's definitely got the potential! Really!\You're making Karasuno's captain take pity on you, Moniwa...\Nice serve! response:	I was selfish, so I'm sure my senpais had a hard time with me,
context: H-He's still learning.\He just became a setter.\He'll eventually be a huge deal.\Th-Those kinds of mistakes happen all the time...\Er, uh... He's definitely got the potential! Really!\You're making Karasuno's captain take pity on you, Moniwa...\Nice serve!\I was selfish, so I'm sure my senpais had a hard time with me, response:	Bring it!
context: He just became a setter.\He'll eventually be a huge deal.\Th-Those kinds of mistakes happen all the time...\Er, uh... He's definitely got the potential! Really!\You're making Karasuno's captain take pity on you, Moniwa...\Nice serve!\I was selfish, so I'm sure my senpais had a hard time with me,\Bring it! response:	All right, bring it!
context: He'll eventually be a huge deal.\Th-Those kinds of mistakes happen all the time...\Er, uh... He's definitely got the potential! Really!\You're making Karasuno's captain take pity on you, Moniwa...\Nice serve!\I was selfish, so I'm sure my senpais had a hard time with me,\Bring it!\All right, bring it! response:	but I have to wonder about being too serious, too.
context: Th-Those kinds of mistakes happen all the time...\Er, uh... He's definitely got the potential! Really!\You're making Karasuno's captain take pity on you, Moniwa...\Nice serve!\I was selfish, so I'm sure my senpais had a hard time with me,\Bring it!\All right, bring it!\but I have to wonder about being too serious, too. response:	Futakuchi is having trouble with his junior...
context: Er, uh... He's definitely got the potential! Really!\You're making Karasuno's captain take pity on you, Moniwa...\Nice serve!\I was selfish, so I'm sure my senpais had a hard time with me,\Bring it!\All right, bring it!\but I have to wonder about being too serious, too.\Futakuchi is having trouble with his junior... response:	Serves him right.
context: You're making Karasuno's captain take pity on you, Moniwa...\Nice serve!\I was selfish, so I'm sure my senpais had a hard time with me,\Bring it!\All right, bring it!\but I have to wonder about being too serious, too.\Futakuchi is having trouble with his junior...\Serves him right. response:	Date Tech Aoba Johsai
context: Nice serve!\I was selfish, so I'm sure my senpais had a hard time with me,\Bring it!\All right, bring it!\but I have to wonder about being too serious, too.\Futakuchi is having trouble with his junior...\Serves him right.\Date Tech Aoba Johsai response:	Matsukawa, nice serve!
context: I was selfish, so I'm sure my senpais had a hard time with me,\Bring it!\All right, bring it!\but I have to wonder about being too serious, too.\Futakuchi is having trouble with his junior...\Serves him right.\Date Tech Aoba Johsai\Matsukawa, nice serve! response:	They really don't want to let them get any more of a lead...
context: Bring it!\All right, bring it!\but I have to wonder about being too serious, too.\Futakuchi is having trouble with his junior...\Serves him right.\Date Tech Aoba Johsai\Matsukawa, nice serve!\They really don't want to let them get any more of a lead... response:	Bring it!
context: All right, bring it!\but I have to wonder about being too serious, too.\Futakuchi is having trouble with his junior...\Serves him right.\Date Tech Aoba Johsai\Matsukawa, nice serve!\They really don't want to let them get any more of a lead...\Bring it! response:	Cut it off with the one!
context: but I have to wonder about being too serious, too.\Futakuchi is having trouble with his junior...\Serves him right.\Date Tech Aoba Johsai\Matsukawa, nice serve!\They really don't want to let them get any more of a lead...\Bring it!\Cut it off with the one! response:	Left!
context: Futakuchi is having trouble with his junior...\Serves him right.\Date Tech Aoba Johsai\Matsukawa, nice serve!\They really don't want to let them get any more of a lead...\Bring it!\Cut it off with the one!\Left! response:	Those are movements for a dump... It's high.
context: Serves him right.\Date Tech Aoba Johsai\Matsukawa, nice serve!\They really don't want to let them get any more of a lead...\Bring it!\Cut it off with the one!\Left!\Those are movements for a dump... It's high. response:	Above the block... But it's...
context: Date Tech Aoba Johsai\Matsukawa, nice serve!\They really don't want to let them get any more of a lead...\Bring it!\Cut it off with the one!\Left!\Those are movements for a dump... It's high.\Above the block... But it's... response:	Huh?
context: Matsukawa, nice serve!\They really don't want to let them get any more of a lead...\Bring it!\Cut it off with the one!\Left!\Those are movements for a dump... It's high.\Above the block... But it's...\Huh? response:	Damn it.
context: They really don't want to let them get any more of a lead...\Bring it!\Cut it off with the one!\Left!\Those are movements for a dump... It's high.\Above the block... But it's...\Huh?\Damn it. response:	Chance! Chance!
context: Bring it!\Cut it off with the one!\Left!\Those are movements for a dump... It's high.\Above the block... But it's...\Huh?\Damn it.\Chance! Chance! response:	Iwa-chan!
context: Cut it off with the one!\Left!\Those are movements for a dump... It's high.\Above the block... But it's...\Huh?\Damn it.\Chance! Chance!\Iwa-chan! response:	Nice, Sakunami!
context: Left!\Those are movements for a dump... It's high.\Above the block... But it's...\Huh?\Damn it.\Chance! Chance!\Iwa-chan!\Nice, Sakunami! response:	Futakuchi, get the last!
context: Those are movements for a dump... It's high.\Above the block... But it's...\Huh?\Damn it.\Chance! Chance!\Iwa-chan!\Nice, Sakunami!\Futakuchi, get the last! response:	One touch!
context: Above the block... But it's...\Huh?\Damn it.\Chance! Chance!\Iwa-chan!\Nice, Sakunami!\Futakuchi, get the last!\One touch! response:	Got it! Makki!
context: Huh?\Damn it.\Chance! Chance!\Iwa-chan!\Nice, Sakunami!\Futakuchi, get the last!\One touch!\Got it! Makki! response:	Got it!
context: Damn it.\Chance! Chance!\Iwa-chan!\Nice, Sakunami!\Futakuchi, get the last!\One touch!\Got it! Makki!\Got it! response:	The wing spiker, 3, did the toss?
context: Chance! Chance!\Iwa-chan!\Nice, Sakunami!\Futakuchi, get the last!\One touch!\Got it! Makki!\Got it!\The wing spiker, 3, did the toss? response:	Oikawa!
context: Iwa-chan!\Nice, Sakunami!\Futakuchi, get the last!\One touch!\Got it! Makki!\Got it!\The wing spiker, 3, did the toss?\Oikawa! response:	Oikawa-san!
context: Nice, Sakunami!\Futakuchi, get the last!\One touch!\Got it! Makki!\Got it!\The wing spiker, 3, did the toss?\Oikawa!\Oikawa-san! response:	Don't mind!
context: Futakuchi, get the last!\One touch!\Got it! Makki!\Got it!\The wing spiker, 3, did the toss?\Oikawa!\Oikawa-san!\Don't mind! response:	Kogane, nice block!
context: One touch!\Got it! Makki!\Got it!\The wing spiker, 3, did the toss?\Oikawa!\Oikawa-san!\Don't mind!\Kogane, nice block! response:	Learn to hold back, you idiot!
context: Got it! Makki!\Got it!\The wing spiker, 3, did the toss?\Oikawa!\Oikawa-san!\Don't mind!\Kogane, nice block!\Learn to hold back, you idiot! response:	Right! Sorry!
context: Got it!\The wing spiker, 3, did the toss?\Oikawa!\Oikawa-san!\Don't mind!\Kogane, nice block!\Learn to hold back, you idiot!\Right! Sorry! response:	Are you okay, Futakuchi-senpai?
context: The wing spiker, 3, did the toss?\Oikawa!\Oikawa-san!\Don't mind!\Kogane, nice block!\Learn to hold back, you idiot!\Right! Sorry!\Are you okay, Futakuchi-senpai? response:	No, I'm not! That's why I'm telling you to learn to hold back!
context: Oikawa!\Oikawa-san!\Don't mind!\Kogane, nice block!\Learn to hold back, you idiot!\Right! Sorry!\Are you okay, Futakuchi-senpai?\No, I'm not! That's why I'm telling you to learn to hold back! response:	It's my fault for not being able to brace it better.
context: Oikawa-san!\Don't mind!\Kogane, nice block!\Learn to hold back, you idiot!\Right! Sorry!\Are you okay, Futakuchi-senpai?\No, I'm not! That's why I'm telling you to learn to hold back!\It's my fault for not being able to brace it better. response:	That was fine.
context: Don't mind!\Kogane, nice block!\Learn to hold back, you idiot!\Right! Sorry!\Are you okay, Futakuchi-senpai?\No, I'm not! That's why I'm telling you to learn to hold back!\It's my fault for not being able to brace it better.\That was fine. response:	Right.
context: Kogane, nice block!\Learn to hold back, you idiot!\Right! Sorry!\Are you okay, Futakuchi-senpai?\No, I'm not! That's why I'm telling you to learn to hold back!\It's my fault for not being able to brace it better.\That was fine.\Right. response:	That is...
context: Learn to hold back, you idiot!\Right! Sorry!\Are you okay, Futakuchi-senpai?\No, I'm not! That's why I'm telling you to learn to hold back!\It's my fault for not being able to brace it better.\That was fine.\Right.\That is... response:	Koganegawa.
context: Right! Sorry!\Are you okay, Futakuchi-senpai?\No, I'm not! That's why I'm telling you to learn to hold back!\It's my fault for not being able to brace it better.\That was fine.\Right.\That is...\Koganegawa. response:	New...
context: Are you okay, Futakuchi-senpai?\No, I'm not! That's why I'm telling you to learn to hold back!\It's my fault for not being able to brace it better.\That was fine.\Right.\That is...\Koganegawa.\New... response:	He reworded it because it didn't work out so well earlier.
context: No, I'm not! That's why I'm telling you to learn to hold back!\It's my fault for not being able to brace it better.\That was fine.\Right.\That is...\Koganegawa.\New...\He reworded it because it didn't work out so well earlier. response:	Looks like we're up against an annoying team again.
context: It's my fault for not being able to brace it better.\That was fine.\Right.\That is...\Koganegawa.\New...\He reworded it because it didn't work out so well earlier.\Looks like we're up against an annoying team again. response:	Honestly, that was sort of refreshing.
context: That was fine.\Right.\That is...\Koganegawa.\New...\He reworded it because it didn't work out so well earlier.\Looks like we're up against an annoying team again.\Honestly, that was sort of refreshing. response:	True.
context: Right.\That is...\Koganegawa.\New...\He reworded it because it didn't work out so well earlier.\Looks like we're up against an annoying team again.\Honestly, that was sort of refreshing.\True. response:	I can hear you.
context: That is...\Koganegawa.\New...\He reworded it because it didn't work out so well earlier.\Looks like we're up against an annoying team again.\Honestly, that was sort of refreshing.\True.\I can hear you. response:	Now, then... What to do?
context: Koganegawa.\New...\He reworded it because it didn't work out so well earlier.\Looks like we're up against an annoying team again.\Honestly, that was sort of refreshing.\True.\I can hear you.\Now, then... What to do? response:	Nice receive!
context: New...\He reworded it because it didn't work out so well earlier.\Looks like we're up against an annoying team again.\Honestly, that was sort of refreshing.\True.\I can hear you.\Now, then... What to do?\Nice receive! response:	Got it!
context: He reworded it because it didn't work out so well earlier.\Looks like we're up against an annoying team again.\Honestly, that was sort of refreshing.\True.\I can hear you.\Now, then... What to do?\Nice receive!\Got it! response:	Kindaichi!
context: Looks like we're up against an annoying team again.\Honestly, that was sort of refreshing.\True.\I can hear you.\Now, then... What to do?\Nice receive!\Got it!\Kindaichi! response:	A counter!
context: Honestly, that was sort of refreshing.\True.\I can hear you.\Now, then... What to do?\Nice receive!\Got it!\Kindaichi!\A counter! response:	All right!
context: True.\I can hear you.\Now, then... What to do?\Nice receive!\Got it!\Kindaichi!\A counter!\All right! response:	I guess it's to be expected.
context: I can hear you.\Now, then... What to do?\Nice receive!\Got it!\Kindaichi!\A counter!\All right!\I guess it's to be expected. response:	Seriously! You're totally obvious!
context: Now, then... What to do?\Nice receive!\Got it!\Kindaichi!\A counter!\All right!\I guess it's to be expected.\Seriously! You're totally obvious! response:	Sorry! But a dump is so cool that I wanted to try it!
context: Nice receive!\Got it!\Kindaichi!\A counter!\All right!\I guess it's to be expected.\Seriously! You're totally obvious!\Sorry! But a dump is so cool that I wanted to try it! response:	And that's why he's so obvious...
context: Got it!\Kindaichi!\A counter!\All right!\I guess it's to be expected.\Seriously! You're totally obvious!\Sorry! But a dump is so cool that I wanted to try it!\And that's why he's so obvious... response:	Look, you don't need to feint when you do a dump attack.
context: Kindaichi!\A counter!\All right!\I guess it's to be expected.\Seriously! You're totally obvious!\Sorry! But a dump is so cool that I wanted to try it!\And that's why he's so obvious...\Look, you don't need to feint when you do a dump attack. response:	Huh?
context: A counter!\All right!\I guess it's to be expected.\Seriously! You're totally obvious!\Sorry! But a dump is so cool that I wanted to try it!\And that's why he's so obvious...\Look, you don't need to feint when you do a dump attack.\Huh? response:	What?
context: All right!\I guess it's to be expected.\Seriously! You're totally obvious!\Sorry! But a dump is so cool that I wanted to try it!\And that's why he's so obvious...\Look, you don't need to feint when you do a dump attack.\Huh?\What? response:	Date Tech Aoba Johsai
context: I guess it's to be expected.\Seriously! You're totally obvious!\Sorry! But a dump is so cool that I wanted to try it!\And that's why he's so obvious...\Look, you don't need to feint when you do a dump attack.\Huh?\What?\Date Tech Aoba Johsai response:	Nice serve!
context: Seriously! You're totally obvious!\Sorry! But a dump is so cool that I wanted to try it!\And that's why he's so obvious...\Look, you don't need to feint when you do a dump attack.\Huh?\What?\Date Tech Aoba Johsai\Nice serve! response:	Oikawa-san, nice serve!
context: Sorry! But a dump is so cool that I wanted to try it!\And that's why he's so obvious...\Look, you don't need to feint when you do a dump attack.\Huh?\What?\Date Tech Aoba Johsai\Nice serve!\Oikawa-san, nice serve! response:	Rule the Court
context: And that's why he's so obvious...\Look, you don't need to feint when you do a dump attack.\Huh?\What?\Date Tech Aoba Johsai\Nice serve!\Oikawa-san, nice serve!\Rule the Court response:	All right!
context: Look, you don't need to feint when you do a dump attack.\Huh?\What?\Date Tech Aoba Johsai\Nice serve!\Oikawa-san, nice serve!\Rule the Court\All right! response:	Great, great, Toru! Push it, push it, Toru! One more time!
context: Huh?\What?\Date Tech Aoba Johsai\Nice serve!\Oikawa-san, nice serve!\Rule the Court\All right!\Great, great, Toru! Push it, push it, Toru! One more time! response:	It looks like Seijoh has the upper hand.
context: What?\Date Tech Aoba Johsai\Nice serve!\Oikawa-san, nice serve!\Rule the Court\All right!\Great, great, Toru! Push it, push it, Toru! One more time!\It looks like Seijoh has the upper hand. response:	Date Tech is still flailing around.
context: Date Tech Aoba Johsai\Nice serve!\Oikawa-san, nice serve!\Rule the Court\All right!\Great, great, Toru! Push it, push it, Toru! One more time!\It looks like Seijoh has the upper hand.\Date Tech is still flailing around. response:	Once their giant setter settles, I'm sure he'll be an amazing weapon.
context: Nice serve!\Oikawa-san, nice serve!\Rule the Court\All right!\Great, great, Toru! Push it, push it, Toru! One more time!\It looks like Seijoh has the upper hand.\Date Tech is still flailing around.\Once their giant setter settles, I'm sure he'll be an amazing weapon. response:	Oikawa, one more nice serve!
context: Oikawa-san, nice serve!\Rule the Court\All right!\Great, great, Toru! Push it, push it, Toru! One more time!\It looks like Seijoh has the upper hand.\Date Tech is still flailing around.\Once their giant setter settles, I'm sure he'll be an amazing weapon.\Oikawa, one more nice serve! response:	Damn it!
context: Rule the Court\All right!\Great, great, Toru! Push it, push it, Toru! One more time!\It looks like Seijoh has the upper hand.\Date Tech is still flailing around.\Once their giant setter settles, I'm sure he'll be an amazing weapon.\Oikawa, one more nice serve!\Damn it! response:	It's going over the net!
context: All right!\Great, great, Toru! Push it, push it, Toru! One more time!\It looks like Seijoh has the upper hand.\Date Tech is still flailing around.\Once their giant setter settles, I'm sure he'll be an amazing weapon.\Oikawa, one more nice serve!\Damn it!\It's going over the net! response:	Chance ball!
