context: And now for the final exercise! response:	Swing your arms out wide,
context: Ram-chi, that was cold.\Ram-chi, that was mean.\Ram-chi, you're scary.\Did you teach these children to call me that?\Well, it was more like...\I wanted to spread some friendliness around?\I don't mind, but what about Rem?\Rem-rin? response:	Rem-rin?
context: Ram-chi, that was mean.\Ram-chi, you're scary.\Did you teach these children to call me that?\Well, it was more like...\I wanted to spread some friendliness around?\I don't mind, but what about Rem?\Rem-rin?\Rem-rin? response:	Rem-rin-rin?
context: Ram-chi, you're scary.\Did you teach these children to call me that?\Well, it was more like...\I wanted to spread some friendliness around?\I don't mind, but what about Rem?\Rem-rin?\Rem-rin?\Rem-rin-rin? response:	And? Did you enjoy the village trip you wanted so much?
context: Did you teach these children to call me that?\Well, it was more like...\I wanted to spread some friendliness around?\I don't mind, but what about Rem?\Rem-rin?\Rem-rin?\Rem-rin-rin?\And? Did you enjoy the village trip you wanted so much? response:	Nothing to worry about there.
context: Well, it was more like...\I wanted to spread some friendliness around?\I don't mind, but what about Rem?\Rem-rin?\Rem-rin?\Rem-rin-rin?\And? Did you enjoy the village trip you wanted so much?\Nothing to worry about there. response:	When Muraosa patted my shoulder at the end, my trip was complete.
context: I wanted to spread some friendliness around?\I don't mind, but what about Rem?\Rem-rin?\Rem-rin?\Rem-rin-rin?\And? Did you enjoy the village trip you wanted so much?\Nothing to worry about there.\When Muraosa patted my shoulder at the end, my trip was complete. response:	What's up?
context: I don't mind, but what about Rem?\Rem-rin?\Rem-rin?\Rem-rin-rin?\And? Did you enjoy the village trip you wanted so much?\Nothing to worry about there.\When Muraosa patted my shoulder at the end, my trip was complete.\What's up? response:	If you wanna say something, out with it.
context: Rem-rin?\Rem-rin?\Rem-rin-rin?\And? Did you enjoy the village trip you wanted so much?\Nothing to worry about there.\When Muraosa patted my shoulder at the end, my trip was complete.\What's up?\If you wanna say something, out with it. response:	U-Um...
context: Rem-rin?\Rem-rin-rin?\And? Did you enjoy the village trip you wanted so much?\Nothing to worry about there.\When Muraosa patted my shoulder at the end, my trip was complete.\What's up?\If you wanna say something, out with it.\U-Um... response:	Over there.
context: Rem-rin-rin?\And? Did you enjoy the village trip you wanted so much?\Nothing to worry about there.\When Muraosa patted my shoulder at the end, my trip was complete.\What's up?\If you wanna say something, out with it.\U-Um...\Over there. response:	Have your way a bit longer.
context: And? Did you enjoy the village trip you wanted so much?\Nothing to worry about there.\When Muraosa patted my shoulder at the end, my trip was complete.\What's up?\If you wanna say something, out with it.\U-Um...\Over there.\Have your way a bit longer. response:	If you say so, Sister.
context: Nothing to worry about there.\When Muraosa patted my shoulder at the end, my trip was complete.\What's up?\If you wanna say something, out with it.\U-Um...\Over there.\Have your way a bit longer.\If you say so, Sister. response:	All right! I owe you both, Senpai!
context: When Muraosa patted my shoulder at the end, my trip was complete.\What's up?\If you wanna say something, out with it.\U-Um...\Over there.\Have your way a bit longer.\If you say so, Sister.\All right! I owe you both, Senpai! response:	That's right, there was an event like this, too.
context: What's up?\If you wanna say something, out with it.\U-Um...\Over there.\Have your way a bit longer.\If you say so, Sister.\All right! I owe you both, Senpai!\That's right, there was an event like this, too. response:	And this still happens?
context: If you wanna say something, out with it.\U-Um...\Over there.\Have your way a bit longer.\If you say so, Sister.\All right! I owe you both, Senpai!\That's right, there was an event like this, too.\And this still happens? response:	She's usually so tame.
context: U-Um...\Over there.\Have your way a bit longer.\If you say so, Sister.\All right! I owe you both, Senpai!\That's right, there was an event like this, too.\And this still happens?\She's usually so tame. response:	She only gets mad at Subaru.
context: Over there.\Have your way a bit longer.\If you say so, Sister.\All right! I owe you both, Senpai!\That's right, there was an event like this, too.\And this still happens?\She's usually so tame.\She only gets mad at Subaru. response:	What'd you do to her, Subaru?
context: Have your way a bit longer.\If you say so, Sister.\All right! I owe you both, Senpai!\That's right, there was an event like this, too.\And this still happens?\She's usually so tame.\She only gets mad at Subaru.\What'd you do to her, Subaru? response:	That's what I'd like to know.
context: If you say so, Sister.\All right! I owe you both, Senpai!\That's right, there was an event like this, too.\And this still happens?\She's usually so tame.\She only gets mad at Subaru.\What'd you do to her, Subaru?\That's what I'd like to know. response:	If it's happened three times, I guess we're just incompatible...
context: All right! I owe you both, Senpai!\That's right, there was an event like this, too.\And this still happens?\She's usually so tame.\She only gets mad at Subaru.\What'd you do to her, Subaru?\That's what I'd like to know.\If it's happened three times, I guess we're just incompatible... response:	Oh, now's my chance!
context: That's right, there was an event like this, too.\And this still happens?\She's usually so tame.\She only gets mad at Subaru.\What'd you do to her, Subaru?\That's what I'd like to know.\If it's happened three times, I guess we're just incompatible...\Oh, now's my chance! response:	If you'll excuse me...
context: And this still happens?\She's usually so tame.\She only gets mad at Subaru.\What'd you do to her, Subaru?\That's what I'd like to know.\If it's happened three times, I guess we're just incompatible...\Oh, now's my chance!\If you'll excuse me... response:	There's the sensation I've longed to feel!
context: She's usually so tame.\She only gets mad at Subaru.\What'd you do to her, Subaru?\That's what I'd like to know.\If it's happened three times, I guess we're just incompatible...\Oh, now's my chance!\If you'll excuse me...\There's the sensation I've longed to feel! response:	Nice! For a stray, this is great!
context: She only gets mad at Subaru.\What'd you do to her, Subaru?\That's what I'd like to know.\If it's happened three times, I guess we're just incompatible...\Oh, now's my chance!\If you'll excuse me...\There's the sensation I've longed to feel!\Nice! For a stray, this is great! response:	Hey, you have a bald spot on your head.
context: What'd you do to her, Subaru?\That's what I'd like to know.\If it's happened three times, I guess we're just incompatible...\Oh, now's my chance!\If you'll excuse me...\There's the sensation I've longed to feel!\Nice! For a stray, this is great!\Hey, you have a bald spot on your head. response:	A scar? What did you walk int
context: That's what I'd like to know.\If it's happened three times, I guess we're just incompatible...\Oh, now's my chance!\If you'll excuse me...\There's the sensation I've longed to feel!\Nice! For a stray, this is great!\Hey, you have a bald spot on your head.\A scar? What did you walk int response:	Yow!
context: If it's happened three times, I guess we're just incompatible...\Oh, now's my chance!\If you'll excuse me...\There's the sensation I've longed to feel!\Nice! For a stray, this is great!\Hey, you have a bald spot on your head.\A scar? What did you walk int\Yow! response:	You even bit me in nearly the same spot...
context: Oh, now's my chance!\If you'll excuse me...\There's the sensation I've longed to feel!\Nice! For a stray, this is great!\Hey, you have a bald spot on your head.\A scar? What did you walk int\Yow!\You even bit me in nearly the same spot... response:	Are you a time traveler?
context: If you'll excuse me...\There's the sensation I've longed to feel!\Nice! For a stray, this is great!\Hey, you have a bald spot on your head.\A scar? What did you walk int\Yow!\You even bit me in nearly the same spot...\Are you a time traveler? response:	You got carried away!
context: There's the sensation I've longed to feel!\Nice! For a stray, this is great!\Hey, you have a bald spot on your head.\A scar? What did you walk int\Yow!\You even bit me in nearly the same spot...\Are you a time traveler?\You got carried away! response:	It's what you get for touching her so much.
context: Nice! For a stray, this is great!\Hey, you have a bald spot on your head.\A scar? What did you walk int\Yow!\You even bit me in nearly the same spot...\Are you a time traveler?\You got carried away!\It's what you get for touching her so much. response:	She is a girl, after all.
context: Hey, you have a bald spot on your head.\A scar? What did you walk int\Yow!\You even bit me in nearly the same spot...\Are you a time traveler?\You got carried away!\It's what you get for touching her so much.\She is a girl, after all. response:	I don't think that's quite the problem here.
context: A scar? What did you walk int\Yow!\You even bit me in nearly the same spot...\Are you a time traveler?\You got carried away!\It's what you get for touching her so much.\She is a girl, after all.\I don't think that's quite the problem here. response:	Also, no one's worried about me?
context: Yow!\You even bit me in nearly the same spot...\Are you a time traveler?\You got carried away!\It's what you get for touching her so much.\She is a girl, after all.\I don't think that's quite the problem here.\Also, no one's worried about me? response:	I'm gonna cry!
context: You even bit me in nearly the same spot...\Are you a time traveler?\You got carried away!\It's what you get for touching her so much.\She is a girl, after all.\I don't think that's quite the problem here.\Also, no one's worried about me?\I'm gonna cry! response:	I made it... I made it!
context: Are you a time traveler?\You got carried away!\It's what you get for touching her so much.\She is a girl, after all.\I don't think that's quite the problem here.\Also, no one's worried about me?\I'm gonna cry!\I made it... I made it! response:	Well done, me! Good job!
context: You got carried away!\It's what you get for touching her so much.\She is a girl, after all.\I don't think that's quite the problem here.\Also, no one's worried about me?\I'm gonna cry!\I made it... I made it!\Well done, me! Good job! response:	Seriously, good job!
context: It's what you get for touching her so much.\She is a girl, after all.\I don't think that's quite the problem here.\Also, no one's worried about me?\I'm gonna cry!\I made it... I made it!\Well done, me! Good job!\Seriously, good job! response:	Yes, yes, well done.
context: She is a girl, after all.\I don't think that's quite the problem here.\Also, no one's worried about me?\I'm gonna cry!\I made it... I made it!\Well done, me! Good job!\Seriously, good job!\Yes, yes, well done. response:	Yes, yes, good work.
context: I don't think that's quite the problem here.\Also, no one's worried about me?\I'm gonna cry!\I made it... I made it!\Well done, me! Good job!\Seriously, good job!\Yes, yes, well done.\Yes, yes, good work. response:	Ah, I see the three of you are together.
context: Also, no one's worried about me?\I'm gonna cry!\I made it... I made it!\Well done, me! Good job!\Seriously, good job!\Yes, yes, well done.\Yes, yes, good work.\Ah, I see the three of you are together. response:	That will save me some time.
context: I'm gonna cry!\I made it... I made it!\Well done, me! Good job!\Seriously, good job!\Yes, yes, well done.\Yes, yes, good work.\Ah, I see the three of you are together.\That will save me some time. response:	Roswaal-sama.
context: I made it... I made it!\Well done, me! Good job!\Seriously, good job!\Yes, yes, well done.\Yes, yes, good work.\Ah, I see the three of you are together.\That will save me some time.\Roswaal-sama. response:	Formal clothes?
context: Well done, me! Good job!\Seriously, good job!\Yes, yes, well done.\Yes, yes, good work.\Ah, I see the three of you are together.\That will save me some time.\Roswaal-sama.\Formal clothes? response:	Well spotted.
context: Seriously, good job!\Yes, yes, well done.\Yes, yes, good work.\Ah, I see the three of you are together.\That will save me some time.\Roswaal-sama.\Formal clothes?\Well spotted. response:	I'm seeing someone who's a hassle to deal with in normal attire,
context: Yes, yes, well done.\Yes, yes, good work.\Ah, I see the three of you are together.\That will save me some time.\Roswaal-sama.\Formal clothes?\Well spotted.\I'm seeing someone who's a hassle to deal with in normal attire, response:	so I had no choice but to wear dress clothes.
context: Yes, yes, good work.\Ah, I see the three of you are together.\That will save me some time.\Roswaal-sama.\Formal clothes?\Well spotted.\I'm seeing someone who's a hassle to deal with in normal attire,\so I had no choice but to wear dress clothes. response:	A visitor?
context: Ah, I see the three of you are together.\That will save me some time.\Roswaal-sama.\Formal clothes?\Well spotted.\I'm seeing someone who's a hassle to deal with in normal attire,\so I had no choice but to wear dress clothes.\A visitor? response:	You're going out?
context: That will save me some time.\Roswaal-sama.\Formal clothes?\Well spotted.\I'm seeing someone who's a hassle to deal with in normal attire,\so I had no choice but to wear dress clothes.\A visitor?\You're going out? response:	Ram is correct. I'm going out.
context: Roswaal-sama.\Formal clothes?\Well spotted.\I'm seeing someone who's a hassle to deal with in normal attire,\so I had no choice but to wear dress clothes.\A visitor?\You're going out?\Ram is correct. I'm going out. response:	I received a message that was a tad troublesome...
context: Formal clothes?\Well spotted.\I'm seeing someone who's a hassle to deal with in normal attire,\so I had no choice but to wear dress clothes.\A visitor?\You're going out?\Ram is correct. I'm going out.\I received a message that was a tad troublesome... response:	So I'm off to make the rounds outside.
context: Well spotted.\I'm seeing someone who's a hassle to deal with in normal attire,\so I had no choice but to wear dress clothes.\A visitor?\You're going out?\Ram is correct. I'm going out.\I received a message that was a tad troublesome...\So I'm off to make the rounds outside. response:	I do not expect to be home tonight.
context: I'm seeing someone who's a hassle to deal with in normal attire,\so I had no choice but to wear dress clothes.\A visitor?\You're going out?\Ram is correct. I'm going out.\I received a message that was a tad troublesome...\So I'm off to make the rounds outside.\I do not expect to be home tonight. response:	So, Ram and Rem, take care of things.
context: so I had no choice but to wear dress clothes.\A visitor?\You're going out?\Ram is correct. I'm going out.\I received a message that was a tad troublesome...\So I'm off to make the rounds outside.\I do not expect to be home tonight.\So, Ram and Rem, take care of things. response:	Yes, sir. As you command.
context: A visitor?\You're going out?\Ram is correct. I'm going out.\I received a message that was a tad troublesome...\So I'm off to make the rounds outside.\I do not expect to be home tonight.\So, Ram and Rem, take care of things.\Yes, sir. As you command. response:	Yes, sir. Even if it costs our lives.
context: You're going out?\Ram is correct. I'm going out.\I received a message that was a tad troublesome...\So I'm off to make the rounds outside.\I do not expect to be home tonight.\So, Ram and Rem, take care of things.\Yes, sir. As you command.\Yes, sir. Even if it costs our lives. response:	Roswaal didn't leave the mansion before...
context: Ram is correct. I'm going out.\I received a message that was a tad troublesome...\So I'm off to make the rounds outside.\I do not expect to be home tonight.\So, Ram and Rem, take care of things.\Yes, sir. As you command.\Yes, sir. Even if it costs our lives.\Roswaal didn't leave the mansion before... response:	I'll also be counting on you, Subaru-kun.
context: I received a message that was a tad troublesome...\So I'm off to make the rounds outside.\I do not expect to be home tonight.\So, Ram and Rem, take care of things.\Yes, sir. As you command.\Yes, sir. Even if it costs our lives.\Roswaal didn't leave the mansion before...\I'll also be counting on you, Subaru-kun. response:	Take good care of Emilia-sama.
context: So I'm off to make the rounds outside.\I do not expect to be home tonight.\So, Ram and Rem, take care of things.\Yes, sir. As you command.\Yes, sir. Even if it costs our lives.\Roswaal didn't leave the mansion before...\I'll also be counting on you, Subaru-kun.\Take good care of Emilia-sama. response:	Sure, you can definitely count on me for that!
context: I do not expect to be home tonight.\So, Ram and Rem, take care of things.\Yes, sir. As you command.\Yes, sir. Even if it costs our lives.\Roswaal didn't leave the mansion before...\I'll also be counting on you, Subaru-kun.\Take good care of Emilia-sama.\Sure, you can definitely count on me for that! response:	Then, look after things while I'm away.
context: So, Ram and Rem, take care of things.\Yes, sir. As you command.\Yes, sir. Even if it costs our lives.\Roswaal didn't leave the mansion before...\I'll also be counting on you, Subaru-kun.\Take good care of Emilia-sama.\Sure, you can definitely count on me for that!\Then, look after things while I'm away. response:	H-He can fly?
context: Yes, sir. As you command.\Yes, sir. Even if it costs our lives.\Roswaal didn't leave the mansion before...\I'll also be counting on you, Subaru-kun.\Take good care of Emilia-sama.\Sure, you can definitely count on me for that!\Then, look after things while I'm away.\H-He can fly? response:	Magic is incredible...
context: Yes, sir. Even if it costs our lives.\Roswaal didn't leave the mansion before...\I'll also be counting on you, Subaru-kun.\Take good care of Emilia-sama.\Sure, you can definitely count on me for that!\Then, look after things while I'm away.\H-He can fly?\Magic is incredible... response:	The difference in circumstances
context: Roswaal didn't leave the mansion before...\I'll also be counting on you, Subaru-kun.\Take good care of Emilia-sama.\Sure, you can definitely count on me for that!\Then, look after things while I'm away.\H-He can fly?\Magic is incredible...\The difference in circumstances response:	must have been triggered by my visit to the village.
context: I'll also be counting on you, Subaru-kun.\Take good care of Emilia-sama.\Sure, you can definitely count on me for that!\Then, look after things while I'm away.\H-He can fly?\Magic is incredible...\The difference in circumstances\must have been triggered by my visit to the village. response:	That means my strategy of acting as a decoy is working as planned.
context: Take good care of Emilia-sama.\Sure, you can definitely count on me for that!\Then, look after things while I'm away.\H-He can fly?\Magic is incredible...\The difference in circumstances\must have been triggered by my visit to the village.\That means my strategy of acting as a decoy is working as planned. response:	And that's why I'm here for my long-awaited Beako time!
context: Sure, you can definitely count on me for that!\Then, look after things while I'm away.\H-He can fly?\Magic is incredible...\The difference in circumstances\must have been triggered by my visit to the village.\That means my strategy of acting as a decoy is working as planned.\And that's why I'm here for my long-awaited Beako time! response:	Your face looks quite different than it did half a day ago.
context: Then, look after things while I'm away.\H-He can fly?\Magic is incredible...\The difference in circumstances\must have been triggered by my visit to the village.\That means my strategy of acting as a decoy is working as planned.\And that's why I'm here for my long-awaited Beako time!\Your face looks quite different than it did half a day ago. response:	You've been busy, I suppose.
context: H-He can fly?\Magic is incredible...\The difference in circumstances\must have been triggered by my visit to the village.\That means my strategy of acting as a decoy is working as planned.\And that's why I'm here for my long-awaited Beako time!\Your face looks quite different than it did half a day ago.\You've been busy, I suppose. response:	I'd love to take it easy for a change, you know...
context: Magic is incredible...\The difference in circumstances\must have been triggered by my visit to the village.\That means my strategy of acting as a decoy is working as planned.\And that's why I'm here for my long-awaited Beako time!\Your face looks quite different than it did half a day ago.\You've been busy, I suppose.\I'd love to take it easy for a change, you know... response:	But there's something I want you to check out for me.
context: The difference in circumstances\must have been triggered by my visit to the village.\That means my strategy of acting as a decoy is working as planned.\And that's why I'm here for my long-awaited Beako time!\Your face looks quite different than it did half a day ago.\You've been busy, I suppose.\I'd love to take it easy for a change, you know...\But there's something I want you to check out for me. response:	I think I've been cursed. Could you find out for sure?
context: must have been triggered by my visit to the village.\That means my strategy of acting as a decoy is working as planned.\And that's why I'm here for my long-awaited Beako time!\Your face looks quite different than it did half a day ago.\You've been busy, I suppose.\I'd love to take it easy for a change, you know...\But there's something I want you to check out for me.\I think I've been cursed. Could you find out for sure? response:	What are you talking about?
context: That means my strategy of acting as a decoy is working as planned.\And that's why I'm here for my long-awaited Beako time!\Your face looks quite different than it did half a day ago.\You've been busy, I suppose.\I'd love to take it easy for a change, you know...\But there's something I want you to check out for me.\I think I've been cursed. Could you find out for sure?\What are you talking about? response:	I think I've been cursed. Could you find out for sure?
context: And that's why I'm here for my long-awaited Beako time!\Your face looks quite different than it did half a day ago.\You've been busy, I suppose.\I'd love to take it easy for a change, you know...\But there's something I want you to check out for me.\I think I've been cursed. Could you find out for sure?\What are you talking about?\I think I've been cursed. Could you find out for sure? response:	No one asked you to repeat yourself, I suppose!
context: Your face looks quite different than it did half a day ago.\You've been busy, I suppose.\I'd love to take it easy for a change, you know...\But there's something I want you to check out for me.\I think I've been cursed. Could you find out for sure?\What are you talking about?\I think I've been cursed. Could you find out for sure?\No one asked you to repeat yourself, I suppose! response:	It's only been half a day since I told you about shamans.
context: You've been busy, I suppose.\I'd love to take it easy for a change, you know...\But there's something I want you to check out for me.\I think I've been cursed. Could you find out for sure?\What are you talking about?\I think I've been cursed. Could you find out for sure?\No one asked you to repeat yourself, I suppose!\It's only been half a day since I told you about shamans. response:	You're far too impressionabl
context: I'd love to take it easy for a change, you know...\But there's something I want you to check out for me.\I think I've been cursed. Could you find out for sure?\What are you talking about?\I think I've been cursed. Could you find out for sure?\No one asked you to repeat yourself, I suppose!\It's only been half a day since I told you about shamans.\You're far too impressionabl response:	Traces of a curse...
context: But there's something I want you to check out for me.\I think I've been cursed. Could you find out for sure?\What are you talking about?\I think I've been cursed. Could you find out for sure?\No one asked you to repeat yourself, I suppose!\It's only been half a day since I told you about shamans.\You're far too impressionabl\Traces of a curse... response:	You really have been cursed, I suppose?
context: I think I've been cursed. Could you find out for sure?\What are you talking about?\I think I've been cursed. Could you find out for sure?\No one asked you to repeat yourself, I suppose!\It's only been half a day since I told you about shamans.\You're far too impressionabl\Traces of a curse...\You really have been cursed, I suppose? response:	So the shaman was one of the villagers, after all.
context: What are you talking about?\I think I've been cursed. Could you find out for sure?\No one asked you to repeat yourself, I suppose!\It's only been half a day since I told you about shamans.\You're far too impressionabl\Traces of a curse...\You really have been cursed, I suppose?\So the shaman was one of the villagers, after all. response:	Can you tell what kind of curse it is?
context: I think I've been cursed. Could you find out for sure?\No one asked you to repeat yourself, I suppose!\It's only been half a day since I told you about shamans.\You're far too impressionabl\Traces of a curse...\You really have been cursed, I suppose?\So the shaman was one of the villagers, after all.\Can you tell what kind of curse it is? response:	I can't say just from looking at the curse.
context: No one asked you to repeat yourself, I suppose!\It's only been half a day since I told you about shamans.\You're far too impressionabl\Traces of a curse...\You really have been cursed, I suppose?\So the shaman was one of the villagers, after all.\Can you tell what kind of curse it is?\I can't say just from looking at the curse. response:	But as I told you, once it's activated,
context: It's only been half a day since I told you about shamans.\You're far too impressionabl\Traces of a curse...\You really have been cursed, I suppose?\So the shaman was one of the villagers, after all.\Can you tell what kind of curse it is?\I can't say just from looking at the curse.\But as I told you, once it's activated, response:	chances are you'll die, I suppose.
context: You're far too impressionabl\Traces of a curse...\You really have been cursed, I suppose?\So the shaman was one of the villagers, after all.\Can you tell what kind of curse it is?\I can't say just from looking at the curse.\But as I told you, once it's activated,\chances are you'll die, I suppose. response:	You don't seem to be afraid of dying at all.
context: Traces of a curse...\You really have been cursed, I suppose?\So the shaman was one of the villagers, after all.\Can you tell what kind of curse it is?\I can't say just from looking at the curse.\But as I told you, once it's activated,\chances are you'll die, I suppose.\You don't seem to be afraid of dying at all. response:	Huh? Are you nuts?
context: You really have been cursed, I suppose?\So the shaman was one of the villagers, after all.\Can you tell what kind of curse it is?\I can't say just from looking at the curse.\But as I told you, once it's activated,\chances are you'll die, I suppose.\You don't seem to be afraid of dying at all.\Huh? Are you nuts? response:	I'm insanely scared of dying!
context: So the shaman was one of the villagers, after all.\Can you tell what kind of curse it is?\I can't say just from looking at the curse.\But as I told you, once it's activated,\chances are you'll die, I suppose.\You don't seem to be afraid of dying at all.\Huh? Are you nuts?\I'm insanely scared of dying! response:	There's nothing in the world that scares me more than dying.
context: Can you tell what kind of curse it is?\I can't say just from looking at the curse.\But as I told you, once it's activated,\chances are you'll die, I suppose.\You don't seem to be afraid of dying at all.\Huh? Are you nuts?\I'm insanely scared of dying!\There's nothing in the world that scares me more than dying. response:	I wish people who say I'd rather die would actually die before they say it.
context: I can't say just from looking at the curse.\But as I told you, once it's activated,\chances are you'll die, I suppose.\You don't seem to be afraid of dying at all.\Huh? Are you nuts?\I'm insanely scared of dying!\There's nothing in the world that scares me more than dying.\I wish people who say I'd rather die would actually die before they say it. response:	That's why, this time, I'll find a way out...
context: But as I told you, once it's activated,\chances are you'll die, I suppose.\You don't seem to be afraid of dying at all.\Huh? Are you nuts?\I'm insanely scared of dying!\There's nothing in the world that scares me more than dying.\I wish people who say I'd rather die would actually die before they say it.\That's why, this time, I'll find a way out... response:	of this fate.
context: chances are you'll die, I suppose.\You don't seem to be afraid of dying at all.\Huh? Are you nuts?\I'm insanely scared of dying!\There's nothing in the world that scares me more than dying.\I wish people who say I'd rather die would actually die before they say it.\That's why, this time, I'll find a way out...\of this fate. response:	Okay, so get rid of this curse for me, would you?
context: You don't seem to be afraid of dying at all.\Huh? Are you nuts?\I'm insanely scared of dying!\There's nothing in the world that scares me more than dying.\I wish people who say I'd rather die would actually die before they say it.\That's why, this time, I'll find a way out...\of this fate.\Okay, so get rid of this curse for me, would you? response:	I don't have much time.
context: Huh? Are you nuts?\I'm insanely scared of dying!\There's nothing in the world that scares me more than dying.\I wish people who say I'd rather die would actually die before they say it.\That's why, this time, I'll find a way out...\of this fate.\Okay, so get rid of this curse for me, would you?\I don't have much time. response:	Why should I have to save your life, I suppose?
context: I'm insanely scared of dying!\There's nothing in the world that scares me more than dying.\I wish people who say I'd rather die would actually die before they say it.\That's why, this time, I'll find a way out...\of this fate.\Okay, so get rid of this curse for me, would you?\I don't have much time.\Why should I have to save your life, I suppose? response:	I expected an unlovable response like that,
context: There's nothing in the world that scares me more than dying.\I wish people who say I'd rather die would actually die before they say it.\That's why, this time, I'll find a way out...\of this fate.\Okay, so get rid of this curse for me, would you?\I don't have much time.\Why should I have to save your life, I suppose?\I expected an unlovable response like that, response:	so I came prepared to convince you.
context: I wish people who say I'd rather die would actually die before they say it.\That's why, this time, I'll find a way out...\of this fate.\Okay, so get rid of this curse for me, would you?\I don't have much time.\Why should I have to save your life, I suppose?\I expected an unlovable response like that,\so I came prepared to convince you. response:	If I die, Puck is bound to be sad.
