context: How awful... response:	Those locusts must've eaten up all the rice before it was harvested.
context: That's funny. I've been to the mountains in the fall before.\Why am I so amazed now?\Guess I was too busy trying to stay alive to notice when I was on my own.\I'm going to eat one too.\Is this for me?\For you, Dororo.\Bro got me some food...\There are four seasons, you see? Spring, summer, fall, and winter. response:	Right now, it's fall.
context: Why am I so amazed now?\Guess I was too busy trying to stay alive to notice when I was on my own.\I'm going to eat one too.\Is this for me?\For you, Dororo.\Bro got me some food...\There are four seasons, you see? Spring, summer, fall, and winter.\Right now, it's fall. response:	In the fall, the mountains turn bright red.
context: Guess I was too busy trying to stay alive to notice when I was on my own.\I'm going to eat one too.\Is this for me?\For you, Dororo.\Bro got me some food...\There are four seasons, you see? Spring, summer, fall, and winter.\Right now, it's fall.\In the fall, the mountains turn bright red. response:	But not red like the color of demons, I don't think.
context: I'm going to eat one too.\Is this for me?\For you, Dororo.\Bro got me some food...\There are four seasons, you see? Spring, summer, fall, and winter.\Right now, it's fall.\In the fall, the mountains turn bright red.\But not red like the color of demons, I don't think. response:	It makes you feel so great just gazing at it.
context: Is this for me?\For you, Dororo.\Bro got me some food...\There are four seasons, you see? Spring, summer, fall, and winter.\Right now, it's fall.\In the fall, the mountains turn bright red.\But not red like the color of demons, I don't think.\It makes you feel so great just gazing at it. response:	That's what you call beautiful.
context: For you, Dororo.\Bro got me some food...\There are four seasons, you see? Spring, summer, fall, and winter.\Right now, it's fall.\In the fall, the mountains turn bright red.\But not red like the color of demons, I don't think.\It makes you feel so great just gazing at it.\That's what you call beautiful. response:	I only just learned about it, too.
context: Bro got me some food...\There are four seasons, you see? Spring, summer, fall, and winter.\Right now, it's fall.\In the fall, the mountains turn bright red.\But not red like the color of demons, I don't think.\It makes you feel so great just gazing at it.\That's what you call beautiful.\I only just learned about it, too. response:	You'll be able to see it some day. I know you will.
context: There are four seasons, you see? Spring, summer, fall, and winter.\Right now, it's fall.\In the fall, the mountains turn bright red.\But not red like the color of demons, I don't think.\It makes you feel so great just gazing at it.\That's what you call beautiful.\I only just learned about it, too.\You'll be able to see it some day. I know you will. response:	Not just mountains. Lots of beautiful stuff like the sun and clouds.
context: Right now, it's fall.\In the fall, the mountains turn bright red.\But not red like the color of demons, I don't think.\It makes you feel so great just gazing at it.\That's what you call beautiful.\I only just learned about it, too.\You'll be able to see it some day. I know you will.\Not just mountains. Lots of beautiful stuff like the sun and clouds. response:	You're just nodding. Are you really listening?
context: In the fall, the mountains turn bright red.\But not red like the color of demons, I don't think.\It makes you feel so great just gazing at it.\That's what you call beautiful.\I only just learned about it, too.\You'll be able to see it some day. I know you will.\Not just mountains. Lots of beautiful stuff like the sun and clouds.\You're just nodding. Are you really listening? response:	I want to hear more. More of your stories.
context: But not red like the color of demons, I don't think.\It makes you feel so great just gazing at it.\That's what you call beautiful.\I only just learned about it, too.\You'll be able to see it some day. I know you will.\Not just mountains. Lots of beautiful stuff like the sun and clouds.\You're just nodding. Are you really listening?\I want to hear more. More of your stories. response:	Bro.
context: It makes you feel so great just gazing at it.\That's what you call beautiful.\I only just learned about it, too.\You'll be able to see it some day. I know you will.\Not just mountains. Lots of beautiful stuff like the sun and clouds.\You're just nodding. Are you really listening?\I want to hear more. More of your stories.\Bro. response:	You've changed.
context: That's what you call beautiful.\I only just learned about it, too.\You'll be able to see it some day. I know you will.\Not just mountains. Lots of beautiful stuff like the sun and clouds.\You're just nodding. Are you really listening?\I want to hear more. More of your stories.\Bro.\You've changed. response:	Yeah, you really have changed.
context: I only just learned about it, too.\You'll be able to see it some day. I know you will.\Not just mountains. Lots of beautiful stuff like the sun and clouds.\You're just nodding. Are you really listening?\I want to hear more. More of your stories.\Bro.\You've changed.\Yeah, you really have changed. response:	You're nothing like when I first met you.
context: You'll be able to see it some day. I know you will.\Not just mountains. Lots of beautiful stuff like the sun and clouds.\You're just nodding. Are you really listening?\I want to hear more. More of your stories.\Bro.\You've changed.\Yeah, you really have changed.\You're nothing like when I first met you. response:	I got a lot of stuff I want to tell you about, too.
context: Not just mountains. Lots of beautiful stuff like the sun and clouds.\You're just nodding. Are you really listening?\I want to hear more. More of your stories.\Bro.\You've changed.\Yeah, you really have changed.\You're nothing like when I first met you.\I got a lot of stuff I want to tell you about, too. response:	But first, let's go beat that demon.
context: You're just nodding. Are you really listening?\I want to hear more. More of your stories.\Bro.\You've changed.\Yeah, you really have changed.\You're nothing like when I first met you.\I got a lot of stuff I want to tell you about, too.\But first, let's go beat that demon. response:	Looking for the demon?
context: I want to hear more. More of your stories.\Bro.\You've changed.\Yeah, you really have changed.\You're nothing like when I first met you.\I got a lot of stuff I want to tell you about, too.\But first, let's go beat that demon.\Looking for the demon? response:	Who are you?
context: Bro.\You've changed.\Yeah, you really have changed.\You're nothing like when I first met you.\I got a lot of stuff I want to tell you about, too.\But first, let's go beat that demon.\Looking for the demon?\Who are you? response:	Hey, relax.
context: You've changed.\Yeah, you really have changed.\You're nothing like when I first met you.\I got a lot of stuff I want to tell you about, too.\But first, let's go beat that demon.\Looking for the demon?\Who are you?\Hey, relax. response:	I came to kill the demon, too.
context: Yeah, you really have changed.\You're nothing like when I first met you.\I got a lot of stuff I want to tell you about, too.\But first, let's go beat that demon.\Looking for the demon?\Who are you?\Hey, relax.\I came to kill the demon, too. response:	I'm Dice-spot Saburota.
context: You're nothing like when I first met you.\I got a lot of stuff I want to tell you about, too.\But first, let's go beat that demon.\Looking for the demon?\Who are you?\Hey, relax.\I came to kill the demon, too.\I'm Dice-spot Saburota. response:	I've been hunting the demon for about 6 months now.
context: I got a lot of stuff I want to tell you about, too.\But first, let's go beat that demon.\Looking for the demon?\Who are you?\Hey, relax.\I came to kill the demon, too.\I'm Dice-spot Saburota.\I've been hunting the demon for about 6 months now. response:	It's a pretty tough beast.
context: But first, let's go beat that demon.\Looking for the demon?\Who are you?\Hey, relax.\I came to kill the demon, too.\I'm Dice-spot Saburota.\I've been hunting the demon for about 6 months now.\It's a pretty tough beast. response:	I've gone after it many times, with only this to show for it.
context: Looking for the demon?\Who are you?\Hey, relax.\I came to kill the demon, too.\I'm Dice-spot Saburota.\I've been hunting the demon for about 6 months now.\It's a pretty tough beast.\I've gone after it many times, with only this to show for it. response:	Why are you so fixed on killing it?
context: Who are you?\Hey, relax.\I came to kill the demon, too.\I'm Dice-spot Saburota.\I've been hunting the demon for about 6 months now.\It's a pretty tough beast.\I've gone after it many times, with only this to show for it.\Why are you so fixed on killing it? response:	It ate my ma.
context: Hey, relax.\I came to kill the demon, too.\I'm Dice-spot Saburota.\I've been hunting the demon for about 6 months now.\It's a pretty tough beast.\I've gone after it many times, with only this to show for it.\Why are you so fixed on killing it?\It ate my ma. response:	Right in front of my eyes.
context: I came to kill the demon, too.\I'm Dice-spot Saburota.\I've been hunting the demon for about 6 months now.\It's a pretty tough beast.\I've gone after it many times, with only this to show for it.\Why are you so fixed on killing it?\It ate my ma.\Right in front of my eyes. response:	Your mama, huh.
context: I'm Dice-spot Saburota.\I've been hunting the demon for about 6 months now.\It's a pretty tough beast.\I've gone after it many times, with only this to show for it.\Why are you so fixed on killing it?\It ate my ma.\Right in front of my eyes.\Your mama, huh. response:	I'll never forget it.
context: I've been hunting the demon for about 6 months now.\It's a pretty tough beast.\I've gone after it many times, with only this to show for it.\Why are you so fixed on killing it?\It ate my ma.\Right in front of my eyes.\Your mama, huh.\I'll never forget it. response:	It's like I've had an empty hole right here ever since that day.
context: It's a pretty tough beast.\I've gone after it many times, with only this to show for it.\Why are you so fixed on killing it?\It ate my ma.\Right in front of my eyes.\Your mama, huh.\I'll never forget it.\It's like I've had an empty hole right here ever since that day. response:	Yeah...
context: I've gone after it many times, with only this to show for it.\Why are you so fixed on killing it?\It ate my ma.\Right in front of my eyes.\Your mama, huh.\I'll never forget it.\It's like I've had an empty hole right here ever since that day.\Yeah... response:	Those arms. I see you've been through a lot with them, too.
context: Why are you so fixed on killing it?\It ate my ma.\Right in front of my eyes.\Your mama, huh.\I'll never forget it.\It's like I've had an empty hole right here ever since that day.\Yeah...\Those arms. I see you've been through a lot with them, too. response:	Must've been pretty frightening.
context: It ate my ma.\Right in front of my eyes.\Your mama, huh.\I'll never forget it.\It's like I've had an empty hole right here ever since that day.\Yeah...\Those arms. I see you've been through a lot with them, too.\Must've been pretty frightening. response:	Let's go, Dororo.
context: Right in front of my eyes.\Your mama, huh.\I'll never forget it.\It's like I've had an empty hole right here ever since that day.\Yeah...\Those arms. I see you've been through a lot with them, too.\Must've been pretty frightening.\Let's go, Dororo. response:	It comes here on certain days.
context: Your mama, huh.\I'll never forget it.\It's like I've had an empty hole right here ever since that day.\Yeah...\Those arms. I see you've been through a lot with them, too.\Must've been pretty frightening.\Let's go, Dororo.\It comes here on certain days. response:	Today is one of them.
context: I'll never forget it.\It's like I've had an empty hole right here ever since that day.\Yeah...\Those arms. I see you've been through a lot with them, too.\Must've been pretty frightening.\Let's go, Dororo.\It comes here on certain days.\Today is one of them. response:	Don't worry, bro is really tough.
context: It's like I've had an empty hole right here ever since that day.\Yeah...\Those arms. I see you've been through a lot with them, too.\Must've been pretty frightening.\Let's go, Dororo.\It comes here on certain days.\Today is one of them.\Don't worry, bro is really tough. response:	He'll avenge your mama.
context: Yeah...\Those arms. I see you've been through a lot with them, too.\Must've been pretty frightening.\Let's go, Dororo.\It comes here on certain days.\Today is one of them.\Don't worry, bro is really tough.\He'll avenge your mama. response:	Yeah, glad to hear that.
context: Those arms. I see you've been through a lot with them, too.\Must've been pretty frightening.\Let's go, Dororo.\It comes here on certain days.\Today is one of them.\Don't worry, bro is really tough.\He'll avenge your mama.\Yeah, glad to hear that. response:	It's coming.
context: Must've been pretty frightening.\Let's go, Dororo.\It comes here on certain days.\Today is one of them.\Don't worry, bro is really tough.\He'll avenge your mama.\Yeah, glad to hear that.\It's coming. response:	What the heck? Its body...
context: Let's go, Dororo.\It comes here on certain days.\Today is one of them.\Don't worry, bro is really tough.\He'll avenge your mama.\Yeah, glad to hear that.\It's coming.\What the heck? Its body... response:	It's a jumble of animal parts.
context: It comes here on certain days.\Today is one of them.\Don't worry, bro is really tough.\He'll avenge your mama.\Yeah, glad to hear that.\It's coming.\What the heck? Its body...\It's a jumble of animal parts. response:	Demon!
context: Today is one of them.\Don't worry, bro is really tough.\He'll avenge your mama.\Yeah, glad to hear that.\It's coming.\What the heck? Its body...\It's a jumble of animal parts.\Demon! response:	Go away!
context: Don't worry, bro is really tough.\He'll avenge your mama.\Yeah, glad to hear that.\It's coming.\What the heck? Its body...\It's a jumble of animal parts.\Demon!\Go away! response:	Bro!
context: He'll avenge your mama.\Yeah, glad to hear that.\It's coming.\What the heck? Its body...\It's a jumble of animal parts.\Demon!\Go away!\Bro! response:	What the heck are you doing?
context: Yeah, glad to hear that.\It's coming.\What the heck? Its body...\It's a jumble of animal parts.\Demon!\Go away!\Bro!\What the heck are you doing? response:	I see you're pretty good.
context: It's coming.\What the heck? Its body...\It's a jumble of animal parts.\Demon!\Go away!\Bro!\What the heck are you doing?\I see you're pretty good. response:	Why are you siding with the demon?
context: What the heck? Its body...\It's a jumble of animal parts.\Demon!\Go away!\Bro!\What the heck are you doing?\I see you're pretty good.\Why are you siding with the demon? response:	Didn't it kill your mama?
context: It's a jumble of animal parts.\Demon!\Go away!\Bro!\What the heck are you doing?\I see you're pretty good.\Why are you siding with the demon?\Didn't it kill your mama? response:	Killing the demon won't bring Ma back.
context: Demon!\Go away!\Bro!\What the heck are you doing?\I see you're pretty good.\Why are you siding with the demon?\Didn't it kill your mama?\Killing the demon won't bring Ma back. response:	So I'm taking others' lives away instead.
context: Go away!\Bro!\What the heck are you doing?\I see you're pretty good.\Why are you siding with the demon?\Didn't it kill your mama?\Killing the demon won't bring Ma back.\So I'm taking others' lives away instead. response:	I let this guy eat up everyone that passes through here.
context: Bro!\What the heck are you doing?\I see you're pretty good.\Why are you siding with the demon?\Didn't it kill your mama?\Killing the demon won't bring Ma back.\So I'm taking others' lives away instead.\I let this guy eat up everyone that passes through here. response:	They all cry and plead for help.
context: What the heck are you doing?\I see you're pretty good.\Why are you siding with the demon?\Didn't it kill your mama?\Killing the demon won't bring Ma back.\So I'm taking others' lives away instead.\I let this guy eat up everyone that passes through here.\They all cry and plead for help. response:	It's only then that I don't feel empty in here.
context: I see you're pretty good.\Why are you siding with the demon?\Didn't it kill your mama?\Killing the demon won't bring Ma back.\So I'm taking others' lives away instead.\I let this guy eat up everyone that passes through here.\They all cry and plead for help.\It's only then that I don't feel empty in here. response:	You...
context: Why are you siding with the demon?\Didn't it kill your mama?\Killing the demon won't bring Ma back.\So I'm taking others' lives away instead.\I let this guy eat up everyone that passes through here.\They all cry and plead for help.\It's only then that I don't feel empty in here.\You... response:	Something is strange at the Hall of Hell.
context: Didn't it kill your mama?\Killing the demon won't bring Ma back.\So I'm taking others' lives away instead.\I let this guy eat up everyone that passes through here.\They all cry and plead for help.\It's only then that I don't feel empty in here.\You...\Something is strange at the Hall of Hell. response:	One of the demon statues lets out something like a heartbeat now and then.
context: Killing the demon won't bring Ma back.\So I'm taking others' lives away instead.\I let this guy eat up everyone that passes through here.\They all cry and plead for help.\It's only then that I don't feel empty in here.\You...\Something is strange at the Hall of Hell.\One of the demon statues lets out something like a heartbeat now and then. response:	It's faint, yet distinct.
context: So I'm taking others' lives away instead.\I let this guy eat up everyone that passes through here.\They all cry and plead for help.\It's only then that I don't feel empty in here.\You...\Something is strange at the Hall of Hell.\One of the demon statues lets out something like a heartbeat now and then.\It's faint, yet distinct. response:	I felt it, plain as day, when the Goddess's head was smashed.
context: I let this guy eat up everyone that passes through here.\They all cry and plead for help.\It's only then that I don't feel empty in here.\You...\Something is strange at the Hall of Hell.\One of the demon statues lets out something like a heartbeat now and then.\It's faint, yet distinct.\I felt it, plain as day, when the Goddess's head was smashed. response:	That among the 12 demons, there was one that failed to eat my son.
context: They all cry and plead for help.\It's only then that I don't feel empty in here.\You...\Something is strange at the Hall of Hell.\One of the demon statues lets out something like a heartbeat now and then.\It's faint, yet distinct.\I felt it, plain as day, when the Goddess's head was smashed.\That among the 12 demons, there was one that failed to eat my son. response:	Now that the Goddess of Mercy is cracked, your deal has been broken off.
context: It's only then that I don't feel empty in here.\You...\Something is strange at the Hall of Hell.\One of the demon statues lets out something like a heartbeat now and then.\It's faint, yet distinct.\I felt it, plain as day, when the Goddess's head was smashed.\That among the 12 demons, there was one that failed to eat my son.\Now that the Goddess of Mercy is cracked, your deal has been broken off. response:	The days of prosperity for this land are over.
context: You...\Something is strange at the Hall of Hell.\One of the demon statues lets out something like a heartbeat now and then.\It's faint, yet distinct.\I felt it, plain as day, when the Goddess's head was smashed.\That among the 12 demons, there was one that failed to eat my son.\Now that the Goddess of Mercy is cracked, your deal has been broken off.\The days of prosperity for this land are over. response:	Bro...?
context: Something is strange at the Hall of Hell.\One of the demon statues lets out something like a heartbeat now and then.\It's faint, yet distinct.\I felt it, plain as day, when the Goddess's head was smashed.\That among the 12 demons, there was one that failed to eat my son.\Now that the Goddess of Mercy is cracked, your deal has been broken off.\The days of prosperity for this land are over.\Bro...? response:	Oh yeah, we fell from that cliff.
context: One of the demon statues lets out something like a heartbeat now and then.\It's faint, yet distinct.\I felt it, plain as day, when the Goddess's head was smashed.\That among the 12 demons, there was one that failed to eat my son.\Now that the Goddess of Mercy is cracked, your deal has been broken off.\The days of prosperity for this land are over.\Bro...?\Oh yeah, we fell from that cliff. response:	That guy...
context: It's faint, yet distinct.\I felt it, plain as day, when the Goddess's head was smashed.\That among the 12 demons, there was one that failed to eat my son.\Now that the Goddess of Mercy is cracked, your deal has been broken off.\The days of prosperity for this land are over.\Bro...?\Oh yeah, we fell from that cliff.\That guy... response:	Dororo.
context: I felt it, plain as day, when the Goddess's head was smashed.\That among the 12 demons, there was one that failed to eat my son.\Now that the Goddess of Mercy is cracked, your deal has been broken off.\The days of prosperity for this land are over.\Bro...?\Oh yeah, we fell from that cliff.\That guy...\Dororo. response:	It's nothing. I'll get up.
context: That among the 12 demons, there was one that failed to eat my son.\Now that the Goddess of Mercy is cracked, your deal has been broken off.\The days of prosperity for this land are over.\Bro...?\Oh yeah, we fell from that cliff.\That guy...\Dororo.\It's nothing. I'll get up. response:	I can't.
context: Now that the Goddess of Mercy is cracked, your deal has been broken off.\The days of prosperity for this land are over.\Bro...?\Oh yeah, we fell from that cliff.\That guy...\Dororo.\It's nothing. I'll get up.\I can't. response:	Dororo.
context: The days of prosperity for this land are over.\Bro...?\Oh yeah, we fell from that cliff.\That guy...\Dororo.\It's nothing. I'll get up.\I can't.\Dororo. response:	Don't worry, it'll come out in time.
context: Bro...?\Oh yeah, we fell from that cliff.\That guy...\Dororo.\It's nothing. I'll get up.\I can't.\Dororo.\Don't worry, it'll come out in time. response:	No, below you.
context: Oh yeah, we fell from that cliff.\That guy...\Dororo.\It's nothing. I'll get up.\I can't.\Dororo.\Don't worry, it'll come out in time.\No, below you. response:	You can't with those arms, bro.
context: That guy...\Dororo.\It's nothing. I'll get up.\I can't.\Dororo.\Don't worry, it'll come out in time.\No, below you.\You can't with those arms, bro. response:	I will.
context: Dororo.\It's nothing. I'll get up.\I can't.\Dororo.\Don't worry, it'll come out in time.\No, below you.\You can't with those arms, bro.\I will. response:	We're almost there, Ma.
context: It's nothing. I'll get up.\I can't.\Dororo.\Don't worry, it'll come out in time.\No, below you.\You can't with those arms, bro.\I will.\We're almost there, Ma. response:	Once we cross this mountain, we'll reach the doctor.
context: I can't.\Dororo.\Don't worry, it'll come out in time.\No, below you.\You can't with those arms, bro.\I will.\We're almost there, Ma.\Once we cross this mountain, we'll reach the doctor. response:	I'm sorry for putting you through this, Saburota.
context: Dororo.\Don't worry, it'll come out in time.\No, below you.\You can't with those arms, bro.\I will.\We're almost there, Ma.\Once we cross this mountain, we'll reach the doctor.\I'm sorry for putting you through this, Saburota. response:	I'll make a name for myself with this some day.
